MAT.1.1	Leꞌa bexa ndee bexa ngok usan gox polta ten Jesucristo, dub xa ras David no xa ras Abraham.
ACT.15.16	cha usoꞌ naꞌ dub xa inibeꞌe lak unibeꞌe David.
ACT.15.16	Leꞌa ta unibeꞌe David wa cuent dub niꞌi gox ulate, ná leꞌa naꞌ ixiste‑yá,
ACT.15.16	yunchaꞌaw naꞌ‑yá lakka ngok‑a zha ned wa,
ACT.15.17	ndontsa iteata be men syoꞌo gan ukwaꞌan naꞌ,
ACT.15.17	bexa na mti naꞌ gak bexa xmen naꞌ.
ACT.15.18	Leꞌa naꞌ nak Dios Xa Nibeꞌe ndáp ta ndee ndoꞌ be men tiemp polkata.
ACT.15.19	Weꞌe no ndab Jacob:
ACT.15.19	—Ta weꞌe nsak naꞌ naꞌanpa kich ladna beuna bexa naꞌanpa bexa judio, bexa nlad gak xmen Dios. 
ACT.15.20	Ndi utuꞌubtsa beuna dub git gab‑a naꞌantapa gaw bexa be xnab nsaꞌa be men ndoꞌ be dios gizhliyo, no naꞌanpa ugal bexa dub xa naꞌanpa xa ten xa, no lá gaw bexa be man lá utsiꞌi ten no ni ten lá gaw bexa. 
ACT.15.21	Leꞌa bexa nsabndoꞌ li gun, leꞌa gast tiemp polta leꞌa kadga dub gezh nchoka men ndoꞌol ley mkeꞌa Moisés. Kadga wizh neꞌe bexa ndoꞌolga bexa ta wa len be niꞌi sa nzhealbe beuna bexa judio.
ACT.15.22	Weꞌe leꞌa be apostol, no bexa nchansu be xmen Jesús, no iteata be xmen Jesús wa cha mbidiꞌizh utuꞌub bexa pla be xabgiꞌi yaꞌno Pabl no Bernabé gezh Antioquía. Mti bexa Judas xa no nsaleaꞌ Barsabás, no Silas, top xabgiꞌi nsak lat bexa wa. 
ACT.15.23	Lndeꞌe ndab git goꞌo bexa Antioquía wa:
ACT.15.23	“Leꞌa besa nak be apostol no besa nchansu be xmen Jesús no iteata be xmen Jesús sa ndee, ntuꞌub besa git ndee ndoꞌ bego naꞌanpa xa judio no nak xmen Jesús wa, bego ncho Antioquía no Siria no Cilicia. 
ACT.15.24	Leꞌa besa mbiꞌín leꞌa ncho be men utoꞌo lat besa, nluu bexa dub taꞌa ngochgek bega. Nibeꞌe bexa yoo beꞌe bega xabgiꞌi no yankea bega ley mkeꞌa Moisés. Ná leꞌa besa naꞌanpa leꞌa utuꞌub bexa uluu bexa ta wa. 
ACT.15.25	Nat mbidiꞌizh besa ulaxoꞌob besa pla xabgiꞌi ncho lat besa ndee. Leꞌa bexa wa giꞌidno Pabl no Bernabé be ltsaꞌa beuna, 
ACT.15.26	bexa ndun tiꞌin ten Jesucristo guniꞌi xteꞌe gunno be men bexa. 
ACT.15.27	Ta weꞌe utuꞌub besa Judas no Silas, leꞌa bexa wa giꞌid yadiꞌizh masta xteꞌe nak ta mkeꞌa besa ndoꞌ git ndee. 
ACT.15.28	Leꞌa Espíritu ten Dios mluu ndoꞌ besa lá gabta besa ni stub taꞌa mas gun bega, guntsa bega ta nsabndoꞌ ndee: 
ACT.15.29	Lá gaw bega beꞌal ten man nsaꞌa bexa xnab ndoꞌ dios gizhliyo, no lá gaw bega ten no beꞌal ten be man lá utsiꞌi ten, no lá ugal bega stubga xa naꞌanpa xa ten bega. Tal leꞌa bega uxobgek ndoꞌ be ta ndee, leꞌa bega wen nak ndoꞌ Dios. Nzheal beuna stub wizh.”
ACT.15.30	Weꞌe leꞌa idap bexa na li mtuꞌub bexa wa nchaꞌbe Antioquía. Leꞌa gor ulayaꞌ bexa sa wa, cha mchealte bexa itea be xmen Jesús. Cha msaꞌa bexa git wa ndoꞌ bexa Antioquía wa. 
ACT.15.31	Leꞌa be xmen Jesús wa cha mbiꞌil ta nkeaniꞌi ndoꞌ git wa, cha uzheꞌeb mten ladna bexa. 
ACT.15.32	Leꞌa Judas no Silas nak xa ndadiꞌizh sakndoꞌ Dios, ta weꞌe kwen mbidiꞌizh bexa, mluꞌuzh bexa no mtenxeꞌa bexa be men Antioquía. 
ACT.15.33	Leꞌa bexa wa dub ndeꞌep utencho sa wa. Weꞌe leꞌa gor na mkaꞌan bexa sa wa, leꞌa bexa gezh wa ndab leꞌa Dios gakno bexa nes nseaꞌ bexa. Cha nseaꞌbe bexa leꞌaka Jerusalén ndoꞌ bexa mtuꞌub bexa wa. 
ACT.15.34	Ná leꞌa Silas ndi myaꞌan Antioquía. 
ACT.15.35	Leꞌa Pabl no Bernabé no myaꞌan Antioquía no stapla bexa wa, nluu bexa diꞌizh ten Jesús no ndadiꞌizh bexa diꞌizh wen ten Jesús ndoꞌ be men.
ACT.15.36	Tsoꞌoma wa leꞌa Pabl ndab ndoꞌ Bernabé:
ACT.15.36	—Leꞌa beuna yaꞌinaꞌ be xmen Jesús ndencho itea be gezh sa na li ngwaꞌyadiꞌizh beuna diꞌizh ten Dios wa, ná xteꞌe nde bexa.
ACT.15.37	Leꞌa Bernabé nlad goꞌo bexa no Juan, xa noga nsaleaꞌ Marc. 
ACT.15.38	Ná leꞌa Pabl nsak lá utsin nak goꞌo bexa xa, leꞌa xa wa mkaꞌan wats bexa Panfilia, cha naꞌantapa no xa ngakno bexa. 
ACT.15.39	Leꞌa Pabl no Bernabé uteyotoꞌo, cha mteltsaꞌa bexa. Leꞌa Bernabé cha mbiꞌi Marc, cha uyoꞌo bexa len dub barco siꞌil nchaꞌa isla Chipre. 
ACT.15.40	Leꞌa Pabl mtiga ndi Silas, cha nchaꞌbe bexa. Leꞌa bexa ndencho sa wa mlaꞌa bexa wa ndoꞌ yaꞌa Dios ulaꞌach bexa. 
ACT.15.41	Weꞌe utid Pabl no Silas sa nsaleaꞌ Siria no Cilicia, mtenxeꞌa bexa be xmen Jesús kadga sa nzhealbe bexa sa wa.
ACT.16.1	Tsoꞌo wa leꞌa Pabl utid gezh Derbe, cha ulayaꞌ xa gezh Listra, sa ncho Timoteo xa no nak xmen Jesús. Leꞌa xnaꞌa xa wa xa judio noga ndangea ladna Jesús. Leꞌa xus Timoteo wa xa griego. 
ACT.16.2	Leꞌa be xmen Jesús ndencho Listra no Iconio ndab leꞌa Timoteo dub xa wenka. 
ACT.16.3	Leꞌa Pabl nlad goꞌo Timoteo, ta weꞌe ulo Pabl beꞌe Timoteo lak ndun bexa judio. Li mbin xa ndontsa naꞌanpa gakloo bexa judio, leꞌa itea bexa judio ndencho sa yaꞌ bexa wa uniꞌí leꞌa xus Timoteo xa griego. 
ACT.16.4	Weꞌe leꞌa Pabl no be ltsaꞌa xa nchaꞌtid sian be gezh, ndadiꞌizh bexa ndoꞌ be xmen Jesús xtaꞌan unibeꞌe be apostol no bexa nchansu be xmen Jesús ndencho Jerusalén wa. 
ACT.16.5	Weꞌe leꞌa be men wa mas mgeꞌ ladna Jesús, no kad wizh mas nsayak kwaꞌad bexa.
ACT.16.6	Leꞌa Espíritu ten Dios lá ulaꞌa gudiꞌizh bexa diꞌizh ten Jesús ndoꞌ be men región Asia. Cha ndi nchaꞌtid bexa sa nsaleaꞌ Frigia no Galacia. 
ACT.16.7	Leꞌa gor ulayaꞌ bexa wa Misia, mbinbeꞌe bexa nchaꞌbe bexa Bitinia. Ná leꞌa Espíritu ten Dios lá ulaꞌa ngaꞌbe bexa sa wa. 
ACT.16.8	Cha utid bexa Misia gast ulayaꞌ bexa gezh Troas. 
ACT.16.9	Weꞌe leꞌa gor teꞌal leꞌa Pabl cuent ta mcheꞌa ladna xa uniꞌí xa dub xabgiꞌi región Macedonia nsoꞌ ndoꞌ Pabl ndab xa giꞌid yakno Pabl bexa Macedonia wa. 
ACT.16.10	Ngol tsoꞌo wa cha mbin list besa yaꞌbe besa Macedonia. Uniꞌí besa leꞌa Dios nlad yaꞌyadiꞌizh besa diꞌizh wen ten Jesús ndoꞌ be men sa wa.
ACT.16.11	Leꞌa Troas wa cha uyoꞌo besa len dub barco siꞌil nchaꞌa isla Samotracia. Leꞌa stubtsa wizh ulayaꞌ besa gezh Neápolis. 
ACT.16.12	Cha nchaꞌbe besa gezh Filipos, dub gezh nsak nde región Macedonia, no leꞌa‑yá dub gezh leꞌa Roma nibeꞌe. Cha uyoꞌo besa sa wa pla wizh. 
ACT.16.13	Leꞌa ngol dub wizh neꞌe be men, cha utoꞌo besa len gezh wa ngwaꞌ besa toꞌo yowbeꞌe, sa ndaꞌyadiꞌizhno be men Dios. Cha usob besa mbidiꞌizh besa ndoꞌ be xagots mzhealbe sa wa. 
ACT.16.14	Leꞌa dub bexa wa nsaleaꞌ Lidia, dub xa ndankea Dios. Leꞌa xa dub xa gezh Tiatira, no nsiꞌi utiꞌix xa lad konch ta uyap nsak. Leꞌa gor wa leꞌa Dios mxaꞌal ladoꞌo xa, ndontsa mas ulaꞌach xa ta ndadiꞌizh Pabl. 
ACT.16.15	Leꞌa xagots wa cha utaleaꞌ, no be ltsaꞌa xa. Weꞌe cha ndab xa ndoꞌ besa:
ACT.16.15	—Tal leꞌa bega nsak leꞌa naꞌ noka ndangea ladna Jesús, waꞌa beuna yaꞌan bega ta lid naꞌ.
ACT.16.15	Cha ngwaꞌyoꞌo besa ta lid xa.
ACT.16.16	Stub wizh gor nchaꞌbe besa sa li ndadiꞌizhno be men Dios wa, mzheꞌal besa dub xagots ben ncho mbi bxin len ladoꞌo na. Leꞌa mbi bxin wa nsaꞌa juers ngenna xagots wa be ta ugaꞌach, ndun xa gan sian med nkaꞌa be xwan xa. 
ACT.16.17	Leꞌa xagots wa cha usaxan usankea tsoꞌo Pabl no besa, ugeꞌ ndab xa:
ACT.16.17	—¡Leꞌa bexa ndee bexa ndun tiꞌin ten Dios nsob gibeꞌa! ¡Ndadiꞌizh bexa ndoꞌ bega xteꞌe nak nes ncho gealnaban!
ACT.16.18	Sian wizh li mbinno xa besa, gast ngol dub wizh leꞌa Pabl ngwaꞌineꞌe ladna ta wa. Cha mgeaksoꞌ Pabl ndab ndoꞌ mbi bxin wa:
ACT.16.18	—Leꞌa juers ten leaꞌ Jesucristo leꞌa naꞌ nibeꞌe ndoꞌ lu, utoꞌo len ladoꞌo xagots baꞌ.
ACT.16.18	Leꞌa mbi bxin wa cha bi leꞌa gor wa utoꞌo len ladoꞌo xa wa.
ACT.16.19	Leꞌa be xwan xagots wa cha uniꞌí leꞌa bexa yá naꞌanta xteꞌe gun gan med, cha usen bexa Pabl no Silas mbiꞌi bexa ndoꞌ bexa naktiꞌin. 
ACT.16.20	Cha ndab bexa ndoꞌ bexa naktiꞌin wa:
ACT.16.20	—Leꞌa bexa judio ndee nchealuyo be men gezh ndee. 
ACT.16.21	Nluu bexa be costumbr xaꞌaga, ta lá nsabndoꞌ yankea beuna, leꞌa beuna ndee be men nibeꞌe Roma.
ACT.16.22	Weꞌe cha kwaꞌad be men ngoklopa ndoꞌ Pabl no ndoꞌ Silas. Leꞌa be men naktiꞌin wa cha unibeꞌe itate xab bexa, nsea kin be soldad bexa no bar. 
ACT.16.23	Tsoꞌo na li uzheꞌeb udin be soldad wa Pabl no Silas, cha mkeꞌa soldad bexa litgiꞌib. Cha unibeꞌe bexa ndoꞌ xa nlaꞌach litgiꞌib wa uzheꞌeb ulaꞌach xa bexa wa. 
ACT.16.24	Leꞌa gor na mbiꞌín xa li nlaꞌach litgiꞌib ta wa, cha mkiko xa Pabl no Silas dub cuart nde mas xanxá sa wa. Cha mkiko xa yaꞌaxoꞌo bexa wa lat top bleꞌa ya, dub sa ni lá yoo gan itoꞌo bexa.
ACT.16.25	Ná ngol utol teꞌal leꞌa Pabl no Silas ndadiꞌizhno Dios, no ndaltoꞌo bexa ndoꞌ Dios. Leꞌa itea bexa nkea litgiꞌib wa no ndeyoꞌón ta wa. 
ACT.16.26	Zha leꞌa dub xoꞌo siꞌilpa usaxan nsayakla mkwiꞌin idub sa nde litgiꞌib wa. Bi leꞌa gor wa cha myaꞌal iteanak be puert ten litgiꞌib, no myaꞌak caden nchii itea bexa nkea sa wa. 
ACT.16.27	Leꞌa xa nlaꞌach sa wa cha uban, cha mnaꞌla xa leꞌa be puert wa nsoꞌnyaꞌalbe. Cha uloꞌo xa spad ten xa ndiꞌizh gut xa leꞌaka leꞌa xa, leꞌa xa ndanbeꞌe leꞌa bexa nkea litgiꞌib wa itea mxoꞌonbe. 
ACT.16.28	Ná leꞌa Pabl cha ugeꞌ ndab:
ACT.16.28	—Naꞌanpa lbaꞌa gun ga, leꞌa besa iteaka ndencho sa ndee.
ACT.16.29	Weꞌe leꞌa xa nlaꞌach sa wa unab dub xeꞌa isu sa wa, cha uxax nchaꞌa xa uyoꞌo xa len wa. Cha msaxib xa ndoꞌ Pabl no ndoꞌ Silas, nxis xa tant nzheb xa. 
ACT.16.30	Cha uloꞌo xa bexa wa, cha ndab xa:
ACT.16.30	—¿Xteꞌe gun naꞌ ndontsa gap naꞌ gealnaban ndoꞌ Dios zha?
ACT.16.31	Leꞌa bexa wa ukaꞌab ndab:
ACT.16.31	—Bgeꞌ ladna ga Jesucristo, weꞌe gap ga gealnaban, no bexa ncho ta lid ga.
ACT.16.32	Cha mbidiꞌizh bexa diꞌizh ten Jesús ndoꞌ xa wa no ndoꞌ itea bexa ncho ta lid xa. 
ACT.16.33	Bi leꞌa gor teꞌal wa leꞌa xa nlaꞌach litgiꞌib cha mbin ramed las Pabl no Silas. Cha utaleaꞌ xa no itea bexa ta lid xa. 
ACT.16.34	Cha myoꞌo xa Pabl no Silas ta lid xa, cha msaꞌa xa ta gaw bexa. Cha uzheꞌeb mten ladna xa no itea bexa ta lid xa geal mbingea ladna bexa Dios.
ACT.16.35	Leꞌa gor ngot xeꞌa wa leꞌa bexa naktiꞌin unibeꞌe ndoꞌ soldad yaꞌyab ndoꞌ xa nlaꞌach litgiꞌib wa koꞌo xa Pabl no Silas. 
ACT.16.36	Leꞌa xa nlaꞌach sa wa cha ndab ndoꞌ Pabl:
ACT.16.36	—Leꞌa bexa naktiꞌin wa unibeꞌe itoꞌo bega. Nat syoꞌo gan yaꞌbe bega.
ACT.16.37	Ná leꞌa Pabl ndab ndoꞌ be soldad wa:
ACT.16.37	—Leꞌa besa xa Roma, ná udin bexa besa ndoꞌ gaꞌal be men, ni lá ngab bexa xá ke na‑yá. Cha mkiko bexa besa litgiꞌib ndee. Ná nat nlad bexa xgaꞌach yaꞌbe besa. Gud bega ndoꞌ bexa wa leꞌaka gidloꞌo besa.
ACT.16.38	Leꞌa bexa cha ngwaꞌyab ta wa ndoꞌ bexa naktiꞌin. Leꞌa bexa wa cha mzheb gor na mbiꞌín bexa leꞌa Pabl no Silas bexa Roma. 
ACT.16.39	Cha ngwaꞌinab bexa naktiꞌin gungeꞌ ladna bexa be ta li utid wa. Cha uloꞌo bexa Pabl no Silas, cha unab bexa ikaꞌan bexa gezh wa.
ACT.16.40	Weꞌe leꞌa gor na mtoꞌo Pabl no Silas litgiꞌib, cha nchaꞌa bexa ta lid Lidia. Weꞌe mluꞌuzh bexa be xmen Jesús sa wa, cha mkaꞌan bexa gezh wa.
ACT.17.1	Weꞌe cha utid Pabl no Silas gezh Anfípolis no gezh Apolonia. Cha ulayaꞌ bexa gezh Tesalónica, sa nde dub niꞌi sa nzhealbe bexa judio. 
ACT.17.2	Leꞌa Pabl cha nchaꞌa sa wa wizh neꞌe bexa, lakka ndun xa itea be gezh sa ndaꞌ xa. Weꞌe chon sman mbidiꞌizh Pabl ndoꞌ bexa sa wa. 
ACT.17.3	Ndab xa leꞌa lak nkeaniꞌi diꞌizh ten Dios, leꞌa Cristo lika nsabndoꞌ kweaꞌ itid no gat xa, no yaste xa ndoꞌ gealgut. No ndab Pabl:
ACT.17.3	—Leꞌa Jesús xa lndeꞌe ndadiꞌizh naꞌ ndoꞌ bega, leꞌa xa wa leꞌa nak Cristo xa mtuꞌub Dios.
ACT.17.4	Leꞌa ncho bexa wa mbingea ladna ta wa, cha dubtsa myak bexa nsea Pabl no Silas. No kwaꞌad bexa naꞌanpa xa judio ndankea Dios cha no mbingea ladna Jesús, no kwaꞌad be xagots nsak. 
ACT.17.5	Ná leꞌa bexa judio na naꞌanpa ngungea ladna Jesús wa cha ngokloo geal kwaꞌadpa bexa judio no mbingea ladna. Leꞌa bexa wa cha mchealte pla be xabgiꞌi ugap. Weꞌe leꞌa bexa judio wa no bexa ugap wa mbin gan ngokloo kwaꞌadpa bexa gezh wa, gast uzheꞌeb dub uyo uyoꞌo sa wa. Cha uyoꞌo juers bexa len lid dub xa nsaleaꞌ Jasón, nkwaꞌan bexa Pabl no Silas, ndontsa yak cuent bexa ndoꞌ bexa naktiꞌin. 
ACT.17.6	Parea lá ngaizheal bexa Pabl no Silas, cha mbiꞌi juers bexa Jasón no stapla be xmen Jesús. Cha myun bexa cuent bexa ndoꞌ bexa naktiꞌin, ugeꞌ ndab bexa:
ACT.17.6	—Leꞌa bexa ngo uyo idub ndoꞌ gizhliyo wa nat nseabega sa ndee. 
ACT.17.7	Leꞌa Jasón ndee nsaꞌa ta lid na uyoꞌo bexa. Ná leꞌa itea bexa wa lá nxobgek ndoꞌ César xa nibeꞌe Roma, ndab bexa ncho stubga xa mas nibeꞌe nsaleaꞌ Jesús.
ACT.17.8	Weꞌe leꞌa bexa naktiꞌin no be men gezh wa uzhebpa ngokloo bexa, gor na mbiꞌín bexa ta wa. 
ACT.17.9	Ná leꞌa Jasón no be ltsaꞌa xa cha utixtsa dub mult ndoꞌ bexa naktiꞌin, cha myaꞌak bexa.
ACT.17.10	Leꞌa gor uyoꞌo teꞌal leꞌa be xmen Jesús wa cha uxax mtuꞌub Pabl no Silas gezh Berea. Cha uyote bexa len niꞌi sa nzhealbe bexa judio. 
ACT.17.11	Leꞌa bexa ncho Berea wa mas utsin nak ndoꞌ lak nak bexa Tesalónica, leꞌa bexa Berea uzhebpa nlaꞌach xtaꞌan ndadiꞌizh Pabl no Silas. No itea wizh ntsid bexa ta nkeaniꞌi diꞌizh ten Dios, ndontsa iniꞌí bexa naga ta ugeaka ta ndadiꞌizh itop bexa wa. 
ACT.17.12	Ta weꞌe leꞌa kwaꞌad bexa judio wa no mbingea ladna Jesús. No kwaꞌad bexa naꞌanpa xa judio, be xagots no be xabgiꞌi, mbingea ladna Jesús. 
ACT.17.13	Ná leꞌa gor na mbiꞌín bexa judio ndencho Tesalónica, leꞌa Pabl ndadiꞌizhgal diꞌizh ten Jesús gezh Berea wa, cha utoꞌo pla bexa nchaꞌbe bexa sa wa. Cha mbin bexa gan ngokloo kwaꞌadpa be men Berea ndoꞌ Pabl. 
ACT.17.14	Ná leꞌa be xmen Jesús uxax mbiꞌi Pabl lad toꞌo nitsdoꞌo. Leꞌa Silas no Timoteo myanyoꞌo Berea. 
ACT.17.15	Leꞌa pla bexa cha mbiꞌi Pabl gast gezh Atenas. Cha ndab Pabl ndoꞌ bexa wa:
ACT.17.15	—Leꞌa gor na yach bega gezh Berea, cha gud bega ndoꞌ Silas no ndoꞌ Timoteo uxax giꞌid bexa gezh Atenas ndee.
ACT.17.16	Ndalen li nchonkea Pabl ilen Silas no Timoteo gezh Atenas wa, leꞌa Pabl kweaꞌ ncho ladna uniꞌí xa xteꞌeta uzheꞌeb ndankea be men be dios gizhliyo. 
ACT.17.17	Weꞌe leꞌa len niꞌi sa nzhealbe bexa judio, mbidiꞌizhno Pabl bexa judio no bexa naꞌanpa xa judio, bexa ndankea Dios. No ndoꞌ bexa nzheꞌal Pabl ndoꞌ xgeꞌe wa itea wizh ndadiꞌizh Pabl. 
ACT.17.18	No mbidiꞌizhno Pabl pla bexa epicúreo no bexa estoico, leꞌa ta wa top partid men ncho Atenas wa. Ncho bexa wa ndab:
ACT.17.18	—¿Xteꞌe nak ta ndadiꞌizh xa ndee zha?
ACT.17.18	Leꞌa ncho bexa ukaꞌab ndab:
ACT.17.18	—Nsak naꞌ cuent ten be dios xaꞌaga ndadiꞌizh xa.
ACT.17.18	Leꞌa bexa li ndab geal leꞌa Pabl ndadiꞌizh diꞌizh wen ten Jesús ná xteꞌe mban Jesús. 
ACT.17.19	Leꞌa bexa wa cha mbiꞌi Pabl sa nsaleaꞌ Areópago, dub sa nzhealbe be men gezh wa. Cha ndab bexa ndoꞌ Pabl:
ACT.17.19	—Gud go ndoꞌ besa xtaꞌan ta ndadiꞌizh go wa. 
ACT.17.20	Leꞌa go ndadiꞌizh dub ta nunk besa gol goꞌón. Nat nlad besa goꞌón besa ná xtaꞌan ta wa.
ACT.17.21	Leꞌa bexa Atenas no bexa xaꞌaga ndencho gezh wa, ndal ladna bexa ndadiꞌizh bexa no ndoꞌón bexa sbeꞌen be ta tiꞌi ulensea.
ACT.17.22	Weꞌe leꞌa Pabl cha ngwasoꞌ lat bexa ten Areópago wa, cha ndab xa:
ACT.17.22	—Bego xa Atenas, uní naꞌ leꞌa bega uzhebpa ndankea be dios ten bega. 
ACT.17.23	Leꞌa sa ndaltiꞌid naꞌ len gezh ndee, uní naꞌ be sa ndankea bega be dios wa. No mzheal naꞌ dub sa nkea dub letr ndab‑a: “Dub dios naꞌan ton nchandoꞌ.” Leꞌa Dios wa xa na li ndankea bega maska naꞌanpa nchandoꞌ bega xa, leꞌa naꞌ cuent ten Dios weꞌe ndadiꞌizh.
ACT.17.24	’Leꞌa Dios weꞌe mbindeꞌe gizhliyo no itea be ta nde ndoꞌ gizhliyo, no nak xa Xwan gibeꞌa no gizhliyo. Leꞌa xa wa lá nyoꞌo len be latbadoꞌo ndandeꞌe men, 
ACT.17.25	ni lá nkiꞌin gakno be men xa. Leꞌa xa leꞌa nsaꞌa gealnaban ten iteanak be men, no nsaꞌa xa iteanak be taꞌa nkiꞌin be men.
ACT.17.26	’Leꞌa Dios mbindeꞌe dubtsa xabgiꞌi, cha weꞌe ulen itea ndoꞌ be men ndoꞌ idub nax gizhliyo. No ndab xa polga ilen itea ndoꞌ be men wa no pa yoo bexa. 
ACT.17.27	Li ndontsa ukwaꞌan be men Dios no izheal bexa Dios, leꞌa Dios naꞌanpa sit nsoꞌ wats kadga dub beuna. 
ACT.17.28	Leꞌa juers ten Dios leꞌa beuna nban no nsea beuna no ncho beuna. Leꞌa lat bega no ncho bexa ndab: “Leꞌa beuna nak be xin Dios.” 
ACT.17.29	Tal leꞌa beuna nak xin Dios, lá nsabndoꞌ gunbeꞌe beuna leꞌa Dios nak cuent be dios nakchaꞌaw oro no plata no geꞌ, be ta ndanchaꞌaw be men laktsa ndanbeꞌe bexa. 
ACT.17.30	Leꞌa Dios pol‑lata mbingeꞌ ladna ndoꞌ be men, leꞌa bexa lá iniꞌí xteꞌe nsabndoꞌ gun bexa. Ná nat leꞌa Dios nibeꞌe ndoꞌ itea be men nde ndoꞌ gizhliyo ulaꞌa bexa be ta ugap nak bexa. 
ACT.17.31	Leꞌa Dios ulo dub wizh leꞌa dub xa mti Dios gab gaꞌal ndoꞌ itea be men ná xtaꞌan mbin bexa. Leꞌa Dios leꞌa mxiste xa wa ndoꞌ gealgut, ndontsa iniꞌí itea be men leꞌa Dios leꞌaka mti xa.
ACT.17.32	Leꞌa gor na mbiꞌín bexa ta na mban dub xa ndoꞌ gealgut, weꞌe ncho bexa wa mxiꞌidno Pabl. Ná ncho bexa ndab ndoꞌ Pabl:
ACT.17.32	—Stub wizh goꞌónta besa ta ndab go wa.
ACT.17.33	Weꞌe leꞌa Pabl cha mkaꞌan lat bexa wa. 
ACT.17.34	Ná leꞌa ncho bexa wa mbingea ladna ta mbidiꞌizh Pabl, cha dubtsa myakno bexa Pabl. Leꞌa lat bexa wa ncho dub xa nsaleaꞌ Dionisio, dub xa ten Areópago wa. No dub xagots nsaleaꞌ Dámaris no stapla bexa mbingea ladna Jesús.
ACT.18.1	Tsoꞌo wa leꞌa Pabl cha utoꞌo Atenas nchaꞌa xa gezh Corinto. 
ACT.18.2	Leꞌa sa wa mzheꞌal xa dub xabgiꞌi judio nsaleaꞌ Aquila, dub xa Ponto. Leꞌa xa wa tiꞌi mlaꞌnchaꞌ mtoꞌo Italia no xagots ten xa Priscila. Nchaꞌbe bexa Corinto geal leꞌa Claudio, xa nibeꞌe Roma, ulantuꞌub iteanak bexa judio gezh Roma. Leꞌa Pabl cha ngwaꞌinaꞌ bexa wa, 
ACT.18.3	cha ngwaꞌyoꞌo Pabl wats bexa ndontsa junt gun bexa tiꞌin, leꞌa bexa no ndandeꞌe niꞌilad, ltsaꞌa tiꞌin ndun Pabl. 
ACT.18.4	Leꞌa itea be wizh neꞌe be men, leꞌa Pabl ndadiꞌizh len niꞌi sa nzhealbe bexa judio. Nlad xa leꞌa bexa judio nsea bexa naꞌanpa bexa judio no gungea ladna Jesús.
ACT.18.5	Cha mtoꞌo Silas no Timoteo región Macedonia wa, nchaꞌa bexa Corinto. Leꞌa Pabl sbeꞌen ndadiꞌizh diꞌizh ten Jesús, ndab xa ndoꞌ bexa judio leꞌa Jesús leꞌaka nak Cristo xa mtuꞌub Dios. 
ACT.18.6	Ná leꞌa bexa judio ndi usaxan ndakloo, no kweaꞌ uníꞌi bexa ndoꞌ Pabl. Leꞌa Pabl cha utib xab na, ta nluu leꞌa Dios lá nsak ladna lak nak bexa wa, cha ndab xa ndoꞌ bexa wa:
ACT.18.6	—Tal Dios utsaksi bega, leꞌa ta wa naꞌanpa ke ten naꞌ, leꞌa ta wa ke tenka bega. Leꞌa nat leꞌa naꞌ ndaꞌuluu ndi bexa naꞌanpa xa judio.
ACT.18.7	Cha mkaꞌan Pabl niꞌi wa, nchaꞌa xa ta lid dub xa nsaleaꞌ Justo, dub xa ndankeapa Dios. Leꞌa xa wa ncho gax wats sa nde niꞌi sa nzhealbe bexa judio. 
ACT.18.8	Leꞌa dub xa nsaleaꞌ Crispo xa nchansu sa wa no mbingea ladna Jesús no itea be ltsaꞌa xa. No kwaꞌadta bexa Corinto gor na mbiꞌín bexa ta mbidiꞌizh Pabl wa, cha mbingea ladna bexa‑yá, no cha utaleaꞌ bexa. 
ACT.18.9	Ngol dub teꞌal leꞌa Pabl cuent ta mcheꞌa ladna uniꞌí leꞌa Jesús ndab ndoꞌ xa:
ACT.18.9	—Lá izheb lu gudiꞌizh lu diꞌizh ten naꞌ, 
ACT.18.10	leꞌa naꞌ noka nsoꞌ wats lu, ta weꞌe naꞌan ton gun gan ugap gunno lu. Leꞌa gezh ndee kwaꞌadpa be xmen naꞌ ncho.
ACT.18.11	Leꞌa Pabl cha ngwaꞌyoꞌo Corinto wa dub liꞌin ncho xoꞌop mbeꞌe, nluu xa be men diꞌizh ten Dios.
ACT.18.12	Parea ngol zha nibeꞌe dub xa nsaleaꞌ Galión idub Acaya wa, weꞌe leꞌa pla bexa judio cha mzhealbe, cha mbiꞌi bexa Pabl ndoꞌ Galión. 
ACT.18.13	Cha ndab bexa ndoꞌ Galión:
ACT.18.13	—Leꞌa xa ndee nkesea uluu be men yankea bexa Dios ndi stubga mod, dub ta naꞌanpa nibeꞌe ley ten besa.
ACT.18.14	Leꞌa gor na ndiꞌizh utsakndoꞌ Pabl, leꞌa Galión ndab ndoꞌ bexa judio:
ACT.18.14	—Bego xa judio, tal leꞌa xa baꞌ ndun dub ta ugap, no tal xa ndun dub taꞌa lá nibeꞌe ley ten Roma, leꞌa naꞌ slachka ta gab bego. 
ACT.18.15	Parea leꞌa bego ndeyo cuent ten be diꞌizhtsa, no xteꞌe leaꞌ be men, no ta nibeꞌe ley ten bega xa judio. Ta weꞌe begoka bin regl ta ndee, leꞌa naꞌ lá yate ndoꞌ cuent ndee.
ACT.18.16	Leꞌa Galión cha unibeꞌe itate bexa sa wa. 
ACT.18.17	Leꞌa be men naꞌanpa xa judio cha usen xa nsaleaꞌ Sóstenes, xa nchansu niꞌi sa nzhealbe bexa judio wa. Cha udin bexa xa wa ndoꞌ gaꞌal Galión. Ná leꞌa Galión naꞌanta xteꞌe ngunno bexa.
