GEN.1.1	Hapo mwanzo, Mungu aliumba mbingu na dunia.
PRO.15.24	Njia ya mwenye hekima huelekea juu kwenye uhai,
PRO.15.24	ili aepe kuingia chini kuzimu.
PRO.15.25	Mwenyezi-Mungu huyabomoa makao ya wenye kiburi,
PRO.15.25	lakini huilinda mipaka ya makao ya mjane.
PRO.15.26	Mawazo ya mwovu ni chukizo kwa Mwenyezi-Mungu,
PRO.15.26	bali maneno mema humfurahisha.
PRO.15.27	Anayetamani faida ya ulanguzi
PRO.15.27	anaitaabisha jamaa yake,
PRO.15.27	lakini achukiaye hongo ataishi.
PRO.15.28	Moyo wa mwadilifu hufikiri kabla ya kujibu,
PRO.15.28	lakini kinywa cha mwovu hububujika uovu.
PRO.15.29	Mwenyezi-Mungu yuko mbali na watu waovu,
PRO.15.29	lakini yu karibu na watu wema kuwasikiliza.
PRO.15.30	Macho ya huruma hufurahisha moyo,
PRO.15.30	habari njema huuburudisha mwili.
PRO.15.31	Mtu ambaye husikiliza maonyo mema,
PRO.15.31	anayo nafasi yake miongoni mwa wenye hekima.
PRO.15.32	Anayekataa kufundishwa anajidharau mwenyewe,
PRO.15.32	bali anayekubali maonyo hupata busara.
PRO.15.33	Kumcha Mwenyezi-Mungu ni shule ya hekima;
PRO.15.33	kabla ya kuheshimika ni lazima kuwa mnyenyekevu.
PRO.16.1	Binadamu hupanga mipango yake,
PRO.16.1	lakini kauli ya mwisho ni yake Mwenyezi-Mungu.
PRO.16.2	Matendo ya mtu huonekana kwake kuwa sawa,
PRO.16.2	lakini Mwenyezi-Mungu hupima nia ya mtu.
PRO.16.3	Mwekee Mwenyezi-Mungu kazi yako,
PRO.16.3	nayo mipango yako itafanikiwa.
PRO.16.4	Mwenyezi-Mungu ameumba kila kitu kwa kusudi lake;
PRO.16.4	hata waovu kwa ajili ya siku ya maangamizi.
PRO.16.5	Kila mwenye kiburi ni chukizo kwa Mwenyezi-Mungu;
PRO.16.5	hakika mtu wa namna hiyo hataacha kuadhibiwa.
PRO.16.6	Kwa utii na uaminifu mtu huondolewa dhambi,
PRO.16.6	kwa kumcha Mwenyezi-Mungu huepuka uovu.
PRO.16.7	Mwenyezi-Mungu akipendezwa na mwenendo wa mtu,
PRO.16.7	huwageuza hata adui zake kuwa marafiki.
PRO.16.8	Afadhali mali kidogo kwa uadilifu,
PRO.16.8	kuliko mapato mengi kwa udhalimu.
PRO.16.9	Mtu aweza kufanya mipango yake,
PRO.16.9	lakini Mwenyezi-Mungu huongoza hatua zake.
PRO.16.10	Mfalme huamua kwa maongozi ya Mungu;
PRO.16.10	anapotoa hukumu hakosei.
PRO.16.11	Mwenyezi-Mungu hutaka kipimo na mizani halali;
PRO.16.11	mawe yote mfukoni ya kupimia ni kazi yake.
PRO.16.12	Ni chukizo kubwa wafalme kutenda uovu,
PRO.16.12	maana msingi wa mamlaka yao ni haki.
PRO.16.13	Mfalme hupendelea mtu asemaye kwa unyofu;
PRO.16.13	humpenda mtu asemaye ukweli.
PRO.16.14	Hasira ya mfalme ni kama mjumbe wa kifo;
PRO.16.14	mtu mwenye busara ataituliza.
PRO.16.15	Uso wa mfalme ukingaa kuna uhai;
PRO.16.15	wema wake ni kama wingu la masika.
PRO.16.16	Kupata hekima ni bora kuliko dhahabu;
PRO.16.16	kupata akili ni chaguo bora kuliko fedha.
PRO.16.17	Njia ya wanyofu huepukana na uovu;
PRO.16.17	anayechunga njia yake huhifadhi maisha yake.
PRO.16.18	Kiburi hutangulia maangamizi;
PRO.16.18	majivuno hutangulia maanguko.
PRO.16.19	Afadhali kuwa mnyenyekevu na kuwa maskini,
PRO.16.19	kuliko kugawana nyara na wenye kiburi.
PRO.16.20	Anayezingatia mafundisho atafanikiwa;
PRO.16.20	heri mtu yule anayemtumainia Mwenyezi-Mungu.
PRO.16.21	Mwenye hekima moyoni huitwa mwenye akili;
PRO.16.21	neno la kupendeza huwavutia watu.
PRO.16.22	Hekima ni chemchemi ya uhai kwake aliye nayo,
PRO.16.22	bali upumbavu ni adhabu ya wapumbavu.
PRO.16.23	Moyo wa mwenye hekima humwezesha kusema kwa busara;
PRO.16.23	huyafanya maneno yake yawe ya kuvutia.
PRO.16.24	Maneno mazuri ni kama asali;
PRO.16.24	ni matamu rohoni na yenye kuupa mwili afya.
PRO.16.25	lakini mwishowe humwongoza kwenye kifo.
PRO.16.26	Hamu ya chakula humhimiza mfanyakazi,
PRO.16.26	maana njaa yake humsukuma aendelee.
PRO.16.27	Mtu mwovu hupanga uovu;
PRO.16.27	maneno yake ni kama moto mkali.
PRO.16.28	Mtu mpotovu hueneza ugomvi,
PRO.16.28	mfitini hutenganisha marafiki.
PRO.16.29	Mtu mkatili humshawishi jirani yake;
PRO.16.29	humwongoza katika njia mbaya.
PRO.16.30	Anayekonyeza jicho kwa hila amepanga maovu;
PRO.16.30	anayekaza midomo amekwisha nuia mabaya.
PRO.16.31	Kuwa na mvi za uzee ni taji la utukufu;
PRO.16.31	hupatikana kwa maisha ya uadilifu.
PRO.16.32	Asiye mwepesi wa hasira ni bora kuliko mwenye nguvu;
PRO.16.32	aitawalaye nafsi yake ni bora kuliko autekaye mji.
PRO.16.33	Kura hupigwa kujua yatakayotukia,
PRO.16.33	lakini uamuzi ni wake Mwenyezi-Mungu.
PRO.17.1	Afadhali mkate mkavu kwa amani,
PRO.17.1	kuliko karamu katika nyumba ya ugomvi.
PRO.17.2	Mtumwa mwenye busara atachukua nafasi ya mwana mpumbavu,
PRO.17.2	atapata sehemu ya urithi wa jamaa hiyo.
PRO.17.3	Ubora wa dhahabu ama fedha hupimwa kwa moto,
PRO.17.3	lakini Mwenyezi-Mungu ndiye apimaye mioyo ya watu.
PRO.17.4	Mtenda maovu husikiliza maneno mabaya,
PRO.17.4	mwongo hutegea sikio ulimi mdanganyifu.
PRO.17.5	Anayemdhihaki maskini anamtukana Muumba wake;
PRO.17.5	anayefurahia maafa hatakosa kuadhibiwa.
PRO.17.6	Wazee huwaonea fahari wajukuu zao;
PRO.17.6	watoto huwaonea fahari wazazi wao.
PRO.17.7	Maneno mazuri si kawaida kinywani mwa mpumbavu,
PRO.17.7	sembuse maneno ya uongo kinywani mwa kiongozi!
PRO.17.8	Kwa mhongaji, hongo ni kama hirizi;
PRO.17.8	kila afanyacho hufanikiwa.
PRO.17.9	Anayesamehe makosa hujenga urafiki,
PRO.17.9	lakini anayekumbusha makosa hutenga rafiki.
PRO.17.10	Onyo kwa mwenye busara lina maana,
PRO.17.10	kuliko mapigo mia kwa mpumbavu.
PRO.17.11	Afanyalo mtu mwovu ni kuasi tu;
PRO.17.11	mjumbe mkatili atatumwa dhidi yake.
PRO.17.12	Afadhali kukutana na dubu jike aliyenyanganywa watoto wake,
PRO.17.12	kuliko kukutana na mpumbavu katika upumbavu wake.
PRO.17.13	Mwenye kulipiza mema kwa mabaya,
PRO.17.13	mabaya hayataondoka nyumbani mwake.
PRO.17.14	Kuanzisha ugomvi ni kama kufanya ufa kwenye bwawa;
PRO.17.14	achana na ugomvi kabla haujafurika.
PRO.17.15	Kumsamehe mwenye hatia na kumwadhibu asiye na hatia
PRO.17.15	yote mawili ni chukizo kwa Mwenyezi-Mungu.
PRO.17.16	Ya nini mpumbavu kuwa na fedha mkononi kununulia hekima,
PRO.17.16	wakati yeye mwenyewe hana akili?
PRO.17.17	Rafiki wa kweli ni rafiki siku zote,
PRO.17.17	ndugu huzaliwa asaidie wakati wa taabu.
PRO.17.18	Si jambo la akili kuweka rehani,
PRO.17.18	na kuwa mdhamini wa mtu mwingine.
PRO.17.19	Anayependa ugomvi anapenda dhambi;
PRO.17.19	anayejigamba
PRO.17.20	Mwenye moyo mpotovu hafanikiwi,
PRO.17.20	na msema uongo hupatwa na maafa.
PRO.17.21	Mtoto mpumbavu ni huzuni kwa baba yake,
PRO.17.21	na baba wa mpumbavu hana furaha.
PRO.17.22	Moyo mchangamfu ni dawa,
PRO.17.22	bali moyo wenye huzuni hudhoofisha mwili.
PRO.17.23	Mtu mbaya hupokea hongo kwa siri
PRO.17.23	ili apate kupotosha haki.
PRO.17.24	Mtu mwenye busara lengo lake ni hekima,
PRO.17.24	lakini mpumbavu hupania kila kitu duniani.
PRO.17.25	Mtoto mpumbavu ni huzuni kwa baba yake,
PRO.17.25	na uchungu kwa mama yake mzazi.
PRO.17.26	Si vizuri kumtoza faini mtu asiye na hatia;
PRO.17.26	ni kosa kumchapa viboko muungwana.
PRO.17.27	Asiyesema sana ana maarifa;
PRO.17.27	mtu mtulivu ni mwenye busara.
PRO.17.28	Hata mpumbavu akinyamaza huonekana ana hekima;
PRO.17.28	akifunga mdomo wake huonekana kuwa mwenye akili.
PRO.18.1	Anayetafuta yake tu hujitenga na wenzake;
PRO.18.1	hukasirika akipewa shauri lolote jema.
PRO.18.2	Mpumbavu hapendezwi na busara;
PRO.18.2	kwake cha maana ni maoni yake tu.
PRO.18.3	Ajapo mwovu huja pia dharau;
PRO.18.3	pamoja na aibu huja fedheha.
PRO.18.4	Maneno yaweza kuwa chemchemi ya hekima;
PRO.18.4	yenye kilindi kama bahari, kama kijito kinachobubujika.
PRO.18.5	Si vizuri kumpendelea mtu mwovu,
PRO.18.5	na kumnyima haki mtu mwadilifu.
PRO.18.6	Maneno ya mpumbavu huleta ugomvi;
PRO.18.6	kila anachosema husababisha adhabu.
PRO.18.7	Kinywa cha mpumbavu humwangamiza mwenyewe;
PRO.18.7	mdomo wake ni mtego wa kumnasa yeye mwenyewe.
PRO.18.8	Maneno ya msengenyaji ni kama kitoweo kitamu;
PRO.18.8	ambacho hushuka moja kwa moja mpaka tumboni.
PRO.18.9	Mtu mvivu kazini mwake
PRO.18.9	ni ndugu yake mharibifu.
PRO.18.10	Jina la Mwenyezi-Mungu ni mnara imara;
PRO.18.10	mwadilifu huukimbilia akawa salama.
PRO.18.11	Lakini tajiri hudhani mali ni ngome yake;
PRO.18.11	anafikiri hayo ni ukuta mrefu unaomlinda.
PRO.18.12	Majivuno ya moyoni huleta maangamizi,
PRO.18.12	lakini unyenyekevu huleta heshima.
PRO.18.13	Kujibu kabla ya kusikiliza
PRO.18.13	ni upumbavu na jambo la aibu.
PRO.18.14	Roho ya mtu huweza kustahimili ugonjwa,
PRO.18.14	lakini ukiwa umevunjika moyo, utastahimilije?
PRO.18.15	Mtu mwenye akili hujipatia maarifa,
PRO.18.15	sikio la mwenye busara hutafuta maarifa.
PRO.18.16	Zawadi humfungulia mtu milango;
PRO.18.16	huweza kumfikisha mtu mbele ya mkuu.
PRO.18.17	Ajiteteaye kwanza huonekana msema kweli,
PRO.18.17	mpaka hapo mpinzani wake atakapoanza kumhoji.
PRO.18.18	Kura hukomesha ubishi;
PRO.18.18	huamua kati ya wakuu wanaopingana.
PRO.18.19	Ndugu aliyeudhiwa ni mgumu kuliko mji wa ngome;
PRO.18.19	magomvi hubana kama makufuli ya ngome.
PRO.18.20	Maneno ya mtu yaweza kumshibisha;
PRO.18.20	hutosheka kwa matokeo ya maneno yake.
PRO.18.21	Ulimi una nguvu ya kufanya hai na kuua;
PRO.18.21	wanaopenda kuutumia watakula matunda yake.
PRO.18.22	Anayempata mke amepata bahati njema;
PRO.18.22	hiyo ni fadhili kutoka kwa Mwenyezi-Mungu.
PRO.18.23	Maskini huomba kwa unyenyekevu,
PRO.18.23	bali tajiri hujibu kwa ukali.
PRO.18.24	Marafiki wengi waweza kumwangusha mtu,
PRO.18.24	lakini wapo marafiki waaminifu kuliko ndugu.
PRO.19.1	Afadhali maskini aishiye kwa unyofu,
PRO.19.1	kuliko mtu mpotovu wa maneno na mpumbavu.
PRO.19.2	Haifai mtu kuwa bila akili;
PRO.19.2	mwenda harakaharaka hujikwaa.
PRO.19.3	Mtu akijiangamiza kwa upumbavu wake,
PRO.19.3	huielekeza hasira yake dhidi ya Mwenyezi-Mungu.
PRO.19.4	Mali huvuta marafiki wengi wapya,
PRO.19.4	lakini maskini huachwa bila rafiki.
PRO.19.5	Shahidi mwongo hataacha kuadhibiwa;
PRO.19.5	asemaye uongo hataepa adhabu.
PRO.19.6	Watu wengi hujipendekeza kwa wakuu;
PRO.19.6	kila mtu hutaka kuwa rafiki ya mtu mkarimu.
PRO.19.7	Maskini huchukiwa na ndugu zake;
PRO.19.7	marafiki zake ndio zaidi: Humkimbia!
PRO.19.7	Hata awabembeleze namna gani hatawapata.
PRO.19.8	Ajipatiaye hekima anaipenda nafsi yake;
PRO.19.8	anayezingatia busara atastawi.
PRO.19.9	Shahidi mwongo hatakosa kuadhibiwa;
PRO.19.9	asemaye uongo ataangamia.
PRO.19.10	Haifai kwa mpumbavu kuishi kwa anasa,
PRO.19.10	tena ni vibaya zaidi mtumwa kuwatawala wakuu.
PRO.19.11	Mwenye busara hakasiriki upesi;
PRO.19.11	kusamehe makosa ni fahari kwake.
PRO.19.12	Ghadhabu ya mfalme ni kama ngurumo ya simba,
PRO.19.12	lakini wema wake ni kama umande juu ya majani.
PRO.19.13	Mtoto mpumbavu ni balaa kwa baba yake;
PRO.19.13	na ugomvi wa mke ni kama matone ya mvua yasiyoisha.
PRO.19.14	Nyumba na mali ni urithi apatao mtu kwa wazee wake,
PRO.19.14	lakini mke mwenye busara hutoka kwa Mwenyezi-Mungu.
PRO.19.15	Uzembe ni kama usingizi mzito;
PRO.19.15	mtu mvivu atateseka kwa njaa.
PRO.19.16	Anayeshika amri anasalimisha maisha yake;
PRO.19.16	anayepuuza agizo atakufa.
PRO.19.17	Anayemsaidia maskini anamkopesha Mwenyezi-Mungu;
PRO.19.17	Mwenyezi-Mungu atamlipa kwa tendo lake jema.
PRO.19.18	Mrudi mwanao kungali bado na tumaini,
PRO.19.18	lakini usimwadhibu kiasi cha kumwangamiza.
PRO.19.19	Mtu wa hasira kali lazima apate adhabu;
PRO.19.19	ukimwachia mara moja itakubidi kumwachia tena.
PRO.19.20	Sikiliza shauri na kupokea mafundisho,
PRO.19.20	upate hekima ya kukufaa siku zijazo.
PRO.19.21	Kichwani mwa mtu mna mipango mingi,
PRO.19.21	lakini anachokusudia Mwenyezi-Mungu ndicho kitakachofanyika.
PRO.19.22	Kinachotakiwa kwa mtu ni uaminifu;
PRO.19.22	afadhali mtu maskini kuliko mtu mwongo.
PRO.19.23	Kumcha Mwenyezi-Mungu kunaleta uhai;
PRO.19.23	amchaye hujaliwa pumziko la kutosheleza,
PRO.19.23	wala hatapatwa na baa lolote.
PRO.19.24	Mvivu ni kama mtu atiaye mkono katika sahani ya chakula,
PRO.19.24	lakini hana nguvu ya kuuinua hadi mdomoni.
PRO.19.25	Mwadhibu mwenye mzaha naye mjinga atapata akili;
PRO.19.25	mwonye mwenye busara naye atapata maarifa.
PRO.19.26	Anayemdhulumu baba yake na kumfukuza mama yake,
PRO.19.26	ni mtoto asiyefaa na mpotovu.
PRO.19.27	Mwanangu, ukiacha kusikiliza mafundisho,
PRO.19.27	utapotea mara mbali na maneno ya hekima.
PRO.19.28	Shahidi asiyefaa kitu huidhihaki haki;
PRO.19.28	na kinywa cha mwovu hubugia uovu.
PRO.19.29	Adhabu iko tayari kwa wenye mzaha,
PRO.19.29	mijeledi imetayarishwa kuchapa migongo ya wapumbavu.
PRO.20.1	Divai huleta dhihaka na kileo huleta ugomvi;
PRO.20.1	yeyote anayevutiwa navyo hana hekima.
PRO.20.2	Ghadhabu kali ya mfalme ni kama simba angurumaye;
PRO.20.2	anayemkasirisha anayahatarisha maisha yake.
PRO.20.3	Ni jambo la heshima kuepa ugomvi;
PRO.20.3	wapumbavu ndio wanaogombana.
PRO.20.4	Mvivu halimi wakati wa kulima;
PRO.20.4	wakati wa mavuno atatafuta asipate chochote.
PRO.20.5	Fikira za mtu zimefichika kama kilindi cha maji;
PRO.20.5	lakini mtu mwenye busara ajua kuzichota humo.
PRO.20.6	Watu wengi hujivunia kuwa wema,
PRO.20.6	lakini mwaminifu wa kweli apatikana wapi?
PRO.20.7	Mtu mwadilifu akiishi kwa unyofu;
PRO.20.7	watoto wake atakaowaacha watabarikiwa.
PRO.20.8	Mfalme mwema aketipo kutoa hukumu,
PRO.20.8	huupepeta uovu wote kwa macho yake.
PRO.20.9	Nani athubutuye kusema: “Nimeutakasa moyo wangu;
PRO.20.9	mimi nimetakasika dhambi yangu?”
PRO.20.10	Mizani ya udanganyifu na vipimo vya udanganyifu,
PRO.20.10	vyote ni chukizo kwa Mwenyezi-Mungu.
PRO.20.11	Hata mtoto hujulikana kwa matendo yake,
PRO.20.11	kama tabia yake ni njema na aminifu.
PRO.20.12	Sikio lisikialo na jicho lionalo,
PRO.20.12	yote mawili kayafanya Mwenyezi-Mungu.
PRO.20.13	Usipende kulala tu usije ukawa maskini;
PRO.20.13	uwe macho nawe utakuwa na chakula kingi.
PRO.20.14	“Hakifai, hakifai”, mnunuzi hulalamika,
PRO.20.14	lakini akiondoka hujisifu amepunguziwa bei.
PRO.20.15	Kuna dhahabu na wingi wa mawe ya thamani kubwa;
PRO.20.15	lakini cha thamani kubwa zaidi ni maneno ya busara!
PRO.20.16	Mtu akiahidi mbele yako kumdhamini mgeni,
PRO.20.16	chukua nguo yake;
PRO.20.16	mfanye awajibike kwa kuwadhamini wageni.
PRO.20.17	Chakula kipatikanacho kwa udanganyifu ni kitamu,
PRO.20.17	lakini baadaye huwa kama mchanga kinywani.
PRO.20.18	Mipango mizuri hufanyika kwa kushauriana;
PRO.20.18	ukitaka kuanza vita lazima kutafakari kwanza.
PRO.20.19	Mpiga domo hafichi siri,
PRO.20.19	kwa hiyo mwepe mtu wa kuropoka.
PRO.20.20	Anayemlaani baba yake au mama yake,
PRO.20.20	mwanga wa uhai wake utazimwa kama taa gizani.
PRO.20.21	Mali iliyopatikana kwa haraka mwanzoni,
PRO.20.21	haitakuwa ya heri mwishoni.
PRO.20.22	Usiseme, “Nitalipiza ubaya niliotendewa.”
PRO.20.22	Mtegemee Mwenyezi-Mungu naye atakusaidia.
PRO.20.23	Mizani ya udanganyifu ni chukizo kwa Mwenyezi-Mungu,
PRO.20.23	na vipimo visivyo halali ni kitu kibaya.
PRO.20.24	Hatua za mtu huongozwa na Mwenyezi-Mungu;
PRO.20.24	awezaje binadamu kujua njia ya kwenda?
PRO.20.25	Ni hatari kusema kwa mzaha “Usiahidi kumpa Mungu kitu bila kufikiri,
PRO.20.25	la sivyo utaanza kusikitika baada ya nadhiri yako.”
PRO.20.26	Mfalme mwenye busara huwapepeta waovu;
PRO.20.26	huwaadhibu bila huruma.
PRO.20.27	Dhamiri ya mtu ni taa ya Mwenyezi-Mungu;
PRO.20.27	huchunguza nafsi yake mtu mpaka ndani kabisa.
PRO.20.28	Wema na uaminifu humkinga mfalme;
PRO.20.28	utawala wake huimarishwa kwa uadilifu.
PRO.20.29	Fahari ya vijana ni nguvu zao,
PRO.20.29	uzuri wa vikongwe ni mvi za uzee.
PRO.20.30	Mapigo yanayoumiza ni dawa ya kuondoa uovu;
PRO.20.30	viboko husafisha nafsi mpaka ndani kabisa.
PRO.21.1	Moyo wa mfalme ni kama maji yanayotiririka;
PRO.21.1	Mwenyezi-Mungu, huuongoza popote apendapo.
PRO.21.2	Matendo yote ya mtu ni sawa machoni pake,
PRO.21.2	lakini Mwenyezi-Mungu hupima mioyo.
PRO.21.3	Kutenda mambo mema na ya haki,
PRO.21.3	humpendeza Mwenyezi-Mungu kuliko tambiko.
PRO.21.4	Macho ya kiburi na moyo wa majivuno
PRO.21.4	huonesha wazi dhambi ya waovu.
PRO.21.5	Mipango ya mtu wa bidii huleta mali kwa wingi,
PRO.21.5	lakini kila aliye na pupa huishia patupu.
PRO.21.6	Mali ipatikanayo kwa udanganyifu,
PRO.21.6	ni mvuke upitao na mtego wa kifo.
PRO.21.7	Ukatili wa wakatili utawafutilia mbali,
PRO.21.7	maana wanakataa kutenda yaliyo ya haki.
PRO.21.8	Njia ya mtu mwenye hatia imepotoka,
PRO.21.8	lakini mwenendo wa mnyofu umenyooka.
PRO.21.9	Afadhali kuishi pembeni juu ya paa,
PRO.21.9	kuliko kuishi nyumbani na mwanamke mgomvi.
PRO.21.10	Anachopania kutenda mtu mbaya ni uovu;
PRO.21.10	hata kwa jirani yake hana huruma.
PRO.21.11	Ukimwadhibu mwenye dhihaka, mjinga hupata hekima;
PRO.21.11	ukimfundisha mwenye hekima, unampatia maarifa.
PRO.21.12	Mungu Mwadilifu
PRO.21.12	naye atawaangusha na kuwaangamiza.
PRO.21.13	Anayekataa kusikiliza kilio cha maskini,
PRO.21.13	naye pia hatasikilizwa atakapolilia msaada.
PRO.21.14	Hasira hutulizwa kwa zawadi ya siri;
PRO.21.14	tunu apewayo mtu imefichwa hupooza ghadhabu.
PRO.21.15	Haki ikitekelezwa watu wema hufurahi,
PRO.21.15	lakini watu waovu hufadhaishwa.
PRO.21.16	Anayetangatanga mbali na njia ya busara,
PRO.21.16	atajikuta ametua miongoni mwa wafu.
PRO.21.17	Anayependa anasa atakuwa maskini;
PRO.21.17	anayefikiria tu kula na kunywa hatatajirika.
PRO.21.18	Mwovu atapata pigo ambalo halitampata mtu mwema,
PRO.21.18	mkosefu ataadhibiwa badala ya mnyofu.
PRO.21.19	Afadhali kuishi jangwani,
PRO.21.19	kuliko kukaa na mwanamke mgomvi na msumbufu.
PRO.21.20	Nyumbani kwa mwenye busara mna hazina za thamani,
PRO.21.20	lakini mpumbavu huponda mali yake yote.
PRO.21.21	Anayepania uadilifu na huruma,
PRO.21.21	ataishi maisha marefu na kuheshimiwa.
PRO.21.22	Mwenye hekima aweza kuteka mji wa wenye nguvu,
PRO.21.22	na kuziporomosha ngome wanazozitegemea.
PRO.21.23	Achungaye mdomo wake na ulimi wake,
PRO.21.23	hujiepusha na matatizo.
PRO.21.24	Mwenye majivuno na kiburi jina lake ni “Madharau;”
PRO.21.24	matendo yake yamejaa majivuno ya ufidhuli wake.
PRO.21.25	Mvivu hufa kwa kutotimizwa tamaa zake,
PRO.21.25	maana mikono yake milegevu haitaki kufanya kazi.
PRO.21.26	Mchana kutwa mwovu hutamani kupata kitu,
PRO.21.26	lakini mwadilifu hutoa, tena kwa ukarimu.
PRO.21.27	Tambiko ya mwovu ni kitu cha kuchukiza,
PRO.21.27	huchukiza zaidi akiitoa kwa nia mbaya.
PRO.21.28	Shahidi mwongo ataangamia,
PRO.21.28	lakini msikivu hawezi kunyamazishwa.
PRO.21.29	Mtu mwovu hujionesha kuwa jasiri,
PRO.21.29	lakini mwadilifu huhakikisha ametenda sawa.
PRO.21.30	Hakuna hekima, maarifa, wala mawaidha yoyote ya mtu,
PRO.21.30	yawezayo kumshinda Mwenyezi-Mungu.
PRO.21.31	Farasi hutayarishwa kwa vita,
PRO.21.31	lakini ushindi wamtegemea Mwenyezi-Mungu.
PRO.22.1	Afadhali kuwa na sifa nzuri kuliko mali nyingi;
PRO.22.1	wema ni bora kuliko fedha au dhahabu.
PRO.22.2	Matajiri na maskini wana hali hii moja:
PRO.22.2	Mwenyezi-Mungu ni Muumba wao wote.
PRO.22.3	Mtu mwangalifu huona hatari akajificha,
PRO.22.3	lakini wajinga hujitokeza mbele wakaumia.
PRO.22.4	Ukinyenyekea na kumcha Mwenyezi-Mungu,
PRO.22.4	utapata tuzo: Fanaka, heshima na uhai.
PRO.22.5	Njia ya waovu imejaa miiba na mitego;
PRO.22.5	anayetaka kuhifadhi maisha yake ataiepa.
PRO.22.6	Mfunze mtoto namna ya kuishi vizuri,
PRO.22.6	naye hatasahau njia hiyo hata uzeeni.
PRO.22.7	Tajiri humtawala maskini;
PRO.22.7	mkopaji ni mtumwa wa mkopeshaji.
PRO.22.8	Apandaye dhuluma atavuna janga;
PRO.22.8	uwezo wake wa kutenda mabaya utavunjwa.
PRO.22.9	Mtu mkarimu atabarikiwa,
PRO.22.9	maana chakula chake humgawia maskini.
PRO.22.10	Mfukuze mwenye dharau na fujo itatoweka,
PRO.22.10	ugomvi na matusi vitakoma.
PRO.22.11	Mwenye nia safi na maneno mazuri,
PRO.22.11	atakuwa rafiki wa mfalme.
PRO.22.12	Mwenyezi-Mungu hulinda elimu ya kweli,
PRO.22.12	lakini huyavuruga maneno ya waovu.
PRO.22.13	Mvivu husema, “Siwezi kutoka nje;
PRO.22.13	kuna simba huko, ataniua!”
PRO.22.14	Kinywa cha mwasherati ni shimo refu;
PRO.22.14	anayechukiwa na Mwenyezi-Mungu atatumbukia humo.
PRO.22.15	Mtoto hupenda mambo ya kijinga moyoni,
PRO.22.15	lakini fimbo ya nidhamu humwondolea hayo.
PRO.22.16	Anayemdhulumu maskini atamfanya afaidike mwishowe,
PRO.22.16	anayewapa matajiri zawadi ataishia kuwa maskini.
PRO.22.17	Tega sikio usikie maneno ya wenye hekima,
PRO.22.17	elekeza moyo wako uzingatie maarifa yangu.
PRO.22.18	Wewe utafurahi endapo utayaweka moyoni,
PRO.22.18	na kuyakariri kila wakati.
PRO.22.19	Ninayependa kumfundisha leo ni wewe,
PRO.22.19	ili tegemeo lako liwe kwa Mwenyezi-Mungu.
PRO.22.20	Nimekuandikia misemo thelathini,
PRO.22.20	misemo ya maonyo na maarifa,
PRO.22.21	ili kukufundisha yaliyo sawa na kweli;
PRO.22.21	na mtu akikuuliza uweze kumpa jibu sahihi.
PRO.22.22	Usimdhulumu maskini kwa kuwa ni maskini,
PRO.22.22	wala usimnyime fukara haki yake mahakamani.
PRO.22.23	Maana Mwenyezi-Mungu atawatetea;
PRO.22.23	atawapokonya maisha yao wale watakaowadhulumu.
PRO.22.24	Usifanye urafiki na mtu wa hasira,
PRO.22.24	wala usiandamane na mwenye ghadhabu,
PRO.22.25	usije ukajifunza mwenendo wake,
PRO.22.25	ukajinasa kabisa katika mtego.
PRO.22.26	Usiwe mmoja wao wenye kuweka ahadi,
PRO.22.26	watu ambao hujiweka wadhamini wa madeni.
PRO.22.27	Ikiwa huna chochote cha kulipa,
PRO.22.27	hata kitanda unacholalia kitachukuliwa!
PRO.22.28	Usiondoe alama ya mipaka ya zamani
PRO.22.28	ambayo iliwekwa na wazee wako.
PRO.22.29	Je, yuko mtu mwenye maarifa kazini mwake?
PRO.22.29	Huyo atawatumikia wafalme;
PRO.22.29	hatawapa huduma yake watu wasiofaa.
PRO.23.1	Ukiketi kula pamoja na mtawala,
PRO.23.1	usisahau hata kidogo uko pamoja na nani.
PRO.23.2	Zuia sana hamu yako,
PRO.23.2	ikiwa wewe wapenda sana kula.
PRO.23.3	Usitamani vyakula vyake vizuri,
PRO.23.3	maana vyaweza kukudanganya.
PRO.23.4	Ikiwa unayo hekima ya kutosha,
PRO.23.4	usijitaabishe kutafuta utajiri.
PRO.23.5	Kufumba na kufumbua utajiri hutoweka,
PRO.23.5	huwa kama umepata mabawa ghafla,
PRO.23.5	ukaruka na kutowekea angani kama tai.
PRO.23.6	Usile chakula cha mtu bahili,
PRO.23.6	wala usitamani mapochopocho yake,
PRO.23.7	maana moyoni mwake anahesabu unachokula.
PRO.23.7	Atakuambia, “Kula, kunywa!”
PRO.23.7	Lakini moyoni mwake hayuko pamoja nawe.
PRO.23.8	Utatapika vipande ulivyokula;
PRO.23.8	shukrani zako zote zitakuwa za bure.
PRO.23.9	Usiseme maneno yako mbele ya mpumbavu,
PRO.23.9	maana atapuuza hekima ya maneno yako.
PRO.23.10	Usiondoe alama ya mpaka wa zamani,
PRO.23.10	wala usiingilie mashamba ya yatima,
PRO.23.11	maana Mungu, Mkombozi, ni mwenye nguvu,
PRO.23.11	naye ataitetea haki yao dhidi yako.
PRO.23.12	Tumia akili zako kufuata mafundisho;
PRO.23.12	tumia masikio yako kusikiliza maarifa.
PRO.23.13	Usiache kumrudi mtoto;
PRO.23.13	ukimchapa kiboko hatakufa.
PRO.23.14	Ukimtandika kiboko,
PRO.23.14	utayaokoa maisha yake na kuzimu.
