MAT.1.1	Hembu omukanda womana owoiheombwale ya
ROM.16.4	Ovantu mboka va yandja omienyo vyawo mena lyandje. Me ve pandula unene, haame vala aika, iya nomaongalo ovantu avehe mbava dha moupaani. 
ROM.16.5	Eongalo ndii onganena moyawo nalyo li menekelen̯i po.
ROM.16.5	Menekelen̯i po Epainetus, omuhivilikwa wandje, nguu li omutenga waKristus moAsia. 
ROM.16.6	Menekelen̯i po Maria, ngwee mu undapela unene. 
ROM.16.7	Menekelen̯i po ooAndronikus naJunias ovetu, nodhonkwatwa dhonkwetu mbava tumbala mokati k
ROM.16.8	Menekelen̯i po Ampliatus, omuhivilikwa wandje muMuhona. 
ROM.16.9	Menekelen̯i po Urbanus, omuundapi omukwetu muKristus naStakus omuhivilikwa wandje muMuhona. 
ROM.16.10	Menekelen̯i po Apelles, ngoka ngwee liyulika okutya ma hala okulandula Kristus. Menekelen̯i po ovaAristobulus. 
ROM.16.11	Menekelen̯i po Herodion owetu. Menekelen̯i po ovakriste ovakwetu muMuhona owomoyooNarkissus.
ROM.16.12	Menekelen̯i po ooTrifaina naTrifosa, Ovakadhintu mboka mbave li motjilinga tjaMuhona. Menekelen̯i po Persis omukadhintu ngoka ngwaa undapa unene otjilinga tjaMuhona. 
ROM.16.13	Menekelen̯i po Rufus, ngwaa holowolwa okukala motjilinga tjaMuhona, naina, ina nahi hitu kala naye, u ndinga ngomuna.
ROM.16.14	Menekelen̯i po ooAsinkritus nooFlegon nooHermes nooPatrobas nooHermas novakwetu mbamu kala nawo. 
ROM.16.15	Menekelen̯i po ooFilologus nooJulia nooNereus nompandje, nooOlimpas novadhilikwa avehe mbamu kala nawo.
ROM.16.16	Limenekelen̯i po nehupito edhilikwa. Omaongalo aehe aKristus mae mu menekele po.
ROM.16.17	Vakwetu, me mu pukulula mu lungamene ovantu mboka mbava eta omaliyapauko nokupukitha ovaitaveli. Va kondjetha elongo ndyoka ndimwa longwa. Kalen̯i kokule nawo. 
ROM.16.18	Ovantu mbava ninga ovipuka mbii li nyahoka, kava undapele 
ROM.16.19	Omuntu auhe wa tyaa ouhunga nan̯e okutya mu tyaa kodhondaka dhaKalunga. Ame mbe mu hulukilwa, iya me hala mu kale ovanadhondunge movipuka oviwa, kalen̯i kokule novipuka ovivi. 
ROM.16.20	Iya napano Kalunga kouwa ma ka nyanyauna dhiva Satana kohi yodhompadhi dhen̯i. Et̯ilonkenda lyaMuhona wetu 
ROM.16.21	Timoteus omuundapi omukwetu, novetu ooLukius nooJason nooSosipater mave mu menekele po.
ROM.16.22	Ame Tertius, ngumba sonekethwa omukanda hembu, me mu menekele po mu
ROM.16.23	Gaius, mpandji kala, me mu menekele po. Monganda ye omo mu onganena ovakwan
ROM.16.24	Et̯ilonkenda lyaMuhona wetu 
ROM.16.25	Kalunga nga tumbalekwe. Ye u na odhonkono oku mu koleka meitavelo pandaka ombwa yandje ndjimba teetha ouhunga na
ROM.16.26	Iya napano otjiholekwa tja holololwa m
ROM.16.27	Kalunga vala aika nguu li omunongo nga tumbalekwe apehe katee apehe. 
1CO.1.1	Omukanda hembu mau dhi kwaame Paulus, ngumba ithanwa kehalo lyaKalunga, 
1CO.1.2	Me sonekele 
1CO.1.3	Et̯ilonkenda nouwa waKalunga Tate nowaMuhona Jesus Kristus ngau kale nan̯e.
1CO.1.4	Ame apehe ndji yandja ompandu kuKalunga kandje mena lyen̯i, mena lyet̯ilonkenda lyaKalunga ndyee mu pa mu
1CO.1.5	Iya mwa ningwa ovahona movipuka avihe, himu li muKristus, modhondaka adhihe nomokwiiwa akuhe, 
1CO.1.6	ngahi tji li etumwalaka ndimali popi ouhunga naKristus lya kolekwa mun̯e, 
1CO.1.7	opo hámu hepa otjali tjopambepo nokanunu, himamu kevelele 
1CO.1.8	Kalunga me mu pameke katee kehulilo, opo hámu kala nombedhi m
1CO.1.9	Kalunga omuliun̯ikwa, oye e mu ithana mu kale noukumo nOmuna Jesus Kristus, Muhona wetu.
1CO.1.10	Vakwetu, ame me mu pukulula, mena lya
1CO.1.11	Ovakwetu owokoyooKloe va ntjeela nawa ouhunga nan̯e okutya mokati ken̯i mu na omalutangu. 
1CO.1.12	Nge tye hinyahi: Ovantu kava popi tjimo. Umo ma tyaa: “Ame ndjiwaPaulus” ne “Ame ndjiwaApollos” ne “Ame ndjiwaKefas,” iya umo uke ma tyaa: “Ame ndjiwaKristus.”
1CO.1.13	Kristus wa yapaulwa? Ne ngwaa t̯a k
1CO.1.14	Ame me pandula Kalunga, mena lyokutya hí na tja noumo owomun̯e ngumba tjatja, kakele kaKrispus naGaius.
1CO.1.15	Kape na tja noumo owomun̯e nguma tya wa tjatjelwa mena lyandje. 
1CO.1.16	Iinga, mba tjatja wo owoyaStefanas, híme thipaluka, andaa pe na uke umo ngumba tjatja.
1CO.1.17	Kristus ka ntumine ndji ka tjatje, iya wa ntuma ndji ka teethe ondaka ombwa, ahame ka teetha kounongo wountu. Ounongo wountu mau ningi et̯o lyaKristus lyokomutjaakano li kale ahali na otjilinga.
1CO.1.18	Ondaka ndjimai popi ouhunga net̯o lya
1CO.1.19	Iya kwa sonekwa okutyaa:
1CO.1.19	“Ame me han̯auna po ounongo wovanongo,
1CO.1.19	odhondunge dhovanadhondunge me dhi itha po.”
1CO.1.20	Omunongo u li pi? 
1CO.1.21	Iya ounongo waKalunga kau itavelele, ouye u iwe Kalunga kounongo wawo. Kalunga wa tokola okuhupitha mbava itavela hiaa undapetha eteetho lyetu ndii tiwa owoova. 
1CO.1.22	Ovajuda va pula omatangan̯eko, Ovagreka va taendha ounongo, 
1CO.1.23	iya nt̯e tu teetha Kristus ngwaa papelwa komutjaakano, nguu li otjiputalethi kOvajuda nowoova k
1CO.1.24	Iya Ovajuda nOvagreka mbava ithanwa kuKalunga, matu ve teethele Kristus, nguu li odhonkono nounongo waKalunga. 
1CO.1.25	Iya owoova waKalunga u na ounongo okupon̯a owovantu, noungone waKalunga wa kola okupon̯a owovantu.
1CO.1.26	Vakwetu, talen̯i okutya mwa vadhwa amu li vi, Kalunga hiee mu ithana. Okupopya mountu havengi mbava li ovanongo, havengi mbava li ovanadhonkono, havengi mbava ingonekwa. 
1CO.1.27	Iya ovipuka mbyoka vyomouye mbii ngala owoova Kalunga ovyo a holowola, opo a t̯ithe ohon̯i ovanongo. Iya ovipuka mbyoka vyomouye mbii ngala ovingone Kalunga ovyo a holowola, opo a t̯ithe ohon̯i mbyaa kola. 
1CO.1.28	Iya ovipuka mbyoka vyomouye mbii ngala va lyatelwa pohi nambyoka mbyaa tombwa Kalunga ovyo a hololowola, opo a han̯aune po soka ouye himau tala okutya tji na otjilinga, 
1CO.1.29	opo hápa kala omuntu noumo ngume litanga kotjipala tjaKalunga. 
1CO.1.30	Iya mena lyaKalunga mwa ila owomuKristus 
1CO.1.31	Iya ngahi kwa sonekwa hikwa tiwaa: “Ngume litanga, nge litangele 
1CO.2.1	Vakwetu, ame himbe ya kun̯e, hí dhile nodhondaka dhouthewe ne dhounongo oku mu teethela otjiholekwa tjaKalunga. 
1CO.2.2	Ame mba tokola ndji kale ahame iwa tja mokati ken̯i kakele vala okwiiwa 
1CO.2.3	Ame himbe ya kun̯e, mba li noungone nowoma, ame teketa unene.
1CO.2.4	Epopyo lyandje neteetho lyandje kalya li olyodhondaka dhounongo nodhokuhekela, iya lya li olyodhonkono dhOmbepo yaKalunga, 
1CO.2.5	eitavelo lyen̯i opo háli ka kulama mounongo wountu, iya li kale modhonkono dhaKalunga.
1CO.2.6	Ounongo hembu me u popi vala pumbava kula pambepo, haunongo wopauye hembu ne wovatumini mbava tumina ouye hembu, mboka mbamava anda. 
1CO.2.7	Iya ounongo hembu mbume popi, ounongo waKalunga, mbwaa holekelwe. Kalunga we u twaa po ae lukulu, ouye tainkolo ahau ko, u ile etumbalo lyetu. 
1CO.2.8	Ovatumini wouye hembu kape na tja noumo nguu i ounongo hembu, kave u i, ngaile ve u i, ngai kava papelele 
1CO.2.9	Iya ngahi kwa sonekwa okutyaa:
1CO.2.9	“Otjipuka hihatji monekele,
1CO.2.9	nahihatji teekele,
1CO.2.9	nahihatji dhile momutima womuntu,
1CO.2.9	Kalunga otjo a longekedhela mbave mu hole.”
1CO.2.10	Iya Kalunga we tu holololela tjo okupitila mOmbepo ye. Ombepo i thongonona ovipuka avihe noviholekwa ovinene vyaKalunga. 
1CO.2.11	Iya aan̯i nguu i hitji li momuntu? Ombepo yomuntu omwene oyo vala aiika i i hitji li muye. Otjo tji li wo, kape na nguu i hitji li muKalunga, kakele vala Ombepo yaKalunga oyene oyo i i hitji li muKalunga. 
1CO.2.12	Nt̯e katu pelwe ombepo youye hembu, iya twa pewa Ombepo ndjaa dha kuKalunga, opo tu iwe ovipuka avihe Kalunga mbyee tu pa otjali.
1CO.2.13	Ovipuka hembi mbimatu popi, kaatu popi odhondaka dhomounongo wountu, iya matu popi odhondaka ndhaa dha melongo lyOmbepo yaKalunga. Ovipuka vyopambepo matu vi thitululile mbave na Ombepo yaKalunga. 
1CO.2.14	Iya omuntu vala kaa ulu okutambula ovipuka mbimavi dhi kOmbepo yaKalunga. Kee vi tee, mavi mu ningile owoova, mena lyokutya ovipuka vyopambepo mavi teeka vala kovantu wopambepo. 
1CO.2.15	Omuntu wopambepo ma koneke ovipuka avihe, ye kaa konekwa komuntu noumo. 
1CO.2.16	 mau tyaa:
1CO.2.16	“Aan̯i nguu i omalipulo aMuhona?
1CO.2.16	Aan̯i nguma ulu oku mu longa?”
1CO.2.16	Iya nt̯e tu na omalipulo aKristus.
1CO.3.1	Vakwetu, ame hí tji ivilwe oku mu popitha ngangume popitha ovantu wopambepo, iya mbe mu popitha ngovantu wopauye, ngoulele mbuhauya kula meitavelo. 
1CO.3.2	Mbe mu pa omahini, hí mu pele ovikulya mbyaa pama, mena lyokutya kamwa li amamu vi ulu, iya tee napano kaamu vi ulu,
1CO.3.3	iya nanapano mu li monkalo yovantu womouye hembu. Mokati ken̯i mu na onki nomalutangu. Kamu li mouye nomonkalo yountu? 
1CO.3.4	Iya andaa umo ma tyaa: “Ame ndjiwa Paulus”, iya umo ha tyaa: “Ame ndjiwaApollos”, kamu li monkalo yountu nyahoka?
1CO.3.5	Apollos aan̯i? NaPaulus aan̯i? Wo ovapopili va
1CO.3.6	Ame mba twika ontwika, Apollos ha tekele, iya Kalunga ha twametha.
1CO.3.7	Nguma twike nanguma tekele kave na otjilinga, iya nguu na otjilinga oKalunga nguma twametha. 
1CO.3.8	Nguma twike nanguma tekele avehe ivamo. Omuntu auhe ma ka pewa ondjambi ye ndjii lithike potjilinga tje. 
1CO.3.9	Iya nt̯e tuvaundapi pamo naKalunga. N̯e on̯e mu li otjana tjaKalunga, n̯e on̯e wo mu li etungo lyaKalunga.
1CO.3.10	Met̯ilonkenda lyaKalunga ndyaa mpa, ngomutungi omunongo mba t̯inda omut̯inda, umo ma tungile momut̯inda hembu. Iya omuntu auhe nga lungame a tale okutya ma tungile mo vi. 
1CO.3.11	Kape na tja nguma twaa po ekulameno limo, kakele vala ekulameno ndyaa tuwa po, ndii li 
1CO.3.12	Iya andaa pe na nguma tungile kekulameno hendi, kutya nee ma undapetha otjingoldo ne otjisilveri ne omawe okalu ne omahodhi ne omangenge, 
1CO.3.13	otjilinga tje matji ka yulikwa okutya tji li vi, mena lyokutya etango ndyoka lyaMuhona otjilinga tje mali ke tji eta poluhandja. Matji ka holololwa nomulilo, omulilo owo mau tala okutya otjilinga tjomuntu auhe tja kola mpape lithike pi. 
1CO.3.14	Otjilinga tjomuntu ngwaa tungila kekulameno hendi, andaa opo tji li, omutungi ma ka pewa ondjambi. 
1CO.3.15	Otjilinga soka andaa tja hikwa po, omutungi kaa ka pewa ondjambi. Iya ye omwene ma ka hupithwa ngangwaa kaulwa momulilo.
1CO.3.16	Kamu tji i okutya n̯e mutempeli yaKalunga, nOmbepo yaKalunga i li mun̯e?
1CO.3.17	Andaa pe na nguma han̯auna po 
1CO.3.18	Hámu likembele po. Andaa mun̯e mu na nguma tya u na ounongo wouye hembu, nga ile eova, opo a ile omunadhondunge. 
1CO.3.19	Iya ounongo wouye hembu, kotjipala tjaKalunga owoova, mena lyokutya kwa sonekwa okutya: “Kalunga wa kambula ovanongo, tainkolo mave litya va lungama.”
1CO.3.20	Omukwawo uke mau tyaa: “Muhona u i omalipulo ovanongo okutya kae na himaa tya.”
1CO.3.21	Hámu litangele ovantu, mena lyokutya ovipuka avihe ovyen̯i, 
1CO.3.22	kutya oPaulus ne oApollos ne oKefas ne ouye ne omwenyo ne et̯o, hembi ovyanapano novyokomeho, avihe hembi ovyen̯i. 
1CO.3.23	N̯e muvaKristus, naKristus owaKalunga.
1CO.4.1	Iya omuntu auhe nge tu tale okutya nt̯e tuvantu va
1CO.4.2	Iya napano omuyungi auhe ma kevelelwa a kale omuliun̯ikwa. 
1CO.4.3	Kwaame katji na otjilinga kutya n̯e mamu nkoyo ne me koywa kovantu vamo. Iya ame omwene híme ulu okulikoya. 
1CO.4.4	Ame omalityoo andje omawa, atjaa kaatji tya ndjimuvyuuki, 
1CO.4.5	Hámu koyo omuntu, tainkolo otembu háiye thika, katee Muhona me ya, nguma eta poluhandja oviholekwa vyet̯iku nokuhololola omalipulo aehe omomutima. Iya omuntu auhe ma ka pewa ompandu kuKalunga.
1CO.4.6	Vakwetu, ovipuka hembi napano ame mbe vi vyuulula kombinga yetu naApollos mena lyen̯i, opo mu lilonge 
1CO.4.7	Iya aan̯i ngwee ku ninga omunene okupon̯a ovakwen̯i? Otjitji hiuu na tjo, hiho pelwe kuKalunga? Andaa nan̯i we tji pewa, mo linomene tji ngangumo tya ku tji pelwe otjali?
1CO.4.8	N̯e mu na tja ae atjihe himamu hepa. Muvahona, mwa ila odhohamba nandaku tiwa nt̯e katudhohamba. Mbe tje hala mu ile naa odhohamba, opo nant̯e wo tu ile odhohamba pamo nan̯e. 
1CO.4.9	Ame ndji lwete okutya nt̯e 
1CO.4.10	Nt̯e tumaova mena lyaKristus, iya n̯e muvanongo muKristus. Nt̯e tuvingone, iya n̯e muvanamatha, n̯e mwa tumbalekwa, iya nt̯e twa tombwa. 
1CO.4.11	Katee napano tu na ondjala nonyota, tu li nyahinya, tu tonwa, tu tjivauluka. 
1CO.4.12	Tu undapa unene nomawoko etu. Amave tu thingi, nt̯e tu ve pa elao, amave tu tatetha, nt̯e tu likambulithila.
1CO.4.13	Amave tu kuminine, nt̯e tu ve popya nawa. Tu ngala otjitoto tjoviyaya mouye hembu. Tu ngala ovantu ovatombwantu kovantu avehe katee ndino.
1CO.4.14	Hime soneke hinyahi, híme hala ndji mu t̯ithe ohon̯i, iya me mu pukulula ngodhondele dhandje ovahivilikwa. 
1CO.4.15	Nandaku tiwa mu na ovatekuli omayovi omulongo muKristus, iya kamu na tja owoiho ovengi. Aame iho muKristus 
1CO.4.16	Iya me mu ilikin̯a, mu ntjolele.
1CO.4.17	Mena lyotjipuka hehi, me mu tumine Timoteus, ye nguu li ondele yandje omuhivilikwa, omutakamethi muMuhona. Me ke mu thipalukitha onkalo yandje muKristus Jesus, nambimba longa apehe m
1CO.4.18	Ovantu vamo owomun̯e va uta okulinoma, va tya pamo híme ya kun̯e. 
1CO.4.19	Muhona andaa we tji hala, ame me ke ya dhiva oku mu valulila po, ndji ke limonene ko omwene, hahitji popiwa vala kovalinomi hemba, iya nokutala wo odhonkono dhawo. 
1CO.4.20	 hatjipuka tjokupopya vala, iya otjipuka hitji na odhonkono. 
1CO.4.21	Mamu hala tji? Nge ye kun̯e nosokoti ne nge ye nohole nombepo ombwa?
1CO.5.1	Apehe mpamo i, mapa popiwa ovihulo ovivi mokati ken̯i. Iya 
1CO.5.2	Mu litangela tji? Mwa thele okweetetha onkenda. Omuntu nguu ninga nyahi, wa thele okwiithwa mo mokati ken̯i. 
1CO.5.3	Ame nandaku tiwa katu li pamo monkalo yountu, iya tu li pamo pambepo. Omuntu nguma ningi nyahoka mbe mu koyo ae lukulu, me ngala ngundji li pun̯e. 
1CO.5.4	Amwa ongana mena lya
1CO.5.5	yandjen̯i omulumentu hengu kuSatana, olutu lwe lu han̯aunwe po, pamo ombepo ye mai ka hupithwa m
1CO.5.6	Okulitanga kwen̯i, hakuwa. Kamu tji i okutya okantathi okanunu ka pitha ombulunga aihe?
1CO.5.7	Ithen̯i mo ontathi onkulu, opo mu kale amwa kohoka. Iya mamu kala ngombulunga ombwa, ngahi mu li. Iya ondjona yetu y
1CO.5.8	Ngatu dhanen̯i otjipito hitji na omingome mbihavi twiilwe ontathi onkulu, ontathi onkulu ya lundhaka, yo ombi, iya omingome mbihavi twiilwe ontathi, mbyaa kohoka, ovyatjatjili.
1CO.5.9	Momukanda mbumbe mu sonekela, mbe mu heela okutya hámu i kumo novantu mbave litwaa movihulo. 
1CO.5.10	Híme popi ovantu wouye mbave litwaa movihulo ne mbave na olwiho ne mbava kengelela ovantu ne mbava undapela ovikalunga, mena lyokutya ngaile otjo nyahoka, ngai mouye mwa dha mo. 
1CO.5.11	Iya napano mbe mu sonekela okutya andaa pe na ngume litya omwiitaveli mukwen̯i, atjaa ye we litwaa movihulo ne u na olwiho ne u undapela ovikalunga ne u penya ovantu, ne u pyaluka ne u kengelela ovantu hámu i kumo naye, n̯e hámu li naye nokanunu.
1CO.5.12	Ndji na tji nokukoya mbahave li m
1CO.5.13	Kalunga ma ka koya mbahave li meongalo. 
1CO.6.1	Andaa pe na nguu na otjipopya nomwiitaveli omukwawo, ma ulu vi a twale omukwawo kunguhe thi omwiitaveli? Ngundhe ovaitaveli va thele okulipukulula puwo ovene? 
1CO.6.2	Ne kamu tji i okutya ovadhilikwa mava ka koya ouye? Iya andaa ouye mau ka koywa kun̯e, n̯e ovipuka hembi ovyo hámamu ulu okukoya? 
1CO.6.3	Kamu tji i okutya, matu ka koya ovaengeli? Matu anyenwa vi okukoya ovipuka vyomonkalamwenyo hendji? 
1CO.6.4	Iya andaa mu na ovipopya ouhunga novipuka vyonkalamwenyo yanapano, mamu ulu vi okukoywa kumbahave li nawa m
1CO.6.5	Ame me popi hinyahi ndji mu t̯ithe ohon̯i. Mokati ken̯i kamu na tja omunadhondunge nguma ulu okukoya ovaitaveli vakwawo? 
1CO.6.6	Iya omwiitaveli u twala omwiitaveli omukwawo, a ka koywe kumbahave thi ovaitaveli.
1CO.6.7	Iya hatjipuka otjiwa okukala novipopya pun̯e ovene. Omena lyatji hihámu yetha vala mu ningwe navi? Omena lyatji hihámu yetha vala mu nyekwe? 
1CO.6.8	Iya mu lininga navi, mu nyeka ovaitaveli vakwen̯i. 
1CO.6.9	Ne kamu tji i okutya mbahave thi ovavyuuki kaava ka pingana 
1CO.6.10	ne ovimpulu ne mbave na olwiho ne mbava pyaluka ne mbava penya ne mbava kengelela, kaava ka pingana otjilongo tjaKalunga. 
1CO.6.11	Iya vamo owomun̯e otjo mwa li nyahoka. Iya n̯e mwa kohwa odhonkali, mwa ningwa ovadhilikwa vaKalunga, mwa vyuukithwa mena lya
1CO.6.12	Omuntu ma ulu okutyaa: “Ame mba yandjelwa okuundapa ovipuka avihe.” Iinga, u li mondjila, atjaa havipuka avihe mavi ku thevelwa. Ame me ulu okutya mba yandjelwa okuundapa ovipuka avihe, atjaa híme yetha otjipuka notjimo tji ndinge omupika.
1CO.6.13	Umo u tyaa: “Ovikulya vya twiilwa po edhimo, nedhimo lya twiilwa po ovikulya.” Iya Kalunga me ke vi han̯auna po avyeevali. Olutu kalu twiililwe po ovihulo, iya olwa
1CO.6.14	Kalunga mena lyodhonkono dhe wa imuna Muhona kout̯e, ye me ke tu imuna wo kout̯e.
1CO.6.15	Kamu tji i okutya omalutu en̯i ovin̯ipo vya
1CO.6.16	Kamu tji i okutya omulumentu ngume litwaa mekunga, mava ile umo nekunga? 
1CO.6.17	Iya ngume litwaa muMuhona, mava ile umo pambepo.
1CO.6.18	Kalen̯i kokule novihulo. Omaulundhi aehe amo omuntu ngama ningi, kaae mu t̯in̯i kolutu, iya omuntu nguma i movihulo ma lundha olutu lwe omwene. 
1CO.6.19	Kamu tji i nan̯i okutya omalutu en̯i 
1CO.6.20	Kalunga we mu yowola nondjowo ndjii na okalu. Iya omalutu en̯i ngaa tumbaleke Kalunga.
1CO.7.1	Iya napano ame me popi ouhunga novipuka mbimwa soneka.
1CO.7.1	Tji li nawa omulumentu aha kupile. 
1CO.7.2	Iya mena lyokuyepa ovihulo, omulumentu auhe nga kale ae na omukadhintu we omwene, nomukadhintu nga kale ae na omulumentu we omwene. 
1CO.7.3	Omulumentu nga hwithile po ehalo lyomukadhintu we, nomukadhintu ngatjo a ningila omulumentu we. 
1CO.7.4	Omukadhintu ngwaa kupwa ke na tja etumino lyolutu lwe, iya omulumentu we oye e na etumino lyolutu lwe, nomulumentu kaa thele okutumina olutu lwe, iya omukadhintu we oye e na etumino lyolutu lwe. 
1CO.7.5	Hámu linomona, kakele vala amwa twaa po okaluvedhe kokutji litwaa mealikano. Iya kon̯ima tjunen̯i uke pamo ngovalikupi ngahi mu kala, opo hámu lolwa kuSatana, mena lyokutya kaamu ulu okukala olule ahamamu lala po pamo ngovalikupi.
1CO.7.6	Hehi híme tji popi ngoveta, iya me popi okutya tja thele okwiitavelwa. 
1CO.7.7	Iya ame me hala ovantu avehe va kale ngaame, atjaa omuntu auhe wa pewa otjali tje omwene kuKalunga, umo wa pewa otjontumba, omukwawo otjongandi.
1CO.7.8	Ovahepe nambahava kupilwe, me ve heele okutya tji li nawa andaa mave likalele ngaame hindji li. 
1CO.7.9	Andaa kaave tji ulu okulikalela, ngava kupwe mena lyokutya okukupwa hahe okupon̯a okupya kovihulo.
1CO.7.10	Iya mbava kupwa, me ve heele, haame me popi, iya o
1CO.7.11	Iya andaa we mu yala nga kale ahama kupwa, ne ngave liteyulule. Omulumentu há yala omukadhintu we.
1CO.7.12	Iya ovantu vamo me ve heele, haMuhona, aame me ve heele okutya andaa pe na omwiitaveli mukwetu nguu na omukadhintu nguhe thi omwiitaveli, atjaa ye wa itavele okukala nomulumentu we, omulumentu ngoka há yala omukadhintu we ngoka. 
1CO.7.13	Andaa pe na omukadhintu omwiitaveli, nguu na omulumentu nguhe thi omwiitaveli, atjaa ye wa itavele okukala nomukadhintu we, omukadhintu ngoka há yala omulumentu we ngoka. 
1CO.7.14	Iya omulumentu nguhe thi omwiitaveli, wa tambulwa kuKalunga okupitila momukadhintu we omwiitaveli, nomukadhintu nguhe thi omwiitaveli wa tambulwa kuKalunga okupitila momulumentu we omwiitaveli. Ngaile hatjo, ngai ovanwen̯i mava kala háva kohokele, iya napano ovadhilikwa. 
1CO.7.15	Iya nguhe thi omwiitaveli, ama hala okuyala omwiitaveli, ma ulu oku tji ninga. Omwiitaveli mukwetu omulumentu ne omukadhintu wa kutuluka movipuka hembi. Iya Kalunga we mu ithanena monkalamwenyo youwa. 
1CO.7.16	Ove mo iwa vi mukadhintu okutya mo ulu okuhupitha omulumentu woye ne mulumentu mo iwa vi okutya mo ulu okuhupitha omukadhintu woye?
1CO.7.17	Omuntu auhe nga kale monkalo ndjoka ndjaa pewa kuMuhona, ngahiaa li, hiaa ithanwa kuKalunga. Ondaka hendji me i heele 
1CO.7.18	Kalunga hiee ku ithana, andaa wa vadhwa awa pita etanda, hó liholeke. Andaa wa vadhwa aho pitile, hó lipititha uke etanda. 
1CO.7.19	Okupita etanda nahó pitile etanda hatjo tji na otjilinga. Hitji na otjilinga okutyaa kovitumino vyaKalunga. 
1CO.7.20	Omuntu auhe nga kale ngahi a li hiaa ithanwa kuKalunga. 
1CO.7.21	Andaa Kalunga hiee ku ithana wa vadhwa omupika, katji na tjilinga. Iya andaa mo mono oluvedhe okupewa ekutuluko, li tambula. 
1CO.7.22	Iya ngwaa vadhwa omupika hiaa ithanwa kuMuhona, wa ila omukutululwa waMuhona. Iya ngwaa vadhwa aa kutululwa hiaa ithanwa kuMuhona wa ila omupika wa
1CO.7.23	N̯e mwa yowolwa nondjowo onene, hámu liningi ovapika wovantu. 
1CO.7.24	Vakwetu, omuntu auhe kotjipala tjaKalunga nga kale ngahiaa vadhwa, hiaa ithanwa kuKalunga.
1CO.7.25	Ouhunga n
1CO.7.26	Hime tala omaluvedhe henga omadheu, tji li nawa ngaile omuntu auhe a kale ngahi e li. 
1CO.7.27	Andaa wa kupa, hó yala, andaa kuya kupa, hó kupu. 
1CO.7.28	Andaa mo kupu, koo lundha, nomuthukona wongendjo ama kupwa, kaa lundha. Mbamava kupu, mava i moudheu wonkalamwenyo hendji. Ame me hala ndji mu hupithe moudheu hembu.
1CO.7.29	Vakwetu, me hala ndji mu heele okutya okudha hempa oluvedhe oluthupi. Iya mbava kupa, ngava ngale mbahava kupile. 
1CO.7.30	Mbamava lili, ngava ngale mbahamava lili, nambave hulukwa, ngava ngale mbahave hulukilwe. Mbave na hive lilandela ngava ngale mbahave na hive na tjo. 
1CO.7.31	Ovantu mbava kondjela ovipuka vyouye hembu, ngava ngale mbahave litwiile mo. Iya ouye hembu kau li kokule nokwaanda.
1CO.7.32	Ame me hala okutya hámu kala notjiho. Nguha kupile, u na otjiho novilinga vyaMuhona, u kondja okuthevelwa Muhona. 
1CO.7.33	Ngwaa kupa u na otjiho novipuka vyouye, mena lyokutya u hala okuthevelwa omukadhintu we, 
1CO.7.34	okutya u li moudheu akweevali. Omukadhintu nguha kupilwe ne omuthukona wongendjo we litwaa vala movipuka vyaMuhona. Ontanto ye okuliyandja nokuundapela Muhona palutu nopambepo. Iya ngwaa kupwa we litwaa movipuka vyouye hembu mena lyokutya u hala okuthevelwa omulumentu we.
1CO.7.35	Ame me popi hinyahi mena lyouwa wen̯i ovene, haku mu twaa moudheu. Me hala mu undape ovilinga oviwa mbyaa vyuuka, mu tjiiwe okuliyandja motjilinga tjokuundapela Muhona.
1CO.7.36	Iya andaa pe na ngwaa nepa olukupo omuthukona wongendjo, nandaku tiwa wa kulilila, andaa kaa ulu okukala aha kupile, nga kupe ngahi ma hala, kaa lundha. 
1CO.7.37	Iya omuntu nguu yuvite momutima we okutya ma ulu okulikalela, há kupile, hápe na tja en̯in̯ikidho lyomuntu, onawa nge likalele. 
1CO.7.38	Iya nguma kupu omuthukona wongendjo, u li nawa, iya nguhama kupu, ma ningi nawa unene.
1CO.7.39	Omukadhintu ngwaa kupwa tainkolo omulumentu ae na omwenyo kaa ulu okukutululwa, iya omulumentu aa t̯i, wa kutuluka, ma kupwa kunguma hala. Olukupo ngalu kale olwopaukriste. 
1CO.7.40	Onawa unene ngaile omukadhintu nguu li nyahoka ahama kupwa uke. Henga omalipulo andje ngandji lwete okutya mbe e pewa kOmbepo yaKalunga.
1CO.8.1	Iya napano matu popi ouhunga n
1CO.8.1	Tu tji i okutya atuhe tu na ounongo. Okwiiwa ku twala omuntu mokulinoma, ohole i tunga. 
1CO.8.2	Andaa pe na nguma soko okutya u na hiee i, omuntu ngoka ke na hiee i ngahi a thele okwiiwa. 
1CO.8.3	Iya andaa pe na nguu hole Kalunga, omuntu ngoka u iwe kuKalunga.
1CO.8.4	Iya ouhunga nombaveka, nt̯e tu tji i okutya otjikalunga mouye katji na himatji tya, ku na vala Kalunga umo. 
1CO.8.5	Iya andaa ku na mbyoka mbiku tiwa “ovikalunga” kutya omeulu ne okombanda yohi, nandaku tiwa ku na “ovikalunga” ovingi, “nomalombe” omengi, 
1CO.8.6	iya nt̯e tu na vala Kalunga umo, oye e li Tate, ovipuka avihe vi dha kuye, nant̯e ngu tu undapela. 
1CO.8.7	Iya havantu avehe ve na ounongo motjipuka hehi. Ovantu vamo ve ilila ovikalunga. Iya katee napano amava li ombaveka ndjii li hinyahi, va soka okutya ombaveka. Elityoo lyawo ethupi, va mona okutya onyama ndjii li hinyahi mai ve lundha. 
