MAT.1.1	Liáni áabai lista nashínaa náa'a Jesucristo wérrinaimica, rey David cúuleemi ya Abrahám.
LUK.15.32	Tánda arrúnaa waméda fiesta, sáictaque'e wawówa lécchoo, léca liáni jéenajirrica nuédacanimicoo nácu máanalica, ne éejuerriu licáwiacoo, nuédacanimicoo yúcacoo, ne wáiinu linácui.’ ”
LUK.16.1	Jesús íiwa'ee lishínaa éewidenaicoo liáni: “Báqueerri washiálicuerri rícuerri liwáaliate báqueerri túyerri lishínaa; jáiwa'ee áabi yáau náiiwa lirrú liá'a rícuerrica léca'ee liá'a limáacani túya lishínaa, gásteerri'e liyá máashii lishínaa. 
LUK.16.2	Liwácali máida'ee lirrú ya tá'ee limá lirrúi: ‘¿Tána léji liéni namáni nulí jinácucha? Jíiwadeda nulí chítashia liá'a quinínama jishínaa tráawajuca, jiyá jócai éewa jitúya nushínaa mawiá.’ 
LUK.16.3	Lédacani'eewoo lirrúwoo liá'a catúyacaimi rícuerri shínaa: ‘¿Tána'ee numéda chóquejoo nuwácali jócai yáa nulí mawiá tráawaju? Jiní nudánani nutráawajau'inaa nulíwoo cáinabi, ya báibee nujínanicoo nusáta áabi yúcha. 
LUK.16.4	Ya ta nuá léenaa tánashia numédani'inaa, quéewique'e ái ríshibierri nuyá já'a nábana licúlau, jáicta numáacau jiní nulí tráawajujoo.’ 
LUK.16.5	Néenee limáida'ee bácainaa náa'a mówinianai liwácalirru. Lisáta'ee léemiu báqueerri quéechanacu: ‘¿Chíta máanaba jimówinia nuwácalirru jíni?’ 
LUK.16.6	Léeba'ee lichuáni: ‘Numówinia lirrú cien tíimbu aceite.’ Limá'ee liá'a catúyacai rícuerri shínaa: ‘Jishínaa recibo liáni yáa áani; jiwáayu madéjcanaa ya jitána áabata cincuenta, béewamicta bácaijani.’ 
LUK.16.7	Néenee liáwinaami lisáta léemiu báqueerri: ‘¿ya jiyá, chíta máanaba jimówinia lirrú jíni?’ Léeba'ee lichuáni: ‘Cien máanabaca trigo ínaabishi.’ Limá'ee lirrú: ‘Jishínaa recibo liéni; jiméda áabata ochenta, béewamicta máayabacajani.’ 
LUK.16.8	Liá'a liwácali yáa léenaa licába liá'a limáacani wánacaala, yáairri léenaa liyá liméda léjta liwówau'u. Ne jáicta chúnsai nashínaa negocioca, náa'a máinecoo éerri rícu, mawíni cáwi tuí naméda nashínau, náucha náa'a éewidenai Dios chuáni.
LUK.16.9	“Ne nuá iwítee iyá wáalianai irrícucau éerri rícu cajíconaica, igáanaque'e ijúninaiu, quéewique'e jáicta amáarra rícucaishi áani, narríshibia iyá nábana licúlau jócai amáarra.
LUK.16.10	“Liá'a sáicai médacoo áulabai yáajcha, cháminaa cábacanaa lécchoo sáica limédacoo íchaba yáajcha; ne liá'a jócai sáica áulaba yáajcha, chái cábacanaa lécchoo jócai éewa sáica limédacoo íchaba yáajcha. 
LUK.16.11	Ne cháwa cábacanaa, liyú liáni rícucai éerri rícu sái cajíconaica, iyá jócani sáica médacoo, ¿tánaminaa éewida'inaacu yáawaa, nácta irrú liá'a rícucai jócai amáarra? 
LUK.16.12	Ne jóctaca imédau sáica liájcha liá'a jócai ishínaa, ¿tánaminaa yáa irrú ishínaa'inaa yáawaa?
LUK.16.13	“Jiní cashírruedacai éewacala lishírrueda chámata liwácanairru; jiníwata máashiiminaa licába báqueerri ya caníinaa licába báqueerri, o machácaniwee báqueerrirruni o lichániwee báqueerri. Jócai éewa washírrueda Diosru ya rícucairru.” 
LUK.16.14	Náa'a fariséobinica máanalini warrúwa nácu, néemi'inaa quinínama liáni nacáida'ee Jesús náawa. 
LUK.16.15	Jesús má'ee nalí: “Iyá wanárra bésunenaicoo sáicaniyu chóniwenai náneewa, ne Dios yáirri léenaa iwówa; ne liá'a washiálicuerri wáaliani áacai mawí, Dios cháanini.
LUK.16.16	“Jócu'inaami Juan Bautista íinu újnibi, Dios wówerricta nayá náa'a chóniwenaica áabenaa nawówa liájcha liá'a leyca ya liá'a natánanimica náa'a cáiiwadedacanimi Dios chuáni. Néeneete nuíiwadeda sáicai chuánshica Dios wánacaalactala nácu, ya quinínama naméda nadánaniu quéewiquinicta nawárruacoo.
LUK.16.17	“Mawí jócu tráawaju amáarra liá'a éerrica ya cáinabi liúcha liá'a licúmpliacoo quinínama tánerricoo ley rícu.
LUK.16.18	“Báqueerri washiálicuerri máacacta líinuu ya léeda líinuu báquetoo, liméda máashii líinayu; ya liá'a éederri líinu ruá'a máaquechoo rúnirriu, chái lécchoo méda máashii líinayu.
LUK.16.19	“Báqueerri washiálicuerri rícuerri yáate, séewirrinaa lisúweda líibala cawéninamai ya sáicabeetai, ya éerri jútainchu liméda fiesta máanui wérri. 
LUK.16.20	Báqueerri lécchoo carrúni jináatai jí'ineerri Lázaro, yáairri cacháunai wérri liwá'eewoo cáinabi rícu líibana núma lícu liá'a rícuerrica. 
LUK.16.21	Liéni washiálicuerri carrúni jináataica wówerri'e cáawaica liyú liá'a íyacaishi tábi cáirricoo rícuerri shínaa mesa ítacha; yá'ee áuli narrúni'eewoo nabérruda lichúrruani. 
LUK.16.22	Áabai éerri'e máanali léji liá'a carrúni jináataimica, yá'ee náa'a ángelbinica natée'e liyá Abrahám néerra paraíso rícula. Liá'a rícuerrimi máanali lécchoo jíni, jáiwa'ee nabáya jíni.
LUK.16.23	“Nácula carrúni jináata rícuerri yáca náarrui rícula náa'a máanalinica, linácuda'ee linániu licába'ee déecucheji Abrahám, ya Lázaro liájcha. 
LUK.16.24	Néenee'e limáidada liá'a rícuerrica limá'ee: ‘¡Nuwérri Abrahám, carrúni jináata jicába nuyá! Jibánua Lázaro jisábida licáaji juátau shiátai yáacula, ya líinuque'e lidúji nuínanee náculani, níwata carrúni jináata nuyá bájialanaa lirrícu liáni chicháica.’ 
LUK.16.25	Ne Abrahám éeba'ee lichuáni: ‘Nutáqueerri, jédacaniu linácu liá'a sáica'umi jiyá cáinabi íta'aa, yá'ee Lázaro máashiimiyaca. Chóque'e sáicta lirríshibia liméda liwówau áani, ya nácula jiyá carrúni jináata. 
LUK.16.26	Nácula liúcha liáni, ái áabai carrátalia wérri wáucha wáacoo já'a ya jiájcha; tándawa náa'a wówerri nabésunacoo mayéji áani jiyáctalaca, jócani éewa nabésunacoo, áawita náa'a yáaine chérra wówai nabésunacoo máyala áani, jócani éewa lécchoo nabésunacoo máyala áani.
LUK.16.27	“Limá'ee liá'a rícuerrica: ‘Nusátani wérri jiúcha, nuwérri Abrahám, jibánuaque'e Lázaro nusálijinaa íibana néerra, 
LUK.16.28	nuwáaliacta cinco nuéenajinaiu, quéewique'e litáania líiwa nalí, jócubeecha náiinu máyala áani carrúni jináata nuyá.’ 
LUK.16.29	Abrahám éeba'ee lichuáni: ‘Nayá jái wáalia liá'a Moisés tánanimica ya nachuánimi náa'a cáiiwadedacanimi Dios chuáni báinacu; ¡namédaque'e nawánacaala!’ 
LUK.16.30	Léeba'ee liá'a rícuerrimica: ‘Jajá, nuwérri Abrahám, ne báqueerri máanalimicta éejoo licáwiacoo, ya líiyadau nalí, ya táminaa néejueda nawíteu.’ 
LUK.16.31	Ne Abrahám má'ee lirrú: ‘Ne jócta nawówai néemi Moisés chuánimi tánerricoo, ya nachuáni náa'a cáiiwadedacanimi Dios chuáni báinacu, jócuminaa néebida lécchoo áawitata báqueerri máanali cáwiacoo nalí.’ ”
LUK.17.1	Jesús ma nalí náa'a éewidenaicoo: “Ái séewirrinaa cúmideerri naméda jíconaashi; ne ¡carrúni jináatai liá'a washiálicuerri wáneerri naméda najíconau! 
LUK.17.2	Sáicaita liérra chóniwerri náuca manuá yáaculani nabáji liwáa nácu bátui íiba máanui wérri, liwánaca naméda najíconau náani júbini rímica. 
LUK.17.3	¡Cáwiwa yúchajoo!
LUK.17.3	“Jéenajirri médacta máashii jirrú, jiárra liyá; ne licámbiacta liwíteu, jimíya máecha lijíconaa limédani jirrú. 
LUK.17.4	Éewita liméda jirrú máashii sietechu áabai éerri, ya sietechu líinu limá jirrú: ‘jóca nuéejoo numéda jirrú máashii’, sietechu arrúnaa jimíya máecha lijíconaa.”
LUK.17.5	Náa'a apóstolu nasáta Jesús yúcha: —Jiá walí wéebidaque'e mawí. 
LUK.17.6	Jesús éeba'ee: —Iwáaliactata éebidau, éewita píitui rími, léjta bátui líta íimi liá'a mostaza, éewa imá lirrú liáni banácali jí'ineerri sicómoro: ‘Jéerruau wayéji áani, ya jiáabanau manuá yáacula’, ya banácali liméda liwánacaala.
LUK.17.7	“Báqueerri éenaa liwáaliacta báqueerri cashírruedacai éejuerriu bacháideji liáwinaami liyá lipúrreda cáinabi o litúya pacáa, ¿Limáminaa, jiwárroo jiwácoo jíyaca? 
LUK.17.8	jócai, újni limá lirrú: ‘jiwárroo jichúni núyanibi, ya lístau quéewique'e jiméda nuwánacaala, nácula núya ya nuíirra. Liáwinaami jéewa jíya ya jíirrai.’ 
LUK.17.9	Ya lécchoo jócani liá sáicai cashírruedacairru, tánashia liá'a liwána limédaca. 
LUK.17.10	Cha lécchoo iyá, jáicta inísa iméda quinínama liá'a Dios wánani limédaca, ya ta éewa imáca: ‘Wayá cashírruedacani jócani cawéni, níwata waméda bácai liá'a arrúnai wamédaca.’
LUK.17.11	Quéecha'inaa'ee Jesús yáacoo Jerusalén néerra, libésunau béewami náa'a cáinabica jí'ineenai Samaria ya Galilea. 
LUK.17.12	Liwárrua'inaa'eewoo áabai chacáalee rími rícu, najiáu lijúnta náa'a diez washiálicuenai bálineneu chorrówa nácu, nabárrua'eewoo déecucheji, 
LUK.17.13	namáidada'ee cadánani namá'ee: ¡Jesús, quéewidacai, carrúni jináata jicába wayá! 
LUK.17.14	Licába'inaa'ee nayá liá'a Jesúsca, limá'ee nalí: —Yáau íyadacoo sacerdótebinirru. Nácula'ee náawai, sáica jíni náa'a bálineneemicoo. 
LUK.17.15	Néenee'e báqueerri néenaa licába'inaa sáica liyái, léejua'eewoowai liá'ee Diosru sáicai cadánani, 
LUK.17.16	litúyau linánimiyu cáinabi nácula Jesús náneewa, liá lirrú sáicai. Liáni washiálicuerrica, licáinaberra jí'ineerri Samaria. 
LUK.17.17	Néenee'e Jesús má'ee: —¿Ya jócai diez namáanabaca náa'a chúneneecoo? ¿Ya náa'a nueve, tanácucha nayá jíni? 
LUK.17.18	¿Jiní éejueneu náa Diosru sáicai mawí bácai rími liáni déecucha sáica? 
LUK.17.19	Néenee'e Jesús ma lirrú, —Jibárroo, jiá namówai, jéebidacala sáica jiyá.
LUK.17.20	Náa'a fariséobini nasáta néemiu Jesús, chacálita'inaa líinu liá'a Dios wánacaalactaca, ya liyá léeba náuchani:
LUK.17.20	—Jáicta líinu Dios wánacaalactaca iyá jócainaa jéewa icábaca. 
LUK.17.21	Jiní namá irrú: ‘Liáni yáa áani’, ‘jócta liá'a yáa á'a’; níwata Dios wánacaalactaca jái yáa íibii.
LUK.17.22	Ya Jesús ma lishínaa éewidenaicoo: —Líinuminaa éerri iwówaiminaa icábacani nuyá Washiálicuerri Dios Cúuleeca, ne jócaiminaa icába. 
LUK.17.23	Áabi máminaa: ‘Liáni yáa áani’, jócta ‘Liá'a yáa á'a’; ne oyáau néerra, jiní isíguiacalani. 
LUK.17.24	Cháminaajoni icába éenu bérrudeerrica jáicta liquénai quinínama éerri rícu, cháminaa nuíinucojoo nuyá Washiálicuerri Dios Cúuleeca. 
LUK.17.25	Ne quéechanacu rúnaa nusúfria bájialanaa, ya nacháani nuyá náa'a chóniwenai liyáali éerri. 
LUK.17.26	Cháminaa libésunacoo léjta Noé yá'inaami, cháminaa libésunacoo lécchoojoo liáni éerrica rícu léejocta'inaacoo nuyá Washiálicuerri Dios Cúuleeca. 
LUK.17.27	Chóniwenai liyáali éerrimi íyenai ya íirrenai ya lécchoo cáseneu, cáashia líinu liá'a éerrica Noé wárrua'inau barco rículai, líinu'inaa liá'a únésacaca, ya quinínama máanali nayá. 
LUK.17.28	Chacábacanaa libésunacoo léjta Lot yá'inaami: Yáanimi rícu, chóniwenai cha nawíteemija náaya ya náirra, nawéni ya nawénda, ya náabana ya naméda nábanau; 
LUK.17.29	Ne Lot jiá'inaawai liúcha liá'a chacáalee Sodomaca, liúwa'eewau éerri rícue chichái, ya azufre amuáiyii lécchoo ya quinínama máanali nayái. 
LUK.17.30	Cháminaa liéni éerri rícu líyadaminaa nuyá Washiálicuerri Dios Cúuleeca.
LUK.17.31	“Liyáali éerrijoo, líinuni nácujoo cuíta íta'aa, liúrrucoo liáque'iu machácani, jócubeecha liwárroo cuíta rícula léeda lishínaa liá'a yéerri lirrícu; liá'a yéerri bacháida rícu, jócubeecha léejoo cuíta néerra. 
LUK.17.32	Édacaniteu runácu ruá'a Lot íinumica. 
LUK.17.33	Liá'a cáarrui máanali Dios jí'inaa nácu, liúcaminau; ne liá'a jócai cáarru máanalica Dios jí'inaa nácu, léeminaa wárruau Dios yáctalaca.
LUK.17.34	“Numá irrú liyáali táayee nayáminaajoo chámata máaminaa nayá áabai yáarrubaijaa íta'aa: Báqueerriminaa yáujoo, ya báqueerriminaa máacaujoo. 
LUK.17.35	Chámata íina júlenai nayáca molinoyu, báquetoo yáaicho'inau, báquetoo máaquecho'inau. [ 
LUK.17.36	Chámata washiálicuenai yéenai bacháida rícu: báqueerri yáairri'inau, báqueerri máaquerri'inau.]
LUK.17.37	Néenee nasáta néemiu Jesús: —¿Nuwácali, tanácucha'inaa libésunau léju liérra? Néenee'e limá nalí: —Táshia liyácta liá'a máanalimi, náiinuminaa náa'a wáachulica néerra.
LUK.18.1	Jesús íiwa'ee nalíni áabai licábacanaa léewidaque'e na'óraca jócubeecha sámu nayá. 
LUK.18.2	Limá nalí: “Ái báqueerri washiálicuerri já'a áabai chacáalee rícu, báqueerri wánacaleerri, jócai cáarru cába Dios, jócai cawáunta chóniwenai. 
LUK.18.3	Liyá chacáaleeca ái báquetoo máanirriu, ruá'eewau liyáctala liá'a wánacaleerrica liyúdaque'e ruyá licástigaaque'e liá'a washiálicuerrica méderri rulí máashii. 
LUK.18.4	Íchaba éerri liá'a wánacaleerrica jócai liwówai liyúda ruyá, ne liáwinaami lipénsaa: ‘Áawita jócu cáarru nucába Dios, jóca cawáunta washiálicuenai lécchoo’, 
LUK.18.5	ne néenee léjta ruáni máanirriuca éerrii jútainchu ruíinu rutáania nuájcha nuyúdaque'e ruyá rushínaa pleito nácu, ya tácoojoo nuyúda ruyájoo, jócubeecha ruíinu usébica nuwówa mawiá.”
LUK.18.6	Jesús má'ee nalí mawí: “Léewa limáni liáni washiálicuerri wánacaleerrica máashiica. 
LUK.18.7	Wée, sáica cajáni, ¿ya jócuminaa Dios túya lécchoo náa'a éebidenai linácu sátenaicoo liúcha éerri jútainchu ya táayee? ¿Liwánaminaa nanéndaca? 
LUK.18.8	Numáminaajoo léemiminaa ya liyúda nayá madéjcalicunaa. Ne jáicta nuyá Washiálicuerri Dios Cúuleeca nuíinu, nuíinuminaa náa'a chóniwenai yéenai cáinabi íta'aa, ¿áani újni éebida nunácu já'a?”
LUK.18.9	Jesús íiwa'ee nalí liéni áabai licábacanaa áabibirru máine'e nalíwoo nayá sáicani wítee náucha náa'a áabica: 
LUK.18.10	“Chámata washiálicuenai yáaineu templo néerra na'óraca: báqueerri fariseo ya báqueerri liérra cacóbracai impuesto Romarru. 
LUK.18.11	Liá'a fariséoca, libárruau li'óracoo chá'a: ‘Oh Dios, nuyá nuá jirrú sáicai jiníwata nuyá jócai cha léjta náa'a áabica, canédini, máashiica, méderri líinayu máashii líinu yúchau, ya jiníwata jócala cha nuyá léjta liérra cáwaquedacai warrúwa chóniwenai yúcha. 
LUK.18.12	Nuyá nuyúnaa chámai éerri semana nácu, ya nuá diezmo liá'a quinínama nugáananica.’ 
LUK.18.13	Ne liá'a cáwaquedacai warrúwa chóniwenai yúcha, limáaca'eewau déecuchata, jócai wíta'ee nácuda linániu áacairra, ta jiáirriu cáinabi nácula cáiwii ya liwówa lícu limá'ee: ‘¡Oh Dios, carrúni jináata jicába nuyá, nuyá cajíconai!’ 
LUK.18.14	Numá jirrú liá'a cacóbracai impuesto, léejo'eewoo líibana néerrau jái Dios pérdonaa jíconaa, ne liá'a fariseo jócai Dios pérdonaa jíconaa. Ne liá'a máanui wérri cábacoo, jócainaa cawéni; liá'a carrúni jináatai cábacoo jiníca, léewani máanui'inaa Dios yáa wítee.”
LUK.18.15	Náinda'ee Jesúsru sáamanai júbini lécchoo lidúnuque'e nanácu, quéewique'e Dios yúda nayá. Nacába'inaa'ee jíni náa'a éewidenaicoo, nárra'ee nayá náa'a índenai sáamanai. 
LUK.18.16	Néenee'e Jesús máida sáamanairru limá'ee:
LUK.18.16	—Imáaca náarra sáamanaica náiinuque'e nuyáctala, o'íyabaida nayá, nayácala jicá'a sáamanai nawárruaminau á'a Dios wánacaalactalaca. 
LUK.18.17	Yáawaiyii numá irrú, táanashia jócai wówai Dios wánacaalactala liyá léjta báqueerri samálita, jócaiminaa'ee liwárruau lirrícula liá'a Dios wánacaalactalaca.
LUK.18.18	Báqueerri washiálicuerri wánacaleerri lisáta'ee léemiu Jesús:
LUK.18.18	—Quéewidacai sáicai, ¿tána'inaa numédai nuéewaque'e nuéenaa liá'a cáwicashi jócai amáarra?
LUK.18.19	Jesús éeba'ee lirrú:
LUK.18.19	—¿Tánda jimá nulí sáicaca nuyá? Sáicai ái já'a bácai rímii: Dios. 
LUK.18.20	Jái jiá léenaa linácu liá'a Dios bánuanica: ‘Ujiméda jíinayu máashii báquetoo íinetoo yáajcha, ujíinua, ujinédu, ujiméda jinúma yúwicau báqueerrirru, ya cawáunta ya jitúya jisálijinaarru ya jitúwa lécchoo.’
LUK.18.21	Liá'a washiálicuerrica limá'ee Jesúsru:
LUK.18.21	—Quinínama nucúmplianicai quéecha'inaa icúlirrijui nuyá. 
LUK.18.22	Quéecha'inaa Jesús léemiqui jíni, Jesús má'ee lirrú: cháucta jibéecha áabata mawí: jiwénda quinínama liárra jiwáalianica jiáque'e nalíni náarra carrúni jináatanica. Ya táminaacojoo jiwáalia mawíjoo áacairra. Néenee jíinu chérra jisíguia nuyá.
LUK.18.23	Né'e léemi'inaa liá'a washiálicuerrica liáni, jáiwa'ee máashii liwówai, níwata liyá rícuerri wérri. 
LUK.18.24	Jesús cába'inaa máashii liwówa liá'a washiálicuerrica, Jesús má'ee:
LUK.18.24	—¡Tráawajui wérri nalíwoo náa'a rícubinica nawárrua'inau Dios wánacaalactalaca! 
LUK.18.25	jócaiminaa tráawaju lirrú liá'a caméeyuca liwárruaque'iu lituí rícu liá'a ishídui yájuca, tráawajui wérri nalíwoo náa'a rícubinica nawárrua'inau Dios wánacaalactalaca.
LUK.18.26	Náa'a éemenaicani nasáta'ee néemiu:
LUK.18.26	—¿Tána éenaa liácoo Dios néerrai?
LUK.18.27	Jesús éeba'ee nalí: Liá'a jócai washiálicuenai éenaa namédaca, Dios éenaani limédaca.
LUK.18.28	Pé'eru má'ee lirrú:
LUK.18.28	—Nuwácali, wayá máaquenai quinínama washínau wasíguiaque'e jiyá.
LUK.18.29	Jesús éeba'ee lirrú:
LUK.18.29	—Yáawaiyi numá irrú tánashia máaquerri nunácueji, líibanau, ya líinu, ya léenajinai, ya lisálijinaa, ya léenibi lécchoo, 
LUK.18.30	lirríshibiaminaa máanui wérri áani líta'aa liéni cáinabica, ne liáwinaami liá'a cáwicashi áani, lirríshibia licáwica jócai amáarra áacairra.
LUK.18.31	Jesús máida'ee báawachala náa'a lishínaa doce éewidenaicoo, limá'ee nalí: “Chóquejoo wáaminaujoo chaléeni chacáalee Jerusalén néerra, licúmpliactala'inaacoo quinínama namánimi náa'a íiwadedeene Dios chuáni báinacu natánanimica urrúnicala jíni nuyá Washiálicuerri Dios Cúuleeca. 
LUK.18.32	Néejuedaminaajoni nuyá nalí náa'a chóniwenai báawache sánaca, nacáidaminaa nuyájoo, máashiiminaa nanúma nulíjoo, nawísadaminaa nuyájoo. 
LUK.18.33	Nabásedaminaa nuyájoo ya náiinuaminaa nuyájoo; ne matálii éerri rícula nuéejoo nucáwiacoo báaniu.”
LUK.18.34	Nayá jócai yáa léenaa néemi quinínama Jesús mánica, jiní náacala léenaa liá'a litáaniani nácu, ne áabi jócai néenaa náa léenaa nácu.
LUK.18.35	Urrúni'inaa Jesús íinu lirrú liá'a chacáalee Jericóca, báqueerri matuíyii wáairriu liyá iníjbaa éemanacu, sáteerri liyá tánashia náani lirrúi. 
LUK.18.36	Léemi'inaa'ee nawítama bésunacoo náa'a chóniwenaica, lisáta'ee léemiu tána jinárra. 
LUK.18.37	Namá'ee lirrú Jesús Nazaret néenee sái liérra bésunau árra, 
LUK.18.38	liá'a matuíyiica limáida'ee:
LUK.18.38	—¡Jesús, David cúulee, carrúni jináata jicába nuyá!
LUK.18.39	Náa'a yáainecoo libéecha jáiwa'ee nacáita jíni, manúmata jíyabau, ne liyá liá'a matuíyiica limáidada mawí cadánani:
LUK.18.39	—¡David cúulee, carrúni jináata jicába nuyá!
LUK.18.40	Néenee'e Jesús libárroowai liwána naíndacani. Urrúni'inaa'ee liyá líinu Jesús néerra lisáta'ee léemiu liyá:
LUK.18.41	¿Tána jiwówai numéda jirrúi?
LUK.18.41	Liá'a matuíyiica má'ee Jesúsru:
LUK.18.41	—Nuwácali, nuwówai jiá nulí nutuí nuéewaque'e nucába báaniu.
LUK.18.42	Jesús má'ee lirrú:
LUK.18.42	—¡Jiwáalia jituí báaniu! Jiwáaliaca jéebidaca nunácu sáica jiyái.
LUK.18.43	Liyáalimi'eewai licábai, jáiwa'ee liáwai Jesús íshiirricu liá'ee lirrú sáicai Diosru. Quinínama náa'a chóniwenaica nacábani, má'ee sáicai Diosru lécchoo.
LUK.19.1	Néenee Jesús wárruawai á'a Jericó rícula libésunacta'eewoo liácoo néerra. 
LUK.19.2	Ái báqueerri washiálicuerri néerra jí'ineerri Zaqueo, nawácali náa'a jédenai impuesto Romarru. 
LUK.19.3	Liwówa'ee licábacani tánashia jíni liá'a Jesúsca, ne jócai léewa licábacani jócta'ee íchaba chóniwenai yá'ee bájiala píituicani liá'a Zaqueoca. 
LUK.19.4	Jáiwa licánacawai Jesús béecha néenee líirrawai áabai áicuba nácu jí'ineerri sicómoro quéewique'e licábacani á'a libésunacta'inaacoo liá'a Jesúsca. 
LUK.19.5	Quéechanacu Jesús íinuca chalé'e liyáctala liá'a Zaqueoca, licába'ee áacairra, néenee'e licába jíni. Licába'inaa jíni, néenee'e limá lirrúi, “Zaqueo, jiúrrucoo cálicu chérra, arrúnaaca numáacacoo wáalee jíibana néerra.” 
LUK.19.6	Néenee'e liúrrucua'eewoowai madéjcalicu sáicta wérri liwówa licúmida Jesúsca líibana néerrau. 
LUK.19.7	Nacába'inaa quinínama léji liáni, natáania'ee máashii linácu liá'a Jesúsca, namá'ee liácala'eewoo limáacacoo chaléeni liájcha liá'a cajíconaica. 
LUK.19.8	Náiinu'inaa líibana néerra liá'a Zaqueoca, néenee liáwinaami Zaqueo bárruawai limá'ee liwácalirru:
LUK.19.8	—Jicábateni, Nuwácali, nuáni'inaa nalí náa'a carrúni jináata béewami liá'a nushínaaca. Tánashia nunéduni náucha náa'a áabica, nuéejueda nalí cuatro mawí.
LUK.19.9	Néenee Jesús má'ee lirrú:
LUK.19.9	—Wáalee líinu liwáseda iyá quinínama náani yáainai lirrícu liáni cuítaca, liyácala liáni washiálicuerrica chái lécchoo litáqueerrimica liá'a Abrahámca. 
LUK.19.10	Táda'ee nuyá, liá'a Washiálicuerrica Dios Cúuleeca, nuyá íinuerri numúrruca ya nuwásedaca cajíconaani náa'a chóniwenai yúquenaimicoo nayáca.
LUK.19.11	Náa'a chóniwenaica éemenai nayáca Jesús máni liyáca quinínama liáni, jáiwa líiwa nalí áabai licábacanaa, jiníwata urrúnicala náiinu náacoo Jerusalénra, yá'ee napénsaa náacoo linácu liá'a Dios wánacaalactaca jáicala'ee líinu liyáalimi.
LUK.19.12	Limá'ee nalí:
LUK.19.12	—Báqueerri washiálicuerri cawénii yáte, jáiwa'ee liáu déecuchala áabai cáinabi ítala, quéewiquini'e namáaca reyni ya ta léejocoo néenee. 
LUK.19.13	Jóctana'e liájau limáida'ee lishínaa diez tráawajadorbiniu, liá'ee nalí bácainaa manuába warrúwa, ya tá'ee limá nalí: ‘Itráawajaa liyú liáni warrúwaca cáashia nuéejocoo.’ 
LUK.19.14	Ne chóniwenai lishínaa cáinabi lítala sánaca jócai nawówai liyá, nabánua líshiirricu áabi téenee lirrú áabai chuánshi máirri'e: ‘Jócu wawówai liéni washiálicuerri washínaa reyyu.’
LUK.19.15	“Ne máayabaca limáacacoo reyyui ya tá'ee léejuacuwai lishínaa cáinabi ítala. Quéecha'inaami líinuca libánua namáida lishínaa tráawajadorbiniu, náa'a léejuedaminaa nalí warrúwa, quéewique'e liá léenaa chítashia máanaba nagáana jíni bácainaa. 
LUK.19.16	Quéechanacu sáica líinu'e líyadacoo limá'ee: ‘Nuwácali, jiwárruani dáwinerriu mawí diez máanabachu lítala mawí.’ 
LUK.19.17	Rey éeba'ee lichuáni: ‘Sáicai wérri, jiyá tráawajador sáicai wérri; machácanicala jimédacoo áulaba yáajcha, numáacaminaa jiwánacaalaca diez chacáalee.’ 
LUK.19.18	Líinu'e líyadacoo báqueerrica lishínaa tráawajador, limá'ee: ‘Nuwácali, jiwárruani dáwinerriu cinco máanabachu mawí.’ 
LUK.19.19	Rey éeba'ee lichuáni liéni lécchoo: ‘Jiyáminaa numáaca jiwánacaala cinco chacáalee.’
LUK.19.20	“Ne báqueerri líinu'e líyadacoo limá'ee: ‘Nuwácali, jiwárruani liáni ya áani. Nuwáaliawa nudájidaqui jíni wárrumashidami íibi; 
LUK.19.21	cáarruwa nucába jiyái, níwata jiyá washiálicuerri camáashiicaica, yáawaquederri jócta jimáacani ya jiáawaqueda banácali jócta cáji jiáabana.’ 
LUK.19.22	Néenee limá'ee lirrú liá'a reyca: ‘Tráawajador máashii, jichuániyuja nuá jijíconaa. Ne jiácta léenaa washiálicuerri camáashiicai nuyá, nuáawaqueda jócta numáacani ya nuáawaqueda banácali jócta nuáabana, 
LUK.19.23	¿tánda jócu jitée nuwárruani lirrícula liá'a cuíta nawáaliadacta warrúwa, quéewiquinicta jéejueda nulí ligáananica jáictata nuéejoo cuíta néerrai?’ 
LUK.19.24	Rey má'ee nalí náa'a yáaine néeni: ‘Éeda liúcha warrúwa liárra, ya yáa lirrúni liá'a gáneerri diez máanabachu mawí.’ 
LUK.19.25	Namá'ee reyrru: ‘Wawácali, ¡ne liyá ái wáalia diez máanabachu mawí!’ 
LUK.19.26	Léeba'ee liá'a reyca: ‘Ne numá irrú, liá'a wáalierri, náaminaa lirrú mawí; ne liá'a jiní wáaliani, áawita áulabai liwáalianica nédaminaa liúchani. 
LUK.19.27	Ya náa'a nujínai jócanimi wówai rey nuyá, índa áani áani ya ta íinua nunáneewa jíni.’ ”
LUK.19.28	Liáwinaami limá quinínama liáni, Jesús síguia lishínaa iníjbau Jerusalénra. 
LUK.19.29	Quéecha'inaami urrúni líinu nalíi náa'a chacáalee júbini jí'ineenai Betfagé ya Betania, urrúni lirrú liá'a dúuli jí'ineerri Olivos, libánua'ee chámata lishínaa éewidenaicoo, 
LUK.19.30	limá'ee nalí:
LUK.19.30	—Yáau narrícula náa'a chacáalee júbinica yáainai ijúntami, jáicta íinu néerrajoo íinuminaa áabai burro bájerriu, jiní íirraniu íta'aa újnibi. Iwásedani ya índa nulíni. 
LUK.19.31	Ne áicta sáteerri léemiu iyá já'a tádashia iwásedani, imá lirrú wawácali rúnaani.
LUK.19.32	Náa'a éewidenaicoo ná'inaami'eewoo náiinu linácu quinínama léjta Jesús máyu'u nalí. 
