MAT.1.1	Ḿfa nâ ane ndə́p-i-njû Jisos Krayis nnyo eyábhé-mmon í Debhit. Debhit a ri eyábhé-mmon Abraham.
ACT.21.34	Ńnyo nne a chorá ejê, ńnyô ejê. Ka obhô ejok áji, á ka yúk kpe mfoné-mfoné echî nchot. A sə́re se á kó Pol á jî ka ebhám ane-enok. 
ACT.21.35	Ane-enok mbá á jên na Pol ta á sî ńcherê kən ó gyʉ́t ó jî ka ebhám ábho, kən ekam ane njí á chə́bhe á yimá mfá noŋ ane á gbek ekí. Ane-enok á kə̂n mân Pol á kí ji. 
ACT.21.36	Ane á tobha á kughá sê, “Yúi yê!”
ACT.21.37	Nji á wóma á kó Pol á gyê ka ebhám ane-enok, a bhə̂p ntûfâm nnyó se, “Nâ-ngá kə́n m bə̂p wâ nchot a?”
ACT.21.37	Ntûfâm nnyó a bhə̂p yê se, “We ó chorá fə́ne eyum í Grik a? 
ACT.21.38	Nâ we nne Ijip ányo asík nnyo ebhú etat a bháe nná na onyʉk ka eték, a yîm ane ntem-esam ntə̂m-ntə̂m ófó (4,000), á bê á gyê etə́m, á chə́bhe á yua ane a?”
ACT.21.39	Kən Pol a sə́re yê se, “Mme a ri nne Jus, mmon-i-nsi Tasus ka Sirisiya. Nne nnyo á ka məŋé eték njí cháŋ. Ítəbhé, deê mme n chôt mô nchot na ane mbá.”
ACT.21.40	Ntûfâm nnyó a kâm. Pol a gyími ka mô ekuní, a yîm obhô se ane á mághe ejok. Á kpó maghé ejok, a róghe echoróm na ábho ka eyum Ibru.
ACT.22.1	A róghe echoróm se, “Atem-abhon-í-nnyen na ásé abhámé, yûk ên nchot nnyi ń səra ên ka etáŋám biji ibhámé.”
ACT.22.2	Nji ane mbá á yúghi a kí chot na ábho a ri na eyum í Ibru, ngûm a kpére mân a nâ chák.
ACT.22.3	A jak ochî se, “Mme a ri nne Jus. Á jíi ə̂m ka eték í Tasus ka Sirisiya. Kən a ri mfá ka Jerusarem nâ á gyée ə̂m. Gamariye nâ a kpíi ə̂m ebhín ásé abhə́ré, ache á ka chaghé. Mme ń ka chaghé fə́ne ache ka nchot ebhín Obhasi ka ekpak ên égyé o ri ên áno.
ACT.22.4	Ofú ábhi ń ka kot ane mba á tóbha Mbá nnyi Jisos nnyí, n kará ane mbá ekpatə́m oseŋe kpát ta mba tat á kpok. M fik ane-akáé na ane-arûm n kaghá ka ókúmí. 
ACT.22.5	Ntûfâm akará-agore Obhasi na echəme Atáŋá-eték ndə́m a ri atî-isê abhámé. Á sêŋ nwet mbâ atem ábho ka Damakus á káre ə̂m. N jak bəre ń jí fî ane mba á rî ka Mbá nnyi Jisos mba á rî ágo ḿ bá nnyi Jerusarem á bhá kpə́re ábho.
ACT.22.6	“Nji n yəbhê n kí si Damakus na nchên, ekpatə́m ebhát é dʉ̂ nnyi ósô é gbô ə̂m áfo ebhú jə́t. 
ACT.22.7	M gbô áfo ka nsi, n yûk eyum é bhə̂p se, ‘Sol, Sol, ó kará ə̂m oseŋe jen?’
ACT.22.8	“Kən n táme bəre, ‘Ntâ, we a ri énê?’
ACT.22.8	“A sə́re ə̂m se, ‘Mme a ri Jisos, mmon i Nasaret, nâ ó kará áno oseŋe mbí.’ 
ACT.22.9	Ane mba á rî na mme á yên ebhát njí kən á ká məŋé eyum í nne nnyo á chorá na mme.
ACT.22.10	“Nji eyum njí é chóre nná na mme, m bə̂p mân bəre, ‘Ntâ, ń yîm jen?’
ACT.22.10	“A sə́re ə̂m se, ‘Duî ngyím, choŋ nnyi Damakus. Tîk nne a sə́re wâ chénchén nji Obhasi a sáŋe wâ sê ó yîm ágo.’
ACT.22.11	“Ebhát é tan ə̂m amə̂t. Ka obhô mbí, ane mba á jî na mme á fíi ə̂m ofi ka obhô ta n sî eték í Damakus.
ACT.22.12	“E kpô sí Damakus, nne yót a kamá Ananiyas a ri áfo. Nne nnyó á bhó chaghé ache na nchot ebhín, kpe nnyón nne Jus ka eték áji á chorá se a fôn nnyen erû.
ACT.22.13	“Kən nne nnyó a bhâ gyími ə̂m ka kpe biji a chôt se, ‘Mmon-i-nnyen omé, Sol, deê amə̂t á rə́bhe wâ ó kpó yen mbá.’ Ka nkúbhi ebhú áji, amə̂t á rə́bhe ə̂m, n yên yê fə́ne.
ACT.22.14	“Nji amə̂t á rə́bhe ə̂m, a sə́re ə̂m se, ‘Obhasi nnyo ásé abhə́ré á jígha a sâŋ wâ se ó mə́ŋe nji yê a wóme. Se ta ó yén Obhô-orûm obhê, ó yúk fə́ne eyum í nchot nji é dʉ̂ yê ka nnyo. 
ACT.22.15	Echî aŋ? We o kí joé ntî-isê owe mbâ ane chénchén ó sə́ré nji o yéne na nji o yúghi. 
ACT.22.16	Ó chighá mân jen? Duî ngyím, á fúk wâ ayép, á sû obhí obhâ á yíghi ka nji ó kam ka mbiŋ eye.’
ACT.22.17	“Ebhú m kpô chəbhé njəm nnyi Jerusarem, n kí goré Obhasi ka ókʉ́rí achot obhê, n yên ndem. 
ACT.22.18	N yên Ńtâ Jisos a kí səre ə̂m se, ‘Yim babhap, maghê eték í Jerusarem, ka tîk á bhó kam, kpe o sə́re ábho jen o kpê na mme.’
ACT.22.19	“N sə́re yê fə́ne bəre, ‘Ntûfâm, ó məŋe se ábho áfoné á məŋe sê kpe ka mbə́n óchâm Obhasi ń təmá ane mba á yúŋi ḿbə́ŋé á kî na we, n kaghá ábho ka ókúmí. 
ACT.22.20	Kpe ebhú á yúi ntî-isê owa, Stibhen, mme n di áfo na ábho, n kâm na ane mbá. Mme fə́ne nâ n kíi ḿfô ane mba á yúi yê oyúí.’
ACT.22.21	“Ntûfâm a sə́re ə̂m mân se, ‘Maghê eji njí, ka n kí tum wâ ka nték ajéné.’ ”
ACT.22.22	Mbôp nnyí nji Pol á chorá áno na ábho á rî nyamḿ á yugha, kən a kpo bhiŋ nná a ri nnyi ajéné Jus nnyí, á chə́bhe á kugha sê, “É nóbhe á yúí ntʉ́ghi nne nnyó oyúí. Á ka joé nne nnyo kə́n á mágha yê ka ekpin.”
ACT.22.23	Nji ane á kí kuk ka ekpak njí, á faghá ḿfô ábho ka ósô, á tubha ebhəm ka ósô, 
ACT.22.24	ntûfâm ane-enok nnyó a sə́re ane abhê á kó Pol á jí kak ka ebhám ábho. A sə́re se á tə̂m yê tata a sə́re ejûm nji yê a yimî kən ane á kí kuk sê á yúí yê.
ACT.22.25	Kən á kpó bhop yê na arík sê á tə̂m, Pol a bhə̂p nne nyúp ane-enok yót nnyo a gyím áfo se, “Ebhín í Rom é kam se ó tə̂m nne Rom nji á ká bhup kpá nchot a gbo yê a?”
ACT.22.26	Nji Pol a bhə́bhe ebhə̂p njí, nne nyúp ane-enok nnyó a jak a jî bhə̂p ntûfâm ábho nnyo se á tə̂m Pol se, “O sə́re nná se á yîm jen? Á tə̂m nne Rom a?”
ACT.22.27	Kən ntûfâm ábho nnyó a bhák mbâ Pol a bhâ bhə̂p yê se, “Sə́re ə̂m, we a ri nne Rom a?” Pol a kâm. 
ACT.22.28	A sə́re Pol se, “Mme ḿfoné, kən ḿ bá kâm nne Rom, n namê onam na ekpatə́m í ntí.”
ACT.22.28	Kən Pol se, “Mme a ri mfoné mmon-i-nsi Rom.”
ACT.22.29	Ane mba á síghi nná Pol otəm á tʉ̂ biji ebhú jə́t. Ntûfâm ábho fə́ne efup é gyê yê, ka a kâm ta á bhôp Pol, ka mmon-i-nsi Rom.
ACT.22.30	Ntem-ofú, ntûfâm ane-enok nnyó á woma owóm yê a məŋé ejûm nji Pol a yimî kən ane Jus á kí nok yê eyúúm. A yíghi mân Pol ka ókúmí, a chə́me chénchén ane-echî akará-agore na ane echəme Atáŋá-eték, a kô Pol a bhák ka ochî ábho.
ACT.23.1	Nji á kóe Pol á bhak ka ochî echəme njí, a yûŋ amə̂t a kêp ane mbá nyamḿ, a róghe echoróm se, “Atem-abhon-í-nnyen, ta é si ofú mbi égyé, ekpak ekpin ejámé nji m fiî ka ochî Obhasi na ḿbə́ŋé amé jáé ń ka fon efup.”
ACT.23.2	Nji Pol a chorê áno, ntûfâm akará-agore Obhasi a kamá se Ananiyas a sə́re ane mba á rî kpít na Pol se á súm yê ka nnyo.
ACT.23.3	Kən Pol a sə́re yê se, “Obhasi tîk a sûm wâ a fê, nne áfúbhí! O kun o táŋá ə̂m ka ekpak ebhín é fíi, o gbok ebhín njí jə́t ka esə́rə́m ane se á súm ə̂m.”
ACT.23.4	Ane mba á gyími á kpíri Pol á sə́re sê, “O kí tu ntûfâm akará-agore Obhasi a?”
ACT.23.5	Kən Pol se, “Atem-abhon-í-nnyen, m məŋê fan bəre nâ ntûfâm akará-agore Obhasi? To á séŋe nná ka nwet Obhasi sê, ‘Deê nne a kâ chôt obhí a kpe na nne nnyo á kíi ntûfâm a bhábhá ane abhê chénchén?’ ”
ACT.23.6	Nji Pol a məŋê se etʉ̂ ane ka echəme njí a ri ane echəme Farasi, etʉ̂ mba echəme Sadusi, a kûk se, “Atem-abhon-í-nnyen, mme a ri nne echəme Farasi. Ásé abhámé á rî ka echəme Farasi. Égyé ń gyimi mfá á kí taŋ ə̂m, ka n yuŋî ḿbə́ŋé n kî bəre ane mba á kpóe okpó tîk á nyə́me ka ekʉ̂.”
ACT.23.7	Etʉri-étʉ́ri nji Pol a chorê ejûm njí, achât á gbô ka ekam njí. Ane echəme Farasi na mba Sadusi á róghe ekpóŋóm na atem. 
ACT.23.8	Echî aŋ? Ane echəme Sadusi á ká kam sê, nne á kpo, tîk a nyə́me ka ekʉ̂. Á ká kam sê ejûm etat é rî á bhiŋá sê baénjel, na ńtʉgântʉ eróŋ. Kən ane echəme Farasi á káme sê chénchén iyîm mbí í rî ka echî.
ACT.23.9	Okpóŋe ó bhə̂t. Etʉ̂ atóŋá-ebhín ka echəme ane Farasi á rúi ngyím á kí tup áfírí sê, “É ka yén kpe ejûm nji nne nnyó a yimî. É joé áfo ka etʉri sê ebhú tat énjel na kpe ebhú tat ńtʉgântʉ etat ágo a sə́re yê ejûm mân aŋ?” 
ACT.23.10	Okpóŋe mbí ó kí son oson ó bhak, kən ntûfâm ane-enok a kére se ane mbá tîk á rât Pol rat-rat, a yíghi ane-enok abhê a tûm se á jí kó Pol ka ikom á bhá ka ebhám ábho.
ACT.23.11	Atʉ́ á kpó nyak, Ntâ Jisos a bhâ gyími ka mkpe biji Pol a sə́re yê se, “Fon ḿbə́ŋé, ka eji ó gyimi ntî-isê omé ka Jerusarem, o ri ó gyímí fə́ne ka Rom.”
ACT.23.12	Ntem-ofú, ane Jus á kô óŋwóŋe ka ebhə̂t sê ta ábho á yúí Pol, kpe édî nne ábho á bhó di, kpe ejûm á bhó gwo. 
ACT.23.13	Á rî ábho á chíŋi kpe nsam ébháe mba á kóe óŋwóŋe mbí. 
ACT.23.14	Á jak mbâ ane-echî akará-agore Obhasi na ane-akúí eték á jî sə́re ábho sê, “É ko óŋwóŋe sê ta e yúi Pol, édî fə́ne é bhó di bhúghí-bhúghí. 
ACT.23.15	Deê ên na echəme Atáŋá-eték ndə́m ó túm ane á sə́ré ntûfâm ane-enok a túm Pol a bhá. Yim yê a kéré se o kí nok ó mə́ŋe ên mfoné-mfoné echî nchot. Á kam a tûm yê, se a bhá si êt e gyím ka mbá, tîk e yúi yê.”
ACT.23.16	Nji ane mbá á tími áno achot mmá, mmon nnyo nne-ndûm nnyo mmon-i-nnyen i Pol nnyo nne-nkáé a yûk, a jak fə́ne ka ebhám ane-enok a jî sə́re Pol.
ACT.23.17	Pol fə́ne a bhîŋ nne nyúp ane-enok yót a sə́re yê se, “Kó mmon i nguŋi nnyó choŋ mbâ ntûfâm owəné. A fôn ejûm nji a kí səre yê.”
ACT.23.18	Nne nnyó a kô yê a jak a jî sə́re ntûfâm ábho se, “Pol nnyo e kaghê ka ókúmí a bhiŋî ə̂m a sə́re se ń kó mmon i nguŋi nnyó ḿ bá mbâ eya, ka a fôn ejûm nji a kí səre wâ.”
ACT.23.19	Ntûfâm nnyó a fî mmon nnyó ka obhô á jak ka eji átíŋ, a bhə̂p yê se, “O fonê jen nji o wóme ó sə́ré ə̂m?”
ACT.23.20	A táme se, “Ane Jus á kubhi sê á sə́ré wâ ó kó Pol ó jî ójô ka echəme Atáŋá-eték nâ ábho á kí wom á mə́ŋe mfoné-mfoné echî nchot. 
ACT.23.21	Kən we, ka kâm na ábho, ka ane ábho á sî kpe nsam ébháe mba á chígha ka mbá sê á yúí yê. Ane mbá á kóe óŋwóŋe sê ábho kpe édî á bhó di, kpe ejûm á bhó gwo ta á yúi Pol. Á tʉri biji ábho á ki. Á kpok áno ochik wâ ó túm Pol.”
ACT.23.22	Ntûfâm nnyó a sə́re mmon nnyó se, “Choŋ kʉ́ri, kən ka kâm kpe nne yót a məŋé se ḿ məŋe nchot nnyí.”
ACT.23.23	Ntûfâm ane-enok a bhîŋ ane ayúp ane-enok abhê ábháe a sə́re ábho se, “Tʉrî ên biji ka ńkánínká érôn-énî nnyi atʉ́ mma égyé, kó ên ane-enok nsam kpe ófó, mba á jéna ka njəm ofoŋ nsam ésá na ófó, mba á nógha enok na árôp nsam ófó, choŋ ên ta ó sí Sesariya. 
ACT.23.24	Nôt ofoŋ mbi Pol a kí bhughi ta ó kó ên yê, kpe ejûm é kâ yîm yê ta ó sí ên mbâ Ntûfâm i Feris.” 
ACT.23.25	A sêŋ fə́ne nwet a káre ábho se á káre mbâ Feris.
ACT.23.26	A séŋe se, “Mme, Krodiyus Lisiyas, nâ ń tuma áno nwet nnyí mbâ eya, Feris, Ekpatə́m í Ntûfâm Ejík. N kí kup wâ na ejík. 
ACT.23.27	Ane Jus á fíi nne nnyó á sîk oyúí kən n kô ane-enok abhámé m bâ nyáŋe yê, ka n yúghi sê yê a ri mmon-i-nsi Rom. 
ACT.23.28	Bəre ń nôk ḿ mə́ŋe nchot nnyi á bháre yê, n kô yê mân n jak ka echəme Atáŋá-eték ábho. 
ACT.23.29	N nôk m mə́ŋe bəre á fíi yê ka achot ebhín ábho, kən kpe ejûm á ka yim nji kə́n á yúi yê na kpe á kâk yê ka ókúmí. 
ACT.23.30	Á kpó səre se ane mbá á kí nok mbá nnyi á kí yui yê, nâ ńjə́ne ń tum yê áno mbâ eya ntə̂m yə́t, ń səre fə́ne ane mba á tóe sê yê a yîm obhí, á bhá sə́ré obhí obhê ka ochî obhâ.”
ACT.23.31	Ane-enok mbá á yîm fə́ne ka ekpak á sə́re ábho, á kô Pol na atʉ́ á sî ka Antipatris. 
ACT.23.32	Ofú ó kpó che, á chə́bhe njəm, kən á mághe mba á bhúgha ofoŋ á kô yê á jî ochî. 
ACT.23.33	Á kpó si Sesariya, á káre nwet nnyí mbâ ntûfâm nnyó, á kô fə́ne Pol á káre yê. 
ACT.23.34	Ntûfâm a kpo bhiŋ nwet nnyí, a bhə̂p Pol ebhat nji a dʉ. Pol a sə́re se a ri ebhat í Sirisiya. 
ACT.23.35	Ntûfâm nnyó mân se yê tîk a yûk achot ábho ebhú ane mba á sə́ra sê yê a yîm obhí á bha. A sə́re fə́ne á kô yê á jî kâk ka ókʉ́rí ntûfâm etat nnyo á kamá se Erot á bhábha yê.
ACT.24.1	Mfín a kpo chíŋ érôn, ntûfâm akará-agore Obhasi a kamá se Ananiyas na etʉ̂ ane-akúí eték na ntóŋa-ebhín yót a kamá se Teturus á jak nnyi Sesariya, á jí sə́ré Ntûfâm i Feris obhí Pol.
ACT.24.2	Nji á síi, Ntûfâm i Feris a bhîŋ Pol a bhák, kən Teturus a fâp a kí səre obhí Pol se, “Ntûfâm, ka ekpak ó kok o fik êt, é fon enare ka eték ebhú é rap. O kí yimâ fə́ne bibhín mbi í kə́ bha na onono ka eték ejə́ré. 
ACT.24.3	Ntʉ́ghi ekpin ejâ njí êt e kí kam kpe bhaghé ebhú kpe fan kpe fan. E kí kup wâ fə́ne ka ńjə́ne. 
ACT.24.4	Ń ka wóm ḿ bíbhí ebhú ejâ kpe-eji, kən n kí goré wâ bəre ó nâ biji ó yúk mô ekîm í nchot nnyi é bhak osə́ré wâ. 
ACT.24.5	É yen sê nne nnyó a ri mfoné-mfoné nkara-oseŋe. Kpe a jiî fan, yê nâ á yimá ane Jus á kará onyʉk ka ngun ndə́m. Yê a ri ka ekam ane Nasaret áji. 
ACT.24.6	A nôk se yê a nyóbhé ókʉ́rí achot Obhasi obhə́ré kən e fî yê áno. [E wóme sê é táŋ nchot eye ka ekpak ebhín ejə́ré é fíi. 
ACT.24.7	Kən Lisiyas nnyo ntûfâm ane-enok a bhâ tábhe yê ka ikom. 
ACT.24.8	Nji a tabhê yê, a sə́re a ri se êt é bhá mbâ eya.] We ḿfoné, ó bhəp yê, tîk o mə́ŋe se achot mma é səra sê a yîm, a ri ka echî.” 
ACT.24.9	Ane Jus mbá chénchén á kâm sê nchot nnyi Teturus a chorê a ri ka echî.
ACT.24.10	Ntûfâm nnyó a kpíghi a sə́re Pol se a sə́ré ejê erə́bhe nchot.
ACT.24.10	Pol a róghe se, “Ḿ məŋe bəre we ó taŋ achot ka eték njí mfá ebhú é rap. Ka obhô mbí, ḿ fon ogyebhá-ḿbə́ŋé nji ń gyimi ka ochî obhâ, ḿ búp amé nchot. 
ACT.24.11	Kə́n o yên se mfín á ka chíŋi ófó na ébháe nnyi n jiî Jerusarem bəre ń kare ejík mbâ Obhasi. 
ACT.24.12	Ane Jus mbá á ká kpughi ə̂m m fírá áfírí na nne ka ókʉ́rí achot Obhasi. Á ka yén ə̂m n kaghá ane akát ka nsi ka óchâm Obhasi ka ngûm na kpe ka eji etat ka Jerusarem bəre á káre onyʉk ka eték. 
ACT.24.13	Á ká bhik etóŋóm jáé ájoé iyîm mbi á sə́re nná sê ń yim, í rî ka echî. 
ACT.24.14	Kən n kí kam ka ochî obhâ bəre ń jigha Obhasi nnyo ásé abhə́ré á jígha, kən noŋ nne nnyo á tobha Mbá nnyi Jisos nnyi ábho sê a ri áfúbhí. Ń kam na chénchén achot mma á rî ka onwet ebhín í Mosis na mbi akará-otîp Obhasi. 
ACT.24.15	Ń yuŋ fə́ne ḿbə́ŋé n kî na Obhasi nnyo kpe ábho áfoné á káme, bəre ane abhí oo, ane ano oo, tîk chénchén á nyə́me ka ekʉ̂. 
ACT.24.16	Nâ ńjə́ne é yími ə̂m bəre ń nôk m foná ḿbə́ŋé amé jáé ka ochî Obhasi na atem-ane.
ACT.24.17	“Ḿ maghe Jerusarem nyâ a râp kən bəre ń jî káre ntí mbâ akpák ka ejámé eték, n káre fə́ne Obhasi ekəp. 
ACT.24.18	Nji n di n yimá iyîm mbí, ane mbá á yéne ə̂m ka ókʉ́rí achot Obhasi, nâ ebhú ḿ man agore osugha-biji. Kpe á ká yen ə̂m na ekam ane. Á ká kpughi kpe nchot yə́t.
ACT.24.19	Kən etʉ̂ ane Jus mba á dʉ̂ nnyi ebhat Esiya á rî áfo. É nóbhe kə́n ábho á fâp ochî obhâ á bhá sə́ré ejûm ebhí nji á yéne ə̂m n yîm. 
ACT.24.20	Kpe ane mbá, bhə̂p ábho á sə́ré wâ ejûm ebhí nji echəme Atáŋá-eték á yéne sê ń yim. 
ACT.24.21	Təm nchot yə́t nnyi n táme ebhú á táŋa ə̂m bəre, ‘Égyé, ên ó kak ên ə̂m ka esup o kí taŋ ên nchot amé, ka n kamê bəre mba á kpóe okpó tîk á nyə́me ka ekʉ̂.’ ”
ACT.24.22	Nji Pol a chorê nchot eye a mân, Ntûfâm Feris ngá a mə́ŋe nono a kpê na nchot i Mbá nnyi Jisos. A sə́re ane mbá se á chîk, ebhú Lisiyas nnyo nne-echî ane-enok á bha, yê tîk a gbût nchot. 
ACT.24.23	A sə́re fə́ne ntûfâm ane-enok se a kó Pol, a bhábhá yê nono, a kâ gáre okí yê amə̂t ka biji. Se a kâ gbʉ́i fə́ne atem í Pol nji á bha yê oyén na ogye.
ACT.24.24	Mfín a kpo chíŋ kpe áno, Feris na nkáé owe, Drusiriya, á bhîŋ Pol sê a jí kpi ábho nchot i ḿbə́ŋé ekíím na Jisos Krayis nono. Nkáé Feris a ri nne-nkáé Jus. 
ACT.24.25	A fíri na ábho a kpê na nchot i iyîm eyimím ka nnyen-i-mbá, ofigha-biji na etáŋám nji Obhasi a kí taŋ ane ka nsígha-njəm ebhú. Efup é gyê Feris nji a yúghi nchot nnyí, a chôt mbâ Pol se, “É bhik! Choŋ kpá, ebhú ḿ kpo fon ebhú, tîk n tûm á kô wâ obhák.” 
ACT.24.26	Á kera ngá fə́ne se Pol tîk a chîŋ obhô njəm a káre yê. Ka obhô mbí, a kí tum á bhiŋá Pol a bhák chénchén ebhú, á kubhá na atem.
ACT.24.27	Nyâ a kpo chíŋ ébháe, Posiyus Festus a kô ekumi-otúi Feris. Feris á woma yê a yim ejûm nji é kí gyebhe ane Jus ḿbə́ŋé, a mághe mân Pol ka ókúmí.
ACT.25.1	Mfín a kpo chíŋ ésá nji Ntûfâm i Festus a bháe ebhat eték njí, a mághe Sesariya a jak Jerusarem. 
ACT.25.2	Ka Jerusarem, ane-echî akará-agore Obhasi na ane-echî ane Jus á sə́re ntûfâm nnyó obhí Pol. 
ACT.25.3	Á góre yê kpe-eji sê a nyáŋé ábho a túm ábho Pol nnyi Jerusarem. Á bhop ekubhi sê Pol á bha, á kí yui yê ka mbá.
ACT.25.4	Kən Ntûfâm i Festus a táme ábho se, “Pol a ri ka ókúmí ka Sesariya. Mme ḿfoné n kí chəbhé njəm ágo mkpât ebhú. 
ACT.25.5	Deê ane-echî abhə́né á tóp ə̂m á bhá, á bhá sə́ré obhí nne nnyó ágo, ájoé a yîm obhí.”
ACT.25.6	Festus a kpô ká na ábho mfín kpe ófó, a mághe a chə́bhe njəm nnyi Sesariya. Ofú ó kpó che, a kúmi se yê a táŋ esup í Pol. A káre ikom á kô yê á bhak. 
ACT.25.7	Á kpó to á kó Pol a bhá, ane Jus mba á bháe nnyi Jerusarem á róghe esə́rə́m sê nâ achot mma Pol a yimî, kən á ká bhik etóŋóm ájoé achot mmá á rî ka echî.
ACT.25.8	Pol a gyími a kí taŋ biji se, “Kpe ebhín ane Jus ń ka gbo. Kpe ejûm ebhí ń ka yim m kpê na ókʉ́rí achot Obhasi kpe na Ntûfâm i Rom.”
ACT.25.9	Kən Festus ngá a kí wom kə́n se yê a gyé a ri njəm ane Jus, a bhə̂p Pol se, “O kí wom é jî Jerusarem é táŋ nchot eya nnyí ágo ka ochî obhámé a?”
ACT.25.10	Pol se, “Ḿfa n gyím áno ka óchâm esup í Ntûfâm i Rom. Ḿfa nâ kpe etáŋám á tâŋ nchot amé. We ḿfoné ó tʉri oməŋé se ń ka yim ane Jus obhí kpe bhə́t. 
ACT.25.11	Ájoé mme ń yim obhí kpe bhə́t mbi é nóbhe sê ḿ kpó, ḿ bó be ekʉ̂. Kən ájoé ń ka yim achot mma á sə́ra áno sê ń yîm, nne nnyo a kí gbip ə̂m a karé mbâ ábho cháŋ. N kí wom á kó nchot nnyí á jî ka ochî Ntûfâm i Rom.”
ACT.25.12	Ntûfâm i Festus á kúbhi na atem-atúi-ofâm, a sə́re Pol se, “Ó səre se á jî na nchot ka ochî Ntûfâm i Rom. Ágo fə́ne nâ n kí tum wâ.”
ACT.25.13	Mfín a kpo chíŋ kpe áno, Ntûfâm Agripa na mmon-i-nnyen owe nnyo nne-nkáé sê Benis á bhak ejen Sesariya á bhá kup Ntûfâm i Festus. 
ACT.25.14	Á kpó ka mô mfín a jak, Ntûfâm i Festus a sə́re yê nchot i Pol se, “Nne yót a ri nnyo Ntûfâm i Feris a maghê ka ókúmí. 
ACT.25.15	Nji n jiî Jerusarem, ane-echî akará-agore Obhasi na ane-akúí ane Jus á sə́re sê a yîm obhí, á yúí yê. 
ACT.25.16	Kən n sə́re ábho bəre áno asík ane Rom á yíma. Bəre ebhín í Rom é rî sê, ta ane mba á sə́ra sê nne a yîm obhí, na nne nchane nnyo sê a yîm obhí, á kpúghi ochî na ochî, kpe énê a chôt ejê, nne á ka fon ikom mfi a kí kpəré nne kpe yót. 
ACT.25.17	Á bhak mân mfá na mme. Nji a bháe ń ka bhíbhí ebhú, n kî esup njí ntem-ofú, á kô nne nnyó á bhak. 
ACT.25.18	Kən ane mba á sə́ra sê a yîm obhí á ká kpo səre kpe ejûm etat nji n kére kə́n bəre nâ obhí nchane. 
ACT.25.19	Kən á fóne mô áfírí ágo na atem, nchot Obhasi ábho na nne yót sê Jisos. Nne nnyó sê a kpô, kən Pol se a nyə́me ka ekʉ̂. 
ACT.25.20	Nji n yéne bəre é chiŋi ə̂m kpá ń ka məŋé nji n kí chot, m bə̂p Pol ájoé tîk a kôt e jak nnyi Jerusarem é jí táŋ nchot ányi ágo. 
ACT.25.21	Kən Pol á ka kam, se ta Ntûfâm i Rom a sə́re ifê íkíkéré. N sə́re fə́ne bəre á kî yê tata m fôn ebhú n tûm yê mbâ Ntûfâm i Rom.”
ACT.25.22	Ntûfâm Agripa a kpô yúk chénchén achot mmá, a sə́re Festus se yê tîk a kôt a yên Pol na amê amə̂t.
ACT.25.22	Festus se, “Nâ ójô tîk o yûk nchot eye.”
ACT.25.23	Ofú ó kpó to ó ché, Agripa na Benis á gyê óchâm eték na ekpatə́m ejík, ane-enok á bhabha. Atúi-ofâm ane-enok na ane ayúp chénchén ka eték á rî áfo fə́ne. Festus a tûm á jî kô Pol á bhak.
ACT.25.24	Nji á kóe Pol á bhak, Festus se, “Ntûfâm Agripa, na ên chénchén mba o ri na êt mfá, ńgyê ên nne nchane. Ane Jus ndə́m ka Jerusarem, na mfá ka Sesariya, á sə́ra sê a yîm obhí. Á kí kughâ fə́ne sê á ka bhik nji á kí kpo ki yê ekpin. 
ACT.25.25	Ń yen mme ḿfoné bəre á ka yim kpe ejûm etat nji é bhíghi á yúi yê. Kən ka eji yê ḿfoné se é kó nchot eye é jî ka ochî Ntûfâm i Rom, ń kam fə́ne na yê. 
ACT.25.26	Kən ejûm jə́t é rî. Ń ka məŋé kpe ejûm nji n kí seŋ ń túm Ntûfâm i Rom bəre nne nnyó a yîm. Nâ ńjə́ne ń ko yê áno ḿ ba ka ochî obhə́né, títí we Ntûfâm Agripa, bəre é kpó kep nchot nnyí kən ḿ fôn kpe ejûm n kí seŋ. 
ACT.25.27	Echî aŋ? É kí joé énə́mé íkíkéré nji ó tum nne mkpokobhé mbâ Ntûfâm i Rom, ó ka séŋ nwet ó sə́ré nji a yimî nji bhí.”
ACT.26.1	Agripa a sə́re Pol se, “Chot, êt é yúk.” Pol fə́ne a tə́ne obhô obhê kən a róghé echoróm se,
ACT.26.2	“Ntûfâm Agripa, ń kere bəre ḿ fon ofa ka égyé njí, nji n kí səre ejámé eyum í nchot ka ochî obhâ, é kpê na achot chénchén mma ane Jus á sə́ra sê ń yimá. 
ACT.26.3	Echî aŋ? We ó ka kpó joé njéné na erû ane Jus na bibhín ábho. Nâ na mân biji, yûk mân nchot nnyi n kí chot mfá.
ACT.26.4	“Ekpin ejámé ta ka obhóné ka eték ejámé na ka Jerusarem, nne Jus nnyo a rô məŋé cháŋ. 
ACT.26.5	Á káma á sə́ré kə́n á sə́re wâ ábho áfoné sê mme m fiî erû ejə́ré Farasi mba é bhó chaghé ache bhúghí-bhúghí ka nchot ebhín Obhasi. Á məŋe ejûm njí ebhú é rap.
ACT.26.6	Kən égyé, ńgyê mme n gyím ka ochî esup ka ń yuŋ ḿbə́ŋé ń ki ka ejûm nji Obhasi a chimî ásé abhə́ré éməné. 
ACT.26.7	Ejûm nji ndə́p-i-njû eyəré ófó na ébháe á kî ḿbə́ŋé sê tîk á fôn, á jigha Obhasi atʉ́ na efín. Ntûfâm, a ri ka ejûm njí jə́t na ane Jus á sə́ra áno sê ń yîm obhí. 
