MAT.1.1	Mapalivaisije Jesucristo pijasalinaivimi pelivaisi. Jesucristo rabaja Davidpijinë pemomoxiyajuvënënë. Davidpijinë pijinia Abrahampijinë pemomoxiyajuvënënë. 
JHN.9.40	Nexata fariseovi, bajarajota penubenaevi, jumetane bajarapacuenia Jesús pejumaitsijava. Nexata fariseovi jumaitsi Jesúsjavabelia.
JHN.9.40	—¿Paxanë ata tsabaja pajamatabëcueneitaquirinë tsavanapae? jai.
JHN.9.41	Jesús nexata jumaitsi fariseovijavabelia:
JHN.9.41	—Jãjã, bitso pajamatabëcueneitaquirimë tsavanapae. Tsipaji jamatabëcuenenavëxaniabiaya pajamatabëjumaitsimë tsabiabi: “Vaxaitsi rabaja jumecovënëtatsi Dioso,” pajamatabëjamë tsabiabi. Nexata Dioso pejumelivaisi payapëtae atamë, itsiata pibisiacuene paexanabiabame. Nexata bitso pananeconitame Diosojavabelia. Paxamë Dioso pejumelivaisi apo paneyapëtaexae, itsa pajamatabëcueneitaquirimë tsipae, nexata bitso apo pananeconitsimë tsipae Diosojavabelia, jai Jesús fariseovijavabelia.
JHN.10.1	Jesús jumaitsi fariseovijavabelia:
JHN.10.1	—Xaniajanë pacuenia pacatsipaebijitsiatsi. Oveja pecajoneyabiabicorral ënëabelia saicayanë pejonenexa, apo jone corral baupajava. Junaya saya peyenepanatsia pejonenexalia. Bajaraponë penacobetoxotsinënexa oveja. 
JHN.10.2	Ponë peneta joneya corral baupayalia, bajaraponë cajena oveja pevetsinë. 
JHN.10.3	Nexata corral baupa pevetsinë tobaupatatsi pijaoveja pecapitsapaenexa. Itsa baja pijaoveja capitsapa corralvecua, pijaoveja jumeyapëtanetsi. Tsipaji junatapona pijaoveja caenë canacujitsia pevënëta. 
JHN.10.4	Pecapitsapaecujinae daxita pijaoveja, bajaraponë oveja pevajënaeya namataxainanajetaruca. Nexata pijaoveja pënaponatsi. Tsipaji jumeyapëtanetsi pijaoveja. 
JHN.10.5	Oveja apo pënaponae tsipae saicayanë. Tsipaji apo jumeyapëtae. Vecuarëcëpecaejitsipa saya, nayabarajai Jesús fariseovijavabelia.
JHN.10.6	Bajarapacuenia Jesús oveja pevetsinëcuenia nataeya comparacióncuenia nalivaisipaeba fariseovijavabelia. Itsiata fariseovi apo jumeyapëtaetsi Jesús comparacióncuenia penalivaisipaebijava.
JHN.10.7	Jesús jumaitsi fariseovijavabelia:
JHN.10.7	—Xaniajanë pacuenia pacatsipaebijitsiatsi. Pacuenia oveja junua corral baupajava, pepanepaenexa corral ënëaberena, bajara xanë itsinë jivi pejonenexa xanëjava, pepanepaenexa Dioso pijatomarabetsia. 
JHN.10.8	Itsamonae xanë tavajënaeya penajumetsënëtsilivaisi jivi tsipaebapona. Bajarapamonae oveja bepenacobetoxotsivi. Jamatabëneyacajërëta tajajivi. Itsiata baitsi jane tajajivi apo jumecovënëtsi bajarapamonae. 
JHN.10.9	Xanë rabaja cajena baupanë. Pajivi nesivanajamatabëcopatsiana, jonena xanëjava pepatsinexa Dioso pijatomarabetsia. Bajarapajivi capanepaenatsi Diosojavabelia. Pijaoveja xaniavaetsia pevetsinë, caebajayacunua canacujitsia capitsapa corralvecua oveja pexaejava pejaitsinexa. Icatsia caecaniviyo canacujitsia cajunua corraljavaberena. Bajara pijinia pacuenia xanë ata xaniavaetsia evetsianajë pajivi nesivanajamatabëcopatsiana, jai Jesús fariseovijavabelia.
JHN.10.10	Icatsia Jesús jumaitsi fariseovijavabelia:
JHN.10.10	—Penacobetoxotsinë bapata oveja penacobetoxotsinexa, pebeyaxuababiabinexanua. Bajarapacuenia oveja peveretaponaenexa bapata. Bajara pijinia jamatabëcueneitsi pamonae pata penajumetsënëtsilivaisi jivi petsipaebaponaenexa. Itsiata baitsi jane xanë patajopaicajë mapanacuayabetsicaje xanë tajamatabëcueneta jivi pexainaenexa matacabi apo pevereverecaejava, bitso jamatabëcuenebarëyaya pejinavanapaenexanua. 
JHN.10.11	Pacuenia itsi xaniavaetsia pevetsinë pijaoveja, bajara pijinia xanë itsinë taevetsinexa tajajivi. Xaniavaetsia pevetsinë pijaoveja jamatabëjumaitsi: “Itsanë netobeyaxuabijitsia ata tsane tajaoveja, apo copatsinë tsane tanetoyajuvënëbeyaxuabiyaniva tajaoveja. Nexata xanë tajaoveja yapijivinacaevetsianajë tanebeyaxuabinexa,” jamatabëjai. Bajara pijinia xanë ata jamatabëitsinë tajajivi yabara. 
JHN.10.12	Itsiata ponë saya toevetsipa itsanë pijaoveja, bajaraponë apo xainae tsipae bajarapaovejabitsaëto. Saya toevetaponaponaejitsipa pematamotsinexatsi. Nexata nevëthë oveja itsa tsimaxënajetarucaejitsipa, bajaraponë xuabatabajiravijitsipa ovejabitsaëtomi. Nexata oveja nevëthë itsa yajuvënëvaetabijitsipatsi, nacayajatecaejitsipa ovejabitsaëtomi. 
JHN.10.13	Oveja pevetsinë najetabajiravijitsipa. Tsipaji saya pematamotsinexatsi nacuenebaponaponaejitsipa. Nexata apo jamatabëbëjai tsipae oveja yabara, jai Jesús fariseovijavabelia.
JHN.10.14+JHN.10.15	Icatsia Jesús jumaitsi:
JHN.10.14+JHN.10.15	—Pacuenia itsi xaniavaetsia pevetsinë pijaoveja, bajara pijinia itsinë xanë ata taevetsinexa tajajivi, pamonae taniji beovejacuenia. Pacuenia taxa neyapëtane, bajara pijinia pacuenia xanë ata yapëtaniji taxa. Pacuenia pijinia xaniavaetsia yapëtaniji tajajivi, bajara pijinia pacuenia tajajivi ata neyapëtane. Xanë sivatëpaenajë tajajivi. 
JHN.10.16	Xainajë baja itsabitsaëto tajajivi. Itsiata abaxë bajarapamonae apo yajavajinavanapae mapabitsaëtojavataje. Itsiata itsamatacabi capatsianajë bajarapamonae mapabitsaëtojavaberenaje. Nexata daxita bajarapamonae nejumecovënëtsiana taitorobicuenia. Caebitsaëtoxaneto jane baja tajajivi netonaexanaena. Bajarapamonae xanë caenënë evetsianajë, jai Jesús.
JHN.10.17	Icatsia Jesús jumaitsi:
JHN.10.17	—Taxa niasiva. Tsipaji tajajivi yabara nacaevetsianajë tanebeyaxuabinexa. Itsiata icatsia tatëpaecujinae asaënë tsane. 
JHN.10.18	Itsa apo nacaevetsinë tsipae tanebeyaxuabinexa, itsajivi ata apo caëjëpaetsi tsipae tanebeyaxuabinexa. Itsiata tajacuata nacaevetsianajë tanebeyaxuabinexa. Necaëjëpa tatëpaenexa. Necaëjëpanua icatsia tasaënexa tatëpaecujinae. Bajarapacuenia taxa netocopata, jai Jesús.
JHN.10.19	Judíovi itsa jumetane bajarapacuenia Jesús pejumaitsijava, judíovi apo najamatabëcuenejëpae. 
JHN.10.20	Judíovi ayaibitsaëto najumaitsi Jesús yabara:
JHN.10.20	—Dovathi raja bajaraponë yajavaponaponatsi. Matajemabatsi ra saya. ¿Detsa xuajitsia bajaraponë panamuxunaevetame? najai bajarapamonae.
JHN.10.21	Itsiata bajarapamonaeyajuvënëvi itsamonae najumaitsi:
JHN.10.21	—Ponë dovathi yajavaponaponatsi, apo caëjëpaetsi tsipae cajena pecuaicuaijainexa mapacueniaje. Apo caëjëpaetsinua tsipae pitaxutoxanepanaeyaexanaenexa bitso pitaxutotsëcënaenëmi, najai bajarapamonaeyajuvënëvi Jesús yabara.
JHN.10.22	Emarapaeta Jerusalén tomarata fiesta exana. Bajarapafiesta exana judíovi penajamatabënapitsinexa bajayata judíovi pijasalinaivi templobo pexanebetsijava. 
JHN.10.23	Nexata pamatacabi fiesta exana, Jesús ponapona bajarapatemplobojavata, Portal de Salomónvënëjavata. 
JHN.10.24	Nexata Jesús judíovi matatoyorotsia nacaetuatatsi. Judíovi jumaitsi Jesúsjavabelia:
JHN.10.24	—Apo payapëtaenë pacuenia panajamatabëxainaejitsianë xamë yabara. ¿Detsa pacujinae paneyapëtaeyaexanaename patacayapëtaenexa pepacuene ponëmë? Itsa pepacuene Cristomë, Dioso athëbëvetsica pecaitorobinëtsica jivi necapanepaenexa, panetsipaebare cajena rovialia, jai judíovi.
JHN.10.25	Jesús nexata jumaitsi judíovijavabelia:
JHN.10.25	—Pacatsipaebatsi rabaja picani rovialia. Itsiata apo panejumecovënëtsimë. Taxa Dioso pesaëta pinijicuene exanajë. Bajara papinijicuene exanajë taxa taneitorobicuenia. Nexata itsa exanajë bajarapapinijicuene, pacatsitaexanatsi picani taxa taneitorobicuene. 
JHN.10.26	Itsiata baitsi jane apo panejumecovënëtsimë Cristonëcuenenë. Tsipaji paxamë apo patajajivimë. 
JHN.10.27	Tajajivi, pamonae taniji beovejacuenia, bajarapamonae nejumeyapëtane. Bajarapamonae pijinia yapëtaniji. Nexata nepënapona. 
JHN.10.28	Bajarapamonae rajutsianajë matacabi apo pevereverecaejava. Bajarapamonae taxa Diosovecua apo naxuabi tsane. Itsajivi ata apo neyacajërëtsi tsane tajajivi. 
JHN.10.29	Taxa baja cajena ayaijamatabëcuenenë daxitajivi matatoxenetsia. Bajaraponë nerajuta bajarapamonae. Nexata itsajivi ata apo caëjëpaetsi tsane taxa pecobevecua pepitsinexa bajarapamonae. 
JHN.10.30	Taxa, xanë, caenë rabaja panaexanajëbeje, jai Jesús judíovijavabelia.
JHN.10.31	Nexata picani bajarajota judíovi jamatabëbeyaxuabatsi Jesús. Judíovi nota ibotonë Jesús picani petseconaenexatsi ibotonëta. 
JHN.10.32	Jesús nexata jumaitsi judíovijavabelia:
JHN.10.32	—Ayaijava pexaniacuene taxa Dioso pesaëta exanaponajë paxamë paneitabarata. ¿Detsa nexata pitsineconi yabara panetseconaejitsiamë ibotonëta? jai Jesús judíovijavabelia.
JHN.10.33	Judíovi nexata jumaitsi:
JHN.10.33	—Pexaniacuene raja nexanaejava yabara apo pacatseconaejitsiatsi. Pacatseconaejitsiatsi raja nenaneconitsixae Diosojavabelia. Tsipaji pibisiacuenia, Dioso apo pejitsipaecuenia, cuaicuaijamë. Xamë saya jivitonë atamë, beDiosonëmë nataneme, jai judíovi Jesúsjavabelia.
JHN.10.34	Jesús nexata jumaitsi judíovijavabelia:
JHN.10.34	—Dioso pejumaitsijava, Dioso pejumelivaisibaxutota jumaitsi mapacueniaje: “Paxamë ata rabaja padiosovimë,” jai Dioso pejumelivaisibaxutota Dioso pejumecovënëtsivi yabara. 
JHN.10.35	Nexata Dioso pejumelivaisibaxutota bajarapacuenia itsa jumaitsi Dioso pejumecovënëtsivi yabara, acuenebi bajarapamonae yabara vajajumaitsinexa: “Bajarapamonae apo diosovi,” vajajainexa. 
JHN.10.36	Dioso cajena nitapeta. Nexata nitorobica mapanacuayabetsicaje. ¿Detsa nexata xuajitsia panejumaitsimë: “Xamë raja naneconitame Diosojavabelia. Pibisiacuenia cuaicuaijamë Dioso apo pejitsipaecuenia. Tsipaji jumaitsimë: ‘Xanë raja Dioso pexënatonë,’ jamë,” panejamë. 
JHN.10.37	Itsa apo exanaenë tsipae pacuenia taxa nitoroba, nexata acuenebi tsipae patanesivanajamatabëcopatsinexamë. 
JHN.10.38	Itsiata baitsi jane exanaponajë pacuenia taxa nitoroba. Nexata apo panesivanajamatabëcopatsi atamë, itsiata bepajumecovënëtame Dioso pesaëta taexanaejava, pacuene baja exanaponajë. Itsa pajumecovënëtsianame bajarapacuene Dioso pesaëta taexanaponaejava, nexata payapëtaename taxa Dioso taneyajavaponaponaejava. Payapëtaenamenua xanë ata pijinia taxa Dioso tayajavaponaponaejava, jai Jesús judíovijavabelia.
JHN.10.39	Bajarapacuenia Jesús jumaitsi ata, itsiata judíovi jamatabëvaetabatsi penaneconitsiaexanaenexatsi. Itsiata Jesús vecuapanepa.
JHN.10.40	Nexata Jesús navialia Jordánmene itsapanabelia, panacuatalia copiaya Juanpijinë jivi bautisababiaba. Bajarajotalia Jesús ponapona. 
JHN.10.41	Jivi ayaibitsaëtoxaneto ponalia petaenexatsi Jesús. Nexata bajarapamonae jumaitsi:
JHN.10.41	—Juanpijinë Dioso pesaëta pinijicuene apo exanaponae ata, itsiata daxita pacuenia tajëvelia vajunupaeba maponë yabaraje, xaniajai cajena, jai bajarapamonae Jesús yabara.
JHN.10.42	Nexata jane baja bajarajota jivi ayaibitsaëtoxaneto jumecovënëta Jesús Dioso athëbëvetsica pitorobinëcuenetsi.
JHN.11.1	Lázaro, Betania tomarapijinë, avitane tsanucae Betania tomarata. Bajarapatomarata ponaponabeje pematapijivabeje, Maríabeje Martabeje. 
JHN.11.2	Bajarapova María itsamatacabi Jesús tsitaxuepanaena petuxujuvira. Daxitarayomi tsitaxuepanaena. Bajaraxuacujinae bajarapova pematanata taxuiquicaenanua. 
JHN.11.3	Nexata pamatacabi Lázaro avitane tsanucae, Maríabeje Martabeje tonajumeitorobaliabeje Jesús. Jumaitsibeje:
JHN.11.3	—Tajatuxanenë, niasivanë raja Lázaro catoavitane, jaibeje.
JHN.11.4	Jesús itsa jumetane bajarapovabeje petonajumeitorobijumetsi, nexata Jesús jumaitsi pijajivijavabelia:
JHN.11.4	—Mapavitanetaje Lázaro apo tëpae tsane daxitamatacabijavabelianexa. Biji rajane bajarapavitane pejamatabëcueneta jivi yapëtaena Dioso pinijicuene pexanaenexa pecaëjëpaenëcuenetsi. Yapëtaenanua xanë ata, Dioso pexënatonë, pinijicuene taexanaenexa tanecaëjëpaenëcuene, jai Jesús pijajivijavabelia.
JHN.11.5	Jesús bitso asivaya taeyabiaba Martabana, Maríabana, Lázarobana. 
JHN.11.6	Jesús vënëlivaisitae ata Lázaro bitso piavitanejava, itsiata abaxë apo ponae Betania tomarabelia. Anijamatacabibeje abaxë ponapona Jordánmene itsapanatalia. 
JHN.11.7	Bajaraxuacujinae Jesús jumaitsi pijajivijavabelia:
JHN.11.7	—Ponaliatsi icatsia Judea nacuayabelia, jai Jesús.
JHN.11.8	Jesús nexata pijajivi jumaitsi:
JHN.11.8	—Patajatuxanenë, canivita saya judíovi bajarajotalia jamatabëcatsecona picani ibotonëta. ¿Itsiata tsabaja icatsia ponaeliatsi bajarabelia? jai pijajivi.
JHN.11.9	Jesús nexata jumaitsi pijajivijavabelia:
JHN.11.9	—Matacabi raja xaina doce pahorabeje. Nexata pajivi matacabita ponapona, apo firapecae. Tsipaji icotiata napebeta xaniavaetsia. 
JHN.11.10	Itsiata pajivi meravi ponapona, firapeca. Tsipaji meravi apo napebetsi xaniavaetsia. Bajara pijinia xanë ata itsinë. Ponae ata tsanetsi Betania tomarabelia, itsiata apo nitsacueniabi tsane. Tsipaji abaxë tajamatacabi apo netocopiapatsi, jai Jesús pijajivijavabelia petëpaejavanexa yabara.
JHN.11.11	Bajaraxuacujinae Jesús peponaevajënae jumaitsi pijajivijavabelia:
JHN.11.11	—Vajayapëtaenë rabaja Lázaro majitanuca. Nexata baja ponajë. Itavabijitsianë Lázaro, jai Jesús.
JHN.11.12	Nexata pijajivi jumaitsi:
JHN.11.12	—Patajatuxanenë, itsa raeta saya Lázaro majitanuca, itsiata jamatejema tsane, jai Jesús pijajivi.
JHN.11.13	“Vajayapëtaenë rabaja Lázaro majitanuca,” itsa jai Jesús, Jesús picani pejumaitsijume, “Lázaro rabaja tëpa,” pejaijume. Itsiata Jesús pijajivi apo jumeyapëtaetsi. Bajarapamonae Jesús pijajivi jamatabëcuenenavëxaniabiaya jamatabëjumaitsi: “Lázaro meta saya majitanuca pacuenia majitanucabiaba meravi,” jamatabëjai. 
JHN.11.14	Bajaraxuata nexata Jesús rovialia jumaitsi pijajivijavabelia:
JHN.11.14	—Lázaro rabaja tëpa. 
JHN.11.15	Paepatota Lázaro tëpa, bajarajotalia apo ponaponaenë. Bajaraxuata barëyanë paxamë yabara. Barëyanë tsipaji Lázaro petëpaexae, xaniavaetsia panejumecovënëtsianame. Baja nexata ponatsi, jai Jesús pijajivijavabelia.
JHN.11.16	Jesús pijajiviyajuvënënë, Tomás, ponë icatsia itsavënë vënërubatsi Sapalanë. Bajaraponë jumaitsi penajuaponaevijavabelia:
JHN.11.16	—Naponatsi Jesús pepëta. Ibotonëta itsa tseconatsi, vajayajavatëpaenexa bajaraponë, jai Tomás.
JHN.11.17	Pepuaxainae baja cuatro pamatacabibeje Lázaropijinë pemëthëtsicujinaetsi, Jesús matapania patajopa Betania tomarata. 
JHN.11.18	Betaniatomara eca imoxoyo Jerusalén tomaravecua. Bejamatabëcuene anijakilómetrobeje epatua navecuaecabeje bajarapatomarabeje. 
JHN.11.19	Jesús pepatsivajënaeya Betania tomarata, ayaibitsaëtoxaneto judíovi pata Martabeje Maríabejejavaberena Lázaro petëpaexae. Bajarapamonae jumaitsi bajarapovabejejavabelia:
JHN.11.19	—Paxanë itsiata pacayanabatsi. Panajamatabëxainajë paxanë ata papecavecuatëpaexaebeje panejuyapijinëbeje, Lázaro, jai bajarapamonae.
JHN.11.20	Itsa Marta vënëlivaisitane Jesús penajetarucaejava, pitsapa pijabovecua pemataenenaenexa Jesús. María itsiata bota nacopateca. 
JHN.11.21	Nexata Marta itsa mataenenatsi Jesús, Marta jumaitsi Jesúsjavabelia:
JHN.11.21	—Tajatuxanenë, itsa majota ponaponaejitsipameje, apo tëpae tsipae tajuyapijinë. 
JHN.11.22	Itsiata yapëtaniji aeconoxae ata Dioso carajutsiana daxita pacuene vajëtame Diosojavabelia, jai Marta.
JHN.11.23	Nexata Jesús jumaitsi Martajavabelia:
JHN.11.23	—Nejuyapijinë raja itsiata icatsia asaë tsaponaponae tsane, jai Jesús.
JHN.11.24	Nexata Marta apo jumeyapëtae Jesús piasaëyaexanaejavanexa Lázaro. Bajaraxuata Marta jumaitsi Jesúsjavabelia mapacueniaje:
JHN.11.24	—Yapëtaniji rabaja pacuenia icatsia Lázaro Dioso asaëyaexanaejitsiatsi pamatacabita icatsia asaëyaexanaenatsi daxita petëpaevimi, jai Marta.
JHN.11.25	Nexata Jesús jumaitsi Martajavabelia:
JHN.11.25	—Xanë rabaja petëpaevi ata icatsia tasaëyaexanaenë, tarajutsinë matacabi apo pevereverecaejava. Pajivi nejumecovënëtsiana Cristonëcuenenë, bajarapajivi tëpae ata, itsiata icatsia asaë tsane. 
JHN.11.26	Pajivi abaxë pamatacabi asaë tsaponaponae mapanacuataje, itsa nejumecovënëtsiana Cristonëcuenenë, bajarapajivi tëpae ata, xainaena matacabi apo pevereverecaejava. ¿Xamë tsabaja bajarapalivaisi jumecovënëtame? jai Jesús Martajavabelia.
JHN.11.27	Marta nexata jumaitsi:
JHN.11.27	—Tajatuxanenë, jumecovënëtajë rabaja. Xamë rabaja cajena Cristomë, Dioso pexënatomë, ponë pacopiaevetavanapajë athëbëvetsica pepatsijavanexatsica mapanacuayabetsicaje jivi pecapanepaenexa, jai Marta.
JHN.11.28	Itsa baja Marta najumelivaisivereta bajarapalivaisi, naviata pijaboyabelia pejunatsinexa pejuyapijiva María. Nexata Marta muetsia jumaitsi Maríajavabelia:
JHN.11.28	—Vajanacacujarubinë rabaja pata. Cajunalia raja bajaraponë, jai Marta.
JHN.11.29	Caejumetae María Jesús pejunatsijavatsilia, nonotabapuna. Pona Jesúsjavabelia petaenexa. 
JHN.11.30	Jesús abaxë apo patsi Betania tomaraberena. Ecojopa abaxë itsajotalia Marta mataenenatsi. 
JHN.11.31	Pajudíovi bajarapovabeje pijabota pata peyanabinexatsibeje Lázaro petëpaexae, bajarapamonae tane María penonotabapunaejava bepijia pepitsatabijavalia bovecua. Nexata bajarapamonae María pënaponatsi. Tsipaji bajarapamonae jamatabëjumaitsi:
JHN.11.31	—María raeta pejuyapijinëmi pemëthëjavabelia pona pematanueyabinexa, jamatabëjai:
JHN.11.32	Itsa María palia, itsajotalia Jesús ecojopa, nexata María pematabacabëta nucajunua Jesús pitabarata. Jumaitsi:
JHN.11.32	—Tajatuxanenë, itsa majota ponaponaejitsipameje, apo tëpae tsipae tajuyapijinë Lázaro, jai María Jesúsjavabelia.
JHN.11.33	Jesús itsa tane María penueyaxuabijava, judíovi ata María peyajavapatsivi penuejava itsa tane, Jesús nexata bitso najamatabëxainaxuaba. 
JHN.11.34	Nexata Jesús jumaitsi bajarapamonaejavabelia:
JHN.11.34	—¿Detsa jota pamëthëtame Lázaro? jai Jesús.
JHN.11.34	Nexata bajarapamonae jumaitsi Jesúsjavabelia:
JHN.11.34	—Naxanitsia. Taename itsajota pamëthëtajë Lázaro, jai.
JHN.11.35	Jesús nexata vënua Lázaro. 
JHN.11.36	Nexata judíovi najumaitsi:
JHN.11.36	—Pataema Jesús penuejava. Jesús picani bitso asiva petëpaenëmi, najai judíovi.
JHN.11.37	Itsamonae judíovi najumaitsi Jesús yabara:
JHN.11.37	—Mara ponëje itaxutoxaniavaeta bitso pitaxutotsëcënaenëmi ataje xaniavaetsia petaenexa. ¿Apo caëjëpaetsi tsamëra tsipae Lázaropijinë pejamatejemayaexanaenexa petëpaeyaniva? najai bajarapamonae.
JHN.11.38	Jesús bitso sivanajamatabëxaina Lázaropijinë. Nexata Jesús cujilia Lázaropijinë pemëthëtsiibovajutsijavabelia. Ibopanaxanetota Lázaro yamëthëvëpa acatabuatatsi. 
JHN.11.39	Jesús nexata jumaitsi bajarajota penapatsivijavabelia:
JHN.11.39	—Pavecuatixiremelia mapaibopanaxanetoje, jai Jesús.
JHN.11.39	Nexata Marta, petëpaenë pematapijiva, jumaitsi:
JHN.11.39	—Tajatuxanenë, tuxutsaeba raeta baja bitso Lázaro. Tsipaji rabaja petëpaecujinae, ajena baja cuatro pamatacabibeje xaina, jai Marta Jesúsjavabelia.
JHN.11.40	Jesús nexata jumaitsi Martajavabelia:
JHN.11.40	—Catsipaebatsi rabaja pacuenia taejitsiamë Dioso ayaicuene pexanaejava itsa jumecovënëtame Dioso, jai Jesús.
JHN.11.41	Nexata bajarapamonae Lázaropijinë pemëthëvëpavecua tixilia ibopanaxaneto. Jesús itaboxo naëcotsiaya jumaitsi:
JHN.11.41	—Taxa, pexaniajamatabëcuene carajutatsi tanejumetaexaemë. 
JHN.11.42	Yapëtaniji cajena tanenamuxunaevetabiabijavamë. Itsiata icatsia cavajëtatsi mapamonaeje ayaibitsaëtoxaneto pejumecovënëtsinexa taneitorobinëcuenemëtsica, jai Jesús Diosojavabelia.
JHN.11.43	Bajarapacuenia Jesús pejumaitsicujinae, ayaijumeta jumaitsi Lázaro pebuatsiibovajutsijavabelia:
JHN.11.43	—¡Lázaro, bajara jane mëthëvecua pitsaparemena! jai Jesús.
JHN.11.44	Nexata baja Lázaro petëpaenëmi pitsaparena mëthëvecua. Piapiasábanata daxitanëreca mataquionaeya pematacacëbicujinaetsireca abaxë, pitsaparena. Pitabaraacatsipapaëbërëpanatsi abaxë tsiteca itabaraacatatsi. Jesús nexata jumaitsi bajarapamonaejavabelia:
JHN.11.44	—Pavecuaisinare bajarapapana. Pacopare peponaenexa pijaboyabelia, jai Jesús.
JHN.11.45	Judíovi, pamonae María yanabatsi, tane Lázaro petëpaenëmi Jesús piasaëyaexanaejava. Nexata bajarapamonaeyajuvënëvi ayaibitsaëto jumecovënëta Jesús Dioso pexënatocuene. 
JHN.11.46	Itsiata itsamonae bajarapamonaeyajuvënëvi pona fariseovijavabelia. Nexata tsipaeba pacuenia Jesús Lázaro petëpaenëmi asaëyaexana. 
JHN.11.47	Nexata fariseovi, sacerdotevi penamatacaitorobivi yajava, nacaetuata. Nexata bajarapamonae junata penacaetuatsinexa judíovi pijaancianovi, judíovi pecujarubivi ata yajava. Nexata bajarapamonae najumaitsi:
JHN.11.47	—¿Detsa meta vaxaitsi itsanetsi? Bajaraponë Dioso pesaëta pinijicuene pexanaejava exanapona. 
JHN.11.48	Itsa vaxaitsi cuenecopatsipatsi bajarapacuene pexanaponaejava, daxitajivi jumecovënëtaponaejitsipa bajaraponë. Apo jumecovënëtsi tsipae Romanonacua pevetsivi. Nexata Romanonacua pevetsivi anaepanaejitsipa. Itorobijitsiparena pijajivi, vajabitsaë. Nexata vajabitsaë itsa patsiparena, vajatemplobo nacatoxuabijitsipaica. Nacaverebiabijitsipanua, najai bajarapamonae.
JHN.11.49	Bajarapamonaeyajuvënënë pevënë Caifás. Bajarapamatacabi bajaraponë Caifás, sacerdotevi pepo penamatacaitorobinë tsaponaponae. Nexata Caifás jumaitsi penajuanacaetuatsivijavabelia:
JHN.11.49	—Paxamë raja apo payapëtaemë. 
JHN.11.50	Nexata Romanonacua pevetsivi vajabitsaë itsa itorobarena, vajanacaverebiabiyaniva, bepanajamatabëxainame mapacueniaje. Bajaraponë caenë itsa beyaxuabiaexanaenatsi, bajaraponë pejamatabëcueneta daxita judíovitsi vajavajabitsaë apo nacaverebiabi tsane, jai Caifás Jesús yabara.
JHN.11.51	Itsiata baitsi jane Caifás apo jumaitsi bajarapacuenia pijacuata penajamatabëxainaecuenia. Biji rajane bajarapamatacabi Caifás daxita sacerdotevi pepo penamatacaitorobinëxae, Dioso bajarapacuenia jumaitsiayaexanatsi. Bajarapacuenia Caifás tajëvelia jumaitsi tsipaji Jesús sivatëpaejitsia daxita judíovi. 
JHN.11.52	Itsiata Jesús apo sivatëpae tsane ëjudíovi. Daxitanacuanëjava, pamonae nacayajataruta Dioso pexi, bajarapamonae ata pecaetuatsinexa, sivatëpaena Jesús. 
JHN.11.53	Bajarapacuenia bajara pamatacabijavaveliacujinae cajena judíovi pevetsivi najamatabëveretapona pacuenia bajarapamonae Jesús beyaxuabijitsiatsi.
JHN.11.54	Bajaraxuata Jesús apo ponabiabi baja itsabelia judíovi nacaetuatabiaba. Nexata Judea nacuavecua pitsapa. Jesús baja nexata pona petusatonacua imoxoyojavabelia, Efraínvënë tomarajavabelia. Nexata bajarapatomarata Jesús ponapona pijajivi yajava.
JHN.11.55	Imoxoyo baja pevajënae judíovi pijafiesta pejonematacabinexa, pascuavënëfiesta. Nexata jivi ayaibitsaëtoxaneto pona Jerusalén tomarabelia. Pona pexanaenexa pacuenia exanabiaba fiestavajënaeya penajamatabëcuene xaniavaetsinexa Diosojavabelia. Bajarapamonae naropoba tsiquiritomaraxijavaverena. 
JHN.11.56	Nexata bajarapamonae jaitarutatsi Jesús. Itsa bajarapamonae nacaetuata templobota, nayanijoba. Najumaitsi:
JHN.11.56	—¿Detsa xamë jamatabëitsimë? ¿Jesús tsamëra patsiana mapafiestajavaje? Jume. Apo patsi tsamëra tsane, najai ëpamonae.
JHN.11.57	Nexata fariseovibeje sacerdotevi penamatacaitorobivibeje najumecopata jivijavabelia petonaitaxutocaevetsinexatsi Jesús. Nexata pajivi yapëtane itsajota Jesús ponapona, petsipaebinexa bajarapamonaejavabelia. Nexata fariseovibeje sacerdotevi penamatacaitorobivibeje itsa yapëtane itsajota Jesús ponapona, pevaetabinexatsi Jesús penaneconitsiaexanaenexatsi.
JHN.12.1	Pejonenexa baja pascuavënëfiesta, saica seis pamatacabibeje. Nexata bajarapamatacabi Jesús baja pona Betania tomarabelia. Bajarapatomarata ponapona Lázaro, ponë Jesús asaëyaexana petëpaenëmi. 
JHN.12.2	Bajarajota Jesús pexaejava toexanatsi caniviyopijijava. Bajarajota Marta pexaejava tsanaponapona. Lázaro nanabaneca pamesata Jesús nabaneca. 
JHN.12.3	Nexata María carena epatuabotellabëyota petuxujuviaceitera, nardovënëra. Bajarapora bitso penamatamotsira. Nexata bajarapaaceitera María tsitaxuepana Jesús. Bajaraxuacujinae icatsia pematanata taxuiquica. Daxita bo tuatuajë tuxudereecaruta. 
JHN.12.4	Nexata Jesús pijajiviyajuvënënë, Judas Iscariote, Simón pexënato, ponë itsamatacabi Jesús canajetsijitsiatsi pijavajabitsaë pecobeyabelia, jumaitsi:
JHN.12.5	—¿Detsa xuajitsia apo canajetsi bajarapatuxujuvira. Matamopitsipa trescientos denario. Bajarapapalata rajutsipa bepejiobivi bajarapacuenia peyavenonaenexa, jai Judas Iscariote.
