MAT.1.1	A Yesu Kɩrɩsɩto sãakpãmɩne nɩ nyã, wʊ yin a Nãa David nɩ Abraham bal pɔ, 
ROM.7.9	Ɩn dɔ̃ɔ be be ba bɔ̃ɔ a nɛbinãa ɛ, tɩchɛ a nɛbinãa na wa wa, yelbier faan a nyɛvʊr, ka a kũu kʊ ma. 
ROM.7.10	Be lɛ n nyɛ ɩka a nɛbinãa 'lɔ naa waan nyɛvʊr, kũu lɛ wʊ bar tɩ waan.
ROM.7.11	Bojũu a yelbier nyɛn sɔr a nɛbinãa na kʊ wʊ, a wʊ far kpɛ na wʊ bɛl ma, ka a tu a nɛbinãa nyã pɔ, ka a kũu kʊ ma. 
ROM.7.12	A lɛ jũu, a nɛbinãa ɩn chɛchɛ, ka a nɛbinãa 'yɛr mɩ ɩ chɛchɛ, naa tor ɩ vɩla. 
ROM.7.13	Bon 'lɔ na ɩ bʊ̃vɩla pãa lɩɛb kũu wa kʊ ma? A ba ɩ lɛ lɛ ɛ. Tɩchɛ n bɔ̃ɔn naa ɩka a ɩn yelbier, na a lɩɛb kũu kʊ ma tu a bon 'lɔ na ɩ vɩla pɔ. A tu naa 'yɛr binãa pɔ, ka bier na ɩ yelbier sɩrɛ jaa.
ROM.7.14	Sɩn bɔ̃ɔn naa ɩka a nɛbinãa ɩn Nãaŋmɩn Sɩɛ bon lɛ, tɩchɛ ka a maa ɩ ãgãn yelbier na da ka n ɩ a wʊ gbãgbaa. 
ROM.7.15	N maa bɔ̃ɔ a lɛ ɩn maala ɛ, bojũu a ala ɩn bʊɔrɔ ɩka n maal n maa maal ɛ, tɩchɛ a ala ɩn 'laar lɛ n ma maala. 
ROM.7.16	Ala ɩ n ma maala naa ala ɩn ba bʊɔrɔ ɩka n maala ɛ, n sɔɔ naa ɩka a nɛbinãa ɩn vɩla. 
ROM.7.17	An ben be a lɛ, a ba ɩ maa mãɛ lɛ bɔ̃ɔn tɩ ɩrɛ ɛ, tɩchɛ a yelbier 'lɔ̃nɔ̃ na be a n pɔ lɛ ɩrɛ. 
ROM.7.18	N bɔ̃ɔn naa ɩka yelvɩla jaa ba be a n 'yɔ̃ɔ ɛ, a maa yelbier ãgãn tɛɛ lɛ. Bojũu n ma bʊɔrɔ naa ɩka n maal vɩla tɩ naa maa tʊ̃ɔ maal ɛ. 
ROM.7.19	Bojũu a ala ɩn maala ba ɩ a vɩla ala ɩn bʊɔrɔ a maalfʊ ɛ. Kai, a bier ala ɩn ba bʊɔrɔ a maalfʊ lɛ, ala lɛ n ma maala. 
ROM.7.20	Pʊ̃pãanyã, ala ɩ n maala naa a ala ɩn ba bʊɔrɔ ɩka n maal ɛ, a ba lɛ ɩ maa lɛ lɛ maala go ɛ, tɩchɛ a yelbier 'lɔ̃nɔ̃ na be a n 'yɔ̃ɔ lɛ maala.
ROM.7.21	Lɛ lɛ, n nyɛn a lɛ a nɛbinãa na tʊ̃nɔ̃, maa wa bʊɔrɔ ɩka n maal vɩla, a yelbier lɛ ma tɔɔ gbʊr ma jaa yɛ̃ yɛ̃. 
ROM.7.22	N bʊɔrɔ naa Nãaŋmɩn nɛbinãa nɩ a n pʊɔ wʊ jaa, 
ROM.7.23	tɩchɛ n nyɛ naa a nɛbinãa ãsʊɔ na tʊ̃nɔ̃ nɩ a n ãgãn jiir amɩne. Wʊ jɛɛrɛ nɩ naa a n tɩɛr na wʊ maal ma ka n ɩ a yelbier nɩpɔɔraa a n ãgãn jiir pɔ. 
ROM.7.24	Nɩjarma lɛ n pãa ɩ! An lɛ na faa ma yin a yelbier ãgãn nyã na chiine ma a kũu jie? 
ROM.7.25	Nãaŋmɩn son puorfʊ tu a Yesu Kɩrɩsɩto na ɩ a sɩ Soro 'yɔ̃ɔ! A maa mãɛ a n tɩɛr pɔ, n ɩn a Nãaŋmɩn nɛɛ gbãgbaa, tɩchɛ a n yelbier ãgãn mɩ ɩ gbãgbaa kʊ a yelbier nɛɛ.
ROM.8.1	A lɛ jũu pʊ̃pãanyã, yele ba pɔɔrɔ a bala na be a Yesu Kɩrɩsɩto 'yɔ̃ɔ ɛ. 
ROM.8.2	A tun a Yesu Kɩrɩsɩto 'yɔ̃ɔ jũu, a nɛɛ 'lɔ na ɩ a Nãaŋmɩn Sɩɛ nyɛvʊr faa man yin a nɛɛ 'lɔ na ɩ yelbier nɩ kũu pɔ. 
ROM.8.3	Bojũu a bon 'lɔ a Mosesɩ nɛɛ na ba dɔ̃ɔ tara kpɛ̃ɔ na maal ɛ, a sɩ yelbier ãgãn na bal bar, Nãaŋmɩn maal naa na wʊ tʊ̃ a wʊ mãɛ Bie a wʊ nyɛtãan a sɩn na maala a yelbier kaar a wʊ wa ɩ a yelbier bɔɔrlo bon. Lɛ lɛ wʊ sɔ̃ɔ yelbier a nɩsaal pɔ bar, 
ROM.8.4	ka a lɛ a Mosesɩ nɛbinãa na bʊɔrɔ ka a sɛɛ a sɩ 'yɔ̃ɔ, a sɩ kʊ̃ lɛ turo a lɛ a yelbier ãgãn na bʊɔrɔ ɛ, tɩ turo a lɛ a Nãaŋmɩn Sɩɛ na bʊɔrɔ.
ROM.8.5	A bala na turo a ba yelbier ãgãn, ba den a ba tɩɛr 'yɔ̃ɔ a ala na ɩ a ãgãn vɔlaa pɔ, tɩchɛ a bala mɩ na turo a lɛ a Nãaŋmɩn Sɩɛ na bʊɔrɔ, mɩ den a ba tɩɛr 'yɔ̃ɔ a ala a Nãaŋmɩn Sɩɛ na bʊɔrɔ. 
ROM.8.6	Yelbier sʊɔ tɩɛr ɩn kũu, tɩchɛ a tɩɛr 'lɔ a Nãaŋmɩn Sɩɛ na so ɩn nyɛvʊr nɩ nyã'maar. 
ROM.8.7	A yelbe-ɩrɛ tɩɛr ma 'laar Nãaŋmɩn, wʊ maa siir wʊ mãɛ kʊ a Nãaŋmɩn nɛɛ ɛ, wʊ mɩ kʊ̃ tʊ̃ɔ ɩ ɛ. 
ROM.8.8	Bala na turo a lɛ a ba ãgãn na bʊɔrɔ, kʊ̃ tʊ̃ɔ pɛl Nãaŋmɩn pʊɔ ɛ.
ROM.8.9	Yɩn 'lɔ ba lɛ turo a lɛ a yelbier ãgãn na bʊɔrɔ ɛ, tɩchɛ yɩ turo naa a lɛ a Nãaŋmɩn Sɩɛ na bʊɔrɔ, ala ɩ a Nãaŋmɩn Sɩɛ ben a yɩ 'yɔ̃ɔ. Ala ɩ ãsʊɔ jaa ba wa tara a Kɩrɩsɩto Sɩɛ ɛ, waa ɩ a Kɩrɩsɩto tʊɔr ɛ. 
ROM.8.10	Tɩchɛ ala ɩ Kɩrɩsɩto ben a yɩ 'yɔ̃ɔ, a yɩ ãgãn kpi naa a yelbier jũu, tɩchɛ ka a yɩ sɩɩr tara nyɛvʊr a yeltorsɩ jũu. 
ROM.8.11	Ala ɩ a Nãaŋmɩn Sɩɛ 'lɔ na sãɩ a Yesu a kũu pɔ, ben a yɩ 'yɔ̃ɔ, 'lɔ na sãɩ a Kɩrɩsɩto a kũu pɔ, na kʊn a yɩ ãgãn kũn nyɛvʊr tu a wʊ Sɩɛ pɔ, a 'lɔ na be a yɩ 'yɔ̃ɔ.
ROM.8.12	A lɛ jũu n yɛɛr, sɩ din sãn, tɩchɛ a ba ɩ a sɩ yelbier ãgãn nyã lɛ ɛ, a sɩn turo a lɛ wʊn bʊɔrɔ ɛ. 
ROM.8.13	Bojũu ala ɩ yɩ turo naa a lɛ a yɩ yelbier ãgãn na bʊɔrɔ, yɩn kpi naa, tɩchɛ ala ɩ yɩ den a Nãaŋmɩn Sɩɛ kʊ̃n a ãgãn ma maal bidɛbɛ bar, yɩ ben a nyɛvʊr sɔr pɔ. 
ROM.8.14	Bojũu bala jaa a Nãaŋmɩn Sɩɛ na chiine, bala lɛ ɩ a Nãaŋmɩn bibiir. 
ROM.8.15	A ba ɩ a Nãaŋmɩn Sɩɛ wʊn kʊ yɩ, waa maala yɩ gbãgbaar ka a dãbãɛ kʊrɔ yɩ go ɛ, tɩchɛ wʊ kʊ yɩn a wʊ Sɩɛ a yɩ lɩɛb a wʊ bibiir. A Sɩɛ nyã lɛ sɩ ma de bʊɔlɔ wʊ, “N Sãa Nãaŋmɩn.” 
ROM.8.16	A Nãaŋmɩn Sɩɛ mãɛ din dãasɩɛ nɩ a sɩ sɩɩr ɩka sɩ ɩn Nãaŋmɩn bibiir. 
ROM.8.17	Pʊ̃pãanyã, ala ɩ sɩ ɩ naa Nãaŋmɩn bibiir, sɩn lɛ so a bʊ̃sʊ̃n ala a Nãaŋmɩn na tɩr a wʊ nɛɛ, 'matãan a Kɩrɩsɩto. Ala ɩ sɩrɛ jaa, sɩ lɔ̃ɔn wʊn di a wʊ dɔɔyɛ, lɛ lɛ sɩ mɩn 'matãan wʊ põ a wʊ tɩɩr.
ROM.8.18	N man nyɛ a sɩ dɩna dɔɔyɛ ka waa jã bon ɛ, ɩn de man a Nãaŋmɩn tɩɩr 'lɔ na wa nyɩr a sɩ sɛ̃. 
ROM.8.19	A bʊ̃maalsɩ a jaa nyʊnyʊlɔ naa chɩlɛ nɩ a Nãaŋmɩn bibiir wʊn wa vɛ̃ a ba nyɩrɛ. 
ROM.8.20	Bojũu a bʊ̃maalsɩ a jaa ben a ãgãn sal pĩlem an ba ɩ a ba mãɛ bɔfʊ ɛ, 
ROM.8.21	tɩ ɩ a 'lɔ na maal ba bɔfʊ, na wʊ chɛnɛ tara ba nɩ tɩɛr sʊ̃, ɩka a Nãaŋmɩn na wa faa ban yin a gbãgbaa 'lɔ na sɔ̃ɔnɔ̃ kpɛ a mãɛ sofʊ 'lɔ na ɩ a Nãaŋmɩn bibiir tɩɩr pɔ.
ROM.8.22	Bojũu sɩ bɔ̃ɔn naa a bʊ̃maalsɩ a jaa na hʊ̃nɔ̃, ka a ɔɔrɔ ba fɩka pɔɔ na dɔɔrɔ yi a lɛ daar jaa wa tãn a dɩna. 
ROM.8.23	A ba ɩ lɛ tɛɛ lɛ ɛ, tɩchɛ a sɩn mãɛ lɛ tara a Nãaŋmɩn Sɩɛ kʊfʊ bidɔ̃ɔ, mɩ ʊrɔ a sɩ pʊɔm na sɩ nyʊnyʊlɔ chɛlɛ nɩ wʊn wa lɩɛb sɩ a wʊ bibiir, nɩ a faafʊ wʊn wa faan a sɩ ãgãma. 
ROM.8.24	A tɩɛrtɔ nyãna jũu lɛ sɩ nyɛn a faafʊ. Tɩchɛ bon fʊn nyɛn nɩbir, fʊ maa lɛ tara a wʊ tɩɛr go ɛ. An lɛ ma tɩɛrɛ bon wʊn tara baar? 
ROM.8.25	Tɩchɛ ala ɩ sɩ tɩɛrɛ na bon sɩn ba tara sɛrɛ ɛ, sɩ ma din kãnyir chɛlɛ.
ROM.8.26	A lɛ nɩ wʊ ju mɩ lɛ a Nãaŋmɩn Sɩɛ ma sʊ̃nɔ̃ sɩ a sɩ balfʊ pɔ. Saa bɔ̃ɔ a lɛ sɩn taa ma sʊɔr a Nãaŋmɩn ɛ, a Nãaŋmɩn Sɩɛ mãɛ lɛ ma de hʊ̃ʊnfʊ 'lɔ sɩn kʊ̃ tʊ̃ɔ man a 'yɛrbie ɛ, na wʊ ma sʊɔrɔ kʊrɔ sɩ. 
ROM.8.27	Nɩrɛ 'lɔ na ma chɛl a sɩ nyãa bɔ̃ɔn a Nãaŋmɩn Sɩɛ tɩɛr, bojũu a Nãaŋmɩn Sɩɛ nyãna lɛ sʊɔrɔ a Nãaŋmɩn kʊrɔ a wʊ nɩbɛ nɩ a lɛ wʊn bʊɔrɔ.
ROM.8.28	Sɩ bɔ̃ɔn naa ɩka a yele a jaa pɔ, Nãaŋmɩn ma tʊ̃n ka a ɩ sʊ̃ kʊ a bala na nʊ̃ wʊ, a bala wʊn tu a wʊ tɩɛr pɔ bʊɔl. 
ROM.8.29	Bojũu bala a Nãaŋmɩn na de nie bɔ̃ɔn na wʊ chɛl ir ka ba lɩɛb kaara a wʊ Bie kaar, ka wʊn ɩ a yɛɛr ba jaa pɔ Bidadɔ̃ɔ. 
ROM.8.30	A bala wʊn de nie ir, bala lɛ wʊ bʊɔl, a bala wʊn bʊɔl, bala lɛ wʊ vɛ̃ ka a ba yele tor, a bala mɩ wʊn vɛ̃ ka a ba yele tor, bala mɩ lɛ wʊ 'yɔ̃ɔ tɩɩr.
ROM.8.31	Bo lɛ sɩn pãa 'yɛr nɩ a yele nyãna? Ala ɩ Nãaŋmɩn ben a sɩ sɛ̃, an lɛ na tʊ̃ɔ jɛb sɩ? 
ROM.8.32	A 'lɔ na ba mɔ̃ɔ sɩ a wʊ mãɛ bie ɛ, tɩchɛ na wʊ sɔɔ bar sɔr ka ba kʊ wʊ a sɩ jũu, bo lɛ na ŋmaa wʊ sɔr ka wʊ kʊ̃ de a wʊ wãɛfʊ 'matãan a bomo a jaa kʊ sɩ ɛ? 
ROM.8.33	An lɛ na tʊ̃ɔ 'yɛr 'yɛr dɔɔl a bala a Nãaŋmɩn na ir? Nãaŋmɩn mãɛ lɛ maal ba a ba tor. 
ROM.8.34	An 'lɔ lɛ na tʊ̃ɔ 'yɔ̃ɔ ba 'yɛr? Nɩrɛ jaa ba be be ɛ. A Yesu Kɩrɩsɩto nyã na kpi, 'lɔ lɛ a Nãaŋmɩn mɩ sãɩ ka wʊ ir ɩ vʊr na wʊ ara Nãaŋmɩn nũsʊ̃ɔ jie, 'lɔ lɛ sʊɔrɔ a Nãaŋmɩn kʊrɔ sɩ. 
ROM.8.35	An lɛ na tʊ̃ɔ tɔɔ sɩ yin a Kɩrɩsɩto nʊ̃fʊ nyã pɔ? Wõm, bɩɩ wʊʊr, bɩɩ gefʊ, bɩɩ kɔ̃, bɩɩ sal'mʊɔr, bɩɩ dɔɔyɛ, bɩɩ ban na kʊ sɩ nɩ sʊɔ? 
ROM.8.36	Nɩtãa lɛ an sɛb a Nãaŋmɩn gãn pɔ, “A yɩ jũu, sɩ ma tuor kũu bɩbir jaa. Ba ma kaa sɩn fɩka piir ban chiine nɩ kɔkɔɛ ŋmafʊ jie.” 
ROM.8.37	Kai, a anyãna a jaa pɔ, sɩ ɩ naa tʊ̃tʊ̃ɔnbɔ tu a 'lɔ na nʊ̃ sɩ 'yɔ̃ɔ. 
ROM.8.38	Bojũu n bɔ̃ɔn sɩrɛ jaa ɩka kũu, bɩɩ nyɛvʊr, bɩɩ malakasɩ, bɩɩ a sɩdɛbɛ, bɩɩ ka dɩna lɛ, bɩɩ nɩdaar, bɩɩ ka kpãɛn dẽme lɛ, 
ROM.8.39	ka dofʊ lɛ, bɩɩ suufʊ lɛ, bɩɩ bon jaa na be a bʊ̃maalsɩ pɔ lɛ, ãsʊɔ jaa kʊ̃ tʊ̃ɔ tɔɔ sɩ yin a nʊ̃fʊ a Nãaŋmɩn na nʊ̃ sɩ a sɩ Soro Yesu Kɩrɩsɩto 'yɔ̃ɔ ɛ.
ROM.9.1	Yelmãɛ lɛ n 'yɛrɛ a Kɩrɩsɩto 'yɔ̃ɔ, n ba ŋmara jirsɩ ɛ, a n tɩɛr mɩ din dãasɩɛ a Nãaŋmɩn Sɩɛ pɔ. 
ROM.9.2	Nɩbaal kpɛ man tɩ põn bar, ka wʊʊr sɛɛ ma a nyãa. 
ROM.9.3	An taa nʊ̃mɔ̃ ma naa ɩka n ben pɔ'yɔ̃ɔfʊ pɔ naa ba lɛ pʊɔ a Kɩrɩsɩto pɔ ɛ, a n yɛɛr Isɩral nɩbɛ jũu, bala lɛ ɩ a n mãɛ nɩbɛ. 
ROM.9.4	A Isɩral nɩbɛ bala lɛ a Nãaŋmɩn de ka ba ɩ a wʊ bibiir, na wʊ kʊ ba a wʊ tɩɩr nɩ a nɛtɩrsɩ wʊn pɔn ba, na wʊ kʊ ba a nɛbinãa, nɩ a lɛ ban na puoro wʊ a wʊ puorfʊ yir nɩ a nɛɛr wʊn tɩr kʊ ba. 
ROM.9.5	Bala lɛ ɩ a sãakpãmɩne, a ba pɔ lɛ ba bɩɛr a Kɩrɩsɩto mɩ na ɩ a nɩsaal yi, na wʊ ɩ a Nãaŋmɩn kaara a bomo a jaa, 'lɔ lɛ ban pɛɛrɛ bɩbir jaa. A ɩ a lɛ.
ROM.9.6	A ba ɩ fɩka a Nãaŋmɩn 'yɛr ɩn faa ɛ, bojũu a ba ɩ a bala jaa ban dɔɔ a Isɩral nɩbɛ pɔ, ba jaa lɛ ɩ a Isɩral nɩbɛ ɛ. 
ROM.9.7	A ba ɩ baa yi a wʊ par pɔ ɛ, ba jaa baa ɩ Abraham bibiir ɛ, tɩchɛ Nãaŋmɩn dɔ̃ɔ tɩr nɛɛ kʊ a Abraham ɩka, “Isaakɩ 'yɔ̃ɔ lɛ a fʊ yɔn na yi.” 
ROM.9.8	A ba ɩ a ãgãn vaar bibiir lɛ ɩ a Nãaŋmɩn bibiir ɛ, tɩchɛ a bibiir bala a Nãaŋmɩn na tɩr a nɛɛ a wʊ dɔɔ, bala lɛ wʊ kaa a ba ɩ Abraham bibiir. 
ROM.9.9	Bojũu nɩtɔ̃ lɛ a Nãaŋmɩn dɔ̃ɔ tɩr a nɛɛ 'yɛr, “A daar wa ta, ɩn lɩɛb wa ka a Saara dɔɔ dabile.” 
ROM.9.10	A ba ɩ anyã tɛɛ lɛ ɛ, tɩchɛ a Worbɛka dɔɔn dabil ayi ka ba sãa ɩ bʊ̃'yen tɛɛ na ɩ a sɩ sãakpã Isaakɩ. 
ROM.9.11	Sɛrɛ tɩ ka wʊ wa dɔɔ a yɩbɛ banyãna, baa mɩ maal yele jaa vɩla bɩɩ dɛɛr ɛ, tɩ nɩtɔ̃ lɛ a ɩ ɩka a Nãaŋmɩn bɔfʊ pɔ lɛ wʊ ma tu ir a nɩrɛ. 
ROM.9.12	A kʊ̃ ɩ a fʊ tʊ̃mɔ̃ jũu ɛ, tɩchɛ a 'lɔ na bʊɔl fʊ. Nãaŋmɩn 'yɛr kʊ a Worbɛka, “A yɛkarma na tʊ̃nɔ̃ na kʊrɔ a yɛbile.” 
ROM.9.13	Lɛ mɩ lɛ a sɛb a Nãaŋmɩn gãn pɔ, “N nʊ̃n Jekɔb tɩchɛ naa 'laar a Esau.” 
ROM.9.14	Bo lɛ sɩn pãa lɛ 'yɛr? Nãaŋmɩn ɩn nɩfɩlefɩle bɩɩ? Kai. Sɔr ba be be ɛ! 
ROM.9.15	Bojũu wʊ 'yɛr kʊ a Mosesɩ, “Nɩrɛ 'lɔ ɩn na kaa nɩbaal lɛ ɩn na kaa nɩbaal, naa maal vɩla kʊ a 'lɔ ɩn na maal vɩla kʊ.” 
ROM.9.16	A lɛ jũu a ba ɩ lɛ nɩrɛ na bʊɔrɔ ɛ, bɩɩ na tʊ̃nɔ̃ lɛ ɛ, tɩchɛ a yin Nãaŋmɩn nɩbaal kaafʊ pɔ. 
ROM.9.17	Bojũu Nãaŋmɩn dɔ̃ɔ 'yɛr kʊ a Ijipitɩ nãa Faaro ɩka yaa, “Maa lɛ bin fʊ a yele nyãna jũu, ɩka n wiil a n kpɛ̃ɔ a fʊ 'yɔ̃ɔ, ka ban bʊɔl a n yuor a wɛr wʊ jaa.” 
ROM.9.18	A lɛ jũu, Nãaŋmɩn ma kãan nɩrɛ 'lɔ wʊn bʊɔrɔ nɩbaal, a 'lɔ wʊ mɩn bʊɔrɔ, wʊ ma vɛ̃n ka a wʊ nyãa kpɛ̃mɛ.
ROM.9.19	Ɩ̃sʊɔ na sʊʊr ma naa ɩka, “Bo lɛ so ka a Nãaŋmɩn na de yele dɔɔl sɩ? Bojũu nɩrɛ jaa kʊ̃ tʊ̃ɔ tɔr a lɛ a Nãaŋmɩn na bʊɔrɔ ɛ?” 
ROM.9.20	Tɩchɛ fʊ̃ʊ mɩ nɩ ana, nɩsaal na fʊn 'yɛr lɩɛr Nãaŋmɩn? “Laa na tʊ̃ɔn sʊʊr a 'lɔ na mɛ wʊ ɩka, ‘Bo lɛ fʊ mɛ ma a nɩtɔ̃ ɔ?’ ” 
ROM.9.21	A lamɩɛrɛ ba tara sɔr ɩka wʊ de a yɔɔr bʊ̃'yen 'lɔ̃nɔ̃ mɛn bʊ̃ʊdʊʊ tɩchɛ mɛn ladiraa ɛ? 
ROM.9.22	Bo lɛ, ala ɩ Nãaŋmɩn lɛ kaa ir ɩka wʊ wiil a wʊ suur na wʊ vɛ̃ a ba bɔ̃ɔn a wʊ kpɛ̃ɔ, tɩ na wʊ chɛnɛ tara kãnyir nɩ a bonsɩ ala wʊn chɔɔr gun a sɔ̃ɔ barfʊ? 
ROM.9.23	Bo lɛ, ala ɩ wʊ maal a nɩtɔ̃ ɩka a bonsɩ ala na ɩ a wʊ nɩbaal bomo, ka a bɔ̃ɔn a wʊ tɩɩr tɔ̃nɔ̃, a bala wʊn de nie chɔɔr gun a wʊ tɩɩr, 
ROM.9.24	a sɩn gba wʊ mɩ na bʊɔl, na ba ɩ a Juu nɩbɛ tɛɛ ɛ, tɩchɛ na wʊ bʊɔl a bala na ba ɩ a Juu nɩbɛ mɩ? 
ROM.9.25	Nɩtãa lɛ a Nãaŋmɩn na vɛ̃ ka a wʊ 'yɛ'yɛrɛ Hosea sɛb a wʊ gãn pɔ, “Ɩn bʊɔl ban a maa nɩbɛ, a bala na ba ɩ a n nɩbɛ ɛ, naa bʊɔl wʊ a n nɩ nʊ̃ naa, 'lɔ na ba dɔ̃ɔ ɩ a n nɩ nʊ̃ naa ɛ.” 
ROM.9.26	Ka wʊ sɛb a nɩtɔ̃nɔ̃ an ɩ a jie 'lɔ̃nɔ̃ wʊn 'yɛr ɩka, “Yaa ɩ a n nɩbɛ ɛ, bala naa lɛ ban lɛ bʊɔl a Nãaŋmɩn vʊr bibiir.” 
ROM.9.27	Isaiya mɩ dɔ̃ɔ mʊɔl a Isɩral nɩbɛ na wʊ 'yɛr, “Ala ɩ a Isɩral nɩbɛ gba waan fɩka man nɛɛ bire, a bãlãa bala na wa chɛ, lɛ na nyɛ faafʊ. 
ROM.9.28	Bojũu a sɩ Soro na pɔɔn naa a wʊ 'yɛr tɔɔrfʊ na wʊ ŋmaa a ju.” 
ROM.9.29	Isaiya dɔ̃ɔn de nie 'yɛr, “Ala ba ɩ a sɩ Soro na ɩ a gãdaa jaa gãdaa sʊɔ lɛ dɔ̃ɔ bar a sɩ par ŋmaa ɛ, sɩn taa mɩ nyʊɔl kaara a Sodom nɩ a Gomora tẽn kaar.” 
ROM.9.30	Bo lɛ sɩn pãa lɛ 'yɛr? A bala na ba ɩ a Juu nɩbɛ ɛ, na ba dɔ̃ɔ turo a yeltorsɩ ɛ, bala lɛ be tara yaa. A ba yele tor naa ban tara sɔɔfʊ jũu. 
ROM.9.31	Tɩchɛ a Isɩral nɩbɛ na turo a yeltorsɩ ba tara yaa ɛ, 
ROM.9.32	Bo lɛ so? Bojũu baa turo nɩ sɔɔfʊ ɛ, tɩ turo nɩ tʊ̃mɔ̃, na ba bãr a kʊsɩr bãraa. 
ROM.9.33	Nɩtãa lɛ na sɛb a Nãaŋmɩn gãn pɔ a wʊ 'yɛr, “Nyɛ, n bin a kʊsɩr be a Jiyon ka nɩbɛ na bãra nɩ a pie 'lɔ na vɛ̃ ka ba loro, ka nɩrɛ 'lɔ jaa na sɔɔ de wʊ, vã kʊ̃ kpɛ wʊ ɛ.” 
ROM.10.1	N yɛɛr, lɛ a n nyãa na bʊɔrɔ ka n sʊɔrɔ nɩ Nãaŋmɩn lɛ ɩka, a Isɩral nɩbɛ ba nyɛ faafʊ. 
ROM.10.2	Bojũu ɩn tʊ̃ɔn di a ba dãasɩɛ ɩka ba tara na nɩbijɩɛ nɩ a Nãaŋmɩn yele, tɩchɛ bɔ̃ɔfʊ lɛ ba pʊɔ a ba nɩbijɩɛ pɔ ɛ. 
ROM.10.3	Ban ba bɔ̃ɔ a Nãaŋmɩn yeltorsɩ ɛ, tɩ na ba bʊɔrɔ ɩka ba bin a ba mãɛ yeltorsɩ, baa siir ba mãɛ kʊ a Nãaŋmɩn yeltorsɩ ɛ. 
ROM.10.4	Kɩrɩsɩto lɛ ɩ a nɛbinãa tɛɛfʊ jie, ka nɩrɛ jaa na sɔɔ de wʊ, wʊn vɛ̃n ka a nɩnyɩnɛ yele tor.
ROM.10.5	Nɩtɔ̃ lɛ a Mosesɩ man a lɛ a nɛbinãa na ma vɛ̃ ka nɩrɛ yele tor, “A nɩrɛ 'lɔ na maala a lɛ a nɛbinãa na 'yɛr, na tara na nyɛvʊr.” 
ROM.10.6	Tɩchɛ a yeltorsɩ ala na yire a sɔɔfʊ pɔ 'yɛr naa, “Ta tɩɛr a fʊ nyãa pɔ sʊʊr ɩka, ‘An lɛ na do a saaju?’ 
ROM.10.7	Bɩɩ sʊʊr a fʊ mãɛ ɩka, ‘An lɛ na chen a kpĩi tẽe?’ ” 
ROM.10.8	Tɩchɛ bo lɛ a 'yɛr a Nãaŋmɩn gãn pɔ? “A 'yɛr gbʊr fʊ naa, a ben a fʊ nɛɛ pɔ, naa be a fʊ nyãa pɔ.” 
ROM.10.9	Ala ɩ fʊ haan a fʊ nɛɛ chiir a fʊ pʊɔ 'yɛr ɩka, “A Kɩrɩsɩto lɛ ɩ a Soro,” na fʊ sɔɔn a fʊ nyãa wʊ jaa ɩka, Nãaŋmɩn ir wʊn a kũu pɔ, fʊn nyɛn faafʊ. 
ROM.10.10	Bojũu a fʊ nyãa 'lɔ fʊn sɔɔ den lɛ na vɛ̃ ka a fʊ yele tor, ka a fʊ nɛɛ 'lɔ fʊn haan 'yɛr lɛ na faafʊ. 
ROM.10.11	Nɩtãa lɛ an sɛb a Nãaŋmɩn gãn pɔ, “Nɩrɛ 'lɔ jaa na sɔɔ de wʊ, vã kʊ̃ kpɛ wʊ ɛ.” 
ROM.10.12	Bojũu tɛɛ taa ba be a Juu nɩrɛ nɩ a 'lɔ na ba ɩ a Juu nɩrɛ ɛ. A Soro bʊ̃'yen 'lɔ̃nɔ̃ lɛ ɩ ba jaa Soro, na wʊ sʊ̃nɔ̃ a bala jaa na bʊɔlɔ a wʊ yuor. 
ROM.10.13	Bojũu a sɛb a Nãaŋmɩn gãn pɔ ɩka, “Bala jaa na bʊɔlɔ a Soro yuor ɩka wʊ sʊ̃ʊ ba, na nyɛn faafʊ.” 
ROM.10.14	Ŋmɩnɛ lɛ ban ɩrɛ wa bʊɔl a Nãaŋmɩn 'lɔ ban ba sɔɔ ɛ? Ŋmɩnɛ lɛ ban ɩ wa sɔɔ a nɩrɛ 'lɔ ban ba wõ a wʊ 'yɛr ɛ? Ŋmɩnɛ lɛ ban ɩrɛ wa wõ a wʊ 'yɛr ka nɩrɛ kɔ̃ɔ ba wa mʊɔl a wʊ 'yɛr kʊ ba ɛ? 
ROM.10.15	Ŋmɩnɛ lɛ ban ɩrɛ wa mʊɔl ka baa tʊ̃ ba ɛ? Nɩtãa lɛ an sɛb a Nãaŋmɩn gãn pɔ, “Nyɛ lɛ a bala na waara nɩ a 'yɛr nʊ̃ɔ gbɛɛ na vɩɛlɛ ka.” 
ROM.10.16	Tɩchɛ a ba ɩ a Isɩral nɩbɛ ba jaa lɛ lɩɛb kaa a 'yɛr nʊ̃ɔ nyã ɛ. Bojũu Isaiya dɔ̃ɔ sʊʊr, “Sɩ Soro, an lɛ sɔɔ de a sɩ 'yɛr?” 
ROM.10.17	Sɩrɛ jaa lɛ ɩka 'yɛr fʊn ma wõ pɔ lɛ fʊ ma sɔɔ, ka a 'yɛrbie ala ban wõ ɩn a Kɩrɩsɩto 'yɛr. 
ROM.10.18	Tɩchɛ ka n sʊʊr, a mɔ̃ baa wõ naa ɛ? Sɩrɛ jaa lɛ ba wõ naa naa. “A ba kɔkɔr yin de jie wʊ jaa, ka a ba 'yɛr tɩ ta a wɛr tɛɛfʊ jie.” 
