GEN.1.1	I cakirok Were ocweyo polo gi piny. 
JER.23.12	i oro ma gir'acula pajo, Rwoth waco.
JER.23.13	In jotuci wac Were ma Samaria
JER.23.13	aneno gimijokere:
JER.23.13	Joluwo i nyingi Bal
JER.23.13	to jorwenyo woko ji paran Isiraili.
JER.23.14	aneno gima kiwacere loyo:
JER.23.14	Jotimo cot to joluwo twodo;
JER.23.14	jokonyo ji timo gimarac,
JER.23.14	ŋey wongoye ŋata weyo timo kidakana.
JER.23.14	Joje jolokere paka Sodom ri an,
JER.23.14	aka ji ma iye paka Gomora.
JER.23.15	Riameno Rwoth Were pa lwak jolweny waco ama kwoŋ jotuci wac Were:
JER.23.15	“Akidho miyo jo camo yath makec
JER.23.15	t'amiyo jo madho pi ma kwir;
JER.23.15	kwoŋbedo wok kwoŋ jotuci wac Were ma Yerusalem
JER.23.15	tim ma bu Were otieko nyay i piny gipi.”
JER.23.16	Rwoth pa lwak jolweny waco ama ri ji ma Yerusalem: Wikiri wiwinji wac ma jotuci wac Were no jowaco riwin; jowaco riwin gitwodo. Joluwo kwoŋ menyirok ma paro pajo wegi, ma k'owoki i dhok Rwoth. 
JER.23.17	Jowaco noknok ri jono ma jobwono wac pa Rwoth ni, “Gigipiny lakadho riwin maber kodi ri ji je ma wiy gin tek ma wegi jotimo gima jomito, ka jowaco ni, ‘Ongoye teko ma lapodho kwoŋ win.’”
JER.23.18	Apenjo ni, “Ŋa m'otieko ye bedo i romo pa Rwoth
JER.23.18	ŋey wonyali neno gi winjo wac pere?
JER.23.18	Ŋa m'otieko ye ciko ithe ri wac pere ŋey wonyali tuco?
JER.23.19	Neni, nge pere cal mor pa koth!
JER.23.19	Keme pere otieko fudhere,
JER.23.19	asur madwoŋ;
JER.23.19	lakedhere woko i wiy jokidakana.
JER.23.20	Nge pa Rwoth k'owire aŋey
JER.23.20	cuka ocow to ketho i kare
JER.23.20	atoŋa ma paro pere.
JER.23.20	I hongo ma rumacen wilaniaŋ gino maber.”
JER.23.21	Rwoth waco ni, “Go k'odhiro jotuci wac Were,
JER.23.21	kucel joŋweco;
JER.23.21	go k'oluwo gi jo,
JER.23.21	kucel joluwo i nyingan.
JER.23.22	To bedi jobedi i romo paran,
JER.23.22	nyaka di jotuco wac paran ri ji paran,
JER.23.22	aka di jowiro jo wok i yo pajo marac,
JER.23.22	kodi i tim pajo marac.”
JER.23.23	Abedo Were macegin, Rwoth penjo, makiweno mabor? 
JER.23.24	Jokune ma jonyalo pondo kam'opanere ŋey akir'anen jo? Rwoth penjo. Wikuya ni anitie kisi kamoro i polo kodi i piny? Rwoth penjo. 
JER.23.25	Atieko winjo gima jotuci wac Were jotieko waco ma jotuco wac ma twodo i nyingan, ka jowaco ni, “Aleko, aleko!” 
JER.23.26	Kiri keraŋo ma jotuci wac Were no jomien ji paran gi luwo twodo, gi joma joluwo twodo mar'adundin pajo wegi? 
JER.23.27	Jotimo can ma miyo wiy ji paran wil kodan gi lek pajo ma jokowo ri wadi gin, paka wiy kwarere pajo owil kodan kwoŋbedo Bal. 
JER.23.28	Weyi jotuci wac Were manitie gi lek wowaci, to weyi ŋata nitie gi wac paran woluwi wac paran ma k'onyeko. Bero aŋo ma kanja nitie gine k'opima gi ŋano? Rwoth penjo. 
JER.23.29	Wac paran kicale gi mac, Rwoth penjo, paka nyundu ma baro tele mathindho thindho? 
JER.23.30	Riameno, abedo jakwor pa jotuci wac Were ma jokwalo wac paran bongi wadi gin, Rwoth waco. 
JER.23.31	Abedo jakwor pa jotuci wac Were ma wegi joluwo wac pajo to jokethere ni owok bongan, Rwoth waco. 
JER.23.32	Winji win, abedo jakwor pa jono ma joluwo twodo, Rwoth waco, ma joluwo to jorwenyo ji paran gi twodo pajo gi timo gigipiny kicar, m'akioro jo kosa aketho jo; ameno ongoye gimoro kad'acel ma jokonyo gine ji me, Rwoth waco.
JER.23.33	Rwoth owaco ran ni, “Yeremia, ka ŋat'acel kwoŋ ji me kosa jatuci wac Were kosa jacway ri Were i wi migam openjin ni, ‘Bieto pa Rwoth obedo aŋo?’ Iwaci rigo ni, ‘Iŋat'ibedo bieto ri Rwoth, aka go lajwangin, Rwoth waco.’ ” 
JER.23.34	Ka ŋatimoro kwoŋ ji paran, kosa jatuci wac Were kosa jacway ri Were i wi migam bende oor wac ni bieto pa Rwoth, alamiyo jo gir'acula kodi pecin pajo. 
JER.23.35	Kucel, joripo penjo wadi jo kodi wade pajo ni, Radwok aŋo ma Rwoth omiyo? Rwoth owaco nedi? 
JER.23.36	Ameno jokiripi kendo oro wac ni bieto pa Rwoth, rupiri ka ŋatimoro otim, alaloko mikwenda paran bieto mar'adieri rigo. Ji jotieko wiro woko wac pa Were makwo, Rwoth pa lwak jolweny, Were mawan.
JER.23.37	Yeremia, ipenji jotuci wac Were no ama: Radwok aŋo ma Rwoth omiyo win? Rwoth owaco nedi? 
JER.23.38	To ka jokwer winjo or paran to jooro wac ni bieto pa Rwoth, kenyo wac rijo ni, 
JER.23.39	riameno alakwanyo jo t'abolo jo woko bor kodan, win kodi tindi madwoŋ ma cango amiyo win kodi kwarere mewin. 
JER.23.40	Alayimo kwoŋ win lifol kodi wickwot ma cil gi cil, ma wiy ji k'owil gine.
JER.24.2	Adita marapena otiŋo nyandere maber tektek, nger nyandere ma pen cek; to adita man mere oyido otiŋo nyandere marac tektek, ma k'onyalo camere. 
JER.24.3	To Rwoth penjan ni, “Yeremia, ineno aŋo?” Adwoko ni, “Nyanderin, nyanderin mabeyo, jobeyo tektek, nyanderin mareco, jorac tektek, ma kinyal camo.”
JER.24.4	Kenyo wac pa Rwoth obino ran. 
JER.24.5	Me apaka Rwoth, Were pa Isiraili waco ama: Paka nyanderin ma jobeyo me, alatero paka gimaber jotwec ma jowok Yuda, m'atieko riemo jo woko wok i kabedo me kidho i piny ma Babilon. 
JER.24.6	Alacomo waŋan kwoŋ jo kicutho, aka aladwoko jo i piny me. Alageto jo, aka ak'orey woko jo; alapidho jo, aka k'ofudhi jo. 
JER.24.7	Alamiyo adundo ma miyo jo ŋeyo ni Abedo Rwoth; jolabedo ji paran t'abedo Were pajo, kwoŋbedo jolagik bongan g'adundin pajo je.
JER.24.8	To Rwoth waco ama: “Paka nyanderin mareco tektek ma kinyal camo, ameno apaka alatic kodi Kere Zedekia ma Yuda, jotel pere, ji ma jodoŋ Yerusalem ma jodoŋ i piny me, kodi jono ma jobedo i piny ma Misir. 
JER.24.9	Alaloko jo ginyero, gimoro marac, ri kerin je ma piny, lifol, gir'awaca, aŋala, t'ioro nyingi jo paka kwoŋ kisi kamoro je m'akedh'iye jo. 
JER.24.10	Alakelo lweny, kec, two nundu kwoŋ jo, cuka jorere woko kicutho wok i piny m'amiyo jo kodi kwarere pajo.”
JER.25.2	ma jatuci wac Were Yeremia oluw'iye gi ji je ma Yuda kodi ji je ma jobedo i Yerusalem: 
JER.25.3	Ma oro piero ario g'adek, wok i oro mar'apar g'adek apa Kere Yosia wod pa Amon ma Yuda, tundo gunyo ni, wac pa Rwoth obino ran, aka atieko luwo g'amen riwin, to wikwero winjo. 
JER.25.4	Kada nende Rwoth omena dhiro riwin ŋecin pere jotuci wac Were, fodi wikiwinjo kosa ciko ithi win ma winjo 
JER.25.5	ka jowaco ni, “Wire win, kisi dhano kwoŋ win, i royo mewin marac kodi tim ma kidakana, nyaka to widoŋ i piny ma Rwoth otieko miyo win kodi kwarere mewin macon kodi ma cil gi cil. 
JER.25.6	Jowaco riwin ni wikiri wikwoŋ to witiyo ri werin man gi bedo ma wikimiyo Rwoth nge gi lamo cal ma witimo. Bedi wiwinji Rwoth, di go k'omiyo win gir'acula.” 
JER.25.7	Kucel wikwero winjan, Rwoth waco, aka ameno onyo wikwinyo nge paran gi cal mewin ma witimo aka onyo wikelo litho kwoŋ win.
JER.25.8	Riameno me apaka Rwoth pa lwak jolweny waco: “Kwoŋbedo winjo wac paran, 
JER.25.9	akidho dhiro ri nonin je ma yumalo, Rwoth waco, kiri ri Kere Nebukadineza ma Babilon, ŋeca paran, alakelo jo kwoŋ piny me kodi ji ma iye, kodi kwoŋ nonin me thoko; alareyo jo kicutho, t'aloko jo ginyero kodi gidhier, gibwok ma cil gi cil. 
JER.25.10	Alareyo woko kwoŋ jo derino ma siemirok kodi ma kisangala, dwondi jamweha kodi dwondi mweha, derino pa cuma ma rego kodi lero pa tala. 
JER.25.11	Piny me gibe lalokere gunda gi kam'ojwangi, aka nonin me jolatic ri kere ma Babilon ma oro piero ario. 
JER.25.12	Kenyo ka oro piero ario otieko rumo, alamiyo gir'acula ri kere ma Babilon kodi nono no, piny ma Babilon, ro reco pajo, Rwoth waco, k'aloko piny no gunda ma cil gi cil. 
JER.25.13	Alakelo kwoŋ piny no wac je m'atieko luwo, kisi gimoro je m'ondiki i kitawo me, ma Yeremia otieko luwo kwoŋe kwoŋ nonin je. 
JER.25.14	Kole nonin kweth kodi kerin madongo jolaloko jo ŋecin; aka alaculo jo cungo kwoŋ tim pajo kodi tic ma cingi jo.”
JER.25.15	Me apaka Rwoth, Were pa Isiraili, owaco ran: “Ee agwata ma vini ma keme paran, aka imiy nonin je m'adhirin bongi jo jowomadhi. 
JER.25.16	Jolamadho to jotangatanga to wiy jo nyekere kwoŋbedo abor m'adhiro i dier jo.”
JER.25.17	Ameno akwanyo agwata i cingi Rwoth, t'amiyo nonin je ma Rwoth odhiran bongi jo madho. 
JER.25.18	Yerusalem kodi tindin madongo ma Yuda, kerin mere kodi jotel mere, ma loko jo gundin kodi kam'ojwangi, gima miyo dhano dhier kodi kwoŋ, paka jonitie kiri konon. 
JER.25.19	Ee nyingi joman ma jomadho gim'oyido nitie iy'agwata: Farawo kere ma Misir, ŋecin pere, jotel pere, kodi ji pere je; 
JER.25.20	ji je m'oruwere; kerin je ma piny ma Uz; kerin je ma piny pa Jofilistia paka tindin madongo ma Asikelon, Gaza, Ekiron, kodi jom'odoŋ ma Asdod; 
JER.25.21	Edom, Mowab, kodi Joamon; 
JER.25.22	kerin je ma Tire, kerin je ma Sidon, kodi kerin je ma kigodin m'othoko nam; 
JER.25.23	Dedan, Tema, Buzi, kodi ji je ma jolielo wiy jo; 
JER.25.24	kerin je mapa Jowarabu kodi kerin pa ji je m'oruwere ma jobedo i thim; 
JER.25.25	kerin je ma Zimiri, kerin je ma Elam, kodi kerin je ma Mediya; 
JER.25.26	kerin je ma yumalo, ma jowok bor gi cegin, ma joluwere, kodi kerin ma piny ma jonitie. Ka jocowo, kere ma Babilon bino madho.
JER.25.27	Kenyo to Rwoth waco ran ama: Waci ri ji ni Rwoth pa lwak jolweny, Were pa Isiraili waco ama: Medhi win, mer win to wiŋok. Podhi win piny to meni loyo win ma ay, kwoŋbedo abor m'adhiro i dier win.
JER.25.28	To ka jokwer jolo agwata wok i cingin ma madho gima iye, kenyo ibino waco rijo ama: Rwoth pa lwak jolweny waco ama: Wiripo madho! 
JER.25.29	Kole acako kelo rerok kwoŋ tindi paran madwoŋ, aka winonyali geŋo nedi gir'acula? Ak'owey m'akimiyo win gir'acula, kwoŋbedo alwoŋo abor kwoŋ ji je ma jobedo i piny, Rwoth pa lwak jolweny waco.
JER.25.30	In Yeremia, iripo tuco rijo kisi gimoro je
JER.25.30	m'atieko waco. Iripo waco rijo ama:
JER.25.30	Rwoth lakiuja wok i polo,
JER.25.30	kodi wok i kabedo pere maleŋ to jero;
JER.25.30	go lakiuja gi meni kwoŋ ji pere,
JER.25.30	to koko paka jono ma jodhiŋo olemo,
JER.25.30	kwoŋ ji je ma jobedo i piny.
JER.25.31	Derino lawinjere i tielo je ma piny,
JER.25.31	rupiri Rwoth nitie gi banja kwoŋ nonin;
JER.25.31	go donjo i thumo banja ri ji je,
JER.25.31	aka joma jotimo banja, go laneko jo,
JER.25.31	Rwoth waco.
JER.25.32	Rwoth pa lwak jolweny waco ama:
JER.25.32	Eno teko bino wok i nono tundo i nono,
JER.25.32	aka koyo madwoŋ cokere
JER.25.32	wok i witum ma piny.
JER.25.33	I ndelo no del pa jono ma Rwoth oneko laywore wok i tielo gi tielo ma piny. Ongoye ŋata laywako jo, k'ocoki jo, aka k'oyiki jo. Jolabedo i wi lowo paka woyo.
JER.25.34	Ywak win, win jokwath pa ji, aka wigoy ndur;
JER.25.34	ŋindere win i buru, win rwodhe pa mwendi.
JER.25.34	Kole ndelo ma neko win otundo kodi kedhirok mewin,
JER.25.34	aka wilagore piny paka atawo maŋon.
JER.25.35	Gima jokwath joori ma kwalok ladhiero jo,
JER.25.35	aka langoye nger ma kwalok ri rwodhe pa mwendi.
JER.25.36	Winji ywak pa jokwath,
JER.25.36	kodi ywak pa rwodhe pa mwendi!
JER.25.36	Kole Rwoth reyo woko lum pajo,
JER.25.37	aka mwendi ma jobedo i siem jokedhere
JER.25.37	kwoŋbedo nge pa Rwoth maliel.
JER.25.38	Paka simbwor ma weyo ŋungu pere, Rwoth ojwango ji pere,
JER.25.38	kole piny olokere gunda,
JER.25.38	kwoŋbedo abor pa Rwoth mager,
JER.25.38	gi kwoŋbedo nge pere maliel.
JER.26.2	Me apaka Rwoth waco: Cungi i kapido ma Ot pa Rwoth, aka iluwi kodi ji ma jowok i tindin madongo ma Yuda ma jobino lamo i Ot pa Rwoth; luw rijo wac je m'aorin; ikir'iwey gimoro kad'acel. 
JER.26.3	Kono miti jowinji, joje, to jowire wok i yo pajo marac, ŋey anyal wiro paro paran kwoŋ teko ma mito kelo kwoŋ jo kwoŋbedo tim pajo marac. 
JER.26.4	Ibino waco rijo ni, Rwoth waco ama: Ka winokwer winjan, ma woro cik paran m'amiyo win, 
JER.26.5	to wiwinjo wac pa ŋecin paran jotuci wac Were m'adhiro riwin i yoto kada wikwero winjo, 
JER.26.6	nyaka alaloko ot me paka Silo, aka alaloko tindi madwoŋ me kwoŋ ri nonin je ma i piny.
JER.26.7	Jocway ri Were i wi migam kodi jotuci wac Were kodi ji je jowinjo Yeremia luwo wac me i Ot pa Rwoth. 
JER.26.8	Munyo Yeremia otieko luwo gimoro je ma Rwoth ooro go ni wowaci ri ji je, kenyo to jocway ri Were i wi migam kodi jotuci wac Were kodi ji je jopodho kwoŋe, ka jowaco ni, “Ilatho!” 
JER.26.9	Raŋo iluwo i nyingi Rwoth, k'iwaco ni, Ot me lacale Silo, aka tindi madwoŋ lajwangere, m'ongoye ji? To ji jocokere thoko Yeremia i Ot pa Rwoth.
JER.26.10	Munyo jotel ma Yuda jowinjo gime, jobino wok i ot pa kere to jokidho i Ot pa Rwoth to jobedo piny i Waŋkac Manyen pa Rwoth. 
JER.26.11	Kenyo to jocway ri Were i wi migam kodi jotuci wac Were jowaco ri jotel kodi ri ji je ni, “Jame mito thumo rigo banja ma tho rupiri go otieko luwo kwoŋ tindi madwoŋ me, paka wiwegi witieko winjo gi ithi win.”
JER.26.12	Kenyo to Yeremia oluwo kodi jotel je kodi ji je ka waco ni, “Obedo Rwoth am'ooran ni aluw kwoŋ Ot pa Rwoth me kodi tindi madwoŋ me wac je ma witieko winjo. 
JER.26.13	Onyo riameno wir win yo mewin kodi tim mewin, aka wiwinji dwondi Rwoth Were mewin, aka Rwoth bino wiro paro pere kwoŋ rerok ma go otieko luwo kwoŋ win. 
JER.26.14	To paka ri an, an ee i cingi win. Tim win kodan gima wiparo ni ber aka otire riwin. 
JER.26.15	Ŋey win nyaka gimoro acel adieri ni, ka winonekan, win kodi ji ma tindi madwoŋ me wilabedo gi banja ma neko dhano m'ongoye gi banja, rupiri obedo Rwoth am'ooran kelo wac me je riwin ni wiwinji.”
JER.26.16	Kenyo to jotel kodi ji je jowaco ri jocway ri Were i wi migam kodi jotuci wac Were ni, “Jame kiripi kodi banja ma tho, rupiri go otieko luwo kodi wan i nyingi Rwoth Were mawan.” 
JER.26.17	Rumacen to jotel mogo ma piny joay malo to jowaco ri ji m'oyido jocokere ama: 
JER.26.18	 Munyo Hezekia oyido obedo Kere ma Yuda, jatuci wac Were Mika m'owok Moras owaco ri ji je ma Yuda ni Rwoth pa lwak jolweny waco ama:
JER.26.18	Ilafuro Zayon paka ndelo;
JER.26.18	Yerusalem lalokere kidhur gunda,
JER.26.18	aka tendere ma Ot pa Rwoth lalokere lul.
JER.26.19	Kere Hezekia kodi ji ma Yuda jok'oneko Mika. Kucel, Hezekia omiyo Rwoth dwoŋ aka otemo mito ni Rwoth wonyuthi go ŋono. Rwoth owiro paro pere kwoŋ rerok m'oyido go ociko kelo kwoŋ jo. Onyo wan ee wacegin kelo rerok madwoŋ kwoŋ wan.
JER.26.20	Obedo jal moro man, Uriya wod pa Semaya m'owok Keriath Yirim, m'oluwo i nyingi Rwoth kwoŋ tindi madwoŋ me kodi kwoŋ piny me i nger acel paka Yeremia otimo. 
JER.26.21	Munyo Kere Yehoyakim, gi jolweny pere kodi jotel pere jowinjo wac pa Uriya, kere otemo mito neko go. To munyo Uriya owinjo kwoŋ gino, lworo omako go to ringo pondo Misir. 
JER.26.22	Kenyo Kere Yehoyakim to dhiro Elinathan wod pa Akibor kodi cwo mogo mako Uriya. 
JER.26.23	Jokelo Uriya bongi Kere Yehoyakim wok Misir, m'oneko go g'abor to bolo delkwoŋe kam'iyik'iye ji ma kisi ndelo.
JER.26.24	To cingi Ahikam wod pa Safan oyido nitie gi Yeremia m'omiyo k'onyal ketho go i cingi ji ma neko go.
JER.27.2	Rwoth owaco ran ama: Tim majogi ma thondhe kodi ma nyweny rin, aka ikethi i ŋutin.
JER.27.3	Idhiri mikwenda ri kere ma Edom, kere ma Mowab, kere pa Joamon, kere ma Tire, kodi kere ma Sidon k'iluwo gi bongi jomikwenda ma jobino i Yerusalem bongi kere Zedekia ma Yuda. 
JER.27.4	Miy jo or me ri jodongo pajo: Rwoth pa lwak jolweny, Were pa Isiraili waco ama: Me a gima wilawaco ri jodongo mewin: 
JER.27.5	Obedo an ma gi meni paran madwoŋ gi badan m'arieyo m'acweyo gine piny, ji kodi ogwaŋe je manitie i piny, t'amiyo ŋat'asangala gine. 
JER.27.6	Pama atieko ketho piny me i cingi Kere Nebukadineza ma Babilon, ŋeca paran, aka atieko miyo go kiri ogwaŋe mager madudi tiyo rigo. 
JER.27.7	Nonin je jolatic rigo, ri wote kodi nyikwaye cuka hongo ma ker pere won opodh'iye, nyaka to nonin man kodi kerin madongo joloko go ŋeca pajo.
JER.27.8	To ka nono moro kosa ker moro k'otiy ri kere me, Nebukadineza ma Babilon, to ketho ŋute i majogi pa kere ma Babilon, kenyo abino miyo nono no gir'acula g'abor, gi kec kodi two nundu, Rwoth waco, cuka anocow reyo woko gi cingan. 
JER.27.9	In, riameno, ikiripi winjo jotuci wac Were perin, kosa dhano moro je ma paro ni ongoye gima latimere yuwaŋe, jolek, joma luwo gi cuny jom'otho kodi jomiliel. Jobino waco rin ni, “Ikir'itiy ri kere ma Babilon.” 
JER.27.10	Kole joluwo riwin twodo, aka lamiyo wokwany win t'itero win i piny man mabor. Alariemo win woko, aka wilarere woko. 
JER.27.11	To nono moro je m'okel ŋute to rwako i majogi pa kere ma Babilon to tiyo rigo, kenyo abino weyo win wibedi i piny mewin, wifur to wibedo kenyo, Rwoth waco.
JER.27.12	Aluwo gi kere Zedekia ma Yuda i nger acel ama: Keli ŋuti win i majogi pa kere ma Babilon, witiy rigo gi ji pere, aka wibino kwo. 
JER.27.13	Raŋo wiripo tho, win kodi ji mewin g'abor, gi kec kodi two nundu, paka Rwoth otieko luwo ma mako kwoŋ nono moro je ma k'otiy ri kere ma Babilon? 
JER.27.14	Wikiri wiwinji wac pa jotuci wac Were ma jowaco riwin kwero tic ri kere ma Babilon, kole joluwo twodo riwin. 
JER.27.15	Akidhiro jo, Rwoth waco, to joluwo twodo i nyingan, ma lamiyo woriem win woko to wirere, win kodi jotuci wac Were ma joluwo riwin.
JER.27.16	Kenyo t'aluwo kodi jocway ri Were i wi migam kodi ji me je, k'awaco ni: Rwoth waco ama: Wikiri wiwinji wac pa jotuci wac Were mewin ma joluwo riwin, jowaco ni, “Atewe ma Ot pa Rwoth, icegin dwoko wok Babilon.” Kole jotuco riwin twodo. 
JER.27.17	Wikiri wiwinji jo; tiyi win ri kere ma Babilon aka wilakwo. Raŋo tindi madwoŋ me wolokere gunda? 
JER.27.18	Adieri ka jobedo jotuci wac Were, aka ka wac pa Rwoth nitie gi jo, kenyo weyi jowopidi gi Rwoth pa lwak jolweny, ni atewe m'owey i Ot pa Rwoth, i ot pa kere ma Yuda, kodi i Yerusalem wokiri woter i Babilon. 
JER.27.19	Kole Rwoth pa lwak jolweny waco ama kwoŋ sirin, nam, madalin, kodi atewe man m'odoŋ i tindi madwoŋ me, 
JER.27.20	ma Kere Nebukadineza ma Babilon k'okadho gine munyo otero i twec wok Yerusalem kidho Babilon, Kere Yekonia wod pa Yehoyakim ma Yuda, kodi jotel je ma Yuda gi Yerusalem.
JER.27.21	Rwoth pa lwak jolweny, Were pa Isiraili, waco ama kwoŋ atewe m'owey i Ot pa Rwoth, i ot pa kere ma Yuda, kodi i Yerusalem: 
JER.27.22	Ilatero Jobabilon, aka jolabedo kenyo cuka tundo ndelo m'anociki ithan rijo, Rwoth waco. Kenyo alakelo jo t'adwoko jo i kabedo me.
JER.28.2	“Rwoth pa lwak jolweny, Were pa Isiraili waco ama: Atieko turo woko meni pa kere ma Babilon. 
JER.28.3	I hongo ma oro ario aladwoko i kabedo me atewe je ma Ot pa Rwoth, ma Kere Nebukadineza ma Babilon okwanyo wok i kabedo me to tero Babilon. 
JER.28.4	Aladwoko bende i kabedo me Kere Yekonia wod pa Yehoyakim ma Yuda, kodi jotwec je wok Yuda ma jokidho Babilon, Rwoth waco, rupiri alaturo woko meni pa kere ma Babilon.”
JER.28.5	Kenyo to jatuci wac Were Yeremia luwo kodi jatuci wac Were Hanania munyo jocway ri Were i wi migam kodi ji je m'oyido jonitie jocungo i Ot pa Rwoth; 
JER.28.6	to jatuci wac Were Yeremia waco ni, “Ayeyo! Weyi Rwoth wotim ameno; weyi Rwoth wokethi i kare wac je m'itieko luwo, aka wodwoki i kabedo me wok Babilon atewe ma Ot pa Rwoth kodi jotwec je. 
JER.28.7	To winji win wac me m'aluwo ka wiwinjo kodi ka ji je jowinjo. 
JER.28.8	Jotuci wac Were ma jopen bedo riwin gi an wok i hongo macon joluwo kwoŋ lweny, kec kodi two nundu kwoŋ piny kweth kodi kerin madongo. 
JER.28.9	Paka ri jatuci wac Were m'oluwo kwoŋ siem, ka wac pa jatuci wac Were no obedi adieri, nyaka bino ŋeyere ni Rwoth adieri am'odhiro jatuci wac Were no.”
JER.28.10	Kenyo jatuci wac Were Hanania to kwanyo majogi i ŋuti jatuci wac Were Yeremia to turo woko. 
JER.28.11	Hanania oluwo munyo ji je jowinjo, owaco ni, “Rwoth waco ama: Ama apaka alaturo woko meni pa Kere Nebukadineza ma Babilon wok i ŋuti nonin je nyaka i oro ario kende.” Kenyo jatuci wac Were Yeremia to kadho yo pere.
JER.28.12	Kare moro munyo jatuci wac Were Hanania otieko turo woko majogi wok i ŋuti jatuci wac Were Yeremia, wac pa Rwoth obino ri Yeremia ama: 
JER.28.13	“Kidhi iwaci ri Hanania, Rwoth waco ama: Itieko turo woko majogi ma mbawo to alayiko man ma nyweny lunjo jo! 
JER.28.14	Kole me apaka Rwoth pa lwak jolweny, Were pa Isiraili waco: Atieko ketho majogi ma nyweny i ŋuti nonin me je ŋey jowonyal tic ri Kere Nebukadineza ma Babilon, aka adieri jolatic rigo; atieko miyo kiri ogwaŋe mager madudi tiyo rigo.” 
JER.28.15	Jatuci wac Were Yeremia to waco ri jatuci wac Were Hanania ni, “Winji, Hanania, Rwoth k'odhirin, aka imiyo ji me joketho geno pajo i twodo. 
JER.28.16	Riameno Rwoth waco ama: Akidho kwanyin woko i piny. I oro me won ilatho, rupiri itieko luwo gwenyirok kwoŋ Rwoth.”
JER.28.17	I oro no won, i dwe mar'abirio, to jatuci wac Were Hanania tho.
JER.29.2	Gime otimere munyo Yekonia kodi nyamicala, jotel ma kapido, jotel ma Yuda gi Yerusalem, jopac, jothedhi nyweny oyido jotieko ay wok Yerusalem. 
JER.29.3	Balwa no odhir i cingi Elasa wod pa Safan kodi Gemaria wod pa Hilikia, ma Kere Zedekia ma Yuda odhiro i Babilon bongi Kere Nebukadineza ma Babilon. Owaco ama: 
JER.29.4	Rwoth pa lwak jolweny, Were pa Isiraili waco ama, ri jotwec je m'adhiro jo i twec wok i Yerusalem kidho Babilon: 
JER.29.5	Geti win udi to wibed'iye. Pidhi win cemo to wicamo ranyak mere. 
JER.29.6	Nywom win to winywolo nyithindho. Nywom win ri wot win, aka wiyey nyiki win jowonywomere, ŋey jowonyal nywolo nyithindho; jowonyay kenyo ma jok'omojere. 
JER.29.7	To tiyi win ri bero pa tindi madwoŋ kam'adhiro win'iye i twec, aka wikway Rwoth i nyingi jo, rupiri i bero pajo wilalimo bero. 
JER.29.8	Kole me apaka Rwoth pa lwak jolweny, Were pa Isiraili waco ama: Wikiri wiyey jotuci wac Were kodi joma joparo ni joŋeyo gima latimere yuwaŋe ma jonitie i dier win jowowondi win, aka wikiri wiwinji lek pajo ma joleko, 
JER.29.9	rupiri obedo twodo ama joluwo riwin kwoŋe i nyingan, akidhiro jo, Rwoth waco.
JER.29.11	Adieri aŋeyo can m'anitie gine riwin, Rwoth waco, can ma bero mewin makiweno raco, ma miyo win hongo ma yuwaŋe gi geno. 
JER.29.12	Kenyo nyaka ka wilwoŋan to wibino to wikwayan, alawinjo win. 
JER.29.13	Ka wirangan, wilanwaŋan, ka widwaran gi cuny win je, 
JER.29.14	wilanwaŋan, Rwoth waco. Aladwoko silwany mewin t'acoko win wok i nonin je kodi kabedo je m'akedh'iye win, Rwoth waco. Aladwoko win i kabedo m'akwany'iye win t'atero win wiloka.”
JER.29.15	Kwoŋbedo witieko waco ni, “Rwoth otieko miyo wan jotuci wac Were i Babilon.” 
JER.29.16	Rwoth waco ama kwoŋ kere ma bedo i kom ma dhum pa Daudi, kodi kwoŋ ji je ma jobedo i tindi madwoŋ me, wade mewin ma jok'okadho gi win i wiloka. 
JER.29.17	Rwoth pa lwak jolweny waco ama, akidho gonyo kwoŋ jo abor, kec kodi two nundu, aka alaloko jo paka nyandere m'otop marac swa ma kinyal camo. 
JER.29.18	Alariemo jo g'abor, gi kec kodi two nundu, aka alaloko jo gibwok ri kerin je ma piny. Jolabedo paka kwoŋ, gibwok, gidhier, kodi ginyero i dier nonin je kam'atieko kedh'iye jo. 
JER.29.19	Gime latimere rijo kwoŋbedo jok'oworo mikwenda paran, munyo amena dhiro rijo ŋecin paran jotuci wac Were. Jokwero winjo, Rwoth waco. 
JER.29.20	To onyo pama, win ma winitie i wiloka je m'ariemo wok Yerusalem kidho Babilon, winji win wac pa Rwoth.
JER.29.21	Rwoth pa lwak jolweny, Were pa Isiraili waco ama, ma mako Ahab wod pa Kolaya kodi Zedekia wod pa Maseya, ma joluwo gitwodo i nyingan. Akidho ketho jo i cingi Kere Nebukadineza ma Babilon, aka go laneko jo ka wineno. 
JER.29.22	Ka ji m'oter jo paka jotwec wok Yerusalem kidho Babilon jomito kelo kwoŋ nyatoro, jobino waco ni, “Weyi Rwoth wotim riwin paka Zedekia kodi Ahab, ma kere ma Babilon obulo jo i mac.” 
JER.29.23	Kwoŋbedo jotimo gimiŋo i Isiraili to jotimo cot gi mon pa wadi gin, aka jotieko luwo wac ma twodo i nyingan m'akioro jo; aŋat'aŋeyo aka abedo jakony, Rwoth waco.
JER.29.24	Waci ri Semaya ma Nehelam ni: 
JER.29.25	Rwoth pa lwak jolweny, Were pa Isiraili waco ama: I nyingin won idhiro balwa ri ji je ma jonitie i Yerusalem, kodi ri jacway ri Were i wi migam Zefania wod pa Maseya, kodi ri jocway ri Were i wi migam je, k'iwaco ama: 
