MAT.1.1	In se tocayomej de itajhuehuentzitzihuan Jesucristo yejhuan teicniu itech David niman Abraham. 
ACT.24.25	Pero ijcuac Pablo tlajtohuaya ica on yolmelacalistli, niman on quen titoyecanasquej, niman on ijcuac Dios techyolcuitis niman techtlajtlacolmacas, Félix onomojtij niman oquijlij:
ACT.24.25	―Aman ye cuajli. Xhuiya. Ijcuac nihuelis ocsejpa nimitztlatitlanilis.
ACT.24.26	Félix no quinequiya niman quichixticatca para Pablo ma quimaca tomin para quimacahuas. Yejhua ica miyecpa quitlatitlaniliaya para ihuan tlajtohuaya.
ACT.24.27	Quemaj ipan canaj ome xipan Porcio Festo oquipatlac on Félix quen gobernador. Niman pampa Félix quinequiya inhuan cuajli nocahuas on hebreos, ocau Pablo ipan cárcel.
ACT.25.1	Festo ohuajlaj para calaquis quen gobernador ne Judia. Niman ijcuac ye quipiaya yeyi tonajli, oquis ne Cesarea niman ojtlejcoc para Jerusalén. 
ACT.25.2	Ompa on intlayecancahuan on tiopixquej niman on hebreos yejhuan más huejhueyixtoquej oyajquej itech niman opeu quiteixpanhuiyaj Pablo. 
ACT.25.3	Sanoyej oquitlajtlanilijquej, quen hueyi favor, para ma quinhuajtitlanili Pablo ne Jerusalén. Ijquin oquijlijquej pampa yejhuamej quinemiliayaj compijpiasquej ne ipan ojtli para quimictisquej. 
ACT.25.4	Pero Festo oquinnanquilij ica Pablo tzacuticaj ne Cesarea, niman ica yejhua yas nimantzin ompaca. 
ACT.25.5	Quemaj ijquin, tej, oquimijlij:
ACT.25.5	―Ma temocan nohuan ne Cesarea on yejhuan más huejhueyixtoquej nemotech, niman tla itlaj oncaj tlen xcuajli itech on tlacatl, huelis quiteixpanhuisquej.
ACT.25.6	Festo ompa onocau Jerusalén canaj chicueyi tonajli noso majtlactli, niman quemaj oyaj ne Cesarea. Niman huajmostla onotlalij ne campa tetlacanonotzalo. Quemaj otlanahuatij ma cuajhuiquilican Pablo. 
ACT.25.7	Ijcuac ocalaquitoj Pablo, oquinisihuijquej on hebreos yejhuan ohualejquej Jerusalén. Niman oquiteixpanhuijquej ican miyec tlajtlamach
ACT.25.8	Quemaj Pablo opeu tlajtohua para nomanahuis, niman oquijtoj:
ACT.25.8	―Xitlaj ica nitlajtlacohua ipan intlanahuatil on hebreos, nion itech on hueyi tiopan, niman nion itech César yejhuan más hueyi tlayecanquetl ne Roma.
ACT.25.9	Pero pampa Festo quinequia inhuan cuajli nocahuas on hebreos, oquitlajtoltij Pablo:
ACT.25.9	―¿Ticnequi tias ne Jerusalén niman ompa niquixtlalos ica in tlajtlamach?
ACT.25.10	Ijcuacon Pablo oquinanquilij:
ACT.25.10	―Ninemi nican campa tetlacanonotza igobierno César campa quimelahua
ACT.25.11	Tla itlaj xcuajli onicchiu niman melahuac cuajli para nimiquis, xninonenequi
ACT.25.12	Quemaj Festo, ijcuac yoquintlajtoltij on itetlacanonotzcahuan, oquinanquilij Pablo:
ACT.25.12	―Otictlajtlan para tipanos itech César. Aman, tej, itech César tias.
ACT.25.13	Ipan quesqui tonajli más saquin
ACT.25.14	Niman ica ompa onenquej miyec tonaltin, Festo oquitlajtlajtohuilij on tlinon ica quiteixpanhuiyaj Pablo. Oquijlij:
ACT.25.14	―Nican nemi se tlacatl yejhuan Félix ocajteu tzacuticaj. 
ACT.25.15	Niman ijcuac oniaj ne Jerusalén, on tiopixquej tlayecanquej niman on tlajtlajmatquej ne intech on hebreos ohualajquej notech ipampa on tlacatl. Yejhuamej quiteixpanhuiyayaj niman nechtlajtlaniliayaj ma nictlajtlacolmaca. 
ACT.25.16	Nejhua oniquinnanquilij ica xijqui nohuicaj on romanos para yacaj quitemactilisquej ma quimictican on aquin quiteixpanhuiyaj, yej achtopa huajlahuij on tlateixpanhuijquej ixpan on aquin quiteixpanhuisnequij niman quiteixpanhuiaj. Quemaj ijcon notejtemohuilia tla hueli nomanahuiya. 
ACT.25.17	Yejhua ica, ijcuac ohualajquej nican san secan, xhuejcajticaj, yej huajmostla nimantzin oninotlalij ne campa niteyolcuitia niman onitlanahuatij ma nechanilitij on tlacatl. 
ACT.25.18	Niman ijcuac ye ompa nemiyaj on tlateixpanhuijquej, xitlaj
ACT.25.19	Yejhuamej yej quiteixpanhuiayaj yejhua ica intlaneltoc niman yejhua ica on se tlacatl itoca Jesús aquin yomic yejhuan Pablo quijtohua ica nemi. 
ACT.25.20	Ica nejhua xnicmatiya quen ijqui huelis nicyolcuitis yejhua ica in, nejhua onictlajtoltij tla quinequisquia yas ne Jerusalén niman yej ompa quiyolcuitisquej yejhua ica in tlajtlamach. 
ACT.25.21	Pero ica Pablo otlajtlan ajsis hasta itech on más hueyi tlayecanquetl romano para ompa quiyolcuitis, ijcuacon nejhua onitlanahuatij para ma quejehuatij hasta ijcuac nihuelis nictitlanis ne itech César.
ACT.25.22	Quemaj Agripa oquijlij Festo:
ACT.25.22	―Nejhua no nicnequisquia nicaquis on tlacatl.
ACT.25.22	Niman Festo oquijlij:
ACT.25.22	―Mostla ticaquis.
ACT.25.23	Niman huajmostla Agripa niman Berenice oajsiquej ne ipan on hueyi cajli campa teyolcuitihua. Niman yejhuamej cuajli huajcualnestiajquej niman ompa ocalaquitoj inhuan on capitanes niman on tlacamej más huejhueyixtoquej ne ipan on hueyican. Quemaj ican itlanahuatil Festo, ocanatoj Pablo. 
ACT.25.24	Ijcuacon Festo oquijtoj:
ACT.25.24	―Rey Agripa, niman tlacamej yejhuan nican tohuan onemosentlalijquej, nican nenquitaj yejhua in tlacatl yejhuan nochi tlacatl hebreo quiteixpanhuiyaj sanquen on yejhuan chanejquej Jerusalén niman on yejhuan chanejquej nican Cesarea. Yejhuamej onechtlajtlanilijquej sanoyej
ACT.25.25	Pero nejhua xonicnextilij itlaj tlen xcuajli oquichiu para yejhua miquis. Niman ica sa no yejhua otlajtlan para panos itech César Augusto, onicnemilij nictitlanis itech. 
ACT.25.26	Niman ica xnicpia tlinon niquijcuilohuilis on tohueyi tlayecancau César yejhua ica in tlacatl, onicuajhuicac nemixpan, niman más tejhua mixpan, rey Agripa, para ticyolcuitisquej niman ijqui nejhua nicpias tlinon niquijcuilos. 
ACT.25.27	Ijquin nicnequi nicchihuas pampa nicuitia xcuajli notitlanis itech César se yejhuan tzacuticaj niman xnoteijlis tlinon ica quiteixpanhuiyaj.
ACT.26.1	Ijcuacon Agripa oquijlij Pablo:
ACT.26.1	―Huelis titlajtos para xmomanahui, tejhua.
ACT.26.1	Pablo ijcuacon oquitelquetz ima niman opeu tlajtohua ijquin para nomanahuis:
ACT.26.2	―Tejhua rey Agripa, sanoyej nipaqui pampa aman ninomanahuis mixpan yejhua ica on nochi quech tlajtlamach
ACT.26.3	Niman más nipaqui pampa tejhua tiquixmati nochi on quen nohuicaj yejhuan hebreos niman nochi on tlen tlajtlamach ica notencuicuij. Yejhua ica nimitztlajtlanilia cuajli xnechcaqui ican ijyohuilistli.
ACT.26.4	’Nochimej on hebreos quimatztoquej quen ijqui ninohuicaya intzajlan desde ijcuac niconetl. Yejhuamej quimatztoquej quen ninemiya ne nochan niman ne Jerusalén. 
ACT.26.5	Yejhuamej no quimatztoquej, niman huelis quiteixpantilisquej ica desde ye huejcahui nifariseo. Tejhuamej yejhuan tifariseos más titohuicaj ipan totlaneltoc xquen on ocsequimej hebreos. 
ACT.26.6	Niman aman nechyolcuitiaj san ipampa on tlamachalistli
ACT.26.7	On majtlactli huan ome families yejhuan hualehuaj itech toachtojtaj Israel quichixtoquej para tenquisas ipromesa Dios chica quitequipanohuaj ican tonajli niman ican yejhuajli. Yejhua ica in tlamachalistli yejhuan nicpia, tejhua rey Agripa, aman nechteixpanhuiaj on hebreos. 
ACT.26.8	¿Man tlica
ACT.26.9	’Sa no nejhua nicnemiliaya ica oncatca para niquinchihuilis miyec tlajtlamach tlen xcuajli on yejhuan quineltocaj Jesús yejhuan hualehua Nazaret. 
ACT.26.10	Niman ijqui onicchiu ne Jerusalén. Ican intlanahuatil on yejhuan tlayecanquej intech on tiopixquej, miyequej teyaxcahuan
ACT.26.11	Miyecpa nejhua niquintlahuelitaya niman niquintlajyohuiltiaya ne ipan on tiopantin pampa nicnequiya ma quinenequican
ACT.26.12	’Niman ipan se tonajli niaya ne ipan on hueyican itoca Damasco para niconminanasquia on yejhuan quineltocaj Jesús. Ijquin niaya ican on amatlanahuatiltin yejhuan on tlayecanquej intech on tiopixquej onechmacaquej. 
ACT.26.13	Quemaj canaj tlacualispan, oh rey, chica niajtiaya ipan nojhui, oniquitac se tlahuijli yejhuan ohualeu ne ilhuicac. On tlahuijli más sanoyej petlaniya xquen on itlahuil tonaltzintli. Niman noyehualican opetlan niman no inyehualican on yejhuan nohuan yayaj. 
ACT.26.14	Quemaj tinochimej otihuetzquej ipan tlajli. Niman nejhua onicac se tlajtojli yejhuan nechijliaya ican tlajtojli hebreo: “Saulo, Saulo, ¿tlica tinechtlahuelita niman tinechtlajyohuiltia? Sa no tejhua timococohua sa no ijqui quen on huacax quichihua ijcuac quitelicsa icuatipan on yejhuan ica quitzopiniaj.” 
ACT.26.15	Ijcuacon oniquijtoj: “¿Aquin tejhua Señor?” Niman on toTeco onechijlij: “Nejhua niJesús on yejhuan tejhua tictlahueltocatinemi. 
ACT.26.16	Aman xmotelquetz, pampa nejhua yonimitztlapejpenij para tejhua tinechtequipanos niman para tejhua ticteixpantilis on tlajtlamach on tlen noca yotiquitac niman on tlen noca tiquitas. 
ACT.26.17	Nejhua nimitzmanahuis intech on hebreos niman intech on yejhuan xhebreos, yejhuan aman intech nimitztitlani. 
ACT.26.18	Nejhua intech nimitztitlani para tiquintitis on tlen melahuac. Ijcon, tej, tiquintitis para huelisquej xoc yasquej ipan on ojtli yejhuan quinhuica para ipan miquisquej, yej para huelis cajsisquej on ojtli yejhuan quinhuica itech temaquixtilistli. No ijqui, tej, tiquintitis para ma ca sa ma quinyecana ipoder on Satanás, yej ma quicuitlapanhuican Dios. Ijcon, tej, nochimej on yejhuan nechneltocaj quiselisquej on tetlapojpolhuilistli ica on intlajtlacol niman se chanyotl
ACT.26.19	’Yejhua ica, tejhua rey Agripa, onictlacamat itlajtol Jesús yejhuan ne ilhuicac ohualeu. 
ACT.26.20	Achtoj oniaj ne intech on yejhuan nemij ne Damasco, quemaj intech on yejhuan nemij ne Jerusalén niman quemaj oniaj ipan nochi iregión Judea niman no intech on yejhuan xhebreos. Onictemachtij para ma cajcahuacan ica quichihua on tlen xcuajli niman para ma quicuitlapanhuican Dios, niman ma quichihuacan cuajli tlajtlamach yejhuan ica quiteititisquej ica yonoyolpatlaquej. 
ACT.26.21	Niman san yejhua ica on onechajsiquej on hebreos ne ipan on hueyi tiopan niman quichihuayaj canica para nechmictisquej. 
ACT.26.22	Pampa ica Dios onechpalehuij hasta ipan in tonajli, niquimixpantilia sanquen on yejhuan xhueyixtoquej niman on yejhuan hueyixtoquej. Niman xqueman itlaj ocse más niquimijlia, yej san on yejhuan on tiotlajtojquej niman Moisés oquijtojquej ica nochihuas. 
ACT.26.23	Yejhuamej oquijcuilojquej ica Cristo yejhuan Dios oquitlalij para tlamandaros ye oncatca para tlajyohuis niman ica ijcuac yomic yejhua achtopa yolihuis
ACT.26.24	Ijcuac Pablo oquijtoj yejhua in tlajtlamach para nomanahuis, Festo otzajtzic:
ACT.26.24	―¡Tejhua tiloco, Pablo! Pampa sanoyej yotimomachtij, yotilocojtiac.
ACT.26.25	Pero Pablo oquijlij:
ACT.26.25	―Nejhua xniloco, hueyixticaj Festo, yej in tlen niquijtohua melahuac niman quipia cajsicamatilistli. 
ACT.26.26	Nican nemi in rey Agripa yejhuan cuajli quixmati in tlajtlamach. Xninomojtia para nitlajtohua nican ixpan pampa cuajli nicyolmatzticaj ica yejhua no quimati nochi yejhua in, pampa xonochiu iyanticaj canaj neca campa xomolco. 
ACT.26.27	Tejhua rey Agripa, ¿ticneltoca on tlen oquijtojquej on tiotlajtojquej? Nejhua nicmatzticaj ica ticneltoca.
ACT.26.28	Niman Agripa oquijlij:
ACT.26.28	―¿Ticnemilia ica san ica on quesqui tlajtojli tinechyolehuas para ninocuepas cristiano?
ACT.26.29	Quemaj Pablo oquijtoj:
ACT.26.29	―Ica quesqui tlajtojli noso tla miyec yesquia, nejhua nictlajtlanilia Dios ica xsan moselti tejhua timocuepasquia cristiano, yej hasta nochimej on yejhuan nechcaquij, aman nocuepasquiaj quen nejhua. Pero xnicnequisquia para no nensalijtiasquiaj ican in teposcadenas quen nejhua.
ACT.26.30	Niman ijcuac otlan quijtohua in tlajtlamach, ohuajnotelquetz on rey, niman on gobernador, niman Berenice, niman on yejhuan tehuan onotlalijcaj ompa. 
ACT.26.31	Niman ijcuac onejcuanijquej san oncuaj, otlajtlajtojquej, quijtohuayaj:
ACT.26.31	―Yejhua in tlacatl xitlaj
ACT.26.32	Niman Agripa oquijlij Festo:
ACT.26.32	―Yejhua in tlacatl huelisquia ticmacahuasquiaj tla xquitlajtlanisquia para ajsis itech César.
ACT.27.1	Ijcuac oquijtojquej tlen tonajli para techtitlanisquej ne Italia, Pablo niman ocsequimej yejhuan tzacutoquej oquintemactilijquej itech se capitán itoca Julio. Yejhua quisa intech on miyequej soldados yejhuan itoca Augusto. 
ACT.27.2	Otitlecoquej ipan se barco yejhuan teyaxca
ACT.27.3	Niman huajmostla otajsiquej ne ipan on hueyican itoca Sidón yejhuan oncaj ne atlatenco. Niman Julio opeu cuajli quinotza Pablo. Yejhua quitaya quen on yejhuan xpreso yesquia. Ijcon, tej, ocahuilij para ma quinnotzati itetlajsojcahuan
ACT.27.4	Quemaj otiquisquej ne Sidón ipan barco, niman pampa on ajacatl techixnamiquiya, otiajquej ipan topochma inacastlan on tlalhuactli itoca Chipre yejhuan oncaj atlajcotian campaca xnojhuitia más on ajacatl. 
ACT.27.5	Otictlajcoajsiquej on mar ixpan on atempan ne Cilicia niman Panfilia, niman otajsiquej ne Mira, yejhuan se hueyican ne Licia. 
ACT.27.6	Quemaj on capitán Julio oquinextij se barco yejhuan teyaxca Alejandría yejhuan yaya para Italia. Niman ipan yejhua on barco otechcalaquij. 
ACT.27.7	Miyec tonajli sanoyej
ACT.27.8	Sa axcan otipanoquej ihueyacan on mar san nisiu on tlalhuactli niman otajsiquej ne campa itoca Buenos Puertos. Sa nisiu ompaca oncatca on pueblo itoca Lasea. 
ACT.27.9	Sanoyej yotihuejcajcaj tinejnemiyaj, niman ye temojtij catca para tiasquiaj ipan atl, pampa ye nisiu on tonaltin invierno ijcuac sanoyej sehua niman ajaca. Yejhua ica Pablo ijquin quintlacanonotzaya, oquimijlij:
ACT.27.10	―Tlacamej, niquita ica ipan in tojhui nochihuas on tlen temojtij. Sanquen in barco niman itlamamal ticpolosquej, niman hasta no huelis timiquisquej tejhuamej.
ACT.27.11	Pero incapitán on soldados más oquitlacamat iteco on barco niman on yejhuan quiyecana on barco xquen Pablo. 
ACT.27.12	Ompa, tej, xoncatca canon cuajli ticpanosquiaj on tonaltin invierno ijcuac sanoyej sehua. Yejhua ica sa quen nochimej oquinemilijquej ica más cuajli quisasquej ompa, para quitasquej tla huelij ajsij ne ipan on hueyican itoca Fenice. Fenice oncaj ipan iatlatenco on tlalhuactli yejhuan oncaj atlajcotian on mar itoca Creta. Yejhua quipia canon cuajli nocahuasquiaj on invierno, pampa on tlachixticaj neca iquisayan tonajli.
ACT.27.13	Niman ijcuac opeu ajaca achijtzin ica on tonalajacatl yejhuan hualehuaya ne ica sur, yejhuamej cuitiayaj ye cuajli para ocsejpa yasquej. Yejhua ica oquintlejcoltijquej on huejhueyi tepostin intoca anclas, niman oyajquej san atlatentli imelacan ica Creta. 
ACT.27.14	Pero san xhuejcajticaj itech on barco sanoyej chicahuac otlahuitec on ajacatl itoca Nordeste. 
ACT.27.15	Opeu techmapehua niman ica xoc ohuel otiajquej campa ticnequiyaj tiasquiaj pampa on ajacatl sanoyej cojtic, otictocahuilijquej ma techhuica san canica. 
ACT.27.16	Niman ijcuac yotiajquej otipanoquej itech se tlalhuactzintli itoca Clauda yejhuan oncaj atlajcotian. Otipanoquej icuitlapan on tlalhuactzintli campaca xnojhuitia más on ajacatl. Niman ompa salijticatca se barquito itech on hueyi barco. Niman sa axcan
ACT.27.17	Niman ijcuac yoquitlejcoltijquej ipan on hueyi barco, quemaj quichihuayaj canica para quitlajcosalosquej on hueyi barco. Quemaj pampa nomojtiayaj calaquisquej ipan on xajli itoca Sirte, oquintemoltijquej on tlaquentli
ACT.27.18	Niman ica oc
ACT.27.19	Niman ipan yeyi tonajli más, tejhuamej ican tomahuan oticominxinijquej ipan mar ocsequi tlajtlamach
ACT.27.20	Miyec tonajli xotiquitaquej on tonaltzintli nion on sitlalimej, niman ica sanoyej temojtij techhuitequiya on ajacatl, yoticpolojca nochi on tlamachalistli
ACT.27.21	Pampa ye ticpiayaj miyec tonajli ica xtitlacuayaj, Pablo ohuajnotelquetz ne totlajcotian niman oquijtoj:
ACT.27.21	―Señores, más cuajli nennechtencaquisquiaj niman xtiquisasquiaj ne Creta para xtitlajyohuisquiaj nion xitlaj
ACT.27.22	Pero aman, xmoyolchicahuacan pampa xacaj quipolos inemilis nican nemotzajlan. San yejhua in barco polihuis. 
ACT.27.23	Aman, tej, ipan in tlayohua onechnotitij se ilhuicactequitquetl
ACT.27.24	Niman on ilhuicactequitquetl onechijlij: “Ma ca xmomojti, Pablo, pampa ica oncaj timoteititis ne itech César, on más hueyi tlayecanquetl romano, niman san mopampa Dios xcahuilis yacaj miquis on yejhuan mohuan nemij ipan in barco.” 
ACT.27.25	Yejhua ica, tej, xmoyolchicahuacan, señores, pampa nicyolmelajcamati ica nochi nochihuas ijcon quen onechijlij on iilhuicactequitcau Dios. 
ACT.27.26	Pero ica oncaj tonxinisquej ipan se tlalhuactzintli yejhuan oncaj atlajcotian.
ACT.27.27	Ipan ome semana on ajacatl oc techhuijhuicaya ne ipan on atl itoca Mar Adria. Niman on sa ica nochi yejhuajli canaj tlajcoihuan on tlacamej yejhuan quitequitiltia on barco oquimatquej ica on barco ye ajsiticatca itech tlajli. 
ACT.27.28	Quemaj oquitemachijquej on atl para quimatisquej quech ica huejcatlan, niman oquipojquej quipia sempoajli
ACT.27.29	Yejhuamej quimacasiyaj, cuitiayaj tla onotechacuanitoj ica on temej ne ijtic atl. Yejhua ica ne icuitlapan on barco oquimpilohuilijquej on nahui huejhueyi tepostin intoca anclas ne ijtic atl, niman sanoyej quinequiyaj ma tlanestetzi. 
ACT.27.30	Quemaj on tlacamej yejhuan quiyecanaj on barco quichihuayaj canica para quisasquej ne ipan on barco. Yejhuamej oquijtojquej ica quimpilohuilisquiaj anclas ipan mar ne iyecapan on barco masqui tla xnejli. Yej yoquitemoltijcaj on barquito ne ipan mar. 
ACT.27.31	Pero Pablo oquimachiltij on capitán niman isoldados:
ACT.27.31	―Tla yejhuamej in xnocahuaj nican ipan in barco, nemejhuamej xnenhuelisquej nenmaquisasquej.
ACT.27.32	Quemaj on soldados oquintejtequej imecayohuan on barquito niman ocahuilijquej ma huiya.
ACT.27.33	Quemaj ijcuac ye huajtlanestiu, Pablo oquintlacanonotz nochimej para ma tlacuacan, oquimijlij:
ACT.27.33	―Aman quipia majtlactli huan nahui tonajli ica nenquichixtoquej niman ijqui nennemij xnentlajtlacuaj. 
ACT.27.34	Nemechtlajtlanilia para xtlacuacan para nencojtiquej yesquej, pampa xacaj quipolos nion se itzon.
ACT.27.35	Ijcuac ijcon oquijtoj, Pablo oconcuic pan niman imixpan nochimej oquimacac tlaxtlahuijli Dios. Quemaj ocuajtlapan niman opeu tlacua. 
ACT.27.36	Quemaj nochimej oyolchicajquej niman no otlacuajquej. 
ACT.27.37	Niman on quech tinemiyaj ompa ipan barco titlapohualtin 276. 
ACT.27.38	Quemaj ijcuac cuajli yotlacuajquej, oconxinijquej on trigo ipan on mar para ma ca sa yetixtias on barco.
ACT.27.39	Niman ijcuac yotlanes, xtlaixtlaliayaj ipan on tlalhuactli, pero contayaj on campa nesiya quen oncalactoc on atl campa quipia on xalatentli itoca bahía. Ompaca, tej, quinequiyaj concalaquisquej on barco tla huelisquiaj. 
ACT.27.40	Yejhua ica oquintejtequej imecayohuan on yejhuan ica notilanayaj on anclas niman oquincajquej ipan on mar. Quemaj nimantzin oquexanijquej on mecamej yejhuan ica sasalijticaj on cojtli
ACT.27.41	Pero ocalaquito ne campa nomalacachohua on mar tlaijtic quen itlan ome atentli yesquia, niman ompa otlalac on barco ipan on xajli. Niman on yejhuan tlayecapan yau ompa otilinito ijtic on xajli niman xoc ohuel onolinij. Niman on yejhuan tlacuitlapan yau otlapou ica on atl, pampa sanoyej cojtic nahuiltiaya on mar yejhuan noquetztehuaya.
ACT.27.42	Quemaj ijcuacon on soldados oquinemilijquej para nochimej on tzacutoquej quinmictisquej para ma ca chojcholosquej ijcuac tlanelojtiasquej. 
ACT.27.43	Pero ica incapitán on soldados quinequiya quimanahuis Pablo, xoquincahuilij para ijcon quichihuasquej. Yej otlanahuatij yejhuan huelij tlanelohuaj ma natlajcalican achtopa niman ma quisatij ne ipan tlajli. 
ACT.27.44	Niman quemaj otlanahuatij para on ocsequimej ma huiyan ipan tablas noso ipan itlajcotzitzihuan on barco. Niman ijcon onochiu ica tinochimej otajsiquej ne ipan on tlajli niman otimaquisquej.
ACT.28.1	Ijcuac tinochimej yotimaquisquej otechijlijquej ica on tlalhuactli campa tinemiyaj itoca Malta. 
ACT.28.2	On yejhuan ompa chanejquej sanoyej
ACT.28.3	Pablo oquisentlalij quesqui cojtli
ACT.28.4	Quemaj ijcuac on chanejquej oquitaquej on cohuatl onopiloj ipan ima niman oquicuaj, opeu quinojliaj:
ACT.28.4	―Sa ica melahuac in tlacatl cas se hueyi temictiani. Masqui tla omaquis ipan mar, ica oncaj quiselia itlaxtlahuil. Itlaj tlajtlacol xcahuilia nemis.
ACT.28.5	Pero Pablo onomatzejtzeloj ne ipan tlitl niman on cohuatl ompa ohuetzito niman xitlaj
ACT.28.6	Yejhuamej on chanejquej quichixticatcaj tla posahuis ima noso tla nimantzin huetzis niman miquis. Pero ijcuac yohuejcau quichixtoquej niman ica oquitaquej xitlaj ipan nochihuaya, oquipatlaquej intlamachilis niman opeu quijtohuaj ica Pablo yejhua se dios.
ACT.28.7	Nisiu sa ompacatzin oncatcaj itlalhuan on tlacatl itoca Publio yejhuan yacatzticaj ne ipan on tlalhuactli. Yejhua sanoyej cuajli otechselij niman ompa otinenquej ihuan yeyi tonajli. Yejhua sanoyej tenotzqui. 
ACT.28.8	Niman on itaj Publio onoya tlapechco, cualohuaya ican totonqui
ACT.28.9	Quemaj ijcuac yonochiu on, nochimej ocsequimej yejhuan cualoj ipan on tlalhuactli no oyajquej itech, niman no oquimpajtij. 
ACT.28.10	Niman yejhuamej otechtlajsojcaitaquej sanoya. Niman ijcuac otiquisquej, otechtlayocolijquej ica nochi tlajtlamach yejhuan tictequitiltisquej ipan tojhui.
ACT.28.11	Quemaj ijcuac yotinenquej yeyi metztli ipan on tlalhuactli, oticajsiquej tojhui ipan se barco yejhuan ompa onocajca ijcuac sehua. On barco teyaxca
ACT.28.12	Niman ijcuac otajsiquej ipan on hueyican itoca Siracusa yejhuan oncaj ipan itenco on mar, ompa otinenquej yeyi tonajli. 
ACT.28.13	Quemaj ompa otiquisquej otiajquej san atlatentli hasta otajsiquej ipan se hueyican itoca Regio. Niman ijcuac huajmostla opeu ajaca achijtzin ica on tonalajacatl yejhuan quisa ne sur. Niman huajmostla otajsiquej ne ipan on pueblo itoca Puteoli. 
ACT.28.14	Ompa otiquinnextijquej sequimej tocnihuan, niman otechnotzquej para se semana ompa inhuan ma titocahuacan. Niman quemaj ompa otiquisquej niman otiajquej para on hueyican itoca Roma. 
ACT.28.15	Niman ica oquimatquej on tocnihuan ne Roma ica sa nisiu tinemij, oquisquej para otechnamiquitoj hasta ne ipan on pueblito itoca Tres Tabernas. Niman ocsequimej oyajquej más tlayecapan hasta on plaza itoca Apio. Niman ijcuac Pablo oquintac, oquimacac tlaxtlahuijli Dios, niman más onoyolchicau. 
ACT.28.16	Ijcuac otajsiquej ne Roma, on capitán oquinmactilij on carcejtlapixqui. Pero Pablo ocahuilijquej nemis ocsecan ihuan se soldado yejhuan oquitlalijquej para quitlapias.
ACT.28.17	Ijcuac quipiaya yeyi tonajli ica otajsiquej ne Roma, Pablo oquintecuitlan on hebreos yejhuan más yacatztoquej. Niman ijcuac yonosentlalijquej, oquimijlij:
ACT.28.17	―Nocnihuan, masqui nejhua xonicchiu itlaj yejhuan xcuajli intech on hebreos nion itech on incostumbres on toachtojtajhuan, onechtemacaquej preso ne Jerusalén intech on tequihuajquej romanos. 
ACT.28.18	Ijcuac onechyolcuitijquej, quinequiyaj nechmacahuasquej, pampa xonechnextilijquej itlaj yejhuan ica nechmelahuasquia nimiquis. 
ACT.28.19	Pero pampa sanoyej onechtlahuelixnamiquej on hebreos, oniquitac ica nonequiya nipanos nican itech César, masqui tla xnicpia tlinon ica niquinteixpanhuis on nochantlacaj
ACT.28.20	Yejhua ica, tej, onemechtecuitlan para nemechitas niman nemechnotzas. Aman, tej, nican ninemi nisalijticaj ica in teposcadena san ipampa on totlamachalis
ACT.28.21	Ijcuacon yejhuamej oquijlijquej:
ACT.28.21	―Tejhuamej xitlaj
ACT.28.22	Pero ticnequisquiaj ticaquisquiaj tlinon tejhua ticnemilia, pampa ticmatztoquej ica nochihuiyan xcuajli quitenehuiliaj on yejhuan quineltocaj on yencuic tlamachtijli.
ACT.28.23	Ijcon, tej, oquitlalilijquej se tonajli para tlajtlajtosquej, niman ijcuac oajsic on tonajli, oyajquej sanoyej miyequej tlacamej ne campa Pablo chantiya. Niman cualcan hasta tiotlac quinmelajcaijliaya niman quimixpantiliaya quen Dios tlamandarohua. Quichihuaya canica para itechcopa on itlanahuatil Moisés niman on tlen oquijcuilojquej on tiotlajtojquej quinyolehuas ica Jesús. 
ACT.28.24	Sequimej oquineltocaquej on tlen Pablo quijtohuaya, pero ocsequimej xoquiselijquej. 
ACT.28.25	Niman ica xsan se tlajtojli oquipixquej, opeu nosesemanaj. Pero ijcuac xe nosesemanayaj, Pablo oquimijlij in tlajtojli:
ACT.28.25	―Cuajli otlajtoj on Espíritu Santo itechcopa on tiotlajtojquetl Isaías ijcuac oquimijlij on toachtojtajhuan:
ACT.28.26	Xhuiya niman ijquin xquimijlij on tlacamej: Ica nemonacashuan nentlacactiasquej, pero xitlaj nencajsicamatisquej. Niman ica nemixtololojhuan nentlachixtiasquej, pero xitlaj nenquitasquej.
ACT.28.27	Ijquin nochihuas, pampa inyojlo in tlacamej yotechicajquej para ma ca cajsicamatisquej ican inyojlo on tlen melahuac. Niman innacashuan tzatzacutoquej para ma ca cuelcaquisquej ican innacashuan on tlen melahuac. Niman imixtololojhuan xtlacha para ma ca quitasquej on tlen melahuac. Tla ijcon nochihuasquiaj noyolpatlasquiaj niman niquinpajtisquia inalma.
ACT.28.28	Quemaj Pablo oquimijlij:
ACT.28.28	―Aman xmatican ica desde aman para tlayecapan yejhua in itemaquixtil Dios quititlanisquej intech on yejhuan xhebreos, niman yejhuamej caquisquej.
ACT.28.29	Ijcuac Pablo oquijtoj yejhua in, on hebreos oquisquej, niman sa no yejhuamej sanoyej onocamatlanquej.
ACT.28.30	Pablo cuajli ome xipan ompa onocau ne ipan on cajli yejhuan oquitlaneu. Niman yejhua quinseliaya nochimej on yejhuan yayaj itech. 
ACT.28.31	Niman quiteijliaya on quen Dios tlamandarohua niman quitemachtiaya itech ica toTeco Jesucristo. Niman Pablo xitlaj ica ontelihuiya chica temachtiaya, niman xacaj quipajsolohuaya.
