MAT.1.1	Abraham Fapa, David Fapa, Jesuh Krih hringtu hna ṭialnâk cauk: 
2TH.1.11	Cucaah kan Pathian nih a kawhnâk ah tel awk a tlâkmi ah an ruah hna i a ṭhatnâk chungah a lawmhmi thilṭha hna cu ṭhawnnâk le zumhnâk in nan tlinter khawh nâkhnga nan caah thla kan cam tawn. 
2TH.1.12	Kan Pathian le Bawipa Jesuh Krih zângfahnâk bangin kan Bawipa Jesuh min cu nan lakah thangṭhat in a um lai i nannih zong Amah ah thangṭhat in nan um ve lai.
2TH.2.1	Cubangin ule nau hna, kan Bawipa Jesuh Krih ratnâk le a sin i pumh kan si lainâk kongah, 
2TH.2.2	kanmah chimmi bang i puh in, ca in siseh, bia in siseh, thlarau in siseh, Krih ni cu a phân diam cang timi nih nan ruahnâk a hninh i nan buai nâkhnga lo kan in nawl hna. 
2TH.2.3	Ahohmanh nih zei lei hmanh in in hleng hna hlah seh; tluktâknâk kha a phanh hmasat i misualpa lotlau fapa kha a langh hlanah cun cuni cu a phân lai lo, 
2TH.2.4	amah nih Pathian tiah min an bunhmi le biakmi vialte ralchanh in, an cungah â hlawrh lai, Pathian bangtukin Pathian ṭempal ah ṭhu in Pathian bangin â langhter lai. 
2TH.2.5	Nan sin ka um lio ah khan cu thil cu kan chimh cang hna ti kha nan hngal rih ko lo maw? 
2TH.2.6	Amah cân te i a langh khawhnâk caah atu ah hin zeinihdah a donh ti kha nan hngalh. 
2TH.2.7	Zeitintiah phunglo-umnâk biathli nih atu zongah ṭuan hram a thawk cang. Asinain lak a sihlan pauh cu dawntu nih a donh rih. 
2TH.2.8	A dawntu cu lak a si hnuah phunglo-umpa cu a lang cang lai, Bawipa â langhnâk i a liannganmi ceunâk nih a hrawh lai i a kâ i thaw in amah cu a khangh lai. 
2TH.2.9	Phunglo-umpa ratning cu Satan rianṭuannâk zulhin a ra lai, ṭhawnnâk le, hmelchunhnâk le, lih in khuaruahharnâk phun kip he a ṭuan lai, 
2TH.2.10	cun a lotlau ding a simi hna cu, dinlonâk vialte in hlen an si lai, zeicatiah khamh an si khawh nâkhnga dawtnâk biatak kha an cohlang duh lo. 
2TH.2.11	Hi ruangah hin lih kha an zumh nâkhnga Pathian nih a ṭhawngmi hlennâk kha a thlah hnawh hna lai, 
2TH.2.12	biaktak zum lo i dinlonâkah â lawmmi vialte nih thiamlo an co nâkhnga. 
2TH.2.13	Asinain Bawipa dawtmi ule nau hna biatak zumhnâk le Thlarau thianternâk thawngin Pathian nih a hramthawk in khamhnâk co dingah an thim hna caah Pathian sinah lawmhnâk bia chim zungzal dingin ṭemchihmi kan si. 
2TH.2.14	Cu thil caah Bawipa Jesuh Krih lianngannâk cove dingin kan thawngṭha bia hmangin Amah nih an kawh hna. 
2TH.2.15	Cucaah ule nau hna, fek tein dir u law, bia in siseh câ in siseh kan in cawnpiakmi hna le chanhmi kha i tlaih peng u. 
2TH.2.16	Cubangin kan Bawipa Jesuh Krih le kan Pa Pathian a kan dawtu le zângfahnâk ruangah zungzal hnangamnâk le ruahchannâk ṭha a kan petu Amah hrimhrim nih, 
2TH.2.17	nan lungthin kha hnangam terin bia ṭha phun kip le tuahsernâk phun kip in in fehter hna seh.
2TH.3.1	A donghnâk ah u le nau hna, Bawipa bia nan rak sunloih bantukin ṭhawng ngai le khulrangin a karh khawh nâkhnga thla kan cam piak u, 
2TH.3.2	khuaruat setsai lomi le misual kutin khamh kan si nâkhnga, zeitintiah mi vialte nih zumhnâk kha an ngei lo. 
2TH.3.3	Asinain Bawipa cu zumh a tlâk, Amah nih an fehter hna lai i mi ṭhalo pa sinin an kilven hna lai. 
2TH.3.4	Cun nawl kan in pêkmi hna kha nan tuah i nan tuah lengmang ko lai tiah Bawipa ah kan hna a ngam ko. 
2TH.3.5	Cubangin Bawipa nih nan lungthin kha Pathian dawtnâk le Krih inkhawhnâk ah in chia ko hna seh. 
2TH.3.6	Asinain u le nau hna, kan sin in theihternâk an hmuhmi ningin um loin ningcang loin khua a sami hna chungin a dang te i um dingin kan Bawipa Jesuh min in nawl kan in pêk hna. 
2TH.3.7	Zeitintiah nanmah hrimhrim nih zohchunh awk nan kan ngei, nan sinah ningcang loin khua kan sa bal hrimhrim lo, 
2TH.3.8	asiloah aho rawl hmanh man loin kan ei bal lo, nan lakah ahohmanh thil rit pelo dingin chun zan hlan in thaba ngaiin rian kan ṭuan. 
2TH.3.9	I cawmkenter awkah nawlngeihnâk kan ngeih lo ruangah a si lo, nan ca-ah zohchunh awk tlâk si kha kan i timhmi a si. 
2TH.3.10	Zeitintiah nan sin i kan um lio zongah hi nawl hi kan in pêk cang hna. “Ahohmanh rian a ṭuan lo ahcun, a ei zong ei hlah seh,” timi hi. 
2TH.3.11	Zeitintiah nan lakah cheu khat ningcang loin a ummi thawng kan theih, cu hna nih rian an`uan hrimhrim lo, midang rianah an i hlinh i hna an hnawh hna. 
2TH.3.12	Cubantuk mi hna cu dai tein rian an ṭuan i mah le rawl cio ei i tim hna seh, ti hi Bawipa Jesuh Krih ah nawl kan pêk hna i tha zong kan pêk hna. 
2TH.3.13	Ule nau hna, nannih cu thil ṭha tuah kha neng hlah u. 
2TH.3.14	Ahohmanh nih hi kan ca i kan bia hi a zulh lo ahcun, cu hna cu i chinchiah ulaw, anning a zah khawh nâkhnga kawm hna hlah u. 
2TH.3.15	Asinain ral zoh in zoh hna hlah u, unau bangin chimhring hna u. 
2TH.3.16	Daihnâk Bawipa Amah hrimhrim nih a lam kipah daihnâk in pe zungzal ko hna seh. Bawipa cu nan dihlak cungah um ko seh. 
2TH.3.17	Kuttlaihnâk hi keimah Paul nih ka kut hrimhrim in ka ṭialmi a si. Hibantuk i ka ṭialmi hi ka cakuat vialte hmelchunhnâk a si. 
2TH.3.18	Kan Bawipa Jesuh Krih zângfahnâk nan dihlak cungah um ko seh. Amen.
1TI.1.1	Paul, Pathian a kan khamhtu le kan i ruahchanmi Jesuh Krih nawlpêk bangin Jesuh Krih lamkaltu nih. 
1TI.1.2	Zumhnâk i ka fa taktak Timote sinah, Pathian kan Pa le kan Bawipa Jesuh Krih sin in zângfahnâk, vel le daihnâk um ko seh. 
1TI.1.3	Masidonia ka kal lai i kan nawl bang khan Efesa khua ah um peng law, micheu khat nih cawnpiaknâk hmânlo an cawnpiakmi kha cawnpiak tilo dingin rak chim hna, 
1TI.1.4	pupa hna min le tuanbia sawh sawh ruah le khah kha ngol hna seh, cu nih cun Pathian lei zumhnâkah ṭhathnemnâk zeihmanh a ngei lo, elhnialnâk men a chuahter. 
1TI.1.5	Nawlpêk nih a tinhmi cu, zumhnâk taktak le chiaṭha hngalhnâk ṭha le lung thin thiangin a chuakmi dawtnâk hi a si, 
1TI.1.6	cuthil hna cu kaltâk in mi cheukhat nih santlai lo bia sawhsawh an buaipi. 
1TI.1.7	thiam ngaiin an chimmi nih zeidah a sawh i sullam zeidah a ngeih ti zong ruat loin nawlbia cawnpiaktu si kha an duh. 
1TI.1.8	Asi nawlbia hi minih tling tein a hman ahcun a ṭha ti kha kan hngalh, 
1TI.1.9	hihi hngal hna seh, nawlbia hi miṭha caah ser a si lo, nawlbia zeiah a rel lomi, nawlbia ral chanh i a nungmi, Pathian-zeiaharellomi, misual, a thiang lomi, biaknâk zeiaharellomi, nu le pa thattu, lainawng, 
1TI.1.10	nupa sualnâk tuah a hmangmi, tawkâ hor, minung fir a hmangmi, lih chimmi, a deu in chiatserh i biakam a hmangmi, cawnpiaknâk hmân ralchanhtu, 
1TI.1.11	thangṭhattlâk Pathian thawngṭha sunparnâk kan sin i chiahmi ralchanhtu hna caah ser a si. 
1TI.1.12	Hi rian ṭuan kho i a ka sertu le zumhtlâk i a ka ruattu Krih Jesuh kan Bawipa sinah lawmhnâk bia ka chim. 
1TI.1.13	Hlanah thangchiattu le serhsattu le mi sawksâmtu ka rak sinain zumlonâk le hngallo buin ka rak tuahmi a si caah velhngeihnâk ka rak conâk hi a si. 
1TI.1.14	Cun kan Bawipa zângfahnâk tamzia cu Krih Jesuh ah a ummi zumhnâk le dawtnâk thawngin tamtuk in a liam in a liam. 
1TI.1.15	Krih Jesuh cu misual hna khamh dingah vawlei ah a ra, ti hi zumh awk a tlâkmi le cohlan awk a tlâkmi a si, an lakah a sual bik ka si. 
1TI.1.16	Asinain hi ruangah hin velngeihnâk ka hmuh hi a si, cucu Jesuh Krih nih ka cungah a lungsaunâk vialte a langhter hmasa i atu thawkin zungzal nunnâk co awkah a zum hngami hna caah zohchunh awk a si nâkhnga. 
1TI.1.17	Zungzal Siangpahrang, a thi kho lomi, hmuh khawh lomi, amah lawng a fimmi Pathian sinah zungzal in zungzal tiang upatnâk le sunparnâk um ko seh. Amen. 
1TI.1.18	Ka fapa Timote, hlan i na kong an rak chim chungmi bangin um awkah raldohnâk ṭha kha na doh khawh nâkhnga, cu ṭuanvo cu na cungah ka chiah. 
1TI.1.19	Zumhnâk le chiaṭha hngalhnâk thiang kha i tlaih peng, ceukhat nih cucu an namnul i tilawng a kuaimi bangin an zumhnâk kha a kuai tawn. 
1TI.1.20	Cuhna lak ah Humanias le Aleksandria an i tel, Pathian thangchiat a poining an hngalh khawh nâkhnga annih cu Satan sinah ka pêk hna.
1TI.2.1	Cucaah a hmaisa bikah nawlnâk, thlacamnâk, midang ca i nawlnâk le lawmhnâk biachimnâk kha mi vialte caah tuah awkah kan forh, 
1TI.2.2	hnangam le dai te le Pathian upat le ṭihzah in khua kan sak khawh nâkhnga, bawi le nawlngeitu vialte caah thla cam u. 
1TI.2.3	Zeitintiah hihi kan Khamhtu Pathian hmai ah a ṭha i cohlan awk a tlâkmi si, 
1TI.2.4	Anih nih cun mi vialte khamh si hna seh law biatak hngal hna seh ti kha a duh. 
1TI.2.5	Zeitintiah Pathian pakhat lawng a um i Pathian le minung karlak ah lamkaltu pakhat lawnglawng a um, 
1TI.2.6	amah cu Minung mi vialte tlanhnâk ah a nunnâk a petu Krih Jesuh kha a si, cucu a cân te ah hngalh terin a um awk a si, 
1TI.2.7	zeitintiah keimah zong cu bia chimtu le lamkaltu ah ruahmi ka si, Krih ah biatak ka chim i ka lih lo, zumhnâk le biatak ah Gentel mi hna cawnpiaktu ah ruahmi ka si. 
1TI.2.8	Cucaah pa nih ka kip ah a thiangmi ankut thlir in thinhung lo le lunghring loin thla cam hna seh law ka duh, 
1TI.2.9	cubantukin nu zong nih tluangtlam tein i ṭamh hna seh, luan tukin an sam phiar hna hlah seh, sui le lungvar le man fak tukmi hnipuan i hruk hna hlah seh. 
1TI.2.10	Pathian a ṭanhtu nu hna nih a za tawkin thilṭha tuah in i ṭamh hna seh. 
1TI.2.11	Nu nih pumpeknâk he dai tein cawng hna seh. 
1TI.2.12	Pa cungah nawlngeih le cawnpiak cu ka onh hna lo, dai tein an um awk a si. 
1TI.2.13	Zeitintiah Adam kha ser hmasat a si, cu hnu ah Evi kha ser a si. 
1TI.2.14	Cun Adam kha hlen a si lo, Evi kha hlen a si i nawl buarnâk ah a tlu. 
1TI.2.15	Asinain zumhnâk le dawtnâk, thianhlimnâk le sumkhawhnâk he a um peng ahcun fa hrin ruangah khamh in a um lai.
1TI.3.1	Kawhhran hotu si a duhmi pauh cu ṭhatnâk tuah a duh timi bia hi zumhtlâk a si. 
1TI.3.2	Cuticun kawhhran hotu cu dotla, nupi pakhat ngei, â sumkhomi, ralringmi, nun can ṭha, mi conglomh thiam, cawnpiak thiam, 
1TI.3.3	misur hang ding lomi, velhhmang lomi, phaisaduhtuk lomi, nunnemmi, elhnial hmang lomi, duhfâk lomi, 
1TI.3.4	hmaizah awktlâk in inchungkhar le fale zohkhenhmi an si awk a si. 
1TI.3.5	(zeitintiah mi nih amah inchungkhar hmanh a zohkhenh khawhlo ahcun Pathian kawhhran cu zeitindah a zohkhenh khawh lai?) 
1TI.3.6	lungthlengka sihlah seh, culoahcun â porhlaw lai i Satan thiamloconâk ah a tlu sual lai. 
1TI.3.7	Cuhleiah lênglei mi hna hmuhnâk zongah minṭhatnâk a ngeimi a si awk a si, culoahcun minchiatnâk ah tlu in Satan rap nih a foih sual lai. 
1TI.3.8	Cubantukin kawhhran upa hna zong hmaizahmi an si hrimhrim awk a si, bia a duh tuk lomi, misurhang ram lomi, phaisa duhtuk lomi an si awk a si, 
1TI.3.9	zumhnâk biathli chiaṭha hngalhnâk thiangin a tlaitu an si awk a si. 
1TI.3.10	Cu zong cu hniksak an si hmasat awk a si, cuticun dotla an si ahcun upa rian ṭuan hna seh. 
1TI.3.11	Cubantukin an nupi le zong upatmi an si hrimhrim awk a si, kongceih le thangchiat a hmang lomi, â zuam khomi le, zeithil pauh ah zumhawk a tlâkmi an si awk a si. 
1TI.3.12	Kawhhran upa hna cu an inchungkhar le an fale zohkhenh a thiammi, nupi pakhat ngeimi an si awk a si. 
1TI.3.13	Zeitintiah kawhhran upa ṭha tein a ṭuanmi cu dirhmun ṭha le fekmi cotu an si i Krih Jesuh chung i zumhnâk zongah ralṭhatnâk nganpi an ngei. 
1TI.3.14	Na sinah ratzau kâ ruahchan nain hihi na sinah ka rak ṭial; 
1TI.3.15	ka rauh deuh sual zongah Pathian chungkhar hna chungah khuasakning nan hngalh khawh nâkhnga ka ṭialmi a si. Pathian chungkhar hna cu Pathian nung kawhhran, biatak hrambunhnâk le suttung a si. 
1TI.3.16	Pathianmisinâk biathli liannganning cu elkhawh a si lo. Pathian cu thisa ah â cang i Thlarau ah thiamcoter a si, vanmi nih an hmuh i Gentel mi hna sinah aupi le vawlei mi nih an zumh i sunparnâk ah kaipimi a si.
1TI.4.1	Cân hmadung ahcun mi tampi nih zumhnâk hi an tluktâk lai i hlennâk thlarau le khuachia cawnpiaknâk lei ah an i mer lai tiah Thlarau nih fiang tein a chim, 
1TI.4.2	zer ngaiin lih anchim lai i an chiaṭha hngalhnâk cu thirlin dehmi bantuk an si lai, 
1TI.4.3	ṭhit-umh an kham i biatak hngal i a zummi hna nih lawmhnâk bia chim i an cohlanmi Pathian sermi rawl ei hlah u tiah an kham hna. 
1TI.4.4	Pathian nih a sermi vialte hi lawmhnâk bia chimnâk i cohlan a si ahcun an ṭha dih ko, duh lo ding zeihmanh a um lo, 
1TI.4.5	zeitintiah Pathian bia le thlacamnâk in thianter a si cang. 
1TI.4.6	Cu thil hna cu unau hna kha na cawnpiak ahcun, Jesuh Krih rianṭuantu ṭha, zumhnâk biatak le cawnpiaknâk dik atu tiang i na zulhmi bia i cawmkenmi na si lai. 
1TI.4.7	Asinain Pathian-zeirellonâk le pitar hna tuanbia kha hlaw hna law Pathian-ṭihzahtu si dingin cawlcang. 
1TI.4.8	Zeitintiah taksa zuam nâkin cawlcanghnâk zong hi san a tlai ve ko, asinain Pathian-ṭihzahtu sinâk i cawlcanghnâk nih cun atu nunchung le hmailei caah biakam a ngeih caah a lamkip in san a tlai. 
1TI.4.9	Hihi zumh awktlâk le mi vialte caah cohlan awktlâk a si. 
1TI.4.10	Zeitintiah Pathian nung cu kan zumh caah thaba ngai i kan ṭuan le chimchiatnâk kan inkhawhnâk zong hi a si, Amah cu mi vialte khamhtu a si, a hlei in a zumtu hna khamhtu a si. 
1TI.4.11	Cuhna cu nawl pein cawnpiak hna. 
1TI.4.12	Mino nasi ruangah ahohmanh nih in zomhtaih hna hlah seh, bia in siseh, nuncan in siseh, dawtnâk ah siseh, thlarau ah siseh, zumhnâk ah siseh, thiannâk ah siseh zumtu hna zohchunh awktlâk in nun i zuam. 
1TI.4.13	Ka rat ṭhân hlân lo, rel, chim, cawnpiak kha uar chin chin. 
1TI.4.14	Upa hna nih na lucung i kut chuangin an rak chimchung cang bangin thlarau thilpêk na hmuhmi kha zeirel loin um hlah. 
1TI.4.15	Cuhna cu biatak tein ruat hna law, hmai na nawrning mi vialte nih an hmuh nâkhnga cu thil ah a dih um nâkin i hmang. 
1TI.4.16	Nangmah lei le na cawnpiakning ah i ral ring, cucu i nunpi peng law, cu nih cun nangmah le na bia ngaitu kha na khamh hna lai.
1TI.5.1	Putar kha sî hna hlah, pa bangin forh hna. Tlangval kha unau bangin zoh hna, 
1TI.5.2	pitar kha nu bangin zoh hna, ngaknu kha thiang tein farnu bangin zoh hna. 
1TI.5.3	Nuhmei tak tak a simi kha upat hna. 
1TI.5.4	Asinain tule fa a ngeimi a si ahcun an in chungah Pathian ṭihzah cawng hna sehlaw, anmah hringtu hna sinah ṭhatchuah cawng hna seh, cucu a ṭhami le Pathian caah cohlan awk a tlâkmi a si. 
1TI.5.5	Nuhmei tak tak, amah lawng a ummi nih, Pathian lawng â bochan i chunzan hlan in thlacam le nawlnâk donghcat loin a tuah tawn. 
1TI.5.6	Asinain nomhnâk lawng i a nungmi nuhmei cu a nun lio hmanhah a thimi a si. 
1TI.5.7	Sawiawk um lo an si khawh nâkhnga cubangin nawl pe hna. 
1TI.5.8	Asinain ahohmanh mah le sahlawh rualchan zeiah a rel lo i a umpimi chungkhar hmanh zei ah a rel lomi nih zumhnâk kha a hlawt i zum lotu nâkin a sual deuh. 
1TI.5.9	Nuhmei kum 60 hmanh a tling lomi cu nuhmei ah relchih hlah, va pakhat a rak ngei cang i 
1TI.5.10	ṭhatnâk tuahnâk kongah thangṭhatmi, fale zong tlamtling in a rak bawmtu le, thilṭha kip ṭhahnem ngai i tuahtu a si ahcun nuhmei ah ṭial khawh a si. 
1TI.5.11	Asinain ano deuhmi nuhmei hna cu ṭialchih hna hlah, zeitintiah an pumsa duhnâk i sum kho loin, Krih nâkin va-ngeih an duh tawn, 
1TI.5.12	hmaisa bik an zumhnâk kha an hlawt caah thiamlo an i coter tawn. 
1TI.5.13	Cun daithlânnâk nih a zulh hna i innkip ah lêngin, thathut le mikong ceih hmanh i za loin, tuah loding tuah in, chim loding tiang an chim tawn. 
1TI.5.14	Cucaah a no deuhmi nuhmei hna cu vâ ngei ṭhân ko seh, fale ngeiin, chungkhar zohkhenh sehlaw, a kan ralchanhtu hna sawinâk cân rem tuah hna hlah seh law ka duh. 
1TI.5.15	Zeitintiah atu hmanh ah cheukhat cu Satan lei ah an pial cang. 
1TI.5.16	Zumtu pa siseh, zumtu nu siseh, nuhmei umpi an ngeih ahcun cawmko hna seh, nuhmei taktak kha cawmken an si khawh nâkhnga kawhhran kha thilrit khinh hna hlah seh. 
1TI.5.17	Kawhhran upa fel tein biaceih a thiammi le, a hlei in phungchim le cawnpiak lei i a ṭuanmi hna cu a let hnih i thangṭhat tlâk an si. 
1TI.5.18	Zeitintiah Cathiang nih, “Cawtum nih facang a cil lioah a hmur ṭem hlah,” tiah a ti. “Rianṭuantu cu hlawh hmuh awk ah â tlâk,” tiah a ti ṭhân. 
1TI.5.19	Kawhhran upa sualpuhnâk cu hngalhpitu pahnih an si lo le, pathum an si lo ahcun cohlang hlah. 
1TI.5.20	Sualnâk tuah a hmangmi cu midang hmuh ah chimhring hna, midang zong nih an ṭih ve nâkhnga. 
1TI.5.21	Pathian le Bawipa Jesuh Krih le vanmi thiang hna hmaiah hi bia hna hi ruahning ngei cia lo le thleidan ngei lo tein fekte i dirpi dingin nawl kan pêk. 
1TI.5.22	Khulrang in mi zei lucung hmanh ah na kut chuang hlah, midang sualnâk i hrawm loin, thiang tein i zohkhenh. 
1TI.5.23	Ti lawng ding loin, na pawfah le na derthawm deuh caah misur hang tlawmte tein rak ding. 
1TI.5.24	Cheu khat sualnâk cu alang cawlh i lehrulh an si cawlh ve. Cheukhat sualnâk cu a lang zau lomi zong a um. 
1TI.5.25	Cubantuk ṭhiamṭhiam in mi chekhat ṭhatnâk tuahmi cu a langh a fawi, chekhat tuahmi ṭhatnâk cu lang rih lo hmanhsehlaw thuh thai khawh a si lo.
1TI.6.1	Pathian min le a cawnpiaknâk thangchiat a si nâkhnga lo, sal hngawngkual banhmi ṭemchih sal vialte nih anmah le hotu hna cu zeizong kip ah thangṭhat tlâk an si zia hngal hna seh. 
1TI.6.2	An hotu le zumtu an si i unau an si ruangah zeirel loin um hna hlah seh, anmah ruang i ṭhathnemnâk hmutu an si caah zumtu le dawtmi an si caah rian ṭuanpiak hna seh. Cucu cawnpiak law tha pe hna. 
1TI.6.3	Ahohmanh nih cawnpiaknâk dang a cawnpiak i a ngandammi bia, kan Bawipa Jesuh Krih bia hmanh pom lo in, Pathian upatnâk he â tlakmi bia hmanh a pom duh lo ahcun; 
1TI.6.4	mi porhlaw, zeihmanh a hngal taktak lomi, i elhnial le buaibainâk chuahter zong poi a ti lomi a si, cubantuk mi hna nih an chuahter bikmi cu, hnahchuahnâk le buaibainâk le thangchiatnâk le a ṭha lomi i lunghrinh nâk le, 
1TI.6.5	ruahnâk chia-kha le biatak pemh lo, a herh lo i bia el hmang le, biaknâk zong chawleh nâkah hman a ngamhmi an si. Cubantuk mi hna cu kawm hna hlah u. 
1TI.6.6	Pathian-ṭihzahnâk hi lungtlinnâk he cun a hlawk ngaimi a si. 
1TI.6.7	Zeitintiah vawilei ah hin zeihmanh kan luhpi lo i zeihmanh kan chuahpi lai lo. 
1TI.6.8	Ei awk le fenhaih kan ngeih ahcun kan lung a tlin awk a si. 
1TI.6.9	Asinain rum a duh tukmi hna cu tukforh nâk rap chungah an lut i duhnâk sual le hruhnâk thil nih mi a hrawh i chiatnâk le rawhralnâk sual ah mi a pilter tawn; 
1TI.6.10	Zeitintiah phaisa duhtuk hi sualnâk vialte hram a si, cheukhat nih cucu an duh i zumhnâk an kaltak i anmah le anmah ngaihchiatnâk tam piin an i chunh tawn. 
1TI.6.11	Nang Pathian-mi cu thil hna cu zâmtâk, cuticun dinnâk le Pathian duhnâk, zumhnâk le dawtnâk, inkhawhnâk le nunmennâk kha dawi hna. 
1TI.6.12	Zumhnâk i raldohnâk ṭha kha doh in zungzal nunnâk kha i tlaih, cucu co ding i kawh na si, hngalhpitu tampi mit hmuh ah zumhnâk ṭha na phuan cang kha. 
1TI.6.13	Zeizong vialte sinah nunnâk petu Pathian le Krih Jesuh, Pontius Pailat hmai i zumhnâk dik a ṭanhpengtu mithmuh ah nawl kan pêk, 
1TI.6.14	kan Bawipa Jesuh Krih â langhṭhân hlan tiang hi nawlpêk hi mawhchiat awk le sawiawk umlo in rak kilveng, 
1TI.6.15	thangṭhat awktlâk nawlngeitu lu, siangpahrang hna Siangpahrang, bawi hna Bawi nih Amah khiahmi cân ah a langhter lai, 
1TI.6.16	Amah lawnglawng nih thihkhawhlonâk a ngei i naih khawhlomi ceu ah a um, ahohmanh nih an hmu bal lo i hmuhkhawh zong a si fawn lo, Amah sinah zungzal in upatnâk le ṭhawnnâk um ko seh. Amen. 
1TI.6.17	Tuchan mirum hna nih an rumnâk kha porhlawtnâk i hmanglo ding le bochan awk a tlâk lomi chawva an i bochan nâkhnga lo le thil vialte kan i lawmhnâk dingah a kan petu Pathian kha i bochan dingin chimhring hna. 
1TI.6.18	Thilṭha tuah hna seh, thilṭha tuahnâk ah rum hna seh, midang nih an ciangzar an tem ve nâkhnga nun siang hna seh, 
1TI.6.19	zungzal nunnâk cu an i tlaih khawh nâkhnga le a ra laimi caah i ṭhumhnâk ṭha khong luaimai dingin tha pe hna. 
1TI.6.20	Aw Timote! nakut i chiahmi cu ṭha tein kilveng, Pathian-ṭihzahlonâk bia chim le ralchanhmi biafang hngalhnâk tiah silo ngaiin min an bunhmi kha hrial i zuam. 
1TI.6.21	Cucu cheukhat nih kan ngeih tiah an i ruah i zumhnâk kha an pialtâk. Zângfahnâk na sinah um ko seh. Amen.
2TI.1.1	Paul Krih Jesuh ah a ummi nunnâk biakam ningin Pathian duhning i Krih Jesuh lamkaltu nih, 
2TI.1.2	Ka dawtmi fa Timote sinah kan Pa Pathian le kan Bawipa Krih Jesuh sinin zângfahnâk le velngeihnâk le daihnâk um ko seh. 
2TI.1.3	Ka pupa nih an rak ṭuan tawn bangin chia le ṭha hngalhnâk thiang ngei in a rian ka ṭuanmi Pathian sinah lawmhnâk bia ka chim i chun zan hlanin ngol loin thla ka camnâk ah kan philh lo, 
2TI.1.4	lawmhnâk in ka khah khawh nâkhnga, na mitthli kha hngal in hmuh kan duh hringhran ko. 
2TI.1.5	Zumhnâk taktak nangmah i a um kha ka philh lo, cucu napi Lois ah a um hmasa, nanu Zunis zongah a um i nangmah zongah a um kha fiang tein ka hngalh; 
2TI.1.6	Cucaah ka kut chuannâk thawngin nangmah ah a ummi thilpêk kha alhter dingin kan hngalhter ṭhân. 
2TI.1.7	Zeitintiah Pathian nih ṭihnâk thlarau a kan pe lo, ṭhawnnâk dawtnâk le ruahnâk ṭha thlarau tu kha a kan pêk. 
2TI.1.8	Cucaah kan Bawipa kong hngalhpinâk hi zahpi hlah, asiloah Amah ruangah thongah a tlami keimah zong hi ka zahpi hlah, thawngṭha ruang i temtuarnâk hi Pathian ṭhawnnâk bangin ka hrawmpi ve, 
2TI.1.9	Amah nih kan tuahsernâk bang si loin Amah ruahning le zângfahnâk in a kan khamh i kawhnâk thiangin a kan kawh, cucu vawlei ser hlanin Krih Jesuh ah a kan pêk, 
2TI.1.10	asinain kan khamhtu Krih Jesuh â langhnâk in atu ah a langhter. Amah nih thihnâk kha a hrawh i thawngṭha in nunnâk le thihkhawh lonâk kha a phâkter cang, 
2TI.1.11	cucu Gentel mi hna cawnpiak dingah lamkaltu le cawnpiaktu ah ruahmi ka si. 
2TI.1.12	Hiruangah dahkaw hi thil hna hi katuar cu, asinain ka ning a zak lo, zeitintiah ka zumhmi kha ka hngalh, A sin i ka chhiahmi kha cu Ni tiangin him tein a umter khawh ti kha ka hngalh. 
2TI.1.13	Krih Jesuh i a ummi zumhnâk le dawtnâk in, a ngandammi cawnpiaknâk ka sin in na theihmi kha fek tein i tlaih. 
2TI.1.14	Thilṭha na sin i chiahmi kha kanmah i a ummi Thiang thlarau in kilveng. 
2TI.1.15	Asia ram i a ummi vialte nih anka mertâk dih ti kha na hngalh an lakah Figelas le Hermegenes zong an i tel ve, 
2TI.1.16	Bawipa nih Onesifaras chungkhar sinah vêl a pêk, zeitintiah amah nih thazâng thar a ka pêk i ka cikcin zong a zahpi lo; 
2TI.1.17	Rom i a rat lio zongah biatak chuah in a ka kawl i a ka ton. 
2TI.1.18	Efesa khua i rian ka ṭuannâk ah a lam kip in a ka bomhning cu nang zong nih na hngalhfian, cu Ni caah Bawipa sin in vêl a hmuh khawh nâkhnga Bawipa nih pe ko seh.
2TI.2.1	Cucaah ka fapa Krih Jesuh i a ummi zângfahnâk ah hin ṭhawng ngaiin um ko. 
2TI.2.2	Cun hngalhpitu tampi hna le keimah sinin na theihmi hna kha midang a cawnpiak chin khotu zumhawktlâk sinah pe chin hna. 
2TI.2.3	Cucaah Jesuh Krih ralkap ṭha bantukin harnâk kha lungsau in ing ko. 
2TI.2.4	Ralkap i a latu lungton dingah ralkap i a um liomi nih raldoh lio ah nunchung khuasaknâk in hna an i hnawhter bal lo. 
2TI.2.5	Cun minih tlikzuamnâk a ngeih tikah ningcang tein a tuah lo ahcun laksawng a hmu kho lai lo. 
2TI.2.6	Taihmâk te i rian a ṭuntu, lo ngeitu nih theipar hmasa cu a co awk a si. 
2TI.2.7	Ka chimmi hi ruat law Bawipa nih zeithilpauh ah theithiamnâk in pe ko seh. 
2TI.2.8	Ka chimmi thawngṭha Jesuh Krih cu David tefa, thihnâk in a thoṭhânmi a si ti kha philh hlah, 
2TI.2.9	zeitintiah cuthil ruangah sualnâk tuahtu bangin cikcin ṭembawh tiangin ka tuar, asinain Pathian bia tu cu ṭemkhawh a si lo. 
2TI.2.10	Cucaah Krih Jesuh khamhnâk cu zungzal i lianngannâk he an hmuh ve nâkhnga thimmi hna ruangah thil vialte ka tuar tawn. 
2TI.2.11	Hihi zumhawktlâk bia a si: Zeitintiah Amah he kan thih ahcun Amah he kan nung lai. 
