MAT.1.1	Ali ni lishauma lyamaimyo lyavanakuluvake Yesu Klistu ndukulugwe Daudi na jojo ndukulugwe Abulaamu.
ACT.26.4	“Vayuda uti vandimanya mwangunamidile nangu kutunduvangila shidyoko shangu shangupitile tangu kunantandi pakati pavenentetemwangu na pa Yelusalemu. 
ACT.26.5	Vanavo nangu vaningumanya tangu kala na ata leka vàlotile, vakandyumya ushuda doni kwakwodananavo shipinga shishínya namene mwidini yetu nangu ndinama kenga mpalishayo. 
ACT.26.6	Napanelo nangu ninkupagwa mulyutu ali nguukumigwa kwamwaa walilindilililo lyangu mukulivikila kwake Nnungu kwavanakuluvetu, 
ACT.26.7	kulivikila aku makola kumi na mbili avakwetu vankuvanavo lilindilililo lyakupata pavalipudya shilo na mui bila kudabadabanga. Umu wako, ni kwamwaa walilindilililo ali lyavangukashalidya! 
ACT.26.8	Mwaa shani mwenu munkwona kenga Nnungu kuvadyuwa vakupela ni shinu shíkaululika kukulupila? 
ACT.26.9	Ata nangu momo nishindakumbukila kutumila dindila dyoedyoe divaikidíle pakulota ngutimbange ntenga umwe Yesu, munu wa ku Nashaleti. 
ACT.26.10	Vinu avi nditenda nangu nimwene ku Yelusalemu. Ndivajela mudikalaboshi vakwilimyanga voe kwamadalaka avanang'olo vavakulangalalela-shadaka na vanji pavashumya lilamulo lyakuvatanola, nangu ngushindaungila nkono. 
ACT.26.11	Dimindi dyoe nangu ndipita muvitala vyakulipudidya ndivapa shaushanga ndivakanyilidya pakulota vakupulu na mushitundi shangushivavikila, vaningutadya nguke ndikainjile muvilambo vinji vyavamidi ngupita ndivapapata.
ACT.26.12	“Ni ing'ano yoyo ingutadídye nangu ngutende mwanda wakuka ku Damashiko kwamadalaka na lilamulo lyavanang'olo vavakulangalalela-shadaka. 
ACT.26.13	Napanelo nguka, muwakati waliduva pamuti, Umu Agilipa, nangu liníngutang'anedya lilangadyo lyakwaloka kuwa, lyakushenga kupunda liduva kutwala kungutang'anedya pamo na vavangu vanguvénavo mushimwanda. 
ACT.26.14	Wetu pashinu apalá kugwangila pai kutwala nangu kwigwa lidi líshitangola mushibalaniya liishidoni, ‘Saulu, Saulu, mwaa shani unkungupapata? Shinkukamadyanga kwako kuvangedya ashilá shikukanyóla.’ 
ACT.26.15	Nangu kutwala kudya, ‘Da wako po nang'olo unyani?’ 
ACT.26.16	Kanji takatuka wimile. Nangu ndikuumililila pakulota uve untumika wangu na uve unshuda wavinu vyaugwene nelo kwalakela kwangu na vyangulota kukulodya 
ACT.26.17	ndikuposha kumakono kwavakwenu na kwavamidi kwangulota kukutumidya 
ACT.26.18	kwambangidya dashi, uvaungule mevo vashiliuke kushii vauke kulilangadyo, vaume mumadalaka amwe Shatwani vauke kumwe Nnungu pakulota vapate kulivalivigwa kwamadambi na vapate lyutu mushipinga sha avalá vailimyangígwa kwaindila yakungukulupila nangu.’
ACT.26.19	“Napavedoni Umu Agilipa, indoti yangupatile kwalakela kuwa, nditandedya mwaishilotéla. 
ACT.26.20	Ndivavalangangila shitandi va ku Damashiko, kwatika ku Yelusalemu, disemu uti dya ku Yudeya namomo kwavamidi pakulota valijugulange madambi ave na vanshinjiulile Nnungu valodya vitendo kwodananavo kulijugulanga kwave. 
ACT.26.21	Ni ing'ano ai yavangukamulidile vayuda mwing'ande ya Nnungu na kulota vangubyae. 
ACT.26.22	Kanji kwalipwashalelo lya Nnungu ngupali mpaka nelo apa; ni ashi shingutádya ngupagwe apa ngumya ushuda kwavadyoko mpaka kwavanang'olo. Shanguvalanganga hashinapundana shinu na ashilá shavatangwele vakulava na shatangwele Musha kenga shindatandeka, 
ACT.26.23	doni, Klistu inimmaikila auvauvange na àvele ntandi mukudyuka kwavakupela, andavalanganga lilangadyo kwavenentete vetu namomo kwavamidi.”
ACT.26.24	Bai Paulu pashitangola avi alishililidya, Pestu andítangola pashanya po aashidoni, “Wako Paulu unkudulumbuka! Mashomo ako oe lo, ankukudulumbuwa.” 
ACT.26.25	Kanji Paulu kushidoni, “Nang'olo Pestu, nangu hangunadulumbuka shinu; ninkutangola na ding'ano dyangu na ninkutangola vinu viu. 
ACT.26.26	Apa apali umu Agilipa ámanyite shana vinu vyene uti; ni ashi shingutádya nangu ngutangole na kulitamanga pamevo pake mwaa ninkuvanavo wakika kenga pakati pavinu avi uti hashipali ata shimo shimpundíle na hashipali ata shimo shitandéke shipiipii. 
ACT.26.27	Umu Agilipa, da wako unkuvakulupila vakulava? Nangu ndimanya kenga unkuvakulupila.” 
ACT.26.28	Agilipa kutwala kushidoni, “Da wako muwakati wo padyoko au ulota ungushombe nguve ninklistu!” 
ACT.26.29	Paulu kushidoni, “Elo, nangu ninkunjugwa Nnungu pakulota patime hapanatime wako apa pamo na vanu uti vangwigwilíla ava vave kenga mo mwanguvalalele nangu kanji bila mang'unyang'unya.”
ACT.26.30	Bai andítakatuka umu, gavana namu Belenishe pamo na shipinga shave uti. 
ACT.26.31	Pavashuma panguguvale, vashindapita vaulanila vaashidoni, “Munu aju hashipali shakunyata shatandile shakuntadya apele kwali aungwe.” 
ACT.26.32	Agilipa kutwala kumwaulila Pestu doni, “Munu aju leka akajugwile auke kumwe Shashali, indívaikila kumuungula.”
ACT.27.1	Napanelo pavaukile ndaamuwa wetu twinjile mwingalava tuke ku Italiya, vanavo vaníntwala Paulu pamo na vakungwa vanji kunkamudya kumakono kwanang'olo wavaing'ondo miya walina Shulyu wamushipinga shavaitaliyani shimwe umu nang'olo. 
ACT.27.2	Bai wetu tundíkwela mwingalava ya pa Adalamitiu ivéle tayali yuke kuviko vya ku Ashiya. Mushimwanda shosho tundípagwanavo Alishitaliku munu wa ku Teshalonika ya ku Makedoniya. 
ACT.27.3	Palyamba lyake tuvanu kuwika panshiko wa ku Shidoni. Napanelo Shulyu pakuva ashinantanana Paulu, andímupa litala lyakuka ndavalola vabwadivake va pa Shidoni na vanshunge. 
ACT.27.4	Tukaume pa Shidoni, tundíkwela mwingalava tulodya pepi na pa Kupulu mwaa imepo ishaaloka mushu mwetu. 
ACT.27.5	Tundyúka mushu na shimwanda shetu tuwena mwimanga nkono wa ku Kilikiya na ku Pampiliya mpaka ndaimila panshiko wa Mila ya ku Likiya. 
ACT.27.6	Panshiko awo nang'olo wavaing'ondo miya watuvénavo aijá mushimwanda shetu, andíkodya ingalava ya pa Alishandaliya íshuka ku Italiya, nae wetu kutwinjidya momo.
ACT.27.7	Shimwanda shetu shindíva shakukakavanga; nadoni tundítwala maduva oe tuvauvanga mpaka kuka ndawika pepi na pa Kinidu. Kanji kwodamwaa imepo haitulakile tuka shalowa, tundyúka nkono wakwina shitingi sha Kaleta tupita pepi na pa Shalamone. 
ACT.27.8	Tundyúka shinyenjenyenje kanji na mauvilo makumene mpaka ndawika mulyutu lyavashema Mishiko Vyambone livéle pepi na njini wa Lasheya.
ACT.27.9	Napanelo ukatupitile wakati wetu na ata liduva lya Kulivalivigwa Madambi momo likapite,
ACT.27.10	aashidoni, “Mmanang'olo, ninkwona kutunduvangila ambi apa shimwanda shetu shindava shashijoidyo na shaasala ing'umene namene nkati muvyombo vyatunyukete na ingalava. Hainatoshe ata wewe tuvene inkuululika kukatoka shingumi.” 
ACT.27.11	Kanji nang'olo wavaing'ondo miya andíshambegwa na nkútukusha-ingalava pamo na mwene ingalava kuleka shatangwele Paulu. 
ACT.27.12	Kanji kwodamwaa nshiko awo hauvéle shana pakulota vanu vaikale muwakati wakudidima imepo, bai vanu voe vandyóna kudyanga vaume panshiko awo valingangile kuka ndawika panshiko wa Poiniki uvéle mo mushitingi sha Kaleta pakulota tupagwe mulyutu alyo muwakati uti waimepo. Likaja alyo liladilé mevo nkono wakwina shilambo na nkono wakwalyuka liduva.
ACT.27.13	Bai indítunduvanga kupunga imepo íkavele yadimongo yakwalakela kwina shilambo kutwala vanavo kwona kenga mwavashikumbukilila vene amulá mundatandakela momo. Nadoni vanavo vandyúmya inanga mmedi mo kutwala kutunduvanga kutukusha ingalava nanyenje imanga ya ku Kaleta. 
ACT.27.14	Kanji muwakati padyoko pashitingi po shindíwika shimbunga shakwalakela kunshanda kwake nkono wakwalakela liduva 
ACT.27.15	kupita ikunga ingalava. Bai imepo indyútanga ingalava na haishululika kushinjiula; nadoni wetu tundítatakela na tundíleka ingalava yode yo imepo yo bai. 
ACT.27.16	Napanelo shitingi shimo shavashema Kauda shindítushililidya padyoko kwaing'ano yaimepo kutwala patupitile kwina kwake pamo na vyakunanopa vyoe tundyúlula kuposha ingalava idikidiki. 
ACT.27.17	Bai vakutukusha-ingalava vandípakila ingalava idikidiki yo na vandítava ingalava ing'umene na mididi vyakunanapedya. Napanelo kwodamwaa vashindajopa ingalava kuka ndambwatamila mudindunda dyadimbwe dyamwisemu yaimanga ya Shilite, vanavo vandíshuluwa ditanga kuleka ingalava yuka yene na imepo. 
ACT.27.18	Napanelo shimbunga shishindauka mushu na palyamba lyake vandyúmadyanga vyombo vyavapakidíle mwingalava kujalangila mmedi. 
ACT.27.19	Muliduva lyantatu vo vene vakutukusha-ingalava vandíjalangila mmedi vyombo vinji vyashimadengo vyamwingalava. 
ACT.27.20	Maduva oe kupita patukona liduva na ata dinondo, imepo yadimongo yuka mushu ipunga namene mpaka lilindilililo uti lyakulota tuvanu kwambolegwa, kutujaika.
ACT.27.21	Napanelo kwodamwaa vandíikalanga maduva oe pavakalya shinu, Paulu andítakatuka pakati pave kutwala kushidoni, “Mwenu! Leka mùngwigwilidile nangu paninnaidye kuma ku Kaleta akulá, mauvilo ala na asala ai uti hamunapate. 
ACT.27.22	Kanji napanelo ninkumwaulila doni, lyunge mitima mwaa hapali ata munu jumo álota kupela pakati penu ila ingalava ni ilóta kwalibika 
ACT.27.23	mwaa shilo sho shanelo ashi aninguumililila njelo wake Nnungu, Nnungu jojo ángutandile nguve wake na wangulipudya nangu kwake 
ACT.27.24	kutwala kungwaulila doni, ‘Paulu, haunajope! Wako indikuvaikila uke ukawike kumwe Shashali na lola, Nnungu andikukamudya vanu uti vapagwíte namu wako mwingalava.’ 
ACT.27.25	Napavedoni mwenu lyunge ntima mwaa ninkukulupila kenga Nnungu andatandedya avilá vyangwaulidile. 
ACT.27.26	Napane kwamwaa waimepo ingalava indauka ndambwatamila pashitingi.”
ACT.27.27	Napanelo shilo shing'ati shaliduva lyakumi na nsheshe mawimbi atugang'ola mu Imanga ya Meditelaniu, vakutusha-ingalava vandílyona kenga vankuvandikila kumwangu. 
ACT.27.28	Nadoni vanavo vandíjela mmedi shipimo shandidi wavaungangidíle shinu shakwidopa kutwala kwona shitamba shamakono ishilini kwakukadaleka kwake. Vakauke mushu vandípima kavili kutwala kwona kuva shitamba shamakono kumi na tano kwakukadaleka kwake. 
ACT.27.29	Napane vajopa ingalava kuka ndalitumbula mumajanga, vandíjalangila dinanga nsheshe mmedi kunyuma ingalava vashwali wiku ulangale ambi. 
ACT.27.30	Bai vakutukusha-ingalava valambela mwakutipukila vandítwala ingalava idikidiki kushuluwidya mmedi valivika kenga valota kuka ndaungangilanga dinanga mushu ingalava 
ACT.27.31	kutwala Paulu kumwaulila nang'olo wavaing'ondo miya pamo na vaing'ondo vake kushidoni, “Vakutukusha-ingalava avalá vakaumananga mwingalava ing'umene amu, mwenu uti hapagwa wakushumba.” 
ACT.27.32	Nadoni vaing'ondo vandílumulanga mididi víshilandendya ingalava idikidiki kutwala kuleka igwilila mmedi.
ACT.27.33	Kumatingatinga Paulu andívalaililila vanu uti valyange vyakulya atangola kushidoni, “Kwoda maduva kumi na nsheshe andipita mulijugulanga na pamukapamba yolo, 
ACT.27.34	nangu ninkunjugwangila mulye shinu shoeshoe kwambangidya muve na dimongo mwaa apa hapali ata munu jumo álota kupata likwanda.” 
ACT.27.35	Ling'oto lyakutangola malove ala, andítwala ligung'u kunnambwalela Nnungu kumeja kutwala kulya. 
ACT.27.36	Bai vanavo uti vandílyunga mitima na vandítunduvanga kulyanga. 
ACT.27.37	Mwingalava amo tundípagwa tuvanu dimiya mbili sabini na sita. 
ACT.27.38	Ling'oto lyavanu uti kulyanga, vaníntwalanga ngano uti kunjalangila mmedi vapungula kwidopa kwaingalava.
ACT.27.39	Wiku ukashwe, vakutukusha-ingalava havamanyíte shilambo asho kanji vandyóna kushinu kushaaneka dimbwe nanyenje imanga kutwala vanavo mmitima vyave kulota ingalava yuke ikaimile popo ikava kenga ikandyululika. 
ACT.27.40	Nadoni vandílumulanga mididi vyadinanga kuleka dinanga mmedi akuno vaungulanga ding'wau dyakunyuma dyakulangalalela ingalava pakulota dilangalalele ingalava. Nakavili vandíkwedya itanga idikidiki yakulilomo pakulota ingalava yuke ikashiye kunshanga. 
ACT.27.41	Kanji ingalava indímbwatamila mwindunda yadimbwe yamwimanga kuleka ìkele popo paikating'ina ata padyoko. Kulilomo kundíinjila mudimbwe kutwala kunyuma kwake kutunduvanga kutumbukanga mwaa wamawimbi áshilikoma na dimongo.
ACT.27.42	Napanelo vaing'ondo vandípakanila vavabyange mapaleshi uti mwaa wakujopadavo vandaagwalela kuka ndawika kumwangu kutwala kutipukanga. 
ACT.27.43	Kanji nang'olo wavaing'ondo kwodamwaa ashilota amwambole Paulu mushijoidyo asho, andívaleya shitendo asho. Nadoni andívalamulila vanu váshimanya kwagwalela valishushe vainjile mmedi pakulota vaagwele vauke kumwangu 
ACT.27.44	kutwala vanji kuvalamulila vatwale dimbau kwali vipande vyadimbau vyaingalava vivapwashele kwagwela. Nadoni tuvanu uti tundípukangila kumwangu.
ACT.28.1	Napanelo tuvanu uti tukapukange mushijoidyo asho, patuwikile kumwangu tundímanya kenga shitingi asho vashishema Malita. 
ACT.28.2	Bai vene shitingi asho vandílodya litananilo lyakujowa kwetu wetu. Vakatupwashalela na vakatumbulididya moto mwaa wakutunduvanga kutonya medi na mwaa wakutudidima imepo. 
ACT.28.3	Napanelo Paulu andílakota itu yadinang'ene kutenda akang'ela moto kutwala mo muding'uni mo kuma nyoka walina jaa-ntela atukuta ntukuka kunnamatila Paulu mulyanda lyake. 
ACT.28.4	Napanelo vene ikaja ayo pavagwene inyoka ìnamatidile mulyanda lyake Paulu, vandyáulanila shivenevene vaashidoni, “Munu aju patukamwambambidya ni shimalivanu. Mwaa lola, ata ikava kenga andipuka mmedi kanji jo mwene Ishaliya hanneka anama.” 
ACT.28.5	Kanji Paulu anímpatulidya nyoka jo pamoto na hashipali shintandéke. 
ACT.28.6	Napanelo vanu vapashitingi asho vashikumbukila kenga Paulu unammimba nkono kwali kupela shingangala. Kanji vakaikale wakati woe valindila, pavagwene kenga hashipali shimmilinganianga, vanavo dindívaida ding'ano dinji kutwala kutangola kenga Paulu avele nnungu.
ACT.28.7	Napanelo pepi na palyutu alyo, andípagwa mautu ake gavana washitingi asho walina Pubiliu. Nang'olo aju wetu andítushema na andítukalibisha paing'ande pake na tundíikanavo shana namene maduva matatu. 
ACT.28.8	Napanelo tatake Pubiliu unímpwateka mili na kudalola myadi. Paulu paukile nannola, ling'oto lyakushwali anímmikila makono kutwala kumponia. 
ACT.28.9	Shikatandeke shitendo asho, valwele uti vapashitingi asho vandímuukila Paulu navanavo vandípona momo. 
ACT.28.10	Vanu avo vandítupa dinudyo dyoe namene na patuukile ndapanganikanga pakulota twinjile mwingalava vandítupa vinu vyoe vyakutupwashela mushimwanda shetu.
ACT.28.11	Ling'oto lyakwikala wetu pashitingi asho myedi mitatu, tundíinjila mwingalava ye ipagwíte mulyutu alyo muwakati uti wakudidima imepo. Ingalava yoyo ivele ya ku Alishandaliya na mushu mwake indívanavo mashinamu avannungu mamaa.
ACT.28.12	Tukawike panshiko wa Shilakusha, tundíikala maduva matatu. 
ACT.28.13	Patuumile apo, tundyúka shalowa mpaka pa Legiu. Palyamba lyake kupunga imepo yakwalakela kwina shilambo kutwala muliduva lyake lyambili wetu kuwika panshiko wa Putiyoli. 
ACT.28.14	Pa Putiyoli wetu kuvakodya vanung'unumunu, vovo vo kutujugwangila twikanavo ishumana imo. Kutwala apo, tundyúka ndawika ku Loma. 
ACT.28.15	Napanelo vanung'unumunu váshiikala pa Loma vakapate dyabali dyakuwika kwetu, vandíida ndatushinga pashakoni sha pa Apiyo na pa Ding'ande Nnatu Dyavajeni. Paulu akavone vanung'unumunu avo, anínnambwalela Nnungu na ntima wake undímwikala shana.
ACT.28.16	Patuwikile nkaja mu Loma, Paulu andípata litala lyakunama paing'ande yagweka kutwala kummikila mwing'ondo jumo wakunnaledya.
ACT.28.17	Napanelo akapite maduva matatu, Paulu andívashamanga vanang'olo vavayuda kutwala vanavo pavaidanenge nae kuvaulila doni, “Mmanung'unumunu, nangu panikatenda shinu shakukowa kwavenentete vetu na kwashinamilo shavatulakadile vanakuluvetu, vayuda pa Yelusalemu vaningunga kutwala kungukamudya kumakono avaloma. 
ACT.28.18	Valoma pavalalyenge myaa vyangu vashindalota vanguleke mwaa nkati mo havagwene likosha lyoelyoe lyakulota ngupalele. 
ACT.28.19	Kanji vayuda ni kwita doni kutwala nanangu kujugwa mwaa wangu uwike akune kumwe Shashali pakulota alalyange ata ikava kenga nangu hanguvenavo mwaa woewoe wakuvakashalya venentetemwangu. 
ACT.28.20	Ni ashi shitadídye ngujugwangile nimwone na ngwambange mwaa namu mwenu pakuva ni kwamwaa walilindilililo lyavanaishilaeli lyangunyukatila nangu mang'unyang'unya ala.”
ACT.28.21	Vanavo kutwala kushidoni, “Wetu hatupatile ata lyamba limo lyakwaloka ku Yudeya na pakati pavanung'unumunu vaidíle akuno hapali hatuvalangangidile shitendo shoeshoe shakunyata shako wako. 
ACT.28.22	Nadoni tundilota tukwigwe wako umwene mwawonela. Mwaa tundimanya kenga kula kushinu vanu vankuvangedya ishama yawoda wako.”
ACT.28.23	Napane vakavike liduva lyakukadyania namu nae, vandímwidila vanu voe palyutu lyashiikala na nae kutunduvangila lyamba mpaka lyulo andívaigwiniya ataa ushuda yautawala wa Nnungu alingangila avashombe kwaing'ano imwe Yesu kutunduvangila mu Lilamulo lyake Musha namomo mu Vakulava. 
ACT.28.24	Vanji napane vandívashambegwa na ashilá shitangaléke kanji vanji havakulupidíle. 
ACT.28.25	Napavedoni vàpagwite mukutaukananga shivenevene, Paulu andívaulila vaumanange atangola lilove limo, “Imumu Wanashwe anditangola viu na vanakuluvenu kwaindila imwe nkúlava Ishaiya 
ACT.28.26	patédoni,
ACT.28.26	“ ‘Wena kwavenentete ava ukavaulile doni,
ACT.28.26	Mundaigwilila matu ngambulii kanji hamumanya shitangaléka,
ACT.28.26	Mundalola ndoo kanji hamumanya shinu shene.
ACT.28.27	Mwaa mitima vyavenentete ava vindinanopa;
ACT.28.27	kumatu kwave vandidiva,
ACT.28.27	mevo ave vandyunidya
ACT.28.27	kwambangidya havanalole vamanye shinu shene,
ACT.28.27	havanaigwilile vamanye shitangaléka
ACT.28.27	na havanaitikile shitangaléka;
ACT.28.27	leka vakatandile avyo
ACT.28.27	vakandishinjiulila mitima vyave kwangu,
ACT.28.27	kutwala nangu kuvaponia.’ ”
ACT.28.28	Paulu kavili kushidoni, “Ikala mumanya doni ntenga au wakwambola wake Nnungu undipalakalegwa kwavamidi na vanavo vandaigwilila.” 
ACT.28.30	Bai Paulu andíikala vyaka vivili paing'ande yake yapangíle. Mulyutu lyolyo nae ashindavapwashalela vanu uti váshuka nannola 
ACT.28.31	avalanganga utawala wa Nnungu na apundisha uti vimwámba 
ROM.1.1	Paulu, ntumwa umwe Klistu Yesu áshamagwidye ave myombe na áapuligwidye kwantenga wambone wake Nnungu, 
ROM.1.2	wo walivikidile tangu kala kwaindila yavakulava vake nkati mumaandiko akwilimyanga 
ROM.1.3	umwámba mwanagwe, jojo jo, kwakwodananavo shimunu ávalakwadidye muudukulu umwe Daudi 
ROM.1.4	na kwakwodananavo Imumu waukwilimyanga ápangigwidye kuva Mwana wa Nnungu nkati mudimongo kwaindila yakudyuka pakati pavakupela, Yesu Klistu 
ROM.1.5	Kwaindila yake nae tundipata umonyo na umyombe wakutadya pakati pavenentete uti kwigwilila kwalikulupililo kwamwaa walina lyake 
ROM.1.6	na pakati pavanavo, munkupagwa namwenu momo múshamagwidye muve vamwe Yesu Klistu.
ROM.1.7	Kwenu mwenu uti múpagwa ku Loma, mwemwe mmakunagwaleka vake Nnungu na múshamagwidye muve mmakwilimyanga.
ROM.1.7	Umonyo upagwe kwenu mwenu na amani yakwalakela kumwe Nnungu Tatagwetu na kumwe 
ROM.1.8	Shinantandi ninkunnambwalela Nnungu wangu kwaindila imwe Yesu Klistu kwamwaa wenu mwenu uti mwaa likulupililo lyenu linkuvalangangigwa mushilambo uti. 
ROM.1.9	Nnungu wanintumika na ntima wangu uti muntenga wambone wa Mwanagwe ni nshuda wangu mwashi mwanintambulangila mwenu ngwengwe 
ROM.1.10	mukushwali kwangu ngujugwa doni, kwadindila dyoedyoe kwalilotelo lyake Nnungu ling'oto lyawakati woe ambi napane ndaulula kwida kwenu. 
ROM.1.11	Ninkuvanavo mweshe wakwida nannola kwambangidya dashi nimwing'e shajo shoeshoe shaimumu pakulota shinnonowange. 
ROM.1.12	Doni ni pakulota tupambadyangigwe kwaindila yalikulupililo lyakula munu, lyenu mwenu pamo na lyangu nangu. 
ROM.1.13	Hangunalota shinu mmanung'unumunu mutikinange kenga myanda vyoe vyangupanganikenge ngwide kwenu kanji mpaka ambi apa shipali shingudingadínga. Shabaa yangu nikulota ngupune vyepo pakati penu kenga mwangupunilile pakati pavamidi vanji vo. 
ROM.1.14	Ninkuvanavo udeni kwavamidi na kwavakamanyika, kwavakumanya na kwavajinga. 
ROM.1.15	Nadoni ninkuvanavo dukuduku yakuvalanganga ntenga wambone momo kwenu mwenu múvele ku Loma.
ROM.1.16	Mwaa hangunona dyoni kwantenga wambone pakuva ni dimongo dyake Nnungu dyakwambola kwaupande wavanu uti vakulupíla; shitandi kwamuyuda ling'oto kwangalegu. 
ROM.1.17	Mwaa mo muntenga mo inkulilodya ishaliya yake Nnungu kutunduvangila mulikulupililo kuka mulikulupililo kenga mwavaandikidile, “Waishaliya andanama kwalikulupililo.”
ROM.1.18	Mwaa doni apa, shitundi shake Nnungu shinkulilodya kutunduvangila kuwa shiidila ungave-Nnungu na ungave-shaliya wavanu vatitikidyánga umwiu kwaindila yakuvova ishaliya. 
ROM.1.19	Mwaa ashilá shuulukíka kumanyika kwamwaa wa Nnungu shanavo shinkulilodya pakuva jo mwene Nnungu, andivalodya. 
ROM.1.20	Doni, tangu kukandyangigwa shilambo mavalelo ake ákaaneka yani dimongo dyake díkamalilika na unnungu wake, vyanavo vyaneke ngala kwaindila ya vyo vinu vikandyangígwe. Naivedoni, kwavanavo hamupali mwakukanila. 
ROM.1.21	Mwaa vàmmanyite avi Nnungu, havampele lishangelo kenga Nnungu na ata havannambwaladile kanji vanavo mmakumbukililo ave vandinyambikanga na mitima vyave vyaujinga vindyumbala shii. 
ROM.1.22	Vanavo valivalanganga kuva vading'ano vanditadya kuva vajinga 
ROM.1.23	kutwala kubadilisha lishangelo lyake Nnungu ákapela kwalishinamu lyalinganienge kenga munu ápela, vyuni, vanyama na vakoko vakulyuta.
ROM.1.24	Napavedoni Nnungu andivakamudya muditamaa dyammitima vyave vatandedye ushapu wakutadyania dyoni mumili mwave
ROM.1.25	pakuva vabadilishidyé umwiu wa Nnungu kwaushwang'a kutwala kulipudya na kutumikila viumbe pavakalipudídye Namumba átumbyangilika ngwengwe. Ame.
ROM.1.26	Kwamwaa au, Nnungu avakamudidyé muditamaa dyave dyadyoni, ata mpaka vo vakongwe vave vo, vandibadilisha kutenda wendi muvaikidíle kwakutandela munji múkavaikidile. 
ROM.1.27	Namomo valume valeka kutenda wendi muvaikidíle kwankongwe, vanavo vandibyaikanga mumweshe wave washivanavene; nnume na nnumemwagwe vatandana vyadyoni kutwala kulipatila vo vene ukumu ivaikidíle kwamakosha ave.
ROM.1.28	Naivedoni pakuva vanavo havagwene mana yakummanya Nnungu, jo mwene Nnungu andivakamudya mumakumbukililo ave akunyata pakulota vatandedye ashilá shíkavaikidile kutenda. 
ROM.1.29	Vandyumbaligwa ungave-shaliya uti; ushapu, lung'unuku na ukalau. Vaumbaligwidyé ing'ou, kubyaa, ing'ondo, kushang'apa na kung'wenya; 
ROM.1.30	vanu vakung'wenya, vammangédya Nnungu, vákave ishima, vakulyona na vakulitumbyanga; vakubuwa vitendo vyaukalau, vákavaigwilila vatatamunu, 
ROM.1.31	vajinga, vákakulupilika, vákanagwaledya na vákave shididi. 
ROM.1.32	Ata ikava kenga vandimanya lilamulo lyaishaliya lyake Nnungu líishidoni, avalá vatandédya avyo indivavaikila vapele. Vanavo i gweka vankutenda kanji namomo vankuvaungila nkono avalá vaténda.
ROM.2.1	Napavedoni wako umunu úvaukumu vanji, hamupali mwakukanila mwaa paumuukumu junji po, unkulyukumu gwegwe umwene pakuva wako umwene úukumu po, vyovyo vyo unkutenda. 
ROM.2.2	Tundimanya kenga ukumu yake Nnungu kwa avalá vaténda vinu avyo, inkwodananavo umwiu. 
ROM.2.3	Napane wako umunu úvaukumu avalá vaténda nawako momo utenda vyovyo, wona kenga undapalanyoka ukumu ya Nnungu? 
ROM.2.4	Kwali wona dashi, mali akutanana kwake, akulipililila na aupole, wako unkwiludyanga kwabila kumanya do, kutanana kwake Nnungu ni kukuukanavo mukulijugulanga? 
ROM.2.5	Kanji kwoda mwaa waimbeve yako na kunanopa kwantima wako, bai unkulikungailila shitundi gwegwe umwene muliduva alilá lyashitundi pailota kulilodya ukumu yaishaliya yake Nnungu.
ROM.2.6	Nae anannipa kula munu kwodananavo matendo ake.
ROM.2.7	Kwa avalá valóta kunanopa nkati mukutandedya wambone, valambéla lishangelo, ishima na ungapela, andavapa shingumi shíkamalilika 
ROM.2.8	kanji shitundi na shishimwashimwa kwa avalá vavénavo malotelo augweka vaíta umwiu kutwala kwigwilila ungave-shaliya. 
ROM.2.9	Tabu na shaushanga vindapagwa kwakula munu átandedya ukalau; shitandi kwamuyuda ling'oto kwangalegu 
ROM.2.10	kanji lishangelo, ishima na amani kwakula munu átandedya wambone; shitandi kwamuyuda ling'oto kwangalegu. 
ROM.2.11	Mwaa kumwe Nnungu hakupali kupambula.
ROM.2.12	Mwaa doni, uti avalá vatéga bila lilamulo, bila lilamulo vandajaika na avalá vatéga mulilamulo, kwa lyo lilamulo lyo, vandaukumigwa. 
ROM.2.13	Mwaa vaishaliya pamevo pake Nnungu havanava shinu avalá vaígwa lilamulo kanji avalá vatandédya lilamulo ni valóta kuvalangiligwa kuva ishaliya. 
ROM.2.14	Doni, vamidi vákave lilamulo pavatandedya kulingananavo mavalelo ave ashilá shilamulilígwa mulilamulo, vanavo vankuva lilamulo kwavo vo vene ata ikava kenga havave lilamulo. 
ROM.2.15	Vanavo vankulilodya doni shimadengo shalilamulo shindyandikigwa mmitima vyave; makumbukililo ave amuntima aumya pamo ushuda avakashalya na ata avashililidya 
ROM.2.16	muliduva lyaukumu Nnungu vipii vyavanu kwaindila imwe Klistu Yesu kwodananavo ntenga wambone wangu.
ROM.2.17	Kushi wako úlishema kuva muyuda, únanapela mulilamulo na úlitamangila nkati mu Nnungu, 
ROM.2.18	wako úmanyite shana malotelo ake Nnungu na úungila nkono shakwashi shivénavo mana makumene pakuva upundishigwidyé mulilamulo, 
ROM.2.19	wako úlikulupidile gwegwe umwene kuva nanangalaledi wavakalola, lilangadyo lya avalá vavéle mushii, 
ROM.2.20	wako nkúpundisha wavajinga, mwalimu wavadyoko pakuva wako undivanavo mulilamulo mo wakikisho walimanyilo na umwiu. 
ROM.2.21	Kushi napane wako úvapundisha vanji, me haulipundisha gwegwe umwene? Wako úvalanganga uleya kwiva, me unkwiva? 
ROM.2.22	Wako útangola uleya kulavalava, me unkulavalava? Wako úvanyatila vannungu, me unkwivanga muding'ande dyave? 
