MAT.1.1	Je² libro xi³ cho⁴ta⁴jchi¹nca³-le⁴ Jesucristo, ˀnti¹-le⁴ David, cˀoa⁴ ˀnti¹-le⁴ Abraham.
ACT.22.21	Cˀoi⁴qui³tso²-na³ Nai³-na¹: Tˀin³ nca³ cjai¹nca³ cjin³ sca³ni³-le²³, ya⁴ jña³ nca³ tjio¹ cho⁴ta⁴ xi³ li² judío-jin². 
ACT.22.22	Cho⁴ta⁴-ve⁴ qui³nčhˀoe¹-le⁴ Pablo sa³ˀnta³ je² en¹ je²-vi⁴. Cˀia⁴ nˀion¹ qui³nchja⁴, cˀoi⁴qui³tso²: Chja⁴ˀa²xin²³ i⁴ son³ˀnte³-vi⁴ je² cho⁴ta⁴ xo⁴cji³-ve⁴. A³li²coi³ nta³ nca³ cˀoe¹jna³con³. 
ACT.22.23	Cˀoa⁴ cho⁴ta⁴-ve⁴ qui³squi³ˀntia¹xa¹. Qui³si³cˀa³tsao³ na³jño³-le⁴. Qui³scoe¹ chao³, tsa³cˀe¹tsao³ncˀa¹. 
ACT.22.24	Cˀia⁴ je² xi³ nca³jco⁴-le⁴ so³nta²do⁴ tsa³ca³te¹xo³ma³ nca³ coai⁴sˀen³cao⁴ Pablo ya⁴³ cuartel. Cˀoa⁴ tsa³ca³te¹xo³ma³ nca³ ca²ta³ni²jtso²ˀa³ nca³ sˀe⁴-le⁴ čhjoa⁴xin¹, jme¹-ni³ nca³ jcha⁴-si¹ni³le⁴ a³-ni³ nca³ cˀoa⁴-sˀin² to⁴cji³ˀntia¹-ni³ co²ntran⁴ tsˀe⁴. 
ACT.22.25	Cˀia⁴ nca³ tsa³cˀe¹tˀa³nˀion¹-ni³ cao⁴ nˀo¹čhjoa⁴xin¹, Pablo cˀoi⁴qui³tso²-le⁴ je² nai³-le⁴ so³nta²do⁴ xi³ ya⁴ ti¹jna³: A³ tsjoa¹ˀnte³-no³ nca³ cˀoa⁴-sˀin² vˀe²-lao⁴³ čhjoa⁴xin¹ jnco³ cho⁴ta⁴ romano xi³ cje³ˀya³-jin²le⁴ je¹-le⁴. 
ACT.22.26	Cˀia⁴ nca³ je² nai³-le⁴ so³nta²do⁴ qui³nčhˀoe¹ en¹-vi⁴, qui³ cˀe¹-le⁴ na⁴jmi¹ je² xi³ nca³jco⁴-le⁴ so³nta²do⁴, cˀoi⁴qui³tso²: Jo¹ sˀiain⁴, nca⁴ je² cho⁴ta⁴-ve⁴ cho⁴ta⁴ romano ni¹. 
ACT.22.27	Cˀoa⁴ ji³nčhoa³con³-le⁴ Pablo je² xi³ nca³jco⁴-le⁴ so³nta²do⁴, cˀoi⁴qui³tso²-le⁴: Cˀoa⁴tˀin²-nai¹³ a³ cho⁴ta⁴ romano ni¹ nca³ ji³. Cˀoa⁴ Pablo qui³tso²: Jaon³-na¹. 
ACT.22.28	Cˀoa⁴ je² xi³ nca³jco⁴-le⁴ so³nta²do⁴ qui³nchja⁴: An³ cjai¹nca³ tse³ taon⁴ qui³sˀe³nqui³-na³ nca³ cho⁴ta⁴ romano coan³. Cˀia⁴ Pablo qui³tso²: To⁴nca³ an³ cˀoa⁴-sˀin² qui³tsian³. 
ACT.22.29	Cˀoa⁴-sˀin² nca³ tsa³qui³ncha³xin² nti⁴ton⁴-le⁴ je² xi³ si¹jtso²ˀa³ Pablo. Cˀia⁴ nca³ tjin¹jin³-le⁴ nca³ cho⁴ta⁴ romano ni¹, sa³ˀnta³ je² xi³ nca³jco⁴-le⁴ so³nta²do⁴ qui³tso³cjon¹ nca³ tsa³cˀe¹tˀa³nˀion¹ Pablo.
ACT.22.30	Xi³ coan³nchaon³-ni³ coan³me³-le⁴ nca³ scoe⁴ xi³ cjoa⁴qui²xi⁴ a³-ni³ nca³ cho⁴ta⁴ judío cˀoa⁴-sˀin² tsa³ca¹nqui³ Pablo. Qui³sco³jnta¹ˀño¹ Pablo. Qui³nchja⁴-le⁴ je² cho⁴ta⁴ti¹tjon²-le⁴ na⁴ˀmi³ cao⁴ nca³tsˀi³ junta-le⁴ cho⁴ta⁴xa¹. Tsa³cˀa³sje³ Pablo. Qui³si³ca³sen²jna³ va³sen³-le⁴ nqui³xcon⁴ nca³ je².
ACT.23.1	Cˀia⁴ Pablo qui³sco³ˀa² je² cho⁴ta⁴junta-ve⁴, cˀoi⁴qui³tso²: Nca³tsˀio³ ˀnti¹ntsˀe³, an³ ña³qui³ nta³ ti¹jna³ ni⁴ma⁴-na⁴, jo³-sˀin² qui³coa⁴ yao³-na⁴ nqui³xcon⁴ Ni³na¹ sa³ˀnta³ ntˀai⁴-vi⁴. 
ACT.23.2	Cˀia⁴ je² xi³ na⁴ˀmi³ti¹tjon², je² Ananías, tsa³ca³te¹xo³ma³-le⁴ je² xi³ ncha³tˀa³-le⁴ nca³ si⁴²jtsin³ˀa³ xo⁴ ti¹tso²-ve⁴. 
ACT.23.3	Cˀia⁴ qui³tso²-le⁴ Pablo: Ji³ xi³ si⁴²jtsin³ˀa³-li² Ni³na¹ xjao¹ xi³ to⁴coan³ čhoai³. A³ ji³ xi³ ti³jna³-ni³ nca³ cˀoe¹nta³jin³-nai¹³ jo³ tso² cjoa⁴te¹xo³ma³, cˀoa⁴ co²ntran⁴-le⁴ cjoa⁴te¹xo³ma³ va³te²xo³mai³ nca³ ni²jtsin³ˀa³-na³. 
ACT.23.4	Je² cho⁴ta⁴ xi³ ncha³tˀa³-le⁴ cˀoi⁴qui³tso²: A³ cˀoa⁴-sˀin² to⁴chˀao³ ˀmi²-lai⁴ je² xi³ na⁴ˀmi³ti¹tjon²-le⁴ Ni³na¹. 
ACT.23.5	Cˀia⁴ je² Pablo qui³tso²: Li²coi³ tjin¹jin³-na³, ntsˀe³, tsa² je² xi³ na⁴ˀmi³ti¹tjon², nca³ cˀoa⁴-sˀin² tji¹tˀa³: Je² xi³ nca³jco⁴-le⁴ na⁴xi⁴na³nta¹-li⁴, li²coi³ chˀao³ cˀoin¹-lai⁴. 
ACT.23.6	Cˀia⁴ nca³ Pablo ve³ nca³ jnco³ cˀa³ cho⁴ta⁴-ve⁴ xi³ cho⁴ta⁴ saduceo, cˀoa⁴ xi³jnco³ cˀa³ xi³ cho⁴ta⁴ fariseo, nˀion¹ qui³nchja⁴ ya⁴ junta-ve⁴: Nca³tsˀio³ ˀnti¹ntsˀe³, an³ nia¹³ cho⁴ta⁴ fariseo, cˀoa⁴ ˀnti¹-le⁴ cho⁴ta⁴ fariseo. Xi³ tˀa³tsˀe⁴ je² cjoa⁴nta³ xi³ ti²co³ya³-le⁴ nca³ cjoa⁴ˀa¹ya³-ni³le⁴ xi³ cˀen³, coi³ cjoa⁴ nca³ cˀoa⁴-sˀin² ti¹sˀe³nta³jin³-ni³na³ ntˀai⁴. 
ACT.23.7	Cˀia⁴ nca³ je³cˀoa⁴qui³tso² qui³scan³tse³-ni¹ cho⁴ta⁴ fariseo cao⁴ cho⁴ta⁴ saduceo. Coan³jao²ya³-ni³ xi³ cho⁴ta⁴ ncjin². 
ACT.23.8	Je² cho⁴ta⁴ saduceo cˀoa⁴tso² nca³ tsin² cjoa⁴fa³ˀa¹ya³, ni⁴tsˀe⁴ a²ncje⁴-jin², ni⁴tsˀe⁴ espíritu-jin². To⁴nca³ je² cho⁴ta⁴ fariseo si¹qui²xi⁴ya³ nca³ jao² cˀa³ cjoa⁴. 
ACT.23.9	A³li² to⁴cˀoa⁴cji³ tsa³cˀe¹jta³ cho⁴ta⁴-ve⁴. Tsa³qui³so¹tjen⁴jin³ je² cho⁴ta⁴ scribano xi³ tsˀe⁴ cho⁴ta⁴ fariseo, tsa³cjao¹ti³ qui³tso²: Ni⁴to⁴jme³-jin² xi³ chˀao³ tjin¹ ma³sjai³-na³jin⁴ xi³ tˀa³tsˀe⁴ je² cho⁴ta⁴-vi⁴. Tsa² espíritu xi³ qui³nchja⁴cao⁴, a³xo⁴ tsa² a²ncje⁴, li² cˀoa⁴-jin²sˀin² coi⁴yo³nˀion¹-le⁴² Ni³na¹. 
ACT.23.10	Cˀia⁴ nca³ je² cjoa⁴si³-ve⁴ nˀion¹ coan³tse³, je² xi³ nca³jco⁴-le⁴ so³nta²do⁴ qui³tso³cjon¹ tsa² cho⁴ta⁴-ve⁴ si⁴²xcoa⁴ Pablo. Qui³nchja⁴-le⁴ so³nta²do⁴, tsa³ca³te¹xo³ma³-le⁴ nca³ cjoa⁴ˀa²xin² cjoa⁴nˀion¹ Pablo ja⁴jin³-le⁴ cho⁴ta⁴-ve⁴, cˀoa⁴ nca³ coai⁴cao⁴ ya⁴ cuartel. 
ACT.23.11	Xi³ coan³nchaon³-ni³, cˀia⁴ nca³ coan³ njion², je² Nai³-na¹ tsa³ca³sen²tˀa³-le⁴ Pablo, cˀoi⁴qui³tso²-le⁴: A³li² cˀoa⁴-jin² ma³-li² Pablo. Jo³-sˀin² nca³ qui³tsˀai² en¹-li⁴ xi³ tˀa³tsˀan⁴ i⁴ Jerusalén, cˀoa⁴-sˀin² ma³chjen¹ nca³ cˀoai⁴ en¹-li⁴ cˀoa⁴-ti⁴ ya⁴ Roma.
ACT.23.12	Cˀia⁴ nca³ qui³sˀe³sen¹, tsa³cˀe¹nta³ne² cjoa⁴tsˀen⁴ cho⁴ta⁴ judío. Cˀoa⁴-sˀin² qui³tsjoa³ tsˀoa³, cˀoa⁴ Ni³na¹ ca²ta³tsjoa¹-na³jin⁴ cjoa⁴ñˀain³ qui³tso², nca³ li²coi³ coa⁴cjen⁴ ni⁴scˀoi¹-jin², jo³ sa³ˀnta³ nca³ si⁴²cˀen³ Pablo. 
ACT.23.13	Tsˀa³to³-le⁴ ña³chan² ma³-ni³ xi³ cˀoa⁴-sˀin² qui³tsjoa³ tsˀoa³. 
ACT.23.14	Je² cho⁴ta⁴-vi⁴ qui³con³-le⁴ je² cho⁴ta⁴ti¹tjon²-le⁴ na⁴ˀmi³ cao⁴ cho⁴ta⁴jchi¹nca³, cˀoi⁴qui³tso²: Jin⁴-jin⁴ cˀoa⁴-sˀin² ca²vˀai²⁴-jin⁴ ntso⁴ˀvai³⁴-jin⁴ nca³ Ni³na¹ ca²ta³tsjoa¹-na³jin⁴ cjoa⁴ñˀain³ nca³ tsi²jme³ xi³ coi⁴chi³⁴-jin⁴ ni⁴sˀio⁴-jin²⁴jin⁴, jo³ sa³ˀnta³ nca³ si⁴cˀain³⁴-jin⁴ Pablo. 
ACT.23.15	Ntˀai⁴-vi⁴ tso²cˀoa⁴, jon² cao⁴ cho⁴ta⁴xa¹junta, ti⁴cji³nčhˀoao¹³ je² xi³ nca³jco⁴-le⁴ so³nta²do⁴ nca³ ca²tji³nčhoa¹jen³cao⁴ je² Pablo nchaon³-li⁴, jo³-ni³ tsa² me³-no³ nca³ nqui²sa⁴ nta³ cho¹tˀao³ je² cjoa⁴ xi³ tˀa³tsˀe⁴. Cˀoa⁴ jin⁴-jin⁴ coi⁴yo³ntai³⁴-jin⁴, jme¹-ni³ nca³ coan⁴ si⁴cˀen³-ni³jin⁴ to⁴nqui³-ni³ nca³ je² cjoi⁴cho³.
ACT.23.16	Cˀia⁴ jnco³ ti³-le⁴ nti³chja³ Pablo qui³nčhˀoe¹ nca³ coai⁴ca³tio²chjoa²-le⁴. Qui³ qui³sˀen³ ya⁴³ cuartel, tsa³cˀe¹-le⁴ na⁴jmi¹ Pablo. 
ACT.23.17	Cˀia⁴ Pablo qui³nchja⁴-le⁴ jnco³ nai³-le⁴ so³nta²do⁴, cˀoi⁴qui³tso²: Tˀin³coai⁴ ti³-vi⁴ ya⁴ jña³ nca³ ti¹jna³ je² xi³ nca³jco⁴-le⁴ so³nta²do⁴. Tjin¹ en¹ xi³ ya⁴ cˀoe⁴²-le⁴ na⁴jmi¹. 
ACT.23.18	Cˀia⁴ je² nai³-le⁴ so³nta²do⁴ qui³scoe¹ ti³-ve⁴, qui³cao⁴-le⁴ je² xi³ nca³jco⁴-le⁴ so³nta²do⁴, cˀoi⁴qui³tso²: Je² Pablo xi³ ti¹jna³ preso ca²nchja⁴-na³, ca²vˀe¹tsˀoa³-na³ nca³ ca²nčhoa³cao⁴-le²³ je² ti³ xo⁴cji³-vi⁴. Tjin¹-xo¹ en¹ xi³ cˀoe⁴²-li² na⁴jmi¹. 
ACT.23.19	Je² xi³ nca³jco⁴-le⁴ so³nta²do⁴ qui³scoe¹ ntsja³ ti³-ve⁴, cˀoa⁴ qui³cao⁴ tˀa³xin², qui³sco²na³nqui³-le⁴: Jme¹ ni¹³ xi³ cˀoe¹-nai¹³ na⁴jmi¹. 
ACT.23.20	Cˀia⁴ ti³-ve⁴ qui³nchja⁴: Je² cho⁴ta⁴ judío cˀoa⁴-sˀin² tjio¹jnco³con³ nca³ si⁴²je¹-li² cjoa⁴nta³, jme¹-ni³ nca³ nchaon³-li⁴ chˀa⁴sjai³ cˀoin¹jen⁴cao⁴-si¹ni³ je² Pablo ya⁴ tsˀe⁴ cho⁴ta⁴xa¹junta, jo³-ni³ tsa² nca³ nqui²sa⁴ nta³ scoi⁴na³nqui³-xo¹le⁴ jña³-le⁴ xi³ cjoa⁴qui²xi⁴. 
ACT.23.21	Cˀoa⁴ ji³, a³li² ma³cjain¹-jin²li², nca⁴ tsˀa³to³-la⁴ ña³chan² cho⁴ta⁴xˀin⁴ xi³ tsˀe⁴ xi³ cˀoa⁴-sˀin² va³tio²chjoa²-le⁴ Pablo. Je² cho⁴ta⁴ xi³ qui³tsjoa³ tsˀoa³ nca³ Ni³na¹ ca²ta³tsjoa¹-le⁴ cjoa⁴ñˀain³ nca³ tsi² tsa² coa⁴cjen⁴ ni⁴scˀoi¹-jin², jo³ sa³ˀnta³ nca³ si⁴²cˀen³ Pablo. Cˀoa⁴ ntˀai⁴-vi⁴ je³tjio¹nta³, tjio¹co³ya³-le⁴ tsi⁴ en¹. 
ACT.23.22	Cˀia⁴ je² xi³ nca³jco⁴-le⁴ so³nta²do⁴ qui³si³xa³tˀa³ ti³-ve⁴. Cˀoa⁴-sˀin² tsa³cˀe¹ne²-le⁴, nca³ li²ˀya³ xi³ cˀoa⁴coi⁴tso⁴-le⁴ nca³ cˀoa⁴-sˀin² je³ja³ˀai³cˀe¹ na⁴jmi¹.
ACT.23.23	Cˀoa⁴ qui³no²cjoa⁴-le⁴ jao² cho⁴ta⁴ xi³ nai³-le⁴ so³nta²do⁴. Je² xi³ nca³jco⁴-le⁴ so³nta²do⁴ cˀoa⁴-sˀin² tsa³cˀe¹tˀain³-le⁴ nca³ las nueve nca³ njion² ca²ta³va³tio²nta³ jao² ciento so³nta²do⁴ xi³ coai⁴ ya⁴ sa³ˀnta³ Cesarea, cˀoa⁴ jan²can³ cao⁴ te³ xi³ na⁴xin¹ coa⁴tio⁴son², cˀoa⁴ jao² ciento xi³ lanza cˀoa⁴. 
ACT.23.24	Cˀoa⁴-ti⁴ tsa³cˀe¹tˀain³ nca³ ca²ta³sa³sen¹nta³ na⁴xin¹ cao⁴ xi²le⁴ je² xi³ Pablo cˀoe¹jna³son², jme¹-ni³ nca³ nta³ coai⁴cao⁴-si¹ni³le⁴ je² Félix cho⁴ta⁴xa¹ti¹tjon². 
ACT.23.25	Jnco³ xon⁴carta qui³squi³ xi³ coi³ tsa³cˀe¹. 
ACT.23.26	An³ Claudio Lisias si³ti²ˀnta³-le²³ Félix xi³ cˀoa⁴-sˀin² to⁴ncˀa³ gobernador: 
ACT.23.27	Je² cho⁴ta⁴ je²-vi⁴ xi³ qui³tsoa³ je² cho⁴ta⁴ judío. Ja⁴me³ qui³si³cˀen³. An³ tsa³cˀa³sje³ntje²³ nca³ ji³cho³coa⁴ so³nta²do⁴, nca⁴ qui³sˀe³jin³-na³ nca³ cho⁴ta⁴ romano. 
ACT.23.28	Coan³me³-na³ nca³ scoe³ jme³ je¹ xi³ tjin¹-le⁴, nca³ cˀoa⁴-sˀin² tsa³ca¹nqui³. Qui³cao⁴-nia¹³ ya⁴ tsˀe⁴ cho⁴ta⁴xa¹junta xi³ tsˀe⁴. 
ACT.23.29	Cˀia⁴ coan³sjai³-na³ nca³ tsa³ca¹nqui³ to⁴je² tˀa³tsˀe⁴ cjoa⁴te¹xo³ma³-le⁴ xi³ tsˀe⁴. Ni⁴jnco³-jin² je¹ tjin¹-le⁴ xi³ va³quin²-le⁴ nca³ coi⁴ya¹ntjai², a³xo⁴ nca³ nto⁴ya¹ cˀoe¹jna³. 
ACT.23.30	To⁴nca³ tsa³cˀe¹-na³ na⁴jmi¹ nca³ me³-le⁴ coa⁴tio⁴chjoa²-le⁴. Cˀoa⁴-sˀin² tsa³ca³tio²nta³ je² cho⁴ta⁴ judío. Coi³ ji³ qui³sca³ni³ nti⁴ton⁴-ni³le²³. Cˀoa⁴-ti⁴ tsa³cˀe³ne²-le⁴ je² xi³ tjio¹va¹nqui³ Pablo, nca³ ya⁴ nqui³xcoin³ cˀoa⁴ca²ta³tso²-li² jme¹ ni¹³ xi³ tjin¹-le⁴ xi³ co²ntran⁴ tsˀe⁴. Nta³ ca²ta³fi²-li² ni⁴čhjin³. 
ACT.23.31	Cˀia⁴ je² so³nta²do⁴ qui³scoe¹ Pablo jo³-sˀin² nca³ qui³sˀe³ne²-le⁴. Qui³cao⁴ nca³ njion² ya⁴ Antípatris. 
ACT.23.32	Xi³ coan³nchaon³-ni³ ya⁴ qui³si³ca³tio¹cao⁴ xi³ na⁴xin¹ tjio¹son², nca³ je² xi³ coai⁴cao⁴. Cˀoa⁴ je² xi³cˀa³ qui³si³cˀo¹fa³ya³-ni³ ya⁴ cuartel. 
ACT.23.33	Cˀia⁴ nca³ ji³cho² ya⁴ Cesarea, qui³tsjoa³-le⁴ gobernador xi³ ya⁴ ti¹jna³ je² xon⁴carta-ve⁴. Cˀoa⁴-ti⁴ qui³si³ca³sen²jna³va³sen³ Pablo nqui³xcon⁴. 
ACT.23.34	Je² gobernador tsa³cˀe¹xquia⁴ xon⁴carta-ve⁴, qui³sco²na³nqui³ jña¹ ni¹³ ˀnte³-le⁴. Coan³jin³-le⁴ nca³ ya⁴ Cilicia tsˀe⁴. 
ACT.23.35	Cjoi³nčhˀoe³-le²³ cˀia⁴ nca³ cjoa⁴ˀai¹ je² xi³ ji³ va¹nqui³-li², qui³tso². Cˀia⁴ tsa³ca³te¹xo³ma³ nca³ cˀoe¹jna³ co³ya³ ya⁴ palacio-le⁴ Herodes.
ACT.24.1	Cˀia⁴ nca³ coan³ˀaon²-ni³ ni²čhjin³, ji³cho² je² na⁴ˀmi³ti¹tjon², je² Ananías. Tjen⁴cao⁴ cˀa³ cho⁴ta⁴jchi¹nca³, cˀoa⁴ jnco³ xi³ ma³-le⁴ nchja⁴ya³ xi³ Tértulo ˀmi². Ña³qui³ qui³tso²ya³-le⁴ gobernador cjoa⁴co²ntran⁴ tˀa³tsˀe⁴ Pablo. 
ACT.24.2	Cˀia⁴ qui³no²cjoa⁴-le⁴. Tértulo tsa³cˀe¹tsˀia⁴cao⁴ nca³ tsa³ca¹nqui³, cˀoi⁴qui³tso²-le⁴: To⁴tˀa³tsi⁴-sa³ nca³ cˀoa⁴-sˀin² nˀion¹ nchˀan¹ ti³yoa³². A³li² to⁴ncjin² cjoa⁴ xi³ ji³ nta³ vˀe²ntai³ xi³ tˀa³tsˀe⁴ cjoa⁴nta³-le⁴ je² na⁴xi⁴na³nta¹-vi⁴, xi³ to⁴tˀa³tsi⁴ cjoa⁴chji⁴ne⁴. 
ACT.24.3	Nca³ntsjai² ni⁴čhjin³ cˀoa⁴ nca³qui³jnta²-ni¹ cˀoa⁴-sˀin² chjoai¹³-jin⁴ je² cjoa⁴-vi⁴. Can³ cˀa³ cˀoa⁴-sˀin² vˀai²-lai²⁴jin⁴ cjoa⁴nta³, ji³ ˀnti¹nˀai³ Félix. 
ACT.24.4	To⁴nca³ cai³-na³jin⁴ nca³ to⁴sin³ to⁴nta³ ni²si³-lai²⁴jin⁴. Tjin¹-li² cjoa⁴nta³, cˀoa⁴-sˀin² vˀe³tsˀoa²-le²³ nca³ ti⁴no¹ˀya² i⁴tse¹-na³jin⁴ jo³-sˀin² nca³ tjin¹-li² cjoa⁴ma⁴ta³con². 
ACT.24.5	Cˀoa⁴-sˀin² tsa³ˀyai³⁴-jin⁴ je² cho⁴ta⁴-vi⁴ nca³ nˀion¹ chˀao³ cjoan³. Je² xi³ cjo³mi³tjen⁴ cjoa⁴si³ jin³-le⁴ nca³tsˀi³ cho⁴ta⁴ judío nca³qui³jnta² son³ˀnte³. Cˀoa⁴ je² ni¹ cho⁴ta⁴ti¹tjon²-le⁴ je² cho⁴ta⁴ nazarenos xi³ ntia⁴²tˀa³xin²-le⁴ Ni³na¹ fi²tˀa³-le⁴. 
ACT.24.6	Je² xi³ cˀoa⁴-ti⁴ coan³me³-le⁴ nca³ qui³si³jnti¹ je² yo⁴nco⁴-na⁴jin⁴. Qui³nto³vai³⁴-jin⁴, me³-na³jin⁴ nca³ cho¹tˀa³-le⁴, jo³ tso² cjoa⁴te¹xo³ma³-na⁴jin⁴. 
ACT.24.7	To⁴nca³ je² Lisias xi³ nca³jco⁴-le⁴ so³nta²do tsa³cja³-jin³. Ña³qui³ tsa³cja¹ˀa³-na³jin⁴ Pablo ya⁴³ ntsai⁴-jin⁴. 
ACT.24.8	Cˀoa⁴-sˀin² tsa³ca³te¹xo³ma³-le⁴ je² cho⁴ta⁴ xi³ va¹nqui³ nca³ ca²ta³fa³ˀai³con³-li². Je² xi³ ji³ cˀoa⁴-sˀin² coi⁴no¹ˀya²-lai⁴ cˀoa⁴-sˀin² cho¹son²-ni³lai⁴. Cˀoa⁴-sˀin² jcha⁴-ni³ jme¹ cjoa⁴-ni³ nca³ fa³nqui³-ni³jin⁴. 
ACT.24.9	Cˀoa⁴-ti⁴ qui³tsjoa³ en¹ cho⁴ta⁴ judío nca³ cˀoa⁴tjin¹ je² cjoa⁴-vi⁴. 
ACT.24.10	Cˀia⁴ gobernador qui³sco²mi³-le⁴ ntsja³ nca³ ca²ta³nchja⁴ Pablo. Pablo cˀoi⁴qui³tso²: An³-vi⁴ ˀve³-nia¹³ nca³ coan³ ncjin² no¹ ji³ ti³jna³coai⁴ cjoa⁴te¹xo³ma³ i⁴ ˀnte³-vi⁴. Cˀoa⁴-sˀin² ti⁴ˀan³ coi³nchja²ntjai²-nia³ yao³-na⁴ cao⁴ cjoa⁴tsjoa³. 
ACT.24.11	Ji³ jcha⁴-ni³ nca³ to⁴sˀa⁴ te³jao² ni⁴čhjin³ nca³ qui³mia³. Qui³cˀe³tsˀoa²³ ya⁴ Jerusalén. 
ACT.24.12	Ni⁴sa³jnco³ cˀa²-jin² ti¹ˀya³-na³ ya⁴ yo⁴nco⁴ nca³ cho⁴ta⁴ fa²coa⁴, ni⁴cho⁴ta⁴ncjin²-jin² vˀe³xcoa¹³, ni⁴ ya⁴-jin² ntˀia³ sinagoga, ni⁴ ya⁴-jin² na⁴xi⁴na³nta¹. 
ACT.24.13	Li²coi³ coan⁴-le⁴ si⁴²qui²xi⁴ya³-li² je² cjoa⁴, je² xi³ ntˀai⁴ ti¹va¹nqui³-na³. 
ACT.24.14	To⁴nca³ je²-vi⁴ ña³qui³ cˀoa⁴²tjin¹ coan³ nca³ cˀoa⁴xin³-le²³, jo³-sˀin² ntia⁴²tˀa³xin²-le⁴ Ni³na¹ tso²-le⁴, cˀoa⁴-sˀin² ma³chjen¹-le⁴ an³ je² Ni³na¹-le⁴ nˀai³jcha¹cjin³-na⁴, cˀoa⁴-sˀin² ma³cjain¹-na³ nca³yi³je³ jo³-sˀin² tji¹tˀa³ ya⁴ cjoa⁴te¹xo³ma³, cˀoa⁴ ya⁴ xon⁴-le⁴ je² xi³ qui³nchja⁴ya³ tˀa³tsˀe⁴ Ni³na¹. 
ACT.24.15	Cˀoa⁴-sˀin² ti²co³ya³-le⁴ xi³ tˀa³tsˀe⁴ Ni³na¹ nca³ cjoa⁴ˀa¹ya³-le⁴ xi³ cˀen³, nta³ tsa² cao⁴ cho⁴ta⁴ xi³ tjin¹-le⁴ cjoa⁴qui²xi⁴, cao⁴ cho⁴ta⁴tsˀen⁴. Cˀoa⁴-ti⁴sˀin²ni³ je² cho⁴ta⁴ judío co³ya³-le⁴ xi³ tˀa³tsˀe⁴ Ni³na¹ xi³ ti⁴coi³-ni³. 
ACT.24.16	Coi³ nca³ ña³qui³ vˀe³ne²-le⁴ yao³-na⁴, jme¹-ni³ nca³ nta³ ti¹jna³-si¹ni³ ni⁴ma⁴-na⁴ nca³ntsjai², nca³ tsi²jme³ je¹ xi³ tjin¹-le⁴ xi³ tˀa³tsˀe⁴ Ni³na¹, cˀoa⁴ xi³ tˀa³tsˀe⁴ cho⁴ta⁴son³ˀnte³. 
ACT.24.17	Ja⁴scan³-ni³ nca³ ncjin² no¹ ja³ˀa³to³, ja²ˀai⁴ca³nia³ limosna cao⁴ cjoa⁴tjao² na⁴xi⁴na³nta¹-na⁴. 
ACT.24.18	Cˀia⁴ cˀa³ cho⁴ta⁴ judío xi³ tsˀe⁴ Asia tsa³ve³-na³ ya⁴ya³ yo⁴nco⁴, nca³ coan³tsje³ nca³ an³. Ni⁴ cao⁴ cho⁴ta⁴ncjin²-jin², ni⁴ cao⁴ cjoa⁴si³-jin² tsa³ve³-na³. 
ACT.24.19	Je²-jin² tsa²cai³ xi³ ca²ta³fa³ˀai³ nqui³xcoin³. Cˀoa⁴-sˀin² ca²ta³va¹nqui³-na³ tsa² jme³-ve⁴ xi³ tjin¹-le⁴ xi³ co²ntran⁴ tsˀan⁴. 
ACT.24.20	Ti⁴je²-ni³ je²-vi⁴ cˀoa⁴ca²ta³tso² tsa² qui³sa³co³sjai³-le⁴ jme³-ve⁴ xi³ qui³sˀian³ xi³ tsi²coi³ tsa² nta³ tjin¹, cˀia⁴ nca³ tsa³ca²te⁴jna³ ya⁴ nqui³xcon⁴ cho⁴ta⁴xa¹junta. 
ACT.24.21	To⁴jnco³-jin² cjoa⁴ xi³ tjin¹-le⁴ xi³ qui³nchja²³ cˀia⁴ nca³ ya⁴ ti²jna⁴jin³-le⁴ xi³ coi³ jo³-sˀin² nca³ cjoa⁴ˀa¹ya³-le⁴ nca³tsˀi³ cˀen³. Coi³ cjoa⁴ xi³ cji³ma³tˀen³ ntˀai⁴-vi⁴. 
ACT.24.22	Je² Félix cjai¹nca³ nta³ tjin¹jin³-le⁴ jo³-sˀin² ma³cjain¹-le⁴ je² cho⁴ta⁴-vi⁴ xi³ ntia⁴²tˀa³xin²-le⁴ Ni³na¹ fi²tˀa³-le⁴. Coi³ cjoa⁴ qui³sco³ya³cao⁴cjoa⁴ je² cjoa⁴-ve⁴ cˀia⁴ nca³ je³qui³nčhˀoe¹ nca³yi³je³ je² en¹-vi⁴ cˀoi⁴qui³tso²: Cˀia⁴ nca³ cjoa⁴ˀai¹jen³ je² Lisias xi³ nca³jco⁴-le⁴ so³nta²do⁴, cˀia⁴ cjoe⁴scoe³ je² cjoa⁴ xo⁴tjin¹-no³vi⁴. 
ACT.24.23	Cˀia⁴ Félix tsa³ca³te¹xo³ma³-le⁴ nai³-le⁴ so³nta²do⁴ nca³ si⁴²cˀe¹jna³tjao² Pablo, nca³ si⁴²xan⁴-le⁴ cjoa⁴ñˀain³. Li²coi³ qui³sˀe³chjoa²-le⁴ je² xi¹ncjin¹ xi³ me³-le⁴ nca³ si⁴²sin³-le⁴, nca³ cjoa⁴ˀai¹con³-le⁴. 
