GEN.1.1	Tana vuivuni mai dania God te gonia na kokou mana pari. 
LUK.6.8	Ma Jesus te diki ghilalaa tua, na hava tana liodira. Me bosa vania na mane te labe na limana me ghaghua, “Ko mai tughuru iani!” mana mane te tughuru gatu.
LUK.6.9	Ma Jesus te bosa vanira me ghaghua, “Inau ku huatighau. ?E vetena so ge ka hahanga pa ka totoro tana Sabbath, ka volaa siki sakai pa ka dikalaa?” 
LUK.6.10	Soko, gaia te rei kolili va tadira, ge bosa vania na mane te labe na limana, “Ko hau datoa na limamu!” Mana mane te nea te vaghaa, ge uto na limana. 
LUK.6.11	Tana bona rana Pharisee mana manetarai ni vetena nina Moses tara righia, ma gaira udolu te vonughira na rutu sule ngangata, mara padapada ighobudira heghedira ivei kara nea Jesus.
LUK.6.12	Tana sakai na bongi pile bona imurina vamua, Jesus te dato tana ghotu me va kokoeliulivuti bongi haghi ga vania God. 
LUK.6.13	Mi ropo ghana, ge holora nina vaovarongo udolu mai tatana me vilikehara ra hangavulu rua itadira, me holora nia rana manevetena. 
LUK.6.14	Simon te vatua nia Peter, ma Andrew hoghona, James ma John, Philip ma Bartholomew. 
LUK.6.15	Matthew ma Thomas; James dalena Alphaeus, Simon tara holoa nia na Zealot,
LUK.6.16	Judas dalena James, ma Judas Iscariot ke peroa Jesus.
LUK.6.17	Ma Jesus te sughi horu mai tana ghotu kolura nina manevetena me tughuru tana nanata. Tana bongi eni subo nina vaovarongo kolura na vure subo tara talighutia. Mana vure subo igaa tara va mai Jerusalem, me subo na lei komu tana bubulo i Judea, mana balu tara va mai ilauni lei komu i Tyre mi Sidon. 
LUK.6.18	Gaira tara mai ge kara varongohia Jesus, mara liona ge ke kisura tana lei sopa vahaghidira. Ma rahei ghua te dikalara na lei tidalo dika, Jesus te kisu volara. 
LUK.6.19	Mana lei vure tara tabotabo ge kara habetia, na pukuna nina maana God te rughuhoru mai tatana me vola udolura.
LUK.6.20	Ma Jesus te vaevanera va nina vaovarongo, ge taraira me ghaghua,
LUK.6.20	“God ke vautoghau ighau tau bona,
LUK.6.20	na pukuna a nimiu na kinakabuna God.
LUK.6.21	God ke vautoghau ighau tau vitolo itaeni,
LUK.6.21	na pukuna ighau kau mahu nimiu ikise.
LUK.6.21	God ke vautoghau ighau tau tangi itaeni,
LUK.6.21	na pukuna ighau kau nia kiakia na togotogo.
LUK.6.22	God ke vautoghau ighau, tara nighau sika na lei tinoni,
LUK.6.22	tara kanahaghinighau, pasapasaghau, mara koengeleghau, na pukuna inau na Dale Tinoni.
LUK.6.23	Kara neghau iga te vaghaa keri ke, kau togotogo ma kau rivurivu,
LUK.6.23	na pukuna na taba sule te gonidila vanighau tua i kokou.
LUK.6.23	A keri na nilabu tara nei rana lei vaivarimiu vanira rana lei prophet mai dania.
LUK.6.24	Vatei aroviamiu ighau tau loghorongo itaeni,
LUK.6.24	na pukuna tau lavia tua nimiu na togholuvu.
LUK.6.25	Vatei aroviamiu ighau tau mahu tua itaeni,
LUK.6.25	na pukuna ighau kau vitolo.
LUK.6.25	Vatei arovimiu ighau tau kiakia itaeni,
LUK.6.25	na pukuna ighau kau tangi ma kau ngangaraha.
LUK.6.26	Vatei aroviamiu ighau tara bosautoghau na lei tinoni taeni,
LUK.6.26	na pukuna na lei vaivaridira tara nera ghua tua igaa na lei prophet sorisori mai dania, ma God te torora.
LUK.6.27	“Mi nau tu bosa vanighau, ighau tau rongoviu mai, kau dolovira ghamiu na kana, ma kau lutu uto vanira rahei tara nighau sika. 
LUK.6.28	Kau vautora rahei tara bosadikalaghau, ma kau kokoeliulivutira rahei tara vahaghitailighau. 
LUK.6.29	Ke tapoa na levu ni ngoramu siki sakai ke, mo ko hea na levu ngora me ke tapoa. Me ke lavia a nimua na tivi a siki sakai ke, mo ko hea ghua nimua na pupulu. 
LUK.6.30	Kau vahera na keha na hava tara nongighi tamiu, mana hava tara lavikeha itamiu ke, ma kau bei nongiolia gea. 
LUK.6.31	Kau nea vanira na keha na hava tau liona kara nea vanighau.
LUK.6.32	“Ge kau dolovira vamua rahei tara dolovighau ke, mana hava na uto ia kau sodoa igaa God ke mua vautoghau, na pukuna hughu rana tangohahi tara dolovira so arahei tara dolovira. 
LUK.6.33	?Te vagha eni ke, kau lutu uto vanira vamua rahei tara lutu uto vanighau ke, na hava na uto ia kau sodoa igaa? God ke mua vautoghau na pukuna hughu rana tangohahi tara nea te vaghaa. 
LUK.6.34	?Ma ge kau holakau itadira tara tutughuoli vanighau ke, mana hava na uto ia kau sodoa igaa? God ke mua vautoghau, na pukuna hughu rana tangohahi tara holakau itadira rana tangohahi tara ghilala ge kara lavi olia na talukau te manana taonia didira hevei.
LUK.6.35	“Kau dolovira ghamiu na kana, ma kau gehegehe uto vanira! Kau vahera na lei totobo ma kau bei ghanaghana kara tughuolighi vanighau. Keri vaho ge kau lavia na tabamiu ikokou ke sule au vaa, ge ighau kau dalena God te haba i kokou. Agaia te liodolovira arahei tara mua holoutoa gaia, maira rana tangohahi. 
LUK.6.36	Kau veiarovi te vaghaa gaia God, tamamiu i kokou te veiarovi.
LUK.6.37	“Bei detera rana keha, ge God ke bei deteghau ghua. Bei hurutabora rana keha, ge God ke mua hurutaboghau. Kau talukehai na paludira rana keha, ge God ke talukehai vanighau ghua na palumiu. 
LUK.6.38	Kau hevei vanira na lei tinoni ke, ma God ke heghau ghua. A nimiu na hevei ke ghoi oli gatu itamiu, ke vaghaa na subona na hava tau nia hevei tua. God ke nia hevei togotogo te vaghaa na tinoni ke vonulaghinia na bosi me vuha kolava. Na kakage te vagha kau nea vanira na keha, gaia na kakage God ke nea vanighau ghua.”
LUK.6.39	Ma Jesus te bosaa vanira na bosa vavaghaha eni, “?Ivei tea? ?A sakai na tinoni rorodo ke tangomana so na huliana sakai na tinoni rorodo? Taho! Geva gaira udolu koro tumuhoru tana gilu.
LUK.6.40	Na vaovarongo te mua haba vulea ahei te tarai. Mana vaovarongo ge te ke lutu laga ke, mi geva ke vaghaa ghua ahei te tarai.
LUK.6.41	?Me ghua ge o nia sarautu, ighoe na vulogo tana matana hoghomu, ge toko mua nia sarautu na bubulo ni ghai tana matamu heghemu? 
LUK.6.42	?Ivei tea, ge o bosa vania hoghomu mo ghaghua, ‘Mai mu ku lavikehaa vanigho na vulogo tana matamu,’ ge toko mua tangomana na vaevane kaleana na bubulo ni ghai tana matamu heghemu? To sori ghoe! Ko diki lavikehaa ghua na bubulo ni ghai tana matamu ighoe, keri vaho ge ko vaevane uto, mo ko tangomana na lavikehaana na vulogo pile kikia tana matana hoghomu.
LUK.6.43	“Na ghai uto ke mua tangomana na vahuana na vavanga dika, mana ghai dika ke mua tangomana na vahuana na vavanga uto. 
LUK.6.44	Na ghai ta ghilalaa nia na vavanga te vahua. Na vuavua ni ghai uto te mua tangomana na puputu tana karukaili. 
LUK.6.45	Te vagha eni ke, na tinoni uto te loghoa na nilabu uto, te va rughuhoru mai tana toba te uto, mana tinoni dika te loghoa na nilabu dika, te va rughuhoru mai tana toba te dika. Na hava tua na bosa uto pana dika te horu mai tana manga te tatea na utona pana dikana na toba.
LUK.6.46	“?E ghua ge au holou nia, “Lord” ma au mua taonighi na hava tu bosai? 
LUK.6.47	Inau ku tughunia vanighau, ivei te vaghaa, ahei te mai tagua, me rongovighi nigua lei bosa ni tarai. 
LUK.6.48	Gaia te vagha na tinoni te kisua na vale tana pari ngutu te pukulaghi tana vatu i borona. Tana bona te mai na tave ni beti sule me labua na vale, me mua tumu, na pukuna te kisu ngasilia. 
LUK.6.49	Ma ahei te rongovighi na bosagu, me mua taoniu te vaghaa na tinoni te kisua na vale, me mua ghelivaghinia tana pari ngutu. Mi tana bona te mai na tave, me labua na vale keri, ge dudura, me kokovo horu.”
LUK.7.1	Mi tana bona Jesus te bosa sokoi na lei totobo raini vanira na vure, ge tona i Capernaum. 
LUK.7.2	Mana malaghai haba ni Rome igaa tana komu keri, anina seka te dolovi ngangataa, te vahaghi me dutuvia na mate. 
LUK.7.3	Mana malaghai haba ni Rome eni te rongovia na maiana Jesus, ge vetenara balu mane nagho ni Jew ge kara va huatia Jesus ge ke mai kisua nina seka te koli ni vahaghi. 
LUK.7.4	Mana lei mane nagho tara va righia Jesus mara kuruti ngangata mara ghaghua, “Na malaghai haba eni te manana ko hangaa, 
LUK.7.5	na pukuna te dolovira kulada na vure ni Jew, ma gaia heghena ghua te kisua vanighita dida Vale kokoeliulivuti ni Jew.”
LUK.7.6	Keri ge udukolura Jesus. Tana bona tara dutuvia na valena na malaghai haba ni Rome, me vetenara tua na balu kulana na malaghai haba, ge kara va topoa Jesus ma kara bosa vania, “Maghutu, ko bei sakai mai niu mangoli gea. E mua ulaghagu inau ge ku hola haghegho mai loka ni valegu. 
LUK.7.7	Me mua managu ghua na gatu righiamu heghegu. Ko bosa vasoo me ke ghaota tua nigua na seka. 
LUK.7.8	Inau tu ghilala tua na pukuna inau ghua so a sakai tu lutu sarana didira maana rana haba, mu loghora ghua rana malaghai tara kubolu tagua inau. Mu bosa vania gaia eni, ‘Ko tona!’ me tona, mu ghoi bosa vania ruana, ‘Mai ghua!’ me mai. Mu bosa vania nigua na seka, ‘Ko gonia te vagha eni!’ ma gaia ke gonia te vagha.”
LUK.7.9	Jesus te rongovighi na bosana na malaghai haba ni Rome eni, ge nia hare, me ririuoli vanira na vure tara tumuria ge ghaghua, “Inau tu bosa vanighau, u mua tapoa gatu mua siki tinoni ni Israel te loghoa na taluutuni te lalo te vaghaa te loghoa na mane eni!”
LUK.7.10	Tana bona rana kulana nina malaghai haba tara pulohi tana valena, mara righia nina seka te ghaota tua.
LUK.7.11	Murina vasoo eni ka, Jesus kolura nina vaovarongo, tara tona tana komu na ahana Nain. Mana vuresubo tara taonia. 
LUK.7.12	Mara va sara tana mataulana na peo ni komu ka, mana niala ni vuresubo tara rughuhoru mai tana mataulana na komu, tara holaa na tinoni mate, ge kara va tavughia. Mana tinoni mate eni ke na garimane vahuhu sosopa, dalena na samu vaivine. Mana vure subo ni komu eni tara udukolua na samu. 
LUK.7.13	Tana bona Jesus te righia na vaivine eni, ge arovia me bosa vania, “Ko bei tangi!” 
LUK.7.14	Keri ge sakutua me va tabea na sausaghu, ma gaira tara holaa na tinoni mate tara tughuru beto, ge bosa Jesus vania na tinoni mate, “Garimane, inau tu bosa vanigho gatu, ko tughuru dato.” 
LUK.7.15	Mana tinoni mate te sopou dato ge vuivuni ni kokoe, ma Jesus te va hea olia a tinana.
LUK.7.16	Ma gaira udolu te vonughira na mataghu mara holoutoa God mara ghaghua, “Na prophet sule te mai tate i ghobuda eni. A God te mai tua ge ke hangara nina vure!”
LUK.7.17	Mana ladana Jesus te saopoa tana bubulo i Judea talighu, maia tana lei buto ni komu i lilighina.
LUK.7.18	Ma John Vulitabu te rongovighi tadira nina vaovarongo lei totobo te gonighi Jesus, ge holora erua nina vaovarongo, 
LUK.7.19	me vetenara vaa itatana Lord, mo koro huatia, “?Ighoe sughua gaia na Messiah tara bosa ke mai, pa kai pitua siki sakai na keha?”
LUK.7.20	Ma gaira toro tona moro va sara ta Jesus ge ro vania, “A John Vulitabu te vetenaghai ge koro mai huatigho, ‘?Ighoe sughua gaia na Messiah tara bosaa ke mai, pa kai pitua siki sakai na keha?’”
LUK.7.21	Mi tana bona vaghana keri, subo na vure te kisu volara Jesus, rahei te kalera lei vata ni vahaghi maia gaira te haghevira lei tidalo dika, me subo tadira tara rorodo te kisura mara ghoi tangomana na vaevane oli. 
LUK.7.22	Keri ge bosa tughu Jesus vanira nina vaovarongo John me ghaghua, “Koro oli mo koro bosa vania John na hava toro vaevanei moro rongovighi tua. Rana rorodo tara ghoi vaevane oli, rana rapo tara ghoi sakutua, rana kuhu tara ghoi marabu oli, rana pui tara rongo, ma rana mate tara ghoi vola oli, ma na Rongorongo Uto tara taraira nia rana bona.
LUK.7.23	God ke vautora gaira tara mua loghoa siki ghanaghana ruarua itagua.”
LUK.7.24	Mi murina toro tona tua rana vaovarongo ta John, Jesus te vuivuni ni bosaana a John vanira na vuresubo, “?Tana bona tau va righia a John tana bona mamaha ke, mana hava na mane vaghana tau ghanaghana kau righia? ?Na tinoni te loghoa na taluutuni te mua ngasi, vaghaa na ade te ulubetu kolili te ghurihia na ghuri? Taho! 
LUK.7.25	?Na hava tau rughuhoru ni va righiana, na mane te nighi pupulu na lei tivi malebo? Taho! Na vure tara pupulu vaghaa keri ke, gaira tara kabu vunaghi tana vale ni Vunaghi haba! 
LUK.7.26	?Na hava tau rughuhoru ni righiana, na prophet? Eo, e utuni tua, ighau tau righia gaia te haba vulea na prophet. 
LUK.7.27	Na pukuna a John eni, God te bosa vania gaia tana Gegere tabu,
LUK.7.27	‘Inau ku diki vetena nigua tinoni holabosa,
LUK.7.27	ke diki vatia na halautu vanigho.’ 
LUK.7.28	Inau tu bosa vanighau, a John te vulera tua lei tinoni tara vahura i lokana na maramana eni. Ma hei gaia, te pile tana kinakabuna God, te haba vulea John.”
LUK.7.29	Mana vuresubo tara rongovia na bosana Jesus, haba va ghua gaira rana vahikolu rongo, tara liokolu ge na nilabu God te liona na vure ge kara taotaonia te maemane, na pukuna tara holopangotia na bosa ni keikeri ge kara tughulio, keri vaho ge vulitabura a John. 
LUK.7.30	Hauvaa ma rana Pharisee ma rana manetarai ni vetena nina Moses tara mua holopangotia na liona God i vuvungadira na pukuna tara mua tughulio, mara mua liona ge ke vulitabura a John.
LUK.7.31	Jesus te ghoi bosa so, “?Mana hava ku vavaghahara nia na vure ni taeni, mana hava te vaghara? 
LUK.7.32	Gaira te vaghara lei gari pile tara sopou tana maketi. Ma sakai na ovu te ghaeghahe halavu vania a sakai na ovu, ‘Ighai tai lovulovui vanighau na linge ni sonikolu mau mua ghavai! Maai lingei lei linge ni tautavughi, mau mua tangi so!’ 
LUK.7.33	Inau tu bosa eni, na pukuna tana bona a John Vulitabu te mai me talukau ni vanga, me mua inuvia siki wine, hauva mau bosa ke, ‘Agaia te loghoa na tidalo dika i lokana!’ 
LUK.7.34	Mi nau, na Dale Tinoni tu mai, mu vanga mu inu, ge au bosa, ‘Kau righia va na tinoni eni! Agaia te vangavanga ni voo me inu bulebule, a kuladira na vahikolu rongo ma rana tangohahi!’ 
LUK.7.35	Na manahana God te tate utuni sughua tua, i tadira tara holopangotia.”
LUK.7.36	A sakai na Pharisee te holoa Jesus, ge ke va vangakolua tana valena. Ma Jesus te tona me sopou ni vanga igaa. 
LUK.7.37	Mi tana komu keri te ghanaa igaa na vaivine te loghoa te subo na hahi tana na volana. Na vaivine eni te rongovia a Jesus te vaa vanga tana valena a sakai na Pharisee, ge lavia na beti uruuru, te sule ngangata na matena, me tona tana valena Simon. 
LUK.7.38	Geva tualaghi tuturu i murina Jesus, lilighi ni tuana me tangitangi, me bobonai na marevona Jesus nia na kolobu ni matana, ge ghuduri mamahai na kolobu nia na vuvulu ni uluna, me nonginongighi na tuana, ge kovalaa igaa na beti uruuru.
LUK.7.39	Mana Pharisee te righia na hava te nea na vaivine eni vania Jesus, ge ghanaghana heghena, “Ge teke prophet utuni sughua tua na mane eni ke, me ke ghilalaa ahei na vaivine vaghana te tabea, me ke ghilalaa ghua ivei te vaghaa na dikaana na volana na vaivine vaghana!”
LUK.7.40	Jesus te bosa vania na Pharisee me ghaghua, “Simon, inau te liogu ge ku bosaa vanigho gatu a sakai na totobo.”
LUK.7.40	Ge bosa tughu na Pharisee me ghaghua, “Eo, Tarai, ko bosaa vaniu mai na hava te liomu ko bosaa vaniu.”
LUK.7.41	Keri ge bosa Jesus, “A sakai na bona, erua na mane toro kaoni rongo itatana na mane loghorongo. A sakai te kaonighi e lima hangalatu ni rongo, me ruani te kaonighi lima hangavulu ni rongo. 
LUK.7.42	Me taho ahei tadira ke tughu olighi na rongo toro kaonighi tatana na mane loghorongo, keri ge talukehai vanira tua. ?Ahei tadira ra rua raini, te dolovi habaa na mane eni?”
LUK.7.43	Ma Simon te bosatughu, “Tana ghanaghanagu inau ke, ma gaia te hola kaui te subo na rongo.”
LUK.7.43	Jesus te ghoi bosatughu vania Simon, “Ighoe to bosa utuni tua.” 
LUK.7.44	Keri ge ririuoli Jesus va tana vaivine ge bosa vania Simon, “?Ighoe to righia mai na vaivine eni? Inau tu haghe tana valemu, mo mua heu vaghua siki beti ku saui nia na marevogu, mana vaivine eni te saui na marevogu nia na kolobu ni matana, me ghuduri mamahai nia na vuvulu ni uluna. 
LUK.7.45	Ighoe to mua holopangotiu nia na nonginongi, mana vaivine eni te mua soko mua na nonginongiani na marevogu vuivuni tu mai tua me sara i taeni. 
LUK.7.46	To mua heu siki betimalebo vania na ulugu, na vaivine eni te dalovighi na marevogu nia na beti uruuru. 
LUK.7.47	Inau tu bosa vanigho gatu itaeni, na lei paluna tara subo tara talukehai vania tua. Na pukuna eni, na dolo itatana na vaivine eni te tatea vaniu te sule ngangata. Ma hei God te talukeha vania te pile kikia, geva ke talutatea heghena nina dolo te pile vamua.” 
LUK.7.48	Ma Jesus te bosa vania na vaivine, “Na lei palumu tu talukehai vanigho tua.”
LUK.7.49	Mana balu tara sopou tana bela tara sopa bosa heghedira, “?Ahei na tinoni vaghana eni? God vamua te talukehai na palu!”
LUK.7.50	Ma Jesus te bosa vania na vaivine, “Nimua na taluutuni te vavolagho tua. Ko tona tana mabo.”
LUK.8.1	Me mua hau murina eni, Jesus te tona tana lei komu sule mana komu pile, me nia tarai ga na Rongorongo Uto taonia na kinakabuna God. Ma rana lei manevetena ara hangavulu rua tara nia udukolu, 
LUK.8.2	ma gaira ghua na balu vaivine te kisu volara tua tana tidalo dika mi tana lei vahaghi. A Mary (tara holoa nia ghua a Magdalene,
LUK.8.3	Joanna, a tauna Chuza te vunaghi tana valena na vunaghi haba Herod Antipas, ma Susanna mana balu vaivine ghua, tara hangara ta didira lologho heghedira, Jesus ma nina lei vaovarongo.
LUK.8.4	Mana vure subo tara mai righia Jesus tara va mai tana lei komu, mana bona tara savukolu mai tatana na vuresubo ka, ge bosaa vanira na bosa vavaghaha eni, 
LUK.8.5	“Sakai na bona sakai na mane te va havukaghinighi na vuavua ni wheat lokana nina leghai. Mi tana bona te havukaghinighi na vuavua, na balu tara tumuhoru i ghobu ni halautu, mara turi panapanai ga tara sakutua, mana lei manu tara ghani sokoi. 
LUK.8.6	Mana balu tara tumuhoru vuvunga ni saesape ni vatu, tara totolo dato, hauvaa mara ghoi sasagha so, na pukuna te mua paku na pari ga. 
LUK.8.7	Balu vuavua tara tumuhoru i ghobu ni tautalu kaukarugha, mara totolo dato kolura na tautalu kaukarua, me pono kuvira mara vuha mate. 
LUK.8.8	Mana balu vuavua tara tumuhoru tana pari uto, ma gaira tara totolo, mara vangagha, subo vulei na vuavua tara subai.”
LUK.8.8	Me bosa sokoi lei bosa raini Jesus, ge ghaeghahe me ghaghua, “Ahei te liona na ghilalaana na bosagu ke, me ke rongoviu mai!”
LUK.8.9	Ma nina vaovarongo tara huatia na hava na ghanaghana igaa na bosa vavaghaha eni. 
LUK.8.10	Jesus te bosa tughu me ghaghua, “A God te neghau ighau nigua na lei vaovarongo, tau taluutuniu, ge kau ghilalai na lei ghanaghana te polo tana kinakabuna, ma vanira arahei tara mua taotaoniu tu kokoe vanira tana bosa vavaghaha, keri ge na hava na Gegere Tabu te bosaa ke kale,
LUK.8.10	‘Na vure raini tara rongo vamua,
LUK.8.10	ma kara mua rongo vakodo.
LUK.8.10	Ma gaira kara reirei vamua,
LUK.8.10	ma kara mua reirei vakale.” 
LUK.8.11	“Aeni na ghanaghana igaa na bosa vavaghaha, Na vuavua eni gaia, na bosana God. 
LUK.8.12	Na vuavua tara tumuhoru i ghobu ni halautu, te vaghara gaira tara rongovia sughua na bosana God, hauvaa, ma Satan te mai me lavikehaa na rongorongo tana tobadira ge kara bei taluutuni, ma kara bei nia vola gea na bosana God. 
LUK.8.13	Na lei vuavua tara tumuhoru vuvunga ni saesape ni vatu te vaghara, gaira tara rongovia na bosana God mara nia togotogo pile bona vamua, hauvaa, me mua lalo didira taluutuni, tana bona te mai na tabotabo, mara tumu ta didira na taluutuni na pukuna te kubolu didira taluutuni. 
LUK.8.14	Na lei vuavua tara tumu i ghobu ni tautalu kaukarugha te vaghara, gaira tara rongovia na bosana God, hauvaa, mana lei viri mana lologho, mana togotogo ni maramana, te saurura mara mua totolo uto ma kara vangagha. 
LUK.8.15	Mana vuavua tara tumuhoru tana pari uto te vaghara gaira tara rongovia na bosana God mara taluutunia, mara nia barebare haia tua tana tobadira, mara nia vangagha tana voladira.
LUK.8.16	“Taho siki sakai ke tungia na bulu ge ke saropoloa, pe ke talua sarana na malei ghime. Ra talua i ghobu ni vale tana vatei taribulu ge kara reirei na vure tara haghe mai i lokana na vale.
LUK.8.17	Na lei totobo tara polo, geva kara tate, mana hava tua tara saropoloa geva ke tate ma kara lavia mai tana marara.
LUK.8.18	Keri ge kau ghilalaa utoa na hava tau rongovia, na pukuna God ke hera na manaha sule rahei tara pangotia nigua bosa ni tarai! Ma vanira gaira tara mua rongoviu, sughua na hava tara ghanaghana tara ghilalaa, kara lavikehaa itadira.” 
LUK.8.19	Ma tinana ma rana lei hoghona Jesus tara mai righia, mara mua tangomana na va dutuviana na pukuna na vuresubo iga. 
LUK.8.20	A siki sakai te bosa vania Jesus, “Agaira tinamu ma rana hoghomu tara tughuru i pari bebete, mara liona ge kara kokoe kolugho.”
LUK.8.21	Ge bosa Jesus, “Gaira tara rongovia na bosana God mara taonia, agaira a tinagu ma rana hoghogu.”
LUK.8.22	Mi ta sakai na bongi Jesus te bosa vanira nina vaovarongo, “Gatu ghita ma ka halavu i levu ni kolokama.” Keri ge ra haehaghe tana tiola ni Jew mara tona halavu i levudari. 
LUK.8.23	Mi tana bona tara kale halavu Jesus te maturu. Hau pile vasoo, me mai na ghuri sule lokana na kolokama ge kalera, me haghe mai na beti lokana na tiola mara dutu ni luvu. 
LUK.8.24	Ma rana vaovarongo tara alihia Jesus, “Maghutu! Maghutu! Ighita ta dutu ni luvu ma ka mate!”
LUK.8.24	Ge tughuru Jesus me pasara na ghuri mana maraghata, “Koro beto!” ge ro beto me tada na beata. 
LUK.8.25	Ma Jesus te bosa vanira nina vaovarongo, “?E ghua ge au mua taluutuniu?”
LUK.8.25	Gaira tara mataghu me maro na mangadira, ge ra sopa huahuati heghedira, “?Ahei vaho tua na tinoni vaghana eni? Te bosa laga vanira na ghuri mana maraghata ge koro beto moro taonia na bosana.”
LUK.8.26	Jesus ma nina vaovarongo tara tona mara va saravighi lei buto ni komu ni Gerasa,
LUK.8.27	Me mua rua ni soghalonga mua Jesus ka, me mai righia tua sakai na mane ni komu, te haghevia lei tidalo dika. E daro ni bona mai tua te ole soesole na mane eni, me mua ghana betoa ta siki vale, mi lokani lei vatuluma vamua, tara tavughira igaa tara mate te ghanaa tana lei bongina mai tua. 
LUK.8.28+LUK.8.29	Subo na bona tara maana pungisia na lei tidalo dika na mane eni. Lei tinoni tara pitighi nia na talihalo na tuana mana limana mara barebarea, hauvaa me kosoi so, ma rana lei tidalo dika tara ghuru tonaa tana bona aroha.
LUK.8.28+LUK.8.29	Jesus te keikerira na tidalo dika itatana, “Kau rughuhoru itatana!”
LUK.8.28+LUK.8.29	Tana bona na mane eni te righia Jesus ge tumu horu tana pari. Na mane te ghaeghahe me ghaghua, “Jesus, Dalena God Puku ni Haba! ?Na hava to liona itagua? Inau tu nongigho ko bei heu gea siki totoro!”
LUK.8.30	Ma Jesus te huatia na mane, “?Ahei na ahamu ighoe?”
LUK.8.30	Ge bosatughu na mane, “Na ahagu inau ke ‘Mavitu’. Te nea ga na bosa pukuna subo na tidalo dika tara haghevia.” 
LUK.8.31	Na lei tidalo dika raini tara nongi ngangataa tua Jesus, ge ke bei vetenara vaa tana bona ni totoro.
LUK.8.32	Mi tana bona keri na volivoli ni bolo tara humehume tana puku ni ghotu. Ma rana tidalo dika tara nongia Jesus ge ke vetenara vaa i tadira na lei bolo ge kara vaa haghe i lokadira, me nea te vaghaa. 
LUK.8.33	Keri ge ra rughuhoru lokana na mane, mara vaa rughuhaghe lokadira na bolo. Mana volivoli udolu tara sama sughi horu tana sosoghola mara sosogha horu lokana na kolokama ni beti mara lulumi.
LUK.8.34	Gaira lei mane tara righitaonira na bolo tara righia na hava te kale, mara sama mara vaa ladavaghinia tana lei komu sule mana pile na hava tara righia. 
LUK.8.35	Na vure ghua tara tona mara vaa righia na hava te kale. Mara va sara ta Jesus ka, mara righia na mane tara rughuhoru tua na lei tidalo dika itatana, te sopou lilighina Jesus, te pipisi me pupulu, me mahebo na liona. Mana lei vure tara mataghu. 
LUK.8.36	Agaira tara righia na hava te kale eni, tara tutugu vanira na vuresubo ivei te nea Jesus na mane ge uto. 
LUK.8.37	Mana vure ni buto ni komu talighu tara nongia Jesus ge ke tona keha i tadira na pukuna tara mataghunia. Ge oli Jesus tana tiola me tona halavu i levuna na kolokama. 
LUK.8.38	Mana mane te kurutia Jesus me ghaghua, “Ko talagu, mu ku nigho udu.” 
LUK.8.39	Ma Jesus te vetenaa keha me ghaghua vania, “Taho! Ko oli tana komumu, mo ko tughunitatea vania nimua na binaboli, na lei totobo uto te nei God vanigho.” Keri ge tona na mane me bosa vanira lei vure soko tana komu, na hava te nea Jesus vania.
LUK.8.40	Ma Jesus te ghoi oli halavu tana komu te va mai ga levuna na kolokama ni beti, mana vuresubo tara holopangotia tana bona te saralonga, na pukuna te hau tua tara pitua na oliana mai. 
LUK.8.41	A sakai na mane na ahana Jairus te va mai ta Jesus. Gaia a sakai tadira rana Haba ni Vale kokoeliulivuti tana komu keri. Gaia te mai ta Jesus ge poghotao tana tuana, me nongia ge ke vaa tana valena, 
LUK.8.42	na pukuna a dalena na tahula vahusosopa te hangavulu rua na niuluna, te dutu ni mate.
LUK.8.42	Tana bona Jesus te sakutua me tona kolua, rana vuresubo tara dukulia, mara kililia. 
LUK.8.43	I ghobuna na vuresubo eni ke, a sakai na vaivine te tave na ghabu e hangavulu rua tua na niulu,
LUK.8.44	Na vaivine eni te va mai i murina Jesus, me tabea mua na sosokona nina pupulu ka, me beto tesakai tua na tave ni ghabu. 
LUK.8.45	Ge huahuati Jesus, “?Ahei te tabeu?”
LUK.8.45	Agaira udolu tara hughu, ma Peter te bosa vania, “Maghutu, ighoe to righia tua na vuresubo te duduku me kakata talighutigho. ?E ghua ge o huahuati vaghaa keri?”
LUK.8.46	Jesus te ghoi bosa so, “A siki sakai te tabeu na pukuna tu ghilalaa na bona te rughuhoru na maana itagua.” 
LUK.8.47	Me vahola vania tua na vaivine ge ke polo, ge mai poghotao horu tana tuana Jesus me tatata. Igaa tana mata ni vuresubo ge bosaa vania Jesus na hava na pukuna ge tabea nina tivi, mi vei tea na beto sakai na vahaghi te kalea. 
LUK.8.48	Ge bosa Jesus vania na vaivine, “Dalegu, nimua taluutuni te negho ge o uto. Ko tona tana mabo.”
LUK.8.49	Me bosa sokoa vasoo Jesus na bosa eni ka, mana tinoni te lavia mai na rongorongo tana valena Jarius te sara, me mai bosa vania Jairus, na huhuli ni vale kokoeliulivuti ni Jew, me ghaghua, “A dalemu na tahula te mate tua, mo ko bei lavibuleana gea na Tarai.”
LUK.8.50	Jesus te rongovia na rongorongo, ge bosa vania Jairus, “Ko bei mataghu gea, ko taluutuniu vamua, me ke vola na dalemu.”
LUK.8.51	Mi tana bona te va sara tana valena Jairus ka, me hove pungisia ahei ke haghe kolua tana vale, a Peter ma John ma James vamua, maia tinana ma tamana na tahula. 
LUK.8.52	Ra haghe tana vale, ma gaira udolu lokana na vale tara nia dikalio mara tangihia na gari. Ge bosa Jesus, “Kau bei tangi! Na gari eni te mua mate, gaia te maturu nina vamua.”
LUK.8.53	Gaira udolu tara batobatoa na pukuna tara ghilala na tahula te mate sughua tua. 
