MRK.1.1	Ne Adaghsaweaghtsera ne Gospel Jesus Christ ne Niyoh Royè‐ah.
MRK.6.55	Neoni watyoraghdade Enakeraghserakoughs?-?houh nene agwègouh Tsiniyenakeraghsera okt‐hade?-?yogwadasèdouh, neoni dayondaghsawea ne yehhawe?-?nondyèse Kanakdàge ne n’et‐ho n’Yakonoughwakdany, tsinòewe n’ìre waòerónke.
MRK.6.56	Neoni tsioknòewe yehhadaweyade, et‐ho tsi?-?Kanadayendòe‐ah, Kanadakoh deas, agwagh ne deas nok t’hiyenakeronnyouh, et‐ho wa‐èyea n’Yakonoughwakdany Tsidekanadogeaghserouh, neoni wahhoewarighwanègea nenè ne ok oni togah oghstòeha yayeyèna tsiyotsde ne Raodyadawid: neoni asè tsi?-?nikouh ne oghstoeha yaoro‐oghde raouhhàge, sy?-?yeyadagwekhene sayòendouh.
MRK.7.1	Et‐hoghke waoèwe oghseròeny raouhhà‐ge ne Pharisees, neoni ná nè Rought‐harrha, ne na‐ah ne Jerusalem nongà tahhòneghde.
MRK.7.2	Neoni ne ònea waghs‐hakonat‐kaght‐ho oddyake ne Raotyoughkwa wahhadinàdarake Radis?-?noughsahetkea (nene ayaìrouh, yagh‐deyakoghts?-?yóhhare) ne wahhadirighwats‐heàry ne na‐ah ho?-?dirighwannhìge.
MRK.7.3	Ikea ne Pharisees, neoni agwègouh ne ne Jews?-?hàga, niyàre eantewatyèreaghte eayoughtsyohhare, et‐hòne deayontskàhouh, radirighweahhawe ne Ra?-?dighkowàneaghse ne Takarighwadattye Karighwagàyouh.
MRK.7.4	Neoni ne ònea Tsityonkeghrontaghkwa don?-?dayeyeaghdàghkwa, et‐ho àre enoughtsyohharehhe, yaght‐ha dahhontskàhouh. Neoni èso Yorìwake oyàs‐hou n’adekarihhodeàse ne egh tsineayoghdouh ne na‐ah rodiyènah n’eahhadirighweahhàwake, ne nonkea ne n’yenohhare ne Kerat, Cup‐hogòe‐ah, neoni Katshe sòe‐ah Karistatsisòe‐ah Kèrat, neoni n’Adekwaghraghk‐hogòe‐ah.
MRK.7.5	Et‐hoghke ne Pharisees neoni ne Rought‐harrha Raòuhha shahhoewarighwanòendoughse, (wahhonnìrouh) Oghna‐ah yaghnèh tehhonaderatt?-?yeh ne Seantyouhhkwa Tsinikarihhòdea ne Radikowaneaghse radirighweahhawe, ok ràdiks Kanadarohk yaghsè tehhonaghtsyohhare?
MRK.7.6	Raouhha dontahhadàdy waghshakaweahhaghse, Et‐hoghtsy tsinihoyèrea ne Esaias ìse eghtshisewea?-?douhhouh tsinit‐haweànade yageà‐ah Sewarigh?-?wiyoghsdon, (t’hiyeyakonoeweàghdon) asè eghnì?-?youht kaghyàdouh, keakayea Ronongwe rong?-?konnyeag st‐ha ne (Radighsène) Radighskwean?-?dàge, ok ne Raoneriàne ìnouh tsi‐nè‐n’adeyagwadere.
MRK.7.7	Ne non’kea‐kaghsdontsdòu, tsinihontyèrha ronouhha yongweanideaghseghs, shakodirihhonnyèny ikea Tsinakarihhòtea ne n’Ongwe Yakorighwissouh Akoghtyawearats‐hera.
MRK.7.8	Ikea akta wesewattyeghde tsinighst‐hiseweàny ne Niyoh roghtyawearàdouh, ne sewayenawàgouh ok Ayondoughtsera Ongwe Akorìwa, ne nonkea eayenohhare ne Katshesòe‐ah neoni Cuphogòe‐ah: neoni yotkàde oyàshou Eghnikarihhòtease eghnise?-?wàyerrha.
MRK.7.9	Neoni waghsakaweahhaghse ronouhha, kanànouh ise wesewaweanòndyh tsinìgouh eghtshiseweanìghne Niyoh nene a‐esewarighwawàkhouh Karighwadáttye ok Ayondoughtsèra tsyouhhà Aghsewarìwa.
MRK.7.10	Ikea Moses ràwea eghtskonnyughst‐hak ne Yanihha neoni Sanisteahha: ne oughkakiok karigh?-?waksea eahaweahhaghse ne Ronihha tòga deas Ronisteahha, reahhey Keàhheyàtne.
MRK.7.11	Ok sewàdouh, tògát ne Rongwe ahhaweaghse ne Ronihha Ronisteaha deas‐heàweah, Corban, et‐ho niyoughtouhhatye, ne nonkea ne aìrou, Wakòeyoh, oghkìok nahhòtea ònea teayonderighwàtsha: ònea kì ok theayondadeweanìyoke.
MRK.7.12	Neoni ònea degh tsisewaweanìyoghsde ne eaheanoughdou ne eahshakoweànaraghkwe ne Ronihha Ronisdeahhah deas heàwea:
MRK.7.13	Tsyonnighsne Raoweàna ne Niyoh ne n’yagh?-?ot‐hènou t’yadayorihhòndáne keat’kàyea aorìwa nesè warighweahhawe Karighwagàyouh Karighwa?-?dattye, ne nà‐ah yetsirighwàwyh: èso Yorìwake ne sàkah eghnikarihhòtease ne èt‐ho ni‐sewatyerrha.
MRK.7.14	Neoni ne ònea yaghsakoroughyehhare agwègouh ne Ongwe raouhhage, waghsakaweahhaghse ronouhha, Takwadahhoughsadats tsyadahhoughsadat Ilghne ni‐yadetsyongwèdake, neoni sewàronk.
MRK.7.15	Yagh ne kea othènou ne átsdeh‐nahhoyeròn?-?dadihhou dakayeaghdaghkwe ahodaweyàdea ahha?-?ongwedahhétkeghde ne Ròngwe: ok kea deagh gàyea ne nà‐ah ne raouhhatseràgoh eant‐kayàgeane, ne deagh nòe nà n’èt‐ho eahaongwedahhetkeaghde ne Ròngweh.
MRK.7.16	Niyadetsyongwèdake ne Tehhahoughdónde raghronkàt‐ha, ràronk kì assah ne tsinikàdouh.
MRK.7.17	Neoni ne onea yehhodaweyàdouh Kanoughsagouh et‐ho tahhayeaghdaghkwe tsiyakotkeanìs?-?soe‐òne, raouhha Raotyoughkwa sahoewarighwa?-?nondoughse raouhha tsiniyotyèrea ne Tekarigh?-?wageawaghdouh.
MRK.7.18	Neoni waghs‐hakaweahhaghse ne ronouhha, yagh kea ne kea desewaghrùnk‐ha oni kea n’ìse? yagh kea t’hiyesewanikoughrayèndáse nenè tsiok nahhòtea àtsdeh n’ahoyerondadighne Rongwe ne nonkea ne ot‐hènouh àrake, yaghde yàweght a‐ha?-?ongwedahhetkeaghde;
MRK.7.19	Asé kea ne wahhòeni yagh Raweriàne thi?-?yaondaweyade, Ranegweàndakoh ok, neoni sakayà?-?geáne ne atsdeh sahhàdouh doesahotyadohhetsde, agwègouh tsi‐n’ìraks?
MRK.7.20	Neoni wahheàrouh, nene dàweghde dakayàgeane nà‐ah ne raouhha tseràgouh, nè‐eh eah?-?haongwedahhetkeaghde ne Rongweh.
MRK.7.21	Ikea dakayeaghdaghkwe nàkouh, Raweriaghsakouh nonkàdih ne Rongweh, t’houghdeandy yodakshea Eanoughdonnyoughtsera, Kanaghkwa Karighwanerea, teyontyeronnyoughs Kanaghkwa, Ayon?-?datterìyoh,
MRK.7.22	Yeneaghsgwaghs, Yakonìyouh, Yodáksease, Yaghdetyerighwayèrits Yakonigoughrontyedàtskouh, Yakonòss‐heah, Roewats‐haweanoryàt‐ha ne Niyoh, Kanayèghtsera, Karighwagwègouh ne yòdegh n’a?-?karihòtea.
MRK.7.23	Agwègouh nene keagàyea Tsiniyorìwake yodaks‐heàse dàweghde nàgouh nonkàdy, neoni wahhoegwedahhetkeaghde ne Ongweh nà‐ah.
MRK.7.24	Neoni wahatketskoh et‐ho yahayeghdagh?-?kwe neoni wàreghde Tsinadewadoughwhentsyak?-?dattye n’anè Tyre neoni Sidon, neoni yahhadaweyade Kanoughsagouh, neoni rerhaghkwe yaghoughka n’Ongwe t’hayakoderyèndaráne; ok yaghde yodòe‐ouh n’ahadaghseghde.
MRK.7.25	Ikea kayadatògea Tyodhoewìsea aouhha Ako?-?yèa‐ah kea nityakoyeàhaghne yakotyeàny wahhétkea Kanigòera, ne nà‐ah wa‐òeronke raouhha, neoni wà‐oewe et‐ho Raghsìge ontyadòndy.
MRK.7.26	(Ne Tyodhoewìsea n’akayatòdea nà Greek, Syrophenician n’Aoughwhentsyòdea) neoni raouhha wahhorighwanègea nene àrere kyadinnegeaghne Oneghs‐houghrònouh n’Akoyè‐a yakotyeànyh.
MRK.7.27	Ok Jesus waghreahhaghse aouhha, Nyàre eayakoghdàne eandewatyèreghte n’Iksaogòe‐ah: Ikea yagheghdeghkarihhòdea ne da‐ayeghkwe ne Iks?-?ha‐gòeah Ako‐nadaroh’k, yakòewannattyease Erhar.
MRK.7.28	Neoni t’hondondàde neoni wageàrouh raouhhàge, et‐ho, Sayàner: sègoh sàne Erhar ne nàah nya?-?deyakorighweyaghstouh nàgouh Atekwaghraghkse?-?rògouh eakòndike ne Ikshaogòe‐ah enyakonisereàsy Onawatsisdasòe‐ah.
MRK.7.29	Neoni waghreghaghse aouhha, Ikea tsinegeà n’aghsìrouh wàghnyoh sasaghdeàndy, ne Oneghs?-?oghrònouh sakayàgeane n’yakotyeanighne ne She?-?yeà‐ah.
MRK.7.30	Neoni ne onea yahhòesoewe ne Tsityonough?-?sode, ne waotòkeaghse ne Oneghs‐hoghrònouh t’syoyageà‐ouh, n’Akoyeà‐ah yakotyeanìghne yeya?-?tyòeny Kanakdàge.
MRK.7.31	Neoni àre èrea sàreghde ne et‐ho nonkàdih Tyre neoni Sidon, et‐ho sàrawe ne Kanyadaràge ne Galilee, ne sadewaghseànea ne tsiwadoughwent?-?syàde ne Decapolis.
MRK.7.32	Neoni ronouhha et‐ho wayàt‐hewe raouhhage sayàdah tehahhoughtagwègouh, neoni Rawea?-?naks‐heah; Neoni wahhoeweanideàghtea ne ya?-?honisnoughsarea raouhhàge.
MRK.7.33	Neoni raòuhha akta wahoyadeahhàwighde ne tsinoeniyakotkeanissouh, neoni Yahheanisnough?-?sàtta raouhha ne Rahoùghdágouh, neoni raouhha wahhanitskerarrhoh, neoni kea niyahhàyere ne Reanaghsàge.
MRK.7.34	Neoni yahhatkaght‐ho Karoughyàge sah?-?hoeriserakèrea neoni wahheàrouh wahhaweahhaghse raougha, Ephphatha, ne na‐àh, waden?-?hodònkoh.
MRK.7.35	Neoni agwagh oksaok ne Rahoughsàge on?-?denhodònkouh, neoni tsiyoghsaradattye ne Reanaghsàge ont‐derighsy, neoni raouhha wahhadàdy yogh?-?rònkàt ok hadenosèrhea.
MRK.7.36	Neoni raouhha waghsakorihhóndea ronouhha waghsakodàdy nene yagh kea n’Ongwe t’ha‐agh?-?sakodighroryàne. Ok negea tsisouhha èso waghsakorihhóndea ronouhha, n eadeaghnòe souhha èso wahhaderihhòwanaghde (wat‐haderighwarenyade) ronouhha.
MRK.7.37	Neoni nà‐ah ne yeyodohhetsdouh ne wa?-?akorighwaneghràgouh, wàighronnyoh agwègouh, t’hiyoyannère Raouhha tsinahhàyere: wahhagwèny sayòeronke ne Teyonhoughdagwègouh, neoni waondàdy n’yagh deyondadìhhaghkwe.
MRK.8.1	Et‐hone nòewe Niweghniseràdegkwe agwagh Keantyoghkowànea, neoni yaghot‐hènouh de?-?yakòyea nàyeke, Jesus yaghsakònonke ne Raotyoughkwa raouhhàge, neoni waghsakaweáhhaghse.
MRK.8.2	Wahhèdeare nekea Tsinikeantyoughkwa, ne wahhòeni ne ronouhha onea aghsea Nonda shiyak?-?wèse neoni yaghot‐henouh tehhodìyea n’aha?-?dike.
MRK.8.3	Neoni toga nonkeah oesakheyadègwaghde oesahhoughdeàndy yagh‐dekhodiniahhat tsinòe t’ho?-?dinoughsòdouh eahonadakeaghrokweghse tsiniyeas?-?hòne: Ikea niyadeyongwèdage ne ìnouh shoni?-?tyakawenoughserouh.
MRK.8.4	Neoni Raotyoughkwa tondahhondàdy raouhhàge, kà n’ondayehhawe ayegwèny Ongwe aya?-?koghdàne tsi‐nekea nikeantyoughkwa Ronnongwe ne Kanadarohk ahoewadìnonde ne keant‐hoh Karhàgouh?
MRK.8.5	Neoni waghsakorighwanòndòese ronouhha, do nikanadaràge sewàyea? neoni wahhonnìrouh, Tsyàdaghk.
MRK.8.6	Neoni waghsakaweahhaghse ne tsinikeantyoughkwa ne eghdàge Oghwentsyàge ayondeda?-?ràyea: neoni wàtraghkwe ne tsyàdaghk nikanadaràge, neoni wahhadoughraghserouh, neoni wat‐hà?-?yàkhoh, neoni yas‐hagàouh ne Raotyoughkwa ne oheàndouh as‐hakodigeghròehaghse: neoni et‐ho n’ahadìyere oheàndouh wahhadìyea Tsikeantyogh?-?gwayea.
MRK.8.7	Neoni toghkarra Nikeantsyàge rodiyèndagh?-?kwe: neoni wahayadadèrighsde, neoni waghsako?-?rihhòndea ne Raotyoughkwa nene oheandou‐òne asakodìhhaghse.
MRK.8.8	Et‐ho na‐àweane wahhàdike, neoni n’awahho?-?nàghdane: neoni doesaghdighkwe ne teyokwagh?-?rìouh tsinayodàdeare tsinìkouh wahhòdighkwe, ne nà‐ah tsyàdagk Niwat‐hèrake.
MRK.8.9	Neoni ne nan’èh wahhàdike nà‐ah kayèrih oughde Niweannyàwe‐eghtseraghsea: neoni sagh?-?sakodègwaghde sahhoughdeàndy.
MRK.8.10	Neoni agwagh oksaok wahhadìtta Kahhoeweyakowaghne yehhadigwègouh Raotyoughgwa, neoni wahhònewe et‐ho nonkàdighkouh ne Dal?-?manutha Wadoughwentsyàde.
MRK.8.11	Neoni ne Pharisees wahhònewe, neoni tahhondaghsawea ne wahhoewarighwanondonn?-?youghse raouhha, radirighwìsaks raouhhàge ne Yotyanàdouh Karoughyàge ondàweghde, tehhoe?-?wadeanageraght‐ha.
MRK.8.12	Neoni ne sahha‐oeryagèrea watyosereàny ne Raonigòeragouh, neoni wahheàrou, oghnà‐ah eghna‐èyere ne kea Yeghnegwaghsade yakèsaks Yotyanàdouh? agwagh wagweahhaghse yaghtea Yotyanàdouh t’hayondàdouh ne kea Kaghnegwàgh?-?sade.
MRK.8.13	Neoni èrea sàreghde ronouhhàge, neoni sahhaditta Kahhoeweyakòwah, n’egh àre sàreghde ne èrea nonkàdighkouh.
MRK.8.14	Noewa nà ne Raotyoughkwa yagh deshon?-?nèyaghre n’ahhodihha ne Kanadarohk, yagh òni ne Kahhoeweyakowaghne dèweh Skanadaràt?-?hok.
MRK.8.15	Neoni waghs‐hakoghretsyàrouh, wahheàrouh, tsyattadenigoerareah, toghsa ne a‐esewàráne ne Raonatteagwaght‐ha (Leaven) ne Pharisees, ok oni ne Raotteagwaght‐ha Herod.
MRK.8.16	Neoni wahhoederyendayèndoewe ronouhha Raodityoughgwagoh, wahhonighronnyouh, ne kì nàh wahhòeni ne yagh deyongwàyea Kanadarohk.
MRK.8.17	Neoni né ònea Jesus wahhotògeaghse, waghsakaweahhaghse ronouhha, oghna‐ah wesewaderien?-?dayèndoewe, wahhòeni yagh desewàyea ne Kanadarohk? yagh keah thiyesewanikoughrayèndáse shègoh yagh oni desewaghrònkaghs? shègoh kea yognnirrhà‐ouh ne Seweriàne?
MRK.8.18	Desewakaghkàronde yagh desewàkeah? neoni desewahoùghdonde, yagh desewaghrunk‐ha? neoni yagh kea ne kea desewèyaghre?
MRK.8.19	Ne ònea shadékhrighde ne wisk ne Kanada?-?ràge Keantyoughgwàgouh wisk Niweanyawe‐egh?-?tseraghs‐hèa, do Niwat‐hèrake t’hitkahhere tsisewa?-?nougagwàsouh ne yokgwaghrìouh? wahhoeweahhaghse tekeni‐yaweàre.
MRK.8.20	Neoni ne ònea ne tsyàdagh Keantyoughgwa?-?gouh ne kayèri Niweannyawe‐eghtseraghsea, do ni‐Wat‐hèrake thitkahhere tsisewanoughgwàsouh ne deyokgwaghrìouh? neoni wahhonìrouh tsyàdaghk.
MRK.8.21	Neoni waghsakaweahhaghse ronouhha, ogh?-?nì yotyèrea ne kea‐eah ne yagndé sewaghrunk‐ha?
MRK.8.22	Neoni et‐ho wàrawe yahhàrawe Bethsaida, neoni et‐ho wahhoewayàt‐hewe Tehharoewègouh ne Ronwe raouhhàge, neoni wahhoewarighwanègea ne kea niyahòyére raouhha.
MRK.8.23	Neoni wanhonunts‐ha ne Tehharoewègouh, wahhoyadinnegeawe ne Kanàdagouh; neoni ne onea waheanitskerarhòh ne Rakaghdège, waghnisnough?-?sarea, wahhorighwanòndoughse do waghsatkaght?-?hoh kea?
MRK.8.24	Neoni yahhatkaght‐ho, neoni wahhe‐rouh, tekhkànere Ongwe anyough Karònda ì‐yea.
MRK.8.25	Oghnakeanke, yoesahheanisnughsarea àre ne Rakaghdège, neoni wahhaweaghse yonsahhat?-?kaght‐ho: neoni raouhha sahhàdouh, neoni wahhà?-?gea waghs‐hakògea n’Ongwehògouh ok adeanoeser?-?hea yògeant.
MRK.8.26	Neoni sahhodègwaghde tsinonkà Th’onough?-?sode, wahheàrouh, yaghoni Kanàdagouh t’hoesagh?-?sede, yagh‐oni oughka t’ha‐aghseghròri ne kea ne Kanàdagouh.
MRK.8.27	Neoni Jesus wàreghde wahhayàgeane, neoni ne Raotyoughkwa nonkàdyh Kanàdagouh nanè Cesarea Philippi: Neoni ok ne tsiròne raouhha waghshakorighwanòndoughse ne Raotyoughkwa, wahhearouh, t’hènou yòndonnyoh n’Ongwe nene oughka n’I‐Ih?
MRK.8.28	Neoni tondahhondàdy raouhhàge, John ne Shakoghnekosseraghs: ok oddiake yòndouh, Elias; neoni t’higàdes‐hoe yòndou, ne easkagh ne Prophet?-?hogòekeaha.
MRK.8.29	Neoni waghshakaweahhaghse ronouhha, ok oughka kàdy n’ìse seweàrouh n’I‐Ih? Neoni Peter tondahhadàdy neoni wahhaweahhaghse raouhha, ìse wahhy ne Christ.
MRK.8.30	Neoni waghsakorihhóndea ronouhha nene yaghhoughka n’Ongwe da‐aghshakodighroriàne ne nà‐ah ne Raouhha.
MRK.8.31	Neoni raouhha tahhadaghsawea waghsakorihhonnyeh, ne wahheàrouh Ongwe Roewayeà‐ah agwaghok eahharoughyàgea èso Yorìwage, neoni yaght’ha hoewaweànaraghkwe ne Radikowaneaghse neoni ne T’hadiyadagwenìyose ne Raditsihughslatsy neoni ne Rought‐harrha, neoni ne eahhoewarryoh, neoni oghnakeanke ne aghsea Niweghniseràge eaha?-?ketskoh àre.
MRK.8.32	Neoni raouhha wahhadàdy ne ne tsinahheàrouh ok t’hont kwat‐ho. Neoni Peter wahhotkòndea, neoni tahhadaghsawea ne wahhòrisde raouhha wahhori?-?waghstea.
MRK.8.33	Ok ne ònea wat‐hatkarrhatdenihhouh, neoni deghsakokaghneronnyouh ne Raotyoughkwa, raouhha wahhòrisde Peter, wahheàrouh, aknàgea seght, ìse Satan: Ikea ise yagh‐deghsenòewese nene Niyoh tsinihanòewese, ok deaghnòe ne‐è tsinahhòtea‐shòe ne Ongwèghne Akorìwa.
MRK.8.34	Neoni ne ònea yaghsakònonke n’Onwehhògou raouhhàge, yehhadigwègouh ne Raotyoughkwa oni, waghsakaweahhaghse ronouhha, ok kágìok yenòewese n’eatyonksereghde I‐Ih, kìnyoh raderighwadègouh raouhha tseràgouh, neoni dèrághk Raoyághsa, neoni raknonderattyeght I‐Ih.
MRK.8.35	Ikea oughkakìok ranòewese teahhonough?-?yànige tsirón‐he, eahhoghdòese nà‐ah; ok oughkakìok eahhoghdòese tsiron‐he ikea ne I eankerih?-?hòeny neoni ne Gospel Orighwadogeaghty, ne sa?-?eyàdat nà‐ah eantsyondattyadògouh.
MRK.8.36	Ikea oghnà nahhòrea yeahhatseanonnyade ne Rongwe, toga‐noe‐keah Oughwentsyagwègouh ahhadeweanìyoghsde, neoni akayadàghtouh ne raouhha Raodonhets?
MRK.8.37	Ne deas oghnahhòtea ne Rongwe a‐aghsa?-?gàouh ne dahhadàdou ne Raodònhets?
MRK.8.38	Oughkakìok kàdy eayongwadéhhàse I‐Ih, neoni ne Akeweàna ne kea‐eah Kanaghkwayako?-?righwanneràkskouh neoni Yakorighwanneràkskouh Eghnegwaghsa; Raouhha kàdy ok‐hare nea‐nè?-?eh oni eas‐hodéhhàse ne Ongwe Roewayeà‐ah ne onea eantreh ne Raoeweseaghtseràgouh ne Ro?-?nihhah yehhadigwègouh Radiroughyageghronóe?-?tseradogeaghtiògouh.
MRK.9.1	Neoni waghsakaweahhaghse ronouhha, agwagh wagweahhaghse, nene nonkea nà‐ah oddyake ronouhha negea radikeannyade, ne nà‐ah arekho ne t’heaonatkaght‐hoe nene Keahhèyouh, nyàre eahhonatkaght‐houh ne Raoyanertsera ne Niyoh eàwawe okt’heaka‐as‐hatsteke.
MRK.9.2	Neoni oghnakeànke yayak Nonda, Jesus wahhoyadeahhawe raouhhàge, Peter, neoni James, neoni John, neoni waghsakonoents‐hène ronouhha Onontohharàge Yonòendis ok‐t’hihonouhha‐tsiwa: neoni Wat‐hatyàdade ne tsidehoewakànere.
MRK.9.3	Neoni ne Raonèna wadewaderòndea, ne nyadèwakde kearàgea anyogh Onyéghde: ne n’Oughwentsyàge n’yagh t’hakagwèny et‐ho n’akearageàhake.
MRK.9.4	Neoni et‐ho waghsakonatkaght‐ho ne Elias ìneh Moses: neoni wat’hadight‐hàrea ne Jesus.
MRK.9.5	Neoni Peter tahhadàdy neoni wahhaghse ne Jesus, Seweanìyoh, waongwayannereaghse tsi‐keah iddewèse: kìnyoh tewaghsgwàreah aghseah n’ea?-?Kanoughsagèhhake: easkagh ne ìse Sanoughsa, easkagh ne Moses, easkagh oni n’Elias.
MRK.9.6	Ikea ok yagh dehoderyènda‐oewe tsinahòtea a‐heàrouh, Ikea ne tsinahhodighderòeny.
MRK.9.7	Neoni nà‐ah Wakeatshàdarea wat‐hodidò?-?geaghde: neoni et‐ho Dayeweannínegeàne Ots?-?hàdakouh, waìrouh, nenegeah ne rinoroughkwa‐òewe Iyeà‐ah: eghtshitsyat‐hòndats raouhha.
MRK.9.8	Neoni ok t’hontya‐àk, tsy ne onea wat‐hont?-?kaght‐hònnyoewe t’hat‐houghgwadasède, yaghoughka n’Ongwe òya deseghsakonatkaght‐hou, yadeha?-?yàdy ok ne Jesus.
MRK.9.9	Neoni ok ne tsi‐shonatsneaghdouhhattye tsi‐Yonònde, waghshakorihhóndea ronouhha nene yaghoughka t’hasakodighroryàne tsinahhòtea wah?-?hontkaght‐ho, n’yàre ne Ongwe Roewayeà‐ah eas‐hotstetskwea ne Keahheyádne nongàdyh.
MRK.9.10	Neoni wahhadiyèna ne Tsinahheàrouh, yadehhadeyàdiok tehhondaderighwanondonnyònyh òya ok eàs, ne oghnahhòtea ne Eashatketsgwaghte tsi‐Eahhaweahheyoughne akeadouhheke.
MRK.9.11	Neoni ronouhha wahhoewanòndóese, wahhonnìrouh, Oghnà‐ah ne ròndouh ne Rought‐harrha nene Elias agwaghhok eant‐hatyèreaghde eantreh?
MRK.9.12	Neoni tahhadàdy neoni waghshakoghròry, ne Elias tkarìwakónde eant‐hatyèreaghde eantre, neoni eas‐hayèride agwègouh n’ot‐hénouh; neoni tsikaghyàdou nà‐ah Kaghyadoughseradogeaghdy, ne Ongwe Roewayeà‐ah nene raouhha agwaghok eahharoughyàgea èso Yorìwake, neoni ageàroh eahhoeyòeny.
MRK.9.13	Ok agwagh wagweahhaghse, nene Elias otokeà‐ouh ònea ìrouh, neoni etho n’ahhoewàyere raouhha tsi‐ok nahhòtea n’ahhadiriwàyere, assè eghnìyought tsikaghyàdou ne raouhhàge.
MRK.9.14	Neoni ne onea et‐ho sàrawe tsiradìderou ne Raotyoughkwa, waghsakotkaght‐ho Keantyoghkowànea et‐ho ok kea t’hìyought, neoni ne Rough?-?t’harrha (Scribes) shakodirighwanondonnyòny ronouhha.
MRK.9.15	Neoni agwagh oksaok agwègouh ne Ongwe, ne onea yahhoewatkaght‐hoh, kowànea wahhodi?-?righwàráne, neoni wat‐hoeraghdade et‐ho raóuhhage, waght‐hoewanoughweronnyouh.
MRK.9.16	Neoni waghsakorighwanòndoughse ne Rought‐harrha, (Scribes) nahhòtea yets‐hirighwanòndouse ne ronouhha?
MRK.9.17	Neoni shayàdah ne Tsinikeantyoughkwa tahhadàdy, neoni wahheàrouh, Seweanìyoh, r’iyàt?-?heh isège Iyeà‐ah, ne na ah yagh‐dewadàdy Kanigòera rotyeànyh:
MRK.9.18	Neoni tsi‐ok‐noewe n’eah‐wahhoyèna, wah?-?hoyadaratsyònko; neoni wat‐heanokaràny ne Rana?-?wìge, neoni wahhayadayess‐ha; neoni wakheghròry ne Seantyoughkwa, nene ronouhha oesahoewaya?-?dinnegeawe, neoni yagh‐dehhodigwennyouh.
MRK.9.19	Neoni tahhadàdy, wahhearouh, O yaght‐ha detkaweghdaghkouh Eghnegwaghsa, do neàwe eandewèseke? Do neàwe eaghsgwaroughyageàn?-?douh? karo daghts‐hèse n’yadeahhàwyh I ìghne.
MRK.9.20	Neoni et‐ho wahhoewayàt‐hewe raouhhàge: neoni ne onea wahhotkaght‐ho agwagh oksaok ne Kanigòera waghyadararàtsyouh; eghdàge wakayén?-?dane èrea ok yetsyoyendàouh, ratsdìgouh.
MRK.9.21	Neoni wahhorighwanòndóese raouhha ne Ronihha, Do nahhe et‐ho shihhoyadaweaghse? Neoni wahheàrouh, Shihaks‐ha‐ah et‐ho shì?-?yought.
MRK.9.22	Yotkàde ne Otsisdàge wahhoyadòndy, neoni ne Aweànke, ne a‐aghreáhheye: ok tòga a‐aghs?-?gwèny ot‐hènouh n’a‐aghsyere, takweàndear, tak?-?wayènawàs.
MRK.9.23	Jesus wahhaweahhaghse raouhha, tòga en?-?deghsèghdaghkwe, agwègouh n’ot‐hènouh yodòe‐ouh ne raouhhàge ne t’haweghtaghkouh.
MRK.9.24	Neoni agwagh oksaok ne Ronihha ne Raks?-?ha‐ah wat‐haghseant‐ho, neoni ok Okaghseràgouh wahheàrouh, Sayàner, takèghdaghkwe; takyèna?-?wàs ìsé tsiyaght‐ha tedewakeghdaghkouh.
MRK.9.25	Ne ònea Jesus wahatkaght‐ho nene On?-?gwehòkoh et‐ho wá‐oewe yedakhenontye oghseròenih, wahhàrisde ne kanhraksea Kanigòera, wahheàrouh ne raouhhàge, wakoeyeahhaghse ìse, yaght‐eghseweànagh teghsaontagwègouh, katsyà?-?gan ne raouhhatseràgouh, neoni toghsa onea sasadaweyàd ne raouhhatseràgouh.
MRK.9.26	Neoni ne Kanigòera wadewaghseant‐ho, neoni wahoyadaratsyònko wakaneghrackwaghde, neoni dakayàgeane raouhhatseràgouh: neoni et‐ho na‐àwea tsinìyought n’Yakaweahhèyouh: ne nonkeàh ne Yakotyoughkowànea ne waìrouh, waghreahheve.
MRK.9.27	Ok Jesus dahhònunts, wahhoketskoh; neoni wahhatketskoh.
MRK.9.28	Neoni ne onea Kanoughsakouh yahhadaweyade, Raotyoughkwa wahhoewarighwanòndoughse adaghieghdonke, oghnà‐nea‐nè‐eh yagh devongwa?-?gwennyouh n’oesaghsagwayadinnekeahhouh?
MRK.9.29	Neoni waghs‐hakàweah ronouhha, keakàyea tsinakarihhòdea ne‐ok et‐ho nayàwea ne yaghot‐hènouh n’òya ne‐ok n’Adereanayendaghtseràge neoni eayakaweadontyèghde.
MRK.9.30	Neoni et‐ho yahhoughdeàndy, neoni yahhon?-?dohhetsde ne Galilee; neoni yaghdèreghre nene oughka n’Ongwe ayakoderyèndaráne.
MRK.9.31	Ikea waghsakorihhonnyea ne Raotyoughkwa, neoni waghsakaweahhaghse ronouhah, ne Ongwe Roewayeà‐ah Radisnònke eahhayèndáne ne Ron?-?nongwehòkou, ronouhha eahhoewarryòhake, eas?-?hatketskoh aghseahhadont Niweghniseràge.
MRK.9.32	Ok yagh dehhonaghrònkea nene tsinahhòdea wahheàrouh, neoni wahhoewatsàníge n’oesahhoewa?-?righwanòndóese.
MRK.9.33	Neoni wàrawe ne Capernaum, et‐ho ònea Kanoughsakouh reanderouh, waghshakorighwanòn?-?doghse ronouhha, oghnà‐nàhhòdea desewarighwa?-?kènhea ne ìse tsi‐nitsyouh tsi‐non‐dessewe Ohhaha?-?keghshouh?
