GEN.1.1	Mwanzo Mwenyezimungu komba bingu na duniya. 
LUK.1.20	Ona, kwa kuwa aukubali usowezi wangu uja kutimiziwa noyo suku‑yo, mwanzo wa rero‑vi unyamala nduu, nukwambira kweli-kwelini ausowera mpaka pavisaka kukuna.” 
LUK.1.21	Wanu ware wakinrindira Zagariya, wakishanga konta mahala bora nNyumba Takatifu mure kákawa. 
LUK.1.22	Mwinsho palawire mure, aakidirire kusowera tena na wanu ware. Akisowera nawo kibubu, newo wereriwa kuwa îmwisukira ruhuya mmojawapo mahala bora nNyumba Takatifu mwaakiwa mure. Na iye akizidi kuwa bubu.
LUK.1.23	Pazitimire suku za kazi zake, Zagariya akiludi akuka kwake. 
LUK.1.24	Pazipitire suku zire, nkawake Zabeli akimita, akikala nnyumba muda wa myezi mitanu salawira panja. 
LUK.1.25	Zabeli akisowera, akamba: “Mola kanitenda javi suku yaanitendere fadili ipate alavye aibu yangu mbere ya wanu.”
LUK.1.26	Sambi, mimba ya Mariyamu paifikire myezi sita, Mwenyezimungu akinpereka laika Jiburilu kaya ulu ya Nazareti, porovinsiya ya Galileya, 
LUK.1.27	akasowere na mwari apofiwe na mwananlume wakwitiwa Yusufu, ujukulu wa nfalume Daudi. Mwari‑yo akitiwa Mariyamu. 
LUK.1.28	Laika akinfika, akimwambira javi: “Salama! Uwe kujanliiwa pakulu sana! Mola kawa pamoja nawe!”
LUK.1.29	Nakusikira usowezi ure javire, iye imwingira wasi-wasi, akiridairi kimoyomoyo, akamba: “Mámá! Kunidairi salama javi, mana ake kinani?” 
LUK.1.30	Basi, laika ire akimwambira:
LUK.1.30	“Mariyamu, usope kinu, konta Mwenyezimungu kakutendera fadili!
LUK.1.31	Ona, ukwimita, umpongola mwana nlume, mwana‑yo ujuzi umwite Insa.
LUK.1.32	Iye akuja kuwa munu bora pakulu,
LUK.1.32	na akuja kwitiwa Mwana wa Mwenye Nkulu.
LUK.1.32	Mwenyezimungu Mola wetu akuja kumpa kiti ca wawaye Daudi.
LUK.1.33	Na akuja kuwatawala ujukulu wa Yankubu
LUK.1.33	na ufalume wake aauna mwinsho.”
LUK.1.34	Mariyamu akindairi laika ire: “Nipongolaja? Nomi sinamba kumwijiwa nlume!”
LUK.1.35	Laika ire akinjibu, akamba:
LUK.1.35	“Roho Takatifu akwisukira,
LUK.1.35	na uwezo wa Mwenye Nkulu ukufinika na kinviri cake.
LUK.1.35	Ndimana, wauja kumpongola‑yo takatifu,
LUK.1.35	akuja kwitiwa Mwana wa Mwenyezimungu
LUK.1.36	Ona, jamaa yako Zabeli, iye novyo kamwimita mwana nlume ingawa koluvala.
LUK.1.36	Akitíwa nata, ewu mwezi‑wu wasita emíte.
LUK.1.37	Konta ka Mwenyezimungu, acipo kinu cakunzaidi.”
LUK.1.38	Basi, Mariyamu akamba: “Kweli-kwelini, omi niwa ntumisi wa Mola. Vikune kamba vyaunambire-vyo.” Ikisa, laika ire akilawa akuka vyake.
LUK.1.39	Nozire suku zire, Mariyamu akilawa, akuka upesi-upesi, upande mmoja uri myango kaya ya Yudeya, 
LUK.1.40	akingira nnyumba ya Zagariya, wakidairiyana habari na Zabeli. 
LUK.1.41	Zabeli, nakusikira shauti ya Mariyamu paandairire habari, mwanawe mmatumbo mure katupa, na Zabeli kamwijala Roho Takatifu. 
LUK.1.42	Akimwambira pakulu-pakulu, akamba:
LUK.1.42	“Uwe ndi ujanliiwe pakulu kuwapunda wanawaka piya!
LUK.1.42	Ajanliiwe ndi wauja kumpongola mmatumbo mwako‑yo!
LUK.1.43	Vyakuja kwangu omi kuwoniwa na mama wa Mwenye wangu namunani?
LUK.1.44	Ona, panisikire shauti yako, kwa mpunde nowo,
LUK.1.44	mwanangu mmatumbo mwangu katikinyika kuwa radi!
LUK.1.45	Heri ire akubali kuwa vitimiziwe visemiwe kwake upande wa Mola!”
LUK.1.46	Sambi, Mariyamu akamba:
LUK.1.46	“Moyo wangu unkurisa Mola!
LUK.1.47	Roho yangu iwa radi
LUK.1.47	kwa Mwenyezimungu, Nvushi wangu.
LUK.1.48	Kamana kanang'aniza unyenyekevu wa ntumisi wake.
LUK.1.48	Kweli, mwanzo wa sambi‑pa,
LUK.1.48	vizazi piya wanita wakujanliiwa,
LUK.1.49	kamana Mwenyé Uwezo kanitendera vinu vikulu pakulu!
LUK.1.49	Takatifu ndi zina rake!
LUK.1.50	Rehema yake izidi vizazi ka vizazi
LUK.1.50	ka wenye kumopa.
LUK.1.51	Kâtenda uwezo na nkono wake!
LUK.1.51	Kâwatawanya waridãi kati ya mawazo a myoyo yawo.
LUK.1.52	Kâwesusa wenye uwezo nviti vyawo,
LUK.1.52	kâwakweza wenye kurinyenyekeya.
LUK.1.53	Wenye njala kâwejaza vinu vyema-vyema,
LUK.1.53	matajiri kâwatuwisa makono waka.
LUK.1.54	Kânsaidiya Iziraeli ntumisi wake
LUK.1.54	julu ya kukumbukira huruma yake,
LUK.1.55	kamba tamaa yawapere wababu zetu,
LUK.1.55	Iburahima na ujukulu wake mpaka milele.”
LUK.1.56	Mariyamu akikala na Zabeli kiyasi ca myezi mitatu, ikisa akiludira kwawo.
LUK.1.57	Sambi, Zabeli wakati wakupongola ufika, neye kampongola mwana nlume. 
LUK.1.58	Majirani na jamaa wasikira kuwa Mwenyezimungu kantendera huruma pakulu Zabeli, wafurahi naye pakulu sana.
LUK.1.59	Paifikire suku yanane, ewo wakija wakintaya itani toto ire. Wasaka kumwita zina ra wawaye, Zagariya, 
LUK.1.60	fala mamaye akijibu, akamba: “Anta, zina rake Yahaya.” 
LUK.1.61	Ewo wakinjibu: “We! Aapo jamaa yako anta mmoja wakwitiwa ero zina‑ro!” 
LUK.1.62	Newo wakindairi kibubu wawaye mwana ire zina rakisaka etiwe. 
LUK.1.63	Zagariya akilebela kipande ca kibawo kitoto, akandika javi: “Zina rake Yahaya.” Piya ware wakibaki wakushanga wawenye. 
LUK.1.64	Kwa mpunde noure, kanywa yake ikifunguriwa, lulimi rake rikisowera, akinsifu Mwenyezimungu. 
LUK.1.65	Majirani wakisusuka na vyawawonire vire. Kaya piya za upande wa kumyango ya Yudeya zikisoweriwa habari za evi vinu vikunire‑vi. 
LUK.1.66	Na piya wanu wasikire wakitula mmyoyo mwawo, wakamba: “Noyu mwana‑yu akuja kuwa nani? Kamana nkono wa Mola uwa pamoja neye.”
LUK.1.67	Zagariya, wawaye toto ire, kamwijala Roho Takatifu, noparepare akanza kubushuru javi:
LUK.1.68	“Atukuziwe Mola, Nlungu wa Iziraeli,
LUK.1.68	kamana kawawona na kawavusha wanu wake.
LUK.1.69	Iye katilamusira Nvushi wa uwezo
LUK.1.70	kamba vyaasowere tangu mida
LUK.1.70	julu kanywa za minabii wake matakatifu.
LUK.1.71	Katilamusira eyu Nvushi‑yu
LUK.1.71	ativushe upande wa maaduwi wetu
LUK.1.71	na mmakono mwa piya wenye kutina.
LUK.1.72	Javyo, kawolotera huruma wababu zetu,
LUK.1.72	na kukumbukira tamaa yake takatifu,
LUK.1.73	kulapa kalapire ka babu yetu Iburahima.
LUK.1.74	Akimpa tamaa yakutivusha mmakono mwa maaduwi
LUK.1.74	ipate tintumike bila wofi,
LUK.1.75	kwa utakatifu na ukamilifu
LUK.1.75	mbere yake suku zetu piya.
LUK.1.76	Uwe, mwanangu, ukwitiwa nabii wa Mwenye Nkulu,
LUK.1.76	kamana ulongorera mbere ya Mwenye
LUK.1.76	untengezere njira yake,
LUK.1.77	wanu wake uwafahamu kuhusu kuvushiwa,
LUK.1.77	julu ya kuswamiiwa dambi zawo.
LUK.1.78	Nlungu wetu atenda javyo
LUK.1.78	kwa sababu ya wema wa huruma yake.
LUK.1.78	Ndimana, nuru ya binguni itisukira ofwe,
LUK.1.79	tiwamwarikire wari pakisi,
LUK.1.79	wekala kinviri ca kifo,
LUK.1.79	ilongoze maulu etu njira ya usalama.”
LUK.1.80	Kisimana Yahaya ire akikula na akongezeka nguvu ya kiroho. Kekala nlanga mpaka suku ya kurolota kwake mbere ya waIziraeli.
LUK.2.1	Nozire suku zire, ílawa ámuri ya Kaisari
LUK.2.2	(Eyi ndi íwere mara yakwanza kuwalangiwa wanu, wakati Kirinu waákiwa guvinadoru wa Siriya.) 
LUK.2.3	Wanu piya kila mmoja ákuka kuryandikisa kaya yawo yapongoriwe. 
LUK.2.4	Sambi, Yusufu neye akilawa Galileya, kaya ya Nazareti, akuka Yudeya kaya ya nfalume Daudi yakwitiwa Betlehemu, kwa kuwa ndi rikiwa rikolo rake, 
LUK.2.5	ipate akandikiwe pamoja na Mariyamu, muka wampofire ncumba wake, wakati‑wo ari na mimba.
LUK.2.6	Pawakiwa Betlehemu kure, ukifika wakati wakupongola Mariyamu. 
LUK.2.7	Basi, akimpongola toto nlume, mwanawe ntanzi. Akinzingiriza munguwo, akintandikira ngamela konta nnyumba ya wayeni aawerepo mamburo akufikira.
LUK.2.8	Noure upande ure, wakiwapo wasunga, wakiinshi nlanga
LUK.2.9	Noparepare, akiwesukira laika wa Mola, basi nuru ya utukufu wa Mola ikiwazunguriza, wakopa pakulu futi. 
LUK.2.10	Laika ire akiwambira javi: “Musope! Omi nukwerezani Habari Ngema yakukutayani radi pakulu, pamoja na wanu piya. 
LUK.2.11	Rero, kaya ulu ya Daudi, mupongoreriwa Nvushi, iye ndi Almasihi, Mwenye wenu. 
LUK.2.12	Eyi ndi alama yenu: munsingana toto kazingiriziwa munguwo, katandikiriwa ngamela.”
LUK.2.13	Kwa mpunde noure, ulawirira pamoja na laika ire nkonjo
LUK.2.14	“Atukuziwe Mwenyezimungu ari julu bingu ya mwinsho!
LUK.2.14	Mulumwengu‑mu wanu wakufadiliwa wawe na salama!”
LUK.2.15	Malaika ware pawalawire wakúka mbinguni, ikisa wasunga ware wakambirana watupu: “Tukeni Betlehemu, tikawone mambo ákunire, aari kutijiwisa Mola.”
LUK.2.16	Basi, wakipita wakangupa mpaka ukaya, wakinsingana Mariyamu na Yusufu pamoja na toto ire atandikiriwe ngamela. 
LUK.2.17	Bandi ya kummona, wasunga ware wakikola kuwambira wanu usemi wawâmbiriwe kuhusu toto ire. 
LUK.2.18	Wanu piya wasikire watajabu vyawakambiriwa na wasunga ware. 
LUK.2.19	Mariyamu vyaakisikira vire piya akitaya nkiswa, na kila mara akikumbukira mmoyo mwake. 
LUK.2.20	Wasunga ware wakiludi, wakintukuza na wakinsifu Mwenyezimungu kwa piya vyawasikire vire na vyawawonire, vikuna sawa‑sawa kamba vyawereziwe.
LUK.2.21	Toto ire patimire suku nane, wantaya itani, wamwita zina ra Insa, zina raâsemire laika kábula sanamba kwimitiwa.
LUK.2.22	Ikisa, wakati wazitimiziwe suku za kuswafiwa kwawo kamba vyairi shariya ya Musa, Yusufu na Mariyamu wakwera naye Yerusalemu, wakanture mbere ya Mola, 
LUK.2.23	kamba vyailazimu shariya ya Mola javi: “Kila mwana nlume ntanzi kupongoriwa ajuzi awe takatifu ka Mola!” 
LUK.2.24	Na wakilavya kafara kamba vyailazimu shariya ya Mola: “Wanjiwa wawiri muka na nlume, au wana wawiri wakadiri wa mapomba.”
LUK.2.25	Ona, nowo wakati‑wo kaya ya Yerusalemu akikalanga mwananlume mmoja wakwitiwa Simiyoni. Noyu mwananlume‑yu ákiwa kamilifu na akimwabudu Mwenyezimungu. Iye akirindira kunyamaziwa Iziraeli, na kamwijala Roho Takatifu. 
LUK.2.26	Na Roho Takatifu kâmwambira kuwa iye aafwa sammonire Almasihi aperekiwe na Mola. 
LUK.2.27	Kwa kulongoziwa na Roho Takatifu, Simiyoni akuka mpaka kuNyumba Takatifu. Wawaye na mamaye Insa, pawakingira na mwana ire wakatende vyaisaka tabiya ya shariya yawo vyaapongoriwe mwana ire, 
LUK.2.28	Simiyoni akinsukula toto ire mmakono, akintukuza Mwenyezimungu, akamba:
LUK.2.29	“Mwenye Mola, kamba vyaunipere tamaa,
LUK.2.29	epa sambi layana nami nuke vyangu kwa salama!
LUK.2.30	Konta maso angu awona kuvusha kwako,
LUK.2.31	kauwatengezere mbere ya wanu piya.
LUK.2.32	Iye ndi nuru yakufafanuriwa wanu Sawari-Mayahudi,
LUK.2.32	na ndi utukufu wa wanu wako, waIziraeli.”
LUK.2.33	Wawaze Insa ware washanga pakulu vyaakisowera Simiyoni kuhusu Insa. 
LUK.2.34	Ikisa, Simiyoni akiwajanliya, akimwambira Mariyamu, mamaye Insa javi:
LUK.2.34	“Kweli, eyu mwana‑yu katondoriwa kuwagwisa na kuwalamusa wanu wengi Iziraeli.
LUK.2.34	Na iwe alama ya kukaidi wanu,
LUK.2.35	ipate afafanuriwe mawazo a myoyo mingi.
LUK.2.35	Na upanga upita ukwingira mmoyo mwako novyo.”
LUK.2.36	Ákiwapo nopo nabii mmoja muka wakwitiwa Ana, mwana wa Fanuweli wa rikolo ra Aseri. Iye kôluvala pakulu. Tangu harusi yake, kainshi myaka saba, nlumake akifwa. 
LUK.2.37	Kekala ari nankweli mpaka myaka tamanini na mine. Iye aakilawa Nnyumba Takatifu, akambudu julu ya kufunga na kulebela duwa usiku na nsana. 
LUK.2.38	Ana kalawirira noure wakati Simiyoni waakisowera na wawaze Insa ure. Neye novyo akanza kuntukuza Mwenyezimungu, na akisowera kuhusu toto ire ka wanu piya wakirindira kuvushiwa ka Yerusalemu.
LUK.2.39	Pawesire shuguli zire piya kamba vyaisema shariya ya Mola, ewo wakiludira kwawo Galileya mpaka Nazareti kawakikala. 
LUK.2.40	Kisimana ire akikula na akikomala, na umwijala wijiwifu. Na fadili ya Mwenyezimungu ikiwa pamoja naye.
LUK.2.41	Piya myaka‑yi, wawaze Insa wâkukanga Yerusalemu kujambo ra Pashukwa. 
LUK.2.42	Insa paafikire myaka kumi na miwiri, ewo wakuka noko kamba vyaikiwa tabiya yawo. 
LUK.2.43	Pawatimize jambo‑ro, Yusufu na Mariyamu wakitwala njira wakiludira ukaya. Nnemba Insa akibaki Yerusalemu nokure, fala wawaze sawejiwe. 
LUK.2.44	Ewo wakidaniza kuwa kalongozana na nkonjo wa wenziwe. Watenda safari kutwa nzima, wakipita wakinsakula mwa wajamaa zawo na wanu wakuwejiwa. 
LUK.2.45	Pawatowire kunsingana, wakiludi wakuka Yerusalemu, kupita wakinsakula. 
LUK.2.46	Bandi ya suku natu wansingana nNyumba Takatifu, kekala pamoja na wanlimu, akiwasikiriza vyawakamba na vyengine akiwadairi. 
LUK.2.47	Piya wanu wakinsikira wakintajabu werevu na majibu ake. 
LUK.2.48	Wawaze ware pawammonire, wabaki wanshangire, sambi mamaye akimwambira javi: “Mwanangu, mbana kutitenda javi? Mmone, wawayo‑yu nomi novyo tifazaika pakulu tankukusakula nowe.”
LUK.2.49	Insa akiwajibu: “Munisakurirani? Amwijiwa kuwa nijuzi nishugulukire mwaha wa Baba?” 
LUK.2.50	Fala ewo awereriwe vyaambire vire. 
LUK.2.51	Iye pamoja na wawaze wakiteremuka, wakiludira Nazareti, na iye akizidi kuwasikiriza. Na mamaye piya vire akitula sana-sana mmoyo mwake. 
LUK.2.52	Basi, Insa akizidi kukula na wijiwifu, akikula ujunda, na akizidi kuwa na fadili za Mwenyezimungu pamoja na wanu.
LUK.3.1	Mwaka wa kumi na ntanu wa kutawala ka Kaisari Tiberiya, ndi wakati Pontiyu Pilatu wákiwa guvinadoru wa Yudeya, Herodi ari nfalume wa Galileya, Filipi nduye Herodi ari nfalume wa inti za Itureya na Tarakoniti, Lisaniya ari nfalume wa Abileni, 
LUK.3.2	na Anasi na Kayafa wari wakulu wa wakulungwa wa dini. Nowo wakati‑wo, usemi wa Mwenyezimungu ukimwisukira Yahaya mwana wa Zagariya ari nlanga. 
LUK.3.3	Iye kapita inti piya zíkiwa nanyenje ya muto wa Yordani, akiwereza wanu, akamba javi: “Tubiyani, moziwe ipate Mwenyezimungu akuswamiini madambi enu.” 
LUK.3.4	Evi ndi kamba vyavyandikiwe nkitabu ca nabii Izaya javi:
LUK.3.4	“Munu mmojawapo kawankukuwa nlanga, kankwamba:
LUK.3.4	‘Tengezani njira mumpokerere Mwenye Nvushi
LUK.3.4	olosani barabara yake.
LUK.3.5	Mirati piya ikwijala,
LUK.3.5	myango na makinga piya vyandaziwe,
LUK.3.5	mwa kupombonyoka molosiwe,
LUK.3.5	muri mawe mubambadiwe.
LUK.3.6	Na wanu piya wakuja kuwona kuvusha ka Mwenyezimungu.’ ”
LUK.3.7	Wanu wákuka kwake wakóziwe, Yahaya akiwambira javi:
LUK.3.7	“Kabila ya mirába sumwe!
LUK.3.7	Nani akukumbuseni kutira hukumu ya Mwenyezimungu suku zambere?
LUK.3.8	Lavyani visumo vyema vyakolóta kutubiya kwenu.
LUK.3.8	Wala musambe mmyoyo yenu: ‘Tiwa nawo wawa yetu, ndi Iburahima.’
LUK.3.8	Kamana nukwambirani kuwa anta na eya mawe‑ya,
LUK.3.8	Mwenyezimungu akidiri kutadula kuwa ujukulu wa nabii Iburahima!
LUK.3.9	Epa sambi‑pa, soka riwa panzipe wa muti, tayari kutupula.
LUK.3.9	Kwa javyo, kila muti saupa visumo vyema usinjiwa,
LUK.3.9	ukwefiwa pamoto.”
LUK.3.10	Wanu ware wakindairi, wakamba: “Sambi, catijuzi kutenda kinani?” 
LUK.3.11	Yahaya akiwajibu, akisema javi: “Ári na zubãu mbiri alavye mmoja, ampe mwenziwe saana. Ári nawo cakurya, kwa namuna moja, alavye ammere mwenziwe.”
LUK.3.12	Na waja novyo warípisi nsoko wamojawapo kusakula koziwa. Ewo wakindairi Yahaya: “Mwanlimu, ofwe tijuzi titende kinani?”
LUK.3.13	Iye akiwajibu: “Musiripise kinu tena kupundisa vyamwamuriwe.”
LUK.3.14	Masurudadu newo novyo wakindairi javi: “Sambi ofwe, tíjuzi titende kinani?”
LUK.3.14	Yahaya akiwajibu, akamba: “Musinyang'anye munu nzuruku, wala musinlongopere kinu. Muwe radi na nshahara wenu.”
LUK.3.15	Wanu piya wakinrindira kuja Almasihi, wakiwaza mmyoyo yawo kuwa dalili Yahaya, wakamba: “Fala iye si Almasihi?” 
LUK.3.16	Novyo-sivyo, Yahaya akiwambira wanu ware piya: “Kusema kweli, omi nukozani na maji, fala akuja mwengine wanguvu pakulu koliko omi. Kusema kweli, omi siri bora anta wa kunvula tamango zake. Iye akozani
LUK.3.17	Iye paa iwa mmakono mwake, apate kuwandala masansi na tirigu ature kwake-kwake. Ikisa tirigu‑yo ature nkikuti mwake, ila masansi ataya moto sauzimika.
LUK.3.18	Basi javyo, na masowezi mengine tena, Yahaya ndi vyakiwarimbisa wanu myoyo, kuno akiwereza Habari Ngema. 
LUK.3.19	Fala nfalume Herodi, kâsutumiwa na Yahaya kwa sababu ya vitendo vyake na Herodiza muka wa nduye, pamoja na vitendo vyakunyata piya vyaatendire, 
LUK.3.20	iye akamuru Yahaya afungiwe. Kwa javyo, Herodi akipambanya akizidisa makosa ake.
LUK.3.21	Sambi, suku moja pawesire koziwa wanu ware piya, Insa neye novyo akoziwa. Paakitenda duwa, bingu zikifunguka 
LUK.3.22	na Roho Takatifu akimwisukira kwa nfano wakuwoneka kamba pomba. Na ikisikirikana shauti ya kulawa mbinguni ikamba: “Uwe ndi mwanangu wanukupenda, kwako uwe niwa nawo radi pakulu!”
LUK.3.23	Insa paanzire kazi zake ákiwa na kiyasi ca myaka talatini. Akijiwikana kamba mwana wa Yusufu.
LUK.3.23	Yusufu ákiwa mwana wa Heli,
LUK.3.24	Heli mwana wa Matati,
LUK.3.24	Matati mwana wa Lawi,
LUK.3.24	Lawi mwana wa Melki,
LUK.3.24	Melki mwana wa Yana,
LUK.3.24	Yana mwana wa Yusufu,
LUK.3.25	Yusufu mwana wa Matatia,
LUK.3.25	Matatia mwana wa Amosi,
LUK.3.25	Amosi mwana wa Nahumu,
LUK.3.25	Nahumu mwana wa Eshili,
LUK.3.25	Eshili mwana wa Nagayi,
LUK.3.26	Nagayi mwana wa Mahati,
LUK.3.26	Mahati mwana wa Matatia,
LUK.3.26	Matatia mwana wa Simeyi,
LUK.3.26	Simeyi mwana wa Yoseku,
LUK.3.26	Yoseku mwana wa Yoda,
LUK.3.27	Yoda mwana wa Yowana,
LUK.3.27	Yowana mwana wa Resa,
LUK.3.27	Resa mwana wa Zorobabeli,
LUK.3.27	Zorobabeli mwana wa Salatiyeli,
LUK.3.27	Salatiyeli mwana wa Neri,
LUK.3.28	Neri mwana wa Meliki,
LUK.3.28	Meliki mwana wa Adi,
LUK.3.28	Adi mwana wa Kosamu,
LUK.3.28	Kosamu mwana wa Elimadamu,
LUK.3.28	Elimadamu mwana wa Eru,
LUK.3.29	Eru mwana wa Yoshwa,
LUK.3.29	Yoshwa mwana wa Elizeli,
LUK.3.29	Elizeli mwana wa Yorimu,
LUK.3.29	Yorimu mwana wa Matati,
LUK.3.29	Matati mwana wa Lawi,
LUK.3.30	Lawi mwana wa Ansumani,
LUK.3.30	Ansumani mwana wa Yuda,
LUK.3.30	Yuda mwana wa Yusufu,
LUK.3.30	Yusufu mwana wa Yonamu,
LUK.3.30	Yonamu mwana wa Eliyakimu,
LUK.3.31	Eliyakimu mwana wa Meleya,
LUK.3.31	Meleya mwana wa Mena,
LUK.3.31	Mena mwana wa Matata,
LUK.3.31	Matata mwana wa Natani,
LUK.3.31	Natani mwana wa Daudi,
LUK.3.32	Daudi mwana wa Yese,
LUK.3.32	Yese mwana wa Obedi,
LUK.3.32	Obedi mwana wa Bowazi,
LUK.3.32	Bowazi mwana wa Salmoni,
LUK.3.32	Salmoni mwana wa Nashoni,
LUK.3.33	Nashoni mwana wa Aminadabu,
LUK.3.33	Aminadabu mwana wa Adimini,
LUK.3.33	Adimini mwana wa Arni,
LUK.3.33	Arni mwana wa Hesironi,
LUK.3.33	Hesironi mwana wa Paresi,
LUK.3.33	Paresi mwana wa Yuda,
LUK.3.34	Yuda mwana wa Yankubu,
LUK.3.34	Yankubu mwana wa Izaki,
LUK.3.34	Izaki mwana wa Iburahima,
LUK.3.34	Iburahima mwana wa Tera,
LUK.3.34	Tera mwana wa Nahori,
LUK.3.35	Nahori mwana wa Serugi,
LUK.3.35	Serugi mwana wa Rehu,
LUK.3.35	Rehu mwana wa Pelegi,
LUK.3.35	Pelegi mwana wa Eberi,
LUK.3.35	Eberi mwana wa Sala,
LUK.3.36	Sala mwana wa Kenani,
LUK.3.36	Kenani mwana wa Aripakisadi,
LUK.3.36	Aripakisadi mwana wa Shemu,
LUK.3.36	Shemu mwana wa Nnu,
LUK.3.36	Nnu mwana wa Lameki,
LUK.3.37	Lameki mwana wa Metusela,
LUK.3.37	Metusela mwana wa Henoki,
LUK.3.37	Henoki mwana wa Yaredi,
LUK.3.37	Yaredi mwana wa Mahalaleli,
LUK.3.37	Mahalaleli mwana wa Kenani,
LUK.3.37	Kenani mwana wa Enoshi,
LUK.3.38	Enoshi ákiwa mwana wa Seti,
LUK.3.38	Seti ákiwa mwana wa Adamu,
LUK.3.38	na Adamu wa Mwenyezimungu.
LUK.4.1	Insa kamwijala Roho Takatifu, akilawa muto wa Yordani. Roho Takatifu akinlongoza kulanga, 
LUK.4.2	mahala kayereriwe na Ibilisi muda wa suku arubaini. Kwa nowo wakati‑wo, iye aarire kinu, ndimana mwinsho ikinkola njala. 
LUK.4.3	Ibilisi kamwambira javi: “Ikiwa kuwa Mwana wa Mwenyezimungu, amuru riwe‑ri ritaduke nkate.” 
LUK.4.4	Insa akinjibu: “Mandiko Matakatifu akwamba: ‘Wanu awainshi kwa nkate basi.’ ”
LUK.4.5	Ikisa Ibilisi akintwala, akuka naye mahala parefu. Kwa muda aba javi, akimolotera piya ufalume wa mulumwengu. 
LUK.4.6	Ibilisi akimwambira: “Omi nukupa utukufu wa inti‑zi piya pamoja na mamulaka julu yawo kamana ewo ndi wanipereke omi, ningabizi waninsaka. 
LUK.4.7	Kwa javyo, piya vikuwa vyako ukinabudu.” 
LUK.4.8	Insa akinjibu javi: “Mandiko Matakatifu akwamba: ‘Ntukuze Mola Nlungu wako, untumikire noyo tu basi.’ ”
LUK.4.9	Ikisa, Ibilisi akimpereka Insa Yerusalemu, akinkweza mahala parefu pakulu paNyumba Takatifu, akimwambira javi: “Ikiwa kuwa Mwana wa Mwenyezimungu, refyere pansi pare. 
LUK.4.10	Kamana Mandiko akwamba: ‘Mwenyezimungu awapereka malaika wake wakukengere’, 
LUK.4.11	na ‘ewo wakusukula mmakono, ipate maulu ako asilumizike na mawe.’ ” 
LUK.4.12	Insa akinjibu, akamba: “Yambiwa novyo: ‘Usimyerere Mola Nlungu wako.’ ” 
LUK.4.13	Basi, Ibilisi paatumire namuna‑zi piya za kunyerera Insa, akintanuka Insa mpaka apate atuwa nyengine.
LUK.4.14	Insa, umwijare uwezo wa Roho Takatifu, akiludira Galileya. Wanu nkaya mure piya wakisowera kuhusu iye. 
LUK.4.15	Iye akipita akifunda nmasinagoga mwawo, piya wakinsifu.
LUK.4.16	Insa kafika Nazareti, inti yâreriwe. Suku takatifu, kamba vyaikiwa tabiya yake, iye koka nsinagoga. Akilamuka kufyoma Mandiko Takatifu. 
LUK.4.17	Wâmpa kitabu ca nabii Izaya. Iye nakufungula kitabu cire, kasingana mahala pakwandikiwa javi:
LUK.4.18	“Roho wa Mola kawa julu yangu,
LUK.4.18	kwa kuwa kanitawaza nikawereze Habari Ngema masikini.
LUK.4.18	Kanipereka niwereze wafungiwe komboriwa kwawo,
LUK.4.18	vipofu wawone tena,
LUK.4.18	wenye kutabishiwa niwereze komboriwa kwawo,
LUK.4.19	na niwereze kuwa ufika wakati Mola watenda fadili.”
LUK.4.20	Ikisa, Insa akifunga kitabu cire, akimpa amiri, akikala. Wanu piya nsinagoga mure wakinang'aniza rungu-rungu. 
LUK.4.21	Ikisa akanza kuwambira javi: “Epa rero pamusikire‑pa, ewu usemi wandikiwe‑wu utimiziwa mbere yenu umwe!” 
LUK.4.22	Piya ware wakanza kusowera vyema kuhusu Insa, wakishanga pakulu futi kwa usemi wa neema ulawirire nkanywa mwake ure. Ewo wamba: “Eyu mwananlume‑yu, simwana wa Yusufu‑yu?” 
LUK.4.23	Insa akiwambira: “Bila shaka mukuja kusowera kinyume mukwamba javi: ‘Ntibabu, riponese mwanyewe.’ Kamba vyatisikire vyautendire Kafarnaumu, tenda novyo emu muinti mwaupongoriwe‑mu!” 
LUK.4.24	Na akizidi kusema: “Nukwambirani kweli kuwa aapo nabii anta mmoja wakupokereriwa sana muinti mwaapongoriwe.
LUK.4.25	Kweli-kwelini, wakati wa Aliyasi, paitowire nvula muda wa myaka mitatu na nusu, wákiwapo manankweli wengi Iziraeli. Ipita njala ulu futi inti nzima. 
LUK.4.26	Fala Aliyasi aaperekiwe ka manankweli‑wo anta mmoja, ila ka nankweli wa inti nyengine, akikalanga Sarepta ya Sidoni
LUK.4.27	Novyo Iziraeli neko, wakati wa nabii Elisha, wákiwapo wanu wengi wawenye wamagundula. Fala hapana munu anta mmoja nkati yawo aponesiwe sairi Naamani wa Siriya
LUK.4.28	Pawansikire vinu‑vi, wanu piya nsinagoga mure wakimiwa pakulu futi. 
LUK.4.29	Basi, wakilamuka, wakinlavira panja ya kaya ire. Wakinlongoza mpaka pamwango paijengiwe kaya ire, wakinsukumira pansi. 
LUK.4.30	Fala Insa akiwapita kati-kati, akuka vyake.
LUK.4.31	Insa akilawa akúka Kafarnaumu, kaya moja ulu ya Galileya, nokurekure akifundanga suku takatifu za sabadu
LUK.4.32	Wanu wakisikira vyaakifunda Insa vire wakishanga, kamana akisowera na mamulaka.
LUK.4.33	Suku moja nsinagoga, ákiwapo munu mmoja wa mashetwani. Iye akanza kukuwa na shauti ulu, akamba: 
