MAT.1.1	Kĩtabũ kya wĩleli wa kĩYesu Kilisito, umuana wa kĩDaudi, umuana wa kĩIbũlahimu. 
ACT.19.40	Kuitĩ kusũũmile kwishokigua kunsooko ya wĩleei wa nantende; kangĩ sika kukitũla nulukaani kukĩnena kunsooko ya mukũlũkeke uu.” 
ACT.19.41	Pĩna nukondia kwitambula izi nuulaga umulundo.
ACT.20.1	ĩKĩlanga pĩna nakĩkĩla, uPaulo nuĩĩta ĩamanigua, nuakamia nkolo, naĩlaga nĩndĩo, nulega wende kuMakedonia. 
ACT.20.2	Pĩna alukĩlĩĩle inandĩ zaasio nukukuakamia inkolo nukukuaĩĩla inkaani ningĩ, nupika kuUgiliki.
ACT.20.3	Kuasio nũkyala mieli ĩtatu. Nuloma wende kũShamũ kunzĩla ya munanza, ĩpa pĩna ĩAyahũdi naakomia ĩkialo kya kĩmpisĩ-mpisĩ kumuakue, nuloma washooke pakatĩ ya Makedonia. 
ACT.20.4	ĩAntu ĩa naĩtiata palumuĩ ninduyo, uSopatilo sha Pilo nwa kuBeloya, uAlisitaliko nuSekundo naalĩ Atesaloniki, nuGayo nwa kuDelibe, nũTimoteo; nuTikiko nuTilofimo a kuAsia. 
ACT.20.5	ĩAsio naatongela naakulindĩla kuTiloa. 
ACT.20.6	pĩna nazikĩla intondo za ugalĩ naugila igaaĩ, nakupuuta ĩnanza kwipũna kuPilipi, nakuaagaana kuTiloa, musĩnzo wa ntondo zitaano, nakudĩĩla kuasio ntondo mupũngatĩ.
ACT.20.7	Palutondo lwa muandio lwijũma pĩna alĩ kwĩilingĩlĩĩle koona kuuege ugalĩ, uPaulo naĩtambuĩla nĩndĩo, nwiloma kwilega mudaau yaakue, nuulĩĩpia uutambuli waakue sunga kuutiku wa katĩ. 
ACT.20.8	Alĩ zikolĩ intala ningĩ kwityembe lya kukiania muasio muna alĩ kwĩlundĩlĩĩle.
ACT.20.9	Musumba umuĩ, ĩliina liakue Eutiko alĩ wikyalansile pidilishia, nusũũmua nindoolo doo, sunga pĩna uPaulo alulongolekile kwitambula, nusũũmĩkigua nindoolo nugua kwipũna kwityembe lya kukiania lya katatu, nuuukigua wakiaa. 
ACT.20.10	Ĩpa uPaulo nũika, nutũna, numukũmbasĩla, nuũga, “Lekĩ ĩkĩlanga, kuitĩ uupanga waakue kĩlĩ ukoolĩ mumuakue.” 
ACT.20.11	uPaulo nunankĩla kukiania kangĩ, nuuega ugalĩ, nulĩa, naĩtambuĩla nĩndĩo sunga naweela, paapo nulega. 
ACT.20.12	Naamuleeta umusumba mupanga, naapumbuligua dũũ.
ACT.20.13	ĩpa ishie nakutongela kwienda kwipyango, nakupũũta ĩnanza kwienda kuAsia, nakusĩĩgile kukumusola uPaulo kuasio, kuitĩ iio alulagĩlĩĩlie, uzo umuene alulomile wende namĩgulu. 
ACT.20.14	Pĩna nakuagaana kuAso, nakumũingĩlia mwipyango nakupika kuMitilene. 
ACT.20.15	Nakugendia ipyango kwipũna kuasio, lutondo lwa kabĩlĩ nakupika kwitungĩnkana kuKio. Lutondo lwa katatu nakupika kuSamo, nakuĩma kuTilogilio; lutondo lwa kanĩĩ nakupika kuMileto. 
ACT.20.16	Kuitĩ uPaulo nuloma wakĩlĩle kuEpeso nipyango, walekitinia muAsia, kunsooko alĩ wĩkangasĩlĩĩlie wapike kũYelusalemũ kulutondo lwa Pentekoste, anga ishũũmĩkile.
ACT.20.17	Kwipũna kuMileto nuatuma antu ende kuEfeso, nuĩĩta ĩanampala ikyanisa. 
ACT.20.18	Pĩna naapika kumuakue, nuaĩĩla, “Inie uniinie mumanile kĩna alĩ nĩĩlĩ mumiani intondo zensi kwipũna ulutondo lwa muandio pĩna alĩ nijile ĩpa pĩna Asia, 
ACT.20.19	nanukumutumĩla uNzua kuwĩniinupia wensi nukumisholi, nĩmagemua naalĩ ndigilie ĩne kukialo kya kĩmpisĩ-mpisĩ kya Ayahũdi. 
ACT.20.20	Sika nandeka kukumutanantĩlia ulukaani nalusũũmile kukumupeela ĩnsaĩlo, ĩpa alĩ numumanilie kualiĩ, kangĩ numba kunumba. 
ACT.20.21	Nanĩakuĩlĩkia ĩAyahũdi nĩAgiliki apele ntongela ya kĩNzua, nukwishuĩĩla mwa kĩShekulu wĩĩtu Yesu Kilisito. 
ACT.20.22	Laaĩ, ĩpaino nalongola kũYelusalemũ numutũngue nuMuau; sika manile impola nazikinjagaana ĩne kuasio, 
ACT.20.23	isiititũla uMuau Muelu kuuzaa unkuĩlĩĩle mukaa zensi kĩna uutũngua nimpatĩ zinindĩĩle. 
ACT.20.24	ĩpa sika nsĩĩgile kĩna uumĩ waane ingĩ kĩntu kya nsaĩlo kumuane; lukoolĩ lukaani lumuĩ udũũ, malĩĩlie ulugendo luane, nuwĩtumi naalĩ nuwaanũnkuĩle kwa kĩShekulu Yesu, kukuzikuĩla iMpola na Nziiza za ukende wa kĩNzua.
ACT.20.25	“Laaĩ, ĩpaino ĩne manile kĩna inie tũlũ ensi, pakatĩ yaani naalĩ numutanantĩĩlie impola za utendi wa kĩNzua, sika mukiona uusiu waane kangĩ. 
ACT.20.26	Luulo, gua numukuĩlĩĩle inie tũlũ ensi nantende ya kĩna ĩne numugila kautimu kumĩgali yaani tũlũ ensi, 
ACT.20.27	Kuitĩ sika alĩ ndekile kukumutanantĩlia uulooa tũlũ wensi wa kĩNzua. 
ACT.20.28	ĩkendegeelĩ uniinie akola, nidyale liensi paasio pĩna uMuau Muelu umuĩĩkile inie muĩ akendegeeli, mulĩdĩĩme ikyanisa lya kĩNzua naalĩ wĩligĩĩlie kumugali waakue umuene. 
ACT.20.29	Ĩne manile kĩna pĩna nikilega, iyĩngi naataki ikiingĩla pakatĩ yaani nasika ĩkakulĩkolelua idyale. 
ACT.20.30	Sunga pakatĩ yaani antu ĩkakigyela iitambula ĩza ulimĩĩli, aalũte ĩamanigua akamantane nĩndĩo. 
ACT.20.31	Luulo gua, kengealĩ mũjuke kĩna miaka ĩtatu utiku nĩmunsĩ sika alĩ ndekile kukumusugula wensi kumisholi.
ACT.20.32	“Ĩpaino namuĩĩkaa mumĩkono ya kĩNzua numulukaani lwa ukende waakue nalusũũmile kukumuzenga nukukumupeela uusaali palumuĩ nĩndĩo ensi naeeligue. 
ACT.20.33	Sikaaalĩ numuawe kampiia katia zahabũ katia majialo mamuntu wensi. 
ACT.20.34	Inie uniinie mumanile ya kĩna ĩmĩkono yaane ĩĩ yĩtumile kuusilĩlua waane sunga kuaasio naalĩ kwĩpalumuĩ nineene. 
ACT.20.35	Munkaani tũlũ numulagĩlĩĩlie ya kĩna kukuuamba umulĩmo itĩ, yumũjĩpĩĩle muĩalĩĩlie ĩaneketũ nukukuzijuka inkaani za kĩShekulu Yesu kĩna alutambuĩle umuene, ‘Yukuleetaa ulumbi kwipeelana kwikĩla kwipeegua.’”
ACT.20.36	Pĩna alutambuĩle itĩ, nutũngama, nulompa palumuĩ nĩndĩo tũlũ ensi. 
ACT.20.37	Ensi naalĩla dũũ, naamukũmbasĩla uPaulo munkingo, naamusunĩkia. 
ACT.20.38	Naatũla nuusungu nangũlũ kunsooko ya lukaani luasio naalulutambuĩle, ya kĩna sika ĩkakumuona kangĩ uusiu waakue. Naamutindĩkĩĩlia sunga kwipyango.
ACT.21.1	Pĩna alĩ kukĩlaga nĩndĩo nukwiandia umusĩnzo munaza, nakupika kunzĩla ya kĩsongela kuKosi; lutondo lwa kabĩlĩ nakupika kuLodo; kwipũna kuasio nakupika kuPatala. 
ACT.21.2	Pĩna nakuona ipyango lya kukupũũtia ĩnanza sunga kuPoiniki nakunankĩla nakuandia umusĩnzo munanza. 
ACT.21.3	Pĩna nakuona ĩKiipulo nakumĩleka luandĩ lwa nkĩgĩ, nakulĩgendia ipyango sunga kũShamũ, nakupika kuTilo, kuitĩ kuasio ipyango alĩ liiikia ĩmĩligo yaakue. 
ACT.21.4	Pĩna nakuona ĩamanigua, nakuĩma kuasio ntondo mupũngatĩ. Kunzĩla ya kĩMuau naamuĩĩla uPaulo walekienda kũYelusalemũ. 
ACT.21.5	Sunga pĩna nakutimĩlia intondo zaasio, nakulega nakulongola; naakutindĩkĩĩlia tũlũ palumuĩ nĩasungu nĩaana aao sunga kunzi ya kaa, nakutũngama pikiki lya nanza nakulompa. 
ACT.21.6	Pĩna nakwĩlaga nakũingĩla mwipyango, nĩndĩo naashooka kukaa.
ACT.21.7	Pĩna nakukondia umusĩnzo munanza kwipũna kuTilo, nakupika kuTolemai; nakuaũgia ĩanũna nakuĩma kumiao lutondo lumuĩ. 
ACT.21.8	Mudaau yaakue nakulega, nakupika kuKaisalia, nakũingĩla munumba ya kĩPilipo, mutanantia wa Mpola naNziiza, naalĩ umuĩ wa aasio namupũngatĩ, nakuĩma kumuakue.
ACT.21.9	uMuntu uyu alutĩĩte ananso anĩĩ naakupũnagiaa uunakĩdagu. 
ACT.21.10	Pĩna alĩ kuĩmile kuaasio intondo ningĩ, munakĩdagu umuĩ ĩliina liakue Agabo nuuza kwipũna kuUyahũdi 
ACT.21.11	Pĩna nukuagaana, nuusola umusipi wa kĩPaulo, nwĩtũnga ĩmĩgulu nĩmĩkono, nuũga, “uMuau Muelu uũgile itĩ, itĩ yoi ĩAyahũdi a kũYelusalemũ ĩkakumutũnga umukola musipi uu, nĩndĩo ĩkakumuĩĩkĩla mumĩkono ya ndugu nazĩngĩ.” 
ACT.21.12	Pĩna nakũigia itĩ ishie nĩantu naalĩ akoolĩ paasio nakumupeepia walekienda kũYelusalemũ. 
ACT.21.13	Paapo uPaulo nushookeelia, “Mwitenda yaani, kwilĩla nukumũnangĩlia ĩnkolo. Kuitĩ ĩne nĩzĩpĩlĩĩlie sika kwitũngua udũũ, ĩpa sunga kwikia kũYelusalemũ kunsooko ya liina lya kĩShekulu Yesu.” 
ACT.21.14	Pĩna nusiita kukukũigia nakutuulia, nakuũga, “uUlooa wa kĩShekulu nautendeke.”
ACT.21.15	Pĩna nazikĩla intondo zaasio, nakukenka iisheme yĩĩtu, nakulongola kũYelusalemũ. 
ACT.21.16	ĩĨĩa a amanigua a kuKaisalia nakwĩtiata niindidishie, naakutuala kunumba ya kĩMunasoni nwa kuKiipulo, mumanigua wa kalĩ, kwikyale kumuakue. 
ACT.21.17	Pĩna nakupika kũYelusalemũ, ĩanũna naakusũgamĩĩlia kuulumbi.
ACT.21.18	Palutondo lwa kabĩlĩ uPaulo nũingĩla kwa kĩYakobo palumuĩ nindiishie, nĩanampala tũlũ alĩ akoolĩ. 
ACT.21.19	Pĩna nakuaũgia, uPaulo nulondoosia impola zensi, lumuĩ lumuĩ, uNzua naalutendile pakatĩ ya ndugu nazĩngĩ kunzĩla ya wĩtumi waakue. 
ACT.21.20	Pĩna naaziigia, naamukulia uNzua. Naamuĩĩla, “Munũna wĩĩtu, uoonie ĩAyahũdi naasuĩlĩĩle kĩna aazaa magana ma nzogũ mingĩ; kangĩ ensi atĩĩte wĩĩlũ kunsooko ya Ulagĩĩlio. 
ACT.21.21	Nĩndĩo aĩĩlaguaa impola zaako kĩna ukuamanagiaa ĩAyahũdi ensi naĩkyalaa pakatĩ ya ndugu nazĩngĩ amuleke uMusa, nukukuaĩĩla alekiaalamia ĩaana aao, kangĩ alekiamba intendo. 
ACT.21.22	Aĩpa mbii. Ikiiigia kualiĩ kĩna waazaa. 
ACT.21.23	Luulo gua, tenda yoi kĩna kukukuĩĩla. Akoolĩ antu anĩĩ kunsĩĩtu naalĩ atũngue nilyapo; 
ACT.21.24	uasole ĩantu ĩa, mwĩeelie palumuĩ, ualĩpĩĩlie koona amue ĩmatũe maao. Itĩ tũlũ ikimana kĩna impola izi naalĩ aĩĩlue kunsooko yaako sika kĩntu, ĩpa ue umuene utĩĩĩte lugendo naluuza, kangĩ uuambile uUlagĩĩlio. 
ACT.21.25	Ĩpa mumpola za ndugu nazĩngĩ naalĩ asuĩlĩĩle, alĩ kuandĩkile nukwipũnia uulamuli wĩĩtu, ĩnege ĩeene niintu naalĩ ipoleligue kuanzegamĩla, nĩmĩgali, nĩnaigogue, nuugololia.” 
ACT.21.26	Paapo uPaulo nuasola ĩantu aasio, lutondo lwa kabĩlĩ nwĩeelia umuene palumuĩ nĩndĩo, nũingĩla muNumba ya kĩNzua nwitanantia impola za kutimĩĩlia intondo za weeligua, sunga ĩkĩpeelo kĩpũnigue kunsooko ya wensi mumiao.
ACT.21.27	pĩna intondo zaasio nazĩmupũngatĩ alĩ zĩpiipĩ kwitimĩla, ĩAyahũdi naalĩ apũnile kuAsia naamuona muNumba ya kĩNzua naalĩsaalĩnkania iyũmbĩ liensi naamuguĩla, 
ACT.21.28	naakulia ĩkĩlanga naaiũga, “Agoosia aĨsilaeli, kualĩliĩ! Uyu wayu muntu nukumanagiaa ĩantu tũlũ pensi impola za kuakungumia ĩantu ĩĩtu nuUlagĩĩlio nĩndĩĩpa pana yeelu. Kangĩ kwikĩla izi, nũingĩlia ĩAgiliki munu muNumba yakĩNzua, nudobia ĩpa pana yeelu. 
ACT.21.29	Kuitĩ alĩ amuoonie uTilofimo Muepeso palumuĩ ninduyo mukaa, naasĩĩga kĩna uPaulo alumũingĩĩlie muNumba ya kĩNzua.” 
ACT.21.30	Kaa yensi nĩlũangĩlua, ĩantu naĩlundĩĩla, naamuguĩla uPaulo, naamukuesa, naamupũnia muNumba ya kĩNzua, ĩkamuĩ ĩmazĩĩgĩ namigyalĩlua. 
ACT.21.31	ĩpa pĩna naiidũũma kukumuulaga, impola nazumupikĩĩla umukulu wa ulugu ya kĩna iYelusalemũ yensi yakulũganĩkaa. 
ACT.21.32	Ĩkamuĩ nuasola ĩlaasi nĩakulu aao numanka kumiao. Nĩndĩo pĩna naamuona umukulu wa ulugu palumuĩ nĩĩlaasi, naleka kukumukua uPaulo. 
ACT.21.33	uMukulu wa ulugu nusũgamĩĩla, numuguĩla, nulagĩĩlia watũngue matendele mabĩlĩ. Nukolia, “Waani uyu, kangĩ utendile yaani.” 
ACT.21.34	Naakulia ĩkĩlanga, ĩĩĩa mwiyũmbĩ naaũga itĩ, nĩĩĩa iyaao. Pĩna nulemua kwilĩnga ĩtĩ kunsooko ya kĩlanga, nulagĩĩlia watualue munkĩlĩ. 
ACT.21.35	uPaulo pĩna nupika paunankĩlĩlo nukenkua nĩĩlaasi kunsooko ya muzũgo wiyũbĩ, 
ACT.21.36	Kuitĩ ĩantu iingĩ dũũ alĩ ĩtiatile, naakulia ĩkĩlanga, naaũga, “Muleegie uyu!”
ACT.21.37	uPaulo pĩna alĩ wileetua munkĩlĩ numuĩĩla umukuulu wa ulugu, “Nsũũmilene nukuĩĩle lukaani.” Unuasio numuĩĩla, “Wĩĩzĩne ĩKĩgiliki;” 
ACT.21.38	ue sika uMumĩsili nuasioone naaluuukilie uluntampa intondo izo, nuatongeela mumbuga ĩantu magana ma nzogũ manĩĩ naakuĩtaguaa Aulagi? 
ACT.21.39	uPaulo nuũga, “Ĩne nuMuyahũdi wa kuTaliso, ĩkaa ya Kilikia; numukolakaa wa kaa nasika niino. Nakupeepia, undekele nĩtambuĩle nĩantu ĩa.” 
ACT.21.40	Pĩna numupeela ĩlioma, uPaulo nuĩmĩka paunankĩlĩlo nwĩaangaazĩlia umukono ĩantu; pĩna naatuulia, nuĩ kuatambuĩla kuntambo ya kĩEbũlania nwiũga,
ACT.22.1	“Agoosia anũna aane nĩatata aane, nzigiĩ inkaani zaane za ukuĩli ntongela yaani ĩpaino.” 
ACT.22.2	Pĩna naiigia kĩna ukĩtambuĩla nĩndĩo kuntambo nya Kĩebulania naatuulia udũũ.
ACT.22.2	Nuũga,
ACT.22.3	“Ĩne nuMuyahũdi, numulelue kuTaliso, kaa nya Kilikia, ĩpa alĩ numukulĩligue muna kaa yoĩ; pamĩgulu ya kĩGamalieli namanigua kĩĩsa-kĩĩsa uUlagĩĩlio wa atata ĩĩtu, nanĩkamatĩkia mumpola za kĩNzua zĩ uniinie tũlũ nantende ĩĩ. 
ACT.22.4	Nanĩaagia ĩantu a Nzĩla ĩĩ sunga kukuaulaga, nanĩatũnga nanĩatuala kukĩtũngo, agoosia nĩasungu, 
ACT.22.5	Kĩna umupolia namukulu nĩanampala a kialo ensi ankuĩlĩĩle. Nanaanũnkula ĩmbalua kwipũna kumiao nĩatualĩle ĩanũna.” 
ACT.22.6	Pĩna alĩ kĩlĩ nĩĩlĩ mumusĩnzo nukwishũgamĩĩla kuDamesiko zĩ nsaa ya mutandatu ya munsĩ kumpũmpũkĩlĩ weelu ukulu naupũna kwigyulu naumĩlĩkĩla ĩne nandĩ zensi. 
ACT.22.7	Nangua pansĩ naniigia luli nalumbuĩla Sauli Sauli nĩkĩ winjagia. 
ACT.22.8	Nanshookeelia uue waani Shekulu. “Numbuĩla ĩne neene Yesu Munazaleti ue nwinjagia.” 
ACT.22.9	Ĩpa ĩaasio naalĩ auoonie uweelu ĩpa sika alĩ alũigilie ululi lwa nuasio naalĩ kukĩtambuĩla nineene. 
ACT.22.10	Nambũga ntende yaani shekulu ũShekulu numbuĩla ĩĩmĩka wende kuDamesko; kuasio ukiĩĩlua impola tũlũ nandagiĩĩligue uzitende. 
ACT.22.11	Pĩna nanemua kwiona kunsooko ya ukulu wa weelu waasio namambua kumĩkono nĩaasio naalĩ kwĩensi nampika kuDamesiko.
ACT.22.12	Alukoolĩ muntu umuĩ, ĩliina liakue Anania, mukola kuukendegeela uUlagĩĩlio wensi, naalutĩĩte lukũmo naaluuza pakatĩ ya Ayahũdi ensi naĩkikyalaa kuasio, 
ACT.22.13	nunzagaana, nuĩmĩka piipĩ pamuane numbuĩla, Munũna waane Sauli, uone, Nineene katũngo kako-kaakoo namona. 
ACT.22.14	Paapo nuũga, uNzua wa atata ĩĩtu alukusaaguĩle ue ulĩnge uulooa waakue nukukumuona unuasio Mukola kulukuuluu, nukukulũigia ululi nalupũnile mumulomo waakue. 
ACT.22.15	Kuitĩ ukitũla mukuĩli waakue kuantu tũlũ ensi, waa mpola zaasio naaluzioonie nukukuziigia. 
ACT.22.16	Ĩpaino wĩĩmĩĩle yaani? Ĩĩmĩka ubadĩĩzigue; woogie ĩmĩlandu yaako, wiiĩĩta ĩliina liakue.
ACT.22.17	Pĩna naashooka kũYelusalemũ nukwilompa muNumba ya kĩNzua, ĩnkolo yaane nĩkia mukanka, 
ACT.22.18	nanumuona nduyo, numbuĩla, Uuka, ulege mũYelusalemũ kuukaaũ, kunsooko sika ĩkakuugomba uukuĩli waako mumpola zaane. 
ACT.22.19	Nineene nambũga, Shekulu, ĩeene akola amanile kĩna ĩne mũshũnagogi liensi alĩ nukuaĩĩka mukĩtũngo nukukuakua naasuĩlĩĩle mumuako. 
ACT.22.20	Nĩmĩgali ya kĩSitepano umukuĩli waako. pĩna alĩ iiitua, ĩne alĩ nkoolĩ paapo nũkũlindĩĩla intiila zaao naalĩ akumuulaga. 
ACT.22.21	Ninduyo numbuĩla, Lega udũũ, kunsooko nikakukutuma wende kulĩ kundugu nazĩngĩ.
ACT.22.22	Naamutegeela sunga palukaani lwalu; paapo naĩtunta induli zaao naaũga, “Muleegie umuntu kĩna uyu muna nsĩĩ, kuitĩ sika yumũjĩpĩĩle watũle muumĩ.” 
ACT.22.23	Pĩna alĩ ikulia ĩkĩlanga nukwiguma intiila zao nukwishemula ĩmasalu mukiania,
ACT.22.24	umukulu wa ulugu nulagĩĩlia waleetue munkĩlĩ, nwiũga wakoligue impola zaakue kunzĩla nya makuo wamĩone ĩnsooko ya kumukulĩlia ĩkĩlanga itĩ. 
ACT.22.25	Ĩpa pĩna alĩ amutũngile naluligĩ, uPaulo numuĩĩla umukulu wa ĩlaasi naalĩ wĩĩmĩkile paasio, “Kuuza ntendone kukumukua uMulumĩ pĩna wikaalĩ walamulue.” 
ACT.22.26	Pĩna umuntu nuasio nũigia ĩzaasio, nuenda numuĩĩla umukulu wa ulugu, “wakitenda mbii. Kuitĩ umuntu uyu ingĩ Mulumĩ.” 
ACT.22.27	uMukulu wa ulugu nuuza numukolia, “Mbuĩla, uue uMulumĩne.” Nuũga, “Eeze.” 
ACT.22.28	uMukulu nushookeelia, “Ĩne uukolakaa uu alĩ nuugulile kungele nkulu.” uPaulo nuũga, “Ĩne gua numulelelue muumo.” 
ACT.22.29	Nĩaasio naalĩ akaaa kumukolia naalega naamuleka kuukaaũ. uMukulu nuasio nduyo noopooka pĩna nulinga kĩna ingĩ Mulumĩ, kangĩ kunsooko alĩ wamutũngaa.
ACT.22.30	Lutondo lwa kabĩlĩ pĩna nusiia kwimana kutai kunsooko kĩ alĩ wishookigua nĩAyahũdi, numutũnguĩla, nulagĩĩlia ĩapolia naakulu nilindĩ liensi lyĩlunde. Numuleeta uPaulo pansĩ numuĩmĩkia ntongela yaao.
ACT.23.1	uPaulo nuatuupĩĩla ĩakulu ilindĩ, nuũga; “Agoosia anũna aane, ine kumoo namuelu nikyalile ntongela ya kĩNzua sunga nantende.” 
ACT.23.2	ĩpa umupolia namukulu, uAnania, nualagĩĩlia ĩaasio naalĩ ĩpiipĩ ninduyo amukue umulomo waakue.
ACT.23.3	Paapo uPaulo numuĩĩla, “uNzua akakukukua ue gyelele nipyakue ĩnkenke! Nĩkĩ wikyalansile kwinamula lika lya Ulagĩĩlio, ninduue wioonoona uUlagĩĩlio, nwilagĩĩlia nkuue.” 
ACT.23.4	ĩAasio naalĩ ĩĩmĩkile piipĩ ninduyo naaũga, “Waakumutukane umupolia namukulu nwa kĩNzua.” 
ACT.23.5	uPaulo nushookeelia nuũga, “Sika aza manile, anũna aane, kĩna uyu mupolia namukulu, kuitĩ yandĩkue, Uleke kumuĩĩla inkaani nambĩĩ umukulu wa antu aako.”
ACT.23.6	uPaulo pĩna nulĩnga kĩna ĩĩĩa Asadukayo ĩĩĩa Apalisayo, nwĩtunta ululi luakue ntongela ya akulu ilindĩ, “Agoosia anũna aane, ĩne neene Mupalisayo, muana wa Mupalisayo ĩne nilamulua mumpola za ulaaĩĩli nuwiiuki wa akiu.” 
ACT.23.7	Pĩna nutambula izi, nawigyela wĩkungumi pakatĩ ya Apalisayo nĩAsadukayo, umulundo naukamatuka. 
ACT.23.8	Kuitĩ ĩAsadukayo akuũgaa ukutilĩ kawiiuki kamuĩ amalaĩka kamuĩ nkolo, ĩpa ĩApalisayo akukũmuulaa kĩna tũlũ ikoolĩ. 
ACT.23.9	Paapo nakiĩ kĩlanga kĩkulu; nĩalangĩ aluandĩ lwa Apalisayo naĩĩmĩka naĩĩ kĩkunguma naaũga, “Sika kuoonie kaubĩĩ wensi kumuntu uyu. Anga ĩnkolo kamuĩ malaĩka naĩkĩtambuĩla ninduyo, yaa yaani gua?” 
ACT.23.10	pĩna wĩleei ukulu nauuka, umukulu nuasio noopooka, uPaulo walekitandulanigua nĩndĩo, nualagĩĩlia ĩĩlaasi atime amuleegie kungũlũ mumĩkono yaao, amutuale kunkĩlĩ.
ACT.23.11	uUtiku waasio ũShekulu nuĩmĩka piipĩ ninduyo nuũga, “Kamia nkolo Paulo, kuitĩ kĩna iio naalunkuĩlĩĩle mumpola zaane kũYelusalemũ, iio-iioo yukũjĩpĩĩle unkuĩle sunga kuLumĩ.”
ACT.23.12	Pĩna naweela, ĩAyahũdi naakomia ĩkialo naiila ityunu ya kĩna sika ikilĩa nukwikopa sunga amuulage uPaulo. 
ACT.23.13	Nĩaasio naalĩ akomilie ĩkialo itĩ alĩ iingĩ kwikĩla makumi manĩĩ. 
ACT.23.14	Naenda kuapolia nakulu nĩanampala, naaũga, “Kwakamantanaa muiilityunu, kuleke kitomata kakĩntu sunga kumuulage uPaulo.” 
ACT.23.15	Luulo gua, inie palumuĩ nĩanilindĩ, muĩĩlĩ ino-iinoo umukulu wa ulugu wamuleete pansĩ kĩna muani zĩ mukakuzilekanula kĩĩsa impola zaakue. ishie kwĩzĩpĩlĩĩlie kukumuulaga pĩna wikĩĩlĩ kalasũgamĩĩla.
ACT.23.16	uMũpyua wa kĩPaulo nwigyũlia kĩna akumuteketeelia, nuenda nũingĩla munkĩlĩ numuĩĩla uPaulo. 
ACT.23.17	uPaulo numuĩta umuĩ wa akulu a ĩlaasi, nuũga, “Mutuale umusumba uyu kumukulu wa ulugu, kuitĩ utĩĩte mpola za kumuĩĩla:” 
ACT.23.18	Numusola, numutuala kumukulu wa ulugu, numuĩĩla, “uPaulo umutũngua azunzĩtile wanompa nukuleetele umusumba uyu kunsooko utĩĩte mpola za kukuĩĩla.” 
ACT.23.19	uMukulu nuasio numuamba umukono, nwĩũna palumuĩ ninduyo kĩmpeelo numukolia kukĩmpisĩ-mpisĩ, “Utĩĩte lukaani kĩ lwa kumbuĩla.” 
ACT.23.20	Nuũga, “ĩAyahũdi ĩgombagiaa akulompe umutuale uPaulo mudaau umuĩĩke ntongela ilindĩ zĩ asiile kwimana kĩĩsa-kĩĩsa impola zaakue. 
ACT.23.21	Kuluulo gua, ue ulekigomba, kuitĩ antu akĩlile nĩmakumi manĩĩ, naamuteketelĩĩlie, naakamantanile muiilityunu kĩna sika ikilĩa nukwikopa sunga amuulage; nĩndĩo itĩ ĩzĩpĩĩlagiaa alindĩĩle ilyago kumuako.” 
ACT.23.22	uMukulu nuasio numuleka umusumba wende, numulagĩĩlia, “Uleke kumuĩĩla kamuntu kĩna wambuĩla impola izi.”
ACT.23.23	Nuĩĩta akulu aĩlaasi abĩlĩ, nuũga, “Pansaa ya katatu nya utiku zĩpĩĩliĩ ĩĩlaasi magana mabĩlĩ ende sunga kuKaisalia, nĩadamĩĩla mpalasi makumi mupũngatĩ, nĩnaatĩĩte indilima, magana mabĩlĩ. 
ACT.23.24	Kangĩ mumuzĩpĩlĩlie uPaulo mpalasi ya kudaamĩĩla, mumutuale iiza kwakĩ jũmbe uPeliki.” 
ACT.23.25	Nuandĩka mbalua itĩ,
ACT.23.26	“Kilaudio Lisia kwakĩ jũmbe numukulu Peliki, nakulamukia! 
ACT.23.27	uMuntu uyu alĩ muguĩlue nĩAyahũdi piipĩ kwiulagua ndĩo, paapo nanenda palumuĩ nĩĩlaasi nanumugũna, pĩna nanumumana kĩna uyu Mulumĩ. 
ACT.23.28	Pĩna nansiia mane alĩ amusokilie lukaani kĩ nanumutuala ntongela ilindĩ liao. 
ACT.23.29	Namona kĩna musokigue mumpola za Ulagĩĩlio waao, sika alĩ musokigue lukaani luensi nalũjĩpĩĩle kwitũngua kamuĩ kwiulagua. 
ACT.23.30	Pĩna naniigia kĩna ĩkakumukũsĩla, ĩkamuĩ namutuma kumuako, nalagĩĩlia ĩasokia aakue atambule inkaani zaao ntongela yaako Mulamu gua.”
ACT.23.31	Iio gua, ĩĩlaasi naamusola uPaulo kĩna alĩ alagĩĩligue, naamutuala sunga kuAntipatili muutiku. 
ACT.23.32	Mudau yaakue naaleka ĩaasio ĩadaamĩĩla mpalasi ende palumuĩ ninduyo, naĩngĩ naashooka kunkĩlĩ. 
ACT.23.33	Pĩna naapika kuKaisalia nukukumupeela ũjũmbe ĩmbalua, naamuĩĩka uPaulo ntongela yaakue. 
ACT.23.34	Pĩna numĩsoma ĩmbalua, nukolia upũnile nsĩĩ kĩ. 
ACT.23.35	nuũga, “Nĩkakukutegeela pĩna ikiiza ĩasokia aako.” Nulagĩĩlia walindĩĩlue munumba ya kĩHelode.
ACT.24.1	Pĩna nazikĩla ntondo zitaano, uAnania mupolia namukulu nuuza palumuĩ nityũmpĩ lya anampala numutambuĩla umuĩ ĩliina liakue Telitulo, nĩndĩo naamulondooselia ũjũmbe impola za kĩPaulo. 
ACT.24.2	Ninduyo pĩna nuĩtua, uTelitulo nuandia kukumusokia, nuũga.
