MAT.1.1	Yesu Kristo a ofi ɔhene Dawid ne Abraham abusua mu no mpanyimfo din na edidi so yi: 
2CO.10.12	Ɛyɛ nokware, yerentumi mfa yɛn ho ntoto wɔn a wɔfa wɔn ho sɛ wɔn asetena korɔn no ho. Saa nnipa no yɛ nkwaseafo! Wɔnam wɔn ho a wɔde wɔn ho toto wɔn ho wɔn ho no so bu wɔn ho atɛn.
2CO.10.13	Yɛn de, yɛn ahohoahoa no ntra beae bi. Yɛn ahohoahoa no ntra dwuma a Onyankopɔn atu yɛn sɛ yɛnyɛ a mo mu adwumayɛ ka ho no. 
2CO.10.14	Esiane sɛ mowɔ saa tebea no mu nti, yɛbaa mo nkyɛn bɛkaa Asɛmpa a ɛfa Kristo ho no a, yɛantra. 
2CO.10.15	Eyi nti yɛmfa adwuma a nkurɔfo ayɛ atra Onyankopɔn beae a wahyɛ so no nhoahoa yɛn ho. Nea yɛrepɛ ne sɛ mo gyidi ase betim na ɛnam so ama yɛatumi ayɛ mo mu adwuma a yɛntra beae a Onyankopɔn ahyɛ no.
2CO.10.16	Na yɛnam so atumi aka Asɛmpa wɔ aman foforo so a yɛremfa adwuma a obi nim yɛ a ɔfoforo ayɛ no nhoahoa yɛn ho.
2CO.10.17	Kyerɛwsɛm no ka se, “Obiara a ɔpɛ sɛ ɔhoahoa ne ho no nhoahoa no wɔ ade a Awurade ayɛ mu.” 
2CO.10.18	Efisɛ, ɛnyɛ ka a onipa bɛka ne ho asɛm pa no na ɛma Onyankopɔn gye no to mu na mmom onipa a Onyankopɔn no ara bɛka ne ho asɛm pa no na ogye no to mu.
2CO.11.1	Mewɔ anidaso sɛ, sɛ meyɛ nkwaseade koraa a, mubegye me. Mepa mo kyɛw, monyɛ saa. 
2CO.11.2	Metwe mo ho ninkunu sɛnea Onyankopɔn twe mo ho ninkunu no. Mote sɛ ɔbaabun a, mahyɛ ɔbarima baako pɛ bi a, ɔno ne Kristo no bɔ sɛ mede mo bɛma no aware. 
2CO.11.3	Misuro sɛ wɔbɛsɛe mo adwene na mo a mode mo ho nyinaa ama Kristo no, mubegyae sɛnea Ɔwɔ no nam anifere so daadaa Hawa no. 
2CO.11.4	Mode anigye gye obiara a ɔba mo nkyɛn bɛka Yesu foforo a ɔnyɛ nea yɛka ne ho asɛm kyerɛ mo no di; mugye honhom no ne asɛmpa a nsonoe da ɛno ne Honhom ne Asɛmpa a yɛka kyerɛ mo no ntam no di.
2CO.11.5	Minnye nni sɛ mofa me sɛ meyɛ “Asomafo” no mu abomfiaa. 
2CO.11.6	Ebia mʼano ntew de, nanso mʼadwene mu abue. Ɔkwan biara so, yɛama mo ate saa asɛm yi ase.
2CO.11.7	Mebɛkaa Onyankopɔn Asɛmpa no kyerɛɛ mo no, mannye mo hwee. Mebrɛɛ me ho ase sɛnea ɛbɛma mo akorɔn. Bɔne a meyɛe ne sɛ meyɛɛ saa? 
2CO.11.8	Bere a na mereyɛ mo mu adwuma no, asafo afoforo bi na na wotua me ka. Na miwia wɔn de boa mo. 
2CO.11.9	Bere a na mewɔ mo nkyɛn no, sɛ sika ho hia me a, na menhaw mo. Na anuanom a wɔte Makedonia no de biribiara a ɛho hia me brɛ me. Sɛnea na ɛte mmere a atwam no, saa ara nso na daakye bɛyɛ. Merenyɛ adesoa mma mo da. 
2CO.11.10	Kristo nokwaredi a ahyɛ me ma nti, mehyɛ mo bɔ sɛ obiara rentumi nka mʼahohoahoa yi nhyɛ wɔ Helaman mu da. 
2CO.11.11	Adɛn nti na meka saa? Efisɛ, mennɔ mo anaa? Onyankopɔn nim sɛ medɔ mo. 
2CO.11.12	Mɛkɔ so madi dwuma a meredi no mprempren yi sɛnea ɛbɛyɛ a saa “asomafo” no rennya kwan nhoahoa wɔn ho sɛ dwuma a wodi no te sɛ yɛn dwuma a yedi no pɛ.
2CO.11.13	Saa nnipa no nyɛ nokware asomafo. Wɔyɛ atoro asomafo a wɔnam twa atoro wɔ wɔn adwuma ho ma nnipa hu wɔn sɛ wɔyɛ Kristo asomafo. 
2CO.11.14	Ɛnyɛ me nwonwa, efisɛ, ɔbonsam koraa tumi sesa ne ho ma ɔdan yɛ sɛ hann. 
2CO.11.15	Enti ɛnyɛ nwonwa sɛ nʼasomfo tumi sesa wɔn ho de daadaa nnipa sɛ wɔyɛ papa. Awiei no, wobenya wɔn nneyɛe so akatua pɛpɛɛpɛ.
2CO.11.16	Miti mu ka bio se: ɛnsɛ sɛ obiara susuw sɛ meyɛ ɔkwasea. Sɛ mususuw saa a, ɛnne munnye me sɛnea mubegye ɔkwasea na menam so matumi mahoahoa me ho. 
2CO.11.17	Asɛm a mereka yi nyɛ nea Awurade pɛ sɛ meka. Meka ahohoahoa ho asɛm a, na mekasa sɛ ɔkwasea. 
2CO.11.18	Nanso esiane sɛ nnipa bebree hoahoa wɔn ho nipasu mu nti, me nso mɛyɛ saa. 
2CO.11.19	Mo ankasa mo ani atew nti mode anigye gye nkwaseafo. 
2CO.11.20	Mugye obi a ɔhyɛ mo so anaa nea onya mo ho biribi anaa nea osum mo firi anaa nea ommu mo anaa nea ɔbɔ mo ani so. 
2CO.11.21	Mefɛre sɛ megye eyi ato mu, nanso yɛn ahoɔmmerɛw na ɛma yɛyɛɛ saa. Sɛ obi tumi de biribi hoahoa ne ho a, ɛnne na mekasa sɛ ɔkwasea; me nso metumi ahoahoa me ho wɔ dekode no ho bi.
2CO.11.22	Wɔyɛ Hebrifo anaa? Me nso meyɛ bi. Wɔyɛ Israelfo anaa? Me nso meyɛ bi. Wɔyɛ Abraham asefo anaa? Me nso meyɛ bi.
2CO.11.23	Wɔyɛ Kristo asomfo anaa? Mekasa sɛ ɔbɔdamfo. Nanso meyɛ ɔsomfo pa sen wɔn. Mayɛ adwuma a ɛyɛ den sen wɔn; mada afiase mpɛn pii; wɔabɔ me mmaa bebree na metaa mebɛn owu nso. 
2CO.11.24	Yudafo bɔɔ me mmaa aduasa akron ahorow anum. 
2CO.11.25	Romafo bɔɔ me mmaa mpɛn abiɛsa na wosiw me abo pɛnkoro. Metenaa ahyɛn mu ma ɛbɔe mpɛn abiɛsa. Midii nsu ase nnɔnhwerew aduonu anan pɛn. 
2CO.11.26	Mʼakwantu ahorow mu, mihyiaa nsuyiri ne akwanmukafo. Mihuu amane wɔ Yudafo ne Amanamanmufo nsam. Mihuu nkurow so amane. Mihuu wuram amane. Mihuu ɛpo so amane ne nnamfo a wɔnka nokware nsam amane. 
2CO.11.27	Mayɛ adwuma a ɛyɛ den na ɔbrɛ wɔ mu. Mpɛn pii menna. Ɔkɔm ne sukɔm dee me. Mpɛn pii minnya aduan a ɛbɛso me nni. Minnya baabi nna anaa atade nhyɛ. 
2CO.11.28	Bere biara na mema asafo ahorow no ho nsɛm yɛ me asɛnhia. 
2CO.11.29	Sɛ obi yɛ mmerɛw a ɛma me nso meyɛ mmerɛw. Sɛ obi ka ɔfoforo kɔ bɔne mu a, ɛma me werɛ how.
2CO.11.30	Sɛ mehoahoa me ho a, na ɛsɛ sɛ mehoahoa me ho wɔ nneɛma a ɛkyerɛ me mmerɛwyɛ no mu. 
2CO.11.31	Awurade Yesu no, Onyankopɔn ne Agya no a ɛsɛ sɛ yɛkamfo no no nim sɛ merentwa nkontompo. 
2CO.11.32	Bere a mewɔ Damasko no, Amrado a na ɔhyɛ ɔhene Areta ase no maa awɛmfo wɛn kurow no pon pɛe sɛ wɔkyere me. 
2CO.11.33	Nanso wɔde me sii kɛntɛn mu twetwee me faa ɔfasu bi a apae tokuru mu de me sii fam ma miguan fii ne nsam.
2CO.12.1	Ɛwom sɛ ahohoahoa ho nni mfaso biara de, nanso ɛsɛ sɛ mehoahoa me ho. Nanso afei mɛka anisoadehu ne adiyisɛm a Awurade ada no adi akyerɛ me no.
2CO.12.2	Minim Okristoni bi a mfe dunan ni biribi hwim no de no kɔɔ soro. Minnim sɛ saa asɛm yi sii ampa ara anaasɛ ɛyɛ anisoadehu. Onyankopɔn nko ara na onim. 
2CO.12.3	Miti mu bio. Minim sɛ wohwim saa ɔbarima yi kɔɔ Paradise. Bio minnim sɛ saa asɛm yi sii ampa ara anaasɛ ɛyɛ anisoadehu. Onyankopɔn nko ara na onim. 
2CO.12.4	Na ɛhɔ na ɔtee nneɛma bi a wode ka nsɛm a ɛnyɛ ye, nneɛma a onipa anofafa ntumi nka. 
2CO.12.5	Enti mede saa onipa yi bɛhoahoa me ho na meremfa me ara me ho nhoahoa me ho gye sɛ nneɛma a ɛda me adi sɛ meyɛ mmerɛw no ho. 
2CO.12.6	Sɛ mepɛ sɛ mehoahoa me ho a, anka merenyɛ ɔkwasea, efisɛ, anka mɛka nokware. Nanso merenhoahoa me ho, efisɛ, mempɛ sɛ obiara bu me otitiriw sen sɛnea wahu na wate afi me nkyɛn no.
2CO.12.7	Sɛnea ɛbɛyɛ a ɛnam saa adiyisɛm nwowaso yi nti meremma me ho so no, ɔbonsam somaa ne bɔfo ma ɔbɛhwee me, brɛɛ me ase. 
2CO.12.8	Mebɔɔ eyi ho mpae mpɛn abiɛsa kyerɛɛ Awurade na mesrɛɛ no se ɔmma omfi me so nkɔ.
2CO.12.9	Ne mmuae a ɔmaa me ne sɛ, “Mʼadom nko ara na ɛho hia wo na bere a woayɛ mmerɛw no na me tumi mu yɛ den pa ara.” Enti ɛyɛ me anigye pa ara sɛ mede me mmerɛwyɛ hoahoa me ho sɛnea ɛbɛyɛ a mɛte Kristo banbɔ tumi a ɛbɔ me ho ban no. 
2CO.12.10	Esiane Kristo nti, mepene mmerɛwyɛ, ɔyaw, amanehunu, ɔtaa ne akwansiwde so. Efisɛ, me mmerɛwyɛ mu no na meyɛ den.
2CO.12.11	Meyɛ me ho sɛ ɔkwasea nanso mo na moama mayɛ saa. Mo na anka ɛsɛ sɛ mugye me tom. Na sɛ menyɛ hwee a, ɔkwan biara so no, menyɛ sɛ abomfiaa wɔ mo anim nsen “Asomafo” a mubu wɔn no. 
2CO.12.12	Mede boasetɔ dii dwuma wɔ mo mu de kyerɛe sɛ meyɛ ɔsomafo. 
2CO.12.13	Dwumadi no bi yɛ nsɛnkyerɛnne ne anwonwade. Adɛn nti na moyɛ asɔre a aka no mu abomfiaa, efisɛ, mammisa mo mmoa bi nti? Mesrɛ mo momfa saa mfomso no nkyɛ me.
2CO.12.14	Eyi ne ne mpɛn abiɛsa so a masiesie me ho pɛ sɛ mebɛsra mo. Na meba nso a, meremmisa mo biribiara. Mo na merehwehwɛ mo na ɛnyɛ mo sika. Efisɛ ɛnyɛ mma na ɛsɛ sɛ wɔhwɛ wɔn awofo na mmom awofo na ɛsɛ sɛ wɔhwɛ mma. 
2CO.12.15	Ɛbɛyɛ me anigye sɛ mo nti, mɛhwere nea mewɔ ne mʼadagyew de aboa mo. Esiane sɛ medɔ mo yiye no nti, mo dɔ a modɔ me no so bɛtew anaa?
2CO.12.16	Mobɛte ase sɛ na menyɛ adesoa mma mo. Nanso obi bɛka se, na meyɛ ɔdaadaafo a mede nnaadaa yii mo.
2CO.12.17	Ɔkwan bɛn so? Menam abɔfo a mesomaa wɔn mo nkyɛn no so sisii mo anaa? 
2CO.12.18	Mesomaa Tito sɛ ɔnkɔ, ɛnna mesomaa onua baako kaa ne ho. Mokyerɛ sɛ Tito sisii mo anaa? Ɔno ne me nyinaa nkita adwenekoro nni dwuma koro?
2CO.12.19	Ebia, mudwen sɛ ɔpɛ ara na yɛpɛ sɛ yɛka biribi de tetew yɛn ho wɔ mo anim. Dabi! Yɛkasa sɛnea Kristo pɛ sɛ yɛka wɔ Onyankopɔn anim. Na biribiara a yɛyɛ no nso, me nnamfo pa, yɛyɛ de boa mo. 
2CO.12.20	Misuro sɛ, sɛ midu hɔ a, sɛnea anka mepɛ sɛ mihu mo no, merenhu mo saa. Saa ara nso na sɛnea anka mopɛ sɛ muhu me no, morenhu me saa. Minim sɛ mɛba abɛto akasakasa ne anibere, abufuw ne pɛsɛmenkominya, ɔyaw ne nseku, ahantan ne basabasayɛ so. 
2CO.12.21	Misuro sɛ da a mɛba bio no, Onyankopɔn begu mʼanim ase wɔ mo anim na mesu mama wɔn a wɔayɛ bɔne dedaw na wonnuu wɔn ho wɔ wɔn akɔnnɔ ne aguamammɔ ho no.
2CO.13.1	Nsra a ɛto so abiɛsa a merebɛsra mo ni. Kyerɛwsɛm no ka se, “Adanse a nnipa baanu anaasɛ baasa bedi no na ɛsɛ sɛ wɔfa.” 
2CO.13.2	Bere a mebaa mo nkyɛn nea ɛto so abien no, mebɔɔ mo kɔkɔ bi. Mereti mu bio mprempren a minni mo nkyɛn yi. Sɛ mesan ba bio a, mo anaa nnipa afoforo bi a wɔayɛ bɔne no, meremfa wɔn ho nkyɛ wɔn, 
2CO.13.3	efisɛ, mopɛ sɛ muhu nsɛnkyerɛnne bi sɛ Kristo nam me so kasa. Ɔnyɛ mmerɛw sɛ ɔbɛyɛ mo mu adwuma na mmom, ɔwɔ tumi wɔ mo mu. 
2CO.13.4	Ɛwom sɛ mmerɛwyɛ mu na wɔbɔɔ no asɛnnua mu nanso Onyankopɔn tumi mu na ɔte ase yi. Sɛ yɛde yɛn ho bata ne ho a, yɛn nso yɛyɛ mmerɛw de, nanso yɛn ayɔnkofa a yɛne no wɔ nti, yɛne no bɛtena wɔ Onyankopɔn tumi mu.
2CO.13.5	Monsɔ mo ho nhwɛ na mummu mu ho atɛn nhwɛ sɛ mote ase wɔ gyidi mu anaa. Munim yiye sɛ Kristo Yesu te mo mu anaa? Sɛ ɔnte mo mu a, na ɛkyerɛ sɛ moantumi sɔhwɛ no. 
2CO.13.6	Minim yiye sɛ mubehu sɛ yɛanni nkogu.
2CO.13.7	Afei, yɛbɔ mpae srɛ Onyankopɔn sɛ, morenyɛ biribiara a enye sɛnea ɛbɛyɛ a nnipa behu sɛ yɛadi nkonim, nso wohu yɛn sɛ yɛsɛ nnipa a yɛadi nkogu wɔ sɔhwɛ no mu. 
2CO.13.8	Yɛrentumi nsɔre ntia nokware na mmom, nokware nko na ɛsɛ sɛ yegyina ma no. 
2CO.13.9	Sɛ yehu sɛ yɛyɛ mmerɛw na moyɛ den a, na yɛn ani agye. Enti yɛn nso yɛrebɔ mpae sɛ mobɛyɛ pɛ.
2CO.13.10	Ɛno nti na merekyerɛw saa krataa yi abrɛ mo sɛnea ɛbɛyɛ a sɛ meba a, merennyina tumi a Awurade de ama me sɛ memfa mmoa mo na munnyin na mo mu antetew no so ne mo anni no dennen so.
2CO.13.11	Enti, anuanom, makra mo! Mompere nhwehwɛ ade pa; muntie mʼafotu; mo ne mo ho mo ho nka na montena ase asomdwoee mu. Na ɔdɔ ne asomdwoe Nyankopɔn no ne mo bɛtena.
2CO.13.12	Momfa onuadɔ nkyiakyia mo ho mo ho. 
2CO.13.13	Onyankopɔn nkurɔfo nyinaa kyiakyia mo.
2CO.13.14	Yɛn Awurade Yesu Kristo adom ne Nyankopɔn dɔ ne Honhom Kronkron no ayɔnkofa nka mo nyinaa.
GAL.1.1	Saa krataa yi fi me Paulo a ɔfrɛ a wɔfrɛɛ me sɛ memmɛyɛ ɔsomafo no mfi onipa na mmom efi Yesu Kristo ne Agya Nyankopɔn a ɔma ɔsɔre fii awufo mu no nkyɛn. 
GAL.1.2	Me ne anuanom a wɔwɔ ha nyinaa bom kyia Galati asafo ahorow no nyinaa.
GAL.1.3	Adom ne asomdwoe a efi yɛn Agya Nyankopɔn ne Awurade Yesu Kristo nka mo.
GAL.1.4	Yɛn bɔne nti, Kristo yɛɛ osetie maa yɛn Agya Nyankopɔn nam so de ne ho bɔɔ afɔre de gyee yɛn fii bɔne a yɛwɔ mu nnɛ yi mu. 
GAL.1.5	Anuonyam nka Onyankopɔn daa nyinaa. Amen.
GAL.1.6	Mo ho yɛ me nwonwa! Ɛnkyɛɛ koraa, morepa nea ɔnam Kristo adom so frɛɛ mo no akɔ asɛmpa foforo ho. 
GAL.1.7	Nokwarem, asɛmpa foforo biara nni baabi, nanso meka efisɛ, nnipa bi wɔ hɔ a wɔredan mo adwene pɛ sɛ wɔsesa Kristo Asɛmpa no.
GAL.1.8	Na sɛ yɛn anaa ɔbɔfo fi soro bɛka asɛmpa a nsonoe da ɛno ne yɛn Asɛmpa no ntam a, onii no bɛka afobu a enni awiei mu. 
GAL.1.9	Yɛaka dedaw na mereti mu bio se: Obiara a ɔbɛka asɛmpa a ɛne Asɛmpa a moagye atom no bɔ abira no bɛkɔ afobu a enni awiei mu.
GAL.1.10	Nea nnipa pene so na mereyɛ yi anaa? Dabi! Mepɛ nea Onyankopɔn pene so! Anaa mereyɛ nea ɛsɔ nnipa ani? Sɛ migu so reyɛ nea ɛsɔ nnipa ani a, ɛnne merenyɛ Kristo somfo.
GAL.1.11	Anuanom, mepɛ sɛ mote ase sɛ, Asɛmpa a meka kyerɛ mo no mfi onipa. 
GAL.1.12	Me nsa anka amfi onipa nkyɛn. Saa ara nso na ɛnyɛ onipa na ɔkyerɛɛ me. Ɛyɛ Kristo no ankasa na ɔdaa no adi kyerɛɛ me.
GAL.1.13	Moate sɛ na mesɛe mʼadagyew nyinaa wɔ Yudasom ho. Afei moate nso sɛ na mede atirimɔden taa Onyankopɔn akyidifo na mefaa ɔkwan biara a metumi so pɛe sɛ metɔre wɔn ase. 
GAL.1.14	Mʼafɛfo Yudafo no de, na mʼadwene mu abue wɔ Yudasom ho sen wɔn nyinaa. Na mikita yɛn nenanom amanne nso mu denneenen.
GAL.1.15	Nanso Onyankopɔn nam nʼadom so frɛɛ me ansa na ɔrewo me sɛ memmɛsom no. Na bere a osii nʼadwene pi 
GAL.1.16	sɛ ɔbɛda ne Ba no adi akyerɛ me sɛnea ɛbɛyɛ a mɛka Asɛmpa a ɛfa ne ho akyerɛ Amanamanmufo no, mankɔ obiara nkyɛn amma wantu me fo; 
GAL.1.17	saa ara nso na mankɔ Yerusalem mankohu asomafo a na wodi mʼanim kan no. Mmom, mekɔɔ Arabia prɛko pɛ ɛnna mesan mʼakyi baa Damasko. 
GAL.1.18	Mfirihyia abiɛsa akyi na mekɔɔ Petro nkyɛn wɔ Yerusalem ne no kodii nkɔmmɔ. Midii ne nkyɛn nnawɔtwe abien. 
GAL.1.19	Manhu ɔsomafo biara wɔ hɔ ka Awurade nua Yakobo ho.
GAL.1.20	Nsɛm a merekyerɛw yi yɛ nokware. Merentwa nkontompo enti Onyankopɔn mmoa me.
GAL.1.21	Ɛno akyi mebaa Siria ne Kilikia. 
GAL.1.22	Saa bere no na Kristo asafo horow a wɔwɔ Yudea no mu nnipa nnim me. 
GAL.1.23	Nsɛm a na wɔaka afa me ho se, “Afei de ɔbarima no a na ɔtaa yɛn no ka gyidi a na ɔpɛ sɛ ɔsɛe no no ho asɛm.” 
GAL.1.24	Na me nti, wɔhyɛɛ Onyankopɔn anuonyam.
GAL.2.1	Mfe dunan akyi, me ne Barnaba san kɔɔ Yerusalem. Mede Tito nso kaa me ho. 
GAL.2.2	Mekɔe efisɛ, Onyankopɔn na ɔdaa no adi kyerɛɛ me sɛ menkɔ. Me ne mpanyimfo no yɛɛ nhyiam kokoam kyerɛkyerɛɛ asɛmpa a meka mekyerɛɛ Amanamanmufo no mu kyerɛɛ wɔn. Na mempɛ sɛ mʼadwuma a mayɛ dedaw ne nea migu so reyɛ no yɛ ɔkwa. 
GAL.2.3	Ɛwom sɛ me hokafo Tito yɛ Helani de, nanso wɔanhyɛ no sɛ ontwa twetia, 
GAL.2.4	na mmom, nnipa bi a wɔboapa yɛɛ wɔn ho sɛ anuanom no bi a wɔde wɔn ho abɔ kuw no pɛe sɛ wotwa no twetia. Saa nnipa yi baa yɛn mu sɛ akwansrafo bɛhwɛɛ ahofadi a yɛnam yɛn a yɛne Kristo ayɛ baako so anya no, na wɔnam so adan yɛn nkoa no. 
GAL.2.5	Sɛnea ɛbɛyɛ a Asɛmpa no bɛtena mo nkyɛn nti, yɛamma wɔn kwan koraa.
GAL.2.6	Wɔn a wɔfa wɔn ho sɛ wɔyɛ atitiriw no, sɛnea wɔte biara no meka se, minhu wɔn ntam nsonoe biara. Onyankopɔn nhwɛ nnipa ho mmu atɛn; saa mpanyimfo no mfaa adwene foforo biara mmɛkaa mʼasɛm no ho. 
GAL.2.7	Na mmom wohui sɛ Onyankopɔn de dwuma no ahyɛ me nsa sɛ menka Asɛmpa no nkyerɛ Amanamanmufo sɛnea ɔde dwuma no hyɛɛ Petro nsa sɛ ɔnka Asɛmpa no nkyerɛ Yudafo no ara pɛ. 
GAL.2.8	Na Onyankopɔn a ɔnam Petro so yɛ adwuma sɛ Yudafo mu somafo no ara na ɔnam me so yɛ adwuma wɔ Amanamanmufo mu sɛnea Petro yɛ Yudafo mu adwuma no pɛ. 
GAL.2.9	Yakobo, Petro ne Yohane a na wɔfa no sɛ wɔyɛ mpanyimfo no, gye too mu sɛ, Onyankopɔn ama me dwuma sononko bi sɛ minni, enti wokyiaa me ne Barnaba. Wɔpenee so sɛ yɛnyɛ adwuma wɔ Amanamanmufo no mu na wɔn nso wɔnyɛ adwuma wɔ Yudafo no mu. 
GAL.2.10	Wobisae sɛ yɛnkae ahiafo wɔ wɔn kuw no mu sɛnea mepɛ sɛ meyɛ no.
GAL.2.11	Bere a Petro baa Antiokia no, mitiaa nea ɔreyɛ no mu wɔ bagua mu, efisɛ, na ɔreyɛ mfomso. 
GAL.2.12	Ansa na mmarima bi a Yakobo somaa wɔn no beduu hɔ no, na Petro ne anuanom Amanamanmufo no ato nsa adidi. Nanso nnipa no bedui akyi no, ɔtwee ne ho sɛ ɔne wɔn nnidi bio, efisɛ, na osuro wɔn a wɔpɛ sɛ wotwa Amanamanmufo twetia no. 
GAL.2.13	Anuanom Yudafo a aka no yɛɛ sɛ ahufo de wɔn ho bɔɔ Petro maa Barnaba nso de ne ho kɔbataa wɔn ho. 
GAL.2.14	Mihui sɛ nsɛm a wɔreka no ne Asɛmpa no bɔ abira no, mekaa no wɔ Petro ne bagua no anim se, “Woyɛ Yudani nanso woyɛ wo ho sɛ Amanamanmuni. Wonyɛ wo ho sɛ Yudani. Ɛbɛyɛ dɛn na woatumi ahyɛ Amanamanmufo ama wɔatena ase sɛ Yudafo?”
GAL.2.15	Ɛyɛ nokware sɛ yɛyɛ Yudafo fi yɛn awo mu. Yɛnyɛ Amanamanmufo nnebɔneyɛfo no.
GAL.2.16	Yenim sɛ ansa na obi bɛfata Onyankopɔn anim no, na gye sɛ wagye Yesu Kristo adi a ɛnyɛ sɛ ɔbɛyɛ nea Mmara no hwehwɛ sɛ ɔnyɛ no. Yɛn nso, yɛagye Kristo Yesu adi sɛnea ɛbɛyɛ a yɛnam ogye a yegye Kristo di no so na ɛnyɛ Mmara no apɛde a yɛyɛ so na yɛnam bɛfata Onyankopɔn anim. Onipa biara nni hɔ a ɔbɛyɛ nea Mmara no hwehwɛ sɛ ɔnyɛ na ɔbɛfata Onyankopɔn anim. 
GAL.2.17	Sɛ yɛpɛ sɛ wobu yɛn bem wɔ Kristo mu na sɛ ɛda adi sɛ yɛyɛ nnebɔneyɛfo a, na ɛkyerɛ sɛ Kristo pɛ bɔne? Ɛnte saa koraa. 
GAL.2.18	Sɛ mifiti si nea mabubu no a ɛkyerɛ sɛ mebu Mmara so. 
GAL.2.19	Na Mmara no nti, mawu. Mmara no ankasa akum me sɛnea ɛbɛyɛ a mɛtena ase mama Onyankopɔn. Wɔabɔ me ne Kristo asɛnnua mu 
GAL.2.20	enti ɛnyɛ me na mete ase bio na mmom Kristo no na ɔte me mu. Saa asetena a mete mu mprempren yi, mete ase wɔ Onyankopɔn Ba no a ɔdɔ me na ɔde ne nkwa maa me no gyidi mu. 
GAL.2.21	Mempo Onyankopɔn adom no. Sɛ onipa nam Mmara so fata Onyankopɔn anim a, na ɛkyerɛ sɛ Kristo wu a owui no yɛ ɔkwa.
GAL.3.1	Mo Galatifo adwenemharefo! Hena na ɔdan mo adwene saa? Mo ara mo anim na wɔkyerɛkyerɛɛ bɔ a wɔbɔɔ Yesu asɛnnuam no kyerɛɛ mo. 
GAL.3.2	Mummua me saa asɛm yi: Moyɛɛ nea Mmara no hwehwɛ sɛ monyɛ ansa na Onyankopɔn Honhom no reba mo so anaasɛ mutiee Asɛmpa no, gye dii ansa? 
GAL.3.3	Saa na mo adwene mu yɛ hare? Mode Onyankopɔn Honhom fii ase; afei mopɛ sɛ mode mo ara mo tumi wie? 
GAL.3.4	Mo suahu yi nyinaa ho amma mfaso biara? Minnye nni saa. 
GAL.3.5	Esiane sɛ moyɛ nea Mmara no hwehwɛ sɛ monyɛ no nti na Onyankopɔn hwiee ne Honhom no guu mo so ma moyɛɛ anwonwade no anaasɛ mutiee Asɛmpa no na mugye dii no nti?
GAL.3.6	Ɛte sɛ nea Kyerɛwsɛm no ka faa Abraham ho no pɛ se, “Ogyee Onyankopɔn dii na esiane ne gyidi nti, Onyankopɔn gyee no sɛ onipa trenee.” 
GAL.3.7	Enti ɛsɛ sɛ mote ase sɛ, nnipa a wɔwɔ gyidi no na wɔyɛ Abraham asefo turodoo. 
GAL.3.8	Kyerɛwsɛm no dii kan hui sɛ Onyankopɔn nam gyidi so bɛma Amanamanmufo adan aba ne nkyɛn. Eyi nti, Kyerɛwsɛm no dii kan kaa Asɛmpa no kyerɛɛ Abraham se, “Ɛnam wo so Onyankopɔn behyira nnipa a wɔwɔ asase so nyinaa.” 
GAL.3.9	Abraham gye dii, na wohyiraa no, na wɔn a wogye di nyinaa nso, wɔahyira wɔn sɛnea wohyiraa no no.
GAL.3.10	Wɔadome wɔn a wodi Mmara so no. Kyerɛwsɛm no ka se, “Obiara a onni nea wɔakyerɛw wɔ Mmara nhoma no mu no so no, Onyankopɔn nnome wɔ ne so!” 
GAL.3.11	Afei, akyinnye biara nni ho sɛ Mmara rentumi nka obiara mmata Onyankopɔn ho; efisɛ, Kyerɛwsɛm no ka se, “Nea wɔnam gyidi so aka no abata Onyankopɔn ho no bɛtena ase.” 
GAL.3.12	Nanso Mmara no nnyina gyidi so. Mmom Kyerɛwsɛm no ka se, “Onipa a ɔyɛ nea Mmara no hwehwɛ sɛ ɔnyɛ no, te hɔ ma Mmara no.”
GAL.3.13	Nanso Kristo agye yɛn afi nnome a Mmara no de brɛɛ yɛn no mu, efisɛ, wayɛ nnome ama yɛn sɛnea Kyerɛwsɛm no ka se, “Obiara a wɔbɛsɛn no dua so no hyɛ Onyankopɔn nnome ase.” 
GAL.3.14	Kristo gyee yɛn sɛnea ɛbɛyɛ a nhyira a wohyiraa Abraham no nam Kristo so bɛba Amanamanmufo so na yɛnam gyidi so anya bɔ a Honhom no ahyɛ yɛn no.
GAL.3.15	Anuanom, mede yɛn asetena mu asɛm bi bɛyɛ nhwɛso: Sɛ nnipa baanu bi pene asɛm bi so na wɔyɛ ho apam a, obiara rentumi mmu apam no so na wɔrentumi mfa biribi nka ho.
GAL.3.16	Onyankopɔn hyɛɛ Abraham ne nʼaseni bɔ. Kyerɛwsɛm no nka se, “Wo ne wʼasefo” a ɛkyerɛ nnipa bebree. Ɛka se, “Wo ne wʼaseni” a ɛkyerɛ sɛ onipa baako a ɔno ne Kristo no. 
GAL.3.17	Mekyerɛ sɛ: Onyankopɔn yɛɛ apam na ɔhyɛɛ bɔ sɛ obedi so. Mmara a wɔhyɛɛ no mfirihyia ahanan ne aduasa ni no rentumi ngu apam no na ɛrentumi ntwa bɔ a Onyankopɔn hyɛe no nso mu. 
GAL.3.18	Na sɛ nea Onyankopɔn de ma no gyina Mmara so a, ɛnne na emfi ne bɔhyɛ no bio. Na esiane sɛ Onyankopɔn ahyɛ ho bɔ no nti na ɔde maa Abraham no.
