MAT.1.1	Авраампа Давид йӑхӗнчен ҫуралнӑ Иисус Христосӑн йӑх-несӗл тымарӗ. 
ACT.17.14	Вара ӗненекен тӑвансем Павела тинӗс хӗрринелле каякан ҫулпа ҫийӗнчех леҫсе янӑ. Силӑпа Тимофей ҫавӑнтах юлнӑ. 
ACT.17.15	Леҫсе яракансем Павела Афинӑна ҫитичченех ӑсатнӑ, унтан хӑйсем каялла тавӑрӑннӑ. Павел вӗсене: «Силӑпа Тимофей хӑвӑртрах ман патӑма килччӗр», – тесе пӗлтерме хушса янӑ.
ACT.17.16	Силӑпа Тимофея Афинӑра кӗтсе пурӑннӑ чухне, пуҫҫапмалли кӗлеткесем хулипех тӑнине курса, Павелӑн чунӗ тӑвӑлсах ҫитнӗ. 
ACT.17.17	Ҫапла вара, вӑл иудейсемпе тата Турра хисеплекен ытти ҫынсемпе синагогӑра калаҫнӑ. Тата Павел кунсеренех пасар вырӑнӗнче тӗл пулакансемпе те калаҫнӑ. 
ACT.17.18	Хӑш-пӗр философсем – эпикурсемпе стоиксем – унпа тавлашма пуҫланӑ. Вӗсем Павел Иисус ҫинчен, вилӗмрен чӗрӗлсе тӑрасси ҫинчен вӗрентнине илтнӗ. «Ҫак пуш параппан мӗн каласшӑн ара?» – тенӗ пӗрисем. «Вӑл темле ют турӑсем ҫинчен вӗрентет пулас», – тенӗ тата теприсем. 
ACT.17.19	Вара вӗсем Павела ареопаг пухӑвне илсе пынӑ. «Пире те каласа парсамччӗ, – тенӗ вӗсем, – эсӗ ӳкӗтлекен ҫӗнӗ вӗрентӳ мӗнлерехскер? 
ACT.17.20	Итлетпӗр те – эсӗ темле тӗлӗнмелле япаласем ҫинчен калаҫатӑн, ҫавӑнпа та ку мӗнле вӗрентӳ пулнине пӗлес терӗмӗр». 
ACT.17.21	Афины ҫыннисем тата хулари урӑх ҫӗр-шыв ҫыннисем мӗн те пулин ҫӗнни ҫинчен калаҫса е итлесе вӑхӑта ирттерме питӗ юратнӑ. 
ACT.17.22	Павел ареопаг пухӑвӗ умне тухса тӑнӑ та ҫапла каланӑ: «Эй, Афины ҫыннисем! Сӑнатӑп та – эсир питӗ тӗн-тӗшмӗшлӗ пулнине куратӑп. 
ACT.17.23	Мӗншӗн тесен сирӗн сӑваплӑ вырӑнӑрсене пӑхса ҫӳренӗ чухне эпӗ пӗр чӳк вырӑнӗ асӑрхарӑм. Ҫавӑнта „пӗлмен Турӑ валли“ тесе ҫырса хунӑччӗ. Эпӗ сире шӑпах хӑвӑр пӗлмесӗр пуҫҫапакан Турӑ ҫинчен ӳкӗтлесе вӗрентетӗп те. 
ACT.17.24	Тӗнчене тата тӗнчере мӗн пуррине пӗтӗмпех пултарнӑ Турӑ – ҫӗрпе пӗлӗт Хуҫи. Вӑл этем аллипе лартнӑ кӗлӗ ҫурчӗсенче пурӑнмасть. 
ACT.17.25	Этем аллипе туни нимӗн те Ӑна кирлӗ мар. Вӑл Хӑй пурне те пурӑнӑҫпа чӗрӗлӗх тата тем те пӗр парса тӑрать. 
ACT.17.26	Пӗтӗм ҫӗр пичӗ ҫинче пурӑнччӑр тесе, Вӑл пӗр этемрен пӗтӗм этемлӗхе пултарнӑ. Ҫак ҫӗр ҫинче ҫынсем пурӑнас вӑхӑта тата вырӑна Вӑл малтанах палӑртса хунӑ. 
ACT.17.27	Ҫакна Вӑл ҫынсем Хӑйне шыраччӑр, чун-чӗрепе туйса Хӑйне тупма ӑнтӑлччӑр тесе тунӑ. Тӗрӗссипе вара Турӑ пирӗнтен кашнинчен инҫех те мар. 
ACT.17.28	Мӗншӗн тесен эпир Вӑл пуртан пурӑнатпӑр, ҫӳретпӗр, хамӑр та пур. Сирӗн хӑш-пӗр сӑвӑҫӑрсем калашле: „Эпир – Унӑн йӑхӗнчен“. 
ACT.17.29	Ҫапла ӗнтӗ, эпир хамӑр Турӑ йӑхӗнчен пулнине пӗлсе тӑратпӑр. Эппин этем шутласа кӑларнӑ, ылтӑнран, кӗмӗлтен е чултан ӑсталаса тунӑ кӗлетке Турӑ евӗрлӗ тесе шухӑшлани тӗрӗс мар. 
ACT.17.30	Ҫапла вара, эпир ӗлӗк ним пӗлменнине манӑҫа хӑварса, Турӑ халӗ пур ҫынсене те, пур ҫӗрте те ӳкӗнме хушать. 
ACT.17.31	Хӑй малтанах суйласа илнӗ Ҫын урлӑ пӗтӗм тӗнчене тӳрӗ суд тумалли куна Турӑ палӑртса хунӑ ӗнтӗ. Ҫавна ҫынсене пурне те ӗнентерес тесе, Турӑ Ӑна вилӗмрен чӗртсе тӑратнӑ».
ACT.17.32	Вилнисем чӗрӗлесси ҫинчен илтсен пухура ларакансенчен хӑшӗ-пӗрисем тӑрӑхласа кулма пуҫланӑ. «Эпир сана тепӗр чух та итлӗпӗр-ха», – тенӗ теприсем. 
ACT.17.33	Вара Павел пухуран тухса кайнӑ. 
ACT.17.34	Ҫапах темиҫе ҫын, Павел майлӑ пулса, ӗненме пуҫланӑ. Вӗсем хушшинче ареопаг пухӑвӗнче ларакан Дионисий, Дамарь ятлӑ хӗрарӑм тата ыттисем те пулнӑ.
ACT.18.1	Ҫавӑн хыҫҫӑн Павел, Афинӑран кайса, Коринфа пынӑ. 
ACT.18.2	Унта вӑл Понт ҫӗрӗнче ҫуралнӑ Акила ятлӑ пӗр иудейпа унӑн арӑмне Прискиллӑна шыраса тупнӑ та вӗсем патне кӗнӗ. Вӗсем анчахрах Италирен куҫса килнӗ пулнӑ, мӗншӗн тесен Клавдий император иудейсене пурне те Римран тухса кайма хушнӑ пулнӑ. 
ACT.18.3	Павелпа Акила иккӗшӗ те пӗр ӗҫпе ӗҫленӗ: вӗсем чатӑр тӑвакансем пулнӑ. Ҫавӑнпа Павел вӗсем патӗнчех юлнӑ та пӗрле ӗҫлесе пурӑннӑ. 
ACT.18.4	Шӑмат кунсерен Павел синагогӑра калаҫнӑ, иудейсемпе грексене ӳкӗтленӗ.
ACT.18.5	Хайхи Силӑпа Тимофей Македонирен пырсан, чун-чӗри хистенипе Павел иудейсене Иисус вӑл Турӑ Суйласа илни тесе ҫирӗплетсех пӗлтернӗ. 
ACT.18.6	Анчах та иудейсем Павела хирӗҫлесе тем тӗрлӗ усал сӑмах каласа пӗтернӗ. Вара Павел тумтирӗ ҫинчи тусанне силле-силле ҫапла каланӑ: «Сирӗн ҫылӑхӑр хӑвӑр пуҫӑр ҫинчех юлать. Эпӗ – таса. Паянтан урӑх халӑх ҫыннисем патне каятӑп». 
ACT.18.7	Вара вӑл унтан пӑрӑнса утнӑ та Турра пит хисеплекен пӗр Иуст ятлӑ ҫын патне кӗнӗ. Унӑн ҫурчӗ синагогӑпа юнашарах пулнӑ. 
ACT.18.8	Синагога пуҫлӑхӗ Крисп тата унӑн пӗтӗм кил-йышӗ Хуҫамӑра ӗненекенскерсем пулнӑ. Павел сӑмахӗсене итлесе Коринф ҫыннисенчен нумайӑшӗ ӗненме пуҫланӑ, тӗне кӗнӗ. 
ACT.18.9	Пӗррехинче ҫӗрле Хуҫамӑр, Павела курӑнса, ҫапла каланӑ: «Ан хӑра! Ӳкӗтле, вӗрентме ан чарӑн. 
ACT.18.10	Эпӗ санпах пулӑп, ҫавӑнпа та сана никам та усал тӑваймӗ: ку хулара Манӑн ҫыннӑмсем нумай». 
ACT.18.11	Вара Павел ҫавӑнта хула халӑхне Турӑ сӑмахне вӗрентсе ҫулталӑк ҫурӑ пурӑннӑ.
ACT.18.12	Ахаияра Рим лартнӑ Галлион пуҫлӑх хуҫаланнӑ чухне иудейсем пӗр каварлӑ пулса Павела ярса тытнӑ та суд умне тӑратнӑ. 
ACT.18.13	«Ҫакскер ҫынсене Турра хисеплеме Моисей саккунӗ хушнӑ пек вӗрентмест», – тенӗ вӗсем. 
ACT.18.14	Павел ҫӑварне уҫма ӗлкӗричченех Галлион иудейсене ҫапла каланӑ: «Иудейсем! Енчен те эсир хӑвӑра кӳрентерни ҫинчен, йӗркене пӑсни ҫинчен евитленӗ пулсан, эпӗ сирӗн сӑмахӑра итленӗ пулӑттӑм. 
ACT.18.15	Анчах та кунта тӗрлӗ вӗрентӳсем пирки, ятсем пирки, Моисей саккунӗ пирки тавлашу пырать. Ҫавӑнпа та ку ыйтусене хӑвӑрах татса парӑр. Кунашкал ӗҫре ман судья пулас килмест». 
ACT.18.16	Вара вӗсене суд ҫуртӗнчен хӑваласа кӑларса янӑ. 
ACT.18.17	Мӗн пур грексем синагога пуҫлӑхне Сосфена ярса тытнӑ та суд ҫурчӗ умӗнчех хӗне пуҫланӑ. Галлион хушша-хуппа кӗмен.
ACT.18.18	Коринфра татах чылай хушӑ пурӑннӑ хыҫҫӑн Павел, ӗненекен тӑванӗсемпе сывпуллашса, Сирие ишсе кайнӑ. Прискиллӑпа Акила та унпа пӗрлех пынӑ. Турра панӑ сӑмахне асра тытса Павел, Сирие ишсе кайичченех, Кенхреире ҫӳҫне кастарнӑ. 
ACT.18.19	Ҫапла вӗсем Ефес хулине ҫитнӗ. Унта Павел, Прискиллӑпа Акилӑран уйӑрӑлса, синагогӑна кӗнӗ те иудейсемпе калаҫма пуҫланӑ. 
ACT.18.20	Иудейсем ӑна хӑйсем патӗнче тата кӑштах та пулин юлма тархасланӑ, анчах та Павел килӗшмен. 
ACT.18.21	Вара вӗсемпе сывпуллашнӑ май вӑл ҫапла каланӑ: «Ҫывхарса килекен уява манӑн Иерусалимрах кӗтсе илмелле, Турра кирлӗ пулсан, эпӗ сирӗн патӑра тавӑрӑнӑп-ха». Вара Ефесран караппа ишсе кайнӑ. Акилӑпа Прискилла Ефесрах юлнӑ
ACT.18.22	Павел карап ҫинчен Кесарире анса юлнӑ, унтан Иерусалима пынӑ. Унта вӑл ӗненекен ушкӑнрисемпе курнӑҫса калаҫнӑ та Антиохине тухса кайнӑ.
ACT.18.23	Пӗр вӑхӑт унта пулнӑ хыҫҫӑн Павел каллех ҫула тухнӑ. Вӑл, вӗренекенсене пурне те хавхалантарса, Галатипе Фриги ҫӗрӗсен пур кӗтесӗсенче те пулнӑ.
ACT.18.24	Александрияра ҫуралнӑ Аполлос ятлӑ пӗр иудей Ефеса пынӑ. Вӑл пит ӑста калаҫакан, Ҫырнине тӗплӗ пӗлекен ҫын пулнӑ. 
ACT.18.25	Пӗлессе Аполлос Хуҫамӑрӑн ҫул пуҫламӑшне кӑна – Иоанн шыва кӗртни таран ҫеҫ – пӗлнӗ. Ҫапах та вӑл Хуҫамӑр ҫинчен чунӗпе ҫунса, тӗрӗс вӗрентнӗ. 
ACT.18.26	Вӑл синагогӑра та пит хастар вӗрентме пуҫланӑ. Вӑл вӗрентнине илтсен Акилӑпа Прискилла ӑна хӑйсем патне чӗннӗ те Хуҫа Туррӑмӑрӑн ҫулӗ ҫинчен тӗплӗнрех ӑнлантарса панӑ. 
ACT.18.27	Аполлос Ахаияна кайма шухӑш тытнӑ. Ҫавна пӗлсен ӗненекен тӑвансем унти вӗренекенсем патне Аполлоса хапӑл тума ыйтса ҫыру янӑ. Вырӑна ҫитсессӗн вӑл Турӑ тивлечӗпе ӗненекенсене нумай пулӑшнӑ. 
ACT.18.28	Мӗншӗн тесен Аполлос пӗтӗм халӑх умӗнчех иудейсемпе тавлашса ҫиеле тухнӑ: Ҫырнинче каланисемпе усӑ курсах Иисус вӑл Турӑ Суйласа илни тесе ӗнентерме пултарнӑ.
ACT.19.1	Аполлос Коринфра пурӑннӑ вӑхӑтра Павел сӑртлӑ-туллӑ тӑрӑхсенче ҫул ҫӳренӗ. Унтан вӑл Ефеса ҫитнӗ те хӑш-пӗр вӗренекенсемпе тӗл пулнӑ. 
ACT.19.2	«Ӗненме пуҫласассӑн эсир Святой Сывлӑш илтӗр-и?» – тенӗ вӑл вӗренекенсене. «Эпир Святой Сывлӑш пур тенине те илтмен», – тавӑрнӑ лешсем. 
ACT.19.3	«Апла пулсан эсир мӗнле ӗненӳпе тӗне кӗнӗ-ха?» – ыйтнӑ вара Павел. «Эпир Иоанн вӗрентнӗ пек шыва кӗтӗмӗр», – хуравланӑ вӗсем. 
ACT.19.4	«Иоанн ҫылӑхран ӳкӗнтерсе шыва кӗртнӗ. Вӑл халӑха хӑй хыҫҫӑн Килекене, Христос Иисуса ӗненме ӳкӗтленӗ», – тенӗ вара Павел. 
ACT.19.5	Ҫакна илтсен вӗсем Иисус Хуҫамӑр ячӗпе тӗне кӗнӗ. 
ACT.19.6	Павел вӗсем ҫине аллине хурсан, вӗсем ҫине Святой Сывлӑш аннӑ. Вара вӗсем хӑйсем малтан пӗлмен чӗлхесемпе тата пророкла калаҫа пуҫланӑ. 
ACT.19.7	Пурӗ вӗсем вун икӗ ҫынна яхӑн пулнӑ.
ACT.19.8	Павел пӗр хӑрамасӑрах синагогӑра виҫӗ уйӑх ӳкӗтлесе вӗрентнӗ. Вӑл ҫынсене Турӑ Патшалӑхӗ ҫинчен питӗ ӗнентермелле кала-кала кӑтартнӑ. 
ACT.19.9	Анчах та хӑшӗ-пӗрисем ӗненмен. Вӗсем ҫиллисене ниҫта шӑнӑҫтараймасӑр Хуҫа Туррӑмӑрӑн ҫулне халӑх умӗнчех хурла пуҫланӑ. Ҫавӑнпа Павел вӗренекенӗсене хӑйпе пӗрле илсе унтан пӑрахса кайнӑ, Тиранн ятлӑ ҫыннӑн училищинче вӗсене куллен ӳкӗтлесе вӗрентнӗ. 
ACT.19.10	Ҫапла пӗр икӗ ҫул та иртнӗ. Ҫавӑнпа Асире пурӑнакансем пурте – иудейсем те, грексем те – Иисус Хуҫамӑр ҫинчен пӗлтернӗ ӳкӗте илтнӗ.
ACT.19.11	Турӑ Павел урлӑ тӗлӗнмелле ӗҫсем нумай тунӑ. 
ACT.19.12	Чирлисене Павелӑн ал шӑллийӗпе е саппунӗпе витсен, лешсем сывалнӑ. Вӗсен ӑшӗнчи усал сывлӑшсем те туха-туха тарнӑ. 
ACT.19.13	Ялтан яла ҫӳресе усал сывлӑш ернисене сыватакан иудейсен хӑш-пӗр тухатмӑшӗсем те Иисус Хуҫамӑр ятне асӑна пуҫланӑ: «Сире, усал сывлӑшсене, Павел ӳкӗтлесе вӗрентекен Иисус ячӗпе тухма хушатпӑр!» – тесе тухатнӑ вӗсем. 
ACT.19.14	Иудейсен Скева ятлӑ аслӑ священникӗн ҫичӗ ывӑлӗ ҫапла хӑтланса ҫӳренӗ. 
ACT.19.15	Анчах та усал сывлӑш вӗсене каланӑ: «Иисуса та пӗлетӗп, Павела та пӗлетӗп, эсир вара кам пулатӑр?» 
ACT.19.16	Унтан усал сывлӑш ернӗ ҫын тухатмӑшсем ҫине ҫав тери вӑйлӑн сиксе ӳкнӗ те вӗсене парӑнтарнӑ. Вара вӗсем, хӗнесе пӗтернӗскерсем, ҫав ҫуртран ҫарамасах тухса тарнӑ. 
ACT.19.17	Ефесра пурӑнакан иудейсемпе грексем ҫак ӗҫ ҫинчен пӗлсен хӑраса ӳкнӗ. Ҫавӑнтанпа пурте Иисус Хуҫамӑр ятне хисеплеме пуҫланӑ. 
ACT.19.18	Вара Хуҫамӑра ӗненекен нумай ҫын пыра-пыра хӑйсен ӗҫӗсем пирки пӗр пытармасӑр каласа кӑтартнӑ. 
ACT.19.19	Чылай тухатмӑш-юмӑҫ та, хӑйсен ӑрӑм кӗнекисене пӗр ҫӗре пухса, пӗтӗм халӑх умӗнче ҫунтарса янӑ. Унтан ҫунтарса янӑ кӗнекесен хакне шутласа пӑхнӑ, вӗсен хакӗ аллӑ пин кӗмӗл укҫана яхӑн пулнӑ. 
ACT.19.20	Ҫакнашкал хӑватлӑн сарӑлса, вӑй илсе пынӑ Хуҫамӑр сӑмахӗ.
ACT.19.21	Ҫак ӗҫсем пулса иртнӗ хыҫҫӑн Павел Македонипе Ахаия урлӑ Иерусалима кайма шут тытнӑ. «Иерусалимран вара манӑн Рима каймалла», – тенӗ вӑл. 
ACT.19.22	Унтан вӑл хӑйӗн икӗ пулӑшаканне, Тимофейпа Ераста, Македонине янӑ, хӑй вара вӑхӑтлӑха Асирех юлнӑ.
ACT.19.23	Ҫав вӑхӑтра Хуҫамӑрӑн вӗрентӗвне хирӗҫ пысӑк пӑлхав пуҫланнӑ. 
ACT.19.24	Димитрий ятлӑ пӗр кӗмӗл ӑсти пулнӑ. Ҫавскер грексен Артемида туррине кӗлтумалли ҫуртӑн пӗчӗк ӗлкине кӗмӗлтен туса сутса пурӑннӑ, ҫак ӗҫпе ытти ӑстасем те нумай тупӑш илнӗ. 
ACT.19.25	Димитрий кӗмӗлҫӗсене тата ытти ӑстасене пухнӑ та ҫапла каланӑ: «Тусӑмсем! Эпир тулӑх пурӑнасси ҫак ал ӑсталӑхӗнчен килнине пурте пӗлетпӗр. 
ACT.19.26	Акӑ халӗ хӑвӑрах курса-илтсе тӑратӑр: Павел текенскер Ефес ҫыннисене кӑна мар, пӗтӗм Аси халӑхне тенӗ пекех, этем аллипе ӑсталанӑ япаласем турӑ мар тесе, хӑйӗн ӗненӗвӗ енне ҫавӑрчӗ. 
ACT.19.27	Пирӗншӗн кунашкал вӗрентӳ питӗ сиенлӗ. Хамӑр ал ӑсталӑхӗ хисепрен тухни тем мар-ха, аслӑ Артемида турра кӗлтумалли ҫурт та пӑрахӑҫа тухӗ. Пӗтӗм Аси, пӗтӗм тӗнче хисеплесе пуҫҫапакан Артемида туррӑн чапӗ пӗтсе ларӗ». 
ACT.19.28	Ҫакна илтсен ыттисем пурте питӗ ҫилленсе кайнӑ. «Ефесри Артемида аслӑ!» – тесе кӑшкӑра пуҫланӑ вӗсем. 
ACT.19.29	Часах пӗтӗм хула халӑхӗ пӑлханса кайнӑ. Ҫынсем Павелпа пӗрле Македонирен пынӑ Гаийпе Аристарха ярса тытнӑ. Вара пурте пӗр ҫын пек пулса вӗсене театр кӑтартмалли вырӑна сӗтӗрсе кайнӑ. 
ACT.19.30	Павел халӑх хушшине кӗресшӗн пулнӑ, анчах та вӗренекенӗсем ӑна чарнӑ. 
ACT.19.31	Ҫавӑн пекех Павелпа туслӑ хӑш-пӗр Аси пуҫлӑхӗсем те ӑна театр вырӑнне пырса ан курӑн тесе калама ҫынсем янӑ. 
ACT.19.32	Пухура ним йӗрки те пулман: пӗри пӗр тӗрлӗ, тепри тепӗр тӗрлӗ кӑшкӑрашнӑ. Пухӑннисенчен чылайӑшӗ вара хӑйсем кунта мӗншӗн пуҫтарӑннине те пӗлмен. 
ACT.19.33	Иудейсем сӗннипе халӑх хушшинчен Александр ятлӑ ҫынна чӗнсе кӑларнӑ. Вӑл, аллипе паллӑ кӑтартса, халӑха шӑпланма ыйтнӑ. 
ACT.19.34	Анчах та вӑл иудей пулнине пӗлсессӗнех пурте пӗр харӑс: «Ефесри Артемида аслӑ!» – тесе кӑшкӑрса янӑ. Ҫапла вӗсем пӗр-икӗ сехете яхӑн кӑшкӑрашнӑ. 
ACT.19.35	Унтан халӑх умне йӗрке хуралҫи тухнӑ та лӑплантарса каланӑ: «Эй, Ефес ҫыннисем! Ефес хули аслӑ Артемидӑшӑн тата Диопетшӑн епле тӑрӑшнине кам пӗлмест пулӗ?
ACT.19.36	Эппин, кун пирки тавлашмалли те ҫук пулсан, сирӗн лӑпланмалла, хыпкаланса ӳкмелле мар. 
ACT.19.37	Эсир вара кунта ҫак ҫынсене вӑйпах сӗтӗрсе килтӗр. Вӗсем Артемидӑн кӗлӗ ҫуртне те ҫаратман, сирӗн туррӑра та хурламан. 
ACT.19.38	Енчен те Димитрийпе ытти ӑстасем кама та пулин явап тыттарас теҫҫӗ пулсан, пирӗн ҫав ӗҫсене тума суд та, Рим лартнӑ пуҫлӑхсем те пур: вӗсем пӗр-пӗрне кунта мар, ҫавсем умӗнче айӑплаччӑр. 
ACT.19.39	Сирӗн тата мӗнле те пулин урӑх ыйту таврашӗ пур пулсан, ӑна йӗркене пӑхӑнса пуҫтарнӑ халӑх пухӑвӗнче татса парӗҫ. 
ACT.19.40	Паянхи ӗҫ-пуҫшӑн пире хамӑра пӑлхав ҫӗкленӗ тесе айӑплама пултарасран пирӗн асӑрханмалла. Халӑх пухӑннине тӳрре кӑларма пирӗн нимӗнле сӑлтав та ҫук». Ҫакна каланӑ хыҫҫӑн вӑл вара пухӑва салатнӑ.
ACT.20.1	Пӑлхав чарӑнсан Павел вӗренекенсене чӗнсе илсе хавхалантарнӑ, ӳкӗтленӗ, вара сывпуллашнӑ та Македонине тухса кайнӑ. 
ACT.20.2	Македони витӗр тухнӑ чухне те вӑл ҫул тӑршшӗпех, Грецие ҫитичченех, Иисуса ӗненекенсене пит нумай ӳкӗтлесе хавхалантарнӑ. 
ACT.20.3	Грецире Павел виҫӗ уйӑх пурӑннӑ. Ун хыҫҫӑн вӑл Сирие тинӗспе кайма шут тытнӑ, анчах та иудейсем хӑйне хирӗҫ кавар тунӑ пирки каялла Македони урлах тавӑрӑнма шухӑшланӑ. 
ACT.20.4	Унпа пӗрле Аси таранах Вери ҫынни Пирр Сосипатрӗ, фессалоникӑсем Аристархпа Секунд, Дерви ҫынни Гаий, Тимофей тата асисем Тихикпа Трофим пынӑ. 
ACT.20.5	Вӗсем маларах кайса пире Троадӑра кӗтме пулчӗҫ. 
ACT.20.6	Эпир вара, тутлӑлла ҫӑкӑр уявӗн кунӗсем иртсен, Филиппы хулинчен караппа тухрӑмӑр. Унтан тепӗр пилӗк кунтан Троадӑра вӗсемпе тӗл пултӑмӑр, унта ҫичӗ кун пурӑнтӑмӑр.
ACT.20.7	Эрнен малтанхи кунӗнче эпир пурте ҫӑкӑр хуҫса ҫимелли йӑлана тума пухӑнтӑмӑр. Тепӗр куннех ҫула тухма шут тытнӑран Павел вӗренекенсемпе ҫур ҫӗрчченех калаҫрӗ. 
ACT.20.8	Эпир пухӑннӑ хӑтлӑ пӳлӗмре ҫутаткӑҫсем нумайччӗ. 
ACT.20.9	Чӳрече янаххи ҫинче Евтих ятлӑ пӗр ҫамрӑк ларатчӗ. Ҫавскер Павелӑн вӑраха кайнӑ сӑмахне итлесе ларнӑ май ҫывӑрах кайнӑ. Вара ыйхӑ тӗлӗшпе виҫҫӗмӗш хутран ҫӗре персе анчӗ. Ӑна ҫӗклесе тӑратнӑ чухне вӑл вилсе те кайнӑччӗ ӗнтӗ. 
ACT.20.10	Павел анчӗ те, ҫамрӑк ҫын ҫине пӗшкӗнсе, ӑна ыталаса илчӗ. «Ан кулянӑр, – терӗ вӑл, – унӑн чунӗ тухман-ха!» 
ACT.20.11	Унтан Павел ҫӳлти хута хӑпарса ҫӑкӑр хуҫса ҫирӗ. Ҫапла вӑл тул ҫутӑличченех калаҫса ларчӗ, кайран ҫула тухса кайрӗ. 
ACT.20.12	Ҫав вӑхӑтрах хайхи ҫамрӑк ҫынна, чӗрӗскерне, ҫавӑтса кӗчӗҫ. Ӑна курсан пурте савӑнмаллипех савӑнчӗҫ.
ACT.20.13	Павел ҫула тухичченех эпир карап ҫине лартӑмӑр та ӑна хамӑрпа илмешкӗн Асс хулине ишсе кайрӑмӑр. Мӗншӗн тесен, хӑй ҫуран кайма пулнӑран, вӑл пире ҫапла тума хушса хӑварнӑччӗ. 
ACT.20.14	Эпир унпа Асра тӗл пултӑмӑр та ӑна лартса Митилинӑна пырса ҫитрӗмӗр. 
ACT.20.15	Унтан ишсе кайса тепӗр кунне эпир Хиос утравӗ патӗнче чарӑнтӑмӑр, тата тепӗр кунне вара Самоса ҫитрӗмӗр. Унтан Трогиллине кӗрсе тухрӑмӑр та тепӗр кунне Милита пытӑмӑр. 
ACT.20.16	Асире вӑхӑта ытлашши ирттерес мар тесе Павел Ефеса кӗрсе тӑрас темерӗ. Мӗншӗн тесен, ӗлкӗрейсен, аллӑмӗш кун уявӗ тӗлне вӑл Иерусалимра пуласчӗ тесе васкарӗ.
ACT.20.17	Вӑл Милитран Ефеса ҫынсем ярса унти ӗненекен ушкӑн пресвитерӗсене чӗнтерсе пычӗ. 
ACT.20.18	Вӗсем ун патне пухӑнсан, Павел вӗсене ҫапла каларӗ: «Асие килнӗренпех, малтанхи кунран пуҫласах, эпӗ яланах сирӗнпе пулнине эсир пӗлетӗр. 
ACT.20.19	Иудейсен усал шухӑшӗсене пула хӗн-хур курса нумай куҫҫуль тӑкма лекрӗ пулин те, эпӗ пӗтӗм йӑвашлӑхӑмпа Хуҫамӑршӑн ӗҫлерӗм. 
ACT.20.20	Пӗтӗм халӑх умӗнче е килрен киле ҫӳресе кирек мӗн пирки ӳкӗтлесен те, кирек мӗн вӗрентсен те, сире усӑллине мӗн те пулин каламасӑр хӑварас марччӗ терӗм. 
ACT.20.21	Эпӗ иудейсене те, грексене те Турӑ умӗнче ӳкӗнмелли ҫинчен, Иисус Христос Хуҫамӑра ӗненмелли ҫинчен хыпарларӑм. 
ACT.20.22	Халӗ ӗнтӗ, Святой Сывлӑшӑн туртӑмне пӑхӑнса, манӑн Иерусалима каймалла. Эпӗ унта хама мӗн кӗтнине те пӗлместӗп. 
ACT.20.23	Мӗн пӗлетӗп-ха? Мана тӗрме тата хуйхӑ кӗтни ҫинчен Святой Сывлӑш кашни хуларах асӑрхаттарать. 
ACT.20.24	Анчах та эпӗ ниме те пӑхса тӑмастӑп, пурнӑҫӑма шеллеместӗп, Иисус Хуҫамӑр хама шанса панӑ ӗҫӗме – Турӑ тивлечӗллӗ Ырӑ Хыпара ӳкӗтлесе вӗрентессине – вӗҫне ҫити хавасланса туса тӑраясчӗ кӑна. 
ACT.20.25	Эпӗ сирӗн хушшӑрта Турӑ Патшалӑхӗ ҫинчен ӳкӗтлесе вӗрентрӗм. Ӗнтӗ тек эсир мана кураяс ҫуккине пӗлетӗп. 
ACT.20.26	Ҫавӑнпа паянах сире пӗлтерес терӗм: сирӗнтен хӑшӗ те пулин ҫӑлӑнаймасан, эпӗ айӑплӑ мар. 
ACT.20.27	Мӗншӗн тесен эпӗ сире Турӑ ирӗкӗ ҫинчен мӗн хыпарламаллине йӑлтах каларӑм. 
ACT.20.28	Ҫапла вара, сыхланса пурӑнӑр, пӗтӗм кӗтӗве те сыхлӑр. Сире ҫав кӗтӗве пӑхма Святой Сывлӑш шанса панӑ. Ӗненекен ушкӑн кӗтӳҫисем пулӑр. Ҫав ушкӑна – Хуҫамӑрӑн тата Туррӑн Чиркӗвне – Вӑл Хӑйӗн Юнӗпе тӳлесе илнӗ. 
ACT.20.29	Эпӗ кайнӑ хыҫҫӑн кӗтӗве хӗрхенмен тискер кашкӑрсем сирӗн патӑра пырасса пӗлетӗп. 
ACT.20.30	Вӗренекенсене хӑйсем хыҫҫӑн илсе каяс тесе ултавлӑ калаҫакансем хӑвӑр хушшӑртанах тупӑнӗҫ. 
ACT.20.31	Ҫавӑнпа ӗнтӗ сыхӑ тӑрӑр! Эпӗ сирӗнтен кашнинех виҫӗ ҫула яхӑн кунӗн-ҫӗрӗн, куҫҫуль тухичченех вӗрентсе пурӑннине ан манӑр. 
ACT.20.32	Эй, тӑванӑмсем! Халӗ ӗнтӗ эпӗ сире Турӑ аллине, Унӑн тивлетлӗ сӑмахӗн хӳттине шанса парса хӑваратӑп. Турӑ сӑмахӗ сире ӳкӗтлесех тӑма та, мӗн пур сӑвапласа тасатнисемпе пӗрле еткерне пама та пултарӗ. 
ACT.20.33	Эпӗ никамран та ылтӑн-кӗмӗл те, ҫи-пуҫ та илесшӗн пулмарӑм. 
ACT.20.34	Хама тата юлташӑмсене кирлине хамӑн ҫак аллӑмсемпе ӗҫлесе илнине эсир пӗлетӗр. 
ACT.20.35	Ҫапла тӑрӑшса халсӑррисене пулӑшмаллине, Иисус Хуҫамӑр сӑмахне асра тытмаллине эпӗ сире хамӑн тӗслӗхӗмпе кӑтартса патӑм. Иисус Хӑй ҫапла каланӑ: „Парасси илессинчен пахарах“».
