MAT.1.1	Iya na itu kapangkatan si Isa Almasi, panubu' si Daud iya panubu' si Ibrahim.
JHN.17.16	Saddi aku min manga aa 'nsa' ngisbat kau ma diyōm dunya itu. Damikkiyan na manga aa suku' ku, saddi isab min manga aa ian. 
JHN.17.17	Pasaddihun maka sutsihun sigam supaya sigam ma kau sadja. Iya panutsi sigam pandu' nu bannal, hati na palman nu. 
JHN.17.18	Bayi sigam soho' ku pahi' ni manga aa ma dunya, sali' bayi panoho' nu ma aku paitu ni diyōm dunya. 
JHN.17.19	Ma sabab sigam, iya hangkan aku magpasuku' di ku ma kau, supaya sigam suku' nu tōōd.
JHN.17.20	“'Nsa' sadja manga mulid ku itu hi' iya amuan ku,” uk si Isa, “suga' manga aa kamemon iya song magkahagad ma aku ma sabab lapal sigam. 
JHN.17.21	O 'Mma', ngamu' aku junjung ni kau, bang peen sigam daatay kamemon sali' kita, pagka kau pataptap asal ma aku, maka aku pataptap ma kau. Mura-murahan, bang peen sigam patōtōg ma kita, bang peen isab sigam magdakayo' atay kamemon supaya magkahagad manga aa ma dunya in kau bayi mapaitu aku. 
JHN.17.22	Bayi sigam pamehe ku sali' bayi pamehe nu ma aku, supaya sigam magdakayo' atay sali' kita. 
JHN.17.23	Hati na pataptap aku may'an ma sigam sali' kau pataptap asal ma aku, bo' supaya sigam daatay tōōd. Jari minnihi' kitauhan uk manga aa ma dunya itu in kau bayi mapaitu aku, maka kitauhan isab in manga aa magkahagad ma aku kalasahan nu du sali' pangalasa nu ma aku.
JHN.17.24	“O 'Mma'! Bayi pamasuku' nu aku manga aa itu, bo' kabayaan ku sigam subay parōngan ma aku ma kamaiyuhan ku, bo' sigam makanda' sahaya ku iya bayi pamuwan nu aku. Sabab kalasahan nu aku asal ma 'nsa' le' niya' dunya. 
JHN.17.25	O 'Mma', kau iya adil. 'Nsa' kau kitauhan uk manga aa 'nsa' ngisbat kau, suga' aku itu tauhan kau du. Maka manga aa suku' ku itu, tau isab sigam in kau bayi mapaitu aku. 
JHN.17.26	Bayi na kau patau ku ma sigam, maka patau ku na peen bo' supaya sigam pahōpan nu lasa tudju ni pagkahi sigam, sali' lasa nu ma aku. Patau ku isab sigam supaya aku patōtōg ma diyōm atay sigam.”
JHN.18.1	Puwas peen si Isa nambahayang ni Tuhan, pakallo' iya maka manga mulid na tudju ni dambiya' sapa' iyōnan Kedron. Niya' kabbun may'an bo' pasōd di si Isa ni diyōm na. 
JHN.18.2	Na, kitauhan uk si Judas bang paingga iya papahian si Isa sabab daran iya maka manga mulid na bayi magtipun pay'an. Si Judas itu aa song nongan si Isa ni manga banta na. 
JHN.18.3	Jari pay'an si Judas ni kabbun ian mo dambaanan sundalu bangsa Roma maka manga jaga min langgal pagkulbanan. Manga jaga itu bayi siyoho' uk manga imam nakura' maka uk manga Parisi. Magtakōs sigam maka magsu' maka magbo palitaan. 
JHN.18.4	Kitauhan asal uk si Isa kamemon iya song makani-iya, hangkan iya pasong pasampang ni manga aa ian. Uk na ni sigam, “Sayi peha bi?”
JHN.18.5	Uk sigam, “Peha kami si Isa, aa min Nasaret.”
JHN.18.5	“Aku na iya,” uk si Isa.
JHN.18.5	Si Judas, iya aa nongan si Isa ni manga banta na, ian magtangge maka manga aa ian. 
JHN.18.6	Halling si Isa, “Aku na iya,” magtuwi sigam pasuhut pahantak. 
JHN.18.7	Jari tīyaw uk si Isa pabayik, uk na, “Sayi peha bi?”
JHN.18.7	Uk sambung sigam, “Si Isa, aa min Nasaret.”
JHN.18.8	Jari halling si Isa, uk na, “Bayi na kaam baan ku, iya na ko' aku itu. Bang aku iya peha bi, na pasarin bi manga sehe' ku itu mowe'.” 
JHN.18.9	Salaitu halling na bo' niya' kamaksuran ma bayi panambahayang na ni 'Mma' na Tuhan, iya uk na hi', “O 'Mma', 'nsa' niya' lungay minsan dakayo' min manga aa bayi pamasuku' nu aku.”
JHN.18.10	Magtakōs asal si Simun Petros, jari hiyurusan uk na takōs na bo' lagut na sosohoan imam nakura'. Iya tawwa' tainga na ni katau, lutas magtuwi. Ōn sosohoan itu si Malkus. 
JHN.18.11	Uk si Isa ni si Petros, “Sulugun takōs nu ni taguban na iyu. Akuhan ku du kamemon kabinsanaan iya pamakaral ma aku uk 'Mma' ku.”
JHN.18.12	Manjari siyaggaw si Isa uk manga sundalu maka kapitan sigam maka uk manga jaga Yahudi, bo' ingkōtan iya uk sigam. 
JHN.18.13	Biyo iya uk sigam pahi' ni si Annas dahu. Si Annas itu matoa si Kayapas, imam-nakura' ma tahun ian. 
JHN.18.14	Si Kayapas iya bayi mandu' kagaraan ma manga nakura' Yahudi, iya uk na hap le' bang dakayo' du aa matay ganti' manga aa kamemon.
JHN.18.15	Na, paturul ma si Isa si Simun Petros maka mulid dakayo'. Mulid dakayo' itu magkatau asal maka imam nakura', hangkan iya makabe' ma si Isa sampay pasōd ni diyōm halaman luma' imam nakura' hi'. 
JHN.18.16	Suga' si Petros iya tamban ma luwasan lawang. Lipara paluwas pabing mulid si Isa dakayo' hi'. Maid iya min danda ma nunggu' lawang bo' iyampa bo na si Petros pasōd. 
JHN.18.17	Tīyaw si Petros uk danda ma lawang ian. “Kau baha',” uk na, “dakayo' mulid isab ma aa siyaggaw ian?”
JHN.18.17	Mayilu magtuwi si Petros. “'Nsa',” uk na.
JHN.18.18	Na, haggut sangōm ian, hangkan manga sosohoan maka manga jaga hi' bayi ngandōkōt api, bo' ian sigam magtanggehan ma katilibut api magdangkahan. Pay'an isab si Petros patipun ni sigam parangka.
JHN.18.19	Manjari si Annas, iya bayi imam-nakura' dahu, numariya si Isa ma pasal manga mulid na maka ma pasal pamandu' na. 
JHN.18.20	Nambung si Isa, uk na, “Bayi aku manduan manga mahadjana' kamemon ma mata mayiran sadja. Ayi-ayi pamandu' ku bayi halling ku ma pagtipunan manga Yahudi, ma diyōm kalanggal-langgalan maka ma diyōm langgal pagkulbanan. 'Nsa' niya' bayi pamandu' ku ma kalimbungan aa. 
JHN.18.21	Angay aku tiyaw nu? Tīyawun manga aa bayi kake ma pamandu' ku. Tīyawun sigam bang ayi bayi pamandu' ku. Katauhan sigam du.”
JHN.18.22	Pagbissala peen itu uk si Isa magtuwi iya siyampak uk dakayo' jaga bayi may'an, bo' uk na ni si Isa, “'Nsa' niya' addat nu nambungan imam-nakura' salaiyu!”
JHN.18.23	Siyambungan jaga ian uk si Isa, uk na, “Bang hati sā' halling ku ma imam-nakura', bain manga aa kamemon ma pagsaraan itu bang ayi kasaan halling ku. Suga' bang 'nsa' niya' sā' na, angay aku sampak nu?” 
JHN.18.24	Puwas na hi' siyoho' si Isa uk si Annas tiyukbalan pahi' ni si Kayapas, imam-nakura', ma masi le' iya ingkōtan.
JHN.18.25	Si Simun Petros ian masi nangge ma parangkahan. Tīyaw iya uk manga sehe' na magtanggehan, uk sigam, “Kau baha', dakayo' mulid aa ian?”
JHN.18.25	Mayilu si Petros. “'Nsa',” uk na.
JHN.18.26	Ian isab dakayo' sosohoan imam nakura', niya' kasugsugan na ni aa bayi lutas tainga na uk si Petros. Uk sosohoan itu ni si Petros, “'Nsa' kau baha' bayi tanda' ku may'an ma diyōm kabbun me' ma aa hi'?”
JHN.18.27	Mayilu si Petros pabing. “'Nsa',” uk na. Magtuwi du nigauk manuk.
JHN.18.28	Dayi' 'llaw peen lahat, pipinda si Isa min luma' si Kayapas tudju ni luma' gubnul bangsa Roma. Suga' manga nakura' Yahudi 'nsa' pasōd ni diyōm luma' gubnul sabab bang sigam ganta' pasōd ni diyōm luma' 'nsa' luma' Yahudi, batal sigam bo' 'nsa' sigam makajari palamud magjamu ma hinang Pangintōman. 
JHN.18.29	Hangkan paluwas si Gubnul Pilatu ni sigam tiyaw ni sigam, uk na, “Ayi panuntutan bi aa itu?”
JHN.18.30	Uk sambung sigam, “'Nsa' du bayi tukbalan kami aa itu ni kau bang 'nsa' niya' dusa na.”
JHN.18.31	“Na,” uk si Pilatu ni sigam, “Kaam na ngahukum iya ma sali' kalangnganan sara' bi.”
JHN.18.31	Nambung manga Yahudi, uk sigam, “'Nsa' niya' kapatut kami mabōtang hukuman ni kamatay minsan ma sayi.” 
JHN.18.32	Salaihi' kahalan na supaya niya' kamaksuran bayi halling si Isa dahu pasal salaingga kamatay na.
JHN.18.33	Pasōd si Pilatu ni diyōm luma' na pabing bo' soho' na si Isa biyo pahi' ni iya. Uk na ni si Isa, “Kau iyu, sultan baha' ma bangsa Yahudi?”
JHN.18.34	Uk sambung si Isa, “Iya tiyaw nu itu, min paghōna'-hōna' nu baha', atawa niya' aa saddi bayi ngahakahan kau ma pasalan ku?”
JHN.18.35	Nambung si Pilatu, uk na, “Oy! Pangannal nu aku Yahudi baha'! Manga bangsa nu du maka manga nakura' kaimaman bi iya bayi nukbalan kau paitu ni aku. Angay, ayi dusa nu?”
JHN.18.36	Nambung si Isa, uk na, “Iya pagsultanan ku 'nsa' ma itu ma dunya. Bang pagsultanan ku bayi ma itu ma dunya, bayi du ngatu manga bean ku bo' aku 'nsa' tasaggaw uk manga nakura' Yahudi. Aho', 'nsa' maitu pagsultanan ku.”
JHN.18.37	Jari tīyaw iya uk si Pilatu, uk na, “Bang salaiyu, sultan kau baha'?”
JHN.18.37	Uk sambung si Isa, “Kau iya halling in aku sultan. Iya na itu sababan na hangkan aku iyanak maka hangkan aku paitu ni dunya, supaya aku makapamissala ma pasal kasabannalan. Sasuku me' ma kasabannalan ningōd du ma aku.”
JHN.18.38	Uk si Pilatu, “Ayi iya kasabannalan?”
JHN.18.38	Puwas peen ian hi' paluwas si Pilatu pabayik pahi' ni manga Yahudi bo' uk na ma sigam, “'Nsa' niya' tapeha ku sababan pangahukuman ku aa itu. 
JHN.18.39	Suga' kahaba' waktu paghinang hinang Pangintōman, iya kabiyaksahan bi subay niya' dakayo' pilisu palappa ku. Baya' kaam baha' bang palappahan ku kaam sultan bangsa Yahudi?”
JHN.18.40	Magpangōlang manga aa ian, uk sigam, “Daa bang aa iyu hi'. Si Barabbas iya kabayaan kami.” Na, si Barabbas itu mundu.
JHN.19.1	Manjari itu noho' si Pilatu si Isa subay liyapdōsan na. 
JHN.19.2	Puwas na hi' niya' bahan itingan liyubid uk manga sundalu, hinang sali' dagbōs korona sultan panangōn uk sigam ma kok si Isa. Pijubahan isab iya uk sigam maka juba taluk, sali' dagbōs juba sultan. 
JHN.19.3	Patampal sigam ni iya magbayik-bayik bahasa magtungging. Uk pagtungging sigam, “Assalamu alaykum, Appa' Sultan Yahudi!” Jari pigsampak iya uk sigam ma bayihu' na.
JHN.19.4	Paluwas pabing si Pilatu missalahan baanan manga aa magtipunan ian, uk na, “'Ndaun bi. Tiya' si Isa paluwas ku ni kaam bo' supaya katauhan bi 'nsa' niya' tatawwa' ku sababan na pamabōtangan ku iya hukuman.” 
JHN.19.5	Jari paluwas isab si Isa. Masi le' bahan itingan siyangōn ma kok na, maka masi le' juba na taluk. Uk si Pilatu ni manga aa, “'Ndaun bi. Iya na itu aa hi'!”
JHN.19.6	Pag'nda' peen manga imam nakura' maka manga jaga langgal ma si Isa, magtuwi sigam ngōlang, uk na, “Papatayun iya! Lansangun iya ni hag!”
JHN.19.6	Uk si Pilatu ni sigam, “Baya'-baya' bi na! Kalloun bi bo' kaam na ngalansang iya ni diyata' hag. Suga' bang ma aku 'nsa' niya' sababan na tatawwa' ku pamabōtangan iya hukuman ni kamatay.”
JHN.19.7	Uk manga Yahudi ian ni iya, “Niya' sara' kami, uk na aa iyu subay piyatay sabab iya maghalling in iya Anak Tuhan kono'.”
JHN.19.8	Makake peen si Pilatu ma halling manga aa itu, gam peen pasong gawa na. 
JHN.19.9	Biyo uk na si Isa pasōd pabayik ni diyōm luma' na bo' tīyaw na, uk na, “Minningga kau?”
JHN.19.9	Suga' 'nsa' nambung si Isa. 
JHN.19.10	Uk si Pilatu ni iya, “Angay kau? 'Nsa' aku sambungan nu? 'Nsa' katauhan nu baha', niya' kapatut ku malappa kau? Maka niya' kapatut ku ngalansang kau ni diyata' hag bo' kau piyatay.”
JHN.19.11	Nambung si Isa, uk na, “Bang 'nsa' bayi min Tuhan muwanan kau kapatut, 'nsa' du niya' patut nu mapatay aku. Hangkan na aa bayi nukbalan aku ni kau mehe le' dusa na min dusa nu.”
JHN.19.12	Puwas na hi' meha lawang si Pilatu pamalappa na si Isa. Suga' magpangōlang na peen baanan Yahudi hi', uk sigam, “Bang kau malappa aa iyu, 'nsa' kau na bagay Sultan Mahatinggi. Sayi-sayi magsultan-sultan di na magbanta du maka Sultan Mahatinggi.”
JHN.19.13	Pagtake pamissala manga aa ian uk si Pilatu, biyo uk na si Isa paluwas. Bo' ningko' si Pilatu ma pangahukuman, ian ma halaman iyōnan Halaman Batu. (Gabbata ōn na bang ma bahasa Hibrani.) 
JHN.19.14	'Llaw ian 'llaw pagsakap jamu ma hinang Pangintōman, maka song lattu 'llaw na. Jari pagtingko' si Pilatu uk na ni manga aa, “Tiya' na Sultan bi!”
JHN.19.15	Suga' magpangōlang sadja manga aa ian, uk sigam, “Papatayun na! Papatayun na! Lansangun ni diyata' hag!”
JHN.19.15	Tīyaw sigam uk si Pilatu, uk na, “Angay, kabayaan bi baha' subay soho' ku sultan bi liyansang ni hag?”
JHN.19.15	Nambung manga nakura' imam, uk na, “'Nsa' niya' sultan kami, duwal Sultan Mahatinggi!”
JHN.19.16	Jari siyongan si Isa uk si Pilatu pahi' ni sigam, supaya iya biyo liyansang ni hag piyatay.
JHN.19.16	Manjari biyo na si Isa uk sigam. 
JHN.19.17	Paluwas iya min daira maka uk na nanggung hag iya song pangalansangan iya. Patudju iya ni lahat iyōnan Lahat Baung Kok. (ōn na Golgota bang ma bahasa Hibrani). 
JHN.19.18	Pagmahi' na, liyansang si Isa ni hag uk manga sundalu bo' pitangge hag hi'. Niya' isab duwangan lalla liyansang ni diyata' hag sigam min bihing si Isa karuwambiya'. 
JHN.19.19	Niya' sulat pamahati bayi siyulat uk si Gubnul Pilatu, siyoho' pipahi' ni diyata' hag si Isa. Uk sulat hi', “Si Isa aa Nasaret, Sultan bangsa Yahudi.” 
JHN.19.20	Heka aa bayi makabassa sulat itu sabab lahat pamapatayan si Isa ian sikōt ni Awrusalam, maka sulat itu bayi tasulat ma bahasa Hibrani maka ma bahasa Roma maka ma bahasa Girik. 
JHN.19.21	'Nsa' baya' manga nakura' imam ma lapal sulat hi', hangkan uk sigam pahi' ni si Pilatu, “Daa sulatun, ‘Sultan bangsa Yahudi’. Gam na peen iya sulatun, ‘Aa itu maghalling in iya sultan bangsa Yahudi.’ ”
JHN.19.22	Nambung si Pilatu, uk na, “Iya tasulat ku 'nsa' na kapindahan.”
JHN.19.23	Ubus peen uk manga sundalu bayi ngalansang si Isa ni hag sampay matangge hag na, ngallo' sigam sammek na bo' bihagi' 'mpat uk sigam ma dangan maka dangan. Niya' le' dakayo' badju' si Isa 'nsa' niya' lappi' na, langkos hinangan na. 
JHN.19.24	Maghalling manga sundalu, uk na, “Daa gese' ta badju' itu. Hap le' pagkootan ta bo' katauhan ta bang sayi karapuhan na.” Pagka salaihi' hinang manga sundalu ian, niya' kamaksuran ma bayi tasulat ma diyōm kitab, iya uk na,
JHN.19.24	“Kapagbahagian sammek ku uk manga aa.
JHN.19.24	Pigkoot-kootan uk sigam badju' ku bang sayi karapuhan na.”
JHN.19.25	Na, ina' si Isa, maka danakan ina' na, maka si Mariyam handa si Kolopas, maka si Mariyam min lahat Magdala, ian magtanggehan ma bihing hag bayi pangalansangan si Isa. 
JHN.19.26	Tanda' uk si Isa ina' na maka dakayo' mulid na iya kalasahan na may'an, bo' uk na ni ina' na, “Mulid ku iyu anak nu na.” 
JHN.19.27	Uk na isab ni mulid na ian, “Iyu na ina' nu.” Hangkan na puwas min 'llaw ian ina' si Isa bayi biyo uk mulid ian paōkōm ma iya.
JHN.19.28	Manjari itu kitauhan uk si Isa tangbus na kamemon bayi pamahinang ma iya. Sakali uk na, “Toho' kallong ku.” Salaitu halling na bo' niya' kamaksuran ma bayi tasulat ma diyōm kitab.
JHN.19.29	Niya' may'an dakayo' pōga-pōga liyōōnan inuman kisōm, hangkan manga sundalu bayi ngahagōman lappus ni diyōm inuman hi'. Pisagnat uk sigam ni tong kayu-kayu bo' iyampa piabut pahi' ni bo' si Isa. 
JHN.19.30	Makasassōp peen si Isa ma inuman, uk na, “Tangbus na hinang ku.” Jari patoyok kok na maka bakkat na napas na.
JHN.19.31	Na, pagka 'llaw Jumaat na salaihi', ngamu' manga nakura' Yahudi pahi' ni si Pilatu, siyoho' hiyopoan nayi' manga aa tallungan bayi liyansang ian ni hag, bo' supaya lakkas matay, bo' tapareyo' min hag ma 'nsa' le' taabut 'llaw Sabtu'. 'Nsa' baya' manga nakura' bang patay ian taggōl pisaran ma diyata' hag sampay ma 'llaw Sabtu', sabab Sabtu' ian landu' halga' asal ma bōgbōg sigam. 
JHN.19.32	Hangkan pahi' manga sundalu ngahopoan nayi' manga aa duwangan bayi liyansang ni hag, iya bayi mag-abay maka si Isa, ubus nayi' dangan bo' dangan. 
JHN.19.33	Suga' makaabut peen sigam ni si Isa, tanda' uk sigam in iya matay na asal, hangkan 'nsa' kalausan hiyopoan nayi' na. 
JHN.19.34	Gam peen biyudjak kid na maka budjak uk dakayo' sundalu ian bo' paluwas magtuwi laha' maka bohe'. 
JHN.19.35	(Aa bayi makanda' iya tahinang itu ma si Isa, siyulat uk na manga pakaradjaan itu supaya kaam magkahagad isab. Kapangandōlan du panaksi' aa manulat itu, maka katauhan na bannal asal bissala na.) 
JHN.19.36	Patakka salaitu supaya niya' kamaksuran ma bayi tasulat ma diyōm kitab, iya uk na, “'Nsa' niya' bōkōg na hopo' minsan dakayo'.” 
JHN.19.37	Maka niya' le' ayat kitab dakayo', iya uk na, “Nganda' du sigam ma aa bayi biyudjak uk sigam.”
JHN.19.38	Puwas na hi' niya' dakayo' aa min lahat Arimati, ōn na si Yusup. Dakayo' iya mulid si Isa suga' bayi limbungan na kapagmulid na sabab tiyāw iya liyaat uk manga nakura' Yahudi. Pahi' iya ni si Pilatu maid ngallo' patay si Isa. Pitugutan iya uk si Pilatu hangkan iya pay'an mareyo' patay si Isa min diyata' hag. 
JHN.19.39	Sehe' na si Nikudimus, iya bayi pahi' ni si Isa ma dakayo' sangōm bayi waktu palabay. Si Nikudimus itu mo manga limampu' kilu laksi', ōn na mira maka alos, duwa ginis na piglamugay. 
JHN.19.40	Manjari killo' patay si Isa uk manga aa duwangan itu bo' iyampa siyaput uk sigam maka kuku pote' pihian laksi', sali' addat bangsa Yahudi bang malihala' patay. 
JHN.19.41	Niya' kabbun ma tōngōd bayi pamapatayan si Isa, maka niya' ma diyōm kabbun ian pangubulan bahu bayi liyowangan ma diyōm pampang batu. 'Nsa' le' niya' bayi takubul may'an. 
JHN.19.42	Jari itu, pagka song sangōm Sabtu' na, kiyubul mayat si Isa pay'an sabab sikōt du pangubulan ian ni bayi pamapatayan iya.
JHN.20.1	Dayi' 'llaw Ahad peen, ma 'nsa' le' pote' sōbangan, pahi' ni kubul si Mariyam, danda min lahat Magdala. Tanda' na hi' na bayi pikalloan batu panambōl lowang kubul. 
JHN.20.2	Sakali paragan iya pahi' maan si Simun Petros maka mulid dakayo', iya kilasahan asal uk si Isa. Uk si Mariyam ni sigam, “'Nsa' na may'an Panghu' kitabi. Niya' bayi ngallo' iya min diyōm kubul maka 'nsa' katauhan kami bang maingga pamabōtangan sigam ma iya.”
JHN.20.3	Manjari si Petros maka mulid dakayo' pahi' magtuwi tudju ni kubul. 
JHN.20.4	Paragan sigam karuwangan suga' lakkas le' mulid dakayo' itu min si Petros, bo' makarahu iya takka ni kubul. 
JHN.20.5	Pakoko' iya pasib ni diyōm na bo' tanda' na manga saput may'an, suga' 'nsa' iya pasōd. 
JHN.20.6	Jari takka na si Petros min damuwihan na bo' magtuwi iya pasōd ni diyōm kubul. Tanda' na saput si Isa pabōtangan di na may'an, 
JHN.20.7	maka tanda' na turung muka na liyunan. Saddi kabōtangan na, 'nsa' magbe' maka saput hi'. 
JHN.20.8	Manjari mulid dakayo', iya bayi makarahu pay'an, pasōd na isab. Pag'nda' na saput magtuwi iya magkahagad na pasal si Isa. 
JHN.20.9	Niya' asal bayi tasulat ma diyōm kitab ma pasalan si Isa, in iya subay 'llum du pabing min kamatay na, suga' 'nsa' le' bayi tahati lapal kitab ian uk sigam. 
JHN.20.10	Manjari mowe' na sigam duwangan.
JHN.20.11	Suga' si Mariyam iya nangge na peen mahi' ma tōngōd kubul hi', maka uk na nangis. Sabu peen iya nangis, pakoko' iya pasib ni diyōm kubul. 
JHN.20.12	Niya' tanda' na duwa malaikat magjuba pote' ningko' may'an ma bayi pamabōtangan mayat si Isa, dangan hi' min bayi kok na, dangan hi' min bayi nayi' na. 
JHN.20.13	Uk manga malaikat itu ni iya, “Inda' angay kau hangkan nangis?”
JHN.20.13	Nambung si Mariyam, uk na, “Sabab hi' bayi killoan uk sigam mayat Panghu' ku, maka 'nsa' katauhan ku bang paingga iya pamabōtangan sigam ma iya.”
JHN.20.14	Ubus peen itu pihalling uk si Mariyam, palingi' iya bo' tanda' na si Isa nangge may'an, suga' 'nsa' takila na bang si Isa. 
JHN.20.15	Uk si Isa ni iya, “Inda', angay kau nangis? Sayi peha nu?”
JHN.20.15	Kibā' uk si Mariyam in aa ian tunggu' kabbun, hangkan uk na ni iya, “Tuwan, bang kau bayi mo mayat na minnitu, bain aku bang maingga pamabōtangan nu iya bo' aku pahi' ngallo' iya pabing.”
JHN.20.16	Uk si Isa ni iya, “Mariyam.”
JHN.20.16	Magtuwi harap na si Isa bo' uk na ni iya ma sali' bissala Hibrani, “Rabbuni!” Hati na “guru”.
JHN.20.17	Uk si Isa ni iya, “Daa aku intanin sabab 'nsa' le' aku bayi makapowe' pahi' ni 'Mma' ku. Suga' pahi' kau ni manga dawuranakan ku. Maka bain sigam in aku mowe' na ni 'Mma' ku maka Tuhan ku, hati na ni 'Mma' sigam maka Tuhan sigam.”
JHN.20.18	Jari si Mariyam, danda min Magdala, pahi' na maan manga mulid pasal kapanganda' na ma si Panghu' Isa maka pasal bayi halling si Isa ma iya.
JHN.20.19	Sangōm peen 'llaw Ahad hi', magtipun manga mulid si Isa ma diyōm luma'. Manga lawang na bayi kiyansingan pahōgōt sabab tiyāw sigam ma manga nakura' Yahudi. Sakali si Isa pay'an nangge ma tangnga'-tangnga' sigam bo' halling na ni sigam, “Mura-murahan, bang peen kaam kaniyaan kasannangan atay.” 
JHN.20.20	Manjari pandaan na sigam manga limpa' ma tangan na maka ma kid na. Kiyōgan tōōd manga mulid na ian pag'nda' sigam ma Panghu' sigam. 
JHN.20.21	Missala si Isa pabing, uk na ma sigam, “Mura-murahan, bang peen kaam kaniyaan kasannangan atay. Soho' ta kaam sali' bayi panohoan aku paitu uk 'Mma' ku.” 
JHN.20.22	Puwas na hi' nganapas si Isa ma sigam maka uk na, “Tayimaun bi na Nyawa Sutsi. 
JHN.20.23	Bang ampun bi dusa aa, iyampunun du dusa sigam uk Tuhan. Bang 'nsa' ampun bi, iya du 'nsa' iyampunun uk Tuhan.”
JHN.20.24	Na, ma waktu kaluwas si Isa ni manga mulid na ian 'nsa' bayi may'an si Tomas. Si Tomas itu dakayo' mulid si Isa min sangpu' ka duwa, danglay na si Kambal. 
JHN.20.25	Manjari biyaan iya uk kasehean, uk sigam, “Bayi tanda' kami Panghu' tabi.”
JHN.20.25	Suga' uk si Tomas, “Bang 'nsa' tanyata' ku maka tasadsad ku limpa' lansang ma pat tangan na, maka bang 'nsa' tasadsad ku pali' ma kid na, 'nsa' du aku magkahagad.”
JHN.20.26	Labay peen pitungallaw minnihi' magtipun na pabayik manga mulid si Isa ma diyōm luma', maka ian na si Tomas. Kiyansingan asal manga lawang hi', suga' pay'an sadja si Isa nangge ma tangnga'-tangnga' sigam bo' uk na, “Mura-murahan, bang peen kaam kaniyaan kasannangan atay.” 
JHN.20.27	Jari halling iya ni si Tomas, uk na, “'Ndaun manga tangan ku itu. Abutun maka tong tangan nu. Paabutun tangan nu paitu ni kid ku. Daa na kau magduwa-duwa. Magkahagad na kau tōōd.”
JHN.20.28	Halling si Tomas, uk na, “Kau iya Panghu' ku maka kau Tuhan ku!”
JHN.20.29	Uk si Isa ni iya, “Iyampa kau magkahagad baha', pagka tanda' nu na aku? Mehe kalasigan manga aa magkahagad ma aku minsan aku 'nsa' tanda' uk sigam.”
JHN.20.30	Heka le' manga hinang makainu-inu bayi tahinang uk si Isa ma panganda' manga mulid na, saddi min manga hinang iya tasulat ma juran itu. 
JHN.20.31	Suga' manga kahinangan iya siyulat ma diyōm juran itu, iya hangkan itu siyulat bo' supaya pagkahagad bi si Isa in iya bannal si Almasi, Anak Tuhan, maka supaya kaam kaniyaan kallum kakkal ni kasaumulan ma sabab pagkahagad bi ma iya.
JHN.21.1	Puwas manga pilangallaw minnihi' paluwas si Isa pabing ni manga mulid na mahi' ma bihing danaw Tibiri. Salaitu iya kaluwas na ian ni sigam: 
JHN.21.2	Si Simun Petros bayi may'an magbe' maka si Tomas iya diyanglay si Kambal, maka si Natanael iya min kalumaan Kana mahi' ma lahat Jalil. Ian isab magbe' manga anak si Sibidi, maka duwangan mulid si Isa saddi. 
JHN.21.3	Na, halling si Simun Petros, uk na. “Pareyawut le' aku mōkōt.”
JHN.21.3	“Me' kami,” uk kasehean hi'. Jari pariyata' sigam ni bayanan bo' pahi' ni deyawut, suga' 'nsa' niya' takallo' sigam sampay ni karayi'-llawan.
JHN.21.4	Dayi' 'llaw peen, ian si Isa nangge ma bihingan suga' 'nsa' iya takila uk manga mulid na. 
JHN.21.5	Ngalingan iya pahi' ni sigam, uk na, “O manga bagay, 'nsa' niya' baha' takallo' bi?”
JHN.21.5	“'Nsa',” uk sigam.
JHN.21.6	“Na,” uk si Isa, “hugun bi pōkōt bi sakap min katau iyu bo' kaam makakallo'.” Hangkan hiyug uk sigam pōkōt hi'. Paghug itu magtuwi 'nsa' takowe' hella' uk sigam pariyata' ni diyōm bayanan, ma sabab kaheka daying na.
JHN.21.7	Manjari halling dakayo' mulid iya kilasahan uk si Isa. Uk na ni si Petros, “Panghu' ta ko' ian!” Makake peen si Simun Petros itu, magtuwi sulug na pabing badju' na bayi hurusan na, bo' iyampa iya pakuppa ni diyōm danaw tudju pahi' ni si Isa. 
JHN.21.8	Manga mulid kasehean me' le' ma bayi bayanan sigam, maka uk sigam ngangguyud pōkōt panno' uk daying. Sikōt du sigam ni bihing, niya' manga limampu' dappa lawak na. 
JHN.21.9	Makaruwai peen sigam ni bihing niya' tanda' uk sigam api maka manga daying tiyapa ma baga na, maka niya' isab manga tinapay. 
JHN.21.10	Uk si Isa ni sigam, “Bohun bi paitu manga daying min bayi takallo' bi iyu.”
JHN.21.11	Hangkan pahi' si Simun Petros pasakat pabing ni pamean sigam bo' guyud na pōkōt tudju ni de. Panno' pōkōt ian uk daying aslag, dahatus maka limampu' maka tallu heka na. Suga' pōkōt hi' 'nsa' gese' minsan lōōn na heka kalandu'. 
JHN.21.12	Uk si Isa ni sigam, “Dayi' kaam mangan.” 'Nsa' niya' ma manga mulid na ian makatawakkal niyaw iya bang sayi iya, sabab kitauhan uk sigam in iya Panghu' sigam du. 
JHN.21.13	Jari pahi' si Isa ngallo' tinapay bo' pamuwan na ni sigam, damikkiyan na manga daying.
JHN.21.14	Kamintallu na na itu kaluwas si Isa ni manga mulid na damuwi peen min 'llaw bayi pamakallum iya min kamatay na.
JHN.21.15	Ubus peen uk sigam mangan, missala si Isa ni si Simun Petros. “Simun anak si Yahiya,” uk na, “lasa nu ni aku, labi le' baha' min manga sehe' nu itu?”
