MAT.1.1	Jisu Krista ni phagararao ni greng: bo David ni basa, ar David, Abraham ni basa.
ACT.15.19	Odebani, ang elei bisar khlai du; Jentail raoni bising ha Madai ni gede naiphinyarao khe dukhu riya hi, 
ACT.15.20	saokhuli ne riyaba jinis gusu khe jiyaba buthu, gaori-gaora jayaba ni balam buthu, gorna derthaiyaba mih ni mogong jiyaba buthu, odehe bithi lingyaba buthu ni phrang gajain dongmane khlaihi bonsi niha reb ba khe se jing nangjao ba. 
ACT.15.21	Bede thikhade, Moses gda ha ning khrip nolei noleiha boni dara ni balam ha sainthi hi sunagog buthu ha lenggo basain sophai kha ning sainthi re, bo ode thi ba.
ACT.15.22	Odehe, yaohon rikphayarao khrip longjomkhoh ni khraorao jang, bonsini dol ni subung khe saikho hi, Paul jang Barnaba jang baosi Antiokei ha haiha mane bao ba. Bonsi saikhoyarao ni bumu de Juda, Barsabba thiyaba, ar Silas se. Bonsi lonyarao ni bising ha man-gnang ar jadaoyaba se. 
ACT.15.23	Odehe, bonsini yao ha ede reb hi bonsi haiha ba,
ACT.15.23	Jing Apostolrao, khraorao ode daphlungrao ning Antiokei ha, Suria raji ha, Kilikia raji ha, Jentail daphlung dongyarao khe juthai khlim ha du. 
ACT.15.24	Jini dolni bisingni sereba subung oraha thanghi nisi khe jarni grao jang khin ri ba, ode nisi khe khah waimu nang riba thihi jing khna ba, thikhabo jing bonsi khe musibo saniya. 
ACT.15.25	Odebani, jing graosi jahi gibi jang buji hi saikhoyaba subung buthu khe Paul jang Barnaba khe nisi niha jing haiha ba se. 
ACT.15.26	Gabra Jisu Krista ni bumu ni khlai hi jarni hang khe bisar khlaiyayaba bonsi jang baosi subung saikho hi nisi niha haiha ba ham nang thihi jing tharmai du. 
ACT.15.27	Odebani se, Juda jang Sila khe jing haiha ba, bonsi bo ebo grao khe ning nisi khe thima se. 
ACT.15.28	Bese Gathar jang jing khe, ebo grao nangyayaba bubain khe de nisi jarni basaoha dengya kha de ham nang thihi jing thi du. 
ACT.15.29	Saokhuli khe biyaba mogong da ji lah, ar bithi da ji lah, ar mih ni gorna derphai hi sthaiyaba ni bahain bo da ji lah. Ebo buthu khe nisi haiger kha de, nisini khlai hi ham nang. Hamsisi dong lah.
ACT.15.30	Bonsi haijaoyaba buthu Antiokei ha thang la kha. Boha sohiba ha, subung buthu khe bonsi longthim hi, laisi khe bonsi yaopha kha. 
ACT.15.31	Subung buthu bokhe phuri blai hi, bonsi hamsi ning khaja kha, bede thikhade, bo laisi bonsi khe sibring kha. 
ACT.15.32	Juda jang Sila de gorasali se bani, grao gabang jang bonsi khe sibring hi rao ri ba. 
ACT.15.33	Oraha bonsi budu galao dongbani yaohon ha, bonsi khe haihayarao niha haiphin ha mane khlai hi daphlungrao khe bonsi santi jang haiphin kha. 
ACT.15.34	(Thikhabo, Sila thiyaba de oraha ning dongsong ma bao ba).
ACT.15.35	Paul jang Barnaba gabang gibin subung jang baosi Antiokei ha ning Gabra slingriyaba grao khe sainthi hi dongthao ba.
ACT.15.36	Khaisa basain ni yaohon ha, Paul, Barnaba niha thi ba, Duha thangphin hi, khrip nolei ha Gabrani grao khe jing khna riyaba si ha, daphlung dongyarao niha thangpha lang hi, bonsini dongthai khe jing naipha lang nang. 
ACT.15.37	Boha Barnaba de Johan (Marka thiyaba khe) bonsi niha langphama bao ba, thikhabo Paul de bonsi niha bo langphama nangjaoya. 
ACT.15.38	Bede thikhade, bonsi khusi dangpha laiba ha, bo bonsi jang baosi thangphaya hi, Pamphulia ha bo khe dangkhlai kha. 
ACT.15.39	Odebani, hamsi ning bonsi niyalai hi, bonsi degao lai kha. Barnaba, Mark khe jar jang baosi langpha hi, Kupra hahgojo gede rung jang thangla kha. 
ACT.15.40	Paul, Sila khe saikho hi, daphlungrao ne Gabrani khasaoma khe bonsine deng ribani yaohon ha bo thangla kha. 
ACT.15.41	Longjomrao khe rao ripha langhi Suria jang Kilikia raji ha bo thang pha lang kha.
ACT.16.1	Paul, Derbe jang Lustra habo thang ba, ode, oraha ning bumu Timothe thiyaba, lonyasa saosi dong ba. Bo lonyaba Judajik ni basa, thikhabo boni bupha de Greeksa se. 
ACT.16.2	Lustra jang Ikoniam ha daphlung dongyarao de Timothe khe bakhan khlai re. 
ACT.16.3	Paul bokhe jar jang baosi langphama nangjao ba; odebani boni jogai bujuh raso ba. Bede thikhade, boni bupha de Greek jadi se thihi bo hathan buthu ha dongyarao mithi thar du. 
ACT.16.4	Bonsi khrip nogor buthu ha thangba lamai jang, Jerusalem ni hoja dongyarao ni bisar khe mani mane khlai hi daphlungrao khe thiri du. 
ACT.16.5	Odebani, longjomrao khe lonma ha rao hi, sain midi bo bonsi bangdao phalang ba.
ACT.16.6	Bese Gathar jang Asia raji ha grao thiba bo magna bani Phrugia ode Galatia raji ha bonsi thang la kha. 
ACT.16.7	Boha Musia raji gabasi sohi dada, Bithunia raji ha bonsi hapsing ma bao ba, thikhabo, Jisu ni Bese jang bo thang riya. 
ACT.16.8	Odebani, Musia raji khe lailang hi, Troas thiyaba ha bonsi thang la kha. 
ACT.16.9	Boha, Paul jang hor ha, saomi lai Makedonia raji ni subung saosi song hi, Makedonia raji ha phai hi, jing khe juru phai, thi hi boni ha khainsuba khe bo nu ba. 
ACT.16.10	Bo saomi khe nuhi srap Makedonia raji ha jing thangma nangma bao ba, Madai se jiniha hamba graojma sainthi mane jing khe longba thihi jing tharmai kha.
ACT.16.11	Troas ni phrang jing rung jang baigo hi, beleng thing thing Samothraki ha jing thuhi, gibin basain ha Neapoli ha jing thangphin kha. 
ACT.16.12	Oraha ni phrang Makedonia raji ni masi nolei Philippi thiyaba ha jing thang kha. Odehe, oraha basain galao jing dongthao ba. 
ACT.16.13	Lenggo basain ha khorongma ni daoglap baji gede dih dergong ha bithan ja ma baohi jing oraha thang ba. Ode, jing kham hi masainjik bojom japhaiyarao niha jing grao sainthi ba. 
ACT.16.14	Boha bumu Luda thiyaba, rih jaosro phainyaba, Thuatira nolei ni subung, Madai biyaba masainjik saosi, jing grao thiyaba khe khna ba, ode Paul grao thiyaba khe mani mane khlai hi Gabra ning boni khah khe khuru ri kha. 
ACT.16.15	Bo jang boni nokhorrao baptisma laha bani yaohon ha, Ang khe gibi jang Gabra ni lonyajik baokha de, ani noh ha phai hi dong lah, thihi jing khe mani hi bo langpha kha.
ACT.16.16	Sainsi khali, jing biyaba hathan ha thangba ha, sereba mala lengjik, sgain sgo sma naiba ringyaba jang gajaoyaba khe goron ba, bo jakha de sma naihi jarni bubrarao ne khlai hi gabang rang rih bojai ri re. 
ACT.16.17	Bo Paul jang ode jing jang yaohon rikpha ba, Ebo buthu, nisi ne sogolam ni lama khe sainthiyaba de, Basaothao Madai ni leng buthu se, thihi bo jirikkhao ba. 
ACT.16.18	Bo mnang ni phrang ning olei dang re. Odebani, Paul de jajaoya hi, bo naiphin dada, sgain sgo niha thi ba, Jisu Krista ni bumu jang boni bising ni phrang baigo mane ang ning khe grao ri du, bo ode thi ba. Boha ning bo baigo lang la kha.
ACT.16.19	Bokhe lengjik ni bubrarao nuhi, bonsi rang maiyaba khe jam ba thihi bonsi khna hi, Paul jang Sila khe bonsi rem hi, hojarao ni sagang ha hathaima ha sikbu ba. 
ACT.16.20	Rom ni bisardarrao niha bonsi langhi thi ba, Ebo Judarao de jini nolei khe gaso suso khlai du. 
ACT.16.21	Bonsi gibin dara sling ri du, bo buthu khe jing ajaoba gathar niya, ode mani babo gathar niya, bede thikhade jing Rom sarao se. 
ACT.16.22	Odebani, subung buthubo Paul jang Sila jang nanglai mane graosi jahi bonsi phai ba,
ACT.16.22	Ode bisardarrao Paul ar Sila ni rih buthu khe jekhao hi khokhla hi, su mane grao ri ba. 
ACT.16.23	Ode, bonsi gabang su bani yaohon ha, phatho ha bonsi jeb ba, ode raokhiyaba niha hamsisi dikhao hi raokhi mani khlai hi bonsi thi ba. 
ACT.16.24	Phatho ni hoja olei hukhum maihi bonsi khe bising ni khutha ha phraojep hi, bonsi ni igah buthu ha jingjri gain ri ba.
ACT.16.25	Hogjer maothi maotha ha Paul jang Sila de bi hi ning Madai ni rajabthai khe rajab ba, ode phatho ha dongyarao bo khna ba. 
ACT.16.26	Boha ning hamsi ning banglama phai ba, ode khrip derga khuru thar ba, ode subung jingjri jang khayaba buthu khuru thar ba. 
ACT.16.27	Boha naisoyaba smaohi baijaba de, phatho khoh ni derga buthu khuru hi dongba khe bo nuhi, phatho khoh ha dongyarao khe khaithar kha thihi baoba. Odebani seng khaikho hi jar khe jar sthai la ma bao ba. 
ACT.16.28	Thikhabo, Paul bol jang jirikkhao hi thi ba, Jar khe musibo da khlai, jing khrip bo eraha ning dongthar du.
ACT.16.29	Phatho naisoyaba thaophari sain hi, bising ha birsing ba, ode lup lup mao hi Paul jang Sila ni sagang ha bo blip pha ba. 
ACT.16.30	Ode bo bonsi khe baji ha lang hi thi ba, Hoi ajurao, sogo mani khlai hi snadi khe ang dang ma? bo ode thi ba.
ACT.16.31	Bonsi thiphin ba, Gabra Jisu Krista khe lon lah, odese ning jang nini nokhorrao bo goma mai ma. 
ACT.16.32	Ode, bo jang boni noh ha dongyarao khrip subung buthu niha Madai ni grao khe bonsi sainthi kha. 
ACT.16.33	Okhali ni hor ha ning bo bonsi khe lang hi, bonsi suba ha gasa jayaba buthu khe susa ba, ode, boha ning bo jang boni nokhorsibo bonsi baptisma lathar ba. 
ACT.16.34	Ode, jarni noh ha bo langhi, bo ji mane ri ba; ode, bonsi Madai khe lon bani bo jang boni khrip nokhorrao jang hamsi ning khaja ba.
ACT.16.35	Phorong ha, Rom ni bisardarrao Bo buthu khe haiger ha, thi mane khlai hi subung remyarao khe bonsi haiha ba.
ACT.16.36	Odehe, phatho khe naisoyaba, Paul niha bonsi ni grao khe thi ba, Bisardarrao nisi khe haiger mane subung haiha ba, odebani, duha baigo hi santi jang thang lah.
ACT.16.37	Thikhabo, Paul subung remyarao niha thi ba, Jing de Rom ni subung se. Jini gajai jadu jaya tharmaiya hi, noleikhor ni sagang ha suhi, phatho ha jing khe jeb kha. Duha snadi jabani jing khe phirik phirik khaikho ba? Ode ja nang niya; bonsi ning phai hi khaikho phaila thing.
ACT.16.38	Siphaiyarao bo grao khe bisardarrao niha sainthi ba; ode, Rom ni subung se thihi bonsi mithiba jang hamsi ning bonsi khin kha. 
ACT.16.39	Odebani, bonsi thang hi, bujai hi, baji ha lang hi, nogor ni phrang thangla mane khlai hi bonsi khe khainsu ba. 
ACT.16.40	Paul jang Sila phatho khe haiger hi, Luda ni noh ha hap ba. Oraha daphlungrao jang bonsi goronlai hi khah santi ri hi, bonsi thangla kha.
ACT.17.1	Paul jang Sila de Amphipoli jang Appolonia khe lailang hi, Thessalonika ha bonsi sohi kha. Oraha Judarao ni sunagog dong ba. 
ACT.17.2	Paul, jarni nalai ni dara lai, bonsi niha thang hi, phintham lenggo basain ha Madai ni grao ni phrang hamsisi sainthi phla ba, 
ACT.17.3	Krista de dukhu khlai ma nang mani grao khe, subung githi ni phrang thang hi baija phin bani grao khebo thiphla hi bo bujai re, Ebo Jisu khe nisi ne sainthiyaba de, bo ning Krista se, thihi bo thi du. 
ACT.17.4	Bonsi ni bising ha gejesi de mani rijao kha, ode Paul jang Sila goronlai kha; Madai khe baoyaba Greek subung hamsi ning ode, masainjikrao ni hoja gabang bo mani kha.
ACT.17.5	Thikhabo, sereba Judarao de bonsi khe hingsa jahi, sthaima ni sereba sereba sele subung buthu khe labu hi, longthim ba. Khrip nogor khe bonsi gdang sdang khlai hi, Jason ni noh khe bonsi hamya khlai hi, bonsi khe nogor gejer ha langma bao ba. 
ACT.17.6	Thikhabo, bonsi khe maiya hi Jason jang gibin daphlungrao sereba sereba nolei ni hojarao khe labu hi, bonsi jirik khao ba, Habsao khe gdang sdang khlaiyarao eraha phai ba, 
ACT.17.7	Jason, jarni noh ha nohma thao ri ba. Ebo buthu khrip de Raja gibin Jisu thiyaba dong thihi Kaisar ni hukhum khe sbai du, ode bonsi thi ba. 
ACT.17.8	Subung buthu ode nogor ni bisardarrao bo grao buthu khe khna hi, bonsi gdang sdang ja kha. 
ACT.17.9	Odebani, bonsi Jason jang daphlung gibin buthu ni phrang bonsi baslai ha rang lahi, bonsi haiger kha.
ACT.17.10	Hor ha ning daphlungrao, Paul jang Sila khe Beroia nolei ha bonsi srap haiha kha; ode bonsi oraha sohi ba jang, Judarao ni sunagog ha bonsi hapsing kha. 
ACT.17.11	Oraha ni subung buthu de Thessalonika ni subung buthu thanebo bonsi hamdao. Odebani, khah ha khajama jang grao khe bonsi lamjao hi, bonsi grao thiyaba khe jadu na jaya mithi mani khlai hi sainmidi Madai ni laisi ha bonsi smai re. 
ACT.17.12	Odebani, bo subung buthu gabang ning lon kha; Greek masainjik man gnangrao ode miyahrao bo gabang ning bonsi lon kha. 
ACT.17.13	Thikhabo, Thessalonika ni Judarao, Paul de Beroia nolei ha Madai ni grao khe thi du thihi khna ba jang, orahabo bonsi thang hi, subung buthu khe phuslai hi, bonsi gdang sdang khlai phin ba. 
ACT.17.14	Boha daphlungrao ning Paul khe sagor ni dergong sosi thang mani khlai hi haiha kha. Thikhabo, Sila jang Timothe de oraha ning dongthao kha. 
ACT.17.15	Paul khe lang smaiyarao de Atheni sosi langsmai ba; ode Sila jang Timothe khe gebre hi boniha srap phai mani grao jamayaba khe lang hi bonsi phaiphin la kha.
ACT.17.16	Paul, Atheni ha bonsi khe jon hi dongba ha, nogor de Madai ni saokhuli jang gablai ba khe bo nuhi bo khah rainjao kha. 
ACT.17.17	Odebani, sunagog ha Judarao jang Madai khe khlimyaba Jentailrao gabang bojom jayarao niha bo grao sainlai re, ode hathaima habo, oraha dongphaiyarao si jang sainmidi bobo nam jalai re. 
ACT.17.18	Epikuria ode Stoik slingriyasarao sereba subung gyanirao bokhe bonsi jophai ba. Bonsi ni bising ha gejesi, Ebo subung grao bangyaba la snadi grao khe thima bao ba? bonsi ode thi ba.
ACT.17.18	Sereba gejesi jakha de, Raji gibin ni Madai buthu ni grao khe sainthiyaba janai du dou! ode bonsi thilai ba. Bede thikhade, Paul Jisu ni grao ar thanghi baijaphin bani grao khe thi kha. 
ACT.17.19	Odebani, bonsi Paul khe jar jang baosi Areopagi ha lang hi bokhe sing ba, Ebo slingrithai gadain, ning sainthiyaba khe jing tharmaiba ja nang? 
ACT.17.20	ning gmang thaosisi grao thiyaba buthu khe jinthane khna ri du, boni ortho khe jing mithima nangjao du. 
ACT.17.21	(Bede thikhade, Atheni ha dongyarao khripbo, ode oraha naorai dongyarao bo gadain gadain grao buthu ode grao khna ba khe gar hi de gibin khusi ha bonsi basain phlaiya kha.)
ACT.17.22	Paul de Areopagi ni gejer gejer ha song hi, bo thi ba, Nisi Atheni ni subung buthu, khrip ha Madai khe maniyaba se thihi ang tharmai du, 
ACT.17.23	bede thikhade, ang daobai langba ha, nisi khlimyaba khe nu ba, ode khapra masi ni basao ha, MITHIYAYABA MADAI NE KHLAI HI thihi rebyaba khe ang nu kha. Odebani, nisi mithiya hi khlimyaba khe ning nisi ne ang sainthi ba. 
ACT.17.24	Madai, habsao ni bising ha jinis dongyaba khrip ode habsao ar sorgo ni Raja se bani, yao jang slamyaba noh ha, bo dongya. 
ACT.17.25	Jinis bao joba lai jahi subung ni yao ha khusi dang riba habo dangya, bo jar ning khrip jadi ne, hayu buthu khe, hang buthu khe, ode khrip jadi khe bo ning riba se. 
ACT.17.26	Phirthi sao ha khrip dong mane khlai hi, buphang masi jang khrip jadi subung khe bo slam ba. Ode, bonsi ni khlai hi bubli buthu khe deng hi, bonsi ni dongthan hari buthu khebo saokhrip ba. 
ACT.17.27	Madai khe smai hi, bonsi gibring hi gibring hi, bonsi asaba dara jang mai mani khlai hi, thikhabo, bo jini phrang gajain dongya. 
ACT.17.28	Nisi ni bising ha sereba subung thi kha,
ACT.17.28	Boni khlai hi se thanghi dong ba, maobai ba, ode rao hi dong ba.
ACT.17.28	Nisi ni rajabthai khakhuba ringyaraobo,
ACT.17.28	Jingbo boni greng se, thihi thi ba lai.
ACT.17.29	Jing Madai ni grengrao jaba ni yaohon ha, Madai ni gede gajao ja thing, rang ja thing, longthai ja thing, subung slamba ringyaba ode bisar baohi khaikhoyaba lai jing thima niya. 
ACT.17.30	Madai khe subung tharmaiyayaba bubli buthu ha, bo tharmaiya jamai si ba; thikhabo, bo basain hanggai bani, duha de khrip hathan ha khrip subung khah phin mani hukhum bo ri du; 
ACT.17.31	bo basain hade, bo subung ni hukhum jang phirthi ni subung buthu gibi jang bisar khlai ri ma se. Bo grao khe, Madai ning bokhe subung githi ni phrang bo mathangyaba jang, khrip subung niha phorman ri kha, thi du.
ACT.17.32	Subung githi ni phrang thangphin hi baija phinyaba grao khe bonsi khnaba jang sereba mini ba, sereba thi ba, Ebo grao khe bakhali nini ha khnaphin lai nang. 
ACT.17.33	Ode, Paul de bonsi ni bising ni phrang baigo hi bo thang la kha. 
ACT.17.34	Thikhabo, gejesi boni ha gaba hi, bonsi lon kha; bonsi ni bising ha gejesi buthu de Areopagi ha bisar khlaiyaba dol ni subung Dionusia ode, masainjik saosi boni bumu Damari, ode, boniha ar gibin subung buthu bo dong.
ACT.18.1	Ebo ni yaohon ha Paul, Atheni ni phrang baigo hi, Korinth ha thang la kha. 
ACT.18.2	Oraha Juda jadi saosi, bumu Akuila khe bo goron ba. Bo Ponto raji ha hajaiyaba, jarni bihih Priskila jang Itali raji ni phrang phaiba gadain se. Raja Klaodia, khrip Judarao khe Rom ni phrang baigo mane hukhum ri bani, Paul bonsi khe nai mane thang ba. 
ACT.18.3	Paul de bonsi ni noh ha noh mathao hi, bonsi khusi dangba lai jasosi dang bani bonsi jang baosi dong hi dang ba; bonsi ni khusi de mihgur lahi noh slamyaba se. 
ACT.18.4	Bo nalai lenggo basain ha sunagog ha khah jang muh jang grao sainthi hi, ode Judarao ar Greekrao khe bo bujai re.
ACT.18.5	Sila jang Timothe, Makedonia ni phrang phai ba ha, Paul grao thi mane se ning hajora smai hi Judarao khe Jisu de Krista se thihi bo thiphla ba. Thikhabo, bonsi jajaoya jahi bokhe se bonsi siji ba, 
ACT.18.6	Paul, jarni rih khe thisa hi bonsi khe thi ba, Nisi ni thijao nisi ning bubain ajao lah, ani gajai giri, duha ni phrang de ang Jentailrao ni bising ha thang lama ja kha, bo ode thiba. 
ACT.18.7	Odebani, bo oraha ni phrang thang hi, boni bumu Tita Jasta thiyaba, Madai ni subung saosi ni noh ha phai ba, ode boni nohbo bojom jayaba noh jang masi se. 
ACT.18.8	Boha bojom jayaba ni hoja Krispas, jarni khrip nokhorbo Gabra khe bonsi lon kha, ode Korinth nogor ha dongyarao gabang ning subung buthu bo khna hi lonma ha bonsi khe labu hi baptisma la kha.
ACT.18.9	Horsi khali Gabra ning saomi lai Paul khe thi ba, Da khin, phirik phirik dongya hi grao thipha lang lah; 
ACT.18.10	ang ning jang dongpha du thi, ning khe dukhu ri mane saosi bo nini basao ha yao sugu nang niya. Bede thikhade, ebo nolei ha ani subung gabang dong. 
ACT.18.11	Paul oraha ning bonsi jang baosi Madai ni grao khe sling rihi nokha maithai si daindo bo dong ba.
ACT.18.12	Gallio, Akaia raji ha Raja ni baslai ha bo dongba ha, Judarao graosi jahi Paul ni basao ha gajai rihi, bisar ni khamthan ni sagang ha bonsi lang ba. 
ACT.18.13	Ebo subung de Dara giri lai Madai khe bi mane khlai hi subung buthu khe phuslai du, thihi bonsi thi ba.
ACT.18.14	Paul grao thima nangma baohi ning bo dongba ha, Gallio de Judarao niha, Ebo grao buthu gibi niya thikhade, asaba dara jang nisi ni grao khe ang khna nang mu, 
ACT.18.15	thikhabo, grao buthu, bumu buthu, nisi ni dara ni grao haglai se thikhade, nisi ning bisar khlai lah; ang de oleiyaba grao khe baoma nangjaoya dou, thihi bo thi ba. 
ACT.18.16	Ode, bisar ni khamthan ni phrang bonsi khe bo rik khla kha. 
ACT.18.17	Bonsi khrip jang bojom jayaba ni hoja Sosthen khe rem hi, bisar ni khamthan ni sagang ha su ba. Gallio de olei bonsi khusi dangba khe musibo baoya.
ACT.18.18	Boni yaohon ha, Paul de basain galao oraha dongthao ba; odehe daphlungrao khe hamba grao jang bo degao hi, oraha ni phrang Suria raji gede rung jang bo thangla kha. Bo jang baosi Priskilla jang Akuila bo thangpha ba. Paul grao hanggaiyaba dongba ni Kenkriai ha bo khnai lamtho tho sojao ba. 
ACT.18.19	Ephesi ha bonsi sohi dada oraha ni phrang de bonsi khe bo garlang kha; thikhabo, bo sunagog ha hap hi, Judarao niha khah jang muh jang grao thihi ning bo dong ba. 
ACT.18.20	Budu galao dongthao mani khlai hi subung buthu bokhe khainsu ba, thikhabo bo maniya. 
ACT.18.21	Madai ning bo nangjao kha de, nisi niha ang phaiphin nang, thihi hamba grao jang degao hi, Ephesi ni phrang rung jang bo thang la kha.
ACT.18.22	Kaisari ha sohi ba ha, rung ni phrang akhai hi, Jerusalem ha thang hi, longjomrao jang bo khlimlai ba; ode, boni yaohon ha se Antiokei ha bo thang ba. 
ACT.18.23	Oraha bubli khaisa dong bani yaohon ha, bo thangphin hi, lonyarao khrip khe rao rihi, Galatia raji jang Phrugia raji ha bo daobai thar ba.
ACT.18.24	Bo bubli ha, Juda saosi, boni bumu Apollo, Aleksandria nogor ha hajaiyaba, Ephesi ha phai ba. Bo grao thiba blaiyaba se. Bo Madai ni laisi ni grao buthu khe hamsi ning tharmaiyaba se. 
ACT.18.25	Bo Gabra ni lama ni slingrithai khe maiyaba se, khasuha khah muh rihi Jisu ni gibi gibi khna ri du, ode sling ri du; thikhabo, bo Johan ni baptisma ni grao khe se ning tharmai ba. 
ACT.18.26	Odehe, bo bojom jayaba noh ha khitha raoma jang grao thiba jen kha. Odebani, Priskilla jang Akuila de bo grao thiyaba khe bonsi khna hi, jarni noh ha bonsi lang hi, boni ha Madai ni lama ni grao khe ar gibi gibi thiphla ri dao kha. 
ACT.18.27	Apollo de Akaia raji ha gakhu lang ma bao ba jang, daphlungrao bonsi khe khuphai khao hi, bokhe bonsi khajama ni khlai hi lonyarao niha bo laijma reb hi haiha ba. Ode, bo sohi dada, Madai ni khasaoma jang lonyarao de bokhe hamsi ning juru kha. 
ACT.18.28	Bede thikhade, bo gathar laisi ni phrang phorman rihi Jisu ning Krista se thihi, hamsi ning bol jang Judarao khe khrip ni sagang ha bo niyathai kha.
ACT.19.1	Apollo Korinth ha dongba hatho ha, Paul, basao gede ni khrip haphai ha thanghi Ephesi ha bo phai ba, oraha sereba yaohon rikphayarao bo nuba; 
ACT.19.2	bo bonsi khe sing ba, Lon jenba ni bubli ha nisi Bese Gathar khe mai kha?
ACT.19.2	Bonsi boni ha, Maiya, Bese Gathar dong thihi bo jing tharmaiya, bonsi thiphin ba.
ACT.19.3	Bo bonsi khe thi ba, Thikha la, nisi sere ni baptisma la ba?
ACT.19.3	Bonsi thiphin ba, Johan ni baptisma.
ACT.19.4	Paul thi ba, Johan ede thihi khah phinma ni baptisma ri ba, ar Israelrao khe boni yaohon ha phaiginyaba khe lonma nang du thihi thi ba, bo de Jisu se ning.
ACT.19.5	Bo grao khe bonsi khnaba jang Gabra Jisu ni bumu jang baptisma la kha. 
ACT.19.6	Paul bonsi ni basao ha boni yao khe deng hi, Bese Gathar bonsi ni basao ha sophai kha. Boha bonsi grao mithiyayaba buthu jang grao sainthi ba, ode Madai ni grao khebo bonsi sainthi ba. 
ACT.19.7	Bonsi khrip jang jhigin ja du.
ACT.19.8	Odehe, Paul sunagog ha hap hi, nokha dain tham sosi khinya hi bo grao thi ba, ode Madai ni raji ni balam habo niyathai hi bujai re. 
ACT.19.9	Thikhabo, subung gejesi de khah rao bani bonsi lonma nangjaoya, ode subung buthu ni sagang ha lama ni grao khe bonsi sijiba jang 
ACT.19.10	nokha maithai gin sosi olei bo khusi dang ba. Odebani, Asia raji ha dongyaba khrip Judarao ode Greekrao bo Gabra ni grao khe bonsi khna thar kha.
ACT.19.11	Paul ni yao jang Madai ning gmang thaosisiyaba khusi khe dang ri ba. 
ACT.19.12	Bo jarni saomang ha rusayaba rih ja thing, gasa rusayaba buthu ja thing, limyarao niha bonsi labu hi, bonsi ni gilim gasa jam re, ode bonsi ni sao bising ni phrang sgain buthu bo baigo re. 
ACT.19.13	Sereba Juda pheren bai hi daobaiyaba, Jisu ni bumu lahi sgain bese gusu rik khlai mane khusi dang re. Bonsi Sere Paul sainthiyaba Jisu ni bumu jang ning khe jo du thihi thi re. 
ACT.19.14	Judarao ni jonthai saosi Skeva thiyaba ni basathu sni olei ning dangbai re.
ACT.19.15	Thikhabo, sgain bese gusu ning bonsi khe thi ba, Jisu khe ang lon du, ode Paul khebo ang tharmai du, thikhabo nisi la sere?
ACT.19.16	Ode, sgain bese, subung ni bising ha dongyaba, baipha phai ba ar bonsi khe de kha. Odebani, bo noh ni phrang langtha jahi bumai jang bo khaihun lang kha. 
ACT.19.17	Ephesi ha dongyarao khrip Judarao ode Greeksarao niha ebo grao gublung thar kha. Odebani, bonsi khin hi, Gabra Jisu ni bumu jadao ba. 
ACT.19.18	Boha lonyarao bo gabang subung phai hi, jar jar khusi dangyaba buthu khe mani hi bonsi thiphla kha. 
ACT.19.19	Gabang subung montro yaowaiyarao bo bonsi ni montro laisi buthu khe bojom khlai hi khrip subung ni sagang ha saokhrip ba, ode boni dam bo rjing dan lai ja du. 
ACT.19.20	Olei sosi bol jang grao thihi Gabra ni grao gublung thar ba, ode bonsi de phalang ba.
ACT.19.21	Ebo grao buthu khrip ja bani yaohon ha, Paul de bese jang sikphajao hi Makedonia jang Akaia raji gede jahi Jerusalem habo thangma bao ba. Oraha thang bani yaohon ha Rom habo ang thang ma, thihi bao ba. 
ACT.19.22	Odebani, jarni Juruyahsa gini, Timothe jang Erasta khe Makedonia ha haiha hi, ode bo jakha de Asia raji ha dongthao ba.
ACT.19.23	Bo bubli ha bo lama ni balam ni khlai hi Ephesi ha gede dukhu ja ba. 
ACT.19.24	Subung saosi, boni bumu Demetrias, guphu daoyaba, Diana ni Madaikhoh ni saokhuli khe guphu jang daoba, bo jang boni dangyasarao bo gabang lab mai re. 
ACT.19.25	Bo bonsi khrip khe longthim hi thi ba, Hoi subungrao, ebo khusi khe dang hi jing besi don mai du thihi nisi mithi du, 
ACT.19.26	duha, Ephesi ha se ning niya hi, Asia raji ni khrip ha ebo Paul khusi dangyaba khe nisi khna du ar nu du. Yao jang slamyaba buthu de madai niya thihi bo thi ba, ode gabang subung khe bujai re thihi nisi jar ning nu la kha, khna la kha. 
ACT.19.27	Jing khusi dangyaba de nang, olei se ning niya hi, madaijik dedao thaoyaba Diana ni bikhoh bo raoya ja ma se. Asia raji ni khrip subung ar habsao ni khrip subung maniyaba muima bo raoya ja ma se thihibo khin mani dong, bo ode thi ba.
ACT.19.28	Ebo grao khe bonsi khna ba jang bonsi gabang thamsi baigo hi, Ephesi ni Diana thiyaba dedaothao thihi bonsi jirik khao ba. 
ACT.19.29	Nogor ha hoho jahi Gaia jang Aristarka, Makedonia raji ni subung buthu, Paul ni yaohon rikphayarao khe bonsi rem hi, graosi ja dada baiyaba noh ha bonsi lang ba. 
ACT.19.30	Boha Paul subung buthu ni bising ha hap ma baoba, thikhabo rikphayarao bokhe hap riya ja ba. 
ACT.19.31	Asia raji ni sereba bisardar Paul ni lugurao dong, bonsi boni ha subung haiha hi, baiyaba noh ha thangya mani khlai hi khainsu ba. 
ACT.19.32	Boha, jomsi jahi dongyaraobo ho jalai ba, gejesi masi grao ni khlai hi jirik khao ba, ode gejesi gibin grao ni khlai hi bonsi jirik khao ba. Bede thikhala, subung bangdaohi dongyaba bojom jayaba ni balam khe mithi laya. 
