MAT.1.1	Lhibro de l’ourige de Jasus Cristo, filho de Dabide, filho de Abraan.
LUK.6.35	Anton, amai ls buossos einemigos, fazei bien i amprestai sien asperar nada; será mui grande l buosso galardon i sereis filhos de l Altíssemo, porque el tamien ye buono pa ls angratos i pa ls malos. 
LUK.6.36	Séiades mezericordiosos, cumo tamien l buosso Pai ye mezericordioso.»
LUK.6.37	«Nun quérgades julgar i nun sereis julgados; nun quérgades cundanar i nun sereis cundanados; sultai i tamien bos sultaran; 
LUK.6.38	dai i tamien bos será dado: ũa buona medida, ancalcada, sacudida i a arramar para fuora bos botáran ne l regaço; porque cula mesma medida cun que medirdes tamien bos mediran a bós.»
LUK.6.39	Anton, dixo-le cumo acumparança: «Será que un ciego puode guiar outro ciego? Nun cairan dambos a dous nũa fóia? 
LUK.6.40	L deciplo nun subirte porriba l mestre, mas todo l que fur purfeito será cumo l sou mestre. 
LUK.6.41	Anton, porque ye que bés la palhica que stá ne l uolho de tou armano i nun miras pa l cantiado que stá ne l tou uolho? 
LUK.6.42	Cumo ye que le puodes dezir a tou armano: “Armano, deixa-me tirar la palhica que stá ne l tou uolho” i nun bés l cantiado que stá ne l tou uolho? Falso, tira purmeiro l cantiado de l tou uolho i apuis yá bés bien para tirar la palhica que stá ne l uolho de tou armano.»
LUK.6.43	«Porque nun hai ũa arble buona que deia fruito malo, nien ũa arble mala que deia fruito buono. 
LUK.6.44	Cada arble conhece-se pul sou fruito; nien de spineiros se puoden colher figos, nien de ls abrolhos se puoden bendimiar ubas. 
LUK.6.45	L home buono tira l bien de l bun tesouro de l coraçon, mas l home malo, de l mal tira cousas malas: porque la sue boca fala de l que l coraçon stá carregado.»
LUK.6.46	«Porque me chamais “Senhor, Senhor” i nun fazeis l que bos digo? 
LUK.6.47	Quien benir a mi i oubir las mies palabras i las pon an prática, bou-bos a amostrar a quien ye acumparado: 
LUK.6.48	ye acumparado a un home que fizo ũa casa, scabou bien fondo i puso ls aliçaces anriba de piedra; bieno ũa mundiada i la corriente batiu cun fuorça naqueilha casa, mas nien fui capaç de l’abanar porque staba bien feita. 
LUK.6.49	Mas l que oube i nun pon an prática, ye acumparado al home que fizo la sue casa anriba la tierra i sien aliçaces, atirou-se la corriente contra eilha i lhougo se sbarrulhou i aqueilha casa quedou feita nun munton de piedras.»
LUK.7.1	Apuis de haber acabado todas estas palhestras delantre de l pobo, antrou an Cafarnaún. 
LUK.7.2	Habie alhá un centurion an que un criado, de quien gustaba muito, staba mui malo, a las puortas de la muorte. 
LUK.7.3	Mal apenas oubiu falar de Jasus, mandou-le uns ancianos de ls judius, a pedi-le que benira a sanar l sou criado. 
LUK.7.4	Eilhes, assi que chegórun an pie de Jasus, pedírun-le muito, dezindo-le: «El ye merecedor de que le atendas l pedido del, 
LUK.7.5	porque gusta de la nuossa tierra i fui el que mos fizo la sinagoga.» 
LUK.7.6	Anton, Jasus fui cun eilhes. Quando yá iba acerca de la casa, l centurion mandou-le uns amigos a dezi-le: «Senhor, nun t’anquemodes, puis you nun sou merecedor de que entres ambaixo l miu telhado, 
LUK.7.7	pula mesma rezon nien sequiera cuidei que fura merecedor de benir a tener cuntigo, mas diç ũa palabra i l miu criado quedará sano. 
LUK.7.8	Porque tamien you sou un home sujeito a l’outeridade, tengo suldados a las mies ordes, i digo-le a este “Bai”, i el bai; i a outro “Ben”, i el ben; i al miu criado “Faç esto”, i el faç.» 
LUK.7.9	Al oubir estas cousas, Jasus quedou mui admirado cun el i bolbendo-se pa l juntouro de giente que iba a trás del, dixo-le: «Digo-bos, que nien an Eisrael achei ũa fé tan grande.» 
LUK.7.10	Al chegar a casa, ls que habien ido a tener cun el, achórun l criado yá sano.
LUK.7.11	Un ratico apuis fui-se a ũa cidade que le chamában Nain i íban cun el ls sous deciplos i un grande juntouro de pessonas. 
LUK.7.12	Quando stában a chegar acerca la puorta de la cidade, lhebában un a anterrar que era l filho morgado de sue mai, que era biúda, i muita giente de la cidade iba cun eilha. 
LUK.7.13	Mal apenas la biu l Senhor, quedou cheno de pena deilha i dixo-le: «Nun chores.» 
LUK.7.14	Achegou-se, topou ne l squife i ls que lo lhebában parórun. El dixo: «Moço, digo-te-lo you: Alhebanta-te.» 
LUK.7.15	L muorto sentou-se i ampeçou a falar. Apuis antregou-se-lo a la mai. 
LUK.7.16	Anton, todos quedórun cun muito miedo i lhoubában a Dius, dezindo: «Apareciu un grande porfeta antre nós» i tamien: «Dius bejitou l sou pobo.» 
LUK.7.17	I la fama del corriu-se por toda la Judeia i por aqueilhas tierras eilhi alredror.
LUK.7.18	Ls deciplos de Juan cuntórun-le estas cousas todas. 
LUK.7.19	Anton, Juan chamou dous de ls sous deciplos i mandou-los a tener cul Senhor, dezindo-le: «Sós tu l que ha de benir ou asperamos por outro?» 
LUK.7.20	Quando ls homes chegórun an pie del, dezírun-le: «Juan Batista mandou-mos a tener cuntigo para te dezir: “Sós tu l que ha de benir ou asperamos por outro?”» 
LUK.7.21	Na mesma oucasion curou a muita giente de males, pragas i spritos malos i a muito ciego dou-le la bista. 
LUK.7.22	Respundendo, dixo-le Jasus: «Ide i cuntai-le a Juan l que bistes i oubistes: Ls ciegos béien, ls tolhidos ándan, ls lheprosos quédan lhímpios, ls xordos óuben, ls muortos rucecítan i als probes ye anunciado l Eibangeilho. 
LUK.7.23	Feliç daquel que an mi nun achou rezon para se scandelizar.»
LUK.7.24	Quando ls mensageiros de Juan se fúrun ambora, ampeçou-le a falar de Juan a aqueilha giente toda: «L que ye que fustes a ber al zerto? Ũa canha a abanar cul aire? 
LUK.7.25	Mas l que fustes a ber? Un home bien trajado cun roupas delicadas? Mirai que ls que ándan bien bestidos i a la buona bida stan ne ls palácios de ls reis. 
LUK.7.26	Anton, l que fustes a ber? Un porfeta? Si, digo-bos-lo you, bien mais do que un porfeta. 
LUK.7.27	Este ye aquel de quien stá screbido: 
LUK.7.28	Digo-bos-lo you: Naide ye mais grande do que Juan antre ls nacidos de las mulhieres; mas l mais pequeinho ne l reino de Dius ye mais grande do que el.»
LUK.7.29	Todo l pobo que l oubiu i ls publicanos dórun grácias a Dius, habendo sido batizados cul batismo de Juan. 
LUK.7.30	Mas ls fariseus i ls doutores de la lei nun quejírun aceitar l cunseilho de Dius contra eilhes, nun habendo sido batizado por el.
LUK.7.31	«A quien acumpararei ls homes desta giraçon? A quien son acumparados? 
LUK.7.32	Son acumparados a rapazicos que stan sentados na praça i bózian uns pa ls outros, dezindo:
LUK.7.32	“Toquemos fraita para bós i nun beilestes;
LUK.7.32	cantemos-bos modas tristes i nun chorestes.”
LUK.7.33	Porque bieno Juan Batista, que nun quemie pan nien buie bino, bós dezis: “Ten l demonho cun el”; 
LUK.7.34	bieno l Filho de l Home, que come i bebe, i dezis: “Ende stá un home quemilon i bubedor de bino, amigo de ls quebradores de la décima i de ls pecadores.”
LUK.7.35	Mas la sabedorie de Dius solo se bei an todos ls que son sous filhos.»
LUK.7.36	Un de ls fariseus pediu-le que fusse a quemer cun el. Antrou an casa de l fariseu i sentou-se a la mesa. 
LUK.7.37	Ende, ũa mulhier de la cidade que era pecadora, quando soubo quien staba sentado a la mesa an casa de l fariseu, lhebou un baso de alhabastro cun unguiento 
LUK.7.38	i, ponendo-se por trás del a chorar als pies del, ampeçou-le a regar ls pies cun lhágrimas i a anxugaba-se-los cul pelo de la sue cabeça, beisaba-le ls pies i ountaba-se-los cul unguiento. 
LUK.7.39	Quando biu estas cousas l fariseu que lo habie cumbidado, dezie alhá cun el: «Se este fura un porfeta, saberie bien quien i l que ye la mulhier que le topou, pus ye ũa pecadora.» 
LUK.7.40	Jasus respundiu-le, dezindo: «Simon, tengo ũa cousa para te dezir.» I el dixo-le: «Dezi alhá, mestre.» 
LUK.7.41	«Habie dues pessonas que le debien a outra: ũa debie-le quenhientos denheiros i outra cinquenta. 
LUK.7.42	Nun tenendo cun quei le pagar, el perdonou-le a dambas a dues: qual de las dues le quedará mais an fabor?» 
LUK.7.43	Simon respundiu-le, dezindo: «Cuido que será aqueilha a quien mais le perdonou.» Anton, el dixo-le: «Penseste bien.» 
LUK.7.44	Bolbendo-se pa la mulhier, dixo-le a Simon: «Bés esta mulhier? Antrei an tue casa, nun me deste auga pa ls pies, mas eilha regou ls mius pies cun lhágrimas i anxugou-los cul sou pelo. 
LUK.7.45	Nun me deste un beiso, mas esta, çque antrei, nun parou de me beisar ls pies. 
LUK.7.46	Nun ounteste la mie cabeça cun azeite, mas esta ountou ls mius pies cun un ounguiento. 
LUK.7.47	Por bias destas cousas, digo-te-lo you: Son-le perdonados ls muitos pecados deilha, porque amou muito; mas aquel a quien pouco ye perdonado, pouco ama.» 
LUK.7.48	Dixo-le apuis a eilha: «Quédan-te perdonados ls tous pecados.» 
LUK.7.49	Ls que stában sentados a la mesa ampeçórun a dezir uns pa ls outros: «Quien ye este que até perdona ls pecados?»
LUK.7.50	I dixo-le a la mulhier: «La tue fé salbou-te. Bai-te an paç.»
LUK.8.1	Ũa beç, yá apuis destes feitos, an que el andaba pulas cidades i lhugaricos a pregar i a anunciar l Eibangeilho de l reino de Dius i íban cun el ls Doze 
LUK.8.2	i algues mulhieres, que habien sido sanas de spritos malos i malinas, Marie, que le chamában Madalena, d’adonde salírun siete demonhos, 
LUK.8.3	Joana, mulhier de Cuza, repersentante de Harodes, Susana i muitas mais, que lo ajudában culs sous bienes.
LUK.8.4	Cumo se fizo un grande juntouro de pessonas, puis benien de todas las cidades a tener cun el, dixo-le por acumparança: 
LUK.8.5	«Un sembrador saliu a sembrar la sue semiente i, anquanto sembraba, ũa pouca aparou a la borda de l camino, pisórun-la i fui quemida puls páixaros de l cielo. 
LUK.8.6	Outra aparou anriba la piedra i, mal apenas naciu, secou-se lhougo porque nun tenie ceçon. 
LUK.8.7	Outra aparou ne l meio de gatunhas i, cumo las gatunhas crecírun cun eilha, abafórun-la. 
LUK.8.8	I outra aparou an tierra buona i, apuis de nacer, dou fruito al cien por un.» Al dezir estas cousas, boziaba: «Quien ten oubidos para oubir, ouba.»
LUK.8.9	Anton, ls sous deciplos preguntórun-le l quei querie dezir aqueilha parábola. 
LUK.8.10	El dixo-le: «Bós podeis coincer ls mistérios de l reino de Dius, mas ls outros solo por acumparaçones, para que 
LUK.8.11	«Antoce, la parábola ye esta: La semiente ye la palabra de Dius. 
LUK.8.12	Ls que stan a la borda de l camino, son ls que óuben, mas adepuis ben l diabro i arrinca la palabra de l coraçon deilhes, para que, acraditando, nun se sálben. 
LUK.8.13	Ls que stan anriba la piedra son ls que, al oubir, recíben la palabra mui cuntentos, mas, cumo nun ténen raiç, solo acradítan por un tempico i quando ben la tentacion pérden-se. 
LUK.8.14	La que caiu al meio de gatunhas son aqueilhes que oubírun, mas cul tiempo son abafados puls cuidados, las riquezas i cousas buonas de la bida i nun dan fruito cumo debe de ser. 
LUK.8.15	La que caiu an tierra buona, esses son aqueilhes que, oubindo la palabra, la cunsérban nun coraçon hounesto i buono i dan fruito tenendo pacéncia.»
LUK.8.16	«Naide que tenga aceso ũa candela la tapa cun un baso ou la pon ambaixo la cama, mas pon-la ne l belador para que ls que éntran béian la lhuç. 
LUK.8.17	Puis nun hai nada que steia an segredo que nun se çcubra, nien scundido que nun se benga a saber i quede a las claras. 
LUK.8.18	Por essas rezones, mirai bien cumo oubis: Al que ten, dará-se-le i al que nun ten, até l que cuida que ten le será tirado.»
LUK.8.19	Apuis, fúrun-se a tener cun el la mai i ls armanos i nun éran capazes de s’achegar a el por bias de la giente. 
LUK.8.20	Anton, dezírun-le: «Tue mai i tous armanos stan na rue i quieren-te ber.» 
LUK.8.21	Al que el le respundiu, dezindo: «Mie mai i mius armanos son ls que óuben la palabra de Dius i la pónen an prática.»
LUK.8.22	Ũa beç, por essa altura, el chubiu-se nun barco culs sous deciplos i dixo-le: «Bamos-mos ambora para aquel lhado de l lhago.» I fúrun-se ambora. 
LUK.8.23	Anquanto stában a nabegar, el deixou-se ambelesar. Lhougo a seguir, alhebantou-se ũa airaçada ne l lhago i anchien-se d’auga i stában an peligro. 
LUK.8.24	Fúrun-se a tener cun el i spertórun-lo, dezindo-le: «Mestre, mestre, stamos-mos a afogar.» Mas el alhebantou-se, renhiu cul aire i culas óndias i aplaquiórun-se, quedando todo mui sereno. 
LUK.8.25	Dixo-le, apuis, a eilhes: «Adonde stá la buossa fé?» Eilhes, chenos de miedo, quedórun mui admirados i dezien uns pa ls outros: «Quien será este, que até le dá orde al aire i a l’auga i eilhes oubedécen-le?»
LUK.8.26	Adepuis, nabegórun pa la tierra de ls gadarenos que queda delantre la Galileia. 
LUK.8.27	Assi que chegórun a tierra, bieno a tener cun eilhes un home de la cidade que tenie demonhos andrento i yá muitá que andaba znudo, nien moraba nũa casa mas nũa sepultura. 
LUK.8.28	El, quando biu a Jasus, botou-se por tierra delantre del i dezie cun grandes bózios: «Que tengo you a ber cuntigo, á Jasus, filho de l Dius Altíssemo? Pido-te que nun m’atermentes.» 
LUK.8.29	Porque el le daba orde al sprito malo que salira de l home para fuora, puis yá muitá que tomara cunta del. Tenien-lo preso cun cadenas i cun apeias, mas el scachaba las cadenas i l diabro lhebaba-lo pa ls zertos. 
LUK.8.30	Anton, Jasus anterrogou-lo, dezindo-le: «Cumo te chamas?» El dixo-le: «Lhegion», porque habien antrado nel muito demonho. 
LUK.8.31	I pedien-le que nun los çfaiasse.
LUK.8.32	Andaba puli ũa bezeira de cochinos a pacer ne l monte, anton eilhes pedírun-le que ls deixasse antrar neilhes i el deixou-los. 
LUK.8.33	Lhougo ls demonhos salírun de l home i antrórun ne ls cochinos. La bezeira botou-se dũa faia abaixo pa l lhago i afogou-se. 
LUK.8.34	Quando bírun l que se passou, ls que ls stában a guardar, scapórun-se i fúrun a cuntar todo pula cidade i puls lhugaricos. 
LUK.8.35	Todos salírun a ber l que s’habie passado i benírun a tener cun Jasus i achórun l home, d’adonde habien salido ls demonhos, bestido, an sou purfeito juízo, sentado als pies de Jasus, i tubírun miedo. 
LUK.8.36	Ls que habien bido todo cuntórun-le tamien cumo habie sido sano l que tenie l demonho andrento. 
LUK.8.37	Anton, to la giente de la tierra de ls gadarenos le pediu que se fura ambora deilhi, porque stában chenos de miedo. Ende, el chubiu-se ne l barco i fui-se ambora. 
LUK.8.38	L home de adonde habien salido ls demonhos pedie-le que l deixara quedar cun el. Mas el mandou-lo ambora, dezindo-le: 
LUK.8.39	«Torna pa tue casa i cunta las grandes cousas que Dius te fizo.» I el fui-se por toda la cidade a apregonar las grandes cousas que Jasus le habie feito.
LUK.8.40	Quando Jasus tornou, recebiu-lo un grande juntouro de pessonas, porque stában todos a spera del. 
LUK.8.41	Lhougo bieno un home, que le chamában Jairo i era príncepe de la sinagoga, botou-se als pies de Jasus pedindo-le que antrasse an sue casa, 
LUK.8.42	porque la filha morgada, quaijeque cun doze anhos, staba-se a morrer. I, anquanto iba, era ambarrado por muita giente. 
LUK.8.43	Ũa mulhier, que yá doze anhos que tenie ũa perda de sangre i gastara culs doutores todo quanto tenie, mas nanhun fura capaç de la curar, 
LUK.8.44	achegou-se por trás del i topou-le na punta de l bestido del i lhougo le parou l sangradeiro. 
LUK.8.45	I dixo Jasus: «Quien fui que me topou?» Cumo todos negássen, dixo-le Pedro: «Mestre, to la giente se stá a ambarrar acontra ti.» 
LUK.8.46	Mas Jasus dixo-le: «Alguien me topou, puis bien bi que ũa bertude saliu de mi.» 
LUK.8.47	Anton la mulhier, bendo que nun se podie scunder, bieno a tembrar, botou-se por tierra delantre del i dixo-le, delantre de l pobo todo, porque rezon le habie topado i cumo lhougo habie sanado. 
LUK.8.48	Anton, el dixo-le: «Filha, la tue fé salbou-te. Bai-te an paç.»
LUK.8.49	Anquanto el inda staba a falar, bieno ũa pessona de la casa de l príncepe de la sinagoga a dezir: «La tue filha yá se morriu, nun anquemodes mais l Mestre.» 
LUK.8.50	Mas Jasus, al oubir aqueilhas palabras, dixo-le: «Nun tengas miedo, bonda teneres fé i eilha será salba.» 
LUK.8.51	Antrando na casa, nun deixou antrar a mais naide, a nun ser a Pedro, a Juan i a Tiago, al pai i a la mai de la rapazica. 
LUK.8.52	Todos stában a chorar por eilha. Mas el dixo-le: «Nun chóredes, porque nun stá muorta, mas a drumir.» 
LUK.8.53	Ende, fazien caçuada del, puis sabien que staba muorta. 
LUK.8.54	Anton, el agarrou la mano deilha i boziou dezindo: «Mocica, alhebanta-te!» 
LUK.8.55	L sprito deilha tornou i eilha nistante se alhebantou i mandou que le díran a quemer. 
LUK.8.56	Ls pais deilha quedórun mui admirados i el pediu-le que nun le cuntáran a naide l que se habie passado.
LUK.9.1	Chamando ls doze deciplos, dou-le bertude i poder subre todos ls demonhos i para sanar ls males. 
LUK.9.2	Adepuis, mandou-los a pregar l reino de Dius i a sanar ls que stában malos, 
LUK.9.3	dezindo-le: «Nun lhebeis nada pul camino, nien choupa, nien alforjas, nien pan, nien denheiro, nien téngades dues capas. 
LUK.9.4	An qualquiera casa adonde antrardes, quedai ende i dende salireis. 
LUK.9.5	Se nun bos recebíren, quienquiera que seia, sali dessa cidade i sacudi l puolo de ls buossos pies, cumo teçtemunho contra eilhes.» 
LUK.9.6	Anton, eilhes salírun i andubírun por todos ls lhugares a anunciar l Eibangeilho i a sanar por to las partes.
LUK.9.7	L tetrarca Harodes oubie todo l que se passaba i quedaba an dúbeda, porque alguns dezien: «Juan rucecitou de ls muortos»; 
LUK.9.8	mas outros dezien: «Fui Eilias que apareciu»; mas outros retrucában: «Fui un porfeta de ls antigos que rucecitou.» 
LUK.9.9	I Harodes dixo: «A Juan cortei-le you la cabeça; anton, quien ye este de quien oubo falar essas cousas?» I buscaba un modo de l ber.
LUK.9.10	Quando ls apóstelos bolbírun, cuntórun-le todo l que habien feito. Anton, agarrando-los d’aparte, fui-se cun eilhes para ũa cidade que le chamában Betsaida. 
LUK.9.11	Quando las pessonas soubírun adonde staba, fúrun-se atrás del. El recebie-las, falaba-le de l reino de Dius i sanaba las que percisában de ser sanas.
LUK.9.12	Yá ampeçaba a scurcer i ls doze, achegando-se a el, dezírun-le: «Ampunta las pessonas, que se báian a saber de quemer puls lhugares i aldés que hai por ende alredror, porque neste sítio nun hai un germo.» 
LUK.9.13	Anton el dixo-le: «Dai-le bós a quemer.» Mas eilhes dezírun-le: «Solo tenemos cinco fogaças i dous peixes, a nun ser que báiamos nós a mercar de quemer para todo este juntouro de giente.» 
LUK.9.14	Stában eilhi por ende cinco mil homes. Dixo-le, anton, als sous deciplos: «Mandai-los sentar an quadrilhas de cinquenta.» 
LUK.9.15	Assi fazírun i ponírun-los a todos sentados. 
LUK.9.16	Agarrando las cinco fogaças i ls dous peixes, mirou pa l cielo, beneziu-los, partiu-los i dou-se-los als sous deciplos para que ls poníran delantre las pessonas. 
LUK.9.17	Adepuis, quemírun i todos quedórun fartos. Cul que sobrou inda anchírun doze cestas de carolos.
LUK.9.18	Ũa beç, staba el solo a rezar i stában cun el ls sous deciplos. Anton, preguntou-le, dezindo: «Quien dízen las pessonas que you sou?» 
LUK.9.19	Eilhes respundírun-le, dezindo: «Uns que sós Juan Batista, outros Eilias i outros dízen que sós un antigo porfeta que rucecitou.» 
LUK.9.20	Anton, el dixo-le: «I bós, quien dezis que you sou?» Respundendo-le Pedro, dixo: «Tu sós l Cristo de Dius.»
LUK.9.21	Mas el, abisando-los, dou-le orde para nun se lo cuntáren a naide, 
LUK.9.22	dezindo-le: «Ye perciso que l Filho de l Home padeça muita cousa, seia çpreziado puls mais bielhos, puls xefes de ls saçardotes i puls scribas, que seia muorto i que rucecite al treceiro die.»
LUK.9.23	Dezie-le a todos: «Se alguien quier benir atrás de mi, arrenegue-se a el mesmo, carregue a cada die la sue cruç i benga atrás de mi. 
LUK.9.24	Porque, quien quejir salbar la sue bida, perderá-la, mas quien perdir la sue bida por bias de mi, salbará-la. 
LUK.9.25	Pa que le sirbe a un home gananciar l mundo anteiro, se se perdir a el mesmo ou se tubir perjuízo? 
LUK.9.26	Puis quien tubir bergonha de mi ou de las mies palabras, tamien del s’ambergonhará l Filho de l Home quando benir na sue glória i na de l Pai i de ls santos anjos. 
LUK.9.27	Digo-bos you, de berdade: Alguns de ls que eiqui stan nun han de coincer la muorte até que nun béian l reino de Dius.»
LUK.9.28	Ũa beç, arrimado a uito dies apuis destas palabras, agarrou cun el d’aparte a Pedro, a Juan i a Tiago i chubiu-se a un cabeço para rezar. 
LUK.9.29	Quando el staba a rezar, la cara del quedou toda demudada, l bestido del quedou albo cumo la niebe i mui relhamposo. 
LUK.9.30	Lhougo a seguir stában dous homes a falar cun el, que éran Moisés i Eilias, 
LUK.9.31	que aparecien cun muita glória i falában de l passamiento del, que s’habie de dar an Jarusalen. 
LUK.9.32	Pedro i ls que stában cun el tenien ũa sonheira mui grande. Quando spertórun bírun la glória del i daqueilhes dous homes que stában cun el. 
LUK.9.33	Quando eilhes s’apartórun del, dixo-le Pedro a Jasus: «Mestre, ye buono starmos eiqui; bamos a fazer trés cabanhas: Ũa para ti, outra para Moisés i outra para Eilias», nun dezindo cousa cun cousa. 
LUK.9.34	Mal apenas acabou de dezir estas palabras, bieno ũa nubre i asselumbrou-los; ende, quedórun chenos de miedo al antráren eilhes na nubre. 
LUK.9.35	Apuis, saliu ũa boç de la nubre, que dezie: «Este ye l miu amado Filho; oubi-lo.» 
LUK.9.36	Mal apenas s’oubiu aqueilha boç, Jasus quedou el solico. Ls deciplos quedórun mui calhadicos i, por aqueilhes dies, nun le cuntórun a naide essas cousas que habien bido.
LUK.9.37	A soutordie, benien eilhes a abaixar de l cabeço, saliu-le al camino un grande juntouro de giente. 
LUK.9.38	Lhougo un home desse juntouro boziou, dezindo: «Mestre, pido-te que mires pul miu filho, porque solo tengo esse. 
LUK.9.39	Hai un sprito que l agarra, pon-se a boziar até l fazer botar scumaralho pula boca i solo lo deixa apuis de haber dado cunta del. 
LUK.9.40	Pedi-le als tous deciplos que l botáran pa la rue, mas nun fúrun capazes. 
LUK.9.41	Jasus dixo-le: «Á giraçon sien fé i purbersa! Até quando tenerei de quedar cun bós i de bos aturar? Trai-me acá l tou filho.» 
LUK.9.42	Quando yá benie a chegar, l demonho atirou cun el por tierra i fizo-lo tener un stepor. Mas Jasus renhiu-le al sprito malo, sanou l rapazico i antregou-se-lo al pai del. 
LUK.9.43	I todos quedában pasmados cun tan grande poder de Dius.
LUK.9.43	Admirando-se todos cun todo l que el fazie, dixo-le als sous deciplos: 
LUK.9.44	«Ponei estas palabras ne ls buossos oubidos: L Filho de l Home ha de ser antregue nas manos de ls homes.» 
LUK.9.45	Mas eilhes nun sabien aquel dito, puis staba scundido para eilhes, para que nun lo antendíran. Mas tenien miedo de le preguntar l que querie dezir l dito.
LUK.9.46	Ende, eilhes armórun un çcutimiento para saber quien era l mais grande de todos. 
LUK.9.47	Mas Jasus, sabendo l pensamiento de ls sous coraçones, agarrou un rapazico, puso-lo arrimado a el 
LUK.9.48	i dixo-le: «Quien recebir este rapazico, an miu nome, ye a mi que me recibe; i quien me recibe a mi, recibe l que me ambiou; porque, l que fur l mais pequeinho de todos bós, esse ye grande.»
LUK.9.49	Respundendo-le Juan, dixo: «Mestre, bimos un que andaba a spulsar ls demonhos an tou nome, mas dezimos-le que nun podie, porque nun anda cuntigo cumo nós.» 
LUK.9.50	I Jasus dixo-le: «Nun le dígades nada, porque quien nun stá contra nós stá a nuosso fabor.»
LUK.9.51	Quando chegou l tiempo pa la sue ida, treminou a ir a Jarusalen, 
LUK.9.52	i ambiou mensageiros alantre del. Eilhes fúrun i antrórun nun lhugar de ls samaritanos, pa le purparáren pousada. 
LUK.9.53	Mas nun los recebírun pus tenien cara de quien iba para Jarusalen. 
LUK.9.54	Al béren estas cousas, ls sous deciplos Tiago i Juan dezírun-le: «Senhor, quieres que dígamos que abaixe fuogo de l cielo i ls queime?» 
LUK.9.55	Mas el bolbiu-se i renhiu cun eilhes. 
LUK.9.56	Apuis, fúrun-se para outro lhugar.
LUK.9.57	Quando íban pul camino, dixo-le un: «Bou cuntigo par’adondequiera que baias.» 
LUK.9.58	Mas Jasus dixo-le: «Las raposas ténen ls sous lhapos i ls páixaros de l cielo ls sous nius, mas l Filho de l Home nun ten adonde ancostar la cabeça.» 
LUK.9.59	I dixo-le a outro: «Ben cumigo.» Mas el pediu-le: «Senhor, deixa-me ir purmeiro a anterrar a miu pai.» 
LUK.9.60	Jasus dixo-le: «Deixa que ls muortos antérren ls sous muortos; tu, bai i anúncia l reino de Dius.» 
LUK.9.61	Outro dixo-le: «Senhor, you bou cuntigo, mas purmeiro deixa-me ir a çpedi-me de ls que stan an mie casa.» 
LUK.9.62	I Jasus dixo-le: «Naide que le bote la mano al arado i mire al para trás, stá purparado pa l reino de Dius.»
LUK.10.1	Apuis, l Senhor scolhiu inda outros setenta i dous i mandou-los alantre del, dous a dous, a todas las cidades i lhugares adonde el iba a ir. 
LUK.10.2	I dezie-le: «La senara si ye bien grande, mas ls oubreiros son poucos; antoce, pedi al duonho de la segada que mande mais oubreiros pa la sue segada. 
LUK.10.3	Ide! Mirai que bos mando cumo cordeiros pa l meio de lhobos. 
LUK.10.4	Nun lhebeis fardela, nien alforjas, nien alparagatas i, pul camino, nun saludeis a naide. 
LUK.10.5	An qualquiera casa adonde antrardes, dezi purmeiro: “Haba paç nesta casa.” 
LUK.10.6	Se ende houbir ũa pessona de paç, la buossa paç quedará cun eilha; se nó, tornará para bós. 
LUK.10.7	Quedai na mesma casa, quemendo i buendo de l que eilhes tubíren, porque l oubreiro merece la sue paga. Nun quérgades andar de casa an casa. 
LUK.10.8	An qualquiera cidade adonde antrardes i bos recebíren, quemei de l que bos poníren delantre. 
LUK.10.9	Sanai ls amalinados que neilha houbir i dezi-le: “Chegou até bós l reino de Dius.” 
LUK.10.10	Mas naqueilha cidade adonde antrardes i nun bos recebíren, sali pulas rues i dezi: 
LUK.10.11	“Até l puolo de la buossa cidade que se mos apegou sacudimos d’anriba de nós.” Mas quedai a saber que l reino de Dius yá chegou até bós.
LUK.10.12	I, digo-bos-lo you, naquel die haberá mais pena de Sodoma i de Gomorra do que daqueilha cidade.
LUK.10.13	Cuitadica de ti, Corazin, cuitadica de ti, Betsaida! Porque se an Tiro i an Sidónia se fazíssen las marabilhas que an bós fúrun feitas, yá dies ha que se haberien arrependido, sentadas anriba de saco i de cinza. 
LUK.10.14	Para Tiro i para Sidónia haberá menos rigor, an juízo, do que para bós. 
LUK.10.15	I tu, Cafarnaún, cuidas que serás oupida até al cielo? Serás atirada pa las perfundas de ls einfiernos.
LUK.10.16	Quien bos oube a bós, oube-me a mi; quien nun bos quier, ye a mi que nun me quier; i quien nun me quier a mi, nun quier aquel que m’ambiou.»
LUK.10.17	Ls setenta i dous bolbírun mui cuntentos, dezindo: «Senhor, pul tou nome até ls demonhos se mos assujéitan.» 
LUK.10.18	El dixo-le: «You bie a Satanás, cumo ũa centeilha, a caier de l cielo. 
LUK.10.19	Dou-bos l poder para pisar serpientes i alicranes, todo l poder de l einemigo i nada bos fazerá mal nanhun. 
LUK.10.20	Mas nun quédedes cuntentos porque se bos assujéitan ls spritos: cuntentai-bos mas ye por ls buossos nomes stáren screbidos ne l cielo.»
LUK.10.21	Naqueilha mesma hora, Jasus quedou cuntento ne l Sprito Santo i dixo: «Dou-te grácias, á Pai, Senhor de l cielo i de la tierra, que scundiste estas cousas als sabidos i als anteligentes i las amostreste als pequerricos, porque assi te dou la gana. 
LUK.10.22	Todo me fui antregue por miu Pai, naide conhece l Filho a nun ser l Pai, nien quien ye l Pai a nun ser l Filho i aquel a quien l Filho se l quejir amostrar.»
LUK.10.23	Bolbendo-se pa ls deciplos, dixo-le solo a eilhes: «Bienabienturados ls uolhos que béien l que bós bedes. 
