MAT.1.1	Dies ist das Buch der Geschichte Jesu Christi, des Sohnes Davids, des Sohnes Abrahams.
ACT.18.11	Paulus blieb ein Jahr und sechs Monate in Korinth und lehrte dort das Wort Gottes. 
ACT.18.12	Als aber Gallio Statthalter von Achaja war,
ACT.18.13	"Dieser Mann verleitet die Leute, Gott zu dienen im Widerspruch mit unserem Gesetz."
ACT.18.14	Als sich nun Paulus verteidigen wollte, antwortete Gallio den Juden: "Wenn es sich um ein Verbrechen oder grobes Vergehen handelte, ihr Juden, so hätte ich einen vernünftigen Grund, auf eure Klage einzugehen. 
ACT.18.15	Da es sich aber um Streitigkeiten handelt über eine Lehre, über besondere Namen
ACT.18.16	Damit wies er sie von seinem Richterstuhl. 
ACT.18.17	Da fielen sie alle über Sosthenes, den Vorsteher der jüdischen Gemeinde, her und schlugen ihn vor dem Richterstuhl, ohne daß Gallio dagegen einschritt.
ACT.18.18	Paulus blieb noch ziemlich lange in Korinth. Dann nahm er Abschied von den Brüdern und schiffte sich mit Priszilla und Aquila nach Syrien ein. 
ACT.18.19	Nach der Landung in Ephesus ließ Paulus Priszilla und Aquila dort zurück.
ACT.18.20	Sie baten ihn, noch länger dazubleiben. Aber darauf ging er nicht ein, 
ACT.18.21	sondern er sagte ihnen Lebewohl und sprach: "Ich muß auf jeden Fall das kommende Fest
ACT.18.22	Nach der Landung in Cäsarea ging er (nach Jerusalem) hinauf, begrüßte dort die Gemeinde und zog dann nach Antiochia
ACT.18.23	Nach einem kurzen Aufenthalt daselbst trat er eine neue Wanderung an: er durchzog das galatische Land und Phrygien von einem Ende bis zum anderen und stärkte alle Jünger im Glauben. 
ACT.18.24	Inzwischen war ein Jude, namens Apollos, aus Alexandria gebürtig, ein beredter Mann und wohlbewandert in der Schrift, nach Ephesus gekommen. 
ACT.18.25	Der war über den "Weg des Herrn"
ACT.18.26	Dieser Mann begann in dem jüdischen Versammlungshaus mit Freimut zu predigen. Aquila und Priszilla, die ihn dort hörten, traten in Verkehr mit ihm und setzten ihm "Gottes Weg" noch gründlicher auseinander. 
ACT.18.27	Als er dann die Absicht hatte, nach Achaja zu reisen, ermunterten ihn die Brüder (in Ephesus) dazu und schrieben den Jüngern (in Korinth), sie möchten ihn freundlich aufnehmen. Nach seiner Ankunft war er den Gläubigen
ACT.18.28	Denn in öffentlichen Unterredungen
ACT.19.1	Während sich Apollos in Korinth aufhielt, durchwanderte Paulus zunächst das gebirgige Binnenland (Kleinasiens)
ACT.19.2	Die fragte er: "Habt ihr den Heiligen Geist empfangen, nachdem ihr gläubig geworden seid?"
ACT.19.3	Da fragte er sie weiter: "Welche Taufe habt ihr denn empfangen?"
ACT.19.4	Paulus sprach: "Johannes hat getauft mit einer Taufe, die von einer Sinnesänderung begleitet sein mußte,
ACT.19.5	Als sie das hörten, ließen sie sich taufen in den Namen des Herrn Jesus. 
ACT.19.6	Als ihnen dann Paulus die Hände auflegte, kam der Heilige Geist auf sie, und sie redeten in Zungen und weissagten. 
ACT.19.7	Es waren ihrer im ganzen ungefähr zwölf Männer. 
ACT.19.8	Paulus ging dann in das jüdische Versammlungshaus und predigte dort mit allem Freimut über Gottes Königreich. Drei Monate lang
ACT.19.9	Als sich aber manche dagegen verstockten und, anstatt zu glauben, "den Weg" (des Herrn)
ACT.19.10	Das dauerte zwei Jahre,
ACT.19.11	Gott tat auch durch des Paulus Hände ganz ungewöhnliche Wunder: 
ACT.19.12	sogar die Tücher, womit sich Paulus den Schweiß abgewischt, oder die Schürzen, die er bei der Arbeit getragen hatte, legte man auf die Kranken, die dann von ihren Leiden geheilt und von bösen Geistern befreit wurden.
ACT.19.13	Auch einige umherziehende jüdische Teufelsaustreiber
ACT.19.14	So trieben es unter anderen die sieben Söhne eines Juden aus hohenpriesterlichem Geschlecht namens Skeuas. 
ACT.19.15	Aber der böse Geist antwortete ihnen: "Jesus kenne ich, und von Paulus habe ich gehört; doch wer seid ihr?" 
ACT.19.16	Damit sprang der Mensch, in dem der böse Geist war, auf sie los, überwältigte zwei von ihnen
ACT.19.17	Von diesem Vorfall hörten alle Juden und Heiden, die in Ephesus wohnten. Sie alle wurden von Schrecken ergriffen, und man fing an, den Namen des Herrn Jesus hoch zu ehren. 
ACT.19.18	Nun kamen auch viele von denen, die schon früher gläubig geworden waren,
ACT.19.19	Ja, nicht wenige von denen, die mit Zauberkünsten umgegangen waren, brachten ihre Zauberbücher herbei und verbrannten sie öffentlich. Als man ihren Wert berechnete, ergab sich der Betrag von fünfzigtausend Silberstücken.
ACT.19.20	In solcher Weise wuchs das Wort des Herrn mit Macht und erwies sich kräftig.
ACT.19.21	Nach diesen Ereignissen beschloß Paulus, über Mazedonien und Achaja nach Jerusalem zu reisen. "Wenn ich dort gewesen bin", so sprach er, "dann muß ich auch Rom sehen." 
ACT.19.22	Er sandte zwei seiner Mitarbeiter, Timotheus und Erastus, nach Mazedonien voraus, während er selbst noch eine Zeitlang in Asien blieb. 
ACT.19.23	Gerade damals entstand wegen der Lehre
ACT.19.24	Ein Silberschmied, mit Namen Demetrius, der in Silber kleine Nachbildungen des Tempels der Artemis verfertigte,
ACT.19.25	Eines Tages versammelte er diese Künstler und ihre Gehilfen und sprach zu ihnen: "Ihr wißt genau, wie einträglich unser Gewerbe ist. 
ACT.19.26	Nun seht und hört ihr aber, wie dieser Paulus nicht nur in Ephesus, sondern fast in ganz Asien viele Leute durch seine Überredungskünste verführt hat, indem er behauptet: 'Das sind keine Götter, die man mit Händen macht!' 
ACT.19.27	Doch nicht nur unser Gewerbe droht in Mißachtung zu kommen, sondern auch das Heiligtum der großen Göttin Artemis ist in Gefahr, sein ganzes Ansehen zu verlieren; ja die Herrlichkeit
ACT.19.28	Bei diesen Worten gerieten sie in Wut und fingen an zu schreien: "Groß ist die Artemis der Epheser!" 
ACT.19.29	Ja, die ganze Stadt geriet in Aufregung, und alles stürmte in die Schauburg.
ACT.19.30	Auch Paulus selbst wollte sich unter das Volk begeben, aber die Jünger ließen ihn nicht gehen. 
ACT.19.31	Sogar einige hohe Beamte,
ACT.19.32	Die Menge schrie indessen weiter, der eine dies, der andere das; denn die Versammlung war ganz in Aufregung, und die meisten wußten überhaupt nicht, warum man zusammengekommen war. 
ACT.19.33	Da ließ man aus der Volksmenge einen gewissen Alexander, den die Juden vorgeschoben hatten, auf die Bühne der Schauburg hinuntergehen.
ACT.19.34	Als man aber merkte, daß er ein Jude war,
ACT.19.35	Der Stadtkanzler
ACT.19.36	Das kann doch niemand bestreiten. Deshalb solltet ihr ruhig bleiben und nichts Unbedachtes tun. 
ACT.19.37	Ihr habt diese Männer
ACT.19.38	Haben aber Demetrius und seine Berufsgenossen wider jemand eine Beschwerde, nun, so gibt's Gerichtstage und Statthalter: da mögen sie einander verklagen! 
ACT.19.39	Und habt ihr sonst noch Anträge, so sollen die in der gesetzlichen Volksversammlung
ACT.19.40	Wir laufen nämlich Gefahr, daß man uns des heutigen Vorfalls wegen als Aufrührer anklagt; denn es liegt kein Grund vor, womit wir diesen Auflauf rechtfertigen könnten." Mit diesen Worten löste er die Versammlung auf.
ACT.20.1	Als sich die Unruhe gelegt hatte, rief Paulus die Jünger zusammen; er hielt eine Ansprache an sie, sagte ihnen Lebewohl und zog aus nach Mazedonien. 
ACT.20.2	Er reiste durch dieses Land und ermunterte die Jünger mit reichem Zuspruch.
ACT.20.3	und hielt sich dort drei Monate auf.
ACT.20.4	Bis Asien begleiteten ihn (durch Mazedonien) Sopater, der Sohn des Pyrrhus, aus Beröa, Aristarchus und Sekundus aus Thessalonich, Gajus aus Derbe und Timotheus, sowie Tychikus und Trophimus aus Asien. 
ACT.20.5	Die beiden letzten kamen erst später hinzu
ACT.20.6	Wir anderen fuhren nach den Tagen der ungesäuerten Brote
ACT.20.7	Am ersten Wochentag
ACT.20.8	In dem Obersaal, wo wir versammelt waren, brannten viele Lampen.
ACT.20.9	Ein Jüngling mit Namen Eutychus saß auf der Fensterbank und fiel während der langen Predigt des Paulus in tiefen Schlaf. Dabei verlor er das Gleichgewicht und stürzte aus dem dritten Stockwerk in die Tiefe. Als man ihn aufhob, hielt man ihn für tot. 
ACT.20.10	Paulus eilte hinab, beugte sich über ihn,
ACT.20.11	Dann ging er wieder hinauf und brach das Brot (bei dem Mahl des Herrn). Hierauf nahm er einen Imbiß und unterhielt sich noch lange mit den Brüdern bis zur Morgendämmerung. Da nahm er Abschied. 
ACT.20.12	Den Jüngling aber brachte man jetzt lebendig nach Hause.
ACT.20.13	Wir anderen waren schon vorher auf das Schiff gegangen und fuhren nun ab nach Assus,
ACT.20.14	Als er uns in Assus traf, nahmen wir ihn an Bord und fuhren nach Mitylene.
ACT.20.15	Von da ging die Reise weiter. Am folgenden Tag ankerten wir Chios
ACT.20.16	Paulus hatte sich nämlich entschlossen, an Ephesus vorbeizufahren,
ACT.20.17	Von Milet sandte er Botschaft nach Ephesus und berief die Ältesten der dortigen Gemeinde zu sich. 
ACT.20.18	Als sie bei ihm versammelt waren, sprach er zu ihnen: "Ihr wißt, wie ich seit dem ersten Tag, wo ich nach Asien gekommen bin, und während meines ganzen Aufenthaltes daselbst unter euch gelebt habe: 
ACT.20.19	Ich habe dem Herrn gedient in aller Demut, ja unter Tränen und Anfechtungen, die mir durch die Anschläge der Juden widerfahren sind. 
ACT.20.20	Nichts von dem, was euch nützlich sein konnte, habe ich verschwiegen, wenn ich euch öffentlich und einzeln in den Häusern predigte und euch unterwies. 
ACT.20.21	Juden und Heiden habe ich dringend ermahnt, sich zu Gott zu bekehren und an unseren Herrn Jesus Christus zu glauben. 
ACT.20.22	Nun bin ich, in meinem Geist dazu getrieben, auf dem Weg nach Jerusalem. Ich weiß nicht, was mir dort begegnen wird. 
ACT.20.23	Nur soviel ist gewiß: der Heilige Geist weist mich
ACT.20.24	Doch selbst an meinem Leben liegt mir nichts, wenn ich nur meinen Lauf (mit Freuden) vollenden und jenen Dienst zum Abschluß bringen kann, den ich empfangen habe von dem Herrn Jesus: die Heilsbotschaft der Gnade Gottes zu bezeugen. 
ACT.20.25	Und nun, ich weiß: ihr alle, bei denen ich mit der Verkündigung des Königreichs
ACT.20.26	Darum erkläre ich euch heute feierlich: Ich bin ganz rein von euer aller Blut.
ACT.20.27	Denn ich habe euch in meiner Predigt nichts verschwiegen, sondern euch den Ratschluß Gottes in seinem ganzen Umfang kundgemacht. 
ACT.20.28	So habt denn acht auf euch und auf die ganze Herde, über die euch der Heilige Geist
ACT.20.29	(Denn) ich weiß: nach meinem Weggang werden reißende Wölfe
ACT.20.30	Ja, aus eurer eigenen Mitte werden Männer auftreten, die verkehrte Dinge lehren, um die Jünger für sich zu gewinnen.
ACT.20.31	Darum wacht und denkt daran, daß ich drei Jahre Tag und Nacht nicht abgelassen habe, jeden einzelnen von euch unter Tränen zu vermahnen! 
ACT.20.32	Und nun befehle ich euch Gott und dem Wort seiner Gnade: er vermag euch zu erbauen und euch das Erbteil zu verleihen zugleich mit allen, die geheiligt sind. 
ACT.20.33	Silber, Gold und Kleider habe ich mir von niemand geben lassen. 
ACT.20.34	Ihr wißt ja selbst, daß diese meine Hände für meinen und meiner Mitarbeiter Unterhalt gesorgt haben. 
ACT.20.35	Mein Beispiel hat euch stets gezeigt, wie man durch solche Arbeit im Schweiß seines Angesichts auch noch die Mittel haben muß, die Hilfsbedürftigen zu unterstützen, eingedenk der Worte des Herrn Jesus, der ja selbst gesagt hat: 'Geben ist beglückender als Nehmen.'"
ACT.20.36	Nach diesen Worten kniete er mit ihnen allen zum Gebet nieder. 
ACT.20.37	Unter lautem Weinen fielen alle Paulus um den Hals und küßten ihn. 
ACT.20.38	Am meisten betrübte sie sein Wort, sie würden sein Angesicht nicht weiter sehen. Dann brachten sie ihn auf das Schiff.
ACT.21.1	Als wir uns endlich von ihnen losgerissen hatten und in See gegangen waren, fuhren wir geradewegs nach Kos.
ACT.21.2	Hier fanden wir ein Schiff, das nach Phönizien fahren wollte; da gingen wir an Bord und segelten ab. 
ACT.21.3	Als wir Zypern zu Gesicht bekamen, ließen wir es links liegen, fuhren auf Syrien zu und gingen in Tyrus
ACT.21.4	Wir suchten in Tyrus die Jünger auf und blieben sieben Tage
ACT.21.5	Als die sieben Tage des Aufenthaltes zu Ende waren, schickten wir uns zur Weiterreise an. Alle Jünger mit Weib und Kind begleiteten uns bis vor die Stadt. Am Strand knieten wir nieder zum Gebet. 
ACT.21.6	Dann nahmen wir Abschied voneinander und bestiegen unser Schiff, während die Jünger nach Hause zurückkehrten. 
ACT.21.7	Unsere Seereise war zu Ende, als wir von Tyrus aus in Ptolemais
ACT.21.8	Tags darauf machten wir uns auf den Weg nach Cäsarea. Dort gingen wir in das Haus des Evangelisten Philippus, eines von den Sieben,
ACT.21.9	Der hatte vier Töchter; die waren Jungfrauen und hatten die Gabe der Weissagung. 
ACT.21.10	Wir waren schon einige Tage in Cäsarea, als von Judäa ein Prophet, mit Namen Agabus,
ACT.21.11	Der besuchte uns und ergriff bei dieser Gelegenheit den Gürtel des Paulus, band sich damit Füße und Hände
ACT.21.12	Als wir dies hörten, baten wir und die Brüder in Cäsarea
ACT.21.13	Da antwortete er: "Was weint ihr denn und brecht mir das Herz?
ACT.21.14	Weil er sich nicht umstimmen lassen wollte, redeten wir ihm nicht weiter zu und sprachen: "Des Herrn Wille geschehe!" 
ACT.21.15	Einige Tage später machten wir uns reisefertig und traten die Wanderung nach Jerusalem an.
ACT.21.16	Auch einige Jünger aus Cäsarea zogen mit uns. Die brachten uns zu einem alten Jünger aus Zypern, namens Mnason, bei dem wir wohnen sollten.
ACT.21.17	Bei unserer Ankunft in Jerusalem hießen uns die Brüder herzlich willkommen. 
ACT.21.18	Tags darauf ging Paulus mit uns zu Jakobus,
ACT.21.19	Paulus begrüßte sie und erzählte ihnen ausführlich und genau, was Gott durch seinen Dienst unter den Heiden gewirkt habe. 
ACT.21.20	Als die Ältesten das hörten, priesen sie Gott. Dann aber sprachen sie zu Paulus: "Du siehst, Bruder: die gläubiggewordenen Juden zählen nach Zehntausenden; aber alle eifern noch für das Gesetz. 
ACT.21.21	Nun hat man ihnen von dir erzählt, du fordertest alle Juden, die unter den Heiden leben, zum Abfall von Mose auf und rietest ihnen, sie sollten ihre Kinder nicht beschneiden und nicht nach den Vorschriften des Gesetzes leben. 
ACT.21.22	Was ist da zu tun? Es wird ja sicher ruchbar, daß du hier bist. 
ACT.21.23	Tu deshalb, was wir dir raten: Wir haben hier vier Männer, die ein Gelübde einlösen müssen.
ACT.21.24	Denen schließe du dich an, nimm auch ein Gelübde auf dich und trage die Kosten
ACT.21.25	Was aber die gläubig gewordenen Heiden betrifft, so haben wir ja bestimmt und ihnen dies schriftlich mitgeteilt, daß sie meiden sollen den Genuß von Götzenopferfleisch, das Blut geschlachteter Tiere, das Fleisch von Tieren, die man in Schlingen fängt, und die Ehen mit Heiden."
ACT.21.26	Da ließ Paulus die Männer zu sich kommen und schloß sich ihrem Gelübde an. Tags darauf ging er in den Tempel und ließ dort
ACT.21.27	Als die sieben Tage
ACT.21.28	und riefen laut: "Zu Hilfe, ihr Männer Israels! Dies ist der Mensch, der überall vor aller Welt gegen unser Volk und Gesetz und gegen diese Stätte
ACT.21.29	Sie hatten nämlich Trophimus aus Ephesus vorher mit ihm in der Stadt gesehen und meinten nun, Paulus habe ihn in den Tempel geführt. 
ACT.21.30	Die ganze Stadt geriet in Aufregung, und es entstand ein Volksauflauf. Paulus ward ergriffen, und man schleppte ihn aus dem Tempel,
ACT.21.31	Schon wollten sie Paulus töten, als dem Obersten der römischen Truppe
ACT.21.32	Der Oberst eilte sofort mit einer Abteilung Soldaten und einigen Hauptleuten zu dem Tempelplatz hinab. Bei dem Anblick des Befehlshabers und seiner Soldaten hörte die Menge auf, Paulus zu schlagen. 
ACT.21.33	Der Oberst kam herbei, ließ Paulus ergreifen und befahl, ihn mit zwei Ketten zu binden. Zugleich fragte er, wer er sei und was er getan habe. 
ACT.21.34	Die einen im Volk riefen dies, die anderen das. Weil er bei dem Lärm nichts Sicheres erfahren konnte, befahl er, ihn in das Lager
ACT.21.35	Als Paulus an die Stufen kam,
ACT.21.36	Denn die Menge folgte und schrie: "Er soll sterben!" 
ACT.21.37	In dem Augenblick, wo Paulus in das Lager geführt werden sollte, sprach er (auf griechisch) zu dem Obersten: "Darf ich ein Wort zu dir reden?" Der antwortete (voll Erstaunen): "Du kannst Griechisch? 
ACT.21.38	Du bist also nicht der Jude aus Ägypten, der vor einiger Zeit den Aufstand erregt und die viertausend Dolchmänner in die Wüste hinausgeführt hat?"
ACT.21.39	Paulus erwiderte: "Nein, ich bin ein Jude aus Tarsus, ein Bürger dieser bekannten Stadt Ziliziens. Erlaube mir, bitte, zu dem Volk zu reden!" 
ACT.21.40	Als der Befehlshaber dies gestattete, trat Paulus oben auf die Stufen und winkte dem Volk mit der Hand.
ACT.22.1	"Liebe Brüder und Väter",
ACT.22.2	Als sie hörten, daß er aramäisch zu ihnen redete, wurden sie noch stiller. Dann fuhr er fort: 
ACT.22.3	"Ich bin ein Jude, geboren zu Tarsus in Zilizien; aber erzogen bin ich hier in dieser Stadt und habe zu den Füßen Gamaliels
ACT.22.4	Darum habe ich auch diese Richtung
ACT.22.5	Das können mir der Hohepriester und der ganze Hohe Rat bezeugen. Denn von ihnen habe ich auch Briefe an unsere Brüder
ACT.22.6	Als ich mich nun auf meiner Reise Damaskus näherte, da umstrahlte mich plötzlich gegen Mittag vom Himmel ein helles Licht. 
ACT.22.7	Ich fiel zu Boden und hörte eine Stimme zu mir sagen: 'Saul, Saul, warum verfolgst du mich?' 
ACT.22.8	'Wer bist du, Herr?', so fragte ich. Er antwortete mir: 'Ich bin Jesus von Nazaret, den du verfolgst.' 
ACT.22.9	Meine Begleiter sahen zwar das Licht, aber die Worte dessen, der zu mir redete, hörten sie nicht. 
ACT.22.10	Da fragte ich: 'Herr, was soll ich tun?' Der Herr antwortete mir: 'Steh auf und gehe nach Damaskus! Da wird man dir alles sagen, was dir zu tun bestimmt ist.' 
ACT.22.11	Weil ich nun nicht sehen konnte, da mich das Licht geblendet hatte, nahmen mich meine Gefährten bei der Hand, und so kam ich nach Damaskus. 
ACT.22.12	Dort lebte ein gewisser Ananias, ein frommer Mann, der das Gesetz treu erfüllte und von allen Juden in der Stadt hoch geachtet wurde. 
ACT.22.13	Der kam zu mir, trat an mich heran und sprach zu mir: 'Bruder Saul, sieh mich an!' In demselben Augenblick konnte ich wieder sehen und blickte ihn an. 
ACT.22.14	Er aber fuhr fort: 'Der Gott unserer Väter hat dich dazu erwählt, seinen Willen zu erkennen, den Gerechten
ACT.22.15	Denn du sollst in seinem Auftrag allen Menschen Zeugnis geben von dem, was du gesehen und gehört. 
ACT.22.16	Und nun, was zögerst du? Steh auf, laß dich taufen und dich dadurch von deinen Sünden rein waschen, indem du seinen Namen anrufst!' 
ACT.22.17	Als ich dann nach Jerusalem zurückgekehrt war und im Tempel betete, geriet ich in Verzückung. 
ACT.22.18	Da sah ich ihn,
ACT.22.19	Ich antwortete: 'Herr, sie wissen doch, daß gerade ich deine Gläubigen habe ins Gefängnis werfen und sie in den Versammlungshäusern habe geißeln lassen. 
ACT.22.20	Und als das Blut deines Zeugen Stephanus vergossen wurde, war ich auch dabei zugegen; ich hatte daran Wohlgefallen und verwahrte die Kleider derer, die ihn töteten.' 
ACT.22.21	Da sprach er zu mir: 'Zieh hin, ich will dich in die Ferne zu den Heiden senden...'" 
ACT.22.22	Bis dahin hatten sie ihn ruhig angehört. Bei den letzten Worten aber fingen sie an zu rufen: "Weg mit solchem Menschen von der Erde; er darf nicht länger leben!" 
ACT.22.23	Als sie so schrien und dabei ihre Oberkleider auszogen
ACT.22.24	ließ der Oberst Paulus in das Lager führen. Zugleich gebot er, ihn peinlich zu verhören;
ACT.22.25	Als Paulus schon festgebunden war und die Geißelung beginnen sollte, fragte er den aufsichtführenden Hauptmann: "Dürft ihr denn einen römischen Bürger geißeln, und noch dazu ohne richterliches Verhör?" 
ACT.22.26	Auf diese Worte hin eilte der Hauptmann zu dem Obersten, um ihm zu berichten, und sprach zu ihm: "Was willst du tun? Dieser Mann ist ja römischer Bürger." 
ACT.22.27	Da kam der Oberst und sprach zu Paulus: "Sage mir, bist du römischer Bürger?" 
ACT.22.28	Er antwortete: "Ja." Der Oberst fuhr fort: "Ich habe mir das Bürgerrecht für viel Geld erworben." Paulus erwiderte: "Und ich bin römischer Bürger durch Geburt." 
ACT.22.29	Die Soldaten, die ihn hatten geißeln wollen, traten jetzt sofort von ihm zurück. Auch der Oberst war in Sorge, weil er nun wußte, daß er einen römischen Bürger zur Geißelung hatte binden lassen. 
ACT.22.30	Da er aber genau erfahren wollte, welche Anklagen die Juden gegen ihn vorzubringen hätten, ließ er ihm tags darauf die Fesseln abnehmen und gebot, die Hohenpriester und der ganze Hohe Rat sollten sich versammeln. Dann ließ er Paulus hinabführen
ACT.23.1	Paulus sah den Hohen Rat mit festem Blick an und sprach: "Liebe Brüder, bis heute bin ich stets mit reinem Gewissen vor Gott gewandelt." 
ACT.23.2	Bei diesen Worten befahl der Hohepriester Ananias
ACT.23.3	Da sprach Paulus zu ihm: "Gott wird dich schlagen,
ACT.23.4	"Was? Du schmähst den Hohenpriester Gottes?", so fragen ihn die Diener. 
ACT.23.5	"Brüder", versetzte Paulus, "ich habe nicht gewußt, daß hier ein Hoherpriester ist; steht doch geschrieben: Gegen einen Oberen deines Volkes sollst du nicht übel reden."
ACT.23.6	Da nun Paulus wußte, daß der Hohe Rat teils aus Sadduzäern, teils aus Pharisäern bestand, rief er laut: "Brüder, ich bin ein Pharisäer, und auch meine Ahnen waren Pharisäer. Wegen meiner Hoffnung auf die Totenauferstehung stehe ich hier vor Gericht." 
ACT.23.7	Diese Worte erregten einen heftigen Zwist zwischen den Pharisäern und den Sadduzäern, so daß sich die Versammlung spaltete. 
ACT.23.8	- Die Sadduzäer leugnen nämlich die Auferstehung und das Dasein von Engeln und Geistern, während die Pharisäer beides anerkennen. — 
ACT.23.9	Es erhob sich ein lautes Geschrei. Endlich standen einige Schriftgelehrte der pharisäischen Partei von ihren Sitzen auf und sagten in scharfem Ton: "Wir finden an diesem Menschen nichts Böses. Hat aber ein Geist oder ein Engel mit ihm geredet (nun, was läßt sich dann dagegen sagen?)." 
ACT.23.10	Da der Oberst fürchtete, Paulus könne von den Versammelten bei dem heftigen Streit zerrissen werden, ließ er eine Abteilung Soldaten von der Burg kommen,
ACT.23.11	Die Nacht darauf trat der Herr zu ihm und sprach: "Sei getrost! Denn wie du in Jerusalem von mir Zeugnis abgelegt hast, so mußt du auch in Rom mein Zeuge sein." 
ACT.23.12	Am anderen Morgen taten sich einige Juden zusammen und verpflichteten sich mit schrecklichen Eiden, sie wollten nichts essen und trinken, bis sie Paulus getötet hätten. 
ACT.23.13	Ihrer waren mehr als vierzig, die sich so verschworen. 
ACT.23.14	Diese Männer gingen zu den Hohenpriestern und Ältesten und sprachen: "Wir haben uns feierlich verschworen, nichts zu genießen, bis wir Paulus getötet haben. 
ACT.23.15	Werdet ihr nun zusammen mit dem Hohen Rat bei dem Obersten vorstellig, daß er ihn zu euch führen lasse, als wolltet ihr seinen Fall noch genauer untersuchen! Dann werden wir bereitstehen und ihn töten, noch ehe er hierher kommt." 
ACT.23.16	Des Paulus Schwestersohn hörte von diesem Anschlag. Er begab sich in das Lager, trat ein und teilte Paulus alles mit. 
ACT.23.17	Da ließ Paulus einen der Hauptleute rufen und sprach zu ihm: "Führe diesen Jüngling zu dem Obersten; denn er hat ihm etwas mitzuteilen." 
ACT.23.18	Der brachte ihn zu dem Obersten und meldete: "Der Gefangene Paulus hat mich zu sich rufen lassen und mich gebeten, diesen Jüngling hier zu dir zu bringen, da er dir etwas zu sagen habe." 
ACT.23.19	Der Oberst nahm den Jüngling bei der Hand, zog ihn beiseite
ACT.23.20	Er antwortete: "Die Juden sind übereingekommen, dich zu bitten, Paulus morgen vor dem Hohen Rat erscheinen zu lassen, als wollte der seinen Fall noch genauer prüfen. 
ACT.23.21	Geh aber nicht darauf ein! Denn über vierzig Männer aus ihrer Mitte wollen ihm auflauern. Sie haben sich feierlich verschworen, nichts zu essen und zu trinken, bis sie ihn ermordet haben. Sie stehen jetzt schon dazu bereit und warten nur noch auf deine Zustimmung." 
ACT.23.22	Der Oberst entließ den Jüngling und schärfte ihm ein: "Plaudere es nirgends aus, daß du mir diese Anzeige gemacht hast!" 
ACT.23.23	Dann ließ er zwei Hauptleute rufen und befahl ihnen: "Haltet von der dritten Nachtstunde an
ACT.23.24	Auch stellte er Reittiere für Paulus,
ACT.23.25	Zugleich schrieb er diesem einen Brief folgenden Inhalts: 
ACT.23.26	"Klaudius Lysias entbietet dem hochedlen Statthalter Felix seinen Gruß. 
ACT.23.27	Der Mann, den ich hier sende, ist von den Juden festgenommen worden; und gerade in dem Augenblick, wo sie ihn töten wollten, erschien ich mit meiner Truppe und entriß ihn ihren Händen, weil ich erfahren hatte, daß er ein römischer Bürger sei.
ACT.23.28	Da ich nun genau wissen wollte, was sie ihm Schuld gaben, so ließ ich ihn in ihre Ratsversammlung führen. 
ACT.23.29	Da fand ich denn: die Anklage gegen ihn hing mit Fragen ihres Gesetzes zusammen; doch wurde ihm nichts zur Last gelegt, was den Tod oder Gefängnis verdiente. 
ACT.23.30	Weil mir nun aber angezeigt worden ist, daß sie einen Anschlag gegen den Mann vorhaben, so habe ich ihn aus ihrer Mitte entfernt und sende ihn dir zu. Ich habe auch seinen Anklägern befohlen, ihre Beschuldigungen gegen ihn bei dir vorzubringen. Lebe wohl!" 
ACT.23.31	Die Soldaten führten den Befehl aus: sie nahmen Paulus mit sich und brachten ihn noch in derselben Nacht bis Antipatris.
ACT.23.32	Am nächsten Tag ließen sie die Reiter allein mit ihm weiterziehen,
ACT.23.33	Die Reiter übergaben nach ihrer Ankunft in Cäsarea dem Statthalter das Schreiben und führten ihm auch Paulus vor. 
ACT.23.34	Der Statthalter las das Schreiben und fragte Paulus, aus welcher Provinz er stamme.
ACT.23.35	sagte er: "Ich will dich genau verhören, wenn auch deine Ankläger erschienen sind." Dann befahl er, Paulus solle in dem Palast des Herodes in Haft gehalten werden.
ACT.24.1	Fünf Tage später kam der Hohepriester Ananias mit einigen Gliedern des Hohen Rates und einem Anwalt, namens Tertullus, nach Cäsarea, um vor dem Statthalter die Anklage gegen Paulus zu erheben. 
ACT.24.2	Als Paulus vorgeführt war, begann Tertullus seine Anklagerede. 
ACT.24.3	"Daß wir durch deine Fürsorge in tiefem Frieden leben",
ACT.24.4	Um dich aber nicht lange zu belästigen, bitte ich dich: Schenke uns nur einen Augenblick geneigtes Gehör! 
ACT.24.5	Dieser Mann hier — so haben wir erkannt — ist eine Pest; er ist ein Friedenstörer unter allen Juden überall im Reich und ein Hauptführer der Partei der Nazarener. 
ACT.24.6	Er hat sogar versucht, den Tempel zu entweihen; doch dabei haben wir ihn festgenommen. 
ACT.24.8	Wenn du ihn jetzt verhörst, so kannst du auch aus seinem Mund alles dies erfahren, dessen wir ihn beschuldigen." 
ACT.24.9	Dieser Anklage schlossen sich auch die Juden an und versicherten, daß es sich so verhalte. 
ACT.24.10	Auf einen Wink des Statthalters ergriff dann Paulus das Wort. "Da ich weiß", so hob er an, "daß du seit vielen Jahren
ACT.24.11	Du kannst dich davon überzeugen, daß nicht mehr als zwölf Tage vergangen sind, seit ich in Jerusalem angekommen bin, um dort anzubeten. 
ACT.24.12	Weder im Tempel noch in den jüdischen Versammlungshäusern noch in der Stadt hat man mich mit irgend jemand einen Wortstreit führen oder einen Volksauflauf erregen sehen. 
ACT.24.13	Auch sind sie nicht imstande, dir das zu beweisen, dessen sie mich jetzt beschuldigen. 
