GEN.1.1	Im Anfang schuf Gott die Himmel 
JER.16.16	Siehe, ich will zu vielen Fischern senden, spricht Jehova, daß sie sie fischen; und danach will ich zu vielen Jägern senden, daß sie sie jagen von jedem Berge und von jedem Hügel und aus den Felsenklüften. 
JER.16.17	Denn meine Augen sind auf alle ihre Wege gerichtet; sie sind vor mir nicht verborgen, und ihre Ungerechtigkeit 
JER.16.18	Und zuvor 
JER.16.19	Jehova, meine Stärke und mein Hort 
JER.16.20	Soll ein Mensch sich Götter machen, die doch keine Götter sind? 
JER.16.21	Darum siehe, dieses Mal werde ich ihnen kundtun, werde ihnen kundtun meine Hand und meine Macht; und sie werden wissen 
JER.17.1	Die Sünde Judas ist geschrieben mit eisernem Griffel, mit diamantener Spitze; sie ist eingegraben in die Tafel ihres Herzens und an die Hörner eurer Altäre. 
JER.17.2	Wie ihrer Kinder, so gedenken sie ihrer Altäre und ihrer Ascherim bei den grünen Bäumen, auf den hohen Hügeln. 
JER.17.3	Meinen Berg im Gefilde, dein Vermögen, alle deine Schätze werde ich zur Beute geben-deine Höhen, um der Sünde willen in allen deinen Grenzen. 
JER.17.4	Und du wirst, und zwar durch dich selbst 
JER.17.5	So spricht Jehova: Verflucht ist der Mann, der auf den Menschen vertraut und Fleisch zu seinem Arme macht, und dessen Herz von Jehova weicht! 
JER.17.6	Und er wird sein wie ein Entblößter 
JER.17.7	Gesegnet ist der Mann, der auf Jehova vertraut und dessen Vertrauen Jehova ist! 
JER.17.8	Und er wird sein wie ein Baum, der am Wasser gepflanzt ist und am Bache seine Wurzeln ausstreckt, und sich nicht fürchtet, wenn die Hitze kommt; und sein Laub ist grün, und im Jahre der Dürre ist er unbekümmert, und er hört nicht auf, Frucht zu tragen. - 
JER.17.9	Arglistig ist das Herz, mehr als alles, und verderbt 
JER.17.10	Ich, Jehova, erforsche das Herz und prüfe die Nieren, und zwar um einem jeden zu geben nach seinen Wegen, nach der Frucht seiner Handlungen. - 
JER.17.11	Ein Rebhuhn, das Eier brütet, die es nicht gelegt hat, so ist, wer Reichtum erwirbt und nicht mit Recht: In der Hälfte seiner Tage wird er ihn verlassen, und an seinem Ende wird er ein Tor sein.
JER.17.12	Thron der Herrlichkeit, Höhe 
JER.17.13	Hoffnung Israels, Jehova! alle, die dich verlassen, werden beschämt werden. -Und die von mir weichen, werden in die Erde geschrieben werden 
JER.17.14	Heile mich, Jehova, so werde ich geheilt werden; rette mich, so werde ich gerettet werden; denn du bist mein Ruhm. 
JER.17.15	Siehe, jene sprechen zu mir: Wo ist das Wort Jehovas? es möge doch kommen! 
JER.17.16	Ich aber habe mich nicht entzogen, Hirte hinter dir her zu sein 
JER.17.17	Sei mir nicht zum Schrecken, du bist meine Zuflucht am Tage des Unglücks! 
JER.17.18	Laß meine Verfolger beschämt werden, aber laß mich nicht beschämt werden, laß sie verzagt werden, aber laß mich nicht verzagt werden; bringe über sie den Tag des Unglücks, und zerschmettere sie mit zweifacher Zerschmetterung!
JER.17.19	So spricht Jehova zu mir: Geh hin und stelle dich in das Tor der Kinder des Volkes 
JER.17.20	und sprich zu ihnen: Höret das Wort Jehovas, ihr Könige von Juda, und ganz Juda und alle Bewohner von Jerusalem, die ihr durch diese Tore einziehet! 
JER.17.21	So spricht Jehova: Hütet euch bei euren Seelen 
JER.17.22	Und ihr sollt am Sabbathtage keine Last aus euren Häusern hinausbringen, und sollt keinerlei Arbeit tun; sondern heiliget den Sabbathtag, wie ich euren Vätern geboten habe. 
JER.17.23	Aber sie haben nicht gehört und ihr Ohr nicht geneigt, und sie haben ihren Nacken verhärtet, um nicht zu hören und Zucht nicht anzunehmen. 
JER.17.24	Und es wird geschehen, wenn ihr fleißig auf mich höret, spricht Jehova, daß ihr am Sabbathtage keine Last durch die Tore dieser Stadt hereinbringet, und daß ihr den Sabbathtag heiliget, indem ihr keinerlei Arbeit an demselben tut: 
JER.17.25	so werden durch die Tore dieser Stadt Könige und Fürsten einziehen, welche auf dem Throne Davids sitzen, auf Wagen fahrend und auf Rossen reitend, sie und ihre Fürsten, die Männer von Juda und die Bewohner von Jerusalem; und diese Stadt wird bewohnt werden ewiglich. 
JER.17.26	Und sie werden aus den Städten Judas kommen und aus den Umgebungen von Jerusalem und aus dem Lande Benjamin, und aus der Niederung und vom Gebirge und aus dem Süden, indem sie Brandopfer und Schlachtopfer und Speisopfer und Weihrauch bringen, und Lob 
JER.17.27	Wenn ihr aber nicht auf mich höret, den Sabbathtag zu heiligen und keine Last zu tragen, und nicht durch die Tore Jerusalems einzugehen am Sabbathtage: so werde ich ein Feuer in seinen Toren anzünden, daß es die Paläste Jerusalems verzehren und nicht erlöschen wird.
JER.18.1	Das Wort, welches von seiten Jehovas zu Jeremia geschah, also: 
JER.18.2	Mache dich auf und gehe in das Haus des Töpfers hinab, und daselbst werde ich dich meine Worte hören lassen. 
JER.18.3	Und ich ging in das Haus des Töpfers hinab, und siehe, er machte eine Arbeit auf der Scheibe. 
JER.18.4	Und das Gefäß, das er aus dem Ton machte, mißriet in der Hand des Töpfers; und er machte wiederum ein anderes Gefäß daraus, wie es zu machen den Töpfer gut dünkte. 
JER.18.5	Und das Wort Jehovas geschah zu mir also: 
JER.18.6	Vermag ich euch nicht zu tun wie dieser Töpfer, Haus Israel? spricht Jehova; siehe, wie der Ton in der Hand des Töpfers, also seid ihr in meiner Hand, Haus Israel. 
JER.18.7	Einmal rede ich über ein Volk 
JER.18.8	kehrt aber jenes Volk, über welches ich geredet habe, von seiner Bosheit um, so lasse ich mich des Übels gereuen, das ich ihm zu tun gedachte. 
JER.18.9	Und ein anderes Mal rede ich über ein Volk und über ein Königreich, es zu bauen und zu pflanzen; 
JER.18.10	tut es aber, was böse ist in meinen Augen, so daß es auf meine Stimme nicht hört, so lasse ich mich des Guten gereuen, welches ich ihm zu erweisen gedachte hatte.
JER.18.11	Und nun rede zu den Männern von Juda und zu den Bewohnern von Jerusalem und sage: So spricht Jehova: Siehe, ich bereite ein Unglück wider euch und sinne wider euch einen Anschlag; kehret doch um, ein jeder von seinem bösen Wege, und machet gut eure Wege und eure Handlungen. 
JER.18.12	Aber sie sagen: Es ist umsonst; denn unseren Gedanken wollen wir nachgehen und ein jeder nach dem Starrsinn seines bösen Herzens tun. 
JER.18.13	Darum, so spricht Jehova: Fraget doch unter den Nationen! wer hat dergleichen gehört? Gar Schauderhaftes hat die Jungfrau Israel getan. 
JER.18.14	Verläßt wohl der Schnee des Libanon den Fels des Gefildes 
JER.18.15	Denn mein Volk hat mich vergessen, sie räuchern den nichtigen Götzen; 
JER.18.16	damit sie ihr Land zum Entsetzen machen, zu ewigem Gezisch: Jeder, der an demselben vorüberzieht, wird sich entsetzen und den Kopf schütteln. 
JER.18.17	Wie der Ostwind werde ich sie vor dem Feinde zerstreuen; mit dem Rücken und nicht mit dem Angesicht werde ich sie ansehen an dem Tage ihres Verderbens 
JER.18.18	Da sprachen sie: Kommt und laßt uns Anschläge wider Jeremia ersinnen; denn nicht geht dem Priester das Gesetz verloren, noch der Rat dem Weisen und das Wort dem Propheten. Kommt und laßt uns ihn mit der Zunge schlagen und nicht aufmerken auf alle seine Worte! - 
JER.18.19	Merke du, Jehova, auf mich, und höre die Stimme meiner Gegner! 
JER.18.20	Soll Böses für Gutes vergolten werden? denn sie haben meiner Seele eine Grube gegraben. Gedenke, daß ich vor dir gestanden habe, Gutes über sie zu reden, um deinen Grimm von ihnen abzuwenden. 
JER.18.21	Darum übergib ihre Kinder dem Hunger, und gib sie preis der Gewalt des Schwertes, damit ihre Weiber kinderlos und Witwen werden, und ihre Männer vom Tode erwürgt, ihre Jünglinge vom Schwerte erschlagen werden im Kriege. 
JER.18.22	Es erschalle ein Geschrei aus ihren Häusern, wenn du plötzlich Kriegsscharen über sie bringst; denn sie haben eine Grube gegraben, um mich zu fangen, und meinen Füßen haben sie heimlich Schlingen gelegt. 
JER.18.23	Und du, Jehova, du kennst alle ihre Mordanschläge wider mich; vergib nicht ihre Missetat, und tilge ihre Sünde nicht aus vor deinem Angesicht, sondern laß sie niedergestürzt vor dir liegen; zur Zeit deines Zornes handle mit ihnen!
JER.19.1	So sprach Jehova: Geh und kaufe einen irdenen Krug 
JER.19.2	und gehe hinaus in das Tal des Sohnes Hinnoms, welches vor dem Eingang des Tores Charsuth 
JER.19.3	und sprich: Höret das Wort Jehovas, ihr Könige von Juda und ihr Bewohner von Jerusalem! So spricht Jehova der Heerscharen, der Gott Israels: Siehe, ich bringe Unglück über diesen Ort, daß einem jeden, der es hört, seine Ohren gellen werden. 
JER.19.4	Darum, daß sie mich verlassen und diesen Ort verkannt und in ihm anderen Göttern geräuchert haben, die sie nicht kannten, weder sie noch ihre Väter noch die Könige von Juda, und diesen Ort mit dem Blute Unschuldiger erfüllt haben, 
JER.19.5	und die Höhen des Baal gebaut, um ihre Kinder als Brandopfer für den Baal im Feuer zu verbrennen, was ich nicht geboten noch geredet habe und mir nicht in den Sinn gekommen ist: 
JER.19.6	darum siehe, Tage kommen, spricht Jehova, da dieser Ort nicht mehr Topheth 
JER.19.7	Und ich werde den Rat von Juda und Jerusalem vereiteln 
JER.19.8	Und ich werde diese Stadt zum Entsetzen und zum Gezisch machen: jeder, der an ihr vorüberzieht, wird sich entsetzen und zischen über alle ihre Plagen 
JER.19.9	Und ich werde sie das Fleisch ihrer Söhne und das Fleisch ihrer Töchter essen lassen, und sie sollen einer des anderen Fleisch essen in der Belagerung und in der Bedrängnis, womit ihre Feinde und die nach ihrem Leben trachten sie bedrängen werden. -
JER.19.10	Und du sollst den Krug zerbrechen vor den Augen der Männer, die mit dir gegangen sind, 
JER.19.11	und zu ihnen sprechen: So spricht Jehova der Heerscharen: Also werde ich dieses Volk und diese Stadt zerschmettern, wie man ein Töpfergefäß zerschmettert, das nicht wiederhergestellt werden kann. Und man wird im Topheth begraben, aus Mangel an Raum zu begraben. 
JER.19.12	Also werde ich diesem Orte tun, spricht Jehova, und seinen Bewohnern, um diese Stadt dem Topheth gleich zu machen. 
JER.19.13	Und die Häuser von Jerusalem und die Häuser der Könige von Juda sollen unrein werden wie der Ort Topheth: alle die Häuser, auf deren Dächern sie dem ganzen Heere des Himmels geräuchert und anderen Göttern Trankopfer gespendet haben. 
JER.19.14	Und Jeremia kam vom Topheth, wohin Jehova ihn gesandt hatte zu weissagen, und er trat in den Vorhof des Hauses Jehovas und sprach zu dem ganzen Volke: 
JER.19.15	So spricht Jehova der Heerscharen, der Gott Israels: Siehe, ich will über diese Stadt und über alle ihre Städte all das Unglück bringen, welches ich über sie geredet habe; denn sie haben ihren Nacken verhärtet, um meine Worte nicht zu hören.
JER.20.1	Und als Paschchur, der Sohn Immers, der Priester (er war Oberaufseher im Hause Jehovas), Jeremia diese Worte weissagen hörte, 
JER.20.2	da schlug Paschchur den Propheten Jeremia, und legte ihn in den Stock im oberen Tore Benjamin, das im Hause Jehovas ist. 
JER.20.3	Und es geschah am folgenden Tage, als Paschchur Jeremia aus dem Stock herausbringen ließ, da sprach Jeremia zu ihm: Nicht Paschchur 
JER.20.4	Denn so spricht Jehova: Siehe, ich mache dich zum Schrecken, dir selbst und allen deinen Freunden; und sie sollen durch das Schwert ihrer Feinde fallen, indem deine Augen es sehen; und ich werde ganz Juda in die Hand des Königs von Babel geben, damit er sie nach Babel wegführe und sie mit dem Schwerte erschlage. 
JER.20.5	Und ich werde den ganzen Reichtum dieser Stadt dahingeben und all ihren Erwerb und alle ihr Kostbarkeiten; und alle Schätze der Könige von Juda werde ich in die Hand ihrer Feinde geben; und sie werden sie plündern und wegnehmen und nach Babel bringen. 
JER.20.6	Und du, Paschchur, und alle Bewohner deines Hauses, ihr werdet in die Gefangenschaft gehen; und du wirst nach Babel kommen und daselbst sterben und daselbst begraben werden, du und alle deine Freunde, welchen du falsch geweissagt hast. -
JER.20.7	Jehova, du hast mich beredet, und ich habe mich bereden lassen; du hast mich ergriffen und überwältigt. Ich bin zum Gelächter geworden den ganzen Tag, jeder spottet meiner. 
JER.20.8	Denn so oft ich rede, muß ich schreien, Gewalttat und Zerstörung rufen; denn das Wort Jehovas ist mir zur Verhöhnung und zum Spott geworden den ganzen Tag. 
JER.20.9	Und spreche ich: Ich will ihn nicht mehr erwähnen, noch in seinem Namen reden, so ist es in meinem Herzen wie brennendes Feuer; eingeschlossen in meinen Gebeinen; und ich werde müde, es auszuhalten, und vermag es nicht. 
JER.20.10	Denn ich habe die Verleumdung 
JER.20.11	Aber Jehova ist mit mir wie ein gewaltiger Held, darum werden meine Verfolger straucheln und nichts vermögen 
JER.20.12	Und du, Jehova der Heerscharen, der du den Gerechten prüfst, Nieren und Herz siehst, laß mich deine Rache an ihnen sehen; denn dir habe ich meine Rechtssache anvertraut. 
JER.20.13	Singet Jehova, preiset Jehova! denn er hat die Seele des Armen errettet aus der Hand der Übeltäter.
JER.20.14	Verflucht sei der Tag, an welchem ich geboren wurde; der Tag, da meine Mutter mich gebar, sei nicht gesegnet! 
JER.20.15	Verflucht sei der Mann, der meinem Vater die frohe Botschaft brachte und sprach: "Ein männliches Kind ist dir geboren", und der ihn hoch erfreute! 
JER.20.16	Und jener Mann werde den Städten gleich, die Jehova umgekehrt hat, ohne sichs gereuen zu lassen; und er höre ein Geschrei am Morgen und Feldgeschrei zur Mittagszeit: 
JER.20.17	weil er mich nicht tötete im Mutterleibe 
JER.20.18	Warum bin ich doch aus dem Mutterleibe hervorgekommen, um Mühsal und Kummer zu sehen, und daß meine Tage in Schande vergingen? -
JER.21.1	Das Wort, welches von seiten Jehovas zu Jeremia geschah, als der König Zedekia Paschchur, den Sohn Malkijas, und Zephanja, den Sohn Maasejas, den Priester, zu ihm sandte und sagen ließ: 
JER.21.2	Befrage doch Jehova für uns, denn Nebukadrezar, der König von Babel, streitet wider uns; vielleicht wird Jehova mit uns handeln nach allen seinen Wundern, daß er von uns abziehe. 
JER.21.3	Und Jeremia sprach zu ihnen: Also sollt ihr zu Zedekia sagen: 
JER.21.4	So spricht Jehova, der Gott Israels: Siehe, ich will die Kriegswaffen umwenden, die in eurer Hand sind, mit welchen ihr außerhalb der Mauer wider den König von Babel und wider die Chaldäer streitet, die euch belagern, und sie 
JER.21.5	Und ich selbst werde wider euch streiten mit ausgestreckter Hand und mit starkem Arm und mit Zorn und mit Grimm und mit großer Wut. 
JER.21.6	Und ich werde die Bewohner dieser Stadt schlagen, sowohl Menschen als Vieh; an einer großen Pest sollen sie sterben. 
JER.21.7	Und danach, spricht Jehova, werde ich Zedekia, den König von Juda, und seine Knechte und das Volk, und zwar die in dieser Stadt von der Pest, vom Schwerte und vom Hunger Übriggebliebenen, in die Hand Nebukadrezars, des Königs von Babel, geben, und in die Hand ihrer Feinde und in die Hand derer, welche nach ihrem Leben trachten; und er wird sie schlagen mit der Schärfe des Schwertes, er wird ihrer nicht schonen, noch Mitleid haben, noch sich erbarmen.
JER.21.8	Und zu diesem Volke sollst du sagen: So spricht Jehova: Siehe, ich lege euch den Weg des Lebens vor und den Weg des Todes. 
JER.21.9	Wer in dieser Stadt bleibt, wird sterben durch das Schwert und durch den Hunger und durch die Pest; wer aber hinausgeht und zu den Chaldäern überläuft, die euch belagern, wird leben, und seine Seele wird ihm zur Beute sein. 
JER.21.10	Denn ich habe mein Angesicht wider diese Stadt gerichtet zum Bösen und nicht zum Guten, spricht Jehova; sie wird in die Hand des Königs von Babel gegeben werden, und er wird sie mit Feuer verbrennen. - 
JER.21.11	Und zu dem Hause des Königs von Juda sollst du sagen: Höret das Wort Jehovas! 
JER.21.12	Haus David, so spricht Jehova: Haltet jeden Morgen Gericht und befreiet den Beraubten aus der Hand des Bedrückers, damit mein Grimm nicht ausbreche wie ein Feuer und unauslöschlich brenne wegen der Bosheit eurer Handlungen. 
JER.21.13	Siehe, ich will an dich, du Bewohnerin 
JER.21.14	Und ich will euch heimsuchen nach der Frucht eurer Handlungen, spricht Jehova; und ich will ein Feuer anzünden in ihrem 
JER.22.1	So sprach Jehova: Geh hinab in das Haus des Königs von Juda, und rede daselbst dieses Wort 
JER.22.2	und sprich: Höre das Wort Jehovas, König von Juda, der du auf dem Throne Davids sitzest, du und deine Knechte und dein Volk, die ihr durch diese Tore einziehet. 
JER.22.3	So spricht Jehova: Übet 
JER.22.4	Denn wenn ihr dieses Wort wirklich tun werdet, so werden durch die Tore dieses Hauses Könige einziehen, welche auf dem Throne Davids sitzen 
JER.22.5	Wenn ihr aber nicht auf diese Worte höret, so habe ich bei mir geschworen, spricht Jehova, daß dieses Haus zur Einöde werden soll. 
JER.22.6	Denn also spricht Jehova über das Haus des Königs von Juda: Du bist mir ein Gilead 
JER.22.7	Und ich werde Verderber wider dich weihen, einen jeden mit seinen Waffen, und sie werden die Auswahl deiner Cedern umhauen und ins Feuer werfen. 
JER.22.8	Und viele Nationen werden an dieser Stadt vorüberziehen, und einer wird zum anderen sagen: Warum hat Jehova an dieser großen Stadt also getan? 
JER.22.9	Und man wird sagen: Weil sie den Bund Jehovas, ihres Gottes, verlassen und sich vor anderen Göttern niedergebeugt und ihnen gedient haben.
JER.22.10	Weinet nicht um den Toten, und beklaget ihn nicht; weinet vielmehr um den Weggezogenen, denn er wird nicht mehr zurückkehren und das Land seiner Geburt sehen. 
JER.22.11	Denn so spricht Jehova von Schallum 
JER.22.12	sondern an dem Orte, wohin sie ihn weggeführt haben, daselbst wird er sterben, und er wird dieses Land nicht wiedersehen. 
JER.22.13	Wehe dem, der sein Haus mit Ungerechtigkeit baut und seine Obergemächer mit Unrecht, der seinen Nächsten umsonst arbeiten läßt und ihm seinen Lohn nicht gibt; 
JER.22.14	der da spricht: Ich will mir ein geräumiges Haus bauen und weite Obergemächer! und er haut sich Fenster aus und deckt mit Cedern, und er streicht es an mit Zinnober. 
JER.22.15	Bist du ein König, weil du in Cedern wetteiferst? Hat nicht dein Vater gegessen und getrunken und Recht und Gerechtigkeit geübt? da erging es ihm wohl. 
JER.22.16	Er hat die Rechtssache des Elenden und des Armen gerichtet; da stand es wohl. Heißt das nicht mich erkennen? spricht Jehova. 
JER.22.17	Denn deine Augen und dein Herz 
JER.22.18	Darum spricht Jehova von Jojakim, dem Sohne Josias, dem König von Juda, also: man wird nicht um ihn klagen: Wehe, mein Bruder! und: Wehe, Schwester! Man wird nicht um ihn klagen: Wehe, Herr! und: Wehe, seine Herrlichkeit! 
JER.22.19	Mit dem Begräbnis eines Esels wird er begraben werden; man wird ihn fortschleifen und wegwerfen weit hinweg von den Toren Jerusalems.
JER.22.20	Steige auf den Libanon und schreie, und erhebe deine Stimme auf dem Gebirge Basan und schreie vom Abarim her; denn zerschmettert sind alle deine Buhlen. 
JER.22.21	Ich redete zu dir in deinem Wohlergehen; du sprachst: Ich will nicht hören. Das war dein Weg von deiner Jugend an, daß du auf meine Stimme nicht hörtest. 
JER.22.22	Der Wind wird alle deine Hirten abweiden, 
JER.22.23	Die du auf dem Libanon wohnst und auf den Cedern nistest, wie mitleidswürdig wirst du sein 
JER.22.24	So wahr ich lebe, spricht Jehova, wenn auch Konja 
JER.22.25	Und ich werde dich in die Hand derer geben, welche nach deinem Leben trachten, und in die Hand derer, vor welchen du dich fürchtest, und in die Hand Nebukadrezars, des Königs von Babel, und in die Hand der Chaldäer. 
JER.22.26	Und ich werde dich und deine Mutter, die dich geboren hat, in ein anderes Land schleudern, wo ihr nicht geboren seid; und daselbst werdet ihr sterben. 
JER.22.27	Und in das Land, wohin sie sich sehnen zurückzukehren, dahin werden sie nicht zurückkehren. - 
JER.22.28	Ist denn dieser Mann Konja ein verachtetes Gefäß, das man zertrümmert, oder ein Gerät, an welchem man kein Gefallen hat? Warum werden sie weggeschleudert, er und sein Same, und in ein Land geworfen, das sie nicht kennen? - 
JER.22.29	O Land, Land, Land, höre das Wort Jehovas! 
JER.22.30	So spricht Jehova: Schreibet diesen Mann auf als kinderlos, als einen Mann, der kein Gedeihen hat in seinen Tagen; denn von seinem Samen wird nicht einer gedeihen, der auf dem Throne Davids sitze und fortan über Juda herrsche.
JER.23.1	Wehe den Hirten, welche die Schafe meiner Weide zu Grunde richten und zerstreuen! spricht Jehova. 
JER.23.2	Darum spricht Jehova, der Gott Israels, also über die Hirten, die mein Volk weiden: Ihr habt meine Schafe zerstreut und sie vertrieben, und habt nicht nach ihnen gesehen 
JER.23.3	Und ich werde den Überrest meiner Schafe sammeln aus all den Ländern, wohin ich sie vertrieben habe; und ich werde sie auf ihre Triften zurückbringen, daß sie fruchtbar seien und sich mehren. 
JER.23.4	Und ich werde Hirten über sie erwecken, die sie weiden werden; und sie sollen sich nicht mehr fürchten und nicht erschrecken, noch vermißt werden, spricht Jehova. 
JER.23.5	Siehe, Tage kommen, spricht Jehova, da ich dem David einen gerechten Sproß erwecken werde; und er wird als König regieren und verständig handeln, und Recht und Gerechtigkeit üben im Lande. 
JER.23.6	In seinen Tagen wird Juda gerettet werden und Israel in Sicherheit wohnen; und dies wird sein Name sein, mit dem man ihn nennen wird: Jehova, unsere Gerechtigkeit 
JER.23.7	Darum siehe, Tage kommen, spricht Jehova, da man nicht mehr sagen wird: So wahr Jehova lebt, der die Kinder Israel aus dem Lande Ägypten heraufgeführt hat! - 
JER.23.8	sondern: So wahr Jehova lebt, der den Samen des Hauses Israel heraufgeführt und ihn gebracht hat aus dem Lande des Nordens und aus all den Ländern, wohin ich sie vertrieben hatte! Und sie sollen in ihrem Lande wohnen.
JER.23.9	Über die Propheten. Mein Herz ist gebrochen in meinem Innern, es beben 
JER.23.10	Denn das Land ist voll von Ehebrechern; denn das Land trauert wegen des Fluches, die Auen der Steppe verdorren, und ihr Lauf ist böse, und ihre Macht 
JER.23.11	Denn sowohl Propheten als Priester sind ruchlos; sogar in meinem Hause habe ich ihre Bosheit gefunden, spricht Jehova. 
JER.23.12	Darum wird ihnen ihr Weg sein wie schlüpfrige Orte in der Dunkelheit, sie werden gestoßen werden und auf ihm fallen; denn ich bringe Unglück über sie, das Jahr ihrer Heimsuchung, spricht Jehova. 
JER.23.13	Und an den Propheten Samarias habe ich Torheit gesehen: Sie weissagten durch den Baal und führten mein Volk Israel irre. 
JER.23.14	Aber an den Propheten Jerusalems habe ich Schauderhaftes gesehen: Ehebrechen und in der Lüge Wandeln, und sie stärken die Hände der Übeltäter, auf daß sie nicht umkehren, ein jeder von seiner Bosheit; sie sind mir allesamt wie Sodom geworden, und seine 
JER.23.15	Darum spricht Jehova der Heerscharen über die Propheten also: Siehe, ich will sie mit Wermut speisen und sie mit bitterem Wasser tränken; denn von den Propheten Jerusalems ist Ruchlosigkeit ausgegangen über das ganze Land. 
JER.23.16	So spricht Jehova der Heerscharen: Höret nicht auf die Worte der Propheten, die euch weissagen; sie täuschen euch, sie reden das Gesicht ihres Herzens und nicht aus dem Munde Jehovas. 
JER.23.17	Sie sagen stets zu denen, die mich verachten: "Jehova hat geredet: Ihr werdet Frieden haben"; und zu jedem, der in dem Starrsinn seines Herzens wandelt, sprechen sie: "Es wird kein Unglück über euch kommen". 
JER.23.18	Denn wer hat im Rate Jehovas gestanden, daß er sein Wort gesehen und gehört hätte? Wer hat auf mein 
JER.23.19	Siehe, ein Sturmwind Jehovas, ein Grimm ist ausgegangen, ja, ein wirbelnder Sturmwind; er wird sich herniederwälzen auf den Kopf der Gesetzlosen. 
JER.23.20	Nicht wenden wird sich der Zorn Jehovas, bis er getan und bis er ausgeführt hat die Gedanken seines Herzens. Am Ende der Tage werdet ihr dessen mit Verständnis inne werden. 
JER.23.21	Ich habe die Propheten nicht gesandt, und doch sind sie gelaufen. Ich habe nicht zu ihnen geredet, und doch haben sie geweissagt. 
JER.23.22	Hätten sie aber in meinem Rate gestanden, so würden sie mein Volk meine Worte hören lassen und es abbringen von seinem bösen Wege und von der Bosheit seiner Handlungen. - 
JER.23.23	Bin ich ein Gott aus der Nähe, spricht Jehova, und nicht ein Gott aus der Ferne? 
JER.23.24	Oder kann sich jemand in Schlupfwinkel verbergen, und ich sähe ihn nicht? spricht Jehova. Erfülle ich nicht den Himmel und die Erde? spricht Jehova. 
JER.23.25	Ich habe gehört, was die Propheten sagen, die in meinem Namen Lüge weissagen und sprechen: Einen Traum, einen Traum habe ich gehabt! 
JER.23.26	Wie lange sollen das im Sinne haben die Propheten, welche Lüge weissagen, und die Propheten des Truges ihres Herzens, 
JER.23.27	welche gedenken 
JER.23.28	Der Prophet, der einen Traum hat, erzähle den Traum; und wer mein Wort hat, rede mein Wort in Wahrheit! Was hat das Stroh mit dem Korn gemein? spricht Jehova. 
JER.23.29	Ist mein Wort nicht also-wie Feuer, spricht Jehova, und wie ein Hammer, der Felsen zerschmettert? 
JER.23.30	Darum siehe, ich will an die Propheten, spricht Jehova, die einer vom anderen meine Worte stehlen. 
JER.23.31	Siehe, ich will an die Propheten, spricht Jehova, die Zungen nehmen und sprechen: Er hat geredet 
JER.23.32	Siehe, ich will an die, spricht Jehova, welche Lügenträume weissagen und sie erzählen und mein Volk irreführen mit ihrer Prahlerei; da ich sie doch nicht gesandt und sie nicht entboten 
JER.23.33	Und wenn dieses Volk, oder ein Prophet oder ein Priester dich fragt und spricht: Was ist die Last 
JER.23.34	Und der Prophet und der Priester und das Volk, welche sagen werden: "Last Jehovas", diesen Mann und sein Haus werde ich heimsuchen. 
JER.23.35	Also sollt ihr sprechen, ein jeder zu seinem Nächsten und ein jeder zu seinem Bruder: Was hat Jehova geantwortet und was hat Jehova geredet? 
JER.23.36	Und die Last Jehovas sollt ihr 
JER.23.37	Also sollst du zu dem Propheten sagen: Was hat Jehova dir geantwortet und was hat Jehova geredet? 
JER.23.38	Wenn ihr aber saget: "Last Jehovas", darum, so spricht Jehova: Weil ihr dieses Wort saget: "Last Jehovas", und ich doch zu euch gesandt und gesprochen habe: Ihr sollt nicht sagen: "Last Jehovas" - 
JER.23.39	darum, siehe, werde ich euch ganz vergessen, und euch und die Stadt, die ich euch und euren Vätern gegeben habe, von meinem Angesicht verstoßen; 
JER.23.40	und ich werde ewigen Hohn auf euch legen und eine ewige Schande, die nicht vergessen werden wird.
JER.24.1	Jehova ließ mich sehen, -und siehe, zwei Körbe Feigen waren vor dem Tempel Jehovas aufgestellt-nachdem Nebukadrezar, der König von Babel, Jekonja, den Sohn Jojakims, den König von Juda und die Fürsten von Juda und die Werkleute und die Schlosser aus Jerusalem weggeführt und sie nach Babel gebracht hatte. 
JER.24.2	In dem einen Korbe waren sehr gute Feigen, gleich den Frühfeigen; und in dem anderen Korbe waren sehr schlechte Feigen, die vor Schlechtigkeit nicht gegessen werden konnten. 
JER.24.3	Und Jehova sprach zu mir: Was siehst du, Jeremia? Und ich sprach: Feigen; die guten Feigen sind sehr gut, und die schlechten sehr schlecht, so daß sie vor Schlechtigkeit nicht gegessen werden können. 
JER.24.4	Und das Wort Jehovas geschah zu mir also: 
JER.24.5	So spricht Jehova, der Gott Israels: Wie diese guten Feigen, also werde ich die Weggeführten von Juda, die ich aus diesem Orte in das Land der Chaldäer weggeschickt habe, ansehen zum Guten. 
JER.24.6	Und ich werde mein Auge auf sie richten zum Guten und sie in dieses Land zurückbringen; und ich werde sie bauen und nicht abbrechen, und sie pflanzen und nicht ausreißen. 
JER.24.7	Und ich will ihnen ein Herz geben, mich zu erkennen, daß ich Jehova bin; und sie werden mein Volk, und ich werde ihr Gott sein; denn sie werden mit ihrem ganzen Herzen zu mir umkehren. - 
JER.24.8	Und wie die schlechten Feigen, die vor Schlechtigkeit nicht gegessen werden können: ja, so spricht Jehova, also werde ich Zedekia, den König von Juda, machen, und seine Fürsten und den Überrest von Jerusalem, die in diesem Lande Übriggebliebenen und die im Lande Ägypten Wohnenden. 
