MAT.1.1	Awa ndiwo makholo a dzindza ya Yezu Kirixtu, Mwana wa Dhavidhi, Mwana wa Abharaamu.
JHN.14.20	Ntsiku eneyi munadzindikira kuti Ine ndiri muna Baba wanga, imwe muli muna Ine, inembo ndiri muna imwe. 
JHN.14.21	Ule anadziwa mitemo yanga mbaikoya, unowu ndiye anandifuna. Ule anandifuna, anafuniwa na Baba wanga, pontho Ine ndinanfunambo, mbandipangizika kuna Iye.”
JHN.14.22	Na tenepo, Djuda, (si Djuda Xikariyoti tayu) alonga kuti: “Mbuya, thangwi yanji musafuna pangizika kuna ife mbamukhonda pangizika kuna dziko?”
JHN.14.23	Yezu atawira tenepa: “Ngakhala alipo anandifuna anakoya fala yanga. Baba wanga anadza kanfuna, Ife tinadza kuna iye mbaticita nyumba muna iye. 
JHN.14.24	Ule anakhonda kundifuna nkhabe koya mafala anga. Mafala awa anabva imwe si anga tayu, mba Baba adandituma.
JHN.14.25	“Pyonsene ipi ndisakupangani mbandiri pabodzi na imwe. 
JHN.14.26	Mbwenye M'matamisi, Nzimu Wakucena unafuna kukutumizirani Baba na dzina yanga, unadza kakupfundzisani pinthu pyonsene, mbukukumbusani pyonsene pidakupangani Ine. 
JHN.14.27	Ndisakusiyirani ntendere. Ntendere wanga ndisakupasani. Nkhabe kukupasani ninga pinacita dziko. Lekani kunentseka muntima mwanu, pontho lekani kugopa.
JHN.14.28	“Imwe mwandibva mbandilonga kuti: Ndiri kwenda, mbwenye ndinabwera pontho kuna imwe. Mbamudakhala imwe musandifuna, mbumudakomerwa, thangwi ndiri kwenda kuna Baba. Thangwi Baba ndi nkulu kupiringana Ine. 
JHN.14.29	Ndisakupangani cincino, penepi mbapidzati kucitika, toera pingadza kacitika, imwe mupitawire. 
JHN.14.30	Nkhabebve n'dzidzi ukulu wakulonga na imwe, thangwi nkulu wa dziko ino ali kubwera. Iye nkhabe kundicita cinthu tayu, 
JHN.14.31	mbwenye dziko isafunika idziwe kuti Ine ndisafuna Baba, pontho ndisacita ninga pidandituma Baba. Lamukani, mbatibulukeni pano!”
JHN.15.1	“Ine ndine mutidi wa mauva, Baba wanga ndi nyakulima. 
JHN.15.2	Nthawi zonsene ziri muna Ine, zinakhonda bala misapu, Iye anazigwanda. Pontho, nthawi zonsene zinabala misapu, anazisadzulira toera zibale misapu mizinji. 
JHN.15.3	Imwe mwaceneswa kale na fala idakupangani Ine. 
JHN.15.4	Khalani muna Ine, Ine ndinakhalambo muna imwe. Nkhabe nthawi inabala misapu yokha, ingakhonda kukhala pa muti wa mauva. Sawa-sawambo na imwe, nkhabe kubala misapu mungakhonda kukhala muna Ine.
JHN.15.5	“Ine ndine muti wa mauva, imwe ndimwe nthawi. Ule anakhala muna Ine, Ine mbandikhala muna iye, unowu anabala misapu mizinji. Thangwi imwe mwekha ene, nkhabe cinthu cibodzi cinafuna cita imwe. 
JHN.15.6	Ule anakhonda khala muna Ine, anakhala ninga nthawi idataiwa kunja mbiuma. Nthawi zenezo zinakwatiwa, mbaziponyiwa pa moto mbazipya. 
JHN.15.7	Imwe mungakhala muna Ine, mafala anga mbakhala muna imwe, munaphemba pinafuna imwe mbamupicitirwa. 
JHN.15.8	Baba wanga anapaswa mbiri imwe mungabala misapu mizinji, pontho munakhala anyakupfundza anga.
JHN.15.9	“Ninga Baba wanga andifuna, Ine ndakufunanimbo. Khalani n'kati mwa mafuniro anga. 
JHN.15.10	Imwe mungakoya mitemo yanga, munakhala n'kati mwa mafuniro anga, sawa-sawa ninga Ine ndisakoya mitemo ya Baba wanga, mbandikhala n'kati mwa mafuniro ace. 
JHN.15.11	Ndakupangani mafala awa, toera kutsandzaya kwanga kukhale na imwe, pontho kutsandzaya kwanu kukwane. 
JHN.15.12	Mwambo wanga ndi uxu: Mufunane m'bodzi na m'bodzi ninga Ine ndakufunani. 
JHN.15.13	Nkhabe munthu anako kufuna kukulu kupiringana ule anafera axamwali ace. 
JHN.15.14	Imwe munakhala axamwali anga, mungacita pire pinakupangani Ine. 
JHN.15.15	Ine nkhabe kukucemeranibve anyabasa tayu, thangwi nyabasa nkhabe dziwa pinacita mbuya wace. Ndinakucemerani axamwali. Thangwi pyonsene pidabva Ine na Baba, ndakupangani. 
JHN.15.16	Simwe adandisankhula tayu, mbwenye ndine adakusankhulani mbandikutumani kuti mwende, pontho mubale misapu, misapu yakukhaliratu, toera Baba akupaseni pinaphemba imwe, na dzina yanga. 
JHN.15.17	Matongero anga mbawa: Funanani m'bodzi na m'bodzi.
JHN.15.18	“Ngakhala dziko isakuzondani, dziwani kuti yatoma kuzonda Ine. 
JHN.15.19	Imwe mbumudakhala a padziko, dziko mbidakufunani ninga anthu awo. Mphapo imwe simwe a padziko tayu, mbwenye Ine ndakusankhulani mbandikubulusani pa dziko. Na thangwi eneyo, dziko isakuzondani. 
JHN.15.20	Kumbukani mafala adakupangani Ine kuti: Nkhabe nyabasa m'bodzi anapita mbuya wace. Ngakhala Ine andizonda, anakuzondanimbo. Ngakhala Ine andibvera mafala anga, anabverambo mafala anu. 
JHN.15.21	Mbwenye anakucitani tenepo na thangwi ya dzina yanga, thangwi iwo nkhabe kun'dziwa ule adandituma. 
JHN.15.22	Ine mbandidakhonda kubwera mbandiapanga, mbadapaswa mphoswa ya kudawa tayu. Mbwenye cincino iwo nkhabebve pakutunira madawi awo. 
JHN.15.23	Ule anandizonda, ali kuzondambo Baba wanga. 
JHN.15.24	Ine mbindidakhonda kucita mabasa pakati pawo adakhonda kucitwa na unango, iwo mbadakhala na mphoswa ya kudawa tayu. Mbwenye cincino iwo aaona mabasa anga, mbazonda Ine na Baba wanga ene. 
JHN.15.25	Mbwenye penepi pyacitika toera pisimbiswe pire pidalembwa mu Mwambo wawo kuti: ‘Andizondera pezi.’
JHN.15.26	“Angabwera M'matamisi anafuna kukutumirani Ine bulukira kuna Baba, Nzimu unadzesa undimo mwene unabuluka kuna Baba, Iwo unandicitira umboni. 
JHN.15.27	Imwe munati mucitembo umboni, thangwi muli na Ine kutomera pakutoma.”
JHN.16.1	“Ndisakupangani pyonsene ipi toera mukhonde kusiya cikhulupiro canu. 
JHN.16.2	Imwe munati muthamangiswe n'kati mwa nyumba za kuphembera. Ndimo mwene, unafika n'dzidzi wa kuti munthu akuphani, mbanyerezera kuti ali kuphata basa ya Mulungu. 
JHN.16.3	Iwo anati acite pinthu penepi, thangwi nkhabe kun'dziwa Baba, pontho nkhabe kudziwa Ine. 
JHN.16.4	Ine ndiri kukupangani ipi toera ungafika n'dzidzi, mukumbuke kuti ine ndikhadakupangani kale pinthu penepi. Ndacimwana kukupangani pakutoma, thangwi Ine ndikhakhala na imwe.
JHN.16.5	“Mbwenye cincino ndiri kwenda kuna ule adandituma, pontho nkhabe m'bodzi wanu anafuna kundibvundza kuti: ‘Ndi kupi kunafuna iwe kwenda?’ 
JHN.16.6	Thangwi mitima yanu yadzala na kutsukwala pidakupangani Ine penepi. 
JHN.16.7	Mbwenye Ine ndisakupangani pya ndimo mwene kuti: Mphyadidi kakamwe kuna imwe kuti Ine ndiyende. Thangwi Ine ndingakhonda kwenda, M'matamisi nkhabe bwera kuna imwe. Mbwenye Ine ndingaenda, ndinakutumirani M'matamisi. 
JHN.16.8	Iye angabwera, anaidziwisa dziko pinthu pitatu: Kudawa, kulungama pontho na kutongwa na Mulungu. 
JHN.16.9	Kudawa, thangwi anthu nkhabe kunditawira. 
JHN.16.10	Kulungama, thangwi ndiri kwenda kuna Baba, pontho imwe nkhabe kudza kandionabve. 
JHN.16.11	Kutongwa, thangwi nkulu wa dziko ino amala kukoneswa kale.
JHN.16.12	“Ndina pinthu pinango pizinji pya kukupangani, mbwenye imwe cincino nkhabe kwanisa kupipirira. 
JHN.16.13	Mbwenye ungabwera Nzimu unadzesa undimo mwene, Iwo unakupangisani pya ndimo mwene. Nkhabe longa pyawo okha, unalonga pire pidabva iwo, pontho unakupangani pire pinafuna kudza. 
JHN.16.14	Iwo unadza kandipasa mbiri, thangwi iwo unatambira pinthu pyanga, mbubwera kudza kakudzuwisani. 
JHN.16.15	Pyonsene pina Baba mphyanga. Ndi thangwi eneyi Ine ndakupangani kuti Nzimu unatambira pinthu pyanga mbubwera kudza kakudzuwisani.
JHN.16.16	“Thimize pang'ono nkhabe kudza kandionabve, mbwenye thimize pontho pang'ono munadza kandiona pontho.”
JHN.16.17	Na tenepo, anyakupfundza ace anango akhalonga m'bodzi na m'bodzi kuti: “Ndi ninji penepi pinalonga Iye kuna ife kuti: ‘Thimize pang'ono nkhabe kudza kandionabve’, pontho ‘thimize pang'ono munadza kandiona, thangwi ndiri kwenda kuna Baba?’ ” 
JHN.16.18	“Pisalonganji penepi ‘Thimize pontho pang'ono?’ Ife nkhabe kupibvesa pinalonga Iye.”
JHN.16.19	Yezu adziwa kuti iwo akhafuna kum'bvundza na thangwi eneyo. Na tenepo, Iye aabvundza kuti: “Imwe musabvundzana mwekha ene kuti Ine ndikhafuna longanji na pidalonga Ine kuti: Thimize pang'ono nkhabe kudza kandionabve, mbwenye thimize pontho pang'ono munadza kandiona pontho? 
JHN.16.20	Ndimo mwene, ndimo mwene ndinakupangani kuti: Imwe munati mulire pontho mbamukhuwa, mbwenye dziko inati itsandzaye. Imwe munati mutsukwale, mbwenye kutsukwala kwanu kunadza kakhala kutsandzaya. 
JHN.16.21	Nkazi angafuna kubala asabva kupha, thangwi n'dzidzi wace wa nyatwa wafika. Mbwenye pakumala kubala mwana, iye asaiduwala nyatwa eneyi, thangwi ya kukomerwa na kubwera kwa mwana pa dziko. 
JHN.16.22	Na tenepo, imwembo cincino muli kutsukwala. Mbwenye ndinadza kakuonani pontho, mitima yanu mbidza katsandzaya, kutsandzaya kwanu nkhabe m'bodzi anafuna kukukwatirani. 
JHN.16.23	Pa ntsiku eneyo imwe nkhabe kudza kandibvundzabve cinthu tayu. Ndimo mwene, ndimo mwene Ine ndisakupangani kuti Baba wanga anakupasani pyonsene pinaphemba imwe na dzina yanga. 
JHN.16.24	Mpaka cincino, imwe mudzati kuphemba cinthu na dzina yanga. Phembani munatambira, toera kutsandzaya kwanu kukwane.
JHN.16.25	“Ndakupangani penepi na misanje. Unafika n'dzidzi wa kuti sinalongabve na imwe na misanje tayu, mbwenye ndinati ndilonge pakweca, pa thangwi ya Baba wanga. 
JHN.16.26	Pa ntsiku eneyo, imwe munaphemba na dzina yanga. Nkhabe funikabve kuti Ine ndikuphemberereni pinafuna imwe kuna Baba. 
JHN.16.27	Thangwi Iye ene Baba asakufunani, pontho imwe mwandifuna mbamutawira kuti ndabuluka kuna Mulungu. 
JHN.16.28	Ine ndabuluka kuna Baba mbindibwera pa dziko. Cincino ndiri kusiya dziko, ndiri kwenda pontho kuna Baba.”
JHN.16.29	Na tenepo, anyakupfundza a Yezu alonga kuti: “Cincino musalonga pakweca mbamukhonda kulonga na misanje. 
JHN.16.30	Cincino tisadziwa kuti imwe musadziwa pinthu pyonsene, pontho nkhabe funika kuti munthu akubvundzeni. Na thangwi eneyo tisatawira kuti mwabuluka kuna Mulungu.”
JHN.16.31	Yezu aatawira kuti: “Cincino mwatawira? 
JHN.16.32	Lang'anani, n'dzidzi uli dhuzi pontho wafika, unafuna mwazika imwe, m'bodzi na m'bodzi mbaenda ku nyumba kwace, mbindisala ndekha ene. Mbwenye Ine siri ndekha tayu, thangwi Baba ali na Ine.
JHN.16.33	“Ndakupangani pinthu penepi, toera mukhale na ntendere muna Ine. Pa dziko ino imwe munaona nyatwa, mbwenye wangisirani! Ine, ndakunda dziko.”
JHN.17.1	Pakumala kulonga penepi, Yezu alang'ana kudzulu mbaphembera tenepa:
JHN.17.1	“Baba, wakwana n'dzidzi. Pasa mbiri Mwana wako, toera Mwana wako akupasembo mbiri. 
JHN.17.2	Thangwi Imwe mwapasa Mwana wanu mphambvu za kutonga anthu onsene
JHN.17.3	Upulumuki wakukhonda kumala ndi uyu: Akudziweni kuti ndimwe ene basi Mulungu wa ndimo mwene, pontho na kudziwambo Yezu Kirixtu adatuma imwe. 
JHN.17.4	Ine ndakupasani mbiri pantsi pano, mbandimalisa basa idandipasa imwe kuti ndiicite. 
JHN.17.5	Na tenepo, cincino Baba, ndipaseni mbiri pamaso panu, mbiri ikhakhala na Ine pamaso panu, dziko mbidzati kucitwa.
JHN.17.6	“Ine ndapangisa dzina yanu kuna anthu adabulusa imwe pa dziko mbamundipasa. Iwo akhali anu. Imwe mwaapasa Ine, iwo asabvera fala yanu. 
JHN.17.7	Cincino iwo asadziwa kuti pyonsene pidandipasa imwe pyabuluka kuna imwe. 
JHN.17.8	Thangwi Ine ndaapanga mafala adandipasa imwe, iwo aatawira. Ndimo mwene, iwo adzindikira kuti Ine ndabuluka kuna imwe, pontho atawira kuti ndimwe adandituma. 
JHN.17.9	Ine ndisaaphemberera. Siri kuphemberera dziko tayu, mbwenye ndisaphemberera ale adandipasa imwe, thangwi ndi anthu anu. 
JHN.17.10	Pyonsene pina Ine mphyanu, na pyonsene pina imwe mphyanga. Na tenepo, Ine ndisapaswa mbiri na thangwi yawo. 
JHN.17.11	Sinadza kakhala pontho pa dziko tayu, mbwenye iwo na lero ali pano pa dziko, pontho Ine ndiri kudza kuna imwe. Baba wakulungama, akoyeni mu dzina yanu, dzina ire idandipasa imwe, toera iwo akhale cinthu cibodzi, ninga ife ndife cibodzi. 
JHN.17.12	Pa n'dzidzi ukhakhala Ine na iwo, Ine ndaalang'anira mbindiakoya mu dzina yanu idandipasa imwe. Nkhabe m'bodzi wawo adataika. Adataika ndi ule basi akhadapambulika kale kuti ataike
JHN.17.13	“Cincino ndiri kudza kuna imwe, mbwenye ndisalonga pinthu penepi mbandiri pano pa dziko, toera kutsandzaya kwanga kukwane muna iwo ene. 
JHN.17.14	Ine ndaapasa fala yanu, mbwenye dziko yaazonda, thangwi iwo si a padziko tayu, ninga Inembo sine wa padziko tayu. 
JHN.17.15	Siri kuphemba kuti muabuluse pa dziko tayu, mbwenye kuti muabvunulire mu mphambvu za Nyakuipa. 
JHN.17.16	Iwo si a padziko tayu, ninga inembo sine wa padziko tayu. 
JHN.17.17	Aciteni kuti aperekeke mwakukwana kuna imwe, thangwi fala yanu nja ndimo mwene. 
JHN.17.18	Sawa-sawa ninga mudandituma imwe kudza pa dziko, Ine ndisaatumambo kwenda n'dziko. 
JHN.17.19	Na thangwi ya iwo, Ine ndisaperekeka mwakukwana kuna imwe, toera iwo aperekekembo mwakukwana kuna imwe.
JHN.17.20	“Maphembero anga sisaacitira kuli iwo basi tayu. Ndisaphemberambo kuli ale anafuna kudza kanditawira na thangwi ya fala yawo, 
JHN.17.21	toera onsene akhale cibodzi. Baba, ninga imwe muli muna Ine, pontho Ine ndiri muna imwe. Kuti iwo akhalembo muna ife, toera dziko itawire kuti imwe mwandituma. 
JHN.17.22	Ine ndaapasa mbiri idandipasa imwe, kuti iwo akhale cibodzi, ninga ife ndife cibodzi. 
JHN.17.23	Ine muna iwo, imwe muna Ine, kuti akwane pa kuphatana, toera dziko idziwe kuti mwandituma, pontho kuti mwaafuna sawa-sawa ninga imwe mwandifuna.
JHN.17.24	“Baba, ndisafuna kuti ale adandipasa imwe akhale pale pana Ine kuti aone mbiri yanga, mbiri idandipasa imwe na kundifuna kwanu, dziko mbidzati kucitwa.
JHN.17.25	“Baba wakulungama, dziko nkhabe kukudziwani, mbwenye Ine ndisakudziwani. Awa asadziwa kuti ndimwe adandituma. 
JHN.17.26	Ine ndaadziwisa kuti imwe ndimwe ani, pontho ndinathimiza basi na kuadziwisa, toera kufuna kudandicita imwe kukhale muna iwo, pontho Ine ndikhalembo muna iwo.”
JHN.18.1	Yezu pidamala Iye kuphembera, abuluka pabodzi na anyakupfundza ace mbawambuka gowa ya Khedhoroni, mbaenda ntunda unango. Kweneko kukhakhala na tapada ibodzi, Iye mbapita mwenemu pabodzi na anyakupfundza ace.
JHN.18.2	Djuda nyakusandukira Yezu, akhaidziwa mbuto eneyo, thangwi Yezu kazinji kene akhagumanyikana kweneko pabodzi na anyakupfundza ace. 
JHN.18.3	Na tenepo, Djuda aenda ku tapada eneyi mbakwata nsoka wa anyankhondo a ku Roma, na anango anyakuonera Nyumba ya Mulungu adatumwa na akulu aanyantsembe na afarisi. Iwo akwata pida pya nkhondo, nyale na ntsakali.
JHN.18.4	Yezu, na kudziwa pyonsene pikhafuna kuncitikira, aafendedzera mbaabvundza kuti: “Mbani anasaka imwe?”
JHN.18.5	Iwo atawira kuti: “Tiri kusaka Yezu wa ku Nazareti.”
JHN.18.5	Yezu atawira kuti: “Ndine pano.”
JHN.18.5	(Djuda, nyakusandukira Yezu, akhali pabodzi na iwo.) 
JHN.18.6	Pidatawira Yezu kuti ndine pano, iwo abwerera n'nduli, mbagwa pantsi.
JHN.18.7	Yezu aabvundza pontho kuti: “Mbani anasaka imwe?”
JHN.18.7	Iwo alonga kuti: “Tiri kusaka Yezu wa ku Nazareti.”
JHN.18.8	Yezu aatawira tenepa: “Ine ndakupangani kale kuti ndine pano. Ngakhala muli kusaka Ine, siyani amuna awa aende pyawo.” 
JHN.18.9	Penepyo pyacitika toera asimbiswe mafala akhalonga Iye kuti: “Adandipasa imwe, nkhabe m'bodzi adataya Ine.”
JHN.18.10	Penepo, Simau Pedhru, abulusa tarasada ikhali na iye, mbaphekesa nyabasa wa nkulu wa anyantsembe, mban'gwanda khutu ya madyo. Nyabasa unowu akhacemerwa Maliko.
JHN.18.11	Mbwenye Yezu ampanga Pedhru kuti: “Koya tarasada yako! Ndiko iyi ya nyatwa idandipasa Baba, Ine nkhabe kudza kaimwa?”
JHN.18.12	Na tenepo, anyankhondo, na nkulu wa nyankhondo, na anyakuonera atongi a madjuda, amphata Yezu mbamanga. 
JHN.18.13	Pakutoma ankwata mbaenda na iye kuna Anasi, akhali tebzala wa Khaifasi, nkulu wa anyantsembe pa caka ceneco. 
JHN.18.14	Khaifasi ndiye akhadalonga kuna madjuda kuti, mphyadidi munthu m'bodzi afe, fera mbumba.
JHN.18.15	Simau Pedhru na nyakupfundza unango m'bodzi, akhatowera Yezu. Nyakupfundza unowu, na kudziwika kukhacita iye na nkulu wa anyantsembe, apita pabodzi na Yezu n'khonde mwa n'nyumba ya nkulu wa anyantsembe. 
JHN.18.16	Mbwenye Pedhru asala kunja, pa nsuwo. Nyakupfundza wa Yezu akhadziwika na nkulu wa anyantsembe, abwerera mbalonga na nyabasa wankazi akhaonera pa nsuwo, mbakwata Pedhru mbapita na iye n'kati.
JHN.18.17	Na tenepo, nyabasa wankazi abvundzisa Pedhru kuti: “Iwe siwe m'bodzi wa anyakupfundza a mamuna uyu tayu?”
JHN.18.17	Pedhru antawira kuti: “Sine tayu.”
JHN.18.18	Na thangwi ya kutonthola, anyabasa na anyakuonera aphatisa moto wa makala mbakhaotha. Pedhru akhalipombo penepo dzololo, mbakhaotha pabodzi na iwo.
JHN.18.19	Na tenepo, nkulu wa anyantsembe abvundzisa Yezu pa thangwi ya anyakupfundza ace, na mapfundzisiro akhacita Iye.
JHN.18.20	Yezu antawira tenepa: “Ine ndalonga pakweca kuna anthu. Kazinji kene ndikhapfundzisa m'manyumba akuphemberera na mu Nyumba ya Mulungu, mukhagumanyikana madjuda onsene. Nkhabe cibodzi cidalonga Ine n'cibiso-biso. 
JHN.18.21	Thangwi yanji usandibvundza? Bvundza ale adapibva pidalonga Ine. Iwo asapidziwa mwadidi mwene pidaapanga Ine.”
JHN.18.22	Yezu pidamala Iye kulonga penepyo, nyakuonera m'bodzi akhakhala dhuzi na penepo, ampasa mbama mbalonga kuti: “Unatawira tenepa nkulu wa anyantsembe?”
JHN.18.23	Yezu atawira kuti: “Ngakhala ndalonga pyakuipa, longa uipi udacita Ine. Mbwenye ngakhala ndalonga mwadidi, thangwi yanji wandimenya?” 
JHN.18.24	Na tenepo, Anasi aendesa Yezu mbadamala mangwa mikono, kuna Khaifasi, nkulu wa anyantsembe.
JHN.18.25	Penepo akhalipombo Simau Pedhru, mbakhaotha moto. Iye abvundziwa kuti: “Kodi iwe siwe nyakupfundza m'bodzi wa Yezu tayu?”
JHN.18.25	Pedhru akhonda mbalonga kuti: “Sine tayu.”
JHN.18.26	Mbwenye nyabasa m'bodzi wa nkulu wa anyantsembe, m'bale wa mamuna adagwandiwa khutu na Pedhru, am'bvundza kuti: “Ine sidakuona tayu n'tapada pabodzi na Iye?” 
JHN.18.27	Mbwenye Pedhru akhonda pontho. Pa n'dzidzi ubodzi-bodzi, dzongwe yalira.
JHN.18.28	Buluka ku nyumba ya Khaifasi, iwo ankwata Yezu mbaenda na iye ku nyumba yakutongera miseru. Kunja kukhaeca. Madjuda akhonda kupita n'nyumba ikhakhala ntongi wa ku Roma,
JHN.18.29	Na tenepo, ntongi Piratu abuluka toera alonge na iwo, mbaabvundza kuti: “Adawanji mamuna uyu anasumira imwe?”
JHN.18.30	Iwo atawira tenepa: “Iye mbadakhonda cita cakuipa, mbatidampereka kuna imwe tayu.”
JHN.18.31	Piratu aapanga kuti: “Nkwateni muntonge ninga munalongera mwambo wanu.”
JHN.18.31	Madjuda atawira tenepa: “Ife nkhabe tawirirwa kupha munthu.” 
JHN.18.32	Penepi pyacitika toera kusimbisisa mafala akhadalonga Yezu, mbakhapangisa mafero akhafuna kucita Iye.
JHN.18.33	Na tenepo, Piratu abwerera pontho mu nyumba ya kutongera miseru, acemera Yezu mbam'bvundza kuti: “Iwe ndiwe mambo wa madjuda?”
JHN.18.34	Yezu atawira tenepa: “M'bvundzo unowu ndi wako ene, peno alipo anango adakupanga na thangwi yanga?”
JHN.18.35	Piratu antawira tenepa: “Kodi usanyerezera kuti ine ndine n'djuda? Ndi akulu aanyantsembe na mbumba yako idakupereka kuna ine. Wacitanji iwe?”
JHN.18.36	Yezu atawira kuti: “Umambo wanga si wa padziko ino tayu. Mbudakhala ndi wa padziko ino, anyabasa anga mbadamenyana na iwo, toera madjuda akhonde kundimanga. Mbwenye cincino umambo wanga si wa dziko ino tayu.”
JHN.18.37	Piratu alonga kuti: “Na tenepo, Iwe ndiwe mambo!”
JHN.18.37	Yezu antawira tenepa: “Iwe ndiwe anapilonga kuti Ine ndine Mambo. Ande, ndi thangwi eneyo ndabalwa, pontho mbandibwera pa dziko toera ndicite umboni wa undimo mwene. Onsene a ndimo mwene asandibva.”
JHN.18.38	Piratu abvundza kuti: “Ndi ninji undimo mwene?” Pidamala iye kubvundza abuluka pontho kunja kukakhala madjuda, mbalonga tenepa: “Nkhabe kuiona thangwi idaipisa Iye. 
JHN.18.39	Mbwenye ninga pinalongera mitemo yanu, ine ndisatongwa kubulusa munthu m'bodzi n'kaidi n'dzidzi wa phwandu ya Paxkwa. Apo lero imwe musafuna ndikubulusireni mambo wa madjuda?”
JHN.18.40	Na tenepo, onsene atoma kukhuwa pontho kuti: “Iye nkhabe. Tibulusireni Bharabhasi.” Mphapo Bharabhasi akhali phanga.
JHN.19.1	Na tenepo, Piratu ankwapulisa Yezu. 
JHN.19.2	Anyankhondo aluka nthimba ya minga, amuikha munsolo mwace mbam'bvazika nguwo ya ropa. 
JHN.19.3	Iwo afika dhuzi na Iye mbakhalonga kuti: “Bweraniko, mambo wa madjuda!” Mbakhampasa mbama.
JHN.19.4	Piratu abuluka pontho kunja mbalonga kuna madjuda tenepa: “Lang'anani, ine ndiri kudza na iye kunja kuno, toera imwe mudziwe kuti ine nkhabe kuiona thangwi idaipisa Iye.” 
JHN.19.5	Yezu mudabuluka Iye kunja, mbadamala bvazikwa nthimba ya minga na nguwo ya ropa, Piratu aapanga tenepa: “Lang'anani, ali pano mamuna uyu!”
JHN.19.6	Pidamuona iwo, akulu aanyantsembe na anyakuonera, atoma kukhuwa mbalonga kuti: “N'khomereni pa ntanda! N'khomereni pa ntanda!”
JHN.19.6	Mbwenye Piratu atawira kuti: “Nkwateni imwe munkhomere. Ine nkhabe kuiona thangwi idaipisa Iye.”
JHN.19.7	Mphapo madjuda alonga kuti: “Ife tina mwambo, na mwambo unowu iye asatongwa aphiwe, thangwi alonga kuti: ‘Ine ndine Mwana wa Mulungu.’ ”
JHN.19.8	Piratu pidabva iye penepi, agoperatu pikulu kakamwe. 
JHN.19.9	Iye abwerera pontho n'nyumba mukhakhala Yezu, mbam'bvundza kuti: “Iwe wabuluka kupi?” Mbwenye Yezu hadantawira tayu. 
JHN.19.10	Piratu ampanga kuti: “Iwe nkhabe funa kunditawira? Nkhabe dziwa kuti ine ndina mphambvu za kukubulusa na za kukukhomeresa pa ntanda?”
JHN.19.11	Yezu antawira kuti: “Nkhabe mphambvu ibodzi ya utongi ikhafuna kukhala na iwe kuna ine, mbudakhonda paswa na Mulungu. Na thangwi eneyo, ule adandipereka kuna iwe ndiye adadawa pikulu.”
JHN.19.12	Buluka penepo, Piratu akhasaka kusudzula Yezu, mbwenye madjuda akhakhuwa mbakhalonga tenepa: “Ungasudzula mamuna uyu, siwe xamwali wa Sezari
JHN.19.13	Piratu na kubva penepyo, abweresa Yezu kunja mbakhala pa mpando wa kutonga, pa Mbuto yakusasanyiwa na Myala, (na malongero a madjuda ndi Gabata.) 
JHN.19.14	Ikhali ntsiku ya kusasanyira sumana ya phwandu ya Paxkwa, pa n'dzidzi khumi na uwiri wa masikati.
JHN.19.14	Na tenepo, Piratu alonga kuna madjuda kuti: “Lang'anani, ali pano mambo wanu.”
JHN.19.15	Mbwenye iwo akhuwa kuti: “M'buluseni! M'buluseni! N'khomereni pa ntanda!”
JHN.19.15	Piratu alonga kuti: “Ndikhomere mambo wanu?”
JHN.19.15	Akulu aanyantsembe atawira tenepa: “Ife nkhabe mambo unango, mambo wathu ndi Sezari basi.”
JHN.19.16	Pakumalisira, Piratu ampereka Yezu kuna iwo kuti akhomerwe pa ntanda.
JHN.19.16	Na tenepo, anyankhondo ankwata. 
JHN.19.17	Yezu akwata ntanda wace, abuluka mbaenda ku mbuto inacemerwa Kavera,
JHN.19.18	Kweneko iwo an'khomera pa ntanda, pabodzi na anthu anango awiri, m'bodzi ku nkono wa madyo, unango ku nkono wa bzere, Yezu pakati.
JHN.19.19	Piratu asasanyisa tabwa, aikhomera pa ntanda mbailemba tenepa: “YEZU WA KU NAZARETI, MAMBO WA MADJUDA.” 
JHN.19.20	Madjuda azinji akhalang'ana pidalembwa pa citabwa, thangwi mbuto idakhomerwa Yezu pa ntanda, ikhali dhuzi na nzinda. Pa tabwa, pakhadalembwa na malongero matatu. A ciebhereu, a cilatii na a cigerego. 
JHN.19.21	Akulu aanyantsembe alonga kuna Piratu kuti: “Leka kulemba ‘Mambo wa madjuda,’ mbwenye lemba kuti Iye akhalongeka ekha kuti Ine ndine mambo wa madjuda.”
JHN.19.22	Na tenepo, Piratu atawira kuti: “Pidalemba ine, ndapilemba.”
JHN.19.23	Pidamala iwo kun'khomera pa ntanda, anyankhondo akwata nguwo za Yezu mbagawana anthu anai, m'bodzi na m'bodzi mbakwata phindi yace, mbisala nguwo ibodzi inacemerwa tunika. Nguwo eneyi ikhali na nsono tayu, ikhali nguwo ibodzi basi, buluka padzulu mpaka pantsi.
JHN.19.24	Penepi pyacitika toera pisimbiswe pidalembwa m'Bukhu ya Mulungu kuti:
JHN.19.24	“Iwo agawana nguwo zanga okha-okha,
JHN.19.24	mbamenyera ntsango
JHN.19.24	tunika yanga.”
JHN.19.24	Ndi penepi pidacita anyankhondo.
JHN.19.25	Dhuzi na ntanda wa Yezu, pakhali na akazi anai: Mai wace Yezu, na m'bale wa mai wace, Mariya nkazi wa Kolopasi, na Mariya Madhalena. 
JHN.19.26	Yezu pidaona iye mai wace penepo, pontho mbaona dhuzi na mai wace nyakupfundza m'bodzi akhafuna Iye, apanga mai wace kuti: “Nkaziwe, mwana wako uxu.” 
