LUK.1.1	Гьал ппараттар алучӀуная ахъакьас че мисаъ хьуна, ккеттушу курарихъас. 
LUK.12.8	– Зун агъая чвас: гьина Зун инсанарин удигь кьабул акьучин, те Инсандин КӀиркӀара кьабул акьасе Аллагьдин малайикарин удигь, 
LUK.12.9	амма гьина Зун инсанарин удигь кьабул дакьучин, те Инсандин КӀиркӀара кьабул акьасттава Аллагьдин малайикарин удигь. 
LUK.12.10	Инсандин КӀиркӀахъас дава гаф петтилас, гъил гъушанасе, амма Аллагьдин РуьхӀдихъас гиран вере чӀире гаф петтилас, гъил гъушанасттава. 
LUK.12.11	Чун дуьгӀебур хура хулариди файдегуна, хӀекимарилдина хӀаттарилди, чун фикир маркьа, фишттин джувабар ирцӀангьан пуна, я фигъагьан пуна. 
LUK.12.12	Аллагьдин РуьхӀди гьеге сеӀетти ягӀар акьасе чвас, чун фи пуна кканчин.
LUK.12.13	ХалкьдигӀас гьинаичин пуная Ӏисайис:
LUK.12.13	– Е МегӀелим, уп зе ччуччус, дада атуная девлет засра пай акье пуна.
LUK.12.14	Ӏисайи пуная гис:
LUK.12.14	– Е идеми, гьина э Закес диванчи акьунаеф, чве арайиъ учӀуна пайяр акьас?
LUK.12.15	Ӏисайи хаб пуная:
LUK.12.15	– Хъуттурфен гьа, гаш имикӀа юркӀураъ. Инсандин Ӏуьмур девлетилди дава алцандеяф.
LUK.12.16	Ӏисайи ахъакьуная гебурис мисала:
LUK.12.16	– Са девлетлу инсандис учин хуппуриас идже бегьер завал хьуная. 
LUK.12.17	Ги фикир аркьай хьуная: «Фиркьагьан Зун, Завал акьуна ризкь атас, мукь адава зе. 
LUK.12.18	Зун миштти акьасе, – пуная ги, – зе цӀуьре тахар аргӀуна, цӀае хӀа тахар акьасе, тисади завал акьасе зун кӀилди зе кьура, зе сасра девлетра. 
LUK.12.19	Тагьтегуна зафас зас пас хьасе: – Гьал вахъ икӀуна ппара девлет хъая, ацӀуна исарис гьуркьасе. РехӀет акье джандис, ӀуьтӀен, ух, кеф кеттив Ӏуьмурдикес». 
LUK.12.20	Аллагьди пуная ге инсандис: «Агь эхӀмакь! ЯгӀа Ӏуьшуй вун кӀесе. Гьинас хьасе ле ве завал акьунаттар?» 
LUK.12.21	Гьерттис, Аллагьдин девлет завал даркьай, учис девлет завал аркьаттис, гьетиштти хьасе.
LUK.12.22	Хаб Ӏисайи пуная Учин ученикарис:
LUK.12.22	– ДехӀела Зун чвас агъая: фикир маркьа Ӏеле гунихъасна аликӀа кандихъас. 
LUK.12.23	Ӏуьмур хӀайи э Ӏелеттилас, джанна хӀайи э кандилас. 
LUK.12.24	Хъуттурфен хъветтарихъ, гебури е узайдава, е уцайдава, хъудава гебурихъ е хазина хулара, е тахара, амма Аллагьди ирцӀанде гебурис Ӏелеф. Ппай чун ацӀуна багьайи э джакьварилас. 
LUK.12.25	Гьинафас чвакес хьасе, гъамар акьунегъай, учин Ӏуьмурдихъди са сеӀет хьунара хъучихьас? 
LUK.12.26	Гьеге са бицӀифра кехӀей чвафас акьас девегуна, фас чун сасра курарихъас фикирар аркьаттар э? 
LUK.12.27	Хъуттурфен, фиштти кегъучӀайчин цӀантукар: гебури е загьмат аркьайдава, е ттунар аркьайдава. Амма, Зун чвас агъая: паччагь Сулейманара кехӀей, гьетидегьен девлетар хъай, ге цӀантукари суман батӀарди аликӀайдавуйи. 
LUK.12.28	Нагагь, ягӀа ай, багагь пичиди агъихьа чӀирин ӀуькӀил Аллагьди гиштти аликӀахаб, чваал хъара иджи аликӀастту, хъудугъаттар! 
LUK.12.29	Чун маруца чвас Ӏелеттихъасна ухаттихъас, гъамра маркьа. 
LUK.12.30	Ме гунагьарин дуьнйайи гьеле задарихъ э джалла инсанар ахъихьунаф. Чве Заварин Дадас ягӀая чвас лебур герекди идеф. 
LUK.12.31	Ке удигьай Аллагьдин Паччагьвелдихъас руц, аметтар чвас Ли есе. 
LUK.12.32	ГучӀ мева, бицӀи кӀаратӀ! Чве Дада Учин иджвелин амур акьуная, шатти чвас Паччагьвел ес. 
LUK.12.33	Масса йина чве шейъер, кумак акье касибарис, джикӀен чвас кьацӀра ерсе деве пӀапӀушникар, завал акье девлетар заварил: лич е тӀафал адесттава, лисал е кьабкӀ архьасттава. 
LUK.12.34	Чве девлет нанди аячин, гьетисаъ чве юркӀвра ахьасе.
LUK.12.35	Гьемишан хӀезурди ухь, яӀарилас чӀилла дивуна, лампабура кикӀуна. 
LUK.12.36	Эесси цӀакӀинаригӀас адесттегьен, ти хъирхӀугъилди ракк дахъас гъузуна лукӀ суман, гьетиштти хӀезурди чунна гъузен. 
LUK.12.37	Бахттлубур э те лукӀар, эесси адесттегьен гъадархьуна гъузунаттар. Зун чвас дузди агъая, эесси учин яӀариккес чӀилла ккейтӀуна, экьвас акьуна лукӀар суфрайихъ, уч гьударкай ахьасе гебуригь. 
LUK.12.38	Бахттлубур э тебур, эесси мус адичира, кканчин сурӀуьшари, кканчин завкураригӀди, гъадархьуна, эессихъ гъузунахаб. 
LUK.12.39	ЯгӀарухь, хулан эессис хабарди уйихаб, нае вахттуни адес ичин тӀафал, эесси тӀараш акьас атасттавуйи учин хал. 
LUK.12.40	Чунна хӀезурди ухь, чвасра ягӀай адава нае вахттуни адесичин Инсандин КӀиркӀ.
LUK.12.41	Петтруйи хабар гъушуная Ӏисайифас:
LUK.12.41	– Е ХӀаф, Вун ле мисала агъаяф час эв, хъара джаллабурис эв?
LUK.12.42	Ӏисайи пуная:
LUK.12.42	– Гьал фуш э те, эессин хулан хӀаф, эессин эхӀттибар але Ӏекьуллу хӀеким, эесси учин лукӀарил хӀавел йинаеф, гебурис вахттуни Ӏелеф ес? 
LUK.12.43	Бахттлу э те лукӀ, эесси адегуна, эессис кар аркьай алчархьуф. 
LUK.12.44	Зун чвас дузди агъая, эесси кӀилди учин хулан хӀавелдиъ алихьасе ге. 
LUK.12.45	Нагагь те лукӀу учин юркӀураастти фикир акьучин: «Кьана аркьая зе эесси адес», пуна, йирхӀай хьичин лукӀарис, хумбарисра, идемарисра, Ӏелди, ухай, пиянди авейчин, 
LUK.12.46	ге лукӀун эесси хабарсузди адесе, кьацӀра лукӀ дагъузуна ягъа, дагъузуна вахттуни. Эесси гин диван акьуна, сасра эхӀттибар алдава инсанаригӀ гӀачихьасе гера. 
LUK.12.47	Нагагь учин эессин кьасттра ягӀай ай, лукӀ хӀезур дахьухаб, я учин эесси пеф дакьухаб, гишттин лукӀус зулумилди йирхӀасе. 
LUK.12.48	Нагагь эессин кьастт дагӀай, лукӀу фиичира дава кар акьухаб, лукӀус чукь йирхӀасе. Гьинас Аллагьди ппара йичин, ти хӀа джувабра есе, гьинал ппара эхӀттибар акьучин, ти хъара хӀа джуваб есе.
LUK.12.49	Зун цӀа фай адинаф э джилилди, фидегьен ккандея Зас цӀа тегӀди бугъмиш хьуна! 
LUK.12.50	Зун цӀигӀди гӀучӀуна ккандея, цӀигӀас ушуна, гӀадайчӀудегьен гагьди, Зун гӀезабикк ккея! 
LUK.12.51	Чун фикир аркьаяв, Зун Ӏаре маслихӀет фай адинаеф э пуна джилилди? Зун чвас агъая, дава! Ӏаре са маслихӀет фай дава, къигӀ файра э! 
LUK.12.52	Гьалдин хаб, хулаъ гӀифуд аячин, гебур Ӏу пай хьасе: хьибуд са усал хьуна, Ӏуйихъай гӀахъасе, Ӏуд са усал хьуна, хьибуйихъай гӀахъасе. 
LUK.12.53	ГӀахъасе дад кӀиркӀахъай, кӀиркӀ дадахъай, баб рушахъай, руш бабахъай, хьиджарбаб сусахъай, сус хьиджарбабахъай.
LUK.12.54	Халкьдис Ӏисайи пуная:
LUK.12.54	– Завар алчадивугуна къирибури, чун агъа: «Угъвал угъвасе». Угъайра э. 
LUK.12.55	Ппай кьибла багуйихъас кулак ичагуна, чун агъа: «Куче хьасе». Куче вейра э. 
LUK.12.56	Эй, Ӏу сурат гӀаттар! Джилихъна заварихъ хъуланди чвафас гьава ягӀар акьас ве, ппай агьал фишттин вахтт хьунаячин гъавурдиъ архьас вейду чвафас?
LUK.12.57	– Фикьас чвафас чвас фи дузди ичин ягӀар акьас верефттава? 
LUK.12.58	Ваалас гӀерз аркьаттихъай суттиди верегуна, рекъуьъ ами димари алучӀ тихъай маслихӀет акьас. Давайчин вун гъасе ти суттилди, сутти есе вун дусттагъин къаравуларилди, къаравулари ачикасе вун дусттагъиъ. 
LUK.12.59	Зун вас дузди агъая, вун тисаас аттесттава, вак кӀаре Ӏебасин бурдж кимедегьен гагьди.
LUK.13.1	Те вахттуни са Ӏу инсанари ахъакьуная Ӏисайис, Пилата кӀина Галилея дерейин инсанарихъас. Пилата те инсанарин иъ гӀачатуная тебурин садакьайин маларин иихъай. 
LUK.13.2	Ӏисайи пуная ге инсанарис:
LUK.13.2	– Чун фикир аркьаяв, те Галилея дерейин инсанар джуьре инсанарилас ппара гунагьар кеяттар и пуна, тебурис тиштти хьухӀела? 
LUK.13.3	Зун чвас агъая, дава! Нагагь чун чвак тахсирар кеяф мутӀеӀ хьуна, чве гунагьар чве гардандиъ дагъушухаб, джалла чунна тебур суман кӀесе! 
LUK.13.4	Я Силамдиъ минара арчӀуна, тисакк ккикъуна кӀе те цӀемуя инсан? Чун фикир аркьаяв, тебур джаллабурилас Ерусалимдиъ ешемиш веяттарилас ппара тахсирар кеяттар и пуна? 
LUK.13.5	Зун чвас агъая, дава! Амма чун чвак тахсирар кеяф мутӀеӀ хьуна, чве гунагьар чве гардандиъ дагъушухаб, джалла чунна кӀесе, тебур суман!
LUK.13.6	Хуппай Ӏисайи ахъакьуная гебурис мисала:
LUK.13.6	– Са инсандин тӀибитӀарин багъдиъ узуна ахьуная инджирин кӀур. Эесси адиная кӀуранил емишар алчугас хъуттурфанас, емишар алхьуна адава. 
LUK.13.7	Емишар алдавай агуф, ги пуная учин багъдихъ ахъаджихӀа инсандис: «Магьа хьибу ис э зун мисади вей хъуттурфанас, емишар алгъадина айчугас ме кӀуранил, емишар вей адава. АтӀ ме кур. Фас муфиӀет кидавай фацанасе ми мукь». 
LUK.13.8	Багьдихъ ахъаджихӀатти пуная гис: «Е эесси, са иса сара ате ме кӀур. Зун мис ругра есе, джилла гӀане акьасе. 
LUK.13.9	Сасра иса хьас идеф хьасе емишар, нагагь дахьучин, атӀ».
LUK.13.10	Ӏисайи киш ягъа Аллагьдин гаф ягӀар аркьай хьуная инсанарис са дуьгӀебур хура хулаъ. 
LUK.13.11	Тисаъ ахьуная гӀанаъ шейтӀан учӀуна, иттали цӀакас акьуна са дишагьли. ЦӀемуя ис хьуная гифас утун дуз акьуна, вартт гъайшас девей. 
LUK.13.12	Ге дишагьли агугуна, Ӏисайи учигьди унахъуна пуная гис:
LUK.13.12	– Вун сагъ хьуная.
LUK.13.13	Ӏисайи алихьуная ге дишагьлил гъилар, дишагьли гьеге сеӀетти дуз хьуна гъайшина, шукур акьуная Аллагьдис. 
LUK.13.14	ДуьгӀебур хура хулан хӀатти, хъел адина Ӏисайикес, Ги киш ягъа сагъ акьухӀела, пуная халкьдис:
LUK.13.14	– Кар акьас ерхьи ягъ ая. Гьете ягъари шаб чве итталар сагъ акьас, киш ягъа сагъ маркьа. 
LUK.13.15	Ӏисайи джуваб йиная гис:
LUK.13.15	– Ӏу сурат гӀаттар! Чвакес гьертти, хъатуна тӀунахъас е вец, е даги киш ягъа гъайду хьед ес? 
LUK.13.16	Ме дишагьли Ибригьиман тухумдиас э. ЦӀемуя истти шейтӀанди итӀуна уйи ме, гьал киш ягъ э пунегъай, ахттигьар аду, мис рехӀет акьуна, ме атас?
LUK.13.17	Ӏисайи гиштти пегуна, Ӏиса дакканттарис неч хьуная, ппай кӀилди халкь шатти ахьуная Ӏисайи аркьа адлу курарил.
LUK.13.18	Ӏисайи пуная:
LUK.13.18	– Фи суманф э Аллагьдин Паччагьвел? Фиттихъай фачикӀа Зун Ле? 
LUK.13.19	Аллагьдин Паччагьвел фачикӀас хьасе, инсанди учин багъди узу бицӀи кӀуранин тумунин удухъай. Ге уд кегъучӀуна, заварикк аккертӀадегьен кӀур хьуне. Ле кӀуранин куларигӀ завун нахширари чиппис мугар акьуне.
LUK.13.20	Ӏисайи сагелай сара пуная:
LUK.13.20	– Фиттихъай фачикӀа Зун Аллагьдин Паччагьвел? 
LUK.13.21	Ле дишагьли хьибу кӀватт гӀуригӀ гӀихьуна химир хӀисаб э. Са чукь химирилди кӀилди гӀур акефуруная.
LUK.13.22	Ӏиса вей хьуная Учин рекъди Ерусалимдиди шагьураригӀас, хӀураригӀас, ягӀар аркьай инсанарисра. 
LUK.13.23	Са инсанди хабар гъушуная Ӏисайифас:
LUK.13.23	– Е ХӀаф, са чукь инсанар дала ухӀастту Аллагьди?
LUK.13.23	Ӏисайи пуная халкьдис:
LUK.13.24	– Ачадес алучӀ исал раккариас, хъугъ Захъ, ацӀунаттар ачадес алучӀасе ге раккариас, амма хьасттава. 
LUK.13.25	Хулан эесси гъайшина ракк алакъугуна, чун раккан къабахъ илгванасе, чун раккахъ хъирхӀай ахьасе, агъай: «Е ХӀаф, дахъ час». Ли пасе чвас: «Зас ягӀайдава чун фушар ичира, нандиас ичира». 
LUK.13.26	Хуппай чун агъай ахьасе: «Чин вахъай Ӏелди ухай ай уйи. Вун час Аллагьдин гаф ягӀар аркьайи куьчабуриъ». 
LUK.13.27	Ппай Ли чвас пасе: «Зас ягӀайдава чун фушар ичира, нандиас ичира. Ях Загьас, джалла Ӏайвелар аркьаттар!» 
LUK.13.28	Чун Ӏешасе, силебар ругӀасе, чвас Ибригьимра, ИсхӀекьра, Якьубра, джалла пайгъамбарара Аллагьдин Паччагьвелдиъ агуна, чун лисаас адикугуна! 
LUK.13.29	Инсанар адесе дуьнйайин якьудар багварихъас, экьвасе маджлисин усттулихъ Аллагьдин Паччагьвелдиъ. 
LUK.13.30	Агьал кьабахъ хъаяттар, лисаъ удигь хьасе, агьал удигь гьаяттар, лисаъ къабахъ хьасе.
LUK.13.31	Те вахттуни са Ӏу фарисеяр адина пуная Ӏисайис:
LUK.13.31	– Вун ушуна ккандея мисаас. Ях, Иродас Вун кӀес ккандея.
LUK.13.32	Ӏисайи гебурис пуная:
LUK.13.32	– Ушуна уп те сулас: «Зун шейтӀанара адикасе, инсанара сагъ акьасе ягӀара, багагьра, хьибудпе ягъас Зун ккиркӀвасе Зе кар. 
LUK.13.33	Амма ягӀара, багагьра, сае ягъара Зун Зе рекъди ушуна ккандея, пайгъамбар луькӀеф Ерусалимдиъ идехӀела, сасра усаъ дава». 
LUK.13.34	Агь Ерусалим! Ерусалим, пайгъамбарар луькӀеф, училди гьикунаттарис гъвандинф аркьаф! Хьимугелай кканди уйи Зас кӀилди халкь Зе багуливди завал акьас, пеӀела учин чаркквар завал аркьаф суман учин хилариккди, амма чвас кканхьундава! 
LUK.13.35	Магьа Аллагьдин хал Ӏар хьуне! Зун чвас агъая, чвас Зун агвасттава, чун дапедегьен гагьди: «Бахттлу э Аллагь бадала Веяф!»
LUK.14.1	Сагелай киш ягъа Ӏиса адиная гуни ӀуьтӀанас фарисеярин хӀекиман хулади. Фарисеярин улар Ӏисайил алхьуная, Ги фиркьайчугас. 
LUK.14.2	Ӏисайигьди гьучадаркуна экьуна ахьуная иттали акетӀагӀуна инсан. 
LUK.14.3	Ӏисайи хабар гъушуная Ӏелимарифасна, фарисеярифас:
LUK.14.3	– Ахттигьар аяв сагъ акьас киш ягъа хъара аду?
LUK.14.4	Гебур буӀуная. Ӏисайи Учигьди гьучафайдина, сагъ акьуная иттаф, 
LUK.14.5	ппай гебурис пуная:
LUK.14.5	– Нагагь чве кӀиркӀ, я чве вец къуйдиъ архьухаб, гьеге сеӀетти аттивастту чун, киш ягъ ичира?
LUK.14.6	Гебурифас фера пас хьуна адава.
LUK.14.7	Ӏисайис агуна, гӀалашувари гьертти чиппис идже мукьвар фацанас алучӀаяф, ахъакьуная гебурис мисала:
LUK.14.8	– Нагагь вас маджлисилди унахъунахаб, идже мукь фамарцана, белекин валасра хӀуьлматлуйис унахъуна ахьури. 
LUK.14.9	Хулан эесси, ачадина, пасе вас: «Ле мукьуйил ме инсан экьурай!» Тегуна вас неч хьуна, ке ахиран мукьуйилди вес алчархьасе. 
LUK.14.10	Вас шаб пунагуна, ушуна экьве раккаригӀ гӀая мукьуйил, эесси гӀуларигьди аттегуна, вас пасе: «Дустт, гьара мич гӀайчӀуна экьве!» Тагьа тегуна вас сасра гӀуларин удигь алтухъ хӀуьлмат хьасе. 
LUK.14.11	Учис уч хӀайи аргваф, ахтт хьасе, уч бицӀи аргваф, вартт хьасе.
LUK.14.12	Хулан эессис Ӏисайи пуная:
LUK.14.12	– Вун вахъди абкьанттар я Ӏуьшанттар акьас хъаттгъарегуна, шаб магъа я дусттарис, я чуппарис, я багунттарис, я девлетлу къуншибурис. Гебурифас хаб вунна хъаттгъас агърукьасе, хаб ве пай хъатӀас. 
LUK.14.13	Шаб уп вахъди гӀеджизарис, хъурмутӀарис, Ӏаттеттарис, сукъурарис. 
LUK.14.14	Тагьа тегуна вафас вун бахттлу хӀисаб акьас хьасе. Гебурифас хаб вас фера иджвел акьас агърукьай адава, дехӀела вас Аллагьди есе иджвелин пай, Уч юркӀурал але инсанар джан керхьуна гъайши ягъа.
LUK.14.15	Гебур унихьугуна, са гӀалашува пуная Ӏисайис:
LUK.14.15	– Бахттлу э Аллагьдин Паччагьвелдиъ гуни Ӏеле инсан!
LUK.14.16	Ӏисайи пуная гис:
LUK.14.16	– Са инсанди шаб пуна ахьуная учихъди ацӀуна гӀуларис. 
LUK.14.17	Вахтт хъучадегуна, эесси гьикуная учин лукӀ унахъунаттарилди пас: «Шаб, че джалла хӀезурдея». 
LUK.14.18	Джаллабури, чӀал сад акьунаттари суман, гъил гъушен агъай хьуная. Садпетти пуная гис: «Зун ху гъушуная, зун хъуттурфанас ушуна ккандея тихъ. Гъил гъушен сара заалас». 
LUK.14.19	Ӏудпетти пуная: «Зун йицӀу вец гъушуная, гебурихъ хъуттурфуна кканде иджеттар ичугвас. Гъил гъушен сара заалас». 
LUK.14.20	Хьибудпетти пуная: «Зун хьир акьуная, зафас адес вей адава». 
LUK.14.21	ЛукӀу адина кӀилди пуная эессис. Тегуна хулан эесси хъел адина пуная лукӀус: «ТегӀди ях шагьурдин куьчабуригӀди, тураригӀди, завал акьуна гӀеджизар, хъурмутӀар, сукъурар, Ӏаттеттар, хъай шаб мич». 
LUK.14.22	ЛукӀу пуная эессис: «ХӀаф, вун зас буюрмиш акьу кар, зун акьуне, амма хъара Ӏаре мукьар аме». 
LUK.14.23	Эесси пуная учин лукӀус: «Ушуна шагьурдин къирагъарихъ хъая куьчабуриди, джалла вас гьучархьеттар, мич верегъилди акье, зе хал гӀулари ацӀас. 
LUK.14.24	Зун чвас агъая, те зун шаб пуна уйиттарикес, садра ахьасттава зе суфрайихъ!»
LUK.14.25	Ӏисайихъай вей хьуная ацӀуна инсанар. Алдаркуна, Ӏисайи пуная гебурис:
LUK.14.26	– Нагагь Заалди аде инсандис, Зун ппара дакканхаб дадалас, бабалас, хьиралас, шиниккварилас, чуппарилас, чиярилас, учин Ӏуьмурдилас, – тифас хьасттава Зе ученик хьас. 
LUK.14.27	Захъай вереттифас, хьасттава Зе ученик хьас Учин гӀезабарин къакъ дагъа хаб. 
LUK.14.28	Чвакес гьинас хьунара хӀа гьава къала алихьас ккандеячин, сагелай экьуна учин харджар хӀисаб акьастту ги, фидегьен ачевесичин къала алихьас. 
LUK.14.29	Хандагар ихьуна, аме курар гифас ккиркӀвас девеячин, джаллабур гил элхъенди ахьасе, 
LUK.14.30	агъай ахьасе: «Магьа ме, къала алихьуна ккиркӀвас дахьу инсан!» 
LUK.14.31	ДегӀви акьас вес кканди ая паччагьдира, сагелай экьуна фикир акьуна кканде, хьасичин учифас, учин йицӀу агъзур эскер хъай дегӀви акьас, сасра къа агъзур эскер хъай вея паччагьдихъай. 
LUK.14.32	Девехаб, паччагьди гьикасе учин вакилар маслихӀетар акьас те сасра паччагьдилди, те вархайи ами. 
LUK.14.33	Чун кӀилди чвахъ хъая шейъер ккандава дапедегьен гагьди, чвакес сайифасра хьасттава Зе ученик хьас.
LUK.14.34	– Кьел – идже шейъ э. Амма кьел кьеланди идилгухаб, фиштти э кьел хаб кьелан аркьаф? 
LUK.14.35	Тегуна кьел фиттисра герек дава, джилил алахъасра кехӀей. Ге фадархъа. ЮркӀв алийинаттарис, унихьурай!
LUK.15.1	Ӏисайил юркӀв алихьас завал вей хьуная кӀилди налукар завал аркьаттарна гунагьар кеяттар. 
LUK.15.2	Фарисеярина Ӏелимари, хъел вей, агъай хьуная:
LUK.15.2	– Ге инсанди гунагьар кеяттар кьабул аркьа, гунира кехӀей Ӏелди гебурихъай!
LUK.15.3	Тегуна Ӏисайи ахъакьуная гебурис мисала:
LUK.15.4	– Белекин, чвакес сайихъ верш хӀуб хъая. Гебурикес са хӀуб гулучин, атуна чӀирил ежчӀурна ерчӀу хӀубра, гулуна сайихъас руцастту ге, джикӀесттегьен? 
LUK.15.5	ДжикӀигуна, шатти алгъихьуна учин гӀунил хӀубра, 
LUK.15.6	весе ге хулади. Унахъуна дусттарисра, къуншибурисра, пасе ги: «Шад ухь захъай, зас зе гулуна хӀуб джикӀине!» 
LUK.15.7	Зун чвас агъая, гьегиштти заварилла шатти ахьасе са инсандихъас, нагагь ги учик тахсирар кеяф мутӀеӀ хьуна, учин гунагьар, учин гардандиъ гъушухаб, ежчӀурна ерчӀу гунагьар кидава инсандихъас дала.
LUK.15.8	– Магьа хъара мисала: Нагагь са дишагьлин йицӀу арсуран манатикес са манат гулухаб, кикӀуна лампара джикастту ги хал, руцай учин манат джикӀесттегьен? 
LUK.15.9	ДжикӀигуна, унахъуна къучмабурисра, къуншибурисра, пасе ги: «Шад ухь захъай, зас зе гулуна манат джикӀине!» 
LUK.15.10	Хъугъ Захъ, гьелиштти шад хьасе Аллагьдин малайикара, учик тахсирар кеяф мутӀеӀ хьуна, учин гунагьар учин гардандиъ гъушу са инандихъас.
LUK.15.11	Ӏисайи хъара ахъакьуная:
LUK.15.11	– Са инсандихъ хъахьуная Ӏу кӀиркӀ. 
LUK.15.12	БицӀи кӀиркӀа пуная дадас: «Е дад, нан ве девлетикес зас рукьа пай». Дадара пай акьуная девлет Ӏудар шиниккварис. 
LUK.15.13	Са Ӏу ягъалас бицӀи кӀиркӀа учин пай кӀилди масса йиная, фай пулла ушуная ге варха са хӀуькуматтиди. Тисаъ, кефунилди ешемиш вей, кӀилди учин аяттар хардж акьуная ги. 
LUK.15.14	Ги кӀилди хардж акьугуна, те хӀуькуматти ппара Ӏайи гаш архьуная, ге кӀиркӀ дарвелдиъ архьуная. 
LUK.15.15	Ушуная ге тисаъ ешемиш вея са инсандис кар акьас. Те инсанди гьикуная ге учин галуди ваккар ухӀас. 
LUK.15.16	Гашила луькӀей, ге рази ахьуная ваккарис ккерхъа хурар ӀуьтӀанас, сара фера адавай. 
LUK.15.17	КӀилиъ ачархьуна, пуная ги учи учис: «Фидегьен курар аркьа инсанар хъая зе дадахъ, тебурис фун ацӀасттегьен гуни ая, хъамилгвайра кехӀей э, ппай зун мисаъ гашила луькӀея! 
LUK.15.18	Ушуна зе дадалди, пасе зун: „Е дад, Аллагьдин удигьра, ве удигьра зак гунагьар кея. 
LUK.15.19	Ве кӀиркӀ э пас сара зун лайикьлу дава. Ве кар аркьа инсанаригӀди хьунара кьабул акье сара зун“».
LUK.15.20	Ге ушуная учин дадалди. Дадас вархайил алми димари агуна, Ӏегвал хьуная учин кӀиркӀ. Дад гьуккай гьучушуна, архьуна кӀиркӀан гардандиъ, мач икӀуная гис. 
LUK.15.21	КӀиркӀа пуная дадас: «Е дад, зун Аллагьдин удигьра, ве удигьра гунагьин курар акьуная. Ве кӀиркӀ э пас сара зун лайикьлу дава». 
LUK.15.22	Дада пуная учин лукӀарис: «ТегӀди файдина ке батӀар кунара аликӀ мил, гъилихъ тӀубулла хъикӀ мин, лекара аликӀ мил. 
LUK.15.23	Файдина, рукк идже кук урчра, ягӀа хьин Ӏелди ухай шадвел акьасе. 
LUK.15.24	Ме зе кӀиркӀ кӀина уйи, гьал джан керхьуне мик, ме гӀачагулунуйи, гьал джикӀине ме». Гебури ӀуьтӀуб ухуб акьуна шадвелар акьуная. 
LUK.15.25	Ппай хӀа кӀиркӀ ге вахттуни хуйиъ ахьуная. Тисаас адина, хулагьди гьучарукьагуна, макьамаринна лехъунарин ун унихьуная гис. 
LUK.15.26	Унахъуна са лукӀус, хабар гъушуная ги: «Фи э тисаъ аркьаяф?» 
LUK.15.27	ЛукӀу пуная гис: «Ве чу адиная, те сагъ саламатти адехӀела, ве дада идже кук урч руккуная». 
LUK.15.28	ХӀа ччуччус, Ӏайи хъел адина, хулади ачевесра кехӀей кканхьуна адава. Дада, аттина миннат акьуная гис, хулади ачашаб пуна. 
LUK.15.29	ХӀа кӀиркӀа пуная дадас: «Магьа хьиму ис э зун, ве лукӀ суман, кар аркьай, вун петтара аркьай, амма вун зас мудур хьунара ефттава, зе дусттарихъай ӀуьтӀуб ухуб акьас. 
LUK.15.30	Ппай ве ме кӀиркӀ адегуна, вун йина пайра кефунилди хардж акьуна, вун гис идже кук урч руккуная». 
LUK.15.31	Дада пуная гис: «Е зе кӀиркӀ, вун гьемишан захъай аяф э, кӀилди зе аяттар вас э. 
LUK.15.32	Вун шад хьуна кканеф э, ве чу кӀинуйи, гьал джан керхьуне, гӀачагулунуйи, гьал джикӀине».
LUK.16.1	Ӏисайи Учин ученикарис пуная:
LUK.16.1	– Са девлетлу эессихъ гин хулан хӀавел аркьа инсан хъахьуная. Эессис гӀерза акьуная, ве хулан хӀавелдиъ аятти, вун Ӏелди ккедихьая пуна. 
LUK.16.2	Эесси, унахъуна гис, пуная: «Фи э зас вахъас унихьаттар? Нан ве кардин хӀекь хӀисабра, сара вун хӀавел акьасттава». 
LUK.16.3	Тегуна хулан хӀавелдиъ аятти учи учикди пуная: «Гьал фиркьагьан зун? Кардилас зун алайкая. Ушуна къанавар рукӀас, зак яхӀ кидава, гъил ккедикӀуна пул тӀалаб акьас, зас нечтти э. 
LUK.16.4	Зас ягӀа фикьуна кканчин! Зун ме хулаас кардилас адикугуна, сасра инсанари чиппин хулади кьабул аркьагъилди акьуна кканде». 
LUK.16.5	Хулан хӀавелдиъ аятти унахъуная учин эессин бурджар кея инсанарис. Садпеттифас хабар гъушуная ги: «Фидегьен йина ккандея вун зе эессис?» 
LUK.16.6	«Верш маргай ччаман», – пуная ти. Хулан хӀавелдиъ аятти пуная: «Магьа вак кея бурдж ликӀина кӀедж, тегӀди экьуна ликӀен верш бахӀтин еринди гӀифцӀур бахӀти». 
LUK.16.7	Хаб джуьреттифас хабар гъушуная: «Ппай вун фидегьен э йина ккандеяф?» «Верш чувал кьваран», – пуная ти. Хулан хӀавелдиъ аятти пуная: «Магьа вак кея бурдж ликӀина кӀедж, вершан еринди, ликӀен якьукъад». 
LUK.16.8	Хулан хӀавелдиъ ая инсан нехӀекь ичира, эесси тегӀриф акьуная гин, гин кӀилиъ гишттин Ӏемал архьухӀела. Аллагьдин рекъуьъ ая инсанарифас дала, гьалдин дуьнйайи гишттин инсанарифас э чаб суман инсанарихъай Ӏемалин курар акьас вереф.
LUK.16.9	Зун чвас агъая, чве джилин девлетар хардж акье инсанарис кумакисра, дусттари хьасра. Чве джилин девлетар ккиркӀугуна, чун джанаттиъ кьабул акьасе. 
LUK.16.10	БицӀи кардис дугъри инсан, хӀа кардисра дугъри хьасе. БицӀи Ӏемал аркьатти, хӀа Ӏемалла акьасе. 
