MAT.1.1	Yomba i Yesus Krais
JHN.21.16	Pita di ikine endungwa, “Kaima, Yaglkande, ene pirkan etnga, ene pre na munduna pangwa.”
JHN.21.16	Ana Yesus di Saimon Pita tongwa, “Na sipsipna ene sugl wakai moglo.”
JHN.21.17	Ana aglke kordagl Yesus krapoglko ana suwota orkwa, “Saimon Pita, Jon wam, ene na pre mundun pamo?”
JHN.21.17	Pita kinde prukwa, sraglpre Yesus ka kra enge suwota yegl pogl ye tongwa, “Pita, ene na pre mundun kaima pamo?” Ana Pita ditongwa, “Yaglkande ene taragl prapra pirkan etnga, ipre ene pirkan etnga, na ene pre munduna kaima pangwa.”
JHN.21.17	Yesus di Pita tongwa, “Na sipsipna ene sugl wakai moglo. 
JHN.21.18	Na ka kaima ene diteinga, ene yagl gakmugl motnga enge, enene akekun ere kumagl de pandigl ana ta ena pitnara i ende enga, ba ene kindagl yenatnga enge ene ongun duglo simin yomba ta ene kumagl detendre ana dumo ta ene enakiratnara i auro yenaglkwa.” 
JHN.21.19	Yesus ka yegl dungwa, i Pita sraglmere ere gogltre ana God kangiye kande tenambuka ipre dungwa. Ana okuwo Yesus di Pita tongwa, “Na wimara ene mokonamugl wo.”
JHN.21.20	Pita kan akete kangwa ana disaipel ta Yesus wakai kangwa ikra ye umbrara mokonomugl ungwa, yagle ye okuna Pasova neingwa enge ye Yesus moglmara piuriye mina tengete mogltre ana ka yegl dungura, “Yaglkande, yomba ira ene ipi kunda ikine tenambe?” 
JHN.21.21	Pita yagl i kandre ana krapogl Yesus tongwa, “Yaglkande, yaglmo i sraglmere erambe?”
JHN.21.22	Yesus ka mongo di ikine endungwa, “Ye kor-mogl panambedi na pirmbo ana ye mogl panan na ende ikine unaglka, i ene sragl kanen pam? Na enaglmara ene mokonamugl wo.” 
JHN.21.23	Disaipel i goglkrambe dungwa, ka i waidi ende Yesus yombama tau meglmara ongwa. Ba Yesus eremogl disaipel i goglkrambiwo, yegl ta dikrukwa. Yesus yegl dungwa, “Ye kor-mogl panambedi na pirmbo ana ye mogl panan na ikine unaglka, i ene sragl wedi pitne?”
JHN.21.24	Ana disaipelmo i keunde taragl prapra erikwa ipre ye dungwa, ana pepa igle mina ye yene taragl i prapra bogl atne endungwa. Ana no pirkan ounga ye ka dungwa i kaima pangwa.
JHN.21.25	Yesus taragl tau merkinde ama orkwa, sragl i suwara suwarandi pepa mina beglmbi, ana na pirka makan koglkoglo pepa boraglkwa i ta kuno eran ake i-wankraglkwa kuno erekrambuka.
ACT.1.1	Tiopilas, Yesus kongun prapra mambuno bogl orkwa ya te ka beke tomere ikra na okuna kana pepa muno bogl teingra
ACT.1.2	ana ye Holi Spirit yombuglomo mina aposel pinde yungwa yomba kongun eraglmere dite moglko ana okuwo God eremogl ye auro yend heven ongwa. 
ACT.1.3	Ye gogl anduglkwa enge i mokomugl ye aposelma wagle meglmara taragl merkinde ere ana ye kor-molendi ombuno ditongwa, te aposel wagle Yesus kaningo ana God kingdom pre ka ditongwa. Ye sragl yegl ere ongo ande enge 40 orkwa. 
ACT.1.4	Ana ye wu suwara pi makaisi meglkwa enge Yesus ka yegl ditongwa, “Ene Jerusalem dumo kondokriyo. Na Nina sragl wakai tenagledi ka dipandiglkwa ikra na ene diteinga, ipre sugl molo. 
ACT.1.5	Okuna Jon nigl mina yomba baptais eretongwa, ba ene enge suwomta mogltre ana Holi Spirit mina baptais eraglmiwo.”
ACT.1.6	Ye makaisi meglko ana aposel wagle krapogl Yesus dipirkwa, “Yaglkande, ene enge erme Israel yomba yombutno te ikine endimin, ana no nono kingno ta wu pene pi no sugl morambo mo manambe?”
ACT.1.7	Yesus yegl ditongwa, “Sragl yegl plau dinambuka i na Nina yene yombuglomo mina pangwa. Enge aunake i wu plau dinambuka i ene pirkan eraglkwa tamanga. 
ACT.1.8	Ba Holi Spirit ende ene mina unambuka enge, ene yombutno indre ana na kanna mambuno Jerusalem dindre, Judia dindre, Samaria dindre ana makan uglo koglkoglo kawaiye ere diwaidi enaglkwa.”
ACT.1.9	Yesus ka i dikondungo, okuwo ye kanmeglko ongumutno-mugl ye ende heven ongwa. Yesus ende egli ongo ana kamun kua kruwo wu Yesus were isuna endungo ana aposel wagle aglkekor ta kankrikwa.
ACT.1.10	Ana ye aimande kanimbo Yesus omara kamun kua mitna ende meglko, yagl suwo gagl kruwo endimbrika oglandi ye meglmara bina kra andigl mogltre, 
ACT.1.11	ana yegl dimbrika, “Galili yomba! Sragl orko ene igle aimande andigl mogl kan mitna kamun kua mina ende meglme? Yesus erme ene kindekondo ende heven ongo kanigwa, ana okuwo omere yeglmere ye ikine unambuka.”
ACT.1.12	Ana aposel wagle Olip Kamun Muglo kondo ende ikine Jerusalem eingwa. Olip Muglo konbauna ende Jerusalem suna eingwa i magl kaima yongwa.
ACT.1.13	Ye ende siti suna pindre, ana ye ende yungu kula mitna imbo ta yomara pi meglkwa. Ye kangino yegl Pita, Jon, Jems ya Andru, Pilip ya Tomas, Batolomiu ya Matyu, te Jems Alfias wam, Saimon Selot yungu ombuno mina ta moglkwa te Judas ye Jems wam. 
ACT.1.14	Ye prapra nomano suwara yei makaisi kamange eremeglko ana Yesus mam Maria yongo te ambu tau ya Yesus angiglma wagle ama akepledi kamange erimara meglkwa.
ACT.1.15	Enge suwomta endongo yomba 120 mereyegl Yesus pirngi dingwa umakaisi meglmara ana Pita suna andigl mogltre yegl dungwa, 
ACT.1.16	“Angrima wagle! Judas eremogl yomba auro ipi Yesus moglmara ombunodi tenan sikane sinaglkwa i kamo Holi Spirit akeple dungo Devit kamambuno pepa mina okuna muno boglkwa i kaima pai inambuka. 
ACT.1.17	Judas ye nono epitno mina ta moglkwa, sraglpre, ye ama nono kongun orumnara i ye erambedi pre Yesus pinde yungura.”
ACT.1.18	(Yombamo Judas mambuno kinde ere moni topo yungwa ikra ipi makan ta topo ormara igle pi ye yange mangi dungo, dane bla dungo ana demkane yange makanmo igle sungo ye goglkwa. 
ACT.1.19	Ana Jerusalem yomba prapra orkwa i pirkan erikwa enge, ye dumomo i kangiye yene kanno mina, “Akeldama” we dingwa i mambuno yegl, Bormai Makan.)
ACT.1.20	Pita yegl dungwa, “Kamo ipre Buk Song mina beglko pangwa,
ACT.1.20	“‘I yegl ye yungumo
ACT.1.20	poyenan yomba suwarata yungugl moglkraglkwa.’
ACT.1.20	Te Buk Song ta mina ama yegl beglko pangwa,
ACT.1.20	“‘Ye kongunmo i yomba pereta inambuka.’
ACT.1.21	Yeglpre erme nono yomba ta inamga i ye nono Yaglkande Yesus bogl wanmounara akiye engenge wan-wan erikwa yomba ikra suwarata inamga. 
ACT.1.22	Yombamo i ye Jon eremogl baptais yomba eretongwa engemo i yei ende wu Yesus ende heven ongwa enge i ye suna akiye mogl pirkan orkwa yomba, i suwarata pinde yumun kade Yesus gogltre andigl ukor ongwa kamo i kawaiye ere boglo kurambuka!”
ACT.1.23	Ana Pita yegl dungo, ye yomba suwo i-pene endingwa: Yagl ta Josep (ye Barsabas we dingwa te kangiye ta Jastus), ana yagl ta kangiye Matias. 
ACT.1.24	Ana ye kamange yegl erikwa, “Yaglkande, yomba nomano suna i ene pirkan etnga, ipre yagl suwo i mina ira i-pendigl endinga i no ombuno dinotn, 
ACT.1.25	ana ye eremogl Judas angaimo kondo endumara ikra indre ana ye aposel kongun erambuka.” 
ACT.1.26	Ana yagl suwo ikra mina suwarata inamunedi pre, satu singo, ana satu yange Matias moglmara sungo ana aposel 11 meglmara ye isuna endingwa.
ACT.2.1	Pentikos enge yongo
ACT.2.2	Tambre kaima kamun mitna imbo mu ta dungwa, i ir kande mangumere yeglmere mange ende atne undre, ana ye yungugl ta amedi meglmara i sikausi kondungwa. 
ACT.2.3	Ana ye kanigwa, endi donga drambiye mereyegl undre yumbusi ende wu perepere pi ye suwarandi meglmara bitno mina tembe bauglo ere pangwa. 
ACT.2.4	Ana Holi Spirit ye prapra sikausi tongo, ye mambuno bogl ka kanekane dingwa i Holi Spirit dinaglmedi ormere yomba ka di menda endingwa.
ACT.2.5	Enge igle Juda yomba tau Jerusalem meglkwa, i ye God dembiye siteingwa yomba, ye dumo bange bange meglkwa wu makai singwa. 
ACT.2.6	Mundungwa ikra yomba merkinde pirtre ye wu makai sindre ana kinano yei pirngi dingwa yomba ka dingwa i pirtre ye waikiglkwa. Sraglpre, yomba i suwarandi ye yene kanno mina nunguno embriye dingo ye pirkwa. 
ACT.2.7	Ana yomba nangino kogl keglango ere yegl dingwa, “Yomba ka dimeglkwa i prapra Galili yomba moglkrim kana? 
ACT.2.8	Ana i sraglmere orko nono suwarandi kanno perepere pamere ikra dimeglko nono prumune? 
ACT.2.9	Ana nono kantri Patia ya, Midian ya te Elam; te nono distrik Mesopotemia ya Judia; te provins Kapadosia ya, Pontas ya te Esia yomba nono igle mounga. 
ACT.2.10	Te distrik Prigia ya, Pamfilia ya te kantri Isip; te distrik Libia yomba tau ye Sairini kamun mangigl meglkwa, ana nono Rom yomba tau ama wu suna igle mounga. 
ACT.2.11	Nono Juda yomba ya te yomba tau Juda yomba mambunono pamere duglo beglkwa yeingo, ana tau ailan Krit ya te distrik Arabia yomba, nono prapra punga; i God kongunmo giglendi orkwa i kamo ye nono kanno pamere-pamere kuno ere dingwa.” 
ACT.2.12	Ana ye prapra sipuglodi nomano suwo suwo yei yene mina krapeglkwa, “Taragl erikwa i sragl mambuno pamda?”
ACT.2.13	Ba yomba tau bakagl gaugl eretendre yegl dingwa, “Ye wain kor nuglo merkinde nendre ana du erikwa.”
ACT.2.14	Ana Aposel 11 wagle bogl Pita akiye andigl meglko ana ye mambuno ere ka kande di yomba merkinde meglkwa i yegl ditongwa, “Ene Juda yomba ya te yomba wu Jerusalem suna meglkwa, na taragl i mambuno ditenaglka, i ene wakai ere pirpogl siyo. 
ACT.2.15	Yomba magl meglkwa i ye wain gigle dungwa nendre, ana du erimedi ene pirkwa, ba tamanga. Erme tangina kinde ande kuiya 9 klok orkwa.
ACT.2.16	Taragl orkwa i okuna propet Joel dumere erme wu plau dungwa,
ACT.2.17	“‘God yegl dungwa,
ACT.2.17	Enge dundinagledi mangigl
ACT.2.17	eran na taragl yegl eraglka,
ACT.2.17	na Spiritna toindi yagl ambu prapra mina endinaglka.
ACT.2.17	Ene wano ya amburo propet
ACT.2.17	mereyegl ere na kanna
ACT.2.17	dinaglkwa, ene nangro yagl
ACT.2.17	gakmugl wagle ama sragl
ACT.2.17	ongumutno-mugl eran
ACT.2.17	kanaglkwa, ana ene neno
ACT.2.17	kindagl wagle ye uglkumbu kanaglkwa.
ACT.2.18	Ana enge igle na Spiritna
ACT.2.18	toindi konguna yagl ambu
ACT.2.18	mina akiye endimbo, ana ye
ACT.2.18	propet mereyegl mogltre na kanna dinaglkwa.
ACT.2.19	Kamun kua mitna imbo
ACT.2.19	na kimagl kanekane erimbo,
ACT.2.19	te makandle igle diu gaglebogl
ACT.2.19	plau dinambuka, ana bormai
ACT.2.19	ya endi donga te endi inge kande plau dinan,
ACT.2.20	ana ande akemim eran
ACT.2.20	te ba akegogl ere wu
ACT.2.20	bormai koglo enambuka,
ACT.2.20	taragl yegl eran, okuwo
ACT.2.20	Yaglkande unambuka engemo
ACT.2.20	kande ya te ambuglangemo i plau dinambuka.
ACT.2.21	Ana taragl yegl erambuka
ACT.2.21	enge, yomba ta Yaglkande
ACT.2.21	wedi kangiye dagl
ACT.2.21	morambuka, i God ere-inambuka.’
ACT.2.22	“Israel yomba, na ka dina erika i ene kinano yei piryo! Yesus Nasaret nem, ye mina God yombuglomo tongo ana ye kongun giglendi ya kimagl kanekane ya diu ene meglmara suna orkwa i enene prapra kanigura. I God diendungo ye ume dinaglmedi pre yegl orkwa. 
ACT.2.23	God yene kamkand eragledi di panduglmara pre ana yagl i tekoglo ene mina endungo ana yomba kinde akeple dingo ene ye ipi endi-prak mina buglo-nil si pandiglkwa. 
ACT.2.24	Ye goglkwa, ba God ikor endungwa, te ye giu kanekane indre goglkwa i God ikorugl endungwa. Sraglpre, geglkwa mambunomo i yombuglomo ta panan Yesus ake morambuka ta kuno erekrukwa. 
ACT.2.25	Devit okuna ye pre yegl dungwa:
ACT.2.25	“‘Na kaninga, Yaglkande
ACT.2.25	engenge na moglmara
ACT.2.25	gumanamugl moglkwa.
ACT.2.25	Sraglpre, ye na onguna wokra
ACT.2.25	moglkwa, ipre na kundugl ta goglkraglka.
ACT.2.26	Ipre na munduna argan
ACT.2.26	orko gunyei ka wakai dinga,
ACT.2.26	ombugl na okuwo wakai
ACT.2.26	moglpai eraglka ipre poglodi pir sugl moraglka.
ACT.2.27	Sraglpre, ene na kanwinge
ACT.2.27	etn giglpene ta pai moglkraglka, te ene Yomban Holi
ACT.2.27	Moglkwa Suwara i ta
ACT.2.27	kanwinge etn nangiye giglpene ta buglkrambuka.
ACT.2.28	Ene kor-meglkwa konbo
ACT.2.28	i na ombunodi natnga, ene
ACT.2.28	mambutn mina na gun yenaglka i sikausi naratnga.’
ACT.2.29	“Angrima wagle, nono kowano King Devit ikra pre na kundugl goglkre dipene ende ene tenaglka. Ye goglko maugl singwa, ana ye giglmo pene erme nono mounara yei pangwa. 
ACT.2.30	Ye propet ta moglkwa, ana taragl okuwo ta panambuka ipre God kaima ka dipandigl Devit tongo ye pirkan orkwa. God yegl dungwa, ‘Okuwo king Devit gawan ta morambuka, ye usuglosi ene king motnere yegl morambuka.’ 
ACT.2.31	God taragl erambuka i Devit kan kondungwa, te Mesaia
ACT.2.32	God eremogl Yesus goglko ikor endungwa, ana no taragl orkwa i kaima kamga pre no ka i dinongugl endumga. 
ACT.2.33	Yesus ukor pindre ana ende heven pi God ongo wokra moglkwa. Ana ye Nem okuna Holi Spirit tenagledi ka dipandigl dungo pamara pre ye Nem mina indre ana erme toindi no mina endungo, ana Holi Spirit i yombuglomo ene pirtre kandre erikwa. 
ACT.2.34	Ana Devit ye ende heven ta pikrukwa. Ba ye yegl dungwa,
ACT.2.34	“‘Yaglkande ka yegl di
ACT.2.34	na Yaglkandena tongwa:
ACT.2.34	“Na onguna wokra igle ene amedi moglo.
ACT.2.35	Ene igle mogl emin ana na
ACT.2.35	kundan ikine yendimbo katn mina atnekra moraglkwa.” ’
ACT.2.36	“Yeglpre, ene Israel yomba prapra piryo, yaglmo Yesus ene ipi endi-prak mina sigeglkwa ikra, God erme ere endungo ye Yaglkande ya Mesaia akiye moglkwa!”
ACT.2.37	Ana yomba ka yegl dungwa pirtre ye deno munduno yumbun dongo ana ye krapogl Pita ya aposel tau teingwa, “Angrima wagle, no sragl eramne?”
ACT.2.38	Ana Pita yegl ditongwa, “Ene suwara suwarandi nomano yake tendre ana Yesus Krais kangiye mina baptais erimbi ana God ene tandaglmeno koko endinambuka. Yegl erimbi God munduwo argan pre Holi Spirit yoko tenan ene inaglkwa. 
ACT.2.39	God okuna Holi Spirit tenagle dipanduglkwa ikra ene ya, nangro ya te yomba koglkoglo meglkwa i prapra Yaglkande, no Godno aglendi inambuka yomba ana Holi Spirit tenambuka.”
ACT.2.40	Pita ka tau giglendi merkinde dungwa, ba yomba bitno-kano ake ka yegl dungwa, “Ene kanpogl siyo. Aglau eran yomba mambuno kinde erikwa bogl ene akiye yumbun i-dinaglmiwa, ene ende eglke wiyo.” 
ACT.2.41	Ana Pita ka dungwa i pirngi dingwa keunde ye baptais eriko ana ande enge igle yomba nambano 3,000 mereyegl wu ye mina ainingwa.
ACT.2.42	Ana aposel wagle ka beke nerimbi piramnedi ye enge mere yombuglo ere prapra wu makaisi kaiya mokna ya bret bukondi nendre ana nomano suwara yei kamange erikwa.
ACT.2.43	Ana aposel wagle kamambuno dimara i God kimagl kanekane orko ana yomba prapra kandre nomano mina kundugl geglkwa. 
ACT.2.44	Ana yomba Krais wedi pirngi dingwa ye prapra makaisi mogltre ana sragl kanekane ta kan neingwa imakaisi yumbusi ere neingwa. 
ACT.2.45	Ye makano ya taragl kanekane ake-neingwa ipi topo bogl indre ana monimo i yene mina ya te taragl paitekrukwa yomba bogl kokunkuno yumbusi ingwa. 
ACT.2.46	Ye God holi yungumo mina togl sunakra engenge wu makai singwa. Te yene yunguno mina bret diure nendre ana nomano argan orko gun yeingwa. 
ACT.2.47	Pirngi dingwa yomba God dembiye siteingwa ana yomba prapra munduno argan orko gun yeingwa. Ana Yaglkande engenge pirngi dingwa yomba kor isuna endungo, pirngi dingwa nambano wu kande ongwa.
ACT.3.1	Enge suwarata 3 klok orkwa kamun pokndungo, kamange ere-ere erikwa enge yongo, ana Pita ya Jon ende God holi yungumo mina embrika. 
ACT.3.2	Ana togl dra ta igle yongwa i kangiye ‘Wakai-yene’ we dingwa. Ana yagl ta mam kugl yomara kagle siyungwa, yomba engenge yaglmo i bagl yombugl ipi endingo togl dra mina igle paimogl ana yomba ende God holi yungumo mina enamunedi eingwa i ye moni pre yana di-di orkwa. 
ACT.3.3	Yaglmo i kango Pita ya Jon ende suna enambugledi euriko, ana ye krapogl tendre moni ta nartro dungwa. 
ACT.3.4	Ba Pita ya Jon toro mendigl pandigl kan ye moglmara endimbriko ana Pita yegl ditongwa, “Ene no kano!” 
ACT.3.5	Yegl dungo ana taragl ta tembir ye inagledi pre kan ye miurara endungwa.
ACT.3.6	Ba Pita yegl ditongwa, “Na moni kaima ta paikrukwa, ba taragl ta i-waninga i ene tenaglka; i Yesus Krais Nasaret nem kangiye mina na ka dinga, ene andigl ana konbo endpo!” 
ACT.3.7	Ana Pita eremogl yaglmo andrambedi pre ongo wokra akindre akepledi tongwa. Ana oglandi yene yaglmo kagle ya te goglko gigle dungwa. 
ACT.3.8	Ye puglondi andigltre ana konbauna mambuno ere pindre, ana ye Pita ya Jon bogl akiye ende God holi yungumo togl suna eingo ye konbo wan winambo dindre, puglo giandi ana God dembiye karaugl eretongwa. 
ACT.3.9	Te yomba prapra igle meglkwa ikra kanigwa yaglmo konbo wopindre ana God dembiye karaugl eretongwa, 
ACT.3.10	ana yomba kanpogl singwa yagl i togl dra “Wakai-yene” we dimara igle amedi mogltre ana taragl yana di-di orkwa yaglmo ikra, ye kagle wu wakai ongo ana yomba kandre sipuglodi keglango erikwa.
ACT.3.11	Yaglmo i eremogl Pita ya Jon embirara ake budi pango ende Solomon weradamo we dimara igle eingo, ana yomba merkinde i kandre sipuglodi ana mukundi ende ye meglmara wingwa. 
ACT.3.12	Pita eremogl yomba i kandre ka yegl ditongwa, “Israel yomba, ene sraglpre taragl orkwa ipre pir yumbun deme? Ene sraglpre no suwo toro ningadi kanime? Ene pirkwa no nono yomburo mina mo God ongumuglo mina no wakai mogltre ana yagl i erewakai eretembriko konbauna wanmedi pirim kana? Tamanga. 
ACT.3.13	Abraham ya Aisak ya Jekop Godno, te ama nono kowano ye Godno, ye kongunmo yomba Yesus kangiye kande dembiyesi mitna ende tongwa. Ana yaglmo i sigoraglmedi pre ene mokono tendre yomba kande wagle teingo, ana Pailat ka-tange sigoglkraglme dungwa. Ba Pailat dungwa i ene mane dindre sigolo dingwa. 
ACT.3.14	Yombamo ye Holi mogltre te ama du-yene moglkwa, ba okuna ene eremogl ye wedi pirkre mokono tendre ana ene yagl ta yomba sigogl kane pangwa ikra imenda ende norambedi pre krapogl Pailat teingwa. 
ACT.3.15	Ba ye kor aimande mogl enamga i-nongugl ende norkwa ikra ene sigeglkwa. Ba ye gogl pango ana God ikor endungwa, i no ongumutno mina kaima kambuglka pre kamo dumbuglka. 
ACT.3.16	Ye kangiye mina yombuglo tongo yagl moglkwa suglo kagle wakai orkwa. Ana yagle ye ene pirkan erikwa, i no Yesus kangiye pirngi dumbuglka pre taragl i plau dungwa, te no ombugl Yesus wedi pirngi dumbuglara igle yagl kagle siyungwa ikra wakai orko ene prapra kanigwa.
ACT.3.17	“Angrima wagle, na erme pirkan erika, ene yombano kande bogl mambuno kaima pir pogl sikre Yesus erekinde ereteingwa. 
ACT.3.18	Ba God Mesaiamo giu yegl gogl gorambuka ipre okuna imbo propet wagle drano mina God ka-dem dungwa ikra paiyungwa. 
ACT.3.19	Ipre ene erme nomano yake tendre ende ikine God mina wimbi, ana ene tandaglmeno ye koko ende tenambuka. 
ACT.3.20	Ene yegl erimbi ana Spirit ene nomano sikor endinambuka engemo i Yaglkande mina unambuka, te ye ombugl Yesus diendinambuka, ye Mesaia, i Yaglkande ene pre kamkand pinde i-pere endungwa. 
ACT.3.21	Ye heven mogl panan ana God taragl prapra ere-ikor endinambuka engemo yenambuka, i okuna imbo ye propetma holi wagle ka i drano mina yongo ka dipandiglmere. 
ACT.3.22	Sraglpre, Moses ka yegl dungwa, ‘Yaglkande ene Godno, enene yombano i mina ye propet ta na mereyegl i-nongugl ende tenambuka. Ye ka prapra ditenambuka i ene piraglkwa. 
ACT.3.23	Ana yomba ta propet i kamo pirkraglkwa ye God siderwagl baruwagl eran ana God yombamo i mina suna moglkraglkwa.’
ACT.3.24	“Kaima yene propet okuna meglkwa ye God kamo dingwa, i Samuel mina mambuno bogl ende wu propet tau mokomugl wingwa, ye prapra taragl erme plau dungwa ipre kamo dem okuna dipandiglkwa. 
ACT.3.25	Propet okuna mogl-wingwa ikra ye gawano ene meglkwa, te ene yagl awano God bogl nomano suwara yei digi dingwa. Ana God kontrak digidi yagl awano tomara igle ama ene meglkwa. God ka yegl di Abraham tongwa, ‘Ene nangitn ya gawan mina ipre ere makandle yomba prapra akepledi erewakai eretenaglka.’
ACT.3.26	Ana God nigl-kongunmo yomba ta i-pendigl ende ana diendungo wu ene meglmara komnaiye moglkwa, i ye erewakai ere ene tendre te suwara suwarandi akeple ditenan ana tandaglme kinde kanekane erikwa i mokono te kondinaglkwa.”
ACT.4.1	Pita ya Jon ka di yomba te meurko ana pris wagle ya God holi yungumo mina kimbirnem sugl meglkwa yombano kande ya te Sadyusi wagle wu ye miurara wingwa.
ACT.4.2	Ana aposel suwo ikra Yesus gogl pai andigl ukor ongwa ya te yomba geglkwa andraglkwa ipre ka bekete miurko, ana yomba wingwa ikra ka i pirtre ye deno kumbrukwa. 
ACT.4.3	Ana yomba kande wagle Pita ya Jon sikane singwa ba mim pai kondungwa pre ana tangina kot eretenamnedi pre ipi kane yungu endingwa. 
ACT.4.4	Ba ye ka dimbriko pirkwa yomba i merkinde Yesus pre pirngi dingo ana yomba nambano ende mitna pi 5 tausen ongwa.
ACT.4.5	Ana kamun tangungo Juda yomba kande wagle ya, kamambuno mina ende okuna eingwa yomba ya, te lo beke teingwa yomba ye Jerusalem makai singwa.
ACT.4.6	Ana pris kande Anas ya, Kaiapas ya, Jon ya, Aleksanda te pris kande epiglma wagle tau ye ama akiye makai singwa. 
ACT.4.7	Ana ye eremogl Pita ya Jon ipi endingo gumanomugl andigl miurko ana krapogl teingwa, “Ene sragl yombuglo mina mo ira kangiye mina ene taragl i eure?”
ACT.4.8	Ana Pita nomano suna Holi Spirit kausi moglko, ye ana ka yegl di ikine endungwa, “Israel yomba kande wagle ya ene ende okuna eingwa yomba, 
ACT.4.9	no taragl wakai ere yagl kagle siyungwa tombuglka ipre erme ene ye srambre ere wu wakai ome dindre ana ene krapogl no nerikwa. 
ACT.4.10	Yeglpre, ene ya Israel yomba prapra piryo, Yesus Krais Nasaret kamun nem ene endi-prak mina sigeglkwa ba God ikor endungwa; ana ye kangiye mina yagl kagle siyungwa ikra wu wakai ongo, ana erme ene gumanomugl mangigl andigl moglkwa iwe.
ACT.4.11	Ana Yesus pre kamambuno pepa mina yegl beglko pangwa,
ACT.4.11	“‘Ana ene yungu keingwa
ACT.4.11	yomba kombuglo i kinde
ACT.4.11	wedi imenda endingwa,
ACT.4.11	ba kombuglomo i erme
ACT.4.11	kauglange giglendi kaima pangwa.’
ACT.4.12	Yomba suwarata ye nono ere-inambuka i kuno ta erekrukwa. Yesus suwara kangiye mina makan yomba koglkoglo prapra ere-inambuka pre God diendungwa.”
ACT.4.13	Yomba kande wagle kanigwa Pita ya Jon ka giglendi dimbriko ana ye sipuglo dingwa. Sraglpre, ye skul kande ta dikrimbrika, ye yagl yoko suwo. Ba ye pirkwa yagl suwo i okuna Yesus bogl akiye tapsi waningwa. 
ACT.4.14	Yombamo kande wagle ka ta di Pita ya Jon tenaglkwa mere manga. Sraglpre, ye kanigwa yagl kagle wakai orkwa ikra yagl suwo bogl akiye igle andigl meglkwa. 
ACT.4.15	Ana yomba kande eremogl yagl suwo kaunsol yungu kondo ende menda piro diteingo ana yagl suwo endimbriko, ye yene ka-tange dingwa, 
ACT.4.16	“Nono sragl ere yagl suwo i tenamne? Jerusalem suna yomba meglkwa i prapra ye kimagl kaneta eurika i kan-kondingwa. Ipre nono ta di uglmange eramga manga. 
ACT.4.17	Ba ka i waidi ende yomba prapra mina pi dinambiwa, ipre nono manedi ye tomun, ana ye eremogl Yesus kangiye aglketa dagl yomba tekrambrika.”
ACT.4.18	Ana ye agle dingo yagl suwo ende ikine yungugl wimbriko ana yegl diteingwa, “Ene Yesus kangiye aglke kaima ta dagl yomba dite bekete erekritro.” 
ACT.4.19	Ba Pita ya Jon ye ka yegl di ikine ende tembrika, “Enene pirkan ere yumbu wakai siyo, no God kamo kindekondo, ene dimere ombugl ana God ongumuglo mina i kuno erambo? 
ACT.4.20	Ana no ka i ta aketorwa erambuglka paikrukwa. Sraglpre, no nono ka i pirtre te kandre ouglka pre i pradipene endinambuglka pangwa.”
ACT.4.21	Yeglpre kaunsol wagle ye ka giglendi kaima tau ditembi ende tendre ana ye diendingo endimbrika. Ye konbauna ta doko kan sikane sinaglkwa i ta kan ikrikwa, sraglpre, yomba prapra taragl erimbriko kanigwa ikra-pre God dembiye siteingwa. 
ACT.4.22	Ana yagl kagle siyungwa ye kimagl ere tembriko ye argan orkwa. Ana yaglmo i buglayungu 40 nongwa.
ACT.4.23	Pita ya Jon kaunsol wagle ende menda piro dingo, ye tambre kana ende ikine pi yombano pirngi dingwa meglmara pindre ana ende okuna eingwa yomba ya pris kande wagle ka dimere i ye boglo kugl ditembrika. 
ACT.4.24	Dimbriko ye pirtre ana ye prapra nomano suwara yei kamange yegl ere God teingwa, “Yaglkande, ene heven mitna ya makandle ya mundi nigl ya te taragl prapra suna paingwa i ene ereyenga. 
ACT.4.25	Okuna imbo ene nigl kongunen yomba Devit, no yagl awano kra, Holi Spirit mina ene ka i teingo ana ye ka yegl dungwa,
ACT.4.25	“‘Sraglpre kamambuno
ACT.4.25	kiurikwa yomba deno ningadi
ACT.4.25	kumbrime? Te sraglpre yomba
ACT.4.25	tau ama kayoko kanekane di kogl dime?
ACT.4.26	Makandle king wagle
ACT.4.26	kunda eramnedi akekun eriko,
ACT.4.26	te yomba kande wagle wu
ACT.4.26	suwara pindre kunda gagl
ACT.4.26	Yaglkande tendre ombugl Mesaiamo tendre erikwa.’
ACT.4.27	I kaima, Herot ya Pontias Pailat yembriko te kamambuno kiurikwa yomba ya Israel yomba yeingo, ye prapra siti igle wu suwara pindre ana Yesus sinamnedi kundamo kande gaglkwa, ye ene kongun yomba holi, enene pinde inga, ye yomba ere-inambuka. 
ACT.4.28	Te ene okuna yombutn mina taragl yegl plau dinambedi dipanditnara ikra plau dungo ana ye wu suwara pindre taragl yegl erikwa iwe.
ACT.4.29	“Ana erme we, Yaglkande, ye no sinamne dingwa i ene pirtre ana no nigl-kongun yomba akeple dimin no pir-oglmba sindre ana kamambuno giglendi dinamuniwo. 
ACT.4.30	Te ene ongun duglo si yomba kinde sungwa mina yemin ye sikor yembi ana ene kimagl kanekane plau dinambuka i ene nigl-kongun yomba holi Yesus Krais kangiye mina eratnga.”
ACT.4.31	Ye kamange erekondingo, ye yungu ta yungugl makaisi meglmara igle pingakar dungo, ana ye prapra Holi Spirit sikausi tongo ana ye mambuno bogl God kamo giglendi dindre kundugl goglkrikwa.
