GEN.1.1	Deusũ nai inũ mai dami wakĩ eska wakĩ taewanikiaki. 
PSA.22.6	Hakia earã, ẽ huni hawamahaira ẽ shena keska bestiki.
PSA.22.6	Yurabũ ea usaĩburã, tsuãra ea uĩ eki kashekanikiki.
PSA.22.7	Habũ ea uĩtã ea usaĩ
PSA.22.7	shetxua eki buri buri imisbuki,
PSA.22.8	ekiri yuikĩ: “Ha huninã, Senhor Deus ikũwãkĩ txibãmiski.
PSA.22.8	Hau ha hushũ merabewayunũwẽ,
PSA.22.8	ha betxipaihairaiwẽ taeshunã”, imisbuki.
PSA.22.9	Txanima ẽ ewã bake nãti anua ea kaĩmatã
PSA.22.9	ẽ ewã txutxu amakĩ hanu mĩ ea huĩrukũmakubainiki.
PSA.22.10	Ẽ ibu anua ẽ kaĩriamatiã ea mekekĩ mĩ taewaniki.
PSA.22.10	Ẽ ibuã pustu meranua mĩ ẽ Deus ini heneama mia besti mĩ ipakeaii.
PSA.22.11	Natiã hawãra ea bika tenemaitũ detekĩ ea keshekẽ
PSA.22.11	tsua betsã ea merabewatiru ẽ hayamaki.
PSA.22.11	Haskawẽ taea txai ea dapashkabaĩyamawe.
PSA.22.12	Ina awa bene pubẽ keskakĩ
PSA.22.12	eki sinataibũ ea kenebaunabuki,
PSA.22.12	mae Basã anua ina awa bene pubẽ keshenameabu keskarã.
PSA.22.13	Inu betsa leão pubẽ tekerẽ tekerẽ iki
PSA.22.13	pĩtsi keskai hashpabirã eki niri ikaibu keskabuki,
PSA.22.13	ea atxinũ ika eki sinataiburã.
PSA.22.14	Bika tenei kushipa hayama ẽ ũpash hukua keskaki.
PSA.22.14	Pashati hayama ẽ shau tseke tsekepa keska ẽ hani katirumaki.
PSA.22.14	Hawa benimawati hayama ẽ huĩti nishma ẽ bĩ menui tuis tuis ikai keskaki.
PSA.22.15	Ẽ hiwea babui ẽ kushipa beshmasi ẽ hashpa mai kẽti tuash keska tsusiãki.
PSA.22.15	Ũpash manui ẽ hana tashkai ẽ hashakaki tsamiaki.
PSA.22.15	Ẽ ma mawa ea akawakĩ mai kuru anu mĩ ea putabainaki.
PSA.22.16	Huni txakabubũ ma ea keshe keyuabuki,
PSA.22.16	kamã eki shuku dakabiranai keskakinã.
PSA.22.16	Habũ ẽ mekẽ inũ ẽ tae ma ea shui keshtuabuki.
PSA.22.17	Ẽ shau tibi uĩkĩ ẽ tanatiruki.
PSA.22.17	Eki sinataibũ beri ikama ea uĩ heneisbumaki.
PSA.22.18	Ẽ tari habũ besti pashkakĩ hawẽ hamapai unãti shau meshte númeroya dabewẽ maemamanãtã bikanikiki.
PSA.22.19	Hakia miarã, Senhor Deusuũ, mĩ ẽ kushipaki.
PSA.22.19	Ea henebainama hawairakirã ea merabewai huriwe.
PSA.22.20	Matxatu txaipa kenu dabewẽ ẽ mawayamanũ hatu nemawe.
PSA.22.20	Ha kamãbũ hau ea tenãyamanũbũ hatu ea nemashũriawe.
PSA.22.21	Ha inũ, ha inu betsa leão hashpa keskabũ hau ea piyamanũbũ ea nemashũkĩ ea pashawawe.
PSA.22.21	Awa bene pubẽ mashũyã keskabu ea hatu nemashũriawe.
PSA.22.22	Mĩ kushipakiri ẽ betsabu ẽ hatu hãtxa washanaii.
PSA.22.22	Itxabu anushũ duawakĩ ẽ mia kẽwãshanaii.
PSA.22.23	Dasibibũ mã Senhor Deus duawamisbuũ, matũ huiwẽ kẽwãkãwẽ.
PSA.22.23	Dasibi Jacó enabuũ, Senhor Deus pepawakĩ ewapawakãwẽ.
PSA.22.23	Dasibi Israelĩ enabuũ, Senhor Deuski mesekĩ kẽwãkãwẽ.
PSA.22.24	Senhor Deusũnã, nuitapaibu hatuki dakekĩ hatu danaĩsmaki.
PSA.22.24	Hanua ea akabu hawa huneama hatuki dakei hatuki petxismaki,
PSA.22.24	Hawara yukabu nĩkatã hatu merabewamiski.
PSA.22.25	Mĩ nuku putaismawẽ taeshũ
PSA.22.25	minabu itxapabũ berubi ẽ mia kẽwaĩ heneama ikũkaĩshanaii.
PSA.22.25	Tsuabũra mia duawamisbu bebũshũ
PSA.22.25	haska ẽ yubakai ẽ mia meneshũkubaĩshanaii.
PSA.22.26	Habu nuitapabiai keĩsbumã pikĩ yaniwai pepeshãkanikiki.
PSA.22.26	Matubũ mã Senhor Deus benairã, haki nukutã mã kẽwãshanaii,
PSA.22.26	bari itxapa hiwekũkaĩkinã.
PSA.22.27+PSA.22.28	Senhor Deusrã, ha nukũ shanẽ ibu kayabiki.
PSA.22.27+PSA.22.28	Mae pakea tibi hatu shanẽ ibushũmiski.
PSA.22.27+PSA.22.28	Haskawẽ taeshũ mai hirabi anu hiwebaunabu
PSA.22.27+PSA.22.28	yura betsa betsapa shukuabũ
PSA.22.27+PSA.22.28	Senhor Deus shinãtã ha bebũ dãti ishũ
PSA.22.27+PSA.22.28	hau kẽwaĩ beshanũbũwẽ.
PSA.22.29	Dasibi shanẽ ibu kushipabu hatũ hamapai mirima haya hawẽ hiwekanikiki.
PSA.22.29	Hakia dasibibu mawai ana mai mishpushanaibuwẽ taeshũ
PSA.22.29	dasibibũ dãti ishũ hau Senhor Deus besti kẽwãshanũbũwẽ,
PSA.22.29	habu ibubis hiwea hayatirubumakirã.
PSA.22.30	Enabu pakubaĩkĩ Senhor Deuski mesekĩ kẽwãshãkanikiki.
PSA.22.30	Hakiri hãtxakĩ yuibaũshãkanikiki, pakubaĩkĩ hakiri yui heneamarã.
PSA.22.31	Habu kaĩriabumari txipu kaĩtã hawẽ itxakanikatima inũ hawẽ dayakiri
PSA.22.31	haska akubaĩmis hatuki txaniriakubaĩshãkanikiki.
PSA.23.1	Ẽ Shanẽ Ibu Senhor Deusrã, ẽ mekenãki.
PSA.23.1	Hatũ ea nĩkasama hamapai ea inãkubaĩmiski.
PSA.23.2	Basi pepa anu ea iyutã ea huĩrukũmamiski.
PSA.23.2	Hanu ũpash pes dakanu iyushũ ea amamiski.
PSA.23.3	Ẽ babuai ana ea kushipa wakĩ ea benimawamiski.
PSA.23.3	Hanu ẽ kanũ bai pepawẽ ea iyukubaĩmiski,
PSA.23.3	Hawẽ kena kushipa duawakĩ ẽ hatu uĩmamiski.
PSA.23.4	Hawara bika tenei napãpa meshuhaira keska merã ẽ nibiakainaya
PSA.23.4	mĩ ebe kaiwẽ taea hawa mesei ẽ dateismaki.
PSA.23.4	Mĩ ẽ mekenã ebe kakĩ
PSA.23.4	mĩ mestẽti inũ mĩ txashuwã hawẽ atxikĩ betãti tsumabaĩkĩ
PSA.23.4	ea benimawakĩ mĩ ea shinã txakawãmiski.
PSA.23.5	Eki sinataibu bebũshũ piti sharabu mĩ ea pewashũmiski.
PSA.23.5	Sheni inĩti pepawẽ ẽ bushka mĩ ea mashu amiski, ea duawakinã.
PSA.23.5	Ẽ kẽtxaki nushuti pepa matawakĩ mĩ ea bupakemashũmiski.
PSA.23.6	Mĩ duapa inũ mĩ nuikipawẽ ea putama mĩ ebe nikũkaĩmiski, hatishũ ẽ hiweaitianã.
PSA.23.6	Hanua mĩ ẽ shanẽ ibuwẽ taea atimas mĩ hiwe anu mapekea ẽ hiwepakeshanaii.
PSA.24.1+PSA.24.2	Senhor Deusũnã, haki hanakatsi mestẽwãkĩ teawakinã,
PSA.24.1+PSA.24.2	hene itxawakĩ ianẽwãri pewashũ dasibi mai hirabi haki hananiki,
PSA.24.1+PSA.24.2	hau haska ikũkainũ yunukinã.
PSA.24.1+PSA.24.2	Haskawẽ taea Senhor Deusrã, mai hirabi hawenaski.
PSA.24.1+PSA.24.2	dasibi haki haya inũ dasibi hawẽ hiwebaunaburã.
PSA.24.3	Senhor Deusũ mati anurã, tsua mapeketirumẽ?
PSA.24.3	Ha mati anu hawẽ tari hiwe meribi anu Deuski nukuti tsaua anurã,
PSA.24.3	tsua hari ha bebũ nitirumẽ?
PSA.24.4	Habu hikirã, habũ txakabu meisma inũ
PSA.24.4	hatũ shinã pepa besti haya hikitirubuki.
PSA.24.4	Ha inũ, habũ dami yushibubu duawakĩ kẽwaĩsbuma inũ
PSA.24.4	hamapai tibikiri yubakai hamẽ txanitxakaisbuma hikitirubuki.
PSA.24.5	Habu ma hikiaburã, Senhor Deus hatũ mekenãtũ hatu duawakĩ
PSA.24.5	pewẽ hatu manakushanikiki.
PSA.24.6	Txanima kayabi habũ Senhor Deus benaiburã,
PSA.24.6	hau haskakubainũbũwẽ,
PSA.24.6	habũ Jacó Deuski nukukatsis ikĩ benaiburã.
PSA.24.7	Mae nai anu hikiti shui beputi dabe bepẽkãwẽ.
PSA.24.7	Bepẽtã ana bepuyamakãwẽ,
PSA.24.7	hau nukũ Shanẽ Ibu kushipahaira hanu hikiyushanunã.
PSA.24.8	Ha Shanẽ Ibu kushipahairarã, tsuamẽ?
PSA.24.8	Nukũ Shanẽ Ibu mĩ atiruma detenamenika Senhor Deuski.
PSA.24.8	Senhor Deus hawa dateama detenamenika,
PSA.24.8	ha nukũ Shanẽ Ibu kushipahairaki.
PSA.24.9	Mae nai anu hikiti shui beputi bepẽkãwẽ.
PSA.24.9	Bepẽtã ana bepuyamakãwẽ,
PSA.24.9	hau nukũ Shanẽ Ibu kushipahaira hanu hikiyushanunã.
PSA.24.10	Ha Shanẽ Ibu kushipahairarã, tsuamẽ?
PSA.24.10	Senhor Deus kushipahairatũ dasibi binu keyua,
PSA.24.10	ha nukũ Shanẽ Ibu kushipa txashakapahairaki.
PSA.27.1	Senhor Deus ẽ shaba keska hatũ ea mekemiswẽ taea
PSA.27.1	ana hamapai betsaki ẽ dateamaki.
PSA.27.1	Ẽ hiwea Deusũ ea keshekubaĩmiswẽ taea
PSA.27.1	ana tsuki ẽ dateamaki.
PSA.27.2	Huni txakabubu eki sinatabirã ea atxishũ yamawanũ ika ibiabiranaibu
PSA.27.2	habu huti itã tĩ iki di imisbuki.
PSA.27.3	Detenamenikabu itxatã ea keshebiabaunabũ
PSA.27.3	huĩti bene bene iki ẽ hawa hatuwẽ dateamaki.
PSA.27.3	Ea detenũ itã ekiri detenamenikabu benibiabiranaibũ
PSA.27.3	ẽ shanẽ ibuki txiti ika babuama ẽ unanuma hiwekũkainaii.
PSA.27.4	Senhor Deusuũ, eska bestikiri ẽ mia yukaii, haska ẽ betxipaiairã.
PSA.27.4	Senhor Deusuũ, bari tibi ẽ hiweawẽ mĩ hiwe merãshũ
PSA.27.4	mĩ kushipa hawẽrua shinãkĩ ẽ mia kẽwãkatsis ikaii.
PSA.27.5	Shaba betsatiã bika sharabu ẽ teneaya
PSA.27.5	mĩ hiwe merã ea hunekĩ arutã
PSA.27.5	mĩ ea mekekubaĩshanaii.
PSA.27.5	Hanua tsuã ea metirumanu mistutã mĩ ea pashawatiruki.
PSA.27.6	Eki sinataibu mĩ kushipawẽ ma mĩ ea hatu binuma
PSA.27.6	hanua tashnikauã has shinãma
PSA.27.6	mĩ hiwe merãshũ inãkuĩ mia kua keyushũkĩ
PSA.27.6	mia kẽwaĩ benimahairai kãtakĩ ẽ mia nawashũshanaii.
PSA.27.7	Senhor Deusuũ, ẽ mia kenai ea nĩkawe.
PSA.27.7	Ewẽ dabanã ikĩ ea kemawe.
PSA.27.8	Ẽ huĩtinĩ mikiri ea yuikĩ:
PSA.27.8	“Senhor Deus benai haki nukuwe”, ea wa
PSA.27.8	haskawẽ taeshũ miki nukunũ, iwanã, mĩ ẽ Deus ẽ mia benaii.
PSA.27.9	Miarã, habia mia besti mĩ ẽ Deus mekenãwẽ taeshũ ea heneyamawe.
PSA.27.9	Eki dakei hunei iruyamawe.
PSA.27.9	Ha inũ, eki sinatakĩ ea danãyamawe,
PSA.27.9	miã besti mĩ ea merabewamiswẽ taeshunã.
PSA.27.10	Ẽ ibubũ ea putabiabainabũ Senhor Deusuũ,
PSA.27.10	ea hawa heneama mĩ ea mekekubaĩshanaii.
PSA.27.11+PSA.27.12	Senhor Deusuũ, natiã eki sinataibu
PSA.27.11+PSA.27.12	hamẽ ekiri txanitxakai itimaskabirã ea atxikatsis ikaibu
PSA.27.11+PSA.27.12	haska shinaĩbu keska ea hatu yunuyamawe.
PSA.27.11+PSA.27.12	Hakia mĩ bai pepa ea unãmakĩ hawẽ ea iyuwe, ẽ hawẽ kanunã.
PSA.27.13	Ea ẽ hiwekũkaĩmiswẽ taeshũ
PSA.27.13	haska Senhor Deusũ hawenabu hawẽ duapa hatu uĩmakubaĩmis
PSA.27.13	ẽ haki nukushanai ẽ unaiĩ.
PSA.27.14	Senhor Deuski mestẽtã hawẽ kushipai punu nukama
PSA.27.14	hawẽ shinã betxipaikĩ hawa txĩtuãma haki mestẽkubaĩkãwẽ.
PSA.32.1	Tsuãra txakabu Senhor Deusũ ma bua keyushuna
PSA.32.1	ana txakabu hayamawẽ taea benimamisbuki.
PSA.32.2	Tsuara Senhor Deusũ hawẽ txakabuwẽ taeshũ ana hawẽ txiteamawẽ taea
PSA.32.2	ha huni ana shinã txakai bika teneamawẽ taea benimakũkaĩmiski.
PSA.32.3	Ẽ txakabu shabakabi txaniama ẽ mekeawẽ taea
PSA.32.3	bari tibi tenea ẽ tsekerẽ ikũkainaiwẽ taea
PSA.32.3	ẽ yura imanai txushi keskakũkainiki.
PSA.32.4	Hua barĩ kua hawẽ shanawẽ txushi txapumis keska wakĩ
PSA.32.4	meshu merã inũ bariri ea shinãmakĩ
PSA.32.4	ẽ txakabuwẽ hawẽ ea timakĩ e imakĩ mĩ ea tenemakubainiki.
PSA.32.5	Hakia haska tenekubaĩkĩ ẽ txakabu ana hunekatsi ikama
PSA.32.5	shinã pewatã dasibi ẽ txakabu betsa ẽ miki txani keyuniki.
PSA.32.5	Haska nĩkatã Senhor Deusuũ, mianã, mĩ ea bua keyushuniki.
PSA.32.6	Haskawẽ taeshũ tsuãra mia ikũwaĩ txĩtuãma
PSA.32.6	bika tenekĩ mia yukabu mĩ nĩkamiski.
PSA.32.6	Mia yukakĩ haska wamisbuwẽ taea bika teneti itamama
PSA.32.6	hatu anu hubiai ana hatuki kemama ishanikiki.
PSA.32.7	Miarã, mĩ ẽ mishki kene hanu hunetiki,
PSA.32.7	mese huai nemashũkĩ mĩ ea mekemisrã.
PSA.32.7	Haskawẽ taea benima paẽ ea atxia ma mĩ ea binumawẽ taea
PSA.32.7	hui kushipawẽ ẽ kãtamiski.
PSA.32.8	Shanẽ ibu Senhor Deusũ ea yuikĩ:
PSA.32.8	“Mikiri shinãkĩ ẽ mia uiaĩ ea uĩwẽ.
PSA.32.8	Ẽ mia tapĩmakatsis ikaii,
PSA.32.8	hãtxa pewẽ yusĩkinã,
PSA.32.8	haska ẽ shinaĩwẽ haratu bai pe ha katutã mĩ hawẽ kakũkainunã.
PSA.32.9	Ina cavalo inũ mulõ nĩkabumawẽ taeshũ
PSA.32.9	hawẽ hashpa anu mane hãkishkũkĩ
PSA.32.9	hawẽ bushkẽbaĩti dispi neshabukũtã
PSA.32.9	hawẽ iyukĩ nĩkamabaĩkĩ hawẽ niti ati hayaki.
PSA.32.9	Haska keska iyamawe.
PSA.32.9	Mĩ ea nĩkamarã,
PSA.32.9	ana haratu yusiã betsawẽ ẽ mia dapishũ merabewatirumaki.”
PSA.32.10	Huni txakabukubaĩmisburã, hawa merabe hayama
PSA.32.10	bika betsa betsapa tenekanikiki.
PSA.32.10	Hakia tsuãra Senhor Deus ikũwãkĩ txibãbainaibuwẽ taea
PSA.32.10	bika tenebiaya hawẽ nuikipawẽ mekekĩ yabukĩ akawamiski.
PSA.32.11	Mã Deusũ tsuma matukiri pe hãtxamisbu pepabuũ,
PSA.32.11	benimahairakĩ Deus kãtashũkĩ kẽwãkãwẽ.
PSA.33.1	Mã Deusũ tsuma pepabuũ,
PSA.33.1	Senhor Deus benimawai kãtashũkãwẽ.
PSA.33.1	Matũ huiwẽ Senhor Deuskiri kãtakĩ mã hawẽruawaya
PSA.33.1	Senhor Deusũ betxipaimiski.
PSA.33.2	Senhor Deusũ mia ashũmis shinãkĩ
PSA.33.2	kẽhairawakĩ harpa mawashuni kãtakãwẽ.
PSA.33.2	Saltério mimawati 10 dispiya mawai kãtashũkãwẽ.
PSA.33.3	Nawati benawẽ kãtai
PSA.33.3	mimawati mawa pehaira wai benima txakayamai kãtakãwẽ.
PSA.33.4	Txanima Senhor Deusũ hãtxa ikũ kayabiki.
PSA.33.4	Haska txanitxakaisma hawẽ dami tibiwẽ nuku uĩmakubainikiki.
PSA.33.5	Hunibũ kaneisma inũ hatũ shinã pepabu haskawẽ hiweaburã,
PSA.33.5	Senhor Deusũ hatu betxipaimiski.
PSA.33.5	Senhor Deusũ nuirã, dasibi mai hirabi nati ikaki.
PSA.33.6	Senhor Deusũ hawẽ hãtxa bestiwẽ yunukĩ nai damiwaniki.
PSA.33.6	Habias hawẽ hãtxawẽri shũ akĩ bari inũ ushe inũ bishi damiwaniki.
PSA.33.7	Hene itxawakĩ ianẽwã itamama nuahairawaniki, hanus itxawakinã.
PSA.33.8	Mai hirabi anu hiwebaunabũ Senhor Deus hau duawanũbũwẽ.
PSA.33.8	Yura shukuabu tibi hiwebaunabũ Senhor Deus kẽwãkĩ hau duawanũbũwẽ.
PSA.33.9	Hawẽ hãtxawẽ Deusũ yunua dasibi dami kaĩ keyuniki.
PSA.33.9	Damiwakĩ hanakĩ yunuakeakea nĩkatã hanu ikibi iki mestenibuki.
PSA.33.10	Nawã Deus ikũwãbuma dayakĩ haska betxipaikĩ
PSA.33.10	hatũ mae anu daya ewapa tashnimatã hawẽ hiwebainaibũ
PSA.33.10	Senhor Deusũ hatu betxipaiama nemakĩ beshtekubaĩmiski.
PSA.33.11	Hakia Deusũ hawẽ daya ewapa hawẽ hiwekaĩti hatu tashnimashunirã,
PSA.33.11	hawa beshtekeama mestẽ ikibi ika ipashanikiki.
PSA.33.12	Senhor Deusũ hawena wakatsi hatu katunirã,
PSA.33.12	ha hiweaburã, habe hiwei benimakubaĩkanikiki.
PSA.33.13	Nai anushũ Deusũ huni dasibibu uĩbaunikiki.
PSA.33.14	Hanu Deus hiwea anushũ mai anu dasibi hiweabu tanakubainikiki.
PSA.33.15	Hatu hiwea inãkĩ hatũ huĩti tibi damiwanishũ
PSA.33.15	haska dasibi akubaĩmisbu hawa heneama hatu uĩkubaunikiki.
PSA.33.16	Mai anu shanẽ ibuhaira hawẽ detenamenikabu mirimahaira hayabia
PSA.33.16	habuwẽ hiwei pashatirumaki.
PSA.33.16	Detenamenikabu hatũ kushipahaira hayabia
PSA.33.16	hawẽ hiwei pashatirubumariki.
PSA.33.17	Cavalowẽ kushibiabaĩmisburã, hawẽ hiwei tsua pashatirubumahairaki.
PSA.33.17	Cavalo kushipahairabia haki txiti ibiamisbu hawẽ hiwei tsua pashatirumaki.
PSA.33.18	Hakia tsuabũra haki mesei inũ hakiri pe hãtxakĩ
PSA.33.18	nũ yuimis Deus nukuwẽ nuimis nũ ikũwaĩbu
PSA.33.18	nuku putama nuku mekekubaĩmiski,
PSA.33.19	hatũ hiwea benui hau mawayamanũbũ inũ
PSA.33.19	bunitiãbiakẽ hau debuama hiweyukubainũbunã.
PSA.33.20	Nukubũ nũ Senhor Deus ikũwaĩ nũ haki txiti ikabuki.
PSA.33.20	Hatũ nuku merabewakubaĩmiski, nuku mekesukinã.
PSA.33.21	Senhor Deusũ kena meribi kushipa ikũhairawai nũ haki txiti ikaya
PSA.33.21	nukũ huĩti benimahairamiski.
PSA.33.22	Senhor Deusuũ, mĩ nuiwenã,
PSA.33.22	mĩ nuku hawa putaismaki.
PSA.33.22	Haska mĩ nuikipa mia anua huai besti nũ manakubainaii.
PSA.34.1	Bari betsa tukama Senhor Deus kẽwãkĩ duawakinã, ẽ heneama ikũkainaii.
PSA.34.2	Ẽ shanẽ ibu Senhor Deus shinaĩ ẽ keaiĩ.
PSA.34.2	Huni keĩsbumaã, ebe benimakĩ ea nĩkakãwẽ.
PSA.34.3	Senhor Deusũ kena ewapawai hui kushipawẽ ebetã kẽwãkãwẽ.
PSA.34.4	Datekĩ Senhor Deus ẽ benakĩ yuka ea nĩkakĩ kemaya
PSA.34.4	ha hawẽ ẽ dateai ea henemakĩ putamaimaki.
PSA.34.5	Tsuabũra Senhor Deus shinaĩbu benima paẽ hatu atxia
PSA.34.5	hawawẽ dakeabuma benimashãkanikiki.
PSA.34.6	Nuitapakĩ ẽ Senhor Deus kena ea nĩkakĩ kemakĩ
PSA.34.6	ẽ bika teneai dasibi ea putamaniki.
PSA.34.7	Tsuabũra Senhor Deuskiri pe hãtxakĩ kẽwãkubainaiburã,
PSA.34.7	hawẽ nai tsumã hatu keshe pewashũ hatu piskumamiski.
PSA.34.8	Ibubis Senhor Deuski txiti ikĩ unãkãwẽ.
PSA.34.8	Senhor Deusrã, merabenã pepahairaki.
PSA.34.8	Tsuabũra haska wai haki txiti ika ha huni benimakũkaĩmiski.
PSA.34.9	Senhor Deuski txiti ikĩ duawai haki mesei ha keskai pepakubaĩkãwẽ.
PSA.34.9	Tsuabura haki mesekĩ duawakĩ kẽwãkubainaiburã,
PSA.34.9	hawara pepa akaibu hatu danãma nĩkakĩ inãkubaĩmiski.
PSA.34.10	Tsuara mabuwãyã hiwemisburã,
PSA.34.10	benui keyuaya nuitapai ana hawa hayama buni teneshãkanikiki.
PSA.34.10	Hamẽ tsuabũra Senhor Deus benakubaĩmisburã,
PSA.34.10	hawa hawẽ hamapai tibi pepa benuama ikũkaĩshanikiki.
PSA.34.11	Senhor Deus duawatikiri matu yusinũ,
PSA.34.11	ẽ bakebuũ, nenu beshũ ea nĩkai bekãwẽ.
PSA.34.12	Mã bari itxapa hiwekatsis ikai?
PSA.34.12	Mã benimai hiwekatsis ikai?
PSA.34.13	Mã haskai hiwekatsis ikairã,
PSA.34.13	matũ hãtxa txakabu nemakubaĩkãwẽ,
PSA.34.13	hãtxakĩ txanitxakakĩ yuitaskamarã.
PSA.34.14	Txakabu betsa betsapa danãkĩ pe besti akubaĩkãwẽ.
PSA.34.14	Haratura hawẽ unanuma kati bai betxitã ha txibãkubaĩkãwẽ.
PSA.34.15	Senhor Deusũnã, tsuabũra hawẽ yusiã txibãkĩ duawamisburã,
PSA.34.15	hatu mekekubaĩmiski.
PSA.34.15	Hanushũ habũ ea akaibu shabakabi hatu nĩkariamiski.
PSA.34.16	Huni txakabuburã, Senhor Deus hatuki sinatahairakĩ
PSA.34.16	mai anushũ hamapai akubaĩkĩ ha shinaĩbu tere akĩ
PSA.34.16	ana hakiri shinãtima washanikiki.
PSA.34.17	Hakia tsuabũra Senhor Deus duawakubaĩmisbũ hawarawẽ nuikĩ yukaiburã,
PSA.34.17	hatu nĩkakĩ bika betsa betsapa teneaibu hatu nemashũkubaĩmiski.
PSA.34.18	Senhor Deusrã, nuku mekei nuku dapi niaki.
PSA.34.18	Tsuabura bika betsa betsapa tenei huĩti nishmai nui hawawẽ haskatimabiakẽ
PSA.34.18	Senhor Deusũ hatu mekekĩ pashawashanikiki.
PSA.34.19	Tsuabura huni pepabu merabenaĩ yurabũ hatu unãma
PSA.34.19	betsa betsapawẽ hatu itxakawamisbuki.
PSA.34.19	Hakia Senhor Deusũ haska teneaibu hatu duawakĩ
PSA.34.19	haska tibi hatu putamakĩ binumamiski.
PSA.34.20	Huni pepa Senhor Deusũ hawẽ shau tibi mekemiski.
PSA.34.20	Haskawẽ taeshũ hawẽ shau betsa tekeama ishãkanikiki.
PSA.34.21	Habu huni txakabubu Senhor Deusũ ibubis hatũ txakabuwẽ tenãshanikiki.
PSA.34.21	Hamẽ tsuabũra huni duapabu danãkubaĩmisburã,
PSA.34.21	Deusũ hatu unãmakĩ isĩ tenemakĩ kupishanikiki.
PSA.34.22	Hakia Senhor Deusũnã, hawẽ dayarubu haki txiti imisburã,
PSA.34.22	hatũ hiwea hatu itxakawama hatu mekekubaĩshanikiki.
PSA.37.1+PSA.37.2	Basi yumei pebiatã hawaira txushimiski.
PSA.37.1+PSA.37.2	Ni mashu ewai pebiatã hawaira shanariamiski.
PSA.37.1+PSA.37.2	Haska keskariai huni txakabubu haskashãkanikiki.
PSA.37.1+PSA.37.2	Hatuki sinatayamakubaĩkãwẽ.
PSA.37.1+PSA.37.2	Ha dikabi hawara txakabuwakĩ kaneaibu
PSA.37.1+PSA.37.2	hatũ hamapaiwẽ kemui nuiyamakubaĩkãwẽ.
PSA.37.3	Na mai anu mã hiwearã,
PSA.37.3	Senhor Deus ikũwaĩ haki txiti ikĩ
PSA.37.3	pepa besti aki txĩtuãma txibãkubaĩwẽ.
PSA.37.4	Senhor Deus mĩ betxipaiairã, nuikipakĩ ha besti shinãkubaĩwẽ.
PSA.37.4	Mĩ haska waiwẽ taeshũ haska uke merã pe shinãkĩ mĩ bikatsis ikai
PSA.37.4	unãkĩ hawa yaushiama Senhor Deusũ mia inãshanikiki.
PSA.37.5	Dasibi mĩ hiwea Senhor Deus mekematã
PSA.37.5	ha besti mĩ ikũhairawai haki txiti ikẽ
PSA.37.5	mia duawakĩ mia merabewai hushanikiki.
PSA.37.6	Mĩ kaneama inũ mĩ pe hiwekũkainairã,
PSA.37.6	bari mananãbi bari peshea txashamis keska mia washanikiki.
PSA.37.7	Hawara Senhor Deus anua mĩ manakairã,
PSA.37.7	hĩ hĩ ikĩ hawa yuiama mĩ shinanẽ besti Deuski txanitã manakubaĩwẽ.
PSA.37.7	Hatũ mia merabewashanikiki.
PSA.37.7	Hakia huni betsa txakabu atimapa akatsi yubakamisburã,
PSA.37.7	haskawẽ hiwekaĩkĩ tsuabura maematirubumaki.
PSA.37.7	Haskawẽ taea hatuki sinatayamakũkaĩwẽ.
PSA.37.8	Mĩ sinatamis inũ mĩ pubẽmisrã, henekĩ putakubaĩwẽ.
PSA.37.8	Mĩ sinatawenã, dasibi mĩ hamapai tibi mĩ ana pikukũkainaii.
PSA.37.9	Tsuabura txakabuburã, matũ mai pakea anua Senhor Deusũ hatu nitxĩshanikiki.
PSA.37.9	Hakia tsuabura Senhor Deuski txiti imisburã, ha mai hatu yubani habũ ibuwashanikiki.
PSA.37.10	Ana hatishuĩra huni txakabubu hayama ishãkanikiki.
PSA.37.10	Haska habu txakabumisbu hayamẽkaĩ, ishũ
PSA.37.10	hatu benabirãbirani ana hawa hatuki nukukĩ betxiama ishãkanikiki.
PSA.37.11	Hamẽ habu huni keĩsbumarã,
PSA.37.11	habũ mai hirabi ibuwatã hawa bika ana teneama
PSA.37.11	unanuma benimapakeshãkanikiki.
PSA.37.12	Huni txakabũ huni pepa itxakawanũ ika
PSA.37.12	haki sinatahairai sheta yẽsh yẽsh amiski,
PSA.37.12	danã paepa wakĩ hatu txakabuwakatsis ikinã.
PSA.37.13	Huni txakabu hawẽ kupiti ma hanu ikai unãkĩ
PSA.37.13	Senhor Deusũ usãmiski.
PSA.37.14	Tsuabura txakabubũ hatũ matxatu txaipa kenu bitã kasmai
PSA.37.14	hatũ pia bitã huni keĩsbuma inũ nuitapaibu
PSA.37.14	habũ shinã pewaibu hatu tsakakĩ tenãkatsis imisbuki.
PSA.37.15	Hakia ha hunibu txakabũ haska shinaĩburã,
PSA.37.15	ibubis hatũ matxatu kenuhairawẽ hatũ huĩti txatxitirubuki.
PSA.37.15	Ha inũ, hatũ pia teke teke iki yamatiruki.
PSA.37.16	Ha huni pepa mabu eskarabesya hiwearã, haska peki,
PSA.37.16	haska huni mabuwãyãtũ shinaĩ txakabumisbu keskamarã.
PSA.37.16	Hanua huni pepa mabu eskarabes haya hawa hawẽ mabu shinãma
PSA.37.16	ha mabuwãyã binuaki.
PSA.37.17	Habu txakabuaibu Senhor Deusũ hatu keyukĩ nishmawashanikiki.
PSA.37.17	Hakia habũ Senhor Deus nĩkakubaĩmisbu hatu putama mekekubaĩshanikiki.
