MAT.1.1	ibrāhīmaḥ santānō dāyūd tasya santānō yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśrēṇī|
ACT.18.7	sa tasmāt prasthāya bhajanabhavanasamīpasthasya yustanāmna īśvarabhaktasya bhinnadēśīyasya nivēśanaṁ prāviśat|
ACT.18.8	tataḥ krīṣpanāmā bhajanabhavanādhipatiḥ saparivāraḥ prabhau vyaśvasīt, karinthanagarīyā bahavō lōkāśca samākarṇya viśvasya majjitā abhavan|
ACT.18.9	kṣaṇadāyāṁ prabhuḥ paulaṁ darśanaṁ datvā bhāṣitavān, mā bhaiṣīḥ, mā nirasīḥ kathāṁ pracāraya|
ACT.18.10	ahaṁ tvayā sārddham āsa hiṁsārthaṁ kōpi tvāṁ spraṣṭuṁ na śakṣyati nagarē'smin madīyā lōkā bahava āsatē|
ACT.18.11	tasmāt paulastannagarē prāyēṇa sārddhavatsaraparyyantaṁ saṁsthāyēśvarasya kathām upādiśat|
ACT.18.12	gālliyanāmā kaścid ākhāyādēśasya prāḍvivākaḥ samabhavat, tatō yihūdīyā ēkavākyāḥ santaḥ paulam ākramya vicārasthānaṁ nītvā
ACT.18.13	mānuṣa ēṣa vyavasthāya viruddham īśvarabhajanaṁ karttuṁ lōkān kupravr̥ttiṁ grāhayatīti nivēditavantaḥ|
ACT.18.14	tataḥ paulē pratyuttaraṁ dātum udyatē sati gālliyā yihūdīyān vyāharat, yadi kasyacid anyāyasya vātiśayaduṣṭatācaraṇasya vicārō'bhaviṣyat tarhi yuṣmākaṁ kathā mayā sahanīyābhaviṣyat|
ACT.18.15	kintu yadi kēvalaṁ kathāyā vā nāmnō vā yuṣmākaṁ vyavasthāyā vivādō bhavati tarhi tasya vicāramahaṁ na kariṣyāmi, yūyaṁ tasya mīmāṁsāṁ kuruta|
ACT.18.16	tataḥ sa tān vicārasthānād dūrīkr̥tavān|
ACT.18.17	tadā bhinnadēśīyāḥ sōsthinināmānaṁ bhajanabhavanasya pradhānādhipatiṁ dhr̥tvā vicārasthānasya sammukhē prāharan tathāpi gālliyā tēṣu sarvvakarmmasu na manō nyadadhāt|
ACT.18.18	paulastatra punarbahudināni nyavasat, tatō bhrātr̥gaṇād visarjanaṁ prāpya kiñcanavratanimittaṁ kiṁkriyānagarē śirō muṇḍayitvā priskillākkilābhyāṁ sahitō jalapathēna suriyādēśaṁ gatavān|
ACT.18.19	tata iphiṣanagara upasthāya tatra tau visr̥jya svayaṁ bhajanabhvanaṁ praviśya yihūdīyaiḥ saha vicāritavān|
ACT.18.20	tē svaiḥ sārddhaṁ punaḥ katipayadināni sthātuṁ taṁ vyanayan, sa tadanurarīkr̥tya kathāmētāṁ kathitavān,
ACT.18.21	yirūśālami āgāmyutsavapālanārthaṁ mayā gamanīyaṁ; paścād īśvarēcchāyāṁ jātāyāṁ yuṣmākaṁ samīpaṁ pratyāgamiṣyāmi| tataḥ paraṁ sa tai rvisr̥ṣṭaḥ san jalapathēna iphiṣanagarāt prasthitavān|
ACT.18.22	tataḥ kaisariyām upasthitaḥ san nagaraṁ gatvā samājaṁ namaskr̥tya tasmād āntiyakhiyānagaraṁ prasthitavān|
ACT.18.23	tatra kiyatkālaṁ yāpayitvā tasmāt prasthāya sarvvēṣāṁ śiṣyāṇāṁ manāṁsi susthirāṇi kr̥tvā kramaśō galātiyāphrugiyādēśayō rbhramitvā gatavān|
ACT.18.24	tasminnēva samayē sikandariyānagarē jāta āpallōnāmā śāstravit suvaktā yihūdīya ēkō jana iphiṣanagaram āgatavān|
ACT.18.25	sa śikṣitaprabhumārgō manasōdyōgī ca san yōhanō majjanamātraṁ jñātvā yathārthatayā prabhōḥ kathāṁ kathayan samupādiśat|
ACT.18.26	ēṣa janō nirbhayatvēna bhajanabhavanē kathayitum ārabdhavān, tataḥ priskillākkilau tasyōpadēśakathāṁ niśamya taṁ svayōḥ samīpam ānīya śuddharūpēṇēśvarasya kathām abōdhayatām|
ACT.18.27	paścāt sa ākhāyādēśaṁ gantuṁ matiṁ kr̥tavān, tadā tatratyaḥ śiṣyagaṇō yathā taṁ gr̥hlāti tadarthaṁ bhrātr̥gaṇēna samāśvasya patrē likhitē sati, āpallāstatrōpasthitaḥ san anugrahēṇa pratyayināṁ bahūpakārān akarōt,
ACT.18.28	phalatō yīśurabhiṣiktastrātēti śāstrapramāṇaṁ datvā prakāśarūpēṇa pratipannaṁ kr̥tvā yihūdīyān niruttarān kr̥tavān|
ACT.19.1	karinthanagara āpallasaḥ sthitikālē paula uttarapradēśairāgacchan iphiṣanagaram upasthitavān| tatra katipayaśiṣyān sākṣat prāpya tān apr̥cchat,
ACT.19.2	yūyaṁ viśvasya pavitramātmānaṁ prāptā na vā? tatastē pratyavadan pavitra ātmā dīyatē ityasmābhiḥ śrutamapi nahi|
ACT.19.3	tadā sā'vadat tarhi yūyaṁ kēna majjitā abhavata? tē'kathayan yōhanō majjanēna|
ACT.19.4	tadā paula uktavān itaḥ paraṁ ya upasthāsyati tasmin arthata yīśukhrīṣṭē viśvasitavyamityuktvā yōhan manaḥparivarttanasūcakēna majjanēna jalē lōkān amajjayat|
ACT.19.5	tādr̥śīṁ kathāṁ śrutvā tē prabhō ryīśukhrīṣṭasya nāmnā majjitā abhavan|
ACT.19.6	tataḥ paulēna tēṣāṁ gātrēṣu karē'rpitē tēṣāmupari pavitra ātmāvarūḍhavān, tasmāt tē nānādēśīyā bhāṣā bhaviṣyatkathāśca kathitavantaḥ|
ACT.19.7	tē prāyēṇa dvādaśajanā āsan|
ACT.19.8	paulō bhajanabhavanaṁ gatvā prāyēṇa māsatrayam īśvarasya rājyasya vicāraṁ kr̥tvā lōkān pravartya sāhasēna kathāmakathayat|
ACT.19.9	kintu kaṭhināntaḥkaraṇatvāt kiyantō janā na viśvasya sarvvēṣāṁ samakṣam ētatpathasya nindāṁ karttuṁ pravr̥ttāḥ, ataḥ paulastēṣāṁ samīpāt prasthāya śiṣyagaṇaṁ pr̥thakkr̥tvā pratyahaṁ turānnanāmnaḥ kasyacit janasya pāṭhaśālāyāṁ vicāraṁ kr̥tavān|
ACT.19.10	itthaṁ vatsaradvayaṁ gataṁ tasmād āśiyādēśanivāsinaḥ sarvvē yihūdīyā anyadēśīyalōkāśca prabhō ryīśōḥ kathām aśrauṣan|
ACT.19.11	paulēna ca īśvara ētādr̥śānyadbhutāni karmmāṇi kr̥tavān
ACT.19.12	yat paridhēyē gātramārjanavastrē vā tasya dēhāt pīḍitalōkānām samīpam ānītē tē nirāmayā jātā apavitrā bhūtāśca tēbhyō bahirgatavantaḥ|
ACT.19.13	tadā dēśāṭanakāriṇaḥ kiyantō yihūdīyā bhūtāpasāriṇō bhūtagrastanōkānāṁ sannidhau prabhē ryīśō rnāma japtvā vākyamidam avadan, yasya kathāṁ paulaḥ pracārayati tasya yīśō rnāmnā yuṣmān ājñāpayāmaḥ|
ACT.19.14	skivanāmnō yihūdīyānāṁ pradhānayājakasya saptabhiḥ puttaistathā kr̥tē sati
ACT.19.15	kaścid apavitrō bhūtaḥ pratyuditavān, yīśuṁ jānāmi paulañca paricinōmi kintu kē yūyaṁ?
ACT.19.16	ityuktvā sōpavitrabhūtagrastō manuṣyō lamphaṁ kr̥tvā tēṣāmupari patitvā balēna tān jitavān, tasmāttē nagnāḥ kṣatāṅgāśca santastasmād gēhāt palāyanta|
ACT.19.17	sā vāg iphiṣanagaranivāsinasaṁ sarvvēṣāṁ yihūdīyānāṁ bhinnadēśīyānāṁ lōkānāñca śravōgōcarībhūtā; tataḥ sarvvē bhayaṁ gatāḥ prabhō ryīśō rnāmnō yaśō 'varddhata|
ACT.19.18	yēṣāmanēkēṣāṁ lōkānāṁ pratītirajāyata ta āgatya svaiḥ kr̥tāḥ kriyāḥ prakāśarūpēṇāṅgīkr̥tavantaḥ|
ACT.19.19	bahavō māyākarmmakāriṇaḥ svasvagranthān ānīya rāśīkr̥tya sarvvēṣāṁ samakṣam adāhayan, tatō gaṇanāṁ kr̥tvābudhyanta pañcāyutarūpyamudrāmūlyapustakāni dagdhāni|
ACT.19.20	itthaṁ prabhōḥ kathā sarvvadēśaṁ vyāpya prabalā jātā|
ACT.19.21	sarvvēṣvētēṣu karmmasu sampannēṣu satsu paulō mākidaniyākhāyādēśābhyāṁ yirūśālamaṁ gantuṁ matiṁ kr̥tvā kathitavān tatsthānaṁ yātrāyāṁ kr̥tāyāṁ satyāṁ mayā rōmānagaraṁ draṣṭavyaṁ|
ACT.19.22	svānugatalōkānāṁ tīmathiyērāstau dvau janau mākidaniyādēśaṁ prati prahitya svayam āśiyādēśē katipayadināni sthitavān|
ACT.19.23	kintu tasmin samayē matē'smin kalahō jātaḥ|
ACT.19.24	tatkāraṇamidaṁ, arttimīdēvyā rūpyamandiranirmmāṇēna sarvvēṣāṁ śilpināṁ yathēṣṭalābham ajanayat yō dīmītriyanāmā nāḍīndhamaḥ
ACT.19.25	sa tān tatkarmmajīvinaḥ sarvvalōkāṁśca samāhūya bhāṣitavān hē mahēcchā ētēna mandiranirmmāṇēnāsmākaṁ jīvikā bhavati, ētad yūyaṁ vittha;
ACT.19.26	kintu hastanirmmitēśvarā īśvarā nahi paulanāmnā kēnacijjanēna kathāmimāṁ vyāhr̥tya kēvalēphiṣanagarē nahi prāyēṇa sarvvasmin āśiyādēśē pravr̥ttiṁ grāhayitvā bahulōkānāṁ śēmuṣī parāvarttitā, ētad yuṣmābhi rdr̥śyatē śrūyatē ca|
ACT.19.27	tēnāsmākaṁ vāṇijyasya sarvvathā hānēḥ sambhavanaṁ kēvalamiti nahi, āśiyādēśasthai rvā sarvvajagatsthai rlōkaiḥ pūjyā yārtimī mahādēvī tasyā mandirasyāvajñānasya tasyā aiśvaryyasya nāśasya ca sambhāvanā vidyatēे|
ACT.19.28	ētādr̥śīṁ kathāṁ śrutvā tē mahākrōdhānvitāḥ santa uccaiḥkāraṁ kathitavanta iphiṣīyānām arttimī dēvī mahatī bhavati|
ACT.19.29	tataḥ sarvvanagaraṁ kalahēna paripūrṇamabhavat, tataḥ paraṁ tē mākidanīyagāyāristārkhanāmānau paulasya dvau sahacarau dhr̥tvaikacittā raṅgabhūmiṁ javēna dhāvitavantaḥ|
ACT.19.30	tataḥ paulō lōkānāṁ sannidhiṁ yātum udyatavān kintu śiṣyagaṇastaṁ vāritavān|
ACT.19.31	paulasyatmīyā āśiyādēśasthāḥ katipayāḥ pradhānalōkāstasya samīpaṁ naramēkaṁ prēṣya tvaṁ raṅgabhūmiṁ māgā iti nyavēdayan|
ACT.19.32	tatō nānālōkānāṁ nānākathākathanāt sabhā vyākulā jātā kiṁ kāraṇād ētāvatī janatābhavat ētad adhikai rlōkai rnājñāyi|
ACT.19.33	tataḥ paraṁ janatāmadhyād yihūdīyairbahiṣkr̥taḥ sikandarō hastēna saṅkētaṁ kr̥tvā lōkēbhya uttaraṁ dātumudyatavān,
ACT.19.34	kintu sa yihūdīyalōka iti niścitē sati iphiṣīyānām arttimī dēvī mahatīti vākyaṁ prāyēṇa pañca daṇḍān yāvad ēkasvarēṇa lōkanivahaiḥ prōktaṁ|
ACT.19.35	tatō nagarādhipatistān sthirān kr̥tvā kathitavān hē iphiṣāyāḥ sarvvē lōkā ākarṇayata, artimīmahādēvyā mahādēvāt patitāyāstatpratimāyāśca pūjanama iphiṣanagarasthāḥ sarvvē lōkāḥ kurvvanti, ētat kē na jānanti?
ACT.19.36	tasmād ētatpratikūlaṁ kēpi kathayituṁ na śaknuvanti, iti jñātvā yuṣmābhiḥ susthiratvēna sthātavyam avivicya kimapi karmma na karttavyañca|
ACT.19.37	yān ētān manuṣyān yūyamatra samānayata tē mandiradravyāpahārakā yuṣmākaṁ dēvyā nindakāśca na bhavanti|
ACT.19.38	yadi kañcana prati dīmītriyasya tasya sahāyānāñca kācid āpatti rvidyatē tarhi pratinidhilōkā vicārasthānañca santi, tē tat sthānaṁ gatvā uttarapratyuttarē kurvvantu|
ACT.19.39	kintu yuṣmākaṁ kācidaparā kathā yadi tiṣṭhati tarhi niyamitāyāṁ sabhāyāṁ tasyā niṣpatti rbhaviṣyati|
ACT.19.40	kintvētasya virōdhasyōttaraṁ yēna dātuṁ śaknum ētādr̥śasya kasyacit kāraṇasyābhāvād adyatanaghaṭanāhētō rājadrōhiṇāmivāsmākam abhiyōgō bhaviṣyatīti śaṅkā vidyatē|
ACT.19.41	iti kathayitvā sa sabhāsthalōkān visr̥ṣṭavān|
ACT.20.1	itthaṁ kalahē nivr̥ttē sati paulaḥ śiṣyagaṇam āhūya visarjanaṁ prāpya mākidaniyādēśaṁ prasthitavān|
ACT.20.2	tēna sthānēna gacchan taddēśīyān śiṣyān bahūpadiśya yūnānīyadēśam upasthitavān|
ACT.20.3	tatra māsatrayaṁ sthitvā tasmāt suriyādēśaṁ yātum udyataḥ, kintu yihūdīyāstaṁ hantuṁ guptā atiṣṭhan tasmāt sa punarapi mākidaniyāmārgēṇa pratyāgantuṁ matiṁ kr̥tavān|
ACT.20.4	birayānagarīyasōpātraḥ thiṣalanīkīyāristārkhasikundau darbbōnagarīyagāyatīmathiyau āśiyādēśīyatukhikatraphimau ca tēna sārddhaṁ āśiyādēśaṁ yāvad gatavantaḥ|
ACT.20.5	ētē sarvvē 'grasarāḥ santō 'smān apēkṣya trōyānagarē sthitavantaḥ|
ACT.20.6	kiṇvaśūnyapūpōtsavadinē ca gatē sati vayaṁ philipīnagarāt tōyapathēna gatvā pañcabhi rdinaistrōyānagaram upasthāya tatra saptadinānyavātiṣṭhāma|
ACT.20.7	saptāhasya prathamadinē pūpān bhaṁktu śiṣyēṣu militēṣu paulaḥ paradinē tasmāt prasthātum udyataḥ san tadahni prāyēṇa kṣapāyā yāmadvayaṁ yāvat śiṣyēbhyō dharmmakathām akathayat|
ACT.20.8	uparisthē yasmin prakōṣṭhē sabhāṁ kr̥tvāsan tatra bahavaḥ pradīpāḥ prājvalan|
ACT.20.9	utukhanāmā kaścana yuvā ca vātāyana upaviśan ghōrataranidrāgrastō 'bhūt tadā paulēna bahukṣaṇaṁ kathāyāṁ pracāritāyāṁ nidrāmagnaḥ sa tasmād uparisthatr̥tīyaprakōṣṭhād apatat, tatō lōkāstaṁ mr̥takalpaṁ dhr̥tvōdatōlayan|
ACT.20.10	tataḥ paulō'varuhya tasya gātrē patitvā taṁ krōḍē nidhāya kathitavān, yūyaṁ vyākulā mā bhūta nāyaṁ prāṇai rviyuktaḥ|
ACT.20.11	paścāt sa punaścōpari gatvā pūpān bhaṁktvā prabhātaṁ yāvat kathōpakathanē kr̥tvā prasthitavān|
ACT.20.12	tē ca taṁ jīvantaṁ yuvānaṁ gr̥hītvā gatvā paramāpyāyitā jātāḥ|
ACT.20.13	anantaraṁ vayaṁ pōtēnāgrasarā bhūtvāsmanagaram uttīryya paulaṁ grahītuṁ matim akurmma yataḥ sa tatra padbhyāṁ vrajituṁ matiṁ kr̥tvēti nirūpitavān|
ACT.20.14	tasmāt tatrāsmābhiḥ sārddhaṁ tasmin militē sati vayaṁ taṁ nītvā mitulīnyupadvīpaṁ prāptavantaḥ|
ACT.20.15	tasmāt pōtaṁ mōcayitvā parē'hani khīyōpadvīpasya sammukhaṁ labdhavantastasmād ēkēnāhnā sāmōpadvīpaṁ gatvā pōtaṁ lāgayitvā trōgulliyē sthitvā parasmin divasēे milītanagaram upātiṣṭhāma|
ACT.20.16	yataḥ paula āśiyādēśē kālaṁ yāpayitum nābhilaṣan iphiṣanagaraṁ tyaktvā yātuṁ mantraṇāṁ sthirīkr̥tavān; yasmād yadi sādhyaṁ bhavati tarhi nistārōtsavasya pañcāśattamadinē sa yirūśālamyupasthātuṁ matiṁ kr̥tavān|
ACT.20.17	paulō milītād iphiṣaṁ prati lōkaṁ prahitya samājasya prācīnān āhūyānītavān|
ACT.20.18	tēṣu tasya samīpam upasthitēṣu sa tēbhya imāṁ kathāṁ kathitavān, aham āśiyādēśē prathamāgamanam ārabhyādya yāvad yuṣmākaṁ sannidhau sthitvā sarvvasamayē yathācaritavān tad yūyaṁ jānītha;
ACT.20.19	phalataḥ sarvvathā namramanāḥ san bahuśrupātēna yihudīyānām kumantraṇājātanānāparīkṣābhiḥ prabhōḥ sēvāmakaravaṁ|
ACT.20.20	kāmapi hitakathāाṁ na gōpāyitavān tāṁ pracāryya saprakāśaṁ gr̥hē gr̥hē samupadiśyēśvaraṁ prati manaḥ parāvarttanīyaṁ prabhau yīśukhrīṣṭē viśvasanīyaṁ
ACT.20.21	yihūdīyānām anyadēśīyalōkānāñca samīpa ētādr̥śaṁ sākṣyaṁ dadāmi|
ACT.20.22	paśyata sāmpratam ātmanākr̥ṣṭaḥ san yirūśālamnagarē yātrāṁ karōmi, tatra māmprati yadyad ghaṭiṣyatē tānyahaṁ na jānāmi;
ACT.20.23	kintu mayā bandhanaṁ klēśaśca bhōktavya iti pavitra ātmā nagarē nagarē pramāṇaṁ dadāti|
ACT.20.24	tathāpi taṁ klēśamahaṁ tr̥ṇāya na manyē; īśvarasyānugrahaviṣayakasya susaṁvādasya pramāṇaṁ dātuṁ, prabhō ryīśōḥ sakāśāda yasyāḥ sēvāyāḥ bhāraṁ prāpnavaṁ tāṁ sēvāṁ sādhayituṁ sānandaṁ svamārgaṁ samāpayituुñca nijaprāṇānapi priyān na manyē|
ACT.20.25	adhunā paśyata yēṣāṁ samīpē'ham īśvarīyarājyasya susaṁvādaṁ pracāryya bhramaṇaṁ kr̥tavān ētādr̥śā yūyaṁ mama vadanaṁ puna rdraṣṭuṁ na prāpsyatha ētadapyahaṁ jānāmi|
ACT.20.26	yuṣmabhyam aham īśvarasya sarvvān ādēśān prakāśayituṁ na nyavarttē|
ACT.20.27	ahaṁ sarvvēṣāṁ lōkānāṁ raktapātadōṣād yannirdōṣa āsē tasyādya yuṣmān sākṣiṇaḥ karōmi|
ACT.20.28	yūyaṁ svēṣu tathā yasya vrajasyādhyakṣan ātmā yuṣmān vidhāya nyayuṅkta tatsarvvasmin sāvadhānā bhavata, ya samājañca prabhu rnijaraktamūlyēna krītavāna tam avata,
ACT.20.29	yatō mayā gamanē kr̥taēva durjayā vr̥kā yuṣmākaṁ madhyaṁ praviśya vrajaṁ prati nirdayatām ācariṣyanti,
ACT.20.30	yuṣmākamēva madhyādapi lōkā utthāya śiṣyagaṇam apahantuṁ viparītam upadēkṣyantītyahaṁ jānāmi|
ACT.20.31	iti hētō ryūyaṁ sacaitanyāḥ santastiṣṭata, ahañca sāśrupātaḥ san vatsaratrayaṁ yāvad divāniśaṁ pratijanaṁ bōdhayituṁ na nyavarttē tadapi smarata|
ACT.20.32	idānīṁ hē bhrātarō yuṣmākaṁ niṣṭhāṁ janayituṁ pavitrīkr̥talōkānāṁ madhyē'dhikārañca dātuṁ samarthō ya īśvarastasyānugrahasya yō vādaśca tayōrubhayō ryuṣmān samārpayam|
ACT.20.33	kasyāpi svarṇaṁ rūpyaṁ vastraṁ vā prati mayā lōbhō na kr̥taḥ|
ACT.20.34	kintu mama matsahacaralōkānāñcāvaśyakavyayāya madīyamidaṁ karadvayam aśrāmyad ētad yūyaṁ jānītha|
ACT.20.35	anēna prakārēṇa grahaṇad dānaṁ bhadramiti yadvākyaṁ prabhu ryīśuḥ kathitavān tat smarttuṁ daridralōkānāmupakārārthaṁ śramaṁ karttuñca yuṣmākam ucitam ētatsarvvaṁ yuṣmānaham upadiṣṭavān|
ACT.20.36	ētāṁ kathāṁ kathayitvā sa jānunī pātayitvā sarvaiḥ saha prārthayata|
ACT.20.37	tēna tē krandrantaḥ
ACT.20.38	puna rmama mukhaṁ na drakṣyatha viśēṣata ēṣā yā kathā tēnākathi tatkāraṇāt śōkaṁ vilāpañca kr̥tvā kaṇṭhaṁ dhr̥tvā cumbitavantaḥ| paścāt tē taṁ pōtaṁ nītavantaḥ|
ACT.21.1	tai rvisr̥ṣṭāḥ santō vayaṁ pōtaṁ bāhayitvā r̥jumārgēṇa kōṣam upadvīpam āgatya parē'hani rōdiyōpadvīpam āgacchāma tatastasmāt pātārāyām upātiṣṭhāma|
ACT.21.2	tatra phainīkiyādēśagāminam pōtamēkaṁ prāpya tamāruhya gatavantaḥ|
ACT.21.3	kuprōpadvīpaṁ dr̥ṣṭvā taṁ savyadiśi sthāpayitvā suriyādēśaṁ gatvā pōtasthadravyāṇyavarōhayituṁ sōranagarē lāgitavantaḥ|
ACT.21.4	tatra śiṣyagaṇasya sākṣātkaraṇāya vayaṁ tatra saptadināni sthitavantaḥ paścāttē pavitrēṇātmanā paulaṁ vyāharan tvaṁ yirūśālamnagaraṁ mā gamaḥ|
ACT.21.5	tatastēṣu saptasu dinēṣu yāpitēṣu satsu vayaṁ tasmāt sthānāt nijavartmanā gatavantaḥ, tasmāt tē sabālavr̥ddhavanitā asmābhiḥ saha nagarasya parisaraparyyantam āgatāḥ paścādvayaṁ jaladhitaṭē jānupātaṁ prārthayāmahi|
ACT.21.6	tataḥ parasparaṁ visr̥ṣṭāḥ santō vayaṁ pōtaṁ gatāstē tu svasvagr̥haṁ pratyāgatavantaḥ|
ACT.21.7	vayaṁ sōranagarāt nāvā prasthāya talimāyinagaram upātiṣṭhāma tatrāsmākaṁ samudrīyamārgasyāntō'bhavat tatra bhrātr̥gaṇaṁ namaskr̥tya dinamēkaṁ taiḥ sārddham uṣatavantaḥ|
ACT.21.8	parē 'hani paulastasya saṅginō vayañca pratiṣṭhamānāḥ kaisariyānagaram āgatya susaṁvādapracārakānāṁ saptajanānāṁ philipanāmna ēkasya gr̥haṁ praviśyāvatiṣṭhāma|
ACT.21.9	tasya catasrō duhitarō'nūḍhā bhaviṣyadvādinya āsan|
ACT.21.10	tatrāsmāsu bahudināni prōṣitēṣu yihūdīyadēśād āgatyāgābanāmā bhaviṣyadvādī samupasthitavān|
ACT.21.11	sōsmākaṁ samīpamētya paulasya kaṭibandhanaṁ gr̥hītvā nijahastāpādān baddhvā bhāṣitavān yasyēdaṁ kaṭibandhanaṁ taṁ yihūdīyalōkā yirūśālamanagara itthaṁ baddhvā bhinnadēśīyānāṁ karēṣu samarpayiṣyantīti vākyaṁ pavitra ātmā kathayati|
ACT.21.12	ētādr̥śīṁ kathāṁ śrutvā vayaṁ tannagaravāsinō bhrātaraśca yirūśālamaṁ na yātuṁ paulaṁ vyanayāmahi;
ACT.21.13	kintu sa pratyāvādīt, yūyaṁ kiṁ kurutha? kiṁ krandanēna mamāntaḥkaraṇaṁ vidīrṇaṁ kariṣyatha? prabhō ryīśō rnāmnō nimittaṁ yirūśālami baddhō bhavituṁ kēvala tanna prāṇān dātumapi sasajjōsmi|
ACT.21.14	tēnāsmākaṁ kathāyām agr̥hītāyām īśvarasya yathēcchā tathaiva bhavatvityuktvā vayaṁ nirasyāma|
ACT.21.15	parē'hani pāthēyadravyāṇi gr̥hītvā yirūśālamaṁ prati yātrām akurmma|
ACT.21.16	tataḥ kaisariyānagaranivāsinaḥ katipayāḥ śiṣyā asmābhiḥ sārddham itvā kr̥prīyēna mnāsannāmnā yēna prācīnaśiṣyēna sārddham asmābhi rvastavyaṁ tasya samīpam asmān nītavantaḥ|
ACT.21.17	asmāsu yirūśālamyupasthitēṣu tatrasthabhrātr̥gaṇō'smān āhlādēna gr̥hītavān|
ACT.21.18	parasmin divasē paulē'smābhiḥ saha yākūbō gr̥haṁ praviṣṭē lōkaprācīnāḥ sarvvē tatra pariṣadi saṁsthitāḥ|
ACT.21.19	anantaraṁ sa tān natvā svīyapracāraṇēna bhinnadēśīyān pratīśvarō yāni karmmāṇi sādhitavān tadīyāṁ kathām anukramāt kathitavān|
ACT.21.20	iti śrutvā tē prabhuṁ dhanyaṁ prōcya vākyamidam abhāṣanta, hē bhrāta ryihūdīyānāṁ madhyē bahusahasrāṇi lōkā viśvāsina āsatē kintu tē sarvvē vyavasthāmatācāriṇa ētat pratyakṣaṁ paśyasi|
ACT.21.21	śiśūnāṁ tvakchēdanādyācaraṇaṁ pratiṣidhya tvaṁ bhinnadēśanivāsinō yihūdīyalōkān mūsāvākyam aśraddhātum upadiśasīti taiḥ śrutamasti|
ACT.21.22	tvamatrāgatōsīti vārttāṁ samākarṇya jananivahō militvāvaśyamēvāgamiṣyati; ataēva kiṁ karaṇīyam? atra vayaṁ mantrayitvā samupāyaṁ tvāṁ vadāmastaṁ tvamācara|
ACT.21.23	vrataṁ karttuṁ kr̥tasaṅkalpā yē'smāṁka catvārō mānavāḥ santi
ACT.21.24	tān gr̥hītvā taiḥ sahitaḥ svaṁ śuciṁ kuru tathā tēṣāṁ śirōmuṇḍanē yō vyayō bhavati taṁ tvaṁ dēhi| tathā kr̥tē tvadīyācārē yā janaśruti rjāyatē sālīkā kintu tvaṁ vidhiṁ pālayan vyavasthānusārēṇēvācarasīti tē bhōtsantē|
ACT.21.25	bhinnadēśīyānāṁ viśvāsilōkānāṁ nikaṭē vayaṁ patraṁ likhitvētthaṁ sthirīkr̥tavantaḥ, dēvaprasādabhōjanaṁ raktaṁ galapīḍanamāritaprāṇibhōjanaṁ vyabhicāraścaitēbhyaḥ svarakṣaṇavyatirēkēṇa tēṣāmanyavidhipālanaṁ karaṇīyaṁ na|
ACT.21.26	tataḥ paulastān mānuṣānādāya parasmin divasē taiḥ saha śuci rbhūtvā mandiraṁ gatvā śaucakarmmaṇō dinēṣu sampūrṇēṣu tēṣām ēkaikārthaṁ naivēdyādyutsargō bhaviṣyatīti jñāpitavān|
ACT.21.27	tēṣu saptasu dinēṣu samāptakalpēṣu āśiyādēśanivāsinō yihūdīyāstaṁ madhyēmandiraṁ vilōkya jananivahasya manaḥsu kupravr̥ttiṁ janayitvā taṁ dhr̥tvā
ACT.21.28	prōccaiḥ prāvōcan, hē isrāyēllōkāḥ sarvvē sāhāyyaṁ kuruta| yō manuja ētēṣāṁ lōkānāṁ mūsāvyavasthāyā ētasya sthānasyāpi viparītaṁ sarvvatra sarvvān śikṣayati sa ēṣaḥ; viśēṣataḥ sa bhinnadēśīyalōkān mandiram ānīya pavitrasthānamētad apavitramakarōt|
ACT.21.29	pūrvvaṁ tē madhyēnagaram iphiṣanagarīyaṁ traphimaṁ paulēna sahitaṁ dr̥ṣṭavanta ētasmāt paulastaṁ mandiramadhyam ānayad ityanvamimata|
ACT.21.30	ataēva sarvvasmin nagarē kalahōtpannatvāt dhāvantō lōkā āgatya paulaṁ dhr̥tvā mandirasya bahirākr̥ṣyānayan tatkṣaṇād dvārāṇi sarvvāṇi ca ruddhāni|
ACT.21.31	tēṣu taṁ hantumudyatēेṣu yirūśālamnagarē mahānupadravō jāta iti vārttāyāṁ sahasrasēnāpatēḥ karṇagōcarībhūtāyāṁ satyāṁ sa tatkṣaṇāt sainyāni sēnāpatigaṇañca gr̥hītvā javēnāgatavān|
ACT.21.32	tatō lōkāḥ sēnāgaṇēna saha sahasrasēnāpatim āgacchantaṁ dr̥ṣṭvā paulatāḍanātō nyavarttanta|
ACT.21.33	sa sahasrasēnāpatiḥ sannidhāvāgamya paulaṁ dhr̥tvā śr̥ṅkhaladvayēna baddham ādiśya tān pr̥ṣṭavān ēṣa kaḥ? kiṁ karmma cāyaṁ kr̥tavān?
ACT.21.34	tatō janasamūhasya kaścid ēkaprakāraṁ kaścid anyaprakāraṁ vākyam araut sa tatra satyaṁ jñātum kalahakāraṇād aśaktaḥ san taṁ durgaṁ nētum ājñāpayat|
ACT.21.35	tēṣu sōpānasyōpari prāptēṣu lōkānāṁ sāhasakāraṇāt sēnāgaṇaḥ paulamuttōlya nītavān|
ACT.21.36	tataḥ sarvvē lōkāḥ paścādgāminaḥ santa ēnaṁ durīkurutēti vākyam uccairavadan|
