GEN.1.1	In den beginne schiep God de hemel en de aarde. 
1CH.22.18	Is niet de 
1CH.22.19	Zet nu uw hart en uw ziel erop, de 
1CH.23.1	Toen David oud geworden was en van het leven verzadigd, maakte hij zijn zoon Salomo koning over Israël, 
1CH.23.2	en hij vergaderde alle oversten van Israël, de priesters en de Levieten. 
1CH.23.3	De Levieten nu van dertig jaar oud en daarboven werden geteld, en het getal van hun mannen, hoofd voor hoofd geteld, bedroeg achtendertigduizend. 
1CH.23.4	Van dezen moeten er vierentwintigduizend op het werk van het huis des 
1CH.23.5	vierduizend poortwachters; en vierduizend zullen de 
1CH.23.6	Ook verdeelde David hen in afdelingen volgens de zonen van Levi: Gerson, Kehat en Merari. 
1CH.23.7	Tot de Gersonieten behoorden Ladan en Simi. 
1CH.23.8	De zonen van Ladan waren: het hoofd Jechiël, Zetam en Joël, drie; 
1CH.23.9	de zonen van Simi: Selomit, Chaziël en Haran, drie. Dat waren de familiehoofden van Ladan. 
1CH.23.10	En de zonen van Simi: Jachat, Zina, Jeüs en Beria; dat waren de zonen van Simi, vier. 
1CH.23.11	Jachat was het hoofd, Ziza de tweede; maar Jeüs en Beria hadden niet veel zonen, daarom vormden zij samen één familie, één dienstgroep.
1CH.23.12	De zonen van Kehat waren: Amram, Jishar, Chebron en Uzziël, vier. 
1CH.23.13	De zonen van Amram: Aäron en Mozes; Aäron werd afgezonderd, opdat hij voor altijd als allerheiligst geheiligd zou worden, hij met zijn zonen, om offers te ontsteken voor het aangezicht des 
1CH.23.14	Wat Mozes, de man Gods, betreft, zijn zonen werden bij de stam Levi gerekend. 
1CH.23.15	De zonen van Mozes waren: Gersom en Eliëzer; 
1CH.23.16	de zonen van Gersom: Sebuël, het hoofd. 
1CH.23.17	De zonen van Eliëzer: Rechabja, het hoofd; en andere zonen had Eliëzer niet, maar de zonen van Rechabja waren buitengewoon talrijk. 
1CH.23.18	De zonen van Jishar waren: Selomit, het hoofd; 
1CH.23.19	de zonen van Chebron: Jeria, het hoofd; Amarja, de tweede; Jachaziël, de derde; Jekamam, de vierde. 
1CH.23.20	De zonen van Uzziël: Micha, het hoofd, en Jissia, de tweede.
1CH.23.21	De zonen van Merari waren: Machli en Musi; de zonen van Machli: Elazar en Kis. 
1CH.23.22	Toen Elazar stierf, had hij geen zonen, maar alleen dochters; de zonen van Kis, haar neven, namen ze tot vrouw. 
1CH.23.23	De zonen van Musi waren: Machli, Eder en Jeremot, drie.
1CH.23.24	Dit waren de Levieten naar hun families – de familiehoofden naar hun telling opgesomd met hun namen, hoofd voor hoofd – die een taak hadden bij de dienst van het huis des 
1CH.23.25	Want David had gezegd: De 
1CH.23.26	nu behoeven de Levieten de tabernakel en al zijn dienstgerei niet meer te dragen. 
1CH.23.27	Immers volgens de laatste bevelen van David werd het getal der Levieten gevormd door hen, die twintig jaar oud waren en daarboven. 
1CH.23.28	Zij stonden dan de zonen van Aäron terzijde bij de dienst in het huis des 
1CH.23.29	het toonbrood, het fijn meel voor het spijsoffer, de ongezuurde dunne koeken, de bakplaat, het beslag, en alle inhouds- en lengtematen; 
1CH.23.30	en moesten voorts elke morgen en avond gereedstaan om de 
1CH.23.31	en evenzeer bij het brengen van alle brandoffers aan de 
1CH.23.32	Zij moesten aan de tent der samenkomst hun taak vervullen, zowel ten aanzien van het heiligdom als van Aärons zonen, hun broeders, bij de dienst in het huis des 
1CH.24.1	De afdelingen der zonen van Aäron. De zonen van Aäron waren Nadab, Abihu, Eleazar en Itamar. 
1CH.24.2	Nadab en Abihu stierven nog vóór hun vader, zonder zonen te hebben, zodat Eleazar en Itamar het priesterambt bekleedden.
1CH.24.3	David, Sadok – uit de zonen van Eleazar – en Achimelek – uit de zonen van Itamar – verdeelden hen voor hun ambtswerk in dienstgroepen. 
1CH.24.4	Toen bleek het, dat de zonen van Eleazar meer groepshoofden hadden dan de zonen van Itamar; daarom deelde men hen aldus in: zestien hoofden voor de families van de zonen van Eleazar, en acht voor de families van de zonen van Itamar. 
1CH.24.5	Men deelde hen in bij loting, de ene groep zowel als de andere, omdat er oversten van het heiligdom – oversten Gods – zowel onder de zonen van Eleazar als onder de zonen van Itamar waren.
1CH.24.6	En Semaja, de zoon van Netanel, de schrijver, die tot de Levieten behoorde, schreef hen in ten overstaan van de koning, de oversten, de priester Sadok, Achimelek – de zoon van Abjatar – en van de familiehoofden der priesters en der Levieten; telkens werd één familie van Eleazar genomen, en dan ook één van Itamar.
1CH.24.7	Het eerste lot nu viel op Jojarib, het tweede op Jedaja, 
1CH.24.8	het derde op Charim, het vierde op Seorim, 
1CH.24.9	het vijfde op Malkia, het zesde op Miamin, 
1CH.24.10	het zevende op Hakkos, het achtste op Abia, 
1CH.24.11	het negende op Jesua, het tiende op Sekanja, 
1CH.24.12	het elfde op Eljasib, het twaalfde op Jakim, 
1CH.24.13	het dertiende op Chuppa, het veertiende op Jesebab, 
1CH.24.14	het vijftiende op Bilga, het zestiende op Immer, 
1CH.24.15	het zeventiende op Chezir, het achttiende op Happisses, 
1CH.24.16	het negentiende op Petachja, het twintigste op Jechezkel, 
1CH.24.17	het eenentwintigste op Jakin, het tweeëntwintigste op Gamul, 
1CH.24.18	het drieëntwintigste op Delaja, het vierentwintigste op Maäzja. 
1CH.24.19	Dit zijn hun dienstgroepen voor hun ambtswerk, opdat zij het huis des 
1CH.24.20	Wat de overige zonen van Levi aangaat: tot de zonen van Amram behoorden nog Subaël, tot de zonen van Subaël: Jechdejahu. 
1CH.24.21	Wat Rechabja aangaat: tot de zonen van Rechabja behoorde het hoofd Jissia; 
1CH.24.22	tot de Jisharieten behoorde Selomot; tot de zonen van Selomot Jachat. 
1CH.24.23	De zonen (van Chebron waren: het hoofd) Jeria; Amarja, de tweede; Jachaziël, de derde; Jekamam, de vierde. 
1CH.24.24	De zonen van Uzziël: Micha; uit de zonen van Micha: Samir. 
1CH.24.25	De broeder van Micha was Jissia; uit de zonen van Jissia: Zekarja. 
1CH.24.26	De zonen van Merari waren Machli en Musi, de zonen van zijn zoon Jaäziahu. 
1CH.24.27	De zonen van Merari uit zijn zoon Jaäziahu: Soham, Zakkur en Ibri. 
1CH.24.28	Van Machli: Elazar; deze had geen zonen. 
1CH.24.29	Wat Kis aangaat, de zonen van Kis: Jerachmeël. 
1CH.24.30	En de zonen van Musi waren Machli, Eder en Jerimot. Dit zijn de zonen der Levieten volgens hun families. 
1CH.24.31	Ook zij wierpen het lot, evenals hun broeders, de zonen van Aäron, ten overstaan van koning David, Sadok, Achimelek en de familiehoofden der priesters en der Levieten; het hoofd van elke familie evenzeer als zijn jongste broeder.
1CH.25.1	Voorts zonderden David en de legeroversten tot de dienst af de zonen van Asaf, Heman en Jedutun, die profeteerden bij het spel van citers, harpen en cimbalen. De lijst der mannen die dit dienstwerk verrichtten, was de volgende. 
1CH.25.2	De zonen van Asaf: Zakkur, Jozef, Netanja, Asarela, zonen van Asaf, onder leiding van Asaf, die profeteerde, daartoe door de koning aangewezen. 
1CH.25.3	Jedutun: de zonen van Jedutun: Gedalja, Seri, Jesaja, Chasabja en Mattitja, zes, onder leiding van hun vader Jedutun, die bij het spel van de citer profeteerde onder het loven en prijzen van de 
1CH.25.4	Heman: de zonen van Heman: Bukkiahu, Mattanja, Uzziël, Sebuël, Jerimot, Chananja, Chanani, Eliata, Giddalti, Romamti-Ezer, Josbekasa, Malloti, Hotir en Machaziot. 
1CH.25.5	Deze allen waren zonen van Heman, de ziener des konings, die de woorden Gods vertolkte, om de hoorn te verhogen; God had Heman veertien zonen en drie dochters gegeven.
1CH.25.6	Die allen namen, onder leiding van hun vader, deel aan het gezang in het huis des 
1CH.25.7	en hun aantal bedroeg, met inbegrip van hun broeders die onderricht waren in de zang voor de 
1CH.25.8	Zij wierpen het lot voor de regeling der diensten, de jongste evenzeer als de oudste, de volleerde zowel als de leerling. 
1CH.25.9	Het eerste lot – voor Asaf – viel op Jozef; Gedalja was de tweede: hijzelf, zijn broeders en zijn zonen: twaalf. 
1CH.25.10	De derde was Zakkur, zijn zonen en zijn broeders: twaalf; 
1CH.25.11	de vierde was Jisri, zijn zonen en zijn broeders: twaalf; 
1CH.25.12	de vijfde was Netanja, zijn zonen en zijn broeders: twaalf; 
1CH.25.13	de zesde was Bukkiahu, zijn zonen en zijn broeders: twaalf; 
1CH.25.14	de zevende was Jesarela, zijn zonen en zijn broeders: twaalf; 
1CH.25.15	de achtste was Jesaja, zijn zonen en zijn broeders: twaalf; 
1CH.25.16	de negende was Mattanja, zijn zonen en zijn broeders: twaalf; 
1CH.25.17	de tiende was Simi, zijn zonen en zijn broeders: twaalf; 
1CH.25.18	de elfde was Azarel, zijn zonen en zijn broeders: twaalf; 
1CH.25.19	de twaalfde was Chasabja, zijn zonen en zijn broeders: twaalf; 
1CH.25.20	de dertiende was Subaël, zijn zonen en zijn broeders: twaalf; 
1CH.25.21	de veertiende was Mattitja, zijn zonen en zijn broeders: twaalf; 
1CH.25.22	de vijftiende was Jeremot, zijn zonen en zijn broeders: twaalf; 
1CH.25.23	de zestiende was Chananja, zijn zonen en zijn broeders: twaalf; 
1CH.25.24	de zeventiende was Josbekasa, zijn zonen en zijn broeders: twaalf; 
1CH.25.25	de achttiende was Chanani, zijn zonen en zijn broeders: twaalf; 
1CH.25.26	de negentiende was Malloti, zijn zonen en zijn broeders: twaalf; 
1CH.25.27	de twintigste was Eliata, zijn zonen en zijn broeders: twaalf; 
1CH.25.28	de eenentwintigste was Hotir, zijn zonen en zijn broeders: twaalf; 
1CH.25.29	de tweeëntwintigste was Giddalti, zijn zonen en zijn broeders: twaalf; 
1CH.25.30	de drieëntwintigste was Machaziot, zijn zonen en zijn broeders: twaalf; 
1CH.25.31	de vierentwintigste was Romamti-Ezer, zijn zonen en zijn broeders: twaalf.
1CH.26.1	De afdelingen der poortwachters. De Korachieten: Meselemja, de zoon van Kore, uit de zonen van Asaf. 
1CH.26.2	Van Meselemja de zonen: de eerstgeborene Zekarja, de tweede Jediaël, de derde Zebadja, de vierde Jatniël, 
1CH.26.3	de vijfde Elam, de zesde Jochanan, de zevende Eljoënai. 
1CH.26.4	Van Obed-Edom de zonen: de eerstgeborene Semaja, de tweede Jozabad, de derde Joach, de vierde Sakar, de vijfde Netanel, 
1CH.26.5	de zesde Ammiël, de zevende Issakar, de achtste Peülletai; want God had hem gezegend. 
1CH.26.6	Aan zijn zoon Semaja werden zonen geboren, die regeerden over hun familie, want zij waren dappere helden. 
1CH.26.7	De zonen van Semaja waren Otni, Refaël, Obed, Elzabad met zijn broeders, kloeke mannen, Elihu en Semakjahu. 
1CH.26.8	Deze allen behoorden tot de zonen van Obed-Edom; zij, hun zonen en hun broeders, kloeke mannen, tot de dienst bekwaam: tweeënzestig uit het geslacht Obed-Edom. 
1CH.26.9	En van Meselemja, de zonen en broeders, kloeke mannen, achttien.
1CH.26.10	Van Chosa, uit de zonen van Merari, de zonen: Simri het hoofd – al was hij niet de eerstgeborene, zijn vader had hem tot hoofd gemaakt –, 
1CH.26.11	Chilkia de tweede, Tebaljahu de derde, Zekarja de vierde; de zonen en broeders van Chosa waren tezamen dertien. 
1CH.26.12	Deze afdelingen der poortwachters, naar de groepshoofden ingedeeld, hadden evenals hun broeders tot taak te dienen in het huis des 
1CH.26.13	Zij lootten om elke poort, volgens hun families, zowel de jongste als de oudste. 
1CH.26.14	Het lot voor de Oostpoort viel op Selemja; toen men het lot wierp voor zijn zoon Zekarja, een verstandig raadsman, viel zijn lot op de Noordpoort. 
1CH.26.15	Voor Obed-Edom was de Zuidpoort, en voor zijn zonen de voorraadkamer. 
1CH.26.16	Voor Suppim en Chosa de Westpoort, benevens de Salleketpoort bij de oplopende straat, de ene wachtpost tegenover de andere: 
1CH.26.17	aan de oostkant (dagelijks) zes Levieten, aan de noordkant dagelijks vier, aan de zuidkant dagelijks vier, en bij de voorraden om beurten twee; 
1CH.26.18	bij het bijgebouw aan de westzijde vier aan de straat en twee bij het bijgebouw. 
1CH.26.19	Dit waren de afdelingen der poortwachters van de zonen van Korach en van de zonen van Merari.
1CH.26.20	Hun broeders, de Levieten, die het opzicht hadden over de schatten van het huis Gods en over de schatten der geheiligde voorwerpen, 
1CH.26.21	waren de zonen van de Gersoniet Ladan, de familiehoofden van de Gersoniet Ladan: Jechiëli. 
1CH.26.22	De zonen van Jechiëli, Zetam en zijn broeder Joël, hadden het opzicht over de schatten van het huis des 
1CH.26.23	Van de Amramieten, de Jisharieten, de Chebronieten en de Uzziëlieten 
1CH.26.24	was Sebuël, de zoon van Gersom, de zoon van Mozes, vorst over de schatten. 
1CH.26.25	Zijn verwanten in de lijn van Eliëzer waren: diens zoon Rechabja, diens zoon Jesaja, diens zoon Joram, diens zoon Zikri en diens zoon Selomit – 
1CH.26.26	deze Selomit en zijn broeders hadden het opzicht over alle schatten van de geheiligde voorwerpen, die koning David en de familiehoofden, de oversten over duizend en honderd en de legeroversten, hadden geheiligd. 
1CH.26.27	Uit de oorlogsbuit hadden zij ze geheiligd, tot verrijking van het huis des 
1CH.26.28	Ook stond alles wat de ziener Samuël, Saul, de zoon van Kis, Abner, de zoon van Ner, en Joab, de zoon van Seruja, of wie ook maar, geheiligd hadden, onder toezicht van Selomit en zijn broeders.
1CH.26.29	Uit de Jisharieten waren Kenanja en zijn zonen in de buitendienst als beambten en rechters over Israël werkzaam. 
1CH.26.30	Van de Chebronieten hadden Chasabja en zijn verwanten, zeventienhonderd kloeke mannen, het opzicht over Israël aan de westzijde van de Jordaan, voor alles wat het werk voor de 
1CH.26.31	Uit de Chebronieten was Jeria het hoofd, van de nakomelingen en families der Chebronieten; naar hen werd in het veertigste jaar van Davids koningschap onderzoek gedaan, en er werden dappere helden onder hen gevonden in Jazer in Gilead. 
1CH.26.32	Zijn verwanten waren kloeke mannen, tweeduizend zevenhonderd, familiehoofden. Dezen stelde koning David aan over de Rubenieten, de Gadieten en de halve stam der Manassieten, voor alles wat de dienst van God en de zaken van de koning betrof.
1CH.27.1	Dit zijn de Israëlieten naar hun getal, de familiehoofden, de oversten over duizend en honderd, en hun beambten, die de koning dienden in alle zaken betreffende de legerafdelingen, waarvan er maandelijks één opkwam en een ander met verlof ging, alle maanden van het jaar door; elke afdeling telde vierentwintigduizend man.
1CH.27.2	Aan het hoofd van de eerste afdeling, voor de eerste maand, stond Jasobam, de zoon van Zabdiël; tot zijn afdeling behoorden vierentwintigduizend man; 
1CH.27.3	hij was uit de zonen van Peres, en het hoofd van alle legeroversten in de eerste maand. 
1CH.27.4	En over de afdeling der tweede maand stond Dodai, de Achochiet, en tot zijn afdeling behoorde de vorst Miklot; tot zijn afdeling behoorden vierentwintigduizend man. 
1CH.27.5	De derde legeroverste, voor de derde maand, was Benaja, de zoon van Jojada, de hogepriester; tot zijn afdeling behoorden vierentwintigduizend man; 
1CH.27.6	deze Benaja was één van de dertig helden en stond aan het hoofd van de dertig; en (tot) zijn afdeling (behoorde) zijn zoon Ammizabad. 
1CH.27.7	De vierde, voor de vierde maand, was Asaël, de broeder van Joab, en na hem zijn zoon Zebadja; tot zijn legerafdeling behoorden vierentwintigduizend man. 
1CH.27.8	De vijfde, voor de vijfde maand, was de overste Samhut, de Jizrachiet; tot zijn afdeling behoorden vierentwintigduizend man. 
1CH.27.9	De zesde, voor de zesde maand, was Ira, de zoon van de Tekoïet Ikkes; tot zijn afdeling behoorden vierentwintigduizend man. 
1CH.27.10	De zevende, voor de zevende maand, was de Peloniet Cheles, uit de Efraïmieten; tot zijn afdeling behoorden vierenentwintigduizend man. 
1CH.27.11	De achtste, voor de achtste maand, was de Chusatiet Sibbekai, van de Zarchieten; tot zijn afdeling behoorden vierentwintigduizend man. 
1CH.27.12	De negende, voor de negende maand, was de Antotiet Abiëzer, van de Benjaminieten; tot zijn afdeling behoorden vierentwintigduizend man. 
1CH.27.13	De tiende, voor de tiende maand, was de Netofatiet Maharai, van de Zarchieten; tot zijn afdeling behoorden vierentwintigduizend man. 
1CH.27.14	De elfde, voor de elfde maand, was de Piratoniet Benaja, van de Efraïmieten; tot zijn afdeling behoorden vierentwintigduizend man. 
1CH.27.15	De twaalfde, voor de twaalfde maand, was de Netofatiet Cheldai, die afstamde van Otniël; tot zijn afdeling behoorden vierentwintigduizend man.
1CH.27.16	Aan het hoofd van de stammen van Israël stonden: bij de Rubenieten vorst Eliëzer, de zoon van Zikri; bij de Simeonieten Sefatja, de zoon van Maäka; 
1CH.27.17	bij Levi Chasabja, de zoon van Kemuël; bij Aäron Sadok; 
1CH.27.18	bij Juda Elihu, een van Davids broeders; bij Issakar Omri, de zoon van Michaël; 
1CH.27.19	bij Zebulon Jismaja, de zoon van Obadja; bij Naftali Jerimot, de zoon van Azriël; 
1CH.27.20	bij de Efraïmieten Hosea, de zoon van Azazjahu; bij half Manasse Joël, de zoon van Pedaja; 
1CH.27.21	bij de halve stam Manasse in Gilead Jiddo, de zoon van Zekarja; bij Benjamin Jaäsiël, de zoon van Abner; 
1CH.27.22	bij Dan Azarel, de zoon van Jerocham; dit waren de oversten van Israëls stammen.
1CH.27.23	Nu had David niet opgenomen het getal van hen, die twintig jaar en daarbeneden waren, want de 
1CH.27.24	en Joab, de zoon van Seruja, was wel met tellen begonnen, maar had dit niet voleindigd, omdat hierdoor toorn over Israël gekomen was. Daarom is het getal niet opgenomen in de lijst van de kronieken van koning David.
1CH.27.25	Over de voorraden des konings ging Azmawet, de zoon van Adiël; over de voorraden op het land, in de steden, de dorpen en de torens Jonatan, de zoon van Uzzia. 
1CH.27.26	Over de veldarbeiders, die het land moesten bebouwen, ging Ezri, de zoon van Kelub; 
1CH.27.27	over de wijngaarden de Ramatiet Simi; over de voorraden wijn in de wijngaarden echter de Sifmiet Zabdi. 
1CH.27.28	Over de olijfbomen en de moerbeivijgebomen in de Laagte ging de Gederiet Baäl-Chanan, en over de olievoorraden Joas. 
1CH.27.29	Over de runderen, die in Saron weidden, ging de Saroniet Sitrai, maar over de runderen in de dalen Safat, de zoon van Adlai. 
1CH.27.30	Over de kamelen ging de Ismaëliet Obil; over de ezelinnen de Meronotiet Jechdejahu; 
1CH.27.31	en over het kleinvee de Hagriet Jaziz. Deze allen waren de beheerders van de have van koning David.
1CH.27.32	Jonatan, Davids oom, was raadsheer, een man van inzicht en een schrijver; en Jechiël, de zoon van Chakmoni, was bij de zonen des konings. 
1CH.27.33	Achitofel was eveneens een raadsheer van de koning, terwijl de Arkiet Chusai des konings vriend was; 
1CH.27.34	en na Achitofel: Jojada, de zoon van Benaja, en Abjatar. Krijgsoverste van de koning was Joab.
1CH.28.1	David riep te Jeruzalem samen alle oversten van Israël, de oversten der stammen, de oversten van de afdelingen die de koning dienden, de oversten over duizend, de oversten over honderd en de beheerders van alle have en vee van de koning en van zijn zonen, tezamen met de hovelingen, de helden en alle weerbare mannen.
1CH.28.2	Toen stond koning David op en zeide: Hoort mij aan, mijn broeders en mijn volk. Ik zelf had het voornemen, een huis der rust te bouwen voor de ark van het verbond des 
1CH.28.3	Maar God heeft tot mij gezegd: Gij moogt voor mijn naam geen huis bouwen, want gij zijt een krijgsman en gij hebt bloed vergoten. 
1CH.28.4	Toch heeft de 
1CH.28.5	Uit al mijn zonen – want de 
1CH.28.6	En Hij zeide tot mij: Uw zoon Salomo is het, die mijn huis en mijn voorhoven bouwen zal, want Ik heb Mij hem tot een zoon verkoren, ook zal Ik hem tot een vader zijn; 
1CH.28.7	en Ik zal zijn koningschap voor altijd bevestigen, wanneer hij volhardt in het betrachten van mijn geboden en mijn verordeningen, gelijk heden ten dage. 
1CH.28.8	Nu dan, ten aanschouwen van geheel Israël, de gemeente des 
1CH.28.9	En gij, mijn zoon Salomo, ken de God van uw vader, en dien Hem met een volkomen toegewijd hart en een bereidwillig gemoed, want de 
1CH.28.10	Zie nu, hoe de 
1CH.28.11	Toen gaf David aan zijn zoon Salomo het ontwerp van de voorhal met de daarbij behorende gebouwen, schatkamers, bovenvertrekken en binnenzalen, en van het vertrek voor het verzoendeksel; 
1CH.28.12	ook het ontwerp van alles wat hij in zijn geest had bedacht: voor de voorhoven van het huis des 
1CH.28.13	voor de afdelingen der priesters en der Levieten, voor alle dienstwerk in het huis des 
1CH.28.14	(Hij gaf) het benodigde gewicht aan goud voor alle gerei van elke dienst afzonderlijk en het benodigde gewicht aan zilver voor alle gerei van elke dienst afzonderlijk, 
1CH.28.15	namelijk het gewicht voor de gouden kandelaars en hun gouden lampen, overeenkomstig het gewicht van elke kandelaar en de daarbij behorende lampen afzonderlijk, en dat voor de zilveren kandelaars overeenkomstig het gewicht van elke kandelaar en zijn lampen, naar de bestemming van elke kandelaar afzonderlijk; 
1CH.28.16	ook het benodigde gewicht aan goud voor de tafels der toonbroden, elke tafel afzonderlijk, en aan zilver voor de zilveren tafels. 
1CH.28.17	Voorts zuiver goud voor de vorken, de sprengbekkens en de kannen; voor de gouden bekers, overeenkomstig het gewicht van elke beker afzonderlijk, en voor de zilveren bekers, overeenkomstig het gewicht van elke beker afzonderlijk. 
1CH.28.18	Ook gelouterd goud voor het reukofferaltaar, overeenkomstig het gewicht; en goud voor de beeltenis van de wagen, de cherubs, die met uitgespreide vleugels de ark van het verbond des 
1CH.28.19	Alles staat in een geschrift, ontvangen uit de hand des 
1CH.28.20	Toen zeide David tot zijn zoon Salomo: Wees sterk en moedig, en doe het: vrees niet en wees niet verschrikt, want de 
1CH.28.21	Zie, de afdelingen der priesters en der Levieten zijn daar voor heel de dienst van het huis Gods, en gij hebt bij elk soort van werk de beschikking over allerlei gewillige lieden, die bedreven zijn in elke arbeid; de oversten en het gehele volk staan bij alles tot uw dienst.
1CH.29.1	Daarop zeide koning David tot de gehele gemeente: Mijn zoon Salomo, de enige, door God verkoren, is nog een tengere knaap, en het werk is groot, want deze burcht is niet voor een mens bestemd, maar voor de 
1CH.29.2	Daarom heb ik, zoveel ik vermocht, gereedgelegd voor het huis van mijn God: goud voor de gouden, zilver voor de zilveren, koper voor de koperen, ijzer voor de ijzeren, hout voor de houten voorwerpen, chrysoprasen en vulstenen, zwarte en kleurige stenen, allerlei edelgesteente en wit marmer in menigte. 
1CH.29.3	Maar nu schenk ik nog bovendien, uit liefde voor het huis van mijn God, van wat ik zelf aan goud en zilver bezit, aan het huis van mijn God, behalve wat ik voor het heiligdom heb gereedgelegd: 
1CH.29.4	drieduizend talenten goud, goud van Ofir, en zevenduizend talenten gelouterd zilver, om de muren der gebouwen te overtrekken; 
1CH.29.5	goud voor de gouden en zilver voor de zilveren voorwerpen, en voor alles wat door de handwerkslieden wordt gemaakt. Wie verklaart zich nu bereid, om heden de 
1CH.29.6	Toen verklaarden zich daartoe bereid de oversten der families, de oversten van Israëls stammen, de oversten over duizend en honderd en de oversten over het werk des konings; 
1CH.29.7	zij gaven voor de dienst van het huis Gods vijfduizend talenten goud en tienduizend darieken; tienduizend talenten zilver; achttienduizend talenten koper en honderdduizend talenten ijzer. 
1CH.29.8	Wie edelstenen bij zich had, gaf die, voor de schat van het huis des 
1CH.29.9	Het volk verheugde zich over hun gewilligheid, want zij gaven met een volkomen toegewijd hart vrijwillig aan de 
1CH.29.10	Toen prees David de 
1CH.29.11	Van U, o 
1CH.29.12	Want rijkdom en eer komen van U, en Gij heerst over alles; in uw hand is sterkte en kracht, en Gij hebt het in uw macht een ieder groot en sterk te maken.
1CH.29.13	Thans loven wij U, o onze God, en prijzen wij uw heerlijke naam. 
1CH.29.14	Wie toch ben ik, en wat is mijn volk, dat wij in staat zouden zijn zulke vrijwillige gaven te schenken? Want het komt alles van U, en wij geven het U uit uw hand. 
1CH.29.15	Voorwaar, wij zijn vreemdelingen en bijwoners voor uw aangezicht, gelijk al onze vaderen; als een schaduw zijn onze dagen op aarde, zonder hoop. 
1CH.29.16	, onze God, al deze rijkdom die wij bijeengebracht hebben om U een huis te bouwen voor uw heilige naam, komt uit uw hand; U behoort het alles. 
1CH.29.17	Ik weet, mijn God, dat Gij het hart toetst en een welbehagen hebt in oprechtheid – ik heb in oprechtheid mijns harten U dit alles vrijwillig gegeven; nu heb ik met vreugde gezien, hoe ook uw volk dat zich hier bevindt, U vrijwillig gaven bracht. 
1CH.29.18	, God van onze vaderen Abraham, Isaak en Israël, houd deze gezindheid in het hart van uw volk voor altijd in stand, en richt hun hart op U. 
1CH.29.19	En geef mijn zoon Salomo een volkomen toegewijd hart, opdat hij uw geboden, uw getuigenissen en uw inzettingen onderhoudt, het alles volbrengt, en de burcht, die ik heb ontworpen, bouwt.
1CH.29.20	Daarop zeide David tot de gehele gemeente: Prijst nu de 
1CH.29.21	De volgende dag slachtten zij voor de 
1CH.29.22	Zij aten en dronken die dag voor het aangezicht des 
1CH.29.23	En Salomo zette zich op de troon des 
1CH.29.24	Alle oversten en helden en ook alle zonen van koning David betuigden hun trouw aan koning Salomo. 
1CH.29.25	De 
1CH.29.26	David, de zoon van Isaï, heeft geregeerd over geheel Israël, 
1CH.29.27	en de tijd, die hij over Israël regeerde, was veertig jaar: in Hebron regeerde hij zeven, in Jeruzalem drieëndertig jaar. 
1CH.29.28	Toen hij in goede ouderdom, verzadigd van leven, rijkdom en eer, gestorven was, werd zijn zoon Salomo koning in zijn plaats.
1CH.29.29	De geschiedenis van koning David, uit vroeger en later tijd, zie, deze staat beschreven in de geschiedenis van de ziener Samuël, van de profeet Natan en van de ziener Gad, 
1CH.29.30	tezamen met zijn gehele koninklijke staat en zijn macht, en met de tijden die over hem en Israël en over alle koninkrijken der andere landen zijn heengegaan.
2CH.1.1	Salomo, de zoon van David, betoonde zich krachtig in zijn koningschap; de 
2CH.1.2	Toen vaardigde Salomo een bevel uit aan geheel Israël: aan de oversten over duizend en over honderd, aan de rechters en aan al de vorsten van geheel Israël, de familiehoofden; 
2CH.1.3	en Salomo en de gehele gemeente met hem gingen naar de hoogte te Gibeon, want dáár stond de tent der samenkomst van God, die Mozes, de knecht des 
2CH.1.4	De ark Gods had David wel uit Kirjat-Jearim gevoerd naar de plaats die hij voor haar gereedgemaakt had – want David had voor haar een tent gespannen in Jeruzalem –, 
2CH.1.5	maar het koperen altaar dat Besaleël, de zoon van Uri, de zoon van Chur, had gemaakt, had hij vóór de tabernakel des 
2CH.1.6	En Salomo offerde daar voor het aangezicht des 
2CH.1.7	In die nacht verscheen God aan Salomo en zeide tot hem: Vraag; wat zal Ik u geven? 
2CH.1.8	Toen zeide Salomo tot God: Gij hebt aan mijn vader David grote goedertierenheid bewezen en mij in zijn plaats koning gemaakt. 
2CH.1.9	 God, laat nu uw woord tot mijn vader David bewaarheid worden, want Gij hebt mij koning gemaakt over een volk, talrijk als het stof der aarde. 
2CH.1.10	Geef mij thans wijsheid en kennis, dat ik voor dit volk kan uitgaan en ingaan, want wie zal dit grote volk van U kunnen richten? 
2CH.1.11	Toen zeide God tot Salomo: Omdat dit in uw hart geweest is en gij geen rijkdom, schatten of eer gevraagd hebt, noch het leven van uw haters, en zelfs geen lang leven, maar wijsheid en kennis voor u gevraagd hebt, om mijn volk, waarover Ik u koning gemaakt heb, te richten, 
2CH.1.12	zo zij de wijsheid en de kennis u gegeven; bovendien zal Ik u rijkdom, schatten en eer geven, zoals de koningen vóór u niet gehad hebben en na u niet zullen hebben. 
2CH.1.13	Toen keerde Salomo van de hoogte te Gibeon, van de tent der samenkomst, naar Jeruzalem terug, en hij regeerde over Israël.
2CH.1.14	Salomo nu bracht wagens en ruiters bijeen, zodat hij veertienhonderd wagens en twaalfduizend ruiters had; hij legde ze in de wagensteden en bij de koning in Jeruzalem. 
2CH.1.15	Ook maakte de koning het zilver en het goud in Jeruzalem overvloedig als stenen, en de ceders als moerbeivijgen, die in menigte in de Laagte groeien. 
