MAT.1.1	Si Abraham gëlok nennë, Dabid gë oli, Jisu Kristo gë hürum ë. 
ROM.7.18	Ngo chensidu ngoklo alë maanë duulükma, ëgë ngok tani amür güdu süar ë. Lëga ngoklo alë bë rülü nammë duulakuchin, ngo ëgum rüla gëkuma. 
ROM.7.19	Ngok alënë rüso mëënam ëm ngo rümadu, ëgum pënamë, ngo alë maanë ngok rülü maanam ëm rüyadu. 
ROM.7.20	Ngo yo go rülü maadudü ëgum ngo rüduboolo, ëgum rüdunë ngo ngoüë rüma; rügërëlla ngok muupuk asin ara sokë duunë rümur gënnë ngom rümo duuna. 
ROM.7.21	Ëkë lëga bë si Ayon si sëmbë agër gërdu; ngo yadü lo alënë agër go rülëpë ëmla mëëlen rëdü, ogo yo ëdü alë maanë okë rüpego ngom darlük simodu. 
ROM.7.22	Ayon ë Yürnë gëlokë aanë lëga bë ngo muupuk asin lobë mëëkendu. 
ROM.7.23	Rülachin ngo kaanamë këbë Ayon go ngok amür sigi agër rüdu, okkë Ayon ë nyiroh bë rümin sinam ëkë kaadu ëgum ngok muupuk asin ë tolük mingëdu. Sigi ngok amürlo agër rünë rümur gë Ayon ë Patëk lo duunë bë ngom rümodu. 
ROM.7.24	Ngo yo gochin mëëken maanë nyi go! Yë kuladü ngom simo deenë amür sokkë ngom tushü baalë deekunë? 
ROM.7.25	Rutum Jisu Kristo gëlokë ngom tushü baalë deekunë Yürnë ne koikdu! Ëmbë rünamë ngo sëmbë rüduuku; ngo aü ë ngoük asin aapuk nyum lo Yürnë gë Ayon ëm agër rüladu, rülachin ngok amür sigi rümur Ayon gë agër ëm rüjidu.
ROM.8.1	Ëkë lëga bë yë bulu Jisu Kristo gëlo duudu kudü, yëchin bü ëm menpak kumarë. 
ROM.8.2	Lëga ë Yürnë gë Doü gë Ayon ë, Jisu Kristo gëlokë turnam Ayon ë sinam gëla rümur gë Ayon lokkë ngom ajür dooku bë laasek to. 
ROM.8.3	Rümur amür gë torma leemo kolokë Ayon ë yo nago rüla maabadü, ëgum Yürnë rüto. Bü rümur ëm rükum doobë ëmla aü gë Oroh ëm tani garü bë rümur gë amür ëm gëdobë jilükla rümur bë sinam gë külübë jisito. 
ROM.8.4	Yürnë gë sëmbë rünamë, ngonu tani adin bë, Ayon gë monam bë yürnë gë Doü mëëgalo ngonuk rëki bë rënam ë buupü doobë ëmla. 
ROM.8.5	Tani adin amür bë rünë gaddë buluk asin aapuk ë adin gë mëëga lo rüdu. Okkë rülachin yë bulu Yürnë gë Doü mëëga lo rëdudü, buluk asin aapukë Doü gë mëëga lokë rëki bë rëdu. 
ROM.8.6	Tani amür gë mëëpe mope ëm rutum konamë nok sinamë; rügë rëlla Yürnë gë Doü mëëpe mope ëm rutum konamë nok turnamë okkë mëëken ë. 
ROM.8.7	Okkë yadü lo tani ë adin gë muupuk asin mëëpe mope ëm rutum korëdü ogo nyi ë Yürnë gë nyiroh bë rüdu; lëga ë bü Yürnë gë Ayon ëm tolükma, okkë bü ëmbë tolük lachin ma. 
ROM.8.8	Yë bulu adin lo rëdudü Yürnë gë mëëga ëm rülama.
ROM.8.9	Ëmbë rülachin Yürnë gë Doü ë nonuklo duuduboolo, nonnuëm tani adin ë rëgë maabë rüdola Doü ë rëgë du. Okkë yë bulu Kristo gë Doü ëm gëma duudü, bulu Kristo gëmo. 
ROM.8.10	Rülachin Kristo nonuklo duuduboolo, rümur lëga lo nonuk amür ë siku delachin, nonu Yürnë gëlo rëki bë rënam lëgalo Doü ë nonuk lëga bë turnamë. 
ROM.8.11	 Okkë, Jisu ne siko lokkëm turkur mokunë, Yürnë gë Doü ë, nonuklo duuduboolo, Kristo ne sikolokkë turkur kumonë ëgëchë nonuklo duunë, bük Doü lokë nonuk ngede kunë amürlo turnam ëm jirë.
ROM.8.12	Okë lëga bë mëëtin sinë ajen gadë, ngonuk rübë sisë ru go kaadu, rülachin sigi ngonuk tani adin gë mëëpe lokë duugë sa ma. 
ROM.8.13	Yo lëga nonu tani adin gë sëgu süar lokë rüboolo, nonu sidu ena; rülachin nonuk rümur rüpe ëm, Yürnë gë Doü lokë mokë boolo, nonu turrë. 
ROM.8.14	Yëm bulu Yürnë gë Doü ë rëgë duudü ëgë bulu Yürnë gë Oroh gaddë. 
ROM.8.15	 Yo lëga Yürnë gë Doü jinam ëgë nonnuëm lëken goda bosolo pakbo bë rümonë Doü ma; ëgum pënamë Yürnë gë Doü ë nonnuëm Yürnë gë Oroh bë rümodu, okkë Doü gë lokë ngonnuëm Yürnë ne “Abo Abo” ëmla gogla modu koë. 
ROM.8.16	Yürnë gë Doü ëla nonuk doü ë menbi sila ngonnuëm Yürnë gë aaji oloh bë ëmbi sidu. 
ROM.8.17	 Ngonu ijja bük aaji oloh ë boolo, ëmbë rünamë Yürnë bük nyi gaddëm ajinam rülibongo ëm paade në Yürnë gë aaji oloh bë rünnë, okkë Yürnë gë lëga bë ajinam ëm ngonuchin paamin gërë, lëga ngonu Kristo gë endür ëm enmin gëbolo ngonuchin bük tornam lou garü mingërë.
ROM.8.18	Ngok mëënamë ngonuk ijja gë rëdak sokë endür kaachoh ëm ngonuklo kaatomsa arüsinyonë koiksalo menrü sidubë rüma. 
ROM.8.19	Yürnë gë pülennam buppü ë bük Oroh gaddëm aen bë kaatom gordo bë ëmla tora ngamla duudu. 
ROM.8.20	 Yürnë pülen nam buppü ëm arë kaama doobë darlento, ëgë aü gë mëëpe lokë rüma, rülachin Yürnë bü ë ëmbë rümo jidenë. Yo bë rülachin ogo mëëgë sinam go doodu. 
ROM.8.21	Ëgë pülen nam gadë ëgë aü ë alo golo ngede kolokë ajür simo dookula Yürnë gë omë oroh gaddë arüsinyonë koik nam lokë mëëgalo rëdokubë aamo rëku. 
ROM.8.22	Yo lëga ngonu chendu pülen nam yëra buppü ë Ochi chinam garü bë sirum siro lobë sigin ginbë duuku. 
ROM.8.23	 Rülachin pülen nammë nyummo; Yürnë gë Doü jinyo ëm jicho nam ngonu, aü aü ë aralo ochi nam bë toradu, lëga ë Yürnë bü ngonnuëm bük aaji oloh bë modo bë okkë ngonnuëm buupü bë ajür dooku bë. 
ROM.8.24	Lëga ngonu mëëgë sikolokë tushü baalë nam ëm paato; rülachin ngonu yo lëga ëm mëëgë sidudü ëgë kaapa namgo, ëgë alë jaabë mëëgë nambë rüma. Yo lëga ë yë rem aü gë kaapa nam yëralo mëëgë sidonë? 
ROM.8.25	Rügë doola ngonuk kaapa simanamlo ngonu mëëgë sibolo, ëgum ngonu chetëm doola toradu.
ROM.8.26	Ngonnuëm torma leemo do ëmla, Yürnë gë Doü ë rügur taabë aadu; lëga yo chëbë kumken doodü ngonu ëgum chenma; ngonuk agom bë menken gëmabë sigin gënamëm, Yürnë gë Doü ë aü ë ngonuk lëga bë kumjidu. 
ROM.8.27	Okkë Yürnë, nyi buppü gë muurum aara ëm chennë, Doü ë yo go mëëdo modo dü chendu; yo lëga Doü ë nyi gaddëk kodin bë Yürnë bük lokë mëëga ëm kojidu.
ROM.8.28	Lëga ngonu yë bulu Yürnë ne aya duudü, Dëën Doü ë yëra buppülo alënë agërëm rüjidu. Yo rüla ëmrëm ngonu Yürnë bü yo go rütok mëëdodü rüdobë gognamë. 
ROM.8.29	Yürnë yëm darlen chobadü bü bü ëm bük Oroh chë garü doobë darlenla sola adëk to, ëgë Oroh ëgum mëëtin sinë atür lokë abü yaaru nëbë rüdobë ëmla. 
ROM.8.30	Okkë Yürnë bük darlen nam ëm bü gogdëk nentoku, okkë yëm bü gogdëk nenba dü bük rëkoklo rëki bë rëmoto; okkë bü yëm rëki bë rë badü bü ëm arüsinyo jaa bë koiknam ëm orpen sito.
ROM.8.31	Ëgë boolo ngonu yo go menrük sidobë? Yürnë bü ngonuk bë rüduboolo, yë ngonnuëm mëëlo moloh lado bë? 
ROM.8.32	Bü aü gë Oroh ëm endür kaachoh lokkëm rüge simo maabë; okkë ngonuk buppü gë lëga bë sijimoto. Bü aü gë Oroh ëm ngonuk lëga bë jirrëm, ngonnuëm yëra buppü ëm jinyo bë jimarëdü? 
ROM.8.33	Yë rem Yürnë bük darlen nam nyi gaddëm guunyü lükdenë? Yürnë bü ë bullëm guunyü kaama ëmbëkto! 
ROM.8.34	Ëmbërëm, yë rem bullëm menpak rüyë deenë? Sijikunë Jisu Kristo yaare ba, yëm sikolokkëm turkur moku badü okkë ijja gë Yürnë gë lakbëk lo duuduukula, ngonuk lëga bë Yürnë gëlo kumdunë bü re? 
ROM.8.35	Ëgë boolo, Yërem Kristo gë ngonnuëm aya lokkë laasek ladenë? Endür kaachoh ëre, enrik enkek ëre, morik chikek ëre, doma yarë ëre, güma sümobë nyima soki nammëre, boso ruunam ëre, ëgë maalachin sinam ngenam ërem ëmbë rüladenë?
ROM.8.36	“Nonuk lëga bë ngonu loonam buppü tëm sitë ngetëdu;
ROM.8.36	Nyi gaddë ngonnuëm pakë doobë solar boinnam garü bë rünya du.”
ROM.8.37	Ëgë mo, sogo yëra buppü sogo ngonnuëm Ayon ë bük rügur kolokë ngonu buupü bë rükumdu. 
ROM.8.38	Yo lëga ngo alë jaabë mëëdu yo ëchin bük aya lokkë ngonnuëm adëk lamarë; Ëgë sinam ëlachin ba turnam ëlachin, taayo lampoh ëlachin, ëgë malachin taayo mooko ëm rutum nëlachin, rëgë duunam okkë rëlësa ëlachin; 
ROM.8.39	Tani mooko lokkë okkë taayo mooko lokkëlachin, chompük gë lachin, pülen nam yëra buppü ëlachin ngonuk Rutum Jisu Kristo gëlokë Yürnë gë ayaëm ngonnuëm yëchin laapen silamarë.
ROM.9.1	Ngo yo go mendudü jijja ë; Ngo Kristo gë okkë ngo mëma. Ngok muupuk asin ëm Rutum në Dëën Doü ëchin ngok mëëgo saggo ë jijja ëru ëmla mentomdu. 
ROM.9.2	Ngo ngoük adin iyi okkë nyi gadëk lëga bë achi bë muupuk asin lo mëëtër kaama bë mëëdunam si, ngo jijja bë yadü go kai bë mëëdükduna! 
ROM.9.3	Yo lëga ngo ngoü ë buluk lëga bë Yürnë gë chenam beenamlo okkë Kristo gëlokë adëk sitolapë ëmla mëëdo. 
ROM.9.4	 Bulu Yürnë gë darnam nyi ë; Yürnë bü bullëm bük aaji oloh bë rümoto okkë tornam lou ëm buluklo orpen sito; bü buluklo agom Daapo ëm amin sila bullëpë Ayon ëm jito; bulu jijja bë kumsinam ëm paato okkë Yürnë gë Daapo bë chesinam ëm paato. 
ROM.9.5	Bulu ope buppü ëm nëmin minlen nëgë toku lokë olië, okkë Kristo ne tani amür bë aajur ogar nenko gë Ope ë. Ëkë lëga bë buppü ë yëra buppü ëm rutum ne Yürnë ne koik yaar laka! Amen.
ROM.9.6	Ngo Yürnë gë gombë Daapo ë dookuma ëmma doona; yo lëga Israel mooko lokë rënë nyi gaddë Yürnë gë darlen nam nyi nyum ë rëma. 
ROM.9.7	 Ëgë maalachin Abraham gë oli buppü ë Yürnë gë aaji oloh bë rüma. Yo lëga Yürnë Abraham ne mento, “Isaak gë oli nyum ëm nok oli bë külük rë.” 
ROM.9.8	Sigi ëmnam si tani adin amür lokë aajur ogar nam aaji oloh gaddë Yürnë gë aaji oloh ma; ëgum pënamë, Yürnë gë gombë Daapo lokë aajur ogar nam aaji oloh gaddëm tugda oli jaa bë külük du. 
ROM.9.9	 Yo lëga Yürnë gë gombë Daapo gë agom gadë sokë aato: “Sara ne oroh go odo bë, ngo odü paklo aakur rëku.”
ROM.9.10	Okkë sigi nyummo. Yo lëga Rebeka gë oroh anyi ëchin, abo aken, ngonuk ato tokur Isaak gëlokë. 
ROM.9.11	Rülachin opëmnam lokë oroh aken gonnëm Yürnë bük darnam ë bük aü gë mëëga ëm buupü doobë ëmla rüto, 
ROM.9.12	 Yo lëga Yürnë Rebeka mü ëm mento, “Abü yaa ë abür yaaëm rügur nëbë rürë.” Yürnë bü sigim bullëm aajur ogar damabë, bulu yo alënëlachin, alë maanëlachin rüka damabë mencho to; ëmbë rünamë Yürnë gë darnamë bük goggë naanëlokë rüto, okkë buluk yo gochin agër rüko lëga lokëmo. 
ROM.9.13	Yürnë gë Dëën boilo mendu, “Jakob ne dardëk to rülachin Esau ne darpak roto” ëmtu. 
ROM.9.14	Ëgë boolo ngonu Yürnë bü ëm tugda bë makanam go ëmsadü? rünam gëbë yaddë lochin ëmbëmo. 
ROM.9.15	 Lëga Moses ne bü mento, “Ngok mëëlük sinam nyi ëm ngo paknyom pakrë, okkë ngok kaalük kaanam ëm ngo aya kaaparë.” 
ROM.9.16	Ëmbë rünamë, sigi nyi tani gë mëëchëm lokë maalachin rüko lokëma, rügë rëlla Yürnë bük aya mëëpa kolokë nyum rüdu. 
ROM.9.17	 Lëga dëën boilo Pharoh ne Yürnë gë agom ë mento, “Ngok tornam leenam ëm kaatom doobë rünë gobë, okkë ngok amin ëm tani mooko buppü lo chenmo nago bë rümoso mëëla, ngok nom roja rüdo bë darlen paanamë.” 
ROM.9.18	Ëmbë rünamë, Yürnë yëm mëëlük doodü paknyo ëm pakdu okkë bü yëm mëëdek modek momaso mëëdu dü mëëdek modek moma.
ROM.9.19	Ëgë boolo nonuk lokë aken gonnë ngom menrë, “Sigi boolo, yo ëmbë Yürnë nyi aken golokë rümur ajë ëm mapa podobë? Yë Yürnë gë mëëchëm namëm menpak sila doobë?”
ROM.9.21	Püchü pünë nyi ë püchü pünë naasë takam kode ëm bük mëëchëm bë mola rorëm, okkë deelum püken lokë püchü pünyi ëm pülen larrëm, aken gonnëm adëk bë agër rünë naabë okkë aken nëm ëmmum bë bëëdo bë püdu.
ROM.9.22	Okkë Yürnë yo go rüdudü jijja bë lëyüë. Bü bük marnam ëm okkë tornam kaatom naabë rünamë. Ëkë lëga bë bü majja bë bük margë ë yëra gaddëm yë bulu bëkchik bëgyik tobadü chetëm gëto. 
ROM.9.23	Okkë bü ëm koik lëga bë ngonuk lokë yëm paado bë ruunochoola aba dü, bük ngonuk lokë paknyo bë paknam ëm orlük namë lo bü ëm koik saë ngeppok nam ëm kaatom lapë ëmla rüto. 
ROM.9.24	Lëga bük gognam ngonnuë, atu gonnë Jius nyi ë, rülachin atu gonnë Jius nyi maë. 
ROM.9.25	 Sigi bük yo go Hosia gë boilo menba dü:
ROM.9.25	“Yë bulu ngok nyi mae dü,
ROM.9.25	Ngo bullëm ‘Ngok nyi ë ëmla gogrëku.’
ROM.9.25	Ngok pakma nam tani ope gaddëm,
ROM.9.25	‘Ngo ngok pakya yaaru nam ope ë ëmla gogrëku.’
ROM.9.26	Ogo chë turyar në Yürnë bullëm bük aaji oloh ë ëmrëku.”
ROM.9.27	Okkë Isaiah chin Israel gë nyi gadë gë baab ëm menchola mento, “Israel nyi gaddë ishi shinë rude lokë bali garü nagobë yaaka lachin, buluk lokë anni gobë nyum tushü baalë nam ëm paarë; 
ROM.9.28	Lëga Rutum bü büba rubë, okkë lëken gobë tani mooko gë nyi buppü ëm madër kaarë.” 
ROM.9.29	 Sigi Isaiah gë lëkkë lokkë mencho nam chë bë rüdu, “Torya yaarunë Rutum ngonuk oli ope lokë anni go tushü baalë jila ama nage boolo, ngonu Sodom okkë Gomorah taon lokë garü bë rüdo lappe.”
ROM.9.30	Ëgë boolo ngonu yo ëmsadü? Sigi, Jius nyi ma gadësi, yë bulu Yürnë gëlo rëki bë aüë rësi maabadü, bulu mëëtin sikolokë büklo rëki bë rësi toku. 
ROM.9.31	Rügë doola, Ayon lokë rëki bë rësi nam ëm Yürnë gëlokë yë bulu masi tabadü, bulu ëgum paamato. 
ROM.9.32	Okkë ëgë yo lëga bë paama to? Lëga bulu yo go rübadü Yürnë gëlo mëëtin sidola rümato rügërëlla bulu yo agër ëm rübadü ogoi mëëtin sito. Ëkë lëga bë bulu “Dëktup lüdoh lo” dëktup sito.
ROM.9.33	“Kaasi laka, ngo Jayon ëgëmalachin Jerusalem lo nyi gadë gë dëktup sideko lüdoh go tütu,
ROM.9.33	Okkë dëlëkla hobüh deeko lütak go atu.
ROM.9.33	Rülachin Yë bulu bü ëm mëëtin sirë dü bü ëm yaddë lochin mëënga mojala hanyü enso paamo maarë.”
ROM.10.1	Ngok achë abür gadëa, ngok muupuk asin sokë mëënamë okkë ngok ngoük nyi gadë gë lëga bë Yürnë gëlokë kumnam ë bulu tushü baalë paado kubë ëmla mëëdu. 
ROM.10.2	Ngo buluk Yürnë gëlo majja bë mëëgap nam ëm bulu mëëgap rudu ëmla menji siladu. Rülachin buluk dinchi bë mëëgap nammë chenchi paachi doola mëëgapma. 
ROM.10.3	Bulu Yürnë bü büklo rëki bë rëgap nam bëda kaatom nammëm chensima, okkë bulu aü gë mëëpe mope bëda lokë rüra sidu; okkë bulu Yürnë gë kaatom nammëm rëki bë rëdeko bëdalo aüë bulu buupü bë tolük sima. 
ROM.10.4	Lëga Kristo Jius gadëk Ayon bë rëtuëm rënammëm rëpin gëdobë aagë to, ëmbë rünamë nyimü ë yë bulu Yürnë gëlo mëëtin sirë dü ëgë rëki bë rëgap nammëm paarë.
ROM.10.6	Rülachin Yürnë gë boi lo mendu, sigi mëëtin sikolokë yo ëdü Yürnë gëlo rëki bë rëgap sinam gë baab ëm mennammë: “No noü ë, taka siyoka yëdü Yürnë gë rëkolo chaade në?” (Ëgë Kristo ne deelë bë laalo dooku bë ëmnamë). 
ROM.10.7	“Yë dü kode ara chürum deerabë bë aade në?” ëmchin yooka. (Ëgë ëmnamë Kristo ne kode ara bokkëm laalen kunamë ëmnammë). 
ROM.10.8	 Yürnë gë boilo yo go mendudü sigi, “Yürnë gë dooyü ë nonuk nabbë lola asin aapuklo nëchidu” ëgë, ngonuk Yürnë ne mëëtin siru toka ëmla dooyü mennam më. 
ROM.10.9	Buppü gë tapom lo noügë nappa lokë Jisu ru Rutum ë ëmla menji sibolo okkë noükë muupuk asinlo Yürnë bü ëm siko lokkë turkur mokaku ëmla mëëtin sibolo, nom Yürnë bü tushü baalërë.
ROM.10.10	Lëga ngonu ngonuk asin aapuklo mëëtin sidola okkë Yürnë gëlo rëki bë rëgap doola, ogo bü aü gë nappa lokë buppügë tapom bë mentom sikolokë turbu daalë namëm paadu. 
ROM.10.11	 Yürnë gë boilo Yürnë gë agomë mendu, “Bü ëm mëëtin sinë nyimülo yaddë lochin hanyü enso paamo maarë.” 
ROM.10.12	Sigi nyi buppü lokë nyimü ëm mendu, yo lëga Jius okkë Jius ma nyi gë adëk ya kaama; Yürnë Rutum buppü gë lëyü aken ë, okkë yë bü ëm kumrëdü ëmbë kumnë buppülo yaaka në rülibongoëm jidu. 
ROM.10.13	Yürnë gë boilo mennam garü bë, “Yë nyimü ë Rutum gë amin ëm minla kumrë dü Rutum bü rürarë.” 
ROM.10.14	Rülachin bulu mëëtin sinam kaamabë, yo ëmbë bük amin ëm minla kumpo doobë? Okkë bulu dooyü taka maabë, bulu yo ëmbë mëëtin sipo doobë? okkë dooyü ëm mengola mentom maarëm, yo ëmbë bulu dooyü ëm tapa podobë? 
ROM.10.15	 Okkë dooyü mengo deenëm Mondoli ë inlen moma rëm, yo ëmbë dooyü ëm mengo jipoh doobë? Yürnë gë boilo sëmbë mentu, “Yürnë gë taken në dooyü ëm mengo jinë gadëkë allë yadü go kaaken nammë?” 
ROM.10.16	 Rülachin bulu buppü ë taken në dooyü ëm torük sinë kaama. Isaiah bü ë mento, “Rutum, ngonuk dooyü menlük ëm yë mëëgap gënnë?” 
ROM.10.17	Ëmbë rünamë, mëëtin sinamë dooyü menji kolokë aadu, okkë dooyüë Jisu Kristo gë baab ëm menji kolokë aadu.
ROM.10.18	“Buluk dooyü gë gommu siddu ë tani mooko buppü lo duchik nenla;
ROM.10.18	buluk dooyü agomë tani mooko gë chëënyu baarë buppü lo inchila goochik ka.”
ROM.10.19	Israel nyi gaddë sim chenma elarem?
ROM.10.19	Ëgum menrük sicho yaarunë aken gonnë Moses bü ë:
ROM.10.19	“Angu ope nyi ëm nonnuëm kaalü minsi maado bë ngo morë;
ROM.10.19	Chenma paamonë nyi ope ëm nonnuëm marmin sidobë ngo morë.”
ROM.10.20	“Yë bulu ngom matë maedü bulu ngom mapa to,
ROM.10.20	Yë bulu ngom makü maedü ngo buluklo aüë kaatom sito.”
ROM.10.21	“Ngo agom talëk nëmla okkë nyilüh sodo nyi gaddëm pakmin riimin sidi kulëpë ëmla toyar la duudu kunna.”
ROM.11.2	Yürnë bük lëkkë lokkëi darnam nyi gaddëm yaddë lochin topak maarë. Elijah gë Israel ë nyiroh bë Yürnë ne gëdo ëmla menjinamëm Yürnë gë boilokë mennam ëm nonu chensidu:
ROM.11.4	 Rülachin Yürnë bü ëm yo ëmbë menrükto? “Ngo ngoük lëga bë mënërunë Baal gë nyimaa ëm kummanë ëkë hajar kanü 7000 nyi go kasi sichüla atu.” 
ROM.11.5	Sirum siro lachin ëmbë lëyübë rüdu; yo lëga, yëm Yürnë paknyo bë pakla dardu dü ëkë nyi ë anyi gonnyum. 
ROM.11.6	Bük nyi ëm dardëk gënë në bük paknyo bë paknam lëga ë, buluk yo agër rüko lëga lomo. Lëga Yürnë gë dardëk gënënë nyi gë agër rüko lokë boolo, ëgë bük paknam ë jijja paknyo bë rümarë.
ROM.11.7	Ëgë boolo yo go rülëto? O Israel nyi gaddë yo ëm mëëgapla maabadü ëgum bulu mapa maato. Rülachin Yürnë gë darnam anni në atür ë paato; Atu gonnë Yürnë gë gognam ëm rujë sirato. 
ROM.11.8	 Yürnë gë boilo mennam chë bë, “Yürnë buluk asin aapuk okkë tukko pini ëm chenbëk paarëk maado bë mola atu; Silo lobëi bulu anyik gëlachin kaapama okkë nyeru gëlachin tapa maado bë mola atu.”
ROM.11.9	Dabid bü mento,
ROM.11.9	“Bullëm buluk këba doke dopomlo kublükla gaggeka,
ROM.11.9	Bulu hobüh eka,
ROM.11.9	Bullëm morik geka!
ROM.11.10	Okkë buluk mëëdük mou ë buluk hünamlo güdin hüba moyoka.”
ROM.11.11	Ëgë boolo ngo lëken goda takadu; Yadü lo Jius gaddë dëktup hobüh nammë, Kristo gë dooyü ëm torük maabadü bulu türngam nyangam bare? ëmbë yaddë lochin rüma! yo lëga buluk rümur ajëlo, Jius nyi ma gaddë gëlo tushü baalë nammë aalük to, ëgë Jius gaddëm bullëm kaanek modo kubë ëmla rüto. 
ROM.11.12	Jius gadëk rümur ajë lo tani mooko sogo Yürnë gë rülibongoëm ngeppok doobë laalük jito, okkë buluk Yürnë gë Doü gë mëëga lokë hüma kolo këbë nyi lo yadü go nyitë bë rülibongoëm aamo jika, ëmbë rünamë yaddëm Jius nyi buppü ë aata rëkudü yadü go kai yaada në rülibongo ëm paarë!
ROM.11.13	Ngok ijjagë agom mentë gëdu namsi këbë nyi gaddë nonuk lëga bë, yadü lobë Jius nyi ma gaddë nonuk lëga bë ngom dardëk la arëdü ngo ngoük agër lëga bë chensirë. 
ROM.11.14	Ngok mëënamë ngok agër rünam ëm ngoük Jius nyi gaddë agdo bë, okkë ëmbë rüdola buluk lokë atu go Yürnë tushü baalë jido bë ëmla. 
ROM.11.15	Lëga yadü lo Yürnë bullëm Jius nyigaddëm darpak badü, ogo tani mooko gë nyi këbë gaddë Yürnë ne ajen bë rütoku. Ëgë boolo, yadü lo Yürnë bullëm torük sirë kudü ëgë yo garü bë rüka rëkudü? Ëgë sinë gadë këchin turku nambë rürëku!
ROM.11.16	Ütü achih lokë ajëk gonnëm Yürnë bë jibolo, okë achih buppü ëgë Yürnë gëbë rürëku; okkë sünë papür ëm Yürnë bë jitu boolo, okë sünë gë agbë gaddëchin bükbë rürë. 
ROM.11.17	Rüküh bë rüla Olib sünë liinam lokë atu gonë agbë bëklo boolochin, okkë mootum lokë duunë Olib sünë agbë ogo geegap lükduku. Këbë nyi gadë nonuchin mootum alokë Olib sünë garü ëku, okkë ijja nonu Jius gadë lokë tornam leenam okkë nyitë mëtë rubë hünam ëm paapen siduku. 
ROM.11.18	Ëmbë rünamë, nonu Yürnë gë sünë agbë bëklen në garü bë bëklen nëlo chëëbo rekbo siyoka. Nonu yo ëmbë chëëpo rekpo doobë? Nonu agbë aken mum garü gonnë; Nonu papür ëm gagbë ma, rülachin nonnuëm papür ë gagbëdu.
ROM.11.19	Rülachin nonu menrurë, “Ë jijja ë, rülachin agbë bëknyo nammë ngonnuëpë buluk duude kolo duulük doobë rüjito.” 
ROM.11.20	Sigi jijja ë. Buluk Yürnë ne mëëtin simako lëgalo bulu bëklento, nonu mëëtin sinam lëga bë buluk doode kolo doolük to. Rülachin buluk duude koëm paatoba ëmla okë baab lo nonu chëëbo rekbo siyoka; Ëgum pënamë nonu boso bë mëësilaka. 
ROM.11.21	Agbë doobë sinë garü në, Jius gaddëmchin, Yürnë bü kachü maato; Nonu Yürnë bü nonnuëm rüra rëlëpë ëmla mëëdo lare? 
ROM.11.22	Ëkë lëga bë ngonu sogo kaanamë Yürnë bü yadü go aya nago okkë gomtor rubë roodula maka nago. Bük gomtor gëdo nammë yë bulu rümur rüdudü, rülachin bük ayalo nonu rëbolo bü nonnuëm aya rë; rülachin nonu bük ayalo rëma boolo, Yürnë nonnuëmchin ëmbë dada bëkpak morë. 
ROM.11.23	Okkë Jius gaddë, buluk Yürnë ne mëëtin sima nam ëm ëpak kubolo, Yürnë buluk dookochë lo lükkur rëku, yo lëga Yürnë bü bullëm yëkgap lükdi ladu ku. 
ROM.11.24	Këbë nyi gadë nonu mootum alokë Olib sünë agbë bëklo në garü ë, okkë ëmbë duubë sinëbë rüdola, rüküh rüla Olib liinam sünë anë lo geegap nëku. Jius gaddë rüküh rüla liinam jaa garü në; okkë sëmbë sünë agbë bëklo kunë gaddëm aüë sünë anë jaa lo yëggap lükkur kunamë Yürnë gë lëga bë rüken yaanam ëku.
ROM.11.25	Ngok Achë abür gadë ngok nonnuëm chenmo so mëënam, ara agom jijja nago kaadu. Ngonu sigim chensi nagoboolo, Ngonu ngonuk asin aapuk aralo ngonu majja bë chennë paanë ëmla mëësi maarë. Sigi sëmbë rüdu, Israel nyi gadë gë mëëpëk hagrëk maanam asin aapuk ë dooyaar maarë, Rülachin nyi këbë buppü ë Yürnë gëlo aangam do alo lobë nyum duurü rë. 
ROM.11.26	 Okkë sëmbë rülleela Israel nyi gaddë Yürnë gëlokë tushü baalëm paarë. Yürnë gë boilo mentu,
ROM.11.26	“Tushü baalë deekunë Jayon lokë aarë,
ROM.11.26	Okkë Jakob gë ope lokë nyirë soki gënë ru ëm laapak jirëku.
ROM.11.27	Ogo ngo sim agom Daapo sim buluk lo achü minsi rëku.”
ROM.11.28	Jius gaddë taken në dooyü ëm torük sima doola, Yürnë gë nyiroh bë rükunammë, këbë nyi gaddë nonuk lëga bë rüji nambë rükaku. Rülachin yuubë nam ato abo gadëk lëgalo, bullëm Yürnë bük ajen rüdokubë dartoku. 
ROM.11.29	Lëga Yürnë yëm darla okkë rülibongo jinyo ëm jido bë mëëlen paadü yaddë lochin mëëdekma. 
ROM.11.30	Këbë ope gadë nonuk lëga ëkuda, lëkkë lo nonu Yürnë gë agom ëm tamato; Rülachin ijja Jius gaddë Yürnë gë agom tamako lëgalo Yürnë gë paknyo bë paknam ëm paaduuku. 
ROM.11.31	Ëmbë chë dada, këbë nyi gaddë nonuk Yürnë gë paknyoëm paanam garü bë, Jius gaddëchin bulu Yürnë gë paknyoëm paado bë ëmla, buluchin ijja Yürnë gë agom ëm tama duuku. 
ROM.11.32	Lëga bulu buppü ë Yürnë gë agom tagapma lëgalo bullëm patëk lo anam garü bë rümoto; sëmbë rünam gë lëga ë Yürnë bük paknyo bë paknam ëm bulu buppü ëm kaatom doobë ëmla rüto.
ROM.11.34	 Yürnë gë boi lo Yürnë gë agomë sëmbë mentu,
ROM.11.34	“Yë Yürnë gë mëënam ëm chendo bë?
