GEN.1.1	Abatelipuna elana Yabowaine labulabum ge panayawi i ginolil. 
MAT.20.22	Yeisu i baek elal i ba, “Nige ku aatena te hauna gun ku awanuni. Bosowaimiu ya lomwan ana kom toto abwe na imwa nuku imwa?”
MAT.20.22	Anana hi lahe hi ba, “Ibwe, bosowaima ya.”
MAT.20.23	Yaka i baek elal i ba, “Tunahot, abwe nuku imwa no kom elana, yaa nige bosowaiu na ba henala ni misiyowa labeu awowa o ebo henala ni misiyowa gegebawa. Abamina bolo ya Nam i lovivina-an bolo i hilel ya te kaiweliya.”
MAT.20.24	Sauga tohago ali toto elulutega wasa ya hi hago, yaka ateliya i elolol Yemesa ge Diyon kaiweliya. 
MAT.20.25	Yaka Yeisu tohago i yoga gogonil hi nok elana ge i ba, “Ku atena, bolo Yehoba nige hi aabulilek-an, wali tologuguiyau hi logugui-agil ge wali tohouwa wali logugui hi pagasisi avaliyau elal. 
MAT.20.26	Yaa komiu bahi nuku oola. Henala ebo nuwana alana ni bwata gamwamiwa, ni tabwa wami totuwalali. 
MAT.20.27	Ge henala ebo nuwana ni ola tohouwa, ni tabwa wami elopapatuna. 
MAT.20.28	He i ola nau Gamagal Natuna nige tage ya nem nuku tuwalali eliyau, yaa ya nem na totuwalali eliyamiu, ge yawaliu na talamwan gamagalau nihi gewi na pwamola pasikalil.”
MAT.20.29	Sauga Yeisu alonau wana tohago Yeliko hi eguluwai, yaka boda bwabwatana hi tatauliulil Yeisu enaa. 
MAT.20.30	Tomatakai labui hi misiyowa kamwasa bebenaa, ge sauga hi hago Yeisu i nopalegel, inoke hi yoga hi ba, “Babala, Deibid Tubuna, u atilomwan-agima.”
MAT.20.31	Boda hi ba lalaagil ge hi baek elal tage nihi mikekei, yaa heliya abwe hi yoga balbalgig hi ba, “Babala, Deibid Tubuna, u atilomwan-agima.”
MAT.20.32	Yeisu i notalmilil, yaka i yogaagil ge i nelil i ba, “Hauna gun nuwamiu na ginol kaiwemiu?”
MAT.20.33	Anana hi lahe hi ba, “Babala, nuwama matama nu panana.”
MAT.20.34	Yeisu i atilomwan-agil ge mataliya i pihikan, yaka sauga o elana mataliya hi panana inoke hi toulil.
MAT.21.1	Yeisu ge wana tohago Yelusalema hi nopakelakelaubwa hi vin Betepage Oya Olibe awanina elana, inoke wana tohago eluwa i patunal nihi houwa. 
MAT.21.2	I baek elal i ba, “Nuku nok nuku na awan toto maninilaa, 
MAT.21.3	Ebo gamagal etega ni nelimiu, nuku baek elana nuku ba, ‘Babala nuwana,’ inoke nasi ni talamwagil ya.”
MAT.21.4	Bugul ya i gan inoke palopita wana baaba i tabwa tunahot toto i ba:
MAT.21.5	Ku kite, wami kin i nenem eliyamiu.
MAT.21.5	Iya wana pagan i meimei, ge i heya donki pwatanaa,
MAT.21.5	he i heya donki natuna elana.
MAT.21.6	Tohago hi nok ge hi ginol i ola Yeisu wana baaba eliyalil. 
MAT.21.7	Donki alona ge natuna hi ahel hi pwatanim, yaka ali kaliko hi yao pwataliyaa inoke Yeisu i yawaha ge i misiyo. 
MAT.21.8	Boda bwabwatana ali kaliko hi yao kamwasaa ge enuna al hi na vegavega ginebi lamwana hi govel ge hi yao kamwasaa. 
MAT.21.9	Inoke boda bolo hi nohouwa Yeisu awonaa ge bolo hi nawaa enaa hi yoga hi ba:
MAT.21.9	Hosana! Deibid Tubuna ta tobalan!
MAT.21.9	Yehoba ni ba muloluan, iya i nem Babala alana elana!
MAT.21.9	Hosana! Yehoba ta tobalan!
MAT.21.10	Sauga Yeisu i ulutuk Yelusalema, gamagalau gegewel ateliya i waiwai yaka hi nel hi ba, “Henala o?”
MAT.21.11	Boda analiya hi lahe hi ba, “Palopita Yeisu te, i neem Nasaleta, Galili awanina.”
MAT.21.12	Yeisu i ulutuk 
MAT.21.13	I baek elal i ba, “Buki Bwabwalena elana Yehoba wana baaba hi lelelian i ba, ‘No limi alana nuku tun tapwalolo limena,’ yaa komiu ku ginol i ola tokaoma wali abamina.”
MAT.21.14	Limi Bwabwalena elana tomatakai ge bolo aeliya nanakina hi nem elana inoke i pwamolol. 
MAT.21.15	Yaa topowon bwabwatal ge Logugui ana topankite ginol yawiyawi Yeisu i ginolil hi kite, ge i ola al wawayau hi kitel hi yogayoga Limi Bwabwalena elana hi ba, “Hosana! Deibid Tubuna ta tobalan,” inoke ateliya i elolol.
MAT.21.16	Yaka hi baek Yeisu elana hi ba, “Tab u hago wawayau ga hi babaa ola o?”
MAT.21.16	Yeisu analiya i lahe i ba, “Ibwe. Yaa ga i ola komiu? Age buki nige ku vavasili toto i ba, ‘Wawayau ge wawayau memelol iyaka u paatenal am tobal nihi baunan’?”
MAT.21.17	Inoke Yeisu i eguluwagil i na i tagil Yelusalema i eguluwan, yaka i nok i na Bedani ge i kenuek to.
MAT.21.18	Lan i gan mweluluga kekeisi, Yeisu i sikal i nanawa Yelusalema kaiwena, inoke i galebu. 
MAT.21.19	Yudiya wali 
MAT.21.20	Sauga tohago hi kite inoke nuwaliya hi ahe. Yaka hi nel, “Ga i ola ge poga etimwawa lamwana i yakiwa?”
MAT.21.21	Yeisu analiya i lahe i ba, “Ya ba tunahot eliyamiu, ebo nuku abulilek ge nige nuku nunuwa lalabui, bosowaimiu ya te nuku ginol ni ola hauna ya ginol poga ya elana. He nige bugul ya maisena i oola, nasi bosowaimiu ya nuku baek oya ya elana nuku ba, ‘U egon u na totom u aliyohiwa hogaa,’ inoke ni ginol ola. 
MAT.21.22	Ebo nuku abulilek, hauna gun nuku awanuni Yehoba elana inoke nuku pwawa.”
MAT.21.23	Yeisu i ulutuk Limi Bwabwalena ana gana gamwanaa ge i panpankiti, inoke topowon bwabwatal ge panuwa ana tonowakau hi nem elana ge hi neli hi ba, “Hauna logugui wana gasisi elana ge bugul bolo ya u awaawaginol? Henala wam gasisi i pewa?”
MAT.21.24	Yeisu analiya i lahe i ba, “Nau al ge nel etega na neli ga eliyamiu. Ebo nuku lahe, inoke abwe na baunan eliyamiu henala wana logugui elana ge bugul bolo ya ya awaawaginol. 
MAT.21.25	Diyon Tobabitaiso gamagalau i pababitaisol. Logugui o ga i neem? Yehoba elana, o ebo gamagalau elal?”
MAT.21.25	Yaka hi peliwaliwan-agil hi ba, “Ebo ta ba, ‘Logugui o i neem Yehoba elana,’ inoke nasi ni ba, ‘He hauna kaiwena ge Diyon nige ku aabulilek-an?’ 
MAT.21.26	Yaa ebo ta ba, ‘Logugui o i neem gamagalau elal,’ he boda ta lovakunagil, kaiwena hi abulilek te Diyon iya palopita.”
MAT.21.27	Inoke Yeisu anana hi lahe hi ba, “Nige ha aatena.”
MAT.21.27	Yaka i ba, “Ebo nigeya, he nau al ge nige na babaunan te henala wana logugui elana ge bugul bolo ya ya awaawaginol.”
MAT.21.28	“He ga ku nuwatu ola? Tau etega natunau bolau labui, inoke i nok gamaun elana ge i ba, ‘Natu, lan ebe u na ga u tuwalali eyowaa.’ 
MAT.21.29	Tamana anana i lahe i ba, ‘Nige nuwau,’ yaa mulaa abwe wana nuwatu i pil ge i nok. 
MAT.21.30	Tamaliya i nok natuna labuina elana ge i ba al, ‘Natu, lan ebe u na ga u tuwalali eyowaa.’ Tamana anana i lahe i ba, ‘Nam, i waisi, abwe na nok,’ yaa nige i nonok. 
MAT.21.31	Ali toto labui ya, henala tamaliya wana nuwatu i paolaolaek?”
MAT.21.31	Hi ba, “Toto gamaun.”
MAT.21.31	Inoke Yeisu i baek elal i ba, “Ya ba tunahot eliyamiu, gamagalau nanakil ololal takis ana toahi ge yowau bolo togaganawal, heliya iyaka hi nanawa Yehoba wana abalogugui kaiwena, yaa komiu hiwe ku minamina ee. 
MAT.21.32	Kaiwena Diyon Tobabitaiso i nem eliyamiu pagan waiwaisana ana kamwasa i pankitemiu, yaka nige ku aabulilek-an, yaa takis ana toahi ge yowau bolo togaganawal hi abulilek-an. Ge bwagana iyaka ku kitel hi ola o, yaa komiu wami nuwatu nige ku pipil tage Diyon wana papaatena nuku abulilek-an.”
MAT.21.33	Yeisu i ba, “Ba gohalibe etega al na baunan nuku hago. Gamagal etega wana eyowa i ginol, 
MAT.21.34	“Sauga oine enona i matuwa, inoke toneyowa wana totuwalali i patunal tomatahikan elal, tage oine enona nihi wali, enuna tomatahikan nihi ahe, enuna toneyowa ni ahe. 
MAT.21.35	Tomatahikan totuwalali hi libil; etegana hi nibinibihan, etegana hi tagapaaliga ge etegana hi loipati. 
MAT.21.36	Toneyowa wana totuwalali enuna al i patunal, abwe kekeisi hi gewi al, inoke tomatahikan pagapaganina maisena ya hi ginol al eliyalil. 
MAT.21.37	Mowamowasena, natuna i patuna eliyalil i ba, ‘Natu nasi nihi awatauwan.’
MAT.21.38	“Yaa sauga tomatahikan toneyowa natuna hi kite, yaka hi pebaaba-agil hi ba, ‘Toneyowa natuna te, toto abwe eyowa ni ahe tamana wana yaomal enaa. Ku nem ta tagapaaliga, inoke eyowa ta ahe ni minem eliyala.’ 
MAT.21.39	Inoke hi lib ge hi alitagil-an oine ana eyowa tolinaa, yaka hi tagapaaliga.”
MAT.21.40	Yaka Yeisu i nel i ba, “Sauga ebo toneyowa ni sikalim, nasi ga ni ginol ola tomatahikan elal?”
MAT.21.41	Topowon bwabwatal ge Palisi hi ba, “Gamagalau nanakil ya nasi ni tagapaaligal, inoke wana eyowa ni pek tomatahikan getogal elal, tomatahikan waiwaisal bolo sauga oine enona ni matuwa, nihi wali bubun ge enona toto toneyowa kaiwena nihi pek eliyana.”
MAT.21.42	Inoke Yeisu i baek elal i ba, “Age Buki Bwabwalena ana baaba nige ku vavasili, toto i ba, ‘Pat toto totaltal hi awa nanakan ge hi towani, Yehoba iyaka i ahe limi ana kokola gasigasisena i ginoliya. Toto ya Babala wana ginol, ana kite abanuwa ahi.’
MAT.21.43	“Inoke na baewa eliyamiu, Yehoba wana abalogugui ni ahek yoho komiu Yudiya eliyamiu, ge ni pek gamagalau elal bolo yawaliliya enowana waiwaisana toto abalogugui o bosowaina. 
MAT.21.44	Henala ni soguwa pat ya elana ni tal mwamwaol, ge ebo pat ya ni soguwa gamagal etega pwatanaa, nasi ni tagamukumuku-an.”
MAT.21.45	Sauga topowon bwabwatal ge Palisi ba gohalibe bolo Yeisu i baunagil hi hago, hi atena i baaba kaiweliya. 
MAT.21.46	Inoke kamwasa hi loya Yeisu nihi lib ge nihi yowan, yaa boda hi lovakunagil, kaiwena gamagalau Yeisu hi abulilek-an te iya palopita.
MAT.22.1	Yeisu i ba gohalibe al gamagalau elal i ba, 
MAT.22.2	“Yehoba wana abalogugui i ola hiwe. Kin etega hagali i ginol natuna melutauina wana alolon kaiwena. 
MAT.22.3	Wana totuwalali i patunal hi na gamagalau bolo i awanunil elal wali wasa hi pek nihi nem hagali elana, yaa gamagalau o hi towa.
MAT.22.4	“Inoke wana totuwalali enuna al i patunal i ba, ‘Bolo ya awanunil hagali kaiwena wali wasa nuku pek aanan iyaka ya lovivina-an. Nuku ba: Bulumakau momomonel iyaka ha punel ge bugul gegewena iyaka ha lovivina-agil. Ku nem ya hagali elana.’
MAT.22.5	“Yaa heliya nige yayaluwaliya i nonoek, inoke etegana i na wana eyowaa, etegana i na wana sitowaa, 
MAT.22.6	ge enuna totuwalali hi libil, hi nibihil ge hi tagapaaligal. 
MAT.22.7	Kin i huga nabi, inoke wana tolohaveyan i patunal hi na totaulol hi tagapaaligal ge wali panuwa hi ton yoho.
MAT.22.8	“Inoke i ba wana totuwalali elal, ‘Alolon ana hagali iyaka ya lovivina-an, yaa bolo ya awanunil hi sigasiga ge nige hi nenem. 
MAT.22.9	Ku na kamwasa lala elana. Ebo henalau nuku pwawal, nuku ba nihi nem hagali elana.’ 
MAT.22.10	Inoke totuwalali hi nok hi na kamwasa elal ge gamagalau gegewel bolo hi pwawal, waiwaisal ge nanakil, hi ahel hi pwatanim, yaka hagali limena i kalaopop.
MAT.22.11	“Sauga kin i ulutuk hagali limena elana ge gamagalau i kitel, yaka tau etega i kite pwawa alolon hagalena kalikona
MAT.22.12	I neli i ba, ‘Heliyam, ga i ola u nem u tuk ge nige alolon hagalena kalikona u gagaloi?’ Yaa tau o nige kin anana i lalahe. 
MAT.22.13	Inoke kin i baek wana totuwalali elal i ba, ‘Nimana ge aena ku gimwan ge nuku alitagil-an gogouwa, ni kahikahin ge ninina ni alavekilal.’”
MAT.22.14	Inoke Yeisu i ba, “Hi gewi Yehoba i yogaagil, yaa ehila ya te i hilel.”
MAT.22.15	Inoke Palisi Yeisu hi eguluwai hi na hi nuwatu loyaloya ga nihi ginol ola ge Yeisu nihi paona ge wana baaba eliyana ana woliwoli nihi ginol. 
MAT.22.16	Inoke wali gamagalau enuna hi patunal hi na Yeisu elana, avaliyau ge gamagalau enuna bolo nunuwaliya Helodi wana logugui. Hi baek elana hi ba, “Topankite, ha atena owa tobaaba tunahot ge wam panpankiti Yehoba kaiwena i sapu hot. Nige gamagal etega u lolovakun-an, kaiwena nige u gogoluek gamagalau wali siba ana miha elana. 
MAT.22.17	Inoke nu ba naha hago. Mosese i ba mani naha pek Yehoba elana. He wam nuwatu ga i ola? I waisi ya takis naha pwamola Sisa elana o age bahiwa?”
MAT.22.18	Yeisu wali nuwatu nanakina iyaka i atena, inoke i baek elal i ba, “Tokakakawi hot komiu! Hauna kaiwena ku laboseyau tage nuku paonau? 
MAT.22.19	Mani etega ku pankiteyau, toto tage takis ku pwapwamolaya.”
MAT.22.19	Yaka mani silba etega hi ahe hi pek elana i kite, 
MAT.22.20	inoke i nelil i ba, “Henala kakanununa ya? Ge henala alana hi leli mani ya tuwanaa?”
MAT.22.21	Anana hi lahe hi ba, “Sisa.”
MAT.22.21	Inoke Yeisu i baek elal i ba, “Toto 
MAT.22.22	Wana baaba ya hi hago inoke nuwaliya hi ahe, yaka Yeisu hi eguluwai ge hi egon.
MAT.22.23	Lan toto o elana, Sadiusi hi nem Yeisu elana. He 
MAT.22.24	“Topankite, Mosese i ba ebo tau etega ni alolon, nige natunau ge ni aliga, inoke abuabulina talina ni alolonan ge ebo natuliyau ni gan, heliya nihi tabwa tau toto i alaliga natunau. 
MAT.22.25	Sauga etega tau etega alonau talinau, ali toto seben. Gamaun i alolon, nige natunau, yaka i aliga, inoke abuabulina talina i alolonan. 
MAT.22.26	Pagan o maisena i gan al loena elana, i ola al etonina, ge i ola al ana siga gegewel hi pwawa. 
MAT.22.27	Inoke mowamowasena, abwe yova al i aliga. 
MAT.22.28	Ebo tunahot toyaomal abwe nihi lut, he lut enaa ali toto seben gamwaliyaa henala ge yova o lagona hot? Kaiwena gegewel hi alolonan ga.”
MAT.22.29	Yeisu analiya i lahe i ba, “Komiu ku gegi hot, kaiwena Buki Bwabwalena ana baaba ge Yehoba wana gasisi nige ku aatena. 
MAT.22.30	Sauga ebo toyaomal nihi lut, nihi ola aneloseyau labulabumwa, nige nihi aalolon. 
MAT.22.31	Yaa toyaomal wali lut bana, age Buki Bwabwalena nige ku vavasili ge nuku atena hauna gun Yehoba i baunan eliyamiu? 
MAT.22.32	I ba, ‘Sauga ya nau Abalahama, Aisake ge Yakobo wali Yabowaine.’ Yehoba i ba ola o, inoke ta atena gamagalau ya yawaliliya nige i yayaomal hot. Yehoba iya nige toaliga hot wali Yabowaine i oola, yaa bolo yawaliliya gaganina wali Yabowaine.”
MAT.22.33	Yeisu wana baaba ya boda hi hago, inoke nuwaliya hi ahe wana panpankiti kaiwena.
MAT.22.34	Palisi hi hago Yeisu Sadiusi iyaka i ba pamikekei-agil inoke Palisi hi nogogo. 
MAT.22.35	Yaka avaliya etegana, Logugui ana toatena, Yeisu i labose ge i neli i ba, 
MAT.22.36	“Topankite, hauna logugui i bwata Mosese wana Logugui elana?”
MAT.22.37	Anana Yeisu i lahe i ba, “‘Yehoba wam Yabowaine nu nunuwana-an ginebi ge atem bwalibwaligena, yawalim bwalibwaligena ge wam nuwatu bwalibwaligena.’ 
MAT.22.38	Logugui ya iya logugui bwabwatana ge logugui houwan. 
MAT.22.39	Ge logugui labuina i ola al to, i ba, ‘Alom nu nunuwana-an ni ola totom u nunuwana-agiwa.’ 
MAT.22.40	Mosese wana Logugui gegewena ge palopitau wali panpankiti, puliya i talmilila logugui labui ya elal.”
MAT.22.41	He Palisi iyoho Yeisu hi mimipainan, inoke i nelil i ba, 
MAT.22.42	“Ga ku nuwatu ola Mesaiya kaiwena? Henala tubuna iya?”
MAT.22.42	Yaka hi ba, “Iya Deibid tubuna.”
MAT.22.43	Inoke Yeisu i nelil al i ba, “He ga i ola ge Deibid i baaba Yayaluwa Bwabwalena wana nuwatu elana ge Mesaiya i awa babala-an? Kaiwena Deibid i ba,
MAT.22.44	‘Yehoba i baek no Babala elana i ba:
MAT.22.44	U misiyowa labeu awowa
MAT.22.44	ana siga am topihigelgel na teli lowagil aem gabulanaa.’
MAT.22.45	He Deibid Mesaiya i awa babala-an, inoke ga i ola ge tage iya Deibid tubuna?”
MAT.22.46	Nige etega bosowailiya Yeisu anana nihi lahe, inoke nige sauga etega al bosowailiya nihi labose ge nel etega nihi neli Yeisu elana.
MAT.23.1	Inoke Yeisu i baek boda elal ge wana tohago elal i ba, 
MAT.23.2	“Logugui ana topankite ge Palisi heliya Mosese wana Logugui ana toatena ge ana totalisi. 
MAT.23.3	Inoke analiya nuku hago ge wali baaba gegewena nuku toulil, yaa bahi nuku giginol ni oola hauna hi giginol, kaiwena toto hi papaatena-an, nige hi giginol i oola. 
MAT.23.4	Wali logugui i gewi inoke ami kalikalivai pupulowanina hi pewa, yaa heliya nige bugul etega hi giginol tage pulowan etega nihi kalivai.
MAT.23.5	Bugul gegewena bolo hi ginol, he hi ginolil kaiwena nuwaliya gamagalau nihi kitel ge nihi atena tage heliya towaisi. Nabwa bolo Buki Bwabwalena puna ona hi lokeya ge hi am hikan lamwaliyaa, nabwa bolo ya hi ginol pwabwaya. I ola al, kula toto ali kaliko buhuna ana kula hi payapu. 
MAT.23.6	Hagali elana nuwaliya nihi misiyowa yau toto gamagalau bwabwatal wali yau elana, ge limi tapwalolo elana nuwaliya nihi misiyo houwa gamagalau maniniliyaa. 
MAT.23.7	Ebo gamagalau nihi pwawal abamaket elana, nuwaliya te gamagalau ginebi ge wali awatauwan nihi pata ateu owa eliyalil ge nihi awa babala-agil.
MAT.23.8	Bahi alomiyau nihi aawa babala-agimiu, kaiwena wami Babala maisena ya ge gegewemiu ku awa talitalin ya. 
MAT.23.9	Bahi panayawi gamagalina etega nuku aawa tamani, kaiwena Tamamiu maisena ya, iya iyoho labulabumwa. 
MAT.23.10	Bahi gamagalau nihi aawa tohouwa-agimiu, kaiwena wami tohouwa maisena, iya Mesaiya. 
MAT.23.11	Henala ebo alana i bwata gamwamiwa, iya ni tabwa wami totuwalali. 
MAT.23.12	Henala ebo totona ni teli heyan, Yehoba ni teli lowan, ge henala totona ni teli lowan, Yehoba ni teli heyan.
MAT.23.13	Eeu, Logugui ana topankite ge Palisi geb! Tokakakawi komiu, bwaliga nuku nak! Yehoba wana abalogugui ana nog ku kausa gamagalau maniniliyaa. He komiu nige ku uulutuk, ge bolo nuwaliya nihi ulutuk wali kamwasa ku kaus.
MAT.23.14	Eeu, Logugui ana topankite ge Palisi geb! Tokakakawi komiu, bwaliga nuku nak! Abuabulau wali limi ge wali gogomwau ku aahe ku lologugui-an bwabwage, ge i ola al wami awanun ku papayapu-an gamagalau tanaliyaa tage nihi hagomiu. Wami pagan o kaiwena, inoke nasi ami lahi ni bwata hot.
MAT.23.15	Eeu, Logugui ana topankite ge Palisi geb! Tokakakawi komiu, bwaliga nuku nak! Kamwasa gegewena ku labose haba inoke gamagal etega nuwana nuku gove, nuku ahe ge ni toulilimiu. Komiu Gehena ana gamagalau, yaa sauga gamagal ya ku ahe, ku paatena inoke i tabwa Gehena ana gamagal hot.
MAT.23.16	Eeu geb! Komiu tonul nanakil matamiu i kai, bwaliga nuku nak! Komiu ku ba, ‘Ebo gamagal etega ni papasila Limi Bwabwalena elana, i bosowaina ya wana bateli ni leke yoho; yaa ebo gamagal etega ni papasila Limi Bwabwalena ana gold elana, he nige bosowaina wana bateli ni leke yoho.’ 
MAT.23.17	Komiu tosigasiga matamiu i kai. Hauna toto i bwata, gold i bwata o ebo Limi Bwabwalena i bwata? He Limi Bwabwalena ana bwabwalena kaiwena inoke gold i bwabwalena. 
MAT.23.18	Komiu ku ba al, ‘Ebo gamagal etega ni papasila pat elal bolo hi vatal abapowon, i bosowaina ya wana bateli ni leke yoho; yaa ebo gamagal etega ni papasila bwasumu toto hi popowonan elana, he nige bosowaina wana bateli ni leke yoho.’ 
MAT.23.19	Tomatakai komiu! Hauna toto i bwata, bwasumu i bwata o ebo abapowon i bwata? He abapowon ana bwabwalena kaiwena inoke bwasumu i bwabwalena. 
MAT.23.20	Inoke sauga ebo gamagal etega ni papasila abapowon elana, i papasila abapowon elana ginebi ge bwasumu toto hi popowonan. 
MAT.23.21	I ola al, sauga ebo gamagal etega ni papasila Limi Bwabwalena elana, i papasila Limi Bwabwalena elana ge Yehoba toto i miminaa o elana. 
MAT.23.22	Ge sauga ebo gamagal etega ni papasila labulabum elana, i papasila Yehoba wana abamisiyo wawasana elana ge iya elana.
MAT.23.23	Eeu, Logugui ana topankite ge Palisi geb! Tokakakawi komiu, bwaliga nuku nak. Awenuwa ololana kusai, boboyuwa ge kemanana ku wali paelulutega ge wali maisena ku pek Yehoba elana wami mulolu, i ola ana logugui. Logugui o ku toulil nabiyan, yaa Yehoba wana logugui ana nuwatu bwabwatal ku nuluwagil nige ku giginol, logugui ololal wala ginol ni sapu, avalau ta atilomwan-agil ge ta baaba tunahot. Binimala logugui bolo ya nuku henapuan ge awenuwa ali logugui nuku henapuan al. 
MAT.23.24	Komiu tonul nanakil matamiu i kai! Logugui bolo ali nuwatu nige i bwabwata ku toulil bubun, yaa logugui bwabwatal ku nuluwagil. Komiu uluulu ku ahek yoho ami wewel elana, yaa 
MAT.23.25	Eeu, Logugui ana topankite ge Palisi geb! Tokakakawi komiu, bwaliga nuku nak! Komiu ku ola gamagalau kom ge mwaha eputeteliya hi ul, yaa gamwaliya nige hi uul. Tola ku abubun, yaa kaoma ge naknak paganina i kalaopop atemiwa. 
MAT.23.26	Komiu Palisi matamiu i kai! Houwan kom ge mwaha gamwaliya nuku ul bubun inoke noleleya abwe ni yanayana.
MAT.23.27	Eeu, Logugui ana topankite ge Palisi geb! Tokakakawi komiu, bwaliga nuku nak! Komiu ku ola salai toto hi abubun ge hi paisela. Noleleya ana awa i waisi, yaa gamwanaa tomati tutuwana ge bweyanina i kalaopop. 
MAT.23.28	He i ola al, noleleya gamagalau hi kitemiu tage komiu ku waisi, yaa lokalokakawi ge nak paganina i kalaopop atemiwa.
MAT.23.29	Eeu, Logugui ana topankite ge Palisi geb! Tokakakawi komiu, bwaliga nuku nak! Palopitau ali salai ku ginol ge tonowakau houhouwel bolo wali pagan i sapu salailiya ku paisela. 
MAT.23.30	Yaka ku ba tage binimala komiu iyoho tubumiyau houhouwel wali sauga elana, nige nuku giginol ni ola heliya hi ginol, palopitau nige nuku lolopaaligal. 
MAT.23.31	Ku ba ola o, he iyaka ku pamasalimiu age komiu totaulol tubuliyau, bolo palopitau hi lolopaaligal. 
MAT.23.32	He ku ginol pwataniwa ya! Inoke pagan toto tubumiyau hi telipuna-an nuku pwamowasi!
MAT.23.33	Komiu ku ola mwata! Mwata natunau komiu! Nige bosowaina nuku mwal, he komiu iyaka Gehena. 
MAT.23.34	Inoke na baewa eliyamiu, palopitau ge tosiba bwabwatal ge topankite ya papatunal eliyamiu. Enuna nuku lolil, enuna nuku lokolosil, enuna nuku nibinibihagil wami 
MAT.23.35	Inoke taulol gegewena ana lahi komiu nuku pwawa, taulol toto gamagalau wali pagan sasapona hi lolil, i telipunaa Eibol hi lol ana siga Sakalaiya, Balakaiya natuna, komiu Yudiya ku lol Limi Bwabwalena ge abapowon ali hawawala. 
MAT.23.36	Ya ba tunahot eliyamiu, taulol bolo gegewena o lahena nihi paheya komiu heyan ya eliyamiu.
MAT.23.37	Eeu geb Yelusalema ana tomina! Komiu palopitau ku lolil ge bolo Yehoba i patunal eliyamiu ku loipatagil. Sauga i gewi nuwau wami gamagalau na bugul papahel, ni ola kamkam meluyovana natunau i bugul papahel opena gabulanaa, yaa nige nuwamiu i oola. 
MAT.23.38	He inoke wami Limi Bwabwalena Yehoba ni galaluwai ge ni enonovan. 
MAT.23.39	Na baewa eliyamiu, nige al nuku kikiteyau ana siga na sikalim al, inoke sauga o nuku tobalagau nuku ba, ‘Yehoba ni ba muloluan, iya i nem Babala alana elana!’”
MAT.24.1	Sauga Yeisu i ulutagilem 
MAT.24.2	Yeisu analiya i lahe i ba, “Limi ya gegewena iyoho ku kikite. Ya ba tunahot eliyamiu, pat bolo hi ahe limi ya hi ginoliya, nige etega ni miminaa abanaa, gegewena abwe nihi pasamwalekaleka.”
MAT.24.3	Yeisu i na i ha Oya Olibe elana i misiyo, inoke wana tohago ya awawal hi nem elana hi ba, “Wama wasa ga u pem, hauna sauga ge abwe bugul toto bana u babaunan ni masal? Ge wam nem ge sauga mowamowasena ana etotohi ga ni ola?”
MAT.24.4	Yeisu analiya i lahe i ba, “Nuku matahikagimiu, bahi gamagal etega ni papagegemiu. 
MAT.24.5	Kaiwena gamagalau nihi gewi abwe alau elana nihi nem ge nihi ba, ‘Nau Mesaiya!’ inoke gamagalau nihi gewi nihi pagegel. 
MAT.24.6	Elohaveyan butuna nuku hagowa labemiwa ge haveyan wasana nuku hagoek laha, yaa bahi atemiu ni bwanabwana. Bugul ololana o ni gan ga, yaa sauga mowamowasena nige ga ni nenem. 
MAT.24.7	Boda ge boda nihi lohaveyan, i ola al abalogugui ge abalogugui nihi lohaveyan. Galebu bwabwatana ge mwaniknik nihi masal labi tomaha ge tomaha elal. 
MAT.24.8	Nak bolo ya nihi masal houwa ga, ni ola ab lomwanina i telipuna ga mulaa abwe wawaya i masal.
MAT.24.9	Inoke nihi libimiu, nihi telemiu abalahi elana ge nihi tagapaaligamiu. Nau kaiweu inoke gamagalau gegewel nihi pihigelgel-agimiu. 
MAT.24.10	Sauga o elana, gamagalau nihi gewi tapwalolo ana abulilek ana en nihi pek, avaliyau nihi wasaagil tologugui elal ge nihi pihigelgel-agil. 
MAT.24.11	Palopitau kakakawel nihi gewi nihi masal inoke gamagalau nihi gewi nihi pagegel. 
MAT.24.12	Pagan nanakina ni bwatabwata ya, inoke gamagalau wali nunuwana avaliyau elal ni kekeisi, 
MAT.24.13	yaa henala ebo ni talmilil gagasisi ana siga abapwamowasi elana mwal ni pwawa. 
MAT.24.14	Yehoba wana abalogugui wasana waiwaisana nihi papaatena-an panayawi mamanana elana ge gamagalau labena gegewena elana nihi atena, inoke abwe sauga mowamowasena ni vin.
MAT.24.15	‘Toapapanak bwaibwaikikinina’ toto Daniyela i babaunan abwe nuku kite ni talmilila Limi Bwabwalena elana—he komiu bolo buki ya ana tovavasili nuwamiu ni sapu baaba ya kaiwena. 
MAT.24.16	Inoke sauga o bolo hi miminaa Yudiya elana nihi lou nihi na nihi ha oyaa. 
MAT.24.17	Ebo gamagal etega iyoho i minamina wana limi pwatanaa toto hi tal paabwab, bahi ni lalau ge ni uulutuk wana limiya bugul etega ni aahe, ni lou ya. 
MAT.24.18	Ebo gamagal etega iyoho i tuwatuwalali eyowaa, bahi ni sisikal panuwaa ge ana kaliko etegana ni aahe. 
MAT.24.19	Sauga o elana nasi ni pulowan hot yowau toliyan ge topapaalahul elal. Eeu, hauna nak geb o! 
MAT.24.20	He nuku awanun Yehoba elana inoke bahi tultul ana sauga elana o ebo Sabwataa ge nuku lolou. 
