GEN.1.1	A fɔlɔfɔlɛ la, Ala ka saŋɛ nun duge da.
LUK.6.49	Mɔgɛ min ka n na kuma mɔɛ, kɔnɔ a ma a ma, wo be toren de iko mɔgɛ min ka boŋɛ sɔ duge kunma, a ma fondoma sigi. Banbaraŋɛ tuguta wo boŋɛ la, boŋɛ boeta fipu! A tiɲata feu!»
LUK.7.1	Isa to banta a la wo kuma bɛ fɔla jama ɲala, a donta Kapɛrinamu saa tɔ. 
LUK.7.2	Sɔɔri kuntige do be ɲɔ, min na joŋɛ be diyaren a ye koola. Wo joŋɛ ma kende, a be faga koe tɔ. 
LUK.7.3	Wo sɔɔri kuntige ka Isa la ko mɔɛ wagate min tɔ, a ka Yahude kuntigenu kii a ma, a ko: «Wo taga Isa madiya wo ni a fɔ a ye, a ni na n na joŋɛ lakisi.» 
LUK.7.4	Kuntigenu la kereŋɛ Isa ma, anu ka a madiya koola, anu ka a fɔ a ye: «A bɛnta i ni wo sɔɔre dɛman, 
LUK.7.5	bayi a be mɔ bɔnsɛ kanuren koola. Ale le faŋɛ ka mɔ la kawandi ma boŋɛ sɔ mɔ ye.» 
LUK.7.6	Wo butɔ, anu nun Isa tagata. Anu la sutuyareŋɛ sɔɔre bata la, sɔɔre ka a kafuɲɔgɛnu donu kii Isa ma, anu ni a fɔ a ye: «N marige, i kana i yɛtɛ tɔɔrɔ. I ma bɛn donna n bata, bayi i sɔdula kolo nde ko pon! 
LUK.7.7	Wolo ɲan be a maren n yɛtɛ ma bɛn tagala i ma. Kɔnɔ hali kuma dɔndɔ le fɔ min si a ma n na joŋɛ ni kendeya. 
LUK.7.8	Nde Adamadeŋɛ be do la yamɔre le kɔtɔ, sɔɔre donu tugun be nde la yamɔre kɔtɔ. N tini min kii, wo si taga; n tini min kele, wo si na; n tini a fɔ n na joŋɛ ye a ni wale min ma, a si a ma.» 
LUK.7.9	Isa to ka wo mɔɛ, a kaabɛta a ma. A ka a ɲamatelen jama ma min be a jokkiren, a ka a fɔ anu ye, a ko: «N ni a fɔ wo ye, n ma kɛ dɛnkɛnɛya mɔle ɲɔgɔn yen hali bani Isirayila mɔgɛnu tɛma.» 
LUK.7.10	Kiilanu to sagita sɔɔri kuntige bata, anu ka a taran wo joŋɛ bata kendeya ken.
LUK.7.11	Wo lun tabantaka, Isa bɔɔta Kapɛrinamu a tagata saa do tɔ ka min tɔgɔ Nayin. A la talibenu anun jama banba be sɔren a kɔma. 
LUK.7.12	A la sutuyareŋɛ saa dondula la, a ka jama banba do yen bɔɔla saa tɔ, anu be kamareŋɛ fure donila gaburudula tɔ. Wo ka a taran, ale kamareŋɛ nɛɛnɛ la kaye tugun fagata nun. Den bele a bolo, fɔ wo kamaren dɔndɛ. 
LUK.7.13	Marige Isa ka wo muse yen, a kinikinita a ma, a ka a fɔ a ye: «I kana di!» 
LUK.7.14	A ka a madon balangari la, a ka a bole maga a la. Fure jigannanu sɔta. A ka a fɔ: «Kamareŋɛ, n bata i yamɔri, i ni wuli.» 
LUK.7.15	A la wo fɔreŋɛ, fure wulita a sigita, a ka kumare fɔlɔ. Isa ka a don a nɛɛnɛ bolo. 
LUK.7.16	Mɔgɛ bɛ kilanta, anu tota Ala matɔgɔla, anu ko: «Nabiyonmɛ belebele bata wuli mɔ tɛma; Ala bata hinnɛ bani Isirayila jama la.» 
LUK.7.17	Wolo ka a ma, Isa la ko kibare tuguta Jude duge nun a la miliŋɛ bɛ la.
LUK.7.18	Yaya la talibenu ka Isa la ko kibare bɛ ɲamakaran a ye. Wo butɔ, Yaya ka talibi fila kele anu tɔ, 
LUK.7.19	a ka anu kii anu ni taga Marige Isa maɲininka, ka Ala la mɔgɔ masubɛreŋɛ min be nala wolo mu ale la ba, ka anu ni mɔgɔ do le kɔnɔn?
LUK.7.20	Wo talibi fila wulita anu tagata Isa maɲininka, anu ko: «Yaya malasuwɛla le be mɔ kiiren i ma, aa mɔ ni na i maɲininka ka Ala la mɔgɔ masubɛreŋɛ min be nala, aa ka wolo mu ile la ba, ka mɔ ni mɔgɔ do le kɔnɔn?» 
LUK.7.21	Wo tɛmuɛ kisanna le, Isa ka bandibaga siyama lakendeya, anun donu minnu be tɔɔrɔren. A ka jinna koroŋɛnu bɔɔ mɔgɛnu kɔma, a ka ɲabɔnɛnu siyama ɲa laka. 
LUK.7.22	Wo butɔ, Isa ka Yaya la wo kiila fila jaabi, a ko: «Wo be min yenden yan, wo be min tugun mɔɛren, wo taga a bɛ ɲamakaran Yaya ye, wo ko:
LUK.7.22	kɛn dɔndɔ tigenu bata tagaman a ɲinma la,
LUK.7.22	baliwulentɔɛnu bata saniyan,
LUK.7.22	kibaru ɲinma bata lake fugarenu ma.
LUK.7.23	Hɛra be mɔgɔ ye, min hakkile ma latugu nde la ko la.»
LUK.7.24	Yaya la kiilanu la bɔɔreŋɛ ɲɔ, Isa fɔlɔta kumala jama ye Yaya la ko tɔ, a ko: «Wo tagata fen de fɛlɛ dula janfue butɔ? Wo tagata kaliŋɛ le fɛlɛ dula ba, fɔɲɛ be min namagala? 
LUK.7.25	Wo tagata fen de fɛlɛla ɲɔ? Kuta ɲinma tige ba? Ade! Kaa, minnu be kuta malanna donna, anu be anu yɛtɛ diyanan koe mala, wonu si yen mansa boŋɛnu le tɔ. 
LUK.7.26	Wo tagata fen de fɛlɛ dula janfue butɔ yati? Wo ma taga Ala la nabiyonmɛ do le fɛlɛ ba? Nabiyonmɛ le yati mu Yaya la! A ɲan fisa nabiyonmɛ ko. 
LUK.7.27	Ale le la ko be sɛbɛren Ala la kitabue tɔ. Ala ko: 
LUK.7.28	N ni a fɔ wo ye, musu yo ma den sɔtɔ betunna min kolo Yaya ko. Kɔnɔ min dɔgɔ a bɛ ko Ala la mansabaya tɔ, wo kolo fisa Yaya ko.
LUK.7.29	Mɔgɛ minnu ka Yaya la kawande lamɔɛ, hali duuti makelelanu, anu bɛ ka a yen Ala le tɔɲa mu, anu sɔnta Yaya ni anu lasuwɛ je tɔ. 
LUK.7.30	Kɔnɔ Farisinu anun sariya karamɔgɛnu ma sɔn anu yɛtɛ ye Ala sagona koe la, anu balanta Yaya ni anu lasuwɛ je tɔ.»
LUK.7.31	Isa mɛn ka a fɔ, a ko: «N si bi mɔgɛnu lamulun ɲɔmɔ fɛ? Anu nun ɲɔmɔ mulunta? 
LUK.7.32	Anu be mulunyaren deŋɛnu la, minnu be sigiren saa tɛma, anu be a fɔla ɲɔgɔn ma, anu ko:
LUK.7.32	‹Mɔ ka serede fe wo ye, kɔnɔ wo ma dɔŋɛ dɔn;
LUK.7.32	mɔ ka kinikini beete bɔɔ wo ye, kɔnɔ wo ma di.›
LUK.7.33	I ma a yen, Yaya malasuwɛla nata, a ma dɔmɔ ɲinma dɔmɔ, a ma beere min. Wole tugun ka a mɔlɔn jinna tɔɛ la. 
LUK.7.34	Nde Adamadeŋɛ tugun bata na, n be dɔmɔre mala n ni minfeŋɛ min. Wole tugun ko n ma aa buula le mu n na, anun beere minna, duuti makelelanu nun junubutɔɛnu kafuɲɔgɛ le mu n na. 
LUK.7.35	Kɔnɔ Ala hakkili ɲinma be minnu bɛ ye, wondelen si sɔn Ala le tɔɲa mu.»
LUK.7.36	Farisi do be ɲɔ min tɔgɔ Simɔn. Lun do, a ka Isa kele dɔmɔri ma koe la a fɛ. Wo butɔ, Isa donta a bata boŋɛ tɔ, anu ka dɔmɔre ma. 
LUK.7.37	Musu jeenante do be wo saa tɔ. A ka a mɔɛ Isa be wo Farisi kaye bata, anu be dɔmɔre tɔ. Awa, a wulita, a ka luule bitira jigan, min be faren labundɛ sɔn bɛlɛŋɛ la, a ka a nati. 
LUK.7.38	A ka a madon Isa la, a sɔta a kɔma a kɛŋɛnu tabɛŋɛ tɔ, a be dila. A ɲa je bɔɔta, a sulenta Isa kɛŋɛnu ma, a ka anu lakima. Wo butɔ, a ka anu mafitan a kunsige la, a ka anu sunbu, a ka anu sunsan labundɛ la. 
LUK.7.39	Farisi kaye min ka Isa kele dɔmɔre ma koe la, a ka muse la wo wale bɛ lasaga, a ka a mira a hakkile tɔ, a ko: «Ka kɛ kaye mu nabiyonmɛ yɛtɛ yɛtɛ le la nun, muse mɔle min be magaren a la, a si a lɔn de nun, ka a fɔla a musu jeenante le la.» 
LUK.7.40	Wo butɔ, Isa ka a fɔ Farisi kaye ye, a ko: «Simɔn, n be diren n ni kuma do fɔ i ye.» Simɔn ka a jaabi, a ko: «Karamɔgɔ, awa yiren.» 
LUK.7.41	Isa ko: «Nafulu tige do ka mɔgɔ fila dɔntɔ. A ka fɔlɔnɛŋɛ dɔntɔ sanuɛ kolo kɛmɛ loolu la. A ka doe dɔntɔ sanuɛ kolo bi loolu la. 
LUK.7.42	Wo mɔgɔ fila tɔ, hali dɔndɔ ma nɔ dɔntɛ lasagila a tige ma. Wo tige diɲata, a ka anu fila bɛ la dɔntɛ to ɲɔ.» Isa ka Simɔn maɲininka, a ko: «A be kama le? Kɛ mɔgɔ fila tɔ, miniman fisa sanu tige kanula a ni tanbi doe la?» 
LUK.7.43	Simɔn ka a jaabi, a ko: «N na mira tɔ, min na dɔntɛ kolo, wolo si nafulu tige kanu a ni tanbi doe la.» Isa ko a ma: «A be ɲɔgɔnna le yati.»
LUK.7.44	Wo butɔ, Isa ka a ɲamatelen muse ma. A ka a fɔ Simɔn ye, a ko: «Simɔn, i ka kɛ muse yen? N donta i bata, i ma je nati n ɲɛ n ni n kɛŋɛnu lako, kɔnɔ ale kan ka n kɛŋɛnu lakima a ɲa je la, a ka anu mafitan a kunsige la. 
LUK.7.45	I ma n sunbu kɔntɔre la, kɔnɔ ale kan bɔɔla a donta yan, a ma n kɛŋɛnu sunbu koe boloka. 
LUK.7.46	I ma tule madon n kuŋɛ ma
LUK.7.47	Wolo mu n be a fɔla i ye: a la junube siyata, kɔnɔ anu bɛ bata kafari, wolo ka a ma a bata kanunteya banba yita n na. Kɔnɔ min na junubu kafare ma siya, wo te kanunteya banba yita.» 
LUK.7.48	A ka a fɔ muse ye: «I la junubenu bata kafari.»
LUK.7.49	Minnu be sigiren a kɛnna, wonu ka a fɔ anu yɛtɛ ma: «Ɲɔmɔ le kɛ kaye la, min si suusɛ junube kafarila?» 
LUK.7.50	Isa ka a fɔ muse ye, a ko: «I la dɛnkɛnɛya bata i lakisi. Taga jusu sa butɔ.»
LUK.8.1	Wo tanbi kɔma, Isa be a matagamanna saa bɛ tɔ, a lanmanu nun a banbanu, a be kawande mala, a ni Ala la mansabaya kibaru ɲinma lake. 
LUK.8.2	A la talibenu mɔgɔ tan nun fila be a kɔma, anun musenu donu, a ka minnu lakendeya anu la bandiya la. Donu tugun be anu tɔ, a ka jinna koroŋɛ bee minnu kɔma. Do tɔgɔ le Mariyama Magidala kaa. Isa ka jinna wɔrɔwila bee a kɔma. 
LUK.8.3	Kaye min tɔgɔ Kusasi, wo tugun na muse be ɲɔ, a tɔgɔ Yuhana. Wo Kusasi mu mansa Herodu la nafulu makantala le la. Muse min tɔgɔ Susana, wo tugun be ɲɔ, anun muse donu siyama. Wo musenu bɛ mata Isa nun a la talibenu madɛmanna le la anu yɛtɛ tɛn bolofeŋɛnu la.
LUK.8.4	Lun do, jama banba to be madɛnna, anu be bɔɔla saa siyama tɔ, ka na Isa ma, a ka taale do sa anu ye, a ko: 
LUK.8.5	«Sɛnɛ sala do bɔɔta a tagata a la suge foi dula. A la sugu foireŋɛ do lansanta kila tɔ. Tanbibaganu ka a matɛn anu kɛŋɛ la, kondeŋɛnu nata anu ka a bɛ dɔmɔ. 
LUK.8.6	Suge do tugun lansanta kurenu kunma. A to fɛtɛnta, a balata bayi kimakima bele ɲɔ. 
LUK.8.7	Suge do tugun lansanta dula do tɔ, bapɛ ŋanintigenu be fɛtɛnna dula min tɔ. Wo suge fɛtɛnta, bapɛ ŋanintigenu tugun fɛtɛnta. Wo kɔma, bapɛ ŋanintigenu dusuta sugenu kunma, anu ka anu nagasi. 
LUK.8.8	Suge do tugun lansanta dugu ɲinma tɔ, anu fɛtɛnta anu wolota, a bɛ ka a ɲɔgɔn siila kɛmɛ wolo.» Isa la bandeŋɛ taale sala, a ka a kulɛ labɔɔ, a fɔla: «Tole be minnu la a mɔɛ koe la, anu ni anu tolomasɔ kɛ taale la koola.»
LUK.8.9	Wo kɔma, Isa la talibenu ka wo taale kɔtɔ maɲininka a ma. 
LUK.8.10	A ka a fɔ anu ye, a ko: «Ala bata wo lalɔn a la mansabaya sutura koenu la. Kɔnɔ a be fɔla mɔgɔ tɔɛnu ye taalenu le tɔ,
LUK.8.11	«Awa, kɛ taale kɔtɔ le ka: wo suge mu Ala la kuma le la. 
LUK.8.12	Suge lansanta kila min tɔ, wo mu mɔgɛnu le la, minnu bata Ala la kuma mɔɛ; wo kɔma, Sentanɛ si na, a si wo kuma bɔɔ anu juse tɔ, alako anu kana dɛnkɛnɛya anu ni kisi. 
LUK.8.13	Suge lansanta kurenu minnu kunma, wo mu mɔgɛnu le la, minnu ka Ala la kuma mɔɛ anu ni a bita sɛwa tɔ, kɔnɔ liili bele anu la. Dɛnkɛnɛya be anu ye han tɛmu do. Kɔnɔ bɛlɛya wagate tini na, anu ni bɔɔ a tɔ. 
LUK.8.14	Suge lansanta bapɛ ŋanintigenu minnu tɛma, wo mu mɔgɛnu le la, minnu ka Ala la kuma mɔɛ, kɔnɔ dunuya tatɛgɛ hanmɛ bata to anu la, anun nafule, anun anu yɛtɛ diyanan koenu. Wolo be a maren, anu be mala iko sɛnɛtɔfeŋɛ tini be balala, a ni a den kɔkɔbale to ɲɔ. 
LUK.8.15	Suge lansanta duge kan ɲinma min tɔ, wo mu mɔgɛnu le la, minnu ka Ala la kuma mɔɛ anu ka a bita sɔɔbɛ la, sondon ɲinma anun a telendeŋɛ la. Wagati bɛ anu be timiladiyaren Ala la ko ma, wolo mu anu be mala iko sɛnɛtɔfeŋɛ to be wolola a ɲinma la.»
LUK.8.16	Isa mɛn ka a fɔ, a ko: «Mɔgɔ yo te lanpue labita a ni panɛ butin a kunma, ka wo ma a ni a lasori benbe kɔtɔ. Ade, a be a sigila fondo le kunma alako mɔgɛnu minnu be donna boŋɛ butɔ, wonu si nɔ a malaŋɛ yenna ki min na. 
LUK.8.17	Awa, fenfen min be dogonden, a bɛ si yen ma. Fenfen min be suturaren, a bɛ si lɔn ma a ni bɔɔ kɛnɛ tɔ. 
LUK.8.18	Wolo mu, a bɛnta wo ni wo tolomasɔ Ala la kuma la koola: ka min ka a bita a ɲinma la, Ala si naa a kɔ do tugun na, kɔnɔ ka min ma a bita, hali a be a miraren min den be a bolo wo si bɔɔ le a bolo.»
LUK.8.19	Isa dɔgɛnu nun a nɛɛnɛ nata a dula, kɔnɔ jama la siya ka a ma, anu ma nɔ kela a ma. 
LUK.8.20	Mɔgɛnu ka a lalɔn, anu ko: «I nɛɛnɛ nun i dɔgɛnu be bara tɔ, anu be diren i yenna.» 
LUK.8.21	Wo butɔ, Isa ka anu jaabi, a ko: «Mɔgɛ minnu be anu tolomasɔla Ala la kuma la anu ni a bita, wondelen mu n nɛɛnɛ nun n dɔgɛnu la.»
LUK.8.22	Lun dɔndɔ, Isa nun a la talibenu bakkita kuluŋɛ tɔ. A ka a fɔ anu ye, a ko: «Wo mɔ tɛgɛ ba kɔkɔma.» Wo butɔ, anu tagata. 
LUK.8.23	Anu be tɛgɛla wagate min tɔ, Isa kinnɔgɔta. Fɔɲɔ belebele wulita ba tɔ, kuluŋɛ be fala je la. Anu bata to kɔntɔfile tɔ. 
LUK.8.24	Anu ka anu madon Isa la anu ka a lakunɛn, anu ko: «Marige, marige, mɔ be faga koe tɔ!» A kunɛnta, a ka fɔɲɛ nun mɔrɔŋɛ yamɔri, fɔɲɛ nun mɔrɔŋɛ lasɔta, ba lakarata. 
LUK.8.25	Wo kɔma, a ka a fɔ talibenu ye, a ko: «Wo la dɛnkɛnɛya be kama le?» Anu kilanta, anu kaabɛta, anu ka a fɔ ɲɔgɔn ye, anu ko: «Kɔnɔ mɔgɛ mɔle miniman de mu kɛ la? Hali a ka fɔɲɛ nun mɔrɔŋɛnu yamɔri, anu si a bita.»
LUK.8.26	Wo kɔma, Isa nun a la talibenu ka ba takuntu anu keta Gerasi duge tɔ min be Galile duge tabɛŋɛ tɔ nɛti. 
LUK.8.27	Isa la sɔreŋɛ kɛnɛ tɔ kabɔɔ kuluŋɛ butɔ, kayi jinna tɔɛ do borita, a nata a kɛlɛ dula. Ɲɔ saa tɔ kaa le mu wo kaye la. Kabɔɔ bima a ma kuta sa a ma. A bele tola boŋɛ tɔ, a be sabatiren gaburudula tɔ le. 
LUK.8.28	A ka Isa yen wagate min tɔ, a belebeleta, a nata boe a kɛn kɔtɔ, a ka a kulɛ bɛlɛŋɛ labɔɔ, a ko: «Ile Isa, Ala min mayɛlɛta, a la den kayireŋɛ! I be naren fenna? N bata i tárán, i kana n ɲagankata.» 
LUK.8.29	A ka wo kuma fɔ le, bayi Isa bata jinna koroŋɛ yamɔri a ni bɔɔ kaye kɔma. Wo ka a taran, wo jinna koroŋɛ ka sɛnbɛ sɔtɔ le ale kaye kunma kabɔɔ bima. Mɔgɛnu tota a kantala, anu si a bole kiti jɔlɔnkɔŋɛ la, anu si a kɛŋɛnu don nɛgɛ tɔ. Kɔnɔ wo jinna koroŋɛ tini wuli a la, a si jɔlɔnkɔŋɛ bɛ kuntu a ni bori a ni don janfue butɔ. 
LUK.8.30	Awa, Isa ka a maɲininka, a ko: «I tɔgɔ kama?» A ka a jaabi, a ko: «Jama». A ka wo fɔ le, bayi jinna koroŋɛ siyata a kɔma. 
LUK.8.31	Wo jinna koroŋɛnu tota Isa madiyala, a kana anu yamɔri anu ni jigi dinka dibireŋɛ tɔ, ɲagankata dula tɔ. 
LUK.8.32	Wo tɛmuɛ, kɔ́sɛ́ kurun banba be anu da ɲinila kɔnkɛ do kunma ɲɔ. Jinna koroŋɛnu ka Isa madiya a ni sɔn anu ni don wo kɔ́sɛ́nu tɔ. A sɔnta wo la. 
LUK.8.33	Jinna koroŋɛnu bɔɔta ale kaye kɔma, anu tagata don kɔ́sɛ́nu tɔ. Wo butɔ, kɔ́sɛ́ kuruŋɛ tunta kabɔɔ kɔnkɛ kun tɛma, anu sɔrɔnta ba tɔ, anu bɛ dulata.
LUK.8.34	Kɔ́sɛ́ kantalanu to ka wo yen, anu borita anu tagata wo fɔ mɔgɛnu ye saa tɔ, anun minnu be sabatiren ɲagama butɔ. 
LUK.8.35	Wonu bɔɔta anu tagata wo koe fɛlɛ. Anu la kereŋɛ Isa dula tɔ, anu ka kaye taran sigiren Isa kɛn kɔtɔ, jinna be min kɔma nun, kuta be lajigiren a ma, a hakkile bata sabati. Wo butɔ, anu kilanta. 
LUK.8.36	Minnu ka a yen a kisita ki min na, wonu ka dantɛgɛ sa mɔgɔ tɔɛnu ye. 
LUK.8.37	Gerasi jama bɛ labɛndeŋɛ kilanta koola, anu ka Isa madiya, anu ko: «Yandi, bɔɔ mɔ la duge tɔ.» Wo butɔ, Isa bakkita kuluŋɛ tɔ saagi koe la. 
LUK.8.38	Wo tɛmuɛ, jinna koroŋɛnu bɔɔta kaye min kɔma, wo ka Isa matárán: «A sɔgɔ be n na n ni to i kɛnna.» Kɔnɔ Isa ma sɔn, a ka a lasagi, a ko: 
LUK.8.39	«Sagi i bata. Ala bata ko banba min ma i ye, i ni a bɛ ɲamakaran anu ye.» Wo butɔ, a tagata, Isa ka ko banba min bɛ ma a ye, a ka wo kibare lake saa mɔgɛnu bɛ ma.
LUK.8.40	Isa ka a kɔ sɔ sagila Galile duge tɔ. Jama min be a kɔnɔnden ɲɔ, wonu bɛ nata a labɛn dula. 
LUK.8.41	Wo tɛmuɛ le, kaye do nata ke a ma, a boeta a kɛn kɔtɔ. A tɔgɔ Yayirusi, kawande ma boŋɛ kuntige le mu a la. A ka Isa madiya a ni taga a bata, 
LUK.8.42	bayi a la den museren dɔndɛ san tan nun fila, a be faga koe tɔ. Awa, Isa ka Yayirusi bata kila bita, kɔnɔ a taga tɛmuɛ kɔtɛ, jama be a kɛtɛnna.
LUK.8.43	Musu bandireŋɛ do be wo jama tɛma. A bata san tan nun fila bɔɔ, lun go lun a be kari wale tɔ. A bata a la harige bɛ ban donna booribɔlanu bolo, kɔnɔ hali dɔndɔ ma sɔtɔ min si nɔ a lakendeyala. 
LUK.8.44	Awa, a ka a madon Isa la, a bɔɔta a kɔma sɔngɛ la, a magata a la doroke da bole la. A la kari wale lasɔta kisanna. 
LUK.8.45	Wo tɛmuɛ, Isa ka ɲininkare ma, a ko: «Ɲɔmɔ le ka a bole maga n na?» Bɛ ka a fɔ, anu ko: «Nde ma.» Piyɛri ka a fɔ, a ko: «N marige, kɔnɔ jama le bele i kɛtɛnden ka i digin?» 
LUK.8.46	Kɔnɔ Isa ka a jaabi, a ko: «Do le bata maga n na, n ka a lɔn de ka a fɔla n sɛnbɛ do bata wali.» 
LUK.8.47	Muse ka a yen, a te nɔ dogonna. A nata sɛrɛnna, a boeta a kɛn kɔtɔ. A magata a la doroke la fen min na, anun a kendeyata ki min na kisanna, a ka wo bɛ ɲamakaran jama bɛ ɲala. 
LUK.8.48	Isa ka a fɔ a ye, a ko: «N nɛɛnɛ, i la dɛnkɛnɛya bata i lakisi. Taga jusu sa butɔ.»
LUK.8.49	Isa be kumala wagate min tɔ, kiila nata kabɔɔ kawandi ma boŋɛ kuntige Yayirusi bata. Wo nata a fɔ a ye, a ko: «I la deŋɛ bata ban. Hali i ma karamɔgɔ Isa tɔɔrɔ bitugun.» 
LUK.8.50	Isa ka wo kiila mɔɛ, a ka a fɔ Yayirusi ye, a ko: «I kana hanmɛ. I ni dɛnkɛnɛya tun, i la deŋɛ si kisi le.» 
LUK.8.51	Isa la kereŋɛ Yayirusi bata, a ma sɔn mɔgɔ yo ni don a fɛ boŋɛ butɔ, fɔ Piyɛri nun Yaya anun Yaguba anun deŋɛ baaba nun a nɛɛnɛ. 
LUK.8.52	Wo tɛmuɛ mɔgɛ bɛ be dila, anu be belebelela deŋɛ la ko la. Kɔnɔ Isa ka a fɔ anu ye: «Wo kana di! A bele fagaren, a be kinnɔgɔla le.» 
LUK.8.53	Anu be Isa majelela, bayi anu bɛ ka a lɔn deŋɛ bata faga. 
LUK.8.54	Kɔnɔ Isa tagata deŋɛ bita a bole ma. A ka a kulɛ labɔɔ, a ko: «N na deŋɛ, wuli!» 
LUK.8.55	Wo butɔ, deŋɛ nɛ tasagita a la, a wulita kisanna. Isa ka anu yamɔri anu ni dɔmɛ dii a ma, a ni a dɔmɔ. 
LUK.8.56	Den musereŋɛ sɔtɔla fila kaabɛta han ka a dan natanbi, kɔnɔ Isa ka anu yamɔri, koe min tanbita, anu kana a fɔ mɔgɔ yo ye.
LUK.9.1	Wo kɔma, Isa ka a la talibi mɔgɔ tan nun fila madɛn. A ka sɛnbɛ nun yamɔre don anu bolo, alako anu ni jinna koroŋɛnu bɔɔ mɔgɛnu kɔma, anu ni bandibaganu lakendeya. 
LUK.9.2	A ka anu kii alako anu ni taga Ala la mansabaya kibare lake mɔgɛnu ma, anu ni bandibaganu tugun nakendeya. 
LUK.9.3	A ka a fɔ anu ye: «Wo kana fenfen jigan biyasi fanda la: tungare yo, bɔnfɛ yo, dɔmɛ yo, nafule yo, hali doroki filaɲɔgɛ wo kana a jigan. 
LUK.9.4	Wo tini yigiya boŋɛ min tɔ, wo ni to ɲɔ han wo be bɔɔla wo saa tɔ wagate min tɔ. 
LUK.9.5	Ka anu ma sɔn wo yigiyala saa min tɔ, wo bɔɔ ɲɔ, wo ni ɲɔ banbaŋɛ bɔɔ wo kɛŋɛ tɔ, wo si ma seedeɲɔgɔya la ɲɔ mɔgɛnu ye.»
LUK.9.6	Talibenu bɔɔta ɲɔ anu tagamanta, anu keta saa lanmanu tɔ. Anu ka kibaru ɲinma lake, anu mɛn ka bandibaganu lakendeya dula bɛ tɔ.
LUK.9.7	Herodu, Galile dugu mansa to ka a mɔɛ min bɛ be tanbiren Isa la ko tɔ, wo ka a kɔntɔfili koola, bayi mɔgɛnu donu be a fɔla aa Yaya le be wuliren fagabaganu tɛma, 
LUK.9.8	donu tugun ko annabi Eliya le bata na, donu ko nabiyonmɛ fɔlɛnu wonu dɔndɔ le bata wuli. 
LUK.9.9	Herodu ko: «Nde ka Yaya kuŋɛ kuntu! Kɔnɔ hali ɲɔmɔ le mu kɛ tigi kan na, n be min na koenu mɔɛren ka?» Wo butɔ, Herodu katata Isa yen koe la.
LUK.9.10	Isa la kiilanu la sagireŋɛ, anu ka dantɛgɛ sa a ye: anu ka koe min bɛ ma, anu ka wo bɛ fɔ a ye. Wo la bandeŋɛ, a ka anu jigan anu bɔɔta anu katima anu tagata Betisayida saa sɔngɔ. 
LUK.9.11	Kɔnɔ mɔgɛnu ka a la tagamaŋɛ mɔɛ, anu ka a jokki. Isa ka anu lasɛnɛ. A be Ala la mansabaya la ko fɔla anu ye. Minnu hajue be kendeya ma, a tota wonu lakendeyala. 
LUK.9.12	Lagansara kima fɛ, Isa la talibi tan nun fila ka anu madon a la. Anu ka a fɔ a ye, anu ko: «Jama boloka alako anu ni taga saanu nun daakanu tɔ minnu be mɔ lamilinden, yigiya nun dɔmɔ ɲini dula, bayi wo mɔ be janfue le butɔ.» 
LUK.9.13	Kɔnɔ a ka anu jaabi, a ko: «Wole le yati be dɔmɛ diila anu ma.» Anu ka a fɔ, anu ko: «Dɛgɛ wundu loolu nun yɛgɛ fila le pɛ be mɔ bolo yan. Fɔ mɔ ni taga dɔmɛ san kɛ mɔgɛ bɛ ye.» 
LUK.9.14	Wo ka a taran, jama si kayi mɔgɔ wulu loolu ɲɔgɔn bɔɔ.
LUK.9.14	Isa ka a fɔ a la talibenu ye, a ko: «Wo mɔgɛnu sigi kurun kurun na, ka mɔgɔ bi loolu ɲɔgɔn nasigi kan dula dɔndɔ.» 
LUK.9.15	Talibenu ka a ma ɲɔgɔnna le, anu ka anu bɛ lasigi. 
LUK.9.16	Wo la bandeŋɛ, Isa ka wo dɛgɛ wundu loole nun yɛgɛ fila jigan. A ka a ɲa sɔ saŋɛ la, a ka tantue lataga Ala ma. A ka dɛgɛ nun yɛgɛ makuntukuntu a ka anu don talibenu bolo, alako anu ni anu mafatan jama ma. 
LUK.9.17	Mɔgɛnu ka dɔmɔre ma han anu bɛ fata. Talibenu ka saga tan nun fila lafa dɔmɔ makunturen tɔɛnu la.
LUK.9.18	Lun do, Isa dɔrɔn be Ala mataraŋɛ tɔ, a be sɔngɔ, a la talibenu be a kɛnna. A ka anu maɲininka, a ko: «Mɔgɛnu be n mɔlɔnden ɲɔmɔ le la?» 
LUK.9.19	Anu ka a jaabi, anu ko: «Donu ko, i mu Yaya malasuwɛla le la, donu ko, i mu annabi Eliya le la, donu tugun ko, nabiyonmɛ fɔlɛ do le be wuliren.» 
LUK.9.20	A mɛn ka anu maɲininka, a ko: «Wole go? Wo be n mɔlɔnden ɲɔmɔ le la?» Piyɛri ka a jaabi, a ko: «Ala la mɔgɔ masubɛreŋɛ le mu ile la.» 
LUK.9.21	Wo butɔ, Isa ka anu yamɔri a bɛlɛma la, anu kana wo fɔ mɔgɔ yo ye. 
LUK.9.22	A mɛn ka a fɔ, a ko: «A fɛrɛ bele, fɔ nde Adamadeŋɛ ni ɲagankata han. Kayibanu anun sarika lakela kuntigenu anun sariya karamɔgɛnu si n aɲɛ le, han ka naa n faga. Kɔnɔ n na faga tele saba luŋɛ, n si wuli le.»
