GEN.1.1	Sa kapinonan, kan lalangon nin Dios an kalangitan asin an daga, 
JOB.33.31	“Paghinanyog, Job, dangoga ako;
JOB.33.31	pag-alo, asin mataram ako.
JOB.33.32	Simbaga ako, kun igwa ka nin itataram;
JOB.33.32	pagtaram, huli ta boot kong tawan ka nin katanosan.
JOB.33.33	Alagad kun dai, pagdangog sako;
JOB.33.33	pag-alo, asin tutukdoan taka kun paano magin madonong.”
JOB.34.1	Dangan nagsabi si Elihu:
JOB.34.2	“Mga madodonong na lalaki, dangoga nindo an sakong itataram,
JOB.34.2	asin paghinanyog kamo sako, kamo na nakakaaram;
JOB.34.3	huli ta binabalo kan talinga an mga tataramon
JOB.34.3	siring na ninanamitan kan dila an kakanon.
JOB.34.4	Pilion ta an matanos; kita an magsabi kun ano an marahay.
JOB.34.5	Huli ta nagtaram si Job, ‘Mayo akong sala,
JOB.34.5	asin hinale sako nin Dios an sakong katanosan;
JOB.34.6	maski igwa ako nin deretso, ibinibilang akong putikon;
JOB.34.6	an sakong lugad dai nabobolong, maski mayo akong kasalan.’
JOB.34.7	“Anong klaseng tawo an siring ki Job?
JOB.34.7	Dai nanggad siya minagalang sa Dios.
JOB.34.8	Nakikiiba siya sa mga paragibo nin karatan
JOB.34.8	asin minalakaw sa kaibahan kan mga makasalan.
JOB.34.9	Nagsasabi siyang, mayo nanggad nin pakinabang an tawo
JOB.34.9	kun siya magsunod sa kabotan nin Dios.
JOB.34.10	“Kaya dangoga nindo ako, kamong mga lalaking may pakasabot!
JOB.34.10	Magibo daw an Makakamhan na Dios nin karatan?
JOB.34.11	Binabalosan niya an tawo sosog sa saiyang gibo,
JOB.34.11	asin tinatratar sinda sosog sa maninigo.
JOB.34.12	Sa katotoohan, an Dios dai magibo nin karatan,
JOB.34.12	an Makakamhan dai mabiko kan katanosan.
JOB.34.13	Siisay an nagtao sa Dios nin kapangyarihan?
JOB.34.13	Siisay an nagbugtak saiyang pamayo kan kinaban?
JOB.34.14	Kun bawion nin Dios an hinangos nin buhay,
JOB.34.15	magagadan an gabos na nabubuhay
JOB.34.15	asin mabalik sa alpog na saiyang pinaghalean.
JOB.34.16	“Kun igwa kamo nin pakasabot, dangoga ini; hinanyoga an sakong sasabihon.
JOB.34.17	Maghahade daw an sarong naoongis sa hustisya?
JOB.34.17	Kokondenaron daw nindo an mapangyari asin matanos,
JOB.34.18	na minasabi sa sarong hade, ‘Mayo kang halaga,’ asin sa mga pamayo,
JOB.34.18	‘Maraot kang tawo’;
JOB.34.19	na dai nagpapahiling nin pagpapalaen sa mga prinsipe,
JOB.34.19	ni minapaorog sa mayaman ki sa dukha,
JOB.34.19	huli ta gabos sinda gibo kan saiyang mga kamot?
JOB.34.20	Pwede sanang magadan nin hidali kun banggi an sarong tawo.
JOB.34.20	Hahampakon nin Dios an mga tawo dangan nawawara sinda;
JOB.34.20	mayo nin kapagalan na ginagadan niya an mga mapangyari.
JOB.34.21	Huli ta nagmamasid siya sa mga gawe kan mga tawo,
JOB.34.21	asin nahihiling niya an gabos nindang lakad.
JOB.34.22	Mayong limpoy o mahibog na kadikloman
JOB.34.22	na pwedeng tagoan kan paragibo nin karatan.
JOB.34.23	Huli ta dai pa an Dios nagtalaan nin panahon
JOB.34.23	para sa kiisay man tanganing mag-atubang sa saiyang paghukom.
JOB.34.24	Maski mayo nin pagsisiyasat, hinahale niya an mga tawong mapangyari,
JOB.34.24	dangan isinasalihid niya an iba sa lugar ninda.
JOB.34.25	Kaya huli ta aram niya an saindang mga gibo
JOB.34.25	dinadaog niya sinda asin rinoronot pagkabanggi.
JOB.34.26	Pinapadusahan niya an mga parakasala sa atubang nin kadaklan,
JOB.34.27	huli ta nag-ontok sinda sa pagsunod saiya,
JOB.34.27	asin dai sinda nagkuyog kan gabos niyang pagboot.
JOB.34.28	Sinda an nagin dahelan kan pag-agrangay sa Dios kan mga dukha,
JOB.34.28	asin nadangog niya an inagrangay kan mga nasasakitan.
JOB.34.29	“Kun siya magtoninong, siisay an makondenar?
JOB.34.29	Kun tagoon niya an saiyang lalawogon,
JOB.34.29	siisay an makakahiling saiya, nasyon man o tawo?
JOB.34.30	Mayo nin anoman na magigibo an mga nasyon
JOB.34.30	tanganing maolang an mga bakong diosnon sa pagsakop sainda.
JOB.34.31	“Huli ta may nakapagsabi na daw sa Dios,
JOB.34.31	‘Nagtios na ako kan padusa; dai na ako magibo nin karatan;
JOB.34.32	tukdoe ako kan dai ko nahihiling;
JOB.34.32	kun nakagibo ako nin karatan, dai ko na iyan gigibohon giraray’?
JOB.34.33	Huli ta minasalungat ka sa ginigibo nin Dios,
JOB.34.33	maglalaom ka daw na gigibohon niya an boot mo?
JOB.34.33	An pagdesisyon nasa saimo, bakong sako;
JOB.34.33	tarami kami ngunyan kun ano an iniisip mo.
JOB.34.34	“Masabi sako an mga lalaking may pakasabot,
JOB.34.34	asin mataram an madonong na makakadangog sako:
JOB.34.35	‘Nagtataram si Job na mayo nin pakasabot,
JOB.34.35	an saiyang mga tataramon mayo nin kahulogan.’
JOB.34.36	Isipa nindo an gabos na isinasabi ni Job;
JOB.34.36	mahihiling nindo na nagtataram siya siring sa sarong maraot na tawo.
JOB.34.37	Huli ta an saiyang kasalan dinadagdagan niya nin pagtumang;
JOB.34.37	pinag-olog-olog niya an Dios sa satong atubang.”
JOB.35.1	Nagsabi si Elihu ki Job:
JOB.35.2	“Bakong matanos na ika magsabi
JOB.35.2	na mayo ka nin sala sa atubang nin Dios,
JOB.35.3	o na maghapot sa Dios, ‘Ano an sakong papakinabangon?
JOB.35.3	Paano ako magin mas marahay ki sa kun ako nagkasala?’
JOB.35.4	Sisimbagon taka asin an saimong mga katood.
JOB.35.5	“Hilinga an kalangitan! Masdan mo an mga panganoron,
JOB.35.5	na mas halangkaw ki sa saimo.
JOB.35.6	Kun nagkasala ka, naapektohan mo daw an Dios?
JOB.35.6	Kun nagdakul an saimong kasalan, nadigtaan mo daw siya?
JOB.35.7	Natatabangan mo daw an Dios kun ika matanos?
JOB.35.7	Dai nangangaipo nin ano man an Dios hale saimo.
JOB.35.8	An saimong karatan nakakaraot sa mga kapwa mo tawo,
JOB.35.8	asin an saimong katanosan nakakatabang sa sainda.
JOB.35.9	“Huli sa pang-aapi, nag-aagrangay an mga tawo;
JOB.35.9	naghahagad sinda nin tabang tanganing ikaligtas sa mapang-api.
JOB.35.10	Alagad mayo nin naghahapot, ‘Haen an Dios na sakong Kaglalang,
JOB.35.10	na nagtatao sako nin paglaom sa panahon nin kasakitan,
JOB.35.11	na nagtutukdo sato nin orog ki sa mga hayop kan daga,
JOB.35.11	na nagpapadonong sato ki sa mga gamgam sa kalangitan?’
JOB.35.12	Minaagrangay sinda, alagad dai siya minasimbag,
JOB.35.12	huli ta mapalangkaw sinda asin maraot na mga tawo.
JOB.35.13	Totoong gayo na dai dinadangog an mayong halagang inagrangay;
JOB.35.13	dai sinda hihilingon ni dadangogon kan Makakamhan na Dios.
JOB.35.14	“Nagsabi ka, Job, na an Dios dai mo nahihiling;
JOB.35.14	alagad maghalat ka sana huli ta aram niya an kamugtakan mo.
JOB.35.15	Naghohona ka na dai nagpapadusa an Dios,
JOB.35.15	na dai niya pinapahalagahan an kasalan.
JOB.35.16	Mayong mangyayari sa saimong katataram;
JOB.35.16	maliwanag na mayo kang naaaraman.”
JOB.36.1	Nagsabi pa si Elihu:
JOB.36.2	“Maghalat ka pa nin kadikit
JOB.36.2	na panahon, asin ipapahiling ko saimo,
JOB.36.2	huli ta manongod sa Dios an sakong sasabihon.
JOB.36.3	Dakul an sakong naaaraman; gagamiton ko gabos iyan tanganing ipahiling
JOB.36.3	ko na matanos an Dios, na sakong Kaglalang.
JOB.36.4	Totoo an sakong mga tataramon,
JOB.36.4	huli ta an nahihiling mo sa saimong atubang sarong tawong madonong.
JOB.36.5	“Uya, an Dios mapangyari, asin dai nagbabasang-basang sa kiisay man;
JOB.36.5	mayong anoman na dai niya nasasabotan.
JOB.36.6	Dai niya tinutugotan na mabuhay an parakasala,
JOB.36.6	alagad tinatawan niya kan saindang deretso an daing sukat.
JOB.36.7	Dai niya hinahale an pag-ingat sa mga matanos,
JOB.36.7	pinapatukaw niya sinda sa trono siring sa mga hade,
JOB.36.7	asin tinatawan nin kaomawan sagkod pa man.
JOB.36.8	Alagad kun sinda nakakadenahan
JOB.36.8	asin nagagakodan nin mga pisi nin kasakitan,
JOB.36.9	ipinapahayag niya sainda an saindang mga kasalan saka kapaabaw-abawan.
JOB.36.10	Ginigibo niyang magdangog sinda sa saiyang mga patanid,
JOB.36.10	na magbakle sa saindang kasalan.
JOB.36.11	Kun magkuyog sinda asin maglingkod saiya,
JOB.36.11	sa kauswagan matatapos an saindang mga aldaw, asin an saindang mga taon sa karahayan.
JOB.36.12	Alagad kun dai sinda maghinanyog, mapapara sinda huli sa dahas,
JOB.36.12	asin magagadan na mayong pakaaram.
JOB.36.13	“An mga bakong diosnon nagpapadagos sa pagigin anggot,
JOB.36.13	asin dai minahagad nin tabang maski pinapadusahan.
JOB.36.14	Nagagadan sinda na hoben pa,
JOB.36.14	asin an saindang buhay natatapos sa kasosopgan.
JOB.36.15	Alagad tinutukdoan nin Dios an tawo sa paagi nin pagtios,
JOB.36.15	asin ginagamit an kawaraan nin paglaom sa pagpahiling
JOB.36.15	sainda kan katotoohan.
JOB.36.16	“Hinale ka nin Dios sa kasakitan,
JOB.36.16	asin pinapagmate nin katiwasayan;
JOB.36.16	asin saimong lamesa pinano nin pagkakan.
JOB.36.17	Alagad ngunyan pinapadusahan ka sosog sa maninigo saimo.
JOB.36.18	Mag-ingat ka na dai ka madaya kan mga suhol,
JOB.36.18	ni malagalag kan kayamanan.
JOB.36.19	An saimong paghagad nin tabang mayo nin itataong karahayan;
JOB.36.19	an bilong mong kosog dai makakatabang sa saimo ngunyan.
JOB.36.20	Dai mo pagmawoton na an banggi dumatong,
JOB.36.20	an panahon na mapapara an mga nasyon.
JOB.36.21	Pag-ingat, dai ka magkiling sa karatan;
JOB.36.21	itinao saimo an kasakitan tanganing ilikay ka sa kasalan.
JOB.36.22	“An Dios ilinangkaw sa saiyang kapangyarihan;
JOB.36.22	siisay na paratukdo an makakaarog saiya?
JOB.36.23	Siisay an nagtalaga para sa saiya kan saiyang dalan,
JOB.36.23	o siisay an makakasabi, ‘Guminibo ka nin karatan’?
JOB.36.24	Giromdomon mong ilangkaw an saiyang gibo,
JOB.36.24	na inawit kan mga tawo.
JOB.36.25	Nahiling iyan kan gabos na tawo;
JOB.36.25	pwede tang masdan iyan sa harayo.
JOB.36.26	Dai ta nanggad siya mamimidbidan,
JOB.36.26	ni mabibilang an saiyang mga taon.
JOB.36.27	“Huli ta siya an minapaitaas kan mga tubig hale sa daga,
JOB.36.27	asin ginigibo niya ining mga tagdo nin uran.
JOB.36.28	Pinapabulos niya an uran hale sa mga panganoron,
JOB.36.28	asin pinapahugpa sa katawohan.
JOB.36.29	May makakasabot daw kan paglakop kan mga panganoron,
JOB.36.29	kan pagdaguldol hale sa kalangitan na saiyang pinag-eerokan?
JOB.36.30	Winawarak niya an saiyang kikilat sa palibot niya,
JOB.36.30	alagad danay na madiklom an kairaroman kan dagat.
JOB.36.31	Huli sa mga paaging ini hinuhukoman niya an mga nasyon;
JOB.36.31	minatao siya nin labi-labing pagkakan.
JOB.36.32	Pinupugol niya an kikilat,
JOB.36.32	asin pinagbobotan kun arin an boot niyang patamaan.
JOB.36.33	An tanog kaiyan iyo an nagpapahayag dapit saiya,
JOB.36.33	na anggot na nag-iimon laban sa karatan.
JOB.37.1	“Pinapakutabkutab an puso ko kan bagyo.
JOB.37.2	Paghinanyog kamo gabos sa tingog nin Dios,
JOB.37.2	sa daguldol na naghahale sa saiyang ngoso.
JOB.37.3	Isinusubol niya iyan sa ibaba kan bilog na kalangitan,
JOB.37.3	asin an saiyang kikilat sa mga poro kan kinaban.
JOB.37.4	Dangan nadadangog an ragubrob kan saiyang tingog,
JOB.37.4	an magayon na tanog kan daguldol,
JOB.37.4	mantang daing ontok an pagsilyab kan kikilat.
JOB.37.5	Sa pagboot nin Dios, nangyayari an makangangalas na mga bagay,
JOB.37.5	an mga darakulang bagay na dai nyato masasabotan.
JOB.37.6	Huli ta sinasabihan niya an nyebe, ‘Maghugpa ka sa daga’;
JOB.37.6	asin an tagiti saka an uran, ‘Magin makosog ka.’
JOB.37.7	Pinapaontok niya sa pagtrabaho an gabos na tawo,
JOB.37.7	tanganing mahiling ninda an gabos niyang gibo.
JOB.37.8	Dangan minalaog sa saindang lungib an mga hayop
JOB.37.8	asin duman sinda minaontok.
JOB.37.9	Naghahale sa habagat an makokosog na doros,
JOB.37.9	asin sa amihan an doros na sobra an lipot.
JOB.37.10	An katubigan pinapatagas kan hinangos nin Dios,
JOB.37.10	asin ginigibo niya ining matagas na yelo.
JOB.37.11	Minasilyab an kikilat hale sa mga panganoron,
JOB.37.12	mantang naghihiro sinda sa pagboot nin Dios.
JOB.37.12	Ginigibo ninda an gabos na pagboot nin Dios
JOB.37.12	maski saen sa bilog na kinaban.
JOB.37.13	An Dios minapadara nin uran tanganing baribihon an saiyang daga;
JOB.37.13	pwede niyang ipadara iyan sa pagpadusa sa mga tawo
JOB.37.13	o sa pagpahiling kan saiyang pagkamoot.
JOB.37.14	“Hinanyoga ini, Job, pag-ontok asin horophoropa an
JOB.37.14	makangangalas na mga gibo nin Dios.
JOB.37.15	Aram mo daw kun paano itinatao nin Dios an pagboot
JOB.37.15	asin minasilyab an kikilat sa mga panganoron?
JOB.37.16	Aram mo kun paano naglalataw an mga panganoron sa kalangitan,
JOB.37.16	an bunga kan makangangalas na kakayahan nin Dios?
JOB.37.17	Dai mo naaaraman iyan! An aram mo sana iyo an pagtios kan init
JOB.37.17	kun minahuyop sa daga an doros na gikan sa habagat.
JOB.37.18	Matatabangan mo daw an Dios sa pagbiklad kan kalangitan
JOB.37.18	asin sa pagpatagas kaiyan siring sa pinakintab na metal?
JOB.37.19	Tukdoe kami kun ano an samong sasabihon sa Dios;
JOB.37.19	mayo nin laog an samong isip; mayo kami nin masasabi.
JOB.37.20	Dai ko hahagadon na makipag-olay ako sa Dios;
JOB.37.20	tadaw ta tatawan ko siya nin oportunidad na gadanon ako?
JOB.37.21	“Ngunyan an liwanag sa kalangitan nakakasula,
JOB.37.21	dai ta kayang hilingon;
JOB.37.21	asin an langit nalinigan na kan doros.
JOB.37.22	Nahihiling sa amihan an bulawan na kinang,
JOB.37.22	asin natatakot kita huli sa kamurawayan nin Dios.
JOB.37.23	Dakula nin marahay an kapangyarihan nin Dios, kaya dai kita nakakadolok saiya;
JOB.37.23	matanos siya asin maimbod sa pagtratar kan katawohan.
JOB.37.24	Kaya natatakot saiya an mga tawo; dai niya pinapahalagahan an siisay man na nagsasagin-sagin na madonong.”
JOB.38.1	Dangan hale sa sarong makosog na doros sinimbag nin 
JOB.38.2	“Siisay ka, ika na mayong naaaraman,
JOB.38.2	na maghapot dapit sa sakong kadonongan?
JOB.38.3	Tumindog ka siring sa sarong lalaki
JOB.38.3	asin simbagon mo an mga hapot ko.
JOB.38.4	Haen ka kan ibugtak ko an pundasyon kan kinaban?
JOB.38.4	Kun talagang may naaaraman ka, tarami ako.
JOB.38.5	Siisay an nagtalaan kan kadakulaan kan kinaban?
JOB.38.5	Siisay an nag-unat kan pansukol sa ibabaw kaiyan?
JOB.38.5	Aram mo an mga simbag kaiyan?
JOB.38.6	Ano-ano an nagpupugol kan mga harigi kan daga?
JOB.38.6	Siisay an nagbugtak kan patugmadan kan kinaban?
JOB.38.7	Kan kaagahon kan aldaw na idto, sarabay na nag-awit an mga bitoon,
JOB.38.7	asin nagkurahaw sa kaogmahan an langitnon na mga linalang.
JOB.38.8	“Siisay an nagsera kan mga trangkahan tanganing pugolon an dagat
JOB.38.8	kan puminutok iyan sa tulak kan daga?
JOB.38.9	Ako an nagtahob kan dagat nin mga panganoron
JOB.38.9	asin nagpatos kaiyan sa kadikloman.
JOB.38.10	Ako an nagtalaan kan kasagkoran kaiyan
JOB.38.10	asin nagbugtak kan mga barat saka mga pintoan.
JOB.38.11	Sinabihan ko an dagat, ‘Sagkod ka sana digdi, asin dai maglampas!
JOB.38.11	Digdi maontok an saimong darakulang mga alon.’
JOB.38.12	Sa bilog mong buhay, Job,
JOB.38.12	nagboot ka na daw na magbanaag an sarong aldaw?
JOB.38.13	Pinagbotan mo na daw an banaag na pugolon an daga
JOB.38.13	asin patalsikon an mga tampalasan sa pinagtatagoan ninda?
JOB.38.14	Huli sa saldang kan aldaw nahahayag an mga bulod saka mga kapantayan
JOB.38.14	arog kan mga tiklop sa gubing,
JOB.38.14	malinaw siring kan marka nin sarong selyo na idinoon sa laboy.
JOB.38.15	An saldang kan aldaw maliwanag nin marahay para sa mga tampalasan
JOB.38.15	asin nakakapugol sainda sa paggibo nin kadahasan.
JOB.38.16	“Nakaduman ka na daw sa mga burabod kan dagat,
JOB.38.16	o nakalakaw sa pusod kan kairaroman?
JOB.38.17	Nahiling mo na daw an mga trangkahan nin kagadanan,
JOB.38.17	o an mga trangkahan kan mahibog na kadikloman?
JOB.38.18	Nasabotan mo na daw an kahiwasan kan kinaban?
JOB.38.18	Simbagon mo ako kun aram mo an gabos na ini.
JOB.38.19	“Aram mo daw kun saen naghahale an liwanag
JOB.38.19	asin kun ano an ginigikanan kan kadikloman?
JOB.38.20	Ikakatukdo mo daw sainda kun sagkod saen sinda maduman,
JOB.38.20	o ikakabalik mo daw sinda sa saindang pinaghalean?
JOB.38.21	Aram mo iyan, huli ta gurang ka nang marahay
JOB.38.21	asin yaon ka duman kan lalangon an kinaban!
JOB.38.22	“Nakalaog ka na daw sa mga sarayan kan nyebe,
JOB.38.22	o nahiling an mga sarayan kan uran nin yelo,
JOB.38.23	na sakong itinagama sa panahon nin kasakitan,
JOB.38.23	para sa aldaw nin gera asin ralaban?
JOB.38.24	Nakaduman ka na daw sa sinisirangan kan aldaw,
JOB.38.24	o sa pinaghahalean kan doros sa sirangan?
JOB.38.25	“Siisay an nagkalot nin agihan para sa makosog na uran
JOB.38.25	asin nin dalan para sa kikilat,
JOB.38.26	tanganing darahon an uran sa daga na mayo nin nag-eerok,
JOB.38.26	sa kalangtadan na mayo nin tawo;
JOB.38.27	tanganing baribihon an mamara asin napapahang daga,
JOB.38.27	tanganing magtalubo sa daga an mga doot?
JOB.38.28	May ama daw an uran
JOB.38.28	o tagdo kan ambon?
JOB.38.29	Siisay an ina kan yelo
JOB.38.29	asin kan saradit na yelo nin langit,
JOB.38.30	na nagpapatagas kan katubigan,
JOB.38.30	asin kan ibabaw kan dagat?
JOB.38.31	“Mabubugkos mo daw an mga kadena kan Pleiades,
JOB.38.31	o mahahale an gakod nin Orion?
JOB.38.32	Mapapangenotan mo daw an mga bitoon sa lambang panahon
JOB.38.32	o magigiyahan an Oso kaiba kan saiyang mga ogbon?
JOB.38.33	Aram mo daw an mga katogonan kan kalangitan?
JOB.38.33	Magagamit mo daw iyan para sa kinaban?
JOB.38.34	“Mapapagbotan mo daw an mga panganoron
JOB.38.34	tanganing tahoban ka kan baha nin katubigan?
JOB.38.35	Masusugo mo daw an mga kikilat tanganing maglakaw sinda
JOB.38.35	asin magsabi saimo, ‘Andam kaming maglingkod saimo’?
JOB.38.36	Siisay an nagbugtak nin kadonongan sa mga panganoron,
JOB.38.36	o nagtao nin pakasabot sa mga ambon?
JOB.38.37	Siisay an madonong na makakabilang sa mga panganoron
JOB.38.37	asin makakabaliktad kaini tanganing umula an uran,
JOB.38.38	uran na minagibo kan alpog na magin matagas na daga?
JOB.38.39	“Makakakua ka daw nin pagkakan para sa mga leon,
JOB.38.39	o mababasog mo daw an saindang ogbon kun sinda magkagurutom,
JOB.38.40	kun sinda minaukmo sa saindang mga lungib,
JOB.38.40	o minahipa sa saindang mga tagoan?
JOB.38.41	Siisay an nagtataong kakanon sa uwak,
JOB.38.41	kun nalalagalag sinda sa kakulangan nin pagkakan,
JOB.38.41	kun minaagrangay sako an saindang mga ogbon?
JOB.39.1	Aram mo daw kun nuarin namumundag an lalaw na mga kanding?
JOB.39.1	Namasdan mo na daw an pag-ogbon kan usa?
JOB.39.2	Aram mo daw kun pirang bulan an saindang pagbados,
JOB.39.2	asin an panahon nin saindang pag-ogbon?
JOB.39.3	Aram mo daw kun nuarin sinda malukmo
JOB.39.3	asin mamumundagan kan saindang ogbon?
JOB.39.4	Nagigin makosog an saindang mga ogbon, nagdadarakula sinda sa kaawagan;
JOB.39.4	minaralakaw sinda, asin dai na minabaralik sa saindang magurang.
JOB.39.5	“Siisay an nagtao sa lalaw na asno kan saiyang katalingkasan?
JOB.39.5	Siisay an naghubad kan mga gapos kan asnong marikas,
JOB.39.6	na tinawan ko kan kalangtadan nganing magin saiyang harong,
JOB.39.6	asin kan maasin na daga nganing magin saiyang erokan?
JOB.39.7	Minaharayo siya sa maribok na mga syudad;
JOB.39.7	dai niya nadadangog an kinurahaw kan mga paraalaw.
JOB.39.8	Linilibot niya an kabukidan bilang saiyang pasabsaban,
JOB.39.8	asin hinahanap niya an lambang berdeng bagay nganing saiyang makakan.
JOB.39.9	“An lalaw na baka boot daw na maglingkod saimo?
JOB.39.9	Papalihison daw niya an sarong banggi sa saimong kwadra?
JOB.39.10	Magagakodan mo daw siya tanganing mag-arado,
JOB.39.10	o susurodon daw niya an saimong mga oma?
JOB.39.11	Magsasarig ka daw saiya huli ta makosog siya,
JOB.39.11	asin ipapaniwala mo daw saiya an saimong magabat na trabaho?
JOB.39.12	Minatubod ka daw saiya na mabalik siya,
JOB.39.12	asin na dadarahon niya hale sa saimong ginikan an saimong trigo?
JOB.39.13	“Marikas an pagkampay kan mga pakpak kan ostrits;
JOB.39.13	alagad dai iyan nakakalayog arog kan talaod.
JOB.39.14	Huli ta binabayaan niya sa daga an saiyang mga sugok
JOB.39.14	asin pinapainitan iyan sa ibabaw kan daga.
JOB.39.15	Dai niya iniisip na pwede ining maronot nin sarong bitis,
JOB.39.15	asin matimakan kan mga lalaw na hayop.
JOB.39.16	Pinagmamakurihan niya an saiyang mga ogbon na garong bako saiya an mga ini;
JOB.39.16	maski masayang an saiyang kapagalan, alagad dai siya natatakot;
JOB.39.17	huli ta ginibo ko na malingawan niya an kadonongan,
JOB.39.17	asin dai ko siya tinawan nin pakasabot.
JOB.39.18	Alagad kun minapoon siyang magdalagan,
JOB.39.18	nginingisihan niya an kabayo asin an nakalunad diyan.
JOB.39.19	“Job, ika daw an nagtao nin kosog sa kabayo?
JOB.39.19	Ika daw an nagtao nin haralabang buhok sa saiyang liog?
JOB.39.20	Ika daw an nagpapalukso saiya siring sa doron?
JOB.39.20	Nakakatakot an pinugrot kan saiyang ngoso.
JOB.39.21	Sa bilog niyang kosog minadalagan siya pasiring sa ralaban.
JOB.39.22	Nginingisihan niya an takot
JOB.39.22	asin dai nanluluya an saiyang boot; mayo nin espada na nakakapasibog saiya.
JOB.39.23	Sa ibabaw niya nagkakarantog an lalagan nin mga bosog,
JOB.39.23	an nagsisilyab na garod asin an bodyak.
JOB.39.24	Marikas siyang nagdadalagan na haros halonon an daga;
JOB.39.24	dai siya napapatoninong sa tanog kan trompeta.
JOB.39.25	Minapugrot siya sa pagtanog kan trompeta.
JOB.39.25	Harayo pa napaparong na niya an gera,
JOB.39.25	saka nadadangog an ribok asin an mga pagboot kan mga opisyal.
JOB.39.26	“Huli daw sa saimong kadonongan kaya nakakalayog an lawin,
JOB.39.26	asin nakakaunat kan saiyang pakpak pasiring sa habagat?
JOB.39.27	Sa pagboot mo daw kaya minaitaas an agila
JOB.39.27	asin minagibo nin salagan sa halangkaw na kabukidan?
JOB.39.28	Minaerok siya sa gapo asin minagibo kan saiyang harong
JOB.39.28	sa mapapanas na alitoktok nin mga bukid.
JOB.39.29	Hale duman minamasdan niya an saiyang magigin biktima;
JOB.39.29	harayo pa nahihiling na iyan kan saiyang mga mata.
JOB.39.30	Nagsosopsop kan dugo an mga siwo niya
JOB.39.30	asin kun haen an mga gadan, yaon siya.”
JOB.40.1	Nagtaram pa an 
JOB.40.2	“Job, inagyat mo an Makakamhan na Dios;
JOB.40.2	maontok ka na o masimbag pa?”
JOB.40.3	Dangan sinimbag ni Job an 
JOB.40.4	“Nagtaram ako siring sa sarong lolong, 
JOB.40.4	Dai na ako mataram nin ano pa man.
JOB.40.5	Ikinataram ko na an labi pa sa dapat kong sabihon.”
JOB.40.6	Dangan hale sa makosog na doros nagsimbag an 
JOB.40.7	“Tumindog ka siring sa sarong lalaki;
JOB.40.7	hahapoton taka, asin simbagon mo ako.
JOB.40.8	Boot mong patunayan na bako akong matanos—
JOB.40.8	tanganing ipahiling na ako nasasala asin ika an nasa tama?
JOB.40.9	Makosog ka daw arog sa sako?
JOB.40.9	Makakadaguldol daw an saimong tingog siring kakosog kan sakong tingog?
JOB.40.10	Kun magigibo mo, tumindog ka sa saimong kaomawan asin kapalangkawan;
JOB.40.10	maggubing ka nin kamurawayan saka kagayonan.
JOB.40.11	Pabulosa an nagsusupay mong kaanggotan,
JOB.40.11	asin hilinga an gabos na nagpapalangkaw, dangan saimong ibaba.
JOB.40.12	Hilinga an lambang mapaabaw-abaw, asin ibaba mo siya;
JOB.40.12	timaktimakan mo an maraot sa saiyang natitindogan.
JOB.40.13	Ilubong mo sinda sa kinaban kan mga gadan.
JOB.40.14	Dangan ako an enot na maomaw saimo
JOB.40.14	asin maako na ika mismo an nanggana.
JOB.40.15	“Hilinga an impakto na si Behemot,
JOB.40.15	na sakong linalang siring na ika linalang ko;
JOB.40.15	arog kan baka, nagkakakan siya nin doot.
JOB.40.16	Hilinga, an saiyang kosog yaon sa saiyang habayan,
JOB.40.16	asin an saiyang kapangyarihan yaon sa kosog kan saiyang tulak,
JOB.40.17	An saiyang ikog pinapatagas niya na garo sedro;
JOB.40.17	asin an saiyang mga bitis anas makokosog.
JOB.40.18	An saiyang mga tolang garo mga tubo nin bronse,
JOB.40.18	an saiyang mga bitis siring sa mga bara nin lansang.
JOB.40.19	“Siya an pangenot sa gabos kong linalang!
JOB.40.19	An saiyang Kaglalang sana an makakadaog saiya.
JOB.40.20	An doot na kinakakan niya nagtatalubo
JOB.40.20	sa kabubuldan, saen nagkakawat an mga lalaw na hayop.
JOB.40.21	Minahigda siya sa lindong nin mga marambong na kahoy, asin minatago
JOB.40.21	sa tahaw kan mga bariw sa tampi kan sapa.
JOB.40.22	Nalilindongan siya kan mga marambong na kahoy;
JOB.40.22	napapalibotan siya kan mga kahoy sa mga sapa.
JOB.40.23	Dai siya natatakot sa salog na nagbabaha
JOB.40.23	matoninong siya kun nagbubulos an Jordan sa ibabaw kan saiyang ngoso.
JOB.40.24	Siisay an makakabuta asin makakadakop saiya,
JOB.40.24	o makakasiod kan saiyang ngoso?
JOB.41.1	“Madadakop mo daw an
JOB.41.1	Leviatan
JOB.41.1	o magagakodan nin pisi an saiyang dila?
JOB.41.2	Mabubugtakan mo daw nin salongasing an saiyang dungo
JOB.41.2	o nin dakulang banwit an saiyang salang?
JOB.41.3	Makikimaherak daw siya saimo nganing butasan mo?
JOB.41.3	Tataramon daw nin pakimaherak an madadangog mo?
JOB.41.4	Makikipagtipan daw siya saimo
JOB.41.4	na sagkod pa man paglilingkodan ka niya?
JOB.41.5	Makikikawat ka daw saiya arog kan pakikawat mo sa sarong gamgam,
JOB.41.5	o gagakodan mo siya para sa saimong mga babaeng sorogoon?
JOB.41.6	Tatawadan daw kan mga parabakal an saiyang halaga?
JOB.41.6	Pepedasohon daw ninda siya tanganing ipabakal?
JOB.41.7	Mapapano mo daw nin mga garod an saiyang kublit,
JOB.41.7	o mapapalagbasan nin mga bodyak an saiyang payo?
