MAT.1.1	Yesu Kristo gɔ nɖe Igara David ɔwa tɛtɛ, fiɛ David ɔ̃ wũ ɔɖe Abraham ɔwa ɔɣekparɛ i ngbe ne.
JHN.18.8	Ne Yesu ɔɣere ma sɔ, “Loɔɣere mi koko sɔ mme nɖe wũ ne, ne ɔso si mme mito mibie ne, miɖi mmagbe ɔri si makɛlɛ.” 
JHN.18.9	Ɔɣɛ nnɛgbe si itɔ̃me nɛ ɔ̃ɔɣere ma ɔɖegu katɔ̃ aaba i ne ame sɔ, “Tete, mma asu atã me ne, loiyura ma kuwɛ̃.”
JHN.18.10	Ne Simon Petro gɔ nto ipɛmi ɔɖi ne i ɔyuɛ ame ɔwe sɔrɛdzekpakpa pelepele ɔɖabo kuɖearɔ̃ kutsue ɔtara. Ɔɖabo gɔmɔ marɔ sɔ Malkos ne.
JHN.18.11	Ɣɛɛ Yesu ɔɣere Petro sɔ, “Kpesera fɔ ipɛmi pia i ne kawekɔ̃. Iikote sɔ loanɛ inyɛwe ikɔi nɛ i Tete ɔtã me?”
JHN.18.12	Ne kama ne, Roma makpakpɛ̃dze gu ma ɔkpakpa gu ma Yudase madzuɛ̃se ɔmɔɛ̃ Yesu, manyi wũ. 
JHN.18.13	Makɔ wũ makɛlɛgu Hana kɔrɛ. Hana gɔgbe nɖe mase ɔtã Kayafa gɔ nɖe sɔrɛdzekpakpa pelepele ku ikɔ nɛmɔ ne. 
JHN.18.14	Kayafa gɔgbe ame ɔɖe lotã ma Yudase adzuni sɔ ilɛ iɖo sɔ ɔturi ɔwɛ̃ aakpi i kaɖe ɔɖuɖu iti ne.
JHN.18.15	Simon Petro gu rasuãdze ɔwɛ̃ ɔsiai Yesu i kama. Gɔ makɛlɛ sɔrɛdzekpakpa pelepele iyo ne, rasuãdze gɔmɔ ɔ̃ ɔbo i iyo ame, alasɔ ma gu Sɔrɛdzekpakpa ɣe so kukaakɔ. 
JHN.18.16	Ɣɛɛ Petro ɣɛ i inyamɔ. Rasuãdze gɔmɔ ɔkpese ɔkɛlɛ kayogodɔ̃ ɔsɛ ɔ̃aɖegu ɔbirɔ̃gomi gɔ nto ɔdzuɛ̃ mmɔ ika fiɛ ɔtã wũ ɔri ɔkɔ Petro ɔbogu i iyo.
JHN.18.17	Ɔbirɔ̃gomi gɔ nɣɛ i kayogodɔ̃ mmɔ ɔkarɛ Petro sɔ, “Fɔ wũ iiɖe ɔrɛrɛ̃ gɔgbe rasuãdze ɔwɛ̃ aɖe, ɣɛɛ?”
JHN.18.17	Ne Petro sɔ, “Ooɣo lo, loiɖe ma ɔwɛ̃!”
JHN.18.18	Ɔyu pia, ne ɔso maɖabo gu madzuɛ̃se ɔpia ɔtɔ maɣɛ maki malɔ mato mawa. Ne ɔso Petro ɣɛ i ma kɔrɛ ɔto ɔwa ɔtɔ.
JHN.18.19	Sɔrɛdzekpakpa pelepele ɔkarɛ Yesu atɔ̃me ɔsegu i ɔ̃ marasuãdze gu ɔ̃ ara wa ɔto ɔte iso.
JHN.18.20	Ne Yesu ɔɣere wũ sɔ, “Ɔwi biara lopia loto lote maturi ara i ɔgbami, fiɛ wũ ara ite ɔɖuɖu ana ne, lote wã i kasarɛkɔ̃ gu Isɔrɛyo ame ngbegɔ i ma Yudase ɔɖuɖu ɔsakanya, ne ɔso loite kuira i iwɛrɛ ame. 
JHN.18.21	Be ɔso mme ato akarɛ atɔ̃me? Karɛ mma lonɔ wũ ara wa lote ma. Maɣe nnɛ loɣɛ.”
JHN.18.22	Gɔ Yesu ɔɣɛ ngbɔ ne, dzuɛ̃se ɔwɛ̃ gɔ nɣɛ i mmɔ ɔpɛ wũ ɔrɔ̃ta i kutsueti ɔkarɛ wũ sɔ, “Sɔrɛdzekpakpa pelepele ato aɖegu ika ngbɔ?”
JHN.18.23	Ne Yesu ɔɣere wũ sɔ, “Si loɣɛ nnɛ loilɛ ne, ɣere ɔbiara i ngbe nnɛ loɣɛ fiɛ iilɛ, ɣɛɛ si loiɣɛ kuira nyanyarĩa ne, be ɔso ato apɛ me ɔrɔ̃ta?”
JHN.18.24	Ne ɔso Hana ɔkpesegu Yesu gɔ manyi nrɔɔ̃ ɔsese Kayafa gɔ nɖe sɔrɛdzekpakpa pelepele kɔrɛ.
JHN.18.25	Gɔ Simon Petro ɣɛ ɔtogu ɔtɔ iwa ne, mma nɣɛ i mmɔ ɔkarɛ wũ sɔ, “Fɔ wũ ne, iiɖe ɔrɛrɛ̃ gɔgbe rasuãdze ɔwɛ̃ aɖe, ɣɛɛ?”
JHN.18.25	Ɣɛɛ Petro ɔsɛ̃, ɔɣɛ sɔ, “Loiɖe ma ɔwɛ̃!”
JHN.18.26	Sɔrɛdzekpakpa pelepele maɖabo ɔwɛ̃ gɔ i Petro ɔtu kutsue ɔnyii ana ɔɣɛ sɔ, “Nnisɔ lonya-ɔ fɔ wũ i kakpɛkɔ̃ ame ku ɔrɛrɛ̃ gɔgbe?”
JHN.18.27	Ngbe ana ne, Petro ɔɣɛ sɔ, “Ooɣo!” Ɔluwɛ̃ ne, kɔkɔ ɔbo.
JHN.18.28	Kaya tutuutu ne, makɔ Yesu mabɔrɛgu i Kayafa iyo makɛlɛgu abã ɔkpakpa iyo. Gɔ ma Yudase makpakpa ɔɔsekelera so sɔ maawo Kukpi Ɔtakuwara Bo Iyi aɖera ɔɖe ɔso ne, maibo i iyo ame. 
JHN.18.29	Ne ɔso Pilato ɔbɔrɛ ɔkɛlɛ ma kɔrɛ i inyamɔ ɔkarɛ ma sɔ, “Mme ikpi i ɔrɛrɛ̃ gɔgbe ɔbara?”
JHN.18.30	Matã mmuai sɔ, “Si ɔ̃ibara ikpi kuiwɛ̃ ne, boibakɔ wũ bobɔ-ɔ.”
JHN.18.31	Ne Pilato to ɔɣere ma sɔ, “Iyɔ mi mɔmɔ mikɔ wũ mikɛlɛgu miaɣɛgu wũ atɔ̃me i mi mmara kanya.”
JHN.18.31	Matã wũ mmuai sɔ, “Maitã bo ɔri sɔ boatã ɔturi kukpi ipɔ.” 
JHN.18.32	Nnɛgbe ɔba ngbɔ sɔ nnɛ i Yesu mɔmɔ ɔɣɛ ɔsu ɔte kukpi gɔ igbã ɔ̃akpi ɔba i ne ame.
JHN.18.33	Pilato ɔkpese ɔbo i atɔ̃mekaɣɛkɔ̃ ɔkarɛ Yesu sɔ, “Fɔ nɖe ma Yudase igara?”
JHN.18.34	Ne Yesu ɔkarɛ wũ sɔ, “Fɔ mɔmɔ kɔrɛ i itɔ̃me nɛgbe ɔbɔrɛ ɛɛbɛrɛ manyiiɔ loɖe-ɔ wũ iso ika?”
JHN.18.35	Pilato ɔtã wũ mmuai sɔ, “Ɔ Yudase loɖe? Fɔ mɔmɔ maturi gu masɔrɛdze makpakpa lokɔ-ɔ mabɔ me. Be iɖe abara?”
JHN.18.36	Ne Yesu ɔɣɛ sɔ, “Wũ sigarakaɖekɔ̃ iibɔrɛ i kayi gagbe iso, si ngbe sibɔrɛ ne, tee wũ makpabo aakpɛ̃ mafɔ me mabɔrɛgu i ma Yudase nrɔɔ̃ ame, ɣɛɛ ne, wũ sigarakaɖekɔ̃ iibɔrɛ i ngbe!”
JHN.18.37	Pilato ɔkarɛ wũ sɔ, “Ne iyɔ igara aɖe?”
JHN.18.37	Ne Yesu ɔtã mmuai sɔ, “Fɔ nto aɣɛ sɔ igara loɖe. Ira ka iwɛ̃ nɛgbe ɔso fiɛ maɣe me mapia i kayi gagbe ame ne, sɔ loaɣɛ ɔnukuare. Ɔbiara gɔ nɖe ɔnukuare ɔre sɛ ɔkã me atsue.”
JHN.18.38	Ne Pilato ɔkarɛ wũ sɔ, “Be nɖe ɔnukuare?”
JHN.18.38	Ne Pilato ɔbɔrɛ ɔkɛlɛ ma Yudase kɔrɛ i inyamɔ ɔɣere ma sɔ, “Loinya ikpi kuiwɛ̃ nɛ iso loaya fiɛ loatã wũ kukpi ipɔ lo. 
JHN.18.39	Ɣɛɛ i mi kubarara kanya ne, nsɛ loɖi yorɛdze ɔwɛ̃ lotã mi ku Kukpi Ɔtakuwara Bo Iyi ɔɖewi biara. Ne ɔso lonyua ma Yudase Igara lotã mi?”
JHN.18.40	Mala kulu matã mmuai sɔ, “Ooɣo, boibie wũ! Bobie Baraba!” Baraba gɔgbe ne, ɔturi gɔ lota ɔya abã iso ɔɖe.
JHN.19.1	Ne ɔso Pilato ɔtã makpakpɛ̃dze ɔkɔ Yesu maruigu masɛ maapɛ wũ nyanyarĩ ku ala iporoibi. 
JHN.19.2	Masu miyu mabara ala sigaraikoto masu matɔ̃medza wũ fiɛ ka masu ɔgo rɛtɛa ɔkati mafu wũ lɛ igara. 
JHN.19.3	Mabore mabo wũ mafa kayiɖu sɔ, “Ɣii-ɣiiɖuu! Ma Yudase Igara o-o!” Maɣɛ ngbɔ ne mapɛ wũ sirɔ̃ta.
JHN.19.4	Pilato ɔledza ibɔrɛ ikɛlɛ isɛ iaɣere ma Yudase sɔ, “Minyɔ, loto lokɔ wũ lobɔ mi si minya sɔ loinyagu wũ ku ikpi nɛ ɔso loatã wũ kukpi ipɔ.” 
JHN.19.5	Ne ɔso Yesu ɔbɔrɛ ɔba ɔtɔ̃me miyu ikoto fiɛ ka ɔpia ɔgo awu rɛtɛa tagbaraa. Ne Pilato ɔɣere ma sɔ, “Minyɔ wũ! Ɔturi i ngbe ne!”
JHN.19.6	Gɔ masɔrɛdze makpakpa gu Isɔrɛyo madzuɛ̃se ɔnya wũ ne, mala kulu sɔ, “Pɛ wũ matãra i kudziri iso! Pɛ wũ matãra i kudziri iso!”
JHN.19.6	Ne Pilato ɔɣere ma sɔ, “Mikɔ wũ mikɛlɛgu miapɛ wũ mimatãra i kudziri iso, ɣɛɛ mme ne, loinya ikpi kuiwɛ̃ nɛ ɔso loatã wũ kukpi ipɔ.”
JHN.19.7	Ne maturi to mala kulu maɣɛ sɔ, “Boba mmara mɛ loɣɛ sɔ ikote sɔ ɔ̃akpi, alasɔ ɔto ɔkpere so sɔ Ɣaa Ɔbi ɔɖe.”
JHN.19.8	Gɔ Pilato ɔnɔ nnɛgbe ne, ifɔ̃ ɔmɔɛ̃ wũ ibua. 
JHN.19.9	Ne ɔkpese ɔkɛlɛ iyo ame fiɛ ɔkarɛ Yesu sɔ, “I lɛ abɔrɛ?” Ɣɛɛ Yesu iitã wũ mmuai. 
JHN.19.10	Pilato ɔkarɛ wũ sɔ, “Be, aito apia me kanya? Tsue sɔ loba ɔle gɔ loawo-ɔ ɔnyua ɣee lotã mapɛ-ɔ mamatãra i kudziri iso!”
JHN.19.11	Mmɔ i Yesu ɔtã wũ mmuai sɔ, “Ɔle gɔ kɔra aba i wũ iso ne, Ɣaa pɛ lotã-ɔ ɔso. Ne ɔso ngɔ loɖi me ɔtã-ɔ ɔbara ikpi siare ɔɖo-ɔ.”
JHN.19.12	Nnɛgbe ɔso ne, Pilato ɔbie sɔ si ɔnyua wũ, ɣɛɛ ma Yudase ɔla kulu teteree sɔ, “Si anyua ɔrɛrɛ̃ gɔgbe ne, iyɔ aiɖe Roma Igarakpakpa ɔlaa. Ɔbiara gɔ losɛra so sigara ne, ɔta ɔya i Igarakpakpa iso!”
JHN.19.13	Gɔ Pilato ɔnɔ atɔ̃me wagbe ne, ɔkɔ Yesu ɔkɛlɛgu inyamɔ. Ɔsɛ ɔ̃asɛ i iyara nɛ iso masɛ masɛ maɣɛ atɔ̃me fiɛ masɛ marɔ ne sɔ Itabɛbɛa iso. I ma Yudase siɖe ame ne, masɛ marɔ mmɔ sɔ Gabata. 
JHN.19.14	Iyi nɛmɔ nɖe Iledzaso itã Kukpi Ɔtakuwara Bo Iyi iɖe ne.
JHN.19.14	Ne Pilato ɔɣere ma sɔ, “Nya mi Igara ngbe!”
JHN.19.15	Ne mala kulu teteree sɔ, “Kɔ wũ ruigu! Kɔ wũ ruigu! Pɛ wũ matãra i kudziri iso!”
JHN.19.15	Ne Pilato ɔkarɛ ma sɔ, “Lopɛ mi Igara lomatãra i kudziri iso?”
JHN.19.15	Ne masɔrɛdze makpakpa ɔtã mmuai sɔ, “Bona igara kuwɛ̃ iɖo Roma Igarakpakpa Kaisaro!”
JHN.19.16	Gɔ maɣɛ ngbɔ ne, Pilato ɔtara Yesu ɔpia ma i nrɔɔ̃ ame sɔ masɛ maapɛ wũ mamatãra i kudziri iso.
JHN.19.16	Ne ɔso makpakpɛ̃dze ɔkɔ Yesu maruigu. 
JHN.19.17	Gɔ matã wũ ɔsore ɔdziri ne, makɔ wũ makɛlɛgu ngbegɔ marɔ Itikui Kabemi. Fiɛ si Hebrise ame ne, masɛ marɔ mmɔ sɔ Golgata. 
JHN.19.18	Mapɛ wũ mamatãra i kudziri iso i ngbe. Mapɛ maturi inyɔ mawɛ̃ ana mamatãra i ma adziri iso mabua wũ iso. Ɔwɛ̃ i kuɖearɔ̃ iso, ɔwɛ̃ ana i kubena iso fiɛ Yesu ka ɔpia ma i ndɛ̃.
JHN.19.19	Pilato ɔtã matsɛrɛ mamatãra i Yesu sitikpe sɔ, “Yesu Nasaretse, Ma Yudase Igara.” 
JHN.19.20	Ma Yudase gbodzoo ɔka ira nɛ matsɛrɛ masia i kudziri iso alasɔ ngbegɔ mapɛ Yesu mamatãra i kudziri iso ɔbore imatã Yerusalem. Ana ne, matsɛrɛ i si Hebrise gu si Romase gu si Helase ame. 
JHN.19.21	Masɔrɛdzekpakpa iitɔrã, maɣere Pilato sɔ, “Daatsɛrɛ sɔ ‘Ma Yudase Igara,’ ɣɛɛ tsɛrɛ sɔ, ‘Ngɔgbe nto ɔɣɛ sɔ ɔ̃ nɖe ma Yudase Igara ne.’ ”
JHN.19.22	Ɣɛɛ Pilato ɔsɛ̃, ɔɣere ma sɔ, “Nnɛ loɔtsɛrɛ ne, loɔtsɛrɛ koko.”
JHN.19.23	Gɔ makpakpɛ̃dze ɔpɛ Yesu mamatãra i kudziri iso maro ne, maɣɛ ɔ̃ arapia aka ana, kpakpɛ̃dze biara ɔfɔ ika iwɛ̃. Awu awɛ̃ ɔkuti wa iiɖe ɔkã makã ɣɛɛ ɔwe mawe wã ita i kato isɛ iabɔrɛ i kala.
JHN.19.24	Makpakpɛ̃dze ɔɣere so sɔ, “Midaatã bokɛ wã, ɣɛɛ mitã bobara kareremi si bonyɔ sɔ nna aaɣo.”
JHN.19.24	Iba ngbɔ sɔ nnɛ matsɛrɛ mapia i Ɔko Sekelea ame aaba i ne ame sɔ,
JHN.19.24	“Masu wũ arapia maɣɛ so.
JHN.19.24	Fiɛ mabara kareremi i wũ awu iso.”
JHN.19.24	Ne ɔso ngbɔ tutuutu i makpakpɛ̃dze ɔbara ne.
JHN.19.25	Kudziri gɔ iso mapɛ Yesu mamatãra kɔrɛ ne, marɔ̃go mawɛ̃ ɣɛ. Ma nɖe Yesu ɔnyi gu ɔ̃ ɔnyiibi gu Klopa ɔre Maria gu Maria Magdalase. 
JHN.19.26	Gɔ Yesu ɔnya ɔ̃ ɔnyi gu ɔ̃ rasuãdze gɔ ɔ̃isɛ ɔpia kuɣɛ ɣɛ mabore mamatã wũ ne, ɔɣere ɔ̃ ɔnyi sɔ, “Mmã, nya fɔ ɔbi!”
JHN.19.27	Ne ɔɣere rasuãdze gɔmɔ ana sɔ, “Fɔ wũ, nya fɔ ɔnyi.” Ne ɔso ita i iyi nɛmɔ ne, rasuãdze gɔgbe ɔkɔ Yesu ɔnyi ɔkɛlɛgu ɔ̃ iyo ɔnyɔ wũ iso.
JHN.19.28	Yesu ɣe sɔ ira biara ɔɔba kawirikɔ̃, ɣɛɛ si nnɛ matsɛrɛ masɛ aaba i ne ame ne, ɔɣɛ sɔ, “Ɔme to ɔkore me.”
JHN.19.29	Ituɖura iwɛ̃ se i mmɔ iyi ku ndã bea. Ne ɔso masu ɖɔti pukupukua mapia i me ame maɖu i ɔdziri iso masɔ̃ Yesu i kanya. 
JHN.19.30	Gɔ ɔfɔ ndã bea mɛmɔ ɔro ne, ɔɣɛ sɔ, “Iɔro kini!”
JHN.19.30	Gɔ ɔɣɛ ngbɔ ne, ɔbɔ iti karɔ̃ kere ne ɔsora ne.
JHN.19.31	Iledzaso itã Iwarãyi iyi iso iɖe i ara wagbe ɔba, fiɛ kaɖesɛ̃a ɖe Iwarãyi sekelea itã ma Yudase, ne ɔso maibie sɔ makpise si mamatã i adziri iso ku Iwarãyi. Ne ɔso masɛ maaɣere Pilato sɔ ɔtã ɔri si masɛ maafɛfɛ̃ ma ngba si mabɛse ma i adziri iso. 
JHN.19.32	Ne ɔso makpakpɛ̃dze ɔba maturi inyɔ ma mapɛ mamatãra i adziri iso ku Yesu kɔrɛ. Mafɛ̃ ɔɖeakatɔ̃ gu ɔnyɔare ngba. 
JHN.19.33	Ɣɛɛ gɔ mabo Yesu iso ne, manya sɔ ɔ̃ɔkpi koko ne ɔso maisifɛ̃ ɔ̃ ngba. 
JHN.19.34	Ɣɛɛ kpakpɛ̃dze ɔwɛ̃ ɔsu ɔ̃ ifele ɔtsue Yesu iwãgɛsɛ fiɛ ndu gu ima ɔbɔrɛ.
JHN.19.35	Ngɔ lonya sɔ ara wagbe ɔba ɔɖe loɖe wã aɖansiɛ sɔ si fɔ wũ aafɔ aɖe. Ara wa ɔɣɛ ne, gbaã iɖe fiɛ ɔɣe sɔ ɔnukuare iɖe ɔɣɛ. 
JHN.19.36	Iba ngbɔ sɔ nnɛ matsɛrɛ masɛ i Ɔko Sekelea ame aaba i ne ame sɔ, “Maibafɛ̃ ɔ̃ ikui kuiwɛ̃.” 
JHN.19.37	Matsɛrɛ masɛ i kakɔi mama ana sɔ, “Mato maanyɔ ngɔ matsue ira.”
JHN.19.38	Nnɛgbe kama ne, Yosef gɔ lose i Arimatea ɔba ɔ̃akarɛ Pilato sɔ ɔsu Yesu kpise ɔtã wũ. Ɔɖe Yesu rasuãdze ɣɛɛ i iwɛrɛ ame alasɔ ɔto ɔnigã ma Yudase makpakpa ɔso ne. Pilato ɔɖi wũ ɔri, ne ɔso ɔsu kpise ɔruigu. 
JHN.19.39	Nikodemo gɔ loba Yesu kɔrɛ ku kasɛ̃ ɔnya ana ɔba. Ɔsu awa wa masu korobo gu awa kɔrɔ̃kɔrɔ̃a mabara ala fiɛ masɛ masu maledza ala makpise fiɛ wã ɔrɔrã aaɖe lɛ ito iwɛ̃ ɔbɔ. 
JHN.19.40	Marɛrɛ̃ inyɔ magbe ɔsu awa mapia i ɔkati ame mamini kpise, kumɛgɔ i ma Yudase sɛ mabara fiɛ masɛ mabiara ɔturi. 
JHN.19.41	I ngbegɔ mapɛ Yesu mamatãra i kudziri iso ne, kakpɛkɔ̃ kawɛ̃ pia i mmɔ. Ikpibiɔ ɣɛtɛ nɛ ame maibiara ɔturi manya ana se i kã ame. 
JHN.19.42	Gɔ kaɖesɛ̃a to iaɖe Iwarãyi fiɛ ikpibiɔ nɛmɔ ɔɔbore imatã mmɔ ɔso ne, masu Yesu mabiara i mmɔ.
JHN.20.1	Kɔsiɖa kaya tutuutu gɔ kayi iikpa karo ne, Maria Magdalase ɔkɛlɛ ikpibiɔ kɔrɛ fiɛ ɔnya sɔ maɔli ita nɛ mali matɛ̃ ikpibiɔ kanya maɖi. 
JHN.20.2	Ɔtere ɔkɛlɛ Simon Petro gu rasuãdze gɔ i Yesu iisɛ ɔpia kuɣɛ kɔrɛ ɔsɛ ɔ̃aɣere ma sɔ, “Maɔmɔɛ̃ Bosate maɖi i ikpibiɔ ame fiɛ boiɣe ngbegɔ masu wũ masɛ!”
JHN.20.3	Petro gu rasuãdze gɔmɔ ɔta sɔ makɛlɛ ikpibiɔ kɔrɛ. 
JHN.20.4	Ma inyɔɔ ɔtere ise, ɣɛɛ rasuãdze gɔmɔ ɔtere ɔɖe Petro katɔ̃ ɔbo ikpibiɔ kɔrɛ. 
JHN.20.5	Ɔbɔ iti karɔ̃ ɔnya sikati fudza dzɛmɔ, ɣɛɛ ɔ̃ibo i ikpibiɔ ame. 
JHN.20.6	Gɔ Simon Petro ɔtere ɔba ɔ̃abo ne, ɔfe ɔbo i iwo ame, ɔnya sikati fudza dzɛmɔ gɔ sise. 
JHN.20.7	Ɔnya ɔkati gɔ masu manyi Yesu iti ana. Ɔ̃isakanyagu ɔkati gɔ masu mamini Yesu kɔrɛ, ɣɛɛ makarĩ masɛ i kuruɛ. 
JHN.20.8	Mmɔ i rasuãdze nyɔare gɔ loɖe katɔ̃ ɔ̃ wũ ɔbo i ikpibiɔ ame. Ɔnya ara wagbe fiɛ ka ɔfɔ ɔɖe. 
JHN.20.9	Ɣɛɛ ta kiniɔ ne, mainɔ karɔ̃ nnɛ i Ɔko Sekelea ɔɣɛ sɔ Yesu aata ɔbɔrɛ i makpise ame.
JHN.20.10	Ne marasuãdze ɔkpese makɛlɛ iyo ne. 
JHN.20.11	Ɣɛɛ Maria Magdalase ɔba ɔɣɛ i ikpibiɔ kɔrɛ ɔto ɔbiɛ. Gɔ ɔtogu kaku ibiɛ ne, ɔbɔ iti karɔ̃ ɔnyɔ ikpibiɔ ame ne, 
JHN.20.12	ɔnya Ɣaa makpabo inyɔ ma mpia ara fudza gɔ masi i ngbegɔ marara Yesu. Ɔwɛ̃ si i sitikpe fiɛ ɔwɛ̃ ana si i ngbalɔ.
JHN.20.13	Ne makarɛ wũ sɔ, “Ɔrɔ̃go, be ɔso ato abiɛ?”
JHN.20.13	Ne ɔɣere ma sɔ, “Manyiiɔ ɔsu wũ ɔkɔse maruigu fiɛ loiɣe ngbegɔ masu wũ masɛ.” 
JHN.20.14	Gɔ ɔpɛ ɔfiniki ne, ɔnya Yesu ɣɛ wũ i kɔrɛ, ɣɛɛ ɔ̃iɣe sɔ Yesu ɔɖe.
JHN.20.15	Ne Yesu ɔkarɛ wũ sɔ, “Ɔrɔ̃go, be ɔso ato abiɛ? Nna ato abie?”
JHN.20.15	Ɣɛɛ Maria ɔbu sɔ ngɔ nto ɔnyɔ mmɔ iso ɔɖe, ne ɔso ɔɣere wũ sɔ, “Bokɔse, loto-ɔ i kukpa, si fɔ losu wũ asɛ i kakɔi karere ne, te me ngbegɔ asɛ wũ si losɛ loasu wũ.”
JHN.20.16	Mmɔ i Yesu ɔkpere wũ sɔ, “Maria!”
JHN.20.16	Gɔ Maria ɔfiniki ɔnyɔ wũ ne, ɔla kulu i si Hebrise ame sɔ, “Rabuni!” gɔ ne karɔ̃ nɖe sɔ Ratedze.
JHN.20.17	Ne Yesu ɔɣere wũ sɔ, “Daasimɔɛ̃ me, alasɔ loikɛlɛ Tete kɔrɛ i kato. Ɣɛɛ ne, kɛlɛ wũ manyiibi kɔrɛ si asɛ aaɣere ma sɔ, loto lokpese lokɛlɛ wũ Ɣaa gɔ nɖe ma Ɣaa gu wũ Ɔse gɔ nɖe ma Ɔse kɔrɛ.”
JHN.20.18	Ne ɔso Maria Magdalase ɔsɛ ɔ̃aɣere marasuãdze sɔ ɔnya Bosate fiɛ ka ɔɣere ma ara wa i Yesu ɔɣere wũ.
JHN.20.19	Kɔsiɖa gɔmɔ kutsuɛ ne, marasuãdze ɔsakanya. Masɛ̃ iyo mapia so ala mato manigã ma Yudase makpakpa. Ɔluwɛ̃ ne, Yesu ɔba ɔ̃aya i ma ndɛ̃ ɔɣere ma sɔ, “Isobuɛ itã mi.” 
JHN.20.20	Gɔ ɔɣere ma ngbɔ ɔro ne, ɔsu ɔ̃ nrɔɔ̃ gu iwãgɛsɛ ɔte ma. So ɔɣɔ marasuãdze gbaã alasɔ manya Bosate.
JHN.20.21	Ne Yesu ɔledza ma iɣere sɔ, “Isobuɛ itã mi, kumɛgɔ ame i Tete ɔpia me katɔ̃me ne, ngbɔ ame loto lopia mi ne.” 
JHN.20.22	Ne ɔwarã ɔfere ma iso ɔɣere ma sɔ, “Mifɔ Siwarã Bielea. 
JHN.20.23	Si misu maturi akpi mitsɛ ma ne, Ɣaa to ɔ̃asu ɔtsɛ ma, ɣɛɛ si miisu mitsɛ ma ne, Ɣaa iibasu ɔtsɛ ma.”
JHN.20.24	Ɔwi gɔ i Yesu ɔba ma kɔrɛ ne, marasuãdze iweo-inyɔ ndɛ̃ ɔwɛ̃ gɔ nɖe Toma fiɛ masɛ marɔ sɔ Inyɔɔbi na i ma ndɛ̃. 
JHN.20.25	Ne ɔso marasuãdze tsɔra ɔɣere wũ sɔ, “Bonya Bosate!”
JHN.20.25	Ne Toma ɔɣere ma sɔ, “Gbɔgbɔɔgbɔ lonya aɣɛipã wa i ɔ̃ nrɔɔ̃, losu wũ kɔrɔ̃ lopia i apã wamɔ ame gu ɔ̃ iwãgɛsɛ ame ne, loibafɔ loɖe lonya.”
JHN.20.26	Ɖapɛ ɔwɛ̃ kama ne, marasuãdze pia i iyo fiɛ Toma ana ɔwe i ma ndɛ̃. Masɛ̃ akui mapia so ɣɛɛ Yesu ɔba ɔ̃aya i ma ndɛ̃. Ne ɔɣere ma sɔ, “Isobuɛ itã mi.” 
JHN.20.27	Ne ɔɣere Toma sɔ, “Ba su fɔ irɔĩ pia i ngbe. Nyɔ wũ nrɔɔ̃ si asu fɔ kɔrɔ̃ apia i wũ iwãgɛsɛ ame. Nyua ɔwararã si afɔ aɖe!”
JHN.20.28	Ne Toma ɔɖi kanya sɔ, “Wũ Sate gu wũ Ɣaa!”
JHN.20.29	Ne Yesu ɔkarɛ wũ sɔ, “Ɔɔfɔ aɖe alasɔ ɔɔnya me? So aaɣɔ mma loisɛ manya fiɛ masɛ mafɔ me maɖe!”
JHN.20.30	Yesu ɔbara awawãra gbodzoo i ɔ̃ marasuãdze kɔrɛ wa maitsɛrɛ mapia i ɔko gɔgbe ame. 
JHN.20.31	Ɣɛɛ matsɛrɛ nwagbe masɛ sɔ si aafɔ aɖe sɔ Yesu nɖe Kristo gu Ɣaa Ɔbi, fiɛ iki i ɔ̃ ifɔ iɖe ame ne, aana ngbã.
JHN.21.1	Nwagbe kama ne, Yesu ɔledza so iɖi ite ɔ̃ marasuãdze i Tiberia Ɔpo kanya. Kumɛgɔ ɔɖi so ɔte ma i ngbe ne. 
JHN.21.2	Iyi iwɛ̃ ne, Yesu marasuãdze mawɛ̃ ɔsikanya. Ma nɖe Simon Petro gu Toma gɔ masɛ marɔ sɔ Inyɔɔbi gu Nataniel gɔ lobɔrɛ i Kana i Galilea karɔ̃ iso gu Zebedeo mabi gu marasuãdze inyɔ mama. 
JHN.21.3	Ne Simon Petro ɔɣere ma sɔ, “Losɛ akpɛ kaɖikɔ̃.”
JHN.21.3	Ne matsɔra ana ɔɣɛ sɔ, “Bo wũ boaba bokɛlɛ.” Ne ɔso ma ɔɖuɖu ɔbo i ɔkolo ame makɛlɛ, ɣɛɛ kasɛ̃ ɔɖuɖu ne, maiɖi ikpɛ kuiwɛ̃.
JHN.21.4	Kaya gɔ kuɣɛ̃ ɔsɔ̃ kuto kuba ne, Yesu ɔba ɔ̃ɔya i ɔpo kanya, ɣɛɛ marasuãdze iiɣe sɔ ɔ̃ ɔɖe. 
JHN.21.5	Ne ɔkpere ma ɔkarɛ sɔ, “Maporoporoi, miɔɖi akpɛ awɛ̃?”
JHN.21.5	Matã wũ mmuai sɔ, “Ooɣo!”
JHN.21.6	Ne ɔɣere ma sɔ, “Mipia mi asabu i mi ɔkolo kuɖearɔ̃ iso ne mito miaɖi akpɛ.” Gɔ mapia asabu ne, maiwo ɔkpadzɛ̃ ala akpɛ gbodzoo wa mamɔɛ̃ ɔso.
