MAT.1.1	Arepa Abraham Chha, ngale Devit Chha, Jisu Krista te awa heh nginkong.
JHN.12.1	Adankhoam lokuh rãng jâerok mako, Bathani hahwah atema riichoanwah ngakhinsiettah mihwa Lazaras humko Jisu hokwah. 
JHN.12.2	Thinma ere humko Jisu rãng rangjâ phhekchhah khoakhêm kohwah, phhekchhah kohtepa Martha dângwah; ngale Lazaras min Jisu demko johphhekchhah lahma dângwah. 
JHN.12.3	Phumma Mariam ma nard bãngrin wah hôanwah tien thãchaanjat kephû lahma Jisu dako lokkohwah, ngale ate khochoo ma choakhutkoh rewah. Ngale tien pumma hum tangma tûmsietwah. 
JHN.12.4	Jisu dijunte wathe, ate mînpa Juda Iskarot ate chênsângte pumma ngatwah, 
JHN.12.5	“Are tienpa chârem ngun nâng sângminwah ngale ere ngunpa tangchhih hehnâng kohminwah” 
JHN.12.6	Atema arepa tangchhih hehnâng mînchen lahma ngatwah dangmah, atea ahuh dângkowah ngatwah. Atea ngun thiente dâng phumma ere ngun kowah atedede rãng chîkepwah.
JHN.12.7	Phumma Jisu ma ngatwah, “Nekchhihsû en, ate hunsiko thien en! Atema nga ritjâ rangwo rãngma chenni moeka erepa chenmoa. 
JHN.12.8	Nema ne demko tangchhih heh roantangma echoh en, rohkomin nema nga roantang chohmahha.”
JHN.12.9	Jahmõang mihnyan hehma Jisu Bathani hahnâng tonga ngama chohtatwah, ephumma thin Bathani hahnâng katwah, Jisu tânâng lolo ledang atema aritwah ngakhinsiettah Lazaras sokrãng memin katwah. 
JHN.12.10	Ephumma soam aroakte adong hehma Lazaras min ritphe rãng themawa wah, 
JHN.12.11	chenrãngma ngako ate junma ajahthem Jews hehma thinnâng leputetu thangma Jisu nâng putedâlem wah.
JHN.12.12	Eredijâko jahmõang mihnyan Adankhoam lokuh rãng hokte hehma Jisu Jeroselem nâng hûera ngama chohtatwah 
JHN.12.13	Ephumma thinma Pam bãngphak heh semlahma Jisu chohmînrãng katwah, thinma, “Joban nâng rôe! Teso mînko hokte nâng Joban ma rangkoh eka! Joban ma Isrial Lowang nâng rangkoh eka!” ngama rakwah.
JHN.12.14	Joban nyapraangma ngaeka rãngrãng, Jisu ma Gado chha choh lahma ere khohko chhangwah,
JHN.12.15	“Zion chha heh, nekchei en!
JHN.12.15	Ne Lowang pa lâhûtha,
JHN.12.15	Gado chha khohko chhang lahma hûera.”
JHN.12.16	Ere sanpoatko ate dijunte hehma arepa jetloho; phumma Jisu ritwah Joban chaan chohlahma ngakhîn diko Joban nyapraangma arepa ate junma ngatwah ngale thinmemin arepa aterãng moatwah ngama thônghun wah.
JHN.12.17	Jisu ma Lazaras mangruk wah rookat lahma ritwah ngakhinsiettah poatko ate demnâng dangtah mihnyan hehma Jisu ma chenni retah a ereheh thôkoh wah. 
JHN.12.18	Ere junko mihnyan heh ate demnâng chohmînwah - chenrãngma ngako Jisu ma are patritli moatlem moeka pa thinma chohtatwah. 
JHN.12.19	Ephumma Farasi heh jabmînwah, “Thatsûtan en, nãngma tajek tãngmih! rangkhenpa phangtang ate diko jun eka!”
JHN.12.20	Lokuh poatko Jeroselem nâng rangsoam rãng katte heh demnâng Griik jatmin khuthe dângwah. 
JHN.12.21	Thinma Filip tânâng wãng lahma (atea Galilijaa wah Batsida hah wah dângwah) ngatwah, “Hethôte, nimemin Jisu demnâng chohmînhun eki.”
JHN.12.22	Filip wãng lahma Andru nâng thôkoh wah, ngale ere waniipa wãng lahma Jisu nâng thôkoh wah. 
JHN.12.23	Jisu ma thinnâng dânthâng wah, “Mihnyan Chhama Joban wah nyahrãng chaandong choh sanpoat pa thângheh lâhûtha. 
JHN.12.24	Ngama toangtang thôkoh eka: chhahpha pa hahko wênkat lahma leriikako phathelolo jôba dângmin. Erepa meriiako jôba, erekowah chhahpha ahan ajah ehonga. 
JHN.12.25	Henhenma thindede roandôngko huneka erehehma mahphe erea; henhenma are hahtokkhoh ko thin roandôngko lehun dangeka erehehma thin roandông pemin lemahphe thangma roantang roanjêng roandông echoh a. 
JHN.12.26	Henhenma ngadijun hun ehanga erehehma chenjunhang, erohkoba nga chenko dang ekanga eretheko ngahaa pemin edanga. Ngale henma nga khoakhem ehanga erepa nga Wa memin atenâng echhoanpôan a.
JHN.12.27	“Athângheh ngahungpa nyahrãng chêm ekang - ngale ngama chenni jab anga? ‘Wa, are sanpoat pa nga khohnâng nekhu thukro’ ngama jabanga? Rohkomin ererãngma nga katwah - erohwah Ngama are chêm sanpoat pa chohmin jôba. 
JHN.12.28	Wa, nangmînpa dongthuk e!”
JHN.12.28	Erediko rangkho wah jabkhab jabkatwah, “Ngama Wa mînpa lâdong thuktek, ngale ademin edongthuk ang.”
JHN.12.29	Erekowah chepte mihnyan hehma ere jabkhab pa tatwah, phumma khaka hehma rangmok eka ngama ngatwah, erediko khaka hehma, “Atenâng rangkhethung wah Joban ngintatte hehma jabkat eka!” ngatwah.
JHN.12.30	Rohkomin Jisu ma thinnâng ngatwah, “Are jabkhab hongjab ekapa ngarãngma dangmah, nekhurãng sênrãngma hongjab eka. 
JHN.12.31	Athângheh are hahtokkhoh pa achhih asen rên sanpoat pa; ngale are hahtokkhoh pênte juchhihpa rephe sanpoat. 
JHN.12.32	Chenthu nga are hahtokkhoh kowah metoansietwên thangko, Ngama chentôpa ngatânâng sietwêmin.” 
JHN.12.33	(Jisu ma arepa ate chenroh ritmin a erengin pa thôkoh wah.)
JHN.12.34	Mihnyan hehma dânthâng wah, “Ni Niemma Misaia pa roantang roangjêng rãng hînmin ngama thôkoh ehi. Nangma Mihnyan Chhapa tôansietwên min ngama chenroh jiennga eko? Mihnyan Chhapa hen a?”
JHN.12.35	Jisu ma dânthâng wah, “Wenphiak pa nekhu demko chutherãng tôngmin. Erohwah nema wenphiak pa chohpoatko khoam en, erohkoba nenâng rangnyek ma lelep edanghèn; chenrãngma ngako rangnyek nâng henkhoam eka erepumma ate chennâng chhoan eka erepa jetmah. 
JHN.12.36	Nema wenphiak pa chohpoatko wenphiakko dâlem en, erohkoba nea wenphiak chha edangen.”
JHN.12.36	Jisu ma areheh ngatdiko, thintâwah chhoan lahma bîntông chhoanwah. 
JHN.12.37	Jisu ma thintâko are chentô patritli hehjô memo akomin, thinma atenâng putedâlem ho, 
JHN.12.38	Erohwah mõng Isaia ma chenni jabtah a ereheh toangtang dângwah:
JHN.12.38	“Teso, nima thôkoh eki nginko henma putedâlem eka?
JHN.12.38	Teso ma hennâng ate chaanpa khesoktah a?”
JHN.12.39	Ngale thinma putedâlem ho, chenrãngma ngako Isaia ma ngatwah,
JHN.12.40	“Joban ma thinmit pa doaksiet eka ngale thinhung pa basiet eka,
JHN.12.40	erohwah thinmitma khe mah,
JHN.12.40	ngale thinhung memin tajet mah,
JHN.12.40	ngale Joban ma ngaeka, ngama thin sênsiet rãngma,
JHN.12.40	thin ngatânâng hûmahra.”
JHN.12.41	Chenrãngma ngako Isaia ma are jabkhab jab ekapa atema Jisu mîndôngpa khelahma Jisu junma jabwah.
JHN.12.42	Eroh akomin ajahthem Jews thôte jabte hehmemin Jisu nâng putedâlem wah; rohkomin Farasi hehma Sanagog wah nekchen junlo ehi ngama thinma mihheh tânâng chinloat jabho. 
JHN.12.43	Thinma Joban wah rô chohhun noma mihnyan hehwah rô chohba hunwah.
JHN.12.44	Jisu ma chaanmõang rakjabwah, “Henhenma nganâng putedâlem ehanga erepa nganâng lolo putedâlem dangmah, ngachienkatte komin putedâlem eka. 
JHN.12.45	Henhenma nga khe ehanga erepumma ngachienkatte pemin khe eka. 
JHN.12.46	Nga a hahtokkhoh ko wenphiak rãngrãng kaerâng, erohwah henhenma nganâng putedâlem ehanga ereheh rangnyek khennâng letongtûmin. 
JHN.12.47	Mihnyan hehma nga nginpa tatlahma lekep medang akomin, ngama thinnâng achhih lengamin. Nga a hahtokkhoh wah mihnyan hehnâng achhih asen rênrãngkat dangmahrâng, mihnyan heh pepâng rãngba kaerâng. 
JHN.12.48	Henhenma nganâng lepute dâlemte ngale nga nginlekep dangeka ereheh nâng achhih ngate tonga. Ngama jabekang jabkhab pumma athôan jâko thinnâng achhih engawak a! 
JHN.12.49	Arepa toangtang, chenrãngma ngako, ngama ngadede chaanjunko jab dangmek, rohkomin ngachienkatte Wama ngama chenni jabmin a ereheh thôkoh ehang. 
JHN.12.50	Ngale ngama ajet ate ngin junko roantang roanjêng roandông choheki. Erohwah, Wama chenni thôkoh ehanga, ereheh ngama jabekang.”
JHN.13.1	Arepa Adankhoam lokuh majâko dângwah. Jisu ma hahtokkhoh pa phethien lahma Wa tânâng wâng sanpoat pa lâhûtha ngama jetritwah. Atema hahtokkhoh wah ate mihnyan hehnâng roantang hun achetjû dângwah, ngale atema thinnâng athôan sanpoatko kiat hunwah.
JHN.13.2	Jisu le ate dijunte heh rangjâ phhekchhah chhah lahma dângwah. Simon Iskarot chha Juda hungnâng Jisu chênsâng rãng thônghun thukte juchhihpa luplahma dângwah. 
JHN.13.3	Wama nganâng chaan kohlahma chentôpa ngakhennâng lâdang thuktah ngama Jisu ma jetwah; ngale atea Joban tâwah katwah ngale Joban tânâng ngakwângmin ngamemin jetwah. 
JHN.13.4	Ephumma phhekchhah chhahthin kowah toanchep lahma, akhohwah poh eka khetpa koakphe lahma, ate roamko khet tôankhhekwah. 
JHN.13.5	Erediko wankhoang nang jokien lahma ate dijunte heh dasôan kohwah ngale ate roamwah khak eka khet pumma choakhut kohwah. 
JHN.13.6	Ate Simon Piter tâko hokko, Simon Piter ma ngatwah, “Teso, nangma ngada soankohrãng ngaekoa?”
JHN.13.7	Jisu ma atenâng dânthâng wah, “Ngama athângheh chenni moekanga erepa nangma jetmoh, rohkomin nangma khediko erepa ejet o.”
JHN.13.8	Piter ma ngatwah, “Nangma chenthumin ngada lesoan kohmin!”
JHN.13.8	Jisu ma dânthâng wah, “Ngama nangda lesoankoh medang eko,” “Nanga ngadijunte leta dângmin.”
JHN.13.9	Simon Piter ma dânthâng wah, “Teso, eroh medang ako ngada lolo neksoan kohhang! Ngadekmin soankohhang, ngale nga khomin setkohhang!”
JHN.13.10	Jisu ma ngatwah “Henhen josoanchoan a ereheh senthemthem lâsâtah, athê depsôanthin dangtumah, thinma dalolo ba soantumin. Nekhu phangtang lâsâtet wathe loloba ngek etonga.” 
JHN.13.11	(Jisu ma erepa ate chênsângte pa jetlahma dângwah; erohwah atema ngatwah, “Nekhu phangtang lâsâtet, wathe loloba ngek etongen.”)
JHN.13.12	Jisu ma thinda soankoh diko, atema koakphetah khetpa ngaktoanpoh lahma phhekchhah chhahthin ko ngaktông katwah. Ngale atema chhienwah, “Ngama athângheh nenâng chenni mokotah a ereheh jet ekenle?” 
JHN.13.13	“Nema nganâng Hethôte ngale Teso ngama rooeha, erepa nema lâpun rootha, chenrãngma ngako nga dangang jôba. 
JHN.13.14	Nga ne Teso ngale ne Hethôte danglekma athângheh neda soankoh eka. Erohwah nemin wathema watheda soanmînkoh en. 
JHN.13.15	Nema chenjet en ngama ba soankoh eka, erohwah ngama athângheh nerãng chenroh moekanga ererãngrãng nememin erohmo en. 
JHN.13.16	Ngama toangtang thôkoh eka: haaheh henjô ate tângtewa noma adong dangmah, ngale ngintat chhoante heh henmin ngintat chiente noma adong dangmah. 
JHN.13.17	Athângheh nema are toangtang pa lâjettet, phumma nema ererãngrãng memo enko chentôsên dângmin a!
JHN.13.18	“Ngama nekhu anga nga nginthô dangmek; Ngama henhen ren ekanga ereheh jet ang. Rohkomin Joban nyapraangma are ngaeka pa toangtang dângmin, ‘Ngadem kowah ngama chhah ekang phhekchhah kowah johchhahte pa nga lelatnâng dangeka.’ 
JHN.13.19	Ngama nenâng arepa dângwâng mako thôkoh eka, phumma chenthu arepa medangwãng thako, nema ‘NGA, HEN NGA A,’ erepa ejet ha. 
JHN.13.20	Ngama toangtang thôkoh eka: Henma komin ngama chienchhoan ekang mihnyan pa metãngroo ako erepa nga tãngroo ehang; ngale henhenma nga tãngroo ehanga erepa ngachien katte pemin tãngroo eka.”
JHN.13.21	Jisu ma areheh ngatdiko, ate hungnâng nyahrãng chêmchoh lahma loatthôkoh wah, “Ngama toangtang thôkoh eka: Nekhuwah wathema nga echên esengha.”
JHN.13.22	Dijunte heh nyahrãng mokrii lahma arepa hendângmin a ngama wathema wathe nâng sokmînwah. 
JHN.13.23	Dijunte wathe nâng Jisu ma nyahrãng hunlahma dângwah, erepa Jisu tâko tôngwah. 
JHN.13.24	Simon Piter ma atenâng thak amak kohlahma ngatwah, “Atema hennâng ngaeka erepa chhientan.”
JHN.13.25	Ephumma ere dijunte pa Jisu tâko hehtong wãng lahma chhienwah, “Teso, erepa hen a?”
JHN.13.26	Jisu ma dânthâng wah, “Ngama penritiko bankên rumkat lekma hennângkoh ekanga; ere mihnyan pa dângmin.” Ephumma atema bankên toanlahma rumkat lahma Simon Iskarot chha Juda nâng kohwah. 
JHN.13.27	Juda ma bankên pa thârienrien ate hungnâng juchhih lupwah. Jisu ma atenâng ngatwah, “Nangma chenni moatthin tonga erepa sitsiak mo o!” 
JHN.13.28	Jisu ma arepa atenâng chenrãngma ngaeka erepa phhekchhah chhahrãng khoang kowah johtôngte hehma henmemin jet ho. 
JHN.13.29	Juda pa ngunthiente dâng phumma, dijunte khaka ma, Jisu ma Juda nâng thinma lokuhko kepthin heh riakchhoanrãng chienthem eka, ba tangchhih hehnâng chenni komin kohchhoan o, ngama komin chienthem eka ngama thônghun wah.
JHN.13.30	Juda ma bankên pa thâdiko lemlienma khoamchhoan wah. Erepa rangpen nâng dângwah.
JHN.13.31	Juda loatchhoan diko, Jisu ma ngatwah, “Adephumma Mihnyan Chhapa mîndong lahma ekhe e; ngale ate junma Joban mîndong lahmemin ekhe e. 
JHN.13.32	Ngale ate junma Joban mîndong lahma mekhetihko, Joban memin ate junma Mihnyan Chha mîndongthuk lahma ekhe e, ngale erepa atema lemlienma edongthuk a. 
JHN.13.33	Ngachhu achha heh, nga nekhu demnâng ajah talek tongtumek. Nema nga elemsûha; rohkomin ngama Jews heh thôte jabte hehnâng chenni thôkotek a ereheh ngama athângheh nenâng thôkoh eka, ‘Nga chenko chhoan ekanga eretheko ne leta hûmin.’ 
JHN.13.34	Ngale athângheh ngama nenâng hôkum anyan koheka: wathema wathe nâng hun achhâmîn en. Ngama nenâng huneka rãngrãng, eroh nemin wathema wathe nâng hunmîn en. 
JHN.13.35	Nema wathema wathe nâng mehunmîn enko, anga ngama nea ngadijunte ngama ejet hèn.”
JHN.13.36	Simon Piter ma chhienwah, “Teso, nang chenko dângmin a?”
JHN.13.36	Jisu ma dânthâng wah, “Nga chenko chhoan ekanga eretheko ne athângheh tajun chhoanmah ren,” rohkomin; “nea khediko ejun chhoanha.”
JHN.13.37	Piter ma chhienwah, “Teso, chenrãngma ngama athângheh leta junchhoanmin a?” “Nga nangrãng ritmin tarii ang!”
JHN.13.38	Jisu ma dânthâng wah, “Nanga linlin ngarãng ritmin tariioa? Ngama toangtang thôkoh eki: wowên mako nangma nga jetmah hang ngama ditrem engao.
JHN.14.1	Jisu ma thinnâng thôkoh wah. “Neksekmah patrii en,” “Joban nâng putedâlem en ngale nganângmin putedâlem ha.” 
JHN.14.2	Ewa humnâng the jahmõang tonga, ngale nga nerãng the khoakhêm kohrãng wãngekang. Ereko the aho dângnomeko ngama nenâng lethôkoh minwah. 
JHN.14.3	Ngale nga wãnglekma nerãng the khoakhêm kohdiko, Nga ngakka lekma nga demnâng esietwên a, ephumma nga chenko dangekanga eretheko nemin eta wãngrên. 
JHN.14.4	Ngawãng ekang theko wângthin lempa nemajet en.”
JHN.14.5	Thomas ma ngatwah, “Teso, nang chenko dangekoa erepa nima jetmih; phumma nang wãngeko theko ni hokwângrãng lempa chenroh jienjetmin a?”
JHN.14.6	Jisu ma atenâng dânthâng wah, “Nga a Lemkhô, toangtang, ngale roandông; Wa tânâng henjô leta wãngmin, ngajunma lolojôba Wa tânâng tâwâng min. 
JHN.14.7	Atema thinnâng ngatwah, Nema athângheh nga lâjettha,” “Ngale nema Ngawa min ejet en , ade phumma nema atemin lâjettet ngale lâkhetet.”
JHN.14.8	Filip ma atenâng ngatwah, “Teso, Wa pa ninâng khesok hi; ere khepa lolojôba nima huneki.”
JHN.14.9	Jisu ma dânthâng wah, “Filip, chenthu thuma nga nekhu demnâng dângwah; rohkomin athângheh nângmin nangma nga majet ehangne? Henhenma ngakhe ehanga erehehma Wamin lâkhetah. Nangma chenrãngma, ‘Wa pa ninâng khesok hi’ ngaekoa? 
JHN.14.10	Filip, nga a Wa demnâng ngale Wa pa nga demnâng, erepa nangma putedâlem mohne? Jisu ma ate dijunte hehnâng ngatwah, Ngama nenâng thôkoh eka jabkhab pa ngadede wah loatjab dangmek.” Ngadem wah johtôngte Wama atedede moatlempa moeka. 
JHN.14.11	Wa pa nga demnâng ngale nga a Wa demnâng ngama ngatko nganâng putedâlem ha. Eroh komin leputedâlem medang hako, ngama moekang moatlem heh junma komin putedâlem ha. 
JHN.14.12	Ngama toangtang thôkoh eka: henhenma nganâng putedâlem ehanga erehehma ngama chenni moatlem moekanga ereheh emowak a, ngale erenoma moatlem dongmin eta mowak a, chenrãngma ngako Nga a Wa tânâng wãngekang. 
JHN.14.13	Ngale nema ngamînko chenjô metha enkomin erepa ngama emokoh a, erohkoba Chha junma Wa mîndong lahma ekhe en. 
JHN.14.14	Nema ngamînko chenjô metha enkomin, erepa ngama emo ang.
JHN.14.15	“Nema nganâng mehun hako, nema nga hôkum pa ekep en. 
JHN.14.16	Ngama Wa wah etha ang, ngale atema nenâng chohsokte ahan ekohhèn, erepa nedemnâng roantang roangjêng rãng ejohtonghen. 
JHN.14.17	Atea Ju, ngale atema Joban toangtang pa eloatsiet katra. Hahtokkhoh wah hehma ate kepmah, chenrãngma ngako thinma ate khemah ngale ajetmin jetmah. Rohkomin nema ate jet eken, chenrãngma ngako atea nedemnâng johtong ehèn ngale ne khennâng tong ehèn.
JHN.14.18	“Chenthu nga mewãng tekko, ngama ne lolo phethienmah; Nga netânâng engak karâng. 
JHN.14.19	Chuthe diko hahtokkhoh wah hehma nga lekhe tumin, rohkomin nema nga ekheha; chenrãngma ngako nga a ahîn erohwah nemin ehin en. 
JHN.14.20	Chenthu ere rangwo pa mehû theko, nema nga a Ewa demnâng ngale nea nga demnâng, erediko Ngamin nedemnâng dangekang pa ejet en.
JHN.14.21	“Henhenma nga hôkum pa keplahma erejunko dangeka ereheh nganâng hunte. Henhenma nganâng hun ehanga ereheh nâng Ngawa memin ehun a; Ngamemin thinnâng ehun ang ngale ngadede min thinnâng ekherii ang.”
JHN.14.22	Juda (rohkomin Juda Iskarot pa dangmah) erepumma ma ngatwah, “Teso, nanga hahtokkhoh wah hehnâng lekherii thangma ninâng lolo chenroh jienkherit min a?”
JHN.14.23	Jisu ma atenâng dânthâng wah, “Henhenma nganâng hun ehanga erehehma ngama hethô ekang nginpa ekep a. Ngawa memin thinnâng ehun a, ngale Ewa chenii thin tânâng kalihma thin demnâng ejoh songkae. 
JHN.14.24	Henhenma nganâng hunmahhang a erehehma ngama hethô ekang ngin pemin kepmah. Ngale nematat ekenpa nga ngewah hethô dangmek, erepa Ngachienkatte Wa ngewah hethôeka.
JHN.14.25	“Ngama areheh nedemnâng dângpoatko thôkoh eka. 
JHN.14.26	Wama ngamînko nenâng chohsokrãng Asâthôanju echien katra, ngale atema nenâng chentôpa ehethô hèn, ngale ngama nenâng chentô thôkotah a, ereheh phangtang ethonghun thuk hèn.
JHN.14.27	“Mêmo pa ngama nenâng phethien koheka; erepa ngadede ngewah mêmo koheka. Ngama erepa hahtokkhoh ma koheka rãngrãng koh dangmek. Nekpatrii sekmah en; ngale acheimin nekchei en. 
JHN.14.28	Ngama nenâng thôkoh pa nema lâtattet, ‘Nga chhoan ekang, rohkomin nga netânâng engakkarâng.’ Nema nganâng mehun hako, Nga a Wa tânâng wângdi nerin eroan en; chenrãngma ngako atea Nga noma adong. 
JHN.14.29	Ngama athângheh nenâng areheh phangtang linlin hongdâng mako thôkoh eka, erohwah chenthu areheh mehong dangwãng theko, nema eputedâlem en. 
JHN.14.30	Nga nekhu demnâng ajah talek jabmîn tumah, chenrãngma ngako are hahtokkhoh pênte pa lâhûtha. Rohkomin atema nganâng chennimin tare mahhang, 
JHN.14.31	Phumma ngama Wa nâng hun ekang ngama hahtokkhoh wah hehma jetmin; erohwah chentôpa atema nganâng chenroh thôkoh ehanga eroh ngama moekang.
JHN.14.31	“Chepen, are thekowah chhoan e.
JHN.15.1	“Nga a angur linlin, ngale Ngawa pa bãngthong pânte. 
JHN.15.2	Atema ngawah penri leri bãngphak chentôpa doakphe eka, ngale penri rite bãngphak chentôpa pân reka, erohkoba senthemthem donglahma penri ajah eria. 
JHN.15.3	Ngama nenâng hethôeka jabkhab pumma ne lâsâsietthen. 
JHN.15.4	Nga demnângjû dangen, ngale ngamin ne demnângjû danglekma etongang. Bãngphak pumma ate dedema penri jienhong rimah; bãng demkojû danglahma metong ekoba penri jienhong rimin. Ererãngrãng nemin nga demnângjû dangletma letong kenko nema penri jienrimet.
JHN.15.5	“Nga a angurbãng, ngale nea bãngphak. Henhen nga demnângjû danglahma tongeka, ngale ngamin hen demnângjû danglekma tongekãnga, erehehma penri ajah eria; chenrãngma ngako nga aho thangma nema chennimin leta momin. 
JHN.15.6	Henhen nga demnângjû lejohdang thangma dangeka ereheh a petphe lahma bãngphak choakjâwah rãngrãng echoakjâa; Arerãngrãng bãngphak heh khôantoan lahma wennâng phêkatmin, ngale ere wenko jemkhâm erewak a. 
JHN.15.7	Nea nga demnângjû medang enko ngale nga jabkhab pemin ne demnângjû medang hènko, nema chenni komin hun letma metha enko, erepa nema echoh en. 
JHN.15.8	Ngawa mîndông pa nema penri ajah rijunko ekhesok a; ngale erohkoba nemin ngadijunte eta dangen. 
JHN.15.9	Wama nganâng hun ehang rãngrãng ngamemin nenâng huneka; erohwah ngawah hunkojû tongen. 
JHN.15.10	Ngama chenroh Ewa hôkum keplekma ate hunkojû danglekma tong ekanga, ererãngrãng nemin nga hôkumpa kepletma ngawah hunkojû dangletma tongen.
JHN.15.11	“Ngama nenâng are thôkoh ekapa, nga ngewah khuhah linlinpa nema kepletma, nehung khennâng nyahrãng khuhah nâhah chendangen ngama thôkoh eka. 
JHN.15.12	Nga ngewah hôkumpa arepa: Ngama nenâng chenroh huneka, ererãngrãng nekhumin wathema wathe nâng hunmîn en. 
JHN.15.13	Nema ne lemruchha nâng hun achet kowah adongthôanpa thinrãngma ne roandông kohpa. 
JHN.15.14	Ngale ngama nenâng chenni chieneka erepa nema memo enko nea ngalemruchha. 
JHN.15.15	Ngama nenâng haa ngama rootumah, chenrãngma ngako thin tângtewa pumma chenni moeka erepa haa hehma jetmah. Erohwah, ngama nenâng lemruchha ngama rooeka, chenrãngma ngako ngama Ewa wah chentô chohtat ekanga ereheh phangtang nenâng thôkoh eka. 
JHN.15.16	Nema nga rên dangmahha; Ngameba ne renlahma chenthumin lechhihjâ thangma lektôngli penri richhoanthuk eka. Ngale ngamînko Wa ngewah nema chenni thaeken a ereheh atema ekohhèn. 
JHN.15.17	Erohwah ngama arepa nenâng chieneka: wathema wathe nâng hunmîn en.
JHN.15.18	“Hahtokkhoh ma nenâng mechhihchoh hènko, thonghun en, khebengko nganâng chhihchoh ehang. 
JHN.15.19	Nea hahtokkhoh rãng medang enko, hahtokkhoh ma nenâng aterãng dângdi ehunhèn. Rohkomin ngama nea are hahtokkhoh wah ren eka, ngale nea hahtokkhoh rãng dangmet; erohwah hahtokkhoh ma nenâng chhihchoh ehèn. 
JHN.15.20	Ngama nenâng chenni thôkotah a ereheh thonghuntan en: ‘Haaheh thin tângtewa noma adong dangmah.’ Mihnyan hehma nganâng mechêmsiet hangko, thinma nemin echêmsiet hèn; ngale ngama hethô ekangpa thinma mekep ako, thinma ne nginmin ekephèn. 
JHN.15.21	Rohkomin nea ngarãng dângdi are chentôpa thinma nenâng ehôan ejôan hèn; chenrãngma ngako ngachienkatte pa thinma jetmah. 
JHN.15.22	Nga kalekma hahtokkhoh wah mihnyan hehnâng lethôkoh ngako thinnâng pap aho dângmin wah; Ade phumma thinpap heh map lekohtumin. 
JHN.15.23	Henhenma nganâng chhihchoh ehanga nga Wa nangmin chhihchoh eka. 
JHN.15.24	Henmemin lethat moli moatlem heh ngama thin tânâng lemo ngako thinnâng pap aho dângmin wah; phumma ngama chenni moekanga erepa thinma lâkhetah, rohkomin thinma Ewa chheni waniinii nâng chhihchoh ehi. 
JHN.15.25	Arepa metkep dângmin, erohkoba thin Niem nâng chenni raangtah a erepa toangtang edanga: ‘Thinma nganâng ledangli nâng chhihchoh ehang.’
JHN.15.26	“Achohsokte Ju ekara, atema Wa tâwah kalahma Joban toangtang pa ekhesok kahèn. Ngale atea ngama Wa tâwah nekhu tânâng echienkat râng, ngale atema nenâng ngangin ethôkoh hèn. 
JHN.15.27	Ngale nememin nga nginpa mihnâng ethôkoh en, chenrãngma ngako nea khebengma nga demnângjû.
JHN.16.1	“Ngama ne putedâlem pa nekchen chhihjâ eken ngama arepa thôkoh eka. 
JHN.16.2	Nea Sanagog wahmin ejunlo hèn, ngale mihnyan hehma ne ritphe lahma thinma Joban nâng soamtô eki ngama thônghûn sanpoat pa ehûra. 
JHN.16.3	Mihnyan hehma Wa min lejet ngale Nga min lejet dâng phumma ne eritphe hèn. 
JHN.16.4	Phumma ngama nenâng arepa thôkoh eka, erohkoba chenthu thinma arohmoat sanpoat mehûthako, ngama nenâng chenni thôkotah a ereheh nema ethonghun en.
JHN.16.4	“Ngama areheh nenâng khebengko thôkomah, chenrãngma ngako, Nga nedemko dângwah. 
JHN.16.5	Rohkomin ade phumma Nga a ngachienkatte tânâng wãngekang, rohkomin nekhuwah henmemin nga chennâng dângrãng ngaekanga erepa thongphâ mahha. 
JHN.16.6	Ngale athângheh ngama nenâng thôkoh eka, phumma nea nyahrãng hungchhih rekmah dangeken. 
JHN.16.7	Rohkomin ngama toangtang thôkoh eka: Nga chhoan ekangpa nerãng sênrãng chhoan ekang, chenrãngma ngako Nga lechhoan medang angko, chohsokte Jupa netânâng lekamin. Phumma Nga mechhoan angkoba Ngama netânâng ate echienkatrâng. 
JHN.16.8	Ngale chenthu ate meka theko, atema hahtokkhoh wah mihnyan hehnâng, pap, ngale toangtang, erediko Joban ma khope rênjunma ekhesok a. 
JHN.16.9	Thin a pap junko athe, chenrãngma ngako thinma nganâng putedâlem mahhang; 
JHN.16.10	ngale thin a toangtang junkomin athe, chenrãngma ngako Nga a Wa tânâng wãngekang ngale nema nga lechoh khetûmin; 
JHN.16.11	ngale thin a chhih asen rên junkomin athe ngama ekhesok a, chenrãngma ngako, are hahtokkhoh pênteko athe lângatah.
JHN.16.12	“Ngama nenâng ajahthem thôkohthin tonga, rohkomin athângheh nema ereheh phangtang takepmet. 
JHN.16.13	Ephumma chenthu toangtang Ju pa meka theko, atema Joban toangtang pa ekhesokkat hèn, ngale atema nemin toangtang lemnâng esenhèn. Atema atedede hungwah lehong jabmin, rohkomin atema chenni chohtat eka erepa ethôa, ngale khediko chenni dângmin a erehehmin ethôkoh hèn. 
JHN.16.14	Atema ngamîn edongthuk hang, chenrãngma ngako, ngama chennijab ekanga erepa atema nenâng thôkoh ehèn. 
JHN.16.15	Ewa ngenâng chentô tongtong apa phangtang ngarãng; erohwah ngama ngaekang, ngama Junâng chennikoh ekanga erepa atema thalahma nenâng ethôkoh hèn.
JHN.16.16	“Chuthe diko nema nga lechohkhe tumin, ngale ere chuthe diko nema nga echohkheha.”
