GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
PSA.54.7	and my eye has looked in triumph on my enemies.
PSA.55.1	Give ear to my prayer, O God;
PSA.55.1	and hide not thyself from my supplication!
PSA.55.2	Attend to me, and answer me;
PSA.55.2	I am overcome by my trouble.
PSA.55.2	I am distraught 
PSA.55.3	by the noise of the enemy,
PSA.55.3	because of the oppression of the wicked.
PSA.55.3	For they bring
PSA.55.3	and in anger they cherish enmity against me.
PSA.55.4	My heart is in anguish within me,
PSA.55.4	the terrors of death have fallen upon me.
PSA.55.5	Fear and trembling come upon me,
PSA.55.5	and horror overwhelms me.
PSA.55.6	And I say, “O that I had wings like a dove!
PSA.55.6	I would fly away and be at rest;
PSA.55.7	yea, I would wander afar,
PSA.55.7	I would lodge in the wilderness, 
PSA.55.8	I would haste to find me a shelter
PSA.55.8	from the raging wind and tempest.”
PSA.55.9	Destroy their plans,
PSA.55.9	for I see violence and strife in the city.
PSA.55.10	Day and night they go around it
PSA.55.10	on its walls;
PSA.55.10	and mischief and trouble are within it,
PSA.55.11	ruin is in its midst;
PSA.55.11	oppression and fraud
PSA.55.11	do not depart from its market place.
PSA.55.12	It is not an enemy who taunts me—
PSA.55.12	then I could bear it;
PSA.55.12	it is not an adversary who deals insolently with me—
PSA.55.12	then I could hide from him.
PSA.55.13	But it is you, my equal,
PSA.55.13	my companion, my familiar friend.
PSA.55.14	We used to hold sweet converse together;
PSA.55.14	within God's house we walked in fellowship.
PSA.55.15	Let death
PSA.55.15	let them go down to Sheol alive;
PSA.55.15	let them go away in terror into their graves.
PSA.55.16	But I call upon God;
PSA.55.16	and the 
PSA.55.17	Evening and morning and at noon
PSA.55.17	I utter my complaint and moan,
PSA.55.17	and he will hear my voice.
PSA.55.18	He will deliver my soul in safety
PSA.55.18	from the battle that I wage,
PSA.55.18	for many are arrayed against me.
PSA.55.19	God will give ear, and humble them,
PSA.55.19	he who is enthroned from of old;
PSA.55.19	because they keep no law,
PSA.55.19	and do not fear God. 
PSA.55.20	My companion stretched out his hand against his friends,
PSA.55.20	he violated his covenant.
PSA.55.21	His speech was smoother than butter,
PSA.55.21	yet war was in his heart;
PSA.55.21	his words were softer than oil,
PSA.55.21	yet they were drawn swords.
PSA.55.22	and he will sustain you;
PSA.55.22	he will never permit
PSA.55.22	the righteous to be moved.
PSA.55.23	But thou, O God, wilt cast them down
PSA.55.23	into the lowest pit;
PSA.55.23	men of blood and treachery
PSA.55.23	shall not live out half their days.
PSA.55.23	But I will trust in thee.
PSA.56.1	Be gracious to me, O God,
PSA.56.1	for men trample upon me;
PSA.56.1	all day long foemen oppress me;
PSA.56.2	my enemies trample upon me all day long,
PSA.56.2	for many fight against me proudly.
PSA.56.3	When I am afraid,
PSA.56.3	I put my trust in thee.
PSA.56.4	In God, whose word I praise,
PSA.56.4	in God I trust without a fear.
PSA.56.4	What can flesh do to me?
PSA.56.5	All day long they seek to injure my cause;
PSA.56.5	all their thoughts are against me for evil.
PSA.56.6	They band themselves together, they lurk,
PSA.56.6	they watch my steps.
PSA.56.6	As they have waited for my life,
PSA.56.7	so recompense
PSA.56.7	in wrath cast down the peoples, O God!
PSA.56.8	Thou hast kept count of my tossings;
PSA.56.8	put thou my tears in thy bottle!
PSA.56.8	Are they not in thy book?
PSA.56.9	Then my enemies will be turned back
PSA.56.9	in the day when I call.
PSA.56.9	This I know, that
PSA.56.10	In God, whose word I praise,
PSA.56.10	in the 
PSA.56.11	in God I trust without a fear.
PSA.56.11	What can man do to me?
PSA.56.12	My vows to thee I must perform, O God;
PSA.56.12	I will render thank offerings to thee.
PSA.56.13	For thou hast delivered my soul from death,
PSA.56.13	yea, my feet from falling,
PSA.56.13	that I may walk before God
PSA.56.13	in the light of life.
PSA.57.1	Be merciful to me, O God, be merciful to me,
PSA.57.1	for in thee my soul takes refuge;
PSA.57.1	in the shadow of thy wings I will take refuge,
PSA.57.1	till the storms of destruction pass by.
PSA.57.2	I cry to God Most High,
PSA.57.2	to God who fulfils his purpose for me.
PSA.57.3	He will send from heaven and save me,
PSA.57.3	he will put to shame those who trample upon me. 
PSA.57.3	God will send forth his steadfast love and his faithfulness!
PSA.57.4	I lie in the midst of lions
PSA.57.4	that greedily devour
PSA.57.4	their teeth are spears and arrows,
PSA.57.4	their tongues sharp swords.
PSA.57.5	Be exalted, O God, above the heavens!
PSA.57.5	Let thy glory be over all the earth!
PSA.57.6	They set a net for my steps;
PSA.57.6	my soul was bowed down.
PSA.57.6	They dug a pit in my way,
PSA.57.6	but they have fallen into it themselves. 
PSA.57.7	my heart is steadfast!
PSA.57.7	I will sing and make melody!
PSA.57.8	Awake, my soul!
PSA.57.8	Awake, O harp and lyre!
PSA.57.8	I will awake the dawn!
PSA.57.9	I will give thanks to thee, O Lord, among the peoples;
PSA.57.9	I will sing praises to thee among the nations.
PSA.57.10	For thy steadfast love is great to the heavens,
PSA.57.10	thy faithfulness to the clouds.
PSA.57.11	Be exalted, O God, above the heavens!
PSA.57.11	Let thy glory be over all the earth!
PSA.58.1	Do you indeed decree what is right, you gods?
PSA.58.1	Do you judge the sons of men uprightly?
PSA.58.2	Nay, in your hearts you devise wrongs;
PSA.58.2	your hands deal out violence on earth.
PSA.58.3	The wicked go astray from the womb,
PSA.58.3	they err from their birth, speaking lies.
PSA.58.4	They have venom like the venom of a serpent,
PSA.58.4	like the deaf adder that stops its ear,
PSA.58.5	so that it does not hear the voice of charmers
PSA.58.5	or of the cunning enchanter.
PSA.58.6	O God, break the teeth in their mouths;
PSA.58.6	tear out the fangs of the young lions, O 
PSA.58.7	Let them vanish like water that runs away;
PSA.58.7	like grass let them be trodden down and wither.
PSA.58.8	Let them be like the snail which dissolves into slime,
PSA.58.8	like the untimely birth that never sees the sun.
PSA.58.9	Sooner than your pots can feel the heat of thorns,
PSA.58.9	whether green or ablaze, may he sweep them away!
PSA.58.10	The righteous will rejoice when he sees the vengeance;
PSA.58.10	he will bathe his feet in the blood of the wicked.
PSA.58.11	Men will say, “Surely there is a reward for the righteous;
PSA.58.11	surely there is a God who judges on earth.”
PSA.59.1	Deliver me from my enemies, O my God,
PSA.59.1	protect me from those who rise up against me,
PSA.59.2	deliver me from those who work evil,
PSA.59.2	and save me from bloodthirsty men.
PSA.59.3	For lo, they lie in wait for my life;
PSA.59.3	fierce men band themselves against me.
PSA.59.3	For no transgression or sin of mine, O 
PSA.59.4	for no fault of mine, they run and make ready.
PSA.59.4	Rouse thyself, come to my help, and see!
PSA.59.5	Thou, 
PSA.59.5	Awake to punish all the nations;
PSA.59.5	spare none of those who treacherously plot evil. 
PSA.59.6	Each evening they come back,
PSA.59.6	howling like dogs
PSA.59.6	and prowling about the city.
PSA.59.7	There they are, bellowing with their mouths,
PSA.59.7	and snarling with
PSA.59.7	for “Who,” they think, “will hear us?”
PSA.59.8	But thou, O 
PSA.59.8	thou dost hold all the nations in derision.
PSA.59.9	O my Strength, I will sing praises to thee;
PSA.59.9	for thou, O God, art my fortress.
PSA.59.10	My God in his steadfast love will meet me;
PSA.59.10	my God will let me look in triumph on my enemies.
PSA.59.11	Slay them not, lest my people forget;
PSA.59.11	make them totter by thy power, and bring them down,
PSA.59.11	O Lord, our shield!
PSA.59.12	For the sin of their mouths, the words of their lips,
PSA.59.12	let them be trapped in their pride.
PSA.59.12	For the cursing and lies which they utter,
PSA.59.13	consume them in wrath,
PSA.59.13	consume them till they are no more,
PSA.59.13	that men may know that God rules over Jacob
PSA.59.13	to the ends of the earth. 
PSA.59.14	Each evening they come back,
PSA.59.14	howling like dogs
PSA.59.14	and prowling about the city.
PSA.59.15	They roam about for food,
PSA.59.15	and growl if they do not get their fill.
PSA.59.16	But I will sing of thy might;
PSA.59.16	I will sing aloud of thy steadfast love in the morning.
PSA.59.16	For thou hast been to me a fortress
PSA.59.16	and a refuge in the day of my distress.
PSA.59.17	O my Strength, I will sing praises to thee,
PSA.59.17	for thou, O God, art my fortress,
PSA.59.17	the God who shows me steadfast love.
PSA.60.1	O God, thou hast rejected us, broken our defenses;
PSA.60.1	thou hast been angry; oh, restore us.
PSA.60.2	Thou hast made the land to quake, thou hast rent it open;
PSA.60.2	repair its breaches, for it totters.
PSA.60.3	Thou hast made thy people suffer hard things;
PSA.60.3	thou hast given us wine to drink that made us reel.
PSA.60.4	Thou hast set up a banner for those who fear thee,
PSA.60.4	to rally to it from the bow.
PSA.60.5	give victory by thy right hand and answer us!
PSA.60.6	God has spoken in his sanctuary:
PSA.60.6	“With exultation I will divide up Shechem
PSA.60.6	and portion out the Vale of Succoth.
PSA.60.7	Gilead is mine; Manasseh is mine;
PSA.60.7	Ephraim is my helmet;
PSA.60.7	Judah is my scepter.
PSA.60.8	Moab is my washbasin;
PSA.60.8	upon Edom I cast my shoe;
PSA.60.8	over Philistia I shout in triumph.”
PSA.60.9	Who will bring me to the fortified city?
PSA.60.9	Who will lead me to Edom?
PSA.60.10	Hast thou not rejected us, O God?
PSA.60.10	Thou dost not go forth, O God, with our armies.
PSA.60.11	O grant us help against the foe,
PSA.60.11	for vain is the help of man!
PSA.60.12	With God we shall do valiantly;
PSA.60.12	it is he who will tread down our foes.
PSA.61.1	Hear my cry, O God,
PSA.61.1	listen to my prayer;
PSA.61.2	from the end of the earth I call to thee,
PSA.61.2	when my heart is faint.
PSA.61.2	Lead thou me
PSA.61.2	to the rock that is higher than I;
PSA.61.3	for thou art my refuge,
PSA.61.3	a strong tower against the enemy.
PSA.61.4	Let me dwell in thy tent for ever!
PSA.61.4	Oh to be safe under the shelter of thy wings! 
PSA.61.5	For thou, O God, hast heard my vows,
PSA.61.5	thou hast given me the heritage of those who fear thy name.
PSA.61.6	Prolong the life of the king;
PSA.61.6	may his years endure to all generations!
PSA.61.7	May he be enthroned for ever before God;
PSA.61.7	bid steadfast love and faithfulness watch over him!
PSA.61.8	So will I ever sing praises to thy name,
PSA.61.8	as I pay my vows day after day.
PSA.62.1	For God alone my soul waits in silence;
PSA.62.1	from him comes my salvation.
PSA.62.2	He only is my rock and my salvation,
PSA.62.2	my fortress; I shall not be greatly moved.
PSA.62.3	How long will you set upon a man
PSA.62.3	to shatter him, all of you,
PSA.62.3	like a leaning wall, a tottering fence?
PSA.62.4	They only plan to thrust him down from his eminence.
PSA.62.4	They take pleasure in falsehood.
PSA.62.4	They bless with their mouths,
PSA.62.4	but inwardly they curse. 
PSA.62.5	For God alone my soul waits in silence,
PSA.62.5	for my hope is from him.
PSA.62.6	He only is my rock and my salvation,
PSA.62.6	my fortress; I shall not be shaken.
PSA.62.7	On God rests my deliverance and my honor;
PSA.62.7	my mighty rock, my refuge is God.
PSA.62.8	Trust in him at all times, O people;
PSA.62.8	pour out your heart before him;
PSA.62.8	God is a refuge for us. 
PSA.62.9	Men of low estate are but a breath,
PSA.62.9	men of high estate are a delusion;
PSA.62.9	in the balances they go up;
PSA.62.9	they are together lighter than a breath.
PSA.62.10	Put no confidence in extortion,
PSA.62.10	set no vain hopes on robbery;
PSA.62.10	if riches increase, set not your heart on them.
PSA.62.11	Once God has spoken;
PSA.62.11	twice have I heard this:
PSA.62.11	that power belongs to God;
PSA.62.12	For thou dost requite a man
PSA.62.12	according to his work.
PSA.63.1	O God, thou art my God, I seek thee,
PSA.63.1	my soul thirsts for thee;
PSA.63.1	my flesh faints for thee,
PSA.63.1	as in a dry and weary land where no water is.
PSA.63.2	So I have looked upon thee in the sanctuary,
PSA.63.2	beholding thy power and glory.
PSA.63.3	Because thy steadfast love is better than life,
PSA.63.3	my lips will praise thee.
PSA.63.4	So I will bless thee as long as I live;
PSA.63.4	I will lift up my hands and call on thy name.
PSA.63.5	My soul is feasted as with marrow and fat,
PSA.63.5	and my mouth praises thee with joyful lips,
PSA.63.6	when I think of thee upon my bed,
PSA.63.6	and meditate on thee in the watches of the night;
PSA.63.7	for thou hast been my help,
PSA.63.7	and in the shadow of thy wings I sing for joy.
PSA.63.8	My soul clings to thee;
PSA.63.8	thy right hand upholds me.
PSA.63.9	But those who seek to destroy my life
PSA.63.9	shall go down into the depths of the earth;
PSA.63.10	they shall be given over to the power of the sword,
PSA.63.10	they shall be prey for jackals.
PSA.63.11	But the king shall rejoice in God;
PSA.63.11	all who swear by him shall glory;
PSA.63.11	for the mouths of liars will be stopped.
PSA.64.1	Hear my voice, O God, in my complaint;
PSA.64.1	preserve my life from dread of the enemy,
PSA.64.2	hide me from the secret plots of the wicked,
PSA.64.2	from the scheming of evildoers,
PSA.64.3	who whet their tongues like swords,
PSA.64.3	who aim bitter words like arrows,
PSA.64.4	shooting from ambush at the blameless,
PSA.64.4	shooting at him suddenly and without fear.
PSA.64.5	They hold fast to their evil purpose;
PSA.64.5	they talk of laying snares secretly,
PSA.64.5	thinking, “Who can see us?
PSA.64.6	Who can search out our crimes?
PSA.64.6	We have thought out a cunningly conceived plot.”
PSA.64.6	For the inward mind and heart of a man are deep!
PSA.64.7	But God will shoot his arrow at them;
PSA.64.7	they will be wounded suddenly.
PSA.64.8	Because of their tongue he will bring them to ruin;
PSA.64.8	all who see them will wag their heads.
PSA.64.9	Then all men will fear;
PSA.64.9	they will tell what God has wrought,
PSA.64.9	and ponder what he has done.
PSA.64.10	Let the righteous rejoice in the 
PSA.64.10	and take refuge in him!
PSA.64.10	Let all the upright in heart glory!
PSA.65.1	Praise is due to thee,
PSA.65.1	O God, in Zion;
PSA.65.1	and to thee shall vows be performed,
PSA.65.2	O thou who hearest prayer!
PSA.65.2	To thee shall all flesh come
PSA.65.3	on account of sins.
PSA.65.3	When our transgressions prevail over us,
PSA.65.3	thou dost forgive them.
PSA.65.4	Blessed is he whom thou dost choose and bring near,
PSA.65.4	to dwell in thy courts!
PSA.65.4	We shall be satisfied with the goodness of thy house,
PSA.65.4	thy holy temple!
PSA.65.5	By dread deeds thou dost answer us with deliverance,
PSA.65.5	O God of our salvation,
PSA.65.5	who art the hope of all the ends of the earth,
PSA.65.5	and of the farthest seas;
PSA.65.6	who by thy strength hast established the mountains,
PSA.65.6	being girded with might;
PSA.65.7	who dost still the roaring of the seas,
PSA.65.7	the roaring of their waves,
PSA.65.7	the tumult of the peoples;
PSA.65.8	so that those who dwell at earth's farthest bounds
PSA.65.8	are afraid at thy signs;
PSA.65.8	thou makest the outgoings of the morning and the evening
PSA.65.8	to shout for joy.
PSA.65.9	Thou visitest the earth and waterest it,
PSA.65.9	thou greatly enrichest it;
PSA.65.9	the river of God is full of water;
PSA.65.9	thou providest their grain,
PSA.65.9	for so thou hast prepared it.
PSA.65.10	Thou waterest its furrows abundantly,
PSA.65.10	settling its ridges,
PSA.65.10	softening it with showers,
PSA.65.10	and blessing its growth.
PSA.65.11	Thou crownest the year with thy bounty;
PSA.65.11	the tracks of thy chariot drip with fatness.
PSA.65.12	The pastures of the wilderness drip,
PSA.65.12	the hills gird themselves with joy,
PSA.65.13	the meadows clothe themselves with flocks,
PSA.65.13	the valleys deck themselves with grain,
PSA.65.13	they shout and sing together for joy.
PSA.66.1	Make a joyful noise to God, all the earth;
PSA.66.2	sing the glory of his name;
PSA.66.2	give to him glorious praise!
PSA.66.3	Say to God, “How terrible are thy deeds!
PSA.66.3	So great is thy power that thy enemies cringe before thee.
PSA.66.4	All the earth worships thee;
PSA.66.4	they sing praises to thee,
PSA.66.4	sing praises to thy name.” 
PSA.66.5	Come and see what God has done:
PSA.66.5	he is terrible in his deeds among men.
PSA.66.6	He turned the sea into dry land;
PSA.66.6	men passed through the river on foot.
PSA.66.6	There did we rejoice in him,
PSA.66.7	who rules by his might for ever,
PSA.66.7	whose eyes keep watch on the nations—
PSA.66.7	let not the rebellious exalt themselves. 
PSA.66.8	Bless our God, O peoples,
PSA.66.8	let the sound of his praise be heard,
PSA.66.9	who has kept us among the living,
PSA.66.9	and has not let our feet slip.
PSA.66.10	For thou, O God, hast tested us;
PSA.66.10	thou hast tried us as silver is tried.
PSA.66.11	Thou didst bring us into the net;
PSA.66.11	thou didst lay affliction on our loins;
PSA.66.12	thou didst let men ride over our heads;
PSA.66.12	we went through fire and through water;
PSA.66.12	yet thou hast brought us forth to a spacious place.
PSA.66.13	I will come into thy house with burnt offerings;
PSA.66.13	I will pay thee my vows,
PSA.66.14	that which my lips uttered
PSA.66.14	and my mouth promised when I was in trouble.
PSA.66.15	I will offer to thee burnt offerings of fatlings,
PSA.66.15	with the smoke of the sacrifice of rams;
PSA.66.15	I will make an offering of bulls and goats. 
PSA.66.16	Come and hear, all you who fear God,
PSA.66.16	and I will tell what he has done for me.
PSA.66.17	I cried aloud to him,
PSA.66.17	and he was extolled with my tongue.
PSA.66.18	If I had cherished iniquity in my heart,
PSA.66.18	the Lord would not have listened.
PSA.66.19	But truly God has listened;
PSA.66.19	he has given heed to the voice of my prayer.
PSA.66.20	Blessed be God,
PSA.66.20	because he has not rejected my prayer
PSA.66.20	or removed his steadfast love from me!
PSA.67.1	May God be gracious to us and bless us
PSA.67.1	and make his face to shine upon us, 
PSA.67.2	that thy way may be known upon earth,
PSA.67.2	thy saving power among all nations.
PSA.67.3	Let the peoples praise thee, O God;
PSA.67.3	let all the peoples praise thee!
PSA.67.4	Let the nations be glad and sing for joy,
PSA.67.4	for thou dost judge the peoples with equity
PSA.67.4	and guide the nations upon earth. 
PSA.67.5	Let the peoples praise thee, O God;
PSA.67.5	let all the peoples praise thee!
PSA.67.6	The earth has yielded its increase;
PSA.67.6	God, our God, has blessed us.
PSA.67.7	God has blessed us;
PSA.67.7	let all the ends of the earth fear him!
PSA.68.1	Let God arise, let his enemies be scattered;
PSA.68.1	let those who hate him flee before him!
PSA.68.2	As smoke is driven away, so drive them away;
PSA.68.2	as wax melts before fire,
PSA.68.2	let the wicked perish before God!
PSA.68.3	But let the righteous be joyful;
PSA.68.3	let them exult before God;
PSA.68.3	let them be jubilant with joy!
PSA.68.4	Sing to God, sing praises to his name;
PSA.68.4	lift up a song to him who rides upon the clouds;
PSA.68.4	his name is the 
PSA.68.5	Father of the fatherless and protector of widows
PSA.68.5	is God in his holy habitation.
PSA.68.6	God gives the desolate a home to dwell in;
PSA.68.6	he leads out the prisoners to prosperity;
PSA.68.6	but the rebellious dwell in a parched land.
PSA.68.7	O God, when thou didst go forth before thy people,
PSA.68.7	when thou didst march through the wilderness, 
PSA.68.8	the earth quaked, the heavens poured down rain,
PSA.68.8	at the presence of God;
PSA.68.8	yon Sinai quaked at the presence of God,
PSA.68.8	the God of Israel.
PSA.68.9	Rain in abundance, O God, thou didst shed abroad;
PSA.68.9	thou didst restore thy heritage as it languished;
PSA.68.10	thy flock found a dwelling in it;
PSA.68.10	in thy goodness, O God, thou didst provide for the needy.
PSA.68.11	The Lord gives the command;
PSA.68.11	great is the host of those who bore the tidings:
PSA.68.12	“The kings of the armies, they flee, they flee!”
PSA.68.12	The women at home divide the spoil,
PSA.68.13	though they stay among the sheepfolds—
PSA.68.13	the wings of a dove covered with silver,
PSA.68.13	its pinions with green gold.
PSA.68.14	When the Almighty scattered kings there,
PSA.68.14	snow fell on Zalmon.
PSA.68.15	O mighty mountain, mountain of Bashan;
PSA.68.15	O many-peaked mountain, mountain of Bashan!
PSA.68.16	Why look you with envy, O many-peaked mountain,
PSA.68.16	at the mount which God desired for his abode,
PSA.68.16	yea, where the 
PSA.68.17	With mighty chariotry, twice ten thousand,
PSA.68.17	thousands upon thousands,
PSA.68.17	the Lord came from Sinai into the holy place.
PSA.68.18	leading captives in thy train,
PSA.68.18	and receiving gifts among men,
PSA.68.18	even among the rebellious, that the 
PSA.68.19	Blessed be the Lord,
PSA.68.19	who daily bears us up;
PSA.68.19	God is our salvation. 
PSA.68.20	Our God is a God of salvation;
PSA.68.20	and to 
PSA.68.21	But God will shatter the heads of his enemies,
PSA.68.21	the hairy crown of him who walks in his guilty ways.
PSA.68.22	The Lord said,
PSA.68.22	“I will bring them back from Bashan,
PSA.68.22	I will bring them back from the depths of the sea,
PSA.68.23	that you may bathe
PSA.68.23	that the tongues of your dogs may have their portion from the foe.”
PSA.68.24	Thy solemn processions are seen,
PSA.68.24	the processions of my God, my King, into the sanctuary—
PSA.68.25	the singers in front, the minstrels last,
PSA.68.25	between them maidens playing timbrels:
PSA.68.26	“Bless God in the great congregation,
PSA.68.26	the 
PSA.68.27	There is Benjamin, the least of them, in the lead,
PSA.68.27	the princes of Judah in their throng,
PSA.68.27	the princes of Zebulun, the princes of Naphtali.
PSA.68.28	Summon thy might, O God;
PSA.68.28	show thy strength, O God, thou who hast wrought for us.
PSA.68.29	Because of thy temple at Jerusalem
PSA.68.29	kings bear gifts to thee.
PSA.68.30	Rebuke the beasts that dwell among the reeds,
PSA.68.30	the herd of bulls with the calves of the peoples.
PSA.68.30	Trample
PSA.68.30	scatter the peoples who delight in war.
PSA.68.31	Let bronze be brought from Egypt;
PSA.68.31	let Ethiopia hasten to stretch out her hands to God.
PSA.68.32	Sing to God, O kingdoms of the earth;
PSA.68.32	sing praises to the Lord, 
PSA.68.33	to him who rides in the heavens, the ancient heavens;
PSA.68.33	lo, he sends forth his voice, his mighty voice.
PSA.68.34	Ascribe power to God,
PSA.68.34	whose majesty is over Israel,
PSA.68.34	and his power is in the skies.
PSA.68.35	Terrible is God in his
PSA.68.35	the God of Israel,
PSA.68.35	he gives power and strength to his people.
PSA.68.35	Blessed be God!
PSA.69.1	Save me, O God!
PSA.69.1	For the waters have come up to my neck.
PSA.69.2	I sink in deep mire,
PSA.69.2	where there is no foothold;
PSA.69.2	I have come into deep waters,
PSA.69.2	and the flood sweeps over me.
PSA.69.3	I am weary with my crying;
PSA.69.3	my throat is parched.
PSA.69.3	My eyes grow dim
PSA.69.3	with waiting for my God.
PSA.69.4	are those who hate me without cause;
PSA.69.4	mighty are those who would destroy me,
PSA.69.4	those who attack me with lies.
PSA.69.4	What I did not steal
PSA.69.4	must I now restore?
PSA.69.5	O God, thou knowest my folly;
PSA.69.5	the wrongs I have done are not hidden from thee.
PSA.69.6	Let not those who hope in thee be put to shame through me,
PSA.69.6	O Lord 
PSA.69.6	let not those who seek thee be brought to dishonor through me,
PSA.69.6	O God of Israel.
PSA.69.7	For it is for thy sake that I have borne reproach,
PSA.69.7	that shame has covered my face.
PSA.69.8	I have become a stranger to my brethren,
PSA.69.8	an alien to my mother's sons.
PSA.69.9	and the insults of those who insult thee have fallen on me.
PSA.69.10	When I humbled
PSA.69.10	it became my reproach.
PSA.69.11	When I made sackcloth my clothing,
PSA.69.11	I became a byword to them.
PSA.69.12	I am the talk of those who sit in the gate,
PSA.69.12	and the drunkards make songs about me.
PSA.69.13	But as for me, my prayer is to thee, O 
PSA.69.13	At an acceptable time, O God,
PSA.69.13	in the abundance of thy steadfast love answer me.
PSA.69.13	With thy faithful help 
PSA.69.14	rescue me
PSA.69.14	from sinking in the mire;
PSA.69.14	let me be delivered from my enemies
PSA.69.14	and from the deep waters.
PSA.69.15	Let not the flood sweep over me,
PSA.69.15	or the deep swallow me up,
PSA.69.15	or the pit close its mouth over me.
PSA.69.16	Answer me, O 
PSA.69.16	according to thy abundant mercy, turn to me.
PSA.69.17	Hide not thy face from thy servant;
PSA.69.17	for I am in distress, make haste to answer me.
PSA.69.18	Draw near to me, redeem me,
PSA.69.18	set me free because of my enemies!
PSA.69.19	Thou knowest my reproach,
PSA.69.19	and my shame and my dishonor;
PSA.69.19	my foes are all known to thee.
PSA.69.20	Insults have broken my heart,
PSA.69.20	so that I am in despair.
PSA.69.20	I looked for pity, but there was none;
PSA.69.20	and for comforters, but I found none.
PSA.69.21	and for my thirst they gave me vinegar to drink.
PSA.69.22	let their sacrificial feasts
PSA.69.23	Let their eyes be darkened, so that they cannot see;
PSA.69.23	and make their loins tremble continually.
PSA.69.24	and let thy burning anger overtake them.
PSA.69.25	let no one dwell in their tents.
PSA.69.26	For they persecute him whom thou hast smitten,
PSA.69.26	and him
PSA.69.27	Add to them punishment upon punishment;
PSA.69.27	may they have no acquittal from thee.
PSA.69.28	let them not be enrolled among the righteous.
PSA.69.29	But I am afflicted and in pain;
PSA.69.29	let thy salvation, O God, set me on high!
PSA.69.30	I will praise the name of God with a song;
PSA.69.30	I will magnify him with thanksgiving.
PSA.69.31	This will please the 
PSA.69.31	or a bull with horns and hoofs.
PSA.69.32	Let the oppressed see it and be glad;
PSA.69.32	you who seek God, let your hearts revive.
PSA.69.33	For the 
PSA.69.33	and does not despise his own that are in bonds.
PSA.69.34	Let heaven and earth praise him,
PSA.69.34	the seas and everything that moves therein.
PSA.69.35	For God will save Zion
PSA.69.35	and rebuild the cities of Judah;
PSA.69.35	and his servants shall dwell
PSA.69.36	the children of his servants shall inherit it,
PSA.69.36	and those who love his name shall dwell in it.
PSA.70.1	O 
PSA.70.2	Let them be put to shame and confusion
PSA.70.2	who seek my life!
PSA.70.2	Let them be turned back and brought to dishonor
PSA.70.2	who desire my hurt!
PSA.70.3	Let them be appalled because of their shame
PSA.70.3	who say, “Aha, Aha!”
PSA.70.4	May all who seek thee
PSA.70.4	rejoice and be glad in thee!
PSA.70.4	May those who love thy salvation
PSA.70.4	say evermore, “God is great!”
PSA.70.5	But I am poor and needy;
PSA.70.5	hasten to me, O God!
PSA.70.5	Thou art my help and my deliverer;
PSA.70.5	O 
PSA.71.1	In thee, O 
PSA.71.1	let me never be put to shame!
PSA.71.2	In thy righteousness deliver me and rescue me;
PSA.71.2	incline thy ear to me, and save me!
PSA.71.3	Be thou to me a rock of refuge,
PSA.71.3	a strong fortress,
PSA.71.3	for thou art my rock and my fortress.
PSA.71.4	Rescue me, O my God, from the hand of the wicked,
PSA.71.4	from the grasp of the unjust and cruel man.
PSA.71.5	For thou, O Lord, art my hope,
PSA.71.5	my trust, O 
PSA.71.6	Upon thee I have leaned from my birth;
PSA.71.6	thou art he who took me from my mother's womb.
PSA.71.6	My praise is continually of thee.
PSA.71.7	I have been as a portent to many;
PSA.71.7	but thou art my strong refuge.
PSA.71.8	My mouth is filled with thy praise,
PSA.71.8	and with thy glory all the day.
PSA.71.9	Do not cast me off in the time of old age;
PSA.71.9	forsake me not when my strength is spent.
PSA.71.10	For my enemies speak concerning me,
PSA.71.10	those who watch for my life consult together,
PSA.71.11	and say, “God has forsaken him;
PSA.71.11	pursue and seize him,
PSA.71.11	for there is none to deliver him.”
PSA.71.12	O God, be not far from me;
PSA.71.12	O my God, make haste to help me!
PSA.71.13	May my accusers be put to shame and consumed;
PSA.71.13	with scorn and disgrace may they be covered
PSA.71.13	who seek my hurt.
PSA.71.14	But I will hope continually,
PSA.71.14	and will praise thee yet more and more.
PSA.71.15	My mouth will tell of thy righteous acts,
PSA.71.15	of thy deeds of salvation all the day,
PSA.71.15	for their number is past my knowledge.
PSA.71.16	With the mighty deeds of the Lord 
PSA.71.16	I will praise thy righteousness, thine alone.
PSA.71.17	O God, from my youth thou hast taught me,
PSA.71.17	and I still proclaim thy wondrous deeds.
PSA.71.18	So even to old age and gray hairs,
PSA.71.18	O God, do not forsake me,
PSA.71.18	till I proclaim thy might
PSA.71.18	to all the generations to come.
PSA.71.18	Thy power 
PSA.71.19	and thy righteousness, O God,
PSA.71.19	reach the high heavens.
PSA.71.19	Thou who hast done great things,
PSA.71.19	O God, who is like thee?
PSA.71.20	Thou who hast made me see many sore troubles
PSA.71.20	wilt revive me again;
PSA.71.20	from the depths of the earth
PSA.71.20	thou wilt bring me up again.
PSA.71.21	Thou wilt increase my honor,
PSA.71.21	and comfort me again.
PSA.71.22	I will also praise thee with the harp
PSA.71.22	for thy faithfulness, O my God;
PSA.71.22	I will sing praises to thee with the lyre,
PSA.71.22	O Holy One of Israel.
PSA.71.23	My lips will shout for joy,
PSA.71.23	when I sing praises to thee;
PSA.71.23	my soul also, which thou hast rescued.
PSA.71.24	And my tongue will talk of thy righteous help
PSA.71.24	all the day long,
