GEN.1.1	In the beginning
PRO.10.22	The 
PRO.10.22	and he adds no painful effort to it.
PRO.10.23	As shameful conduct is pleasure for a fool,
PRO.10.23	so wisdom is for a person of understanding.
PRO.10.24	What the wicked dreads will come to him,
PRO.10.24	but what the righteous desire will be given to them.
PRO.10.25	When the whirlwind passes,
PRO.10.25	the wicked are no more,
PRO.10.25	but the righteous are secure forever.
PRO.10.26	Like vinegar to the teeth and smoke to the eyes,
PRO.10.26	so the slacker is to the one who sends him on an errand.
PRO.10.27	The fear of the 
PRO.10.27	but the years of the wicked are cut short.
PRO.10.28	The hope of the righteous is joy,
PRO.10.28	but the expectation of the wicked will perish.
PRO.10.29	The way of the 
PRO.10.29	but destruction awaits the malicious.
PRO.10.30	The righteous will never be shaken,
PRO.10.30	but the wicked will not remain on the earth.
PRO.10.31	The mouth of the righteous produces wisdom,
PRO.10.31	but a perverse tongue will be cut out.
PRO.10.32	The lips of the righteous know what is appropriate,
PRO.10.32	but the mouth of the wicked, only what is perverse.
PRO.11.1	Dishonest scales are detestable to the 
PRO.11.1	but an accurate weight is his delight.
PRO.11.2	When arrogance comes, disgrace follows,
PRO.11.2	but with humility comes wisdom.
PRO.11.3	The integrity of the upright guides them,
PRO.11.3	but the perversity of the treacherous destroys them.
PRO.11.4	Wealth is not profitable on a day of wrath,
PRO.11.4	but righteousness rescues from death.
PRO.11.5	The righteousness of the blameless clears his path,
PRO.11.5	but the wicked person will fall because of his wickedness.
PRO.11.6	The righteousness of the upright rescues them,
PRO.11.6	but the treacherous are trapped by their own desires.
PRO.11.7	When the wicked person dies,
PRO.11.7	his expectation comes to nothing,
PRO.11.7	and hope placed in wealth
PRO.11.8	The righteous one is rescued from trouble;
PRO.11.8	in his place, the wicked one goes in.
PRO.11.9	With his mouth the ungodly destroys his neighbor,
PRO.11.9	but through knowledge the righteous are rescued.
PRO.11.10	When the righteous thrive, a city rejoices;
PRO.11.10	when the wicked die, there is joyful shouting.
PRO.11.11	A city is built up by the blessing of the upright,
PRO.11.11	but it is torn down by the mouth of the wicked.
PRO.11.12	Whoever shows contempt for his neighbor lacks sense,
PRO.11.12	but a person with understanding keeps silent.
PRO.11.13	A gossip goes around revealing a secret,
PRO.11.13	but a trustworthy person keeps a confidence.
PRO.11.14	Without guidance, a people will fall,
PRO.11.14	but with many counselors there is deliverance.
PRO.11.15	If someone puts up security for a stranger,
PRO.11.15	he will suffer for it,
PRO.11.15	but the one who hates such agreements is protected.
PRO.11.16	A gracious woman gains honor,
PRO.11.16	but violent
PRO.11.17	A kind man benefits himself,
PRO.11.17	but a cruel person brings ruin on himself.
PRO.11.18	The wicked person earns an empty wage,
PRO.11.18	but the one who sows righteousness, a true reward.
PRO.11.19	Genuine righteousness leads to life,
PRO.11.19	but pursuing evil leads to death.
PRO.11.20	Those with twisted minds are detestable to the 
PRO.11.20	but those with blameless conduct are his delight.
PRO.11.21	Be assured
PRO.11.21	will not go unpunished,
PRO.11.21	but the offspring of the righteous will escape.
PRO.11.22	A beautiful woman who rejects good sense
PRO.11.22	is like a gold ring in a pig’s snout.
PRO.11.23	The desire of the righteous turns out well,
PRO.11.23	but the hope of the wicked leads to wrath.
PRO.11.24	One person gives freely,
PRO.11.24	yet gains more;
PRO.11.24	another withholds what is right,
PRO.11.24	only to become poor.
PRO.11.25	A generous person will be enriched,
PRO.11.25	and the one who gives a drink of water
PRO.11.25	will receive water.
PRO.11.26	People will curse
PRO.11.26	but a blessing will come to the one who sells it.
PRO.11.27	The one who searches for what is good
PRO.11.27	but if someone looks for trouble, it will come to him.
PRO.11.28	Anyone trusting in his riches will fall,
PRO.11.28	but the righteous will flourish like foliage.
PRO.11.29	The one who brings ruin on his household
PRO.11.29	will inherit the wind,
PRO.11.29	and a fool will be a slave
PRO.11.29	to someone whose heart is wise.
PRO.11.30	The fruit of the righteous is a tree of life,
PRO.11.30	and a wise person captivates people.  
PRO.11.31	If the righteous will be repaid on earth,
PRO.11.31	how much more the wicked and sinful.
PRO.12.1	Whoever loves discipline loves knowledge,
PRO.12.1	but one who hates correction is stupid.
PRO.12.2	One who is good obtains favor from the 
PRO.12.2	but he condemns a person who schemes.
PRO.12.3	No one can be made secure by wickedness,
PRO.12.3	but the root of the righteous is immovable.
PRO.12.4	A wife of noble character
PRO.12.4	but a wife who causes shame
PRO.12.4	is like rottenness in his bones.
PRO.12.5	The thoughts of the righteous are just,
PRO.12.5	but guidance from the wicked is deceitful.
PRO.12.6	The words of the wicked are a deadly ambush,
PRO.12.6	but the speech of the upright rescues them.
PRO.12.7	The wicked are overthrown and perish,
PRO.12.7	but the house of the righteous will stand.
PRO.12.8	A man is praised for his insight,
PRO.12.8	but a twisted mind is despised.
PRO.12.9	Better to be disregarded, yet have a servant,
PRO.12.9	than to act important but have no food.
PRO.12.10	The righteous cares about his animal’s health,
PRO.12.10	but even the merciful acts of the wicked are cruel.
PRO.12.11	The one who works his land will have plenty of food,
PRO.12.11	but whoever chases fantasies lacks sense.
PRO.12.12	The wicked desire what evil people have caught,
PRO.12.12	but the root of the righteous is productive.
PRO.12.13	By rebellious speech an evil person is trapped,
PRO.12.13	but a righteous person escapes from trouble.
PRO.12.14	A person will be satisfied with good
PRO.12.14	by the fruit of his mouth,
PRO.12.14	and the work of a person’s hands will reward him.
PRO.12.15	A fool’s way is right in his own eyes,
PRO.12.15	but whoever listens to counsel is wise.
PRO.12.16	A fool’s displeasure is known at once,
PRO.12.16	but whoever ignores an insult is sensible.
PRO.12.17	Whoever speaks the truth declares what is right,
PRO.12.17	but a false witness speaks deceit.
PRO.12.18	There is one who speaks rashly,
PRO.12.18	like a piercing sword;
PRO.12.18	but the tongue of the wise brings healing.
PRO.12.19	Truthful lips endure forever,
PRO.12.19	but a lying tongue, only a moment.
PRO.12.20	Deceit is in the hearts of those who plot evil,
PRO.12.20	but those who promote peace have joy.
PRO.12.21	No disaster overcomes the righteous,
PRO.12.21	but the wicked are full of misery.
PRO.12.22	Lying lips are detestable to the 
PRO.12.22	but faithful people are his delight.
PRO.12.23	A shrewd person conceals knowledge,
PRO.12.23	but a foolish heart publicizes stupidity.
PRO.12.24	The diligent hand will rule,
PRO.12.24	but laziness will lead to forced labor.
PRO.12.25	Anxiety in a person’s heart weighs it down,
PRO.12.25	but a good word cheers it up.
PRO.12.26	A righteous person is careful in dealing with his neighbor,
PRO.12.26	but the ways of the wicked lead them astray.
PRO.12.27	A lazy hunter doesn’t roast his game,
PRO.12.27	but to a diligent person, his wealth is precious.
PRO.12.28	There is life in the path of righteousness,
PRO.12.28	and in its path there is no death.
PRO.13.1	A wise son responds to his father’s discipline,
PRO.13.1	but a mocker doesn’t listen to rebuke.
PRO.13.2	From the fruit of his mouth,
PRO.13.2	a person will enjoy good things,
PRO.13.2	but treacherous people have an appetite for violence.
PRO.13.3	The one who guards his mouth protects his life;
PRO.13.3	the one who opens his lips invites his own ruin.
PRO.13.4	The slacker craves, yet has nothing,
PRO.13.4	but the diligent is fully satisfied.
PRO.13.5	The righteous hate lying,
PRO.13.5	but the wicked bring disgust and shame.
PRO.13.6	Righteousness guards people of integrity,
PRO.13.6	but wickedness undermines the sinner.
PRO.13.7	One person pretends to be rich but has nothing;
PRO.13.7	another pretends to be poor but has abundant wealth.
PRO.13.8	Riches are a ransom for a person’s life,
PRO.13.8	but a poor person hears no threat.
PRO.13.9	The light of the righteous shines brightly,
PRO.13.9	but the lamp of the wicked is put out.
PRO.13.10	Arrogance leads to nothing but strife,
PRO.13.10	but wisdom is gained by those who take advice.
PRO.13.11	Wealth obtained by fraud will dwindle,
PRO.13.11	but whoever earns it through labor
PRO.13.12	Hope delayed makes the heart sick,
PRO.13.12	but desire fulfilled is a tree of life.
PRO.13.13	The one who has contempt for instruction will pay the penalty,
PRO.13.13	but the one who respects a command will be rewarded.
PRO.13.14	A wise person’s instruction is a fountain of life,
PRO.13.14	turning people away from the snares of death.
PRO.13.15	Good sense wins favor,
PRO.13.15	but the way of the treacherous never changes.
PRO.13.16	Every sensible person acts knowledgeably,
PRO.13.16	but a fool displays his stupidity.
PRO.13.17	A wicked envoy falls into trouble,
PRO.13.17	but a trustworthy courier brings healing.
PRO.13.18	Poverty and disgrace come to those
PRO.13.18	who ignore discipline,
PRO.13.18	but the one who accepts correction will be honored.
PRO.13.19	Desire fulfilled is sweet to the taste,
PRO.13.19	but to turn from evil is detestable to fools.
PRO.13.20	The one who walks with the wise will become wise,
PRO.13.20	but a companion of fools will suffer harm.
PRO.13.21	Disaster pursues sinners,
PRO.13.21	but good rewards the righteous.
PRO.13.22	A good man leaves an inheritance to his
PRO.13.22	but the sinner’s wealth is stored up for the righteous.
PRO.13.23	The uncultivated field of the poor yields abundant food,
PRO.13.23	but without justice, it is swept away.
PRO.13.24	The one who will not use the rod hates his son,
PRO.13.24	but the one who loves him disciplines him diligently.
PRO.13.25	A righteous person eats until he is satisfied,
PRO.13.25	but the stomach of the wicked is empty.
PRO.14.1	Every wise woman builds her house,
PRO.14.1	but a foolish one tears it down with her own hands.
PRO.14.2	Whoever lives with integrity fears the 
PRO.14.2	but the one who is devious in his ways despises him.
PRO.14.3	The proud speech of a fool brings a rod of discipline,
PRO.14.3	but the lips of the wise protect them.
PRO.14.4	Where there are no oxen, the feeding trough is empty,
PRO.14.4	but an abundant harvest comes through the strength of an ox.
PRO.14.5	An honest witness does not deceive,
PRO.14.5	but a dishonest witness utters lies.
PRO.14.6	A mocker seeks wisdom and doesn’t find it,
PRO.14.6	but knowledge comes easily to the perceptive.
PRO.14.7	Stay away from a foolish person;
PRO.14.7	you will gain no knowledge from his speech.
PRO.14.8	The sensible person’s wisdom is to consider his way,
PRO.14.8	but the stupidity of fools deceives them.
PRO.14.9	Fools mock at making reparation,
PRO.14.9	but there is goodwill among the upright.
PRO.14.10	The heart knows its own bitterness,
PRO.14.10	and no outsider shares in its joy.
PRO.14.11	The house of the wicked will be destroyed,
PRO.14.11	but the tent of the upright will flourish.
PRO.14.12	There is a way that seems right to a person,
PRO.14.12	but its end is the way to death.
PRO.14.13	Even in laughter a heart may be sad,
PRO.14.13	and joy may end in grief.
PRO.14.14	The disloyal one will get what his conduct deserves,
PRO.14.14	and a good one, what his deeds deserve.
PRO.14.15	The inexperienced one believes anything,
PRO.14.15	but the sensible one watches
PRO.14.16	A wise person is cautious and turns from evil,
PRO.14.16	but a fool is easily angered and is careless.
PRO.14.17	A quick-tempered person acts foolishly,
PRO.14.17	and one who schemes is hated.
PRO.14.18	The inexperienced inherit foolishness,
PRO.14.18	but the sensible are crowned with knowledge.
PRO.14.19	The evil bow before those who are good,
PRO.14.19	and the wicked, at the gates of the righteous.
PRO.14.20	A poor person is hated even by his neighbor,
PRO.14.20	but there are many who love the rich.
PRO.14.21	The one who despises his neighbor sins,
PRO.14.21	but whoever shows kindness to the poor will be happy.
PRO.14.22	Don’t those who plan evil go astray?
PRO.14.22	But those who plan good find loyalty and faithfulness.
PRO.14.23	There is profit in all hard work,
PRO.14.23	but endless talk
PRO.14.24	The crown of the wise is their wealth,
PRO.14.24	but the foolishness of fools produces foolishness.
PRO.14.25	A truthful witness rescues lives,
PRO.14.25	but one who utters lies is deceitful.
PRO.14.26	In the fear of the 
PRO.14.26	and his children have a refuge.
PRO.14.27	The fear of the 
PRO.14.27	turning people away from the snares of death.
PRO.14.28	A large population is a king’s splendor,
PRO.14.28	but a shortage of people is a ruler’s devastation.
PRO.14.29	A patient person shows great understanding,
PRO.14.29	but a quick-tempered one promotes foolishness.
PRO.14.30	A tranquil heart is life to the body,
PRO.14.30	but jealousy is rottenness to the bones.
PRO.14.31	The one who oppresses the poor person insults his Maker,
PRO.14.31	but one who is kind to the needy honors him.
PRO.14.32	The wicked one is thrown down by his own sin,
PRO.14.32	but the righteous one has a refuge in his death.
PRO.14.33	Wisdom resides in the heart of the discerning;
PRO.14.33	she is known
PRO.14.34	Righteousness exalts a nation,
PRO.14.34	but sin is a disgrace to any people.
PRO.14.35	A king favors a prudent servant,
PRO.14.35	but his anger falls on a disgraceful one.
PRO.15.1	A gentle answer turns away anger,
PRO.15.1	but a harsh word stirs up wrath.
PRO.15.2	The tongue of the wise makes knowledge attractive,
PRO.15.2	but the mouth of fools blurts out foolishness.
PRO.15.3	The eyes of the 
PRO.15.3	observing the wicked and the good.
PRO.15.4	The tongue that heals is a tree of life,
PRO.15.4	but a devious tongue
PRO.15.5	A fool despises his father’s discipline,
PRO.15.5	but a person who accepts correction is sensible.
PRO.15.6	The house of the righteous has great wealth,
PRO.15.6	but trouble accompanies the income of the wicked.
PRO.15.7	The lips of the wise broadcast knowledge,
PRO.15.7	but not so the heart of fools.
PRO.15.8	The sacrifice of the wicked is detestable to the 
PRO.15.8	but the prayer of the upright is his delight.
PRO.15.9	The 
PRO.15.9	but he loves the one who pursues righteousness.
PRO.15.10	Discipline is harsh for the one who leaves the path;
PRO.15.10	the one who hates correction will die.
PRO.15.11	Sheol and Abaddon lie open before the 
PRO.15.11	how much more, human hearts.
PRO.15.12	A mocker doesn’t love one who corrects him;
PRO.15.12	he will not consult the wise.
PRO.15.13	A joyful heart makes a face cheerful,
PRO.15.13	but a sad heart produces a broken spirit.
PRO.15.14	A discerning mind seeks knowledge,
PRO.15.14	but the mouth of fools feeds on foolishness.
PRO.15.15	All the days of the oppressed are miserable,
PRO.15.15	but a cheerful heart has a continual feast.
PRO.15.16	Better a little with the fear of the 
PRO.15.16	than great treasure with turmoil.
PRO.15.17	Better a meal of vegetables where there is love
PRO.15.17	than a fattened ox
PRO.15.18	A hot-tempered person stirs up conflict,
PRO.15.18	but one slow to anger
PRO.15.19	A slacker’s way is like a thorny hedge,
PRO.15.19	but the path of the upright is a highway.
PRO.15.20	A wise son brings joy to his father,
PRO.15.20	but a foolish man despises his mother.
PRO.15.21	Foolishness brings joy to one without sense,
PRO.15.21	but a person with understanding walks a straight path.
PRO.15.22	Plans fail when there is no counsel,
PRO.15.22	but with many advisers they succeed.
PRO.15.23	A person takes joy in giving an answer;
PRO.15.23	and a timely word — how good that is!
PRO.15.24	For the prudent the path of life leads upward,
PRO.15.24	so that he may avoid going down to Sheol.
PRO.15.25	The 
PRO.15.25	but he protects the widow’s territory.
PRO.15.26	The 
PRO.15.26	but pleasant words are pure.
PRO.15.27	The one who profits dishonestly
PRO.15.27	but the one who hates bribes will live.
PRO.15.28	The mind of the righteous person thinks before answering,
PRO.15.28	but the mouth of the wicked blurts out evil things.
PRO.15.29	The 
PRO.15.29	but he hears the prayer of the righteous.
PRO.15.30	Bright eyes cheer the heart;
PRO.15.30	good news strengthens
PRO.15.31	One who
PRO.15.31	will be at home among the wise.
PRO.15.32	Anyone who ignores discipline despises himself,
PRO.15.32	but whoever listens to correction acquires good sense.
PRO.15.33	The fear of the 
PRO.15.33	and humility comes before honor.
PRO.16.1	The reflections of the heart belong to mankind,
PRO.16.1	but the answer of the tongue is from the 
PRO.16.2	All a person’s ways seem right to him,
PRO.16.2	but the 
PRO.16.3	Commit your activities to the 
PRO.16.3	and your plans will be established.
PRO.16.4	The 
PRO.16.4	even the wicked for the day of disaster.
PRO.16.5	Everyone with a proud heart is detestable to the 
PRO.16.5	be assured,
PRO.16.6	Iniquity is atoned for by loyalty and faithfulness,
PRO.16.6	and one turns from evil by the fear of the 
PRO.16.7	When a person’s ways please the 
PRO.16.7	he makes even his enemies to be at peace with him.
PRO.16.8	Better a little with righteousness
PRO.16.8	than great income with injustice.
PRO.16.9	A person’s heart plans his way,
PRO.16.9	but the 
PRO.16.10	God’s verdict is on the lips of a king;
PRO.16.10	his mouth should not give an unfair judgment.
PRO.16.11	Honest balances and scales are the 
PRO.16.11	all the weights in the bag are his concern.
PRO.16.12	Wicked behavior is detestable to kings,
PRO.16.12	since a throne is established through righteousness.
PRO.16.13	Righteous lips are a king’s delight,
PRO.16.13	and he loves one who speaks honestly.
PRO.16.14	A king’s fury is a messenger of death,
PRO.16.14	but a wise person appeases it.
PRO.16.15	When a king’s face lights up, there is life;
PRO.16.15	his favor is like a cloud with spring rain.
PRO.16.16	Get wisdom —
PRO.16.16	how much better it is than gold!
PRO.16.16	And get understanding —
PRO.16.16	it is preferable to silver.
PRO.16.17	The highway of the upright
PRO.16.17	the one who guards his way protects his life.
PRO.16.18	Pride comes before destruction,
PRO.16.18	and an arrogant spirit before a fall.
PRO.16.19	Better to be lowly of spirit with the humble
PRO.16.19	than to divide plunder with the proud.
PRO.16.20	The one who understands a matter finds success,
PRO.16.20	and the one who trusts in the 
PRO.16.21	Anyone with a wise heart is called discerning,
PRO.16.21	and pleasant speech
PRO.16.22	Insight is a fountain of life
PRO.16.22	but the discipline of fools is folly.
PRO.16.23	The heart of a wise person instructs his mouth;
PRO.16.23	it adds learning to his speech.
PRO.16.24	Pleasant words are a honeycomb:
PRO.16.24	sweet to the taste
PRO.16.25	There is a way that seems right to a person,
PRO.16.25	but its end is the way to death.
PRO.16.26	A worker’s appetite works for him
PRO.16.26	because his hunger
PRO.16.27	A worthless person digs up evil,
PRO.16.27	and his speech is like a scorching fire.
PRO.16.28	A contrary person spreads conflict,
PRO.16.28	and a gossip separates close friends.
PRO.16.29	A violent person lures his neighbor,
PRO.16.29	leading him on a path that is not good.
PRO.16.30	The one who narrows his eyes is planning deceptions;
PRO.16.30	the one who compresses his lips brings about evil.
PRO.16.31	Gray hair is a glorious crown;
PRO.16.31	it is found in the ways of righteousness.
PRO.16.32	Patience is better than power,
PRO.16.32	and controlling one’s emotions,
PRO.16.33	The lot is cast into the lap,
PRO.16.33	but its every decision is from the 
PRO.17.1	Better a dry crust with peace
PRO.17.1	than a house full of feasting with strife.
PRO.17.2	A prudent servant will rule over a disgraceful son
PRO.17.2	and share an inheritance among brothers.
PRO.17.3	A crucible for silver, and a smelter for gold,
PRO.17.3	and the 
PRO.17.4	A wicked person listens to malicious talk;
PRO.17.4	a liar pays attention to a destructive tongue.
PRO.17.5	The one who mocks the poor insults his Maker,
PRO.17.5	and one who rejoices over calamity
PRO.17.5	will not go unpunished.
PRO.17.6	Grandchildren are the crown of the elderly,
PRO.17.6	and the pride of children is their fathers.
PRO.17.7	Eloquent words are not appropriate on a fool’s lips;
PRO.17.7	how much worse are lies for a ruler.
PRO.17.8	A bribe
PRO.17.8	wherever he turns, he succeeds.
PRO.17.9	Whoever conceals an offense promotes love,
PRO.17.9	but whoever gossips about it separates friends.
PRO.17.10	A rebuke cuts into a perceptive person
PRO.17.10	more than a hundred lashes into a fool.
PRO.17.11	An evil person desires only rebellion;
PRO.17.11	a cruel messenger
PRO.17.12	Better for a person to meet a bear robbed of her cubs
PRO.17.12	than a fool in his foolishness.
PRO.17.13	If anyone returns evil for good,
PRO.17.13	evil will never depart from his house.
PRO.17.14	To start a conflict is to release a flood;
PRO.17.14	stop the dispute before it breaks out.
PRO.17.15	Acquitting the guilty and condemning the just
PRO.17.15	both are detestable to the 
PRO.17.16	Why does a fool have money in his hand
PRO.17.16	with no intention of buying wisdom?
PRO.17.17	A friend loves at all times,
PRO.17.17	and a brother is born for a difficult time.
PRO.17.18	One without sense enters an agreement
PRO.17.18	and puts up security for his friend.
PRO.17.19	One who loves to offend loves strife;
PRO.17.19	one who builds a high threshold invites injury.
PRO.17.20	One with a twisted mind will not succeed,
PRO.17.20	and one with deceitful speech will fall into ruin.
PRO.17.21	A man fathers a fool to his own sorrow;
PRO.17.21	the father of a fool has no joy.
PRO.17.22	A joyful heart is good medicine,
PRO.17.22	but a broken spirit dries up the bones.
PRO.17.23	A wicked person secretly takes a bribe
PRO.17.23	to subvert the course of justice.
PRO.17.24	Wisdom is the focus of the perceptive,
PRO.17.24	but a fool’s eyes
PRO.17.25	A foolish son is grief to his father
PRO.17.25	and bitterness to the one who bore him.
PRO.17.26	It is certainly not good to fine an innocent person
PRO.17.26	or to beat a noble for his honesty.
PRO.17.27	The one who has knowledge restrains his words,
PRO.17.27	and one who keeps a cool head
PRO.17.27	is a person of understanding.
PRO.17.28	Even a fool is considered wise when he keeps silent —
PRO.17.28	discerning, when he seals his lips.
PRO.18.1	One who isolates himself pursues selfish desires;
PRO.18.1	he rebels against all sound wisdom.
PRO.18.2	A fool does not delight in understanding,
PRO.18.2	but only wants to show off his opinions.
PRO.18.3	When a wicked person comes, contempt also comes,
PRO.18.3	and along with dishonor, derision.
PRO.18.4	The words of a person’s mouth are deep waters,
PRO.18.4	a flowing river, a fountain of wisdom.
PRO.18.5	It is not good to show partiality to the guilty,
PRO.18.5	denying an innocent person justice.
PRO.18.6	A fool’s lips lead to strife,
PRO.18.6	and his mouth provokes a beating.
PRO.18.7	A fool’s mouth is his devastation,
PRO.18.7	and his lips are a trap for his life.
PRO.18.8	A gossip’s words are like choice food
PRO.18.8	that goes down to one’s innermost being.
PRO.18.9	The one who is lazy in his work
PRO.18.9	is brother to a vandal.
PRO.18.10	The name of the 
PRO.18.10	the righteous run to it and are protected.
PRO.18.11	The wealth of the rich is his fortified city;
PRO.18.11	in his imagination it is like a high wall.
PRO.18.12	Before his downfall a person’s heart is proud,
PRO.18.12	but humility comes before honor.
PRO.18.13	The one who gives an answer before he listens —
PRO.18.13	this is foolishness and disgrace for him.
PRO.18.14	A person’s spirit can endure sickness,
PRO.18.14	but who can survive a broken spirit?
PRO.18.15	The mind of the discerning acquires knowledge,
PRO.18.15	and the ear of the wise seeks it.
PRO.18.16	A person’s gift opens doors
PRO.18.16	and brings him before the great.
PRO.18.17	The first to state his case seems right
PRO.18.17	until another comes and cross-examines him.
PRO.18.18	Casting the lot
PRO.18.18	and separates powerful opponents.
PRO.18.19	An offended brother is harder to reach
PRO.18.19	than a fortified city,
PRO.18.19	and quarrels are like the bars of a fortress.
PRO.18.20	From the fruit of a person’s mouth his stomach is satisfied;
PRO.18.20	he is filled with the product of his lips.
PRO.18.21	Death and life are in the power of the tongue,
PRO.18.21	and those who love it will eat its fruit.
PRO.18.22	A man who finds a wife finds a good thing
PRO.18.22	and obtains favor from the 
PRO.18.23	The poor person pleads,
PRO.18.23	but the rich one answers roughly.
PRO.18.24	One with many friends may be harmed,
PRO.18.24	but there is a friend who stays closer than a brother.
PRO.19.1	Better a poor person who lives with integrity
PRO.19.1	than someone who has deceitful lips and is a fool.
PRO.19.2	Even zeal is not good without knowledge,
PRO.19.2	and the one who acts hastily
PRO.19.3	A person’s own foolishness leads him astray,
PRO.19.3	yet his heart rages against the 
PRO.19.4	Wealth attracts many friends,
PRO.19.4	but a poor person is separated from his friend.
PRO.19.5	A false witness will not go unpunished,
PRO.19.5	and one who utters lies will not escape.
PRO.19.6	Many seek a ruler’s favor,
PRO.19.6	and everyone is a friend of one who gives gifts.
PRO.19.7	All the brothers of a poor person hate him;
PRO.19.7	how much more do his friends
PRO.19.7	keep their distance from him!
PRO.19.7	He may pursue them with words,
PRO.19.7	but they are not there.
PRO.19.8	The one who acquires good sense
PRO.19.8	one who safeguards understanding finds success.
PRO.19.9	A false witness will not go unpunished,
PRO.19.9	and one who utters lies perishes.
PRO.19.10	Luxury is not appropriate for a fool
PRO.19.10	how much less for a slave to rule over princes!
PRO.19.11	A person’s insight gives him patience,
PRO.19.11	and his virtue is to overlook an offense.
PRO.19.12	A king’s rage is like the roaring of a lion,
PRO.19.12	but his favor is like dew on the grass.
PRO.19.13	A foolish son is his father’s ruin,
PRO.19.13	and a wife’s nagging is an endless dripping.
PRO.19.14	A house and wealth are inherited from fathers,
PRO.19.14	but a prudent wife is from the 
PRO.19.15	Laziness induces deep sleep,
PRO.19.15	and a lazy person will go hungry.
PRO.19.16	The one who keeps commands preserves himself;
PRO.19.16	one who disregards
PRO.19.17	Kindness to the poor is a loan to the 
PRO.19.17	and he will give a reward to the lender.
PRO.19.18	Discipline your son while there is hope;
PRO.19.18	don’t set your heart on being the cause of his death.
PRO.19.19	A person with intense anger bears the penalty;
PRO.19.19	if you rescue him, you’ll have to do it again.
PRO.19.20	Listen to counsel and receive instruction
PRO.19.20	so that you may be wise later in life.
PRO.19.21	Many plans are in a person’s heart,
PRO.19.21	but the 
PRO.19.22	What is desirable in a person is his fidelity;
PRO.19.22	better to be a poor person than a liar.
PRO.19.23	The fear of the 
PRO.19.23	one will sleep at night
PRO.19.24	The slacker buries his hand in the bowl;
PRO.19.24	he doesn’t even bring it back to his mouth!
PRO.19.25	Strike a mocker, and the inexperienced learn a lesson;
PRO.19.25	rebuke the discerning, and he gains knowledge.
PRO.19.26	The one who plunders his father and evicts his mother
PRO.19.26	is a disgraceful and shameful son.
PRO.19.27	If you stop listening to correction, my son,
PRO.19.27	you will stray from the words of knowledge.
PRO.19.28	A worthless witness mocks justice,
PRO.19.28	and a wicked mouth swallows iniquity.
PRO.19.29	Judgments are prepared for mockers,
PRO.19.29	and beatings for the backs of fools.
PRO.20.1	Wine is a mocker,
PRO.20.1	whoever goes astray
PRO.20.2	A king’s terrible wrath is like the roaring of a lion;
PRO.20.2	anyone who provokes him endangers himself.
PRO.20.3	Honor belongs to the person who ends a dispute,
PRO.20.3	but any fool can get himself into a quarrel.
PRO.20.4	The slacker does not plow during planting season;
PRO.20.4	at harvest time he looks,
PRO.20.5	Counsel in a person’s heart is deep water;
PRO.20.5	but a person of understanding draws it out.
PRO.20.6	Many a person proclaims his own loyalty,
PRO.20.6	but who can find a trustworthy person?
PRO.20.7	A righteous person acts with integrity;
PRO.20.7	his children who come after him will be happy.
PRO.20.8	A king sitting on a throne to judge
PRO.20.8	separates out all evil with his eyes.
PRO.20.9	Who can say, “I have kept my heart pure;
PRO.20.9	I am cleansed from my sin”?
PRO.20.10	Differing weights and varying measures
PRO.20.10	both are detestable to the 
PRO.20.11	Even a young man is known by his actions —
PRO.20.11	by whether his behavior is pure and upright.
PRO.20.12	The hearing ear and the seeing eye —
PRO.20.12	the 
PRO.20.13	Don’t love sleep, or you will become poor;
PRO.20.13	open your eyes, and you’ll have enough to eat.
PRO.20.14	“It’s worthless, it’s worthless!” the buyer says,
PRO.20.14	but after he is on his way, he gloats.
PRO.20.15	There is gold and a multitude of jewels,
PRO.20.15	but knowledgeable lips are a rare treasure.
PRO.20.16	Take his garment,
PRO.20.16	for he has put up security for a stranger;
PRO.20.16	get collateral if it is for foreigners.
PRO.20.17	Food gained by fraud is sweet to a person,
PRO.20.17	but afterward his mouth is full of gravel.
PRO.20.18	Finalize plans with counsel,
PRO.20.18	and wage war with sound guidance.
PRO.20.19	The one who reveals secrets is a constant gossip;
PRO.20.19	avoid someone with a big mouth.
PRO.20.20	Whoever curses his father or mother
PRO.20.20	his lamp will go out in deep darkness.
PRO.20.21	An inheritance gained prematurely
PRO.20.21	will not be blessed ultimately.
PRO.20.22	Don’t say, “I will avenge this evil!” 
PRO.20.22	Wait on the 
PRO.20.23	Differing weights
PRO.20.23	and dishonest scales
PRO.20.24	Even a courageous person’s steps are determined by the 
PRO.20.24	so how can anyone understand his own way?
PRO.20.25	It is a trap for anyone to dedicate something rashly
PRO.20.25	and later to reconsider his vows.
PRO.20.26	A wise king separates out the wicked
PRO.20.26	and drives the threshing wheel
PRO.20.27	The 
PRO.20.27	searching the innermost parts.
PRO.20.28	Loyalty and faithfulness guard a king;
PRO.20.28	through loyalty he maintains his throne.
PRO.20.29	The glory of young men is their strength,
PRO.20.29	and the splendor of old men is gray hair.
PRO.20.30	Lashes and wounds purge away evil,
PRO.20.30	and beatings cleanse the innermost parts.
PRO.21.1	A king’s heart is like channeled water in the 
PRO.21.1	He directs it wherever he chooses.
PRO.21.2	All a person’s ways seem right to him,
PRO.21.2	but the 
PRO.21.3	Doing what is righteous and just
PRO.21.3	is more acceptable to the 
PRO.21.4	The lamp that guides the wicked —
PRO.21.4	haughty eyes and an arrogant heart
PRO.21.5	The plans of the diligent certainly lead to profit,
PRO.21.5	but anyone who is reckless certainly becomes poor.
