GEN.1.1	In the beginning God created the heaven and the earth. 
PRO.16.12	For the throne is established by righteousness.
PRO.16.13	Righteous lips are the delight or kings;
PRO.16.13	And they love him that speaketh right.
PRO.16.14	The wrath of a king is 
PRO.16.14	But a wise man will pacify it.
PRO.16.15	In the light of the king's countenance is life;
PRO.16.15	And his favour is as a cloud of the latter rain.
PRO.16.16	How much better is it to get wisdom than gold!
PRO.16.16	Yea, to get understanding is rather to be chosen than silver.
PRO.16.17	The highway of the upright is to depart from evil:
PRO.16.17	He that keepeth his way preserveth his soul.
PRO.16.18	Pride 
PRO.16.18	And an haughty spirit before a fall.
PRO.16.19	Better it is to be of a lowly spirit with the poor,
PRO.16.19	Than to divide the spoil with the proud.
PRO.16.20	He that giveth heed unto the word shall find good:
PRO.16.20	And whoso trusteth in the 
PRO.16.21	The wise in heart shall be called prudent:
PRO.16.21	And the sweetness of the lips increaseth learning.
PRO.16.22	Understanding is a wellspring of life unto him that hath it:
PRO.16.22	But the correction of fools is 
PRO.16.23	The heart of the wise instructeth his mouth,
PRO.16.23	And addeth learning to his lips.
PRO.16.24	Pleasant words are 
PRO.16.24	Sweet to the soul, and health to the bones.
PRO.16.25	There is a way which seemeth right unto a man,
PRO.16.25	But the end thereof are the ways of death.
PRO.16.26	The appetite of the labouring man laboureth for him;
PRO.16.26	For his mouth craveth it of him.
PRO.16.27	A worthless man deviseth mischief:
PRO.16.27	And in his lips there is as a scorching fire.
PRO.16.28	A froward man scattereth abroad strife:
PRO.16.28	And a whisperer separateth chief friends.
PRO.16.29	A man of violence enticeth his neighbour,
PRO.16.29	And leadeth him in a way that is not good.
PRO.16.30	He that shutteth his eyes, 
PRO.16.30	He that compresseth his lips bringeth evil to pass.
PRO.16.31	The hoary head is a crown of glory,
PRO.16.31	It shall be found in the way of righteousness.
PRO.16.32	He that is slow to anger is better than the mighty;
PRO.16.32	And he that ruleth his spirit than he that taketh a city.
PRO.16.33	The lot is cast into the lap;
PRO.16.33	But the whole disposing thereof is of the 
PRO.17.1	Better is a dry morsel and quietness therewith,
PRO.17.1	Than an house full of feasting with strife.
PRO.17.2	A servant that dealeth wisely shall have rule over a son that causeth shame,
PRO.17.2	And shall have part in the inheritance among the brethren.
PRO.17.3	The fining pot is for silver, and the furnace for gold:
PRO.17.3	But the 
PRO.17.4	An evil-doer giveth heed to wicked lips;
PRO.17.5	Whoso mocketh the poor reproacheth his Maker:
PRO.17.6	Children's children are the crown of old men;
PRO.17.6	And the glory of children are their fathers.
PRO.17.7	Excellent speech becometh not a fool:
PRO.17.7	Much less do lying lips a prince.
PRO.17.8	A gift is 
PRO.17.8	Whithersoever it turneth, it prospereth.
PRO.17.9	He that covereth a transgression seeketh love:
PRO.17.9	But he that harpeth on a matter separateth chief friends.
PRO.17.10	A rebuke entereth deeper into one that hath understanding
PRO.17.10	Than an hundred stripes into a fool.
PRO.17.11	An evil man seeketh only rebellion;
PRO.17.11	Therefore a cruel messenger shall be sent against him.
PRO.17.12	Let a bear robbed of her whelps meet a man,
PRO.17.12	Rather than a fool in his folly.
PRO.17.13	Whoso rewardeth evil for good,
PRO.17.13	Evil shall not depart from his house.
PRO.17.14	The beginning of strife is 
PRO.17.14	Therefore leave off contention, before there be quarrelling.
PRO.17.15	He that justifieth the wicked, and he that condemneth the righteous,
PRO.17.15	Both of them alike are an abomination to the 
PRO.17.16	Wherefore is there a price in the hand of a fool to buy wisdom,
PRO.17.16	Seeing he hath no understanding?
PRO.17.17	A friend loveth at all times,
PRO.17.17	And a brother is born for adversity.
PRO.17.18	A man void of understanding striketh hands,
PRO.17.18	And becometh surety in the presence of his neighbour.
PRO.17.19	He loveth transgression that loveth strife:
PRO.17.19	He that raiseth high his gate seeketh destruction.
PRO.17.20	He that hath a froward heart findeth no good:
PRO.17.20	And he that hath a perverse tongue falleth into mischief.
PRO.17.21	He that begetteth a fool 
PRO.17.21	And the father of a fool hath no joy.
PRO.17.22	A merry heart is a good medicine:
PRO.17.22	But a broken spirit drieth up the bones.
PRO.17.23	A wicked man taketh a gift out of the bosom,
PRO.17.23	To pervert the ways of judgement.
PRO.17.24	Wisdom is before the face of him that hath understanding:
PRO.17.24	But the eyes of a fool are in the ends of the earth.
PRO.17.25	A foolish son is a grief to his father,
PRO.17.25	And bitterness to her that bare him.
PRO.17.26	Also to punish the righteous is not good,
PRO.17.27	He that spareth his words hath knowledge:
PRO.17.27	And he that is of a cool spirit is a man of understanding.
PRO.17.28	Even a fool, when he holdeth his peace, is counted wise:
PRO.17.28	When he shutteth his lips, he is 
PRO.18.1	He that separateth himself seeketh 
PRO.18.1	And rageth against all sound wisdom.
PRO.18.2	A fool hath no delight in understanding,
PRO.18.2	But only that his heart may reveal itself.
PRO.18.3	When the wicked cometh, there cometh also contempt,
PRO.18.3	And with ignominy cometh reproach.
PRO.18.4	The words of a man's mouth are as deep waters;
PRO.18.4	The wellspring of wisdom is as a flowing brook.
PRO.18.5	To accept the person of the wicked is not good,
PRO.18.6	A fool's lips enter into contention,
PRO.18.6	And his mouth calleth for stripes.
PRO.18.7	A fool's mouth is his destruction,
PRO.18.7	And his lips are the snare of his soul.
PRO.18.8	The words of a whisperer are as dainty, morsels,
PRO.18.8	And they go down into the innermost parts of the belly.
PRO.18.9	He also that is slack in his work
PRO.18.9	Is brother to him that is a destroyer.
PRO.18.10	The name of the 
PRO.18.10	The righteous runneth into it, and is safe.
PRO.18.11	The rich man's wealth is his strong city,
PRO.18.11	And as an high wall in his own imagination.
PRO.18.12	Before destruction the heart of man is haughty,
PRO.18.12	And before honour 
PRO.18.13	He that giveth answer before he heareth,
PRO.18.13	It is folly and shame unto him.
PRO.18.14	The spirit of a man will sustain his infirmity;
PRO.18.14	But a broken spirit who can bear?
PRO.18.15	The heart of the prudent getteth knowledge;
PRO.18.15	And the ear of the wise seeketh knowledge.
PRO.18.16	A man's gift maketh room for him,
PRO.18.16	And bringeth him before great men.
PRO.18.17	He that pleadeth his cause first 
PRO.18.17	But his neighbour cometh and searcheth him out.
PRO.18.18	The lot causeth contentions to cease,
PRO.18.18	And parteth between the mighty.
PRO.18.19	A brother offended 
PRO.18.19	And 
PRO.18.20	A man's belly shall be filled with the fruit of his mouth;
PRO.18.20	With the increase of his lips shall he be satisfied.
PRO.18.21	Death and life are in the power of the tongue;
PRO.18.21	And they that love it shall eat the fruit thereof.
PRO.18.22	Whoso findeth a wife findeth a good thing,
PRO.18.22	And obtaineth favour of the 
PRO.18.23	The poor useth entreaties:
PRO.18.23	But the rich answereth roughly.
PRO.18.24	He that maketh many friends 
PRO.18.24	But there is a friend that sticketh closer than a brother.
PRO.19.1	Better is the poor that walketh in his integrity
PRO.19.1	Than he that perverse in his lips and is a fool.
PRO.19.2	Also, that the soul be without knowledge is not good;
PRO.19.2	And he that hasteth with his feet sinneth.
PRO.19.3	The foolishness of man subverteth his way;
PRO.19.3	And his heart fretteth against the 
PRO.19.4	Wealth addeth many friends:
PRO.19.4	But the poor is separated from his friend.
PRO.19.5	A false witness shall not be unpunished;
PRO.19.5	And he that uttereth lies shall not escape.
PRO.19.6	Many will entreat the favour of the liberal man:
PRO.19.6	And every man is a friend to him that giveth gifts.
PRO.19.7	All the brethren of the poor do hate him:
PRO.19.7	How much more do his friends go far from him!
PRO.19.7	He pursueth 
PRO.19.8	He that getteth wisdom loveth his own soul:
PRO.19.8	He that keepeth understanding shall find good.
PRO.19.9	A false witness shall not be unpunished;
PRO.19.9	And he that uttereth lies shall perish.
PRO.19.10	Delicate living is not seemly for a fool;
PRO.19.10	Much less for a servant to have rule over princes.
PRO.19.11	The discretion of a man maketh him slow to anger;
PRO.19.11	And it is his glory to pass over a transgression.
PRO.19.12	The king's wrath is as the roaring of a lion;
PRO.19.12	But his favour is as dew upon the grass.
PRO.19.13	A foolish son is the calamity of his father:
PRO.19.13	And the contentions of a wife are a continual dropping.
PRO.19.14	House and riches are an inheritance from fathers:
PRO.19.14	But a prudent wife is from the 
PRO.19.15	Slothfulness casteth into a deep sleep;
PRO.19.15	And the idle soul shall suffer hunger.
PRO.19.16	He that keepeth the commandment keepeth his soul:
PRO.19.17	He that hath pity upon the poor lendeth unto the 
PRO.19.17	And his good deed will he pay him again.
PRO.19.18	Chasten thy son, seeing there is hope;
PRO.19.18	And set not thy heart on his destruction.
PRO.19.19	A man of great wrath shall bear the penalty:
PRO.19.19	For if thou deliver 
PRO.19.20	Hear counsel, and receive instruction,
PRO.19.20	That thou mayest be wise in thy latter end.
PRO.19.21	There are many devices in a man's heart;
PRO.19.21	But the counsel of the 
PRO.19.22	The desire of a man is 
PRO.19.22	And a poor man is better than a liar.
PRO.19.23	The fear of the 
PRO.19.23	And he 
PRO.19.23	He shall not be visited with evil.
PRO.19.24	The sluggard burieth his hand in the dish,
PRO.19.24	And will not so much as bring it to his mouth again.
PRO.19.25	Smite a scorner, and the simple will learn prudence:
PRO.19.25	And reprove one that hath understanding, 
PRO.19.26	He that spoileth his father, and chaseth away his mother,
PRO.19.26	Is a son that causeth shame and bringeth reproach.
PRO.19.27	Cease, my son, to hear instruction
PRO.19.28	A worthless witness mocketh at judgement:
PRO.19.28	And the mouth of the wicked swalloweth iniquity.
PRO.19.29	Judgments are prepared for scorners,
PRO.19.29	And stripes for the back of fools.
PRO.20.1	Wine is a mocker, strong drink a brawler;
PRO.20.1	And whosoever erreth thereby is not wise.
PRO.20.2	The terror of a king is as the roaring of a lion:
PRO.20.2	He that provoketh him to anger sinneth 
PRO.20.3	It is an honour for a man to keep aloof from strife:
PRO.20.3	But every fool will be quarrelling.
PRO.20.4	The slothful will not plow by reason of the winter;
PRO.20.4	Therefore he shall beg in harvest, and have nothing.
PRO.20.5	Counsel in the heart of man is 
PRO.20.5	But a man of understanding will draw it out.
PRO.20.6	Most men wilt proclaim every one his own kindness:
PRO.20.6	But a faithful man who can find?
PRO.20.7	A just man that walketh in his integrity,
PRO.20.7	Blessed are his children after him.
PRO.20.8	A king that sitteth on the throne of judgement
PRO.20.8	Scattereth away all evil with his eyes.
PRO.20.9	Who can say, I have made my heart clean,
PRO.20.9	I am pure from my sin?
PRO.20.10	Divers weights, and divers measures,
PRO.20.10	Both of them alike are an abomination to the 
PRO.20.11	Even a child maketh himself known by his doings,
PRO.20.11	Whether his work be pure, and whether it be right.
PRO.20.12	The hearing ear, and the seeing eye,
PRO.20.12	The 
PRO.20.13	Love not sleep, lest thou come to poverty;
PRO.20.13	Open thine eyes, 
PRO.20.14	It is naught, it is naught, saith the buyer:
PRO.20.14	But when he is gone his way, then he boasteth.
PRO.20.15	There is gold, and abundance of rubies:
PRO.20.15	But the lips of knowledge are a precious jewel.
PRO.20.16	Take his garment that is surety for a stranger;
PRO.20.16	And hold him in pledge 
PRO.20.17	Bread of falsehood is sweet to a man;
PRO.20.17	But afterwards his mouth shall be filled with gravel.
PRO.20.18	Every purpose is established by counsel:
PRO.20.18	And by wise guidance make thou war,
PRO.20.19	He that goeth about as a talebearer revealeth secrets:
PRO.20.19	Therefore meddle not with him that openeth wide his lips.
PRO.20.20	Whoso curseth his father or his mother,
PRO.20.20	His lamp shall be put out in the blackest darkness.
PRO.20.21	An inheritance 
PRO.20.21	But the end thereof shall not be blessed.
PRO.20.22	Say not thou, I will recompense evil:
PRO.20.22	Wait on the 
PRO.20.23	Divers weights are an abomination to the 
PRO.20.23	And a false balance is not good.
PRO.20.24	A man's goings are of the 
PRO.20.24	How then can man understand his way?
PRO.20.25	It is a snare to a man rashly to say, 
PRO.20.25	And after vows to make inquiry.
PRO.20.26	A wise king winnoweth the wicked,
PRO.20.26	And bringeth the 
PRO.20.27	The spirit of man is the lamp of the 
PRO.20.27	Searching all the innermost parts of the belly.
PRO.20.28	Mercy and truth preserve the king:
PRO.20.28	And his throne is upholden by mercy.
PRO.20.29	The glory of young men is their strength:
PRO.20.29	And the beauty of old men is the hoary head.
PRO.20.30	Stripes that wound cleanse away evil:
PRO.20.30	And strokes 
PRO.21.1	The king's heart is in the hand of the 
PRO.21.1	He turneth it whithersoever he will.
PRO.21.2	Every way of a man is right in his own eyes:
PRO.21.2	But the 
PRO.21.3	To do justice and judgement
PRO.21.3	Is more acceptable to the 
PRO.21.4	An high look, and a proud heart,
PRO.21.5	The thoughts of the diligent 
PRO.21.5	But every one that is hasty 
PRO.21.6	The getting of treasures by a lying tongue
PRO.21.6	Is a vapour driven to and fro; they 
PRO.21.7	The violence of the wicked shall sweep them away;
PRO.21.7	Because they refuse to do judgement.
PRO.21.8	The way of him that is laden with guilt is exceeding crooked:
PRO.21.8	But as for the pure, his work is right.
PRO.21.9	It is better to dwell in the corner of the housetop,
PRO.21.9	Than with a contentious woman in a wide house.
PRO.21.10	The soul of the wicked desireth evil:
PRO.21.10	His neighbour findeth no favour in his eyes.
PRO.21.11	When the scorner is punished, the simple is made wise:
PRO.21.11	And when the wise is instructed, he receiveth knowledge.
PRO.21.12	The righteous man considereth the house of the wicked;
PRO.21.13	Whoso stoppeth his ears at the cry of the poor,
PRO.21.13	He also shall cry, but shall not be heard.
PRO.21.14	A gift in secret pacifieth anger,
PRO.21.14	And a present in the bosom strong wrath.
PRO.21.15	It is joy to the righteous to do judgement;
PRO.21.15	But it is a destruction to the workers of iniquity.
PRO.21.16	The man that wandereth out of the way of understanding
PRO.21.16	Shall rest in the congregation of the dead.
PRO.21.17	He that loveth pleasure shall be a poor man:
PRO.21.17	He that loveth wine and oil shall not be rich.
PRO.21.18	The wicked is a ransom for the righteous;
PRO.21.18	And the treacherous 
PRO.21.19	It is better to dwell in a desert land,
PRO.21.19	Than with a contentious and fretful woman.
PRO.21.20	There is precious treasure and oil in the dwelling of the wise;
PRO.21.20	But a foolish man swalloweth it up.
PRO.21.21	He that followeth after righteousness and mercy
PRO.21.21	Findeth life, righteousness, and honour.
PRO.21.22	A wise man scaleth the city of the mighty,
PRO.21.22	And bringeth down the strength of the confidence thereof.
PRO.21.23	Whoso keepeth his mouth and his tongue
PRO.21.23	Keepeth his soul from troubles.
PRO.21.24	The proud and haughty man, scorner is his name,
PRO.21.24	He worketh in the arrogance of pride.
PRO.21.25	The desire of the slothful killeth him;
PRO.21.25	For his hands refuse to labour.
PRO.21.26	There is that coveteth greedily all the day long:
PRO.21.26	But the righteous giveth and withholdeth not.
PRO.21.27	The sacrifice of the wicked is an abomination:
PRO.21.27	How much more, when he bringeth it with a wicked mind!
PRO.21.28	A false witness shall perish:
PRO.21.28	But the man that heareth shall speak unchallenged.
PRO.21.29	A wicked man hardeneth his face:
PRO.21.29	But as for the upright, he ordereth his ways.
PRO.21.30	There is no wisdom nor understanding
PRO.21.30	Nor counsel against the 
PRO.21.31	The horse is prepared against the day of battle:
PRO.21.31	But victory is of the 
PRO.22.1	A 
PRO.22.2	The rich and the poor meet together:
PRO.22.2	The 
PRO.22.3	A prudent man seeth the evil, and hideth himself:
PRO.22.3	But the simple pass on, and suffer for it.
PRO.22.4	The reward of humility 
PRO.22.5	Thorns 
PRO.22.5	He that keepeth his soul shall be far from them.
PRO.22.6	Train up a child in the way he should go,
PRO.22.6	And even when he is old he will not depart from it.
PRO.22.7	The rich ruleth over the poor,
PRO.22.7	And the borrower is servant to the lender.
PRO.22.8	He that soweth iniquity shall reap calamity:
PRO.22.8	And the rod of his wrath shall fail.
PRO.22.9	He that hath a bountiful eye shall be blessed;
PRO.22.9	For he giveth of his bread to the poor.
PRO.22.10	Cast out the scorner, and contention shall go out;
PRO.22.10	Yea, strife and ignominy shall cease.
PRO.22.11	He that loveth pureness of heart,
PRO.22.12	The eyes of the 
PRO.22.12	But he overthroweth the words of the treacherous man.
PRO.22.13	The sluggard saith, There is a lion without:
PRO.22.13	I shall be murdered in the streets.
PRO.22.14	The mouth of strange women is a deep pit:
PRO.22.14	He that is abhorred of the 
PRO.22.15	Foolishness is bound up in the heart of a child;
PRO.22.16	He that oppresseth the poor to increase his 
PRO.22.17	Incline thine ear, and hear the words of the wise,
PRO.22.17	And apply thine heart unto my knowledge.
PRO.22.18	For it is a pleasant thing if thou keep them within thee,
PRO.22.18	If they be established together upon thy lips.
PRO.22.19	That thy trust may be in the 
PRO.22.19	I have made 
PRO.22.20	Have not I written unto thee excellent things
PRO.22.20	Of counsels and knowledge;
PRO.22.21	To make thee know the certainty of the words of truth,
PRO.22.21	That thou mayest carry back words of truth to them that send thee?
PRO.22.22	Rob not the poor, because he is poor,
PRO.22.22	Neither oppress the afflicted in the gate:
PRO.22.23	For the 
PRO.22.23	And despoil of life those that despoil them.
PRO.22.24	Make no friendship with a man that is given to anger;
PRO.22.24	And with a wrathful man thou shalt not go:
PRO.22.25	Lest thou learn his ways,
PRO.22.25	And get a snare to thy soul.
PRO.22.26	Be thou not one of them that strike hands,
PRO.22.27	If thou hast not wherewith to pay,
PRO.22.27	Why should he take away thy bed from under thee?
PRO.22.28	Remove not the ancient landmark,
PRO.22.28	Which thy fathers have set.
PRO.22.29	Seest thou a man diligent in his business? he shall stand before kings;
PRO.22.29	He shall not stand before mean men.
PRO.23.1	When thou sittest to eat with a ruler,
PRO.23.1	Consider diligently him that is before thee;
PRO.23.2	And put a knife to thy throat,
PRO.23.2	If thou be a man given to appetite.
PRO.23.3	Be not desirous of his dainties;
PRO.23.3	Seeing they are deceitful meat.
PRO.23.4	Weary not thyself to be rich;
PRO.23.4	Cease from thine own wisdom.
PRO.23.5	Wilt thou set thine eyes upon that which is not?
PRO.23.5	For 
PRO.23.5	Like an eagle that flieth toward heaven.
PRO.23.6	Eat thou not the bread of him that hath an evil eye,
PRO.23.6	Neither desire thou his dainties:
PRO.23.7	For as he reckoneth within himself, so is he:
PRO.23.7	Eat and drink, saith he to thee;
PRO.23.7	But his heart is not with thee.
PRO.23.8	The morsel which thou hast eaten shalt thou vomit up,
PRO.23.8	And lose thy sweet words.
PRO.23.9	Speak not in the hearing of a fool;
PRO.23.9	For he will despise the wisdom of thy words.
PRO.23.10	Remove not the ancient landmark;
PRO.23.10	And enter not into the fields of the fatherless:
PRO.23.11	For their redeemer is strong;
PRO.23.11	He shall plead their cause against thee.
PRO.23.12	Apply thine heart unto instruction,
PRO.23.12	And thine ears to the words of knowledge.
PRO.23.13	Withhold not correction from the child:
PRO.23.14	Thou shalt beat him with the rod,
PRO.23.14	And shalt deliver his soul from Sheol.
PRO.23.15	My son, if thine heart be wise,
PRO.23.15	My heart shall be glad, even mine:
PRO.23.16	Yea, my reins shall rejoice,
PRO.23.16	When thy lips speak right things.
PRO.23.17	Let not thine heart envy sinners:
PRO.23.17	But 
PRO.23.18	For surely there is a reward;
PRO.23.18	And thy hope shall not be cut off.
PRO.23.19	Hear thou, my son, and be wise,
PRO.23.19	And guide thine heart in the way.
PRO.23.20	Be not among winebibbers;
PRO.23.20	Among gluttonous eaters of flesh:
PRO.23.21	For the drunkard and the glutton shall come to poverty:
PRO.23.21	And drowsiness shall clothe 
PRO.23.22	Hearken unto thy father that begat thee,
PRO.23.22	And despise not thy mother when she is old.
PRO.23.23	Buy the truth, and sell it not;
PRO.23.24	The father of the righteous shall greatly rejoice:
PRO.23.24	And he that begetteth a wise child shall have joy of him.
PRO.23.25	Let thy father and thy mother be glad,
PRO.23.25	And let her that bare thee rejoice.
PRO.23.26	My son, give me thine heart,
PRO.23.26	And let thine eyes delight in my ways.
PRO.23.27	For a whore is a deep ditch;
PRO.23.27	And a strange woman is a narrow pit.
PRO.23.28	Yea, she lieth in wait as a robber,
PRO.23.28	And increaseth the treacherous among men.
PRO.23.29	Who hath woe? who hath sorrow? who hath contentions?
PRO.23.29	Who hath complaining? who hath wounds without cause?
PRO.23.29	Who hath redness of eyes?
PRO.23.30	They that tarry long at the wine;
PRO.23.30	They that go to seek out mixed wine.
PRO.23.31	Look not thou upon the wine when it is red,
PRO.23.31	When it giveth its colour in the cup,
PRO.23.31	When it goeth down smoothly:
PRO.23.32	At the last it biteth like a serpent,
PRO.23.32	And stingeth like an adder.
PRO.23.33	Thine eyes shall behold strange things,
PRO.23.33	And thine heart shall utter froward things.
PRO.23.34	Yea, thou shalt be as he that lieth down in the midst of the sea,
PRO.23.34	Or as he that lieth upon the top of a mast.
PRO.23.35	They have stricken me, 
PRO.23.35	They have beaten me, and I felt it not:
PRO.23.35	When shall I awake? I will seek it yet again.
PRO.24.1	Be not thou envious against evil men,
PRO.24.1	Neither desire to be with them.
PRO.24.2	For their heart studieth oppression,
PRO.24.2	And their lips talk of mischief.
PRO.24.3	Through wisdom is an house builded;
PRO.24.3	And by understanding it is established:
PRO.24.4	And by knowledge are the chambers filled
PRO.24.4	With all precious and pleasant riches.
PRO.24.5	A wise man is strong;
PRO.24.5	Yea, a man of knowledge increaseth might.
PRO.24.6	For by wise guidance thou shalt make thy war:
PRO.24.6	And in the multitude of counsellors there is safety.
PRO.24.7	Wisdom is too high for a fool:
PRO.24.7	He openeth not his mouth in the gate.
PRO.24.8	He that deviseth to do evil,
PRO.24.8	Men shall call him a mischievous person.
PRO.24.9	The thought of the foolish is sin:
PRO.24.9	And the scorner is an abomination to men.
PRO.24.10	If thou faint in the day of adversity,
PRO.24.10	Thy strength is small.
PRO.24.11	Deliver them that are carried away unto death,
PRO.24.11	And those that are ready to be slain see that thou hold back.
PRO.24.12	If thou sayest, Behold, we knew not this:
PRO.24.12	Doth not he that weigheth the hearts consider it?
PRO.24.12	And he that keepeth thy soul, doth not he know it?
PRO.24.12	And shall not he render to every man according to his work?
PRO.24.13	My son, eat thou honey, for it is good;
PRO.24.13	And the honeycomb, which is sweet to thy taste:
PRO.24.14	So shalt thou know wisdom to be unto thy soul
PRO.24.14	If thou hast found it, then shall there be a reward,
PRO.24.14	And thy hope shall not be cut off.
PRO.24.15	Lay not wait, O wicked man, against the habitation of the righteous;
PRO.24.15	Spoil not his resting place:
PRO.24.16	For a righteous man falleth seven times, and riseth up again:
PRO.24.16	But the wicked are overthrown by calamity.
PRO.24.17	Rejoice not when thine enemy falleth,
PRO.24.17	And let not thine heart be glad when he is overthrown:
PRO.24.18	Lest the 
PRO.24.18	And he turn away his wrath from him.
PRO.24.19	Fret not thyself because of evil-doers;
PRO.24.19	Neither be thou envious at the wicked:
PRO.24.20	For there will be no reward to the evil man;
PRO.24.20	The lamp of the wicked shall be put out.
PRO.24.21	My son, fear thou the 
PRO.24.22	For their calamity shall rise suddenly;
PRO.24.22	And who knoweth the destruction of them both?
PRO.24.23	These also are 
PRO.24.23	To have respect of persons in judgement is not good.
PRO.24.24	He that saith unto the wicked, Thou art righteous;
PRO.24.24	Peoples shall curse him, nations shall abhor him:
PRO.24.25	But to them that rebuke 
PRO.24.25	And a good blessing shall come upon them.
PRO.24.26	He kisseth the lips
PRO.24.26	That giveth a right answer.
PRO.24.27	Prepare thy work without,
PRO.24.27	And make it ready for thee in the field;
PRO.24.27	And afterwards build thine house.
PRO.24.28	Be not a witness against thy neighbour without cause;
PRO.24.28	And deceive not with thy lips.
PRO.24.29	Say not, I will do so to him as he hath done to me;
PRO.24.29	I will render to the man according to his work.
PRO.24.30	I went by the field of the slothful,
PRO.24.30	And by the vineyard of the man void of understanding;
PRO.24.31	And, lo, it was all grown over with thorns,
PRO.24.31	The face thereof was covered with nettles,
PRO.24.31	And the stone wall thereof was broken down.
PRO.24.32	Then I beheld, and considered well:
PRO.24.32	I saw, and received instruction.
PRO.24.33	A little folding of the hands to sleep:
PRO.24.34	So shall thy poverty come as a robber;
PRO.24.34	And thy want as an armed man.
PRO.25.1	These also are proverbs of Solomon, which the men of Hezekiah king of Judah copied out
PRO.25.2	It is the glory of God to conceal a thing:
PRO.25.2	But the glory of kings is to search out a matter.
PRO.25.3	The heaven for height, and the earth for depth,
PRO.25.3	And the heart of kings is unsearchable.
PRO.25.4	Take away the dross from the silver,
PRO.25.4	And there cometh forth a vessel for the finer:
PRO.25.5	Take away the wicked 
PRO.25.5	And his throne shall be established in righteousness.
PRO.25.6	Put not thyself forward in the presence of the king,
PRO.25.6	And stand not in the place of great men:
PRO.25.7	For better is it that it be said unto thee, Come up hither;
PRO.25.7	Than that thou shouldest be put lower in the presence of the prince,
PRO.25.7	Whom thine eyes have seen.
PRO.25.8	Go not forth hastily to strive,
PRO.25.8	Lest 
PRO.25.8	When thy neighbour hath put thee to shame.
PRO.25.9	Debate thy cause with thy neighbour 
PRO.25.9	And disclose not the secret of another:
PRO.25.10	Lest he that heareth it revile thee,
PRO.25.10	And thine infamy turn not away.
PRO.25.11	A word fitly spoken
PRO.25.11	Is 
PRO.25.13	As the cold of snow in the time of harvest,
PRO.25.13	For he refresheth the soul of his masters.
PRO.25.15	By long forbearing is a ruler persuaded,
PRO.25.15	And a soft tongue breaketh the bone.
PRO.25.16	Hast thou found honey? eat so much as is sufficient for thee;
PRO.25.16	Lest thou be filled therewith, and vomit it.
PRO.25.17	Let thy foot be seldom in thy neighbour's house;
PRO.25.17	Lest he be weary of thee, and hate thee.
PRO.25.18	A man that beareth false witness against his neighbour
PRO.25.18	Is a maul, and a sword, and a sharp arrow.
PRO.25.19	Confidence in an unfaithful man in time of trouble
PRO.25.19	Is 
PRO.25.20	So is he that singeth songs to an heavy heart.
PRO.25.21	If thine enemy be hungry, give him bread to eat;
PRO.25.21	And if he be thirsty, give him water to drink:
PRO.25.22	For thou shalt heap coals of fire upon his head,
PRO.25.22	And the 
PRO.25.23	The north wind bringeth forth rain:
PRO.25.23	So doth a backbiting tongue an angry countenance.
PRO.25.24	It is better to dwell in the comer of the housetop,
PRO.25.24	Than with a contentious woman in a wide house.
PRO.25.25	So is good news from a far country.
PRO.25.27	It is not good to eat much honey:
PRO.25.27	So 
PRO.25.28	He whose spirit is without restraint
PRO.25.28	Is 
PRO.26.1	As snow in summer, and as rain in harvest,
PRO.26.1	So honour is not seemly for a fool.
PRO.26.2	As the sparrow in her wandering, as the swallow in her flying,
PRO.26.2	So the curse that is causeless lighteth not.
PRO.26.3	A whip for the horse, a bridle for the ass,
PRO.26.3	And a rod for the back of fools.
PRO.26.4	Answer not a fool according to his folly,
PRO.26.4	Lest thou also be like unto him.
PRO.26.5	Answer a fool according to his folly,
PRO.26.5	Lest he be wise in his own conceit.
PRO.26.6	He that sendeth a message by the hand of a fool
PRO.26.6	Cutteth off 
PRO.26.7	The legs of the lame hang loose:
PRO.26.7	So is a parable in the mouth of fools.
PRO.26.8	As a bag of gems in a heap of stones,
PRO.26.8	So is he that giveth honour to a fool.
PRO.26.9	So is a parable in the month of fools
PRO.26.10	So is he that hireth the fool and he that hireth them that pass by.
PRO.26.11	As a dog that returneth to his vomit,
PRO.26.12	Seest thou a man wise in his own conceit?
PRO.26.12	There is more hope of a fool than of him.
PRO.26.13	The sluggard saith, There is a lion in the way;
PRO.26.13	A lion is in the streets.
PRO.26.14	So doth the sluggard upon his bed.
PRO.26.15	The sluggard burieth his hand in the dish;
PRO.26.15	It wearieth him to bring it again to his mouth.
PRO.26.16	The sluggard is wiser in his own conceit
PRO.26.16	Than seven men that can render a reason.
PRO.26.17	He that passeth by, 
PRO.26.17	Is 
PRO.26.18	As a madman who casteth firebrands,
PRO.26.18	Arrows, and death;
PRO.26.19	So is the man that deceiveth his neighbour,
PRO.26.19	And saith, Am not I in sport?
PRO.26.20	For lack of wood the fire goeth out:
PRO.26.20	And where there is no whisperer, contention ceaseth.
PRO.26.21	So is a contentious man to inflame strife.
PRO.26.22	The words of a whisperer are as dainty morsels,
PRO.26.22	And they go down into the innermost parts of the belly.
PRO.26.23	Fervent lips and a wicked heart
PRO.26.23	Are 
PRO.26.24	He that hateth dissembleth with his lips,
PRO.26.24	But he layeth up deceit within him:
PRO.26.25	When he speaketh fair, believe him not;
PRO.26.25	For there are seven abominations in his heart:
PRO.26.26	Though 
PRO.26.26	His wickedness shall be openly shewed before the congregation.
PRO.26.27	Whoso diggeth a pit shall fall therein:
