GEN.1.1	In the beginning, God created the heavens and the earth. 
GEN.13.7	and there was strife between the herdsmen of Abram's livestock and the herdsmen of Lot's livestock. At that time the Canaanites and the Perizzites were dwelling in the land. 
GEN.13.8	Then Abram said to Lot, "Let there be no strife between you and me, and between your herdsmen and my herdsmen, for we are kinsmen. 
GEN.13.9	Is not the whole land before you? Separate yourself from me. If you take the left hand, then I will go to the right, or if you take the right hand, then I will go to the left." 
GEN.13.10	And Lot lifted up his eyes and saw that the Jordan Valley was well watered everywhere like the garden of the 
GEN.13.11	So Lot chose for himself all the Jordan Valley, and Lot journeyed east. Thus they separated from each other. 
GEN.13.12	Abram settled in the land of Canaan, while Lot settled among the cities of the valley and moved his tent as far as Sodom. 
GEN.13.13	Now the men of Sodom were wicked, great sinners against the 
GEN.13.14	The 
GEN.13.15	for all the land that you see I will give to you and to your offspring forever. 
GEN.13.16	I will make your offspring as the dust of the earth, so that if one can count the dust of the earth, your offspring also can be counted. 
GEN.13.17	Arise, walk through the length and the breadth of the land, for I will give it to you." 
GEN.13.18	So Abram moved his tent and came and settled by the oaks of Mamre, which are at Hebron, and there he built an altar to the 
GEN.14.1	In the days of Amraphel king of Shinar, Arioch king of Ellasar, Chedorlaomer king of Elam, and Tidal king of Goiim, 
GEN.14.2	these kings made war with Bera king of Sodom, Birsha king of Gomorrah, Shinab king of Admah, Shemeber king of Zeboiim, and the king of Bela (that is, Zoar). 
GEN.14.3	And all these joined forces in the Valley of Siddim (that is, the Salt Sea). 
GEN.14.4	Twelve years they had served Chedorlaomer, but in the thirteenth year they rebelled. 
GEN.14.5	In the fourteenth year Chedorlaomer and the kings who were with him came and defeated the Rephaim in Ashteroth-karnaim, the Zuzim in Ham, the Emim in Shaveh-kiriathaim, 
GEN.14.6	and the Horites in their hill country of Seir as far as El-paran on the border of the wilderness. 
GEN.14.7	Then they turned back and came to En-mishpat (that is, Kadesh) and defeated all the country of the Amalekites, and also the Amorites who were dwelling in Hazazon-tamar. 
GEN.14.8	Then the king of Sodom, the king of Gomorrah, the king of Admah, the king of Zeboiim, and the king of Bela (that is, Zoar) went out, and they joined battle in the Valley of Siddim 
GEN.14.9	with Chedorlaomer king of Elam, Tidal king of Goiim, Amraphel king of Shinar, and Arioch king of Ellasar, four kings against five. 
GEN.14.10	Now the Valley of Siddim was full of bitumen pits, and as the kings of Sodom and Gomorrah fled, some fell into them, and the rest fled to the hill country. 
GEN.14.11	So the enemy took all the possessions of Sodom and Gomorrah, and all their provisions, and went their way. 
GEN.14.12	They also took Lot, the son of Abram's brother, who was dwelling in Sodom, and his possessions, and went their way. 
GEN.14.13	Then one who had escaped came and told Abram the Hebrew, who was living by the oaks of Mamre the Amorite, brother of Eshcol and of Aner. These were allies of Abram. 
GEN.14.14	When Abram heard that his kinsman had been taken captive, he led forth his trained men, born in his house, 318 of them, and went in pursuit as far as Dan. 
GEN.14.15	And he divided his forces against them by night, he and his servants, and defeated them and pursued them to Hobah, north of Damascus. 
GEN.14.16	Then he brought back all the possessions, and also brought back his kinsman Lot with his possessions, and the women and the people. 
GEN.14.17	After his return from the defeat of Chedorlaomer and the kings who were with him, the king of Sodom went out to meet him at the Valley of Shaveh (that is, the King's Valley). 
GEN.14.18	And Melchizedek king of Salem brought out bread and wine. (He was priest of God Most High.) 
GEN.14.19	And he blessed him and said, 
GEN.14.19	"Blessed be Abram by God Most High,
GEN.14.19	Possessor of heaven and earth;
GEN.14.20	 and blessed be God Most High,
GEN.14.20	who has delivered your enemies into your hand!"
GEN.14.20	And Abram gave him a tenth of everything. 
GEN.14.21	And the king of Sodom said to Abram, "Give me the persons, but take the goods for yourself." 
GEN.14.22	But Abram said to the king of Sodom, "I have lifted my hand to the 
GEN.14.23	that I would not take a thread or a sandal strap or anything that is yours, lest you should say, 'I have made Abram rich.' 
GEN.14.24	I will take nothing but what the young men have eaten, and the share of the men who went with me. Let Aner, Eshcol, and Mamre take their share." 
GEN.15.1	After these things the word of the 
GEN.15.2	But Abram said, "O Lord 
GEN.15.3	And Abram said, "Behold, you have given me no offspring, and a member of my household will be my heir." 
GEN.15.4	And behold, the word of the 
GEN.15.5	And he brought him outside and said, "Look toward heaven, and number the stars, if you are able to number them." Then he said to him, "So shall your offspring be." 
GEN.15.6	And he believed the 
GEN.15.7	And he said to him, "I am the 
GEN.15.8	But he said, "O Lord 
GEN.15.9	He said to him, "Bring me a heifer three years old, a female goat three years old, a ram three years old, a turtledove, and a young pigeon." 
GEN.15.10	And he brought him all these, cut them in half, and laid each half over against the other. But he did not cut the birds in half. 
GEN.15.11	And when birds of prey came down on the carcasses, Abram drove them away. 
GEN.15.12	As the sun was going down, a deep sleep fell on Abram. And behold, dreadful and great darkness fell upon him. 
GEN.15.13	Then the 
GEN.15.14	But I will bring judgment on the nation that they serve, and afterward they shall come out with great possessions. 
GEN.15.15	As for you, you shall go to your fathers in peace; you shall be buried in a good old age. 
GEN.15.16	And they shall come back here in the fourth generation, for the iniquity of the Amorites is not yet complete." 
GEN.15.17	When the sun had gone down and it was dark, behold, a smoking fire pot and a flaming torch passed between these pieces. 
GEN.15.18	On that day the 
GEN.15.19	the land of the Kenites, the Kenizzites, the Kadmonites, 
GEN.15.20	the Hittites, the Perizzites, the Rephaim, 
GEN.15.21	the Amorites, the Canaanites, the Girgashites and the Jebusites." 
GEN.16.1	Now Sarai, Abram's wife, had borne him no children. She had a female Egyptian servant whose name was Hagar. 
GEN.16.2	And Sarai said to Abram, "Behold now, the 
GEN.16.3	So, after Abram had lived ten years in the land of Canaan, Sarai, Abram's wife, took Hagar the Egyptian, her servant, and gave her to Abram her husband as a wife. 
GEN.16.4	And he went in to Hagar, and she conceived. And when she saw that she had conceived, she looked with contempt on her mistress. 
GEN.16.5	And Sarai said to Abram, "May the wrong done to me be on you! I gave my servant to your embrace, and when she saw that she had conceived, she looked on me with contempt. May the 
GEN.16.6	But Abram said to Sarai, "Behold, your servant is in your power; do to her as you please." Then Sarai dealt harshly with her, and she fled from her. 
GEN.16.7	The angel of the 
GEN.16.8	And he said, "Hagar, servant of Sarai, where have you come from and where are you going?" She said, "I am fleeing from my mistress Sarai." 
GEN.16.9	The angel of the 
GEN.16.10	The angel of the 
GEN.16.11	And the angel of the 
GEN.16.11	"Behold, you are pregnant
GEN.16.11	and shall bear a son.
GEN.16.11	You shall call his name Ishmael,
GEN.16.11	because the 
GEN.16.12	 He shall be a wild donkey of a man,
GEN.16.12	his hand against everyone
GEN.16.12	and everyone's hand against him,
GEN.16.12	and he shall dwell over against all his kinsmen."
GEN.16.13	So she called the name of the 
GEN.16.14	Therefore the well was called Beer-lahai-roi; it lies between Kadesh and Bered. 
GEN.16.15	And Hagar bore Abram a son, and Abram called the name of his son, whom Hagar bore, Ishmael. 
GEN.16.16	Abram was eighty-six years old when Hagar bore Ishmael to Abram. 
GEN.17.1	When Abram was ninety-nine years old the 
GEN.17.2	that I may make my covenant between me and you, and may multiply you greatly." 
GEN.17.3	Then Abram fell on his face. And God said to him, 
GEN.17.4	"Behold, my covenant is with you, and you shall be the father of a multitude of nations. 
GEN.17.5	No longer shall your name be called Abram, but your name shall be Abraham, for I have made you the father of a multitude of nations. 
GEN.17.6	I will make you exceedingly fruitful, and I will make you into nations, and kings shall come from you. 
GEN.17.7	And I will establish my covenant between me and you and your offspring after you throughout their generations for an everlasting covenant, to be God to you and to your offspring after you. 
GEN.17.8	And I will give to you and to your offspring after you the land of your sojournings, all the land of Canaan, for an everlasting possession, and I will be their God." 
GEN.17.9	And God said to Abraham, "As for you, you shall keep my covenant, you and your offspring after you throughout their generations. 
GEN.17.10	This is my covenant, which you shall keep, between me and you and your offspring after you: Every male among you shall be circumcised. 
GEN.17.11	You shall be circumcised in the flesh of your foreskins, and it shall be a sign of the covenant between me and you. 
GEN.17.12	He who is eight days old among you shall be circumcised. Every male throughout your generations, whether born in your house or bought with your money from any foreigner who is not of your offspring, 
GEN.17.13	both he who is born in your house and he who is bought with your money, shall surely be circumcised. So shall my covenant be in your flesh an everlasting covenant. 
GEN.17.14	Any uncircumcised male who is not circumcised in the flesh of his foreskin shall be cut off from his people; he has broken my covenant." 
GEN.17.15	And God said to Abraham, "As for Sarai your wife, you shall not call her name Sarai, but Sarah shall be her name. 
