MAT.1.1	This book is the record of Jesus the Messiah,
COL.3.1	So if you've been brought back to life with Christ, look for what comes from above, where Christ is, sitting at God's right hand. 
COL.3.2	Fix your mind on what's above, not what's here on earth. 
COL.3.3	You died, and your life is kept safe with Christ in God. 
COL.3.4	When Christ—your life—is revealed, then you will also share in his visible glory.
COL.3.5	So kill your worldly nature—sexual sin, immorality, lust, evil desires, greedily wanting to have more—this is the worship of idols. 
COL.3.6	Because of such things, those who disobey experience God's judgment. 
COL.3.7	At one time you lived like that when you behaved in such a way, 
COL.3.8	but now you should get rid of such things as anger, rage, wickedness, abuse, and using obscenities. 
COL.3.9	Don't lie to each other, since you've discarded your old self and what you used to do, 
COL.3.10	and put on your new self that is always being made more like your Creator, understanding better who he really is. 
COL.3.11	In this new situation there's no Greek or Jew, circumcised or uncircumcised, foreigner, barbarian,
COL.3.12	Since you are God's special people, holy and dearly loved, adopt a sympathetic nature that is kind, humble, gentle, and patient. 
COL.3.13	Be patient with one another, forgive others among you if you have grievances against one another. Just as the Lord forgave you, you should do the same. 
COL.3.14	Above all, love one another, which is the perfect bond that will hold you together. 
COL.3.15	May the peace of Christ direct your thinking, because you were called to this by God who makes you one, and thank God for it! 
COL.3.16	Let Christ's message fully live in you. In every wise way teach and instruct one another through psalms and hymns and spiritual songs, graciously singing praise to God from your hearts. 
COL.3.17	Whatever you do, whether in word or action, do everything in the name of the Lord Jesus, praising God the Father through him. 
COL.3.18	You married women, respect your husbands appropriately in the Lord. 
COL.3.19	You married men, love your wives and don't treat them badly. 
COL.3.20	You children, always do what your parents tell you because this is what pleases the Lord. 
COL.3.21	You fathers, don't make your children mad, so they won't feel like giving up. 
COL.3.22	Those of you who are servants, do everything your human masters tell you, not with just an eye to please them, but honestly and sincerely, respecting the Lord. 
COL.3.23	Do whatever you do really well, as if you're doing it for God, and not for people, 
COL.3.24	because you know that the Lord will give you your reward—an inheritance! You're serving Christ the Lord! 
COL.3.25	Whoever does what's wrong will be paid back for the wrong they've done, and God has no favorites.
COL.4.1	You masters, treat your servants in a way that is right and fair, recognizing that you too have a Master in heaven. 
COL.4.2	Remember to keep on praying, with an alert and thankful mind! 
COL.4.3	Pray for us too that God may open a door of opportunity to spread the message, to tell about the revealed mystery of Christ—which is the reason I'm here in prison. 
COL.4.4	Pray that I may make it as clear as I should when I speak. 
COL.4.5	Behave wisely with outsiders, making the best use of every opportunity. 
COL.4.6	Always be gracious when you speak. Make sure it's in good taste, and think about how best to answer everyone.
COL.4.7	Tychicus will tell you all about what's happening to me. He's a dear brother, a trustworthy minister and co-worker in the Lord. 
COL.4.8	I'm sending him to you for this very reason—so that you'll know how things are with me and this will cheer you up. 
COL.4.9	Onesimus is going with him too, a trusted and dear brother, who's one of you. They'll explain to you everything that's going on here. 
COL.4.10	Aristarchus who's with me here in prison sends his best wishes; likewise Mark, Barnabas' cousin (you've already had instructions to welcome him if he visits you), 
COL.4.11	and Jesus—also called Justus—who are the only Jewish Christians
COL.4.12	Epaphras who is one of you and a servant of Christ Jesus, sends his greetings. He's always passionate in his prayers on your behalf, praying that you'll stand firm as grown-up Christians, totally convinced about everything as God would want. 
COL.4.13	For the record I can tell you that he's done a lot for you, and for those in Laodicea and Hierapolis as well. 
COL.4.14	Luke, our dear doctor, and Demas also send their best. 
COL.4.15	Greet the believers that are in Laodicea—Nympha too, and the church that meets in her house. 
COL.4.16	And when this letter has been read to you, make sure it's read to the church in Laodicea too, and that you also read the letter sent to Laodicea. 
COL.4.17	Tell Archippus, “See that you follow through in doing the ministry God gave you.”
COL.4.18	I Paul write my closing greetings with my own hand. Remember I'm in prison. Grace be with you.
1TH.1.1	This letter comes from Paul, Silvanus, and Timothy to the church of the Thessalonians who belong to God the Father and the Lord Jesus Christ. May you have grace and peace! 
1TH.1.2	We are always thanking God for all of you, never forgetting you in our prayers. 
1TH.1.3	We remember you before our God and Father—how you put your trust in him into practice, how you work hard in love, and how you patiently wait in the hope of our Lord Jesus Christ. 
1TH.1.4	Brothers and sisters, we already know that you are loved by God and are very special to him. 
1TH.1.5	The good news we brought to you wasn't just words, but had power too, for the Holy Spirit completely convinced you. In the same way you know what kind of men we are since we demonstrated to you that we were working for your benefit.
1TH.1.6	You were imitating us and the Lord when you received the message, for despite your troubles you experienced the joy the Holy Spirit gives. 
1TH.1.7	So you have become an example to all the believers in Macedonia and Greece!
1TH.1.8	You have broadcast the Lord's message, not only in Macedonia and Greece, but everywhere people have heard of your trust in God—so there's no need for us to tell anybody about it! 
1TH.1.9	In fact they talk about what a marvelous welcome you gave us, how you abandoned idols and turned to God, how you serve the true and living God, 
1TH.1.10	as you look forward to the coming of his Son from heaven—Jesus, the one God raised from the dead, who will save us from the judgment to come.
1TH.2.1	Brothers and sisters, you yourselves know what our visit meant to you, and that it wasn't wasted! 
1TH.2.2	You'll recall that after having had much trouble and bad treatment at Philippi, with the help of God we still dared to share God's good news with you, despite the opposition we faced. 
1TH.2.3	For what we speak about isn't deceptive, or worthless, or fraudulent.
1TH.2.4	On the contrary, we have God's approval for what we say—he's entrusted us with sharing the good news. We don't set out to please people, but God. He's the one who judges our motives. 
1TH.2.5	As you know, we've never used flattering words. Nor were we covering up some greedy, selfish attitude—as God is our witness! 
1TH.2.6	We weren't trying to win anybody's praise—not from you, nor anyone else. We could have become a “burden” to you as messengers of Christ, 
1TH.2.7	but instead we acted kindly among you, like a mother caring for her own children. 
1TH.2.8	We loved you so much that we were delighted to share with you not just God's good news, but also our very own selves, because you had become so dear to us.
1TH.2.9	Don't you remember, brothers and sisters, all our hard work— working day and night so we wouldn't be a burden to any of you as we shared God's good news with you? 
1TH.2.10	You yourselves can testify as to how we acted, and God can too—how we treated you believers with a holy attitude, fairly and blamelessly. 
1TH.2.11	You know how we cared for every one of you like a father caring for his own children. We encouraged you, comforted you, and shared with you our experience 
1TH.2.12	so that you could live as God would want you to live—the God who calls you to his own kingdom and glory.
1TH.2.13	Another thing: we're always thanking God that when you heard and accepted the word of God, you didn't treat it as some human words, but what it truly is, the word of God. This is what is at work in those of you who trust in him. 
1TH.2.14	The experience you brothers and sisters have had imitates that of God's churches that belong to Christ Jesus in Judaea. Just like your fellow Jewish Christians you suffered as they did at the hands of the Jewish leaders 
1TH.2.15	who killed the Lord Jesus and the prophets, and chased us out. They don't please God and they are hostile to everyone, 
1TH.2.16	trying to prevent us from speaking to the other nations
1TH.2.17	Brothers and sisters, since we felt as if we'd experienced a family separation because we hadn't seen you for a while (separated physically though not in spirit), we tried even harder to come and see you again face to face because that's what we wanted to do. 
1TH.2.18	We really wanted to come and visit you, and I, Paul, tried again and again—but Satan stopped us. 
1TH.2.19	For what gives us hope, what makes us happy, what we are really proud of as we stand before our Lord Jesus Christ when he comes back—is having you there too! 
1TH.2.20	You are our pride and joy!
1TH.3.1	So when we couldn't bear it any longer, we decided it would be best for us to stay behind in Athens, 
1TH.3.2	and send Timothy on to you. He is our brother and God's co-worker in spreading the good news of Christ. We sent him to strengthen and encourage you in your trust in God 
1TH.3.3	so that none of you would be upset by your troubles—for you know we should expect such things. 
1TH.3.4	Even while we were with you we kept on warning you that we would suffer persecution soon— and as you well know that is exactly what has happened. 
1TH.3.5	This is why, when I couldn't stand it anymore, I sent to find out whether you were still trusting in God. I was concerned that the Devil
1TH.3.6	Now Timothy has just returned from visiting you and he has brought us good news of your trust in God and the love you have. He's told us that you still have fond memories of us, longing to see us just as we long to see you. 
1TH.3.7	This news really encouraged us while we were suffering troubles ourselves, brothers and sisters, knowing that you continue to hold on to your trust in God. 
1TH.3.8	For us life is worth living now because you're standing firm in the Lord! 
1TH.3.9	As we go into the presence of our God, how can we ever thank God enough for you because of all the joy you bring to us? 
1TH.3.10	Night and day we pray with all our hearts, hoping to see you again face to face, and to help you continue developing your trust in God. 
1TH.3.11	May God our Father and our Lord Jesus make it possible for us to come to see you soon. 
1TH.3.12	May the Lord increase your love so it overflows to one another, and to everyone, just as we love you. 
1TH.3.13	In this way may the Lord strengthen you so you may stand with minds that are holy and blameless before our God and Father at the coming of our Lord Jesus with all his holy ones.
1TH.4.1	A few more things: Brothers and sisters, we plead with you and urge you in the Lord Jesus to behave in ways that please God, just as we instructed you. Of course you're already doing this, just do it more and more! 
1TH.4.2	You remember the instructions we gave you on behalf of the Lord Jesus. 
1TH.4.3	What God wants is for you to live holy lives. So stay away from sexual immorality 
1TH.4.4	in order that each of you may control yourselves
1TH.4.5	not indulging passionate lust like the heathen
1TH.4.6	Don't cheat or take advantage of another Christian in these matters, for the Lord is the one who executes justice in all such things, as we've already clearly explained to you, and warned you about. 
1TH.4.7	For God did not call us to live impure lives, but holy lives. 
1TH.4.8	So anyone who rejects this position isn't just rejecting what a human being is saying; they are rejecting God, who gives his Holy Spirit to you.
1TH.4.9	We certainly don't need to write and tell you to love fellow believers, because God teaches you to love one another— 
1TH.4.10	and in fact you are demonstrating this love to all the believers throughout Macedonia. Even so we want to encourage you, brothers and sisters, to love more and more. 
1TH.4.11	Try to live a quiet life, minding your own business, doing your own work, as we've already explained to you, 
1TH.4.12	so that your way of life may be respected by non-Christians and you won't have to rely on anyone to provide what you need.
1TH.4.13	We don't want you to be confused about what happens when people die,
1TH.4.14	Since we're convinced that Jesus died and rose again, we're also sure that God will bring
1TH.4.15	What we're telling you comes from the Lord: those of us who are alive and still here when the Lord comes certainly won't precede those who have died. 
1TH.4.16	For the Lord himself will come down from heaven with a commanding shout, with the cry of the archangel, and with the sound of God's trumpet, and those who have died in Christ will rise first. 
1TH.4.17	Then those of us who are alive and still here will be carried up together with them into the clouds, and we shall meet the Lord in the air. Then we will be with the Lord forever! 
1TH.4.18	So encourage one another with these words.
1TH.5.1	Brothers and sisters, we don't need to write anything to you about prophetic times and dates. 
1TH.5.2	You yourselves know very well that the day of the Lord will come like a thief in the night. 
1TH.5.3	When people talk about peace and security suddenly they will be completely ruined. It will be just like the sudden onset of childbirth, and they certainly won't escape. 
1TH.5.4	But you, brothers and sisters, are not in the dark about this so that you won't be caught by surprise when the Day of Judgment
1TH.5.5	For you are all children of light and children of the day. We don't belong to the night or to darkness. 
1TH.5.6	So then we shouldn't be sleeping like everybody else—we should stay awake and keep ourselves clear-headed. 
1TH.5.7	For it's during the night that people sleep; and it's at night that they get drunk. 
1TH.5.8	But since we belong to the day we should keep our heads clear, strapping on the breastplate of trust and love, and putting on as a helmet the hope of salvation. 
1TH.5.9	For God hasn't placed us in a position to be punished, but has reserved us for salvation through our Lord Jesus Christ. 
1TH.5.10	He's the one who died for
1TH.5.11	So encourage and strengthen one another, just as you are doing.
1TH.5.12	Brothers and sisters, we're asking you to respect those who work with you, who lead you in the Lord and teach you. 
1TH.5.13	You should value them highly in love for the work they do. Live in peace with each other. 
1TH.5.14	We urge you, brothers and sisters, to warn those who are lazy, encourage those who are anxious, help those who are weak, and be patient with everyone. 
1TH.5.15	Make sure none of you pays back evil for evil, but always try to do good to one another, and to everyone. 
1TH.5.16	Always be full of joy, 
1TH.5.17	never stop praying, 
1TH.5.18	be thankful in every situation—because this is what God in Christ Jesus wants you to do. 
1TH.5.19	Don't hold the Spirit back, 
1TH.5.20	don't look down on prophecy, 
1TH.5.21	make sure to check everything. Hold onto whatever is good; 
1TH.5.22	keep away from every kind of evil.
1TH.5.23	May the God of peace himself make you completely holy, and may your whole being—body, mind and spirit—be kept blameless for when our Lord Jesus Christ returns. 
1TH.5.24	The One who calls you is trustworthy, and he will do this. 
1TH.5.25	Brothers and sisters, pray for us. 
1TH.5.26	Greet all the believers there affectionately.
1TH.5.27	I'm requiring you by the Lord that this letter be read to all the believers. 
1TH.5.28	May the grace of our Lord Jesus Christ be with you.
2TH.1.1	This letter comes from Paul, Silvanus, and Timothy to the church of the Thessalonians who belong to God our Father and the Lord Jesus Christ. 
2TH.1.2	May you have grace and peace from God the Father and the Lord Jesus Christ. 
2TH.1.3	We keep on thanking God for you, brothers and sisters—we just have to! This is the right thing to do because your trust in God is growing in leaps and bounds, and the love you all have for each other increases more and more.
2TH.1.4	We speak so proudly of you among the churches of God because of your patient courage and trust in God during all the persecution and trouble you're going through. 
2TH.1.5	For this is evidence that God is right in the decisions he makes, and that you deserve the kingdom of God for which you are suffering. 
2TH.1.6	Since God does what's right he will deal appropriately with those who cause you trouble. 
2TH.1.7	He will free you from your suffering—and us too—when the Lord Jesus appears from heaven in blazing fire with his powerful angels, 
2TH.1.8	bringing judgment on those who reject God and refuse to accept the good news of our Lord Jesus. 
2TH.1.9	They will rightly experience the consequence of eternal loss, separated from the presence of the Lord and his glorious power, 
2TH.1.10	on the day when he comes to receive glory from his people, admired by all those who trust in him. This includes you because you were convinced about what we told you.
2TH.1.11	That's why we continue to pray for you, that our God may make you worthy of what he's called us to do. May God powerfully fulfill every desire you have to do good and every action that comes from trusting him 
2TH.1.12	so that the name of our Lord Jesus may be honored by what you do—and in turn you are honored by him through the grace of our God and the Lord Jesus Christ.
2TH.2.1	Talking about the coming of our Lord Jesus Christ and how we're brought together to him, brother and sisters— 
2TH.2.2	please don't become upset or concerned by any spiritual revelation, or message, or letter supposedly from us that makes you think that the day of the Lord has already come. 
2TH.2.3	Don't let anyone deceive you in any way, because the Rebellion
2TH.2.4	He is the enemy of God, and proudly sets himself up over everything that is called God and is worshiped. He even installs himself in God's Temple, claiming to be God. 
2TH.2.5	Don't you remember that I told you all this while I was still with you?
2TH.2.6	Now you know what's keeping him in check, because he will be revealed for what he is at the appropriate time.
2TH.2.7	For the secret ways of lawlessness
2TH.2.8	Then the lawless one will be revealed, the one whom the Lord Jesus will wipe out, blowing him away,
2TH.2.9	He (the lawless one) comes to do Satan's work, having all kinds of powers, using miracles, and performing amazing but deceptive displays. 
2TH.2.10	Using every type of evil trick he deludes those who are on their way to destruction, because they refused to love the truth and so be saved. 
2TH.2.11	Because of this God sends them a convincing delusion so that they put their trust in the lie.
2TH.2.12	As a result everyone who did not trust in the truth will be condemned, for they preferred what is evil.
2TH.2.13	But we just have to keep on thanking God for you, brothers and sisters loved by the Lord, because God from the beginning chose you to be saved through the Spirit who makes you right as you trust in the truth. 
2TH.2.14	This is what he called you to through the good news we shared with you, so that you could participate in the glory of our Lord Jesus Christ. 
2TH.2.15	So, brothers and sisters, stand firm, and hold on to what you've been taught, whether by what you were told, or through a letter from us. 
2TH.2.16	Now may our Lord Jesus Christ himself and God the Father (who through his grace gave us eternal confidence and a trustworthy hope), 
2TH.2.17	encourage you and strengthen you so you can say and do everything that is good.
2TH.3.1	Lastly, brothers and sisters, please pray for us, so that the Lord's message may spread and be truly appreciated, just as it is by you— 
2TH.3.2	and that we may be kept safe from immoral and evil men, because not everyone trusts in God. 
2TH.3.3	But the Lord is trustworthy and will strengthen you, and protect you from the Evil One. 
2TH.3.4	We have great confidence in the Lord that you are doing and will continue to do what we told you. 
2TH.3.5	May the Lord lead you into a deeper understanding of God's love for you and the endurance of Christ.
2TH.3.6	Now we want to tell you, brothers and sisters, in the name of our Lord Jesus Christ, not to associate with any believer who can't be bothered to work for their living—those who don't follow the teachings they learned from us. 
2TH.3.7	You certainly know that you should follow our example, because while we were with you we weren't lazy, 
2TH.3.8	—we didn't eat anyone's food without paying for it. Instead we worked hard day and night so we wouldn't be a burden to any of you. 
2TH.3.9	Not that we don't have the right to do so—but we wanted to be an example to you, so that you could copy what we did. 
2TH.3.10	Even while we were with you we gave strict instructions that anybody who didn't want to work shouldn't eat. 
2TH.3.11	But now we hear that there are some lazy busybodies among you who don't work at all. 
2TH.3.12	We're ordering such people, urging them in the Lord Jesus, to settle down and work to pay for their own food.
2TH.3.13	Brothers and sisters, don't give up doing good. 
2TH.3.14	Take note of anyone who doesn't do what we're telling you in this letter, and make sure you don't associate with them, so that they may become embarrassed.
2TH.3.15	Don't consider them enemies, but warn them as a brother or sister.
2TH.3.16	May the Lord of peace himself grant you peace in every situation in every way. May the Lord be with all of you. 
2TH.3.17	Notice the greeting to you from me, Paul, in my own handwriting. This is my signature on every letter I write. 
2TH.3.18	May the grace of our Lord Jesus Christ be with all of you.
1TI.1.1	This letter comes from Paul, an apostle of Christ Jesus appointed by the authority of God our Savior and Christ Jesus, who is our hope. 
1TI.1.2	I'm sending it to you Timothy. You are my true son
1TI.1.3	When I was on my way to Macedonia I asked you to stay behind in Ephesus, so that you could speak with those who teach false ideas and insist that they stop. 
1TI.1.4	They shouldn't concern themselves with legends and never-ending obsessions about ancestry.
1TI.1.5	The reason why I insist on this is so we may have love that comes from a pure heart, from a clear conscience and sincere trust in God.
1TI.1.6	Some have deviated from these things, and have ended up talking nonsense. 
1TI.1.7	They have ambitions to be teachers of the law, but they have no idea what they're talking about or what they're so boldly announcing!
1TI.1.8	Now we recognize that the law is good if people use it properly. 
1TI.1.9	We also know that law isn't laid down for those who do what is right, but for those who are rebellious and ignore the law. It applies to people who have no use for God, who are sinful, who treat nothing as holy and are completely irreligious. It's for those who kill fathers and mothers, for murderers, 
1TI.1.10	for those who are sexually immoral, homosexuals, kidnappers, liars, false witnesses—and anything else that's opposed to good teachings 
1TI.1.11	as determined by the wonderful good news of our blessed God which he entrusted to me.
1TI.1.12	I'm just so grateful to Christ Jesus our Lord for the strength he's given me, and that he considered me trustworthy, appointing me to work for him. 
1TI.1.13	Even though I used to insult God, and persecuted and abused God's people, God showed me mercy because of my ignorance and unbelief. 
1TI.1.14	Our Lord in his grace filled me to overflowing with trust and love that comes from Christ Jesus.
1TI.1.15	You can trust this saying that everyone should accept: “Christ Jesus came to this world to save sinners,” and I'm the worst of them. 
1TI.1.16	For this reason I was shown mercy—since I'm the worst sinner, Jesus Christ could demonstrate his infinite patience as an example to those who choose to trust in him and gain eternal life.
1TI.1.17	Honor and glory forever and ever to the eternal King, the immortal, invisible, and only God! Amen.
1TI.1.18	These are the instructions I want to give to you, Timothy, my son, following the prophecies that brought you this far,
1TI.1.19	Keep on trusting God and make sure you have a clear conscience. Some have refused to do this and have shipwrecked their trust in God. 
1TI.1.20	Hymenaeus and Alexander are such people, and I have “handed them over to Satan”
1TI.2.1	First of all, I want to encourage you to pray for everybody: make requests of God, ask on their behalf, and give thanks. 
1TI.2.2	Pray like this for kings and all types of leaders so that we may live quiet and peaceful lives, always thinking about God and taking life seriously. 
1TI.2.3	This is what is good, and what pleases God our Savior. 
1TI.2.4	He wants everyone to be saved, and come to understand what truth really is.
1TI.2.5	For there is one God, and one mediator of God and mankind—the man Christ Jesus. 
1TI.2.6	He gave himself so we could all be won back, demonstrating the evidence at the right time. 
1TI.2.7	I was appointed to share this message and be its messenger,
1TI.2.8	What I really want is for men everywhere to pray sincerely to God.
1TI.2.9	In the same way, women should dress sensibly, modestly, and appropriately. They should be attractive not in their hairstyle or by wearing gold or pearls or expensive clothes, 
1TI.2.10	but by the good things they do—as is appropriate for women who claim to follow God. 
1TI.2.11	Women should learn quietly, respecting their place. 
1TI.2.12	I don't allow women to be instructors, or to dominate men; let them remain quiet.
1TI.2.13	For Adam was made first, and then Eve. 
1TI.2.14	Adam wasn't deceived, but Eve was completely deceived, and she fell into sin. 
1TI.2.15	However women will be saved through becoming mothers,
1TI.3.1	This is a trustworthy statement: “If someone aspires to be an elder, this is a good work to want to do.” 
1TI.3.2	An elder must be above reproach, married to one wife, self-controlled, well-balanced, sensible, hospitable, and able to teach. 
1TI.3.3	He should be someone who doesn't get drunk or become violent, but is gentle, and is not argumentative or greedy for money. 
1TI.3.4	He must handle his own family well. His children must respect what he tells them to do. 
1TI.3.5	(For if a man doesn't know how to manage his own family, how can he manage God's church?) 
1TI.3.6	He should not be a new believer, in case he gets so full of himself
1TI.3.7	People outside the church should also speak well of him so that he won't disgrace himself and fall into the devil's trap.
1TI.3.8	Similarly deacons
1TI.3.9	They must stick to the revealed truth about God, trusting in him with a pure conscience. 
1TI.3.10	They should be tried out first, and if they can't be faulted then let them serve as deacons. 
1TI.3.11	Their wives
1TI.3.12	Deacons should be married to one wife, managing their children and their homes well. 
1TI.3.13	Those who serve well as deacons gain a good reputation and much confidence in their trust in Christ Jesus.
1TI.3.14	Even though I hope to see you soon, I'm writing about all this to you so that 
1TI.3.15	if I'm delayed you'll know how people should behave themselves in God's house. This is the church of the living God, the support pillar and foundation of the truth. 
1TI.3.16	There's no question about it: the revealed truth about God is amazing! He was made known to us in human form, he was vindicated by the Spirit, seen by angels, declared to the nations, trusted in by the world, and taken up in glory!
1TI.4.1	However the Spirit very clearly explains that in the last times some will abandon their trust in God, and will listen to deceptive spirits and beliefs that come from demons. 
1TI.4.2	These hypocritical liars, whose consciences have been seared, 
1TI.4.3	tell people to not marry and not to eat certain foods made by God that should be accepted with thanks by those who trust and know the truth. 
1TI.4.4	Everything created by God is good, and nothing should be rejected but should be received with thanks, 
1TI.4.5	since it is made sacred by the word of God and by prayer.
1TI.4.6	If you point out these things to the brothers and sisters you will be a good minister
1TI.4.7	Reject what is irreligious, and old wives' tales. Make sure your exercise is spiritual— 
1TI.4.8	for while physical exercise is useful to some extent, spiritual exercise is much more useful. For “it has promise for the present life, and for the life to come.” 
1TI.4.9	You can trust this saying
1TI.4.10	The reason we work and do the best we can is because our hope is in the living God. He is the Savior of all people, especially of those who trust in him.
1TI.4.11	This is what you should teach. Tell everyone to follow your instructions. 
1TI.4.12	Don't let anyone look down on you because you are young. Be an example to those who trust in God—in the way you speak, the kind of life you live, in love, in trust, and in purity. 
1TI.4.13	Until I get there, make sure you read the Scriptures to the church, and encourage them by your speaking and teaching. 
1TI.4.14	Don't neglect the gracious gift you have that was given to you by prophetic inspiration when the church elders laid their hands on you. 
1TI.4.15	Think carefully about these things, and dedicate yourself completely to them so that everyone can see the progress you're making. 
1TI.4.16	Mind what you're doing and what you're teaching. Keep going with all of this, because as you do so you'll save both yourself and those who listen to you.
1TI.5.1	Don't rebuke a man who is older than you. Instead, encourage him as if he were your father. Treat younger men as brothers, 
1TI.5.2	older women as mothers, younger women as sisters, with the highest standards of decency. 
1TI.5.3	Help widows who don't have a family. 
1TI.5.4	For the Christian responsibility of a widow's children or grandchildren is to do their duty for their own family, and repay their parents by helping them out. This is what pleases God. 
1TI.5.5	Now a real widow, having no family, alone and without support, puts her hope in God and prays for help night and day. 
1TI.5.6	But a widow who concentrates on pleasing herself is already dead, even though she's still physically alive. 
1TI.5.7	Give people these instructions so that they will be above criticism. 
1TI.5.8	But those who don't look after their relatives, especially their own family, have denied their beliefs, and are worse than those who don't believe. 
1TI.5.9	Only widows over sixty who have been faithful to their husbands should be put on the list.
1TI.5.10	The widow should have a reputation for doing good. Did she bring up children properly? Has she been hospitable? Has she washed the feet of church members? Has she helped those who were in trouble? Has she really tried to do good in every way?
1TI.5.11	Don't take on widows who are younger, because when their physical desires make them want to re-marry they abandon their dedication to Christ. 
1TI.5.12	In this they are guilty of breaking their previous commitment.
1TI.5.13	They also get used to a lazy life, just visiting each other in their homes. Not only lazy, but they gossip and meddle, talking about things they shouldn't. 
1TI.5.14	So my best advice is that younger widows marry and have children and take care of the home. That way there's no opportunity for criticism from the Enemy. 
1TI.5.15	However some have already gone the way of Satan. 
1TI.5.16	Any Christian woman who has widows in the family should help them, so that the church is not burdened with the responsibility, and can help those widows who are truly in need.
1TI.5.17	Elders who direct the church well should be seen as doubly valuable,
1TI.5.18	As Scripture says, “You must not muzzle the ox when it is threshing the corn.” Also, “The worker deserves to be paid.”
1TI.5.19	Don't entertain any accusation against an elder unless two or three witnesses support it. 
1TI.5.20	Censure those who sin in front of everyone as a warning to others as well.
1TI.5.21	Before God and Christ Jesus, and the holy angels, I instruct you to follow these instructions without bias. Don't do anything from an attitude of favoritism. 
1TI.5.22	Don't be in a hurry to lay hands on anyone; and don't get involved in the sins of others. Keep yourself pure.
1TI.5.23	Don't just drink water, but use a little bit of wine because of your bad stomach—you're sick so often!
1TI.5.24	The sins of some people are really obvious, and they are clearly guilty, but the sins of others are not seen until later. 
1TI.5.25	Similarly some good works are obvious, and even those that are hidden won't be for long.
1TI.6.1	All who are bound under slavery should consider their masters worthy of respect, so that God's name and Christian beliefs won't be defamed. 
1TI.6.2	Slaves who have Christian masters should not disrespect them because they are brothers. Instead they should serve them even better, because those who are benefiting from their service are fellow-believers they should love. Teach these instructions, and encourage people to follow them.
1TI.6.3	Those that teach different beliefs, and don't listen to good counsel, particularly the words of our Lord Jesus Christ and the true teachings of God, 
1TI.6.4	are arrogant and don't understand anything. They're obsessed with speculation and philosophical debates which only lead to jealousy, arguments, malicious gossip and evil suspicions— 
1TI.6.5	the constant arguing of people whose minds are totally corrupt and who have lost the truth, thinking that they can profit financially from religion…
1TI.6.6	But knowing and following God is so incredibly satisfying! 
1TI.6.7	For we didn't bring anything into the world, and we can't take anything out with us either. 
1TI.6.8	But if we have food and clothes then that's enough for us. 
1TI.6.9	Those who are determined to become rich fall into the trap of temptation, following many foolish and damaging impulses. 
1TI.6.10	For the desire to be rich leads to many kinds of evil results. Some of those who longed for this have turned away from the truth, and have hurt themselves, experiencing a lot of pain.
1TI.6.11	But you as a man of God should run away from such things. You should seek to do what is right, practice true religion, and trust in God. Aim to love, to be patient, and gentle. 
1TI.6.12	Fight the good fight as you trust in God. Hold on tightly to the eternal life to which you were called. This is what you promised to do in front of many witnesses.
1TI.6.13	My charge to you before God the Life-giver, and before Christ Jesus who testified to the good news before Pontius Pilate, 
1TI.6.14	is to follow faithfully what you've been told
1TI.6.15	At the right time Jesus will be revealed—he who is the blessed and only Sovereign, the King of kings, and Lord of lords. 
1TI.6.16	He is the only one who is immortal, and lives in unapproachable light. No one has seen him or can see him—honor and eternal power is his! Amen.
1TI.6.17	Warn those who are rich in the present world not to become proud. Tell them not to place their trust in wealth that is so insecure but in God who so freely gives us everything for our enjoyment. 
1TI.6.18	Tell them to do good, and to become rich in doing good things, ready to share what they have, and to be generous. 
1TI.6.19	In this way they store up treasure that will provide a solid basis for the future, so that they can take hold of true life.
1TI.6.20	Timothy, take care of what's been given to you. Don't pay any attention to pointless chatter and arguments based on so-called “knowledge.” 
1TI.6.21	Some who promote these ideas have wandered away from their trust in God. May grace be with you.
2TI.1.1	This letter comes from Paul, an apostle of Christ Jesus chosen by God, sent to tell about the promise of real life
2TI.1.2	I'm sending it to you Timothy, my dear son. May you have grace, mercy, and peace from God the Father and Christ Jesus our Lord.
2TI.1.3	I'm always thinking of you and I'm so thankful to God, whom I serve as my ancestors did, with a clear conscience. I never forget to mention you in my prayers. 
2TI.1.4	I remember how you cried, and I so want to see you! That would make me really happy. 
2TI.1.5	I keep in mind your sincere trust in God, the same trust that your grandmother Lois and mother Eunice also had—and I know that same trust continues in you.
2TI.1.6	That's why I want to remind you to revitalize God's gracious gift to you which you received when I placed my hands on you.
2TI.1.7	God didn't give us a spirit that makes us fearful, but a spirit of power and love and good sense. 
2TI.1.8	So don't be ashamed to tell others about our Lord, or be ashamed of me. Instead be ready to share in suffering for the good news as God gives you strength. 
2TI.1.9	He is the one who has saved us and called us to live a holy life—not through what we do, but by God's own plan and through his grace. 
2TI.1.10	He gave this grace to us in Christ Jesus before the beginning of time, and is now revealed in the appearing of our Savior Christ Jesus. He destroyed death, making life and immortality brilliantly clear through the good news. 
2TI.1.11	I was appointed speaker, apostle, and teacher of this good news. 
2TI.1.12	That's also the reason I'm suffering all this, but I'm not ashamed, because I know whom I've trusted. I'm confident that he can look after what I've entrusted to him until the Day
2TI.1.13	You should follow the model of good advice that you learned from me, with an attitude of trust and love in Christ Jesus. 
2TI.1.14	Guard the truth that was entrusted to you through the Holy Spirit who lives in us.
2TI.1.15	You already know that everyone from Asia
2TI.1.16	May the Lord be kind to the family of Onesiphorus, because he often took care of me and wasn't embarrassed about me being in prison. 
2TI.1.17	When he was in Rome, he took the trouble to search for me, and he found me. 
