JHN.1.1	Tsidyodaghsawen ne Logos
JHN.7.32	Ne Pharisee wahhonronke tsi etho ne rodirighhoten nʼongwe tsironwaghtharaghkwen; ok ne Pharisee oni ne radiyadagwenniyose Cohenàson wahshakoderighhondane ne enhonwayena. 
JHN.7.33	Ethone Jesus wafhakawenhaghfe, shegon oghstonha nyàre wadògen iddewese, ok ethone egh yenke tsi renderon ne rakhenha-on. 
JHN.7.34	Enskawayadisake, ok yaghten enskwayadatshènri: ok tsinonwe nʼike, yaghten ondon eghyensewawi. 
JHN.7.35	Ethone wahhontserògon ne Jewshaga, rondonyon, kàh nonwe ensreghde nene yaghten enghtsidewayadatshenryohhe, etho ken onghte enreghde tsidhònese ne yonkhikhaghsyon, tsiyenakeronyon, ok enshakorighhonye niyade honoghwhentjage? 
JHN.7.36	Oghne karrihhòten yedon tsi ne ràwen, enskwayadisake, ok yaghten ensk wayadatshenri ok tsinonwe nʼike, yaghten ondon eghyensewawi. 
JHN.7.37	Onen tsi wahhondeghniserokten tsiyakodennyode nene wenndowànen, Jesus tahhadyadakwarighsyon, ok wahhadewennayendon, radonyon, onghka kiok aghronyadathense, karo itreghte iihne ok raghnegirha. 
JHN.7.38	Raonha nene tehaweghdaghkon iihne, tsinikawennoten ne kaghyadonghseradogenghti, raonegwenndagon entkaghnawinnegemve ne ne yonhe onwe ne kaghnegòten. 
JHN.7.39	Ok ne ken yaweght ne Kanigonra roghtharaghkwen, ne ne enhodiyendane rononha ne ne tehoneghtaghkon raonhage: ikeh arekho ten yondaddàwigh ne Kanigonghriyoston; ne wahhoni tsi arekho tʼaontahonwagloriste ne Jesus.
JHN.7.40	Yawetowànen kadi ne ongwe, ne onen tsi rodirighwaghronken ne ken, wairon, Togenske naah, ne ken ne Prophet. 
JHN.7.41	Thikadi, wairon, ne naah ne Christus. Ok denghnon, oddyake sayàiron, Galilee kengh nongadi enthayenghtaghkwe ne Christus? 
JHN.7.42	Yagh ken ten yàwen ne kaghyadoghseradogenghti, nene Christus naah sʼhodiwajirat ne David, ok oni egh enthayenghtaghkwe tsi Kanàdayen ne Bethlehem, tsinonwe David ranakereghkwe? 
JHN.7.43	Etho kadi nenyawen wathodityonghtyage ne ronongwe ne raorihhòni. 
JHN.7.44	Ok oddyake tsinihadi yaweron enhonwayènage; ok denghnon yagh onghka ogh ten honwayèren.
JHN.7.45	Ethone sahhònewe ne ronwaderihhondane, tsiradideron ne radiyadagwenniyose Cohena-son eni ne Pharisee; ok wahhonwanenhaghse, oghne yotéren yaghten eghtsisewayathewe? 
JHN.7.46	Ne ronwaderihhondane tentahhònen, yaghtionwenndon nʼongwe eghtenyewennòten tsiniyoght ne ken rongwe. 
JHN.7.47	Ethone tentahhondàdi ne Pharisee, yetshirighwayadaghtonten ken oni nʼise? 
JHN.7.48	Wathoneghdaghkon ken kaniga tsinihadi ne radiyadagwenniyose ok ne Pharisee, tsinihorihhoten? 
JHN.7.49	Ok denghnon ne ken ongwe nene yaghten hadirighwayendèri ne yoghtyawenratsera ronwen-nadewendeghton naah. 
JHN.7.50	Nicodemus wahshakawenhaghse (raonha nene aghsenndhen royadorèn-on ne Jesus, etho se rayadare tsinihadi) 
JHN.7.51	Tsini karihhòten ne ongwaghtyawenratsera tehonwayadoreghten ken ne ongwe, arekho ten ahhonwawennàronke, arekho oni tʼaonkadogenne tsini hayerha? 
JHN.7.52	Tentahhondadi ok sahhonwenhagse, Galilee haga ken oni nʼise? serighwísak, oni serighwakaenyon: iken yaghten ne Galileetseragon entahhàdane ne Prophet. 
JHN.7.53	Ok agwegon ne ongwe etho sahhoneghde tsi nonwe ne yakononghsode.
JHN.8.1	Yesus etho wareghde tsiyononde ne olivine. 
JHN.8.2	Ok orhoenkeghtsi tsi wa-orhenne sahhadaweyade Templetseràgon, ok agwegon nʼongwe waonwe raonhage; ok wahhatye oni wahshakorihhonyen. 
JHN.8.3	Ok ne radighyàdonse oni ne Pharisee wa-konwayàthewe tsi-ire ne onheghtye ne kanaghkwa yonhiken ethone tsi konwayèna; ok neonen kanenherhen wakonwenderon. 
JHN.8.4	Wahhonwenhaghse, Sewenniyoh, ne ken onheghtye konwayèna karighwannerakseràgon ne kanaghkwa, agwagh tsi yonhiha-onhatye. 
JHN.8.5	Moses kadi yoghtyawenratséràgon shong-warighwissa-enni, nene eghniyontyerha enyondaddinnenyoyàke: ok denghnon nahhoten ise aghsìron? 
JHN.8.6	Kengayen wahhoniron ne ronwanigonghrisaken, ne enhaderighwʼatshenri ne enhonwawenoò-tane. Ok Jesus wathatsàkete, ok wahhanisnonghsàren oghwhentjàge raghyàdontye, tsiniyonght ne yaghten sʼhakowennaghronken. 
JHN.8.7	Ok onen tsinihodiyèren ronwarighwanondonse ethone tahhadyadagwarighsyon, oh wahshakawenhaghse, raonha tsinitsyoh nene yaghten horíwayen ne karighwanneren, raonha nʼyare nissa shakoyenght ne onenya. 
JHN.8.8	Ok àre tensahhatsàgete ok oghwhenjage wahhaghyàdon. 
JHN.8.9	Ok rononha nene ronaghronken ne ken wahhondaddonderene ne raodinigonragon, ok skatson sahhadiyàgènne, akokstenghne teyodaghsawen agwagh wakanenghròkten: oh Jesus ronwayadontyon raonha johha wahhodàdenre, ok nene onheghtyen kannenherhen yekàdaghkwe. 
JHN.8.10	Neonen Jesus tahhadyadagwarighsyon, ok yaghonghka ten shakòken neok ne onheghtyen, Wahshakawenhaghse, senheghtyen, kàh ne yeshonénon ne yesawennotà-on? yagh ken onghka ten yesadewenndeghton. 
JHN.8.11	Wagenron, yagh onghka, sayaner, ok Jesus saghshakawenhaghfe, yaghoni niih ten koyadewenn-deghton: wa-as, toghsa oya saserighwannerake.
JHN.8.12	Ethone Jesus saghstiakowennarà-on, iih naah nʼakoghswathétsera ne oghwhenjagwegon: raonha nene rakerighwaghsere yaghten aghreseke aghsàdagon, ok denghnon enhoyèndane aoghswaihetsera ne adonhèta. 
JHN.8.13	Ne Pharisee kadi wahhonwenhaghse, ise sadadderighwaghnodons, yagh togenske degen ne serighwaghnodonyon. 
JHN.8.14	Jesus tentahharighwaseragon ok wahshakawenhaghse, etho iih kadadderighwaghnodons shégon sane togenske naah ne kerighwaghnodonyon: iken wakaderyendare tsinitewakènon, ok oni tsini aonsàkeghte; ok dengnon ise yaghten sewagwènni ne sewatròri tsinitewakénon ok oni tsiniaonsàkeghte. 
JHN.8.15	Tsinikarihhòten nʼowàron ise tesewayadoreghtha; yaghonghka ne ongwe niih tekeyadoreghtha. 
JHN.8.16	Ok sàne togat tekeyadoreghtha togenske naah tsi tewakyadoreghtha: iken yagh akonha-on dégen, ok denghnon teyakeni ne ranihha nene rakhenha-on. 
JHN.8.17	Ok oni kaghyàdon sewaghty awenratseràgon, ne nahhoten aghyatròri teyongwedage togenske naah. 
JHN.8.18	Iih naah yaweght shayadat nene kadadderighwatròri, ok ne ranihha ne rakhenha-on rakerigh-waghnsrats. 
JHN.8.19	Ethone wahhonwenhaghse, kàh naah ne yanihha? Jesus sahhenron, yaghtenskwayendèrij yaghoni ne Rakenihha tʼeghtsisewayendèri togat nonken aghskwayenderhen niih, raonha oni ne Ragenihha enghtsise wayenderhe-on. 
JHN.8.20	Etho ne karihhòten tʼhowenninege-on ne Jesus, etho nonwe tsikaghwisdagéro, aghson tsishakorighhenyeni Templetseragon: ok yagh onghka V ogh ten honwayèren: iken arekho se ten waderighwihhàwise tsini honwarighwissa-enni. 
JHN.8.21	Ethone àre Jesus saghshakawenhaghse, èren wakeghte ok aghskwayadisake, ensewenhheye oni sewarighwannerakseràgon; tsiniyehenke yaghten yaweght etho yensewawi. 
JHN.8.22	Ethone wahhoniron ne Jewshaga, enhadadderíyoh ken? tsì radon, tsinonwe yehenke yaghten yaweght yensewawi. 
JHN.8.23	Ok wahshakawenhaghse, oghnàgon ise tesewènon, ok niih enegen tewakènon: tsiniyoghwhen-tjoten ne ken etho yaweght nʼise ne sewayadòten, ok niih yagh etho ten akyadòten tsiniyought ne ken youghwhentjade. 
JHN.8.24	Ne kadi wahhòne wakwenhaghse, sewarighwannerakseragon ensewenhheye; iken togat nonken yaghten aonteseweghtaghkon tsi iih naah nʼetho; ensewenhheye sewarighwannerakseràgon. 
JHN.8.25	Ethone tentahhonwenhaghse, onghka nʼise, ok Jesus saghshakawenhaghse, ne naah ne sàgat nene kwaghròri tsinahhe yodaghsawen. 
JHN.8.26	Eso wakeriwayen aontakatrori ok oni aontekyadoreght isege: ok raonha nene rakherdia-on togenske naah, ok ne tekewenninnegen-onhatye ongweghne, tsini karihhòten ne wakaghronken raonhage. 
JHN.8.27	Yaghten hodinigonghrayenda-on tsi ne shakoghtharaghkwen ne ranihha. 
JHN.8.28	Ethone Jesus wahshakawenhaghse, neonen ne enghtsisewayadakaradadde ne rongwe ronwaye-ah, ethone ensewaderyendarake tsi iih naah nʼetho, ok oni tsi yagh ogh ten katyerhà nene akonha-on; ok denghnon tsinihakerighhonyen ne Rakenihha, tekewenninnegen-on hatye ne ken tsini karihhòtense. 
JHN.8.29	Ok yakenese raonha ne rakhenha-on, yaghten hakyadontyon ne ranihha ne akonha-tjohha; iken tsini karihhoten ne katyerha tiutkon rinikonghrayérits. 
JHN.8.30	Aghson tehowenninnege-onhatye ne kengayen, yawetowanen wathoneghdaghkon racnhàge.
JHN.8.31	Ethone Jesus wahshakawenhaghse tsini hadih ne Jewshaga nene wathoneghdaghkon raonhage, togat nonken akewennàgeghson enseweseke, ethone togenske aketyoghkwa yaweght sewadòn; 
JHN.8.32	Ok ensewarighwayendcrihck ne togenskétsera, ok ne togensketsera enyetshighnerenghsyon nene ensewadaddewennìyoke. 
JHN.8.33	Tentahhonwenhaghse, sa-ongwatsirat ne Abraham kenha, ok yaghnonwenndon kanega ten yonkhiwenniyosten, oghne yotyéren tsi sadon, en-yetstnghncrenghsyon nene ensewadaddewennìyoke? 
JHN.8.34	Jesus téntahhariwàghseràgon, agwagh togenske onwe wakwenhaghse, onghka kiok rarighwanneraks ne naah ronwanhase ne karighwanneraksera. 
JHN.8.35	Ok ne ronwanhase yagh tiutkon tʼaontah hennderondake ne kanonghsagon; ok denghnon ne ronwayeah tiutkon egh yehennderon. 
JHN.8.36	Togat kadi ne ronwayeah enghtsisewaghnerenghsyon, togenske onwe ensewadaddewennìyoke. 
JHN.8.37	Kerighwayendèri nene ise ok sakaghwatsi-radatye ne Abraham kenhha; ok denghnon sewarighwisaks nʼenghlkwaryoh, ne wahhoni akewenna yaghten kayèndase sewanigonragon. 
JHN.8.38	Ne tekewenninege-onhatye ne nahhoten wakaderighwatkaghtho ne Ragenihnehha: ok nʼise etho ne sewatyerha tsinahhoten ne sewatkaghtho nʼeghtsisewanihnehha. 
JHN.8.39	Tentahhondàdi ok wahhonwenhaghse, Abraham naah yaghsagwanihha. Jesus saghshakawenhaghse, togat nonken ise enkenhak ne Abraham shakoye-ongonwa, aontesewarighwayeríton tsini-hoyodenghserctense ne Abraham. 
JHN.8.40	Ok denghnon nonwa sewarighwisaks ne né enghskwaryoh, yaweght ne rongwe nene waghtsisewaghròri ne togenskètsera, nene wakaghronken Yehovaghne; yagh etho tehoyèren ne Abraham. 
JHN.8.41	Tsinihorighhòten nʼeghtsisewanihha etho ne sewatyerha. Ethone sahhonwenhaghse, yagh kanaghkwa teyakonhiken tsi waonkhiyadewedon, enskat ongwanishon, ne naah Yehovah. 
JHN.8.42	Jesus wahshakawenhaghse, togat, nonkon Yehovah eghtsisewanihha enkenhak, englifkwanoronghkwakè: iken eghtewakyage-on ok, egh te wakénon Yehovaghne: yagh oni iih akenigonra si wàkewe, ok denghnon yehakhenha-on. 
JHN.8.43	Oghne yotyèren tsi yaghten sewanigonghrayendasè nʼakewènna? ne naah aoriwa tsi yaghten wadons ensewaghronkhak nʼakewènna. 
JHN.8.44	Ise naah ne eghtsisewanihha ne oneghshoghronòn, ok tsini haghskàneks eghtsisewanihha etho nʼensewàyere, nene shakoryohs tsinahhe tʼyodaghsawen, ok yaghte iresgwe ne togenfketseragon, ne wahhoni yaghten karìware ne togensketsera raonhatseragon. Ne onen ranowenghten, ethone tehawenninnegens tsini horihòten: iken ronowen, ok ne yaweght rodewedon nʼeghnahhoten. 
JHN.8.45	Ok ne wahhoni togenske tsinikarihhoten kwaghrori, yaghten teseweghdaghkon. 
JHN.8.46	Kàh nigayen tsinitsyon enghskwarighwadenghdarhon tsi wakenhikon? Ok togat nene togenske tsi wakthare oghneyotyeren tsi yaghten teseweghdaghkon? 
JHN.8.47	Raonha nene Yehovaghne yegayen raonigonra, rothònde ne Niyoh raowenna-ogon: yagh kadi nʼise ten sewathonde nene, ne aoriwa tsi yagh Yehovaghne te gayen ne sewanigonra. 
JHN.8.48	Ethone tentahhondadi ne Jewshaga, ok wahhonwenhaghse, yagh kadi ken ten tʼkarighwayèri tsi yakwàdon Samaritan nʼise, (saneghshonghronontseràyen?) sayen nʼotkonh. 
JHN.8.49	Jesus tentahhadadi, yaghten wakyen nʼotkonh; ok denghnon rikonyenghftha ne rakenihha ok ise waskwadehhàtha. 
JHN.8.50	Oni yaghten kerighwisaks akgloria Shayadat naah ne resaks ok oni tehayadoreghtha. 
JHN.8.51	Agwagh togenske onwe, togenske wakwenhaghse, togat nonken ne rongwe aontahhoyenàwa-gonhek tsiniwakerihhòten, yagh nonwenndon tʼenhatkaghthon ne kenhheyàten. 
JHN.8.52	Ethone ne Jewshaga tahhonwenhaghse, onen nonwa wakwadògense, sayen nʼotkonh. Rawenhheyon ne Abraham, ok oni ne prophethogon, ok sadon, togat ne rongwe aontahhoyenawagonhek tsiniwakerighhòten, yaghnonwendon tʼenhayenderha ne kenhheyaten. 
JHN.8.53	Senha ken ighskowànen tsiniyought ne sagwanihha kenhha ne Abraham, nene rawenhheyon? ok oni ne Prophet-hogon kenhha ronenhèyon; onghka kadi sadaddonyon nʼíse? 
JHN.8.54	Jesus tentahharighwaseràgon, togat nonken iih wakadadkonyenghst, yaghten yorihhonde akwatkonyenghstsera, ne naah ne Ragenihha nene rakekonyenghstha; nene sewadon raonha naah ne shongwawenniyoh: 
JHN.8.55	Ok sàne yaghten eghtsisewayenderlie-ony ok denghnon riyendèri nʼiih; ok togat nonken enkìren yaghten hiyenderi, etho ne enkenòwenght tsiniyought nʼise ne sewanòwenght; ok denghnon riyenderi, oni kerighwenhhawe tsinihawennòten. 
JHN.8.56	Eghtisewanihhà Abraham wahhadonhàren tsiwahhatkaghtho akeghnisera niih: ok wahhatkaglitho oni wahhatshennòni. 
JHN.8.57	Ethone ne Jewshaga sahhonwètihaghse, arekho wisk niyoghseraghsen tsisonhe, ok waghtsyatkaghtho ken ne Abraham? 
JHN.8.58	Jesus wahshakawenhaghse, togenske, togenske wakwaghròri, arekho Abraham tekenghne, iih nʼyare ike,
JHN.8.59	Ethone wathadinenyaghkwe ne ne ronwayenghtàne: ok denghnon Jesus wahhadaghseghte, ok eren sàreghte ne Templetseràgon sadewaghsennighson kànènragon neyehàre, ok yehodongoghton.
JHN.9.1	Ok tsi radohhetstonhatye ne Jesus, wahhoken ne rongwe nene teharonwegen tsinahle sighronhe. 
JHN.9.2	Ok ne raotyonghkwa wahhonwarighwanondonse, rondonyon, sewenniyoh, onghka yakorighwanhion ne ken rongwe tens gayen ne ronwadewedon, nene ok tsi ronakeràton teharonwegen? 
JHN.9.3	Jesus tahhariwaghseràgon, yaghten henhi-on ne ken rongwe, yagh oni ne ronwaye-ah; ok denghnon nene aontakarihhòwanaghte raonhage tsinihaweyenòten ne Niyoh. 
JHN.9.4	Enwakyòde ne raoyodenghseraogon nene rakhenha-on, aghson wènndegh: wa-onkaraghwe se, ethone yagh onghka nʼongwe tʼayeweni enyakoyòde. 
JHN.9.5	Tsinenwe nʼoghwhenjage enkeseke, iih naah ne aoghswathetsera ne yoghwhentjagwegon. 
JHN.9.6	Ne onen etho nehoyèren oghwentjage wahhanitskeronde, ok ne wahhanawatstone nʼonitskera, ok ne teharonwegen rakaghtege wahhanawatsarhon. 
JHN.9.7	Ok wahhawenhaghse, wa as, sadyadohhare tsi kaghnégon ni Siloam (ne ne takawennadényon naah yondaddenha-on, sent), eren kadi sàreghde, wahhadyadohharehha, ok sarawe rakaghrayenda-on tsihon.
JHN.9.8	Nene sahhadiyàdat kadi, ok nene ronenha nene a-onen tsi tehonwakànere, tsiitehharonwegen, wa-iron, yagh ken ne dègen raonha nene eghratyendaghkwe oni ranekhaghgwe? 
JHN.9.9	Oddyake wairon raonha naah: tʼhikadi waíron sʼhonwayèren: ok raohha wahhenron, iih iih naah nʼetho, 
JHN.9.10	Wahhonwenhaghse kadi raonha, oghnen àwen tsi wasatkaghkwa-righsyon? 
JHN.9.11	Tahhariwaghseràgon ok ràwen, ne rongwe ne Jesus ronwayats, wahhanawatstòni ok wahharhon akkaghtege, oni wahhakwenhaghse, egh ye-hàse tsi kaghnègon ne Siloam, oni sasen-nohhare; ok egh wakeghte oni sewakenohhare, oni wa-ondon ne akekenghsek. 
JHN.9.12	Ethone sahhonwenhaghse, kàh ne yehàre? wahhenron yaghten kerighwayendèri.
JHN.9.13	Wahhonwayathewe ne ne Phariseege raonhha ne ne tehharonwègen tsinahhe. 
JHN.9.14	Yawenndadogenghdonke ethone Jesus tsi wahhanawatstoni, ok sahhokaghkwarighsyon. 
JHN.9.15	Ethone ne Pharisee sahhonwarighwanondonse, tsinen àwen tsi sahhoyendane, aonsahhàken, washàkawenhaghse, wahhànawatstarhon akkaghtege, ok sakenohhare oni ikkens. 
JHN.9.16	Ne kadi wahhoni oddyake ne Pharisee, wairon, yagh Rawenniyoge ten gayen raonigonra, ne ken rongwe, ne aoriwa yaghten harighwatsteristha ne yawenndadogenghdon oddyake sayairon, oghnen awen nʼenhatyere etho ne yorighwanneragwaght ne rongwe ne rorighwannerakskon enkenhak? ok thikadeshon wahhodinigonghrawen-on. 
JHN.9.17	Sahhonwenhaghse ne tehharonwègen, oghnahòten ise eghtsyènni, tsi ronhodongwa ne sakaghtege? wahhenron Prophet naah, 
JHN.9.18	Ok denhnon ne Jewshaga wahhondennòwenghte tsinihoyadawè-on, tsi tehharonwègen, ok, tsi sʼhoyeweonda-on aonfahàken, tsiwahhonwadínonke ne ronwayeah raonha nene sʼhoyenda-on ne aonsahhaken. 
JHN.9.19	Ok wahshakoderighwanòndoose, rondon, ne ken ne kengayen eghtsiseniyè-ah, nene sewàdon ok si tehharonwègen ongwe tsi rodòn? Oghnen-awen tsi nonwa rakens? 
JHN.9.20	Ne ronwadewedon tayerighwaseràgon, ok wairon yakeniyendèri ne, neken ne yaghsakeniyeah, oni ok si tehharonwegen tsi ronakeràton. 
JHN.9.21	Ok tsina awen nonwa tsi ràkens, yaghten yakeniyendèri; ok onghka, enkenhak ne ronhodongwen ne rakaghtege, yaghten yakeniyendèri; etho tsinithoyen; eghtsisewarighwanondonfe raonha agwagh enthatrory tsinihoriwayen. 
JHN.9.22	Etho niyought tsi teghniwenninnegen ne ronwadewedon, ne aoriwa tsi, yetsànise ne Jewshaga: iken onen tsirodirighwisson, togat nonken: onghka enyondonhek ne naah, ne Christus, ne etho, enhonwayadinnegenwe ne Synagogue. 
JHN.9.23	Ne kadi wahhoni ne ronwadewedon wairon, onen watkayèri tsinithoyen eghtsisewarighwanondonse. 
JHN.9.24	Ethone sahhnwennonke ne rongwe nene kenghne tehharonwègen, Rawenniyoke sadenghraghseronyon ne eghtsenonghweràton: yakwarighwayenderi ne ken rongwe rorighwannerakskon naah. 
JHN.9.25	Tahharighwaseràgon ok rawen, togat rorigh-wannerakskon tens yaghten, yagh se iih ten kerighwayenderi: tsyoriwat ne kyenderi, ne naah a-onen tsi tewakeron wegen, ok nonwa ikkens. 
JHN.9.26	Ethone àre sahhonwenhaghse oghne waghyàyere? Ogne-àwen tsi wahhonhadongon ne sakaghtege? 
JHN.9.27	Tentahharighwaseragon, onen se kwaghrori, ok yaghten sewathonde: ogh kadi ne yotyèren tsi, iseweghre sʼhegon ensayakwaronke? ensewàdon ken oni nʼise raotyonghkwa? 
JHN.9.28	Ethone wahhonwarighwastenni, ok, wahhoniron, ise naah ne raotyonghkwa, ok denghnon niih Moses saongwariwat naah (ne raotyonghkwa). 
JHN.9.29	Yakwarighwayenderi tsi Niyoh rowennarà-on ne Moses: ok ne kengayen rongwe, yaghten yakwayenderi tsinithawènon. 
JHN.9.30	Ne rongwe tentahhadi ok saghshakawenhaghse, yotyèren yorighwanneghragwaght ne ne, tsi yaghten sewayenderi tsinithawènon shegon sàne ronhodongwa akkaghtege. 
JHN.9.31	Dewarighwayenderi oni nene Yehovah yaghten shakothondats ne yakorighwannerakskon; ok denghnon togat nonken onghskakiok ne rongwe ne, ronwanidenghdàse ne Yehovah, oni teharighwayèrits tsinishongwarighwissa-enni, raonha naah ne ronwathondatse. 
JHN.9.32	Tsinahhe yodaghsawen ne ken yoghwhentjàde, yagh kanega nʼongwe ten yàkoghronken nene onghka kiok enyenhodongon ne raokaghtege, nene ok tsironakeràton tehharonwègen. 
JHN.9.33	Togat nonken yagh Yehovahne ten kenhak ne ken rongwe, yaghothènon aonteharighwa-gwènni.
JHN.9.34	Tentahhadiriwaghseragon, oni wahhonwenhaghse, aonfkon karighwannerakseràgon ongwe tesadòn, ok takwarighhonyèni ken? ok tahhonwa-yadinnegenwe.
JHN.9.35	Jesus rothonde tsi ronwayadinnegenhon; ok ne onen tsi sahhòrane wahhawenhaghse, tesegh-taghkon ken ne Yehovah roye-ah? 
JHN.9.36	Tehhariwaseragon ok rawen, onghka naah nene, Sayàner, nene aontewakeghtaghkonhek ne raonhage? 
JHN.9.37	Ok Jesus wahhawenhaghse, onen se waghtsyat-kaghtho, oni raonha naah nene nonwa aghyawèn-naràseron. 
JHN.9.38	Ok sahhenron, sayaner, tewakeghtaghkon. Ok wahhonidenghtase.
JHN.9.39	Ok Jesus wahhenron, ne aoriwa ne tekaya-doreghtsera oghwhentjage wakewe, nene akaonha ne yaghten yèkens aontayèkenghsck; ok ne ne akaonha ne yekens aontayondadderonwekte. 
JHN.9.40	Ok, oddyake ne Pharisee ne ne wadògen ronesgwe wahhadiwennaronke ne kengayen, ok wahhonwenhaghse, teyakwaronwègen oni ken niih? 
JHN.9.41	Jesus, wahshal; awenhaghse, togat nonken aontesewaronwegen, yaghten aontesewarighwan-nerakserayèndak: ok denghnon ronwa sewadon, teyakwakànere; ne kadi wahhoni yoderighwadadenron ne sewarighwanneraksera.
JHN.10.1	Agwagh togenske, kwaghròri, raonha nene yaghten radaweyaden tsinonwe tsikanhokae ronde tsi kontyendaghkwa ne werha
JHN.10.2	Ok denghnon raonha nene radaweyadeni tsi kanhekaronde naah ne ranonghne ne werha. 
JHN.10.3	Nene ranhohanonghne raonhage enhanhodongon, ok ne werha ronwawennathonde, oni washakoronghyehha ne raotséna-ogon, shakonadonyon, ok tahhanenghrinnegenwe. 
JHN.10.4	Ok de onen wahhentyoghkwinnegenwe nee raodsèna-ogon werha raonha wahhahhènde, ok nee werha ronwaghnonderatye; iken ronwawennayendèri. 
JHN.10.5	Ok ne oya tehaoghwhenjénon yaghten ondom enhowaghsere, ok denghnon eren enkondègon tsi ire: iken yaghten honwadiwennayendéri ne oyaa teyakaoghwhentjènon. 
JHN.10.6	Ne kengayen wadennagèraghton Jesus wah— shakawenhaghse; ok denghnon yaghten hodini— gonghrayenda-on tsinikarihhòten ne sʼhakoghtha— raghkwenni. 
JHN.10.7	Ethone Jesus saghshakawenhaghse are, agwagha togenske wakwenhagse, iih naah ne kanhohkarondee tsi kontyendaghkwen ne werha. 
JHN.10.8	Agwegon nene radihhendon ne nʼiih naah nee radinengshsgwas oni shakodighkwens: ok dengh—non ne werha yaghten honwanathonde. 
JHN.10.9	Iih naah ne kanhohkaronde, iihne kadi togat onghkakiok radaweyàden, enhoyadagon, enhadawe-yadhak ok enhayakenghsek oni enhatshenri ne enrake. 
JHN.10.10	Ne ranenghsgwas tsi ire, ne ok ranyènde ne; enhanenghsko, enshakoryon oni enhatyèsaght. Iiha wakewe nene aondonhetserayendane, ok senhha aondongoghte karihhowanen tsi nʼenyakoyèndane nʼadonhèta. 
JHN.10.11	Iih naah ne ranonghnatyeghtseriyoh: ne ranonghnatyeghtseriyoh radewenndeghten tsi ronhe ne: aoderiwa ne werha. 
JHN.10.12	Ok raonha ne ok tehonwanhase, ok yaghten hanonghnatyeghtseragwenniyoh, nene yagh raonha ten hawenniyoh ne werha, tehakanere tsi dawe ne Okwahho, ok washakoyadondi ne werha oni wahhadègo: ok ne okwahho waakoyèna, oni wakonrènyade ne werha. 
JHN.10.13	Ne ronwanhase wahhadègon, ne wahhone ok tehonwanha-on, yagh oni ten hanoronghkwa ne werha. 
JHN.10.14	Iih naah ne ranonghnatyeghtseriyoh, oni kheyenderi aketsèna-ogon ok oni ne yonkyenderi. 
JHN.10.15	Tsiniyought ne Ranihha rakyenderi, egh niyought niih riyenderi ne Ranihha; wakaddewenn— deght tsi konhe ne aoderiwa ne werha. 
JHN.10.16	Ok òya ne werha wakenaghfgwayen, nene yagh kengh ten kontyendaghkwa; neoni enskeyathewe rononha oni enyonkewennaronke; enskat ok enkenhak ne kontyendaghkwa ok shayadat ne ranonghnatye. 
JHN.10.17	Ne kadi wahhoni rakhenoronghkwa ne Ragenihha, ne wahhoni wʼakaddevvenndeght tsikonhe, nene aonsekyènake nʼetho. 
JHN.10.18	Yagh onghka ne ongwe te yonkeghkweenni, iih ok ne kaddewenndeghton, wakegwennyonfseràyen nene, aonkaddewenndeghte, oni wakegwennyontseràyen nene aonsekyènake. Ne kengayen rakerighwawi ne Ragenihha.
JHN.10.19	Are oyàshon ne sahhodinigonghrawen-òn ne Jewshaga, ne aoriwa tsini karihhòten ne ken gàyen. 
JHN.10.20	Ok yawetowànen tsinihadi wairon, royen ne Kanigonghraksen, òni wathononghwarawènri; oghne yotyèren eghtsisewathondatse? 
JHN.10.21	Tʼhikade wairon, yagh egh ten yewennotenhak ne yakòyen ne kanigonghraksen. Ondon ken ne Kanigonghraksen enyenhodongon ne akokaghtege ne teyeronwegen? 
JHN.10.22	Etho niyawe-on Jerusalemne aghson tsiyakodennyodaghkwe ne ronwawihhe, oni Goghferhenge. 
JHN.10.23	Oni Jesus ire Templetseragon raoghsgwàgon ne Solomon. 
JHN.10.24	Ethone ne Jewshaga wahhontkenniisa tsi írese, ok wahhonwenhaghse, do nenwe ok tʼighseghre enhonaderyendhàren? togat nonken ise Christus enkenhak, yateserighwadogenght, takwaghrori. 
JHN.10.25	Jesus tentahhariwaghseragon, kwaghròri se, ok yaghten teseweghdaghkon: tsini kayòderigh-seròtense nene katyerha ne raoghsennagon ne Ragennihha, ne yonkerighwaghniratse. 
JHN.10.26	Ok denghnon ise yaghten teseweghtaghkon, ne aoriwa tsi yagh ne degen iih aketsèna-ogon werha tsisewayadare, tsiniwakwaghrori. 
JHN.10.27	Aketsenaogon yonkewennaghronken, ok kheyenderi, oni yonknonderatye. 
JHN.10.28	Oni kheyawihhe eterna adonheta; oni yagh nonwenndon tʼenhontkaròni, yaghoni onghka ne ongwe tenyonkeghkwen kesnonghsagon tsi ikhawe. 
JHN.10.29	Ne Ragenihha, nene rakwàwi, raonha tehakowanen tsiniyought agwegon; ok yagh onghka nʼongwe tʼenyegweni tenhonwadiyadaghkwen rasnònghsagon ne Ragennihha. 
JHN.10.30	Iih oni ne Ragenihha enskat naah.
JHN.10.31	Ethone ne Jewshaga tesahhadinnenyaghkwe ne enhonwayenghte. 
JHN.10.32	Jesus tahhariwaghseràgon, yawetowanen ne kayodenghseríyose ne Rageníhne tewakhen ne kwanadòni, kàh kadi ne gayen ne karighwiyoh ne wakstonden tsi takwannenyenghten? 
