MAT.1.1	Tíhi mé chrónka nkexro kꞌuaxrjeníxin Jesucristo. Jesucristo mé kꞌuaxrjeníxin David la ko Abraham.
ROM.11.26	Ti nkexro tsaáxin chojni mé tsi̱xi̱n chjasin Jerusalén
ROM.11.26	la tsja̱tse̱n chꞌan ti ijie̱ kuènté ti sin tsíkꞌaxrjeníxin Jacob.
ROM.11.27	kixin janhan tsjakjían ti iji̱é sin.
ROM.11.28	Méxra̱ ti sin judío la titekakonhña sin ti itan ni̱xin tsaáxini, la nínkakohen sin Díos, kixin kjuajon chꞌan kjuachaxin kixin jahara chojni jehya judío tsꞌayéhéra ti nkehe tsjajon chꞌan. Kjánchó jehe chꞌan la na̱xa̱ tjue̱he chꞌan ti sin judío kixin tsíkjeyá chꞌan ti sin tsíkꞌaxrjeníxin sin ósé. 
ROM.11.29	Kixin kaín ti nkehe tsíkjajon Díos la tsakítsjehya chꞌan sin la ko tsíto̱ehya chꞌan ti sin tsíkꞌéye̱he̱ chꞌan. 
ROM.11.30	Senó la jahara kꞌuékitekákonhñara Díos, a̱ndá ijie la ti sin judío titekakonhña sin. A̱ndá jahara la kui̱konoáhara Díos. 
ROM.11.31	Mé xi̱kaha ti sin judío kuitekakuenhña sin Díos kixin xi̱kaha Díos tsi̱konoéhe̱ ti jahara, la xi̱kaha kja̱xin tsi̱konoéhe̱ chꞌan ti sin judío ínaá. 
ROM.11.32	Kixin Díos la kuíto̱he kixin kaín chojni chrókjuasin ijie̱ kixin nkokón chrókui̱konoéhe chꞌan kaín chojni.
ROM.11.34	*Ndáchro ti xroon itén Díos: “¿Xá nkexro chrókónohe nkexrín tjenka̱yáxin Díos la ko xá nkexro chrókjua̱ko̱he̱ ti jehe chꞌan? 
ROM.11.35	*¿Xá nkexro kjuajon nkehe kꞌuáyéhe̱ Díos kixin ndá ijie ticháxi̱n chrókꞌokjan chꞌan ínaá?” 
ROM.11.36	*Kixin kaín nkehe la ti̱xi̱n ti itjen Díos la kaín nkehe la kjuíchꞌéna chꞌan kixin sichꞌehe ixra̱ ti jehe chꞌan. Méxra̱ tsochjéheni kjuasáya Díos nkochríxín. Mé xi̱kaha tso̱hen.
ROM.12.1	Méxra̱ jahara kíchóni, xrja̱noáhára kixin jahara chrókóchjinehéra Díos, chróchje̱héra chꞌan ti cuerpo kuèntára éxi ti nkehe tjechón la ko tjóá tsꞌáyéhe̱ Díos kixin xi̱kaha tóxríhi̱n Díos kixin jehe chꞌan kui̱konoáhara chꞌan. Tíhi mé ijnko nkehe chaxín ndoá chróchje̱héra Díos kixin xi̱kaha tsjíkosáyehéra chꞌan. 
ROM.12.2	Méxra̱ í chrókjanhñara chróxraxinkáonra ti nkehe siín chjasintajni. Náhí. Chrokui̱to̱héra ti nkehe nduáhya tjénka̱yáxinra kixin ndá jína chrókꞌuejora. Ndá xi̱kaha chrókónohara ti nkehe tjinkaon Díos kixin ndoá la ko jína chrókꞌuejora éxi tóxríhi̱n chꞌan.
ROM.12.3	Kjuasáye Díos kjuajon ti ixra̱ tjétꞌa̱, la nixjahára kaínra kixin chrókjuénka̱yáxinhñara kixin imá tjetoanra. Náhí. Chrokjuénka̱yáxinra jína éxi ti kjuachaxin tjáhara Díos éxi nkexrín tinkachónkira Cristo. 
ROM.12.4	*Mé xi̱kaha ijnko cuerpoé chojni la nchónhña ti síkjoxixín chónta, kjánchó nkokónhña ixra̱ ichꞌe. 
ROM.12.5	Mé xi̱kaha ti jeheni, kjónté nchóhñani la tsꞌónani éxi nkoko̱a cuerpo kuènté Cristo. Mé xi̱kaha nkoko̱a chrókjuénka̱yáxini kixin ó kꞌónani nkoko̱a cuerpo.
ROM.12.7	Ti kjuajon Díos kixin chrókjuiki̱tsani íjnko nkexro la ticháxi̱n jína sichꞌeni ti ixra̱. A̱ndá ti nkexro tsíkꞌayéhe̱ kjuachaxin tsjako la ticháxi̱n jína chrókjuako. 
ROM.12.8	Ti nkexro tsíkꞌayéhe̱ kjuachaxin nchexraxinkaon íjnko nkexro ti nkehe jína la kaín a̱sén chꞌan chrókjuíchꞌe chꞌan ti ixra̱ a. A̱ndá ti nkexro tsjajon ichrén nkehe la nkojína chrókjuajon sin. A̱ndá ti nkexro tꞌe̱to̱an la jína chrókjuíchꞌe ti ixra̱ a la ko ti nkexro chrókjuinki̱tsa ti sin chóntahya la chrókóchéhe̱ sin chrókjuinki̱tsa sin.
ROM.12.9	Kaín a̱sánra chrótjue̱héra kichuara. Chrokui̱to̱héra ti nkehe nduáhya tjénka̱yáxinra la chrókjuénka̱yáxinra kaín ti nkehe jína. 
ROM.12.10	Chrotjue̱héra kichuara kixin tinkachónkira Ìnchéni la ko chaxín chrókjuíkosáyehéra kichuara.
ROM.12.11	Chrokꞌóxrjéhyara, la ko chrókósáhyara, chrókjui̱chꞌehéra ti ixra̱ kuènté Ìnchéni kaín a̱sánra.
ROM.12.12	Chrókócháhara kixin tjejocho̱hénra ti nkehe náxrjón itsi, la ko chrókónínkákonhñara kjónté chrókui ijnko nkehe chrókjuasótexínra la ko chrókui̱to̱éhyara chrónixjehéra Díos.
ROM.12.13	Chrokjuínki̱tsara ti sin tinkáchónki Ìnchéni ti tichánxi̱hin sin nkojín nkehe. Nkojína chje̱héra kjuachaxin tsꞌejó ti sin tsjinixja̱hara.
ROM.12.15	Tócháha̱ra kja̱xin ti tjejó ti sin chéhe̱ la ko ti tjejótsjánka sin la kja̱xinra tsja̱nkara.
ROM.12.17	Chrokjui̱chꞌehyara ijnko nkehe jínahña ti sin kjuitꞌahara ichrén nkehe jínahña. Ícha jína chrókjuáko̱xinra ti nkehe jína kixin xi̱kaha chrókꞌuikon kaín chojni. 
ROM.12.18	Chrokjuéyára nkojína chrókꞌuejora. Ti chrókjuachara, la kjuaxróxin chrókꞌuejora kaínra. 
ROM.12.19	*Jahara kíchóni, chrókjui̱nchekjasótehyara ti sin ichrén nkehe kjuitꞌahara. Ti̱to̱héra kixin Díos sinchekjasóte ti sin a. Ndáchro ti xroon itén Díos kixin: “Janhan si̱ntaki̱to̱axian ti iji̱é chojni la ko tsjénka̱ha̱ sin, mé xi̱kaha ichro Díos.” 
ROM.12.20	*Kja̱xin ndáchro: “Ti sin nínkakohanra la, ti ikꞌuén sin kjinta la chróchje̱héra sin nkehe chrókjonie sin, la ko ti ikꞌuén sin ìnta̱, la chróchje̱héra sin nkehe chrókꞌui sin. Ndá ti xi̱kaha si̱chꞌera, la jehó sin sinchesuéhe̱ sin a̱sén sin kixin ti nkehe nduáhya kjuitꞌahara sin.” 
ROM.12.21	Chrokui̱to̱éhyara kixin chrókjuacha ti nkehe jínahña chrókꞌue̱tua̱hanra. Náhí. Ícha jína chrókjui̱chꞌera ti nkehe jína kixin chrókjuachahya ti jínahña chrókjuitꞌayahara.
ROM.13.1	Kaín chojni ticháxi̱n sinchexiteyéhe sin ti sin gobierno kixin ti kjuachaxin chónta ti sin a la Díos tsíkjajon, kixin kohya nijnko gobierno chrókꞌuejó ti jehya kjuachaxíen Díos. 
ROM.13.2	Mé xi̱kaha ti sin titekakuenhña ti sin tꞌe̱to̱an ijnko chjasin la kja̱xin titekakuenhña sin ti nkehe kꞌue̱to̱an Díos. A̱ndá ti sin xi̱kaha titekakonhña, la tsjasóte sin. 
ROM.13.3	A̱ndá ti sin gobierno tꞌe̱to̱an la jehya tjejó sin kixin sinchechrákon sin ti nkexro titekaon, tjejóchꞌe nkehe jína. Náhí. Sinchechrákon sin ti nkexro ichꞌe ti nkehe nduáhya. ¿Á tjinkáonra tso̱nínkakuanhñara ti sin tꞌe̱to̱an ní? Ti xi̱kaha la chrókꞌuejora nkojína, ndá chrókꞌuikon sin xi̱kaha la kohya nkehe chróchro sin. 
ROM.13.4	Kixin Díos la kjuajon ti ixra̱ tjejóchꞌe ti sin gobierno kixin kjuaxróxin chrókꞌuejó kaín chojni. A̱ndá ti chrókjui̱chꞌera ti nkehe jínahña la chróchrakonra kixin jehya chónkó tjejó ti sin gobierno. Náhí. Chónta sin kjuachaxin sinchekjasótiara sin kixin jehe sin la Díos kjuajon ti ixra̱ tjejóchꞌe sin. 
ROM.13.5	Mé xi̱kaha ticháxi̱n si̱nchexiteyéhéra ti sin tꞌe̱to̱an, la jehya jehó kixin chróchrakonra kixin chrókjuinchekjasotiara sin. Náhí. Chroxraxinkáonra kixin ticháxi̱n si̱nchexiteyéhéra sin. 
ROM.13.6	*La kja̱xin jehya táhó. Náhí. Ticháxi̱n chrókjuénke̱héra gobierno ti chichaon tjanchia sin kixin ti gobierno la Díos kꞌue̱to̱an tjejó sin tꞌe̱to̱an sin.
ROM.13.7	Kja̱xin jahara chrókjuénke̱héra kaín chojni tjásikéhéra. Ti nkexro síká kuènté nonte la chrókjue̱nka̱ sin kuènté ti nonte, la ko ti nkexro síká kuènté ichrén nkehe nchekji, la chrókjue̱nka̱, la kja̱xin ti chrókjuíkosáyehéra chojni, la chaxín tjikosayehéra sin. 
ROM.13.8	Kja̱xin chrókjuásikéhyara ninkexró. Nkoko̱a nkehe tjasikára jehó ti chrótjue̱héra kichuara kixin ti nkexro tjue̱he kícho la xi̱kaha nchexiteyá ti nkehe tꞌe̱to̱an ley. 
ROM.13.9	*Kixin ndáchro ti nkehe tsíkꞌe̱to̱an Díos: “Tjakéhyara a̱sánra íjnko chojnichjin ókjé ti jehya ichjiánra, tꞌoñáhñara kichuara, te̱ehyara, nixjahyara kjuachꞌia kuènté íjnko chojni la ko tjakéhya a̱sánra ti nkehe chónta kichuara.” Kaín tíha la ko íso nkehe kꞌue̱to̱an Díos mé tꞌóna nkoko̱a: “Chrotjue̱heni kíchóni éxi tju̱éxini a̱séni.” 
ROM.13.10	Ti chojni tjue̱he kícho la ninkehó nkehe jínahña chꞌehya kícho. Méxra̱ chrótjue̱héra kichuara la xi̱kaha chróxiteyá kaín ti nkehe nixja ti ley.
ROM.13.11	Kaín tíha ticháxi̱n sichꞌeni ijie kixin ó ikui ti ña̱o chrókꞌuejótsjeheni, chrókꞌuajuahyani. Kixin ijie la a̱ntsí séhya itsi ti ña̱o tsjixixín tsaáxini ke ti kjuankíxin kuitekaoni Díos. 
ROM.13.12	Ijie la ti sítie la í séhya tsjakꞌe kixin ó itsi ti tꞌinkaséña, la chrókuíto̱heni ti nkehe nduáhya kuènté ti sítie la chróchóntani kjuachaxin kuènté Ncha̱kuén Díos kixin tíha mé tsjinki̱tsa tsꞌajini ti tꞌinkaséña. Méxra̱ tsꞌónani éxi ijnko soldado tꞌinkáyate ika tsíkꞌóna chika kixin kohya nkehe tso̱heni. 
ROM.13.13	Chrokꞌuejóni nkojína kixin chrókꞌuájini ti tꞌinkaséña. Chrokꞌuájihyani kia ti tókoan chojni la tjajo̱n chojni, la chrókjuasinkohyani ijie̱ íjnko chojnichjin, la chrókjuénka̱yáxinhñani ti nkehe ndáchro a̱séni, la chrókjueyáhyani kjuanínkaon la ko chrókóchji̱no̱xíenhñani. 
ROM.13.14	Náhí. Jahara tákjára ti kjuachaxin kuènté Ìnchéni Jesucristo tsjínki̱tsara éxi ijnko nkehe tsíkꞌóna chika chrókꞌuinka̱yára la ko chrókjuénka̱yáxinhñara ti nkehe jínahña ndáchro a̱sánra.
ROM.14.2	Kixin nkojín sin la ndáchro sin kixin jína sinie sin kaín nkehe. A̱ndá ti íso sin kanhñó titekaon Ìnchéni la ndáchro sin kixin jehó kayoa ó chrókjonie sin, ichro sin. 
ROM.14.3	Méxra̱ ti nkexro inie kaín nkehe la chrókjuanoáhña ti nkexro niehña kaín nkehe. A̱ndá ti sin niehña kaín nkehe, la chrókjóntahya ti sin inie kaín nkehe kixin kjónté xi̱kaha la Díos kꞌuáyéhe̱ ti sin a. 
ROM.14.4	¿Xá nkexro ti jaha kixin chrókjónta ti nkexro chꞌehe ixra̱ íjnko nkexro? Tíha la ixra̱ kuènté ti làmoé chꞌan tsondáchro á jína kjuíchꞌe chꞌan ixra̱ o̱ náhí. La kjá tsjakꞌe chꞌan jína kixin Ìnchéni chónta kjuachaxin tsjinki̱tsa ti jehe chꞌan.
ROM.14.5	Iso sin la tjenka̱yáxin sin kixin imá tjetoan ijnko ña̱o, a̱ndá íjnko ña̱o la náhí, la íso sin ndáchro sin kixin kaín ña̱o la ó nkokón. Méxra̱ nkojnko chojni chrókónohe nkehe ti titekaon sin. 
ROM.14.6	Méxra̱ ti sin xráxinkaon nkojín ña̱o la xi̱kaha tjikosáyehe sin Ìnchéni, la kja̱xin ti sin titekakonhña tíha la tjikosáyehe sin Ìnchéni, kjónté tjikosayéhya sin ti ña̱o a. Kja̱xin ti sin inie kaín nkehe la inie sin kixin xi̱kaha tjikosáyehe sin Ìnchéni, la kja̱xin chjéhe sin kjuasáya Díos. A̱ndá kja̱xin ti sin niehña kaín nkehe la xi̱kaha tjikosayéxin sin Ìnchéni la kja̱xin chjéhe sin kjuasáya Díos.
ROM.14.7	Nijnkoni chrókꞌuejóni éxi jehóni tꞌe̱tue̱hen a̱séni la ko nijnkoni itsꞌeni éxi tjinkaoni. 
ROM.14.8	Ti tjejóchóni la tjejóni kixin sichꞌeheni ixra̱ Ìnchéni la ko ti itsꞌeni la xi̱kaha tjikosayéxini Ìnchéni. Méxra̱, kjónté chrókꞌuejóchóni o̱ chrókꞌueni la kuènté Ìnchéni ti jeheni. 
ROM.14.9	Mé xi̱kaha Cristo la ikꞌuén la ko xechón ínaá kixin kꞌóna chꞌan Ìnché ti sin tsíkꞌen la ko ti sin tjejóchón.
ROM.14.11	*Ndáchro xroon itén Díos:
ROM.14.11	Méxra̱ ndáchro Ìnchéni: “Chaxín ndáxrja̱n, kixin ti itjén la tsꞌejóxin tochꞌin kaín chojni,
ROM.14.11	kixin kaín chojni tsondáchro kixin janhan mé ti Díos kuènté sin.”
ROM.14.12	Mé xi̱kaha nkojnkoni ticháxi̱n tsochenkani Díos nkexrín ti ixra̱ kjuíchꞌeni ntihi chjasintajni.
ROM.14.13	Méxra̱ ícha jína chrókjóntahyara kichuara. Ícha jína ninkehó nkehe chrókjui̱chꞌehyara kixin chrókjuasin ijie̱ nkojín kichuara la chrókuíto̱he sin ti tinkáchónki sin Ìnchéni. 
ROM.14.14	Janhan tinkachónkia Ìnchéni Jesús la xi̱kaha ó nona kixin jína sinieni kaín nkehe. A̱ndá kjónté xi̱kaha, la ti tjenka̱yáxin ijnko chojni kixin jehya jína tíha, ndá chaxín jehya jína chrókjonie ti nkexro a ti nkehe a kixin xi̱kaha tjenka̱yáxin sin. 
ROM.14.15	Ti tjenka̱yáxin ti kichuara kixin ti nkehe intera la nduáhya, ndá ti na̱xa̱ intera tíha, la í tjuèhyara ti kichuara. Kixin jehya ti nkehe chrókjontera chrókjui̱nchekꞌitjáñaxinra ti kichuara kixin Cristo kꞌuenyákohe̱n ti nkexro a kja̱xin. 
ROM.14.16	Ti̱toéhyara kixin iso sin chrókꞌuándaxín sin kixin ti nkehe jína ichꞌera. 
ROM.14.17	Kixin ti kjuachaxin kuènté Díos la jehya kixin ti nkehe chrókjonieni o̱ ti nkehe chrókꞌuini. Náhí. Ti kjuachaxin kuènté Díos la tꞌe̱to̱an kixin chrókꞌuejóni nkojína la kjuaxróxin chrókꞌuejóni la ko chrókóchéhe̱ni, mé kaín tíhi la tjajon ti Ncha̱kuén Díos. 
ROM.14.18	Ti nkexro jína chꞌehe ixra̱ Cristo mé nchexiteyá ti nkehe tóxríhi̱n Díos la ko kja̱xin kaín chojni tso̱xríhi̱n.
ROM.14.19	Mé xi̱kaha chrókjueyáni kaín ti nkehe tji̱ka̱o kjuaxróxin kixin tsjinki̱tsani kaín ti sin kíchóni kixin ndá kja̱xin sin a̱ntsí chrókuinkáchónki sin Ìnchéni. 
ROM.14.20	Chrokjui̱nchekꞌitjáñahñara ti ixra̱ kuènté Díos kixin ti nkehe chrókjontera ó. Kixin kaín ti nkehe chrókjontera la ó tsíkjinchetjóá Díos, kjánchó jehya jína ti chrókjonieni nkojín nkehe ndá ijnko chojni la chrókꞌuitsinkaxín. 
ROM.14.21	Méxra̱ ícha jína chrókjontehyara into la ko chrókꞌuihyara ixran la ko ninkehó nkehe chrókjui̱chꞌehyara ti xi̱kaha tsꞌitsínkaxín nkojín kichuara. 
ROM.14.22	Ti titekáonra Díos la Díos tjetsjehe tíha. Náxrjón chéhe̱ ti nkexro tjanchahya ijie̱ a̱sén kixin ti nkehe ichꞌe, kixin á ndoá o̱ náhí. 
ROM.14.23	A̱ndá ti nkexro inie nkehe la tjenka̱yáxin kixin ijie̱ tíha, la chaxín xi̱kaha tso̱hen, kixin kaínhña a̱sén sin kjónie sin ti nkehe. La xi̱kaha ó kjuasin sin ijie̱.
ROM.15.1	A̱ndá jeheni a̱ntsí titekaoni Ìnchéni, la chrókjuinki̱tsani ti sin kanhñó nohe la chrókjuichꞌehyani ti nkehe jehóni tjinkaoni. 
ROM.15.2	Kja̱xin kaíni chrókjuíchꞌeni ti nkehe jína kixin chrókjuinki̱tsani ti sin kíchóni kixin xi̱kaha a̱ntsí chrókuitekaon sin Ìnchéni. 
ROM.15.3	*Kixin kja̱xin Cristo kjuíchꞌehya ti nkehe chrókóchèxin jehó. Náhí. Kjuinchexiteyá chꞌan éxi ndáchro ti xroon itén Díos: “Ti kjuanínkaon kuènté ti sin nínkakohan mé kuamá janhan.” 
ROM.15.4	Kaín ti nkehe chrónka itén Díos senó la chrókjuinki̱tsa ti jeheni kixin jína chrókꞌuejóchóheni ti nkehe jína itsi la chrókónínkakonhñani, kjónté tsꞌatsínkani ichrén nkehe náxrjónhña, la ti itén Díos chrókꞌuitjaxini ti kjuachéhe̱. 
ROM.15.5	Díos, mé ti nkexro nchechéhe̱ ti jeheni la ko tjinki̱tsa kixin chrókónínkakonhñani, la kja̱xin tsjinki̱tsa ti jahara kixin chrókꞌuejora jína la ko nkokón chrókjuénka̱yáxinkoára kichuara éxi kjua̱ko̱xi̱n Cristo Jesús. 
ROM.15.6	Kixin kaíni nkoko̱a chrónixje̱he̱ni Itꞌéni Díos la ko chrókjuikosáyeheni chꞌan, kixin jehe chꞌan mé Itꞌé Ìnchéni Jesucristo.
ROM.15.7	Mé xi̱kaha nkojína chrónixjehéra kaín chojni la ko chrókjuínki̱tsara kichuara kixin xi̱kaha Cristo kjuínki̱tsa ti jeheni kixin xi̱kaha kja̱xin jeheni jína chrókjuikosáyeheni Díos. 
ROM.15.8	Janhan ndáxrja̱n kixin Cristo ikui kixin tsjinki̱tsa ti sin judío kixin tsoxiteyá ti nkehe tsíndáche Díos ti sin tsíkꞌaxrjeníxini ósé, kixin xi̱kaha tsja̱ko̱xi̱n kixin Díos la jína chꞌan la sinchexiteyá chꞌan ti nkehe tsíndáchro chꞌan. 
ROM.15.9	*La kja̱xin ikui Cristo kixin kja̱xin ti sin jehya judío la chróchjéhe sin kjuasáya Díos kixin kui̱konoéhe̱ Cristo ti jehe sin éxi chrónka ti xroon itén Díos:
ROM.15.9	Janhan la ko ti sin tjejó kaín nación mé tsochjéheni kjuasáya jaha Díos
ROM.15.9	la ko tsotsjeni kixin tsjikosáyeheni ti ihni̱á. 
ROM.15.10	*Kja̱xin ndáchro ti itén Díos:
ROM.15.10	Tócháha̱ra kaínra tjejora kaín nación ko kaín chojni tinkáchónki Ìnchéni. 
ROM.15.11	*Kja̱xin ndáchro:
ROM.15.11	Tjikosayehéra Díos kaínra tjejora kaín nación
ROM.15.11	la ko kaínra tsondáchrora kixin imá ijié ti kjuachaxin chónta Díos.
ROM.15.12	Tsꞌaxrjeníxin Isaí ijnko nkexro
ROM.15.12	la ti nkexro a tsꞌe̱tue̱hen kaín ti sin tjejó kaín nación,
ROM.15.12	a̱ndá jehe sin tsinkáchónki sin ti nkexro a, la tsaá sin.
ROM.15.13	Díos, mé ti nkexro tjajon kjuachaxin tjejóchóheni ti nkehe jína itsi, mé tsjajon chꞌan ti kjuachéhe̱ la ko ti kjuaxróxin chróchontara kixin titekáonra ti jehe chꞌan, ndá a̱ntsí chrókꞌuánkí ti kjuachéhe̱ chontara kixin ti kjuachaxíen Ncha̱kuén Díos.
ROM.15.14	Kíchóni, chaxín nona kixin jahara la jína tjejora la kaín kjuaxrexinkaon jína tjénka̱yáxinra la ko ó nohara tjákohéra kichuara. 
ROM.15.15	La kjónté ó jína tjejora la tjínka̱oan ikjian ti xroon i chrꞌahánra, xrja̱nká kaín ti nkehe kixin chrókꞌuitjáñahñara chróxraxinkáonra kaín tíha. Mé xi̱kaha itꞌa̱ ti ixra̱ kixin kui̱konoána Díos la kjuajon chꞌan tíha, 
ROM.15.16	kixin si̱tꞌaha̱ ixra̱ Jesucristo tsondátjan ti sin jehya judío ti itén Díos. Ti ixra̱ itꞌa̱ mé tjàkua ti itan jína tsaáxin chojni kixin janhan tsjánjua ti sin jehya judío éxi ijnko ofrenda tsꞌáyéhe̱ Díos kixin tíha mé ijnko nkehe tso̱xríhi̱n Díos kixin Ncha̱kuén Díos tsíkótjuáxin sin.
ROM.15.17	Janhan mé ijnko chojni tinkáchónki Cristo Jesús la xi̱kaha siín kjuachaxin tso̱chàna kixin tꞌa̱ha̱ ixra̱ Díos. 
ROM.15.18	Kixin xrokuahya tsondáxrja̱n íjnko nkehe. Jehó tso̱xrja̱nka nkexrín ti kjuachaxin kjuajon Cristo kꞌuayáha̱ kixin tsondátjan ti sin jehya judío ti itén Cristo kixin tsitekaon sin Díos. Ndá xi̱kaha kuitekaon sin kixin ti itan kjuàkua la jehya táhó, kja̱xin kꞌuíkon sin nkexrín kjuáko̱xia̱n janhan, 
ROM.15.19	la ko nkexrín kjuásian kjuaxroan kjuachaxíen Ncha̱kuén Díos. Mé xi̱kaha kjuintaxíxi̱n kjuàkua ti itan jína kuènté Cristo tsaáxin chojni, xránkíxixín chjasin Jerusalén la nkuíxín chjinaxón ntiha la ko ti nonte Ilírico. 
ROM.15.20	Méxra̱ tjínka̱oan tsjíkjàkua ti itan tsaáxini ti chjasin na̱xa̱ tienhñé sin ihni̱é Cristo kixin janhan tjínka̱konhña tsjíxrónkáxian ti ixra̱ tsíkjichꞌe ókjé chojni. 
ROM.15.21	*Ícha jína éxi ndáchro xroon itén Díos:
ROM.15.21	Chrokuihin ti sin na̱xa̱ tienhñé ti itan kuènté Díos
ROM.15.21	la ko chrókienxín ti sin na̱xa̱ tienxínhña.
ROM.15.23	Kjánchó ijie la ó kjuixina ti ixra̱ ntihi. Kixin ndesi itsjé nánó tjínka̱oan chrókjuasántsjahára, 
ROM.15.24	a̱ndá ijie tsꞌatsínka tsonixjahara ti sátsjia España. Ndá tso̱chàna tsꞌíkua̱n ti jahara, ndá chrꞌéxi̱n tjínka̱oan kixin tsjínki̱tsara ti janhan ti ó sátsjia. 
ROM.15.25	*A̱ndá ijie la sátsji̱á Jerusalén, sátsjiki̱a̱n ti chichaon tsjinki̱tsa ti sin kíchóni tjejó ntiha. 
ROM.15.26	Kixin ti sin jehya judío tinkáchónki Jesús chjasin Macedonia la ko Acaya kjuénka̱yáxin sin tsjejo sin chichaon kixin tsochrꞌéhen sin ti sin kíchóni nóa tjejó Jerusalén. 
ROM.15.27	*Jehe sin la kóxríhi̱n sin tsjinki̱tsa sin kixin ti sin judío tinkáchónki Cristo kjuínki̱tsa ti jehe sin jehya sin judío kixin tso̱nohe sin itén Díos. Ndá ijie la jehe sin chrókjuinki̱tsa sin ínaá chrókjuajon sin iso ti nkehe chónta sin chrókꞌuáyéhe̱ ti sin judío tinkáchónki Ìnchéni. 
ROM.15.28	Méxra̱ ti ó tsjixin ti ixra̱ la tsꞌáyéhe̱ sin ti chichaon, ndá janhan sátsjia España la ó tsꞌatsínka tsonixjahára. 
ROM.15.29	Ó nona kixin ti ó tsjasán la Cristo imá sincheñao kaíni kixin janhan tso̱xrja̱nka ti itén chꞌan.
ROM.15.30	Kíchóni, xrja̱noáhára kjuachaxin kuènté Ìnchéni Jesucristo kixin Ncha̱kuén Díos tjajon kjuachaxin tso̱tjue̱heni kíchóni, kixin nkoko̱a chrókꞌuejóni chrókjuíchꞌeni ixra̱ la ko chrónixjehéra Díos kixin ti janhan. 
ROM.15.31	Tjanchehéra Díos kixin kohya nkehe tso̱na kixin nínkaon kaín ti sin titekakonhña Díos siín Judea, la ko chrókjuinki̱tsa Díos kixin jína sátsjiki̱a̱n ti nkehe tsjinki̱tsa ti sin kíchóni tjejó Jerusalén kixin jína chrókꞌuáyéhe̱ sin tíha. 
ROM.15.32	Ndá ti xi̱kaha tjinkaon Díos la tso̱chàna tsjasán ti tjejora la kjuaxróxin tsjakꞌé ti ó tsjasán. 
ROM.15.33	Ti Díos tjajon kjuaxróxin mé tsꞌejoko̱ara kaínra. Mé xi̱kaha tso̱hen.
ROM.16.1	Tétua̱hanra tsjínki̱tsara ti tjan kíchóni Febe ichꞌe tjan ixra̱ ni̱nko chjasin Cencrea. 
ROM.16.2	Nkojína nixjehéra tjan kjuachaxíen ihni̱é Ìnchéni éxi jína nixjehéra íso ti sin kíchóni tinkáchónki Ìnchéni. Tsjínki̱tsara tjan ti ichrén nkehe tichánxi̱hin tjan kixin jehe tjan kja̱xin kjuínki̱tsa tjan itsjé chojni la kja̱xin kjuínki̱tsa tjan ti janhan.
ROM.16.4	Jehe sin la kjónté chrókꞌuen sin la kjuínki̱tsa sin ti janhan, mé xi̱kaha tja̱ha sin kjuasáya la jehya janhuán, kja̱xin kaín ti sin kíchóni jehya judío tjejó ti ni̱nko. 
ROM.16.5	Kja̱xin nixjehéra kaín ti sin kíchóni tóchjina ndo̱e tjan Priscila la ko chꞌin Aquila. Nixjehéra ti chꞌin chóxini, Epeneto, jehe chꞌan la sa̱o chꞌan kuitekaon chꞌan Cristo ti chjasin Acaya. 
ROM.16.6	Nixjehéra tjan María kixin kja̱xin tjan kjuíchꞌe tjan ixra̱ ti tjejora. 
ROM.16.7	Kja̱xin nixjehéra ti sin tsíkji̱xi̱n chjaséni, ti chꞌin Andrónico la ko chꞌin Junias, kixin ti kjuakéchji̱na ndo̱echjiso la kja̱xin sin kꞌuejóchjina sin. Kja̱xin kaín ti íso sin apóstol la tjikosáyehe sin ti sin a kixin jehe sin la sa̱o sin kuitekaon sin Cristo, a̱ndá chrꞌéxi̱n janhan.
ROM.16.8	Nixjehéra chꞌin Amplias kixin jehe chꞌan mé ijnko nkexro choxián la ko tjua̱ha̱ kixin tinkáchónki chꞌan Ìnchéni. 
ROM.16.9	Nixjehéra chꞌin Urbano kixin nkoko̱a kjui̱tꞌakian chꞌan ixra̱ kuènté Jesucristo la ko nixjehéra ti chꞌin choxián, Estaquis. 
ROM.16.10	Nixjehéra chꞌin Apeles. Jehe chꞌan la nchónhña nkehe kóhen kjuasóte chꞌan kixin titekaon chꞌan Cristo. Kja̱xin nixjehéra ti sin ndo̱e chꞌin Aristóbulo. 
ROM.16.11	Kja̱xin nixjehéra ti chꞌin Herodión kui̱xi̱n chjaséni la ko kja̱xin nixjehéra kaín ti sin ndo̱e chꞌin Narciso kixin kja̱xin sin tinkáchónki sin Ìnchéni. 
ROM.16.12	Nixjehéra tjan Trifena la ko tjan Trifosa. Kja̱xin jehe sin kjuíchꞌe sin ixra̱ kuènté Ìnchéni la ko nixjehéra kja̱xin ti tjan kíchóni Pérsida. Kja̱xin tjan imá kjuíchꞌe tjan ixra̱ kuènté Ìnchéni. 
ROM.16.13	*Kja̱xin nixjehéra chꞌin Rufo, ijnko chojni tsíkjeyá Ìnchéni, la ko nixjehéra ti ìñé chꞌan kixin kja̱xin tjan kjuínki̱tsa tjan ti janhan éxi na̱ná tꞌíkua̱n ti jehe tjan. 
ROM.16.14	Kja̱xin nixjehéra chꞌin Asincrito, chꞌin Flegonte, chꞌin Hermas, chꞌin Patrobas la chꞌin Hermes la ko ti íso sin kíchóni tjejó ntiha. 
