GEN.1.1	Alussa Jumala loi taivaat ja maan. 
NEH.2.18	 Kerroin heille myös, kuinka Jumalani hyvä käsi oli ollut minun päälläni ja mitä kuningas oli minulle sanonut. Silloin miehet sanoivat: ”Nouskaamme ja alkakaamme rakentaa.” Ja he saivat rohkeuden käydä käsiksi tähän hyvään työhön. 
NEH.2.19	Mutta kun hooronilainen Sanballat ja ammonilainen virkamies Tobia sekä arabialainen Gesem saivat kuulla tästä, he pilkkasivat meitä ja sanoivat meille halveksien: ”Mitä te oikein teette? Kapinoitteko te kuningasta vastaan?” 
NEH.2.20	Minä vastasin heille: ”Taivaan Jumala antaa meille menestystä, ja me, hänen palvelijansa, ryhdymme rakentamaan. Teillä sen sijaan ei ole mitään osuutta eikä oikeutta Jerusalemiin, eikä teistä jää tänne muistoa.” 
NEH.3.1	Ylipappi Eljasib ja hänen pappisveljensä nousivat ja rakensivat Lammasportin. He pyhittivät sen ja asettivat ovet paikoilleen. Siitä he jatkoivat Sadantorniin saakka, jonka he pyhittivät, ja siitä edelleen Hananelintorniin saakka. 
NEH.3.2	Eljasibista eteenpäin rakensivat Jerikon miehet, ja heistä eteenpäin rakensi Sakkur, Imrin poika. 
NEH.3.3	 Senaalaiset rakensivat Kalaportin. He kattoivat sen ja asettivat paikoilleen sen ovet, teljet ja salvat. 
NEH.3.4	 Heistä eteenpäin muuria korjasi Meremot, Uurian poika, Koosin pojanpoika, hänen vierellään Mesullam, Berekjan poika, Mesesavelin pojanpoika, ja hänen vierellään Saadok, Baanan poika. 
NEH.3.5	 Näiden vierellä muuria vahvistivat tekoalaiset, mutta heidän ylimyksensä eivät osallistuneet esimiesten määräämään työhön. 
NEH.3.6	 Vanhanportin korjasivat Joojada, Paaseahin poika, ja Mesullam, Besodjan poika. He kattoivat sen ja asettivat paikoilleen ovet, teljet ja salvat. 
NEH.3.7	 Heistä eteenpäin muuria korjasivat gibeonilainen Melatja ja meeronotilainen Jaadon sekä Gibeonin ja Mispan miehet. He olivat Eufratvirran tämänpuoleisen käskynhaltijan vallan alaisia. 
NEH.3.8	 Heidän vierellään muuria korjasi Ussiel, Harhajan poika, yksi kultasepistä, ja hänen vierellään Hananja, yksi voiteensekoittajista. He korjasivat Jerusalemin muuria Leveään muuriin saakka. 
NEH.3.9	 Heistä eteenpäin muuria korjasi Refaja, Huurin poika, Jerusalemin piirin toisen puolen päällikkö. 
NEH.3.10	 Hänestä eteenpäin muuria korjasi oman talonsa kohdalta Jedaja, Harumafin poika, ja hänen vierellään Hattus, Hasavnejan poika. 
NEH.3.11	 Seuraavan osuuden ja Uunitornin korjasivat Malkia, Haarimin poika, ja Hassub, Pahat-Mooabin poika. 
NEH.3.12	 Heidän vierellään muuria korjasi tyttäriensä kanssa Sallum, Hallooheksen poika, Jerusalemin piirin toisen puolen päällikkö. 
NEH.3.13	 Laaksoportin korjasi Haanun yhdessä Saanoahin asukkaiden kanssa. He rakensivat sen ja asettivat paikoilleen sen ovet, teljet ja salvat. Sen lisäksi he korjasivat muuria tuhat kyynärää Lantaporttiin saakka. 
NEH.3.14	 Lantaportin korjasi Malkia, Reekabin poika, Beet-Keremin piirin päällikkö. Hän rakensi sen ja asetti paikoilleen sen ovet, teljet ja salvat. 
NEH.3.15	 Lähdeportin korjasi Sallun, Kolhoosen poika, Mispan piirin päällikkö. Hän rakensi sen, teki siihen katon ja asetti paikoilleen sen ovet, teljet ja salvat. Sen lisäksi hän korjasi kuninkaan puutarhan luona olevan Vesijohtolammikon muurin Daavidin kaupungista laskeutuviin portaisiin saakka. 
NEH.3.16	 Hänestä seuraavana muuria korjasi Nehemia, Asbukin poika, Beet-Suurin piirin toisen puolen päällikkö, Daavidin hautojen kohdalle, tekolammikolle ja kasarmille saakka. 
NEH.3.17	 Hänestä seuraavana muuria korjasivat leeviläiset johtajanaan Rehum, Baanin poika, ja siitä eteenpäin oman piirinsä osalta Hasabja, Keilan piirin toisen puolen päällikkö. 
NEH.3.18	 Hänestä seuraavana muuria korjasivat heidän veljensä johtajanaan Bavvai, Heenadadin poika, Keilan piirin toisen puolen päällikkö. 
NEH.3.19	 Hänestä eteenpäin Eeser, Jeesuan poika, Mispan päällikkö, korjasi toisen osan muuria siltä kohdalta, mistä noustaan kulmavarustuksessa olevaan asehuoneeseen. 
NEH.3.20	 Seuraavan osan muuria korjasi innokkaasti Baaruk, Sabbain poika, kulmavarustuksesta ylipappi Eljasibin talon oveen saakka. 
NEH.3.21	 Seuraavan osan korjasi Meremot, Uurian poika, Koosin pojanpoika, Eljasibin talon ovesta hänen talonsa päätyyn. 
NEH.3.22	 Seuraavina muuria korjasivat lähiseutujen papit. 
NEH.3.23	 Heistä seuraavina muuria korjasivat Benjamin ja Hassub oman talonsa kohdalta ja heidän vierellään Asarja, Maasejan poika, Ananjan pojanpoika, oman talonsa kohdalta. 
NEH.3.24	 Seuraavan osan korjasi Binnui, Heenadadin poika Asarjan talosta muurin kulmavarustukseen saakka. 
NEH.3.25	 Paalal, Uusain poika, korjasi muuria läheltä kulmavarustusta ja tornia, joka kohoaa ylemmän kuninkaanlinnan vartioston pihasta. Seuraavan osan korjasi Pedaja, Paroksen poika, 
NEH.3.26	 ja Oofelissa asuvat temppelipalvelijat kunnostivat muuria itäiseen Vesiporttiin ja sen luona kohoavaan torniin saakka. 
NEH.3.27	 Seuraavan osan korjasivat tekoalaiset muurista kohoavan suuren tornin kohdalta Oofelin muuriin saakka. 
NEH.3.28	 Hevosportista eteenpäin muuria korjasivat papit, kukin oman talonsa kohdalta. 
NEH.3.29	 Seuraavan osan korjasi Saadok, Immerin poika, oman talonsa kohdalta, ja hänestä seuraavana Semaja, Sekanjan poika, Itäportin vartija. 
NEH.3.30	 Seuraavan osan korjasivat Hananja, Selemjan poika, ja Haanun, Saalafin kuudes poika. Heistä seuraavana muuria korjasi Mesullam, Berekjan poika, oman asuntonsa kohdalta. 
NEH.3.31	 Hänestä eteenpäin korjasi muuria Malkia, yksi kultasepistä, Mifkadportin kohdalta temppelipalvelijoiden ja kauppiaiden taloon ja muurinkulmauksessa olevaan yläsaliin saakka. 
NEH.3.32	 Kultasepät ja kauppiaat korjasivat muurinkulmauksessa olevan yläsalin ja Lammasportin välisen osan. 
NEH.3.33	Kun Sanballat sai kuulla meidän rakentavan muuria, hän vihastui ja suuttui kovin. Hän pilkkasi juutalaisia 
NEH.3.34	 ja sanoi veljiensä ja Samarian sotajoukon edessä: ”Mitä nuo kurjat juutalaiset tekevät? Jätetäänkö heidät rauhaan? Tulevatko he uhraamaan? Saavatko he jonakin päivänä työnsä valmiiksi? Herättävätkö he eloon tuhkaläjissä olevat kivet?” 
NEH.3.35	 Hänen vierellään ammonilainen Tobia sanoi: ”Rakentakoot vain! Kettukin saa heidän kivimuurinsa hajoamaan, jos kiipeää sen päälle.” 
NEH.3.36	”Kuule, Jumalamme, kuinka halveksittuja meistä on tullut. Saata heidän häpäisevät sanansa kääntymään heitä itseään vastaan. Anna heidän joutua ryöstetyiksi ja vangeiksi vieraaseen maahan. 
NEH.3.37	 Älä peitä heidän syyllisyyttään äläkä pyyhi heidän syntejään pois edestäsi, sillä he ovat loukanneet rakentajia.” 
NEH.3.38	Me rakensimme muuria sen koko pituudelta puoleen korkeuteen asti. Siitä kansa sai rohkeutta jatkaa työtä. 
NEH.4.1	Mutta kun Sanballat, Tobia, arabialaiset, ammonilaiset ja asdodilaiset kuulivat, että Jerusalemin muurien korjaus edistyi ja niiden aukot alkoivat täyttyä, he suuttuivat silmittömästi. 
NEH.4.2	 He kaikki tekivät keskenään liiton lähteäkseen taistelemaan Jerusalemia vastaan ja saattaakseen sen sekasortoon. 
NEH.4.3	 Silloin me rukoilimme Jumalaamme ja asetimme vihollisten varalta vartijat vartioimaan yötä päivää. 
NEH.4.4	 Mutta Juudan heimo sanoi: ”Kantajien voimat ehtyvät, ja soraläjiä on vielä paljon. Emme kykene saamaan muuria valmiiksi.” 
NEH.4.5	 Vihollisemme taas sanoivat: ”He eivät tiedä eivätkä huomaa mitään, ennen kuin jo olemme heidän keskellään. Silloin me tapamme heidät ja teemme lopun siitä työstä.” 
NEH.4.6	 Niin vihollisten keskuudessa asuvat juutalaiset tulivat ja varoittivat meitä kerta toisensa jälkeen kaikista niistä paikoista, joista nämä aikoivat hyökätä kimppuumme. 
NEH.4.7	 Silloin minä perustin vartiopaikat muurin taakse sen mataliin ja avoimiin kohtiin ja asetin kansan asemiin suvuittain miekkoineen, keihäineen ja jousineen. 
NEH.4.8	 Tarkastettuani kaiken minä nousin ja sanoin ylimyksille, johtomiehille ja muulle kansalle: ”Älkää pelätkö heitä! Muistakaa, että Herra on suuri ja pelättävä. Taistelkaa veljienne, poikienne ja tyttärienne, vaimojenne ja kotienne puolesta.” 
NEH.4.9	Kun vihollisemme saivat kuulla, että heidän juonensa oli paljastunut meille ja että Jumala oli tehnyt sen tyhjäksi, me kaikki palasimme takaisin muurille, jokainen omaan työhönsä. 
NEH.4.10	 Siitä päivästä alkaen puolet palvelijoistani teki työtä ja puolet oli varustautunut keihäillä, kilvillä, jousilla ja rintahaarniskoilla. Päälliköt olivat koko Juudan heimon tukena 
NEH.4.11	 sen rakentaessa muuria. Taakkojen ja kuormien kantajat tekivät toisella kädellään työtä, toisessa he pitivät asetta. 
NEH.4.12	 Kullakin rakentajalla oli miekka vyöllään työtä tehdessään. Torvensoittaja oli vierelläni. 
NEH.4.13	 Minä sanoin ylimyksille, esimiehille ja muulle kansalle: ”Työ on suuri ja laaja, ja me olemme muurilla hajallamme, kaukana toisistamme. 
NEH.4.14	 Kun kuulette torven soivan jossakin paikassa, kokoontukaa sinne meidän luoksemme. Meidän Jumalamme sotii puolestamme.” 
NEH.4.15	Niin me jatkoimme työtä, ja puolet väestä oli aseistettuna keihäillä aamunkoitosta aina siihen asti, kun tähdet tulivat näkyviin. 
NEH.4.16	 Siihen aikaan minä annoin kansalle myös määräyksen: ”Jokainen yöpyköön palvelijoineen Jerusalemissa, että kaikki voisivat olla apunamme yöllä vartioimassa ja päivällä tekemässä työtä.” 
NEH.4.17	 Me emme edes riisuneet vaatteitamme, en minä, eivät veljeni eivätkä palvelijani, eivät myöskään mukanani kulkevat vartijat. Heillä jokaisella oli aseensa sekä vettä. 
NEH.5.1	Mutta kansan keskuudessa monet miehet vaimoineen alkoivat valittaa äänekkäästi juutalaisia heimoveljiään vastaan. 
NEH.5.2	 Jotkut sanoivat: ”Meitä ja meidän poikiamme ja tyttäriämme on paljon. Meidän täytyy saada viljaa syödäksemme ja pysyäksemme hengissä.” 
NEH.5.3	 Toiset taas sanoivat: ”Meidän on täytynyt pantata peltomme, viinitarhamme ja talomme saadaksemme viljaa nälkäämme.” 
NEH.5.4	 Vielä oli niitä, jotka sanoivat: ”Meidän on täytynyt lainata rahaa peltojamme ja viinitarhojamme vastaan, jotta voimme maksaa verot kuninkaalle. 
NEH.5.5	 Olemmehan me sentään samaa lihaa ja verta kuin veljemme, ja meidän lapsemme ovat heidän lastensa veroisia. Nyt meidän täytyy kuitenkin myydä poikamme ja tyttäremme orjiksi. Tyttäriämme on jo myytykin, emmekä voi sille mitään, koska peltomme ja viinitarhamme ovat toisten käsissä.” 
NEH.5.6	Kuultuani heidän valituksensa ja nämä puheet minä vihastuin kovin. 
NEH.5.7	 Harkittuani asiaa minä nuhtelin ylimyksiä ja johtomiehiä. Minä sanoin heille: ”Te kaikki kiskotte korkoa veljiltänne.” Sitten kutsuin koolle suuren kansankokouksen heitä vastaan 
NEH.5.8	ja sanoin: ”Me olemme kykymme mukaan ostaneet vapaiksi juutalaisia heimoveljiämme, jotka oli myyty vieraiden kansojen orjiksi, ja kuitenkin te nyt myytte veljiänne. Täytyykö meidän lunastaa heidätkin?” He olivat vaiti eivätkä saaneet sanaa suustaan. 
NEH.5.9	Minä sanoin: ”Se, mitä teette, ei ole oikein. Eikö teidän tulisi vaeltaa Jumalamme pelossa, jotta vihollisemme eivät saisi aihetta pilkata meitä? 
NEH.5.10	Myös minä, veljeni ja palvelijani olemme lainanneet näille veljille rahaa ja viljaa. Luopukaamme nyt vaatimasta näitä saatavia. 
NEH.5.11	 Palauttakaa tekin heille heti heidän peltonsa, viinitarhansa, öljypuunsa ja talonsa sekä korko lainaamastanne rahasta, viljasta, viinistä ja öljystä.” 
NEH.5.12	 He vastasivat: ”Me palautamme ne emmekä vaadi heiltä mitään takaisin. Teemme niin kuin sanot.” Niin minä kutsuin papit paikalle ja vannotin kaikkia tekemään niin kuin oli sovittu. 
NEH.5.13	 Sitten ravistin viittani helmaa ja sanoin: ”Jokaisen, joka rikkoo tämän sopimuksen, ravistakoon Jumala näin pois hänen talostaan ja vaivannäkönsä hedelmistä. Näin hänet ravistettakoon pois kodistaan ja tyhjennettäköön kaikesta.” Koko seurakunta sanoi: ”Aamen!” ja ylisti 
NEH.5.14	Siitä päivästä lähtien, jona minut määrättiin olemaan käskynhaltijana Juudan maassa, siis kuningas Artahsastan kahdennestakymmenennestä hallitusvuodesta aina hänen kolmanteenkymmenenteenkahdenteen hallitusvuoteensa saakka, eli kahtenatoista vuotena, en minä eivätkä veljeni syöneet sitä ruokaa, joka olisi kuulunut käskynhaltijalle. 
NEH.5.15	 Minua aikaisemmat käskynhaltijat olivat rasittaneet kansaa ja ottaneet siltä leipää ja viiniä neljänkymmenen hopeasekelin arvosta, ja myös heidän palvelijansa olivat sortaneet kansaa. Mutta minä en tehnyt niin, koska pelkäsin Jumalaa. 
NEH.5.16	 Minä osallistuin myös muurin korjaustyöhön. Peltomaata emme hankkineet, joten kaikki palvelijanikin olivat kokoontuneet muurille työhön. 
NEH.5.17	Minun pöydässäni aterioi sataviisikymmentä juutalaista sekä esimiehet ja lisäksi ne miehet, jotka ympärillämme olevista kansoista olivat tulleet luoksemme. 
NEH.5.18	 Minun kustannuksellani valmistettiin päivittäin ruuaksi yksi härkä ja kuusi valiolammasta sekä lintuja. Joka kymmenes päivä hankittiin paljon kaikenlaisia viinejä. Siitä huolimatta en vaatinut itselleni käskynhaltijalle kuuluvaa ruokaa, koska työ painoi kansaa raskaasti. 
NEH.5.19	”Jumalani, muista minun hyväkseni kaikki, mitä olen tehnyt tämän kansan parhaaksi.” 
NEH.6.1	Kun Sanballat, Tobia, arabialainen Gesem ja meidän muut vihollisemme kuulivat, että minä olin rakentanut muurin ja ettei siinä enää ollut aukkoja – tosin en vielä siihen aikaan ollut asettanut porttien ovia paikoilleen, 
NEH.6.2	Sanballat ja Gesem lähettivät minulle sanan: ”Tule, kohdatkaamme toisemme Kefirimissä, Oononlaaksossa.” He näet aikoivat tehdä minulle pahaa. 
NEH.6.3	 Minä lähetin heidän luokseen sanansaattajat sanomaan: ”Minulla on suuri työ tekeillä enkä voi tulla. Miksi työn pitäisi keskeytyä sen vuoksi, että minä jättäisin sen ja tulisin teidän luoksenne?” 
NEH.6.4	 He lähettivät minulle saman viestin neljä kertaa, mutta minä vastasin heille aina samoin sanoin. 
NEH.6.5	Sitten Sanballat lähetti viidennen kerran luokseni palvelijansa samoissa asioissa, ja tällä oli kädessään avoin kirje. 
NEH.6.6	 Siihen oli kirjoitettu: ”Kansojen keskuudessa puhutaan, ja myös Gasmu sanoo, että sinä ja juutalaiset suunnittelette kapinaa ja siitä syystä sinä rakennat muuria. Näiden puheiden mukaan sinä pyrit heidän kuninkaakseen 
NEH.6.7	 ja olet myös asettanut profeettoja julistamaan itsestäsi Jerusalemissa näin: ’Juudassa on kuningas.’ Nyt kuningaskin saa kuulla nämä puheet. Tule siis, meidän on neuvoteltava yhdessä.” 
NEH.6.8	Silloin minä lähetin hänelle sanan: ”Mitään tuollaista, mistä puhut, ei ole tapahtunut, vaan olet keksinyt sen omasta päästäsi.” 
NEH.6.9	 He kaikki pelottelivat meitä arvellen, että kätemme herpoavat työstä ja työ jää tekemättä. ”Mutta vahvista, Jumala, minun käteni!” 
NEH.6.10	Kun menin tapaamaan Semajaa, Delajan poikaa, Mehetabelin pojanpoikaa, hänen taloonsa, jonne hän oli eristäytynyt, hän sanoi: ”Menkäämme yhdessä Jumalan temppelin temppelisaliin ja sulkekaamme salin ovet, sillä he aikovat surmata sinut. He tulevat yöllä ja tappavat sinut.” 
NEH.6.11	 Mutta minä sanoin: ”Pakenisiko minunlaiseni mies? Tai kuinka voisi minunlaiseni mies mennä temppeliin ja kuitenkin jäädä eloon? Minä en mene.” 
NEH.6.12	 Minä näet ymmärsin, ettei Semaja ollut Jumalan lähettämä, vaan hän lausui minulle tämän ennustuksen, koska Tobia ja Sanballat olivat palkanneet hänet. 
NEH.6.13	 Hänet oli palkattu, jotta minä pelästyisin ja tekisin niin kuin he toivoivat. Näin olisin tehnyt syntiä, ja he olisivat saaneet pilkan aiheen häväistäkseen minua. 
NEH.6.14	”Jumalani, muista Tobiaa ja Sanballatia heidän tekojensa mukaisesti, niin myös naisprofeetta Nooadjaa ja muita profeettoja, jotka yrittivät pelotella minua.” 
NEH.6.15	Muuri valmistui elul-kuun kahdentenakymmenentenäviidentenä päivänä, kun työtä oli tehty viisikymmentäkaksi päivää. 
NEH.6.16	 Kun kaikki vihollisemme kuulivat tästä ja kaikki ympärillämme asuvat kansat näkivät sen, he tunsivat itsensä nöyryytetyiksi. He näet ymmärsivät, että työ oli suoritettu meidän Jumalamme avulla. 
NEH.6.17	 Niinä päivinä Juudan ylimykset lähettivät lukuisia kirjeitä Tobialle ja myös Tobia lähetti kirjeitä heille, 
NEH.6.18	 sillä Juudassa oli monia Tobian liittolaisia, jotka olivat vannoneet hänelle uskollisuudenvalan. Olihan Tobia Sekanjan, Aarahin pojan, vävy, ja hänen poikansa Joohanan oli ottanut vaimokseen Berekjan pojan Mesullamin tyttären. 
NEH.6.19	Lisäksi nämä puhuivat Tobiasta hyvää minun edessäni ja kertoivat sitten hänelle, mitä olin sanonut. Kirjeitäkin Tobia lähetti minulle saadakseen minut pelkäämään. 
NEH.7.1	Kun muuri oli valmistunut, minä asetin porttien ovet paikoilleen. Sitten portinvartijat, laulajat ja leeviläiset määrättiin tehtäviinsä. 
NEH.7.2	 Jerusalemin johtoon minä asetin veljeni Hananin ja linnanpäällikkö Hananjan, sillä hän oli luotettava mies ja pelkäsi Jumalaa enemmän kuin monet muut. 
NEH.7.3	 Sanoin heille: ”Jerusalemin portteja ei saa avata ennen kuin aurinko paistaa lämpimästi, ja ne on suljettava ja teljettävä vartijoiden vielä seistessä paikoillaan. Jerusalemin asukkaat on pantava vartioimaan, kukin omalle vartiopaikalleen oman talonsa kohdalle.” 
NEH.7.4	 Kaupunki oli suuri ja laaja, mutta siinä oli vähän väkeä, ja taloja oli vielä rakentamatta. 
NEH.7.5	Jumala pani sydämelleni, että minun tuli koota ylimykset, johtomiehet ja kansa sukuluetteloihin merkitsemistä varten. Silloin löysin ensimmäisinä palanneiden sukuluettelon ja huomasin, että siihen oli kirjoitettu näin: 
NEH.7.6	 Nämä ovat ne Juudan maakunnan asukkaat, jotka tulivat pakkosiirtolaisuudesta, vankeudesta, jonne Nebukadnessar, Babylonian kuningas, oli heidät vienyt, ja jotka nyt palasivat Jerusalemiin ja Juudaan, kukin omaan kaupunkiinsa. 
NEH.7.7	He tulivat Serubbaabelin, Jeesuan, Nehemian, Asarjan, Raamian, Nahamanin, Mordokain, Bilsanin, Misperetin, Bigvain, Nehumin ja Baanan johtamina. Israelin kansan miesten lukumäärä oli: 
NEH.7.8	 Paroksen jälkeläisiä kaksituhatta sataseitsemänkymmentäkaksi, 
NEH.7.9	 Sefatjan jälkeläisiä kolmesataaseitsemänkymmentäkaksi, 
NEH.7.10	 Aarahin jälkeläisiä kuusisataaviisikymmentäkaksi, 
NEH.7.11	 Pahat-Mooabin jälkeläisten Jeesuan ja Jooabin jälkeläisiä kaksituhatta kahdeksansataakahdeksantoista, 
NEH.7.12	 Eelamin jälkeläisiä tuhat kaksisataaviisikymmentäneljä. 
NEH.7.13	 Sattun jälkeläisiä kahdeksansataaneljäkymmentäviisi, 
NEH.7.14	 Sakkain jälkeläisiä seitsemänsataakuusikymmentä, 
NEH.7.15	 Binnuin jälkeläisiä kuusisataaneljäkymmentäkahdeksan, 
NEH.7.16	 Beevain jälkeläisiä kuusisataakaksikymmentäkahdeksan, 
NEH.7.17	 Asgadin jälkeläisiä kaksituhatta kolmesataakaksikymmentäkaksi, 
NEH.7.18	 Adonikamin jälkeläisiä kuusisataakuusikymmentäseitsemän, 
NEH.7.19	 Bigvain jälkeläisiä kaksituhatta kuusikymmentäseitsemän, 
NEH.7.20	 Aadinin jälkeläisiä kuusisataaviisikymmentäviisi, 
NEH.7.21	 Hiskian sukua olevan Aaterin jälkeläisiä yhdeksänkymmentäkahdeksan, 
NEH.7.22	 Haasumin jälkeläisiä kolmesataakaksikymmentäkahdeksan, 
NEH.7.23	 Beesain jälkeläisiä kolmesataakaksikymmentäneljä, 
NEH.7.24	 Haarifin jälkeläisiä satakaksitoista 
NEH.7.25	 ja Gibeonin jälkeläisiä yhdeksänkymmentäviisi. 
NEH.7.26	 Beetlehemin ja Netofan miehiä oli satakahdeksankymmentäkahdeksan, 
NEH.7.27	 Anatotin miehiä satakaksikymmentäkahdeksan, 
NEH.7.28	 Beet-Asmavetin miehiä neljäkymmentäkaksi, 
NEH.7.29	 Kirjat-Jearimin, Kefiran ja Beerotin miehiä seitsemänsataaneljäkymmentäkolme, 
NEH.7.30	 Raaman ja Geban miehiä kuusisataakaksikymmentäyksi, 
NEH.7.31	 Mikmaksen miehiä satakaksikymmentäkaksi, 
NEH.7.32	 Beetelin ja Ain miehiä satakaksikymmentäkolme 
NEH.7.33	 ja toisen Nebon miehiä viisikymmentäkaksi. 
NEH.7.34	 Toisen Eelamin asukkaiden jälkeläisiä oli tuhat kaksisataaviisikymmentäneljä, 
NEH.7.35	 haarimilaisia kolmesataakaksikymmentä, 
NEH.7.36	 jerikolaisia kolmesataaneljäkymmentäviisi, 
NEH.7.37	 loodilaisia, haadidilaisia ja oonolaisia seitsemänsataakaksikymmentäyksi 
NEH.7.38	 ja senaalaisia kolmetuhatta yhdeksänsataakolmekymmentä. 
NEH.7.39	 Pappeja, Jedajan jälkeläisiä Jeesuan suvusta, oli yhdeksänsataaseitsemänkymmentäkolme, 
NEH.7.40	 Immerin jälkeläisiä tuhat viisikymmentäkaksi, 
NEH.7.41	 Pashurin jälkeläisiä tuhat kaksisataaneljäkymmentäseitsemän 
NEH.7.42	 ja Haarimin jälkeläisiä tuhat seitsemäntoista. 
NEH.7.43	 Leeviläisiä, Hoodevan poikien Jeesuan ja Kadmielin jälkeläisiä, oli seitsemänkymmentäneljä. 
NEH.7.44	 Laulajia, Aasafin jälkeläisiä, oli sataneljäkymmentäkahdeksan. 
NEH.7.45	 Portinvartijoita, Sallumin, Aaterin, Talmonin, Akkubin, Hatitan ja Soobain jälkeläisiä, oli satakolmekymmentäkahdeksan. 
NEH.7.46	 Temppelipalvelijoita olivat Siihan jälkeläiset, Hasufan jälkeläiset, Tabbaotin jälkeläiset, 
NEH.7.47	 Keeroksen jälkeläiset, Siian jälkeläiset, Paadonin jälkeläiset, 
NEH.7.48	 Lebanan jälkeläiset, Hagaban jälkeläiset, Salmain jälkeläiset, 
NEH.7.49	 Haananin jälkeläiset, Giddelin jälkeläiset, Gaharin jälkeläiset, 
NEH.7.50	 Reajan jälkeläiset, Resinin jälkeläiset, Nekodan jälkeläiset, 
NEH.7.51	 Gassamin jälkeläiset, Ussan jälkeläiset, Paaseahin jälkeläiset, 
NEH.7.52	 Beesain jälkeläiset, Meunimin jälkeläiset, Nefisesimin jälkeläiset, 
NEH.7.53	 Bakbukin jälkeläiset, Hakufan jälkeläiset, Harhurin jälkeläiset, 
NEH.7.54	 Baslitin jälkeläiset, Mehidan jälkeläiset, Harsan jälkeläiset, 
NEH.7.55	 Barkoksen jälkeläiset, Siiseran jälkeläiset, Taamahin jälkeläiset, 
NEH.7.56	 Nesiahin jälkeläiset ja Hatifan jälkeläiset. 
NEH.7.57	 Salomon palvelijoiden jälkeläisiä olivat Sootain jälkeläiset, Sooferetin jälkeläiset, Peridan jälkeläiset, 
NEH.7.58	 Jaalan jälkeläiset, Darkonin jälkeläiset, Giddelin jälkeläiset, 
NEH.7.59	 Sefatjan jälkeläiset, Hattilin jälkeläiset, Pokeret-Sebaimin jälkeläiset ja Aamonin jälkeläiset. 
NEH.7.60	 Kaikkiaan temppelipalvelijoita ja Salomon palvelijoiden jälkeläisiä oli kolmesataayhdeksänkymmentäkaksi. 
NEH.7.61	 Nämä Teel-Melahista, Teel-Harsasta, Kerub-Addonista ja Immeristä lähteneet eivät kyenneet ilmoittamaan, olivatko he suvultaan ja syntyperältään israelilaisia: 
NEH.7.62	 Delajan jälkeläiset, Tobian jälkeläiset ja Nekodan jälkeläiset, kuusisataaneljäkymmentäkaksi henkeä, 
NEH.7.63	 lisäksi papeista Habaijan, Koosin ja Barsillain jälkeläiset. Barsillai oli ottanut itselleen vaimon gileadilaisen Barsillain tyttäristä, ja häntä kutsuttiin heidän sukunsa nimellä. 
NEH.7.64	 Nämä miehet etsivät sukuluetteloitaan, mutta niitä ei löytynyt, ja niin heidät julistettiin pappeuteen kelpaamattomiksi. 
NEH.7.65	 Maaherra sanoi heille, etteivät he saa syödä pyhistä uhrilahjoista, ennen kuin nousisi pappi, joka voisi käyttää uurimia ja tummimia. 
NEH.7.66	 Kaiken kaikkiaan seurakuntaa oli neljäkymmentäkaksituhatta kolmesataakuusikymmentä henkeä 
NEH.7.67	 sekä heidän palvelijansa ja palvelijattarensa, joita oli seitsemäntuhatta kolmesataakolmekymmentäseitsemän. Lisäksi mukana oli kaksisataaneljäkymmentäviisi laulajaa, miehiä ja naisia. 
NEH.7.68	 Kameleja heillä oli neljäsataakolmekymmentäviisi ja aaseja kuusituhatta seitsemänsataakaksikymmentä. 
NEH.7.69	Osa sukujen päämiehistä antoi lahjoja rakennustyötä varten. Käskynhaltija antoi rahastoon tuhat kultadrakhmaa, viisikymmentä pirskotusmaljaa ja viisisataakolmekymmentä papinpukua. 
NEH.7.70	 Muutamat sukujen päämiehistä antoivat rakennusrahastoon kaksikymmentätuhatta dareikkia kultaa ja kaksituhatta kaksisataa minaa hopeaa. 
NEH.7.71	 Muu kansa antoi yhteensä kaksikymmentätuhatta dareikkia kultaa ja kaksituhatta minaa hopeaa sekä kuusikymmentäseitsemän papinpukua. 
NEH.7.72	 Koko Israel, papit, leeviläiset, portinvartijat, laulajat, temppelipalvelijat ja kansa, asettui asumaan kaupunkeihinsa. Kun tuli seitsemäs kuukausi, israelilaiset asuivat jo kaupungeissaan. 
NEH.8.1	Silloin koko kansa kokoontui yhtenä miehenä Vesiportin edustalla olevalle aukiolle ja Esraa, kirjanoppinutta, pyydettiin tuomaan Mooseksen lain kirja, jonka 
NEH.8.2	Seitsemännen kuun ensimmäisenä päivänä pappi Esra toi lain kansankokouksen eteen, miesten ja naisten, kaikkien, jotka kykenivät ymmärtämään, mitä kuulivat. 
NEH.8.3	 Hän luki sitä Vesiportin edustalla olevalla aukiolla päivänkoitosta puolipäivään saakka miesten ja naisten edessä, kaikkien, jotka kykenivät ymmärtämään, ja koko kansa kuunteli lain kirjan lukemista. 
NEH.8.4	Esra, kirjanoppinut, seisoi puukorokkeella, joka oli tehty tätä tarkoitusta varten. Hänen vierellään oikealla puolella seisoivat Mattitja, Sema, Anaja, Uuria, Hilkia ja Maaseja ja vasemmalla puolella Pedaja, Miisael, Malkia, Haasum, Hasbaddana, Sakarja ja Mesullam. 
NEH.8.5	 Esra avasi kirjan koko kansan nähden – hän näet seisoi kansaa ylempänä – ja kun hän avasi sen, koko kansa nousi seisomaan. 
NEH.8.6	 Esra ylisti 
