MAT.1.1	Иисус Христостың ӧбекелері: Ол Давидтің паза Авраамның тӧлі полча. Аның ӧбекелері мындағлар: 
1PE.2.21	Худай сірерні іди поларға хығыртхан. Христос сірернің ӱчӱн ирее кӧріп, Позы сірерге кӧзідім полған нооза. Сірер дее Аның чолынҷа парыңар. 
1PE.2.22	Ол пір дее чазых итпеен. Аның ахсынаң чой чоох сыхпаан. 
1PE.2.23	Аны сӧклееннер, ол, тізең, удур тапсабаан. Ол ирееленген, че пірдеезіне хыҷанмаан. Орта Чарғыҷының холына ол прай нимезін пирібіскен. 
1PE.2.24	Пістің чазыхтарыбысты Ол Позының иді-ханынаң ӧӧре кӧдірібіскен паза кіреске хазатырт салған. Ол анзын пістің чазыхха ӧл парарыбыстың, орта чуртасха, тізең, айлан парарыбыстың ӱчӱн иткен. Аның палығлары сірерні чазылдыр салғаннар. 
1PE.2.25	Сірер астых чӧрчеткен хойлар осхас полғазар. Амды, тізең, сірернің чуртастарыңны хайраллапчатхан Хадарҷызар айлан килгезер.
1PE.3.1+1PE.3.2	Сірер, ипчілер, ідӧк ирлеріңнің сӧзінең сыхпаңар. Андада Худай сӧзін испинчеткен хай пірее ирлер, ипчілерінің чуртастары пастыра ла, артых чоохтаспин, Худайға хозыл парарлар. Сірернің арығ сағыстығ, Худайдаң хорығып чуртапчатханнарыңны кӧрзелер, оларға пір дее ниме чоохтирға кирек чох полар. 
1PE.3.3	Сірерні састы сіліг ӱрінгені, алтын чазағларны алай кеен кип-азахты кискені нимес, 
1PE.3.4	че чӱректең тӧріпчеткен нымзах, амыр кӧңніңернің уурабас сілии чазазын. Худай анзын аарлапча. 
1PE.3.5	Хаҷан-да Худайға ізенчеткен ах-арығ ипчілер дее, ирлерінің сӧзінең сыхпин, постарын іди чазаҷаңнар. 
1PE.3.6	Іди Сарра, Авраамны хан-пиг адап, аның чооғын исчең. Сірер чахсы ниме итчеткен ползар, паза пір дее нимедең хорыхпинчатсар, Сарраның палалары полчазар.
1PE.3.7	Сірер дее, ирлер, ипчілеріңнең чуртап, піліңер: олар порт ідіс осхастар. Оларны улуғлаңар: ипчілер чуртас сыйиин ирлерінең хада аларлар. Андада, пазырчатса, сірерге пір дее ниме харығ полбас.
1PE.3.8	Ол оңдайнаң сірер прайларың пір сағыстығ, кізее ачынаачы, харындас-пиҷее хынаачы, паарсах, чалахай, пазымнығ поларға кирексер. 
1PE.3.9	Чабалға чабалнаң, хырызынысха хырызыныснаң нандырбаңар, че алғас аларға хығыртылғаннарыңны піліп, кізілерні улам алғапчадыңар. 
1PE.3.10	Кем чуртасха хынча паза чахсы кӱннерні кӧрері килче, ол кізі ахсын чабал сӧстердең, тілін чой чоохтардаң тудынып одырзын. 
1PE.3.11	Чабал нимедең хыйа полып, чахсы ниме итчет. Амырға тартылчат, ағаа харас. 
1PE.3.12	Худайның харахтары ах сағыстығ кізілерзер кӧрчелер. Аның хулахтары пазырчатханнарны тыңнапчалар. Че чабал ниме итчеткен кізілерні, чир-чарыхтаң чох идібізерге тіп, Худай оларға тоғыр кӧрче.
1PE.3.13	Чахсы нимее кӱстенчетсер, сірерге пірее кізі хомай идер бе? 
1PE.3.14	Че сын нименің ӱчӱн ирее кӧрчетсеңер, сірер часкалығзар. Олар хорыхчатхан нимедең хорыхпаңар паза сағыссырабаңар.
1PE.3.15	Хан Худайны чӱректеріңде ах-арығ ал чӧріңер. Сірернің нимее ізенчеткеннеріңні сурчатхан ноо даа кізее нандырығ пирерге хаҷан даа тимде полыңар. Пазымнығ кізілерні, улуғлап ала, нандырчадыңар, 
1PE.3.16	арығ сағыстығ полыңар. Андада сірерні чабал тіпчеткен, Христоста иптіг чуртапчатханнарыңны сӧклепчеткен кізілер постары уйатха кірерлер. 
1PE.3.17	Чабал киректернің ӱчӱн ирее кӧргенҷе, Худайның кӧңнінҷе чахсы киректернің ӱчӱн иреелензе артых полар.
1PE.3.18	Христос пір хати пістің ӱчӱн иреелен парған. Орта чуртапчатхан Позы сайбағҷыларның ӱчӱн ирееленген. Ол анзын пісті Худайзар ағыларға тіп иткен. Христос кізі чіли ӧдірт салған, че Худынаң тіріл парған. 
1PE.3.19	Ол пиктегдегі хуттарзар Хуттаң пастыра тӱзіп, ӱгреткен. 
1PE.3.20	Ол Худайның чооғын испинчеткен кізілер полған. Ной керіп пӱдірчеткен тустардох Худай оларға ӱр тыстанған. Ол керіпте кӧп нимес, сигіс кізі суғдаң арачыланып алған. 
1PE.3.21	Амды піс тее суғ пастырох кіреске тӱсчебіс. Че анзы кізінің идінің кірін арығланғаны нимес. Ол Худайзар арығ чӱректіг айланғанын таныхтапча. Іди кіреске тӱскені Иисус Христостың тірілгені пастыра сірерні арачылапча. 
1PE.3.22	Иисус Христос Худайның оң холында одырча. Хаҷан Ол тигірзер ӧӧрлебіскеніңде, Аның чооғын ангеллер паза ӱлгӱлер паза кӱстер ис сыхханнар.
1PE.4.1	Христос пістің ӱчӱн иді-ханын иреелеткен. Сірер дее олох пӧгіннең тирін салыңар. Иді-ханын иреелетчеткен кізі чазых идерін тохтатча нооза. 
1PE.4.2	Ол оңдайнаң кізі пу чирде чуртирға хала парған тусты, хыҷаланыстарына сабылбин, Худайның кӧңнінҷе чуртапча. 
1PE.4.3	Ирткен туста сірер илееде ӱр Худайы чох кізілернің оңдайынҷа полғазар нооза. Сайбах хылынғазар, оралысха, іскее салынғазар. Сірер, кӱлет саап, араға іс чӧргезер паза, чахығдаң тоғыр хылынып, худай омалап иткен нимелерні улуғлаазар. 
1PE.4.4	Амды сайбахха паза кӱлетке хада салынминчатханнарыңа хахап, олар сірерні сӧклеп чӧрчелер. 
1PE.4.5	Че олар Худайның алнында нандырығ тударлар. Ол ӧліглерні паза тіріглерні чарғылирға тимнен салған. 
1PE.4.6	Аның ӱчӱн ӧліглерге дее Чахсы Хабар чарлалған. Олар кізілер чіли ит-хан хоостыра иткен киректерінің ӱчӱн чарғылатханнар. Анзы Худайның оңдайынҷа хут пастыра чуртирлары ӱчӱн иділген.
1PE.4.7	Че прай ниме тоозыларына чағдап одыр. Аннаңар чахсы, орта сағынып ал турыңар, пазырчатсаңар, сизіктіг полыңар. 
1PE.4.8	Иң пастағызында удур-тӧдір матап хынызыңар. Хыныс кӧп чазыхты чаап парыбысча нооза. 
1PE.4.9	Кібіренмин, удур-тӧдір аалласчадыңар. 
1PE.4.10	Сірер полғаныңар Худайдаң сыйых алғазар. Чахсы устағҷы полып, Худайның пу ӧң-пазы паарсазынаң иптіг тузаланыңар паза удур-тӧдір полызызыңар. 
1PE.4.11	Чоохтанарға салылған кізі Худай сӧстерінең чоохтанзын. Полызарға салылған кізі Худай пирчеткен кӱснең тузаланзын. Худай Иисус Христостаң пастыра сабланзын. Худайға хаҷан даа сабланыс паза кӱс ползын! Аминь.
1PE.4.12	Хынғаннарым! Отнаң ӧртетчеткен чіли сынаттыртханнарыңа ӱрӱкпеңер. Ол сынағларны пасхаҷыл нимее санабаңар. 
1PE.4.13	Христостың ирееленістерінде араласчатханнарыңа ӧрініңер. Ол Позының сабланызында килзе, сірер ӧрінерзер, сірернің чӱрееңер ӧрлир. 
1PE.4.14	Сірерні Христостың адының ӱчӱн сӧклепчетселер, сірер часкалығзар: сабланыстың Худы, Худайның Худы сірерге тӱскен нооза. Тігілер аны хырысчалар, сірер, тізең, саблапчазар. 
1PE.4.15	Сірер ирееленчетсер, тізең, ол ниме ӧдірістің, оғырластың, чабал иткеннің, пасха кізінің киректеріне кірісчеткеннің ӱчӱн полбазын. 
1PE.4.16	Христостың кізізі чіли ирееленчеткеннің ӱчӱн уйатпа, андағ ӱлӱс ӱчӱн Худайны сабла.
1PE.4.17	Амды чарғы тузы чит килді нооза. Ол Худайның ибінең пасталыбызар. Чарғы пістең пасталар полза, андағда Худайның Чахсы Хабарының сӧзін испинчеткен кізілернең ниме полар? 
1PE.4.18	Ахтатхан кізі чадап арачыланчатханда, андағда Худайны улуғлабинчатхан, чазыхтығ кізінең ниме полар? 
1PE.4.19	Аннаңар Худайның кӧңнінҷе ирее кӧрчеткен кізілер, киртістіг Чайаачаа тыннарын пир салып, чахсы ниме итчетсіннер.
1PE.5.1	Мин сірернің тигіриблеріңнің ах сағалларына айланчам. Мин дее ідӧк ах сағалбын, Христостың ирееленістерінің киречізібін, тӱрче поларынаң азыл парар Аның сабланызының араласчызыбын. 
1PE.5.2	Худайның ӧӧрін хадарыңар. Олардаңар, ирік чохтаң на нимес, пос кӧңнінҷе Худай хынар иде сағыссыраңар. Анзын, посха хараспин, хынып идіңер. 
1PE.5.3	Худайның ӱлӱзін ээленмеңер. Постың ӧӧріне кӧзідім полыңар. 
1PE.5.4	Ӧӧн хадағҷы килзе, сірерге тӱгенмес сабланыстың сыйии пирілер.
1PE.5.5	Сірер дее, чииттер, улуғларның чооғын исчедіңер. Удур-тӧдір пазымнығ хайызыңар. Худай кӧкеесімнердең тоғыр кӱресче, пазымнығларға, тізең, паарсазын читірче. 
1PE.5.6	Ана іди, тузы читсе, Худай сірерні кӧдірібіссін тіп, Аның кӱстіг ӱлгӱзіне кіріңер. 
1PE.5.7	Худай сірердеңер сағынча. Аннаңар прай сағыссырастарыңны Ағаа салдырыбызыңар.
1PE.5.8	Китеніңер, сизіктіг полыңар. Ыырҷыңар, сайтан, ыыран чӧрчеткен ала парыс чіли, кемні чібізерін тілеп чӧрче. 
1PE.5.9	Пик киртіністеріңнең ағаа тоғырланыңар. Тилекейдегі пасха даа харындастарыңа андағох ирееленістер кӧрерге килісчеткенін пілчезер нооза. 
1PE.5.10	Сірерге ӧң-пазы паарсазын пирчеткен Худай Христостың пастыра сірерні тӱгенмес сабланысха хығыртхан. Сірер ирееленісті тӱрче ле кӧрерзер, че Худай Позы сірерні пик ит салар, кӱстеріңні хатап киріп, сірерні сыдамах ит салар. 
1PE.5.11	Аның хаҷан даа сабланыс паза ӱлгӱ ползын. Аминь.
1PE.5.12	Мин мыны Силуаннаң пастыра хысхаҷахти пас салдым. Мин аны киртістіг харындазыбысха санапчам. Сірернің кӧңніңерні кӧдір пирерге паза прай пу ниме Худайның сын паарсазы полчатханын киречілирге сағынчам. Пу паарсаста сыбыра полчадыңар.
1PE.5.13	Сірернең хада таллалған Вавилондағы Худай чоны сірерге изен читірче. Ідӧк оолғым Марк сірерге изен читірче. 
1PE.5.14	Арығ чӱрекнең охсанызып
2PE.1.1	Сірерге, пісти осхас аарлығ киртіністері пар кізілерге, Иисус Христостың нымысчызы паза илҷізі мин, Симон Пётр, пасчам. Орта нимее хынчатхан Худайыбыс паза Арачылағҷыбыс Иисус Христос пу киртіністі сірерге пирген. 
2PE.1.2	Худайның паарсазы паза амыры сірерде кӧптелзін. Худайны паза Хан-пигібіс Иисус Христосты улам чахсы піліп одырзар, анзы толар.
2PE.1.3	Худай Позының илбек кӱзінең піске чуртасха паза Аны улуғлирына прай ниме пирді. Ол нимені піс, Худайны ханҷа артых пілзебіс, анҷох кӧп алчабыс. Ол пісті Позының сабланызын паза чахсызын ӱлезіп аларға хығыртхан нооза. 
2PE.1.4	Ол оңдайнаң Худай піске илбек паза аарлығ молҷағлар пирген. Пу молҷағларның сылтаанда піс Худайға тӧӧй поларға оңдай алчабыс. Че піске тилекейнең устапчатхан, кізіні ардатчатхан хынығыстардаң хыйа парарға кирек. 
2PE.1.5	Аннаңар киртіністеріңе чахсыларыңны хозар ӱчӱн прай кӱзіңерні салыңар. Чахсыларыңа піліс хозыңар. 
2PE.1.6	Піліске посха ээлен поларын, посха ээлен поларына тыстан пілерін, тыстан пілеріне, тізең, Худайны улуғлирын хозыңар. 
2PE.1.7	Худайны улуғлирына киртіністіг кізілерге хынарын хозыңар. Киртіністіг кізілерге хынарына прай кізілерге хынарын хозыңар. 
2PE.1.8	Прай пу ниме сірерде пар полза, ол кӧптеліп одырза, сірер Хан-пигібіс Иисус Христосты пілерінде тӱзімніг паза маңнаныстығ поларзар. 
2PE.1.9	Че сірер піди хылынминчатсар, харахтаң кинек кізі осхас поларзар. Постарыңның алнында пір дее ниме кӧрбинчезер паза алындағы чазыхтарыңнаң арығланардаңар ундут салғазар. 
2PE.1.10	Аннаңар, харындастар, Худай сірерні хығыртхан паза таллаан кізілер полчатханнарыңны чуртастарыңда ізестіг киречілирге кӱстеніңер. Іди итчетсеңер, киртіністеріңнең хаҷан даа хыйа парыбыспассар. 
2PE.1.11	Андада сірерге Хан-пигібіс паза Арачылағҷыбыс Иисус Христостың тӱгенмес хан-чирінзер хаалха азыл парар.
2PE.1.12	Сірер анзын пілчеткен дее ползар паза сын ӱгредіге пик киртінчетсер дее, іди ле ползын тіп, мин мыны сыбыра сағыстарыңа кирчедербін. 
2PE.1.13	Мин парда, прай пу нимені сағыстарыңа сиирте чоохтапчатханым орта полар тіп, сағынчам. 
2PE.1.14	Итсе, тӱрче полза, мин сын чирзер парыбызарымны пілчем. Анзын мағаа Хан-пигібіс Иисус Христос азых чоохтаан. 
2PE.1.15	Хаҷан даа, мин ӧл парған соонда даа, ӱгредиимні сағыстарыңда ал чӧрерлерің ӱчӱн прай ниме идерге кӱстенербін.
2PE.1.16	Піс, сірерге Хан-пигібіс Иисус Христостың кӱзінеңер паза Аның килерінеңер чоохтааныбыста, позыбыс сағын тапхан нимее тӧстенмеебіс. Піс Аның илбек кӱзін позыбыстың хараанаң кӧргебіс. 
2PE.1.17	Хаҷан Ол илбек аарласты паза сабланысты Худай-Пабазынаң алғанында, піс анда полғабыс. Андада илбек сабланыс пулудынаң ӱн истілген: «Пу Минің хынчатхан Оолғым, Ол Минің кӧңніме тың кірче». 
2PE.1.18	Піс анда, ызых тағда, Иисуснаң хада полып, ол ӱннің тигірдең тапсаанын искебіс. 
2PE.1.19	Пісте ідӧк ухаанҷыларның сын киречілезі пар. Сірер, ол сӧсті хығырып, чӱрекке алчатсаңар, чахсы итчезер. Кӱн чарии сустал киліп, чӱректеріңде иртенгі чылтыс ӧӧрлебіспеенҷе, ол сӧс сірерге харасхыдағы чарытхы осхас полар. 
2PE.1.20	Че піліңер, Худай Пічиинің хайдағ даа ухаанҷылазын кізі позы чарыт полҷаң ниме нимес. 
2PE.1.21	Ухаанҷыластар кізінің кӧңні хоостыра хаҷан даа пирілбееннер. Ухаанҷыластар Худай Худының устаанынаң Худайның ах-арығ кізілерінең пастыра чарлалчалар.
2PE.2.1	Че израиль чонының аразында чой ухаанҷылар полғаннар. Сағам даа сірернің араңарда чой ӱгретчілер сығызарохтар. Олар кізілерге ӧлім ағылчатхан ӱгредіглер чарлирлар паза оларны ӧлімінең садып алған Хан-пигнің ӱлгӱзіне тоғырланарлар. Анынаң постарын ӧлімге табырах ағыларлар. 
2PE.2.2	Оларның сооларынҷа кӧп кізі парып, оралысха салынарлар. Чон, тізең, анзын кӧріп, сын киртіністі харғир. 
2PE.2.3	Хыҷыхтарын хандырар ӱчӱн, ол чой ӱгретчілер сірердең парыстанып, постары сағын тапхан чой ниме чоохтирлар. Оларға чарғы сығарыл парған. Оларның ӧлерлері чағын.
2PE.2.4	Худай чазыхха тӱскен ангеллерні чир тӱбінің харасхызына айағ чох тастаан. Анда олар кинҷеліг Чарғы кӱнін сағыпчалар. 
2PE.2.5	Худай ідӧк пурунғы тилекейні айабаан, хомай кізілерге чайыхты ысхан. Андада Худай сигіс ле кізіні арачылап алған. Ол Нойның сӧбірезі полған. Ной, тізең, Худайны улуғлап чуртирға ӱгреткен кізі полған. 
2PE.2.6	Худай ідӧк Содомнаң Гоморра саарларны чох иткен: оларны ойба-кӱлге айландыр салған. Ол оңдайнаң Худай Позын улуғлабинчатхан чонны ниме сағыпчатханын кӧзіткен. 
2PE.2.7	Ол саарларның пірсінде чуртаан арығ чӱректіг Лот тіп кізі чонның сайбахтығ чуртазына кӧре ле майыхчаң. Аннаңар Худай аны арачылап халған. 
2PE.2.8	Арығ чӱректіг кізі Лот, ол чонның аразында чуртап, оларның полчатханнарын кӱннің кӧріп паза истіп, тың ирееленген. 
2PE.2.9	Пу кирек Худайны улуғлапчатхан кізілерні Хан Худай хыҷыхтаныстаң арачылирға пілчеткенін кӧзітче. Ол, хомай кізілерні хатығлап, чарғы кӱніне хайди ағыларын даа пілче. 
2PE.2.10	Пу чарғы кӱні улам ит-ханның кірліг хыҷыхтаныстарына салынчатхан паза Худай ӱлгӱзінең хыйа полчатхан кізілерні сағыпча.
2PE.2.10	Андағ чой ӱгретчілер иртінчелер, ниме хынза, аны итчелер. Олар сабланыстығ ангеллерні дее, нимее салбин, сӧклепчелер. 
2PE.2.11	Че кізідең хай-хай кӱстіг, арбын ангеллер Хан Худайның алнында чой ӱгретчілерні хырыспинчалар, олардаң тоғыр киречілебинчелер. 
2PE.2.12	Чой ӱгретчілер, тізең, сас аңнар ла чіли, пір дее ниме сағынминчалар, ит-ханнары тартхан хоостыра пол чӧрчелер. Олар постары оңарбинчатхан нимені хырысчалар. Сас аңнар, тізең, кізее туттырып, ӧлерге тӧріпчелер. Пу кізілер дее ідӧк чох иділерлер. 
2PE.2.13	Олар постары иткен сайбағларының ӱчӱн хатығладарлар. Кӱн хараанаң чалтанмин, постарының хыҷыхтаныстарына салынчалар, кӧңнілерін тосхырчалар. Олар сірерні уйатха сухчалар паза, сірернең хада азыранып, сірернӧк кірнең порап салчалар. Олох туста сірерні алаахтырып алғаннарына ӧрінчелер. 
2PE.2.14	Чой ӱгретчілер чӧреечі ипчілерзер ле кӧрчелер, чазыхха тартыларға хаҷан даа тооспастар. Олар нымзах хылыхтығ кізілерні постарына тартып алчалар. Чой ӱгретчілернің чӱректері чабы поларға ӱгрен парғаннар. Че Худай оларны харғап салған. 
2PE.2.15	Олар орта чолдаң хыйызып, астых чӧрчелер. Восорның оолғы Валаамның чолынҷа парчалар. Валаам ахчаа чалланып, чабал киректі идерге тимде полған. 
2PE.2.16	Че Валаамның чойын тізі эштек ілезіне сығарған. Тілі чох мал кізі тілінең чоохтан сыххан, ухаанҷының алиин тохтатхан.
2PE.2.17	Ол чой ӱгретчілер хуруп парған хара-суғ осхастар. Олар хазыр чил сӱр чӧрчеткен пулуттар, тубан осхастар. Худай оларға харасхының тӱбінде хаҷанға даа орын тимнеп салған. 
2PE.2.18	Чой ӱгретчілернің чоохтары кӧкеесім, сӧстері, тізең, тик. Олар астых чӧрген кізілердең наа ла азырылып, сын чолға сыхчатхан кізілерні, ит-хан хыҷыхтаныстарына салынарға кӧӧктіріп, посха тартып алчалар. 
2PE.2.19	Ол чой ӱгретчілер кізілерге пос чуртас молҷапчалар. Сынында олар постары хыҷыхтаныстарының хуллары. Пірее ниме кізіні ээлензе, ол кізі аның хулы пол парча нооза. 
2PE.2.20	Кізілер, Арачылағҷыбыс паза Хан-пигібіс Иисус Христосты піліп алып, пу чирнің кірінең озып алчалар. Че пу чирнің кірі оларны, пазох тудып алып, пазынып алза, олар позаалахтағызынаң хай-хай чабал пол парчалар. 
2PE.2.21	Арығ чӱректіг кізілернің чолын піліп алған соонда олар постарына пирілген ах-арығ чахығлардаң аар айланыбыссалар, андағда оларға ол чолны пілбеені артых поларҷых. 
2PE.2.22	Оларның хылынғаннары «Адай хусхағына айланадыр» паза «Сосханы чууп таа салза, олох ла палғасха кір парар» теені сын полчатханын киречілепче.
2PE.3.1	Хынғаннарым! Пу минің сірерге пасчатхан ікінҷі пічиим. Пу сын ӱгредігдеңер хатап пазып, сірерні орта сағынзыннар тіп хынчам. 
2PE.3.2	Алында ах-арығ ухаанҷылар чоохтаан сӧстерні паза илҷілеріңнең пастыра Хан-пигібіс паза Арачылағҷыбыс пирген чахиин ундубазыннар тіп сағынчам. 
2PE.3.3	Иң пурнада мыны пілерге кирек. Тӱгенҷі кӱннерде сірерзер чабал хынығыстарына тартылчатхан кізілер килерлер. Олар, сірерні нимее салбин, сірерні сӧклеп, 
2PE.3.4	піди тирлер: «Килерім теені хайдадыр? Ӧбекелер ӧл парғаннар, че тилекей ідӧк ле турча паза чир чайалған тустаң ала алысханы чоғыл». 
2PE.3.5	Ол кізілер тигірнең чир Худайның сӧзінҷе чайалғанын санға аларға хынминчалар. Чир суғдаң пӱткен, суғдаң сыххан. 
2PE.3.6	Аннаңар пурунғыдағы тилекей чайых суунаң чох иділ парған. 
2PE.3.7	Хан Худайның чахии хоостыра пӱӱнгі тигірнең чир от-чалыннаң чох иділер ӱчӱн хайраллалча. Ол чарғы кӱнінде, Хан Худайны улуғлабинчатхан кізілерні чох итчең кӱнде, полар.
2PE.3.8	Хынғаннарым! Хан Худайға пір кӱн пір муң чыл осхас полчатханын ундубаңар. Муң чыл, тізең, Ағаа пір кӱн осхас. 
2PE.3.9	Піреелері, Хан Худай молҷаан нимені соона салдырча тіп сағынчатханнары, алҷаастанчалар. Хан Худай, тыстанып ала, сағыпча. Ол пірдеезін ӧлзін тіп сағынминча. Худай прайзын, чазыхтарын тастап, Позынзар айланарға маңнан халзыннар тіп хынча. 
2PE.3.10	Хан-пигнің чарғы кӱні, оғыр хараазын кинетін кірібіскен чіли, чиде салар. Ол кӱнде суулабинаң тигір чох пола халар. Анда прай ниме, кӧйіп, чох иділ парар. Чир, тізең, паза чирдегі прай ниме чох пол парар. 
2PE.3.11	Іди прай ниме иділер полза, сірерге хайдағ кізі поларға кирек? Сірер ах-арығ чуртирға паза Худайны улуғлирға кирексер. 
2PE.3.12	Худайның чарғы кӱнін сағып ала, іди чуртаңар паза ол кӱн табырах килер ӱчӱн прай ниме идіңер. Ол, тигір кӧйіп, чох иділер, тигірдегі прай ниме ізіге хайылар кӱн полар. 
2PE.3.13	Піс, тізең, Хан Худай молҷаан наа тигірні паза наа чирні сағыпчабыс. Анда прай кізілер Худайның оңдайынҷа чуртирлар.
2PE.3.14	Хынғаннарым! Ол кӱнні сағып, Худайның алнында арығ кӧңніліг, чазых чох поларға кӱстеніңер. Анынаң чаразып чуртаңар. 
2PE.3.15	Хан-пигнің тыстанып ала сағаанын арачыланысха оңдай пирчеткеніне санаңар. Худай пирген хыйғазы хоостыра хынған харындазыбыс Павел піске аннаңар пасхан полған. 
2PE.3.16	Аннаңар ол позының прай пічіктерінде пасча. Аның пічіктерінде пілерге сидік пірее нимелер парлар. Анзын ӱгредіг чох паза киртіністері пик нимес кізілер саба чарытчалар. Олар Худай Пічиинің пасха даа орыннарын іди ит салчалар. Ол оңдайлары оларны постарын ӧлімге ағылчалар.
2PE.3.17	Хынғаннарым! Мыны пілчеткеннеріңде, сизініп одырыңар. Андағда сірер Худай ӱлгӱзіне чарадынминчатхан кізілернің алҷаастарына тартыл парыбыспассар паза пик пілістеріңнең хыйыспассар. 
2PE.3.18	Хан-пигібіс паза Арачылағҷыбыс полчатхан Иисус Христостың паарсазы паза Аны пілері сірерге хозылзын. Ағаа сағам даа паза хаҷан даа сабланыс ползын. Аминь.
1JN.1.1	Чуртас пирчеткен Сӧстеңер сірерге пасчабыс. Ол чир чайалғалахтох пар полған, піс, тізең, Аны искебіс, харахтарыбыснаң кӧргебіс, кӧрглеп, холларыбыснаң теңебіс. 
1JN.1.2	Чуртас пирчеткен Сӧс іле сыхханда, піс Аны кӧргебіс. Кӧріп, Аннаңар киречілепчебіс. Пабабыснаң хада полған паза піске кӧрінген мӧгі чуртастаңар сірерге искірчебіс. 
1JN.1.3	Піснең пір палғалыстығ поларларың ӱчӱн, сірерге позыбыстың кӧрген, искен нимелерібістеңер искірчебіс. Піснең палғалысханы, тізең, Пабанаң паза Аның Оолғы Иисус Христоснаң палғалысханы полча. 
1JN.1.4	ӧріністерің толдыра ползын тіп, сірерге пу пічікті пасчабыс.
1JN.1.5	Мына Иисус Христостаң искен паза аны сірерге искірчеткен чахсы хабар: «Худай – Чарых. Худайда пір дее харасхы чоғыл». 
1JN.1.6	Худайнаң палғалызыбыс пар тіп чоохтанчатсабыс, че постарыбыс харасхыда чӧрчетсебіс, андада піс чойланчабыс паза сын ниме итпинчебіс. 
1JN.1.7	Худай чарыхта чӧрчеткен чіли, піс тее чарыхта чӧрчетсебіс, андада прайзыбыс пір палғалыстығ пол парчабыс, Худай Оолғының Иисус Христостың ӧлімі, тізең, полған на чазыхтаң пісті арығлапча. 
1JN.1.8	Пісте чазых чоғыл тіпчетсебіс, андада піс позыбысты алаахтырчабыс, паза пісте сын ниме чоғыл. 
1JN.1.9	Чазыхтарыбыстаңар пыросынзабыс, Худай, Позының сӧзіне турыстығ полып, орта нимее хынып, піске чазыхтарыбысты позыдар паза ноо даа чой нимедең пісті арығлир. 
1JN.1.10	Чазых итпеебіс тіп чоохтанчатсабыс, андада Худайны чойға санапчабыс, чӱреебісте, тізең, Аның сӧзі чох поладыр.
1JN.2.1	Палаларым! Мин сірерге, чазых итпезіннер тіп, пу нимені пасчам. Че сірернің пірееңер чазых ит салза, Худай Пабаның алнында пістің алныбыс алҷаң Иисус Христос пар. Ол ах-арығ нооза. 
1JN.2.2	Ол пістің паза пістің не нимес, че прай чир ӱстӱндегі кізілернің чазыхтары ӱчӱн тайыға салдыртхан.
1JN.2.3	Худайны пілчеткенібісті хайди піліп алчабыс? Аның чахығларын толдырып. 
1JN.2.4	Пірее кізі «Мин Худайны пілчем» тіпчетсе, че Аның чахығларын толдырбинчатса, ол чой кізі, анда сын ниме чоғыл. 
1JN.2.5	Худайда полчатханыбысты хайди піліп алчабыс? Худайның сӧзін толдырчатхан кізіде Худайға хыныс пӧзиине чит парча. Анзын кӧріп, піліп алчабыс! 
1JN.2.6	Худайда полчам тіпчеткен кізее Иисус Христос чіли чуртирға кирек.
1JN.2.7	Хынғаннарым! Мин сірерге наа чахығны нимес, че иргі чахығны пасчам. Пу пурунғы чахығ, сірер Христосха киртін сыххан тустох искен чахсы хабар. 
1JN.2.8	Че мин пасчатхан чахығ наа чахығ полыбохча. Пу чахығ Иисус Христостың паза сірернің чуртазыңарда сыннаң пар. Аннаңар харасхы иртче, аның орнына сын чарых чарытча. 
1JN.2.9	Позынаңар «Чарыхта полчам» тіпчеткен, че харындазын хырт кӧрчеткен кізі ам даа харасхыда чуртапча. 
1JN.2.10	Харындазына хынчатхан кізі чарыхта чуртапча, аның чазых итчең сағыстар пір дее чоғыл. 
1JN.2.11	Харындазын хырт кӧрчеткен кізі, тізең, харасхыда чуртапча. Харасхы аның харахтарын туу чабысханнаңар, харасхыда чӧрче, іди чӧріп, хайдар парчатханын даа пілбинче.
1JN.2.12	Палаларым! Иисус Христостың ӧлгені ӱчӱн сірернің пыроңар тасталған, аннаңар сірерге пасчам.
1JN.2.13	Пабалар! Кемнің иң пастабох пар полғанын пілчеткенерің ӱчӱн, сірерге пасчам.
1JN.2.13	Чииттер! Сайтанны чиңіп алғаннарың ӱчӱн, сірерге пасчам.
1JN.2.13	Палаларым! Пабабысты піліп алғаннарың ӱчӱн, сірерге пасчам.
1JN.2.14	Пабалар! Кемнің иң пастабох пар полғанын піліп алғаннарың ӱчӱн, сірерге пас пирдім.
1JN.2.14	Чииттер! Кӱстіг полчатханнарың ӱчӱн, Худай сӧзін толдырчатханнарың ӱчӱн, сайтанны чиңіп алғаннарың ӱчӱн, сірерге пас пирдім.
1JN.2.15	Сірер пу Худайы чох чир-чалбахха паза андағы нимелерге хынмаңар. Оларға хынчатхан кізінің Худайға хынызы чоғыл. 
1JN.2.16	Чир-чалбахтағы нимелер: кізінің прай нимее хыҷыхтанғаны, тоспас харах полғаны, ӱлгее паза пайға поғдархааны Пабадаң ниместер, че чир-чалбахтилар. 
1JN.2.17	Чир-чалбах паза аның хыҷыхтаныстары ирт парадыр, че Худайның кӧңнін толдырчатхан кізі хаҷан даа чуртидыр.
1JN.2.18	Палаларым! Тӱгенҷі тус чит килді. Антихрист тилекейге килерінеңер сірер искезер. Амды кӧп антихристтер сых килгеннер, аның хоостыра піс тӱгенҷі тустың чит килгенін пілчебіс. 
