GEN.1.1	Mulimu a kala ku bupa lihalimu ni lifasi ni ze ku zona kaufela. 
EZR.2.34	Banna ba mwa Lodi, Hadidi ni Ono ne ba eza ba mianda ye supile ka mashumi a mabeli ni ba ketalizoho. 
EZR.2.35	Banna ba mwa Jeriko ne ba eza ba mianda ye milalu ka mashumi a mane ni ba ketalizoho.
EZR.2.36	Ki wo mukoloko wa baprisita ba ba kutile kwa butanga. Bana ba Jedaya, ili baikulu ba Jehua, ne ba eza ba mianda ye supile ka ye mibeli ni mashumi a supile ka ba balalu. 
EZR.2.37	Bana ba Imeri ne ba eza ba sikiti ka mashumi a ketalizoho ni ba babeli. 
EZR.2.38	Bana ba Pashuri ne ba eza ba sikiti ka mianda ye mibeli ni mashumi a mane ka ba supile. 
EZR.2.39	Bana ba Harimi ne ba eza ba sikiti ka lishumi ni ba supile.
EZR.2.40	Palo ya mishiku ya Malivi ba ba ne ba kutile kwa butanga, ili ba Jeshua ni Kadimiele, baikulu ba Hodavia, ne ba eza ba msahumi a supile ka ba bane.
EZR.2.41	Kwa baopeli ba mwa Tempele, ili baikulu ba Asafi, ne ba eza ba mwanda ka mashumi a mabeli ni ba supile ka a li muñwi.
EZR.2.42	Kwa balibeleli ba minyako, ili baikulu ba Shalume, Atere, Talumoni, Akubu, Hatita ni Shobai, ne ba eza ba mwanda ka mashumi a malalu ni ba supile ka ba babeli.
EZR.2.43	Mabizo a mishiku ya babeleki ba mwa Tempele ba ba ne ba kutile ku zwa kwa butanga, ki a:
EZR.2.43	Ziha, Hasufa, Tabaoti,
EZR.2.44	Kerosi, Siaha, Padoni,
EZR.2.45	Lebana, Hagaba, Akubu,
EZR.2.46	Hagaba, Shamilai, Hanani,
EZR.2.47	Gidele, Gahari, Reaya,
EZR.2.48	Rezimi, Nekoda, Gazani,
EZR.2.49	Uza, Pasea, Besai,
EZR.2.50	Asina, Mehunimi, Nefisimi,
EZR.2.51	Bakibuki, Hakufa, Haruri,
EZR.2.52	Baziliti, Mehida, Harisha,
EZR.2.53	Barikosi, Sisera, Tema,
EZR.2.54	Nezia ni Hatifa.
EZR.2.55	Mishiku ya babeleki ba Salumoni ba ba ne ba kutile ku zwa kwa butanga, ki ye:
EZR.2.55	Sotai, Hasofereti, Peruda,
EZR.2.56	Jaala, Darekoni, Gidele,
EZR.2.57	Shefatia, Hatili,
EZR.2.57	Pokereti-Hazebaimi ni Ami.
EZR.2.58	Palo ya baikulu ba babeleki ba mwa Tempele ni babeleki ba Salumoni ba ba ne ba kutile kwa butanga ko ne ba hapilwe, n'e li ba mianda ye milalu ka mashumi a supile ni a mabeli ka ba babeli.
EZR.2.59	Bao ba tatama ne ba zwile mwa minzi ya Tele-Mela, Tele-Harasha, Kerubu, Adani ni Imeri, kono ne ba palelwa ku tomahanya hande ku bonisa kuli n'e li baikulu ba Maisilaele luli. 
EZR.2.60	Ki baikulu ba mishiku ya bo Delaya, Tobia, ni Nekoda, ili batu ba mianda ye silezi ka mashumi a ketalizoho ni ba babeli.
EZR.2.61	Mishiku yeo ya baprisita ki baikulu ba bo Habaya, Hakoza ni Barizilai. Kukw'a mushiku wa buprisita bwa Barizilai n'a nyezi musali wa mushiku wa Barizilai wa kwa Giliadi, mi a nga libizo la mushiku wa mukwenyan'a hae. 
EZR.2.62	Kabakala kuli ne ba palezwi ku talusa kuli bo kukw'a bona ne li bo mañi, ba tokwa ku amuhelwa sina baprisita. 
EZR.2.63	 Mubusisi wa Majuda a ba bulelela kuli ba si ke ba ca kwa lico ze abezwi Mulimu konji ha ku ta ba ni muprisita ya ziba ku laula ka taula ye kenile ya Urimi ni Tumimi.
EZR.2.64	Palo ya lihapiwa ba ba ne ba kutile n'e li ba likiti ze mashumi a mane ka a mabeli ni mianda ye milalu ka mashumi a silezi. 
EZR.2.65	Batanga ba bona ba banna ni basali, n'e li likiti ze supile ka mianda ye milalu ni mashumi a malalu ka ba supile. Haili baopeli ba banna ni basali n'e li mianda ye mibeli. 
EZR.2.66	Palo ya lipizi n'e li mianda ye supile ka mashumi a malalu ni ze silezi hamoho ni mambema a mianda ye mibeli ka mashumi a mane ni a ketalizoho. 
EZR.2.67	Palo ya likamele n'e li mianda ye mine ka mashumi a malalu ni ze ketalizoho hamoho ni limbongolo ze likiti ze silezi ka mianda ye supile ni mashumi a mabeli.
EZR.2.68	Lihapiwa ha ba t'o fita kwa Tempele ya Muñ'a Bupilo mwa Jerusalema, ba bañwi kwa baeteleli ba mishiku ba fitisa limpo ili bona, za ku tusa kwa ku yaha Tempele mwa sisa sa yona sa kale. 
EZR.2.69	Ba fana mo ne ba konela kamukana kwa musebezi wo, mi ba koleka gauda ye eza likilo ze mianda ye mine ka mashumi a silezi ni ze peli, silivela ye eza likilo ze likiti ze talu ka mianda ye mibeli ni mashumi a supile ka ze silezi, ni liapalo za baprisita ze mwanda.
EZR.2.70	 Baprisita, Malivi, ni batu ba bañwi ba yaha mwa Jerusalema kamba fakaufi. Baopeli, balibeleli ni babeleki ba mwa Tempele ba y'o yaha mwa minzi ye fakaufi. Maisilaele kaufela ba ba ne ba siyezi ba y'o ina kwa minzi ya habo bona.
EZR.3.1	Mwa kweli ya busupa, batu ba Isilaele ne ba se ba yahile mwa minzi ya habo bona. Cwale ba t'o kopanela mwa Jerusalema kaufel'a bona. 
EZR.3.2	 Jeshua mwan'a Jozadaki, ni banabahabo ba baprisita, ni Zerubabele mwan'a Shealitiele, hamohocwalo ni banabahabo, ba yaha sinca katala ka Mulimu wa Isilaele, ili kuli ba cisezanga fateñi litabelo, ka ku latelela mo ne li ñolezwi litaelo mwa Mulao wa Mushe, munna wa Mulimu. 
EZR.3.3	 Niha ne ba saba batu ba bañwi ba ba ne ba yahile mwa naha mo, ba yaha sinca katala fo ne ka tomilwe pili. Cwale ba kala ku ciseza fateñi litabelo za ka zazi ni zazi kakusasana ni manzibwana. 
EZR.3.4	 Ba eza Mukiti wa Minganda sina mo ne ku ñolezwi, mi ka zazi ni zazi ba eza litabelo ze ne li tokwahala ka lizazi leo. 
EZR.3.5	 Fahalimw'a zeo ba eza litabelo za kamita za ku cisa mutumbi, ni zona le ne li ciswanga ka Mukiti wa Moonda, ni za mikopano ye miñwi kamukana mo ku lapelelwa Muñ'a Bupilo ni za limpo ze ñwi kaufela ze n'e fiwa Muñ'a Bupilo ka ku itatela. 
EZR.3.6	Batu ne ba si ka kala kale ku yaha Tempele. Nihakulicwalo ba kala ku ciseza Muñ'a Bupilo litabelo ka lizazi la pili la kweli ya busupa.
EZR.3.7	Batu ba zwisa mali a ku lifa babeti ba macwe ni bapangi, mi ba zwisa lico, ze nwiwa, ni mafula a olive a lumelelwa kwa minzi ya Tire ni Sidoni, ili za ku cincana ni likota za sidare ze zwa kwa Lebanoni, ze n'e swanezi ku tiswa kwa Jopa ka liwate. Zeo kamukana za ezahala ka ku lumelelwa ki Mulena yo Muhulu, Sirusi wa Peresia. 
EZR.3.8	Cwale, ka kweli ya bubeli ya silimo sa pili ha ba se ba kutezi mwa Jerusalema, ba kala musebezi fa sisa sa Tempele ya Muñ'a Bupilo. Zerubabele, Jeshua, ni ba naha ya habo bona, baprisita ni Malivi, mane ili bona kasibili ba ba ne ba hapilwe kamukana mi ba kutezi mwa Jerusalema, ba t'o kenelela mwa musebezi. Malivi kaufela ba lilimo ze mashumi a mabeli kamba ku fita zeo ba beiwa ku zamaisa misebezi ya mwa Tempele. 
EZR.3.9	Cwale Jeshua wa Mulivi ni bana ba hae ni banabahabo, hamohocwalo ni Kadimiele ni bana ba hae ba mushiku wa Hodavia, ba kopana ni bona ku zamaisa misebezi ya mwa Tempele. Ne ba tusiwa ki Malivi ba mushiku wa Hanadadi.
EZR.3.10	 Ha ba kala ku toma mutomo wa Tempele, baprisita ba ya mwa libaka za bona ba nze ba apezi liapalo za buprisita, ba sweli litolombita mwa mazoho a bona, mi Malivi ba mushiku wa Asafi bona ne ba sweli likambeliso. Ba lumbeka Muñ'a Bupilo ka ku latelela litaelo za Mulena Davida. 
EZR.3.11	 Ba opela litumbo za Muñ'a Bupilo, ba nze ba kutelanga manzwi a mañwi, ba li,
EZR.3.11	“Muñ'a Bupilo u lukile, mi lilato la hae ku Isilaele ki la kuya kuile.”
EZR.3.11	Mutu kaufela a huwa ka mw'a n'a konela kamukana, a nz'a lumbeka Muñ'a Bupilo, kakuli mutomo wa Tempele n'o s'o kalisizwe. 
EZR.3.12	 Buñata bwa baprisita ba kale, Malivi ni litoho za mishiku, bona, ne ba se ba boni Tempele ya pili. Ha ba nze ba talimezi mutomo wa Tempele ha u yahiwa, ba huwa ni ku lila. Kono ba bañwi ba ba ne ba li teñi fo ba huweleza ka tabo. 
EZR.3.13	Ne ku si na ya n'a kona ku keta lilata la tabo kwa lilata la ku lila, kakuli lilata leo ne li li le lituna hahulu mane ne li kona ku utwahala kwahule luli.
EZR.4.1	Lila za batu ba Juda ni ba Benjamine ba utwa kuli ba ba kutile kwa butanga ba yaha Tempele ya Muñ'a Bupilo, Mulimu wa Isilaele. 
EZR.4.2	 Ba y'o bonana ni Zerubabele ni litoho za mishiku, ba li, “Lu bata ku kopana ni mina kwa ku yaha Tempele. Lu lapela Mulimu a li muñwi ni mina, mi ne lu nze lu mu ezezanga litabelo haisali Ezaradoni mulena wa Asiria a lu lumelela kwanu.”
EZR.4.3	Zerubabele, Jeshua ni litoho za mishiku ba ba bulelela, ba li, “Ha lu tokwi tuso ya mina ha lu yaha Tempele ya Muñ'a Bupilo, Mulimu wa luna. Lu ta i yaha ili luna, sina mw'a lu laelezi Sirusi.”
EZR.4.4	Cwale batu ba ba ne ba yahile mwa naha mo, ba lika ku ba zwafisa ni ku sabisa sicaba sa Juda, ni ku ba hanisa ku yaha Tempele. 
EZR.4.5	Hape ba leka manduna ba muso kweta kuli ba ba hanise. Ba swalelela ku eza cwalo ka nako kaufela ya Mulena Sirusi, mane ku t'o fita mwa puso ya Mulena Dariusi. 
EZR.4.6	 Cwale kwa makalelo a puso ya Mulena Asuerusi ba tisa mañolo a ku tama batu ba Juda ni ba Jerusalema litaba.
EZR.4.7	Mwa puso ya Mulena Aritazerisi wa Peresia, Bishilami, ni Mitiredati ni Tabeele ni b'a n'a utwana ni bona, ba ñolela mulena liñolo. Liñolo ne li ñozwi ka puo ya Siarami mi ne li na ni ku tolokiwa ha ne li baliwa.
EZR.4.8	Ni yena Rehumi mubusisi, ni Shimishai muñoli wa kuta ya naha, ba ñolela Mulena Aritazerisi liñolo le, ka za Jerusalema, ba li,
EZR.4.9	“Liñolo le, li zwa ku na, Rehumi mubusisi, ni ku Shimishai muñoli wa kuta ya naha, hamohocwalo ni ku ba ba utwana ni luna, ili baatuli ni manduna kamukana ba ba simuluha mwa Ereki, mwa Babilona, ni mwa Shushani mwa naha ya Elami. 
EZR.4.10	Hape li zwa batu ba bañwi ba ba ne ba zwisizwe mwa minzi ya bona ki Osinapari yo muhulu, ya maata, ku ba tisa mwa munzi wa Samaria ni mwa naha ya kwa wiko wa Nuka ya Yuferati.”
EZR.4.11	Liñolo le ne ba ñozi ki le.
EZR.4.11	“Ku Mulena Aritazerisi, liñolo le, li zwa ku luna batanga ba hae, batu ba ba pila mwa wiko wa Nuka ya Yuferati.
EZR.4.12	Lu lata kuli, wena Muñ'a Luna, u zibe kuli Majuda ba ba tile kwanu ku zwa mwa manaha a hao a mañwi, ba til'o ina mwa Jerusalema, mi ba sweli ku yaha munzi wo o maswe, wa lipetuhelo. Ba se ba kalile ku yaha mamota, mi ba tuha ba a feza. 
EZR.4.13	Muñ'a Luna, haiba munzi wo u ka yahiwa hape ni mamota a ona a fele, batu ha ba sa na ku tela mitelo, mi mali a naha ya hao a ta fukuzeha. 
EZR.4.14	Cwale, kakuli lu mwatas'a hao, Muñ'a Luna, ha lu bati ku bona nto ye cwalo i ezahala, mi kabakaleo lu fa kelezo. 
EZR.4.15	U lumeleze kuli ku tatubiwe mwa libuka ze bulukilwe ki bo kukw'a hao. Ha u eza cwalo u ta bona kuli munzi wo ki wa lipetuhelo ni kuli kwa kale-kale u tahisize butata kwa malena ni babusi ba libaka ze ñwi za naha. Batu ba ona kamita ba bile tata kwa ku ba busa. Kikabakaleo munzi wo ha n'o sinyizwe. 
EZR.4.16	Kamukwaocwalo, luna lu kozwi kuli haiba munzi wo u yahiwa sinca ni mamota a ona a fela, wena Muñ'a Luna, ha u sa na ku kona ku zamaisa naha ye kwa wiko wa Nuka ya Yuferati.”
EZR.4.17	Mulena a lumela kalabo ye, a li,
EZR.4.17	“Ku mubusisi Rehumi, muñoli Shimishai wa kuta ya naha, ni ba ba utwana ni bona ba ba pila mwa Samaria ni kwa wiko wa Nuka ya Yuferati, na mi lumelisa.
EZR.4.18	“Liñolo le mu ni ñolezi li tolokilwe, mi ni li balezwi. 
EZR.4.19	Ni file litaelo kuli ku batisiswe litaba zeo, mi ku fumanehile kuli kwa kale Jerusalema u kile wa fetuhela malena, mi hape n'o tezi bafetuheli ni batu ba mifili-fili. 
EZR.4.20	Malena ba ba maata ba busize mwa Jerusalema ni naha kamukana ye mwa wiko wa nuka, ba nze ba nga litifo ni mitelo. 
EZR.4.21	Cwalehe, mina mu swanezi ku laela kuli batu bao ba tuhele ku yaha munzi ku fitela fo ni ta ba lumelela ku eza cwalo. 
EZR.4.22	Mu eze cwalo kapili-pili, ili ku hanisa bumaswe, kuli bu si ke bwa ekezeha.”
EZR.4.23	Liñolo la Mulena Aritazerisi le, li sa y'o balwa feela ku Rehumi, Shimishai, ni ba ba ne ba utwana ni bona, ba akufela kwa Jerusalema, mi ba y'o hapeleza Majuda ku tuhela musebezi.
EZR.4.24	 Ka mukwa o cwalo musebezi wa Tempele wa yema, mi wa ngangamana cwalo ku fitela silimo sa bubeli sa puso ya Mulena Dariusi wa Peresia.
EZR.5.1	 Bapolofita ba babeli, bo Hagai ni Zakaria mwan'a Ido, ba kala ku taluseza Majuda ba ba ne ba pila mwa naha ya Juda ni mwa munzi wa Jerusalema litaba ze zwa ku Mulimu wa Isilaele. 
EZR.5.2	 Zerubabele mwan'a Shealitiele, ni Jeshua mwan'a Jozadaki, ha ba utwa litaba zeo, ba kala hape ku yaha Tempele mwa Jerusalema, mi bapolofita bao ba babeli ba ba tusa. 
EZR.5.3	Kapili-pili mubusisi Tatenai wa kwa wiko wa Nuka ya Yuferati, bo Shetara-Bozinai ni manduna ba ku bona ba ya kwa Jerusalema, mi ba y'o buza, ba li, “Ki mañi ya laezi ku yaha Tempele ye ni ku i kabisa cwalo?” 
EZR.5.4	Hape ba ba buza mabizo kamukana a batu ba ba ne ba tusa kwa ku yaha Tempele. 
EZR.5.5	Kono Mulimu n'a nz'a talimezi baeteleli ba Majuda, mi manduna ba Peresia ba lela kuli ba si ke ba eza se siñwi ku fitela ba ñolela Mulena Dariusi, mi ba fumane kalabo. 
EZR.5.6	Ki le liñolo le ne ba lumezi ku mulena mi ne li li,
EZR.5.7	“Oho Mulena Dariusi, u buse ka kozo!
EZR.5.8	“Muñ'a Luna a zibe kuli lu ile kwa naha ya Juda, mi lu fumani kuli Tempele ya Mulimu yo mutuna i yahilwe sinca ka macwe a matuna-tuna ni likota ze comekilwe mwa mamota. Musebezi u eziwa ka tokomelo ye tuna, mi u zwelapili hande.
EZR.5.9	“Cwale lwa buza baeteleli ba batu kuli ba lu bulelele ya ba lumelezi ku yaha Tempele sinca, ni ku i kabisa. 
EZR.5.10	Hape lwa ba buza ni mabizo a bona kuli lu ku zibise ba ba li baeteleli ba musebezi wo.
EZR.5.11	‘Kiha ba lu alaba kuli, bona ki batanga ba Mulimu wa lihalimu ni lifasi, ni kuli ba yaha sinca Tempele ye n'e yahilwe pili kwakale koo ni ku kabiswa ki mulena wa Isilaele ya n'a na ni maata. 
EZR.5.12	 Kono kakuli bo kukw'a bona ne ba nyemisize Mulimu wa lihalimu, yena a ba liselela ku tulwa ki Mulena Nebukadenezare wa Babilona. Tempele ya sinyiwa, mi batu ba hapiwa, ba y'o luiwa kwa Babilona. 
EZR.5.13	 Cwale ba li, ‘Ka silimo sa pili sa puso ya Sirusi, mulena yo muhulu wa Babilona a fa litaelo za kuli Tempele i y'o yahiwa sinca. 
EZR.5.14	Hape ba li n'a kutisize mikeke ya gauda ni silivela ya mwa Tempele ili mikeke ye n'e ngilwe ki Nebukadenezare mwa Tempele ya Jerusalema ku y'o i beya mwa tempele ya Babilona. Mulena Sirusi a kutiseza libyana zeo ku mutu ya n'a bizwa Sheshibazare, y'a n'a ketile ku y'o ba mubusisi wa Juda. 
EZR.5.15	Mulena a mu bulelela kuli a li nge, mi a li kutiseze mwa Tempele ya Jerusalema, ni ku y'o yaha Tempele fo ne i yemi pili. 
EZR.5.16	Cwale Sheshibazare a taha, mi a t'o yaha mutomo wa yona. Ku zwa hona fo, muyaho wa zwelapili ku fitela ni nako ye, kono ha u si ka fela kale.
EZR.5.17	“Cwalehe, Muñ'a Luna, haiba wa lata u batisise mwa libuka za bulena mwa Babilona kuli u zibe haiba Mulena Sirusi n'a laezi kamba n'a si ka laela kuli Tempele ye i yahiwe sinca mwa Jerusalema, mi u lu zibise s'o lata wena mwa taba ye.”
EZR.6.1	Cwale Mulena Dariusi a laela kuli ku y'o batisiswa mwa libuka za bulena ze n'e bulukilwe kwa Babilona. 
EZR.6.2	Kono buka, mo ne ku ñozwi litaba ze, ya y'o fumaneha mwa munzi wa Akameta mwa naha ya Media.
EZR.6.3	“Ka mwaha wa pili wa puso ya hae, Mulena Sirusi a laela kuli Tempele ye mwa Jerusalema i yahiwe sinca, kuli i be sibaka sa ku ezeza litabelo ni ku fitisa limpo ze cisiwa. Tempele i lukela ku ba mapeka a mashumi a malalu ku ya mwahalimu ni mapeka a mashumi a malalu mwa bupala. 
EZR.6.4	Mamota a yahiwe ka ku beya mubamba u li muñwi wa likota ze lundatami fahalimw'a mibamba ye milalu ya macwe. Lisinyehelo kamukana li ta lifiwa ki sikwama sa bulena. 
EZR.6.5	Ni mikeke kaufela ya gauda ni silivela, y'a n'a tisize Nebukadenezare kwa Babilona, i lukela ku kutela mwa sibaka sa yona, ili mwa Tempele ya Jerusalema.”
EZR.6.6	Cwale Mulena Dariusi a lumela kalabo ye, a li, “Ku Tatenai mubusisi wa naha ye kwa wiko wa Nuka ya Yuferati, ku Shetara-Bozinai ni kwa manduna ba ku mina ba ba kwa wiko wa nuka, ni li,
EZR.6.6	“Mu ambuke Tempele yeo. 
EZR.6.7	Mu si ke mwa filikanya ba ba i yaha. Mu tuhele mubusisi wa Juda ni baeteleli ba Majuda ba yahe Tempele ya Mulimu fo ne i yemi pili. 
EZR.6.8	Na mi laela kuli mu ba tuse kwa ku i yaha. Lisinyehelo za bona li ta lifiwa kapili ki sikwama sa bulena, ili kwa mali a likabelo ni mitelo ye zwanga mwa naha ye kwa wiko wa nuka, ili kuli musebezi wo u si ke wa yemiswa ki se siñwi. 
EZR.6.9	Ka zazi ni zazi, mu si ke mwa libala ku fanga baprisita ba mwa Jerusalema sifi se ba mi bulelela kuli ba si tokwa, i ka ba lipulwana, lingu ni lingunyana za ku ezeza Mulimu wa lihalimu mpo ya ku cisa, kamba mabele, lizwai, waine ni mafula a olive. 
EZR.6.10	Ze, li lukela ku ezahala kuli ba ezeze Mulimu wa lihalimu litabelo ze swanela, ni kuli ba ni lapelele kuli ni fuyaulwe hamoho ni bana ba ka cwalo. 
EZR.6.11	Ni sa laela hape kuli haiba ku na ni ya hanyeza taelo ye, ku comolwe libala kwa ndu ya hae, libala leo li shengiwe neku, mi a tabiwe ka lona. Haili ndu ya hae, yona, i be libunda la matakala. 
EZR.6.12	Mulimu ya ketile Jerusalema kuli i be sona sibaka mw'a ka lapelelwanga, a sinye mulena ufi ni ufi, kamba sicaba sifi ni sifi se si ta lika ku pundungela taelo ye ni ku sinya Tempele. Ni laezi cwalo, na, Dariusi. Taelo ya ka yeo, i mamelwe ka tokomelo.”
EZR.6.13	Cwale mubusisi Tatenai, Shetara-Bozinai ni manduna bahabo bona ba eza hona mw'a n'a laelezi mulena. 
EZR.6.14	 Baeteleli ba Majuda ba zwelapili hande mwa musebezi wa ku yaha Tempele, ba nze ba tiiswa lipilu ki bupolofita bwa Hagai ni Zakaria. Ba feza Tempele sina ha ne ba laezwi ki Mulimu wa Isilaele ni Sirusi, Dariusi ni Aritazerisi, malena ba Peresia. 
EZR.6.15	Ba feza musebezi ka lizazi la bulalu mwa kweli ya Adara mwa silimo sa busilela sa puso ya Dariusi. 
EZR.6.16	Cwale sicaba sa Isilaele, ili baprisita, Malivi ni ba bañwi cwalo ba ba ne ba kutile kwa butanga, ba kakula Tempele ka tabo. 
EZR.6.17	Kwa kakulo ya Tempele ba tisa lipoho ze mwanda, lingu ze mianda ye mibeli ni lingunyana za litabelo ze mianda ye mine, ni lipuli ze lishumi ka ze peli, ili za litabelo za ku zwisa libi. Puli ye ñwi ni ye ñwi ne i yemela lo luñwi lwa masika a lishumi ka a mabeli a Isilaele. 
EZR.6.18	Hape ba beya baprisita ni Malivi mwa litopa za bona ku eza lisebelezo za Tempele mwa Jerusalema, ka ku latelela Mulao mo u inezi mwa Buka ya Mushe.
EZR.6.19	 Batu ba ba ne ba il'o kuta kwa butanga ba eza Mukiti wa Paseka ka lizazi la bulishumi ka a mane la kweli ya pili. 
EZR.6.20	Baprisita ni Malivi kamukana ne ba se ba ikenisize, mi ka mulao ne ba kenile. Ba bulaya limunanu za Paseka ku eza litabelo za batu kaufela ba ba ne ba kutile kwa butanga ni za baprisita bahabo bona, ni za bona kasibili. 
EZR.6.21	Litabelo za ciwa ki Maisilaele kamukana ba ba ne ba kutile kwa butanga, ni ba ba ne ba tuhezi mikwa ye maswe kaufela ya batu ba sili ba ba ne ba yahile mwa naha, mi ba ba ne ba til'o lapela Muñ'a Bupilo, Mulimu wa Isilaele. 
EZR.6.22	Ba eza Mukiti wa Mahobe a si na Mumela ka mazazi a supile ba nze ba tabile. Ne ba tabile hahulu kakuli Muñ'a Bupilo n'a fetuzi pilu ya mulena wa Asiria, mane a ba tusa kwa ku yaha Tempele ya Mulimu wa Isilaele.
EZR.7.1	Mwamulaho a lilimo ze ñata, Mulena Aritazerisi ha n'a li mulena wa Peresia, ne ku na ni munna ya n'a bizwa Ezira. N'a ziba bo kukw'a hae ku be ku y'o fita ku Aruni muprisita yo muhulu, ka mukwa wo. Ezira n'a li mwan'a Seraya, mwan'a Azaria, mwan'a Hilikia, 
EZR.7.2	mwan'a Shalume, mwan'a Zadoki, mwan'a Akitubi, 
EZR.7.3	mwan'a Amaria, mwan'a Azaria, mwan'a Merayoti, 
EZR.7.4	mwan'a Zeraya, mwan'a Uzi, mwan'a Buki, 
EZR.7.5	mwan'a Abishuwa, mwan'a Finehasi, mwan'a Eliazare, mwan'a Aruni.
EZR.7.6	Ezira n'a li muituti ya n'a ziba hahulu Mulao w'a n'a filwe Mushe ki Muñ'a Bupilo, Mulimu wa Isilaele. Kabakala kuli Ezira n'a tohonolofalizwe ki Muñ'a Bupilo, Mulimu wa hae, mulena a mu fa sifi ni sifi s'a n'a kupa. Ezira a zwa mwa Babilona ku ya kwa Jerusalema. 
EZR.7.7	A ya ni sitopa sa Maisilaele mo ne ku kopani baprisita, Malivi, baopeli ba mwa Tempele, balibeleli ba yona, ni babeleki ba mwateñi cwalo. Wo n'e li mwaha wa busupa wa puso ya Mulena yo Muhulu Aritazerisi. 
EZR.7.8	Ezira a fita mwa Jerusalema mwa kweli ya buketalizoho ya silimo seo. 
EZR.7.9	Ba funduka mwa Bailona ka lizazi la pili la kweli ya pili, mi ka tuso ya Mulimu ba y'o fita mwa Jerusalema ka lizazi la pili mwa kweli ya buketalizoho. 
EZR.7.10	Ezira n'a ineezi ku ituta Mulao wa Muñ'a Bupilo mwa bupilo bwa hae, ku u mamela ni ku luta milao ni litaelo za ona kaufela kwa sicaba sa Isilaele.
EZR.7.11	Mulena Aritazerisi a fa liñolo le ku Ezira, muprisita ni muituti ya n'a na ni zibo ye tezi ya Mulao ni litaelo zeo Muñ'a Bupilo n'a li file Maisilaele.
EZR.7.12	“Na, Mulena Aritazerisi, ni ñolela muprisita Ezira, muituti wa Mulao wa Mulimu wa lihalimu.
EZR.7.13	“Ni laela kuli mwa naha ya ka kamukana, Maisilaele kaufela, baprisita ni Malivi ba ba lata cwalo, ba lumelelwe ku ya ni wena kwa Jerusalema. 
EZR.7.14	Na, mulena, hamohocwalo ni manduna ba ka ba supile, lu ku lumelela kwa Jerusalema ni Juda, ku y'o bona mo ku bulukelwa Mulao o mu filwe ki Mulimu. 
EZR.7.15	U lwale limpo za gauda ni silivela ze ni lakaza, na ni manduna ba ka, ku fa Mulimu a Isilaele, muñ'a Tempele ye mwa Jerusalema. 
EZR.7.16	U nge ni silivela ni gauda kaufela y'o ta amuhela mwa naha ya Babilona, ni limpo ze ba ka fa Maisilaele ni baprisita kwa Tempele ya Mulimu wa bona mwa Jerusalema.
EZR.7.17	“U y'o sebelisa mali ao ka tokomelo, mi u leke likomu, lingu, ni lingunyana, mabele ni waine, mi u y'o li eza litabelo fa katala ka ka mwa Tempele ya Jerusalema. 
EZR.7.18	Silivela ni gauda ye siyezi u ka na wa li sebelisa ku ze mu lata kamukana, wena ni bahenu, ili ka mw'a latela Mulimu wa mina. 
EZR.7.19	Ha u li mwa Jerusalema u y'o fitisa ku Mulimu libyana kaufela z'o filwe ku sebelisa mwa lisebelezo za mwa Tempele. 
EZR.7.20	Mi sifi ni sifi se si ka tokwahala mwa Tempele u ta si leka ka mali a mwa pulukelo ya bulena.
EZR.7.21	“Na, Mulena Aritazerisi, ni laela manduna kaufela ba pulukelo ya naha ye kwa wiko wa Nuka ya Yuferati ku fa kapili Ezira, muprisita ni muzibi wa Mulao wa Mulimu wa lihalimu, sika kamukana s'a mi kupa. 
EZR.7.22	Ni laela kuli u mu fe mane ku y'o yema fa mali a muwaya-waya wa silivela a eza likilo ze likiti ze talu ka mianda ye milalu ni mashumi a silezi, lizuma za mabele ze mianda ye silezi ka mashumi a ketalizoho, makopokopo a waine a mwanda ka mashumi a ketalizoho, a mafula a olive a mwanda ka mashumi a ketalizoho, ni lizwai le liñata, mo li tokwahalela kaufela. 
EZR.7.23	Mu swanezi ku tokomela kuli mu fe Mulimu wa lihalimu s'a bata kaufela kwa Tempele ya hae, mi mu bone kuli a si ke a ni nyemela kamba ku nyemela ba ba ta busa mwamulaho wa ka ni kamuta. 
EZR.7.24	Mu haniswa ku nga mutelo kwa baprisita, Malivi, baopeli, balibeleli, babeleki kamba ufi ni ufi ya sebeza mwa Tempele ye.
EZR.7.25	“Wena Ezira, ka ku sebelisa butali bw'a ku file Mulimu wa hao, u lukela ku supa bazamaisi ni baatuli ku busa batu ba ba mwa naha ye kwa wiko wa Nuka ya Yuferati, ili ba ba buluka Mulao wa Mulimu wa hao. U swanezi ku luta Mulao wo ku mañi ni mañi ya sa u zibi. 
EZR.7.26	Haiba mutu ufi kamba ufi a sa buluki milao ya Mulimu wa hao kamba milao ya naha, u lukela ku utwiswa butuku hona fo, i ka ba ka lifu, ka ku lelekwa mwa naha, ka ku amuhiwa liluwo la hae, kamba ka ku kenyiwa mwa tolongo.”
EZR.7.27	Ezira a bulela, a li, “Ku lumbekwe Muñ'a Bupilo, Mulimu wa bo kukw'a luna! U konisize mulena ku kuteka Tempele ya Muñ'a Bupilo ye mwa Jerusalema ka mukwa wo! 
EZR.7.28	Ka sishemo sa Mulimu, mulena ni manduna ba hae ba ba maata ba ni utwezi butuku. Muñ'a Bupilo, Mulimu wa ka, u ni tiisize pilu, mane ni konile ku suseza litoho za mishiku ya Isilaele kuli ba kutele kwa Jerusalema ni na.”
