MAT.1.1	Kitabu cha mbuli ya Yesu Kilisito, ṅwana Dawidi, ṅwana Abulahamu: 
JHN.17.21	kangwe woshe waγaluke muṅwe, sa iwe Tate uvyoikala na imi, nami nivyoikala na iwe, kangwe wohe waikale na ishwi, kangwe inu shi itozeshe, kuti uzanituma! 
JHN.17.22	Nami uja utana, uninkilewo, nizauwainka, waγaluke muṅwe, sa ishwi tivyo muṅwe. 
JHN.17.23	Imi naikala nawo, nawe waikala na imi, kangwe mbuli yawe ibontoke, wakiγaluka muṅwe kweli, kuti uzawakundisha, sa unikundishevyo imi. 
JHN.17.24	Tate, nakunda, waja uninkilewo, wohe waikale haṅwe na imi haja, niliho, kangwe waone utana wangu, uninkilewo, hambu uzanikundisha, ngulu ngima ishizati itulwe. 
JHN.17.25	Tate mtanda, walaha masa yeagiza, inu shi nkaikutaile, imi nizakutaila, awawohewazataila, kuti uzanituma. 
JHN.17.26	Nizawaonyesha viya vya zina jako, kangi neniwaonyeshe vivyoho, kangwe luja lukundisho, unikundishelo nalo, luikale nawo, nami niikale nawo.
JHN.18.1	Yesu akibinda kulonga izi mbuli azakulawa haṅwe na wahina wakwe, azahita na sheja jiya ja kazuto ka Kidoloni, hana mγunda haho, ne aingileho naho na wahina wakwe. 
JHN.18.2	Yuja Yuda mweunga kumwinkila yohe aahataila haja hantu, hambu Yesu haja azahaunganana kangi muno na wahina wakwe. 
JHN.18.3	Yuja Yuda azaγuwa bumba ja washilikali na wafunguwo wa wavikizi wakulu na wa Mafaliseyo, waiza haja, waitozize taa na maγala ya moto haṅwe na mata. 
JHN.18.4	Yesu kwa viya, avyotaila vyoshe, ndivyo vimubwile, azalawila, azawati: Mumlonda ndai? 
JHN.18.5	Angwe: Yesu ywa Nazaleti. Azawati: Ni miyo. Hata yuja Yuda mwemwinkila aiγoloke haṅwe nawo. 
JHN.18.6	Akiwati: Ni miyo, wazauya na nyuma, wazakina na shi. 
JHN.18.7	Azawauza vituhu: Mumlonda ndai? Angwe: Yesu ywa Nazaleti. 
JHN.18.8	Angwe ni Yesu: Nizamiγambila kuti: Ni miyo. Ati munilonda imi, lekai awa, wahite! 
JHN.18.9	Kangwe ibontoke ija mbuli, alongileyo kuti: Waja, uninkilewo, sina ṅwiyae ywawe niazizeye. 
JHN.18.10	Simoni Petelo ne aina shime, azaisholola, azatowa nayo mupuna ywa mvikizi mkulu, azamshenga shikilo ja kulume, jizadwika; yuja mupuna zina jakwe ndiye Maliko. 
JHN.18.11	Yesu azamγamba Petelo: Uza shime na mwe luwo! Kinyweio, Tate aninkilecho, nishechinywe?
JHN.18.12	Waja washilikali na mγolokezi ywawe na waja wafunguwo wa Kiyuda wazamgwila Yesu, wazamshunga. 
JHN.18.13	Wazamwiγala bosi kwa Ana; ni mkwee ja Kayafa, uyu ne mvikizi mkulu jiya vuli. 
JHN.18.14	Miya Kayafa ni yuja alongileye Wayuda kuti: Vyaagiza, muntu muṅwe akifa kwa mbuli ya mbalingwa.
JHN.18.15	Simoni Petelo na mhina mtuhu wazamtongela Yesu; yuja mhina aatailana na mvikizi mkulu, azaingila haṅwe na Yesu na muja chengoi mwa mvikizi mkulu. 
JHN.18.16	Miya Petelo azaγoloka haja se he nkili. Yuja mhina mtuhu mwetailana na mvikizi mkulu azalawa, azalonga na muluγojo ywa nkili ywa kindele, azamwingiza Petelo 
JHN.18.17	Yuja mndele mweγoja nkili azamγamba Petelo: Kumbe iwe nawe nku mhina ywa yuja muntu? Angwe ndiye: Si miyo. 
JHN.18.18	Wapuna na wafunguwo waiγoloke haho waiashize moto, kwa kuti kuna mpeho, wazauotela. Petelo yohena aiγoloke nawo akiotela moto. 
JHN.18.19	Yuja mvikizi mkulu azamwuza Yesu kwa mbuli ya wahina wakwe na ya mifuzize yakwe. 
JHN.18.20	Yesu azamlandula: Imi nizalonga cha sale kunu shi; imi mishi yoshe nizafuza vikiloi na mwe vikilongwa, Wayuda woshe wamoungananilana, sina mbuli, nilongileyo na kufishafisha. Uniuza ywai? 
JHN.18.21	Uza waja waivilewo, niwalongilevyo! Oleia! Waja ne wetaila, imi nilongilevyo. 
JHN.18.22	Akilonga ivyoho, kuna mfunguwo aγolokeye nkandai azamtowa Yesu kibao angwe: Ne uvyomlandula mvikizi mkulu? 
JHN.18.23	Yesu azamlandula: Ati nizalonga vibada, vibunkule, kuti ni vibada! Ati nizalonga vitana, unitowelai? 
JHN.18.24	Ana azamtuma kwa mvikizi mkulu, aishungiγwe. 
JHN.18.25	Simoni Petelo aiγoloke haho akiotela moto; wazamuti: Kumbe iwe nawe u mhina ywakwe? 
JHN.18.26	Yuja azakela nkani angwe: Si miyo. Waja wapuna wa mvikizi mkulu ṅwiyae ywawe muṅwe, ni mnduγu ywa yuja, Petelo amshengileye shikilo, amuti: Imi sikuene kuja kwe mγunda, wina naye? 
JHN.18.27	Petelo azakela nkani vituhu, ne soγolo ihokema viya du lushe.
JHN.18.28	Wazamlavya Yesu kwa Kayafa, wazamwiγala bomani; miya ne kui makelokelo. Kangi wenye nkawaingile bomani, kangwe washeγuwe kisitama, wadaheja ngoto ya Pasa. 
JHN.18.29	Pilato azawalawila angwe: Uyu muntu mumfyalima mbwai? 
JHN.18.30	Wazamhitula angwe: Ati uyu so mhambanyi, tangashemwinkila na kwako. 
JHN.18.31	Pilato azawati: Mγuwei inywi, mkamlahe kwa vitigo vyenyu! Wayuda wazamuti: Ishwi nkatishungulwe kumkoma muntu. 
JHN.18.32	Kangwe ibontoke ija mbuli ya Yesu, alongileyo akiwaonyesha mifiile, ndiyo afe. 
JHN.18.33	Pilato azaingila vituhu bomani; azamwitanga Yesu, azamuti: Iwe u zumbe ywa Wayuda? 
JHN.18.34	Angwe ni Yesu: Ulonga ivyoho kwa mbuli yako ṅwenye, hambu watuhu watekuγambila mbuli zangu? 
JHN.18.35	Pilato azalandula: Imi ni Muyuda? Waja wa mbali yako na wavikizi wakulu wazakuinkila na kwangu. Ubanilei? 
JHN.18.36	Angwe ni Yesu: Uzumbe wangu nkauanduka na kunu shi; ati uzumbe wangu uanduka na kunu shi, anga waluγojo wangu wazaomana nkondo, nisheinkilwe kwa Wayuda, miya lushe uzumbe wangu nkauanduka na kunu. 
JHN.18.37	Pilato azamuti: Lushe iwe u zumbe zeze? Angwe ni Yesu: Uzalonga, kuti ni zumbe. Imi ne nivyelwevyo, ne niizilevyo mwe inu shi, nilongele vye kweli uwona. Kangi kila muntu mweanduka mwe kweli aiva kanwa changu. 
JHN.18.38	Pilato amuti: Vye kweli ni mbwai? Akilonga ivyoho azalawila Wayuda vituhu, azawati: Imi sina masa, nieneyo kwakwe. 
JHN.18.39	Miya kuna msimo, mishi ya Pasa niyakamishungwila muntu muṅwe. Mwakunda, nimishungwile zumbe ywa Wayuda? 
JHN.18.40	Wazakema vituhu angwe: Uyu do! Timkunda Balaba! Miya yuja Balaba ni mumpoko.
JHN.19.1+JHN.19.2	Ne Pilato ahomγuwa Yesu, azamtowa. Waja washilikali wazaluka bundu ja miwa, wazajimubadika mwe mutwi, tikibinda wazamzwika guni ja kizumbe, 
JHN.19.3	wazamwizila angwe: Mpongezi, zumbe ywa Wayuda! Wakibinda wazamtowa vibao. 
JHN.19.4	Pilato azalawa vituhu na uko se, azawati: Olelai! Namlavya na kunu se kwenyu, kangwe mtaile kuti: Sina masa, niyoona kwakwe. 
JHN.19.5	Yesu azalawila na kuja se aizwikile jiya bundu ja miwa na jiya guni ja kizumbe. Awati: Shuyu muntungwa! 
JHN.19.6	Wavikizi wakulu na wafunguwo wawe wakimwona wazakema angwe: Mkontele mwe muti! Mkontele mwe muti! Pilato awati: Mγuwei inywi, mkamkontele mwe muti! Hambu imi siona masa yakwe. 
JHN.19.7	Wayuda wazamlandula: Ishwi tina kitigo chetu, kwa ichi kitigo shuti akoṅwe, hambu azakiγalusha ṅwana Mulungu. 
JHN.19.8	Pilato akiiva inu mbuli azaisiiza kubulwa ni woγa, 
JHN.19.9	azaingila vituhu bomani, azamwuza Yesu: U ywa hi? Miya Yesu nkamlandule hata. 
JHN.19.10	Pilato azamγamba: Nkunilandula? Nkutaila kuti: Nina ufuṅwa wa kukushungula, kangi wa kukukontela mwe muti? 
JHN.19.11	Angwe ni Yesu: Anga nkuna ufuṅwa wa kunilaha, ati nkuuinkiγwe uko ulanga. Kwa ivyoho yuja aniinkileye na kwako ana masa yekula kuzinka yako. 
JHN.19.12	Ne Pilato aholonda, ndivyo amshungule. Miya Wayuda wazakema angwe: Ati watamshungula uyu, nkukundwa ni Kaiza. 
JHN.19.13	Pilato akiiva izi mbuli azamlavya Yesu na chengoi, azahita kwa ikala he kiti cha lahila masa hantu heitangwa Lukontelo lwa mawe, Kiebuleyo ndiho Gabata. 
JHN.19.14	Miya ne mushi wa kuliγanya Pasa saa mtandatu. Awaγamba Wayuda: Shuyu zumbe ywenyu! 
JHN.19.15	Waja wazakema angwe: Mwushe! Mwushe, umkontele mwe muti! Pilato awati: Nimkontele zumbe ywenyu mwe muti? Wavikizi wakulu wazalandula: Nkatina zumbe kushima Kaiza. 
JHN.19.16	Ne ahomwinkila na kwawe, kangwe akontelwe mwe muti. Wazamγuwa Yesu, wazamwiγala.
JHN.19.17	Azainula ṅwenye muti wakwe wa kukomelwa, azahita na haja hantu heitangwa He mazutwi, Kiebuleyo ndiho Gologota. 
JHN.19.18	Haja wazamkontela mwe muti haṅwe na watuhu waili, muṅwe kulume, muṅwe kumosho, Yesu gati. 
JHN.19.19	Pilato azagonda kabala, azakaika mwe uja muti, kaigondiγwe: Yesu ywa Nazaleti, zumbe ywa Wayuda. 
JHN.19.20	Unu ugonde Wayuda wangi wazaufyoma, hambu haja hantu, Yesu akontelweho mwe muti, ni hehi na kaya, kangi ugondiγwe Kiebuleyo, Kiloma, Kigiliki. 
JHN.19.21	Wavikizi wakulu wa Wayuda wazamγamba Pilato: Ushegonde: Zumbe ywa Wayuda, ugonde, kuti yuja azalonga: Imi ni zumbe ywa Wayuda! 
JHN.19.22	Angwe ni Pilato: Nigondilevyo ne nizabinda. 
JHN.19.23	Waja washilikali wakibinda kumkontela Yesu mwe muti wazaγuwa shuke zakwe, wazazilavya mafungu mane, kila mshilikaii fungu iṅwe, kuzashiγala nkazu yakwe; miya ija nkazu nkaina lushumo kuandiila ulanga mpaka shi, yoshe ngima nkaina. 
JHN.19.24	Wazaγambilana: Tisheipange! Miya tiitowele lusolo, ati neiγaluke ya ndai! Kangwe ugondengwa ubontoke uja wa kuγamba: Wazapangilana shuke zangu, nkazu yangu wazaitowela lusolo. Ne waja washilikali waγosholevyo.
JHN.19.25	Haja he muti haiγoloke nine ja Yesu na nduγuye ja nine mweitangwa Maliya, mkaza Kalofa, na Maliya Magadalene. 
JHN.19.26	Yesu akimwona nine na yuja mhina, ayemkundisha, aiγoloke haho, amγamba nine: Mlala, ṅwanao shuyu! 
JHN.19.27	Vikibinda azamγamba yuja mhina: Nyokwe shuyu! Haho ne yuja mhina ahomγuwa na kwakwe. 
JHN.19.28	Vikibinda Yesu akitaila, kuti vyoshe vizabontoka, kangwe ugondengwa uhontoke, aγamba: Nina nkilu. 
JHN.19.29	Kuna iγa jiikiγwejo, jiimemile mazi yenyeγela. Wazaγuwa fuli, wazajigisa yaja mazi yenyeγela wazajitunga mwe lasi, wazajikweza na kwe kanwa chakwe. 
JHN.19.30	Yesu akiγuwa yaja mazi yenyeγela azaγamba: Vizabontoka. Ne ahoinamya mutwi, azadwika moyo.
JHN.19.31	Kwa kuti ni mushi wa kuliγanya Pasa kangi nyemi ya ija sabato ni nkulu, kangwe viya vimba visheikale mwe miti mushi wa sabato, Wayuda wazamhembeleza Pilato, wahondwe viγa, wadaheushiγwa. 
JHN.19.32	Washilikali wazaiza, yuja ywa bosi wazamubonda viγa, hata yuja mtuhu akomiγweye haṅwe naye. 
JHN.19.33	Wakibula kwa Yesu, wakiona, kuti aibindile kufa, nkawamuhondile viγa, 
JHN.19.34	miya mshilikali muṅwe azamtunga na guha lie luhazu, viya du lushe mzalawa mpome na mazi. 
JHN.19.35	Yuja avieneye azalonga uwona, kangi uwona wakwe ni wa kweli, yuja ataila, kuti alonga vye kweli, kangwe hata inywi mtozeshe. 
JHN.19.36	Ivi vizaγosholwa, kangwe ugondengwa ubontoke uja wa kuγamba: Nkezeahondwe vuha! 
JHN.19.37	Vituhu ugonde utuhu waγamba: Newamwone, wamshomileye!
JHN.19.38	Yosefu ywa Alimatiya, ndiye ai mhina ywa Yesu, miya aivifishize kwa mbuli ya woγa na Wayuda, viya vikibontoka, azamhembeleza Pilato, amshungule kusheleza kimba cha Yesu. Pilato azamkundiza. Azahita, azasheleza chiya kimba chakwe. 
JHN.19.39	Nikodemo yohena azaiza, ni yuja ahitaye kwakwe kale na kilo, azaleta mafutilo ya mluziluzi yavanganyiγweyo na luza, ni ya shilingi magana maili. 
JHN.19.40	Wazaγuwa kimba cha Yesu, wazachikanta na shuke zeṅala, waimshishize yaja mafutilo, sa Wayuda wavyozwela kuzika. 
JHN.19.41	Haja hantu akontelweho mwe muti hana mγunda, mwe uja mγunda muna mbila mpya, mushilelemo muntu hata kale. 
JHN.19.42	Kwa kuti uja mushi Wayuda wakiteγa kwe mviko wa Pasa, wazamwika Yesu muja, hambu ija mbila i hehi.
JHN.20.1	Mhitu wa hosi wa juma Maliya Magadalene azahita makelokelo kwe mbila, kukena lwiza; akibula azaona, kuti jiya iwe jiiushiγwe he mbila. 
JHN.20.2	Ne ahofikahita na kuγuluka kwa Simoni Petelo na kwa yuja mhina, Yesu amkundisheye, awati: Wazamwinula Zumbe mwe ija mbila, nkatitaila, wamwikileho. 
JHN.20.3	Petelo na yuja mhina mtuhu wazalawa, wazahita kwe mbila. 
JHN.20.4	Awa waili wazaγuluka makiṅwe; yuja mhina mtuhu azamhota Petelo na kuγuluka, azalongola kuhula kwe mbila, 
JHN.20.5	akishungila azaona ziya shuke, ziiikonyiγwe, miya nkaingile. 
JHN.20.6	Simoni Petelo azashilikiza kuhula, azaingila mwe mbila, azaona ziya shuke, 
JHN.20.7	ziikiγwe, kangi uja mhaluma, akantiγwewo nawo mutwi, nkauikiγwe haṅwe na ziya shuke, miya uikonyiγwe, uiikiγwe hantu hakwe nkandai. 
JHN.20.8	Hatayuja mhina mtuhu alongoleye kubula kwe mbila, azaingila yohena, azaviona, azatozesha. 
JHN.20.9	Hambu nkawazati wataile uja ugondengwa wa kuγamba: Shuti afufuke kwa wafilewo. 
JHN.20.10	Waja wahina wazauya na kwawe.
JHN.20.11	Maliya aiγoloke se he mbila, alila. Aho akilila azashungila mwe mbila, 
JHN.20.12	azaona walau waili wazwikilewo shuke zeṅala, waiikale, muṅwe haja he mutwi, muṅwe haja he milundi, ndiho kimba cha Yesu chiikiγwe. 
JHN.20.13	Waja wamuti: Mlala, ulilai? Awati: Kwa kuti wazamwinula Zumbe ywangu, kangi sitaila, wamwikileho. 
JHN.20.14	Akilonga ivyoho azahituka na nyuma, azamwona Yesu, aiγoloke, kangi nkataile, kuti ni Yesu. 
JHN.20.15	Yesu amuti: Mlala, ulilai? Umlonda ndai? Yuja azafanyanya kuti: Ni mγolokezi ywa mγunda, amγamba: Zumbe, ati iwe uzamwinula, niγambila, umwikileho, nikamwinule imi! 
JHN.20.16	Yesu amuti: Maliya! Yuja azahituka, amlonga Kiebuleyo angwe: Labuni!, ni kuγamba: Mfuzi. 
JHN.20.17	Yesu amuti: Ushenidowe! Hambu sizati nikwele kwa Tate. Miya hita kwa wanduγu wangu, uwaγambile kuti: Nakwela kwa Tate na kwa ishe ywenyu, kwa Mulungu ywangu na kwa Mulungu ywenyu! 
JHN.20.18	Maliya Magadalene azahita, azaviukwila waja wahina angwe: Nizamwona Zumbe, kangi azaniγambila visiku.
JHN.20.19	Lwa ṅwiyaγulo uja mushi wa bosi wa sikunkulu wahina wazaunganana, miya nyuvi ziizuγalwe muja, walimo, kwa mbuli ya woγa na Wayuda. Aho Yesu azaiza, azaγoloka gati, azawati: Mpeho na inywi! 
JHN.20.20	Akilonga ivyoho azawaonyesha maγasa na luja lubazu lwakwe. Waja wahina wakimwona Zumbe wazatamilwa. 
JHN.20.21	Yesu azawati vituhu: Mpeho na inywi! Sa Tate anitumilevyo, ne imi nami nivyomituma. 
JHN.20.22	Akibinda kulonga ivyoho azawavuzila angwe: Hokelai Mpeho mṅazi! 
JHN.20.23	Ndiwo muwaushilize uhuza, ne wazauushiliziγwa; ndiwo mshewauushilize, ne nkawauushiliziγwa.
JHN.20.24	Waja kumi na waili ṅwiyae ywawe muṅwe ni Toma mweitangwa Mpasha, ne aishi haṅwe nawo, Yesu akiiza. 
JHN.20.25	Waja wahina watuhu wazamuti: Tizamwona Zumbe! Miya azawati: Nikisheona nkozu za misumali mwe maγasa yakwe, nikishegela chala changu mwe izo nkozu za misumali, nikishegela mkono wangu haja he luja lubazu lwakwe, senitozeshe! 
JHN.20.26	Mishi mnane ikizinka, wahina wakwe wazaunganaha vituhu mwe ija nyumba, hata Toma a haṅwe nawo; nyuvi ziizuγalwe vivyoho, ne Yesu ahoiza, azaγoloka gati angwe: Mpeho na inywi! 
JHN.20.27	Vikibinda azamγamba Toma: Lete chala chako na kunu, uolele maγasa yangu! Lete mkono wako, uugele mwe lubazu lwangu! Usheγaluke muntu ashiyetozesha, uγaluke muntu mwetozesha! 
JHN.20.28	Toma azahitula angwe: Zumbe ywangu na Mulungu ywangu! 
JHN.20.29	Yesu amuti: Kwa kuti uzaniona, ne uhotozesha. We nyemi ni waja wetozesha na kusheona!
JHN.20.30	Ntangilo nyingi ntuhu Yesu azaziγoshola, wahina wakwe waiolele, zishigondiγwezo mwe ichi kitabu. 
JHN.20.31	Izi zigondiγwe, kangwe mtozeshe kuti: Yesu ni Kilisito, ṅwana Mulungu, kangwe kuja kutozesha kwenyu mwonele nako nkalamo ye mwe zina jakwe.
JHN.21.1	Ziya mbuli zikibontoka, Yesu azalawila waja wahina vituhu he bahali ya Tibeliya. Awalawilevyo ni iviho: 
JHN.21.2	Simoni Petelo na Toma mweitangwa Mpasha na Natanayeli ywa Kana ya Galileya na wana Zebedeyo na wahina wakwe watuhu waili ne wai haṅwe. 
JHN.21.3	Simoni Petelo awati weyae: Nahita kwa lowa. Wazamwitikila: Hata ishwi tihite haṅwe na iwe! Wazalawa, wazaingila mwe chombo, miya chiya kilo nkawana wagwizilevyo. 
JHN.21.4	Kukicha Yesu azaγoloka mpwai, miya waja wahina nkawataile, kuti ni Yesu. 
JHN.21.5	Yesu awati: Wanangu, nkamna vya ja? Wazamlandula: Do. 
JHN.21.6	Azawati: Gelai lwavu lwazu lwa kulume lwa chombo, nemwonele! Wazalugela, miya nkawadahile kuluhuna kwa ungi wa nyama za bahali. 
JHN.21.7	Yuja mhina, Yesu amkundisheye, azamuti Petelo: Ni Zumbe yuja! Simoni Petelo akiiva, kuti ni Zumbe, azakanta nkazu yakwe, hambu ne ai bule, azalumbila na mwe bahali. 
JHN.21.8	Miya waja wahina watuhu wazahita na chombo, hambu ne waishi hale na mpwai, ni mikono magana maili, wazahuna lwavu na ziya nyama. 
JHN.21.9	Wakibula kuja mpwai wazaona makala ya moto yaikiγweyo na makapala muja zikoi na vimande. 
JHN.21.10	Yesu awati: Letei makapala kuṅwe, mugwizileyo ivi lushe! 
JHN.21.11	Simoni Petelo azahita, azahuna lwavu na mpwai, luna nyama nkulu muno gana na milongo mishano na ntatu; hata zikiγenela ivyoho, lwavu nkaludwikile. 
JHN.21.12	Yesu awati: Izai na kunu, mkishashule! Waja wahina nkakuna atozizeye moyo kumwuza: Iwe u ndai? Hambu wazataila, kuti ni Zumbe. 
JHN.21.13	Yesu aiza, aγuwa kimande, awainka, hata kapala vivyoho. 
JHN.21.14	Ako ni ka ntatu, Yesu akilawila waja wahina akibinda kufufuka.
JHN.21.15	Wakibinda kukishashula, Yesu amγamba Simoni Petelo: Simoni, ṅwana Yohana, wanikundisha kuzinka awa? Angwe: Ehe, Zumbe! Iwe wataila, kuti nakukundisha. Angwe: Lisha viγoto vyangu! 
JHN.21.16	Vituhu amγamba Petelo ka mbili: Simoni, ṅwana Yohana, wanikundisha? Angwe: Ehe, Zumbe! Iwe wataila, kuti nakukundisha. Amuti: Γolokela ngoto zangu! 
JHN.21.17	Amγamba ka ntatu: Simoni, ṅwana Yohana, wanikundisha? Petelo azaona ukiwa, kuti amwuza ka ntatu: Wanikundisha?, azamuti: Zumbe, wataila mbuli zoshe, iwe wataila, kuti nakukundisha. Yesu amuti: Lisha ngoto zangu! 
JHN.21.18	Kweli nakuti: Aho, ndiho ui mubwanga, uzakikanta ṅwenye, uzaanga, ukundileko. Miya ndiho udalahale, neukusule mikono yako, kangi mtuhu atakukanta, akuiγale ushikundako. 
JHN.21.19	Inu mbuli ailongile, kangwe amwonyeshe mifiile, ndiyo amgimbike Mulungu nayo. Akibinda kulonga ivi, amti: Nitongela! 
JHN.21.20	Petelo azahituka, azamwona yuja mhina, Yesu amkundisheye, kuti amtongela; ni yuja ndiye akiikala hehi na Yesu wakija nkande za ṅwiyaγulo, akimwuza: Zumbe, ni ndai mwekuinkila? 
JHN.21.21	Petelo akimwona uyu amγamba Yesu: Zumbe, uyu ana mbwai? 
JHN.21.22	Yesu amuti: Ati imi nakunda, aikale, mpaka nikizaiza, iwe una mbwai navyo? 
JHN.21.23	Iwe nitongela du! Ne iyo mbuli iandukeho, wanduγu wakihalonga: Yuja mhina nkafa. Miya Yesu nkalongile kuti: Nkafa, miya alongile: Ati nakunda, aikale, mpaka nikizaiza, iwe una mbwai navyo?
JHN.21.24	Uyu ni yuja mhina mwelongela izi mbuli uwona, ne azigondileye, kangi tataila, kuti uwona wakwe ni wa kweli.
JHN.21.25	Miya kuna mbuli nyingi ntuhu, Yesu aγosholezo; ati ziya zagondwa ṅwenga ṅwenga, nanga naγamba: Hata mwe ngulu ngima nkeviγendwe viya vitabu, ndivyo vizigondwe.
ACT.1.1	Ṅwiyangu Teyofilo, kitabu cha bosi nizachibinda cha viya, Yesu aandilevyo kuγoshola na kufuza 
ACT.1.2	mpaka uja mushi, ahoinulwa na mwe lwingu; ne abindileho kulaγiliza ziya ntuṅwa, ashaγulezo, viya vya mpeho ṅazi. 
ACT.1.3	Kangi ni waja, aonyeshewo na ntangilo nyingi haja akibinda kulumiziγwa, kuti a moyo; aakawalawila mishi milongo mine akiwaukwila viya vya uzumbe wa Mulungu. 
ACT.1.4	Akiwaunganyanya azawalaγiliza: Msheuke kuja Yelusalemu, miya mwafize uwo msuhi wa Tate, mwivilewo kwangu! 
ACT.1.5	Hambu Yohana ne akibatiza na mazi, miya inywi nemubatizwe na mpeho ṅazi, kukizinka mishi miγeke du. 
ACT.1.6	Miya waungananewo wazamwuza angwe: Zumbe, mishi ija ne ndiho ushimikile Waisilayeli uzumbe? 
ACT.1.7	Azawaγamba: So mbuli yenyu kutaila, mishi ija ihozabula, Tate aikileyo kwa nguvu yakwe ṅwenye; 
ACT.1.8	komo mhokele nguvu ya mpeho mṅazi aho ndiho nezeimiizile, mγaluke waona wangu uko Yelusalemu na mwe shi ngima ya Yudeya na ya Samaliya na kosheni mpaka kwe mihelo ya shi. 
ACT.1.9	Akiwaγambila izi mbuli, wakiolela, azainulwa, zunde jizamγuwa, jizamwusha, waiolele. 
ACT.1.10	Waja wakiolela, avyohita na mwe lwingu, ne waγoshi waili wahoγoloka haja, waliho, wazwikilewo shuke zeṅala, 
ACT.1.11	wazawati: Waγoshi wa Galileya inywi, nini mkiγoloka na kuolela na kwe lwingu? Uyu Yesu sa iviho avyoinulwa na mwe lwingu akiushiγwa kwenyu, ne ndivyo nezeaize, sa iviho mumwenevyo, akihita na mwe lwingu. 
ACT.1.12	Haho wakihauka he uja mulima wa miziyaγembe wazauya Yelusalemu; unu mulima u hehi na Yelusalemu, ni kadambo kashinako ṅwiko na sabato. 
ACT.1.13	Wakibula kaya wazakwela mwe tala ja ija nyumba, wamoikala, ni Petelo na Yohana na Yakobo na Andeleya na Filipo na Toma na Balitolomeyo na Mateyo na Yakobo, ṅwana Alifeyo, na Simoni Zelote na Yuda, ṅwana Yakobo. 
ACT.1.14	Awa woshe wazatenda moyo muṅwe wakishindiza vika haṅwe na wavyelengwa na Maliya, nine ja Yesu, na wanduγuze wa Yesu.
ACT.1.15	Mishi ija Petelo azawalawila waja wanduγu; kangi jiya bumba joshe jiungananejo muja jizaγelemuka mazina gana na milongo mili, azawati: 
ACT.1.16	Waγoshi kangi wanduγu wangu, vizaagiza, kunebontoka ugondengwa, sa mpeho ṅazi ilongilevyo na kanwa cha Dawidi kale kwa mbuii ya Yuda; uyu azawalongwela waja wamgwizilewo Yesu. 
ACT.1.17	Kangi ne akitalwa haṅwe na ishwi, yohe azapangilwa unu ufuṅwa wetu. 
ACT.1.18	Uyu azamota luja lubuwa na kitumulo cha ubada wakwe; azakina funi, ne ahotumbuka ṅwili gati, matumbo yakwe yoshe yazalawa. 
ACT.1.19	Inu mbuli izamanyika kwa wantu woshe weikala Yelusalemu, wazaitanga Iuja lubuwa na milongele yawe: Akelidama, ni kuγamba: Lubuwa lwe mpome. 
ACT.1.20	Hambu mwe kitabu cha mazumo kuigondiγwe: Nyumba yakwe nezeiγaluke huzu, nkezekuoneke mwemwikala, kangi: Uolezi wakwe shuti uhile na mtuhu! 
ACT.1.21	Lushe kuna waγoshi waangilewo na ishwi mishi yoshe, Zumbe Yesu akiingila kwetu mpaka akikulawa, 
ACT.1.22	kuandiila akibatizwa ni Yohana mpaka uja mushi akiinulwa, akiushiγwa kwetu, waja vyaagiza, ṅwiyae ywawe muṅwe alongele ufufuki wakwe uwona haṅwe na ishwi. 
ACT.1.23	Wazaγolosha waili, Yosefu mweitangwa Balisaba, vituhu aitangwa Yusito, na ṅwiyae Matiya. 
ACT.1.24	Wazavika angwe: Iwe Zumbe, wataila myoyo ya wantu woshe, awa waili tionyeshe yuja, 
ACT.1.25	umshaγuleye, aγuwe unu ufuṅwa na ntuṅwa, Yuda aashizewo, kangwe ahite na haja hantu hakwe ṅwenye. 
ACT.1.26	Wazawatowela lusolo; lusolo luzagwa na kwa Matiya, ne ahogimbikwa haṅwe na ziya ntuṅwa kumi na muṅwe.
ACT.2.1	Mushi wa milongo mishano ukitimiza, woshe wa kiṅwe hantu haṅwe. 
ACT.2.2	Ne kuholawa vuzo kwe lwingu, viya ni ja mpeho yekunta na nguvu, jizamema muja nyumbai moshe, waikalemo. 
ACT.2.3	Kuzalawila nyimi zepangana, viyani zamoto, zizawaikaila kila muntu. 
ACT.2.4	Woshe wazagisa mpeho ṅazi, wazaandiila kulonga na vilosi viγeni, kila sa Mpehongwa ivyomshungula kubilikila. 
ACT.2.5	Miya kuja Yelusalemu kuikala Wayuda wemwogoha Mulungu waandukewo mwe mbali zoshe kimu shi. 
ACT.2.6	Lushe jiya vuzo jikiiviγwa, wantu wangi wazaunganana, wazaatukwa ni matumbo, hambu kila muntu azawaiva waja, wakilonga kilosi chakwe ṅwenye. 
ACT.2.7	Wazashentuka, wazamaka angwe: Kaulai! Awa woshe welonga siwo Wagalileya? 
ACT.2.8	Lushe ishwi tiiva zeze kila muntu kilongele chakwe ṅwenye, avyelwecho nacho? 
ACT.2.9	lshwi Wapalito na Wamediya na Waelami na ishwi teikala Mesopotamiya na Yudeya na Kapadokiya na Ponto na Asiya 
ACT.2.10	na Fuligiya na Pamufiliya na Egiputa na lwazu lwa Libiya lweolela na Kilene na ishwi Waloma teikala uγeni kunu, ishwi Wayuda na wahina, 
ACT.2.11	Wakaleta na Waalabu, toshe tiyawaiva, wakibilikila na vilosi vyetu viya vikulu, Mulungu aγosholevyo! 
