GEN.1.1	Ndre mamunen Petngendrei ihnan lok eleng pe lokpoi, pe sane ndre sulo-on. 
GEN.39.15	Yu udehel ti pe iy ihtot iyeu ile kiu, pe kolos tadan imin ndre pwoi.”
GEN.39.16	Iy idekepti kolos ti imin uu pe ndre mbrulun ti ihir. 
GEN.39.17	Inum oh ti pe iy inen ke ndre nolou ndre iy inen ndralnga' su lewen marai ile eriy ti ile tam mbrulun yi. Iy ihpah, “Lapan Hibru lewen marai ou okuni iy imin ndrongon tidu ti ise hun yu ise rum pe ipe kimbroserihi yu. 
GEN.39.18	Odoke yu udehel, eri iy ihtot iyeu ile kiu pe kolos tadan immin ndre pwoi.”
GEN.39.19	Mandra-an ta Yosep ihrungii ti pe lon ndrinen inei ile mo-on, 
GEN.39.20	ile pe su soldia hokuni Yosep pe hopton iy ile kou iy ndre su kadapus tang king honto eriy tih.
GEN.39.21	Odoke Lapan immin hun Yosep pe inehnuwii iy, ile pe ndramat madan iso tasu kadapus, eri irih ta Yosep lakopwi. 
GEN.39.22	Iy iduwe Yosep madan ise pule-e' su kadapus ndre sulo-on, ndrodan ndre sane marai handrai pe handrai ndre hehhir odo lon kowen kadapus. 
GEN.39.23	Woda ihron lumwen sane ndre sulo-on pe iduwe Yosep madan ise eriy, eri pe sane ndre sulo-on hehir ile huyen, odosa Lapan ti immin hu Yosep.
GEN.40.1	Rang elwe-en hepe ndre ilnum, eri pe horu ndramat rumuu, homou mandra-an odo tune-en bret pe homou madan iso wain tang king odo Isip, eri harahnan tawene tang king ihrut. 
GEN.40.2	King lon ndrinen inei ile ta horu opisa ndre rumuu kurti 
GEN.40.3	pe iduwe horu harla kadapus harla um tan kepten tasu gad, iy ndre Yosep imin eriy tih. 
GEN.40.4	Horu hermin kadapus erti ile elwe-en lakopwi, eri pe kapten tasu gad iduwe Yosep ile lewen marai ta horu.
GEN.40.5	Idu lukumwen sei eri pe ndramat mandra-an odo tune-en bret ti pe ndramat madan iso wain eri hermimih, pe mimih ndre rundrei kuti paninye ta horu indrila ke handrai pwi. 
GEN.40.6	Idu maping Yosep ile ilndre-et horu ti pe itlonan ihpa ndre horu herentawene ile hangka-an. 
GEN.40.7	Ile pe Yosep ihndremte horu, “Kede ke indrahpa kehe? Oruu mada’ oruu indrehmo-on kopwi mahkele ti ile sa?”
GEN.40.8	Horu harahpah, “Oru ermimih pe homou ndramat indrimin hepe odo we kipaninyan mihmih taru ti pwi.”
GEN.40.8	Ile pe Yosep ihpah, “Tapa Lapan intawe tawene odo paninye mihmih tih. Erninen mihmih taruu kile todo eh.”
GEN.40.9	Ile pe ndramat madan iso wain ti ihpa, “Idu lon mihmih todo, eri yu undroni padan wain homou, 
GEN.40.10	ndrolkopwen ndre tulndrei hoso eriy. Nombrun pe motuhron herihir ke petsih. Pe motuhron ti hehsengin pe hahmandran. 
GEN.40.11	Yu undretowe kap tang king ti ise lumwe, ile pe yu ukuni mbrwen se pe ulsen ile lon kap pe uduwe ile tan king.”
GEN.40.12	Yosep ihpah, “Paninye tadan ti ihpa ndre kurtih. Iy ndrolkopwen ndre tulndrei eri rang ndre tul. 
GEN.40.13	Rang ndre tul kinum, eri king we kikuni ou owou odo kou, pe we kiduwe ou ala ndre maryam munen tih. Ou we entudou kapen kile lumwen yi kihpa ndre munen ou entudou wain ile tadan. 
GEN.40.14	Odoke antawonon yu ipe ye ou elmin huyen tih. Akarndrundrumwi yu pe ehnuwii yu. Enen kile tang king kile pe yu ku-eu odo lon kou ketih. 
GEN.40.15	Yu use keti sa hapahno-o yu odo lok ta su Hibru. Yu usumwin keti pe undrupo hangka-an mo-on pwi. Sa heduwe yu use kou ke porah.”
GEN.40.16	Ndramat mandra-an odo tune-en bret ti iltuwe ihpa ndre paninye odo mihmih tan ndramat madan iso wain kuti ile huyen, eri pe iy inen tadan ti yi ihpah, “Yu eri umih yi, upwe ye unesursor mbrwenkusus bret ndre toloh he-en mburumpolo. 
GEN.40.17	Mbrwenkusus ndre imin pule-en ti ndruwo’ sane handrai pe handrai tune-en yu upu anan king eri hodo lon, pe nenka-an hana-an.”
GEN.40.18	Yosep ihpa, “Paninye tadan ti ihpa ndre kurti: mbrwenkusus ndre toloh eri rang ndre tul. 
GEN.40.19	Rang ndre tul kinum eri king we kikuni ou owou odo kou pe hesimdri padawum ke-eu. Kinum ti we iy kihndrule-en purndrunum kise ndran kei, pe nenka-an we hani sengim.”
GEN.40.20	Rang ndre tul inum eri imel idu mundrun rang ndre heduwe king idu eriy, ile pe iy ihnan song mandra-an ana’ su opisa tadan ndre sulo-on. Inum ti pe king ikuni ndramat madan iso wain pe ndramat mandra-an odo tune-en bret ti hara-au odo kou pe iduwe horu harla lenga' su opisa se yi tih. 
GEN.40.21	Iy iduwe ndramat madan iso wain ti ile ndre maryan munen ti yi, 
GEN.40.22	odoke iy ihndrule-en ndramat ndre intune-en bret tih. Ndre sulo-on kurti ihir ihpa ke ndre Yosep ipe tih. 
GEN.40.23	Odoke ndramat madan iso wain eri indra-amelyen Yosep, hepe indretawonon iy pwi yi.
GEN.41.1	Krismas ruweh ndre ilnum pe king odo Isip imih. Iy ipe yi idu eleng idu ngerin wo Nael, 
GEN.41.2	eri pe makau ndre ndrotulmuu, handritamumu-uh pe mundre' su handranuw, hanak odo wo hasa eleng, pe hoyo-on karas lakopwi. 
GEN.41.3	Inum ti pe makau ndrotulmuu yi hanak hasa eleng. Su erti keltun ke su isorohe ndruwi' su pe hendriring. Su hasa eleng ti pe hasa ke lenga' su iy ndre hana-an karas odo kahu tih. 
GEN.41.4	Eri pe su makau ndre hendriring ti hani su makau ndre handritamumu-uh tih. Inum ti pe iy ihretek imin eleng.
GEN.41.5	Iy madan mapwi metiriu ile pe imtir yi, pe imih handrai yi. Iy imih ipe indroni rais he-ei sengin ndre ndroltulmbrung mandra-ane hoso eriy. 
GEN.41.6	Inum ti pe rais he-ei yi ihir. Padan indriroweswes kopwi pe sengin ndre ndroltulmbrung yi hoso eriy, odoke roro-on ke su odosa ngohon langat rai imburwi su. 
GEN.41.7	Eri pe su iy ndre sengi' su roro-on kopwi ti heselmi su iy ndre sengi' su ndre hombrung ea tih. King iropulang imin eleng pe itlonan ihpa ndre iy ti inemimih.
GEN.41.8	Idu maping eri pe iy idawene puko-on ile eriy, ile pe iy iduwe nolou ile hu su ndramat odo ndre-et pe su sape ndramat ndre sulo-on odo Isip hasa hun iy. Iy inen ndralnga’ su ile mihmih tadan, odoke homou ndramat indripaninyan inna tadan pwi.
GEN.41.9	Inum ti pe ndramat madan iso wain tang king eri ke idehorungon, ile pe iy ipe ile tan king ihpah, “Yu kah kupahran mehkele kile tadam, ihpa ndre yu undrahnan horut handrai. 
GEN.41.10	Yu pe ndramat intune-en bret eri ou lon ndrinem inei ile taru pe opton oru ile kou odo um tan kapten tasu gad. 
GEN.41.11	Petsih lukumwen eri pe oru ndre rumuu ermihmih, pe mihmih taru ti ndre paninye tahoru ea. 
GEN.41.12	Oru erninen ndralngan anah homou Hibru pe iy ipaninyan ile ta oru. Anah ti impo marai tan kapten tasu gat. 
GEN.41.13	Sane ti hehir ihpa ke ndre iy ipe tih. Ou eduwe yu upu ndre marai yi, odoke ou eduwe ndramat odo tune-en bret ti imet.”
GEN.41.14	King iduwe nolou ile hu Yosep ile omwen kou pe ipe iy kiportai kopwi kisendre-et iy. Yosep isingi lemun pesen inum pe inswi kolson wohou ile mundren. Inum pe iy ile pe indru idu purmadan king.
GEN.41.15	King ipe ile tadan ihpa, “Yu umtir pe umih, odoke homou ndramat indripaninyan pwi. Yu uhrung sa hapa ou ti ampaninye mihmih.”
GEN.41.16	Yosep ihpa, “Yu eri undranon pwi, mandra-an todo, odoke Lapan we kipaninyan kile tadam.”
GEN.41.17	King ihpa, “Yu umih upwe ye udu eleng udu pesen wo Nael, 
GEN.41.18	eri pe makau ndre ndrotulmuu hendritamumu-uh pe mundre' su enuwen, hanak odo wo hasa eleng ti pe hoyo-on karas lakopwi. 
GEN.41.19	Inum ti pe makau ndrotulmuu yi hendriring pe patndrondruwin ke su, hanak hasa eleng. Su hasa eleng ti pe hala ke lenga’ su iy ndre hana-an karas hodo kahu tih. Yu undrendre-et hepe makau ihpa kuti odo lon Isip ndre mandra-an pwi. 
GEN.41.20	Su makau ndre hendriring ti hani su makau ndre handritamumu-uh, 
GEN.41.21	odoke ou ndramat madam kile ti pe we apa yi hangka-an ke pwi, odosa ndre-et ta su eri ihpa ke ndre munen. Inum ti pe yu uhretek umwin eleng.
GEN.41.22	“Yu umih petsih yi eri pe undroni sengin rais ndre ndrotulmbrung hoso ke padan hene. Sengin ti hutun hoso hombrung hombrung, pe mandra' su. 
GEN.41.23	Inum ti pe sengin rais ndre ndrotulmbrung yi hehir. Su erti roro-o' su kopwi, odosa ngohon langat rai iruhi su. Padan ndre sengin hoso eriy ti indriring. 
GEN.41.24	Pe su ndre serke-e' su kopwi ti heselmi su iy ndre sengi su sulo-on tih. Yu unen mimih todo kurti ile tasu ndramat odo ndre-et, odoke su homou indripaninyan pwi.”
GEN.41.25	Yosep ipe ile tang king ihpah, “Mihmih tadam ndre rundrei kirti paninye ta horu ti ile ke handrai. Lapan indripa inna tadam ile sa iy kawe kipu tih. 
GEN.41.26	Makau ndre ndrotulmuu handritamumu-uh eri krismas ndre ondrotoloh, pe rais ndre ndrotulmbrung sengin hutun, eri krismas ndre ondrotoloh yi. Paninye ta horu ti ile ke handrai. 
GEN.41.27	Makau ndre ndrotulmuu hendriring ndre hasa eleng idu omur pe rais ndre ndrotulmbrung ndre langat rai iruhi su pe hemsir kopwi, eri krismas ndre ondrotoloh song we pwi.
GEN.41.28	“Sa ndre yu umpa ile tadam kuti we kihir. Lapan indripaninyan ile tadam handrai sa iy we kihnan tih. 
GEN.41.29	We kidu lon krismas ndre ondrotoloh eri song we kihur lakopwi odo lon Isip ndre mandra-an. 
GEN.41.30	Iy kurti kinum, eri krismas ndre ondrotoloh yi eri we song pwi. Krismas ndre sulo-on huyen iy ndre song ihir eri we kile ameli-iy, odosa song pwi eri we kihyan lok ndre mandra-an. 
GEN.41.31	Mundrun song ihur ti we sa ndramat kolo' sa kisumwen, odosa song pwi ndre we kidu ndruwen, eri we kile ndre mo-on lakopwi. 
GEN.41.32	Nolou ke handrai odoke ihir ile mimih ndre rundrei ti odosa, Lapan indretawe tawene Tadan puko-on inna eriy, pe elwe-en pwi pe we kihir.
GEN.41.33	“Ile pe ou opondrih homou ndramat huyen pe tadan tawene elwe-en, pe eduwe iy madan kise pule-en lok ndre mandra-an odo Isip. 
GEN.41.34	Ou ehlite se opisa yi. Marya' su ti odo tapedeng song ta sa lau kidu lon krismas ondrotoloh ndre song mapwi ihur tih. Apa kile tasu pe su we hantukuni song hondroh odo lon song limndreh, pe hantaparngan kidu. 
GEN.41.35	Apa kile tasu pe hadapedeng song kile sulo-on, kidu lon krismas ndre ondrotoloh huye' su tih. Pe eduwe puko-on kile ta su, pe su hadaparngan song hala um mandra-ane odo lon siti sih pe sih. Eduwe su hala kelye-en, kihne sa hapahna. 
GEN.41.36	Song kurti adakepti kidu, kile pe kidu lon krismas ondrotoloh ndre song pwi kawe kihir Isip, eri song erti we kihkelmuyen taha. Tapa sal kuti we kihnan pe sa ndramat handrimat odo song pwi.
GEN.41.37	King pe su opisa tadan hapa tawene kurti huyen, 
GEN.41.38	pe iy ipe ile tasu, “Mulou ta Lapan ti imin hun Yosep. Tidu titndranon titndrepondriti homou ye ndramat ihpa ndre iy ti odo hepe pwi.”
GEN.41.39	Ile pe king ipe ile ta Yosep, “Lapan indripaninyan sane ndre sulo-on inna tadam, ile pe tapake ou tadam tawene huyen pe palam elwe-en. Homou lau indrahpa ndre ou ti pwi yi. 
GEN.41.40	Yu we kuduwe ou madam kise kantri todo ndre mandra-an. Handrai sa ndre ou apa eri sa ndramat we honohrung ke ou. Yu ti king, inum oh pe ou oso pohndro. Homou ye ndramat pwi. 
GEN.41.41	Mahkele eri yu kah kuduwe ou ala Gavena odo Isip ndre mandra-an.”
GEN.41.42	King inswi ring mak tadan iyeu odo kopwen lumwen pe iduwe ile kopwen lumwen Yosep. Iy inswi kolos elwe-en ile mundren Yosep. Kolos erti hahnan odo sane ndre hompo kolson king illa eriy tih. Inum pe iy iduwe sen gol ile padawon. 
GEN.41.43	King iduwe karis tadan sih ti ile ta Yosep odo Yosep kinehtot kile eriy. Pe su gad he-en munen pe hoyuw ihpa, “Edehpil odo sal pe otpo ruru!” Ile pe king iduwe Yosep ile Gavena odo Isip ndre mandra-an.
GEN.41.44	King ipe ile ta Yosep ihpa, “Yu ti king, pe homou ndramat odo lon Isip we kindripo sane ke porah pwi, kenon ndre ou apa.” 
GEN.41.45	Iy iduwe rangan Yosep ile Safenat Panea. Rangai kuti ranga’ sa Isip. Pe iduwe Asenat ile mbrulun. Asenat ti taman Potifera, pris odo Heliopolis siti.
GEN.41.46	Krismas ta Yosep ti tulngeh, idu rang ndre iy ke ipu marai imin pahndran king odo Isip tih. Iy ke itlang odo ndrongon king pe ilndre-et lok ile hokor pe hokor odo lon Isip. 
GEN.41.47	Idu lon krismas ndre ondrotoloh, eri song ihur odo lok ndre mandra-an, 
GEN.41.48	eri pe Yosep ideparngan song sulo-on pe iduwe hala omwen song odo siti sih pe sih. Song ndre iy ikuni odo ngerin siti kehe, eri iy intawe illa lon omwen song ndre imin siti ertih. 
GEN.41.49	Song Yosep itparngan idu siti sih pe sih ti ile teper, ile pe iy ihron ndrom. Song ti ile hudut lakopwi ihpa ndre on odo ngerin ndras.
GEN.41.50	Idu lon krismas ndre song mapwi ihur, eri Asenat, nedun Potifera pihin ti iduwe nedun Yosep rumuu kamal. 
GEN.41.51	Yosep ihpah, “Lapan indrahnan pe yu kolu ke insumwen pede-en todo ndre sulo-on, ile ndrodan ndre tomo pe tinto su.” Ile pe iy irson rangan nedun ndrihou ti Manaseh. 
GEN.41.52	Iy ipe yi ihpah, “Yu umwin keti pe ukun pede-en odoke Lapan ke indrehlingi yu kom.” Ile pe iy irson rangan nedun omur ti ile Efraim.
GEN.41.53	Krismas ndre ondrotoloh ndre song ihur odo Isip eri ke inum, 
GEN.41.54	pe krismas ndre ondrotoloh yi odo song pwi ti ihir, ihpa ke ndre Yosep indripa munen tih. Lok hokor pe hokor odo mahun eri song pwi, tapake Isip ndre mandra-an eri song he-en eriy. 
GEN.41.55	Song ke inum odo Isip ti pe ndramat kah harah song, pe hala hung king pe hehndremte iy ile song. Ile pe iy ipe su helndre-et Yosep pe holpo sa ndre iy kipe kile tasu tih.
GEN.41.56	Song pwi ti imndra lakopwi pe isarpat ile lok ndre mandra-an, ile pe Yosep irwe omwen song ndre sulo-on odo siti sih pe sih pe sa ndramat odo Isip hesih. 
GEN.41.57	Sa lau odo lok hokor pe hokor hala Isip pe helsih song odo hu Yosep, odosa lok ndre sulo-on eri song honum.
GEN.42.1	Yakop ihtunon ihpa ndre song ilto Isip, ile pe iy ipe ile tan nedun su ihpah, “Oduu we otto kopwi kihpa kirtih? 
GEN.42.2	Yu uhrung ihpa ndre song ilto Isip. Oduu atla eriy pe atla sihsih ana' tidu, pwi ti we titmat.”
GEN.42.3	Ile pe su tinton Yosep ndre sungoh hala Isip pe helsihsih song, 
GEN.42.4	odoke Benjamin lilin tinton Yosep ndre tine' horu homou, eri indru-us su pwi. Yakop ihmbrusen iy immin, odosa iy inuh ipe kihne handrai hangka-an horut kihir tadan.
GEN.42.5	Su nedun Israel ti ndrodan ndre sa ndramat se yi hala helsihsih song, odosa Kenan ndre mandra-an eri song pwi yi. 
GEN.42.6	Yosep, kah Gavena odo Isip, eri sa ndramat odo lokpoi ndre mandra-an helenesihsih song odo hun iy. Ile pe su tinton Yosep hala pe hopo ruru ile tadan uu pe mbruli' su iltu-uw ndre poi. 
GEN.42.7	Yosep indroni su tinton ti indra-aterihi su pwi. Iy tunon su odoke ihnan ihpa ndre tunon su pwi tih. Iy ihndremte su ndre puko-on ea ihpah, “Oduu otndroh kehe?”
GEN.42.7	Su hahpah, “Odu otndroh ndre Kenan, atsasih song.”
GEN.42.8	Yosep ti tunon iy erti su tinton. Odoke su kopwi eri handrapahran iy pwi. 
GEN.42.9	Iy iltahorungon ndre mihmih tadan ile tasu ndre iy imehyen munen odo Kenan pe ihpah, “Oduu ti lulo-ou tih! Oduu atsaturtur lok pe atpa etsahtuno oduu kehe ndre oduu we odu-us eriy pe atsapo pahun tih!”
GEN.42.10	Su hahpah, “Pwi, lau mandra-an. Odu lewen marai tadam, atsasih song. 
GEN.42.11	Odu ndre sulo-on keti madan tintoi. Odu ti lulo-ou pwi, lau mandra-an. Odu lau odo taheweh pwi.”
GEN.42.12	Yosep ipe ile ta su ihpah, “Pwi! Oduu atsa ti atpa atsaturtur lok oh, kinum pe ndre omur atsapo pahun.”
GEN.42.13	Su hahpa, “Odu madan tintoi ndre sungoh-pe-rumuu, lau il. Nedun ke ndramat homou ilmin ndre Kenan. Tinto' odu homou ti indrimat, pe iy ndre omur lakopwi eri ilmin ndre ndrongon tama' odu.”
GEN.42.14	Yosep ihpah, “Ihpa ke yu upwe tih! Oduu ti lulo-ou! 
GEN.42.15	Uh oduu edenolou ndre ndrokene, eri yu we kuhtuno. Pe uh oduu edentaheweh, eri yu we kuhtuno yi. Ile pe yu udemumoi ile rangan king ihpa ndre oduu we etndre-au pwi, kenon ndre tinto' oduu lehyen lakopwi ti kise kertih. 
GEN.42.16	Oduu homou we ala pe altakun iy. Oduu ndre sulo-on ti we atlato omwen kou oh uu kenon ndre hondrotureh ndre ndrokene odo sohou taduu tih. Uu pe pwi, eri yu upwe ndre ndrokene ile rangan king, oduu ti lulo-ou.” 
GEN.42.17	Ile pe iy iduwe su hala kou rang ndre tul.
GEN.42.18	Rang tul ndre ilnum ti pe Yosep ipe ile ta su ihpah, “Adahnan kihpa kuti we otto. Yu eri ndramat unoh ta Petngendrei. 
GEN.42.19	Yu ka we kuduwe tawene sih. Uh, nolou oduu atpa ti ndre ndrokene, eri oduu homou we kimin ndre omwen kou ndre oduu otto eriy munen, pe oduu huren eri atakuni song ndre oduu etndresihnen eri kile hun morlo-e' oduu ndre hondruto pe ana' su song pwi, eri pe atla yi. 
GEN.42.20	Kinum eri oduu we atakuni tinto' oduu ndre lehyen lakopwi eri kise. Kurti kile we kipahran kihpa ndre oduu otnosohou ndre ndrokene, pe we oduu etndremat pwi.”
GEN.42.20	Su hapa huyen 
GEN.42.21	pe homou ipe ile ta homou ihpa, “Ndre ndrokene, tidu kah tidentakun pede-en odo handrai sa ndre tidu titpo ile tan tinto' tidu tih. Iy intamari iy ile ta tidu ti pe tidu titndrehrung iy pwi. Mehkele ti kah tidengkun pede-en oh.”
GEN.42.22	Ruben ihpa, “Yu upwe sa ile taduu? Yu upwe oduu atawe ngendre-en kile tan anah ti kolwii, odoke oduu etndrehrung yu pwi tih. Ile pe etndre-et oh, mahkele tidu kah tidengkun ngendre-en odo mat tadan.” 
GEN.42.23	Yosep tunon sa su hampa ti, odoke su tuno' su pwi, odosa ndramat odo potuluwi nolou eri isopelwen nolou Isip ile ta su, pe isopelwen nolou Hibru ile ta Yosep tih. 
GEN.42.24	Yosep iyeu odo hu su pe iltang oh. Iy ihkalmanan ihpa ndre iyenon kisohou tasu yi, eri pe ise yi, ikuni Simeon pe hoswi iy imin ke ndre purmada' su.
GEN.42.25	Yosep ipe ile ta su ndramat mada' su ise omwen song ipe su hedehen ndrop ta su ndre haltah kile song, pe heduwe mone-e' su hala ndre lon ndrop ta su yi, pe hotou ana' su ndremis odo sal. Su hahnan ihpa ndre eriy. 
GEN.42.26	Su madan tintoi hetnokuhen donki hala song ndre su hesinen ti pe ha-au.
GEN.42.27	Lok ile lukumwen eri pe su hohndro hodo lok sehir, pe homou odo lenga’ su ti itpiri pohon ndrop tadan ipe kipu song kile tan donki, eri pe itureh moni idu ke ndre madan ndrop. 
GEN.42.28	Iy iyuw ile tan tinton su ihpah, “Moni todo ti heduwe ise yi oh! Idu ke ndre madan ndrop todo kutih!”
GEN.42.28	Su hehtelim. Honoh pe homou madan ile mada' homou pe hahpa, “Lapan ke impo sa ile pule-e' tidu kede?”
GEN.42.29	Idu iy ndre su hehir hun tama' su ke Yakop odo Kenan, eri su henen sane ndre sulo-on ndre hehir ta su, eri ile tadan. 
GEN.42.30	Su henen ndralngan ihpah, “Ndramat ndre Gavena ta su Isip ti ihruto-on odu ile ke mo-on pe ipu nolou ipe odu ti lulo-ou pe atlaturtur kantri tadan. 
GEN.42.31	Pe odu atpa ile tadan ihpah, ‘Odu ti lulo-ou pwi. Odu ndramat atsantaheweh pwi. 
GEN.42.32	Odu ti madan tintoi ndre sungoh-pe-rumuu taman ke odu homou. Tinto odu homou ti indrimat, pe iy ndre omur tadu eri ilmin Kenan ndrodan tama’ odu.’
GEN.42.33	“Ndramat kurti ipe ihpa, ‘Oduu atpa atsantawehweh pwi, eri yu kah kuturtur odu kihpa kuti: Oduu homou we kimmin ndre hun yu. Oduu huren we atakuni song ana' su morlo-e' oduu ndre horyos holto ti pe atla yi. 
GEN.42.34	Atakuni tinto' oduu lehyen ti kise hu yu. Kile pe yu we kuhtuno kihpa ndre oduu ti lulo-ou pwi, pe oduu ndramat edenosohou ndre ndrokene. Eri pe yu we kuduwe tinto' oduu kile yi, pe oduu we otto keti pe otpo suhen.’”
GEN.42.35	Inum ti pe idu su hotluluu song odo ndrop ise pwoi, eri pe su ndre sulo-on hetureh ndropon moni tasu ti he-en madan ndrop. Su hondroni ihpa kudu, eri su pe tama' su ke Yakop honoh. 
GEN.42.36	Yakop ipe ile tasu ihpa, “Oduu kawe adahnan pe nedu' su hohpwi odo hu yu. Pihe ti Yosep. Inum ti pe Simeon. Pe kah kurti oduu atpa atakuni Benjamin ke-eu yi. Pede-en ndre sulo-on ti yu untakunii.”
GEN.42.37	Ruben ipe ile tan taman ihpa, “Ipe ye yu kundrokuni Benjamin kinsa ndre hun ou pwi, eri nedu horu ndre rumuu kamal eri ou eduwe horu harmat. Eduwe yu modo kise tadan pe we kukuni iy kise yi.”
GEN.42.38	Odoke Yakop ihpa, “Yu nedu we kindru-us ou kinna pwi. Tinton indrimat, pe iy ke homou imin. Kihne handrai ndre handrai kihir tadan odo sal. Yu kah mo-o lopu, pe ou we ahnan pe yu we kungkarndrum kopwi pe kihne kumwet.”
GEN.43.1	Song pwi odo Kenan eri ke ile mo-on lakopwi, 
GEN.43.2	pe song ndre su hokuni odo Isip ise eri Yakop pe su ndramat tadan handrani indrinum. Ile pe Yakop ipe ile tan nedun su, “Atla ndre Isip pe atlasihsih ana' tidu hepe song yi.”
GEN.43.3	Judah ipe ile tadan ihpa, “Ndramat kuti idemumoi pe ipe we odu etndrela ndrongon iy pwi yi kenon ndre tinto’ odu lehyen ti ki-us. 
GEN.43.4	Ipe ye ou eduwe tinto’ odu ti ki-us, eri odu we atla pe atlasih anam song. 
GEN.43.5	Pe uh, ou endretawe iy kindru-us odu pwi, eri odu we etndrela pwi yi, odosa ndramat eti ipe we odu etndrela purmadan pwi kenon ndre odu atukuni tinto' odu lehyen ti ki-us.”
GEN.43.6	Yakop ihpah, “Ihpa kehe pe oduu etninen ndralngan orongon kiti atpa oduu tinto’ oduu homou yi? Oduu edentawe pede-en hudut ile mundre.”
GEN.43.7	Su hahpah, “Orongon ti iduwe ke iseu ile hehndremte odu. Iy impa ihpah, ‘Tama’ oduu ti mapwi ilmin? Odu homou tinto’ oduu yi ndre pwi?’ Iy inehndremte ke odu, ile pe odu atpahran ile tadan. Si tunon ipe ye iy we kipe kile tadu pe atakuni tinto’ odu ki-us odu kile?”
GEN.43.8	Judah ipe ile tan taman ihpah, “Eduwe anah ti ki-us yu, pe odu etportai atla, kile we ou pe odu pe nedu' odu we titndremat pwi. 
GEN.43.9	Hangka-an kihrut kidu mundren eri we yu kumwet kile nuhen. Uh, odu atsa pe iy kindru-us odu pwi, eri pede-en odo eriy ti kile ngondru. 
GEN.43.10	Lehpe ou andritakulkulen odu pwi, eri lehpe odu etndrela kah pe etndresa yi kihpa ndre peruweh kindrinum.”
GEN.43.11	Israel ipe ile tasu ihpa, “Uh kihpa ndre oduu atpa, eri we atakun se ndruwon sane huyene odo lok kerti kile presen tan Gavena. Atakun hepe resin, hepe wayen pakok, spais, mbrwen pastesio, pe almon. 
GEN.43.12	We atakun moni ti rundreh, odosa moni ndre idu lon ndrop pe ise yi eri we atakuni kile yi. Kihne erti su ha-amelyen su. 
GEN.43.13	Atakuni tinto' oduu pe atla sowin kopwi. 
GEN.43.14	Lapan Mandra-an kihnan ndramat eti pe kikarndrum oduu, kile pe Iy kiduwe Benjamin pe tinto' oduu homou yi ti harsa ndrodan oduu yi. Yu ti konan. Uh su nedu halla ke hepe kihpa kudu, eri poh kidu todo kolwii. Iy erti kawe kinahpa eriy ea.”
GEN.43.15	Ile pe su madan tintoi hokuni presen, pe hokuni moni eri rundreh, pe halla ile Isip ndrodan ndre Benjamin. Su hehir Isip ti pe ndresale hala hu Yosep. 
GEN.43.16	Idu ke ndre iy indroni Benjamin idu lenga' su, eri pe ipe ile ta lewen marai madan iso um tadan ihpah, “Ekuni su ndramat kurti hala um todo. Su we hoyo-on song ndroda yu kidu worohnuw. Ala pe olroh homou ka-an pe alahnan kile misen.” 
GEN.43.17	Lewen marai ihnan ihpa ndre Yosep ipe ile tadan ti pe ikuni su madan tintoi ile um ta Yosep.
GEN.43.18	Su mapwi halila ile um eri pe hantawene hutun ihpa, “Su hantakun tidu titlalih um kurti pwi ti we odo moni munen tidu titsa pe heduwe halla ndre lon ndrop tatidu ti ndreh? Tidu we tidehretek pe su heseroroput hasa pule-e’ tidu, hekuni donki ta tidu, pe hahnan tidu titla lewen marai tadan.”
GEN.43.19	Su mapwi hodo madan pohngkiu odo um ta Yosep, eri pe hala hu lewen marai madan iso um ta Yosep pe hapa ihpa, 
GEN.43.20	“Oh lau il, odu atsasihsih song petsih kah odo kertih. 
GEN.43.21	Odu ada-au ile yi eri pe etmetir otso sal, pe etiper ndropo song tadu ti pe etureh moni tadu ti ndre sulo-on, hendrek indra-au pwi. Idu ke ndre madan ndrop. 
GEN.43.22	Ile pe odu atakuni moni ti ise yi, ile ndrodan ndre moni hondroh yi odo sihsih ana' odu song kile eriy tih. Odu tuno' odu si iduwe moni ile ndre lon ndrop tadu ti pwi.”
GEN.43.23	Lewen marai ihpa, “Atawene kolwii pe nombrun otnoh. Moni eri oduu atawe ise lumwe. Kihne Lapan taduu, Lapan tan tama' oduu, ti kindretawe moni ti hala ndre lon ndrop taduu yi.” Inum pe iy ikuni Simeon odo lon kou ise hu su.
GEN.43.24	Lewen marai ikuni su madan tintoi ti hala lon um. Iy iduwe wo odo singi ndrike' su. Pe su donki eri iy itou song ile ta su. 
GEN.43.25	Su hokuni presen ndre su hopo ta Yosep ti hasa moleu, pe hodo hengkeli-iy Yosep kise um worohnuw. Su hendretahrungi ihpa ndre su ti we hoyo-on song ndrodan iy worohnuw.
GEN.43.26	Idu Yosep ihir ise um ti pe su hokuni presen tasu idu hu su idu um ti ile hun iy, pe hopo ruru ile ndre poi he-en purmadan. 
GEN.43.27	Inum pe iy ihndremte su odo sik pe horut, pe su hapa huyen ke su, ile pe iy ihndremte yi tama' su, “Tama’ oduu lopun pihe oduu etninen ndrolngo ti mapwi ilmin?”
GEN.43.28	Su hahpah, “Mandra-an, tama' odu eri mapwi ilmin pe mapwi puko-on.” Inum pe su heduwe pandrulku-u' su ndre rukei ile pwoi pe hopo ruru ile tadan.
GEN.43.29	Yosep indroni tinton ke Benjamin, tine' horu homou, eri pe ihpah, “Iy kurti tinto' oduu lehyen omur ndre oduu etninen ndrolngo ile eriy tih? Lapan ipu blesim ou, nedu.” 
