MAT.1.1	Chitabu cho lukolo lwa Yesu Kilisito, imwana wa Daudi, imwana wa Ibulahimu. 
ACT.8.28	Kamei yendeyokuya ukaya hokowa yakwilile umukokoteni ukukwegigwa, munhambo yakwe yendeyosoma chitabu che Mugonesi Isaya. 
ACT.8.29	Baho Muhe Musunhile hoyomugamba Filipo, Luta habehi ne mukokoteni uya ukukwegigwa, ukiyandamile nawo 
ACT.8.30	Filipo hoyobilimila habehi na digali didyo, hoyomuhulika ayo imunhu yakusoma muchitabu cha Isaya. Baho Filipo hoyomusa, Togola, ukutanga ago go ukosoma?
ACT.8.31	Imunhu yuyo hoyobidula, Nodaha kutanga nhani bila munhu kunilongosa? Baho hoyomwinanga Filipo yakwile mwigali dyakwe, yekale naye. 
ACT.8.32	Hambiya, difungu dya matulumo masunhile dyoyasomage hadyuwa dino:
ACT.8.32	Hakowa kifana ngholo ikwigaligwa kuchinjigwa;
ACT.8.32	fina ichana che ingholo fochikunyamala
ACT.8.32	posi ugele chikugetigwa, nghagubule mulomo wakwe.
ACT.8.33	Hakagumigwa chinyala na koneligwa.
ACT.8.33	Hachaka yakudaha kulonga muchanhya ye cheleko chakwe,
ACT.8.33	kosoko uumi wakwe ulewusigwa muchilunga.
ACT.8.33	Imwene naye nghalafile dijwi dyakwe hata chidodogi.
ACT.8.34	Ayo Mwisiyopiya hoyomugamba Filipo, Nitamile, iMugonesi yuno yalonga kosoko yani? Yakulonga kosoko yakwe imwecho ama kosoko ya munhu yungi? 
ACT.8.35	Kamei, Filipo hoyokongela baho mu matulumo Masunhile, hoyomutamila simbuli si swanu muchanhya ya Yesu. 
ACT.8.36	Fowowile wakugendelela ne inhambo, howofika ahanhu hena meji, kamei imukulu yuya hoyogamba, “Ahanhu hano hena meji mengi: Togola, kwina chochose ichikudaha kunemesa nighabatisigwe?” 
ACT.8.37	[Filipo hoyogamba, “Honaga ukuhuwila kwa moyo wako wose ukudaha kubatiswa.” Imwene hoyobidula, “Heye, nikuhuwila fina Yesu Kilisito ni Mwana wa Mulungu.]” 
ACT.8.38	Kamei Imukulu yuya hoyolagisa mukokoteni uya wime; awene wose aweli howohumuluka, ayuya imukulu na Filipo hoyomubatisa. 
ACT.8.39	Wakalawe mumeji Muhe we Mundewa hoyomutenda Filipo yaleuke bila koneka na yuya Muwesiyopiya nghamonile kahi; ninga hoyogendelela na nhambo yakwe yamemile chinyemi lugano. 
ACT.8.40	Filipo hotangila kowa Asoto, hoyogenda musikaya sose yakuhubili Imbuli swanu hata foyafikile Kaisalia.
ACT.9.1	Ninga ichigele chicho iSauli hakagendelela kongesa itisi ikulu kwa kuwakoma awamuhuwile Mundewa, hoyoluta kwa mutambiki mukulu, 
ACT.9.2	hoyotasa yanghigwe baluwa sa kumanyigwa ku masinagogi ge Chiyahudi gowile Damesiki, uleke yanghafika uko wagosi ama wanawake awakwandamila injila ye Mundewa yawakole na kukwila nawo Yelusalemu. 
ACT.9.3	Ninga foyowile munjila, habehi na kufika Damesiki, chimwande ujelu kulawa kulanga howumumulike kosekose. 
ACT.9.4	Hoyokugwa hasi na kuhulika dijwi dikumugamba Sauli; Sauli! Nhani ukunyidasa? 
ACT.9.5	Imwene naye Sauli hoyokusa Agwe no nani, Mundewa? Dijwi diya hodibidula, Aniye no Yesu imwene agweye ukunyidasa! 
ACT.9.6	Ninga hambiya Inuka, wingile mukaya, na uko ukwende utamiligwe dyokugolosa.
ACT.9.7	Awaya awanhu awende woluta hamwedu na Sauli howokwima bahaya, howowa chaka dya kulonga; howohulika dijwi diya ninga wasonile munhu. 
ACT.9.8	Sauli hoyokwinuka, yakagubule ameso gakwe nghadahile kona chochose; kwa nheifo awanhu waya howomulongosa kwa kumukola mukono mpaka kukaya ya Damesiki. 
ACT.9.9	Sauli hoyokwikala majuwa madatu bila kona, na ugele uwo nghadiile kahi kunywa chochose. 
ACT.9.10	Kamei, uko Damesiki hakuwa mwifusa yumwedu yakwinangwa, “Anania. iMundewa hoyumugamba mumagubulo, Anania.” Hoyokwidika, “Nuwa hano Mundewa.”
ACT.9.11	Naye Mundewa hoyomugamba, “Kiyohe ulute kwibalabala dikwinangwa digoloke, kwinyumba ya Yuda ukamuhanange munhu yumonga kulawa Talso yakwinangwa Sauli. Hambiya yakutasa, 
ACT.9.12	na mumagubulo, kona munhu yakwinangwa Anania yakwingila kugati na mwichila mikono uleke yadahe kona.” 
ACT.9.13	Ninga Anania hoyobidula, “Mundewa, nihulika simbuli sa munhu yuyo kulawa kwa wanhu wengi, nihulika agihile mene goyawagolosele wanhu wako ako Yelusalemu. 
ACT.9.14	Na keja hano yena udaha kulawa kwa watambiki wakulu kuwakola awanhu wose awakuwomba kudisina dyako.”
ACT.9.15	Ninga iMundewa hoyomugamba, “Luta du, kosoko nimusagula yowe chiya changu, yadingase disina dyangu ku mataifa na wandewa wao na kwa wanhu wa Isilaelii. 
ACT.9.16	Aniye nimwecho nikuhanga nimonese mengi goyakwenda yedasigwe kosoko ya disina dyangu.” 
ACT.9.17	Kamei, Anania hoyoluta, hoyokwingila munyumba iyo. Kamei hoyokwika mikono yakwe muchanya ya Sauli, hoyogamba, “Mundugusangu Sauli, Mundewa, iYesu imwecho yakiyonese ukwako fowowile munjila kwija hano kanituma uleke udahe kona kahi, na kumemesigwa Muhe Musunhile.” 
ACT.9.18	Chimwande finhu kifana makangha hofilagala kuulawa kumeso ga Sauli, hoyodaha kona kahi. Hoyokwima hoyobatisigwa; 
ACT.9.19	yakamale kudiya, si ngufu sakwe hosimuwila.
ACT.9.19	Sauli hoyokwikala majuwa makefu hamwedu na wefusa uko Damesiki. 
ACT.9.20	Chimwande hoyokonga kuhubili Mumasinagogi fina, “Yesu ni Mwana wa Mulungu.” 
ACT.9.21	Wanhu wose wamuhulike howokisina lugano, wakugamba, “Munhu yuno so yuyuya yawakomile waya wawombage ku disina dino akuya Yelusalemu? Hakeja hano uleke yawakole awanhu wawo na kuwegala kuwatambiki?”
ACT.9.22	Sauli hoyogendelela kupata ludole na kuwagolosa wafumile aWayahudi wekalage Damesiki kwa kuhomela fina Yesu no Kilisito. 
ACT.9.23	Majuwa mengi gakaloke, Wayahudi howokikonghola hamwedu na kugolosa njila ya kumukoma Sauli, 
ACT.9.24	ninga Sauli hoyohulika imbuli iyo. chilo ne misi hawemilisa hemulango wo kwingilila mukaya uleke wamukome. 
ACT.9.25	Ninga ugele wa nechilo awefusa wakwe howomulonda, howomuhulumusa mudisege dikulu kulokela muluneka lowile mulukasi.
ACT.9.26	Sauli yakafike Yelusalemu hoyogesa kihasa na wefusa. Ninga wose hawamogoha, na wasahuile fina naye kagaluka mwifusa. 
ACT.9.27	Baho Balinaba hoyokwija hoyomulonda Sauli na kumwigala ku Watumigwa na kuwatamila ifyene foyamonile Mundewa munjila na fye ne foyasimulile naye. Hoyowatamila Suli foyahubili bila woga akuya Damesiki. 
ACT.9.28	Kamei Sauli hoyokwikala hamwedu nawo, hoyoigendela Yelusalemu yose yakuhubili imbuli ye Mundewa bila kogoha. 
ACT.9.29	Kamei hakalongaga na kuwanga chinyume na Wahelenisiti ninga wendewahananga kumukoma. 
ACT.9.30	Awaya awandugu wakamanya imbuli iyo, howogolosa njila ya kumulonda Sauli, howomwigala Kaiselia, howomuleka yule Talso. 
ACT.9.31	Kamei dikanisa muisi yose ya Uyahudi na Galilaya na na Samalia, hodijengeka na kukula na kugendelela kumogoha Mundewa na kulongosigwa na Musunhile.
ACT.9.32	Petulo foyendeyoluta chila hanhu, hoyofika nheifo ku wanhu wa Mulungu awendewokwikala Luda. 
ACT.9.33	Uko hoyomufika munhu yumonga yakwinangwa Enea, imwene yuya kagona mwisasi kwa miyaka ikumi na munana kwa utamu wa kuholola. 
ACT.9.34	Petulo hoyumugamba, “Yesu Kilisito yakuhonya. Inuka utandike disasi dyako. Enea hoyokwinuka chimwande. 
ACT.9.35	Awakaya wose wa Luda na Saloni howomwona Enea, nawo wose howomubiduchila Mundewa.”
ACT.9.36	Hakuwa na mufusigwa yumonga mukaya ya Yopa yakwinangwa Tabisa (kwa Chiyunani ni Dolika, nong'amba Chipala). Imwanamuke yuno yendeyogolosa maswanu na kuwatasa wakiwa wengi ugele wose. 
ACT.9.37	Ugele uwo hayuwa fina hakatamigwa, hoyokufa. Awanhu howousunha umutufi wakwe, howomutambalisa muchumba cha kuchanhya. 
ACT.9.38	Yopa si hatali sana na Luda, kwa nheifo awefusa wakahulike fina Petulo kuwa Luda, howotuma wanhu weli ukwakwe na imbuli, Wije ukwetu chimwande lugano foikudahika.
ACT.9.39	Kamei Petulo hoyokilongosa nawo. Yakafike howomwigala kuchumba cha kuchanhya kwigolofa, uko wanawake wegane wengi howomusunguluta Petulo wakulila na kumonesa makoti na sisuke soyendeyogolosa ugele foyowile mumi. 
ACT.9.40	Petulo hoyowalafa wose kunje, hoyofugama, hoyowomba. Hanyuma hoyomubiduchila ayuya yafile, hoyogamba Tabisa inuka! Naye hoyogubuka meso na yakamwone Petulo, hoyokwikala. 
ACT.9.41	Petulo hoyomutasa kwimanyima, kamei hoyowenanga awaya awanhu wa Mulungu na waya wegane, hoyomuleka mumikono yao, ugele ni mumi. 
ACT.9.42	Imbuli iyo yagoloseke baho, hoikwenela chila hanhu uko Yopa na wanhu wengi howomuhuila Mundewa. 
ACT.9.43	Petulo hoyokwikala majuwa mengi uko Yopa, hoyokwikala na munhu yumonga mugolosaji wa nghingo yakwinangwa Simoni.
ACT.10.1	Uko Kaisalia hakuwaga na munhu yumonga yakwinangwa Kolinelio Mukulu wa chikosi chimonga chikwinangwa, “Chikosi cha Italia.” 
ACT.10.2	Hakowa munhu muswamu; imwene hamwedu na wa munyumba yakwe wose wendewomogoha Mulungu. Yendeyogolosa mengi kuwatasa awakiwa we Chiyahudi na yende yomuwomba Mulungu ugele wose. 
ACT.10.3	Hayuwa kifana saa kenda nhafi ya nemisi, hoyokona chimesomeso, kagubuliligwa, malaika wa Mulungu hoyokwingila kugati hoyomugamba, “Kolinelio!”
ACT.10.4	Kolinelio hoyomukumhulila meso yuyo malaika kwa chogoho, hoyomugamba, “Kwina choni Mundewa?” Ayo imalaika hoyomugamba, “Amawombi hamwedu na kulafa kwako kuwatasa wakiwa kufika kuchanhya kuwa ngelegesi kwe Mulungu. 
ACT.10.5	Hambiya, watume wanhu Yopa wakamwinange munhu yumonga yakwinangwa Simon, disina dimonga Petulo. 
ACT.10.6	Kowa munyumba ya Simon mugolosaji wa singhingo, nyumba yakwe yuwile habehi ne bahali.”
ACT.10.7	Kamei malaika yalongile siso hakafulusa kuleuka na kuluta, Kolinelio hoyowenanga awatogomi weli wa munyumba yakwe na yumwedu wa wasilikali wakwe yendeyomogoha Mulungu, 
ACT.10.8	hoyowatamila gose galawanise, hoyowatuma Yopa.
ACT.10.9	Nhosiku yakwe dijuwa dya keli, awanhu wawo wadatu wakali munhambo, ninga behi na kufika Yopa, Petulo hoyokwila kwipala dye inyumba kuchanhya, ku saa mutandatu ya nemisi uleke yawombe. 
ACT.10.10	Hakona njala, hoyokwenda kupata chakudiya; ugele ichakudiya fochendechigolosigwa, hoyapatigwa na nhongo sito, hoyokona diono chimesomeso. 
ACT.10.11	Hakona ulanga ugubuligwa na chinhu kifana isuke ikulu ikudulisigwa dikoligwa musimhembe sakwe sose ine. 
ACT.10.12	Kugati yakwe kwina fiyumbe fyose: Si nyama se migulu mine, sinyama sikutambala hasi, ne fidege fya mulanga. 
ACT.10.13	Hoyohulika dijwi dikumugamba: Petulo, Inuka uchinje sinyama sino udiye!
ACT.10.14	Petulo hoyobidula, Hata, Mundewa; aniye sinati nidiye chinhu chochose ichene chikusemunigwa ama chihile. 
ACT.10.15	Dijwi diya hodihulikika kahi dikugamba, “Unghafigambe fichafu ifinhu ifyene Mulungu foyasunhile.” 
ACT.10.16	Imbuli ino hoyigoloseka kadatu, kamei adiya disuke hodikwinuligwa kulanga. 
ACT.10.17	Petulo foyendeyokisina isoko ye digubulo didyo dyoyonile, awaya awanhu watumigwe na Kolinelio, wakaitange inyumba ya Simoni, howofika hamulango, 
ACT.10.18	howokwinanga kwa ijwi: Togoleni, hena mugeni bahano yakwinangigwa Simoni Petulo?
ACT.10.19	Petulo hakowa nghenati yamanye magubulo gano, na baho Muhe hoyomugamba, “Tegelesa! Hena wanhu wadatu hano, wakukuhanga. 
ACT.10.20	Dulika chimwande na unghowe na manhonge kiyandamila nawo, kosoko aniye noniwatumile.” 
ACT.10.21	Kamei, Petulo hoyodulika hasi, hoyowagamba awanhu wawo, Aniye nowomukuhanga. Nhani mwijile? 
ACT.10.22	Awene howomubidula, Imukulu we chikosi cha wasilikali, Kolinelio; munhu muswanu, yakumogoha Mulungu na yakutunyigwa na Wayahudi wose, kachituma. Hakagambigwa na malaika Musunhile yakwinange ukaya ukwake uleke yategelese chochose chiwinacho cho kulonga. 
ACT.10.23	Petulo hoyowakalibisha kugati, hoyowengha hanhu haguna ichilo chia.
ACT.10.23	Nhosiku yakwe, Petulo hoyokonga inhambo hamwedu nawo, na wamonga wa wandugu wa Yopa howokiyandamila naye. 
ACT.10.24	Dijuwa dya keli yakwe, howofika Kaisalia, na uko Kolinelio yendeyowagojela hamwedu na wandugu na wambuya, awene woyagoneke. 
ACT.10.25	Petulo yakowe yakwingila Kolinelio, hoyolawa kunje kumuhokela, hoyofugama kumwande yakwe na funamana hasi. 
ACT.10.26	Ninga Petulo hoyomwinula, hoyomugamba, “Inuka kosoko aniye na munhu du.” 
ACT.10.27	Petulo hoyogendelela kusimulila na Kolinelio ugele wakwingila kunyumba koyafikile wanhu wengi wakikonghola. 
ACT.10.28	Petulo hoyowagamba, “Anye muwecho mumanya fina Muyahudi wowose yakulemesigwa na malagiso ge dini yakwe yanghakihase na wanhu wa wamembe gengi. Ninga Mulungu kanyonesa nileke kumwona munhu wowose kuwa yakusemunigwa ama muchafu. 
ACT.10.29	Kosoko iyo, fomuninange nija, bila kulema. Hambiya, nimusani, Nhani muninange?”
ACT.10.30	Kolinelio hoyogamba, “Majuwa madatu galokile ichigele kifana chino, saa ya dikenda ya nemisi, nendeniwomba kuchumba changu. Chimwande munhu yafalile suke sikwakaika kema kumwande yangu, 
ACT.10.31	hoyogamba, ‘Kolinelio! Amawombi gako na kulafa kwako na kuwatasa kwako wakiwa fihokeligwa na Mulungu. 
ACT.10.32	Mutume munhu Yopa yakamwinange munhu yumonga yakwinangwa Simoni, disina dimonga Petulo; kowa kunyumba ya Simoni mgolosaji wa singhingo behi na bahali.’ 
ACT.10.33	Kosoko iyo hanikutumila wanhu baho ni baho nagwe kutenda fiswanu kwija. Hambiya, aseye cha hamwande ya Mulungu, kuhulikisa chochose ichene Mulungu kakulagisa ulonge.”
ACT.10.34	Baho Petulo hoyokonga kulonga; Hambiya nimanya chawelu Mulungu kechaka ubagusi. 
ACT.10.35	Munhu wa ditaifa dyodyose yakumogoha Mulungu na kugolosa simbuli se chawelu, Mulungu yakuhokeligwa naye. 
ACT.10.36	Aino no imbuli Mulungu yo yawegalile wanhu wa Isilaelii, yakutamila Imbuli swanu iikwigala digoya kwa njila ya Yesu Kilisito imwene no Mundewa wa wose. 
ACT.10.37	Anye mumanya imbuli iya yagoloseke mu isi yose ya Uyahudi kukongela woyahubili Yohana.
ACT.10.38	Mumanya Yesu wa Nasaleti ifyene Mulungu foyamusagule kwa kumwitilila Muhe Musunhile na ludole. Mulungu hakowa hamwedu naye; holuta ako nako na kugolosa maswanu na wose awoneligwe na Luhoma. 
ACT.10.39	Aseye cha wahomelesi wa simbuli sose soyagolose mu isi ya Uyahudi na Yelusalemu. Howomukoma kwa kumutungika mumusalaba. 
ACT.10.40	Ninga Mulungu hoyomwinula dijuwa dya kadatu, hoyomugolosa yonigwe, 
ACT.10.41	si kuwanhu wose, ninga kwa waya awene awasaguligwe wowe wahomelesi wakwe, no seye chanywile na kudiya hamwedu naye yamale kwinuka kulawa kuwafile.
ACT.10.42	Kachituma chihubili imbuli swanu ku wanhu wose na kuhomela fina imwene noyasaguligwe na Mulungu yowe mulamusi wa womi na wafile. 
ACT.10.43	Wagonesi wose hawalonga simbuli sakwe fina chila munhu yakumuhuwila yakuleusiligwa uwihi wakwe kudisina dyakwe.
ACT.10.44	Ugele Petulo hoyowile yakalilonga simbuli siso, Muhe Musunhile hoyowahumuluchila wose wategelesage imbuli iyo. 
ACT.10.45	Awaya Awayahudi wahuwile awejile na Petulo kulawa Yopa howokisina kuhona Mulungu hakawetilila ichipawa che Muhe Musunhile wanhu wa wamataifa gengi nheifiya. 
ACT.10.46	Kosoko hawawahulika wakulonga kwa nonga sa hayo hayo wakumutunya Mulungu. Baho Petulo hoyogamba, 
ACT.10.47	“Awanhu wano wahokela Muhe Musunhile fina seye chiwecho fochihokele. Togoleni kwina wowose yakudaha kulemesa awanhu wano wanghabatisigwe kwa meji?” 
ACT.10.48	Kamei, Hoyogamba wabatisigwe kwa disina dya Yesu Kilisito. Baho howomutasa yekale nawo kwa majuwa makefu.
ACT.11.1	Hambiya awatumigwa na wandugu akuya Uyahudi howohulika fina awamembe nawo waihokela imbuli ya Mulungu. 
ACT.11.2	Kamei, Petulo yakalute Yelusalemu, awaya Awayahudi wahuwile awendage awanhu wamataifa gamonga wagaligwe kwikumbi, howomugamba kabana, wakugamba, 
ACT.11.3	“Agweye kwijakwikala na walajoni mpaka kudiya nawo.” 
ACT.11.4	Baho Petulo hoyowatamila chila chinhu, simbuli siya sagoloseke kulawa kunghonga: 
ACT.11.5	Dijuwa dimonga nendeniwomba mukaya ya Yopa, honikona iono; honikona chinhu kifana isuke ikulu dikudulisigwa hasi kulawa kulanga dikoligwa mu simhembe sakwe ine, hodikwikigwa hanghanda yangu. 
ACT.11.6	Honisungilila kugati kwa fiswanu honikiona umo si nyama se migulu mine, sinyama sa kumbago, sinyama sikuhambala na fidege fya kulanga. 
ACT.11.7	Baho honihulika dijwi dikunigamba Petulo, inuka, uchinje, udiye. 
ACT.11.8	Ninga aniye honigamba; Hata, Mundewa! Kosoko chochose chikusemunigwa na chihile chisinati chingile mumulomo wangu.
ACT.11.9	Dijwi diya hodihulikika kahi kulawa kulanga: Unghafigambe fikusemunigwa ifinhu fisunhigwe na Mulungu. 
ACT.11.10	Imbuli hogoloseka kadatu, kamei fyose hofikuwisigwa kuchanhya kulanga. 
ACT.11.11	Chimwande wanhu wadatu awene watumigwe ukwangu, howofika kunyumba yonyendenikwila. 
ACT.11.12	Muhe hoyonigamba nikuyandamile nawo nilekekuwa na manhonge. Awo no awandugu mutandatu howakiyandamila nani kuluta Kaisalia, na uko hochikwingila munyumba ya Kolinelio.
ACT.11.13	Imwene hoyochitamila ifyene fyoyamonile malaika yemile kunyumba yakwe yakumugamba, “Mutume Munhu Yopa yakamwinange munhu yumonga yakwinangwa Simoni kwa disina dimonga Petulo. 
ACT.11.14	Imwene hokutamila simbuli isene agweye na wayago wose mukwende muhonyigwe.”
ACT.11.15	Kamei, nikakonge du kulonga, Muhe Musunhile hoyowawadulichila fina foyachidulikile aseye kunghonga. 
ACT.11.16	Baho honigelegela simbuli siya iMundewa soyalongile: Yohana hakabatisa kwa meji, ninga anyeye mukubatisigwa kwa Muhe Musunhile.
ACT.11.17	Hambiya, honaga Mulungu yawenghile wanhu wa wamembe gamonga ichipawa chichiya choyachinghile seye fochamuhuwile Mundewa Yesu Kilisito, togola aniye no nani mpaka nidahe kumupinga Mulungu? 
ACT.11.18	Wakahulike simbuli siso howoleka lukani, howomutunya Mulungu wakugamba, “Mulungu kawengha wanhu wa wamembe gamonga luneka lwo kulamba na kuwa na uumi!”
ACT.11.19	Kosoko ya magayo galwanise ugele foyakomigwe Sitefano, wahuwile howokiyagala. Wamonga howoluta mpaka Foinike, Kupulo, na Andiyokiya wakuhubili imbuli iya kuwayahudi du. 
ACT.11.20	Ninga wamonga wa wahule kulawa Kupulo na Kulene, howoluta Andiyokiya, howotamila simbuli siso kuwanhu wa wamembe gengi wakuhubili aiya imbuli swanu ye Mundewa Yesu. 
ACT.11.21	Mundewa hoyowatasi na itewa ikulu dya wanhu hodihuwila na kumubiduchila Mundewa.
ACT.11.22	Simbuli siso hosihulikigwa akuya kwi kanisa dya Yelusalemu. Kosoko iyo howomutuma Balinaba yalute Andiyokiya. 
ACT.11.23	Yakafike uko na kona Mulungu foyawamotese awanhu waya, hoyokonela na kuwaguma moyo wose wagendelele kuwa wanhu wa dihuwi kwi Mundewa. 
ACT.11.24	Balinaba hakowa munhu muswamu na yamemile Muhe Musunhile na digoya. Itewa ikulu dya wanhu howokwegigwa kwi Mundewa. 
ACT.11.25	Kamei Balinaba, hoyoluta Talso kumuhananga Sauli. 
ACT.11.26	Yakamwone hoyokwija naye Andiyokiya. Nawo wose weli howokwikala na dikanisa diya kwa mwaka wose mugima, wakufusa itewa ikulu dya wanhu. Ako Andiyokiya noko kunghonga, awefusa kwinangigwa Wakilisito.
ACT.11.27	Ugele uwo wagonesi wengi howokwija Andiyokiya kulawa Yelusalemu. 
ACT.11.28	Yumwedu wawo iyakwinangwa Agabo hoyokwima kwa udaha wa Muhe Musunhile, hoyolonga gakwende kalawanise fina kukwende kuwa na njala nghulu mu isi yose. 
ACT.11.29	Awahuwile howokifumilisa chila yumwedu, kwa udaha wakwe yegale chochose uleke wawatase awandugu waye wekalage Uyahudi. 
ACT.11.30	Kamei, howogolosa nheifo na kwigala kuwasehe wedikanisa umusada wawo kwa mikono ya Balinaba.
ACT.12.1	Ugele uwo Mundewa Helode hakakonga kuwedasa wanhu we dikanisa. 
ACT.12.2	Hoyomukoma kwa ipanga Yakobo, munduguse wa Yohana. 
ACT.12.3	Yakone Wayahudi wendesigwa na chitendo chakwe chicho, hoyogendelela, hoyomukola na Petulo. (Ayo haigoloseka ugele we sikukuu ye mikate isigumigwe nungo.) 
ACT.12.4	Yakakoligwe, hoyokwikigwa, kulangiligwa na wasilikali fitewa fine fya wasilikali wanewane. Helode hakahananga kumulafa kumwande ya wanhu honaimalile kuloka ikikukuu ye Pasaka. 
ACT.12.5	Petulo fowile kwigelesa, dikanisa dyende dimuwombela kwa Mulungu kwa moyo.
ACT.12.6	Nechilo dijuwa dya longolele dijuwa Helode yahanangage yamulafe Petulo kunje kumwande ya wanhu wose, Petulo hohowa yagonile hagati ya wasilikali weli. Hakowa yohigwe minyolo mili, na wemilisi wendewokwimilisa dilango dya digelesa. 
ACT.12.7	Chimwande malaika we Mundewa hoyokwima habehi naye, no ujelu houmulika ichumba ichiya chose che digelesa. Malaika hoyomukwafa hambafu hoyomwinusa hoyogamba, “Inuka chimwande!” Baho ni baho iminyolo yamohile mikono hoidumuka na kulagala hasi.
ACT.12.8	Malaika hoyomugamba, “Fala umukanda wako, fala filwatu fyako.” Hoyotenda nheifo. Kamei Malaika yuya hoyomugamba, “Fala dikoti dyako, unyandamile.” 
ACT.12.9	Petulo hoyomwandamila kunje, ninga nghamanyile fina ago gagolosigwe ne malaika hagowa ga chawelu, hakawa yalota nyosi. 
ACT.12.10	Howoloka ichituwo cha nghonga cha wimilisi na cha keli, hanyuma howofika kumulango we chuma wokwingilila mukaya. Umulango houkumuka uwecho du, awene howolawa kunje. Howokuwa wakugenda mwibalabala dimonga chimwande, ayuya Malaika hoyomuleka Petulo yamwene.
ACT.12.11	Ako noho Petulo yatangile choni chigoloseke, hoyogamba, “Hambiya nimanya chawelu fina Mundewa katuma Malaika wakwe na kunihonya mumikono ya Helode na simbuli sose awana wa Isilaelii sowende wa gojela.” 
ACT.12.12	Yakatange nheifo hoyula kunyumba ya Maliyamu ing'ina wa Yohana iyakwinangwa Mlk o, umo wanhu wengi hawakikonghola wakuwomba. 
ACT.12.13	Petulo hoyotowa hodi kumulango wa kunje, na mutumishi yumonga we chike yakwinangwa Loda, hoyoluta hamulango kwidika. 
ACT.12.14	Ayo imwana we chike hoyotanga dijwi dya Petulo hosekelela lugano, ahanhu hokukumula auya umulango hoyobilima kugati na kuwatambila Petulo kema kunje hamulango. 
ACT.12.15	Howomugamba ayuya imwana we chike, “Kwina chilalu!” Ninga imwene hoyokasana kuwa ni chawelu nofoyuwile. Nawo howomugamba, “Ayo ni Malaika wakwe.”
ACT.12.16	Ugele uwo Petulo yakugendelela kutowa hodi. Hanyuma yakwe howokumula u mulango, howomwona, howokisina. 
ACT.12.17	Kamei hakawapungila umukono wanyamale, hoyowatamila ifene Mundewa foyamulafile mwigelesa. Kamei hoyowagamba wagale imbuli kwa Yakobo na ku awandugu wamonga. Kamei hoyoleuka hoyoluta hanhu hengi. 
ACT.12.18	Ikafike nhousikusiku hahowa na lutemanuko mugati ya awasilikali kosoko ye imbuli yagoloseke ya Petulo. 
ACT.12.19	Ichigele Helode foyamukonghile na kuleka kumona, hakawosilisa awasilikali na kulagisa wakomigwe. Kamei hakadulika kulawa Yudea mpaka Kaisaliya na kwikala uko.
ACT.12.20	Helode hakasuha sana na watu wa Tilo na Sidoni. Ninga wene howomwigalila wanhu. Awene wawo howomupata kunghonga, Blasito yowe ulwandi ulwawo, Blasito hakowa mumyamhala mukulu munyumba ye Mundewa. Kamei howomulutila Helode, howomutasa kuwa na igya kosoko ye iisi yawo haihula iisi ye Mundewa ku chakudiya. 
ACT.12.21	Dijuwa dimwedu dyasaguligwe, Helode hoyofala si suke sakwe sechindewa hoyokwikala mwigoda dyakwe dye chindewa hoyolonga na wanhu. 
ACT.12.22	Wanhu waya howotula chowe cha chinyemi howogamba, “Adino ni ijwi dyo Mulungu si dya Munhu!” 
ACT.12.23	Baho ni baho Malaika we Mendewa hoyomukinya Helode hasi.
ACT.12.24	Imbuli ya Mulungu hoigendelela na kukula. 
ACT.12.25	Balinaba na Paulo wakamale kugolosa umulimo wawo, howolewuka kahi Yelusalemu howomulonda na Yohana iyakwindigwa kahi Mlk o.
ACT.13.1	Kwi kanisa dya Andiyokiya hakuwa na wanhu wamonga wagonesi na walimu; mugati yawo hakowa Balinaba, Simoni yakwinagwa hanyuma Mutitu (Nigel) Lukio wa Kilene, Manaeni imwene yaleligwe hamwedu na Mundewa Helode, na Sauli. 
ACT.13.2	Wawagolosage kumufugila Mulungu na kufunga Muhe Musunhile hoyowagamba, “Nisagulileni Balinaba na Sauli kosoko yo mulimo woniwenangile.” 
ACT.13.3	Kamei, wakamale kuwomba na kufunga, howowechila mikono howowaleka walute.
ACT.13.4	Kamei, Balinaba na Sauli wakafuluse kutumigwa na Muhe Musunhile, howadulika mpaka Seleukia, kulawa uko howokwila meli mpaka ku chisiwa cha Kuplo. 
ACT.13.5	Wakafike Salami howohubili imbuli ya Mulungu mumasinagogi ge Chiyahudi. Yohana hakowa mutasi wasi wawo.
ACT.13.6	Howogenda kulawa ulwandi lumwedu lwe chisiwa mpaka Pafo, ulwandi lwa keli, na uko howomufika muhai yumonga Muyahudi yekwinangwa Bali Yesu, imwene yendeyokitenda fina mugonesi 
ACT.13.7	Ayuno hakowa hamwedu na Seligio Paulo, no mukulu wa chicho ichisiwa, hokowa munhu yena umanyi lugano. Seligio Paulo hoyowenanga Balinaba na Sauli uleke yaihulike imbuli ya Mulungu. 
ACT.13.8	Ninga ayo imuhayi Elima (foyendeyokwinangwa kunonga ye Chiyunani), hoyogesa kuwabesa uleke yamutende yuya imukulu we chisiwa yanghahuwile na kubiduchila dihuwi dye chiKilisito.
ACT.13.9	Baho, Sauli imwene yenangigwe kahi Paulo, yakameme Muhe Musunhile, hoyomukumhulila ameso gakwe imuhayi, 
ACT.13.10	hoyogamba, “Agweye kwa mudasi lugano, kwechaka chawelu! Agweye kwa mwana wa luhoma! Agwe kwa mughondo wa chila chinhu chiya che chawelu; nghukuleka hata chimwedu kwaganisa si njila se Mundewa isigoloke. 
