MAT.1.1	Xuꞌu é Mateú u ne, iꞌa kakaꞌán u iña táta viꞌi Jesucristu, iꞌxá ika Dāvii, iꞌxá ika Ābraan.
JHN.19.9	—¿Míꞌi ntu ñūu véꞌxin? —kaꞌan ña.
JHN.19.9	Ntá tsi Jesuú ne, ñá ni kāꞌan kueꞌen ña. 
JHN.19.10	Dukuān ne, kakaꞌan Pílatú san ni ñā:
JHN.19.10	—¿Nté kui ña kakáꞌan ntún nī ko? ¿Vá ña ntu ínin tsí kuvi vií u naxntēe ú o ntiká krusí, o kuvi nakāka xaa ú o? —kaꞌan ña.
JHN.19.11	Nantíko kōó Jesuu, kakáꞌan ñá ni ñā:
JHN.19.11	—Ntē ña kuvi kadan kúꞌven īñá ko tē ña te Xuva ko ni taꞌxi ña o. Dukuān ne, dií ka iō kuetsí ña e ntáda kó kuenta ntáꞌa o —kaꞌan ña.
JHN.19.12	Nté ūra tsikán ne, ntukū nuu iní Pilatú san nté koo nantīi ña ña. Ntá tsi ña Israeé san ne, un tsi ntákachuꞌu ña ntákaꞌan ña:
JHN.19.12	—¡Te nantii nto ña sāꞌá ne, ñá te vāꞌá tiin nto nī Cesa! tsí te xōo ñáꞌa é kākaꞌan ña é rei ñá ne, kakaꞌan ntée ña Cesá san —kaꞌan ña.
JHN.19.13	Dā téku Pilatu sáꞌa ne, nantíi ña Jēsuu. Kidáā ne, nákutūví ña nú mesa víꞌi meꞌñú san mí nani Gābata, é kāni túꞌun Nú Xūú san é tūꞌun hébreu. 
JHN.19.14	Dā káꞌñu ntuvi sispre víkó san ne, kakaꞌan Pílatú san nī ña Israeé san:
JHN.19.14	—¡Un kaa rei nto! —kaꞌan ña.
JHN.19.15	Ntá tsi un tsi ntákachuꞌu ñaꞌa san ntákaꞌan ña:
JHN.19.15	—¡Kuēꞌen niꞌi ntó ña! ¡Kuēꞌen niꞌi ntó ña! ¡Dá naxnteē ntó ña ntiká krusi kan! —kaꞌan ñáꞌa san.
JHN.19.15	Kakaꞌan xtúku Pilatú san ni ñāꞌa san:
JHN.19.15	—¿Vá naxntēe ntú u rei nto ntíkā krusi kan? —kaꞌan ña.
JHN.19.15	Nántiko kōo tóꞌō dutú san, ntákaꞌan ña:
JHN.19.15	—Xoxó ka xtúku é reí ntɨ, tsí da mii tsī Cesá san —kaꞌan ña.
JHN.19.16	Kidáā né, ntāda kuenta Pílatú san Jésuu é na naxnteē ñá ña ntiká krusi kan. Tɨ̄ɨn ña ña né, dā kueꞌen niꞌi ña ña.
JHN.19.17	Ntīi Jesuu, ntéku dokó ña krusi ña, kueꞌen ña mí nani Gōlgota é kāni túꞌun Xkɨdɨkɨ Ntɨ́xɨ kān é tūꞌun hébreu. 
JHN.19.18	Ikān náxnteē ñá ña ntiká krusí san ni ūvi ñaꞌá ka ñatīi. Uun ña nteé ña diñɨ kuaꞌa ña ne, uun ña nteé ña diñɨ datsín ña. Jēsuú ne, nuu méꞌñu ña. 
JHN.19.19	Pilatú san ne, táxnūu ña kuváꞌa taꞌvi rkunū é kuntēé dɨkɨ́ krusí san é kākaꞌan: “Jesuu, ñá ñuú Nazaree, Rei iña ñá Israee”, kaꞌan. 
JHN.19.20	Dōó tɨtɨ́n ña Israeé san nakuáꞌa ña túꞌūn saꞌá, tsí mi náxnteē ñá Jesuu ntiká krusí ne, ētsin ñuú kaꞌnu. Úni tūꞌún san uve naꞌa: túꞌun hēbreu, latiín, ni tūꞌún griegú dɨ. 
JHN.19.21	Tōꞌó dutu íña ñá Israeé san ne, ntákaꞌan ñá ni Pīlatú san:
JHN.19.21	—Ñá ku xnteē nto: “Rei iña ñá Israee”. Dií ka váꞌā ó te xnteē nto: “Ña é kākaꞌan é Rei iña ñá Israee” —kaꞌan ña.
JHN.19.22	Ntá tsi Pilatú san ne, nantíko koō ñá, kakaꞌan ña:
JHN.19.22	—Ē xntée naꞌa ú ne, é kuan tsī koo —kaꞌan ña.
JHN.19.23	Dā kúvī náxntēé sntadún san Jesuu ntiká krusí san ne, kīꞌi ña doo ñá ne, dā kátsin dava ña kɨmi taꞌvi. Uun taꞌvi uun taꞌvī niꞌi ñá xe un xé un ñā. Dā kíꞌi ña duꞌnu kani ñá dɨ, ntá tsi duꞌnu ñá ne, kantāa tsi nte dukun i un tsi nte xúꞌu i; ña túvī míꞌi xɨ̄ꞌɨ taꞌan. 
JHN.19.24	Dukuān ne, sntadún san ne, ntákaꞌan ñá ni tāꞌan ña:
JHN.19.24	—Ñá nakatsin o sāꞌa; dií ka váꞌā ó te nadɨ̄kɨ ó xoo e níꞌi i —kaꞌan ña.
JHN.19.24	Kuan ō dé ña vata koo é kuntaa vatā ó uve naꞌa kakaꞌan túꞌun Xuva kō: “Kātsin dava ña doó ko. Nadɨkɨ ña xoo é nīꞌi i dúꞌnú ko”, kaꞌan. Kuān o dé sntadún san.
JHN.19.25	Dɨꞌɨ Jēsuu ni taꞌan dɨ́ꞌɨ ña, María, ñadɨ̄ꞌɨ Cliofa, ni María Madālená ne, ntáñɨ étsin ña nú krusí san mí ntēé Jesuu. 
JHN.19.26	Dā íni Jesuu dɨ́ꞌɨ ña ni ña ntɨniꞌi ñā, ña e dóo kuinima ñá ne, kakaꞌan ñá ni dɨꞌɨ ñā:
JHN.19.26	—Nakunúu ntaꞌa nto īꞌxá nto dan —kaꞌan ña.
JHN.19.27	Dá kakāꞌan xtúku ña ni ña ntɨniꞌi ñā:
JHN.19.27	—Nakunúun ntaꞌan dɨꞌɨ ō dan —kaꞌan ña.
JHN.19.27	Nté ntūvi tsikán ne, nákunuu ntaꞌa ña ntɨniꞌi ñā sán dɨꞌɨ Jēsuu.
JHN.19.28	Dā kúvī sáꞌa ne, īní Jesuu tsi é kuntaa ntɨ́ꞌɨ vatā ó uve naꞌa kakaꞌan túꞌun Xuva kō ne, kakaꞌan ña:
JHN.19.28	—Kaitsí ko ntute —kaꞌan ña.
JHN.19.29	Ikān tuví uun kɨ́dɨ ntɨ̄di íā ne, xnuu ntoꞌo ña uun tɨꞌntɨ dóó ne, dā xntídō ñá dɨkɨ chɨ́ɨ̄n ne, da xníꞌni ña xuꞌu ña. 
JHN.19.30	Dā kúvī xíꞌi ña ntɨ̄di íā sán ne, kakaꞌan ña:
JHN.19.30	—É kūntaa ntɨ́ꞌɨ ve —kaꞌan ña.
JHN.19.30	Kidáā né, nāxkaꞌnu nteɨ ña dɨkɨ ñá ne, xíꞌi ñā.
JHN.19.31	Ntuvi sāꞌá ne, ntuvī é koo tuꞌve iña víko kaꞌnu san. Ña Israeé ne, ña ni ntío ña é kūve ka kúñu ña ntīká krusi ntuvi dá iō dáꞌna, tsi dóo kaꞌnu ntuvi tsikan. Dukuān ne, kakaꞌan ñá ni Pīlatú san te kuēꞌé ña itsi é kaꞌnu ña xkɨdáꞌnta ña uve ntiká krusí san vata koo é na kūví kantɨ́ꞌɨ ña ne, dá kūvi nanuu nteé ña ña ntiká krusi. 
JHN.19.32	Kidáā ne, kuéꞌen sntādún san, kukaꞌnu ña xɨ̄kɨ dáꞌnta ña ata iko dīñɨ Jesuú san. 
JHN.19.33	Ntá tsi dā xee étsin ña mí rkāa nteé Jesuú ne, kūtuni ña tsi é xiꞌi ña. Dukuān ne, ñá ni ēꞌnu ña xɨkɨ dáꞌnta ña.
JHN.19.34	Ntá tsi uun ñaꞌa sntadún san ne, iꞌxi nūu ña káa ñā má xkɨntika Jēsuú ne, ura tsí i kíi nɨñɨ ni ntute. 
JHN.19.35	Xuꞌu é kantaa ú ni nto sāꞌá ne, īní u nee iña kúvi. Kakaꞌan ntáa ú ni ntō vata koo é na kuīntiꞌxe nto dɨ, tsí iní u tsi nuu é ntaā i é kākaꞌán u. 
JHN.19.36	É un ntɨꞌɨ nūu i sáꞌa kúvi vata koo é kuntaa vatā ó uve naꞌa kakaꞌan túꞌun Xuva kō: “Nté uun xɨkɨ ña ña ni táꞌnu”, kaꞌan. 
JHN.19.37	Uun ká xtuku nuu i kakáꞌan túꞌun Xuva kō dɨ: “Kiní ñaꞌa san ña é iꞌxi nūu ña káa kúñu ñā”, kaꞌan.
JHN.19.38	Dā ita ntíꞌxin kúvi sáꞌa ne, véꞌxi uun ñāꞌa, ñá nani Jōsee, ña ñuú Arimatea. Kuintiꞌxe xuꞌū ña Jesuu tsí da xé ūꞌví ña ña Israeé san. Dɨvi ña īkan ñá ntaꞌa Pilatú san te kuēꞌé ña itsi é nakiꞌi ña kúñu Jēsuu. Pilatú san ne, xéꞌe ña ītsi é kuān koo vií ña. Kidáā ne, ixnakíꞌi ña kúñu Jēsuú ne, dā kueꞌen niꞌi ña. 
JHN.19.39	Ikan tsī xee Nícodemu, ña é ñeꞌe é nīñu, ixkaꞌan ñá ni Jēsuu, ódo ñā vata oko uꞌxi kílū choꞌo vídin é kadāka dúꞌxe utun ni ūꞌxen xaví san. 
JHN.19.40	Ntuvi ña nákiꞌi ña Jesuú ne, dā náxtinuu ñá ña doo kuiꞌxin e xntáꞌa ña uꞌxen choꞌó san vatā xkoó ini ñá Israeé san. 
JHN.19.41	Mī náxnteē ñá Jesuu ntíká krusí san ne, ikan ētsin má utun tata. Ikān tuví uun ñaña xēe mí é vāta xoxo kunuu ntúꞌxi ī. 
JHN.19.42	Ikan tsī xnuu ntúꞌxi ña Jesuu, tsi íkan ētsin tuví ñañā san, tsí da xé kuenta iña i é kāxio tûꞌve víko iña ñá Israeé san.
JHN.20.1	Ntuvi dá nakiꞌi vité san ne, ntɨkɨn nīꞌni ká kueꞌen María Madālena nú ñaña kān. Dā íto ña ne, īní ña tsí e xío tuví xuu é katāvi núu xuꞌu ñañā san. 
JHN.20.2	Kaxkainu ña kueꞌen ña mí ntoo Simuun Pedru ni ña ntɨníꞌi ñā, ña e dóo kuinima Jésuu. Kakaꞌan ñá ni ñā:
JHN.20.2	—É nātavá ña Mastru ko nú ñaña ña kān né, ntē ñá īni o míꞌi kūnaxnúu ña ña —kaꞌan Maríā san.
JHN.20.3	Kidáā né, kīi Pedru ni ña ntɨníꞌi ñā, ña uun san, kueꞌen ñá nú ñaña kān. 
JHN.20.4	Ntuvi ñá koo da ntaínu ña kueꞌen ña, ntá tsi dií ka inú ka ña é ña uun san. Diꞌna ña xee ña nú ñañā san. 
JHN.20.5	Náxkāꞌnu nteɨ ña dɨkɨ ña, íto niꞌni ña iní ñañā sán ne, īní ña doó san, ntá tsi ña ni kɨ́ꞌvi ña. 
JHN.20.6	Kidáā ne, xée Sīmuun Pedrú san ne, dā kukɨ́ꞌvi ña īní ñañā sán ne, ikān íni ña doó san. 
JHN.20.7	Taꞌvi dōo é ītínuu dɨkɨ Jésuú ne, ñá te tūví dadɨɨ ká ni dōo kaꞌnú san, tsí e xío tuví kataꞌnu vaꞌa. 
JHN.20.8	Kidáā ne, kúkɨ̄ꞌví ña uun ñaꞌa sán dɨ, ña é xee díꞌna nú ñañā sán ne, dā íni ña ne, kuīntiꞌxe ña. 
JHN.20.9	Ntá tsi vata kɨ́ꞌɨn dɨkɨ ña é uve naꞌa kakaꞌan túꞌun Xuva kō tsí da miī é ntoto ña tē xiꞌi ña. 
JHN.20.10	Kidáā né, ntiko kōó ña ntɨniꞌi ñā, kunúꞌu ña nú viꞌi ña kān.
JHN.20.11	Ntá tsi Maríā sán ne, ntitsí ña diñɨ ñáña san, kaéku ña. Kuan tsī ó kaeku ña, náxkāꞌnu nteɨ ña dɨkɨ ña, íto niꞌni ña iní ñañā sán ne, 
JHN.20.12	īní ña uvi ñaꞌa ánjē san é ñuꞌu ña doo kuiꞌxin. Ntoo ña nú xuu mí intéku kúñu Jēsuu. Uun ñaꞌa ña tuví ña dɨkɨ́ ñañā sán ne, uun ñaꞌa ña tuví ña xeꞌe i kan. 
JHN.20.13	Tsixeꞌe ña ñā:
JHN.20.13	—¿Nté kui kaekun ntun, ñadɨ̄ꞌɨ? —kaꞌan ña.
JHN.20.13	—Tsí kueꞌen niꞌi ña Mastru kó ne, ntē ñá iní u míꞌī xnúu ña ña —kaꞌan ñá ni ñā.
JHN.20.14	Dā ve tsi kakaꞌan ña sáꞌa ne, xkokōto ñá ne, ikan tsī íni ña Jesuu ntítsí ña, ntá tsi ña ni iní ña te dɨvi Jēsuu. 
JHN.20.15	Jesuú ne, tsixeꞌe ña ñā:
JHN.20.15	—¿Nté kui kaekun ntun, ñadɨ̄ꞌɨ? ¿Xoó ñaꞌa ntu kanantukūn? —kaꞌan ña.
JHN.20.15	Ña kaito ntodo útun tatá san, kuíni Maríā sán ne, kakaꞌan ñá ni ñā:
JHN.20.15	—Te dɨvi nto kuēꞌen niꞌi ntó ña ne, káꞌan nto nī ko míꞌī náxnuu nto ñā vata koo é kɨ̄ꞌɨ́n u, kínakiꞌí u ña —kaꞌan ña.
JHN.20.16	Dá kakāꞌan Jésuu ni ña:
JHN.20.16	—¡Maríā! —kaꞌan ña.
JHN.20.16	Dā xkókoto ña, kakaꞌan ñá ni ña tūꞌun hébreú san:
JHN.20.16	—¡Rabuni! (é kāni túꞌun Mastru) —kaꞌan ña.
JHN.20.17	Dá kakāꞌan Jésuu ni ña:
JHN.20.17	—Ñá kū dɨ́ tɨɨn ntaꞌān ko, tsí vata ntáā u mí tuví Uvā ko. Ntá tsi kuēꞌen mí ntántoo ení ko ne, káꞌan ni ñā tsí ntaa u mí tuví Uvā ko, é dɨvi ña Uva ntō dɨ, tsí uun tsi Xuva ko ni ntō —kaꞌan ña.
JHN.20.18	Kidáā ne, kuéꞌen Māría Madālená san, kukaꞌan ñá ni ña ntɨniꞌi ñā:
JHN.20.18	—¡É īní u Mastru kó ve! —kaꞌan ña.
JHN.20.18	Kidáa ne, ntaa ña ni ña tūꞌun é kākaꞌan Jésuu ni ña.
JHN.20.19	Dā kuáa dɨvi tsi ntūvi é kuvi uun vité san ne, kantīꞌu tsí xiꞌí san mí ntoo ña ntɨniꞌi ñā, tsí da xe ntaúꞌvī ñá ña Israeé san. Ikan tsi kūkɨ́ꞌvi Jesuu, ntítsí ña méꞌñu ña kān ne, kakaꞌan ñá ni ñā:
JHN.20.19	—Váꞌa tsi koo kuntōo nto —kaꞌan ña.
JHN.20.20	Dā kúvi kaꞌan ña sáꞌā ne, náñēꞌe ñá ña ntaꞌa ña ni xkɨntika ñā. Ñá tē nté kaa nakuꞌun díni nima ñá ntɨniꞌi ñā da íni ña Jesuu. 
JHN.20.21	Kidáā ne, kakaꞌan xtúku Jesuu ni ña:
JHN.20.21	—Váꞌa tsi koo kuntōo nto. Vata ō táxnuu Uvā kó ko ne, kuan koo taxnūu ú nto dɨ —kaꞌan ña.
JHN.20.22	Dā kúvi kaꞌan ña sáꞌa ne, tɨ̄ꞌví nteē ñá ña, kakaꞌan ña:
JHN.20.22	—Nakiꞌi nto Espíritū Sántū san. 
JHN.20.23	Da xōó ka ñaꞌa é kāda kaꞌnu iní nto ni ña kuētsí ña ne, é ntɨ̄ꞌɨ kuétsi ñā. Ntá tsi da xōó ka ñaꞌa é ña kada kaꞌnú ini nto ni ña kuētsí ña ne, é kuan tsī koo kuétsi ñā —kaꞌan ña.
JHN.20.24	Ntá tsi Tumaá san, uun ñaꞌa ña é kuvi uxuvi ñáꞌa ña ntɨniꞌi ñā, ña e ntántēe Iꞌxa Uví ne, xóxō ña da ntii dîtó Jesuu. 
JHN.20.25	Ntá tsi ntákaꞌan ñá ntɨniꞌi ña, ña nguiī san ni ña:
JHN.20.25	—É īní ntɨ Mastru kó ve —kaꞌan ña.
JHN.20.25	Ntá tsi Tumaá san ne, kakaꞌan ñá ni ñā:
JHN.20.25	—¿Vá ntāa ntu? Tē ña kiní u mí dūku tsɨkɨ́ san ntaꞌa ña, tē ña nakɨꞌví u rkɨntaꞌá ko mí dūkú san ne, o tē ñá nakɨꞌví u ntaꞌa ko mí kanúu xkɨntika ñā dɨ́ ne, ña kúvi kuintīꞌxe ko —kaꞌan ña.
JHN.20.26	Dā kúvi ūna ntúvi ne, ntoo xtuku ña ntɨniꞌi ñā má viꞌi kān né, ikān tuví Tumaá san dɨ. Kantiꞌu tsí xiꞌi ntóo ña, ntá tsi xee xtúku Jesuu, ntítsi ña méꞌñu ñā, kakaꞌan ña:
JHN.20.26	—Váꞌa tsi koo kuntōo nto —kaꞌan ña.
JHN.20.27	Kidáā ne, kakaꞌan ñá ni Tūmaá san:
JHN.20.27	—Nakɨ̄ꞌvín rkɨntaꞌa o iꞌa ne, koton ntaꞌa kó san ve. Tāꞌxin ntaꞌa o, dá nakɨ̄ꞌvín xkɨntikā kó san. Ñá ku kuān nte dóꞌon; na kuīntiꞌxe o ko —kaꞌan ña.
JHN.20.28	Nantíko kōó Tumaá san, kakaꞌan ñá ni ñā:
JHN.20.28	—¡Tōꞌó miī ko! ¡Xuva ntīꞌxe ko! —kaꞌan ña.
JHN.20.29	Kidáā ne, kakaꞌan Jésuu ni ña:
JHN.20.29	—Viꞌi a vé ne, kakuintiꞌxe o tsí da xe ínin ko. Ntá tsi ¡nté kui vaꞌá ñaꞌa, ña é kakuintiꞌxe i kó kuān te vata kiní ña ko! —kaꞌan ña.
JHN.20.30	Ñá te da dīí ka nuu i é idé Jesuu núu ñá ntɨniꞌi ñā é ña ni úve naꞌa tutú saꞌa. 
JHN.20.31	Ntá tsi nuu i sáꞌa ūve naꞌa vata koo é kuīntiꞌxe nto tsí Jesuú ne, dɨvi ñā é táxnuu Xuva ko ñā né, dɨvi ñā é Īꞌxá Xuva ko ñā dɨ. Te kuīntiꞌxe nto ña ne, níꞌi nto ntuvi vāꞌá iña ntó kuenta iña ña.
JHN.21.1	Dā rkontûvi e kúvi sáꞌa ntii dîtó Jesuu mí ntoo ña ntɨniꞌi ñā etsin nu míni kāꞌnu é nani Tīberia. Sáꞌā kúvī da ntii díto ña.
JHN.21.2	Ikān ntoo dadɨɨ Simuun Pedrú san ni Tūmaa, ña e ntántēe Iꞌxa Uví, ni Natanāee, ña véꞌxi ñuú Canaa é kāduku ntée ñuú Galilea, nī ntuvi iꞌxá Zebedeu, ni ūví ka xtúku ña ntɨniꞌi Jēsuu. 
JHN.21.3	Simuun Pedrú san kakaꞌan ñá ni ñā:
JHN.21.3	—Xuꞌú ne, tsāká kitáva u —kaꞌan ña.
JHN.21.3	Ntákaꞌan ñá ni ñā:
JHN.21.3	—Kɨ́ꞌɨ̄n ntɨ́ ni ntō dɨ —kaꞌan ña.
JHN.21.3	Kuéꞌen ñā, ñuꞌú ña tun ntōó san. Ntá tsi niñu tsikán ne, nté uun tsákā ña ni tavá ña. 
JHN.21.4	Ntá tsi dā veꞌxi túvi ne, ikān ntii dîtó Jesuu, ntítsi ña diñɨ ntute san. Ntá tsi ña ntɨniꞌi ñā ne, ñá ni īni ñá te dɨvi Jēsuu. 
JHN.21.5	Kidáā ne, kakaꞌan Jésuu ni ña:
JHN.21.5	—Ō dáꞌ, ¿vāta ntu níꞌi nto tsákā san? —kaꞌan ña.
JHN.21.5	—Vátā —kaꞌan ña.
JHN.21.6	Jesuú ne, kakaꞌan ñá ni ñā:
JHN.21.6	—Nakuītá nuu nto xunu nto diñɨ kuáꞌa nto sán ne, ikan nīꞌi ntó tɨ —kaꞌan ña.
JHN.21.6	Kuān o dé ntiꞌxe ña ne, ntē ña ni kuvi natavá ka ña xunu san e dóo ñuꞌu tsitu kuēꞌen tsákā san. 
JHN.21.7	Ña ntɨniꞌi ñā, ña e dóo kuinima Jésuú ne, kakaꞌan ñá nī Pedrú san:
JHN.21.7	—¡Dɨvī mastru kó ña! —kaꞌan ña.
JHN.21.7	Dā ve tsi téku Pedrú san é dɨvī Tóꞌo ñā ne, nákunūu ña duꞌnu ña, tsí kantɨɨ́ ña nuu ña, dā entíta ña iní ntute san. 
JHN.21.8	Da nɨɨ vēꞌxí ña nguiī sán iní tun ntōó san, ntáñuꞌu ña taraxá san é ñuꞌu tsitu tsákā san. Ñá te nté sa ikā ñuꞌu ña nú ntūte san; īó te ūun sientu métrū. 
JHN.21.9	Dā núu ña tun ntōó san nú ñutɨ kán ne, ikān íni ña é kaiꞌxi ngɨ́ñuꞌu, nteku ítun tsákā san ni tañúꞌū san. 
JHN.21.10	Kakaꞌan Jésuu ni ña:
JHN.21.10	—Na kīꞌxi nto uvi a tsáka, kɨtɨ dā ve táva nto san —kaꞌan ña.
JHN.21.11	Kūxee xtuku Simuun Pedrú san iní tun ntōó san ne, kanañuꞌu ña taraxá san ñuꞌu kān. Uun ito tsi ñúꞌu tsitu kuēꞌen taraxá san tsáka naꞌnu ntɨꞌɨ, uun sientu uvi díko uxuni tɨ. Kuān te dóo kueꞌe tɨ́ ne, ntē ña ni ntatsin táraxá san. 
JHN.21.12	Kakaꞌan Jésuu ni ña:
JHN.21.12	—Kixkáꞌxi nto kuenta teváa —kaꞌan ña.
JHN.21.12	Kidáā ne, nté uun ñaꞌa ña ña ni kene iní ña tsixeꞌe ña ñā xoo ñáꞌa ña, tsí da xé ini ña tsí dɨvi ntīꞌxe ña é Tóꞌo ñā. 
JHN.21.13	Xée ētsin Jesuú ne, dā nánuu ntáꞌa ña tañúꞌū sán, xeꞌé ña ña. Kuan tsī o dé ña nī tsákā sán dɨ.
JHN.21.14	E sáꞌā kúvi ūni íto e ntii dîtó Jesuu núu ñá ntɨniꞌi ña dā ntóto ña é xiꞌi ña.
JHN.21.15	Dā kuvi éꞌxi ña ne, kakaꞌan Jésuu ni Símuun Pedru:
JHN.21.15	—Simuun, íꞌxá Juaan, ¿vā dií dií ka ntu kakuinima ó ko é sāꞌa? —kaꞌan ña.
JHN.21.15	Kakaꞌán Pedru ni ña:
JHN.21.15	—Ini ntú ku nto, Mastru, tsí ntio kó nto —kaꞌan ña.
JHN.21.15	Kakaꞌan Jésuu ni ña:
JHN.21.15	—Kuéꞌēn é kāꞌxí a leꞌntú ko sán ni —kaꞌan ña.
JHN.21.16	É kūvi uvi íto tsixeꞌe Jēsuu ña:
JHN.21.16	—Simuun, íꞌxá Juaan, ¿kakuinima ntú o ko? —kaꞌan ña.
JHN.21.16	Kakaꞌan ñá ni ñā:
JHN.21.16	—Nuu é ntaā i, Mastru. Ini nto tsí ntio kó nto —kaꞌan ña.
JHN.21.16	Kakaꞌan Jésuu ni ña:
JHN.21.16	—Kuenta víin leꞌntú ko sán ni —kaꞌan ña.
JHN.21.17	É kūvi uni íto tsixeꞌe xtuku ña ñā:
JHN.21.17	—Simuun, íꞌxá Juaan, ¿ntio ntu o ko? —kaꞌan ña.
JHN.21.17	Pedrú san ne, dōo uꞌvi kúvi ña é uni íto tsixeꞌe ña ña tē ntío ña ña ne, kakaꞌan ñá ni ñā:
JHN.21.17	—Mastru, dɨvi nto īni nto é un ntɨꞌɨ̄. Dɨvi nto īni nto tsí ntio kó nto —kaꞌán Pedrú san.
JHN.21.17	Kakaꞌan Jésuu ni ña kídaā:
JHN.21.17	—Kuéꞌēn é na kāꞌxi leꞌntú ko sán ni. 
JHN.21.18	Nuu é ntaā i é kākaꞌán u ni ō. Dā kúvin ñatīí kuetsī ne, nákunūun duꞌnu o dá kɨ̄ꞌɨn da míꞌī ka mí ntio o. Ntá tsi tē kuátān ne, koó da nakāan ntáꞌa o ne, tuku ñaꞌa naxnūu ña o duꞌnu ó ne, dá kɨ̄ꞌɨn niꞌi ña o míꞌī ña ntío o é kɨ̄ꞌɨn.
JHN.21.19	Kuan ō kaꞌan Jésuu vata koo é kūtuní Pedru nté koo kuvi tē xiꞌi ña, vata koo é kāꞌan ñáꞌa tsi dóo kaꞌnu Xuva kō. Kidáā ne, kakaꞌan ñá ni ñā:
JHN.21.19	—¡Kuntīkɨ́n ko! —kaꞌan ña.
JHN.21.20	Dā xkókoto Pedru ata ñá ne, īní ña tsí kantīkɨ́n ña uun ñaꞌa ña, ña e dóo kuinima Jésuu, ña e itúvi diñɨ ña da éꞌxi dadɨɨ ña da kúvi viko san, ña é tsixeꞌe xoo ñáꞌa é diko i ñā. 
JHN.21.21	Dā íni Pedru ñá ne, katsixeꞌe ña Jēsuu:
JHN.21.21	—Ña sāꞌá ne, ¿nté ntu koo kuvi ña? —kaꞌan ña.
JHN.21.22	Kakaꞌan Jésuu ni ña:
JHN.21.22	—Tē ntio ko é kutuvī ñá da nté nainu xtúku ú ne, ¿vá neē ntú kuenta iña o? ¡Dɨvīn né, kuntīkɨ́n ko! —kaꞌan ña.
JHN.21.23	Dukuān ne, kuiní ña ntákuintiꞌxe i san tsí ña kuví ntiꞌxe ña tsikan. Ntá tsi ña te ni káꞌan Jésuu e ña te kuví ña. Da mii tsī é kākaꞌan ña: “¿Vá neē ntú kuenta iña ó te ntio ko é kutūví ka ña dā nté nainu xtúku u?”, kuan ō kaꞌan ña.
JHN.21.24	Dɨvi ña ntɨniꞌi Jēsuu, ña tsikán ne, dɨvī ú xuꞌu é kantaa ú ni ntō nee iña e íni u. Xuꞌu tée naꞌá u túꞌūn saꞌa. Ini o tsí nuu é ntaā i é kākaꞌán u.
JHN.21.25	Jesuú ne, dií ka tɨ̄tɨ́n ka nuu i é idé ña dɨ. Tē dɨ́ ni ūve naꞌa un ntɨɨ́ ntɨ̄ɨ sáꞌa ne, á te ntē ña xee táꞌan ñuxiví sa é kuntōo tutu é ūve naꞌa kakaꞌan íña ña.
ACT.1.1	Xuꞌú é Lucá u ne, táxnūú u tutú ntaꞌa nto, Teófilu. Tutú é dé vaꞌá diꞌná u ne, ntaa ú ni nto un ntɨꞌɨ̄ é edé Jesuu, ni un ntɨꞌɨ̄ é nakuāꞌa ña ñaꞌa nté ntūvi dá eni ntuꞌu ñā 
ACT.1.2	da nté ntūvi é kūntáa ña e dukún kān. Diꞌna dá kūntáa ña e dukún kān né, dē kúꞌvē ñá uxuvi ñáꞌa, ña é vīí pustru íña ña ne, náñēꞌe ñá ña nté koo vií ña. Tsí xeꞌe Espíritū Sántū é kūtuni ña nté koo kaꞌan ñá ni ñā. 
ACT.1.3	Kidáā ne, xíꞌi ñā ntiká krusi. Ntá tsi da rkontûvi é xiꞌi ñá ne, mii ñā ntii díto ña mí ntoo pustru ña. Dōó kiꞌin itō ntii díto ká ña da nté xee táꞌan uvi díko ntuvi. Dōó kueꞌe edé ña vata koo é kuīntiꞌxe pustru ña tsí ntoto ntiꞌxe ña ne, kakaꞌan ñá ni ñā iña mí kadē kûꞌvé Xuva kō.
ACT.1.4	Dā intóo dadɨɨ ká ña nī pustru ñá ne, kakaꞌan ñá ni ñā é ña ku ntaka ña ñuú Jerusaleen.
ACT.1.4	—Kuntētu ntó iꞌa da nté niꞌi nto é kākaꞌan Úvā kó, vata ō kaꞌán u ni nto kídaā. 
ACT.1.5	É īni nto tsí Juaán ne, ntute nakutsi ntúte ña kō; ntá tsi ña kukuíi ka dá nainu míi Ēspíritū Sántū san é kunūu ñá nima nto —kaꞌan Jésuu ni ña.
ACT.1.6	Ña nátaká nuu ni Jēsuú ne, tsixeꞌe ña ñā:
ACT.1.6	—¿Vevií ntu é nakāku ntó ñuú ña Israeé san? —kaꞌan ña.
ACT.1.7	Kidáā né, kakaꞌan Jésuu ni ña:
ACT.1.7	—Ñá te ntōꞌo é kāduku ntée nto é kūtuni nto nee ntúvi vií Uvā kó nuu i é viī ña. Tsí kuenta iña mii ña é kade ña. 
ACT.1.8	Ntá tsi te īnuu Espíritū Sántū san é kunuu ña nima ntó ne, dɨvi ña xntii ña ntō é kāꞌan ntó xoo ñáꞌa ú ni ña ntoo ñuú Jerusaleén san. Da kidáā né, kueꞌēn ntó ñuú Judea ni ñuú Samaria ne, kuēꞌén ka nto dá kanɨɨ ñūxivi. Kueꞌēn ntó, kukaꞌan ntódo nto ni ñāꞌa xoo ñáꞌa ú —kaꞌan ña.
