MAT.1.1	Գիրք ծնունդին Յիսուսի Քրիստոսի՝ Դաւիթի որդիին, Աբրահամի որդիին։
ROM.3.26	Այսինքն՝ իր արդարութիւնը այս ժամանակին մէջ ցուցնելու համար, որպէս զի ինք արդար ըլլայ եւ արդարացնէ Յիսուսին հաւատացողը։ 
ROM.3.27	Ուրեմն ո՞ւր մնաց պարծենալը։ Խափանուեցաւ։ Ո՞ր օրէնքէն, գործերո՞ւ օրէնքէն։ Ո՛չ, հապա հաւատքի օրէնքէն։ 
ROM.3.28	Վանս զի կը սեպենք թէ մարդ հաւատքով կ’արդարանայ առանց օրէնքին գործերուն։ 
ROM.3.29	Միթէ Աստուած միայն Հրեաներո՞ւնն է ու հեթանոսներունը չէ՞։ Այո՛, հեթանոսներունն ալ։ 
ROM.3.30	Որովհետեւ Աստուած մէկ է։ Թլփատութիւնը հաւատքով կ’արդարանայ եւ անթլփատութիւնը՝ նոյն հաւատքով։ 
ROM.3.31	Ուստի մենք հաւատքով օրէնքը կը խափանե՞նք։ Քա՛ւ լիցի, հապա օրէնքը կը հաստատենք։
ROM.4.1	Ուրեմն ի՞նչ գտաւ Աբրահամ՝ մեր նահապետը՝ մարմնի կողմանէ։ 
ROM.4.2	Վասն զի եթէ Աբրահամ գործով արդարացած ըլլար, իրաւցընէ պարծանք պիտի ունենար, բայց ո՛չ թէ Աստուծոյ առջեւ։ 
ROM.4.3	Քանզի գիրքը ի՞նչ կ’ըսէ. «Աբրահամ Աստուծոյ հաւատաց եւ ան՝ իրեն արդարութիւն սեպուեցաւ»։ 
ROM.4.4	Բայց ան որ գործ մը կ’ընէ, վարձքը շնորհքէ եղած չի սեպուիր անոր, հապա՝ շահուած։ 
ROM.4.5	Իսկ ան որ չի գործեր, բայց կը հաւատայ անոր որ ամբարիշտը կ’արդարացնէ, անոր հաւատքը իրեն արդարութիւն կը սեպուի։ 
ROM.4.6	Ինչպէս Դաւիթ ալ կը յիշէ այն մարդուն երանութիւնը, որուն Աստուած արդարութիւն կը սեպէ, առանց գործերու։ 
ROM.4.7	«Երանի՜ անոնց, կ’ըսէ, որոնց անօրէնութիւնները ներուեցան եւ որոնց մեղքերը ծածկուեցան։ 
ROM.4.8	Երանի՜ այն մարդուն, որուն մեղք չի սեպեր Տէրը»։ 
ROM.4.9	Ուստի այս երանութիւնը թլփատութեա՞ն վրայ է, թէ անթլփատութեան վրայ։ Քանզի կ’ըսենք թէ՝ ‘Հաւատքը Աբրահամին արդարութիւն սեպուեցաւ’։ 
ROM.4.10	Ուրեմն ի՞նչպէս սեպուեցաւ. թլփատութեա՞ն մէջ եղած ատենը, թէ անթլփատութեան մէջ։ Ո՛չ թէ թլփատութեան մէջ, հապա՝ անթլփատութեան։ 
ROM.4.11	Ու ետքը թլփատութեան նշանը առաւ՝ իբրեւ անթլփատութեան ատենէն ունեցած հաւատքին արդարութեան կնիքը, որպէս զի ինք հայր ըլլայ այն բոլոր հաւատացողներուն, որոնք անթլփատութենէ են, (անոնց ալ արդարութիւն սեպուելու համար,) 
ROM.4.12	եւ թլփատութեան հայր՝ ո՛չ թէ միայն թլփատութենէ եղողներուն, հապա անոնց ալ՝ որոնք մեր հօրը Աբրահամին անթլփատութեան ատենի հաւատքին շաւիղներուն մէջ կը քալեն։
ROM.4.13	Վասն զի Աբրահամին եւ անոր սերունդին՝ աշխարհը ժառանգելու համար տրուած խոստումը ո՛չ թէ օրէնքով եղաւ, հապա հաւատքին արդարութիւնովը։ 
ROM.4.14	Քանզի եթէ օրէնքէն եղողները ժառանգորդ ըլլային, հաւատքը փուճ պիտի ըլլար եւ խոստումը պիտի խափանուէր։ 
ROM.4.15	Վասն զի օրէնքը բարկութիւն կը գործէ. քանզի ուր օրէնք չկայ, օրինազանցութիւն ալ չկայ։ 
ROM.4.16	Ասոր համար ժառանգորդ ըլլալը հաւատքէն է, որպէս զի շնորհքով եղած ըլլայ, որ խոստումը հաստատուն ըլլայ բոլոր սերունդին։ Ո՛չ միայն անոր՝ որ օրէնքէն է, հապա անո՛ր ալ՝ որ Աբրահամին հաւատքէն է, որ մեր ամենուն հայրն է, 
ROM.4.17	(ինչպէս գրուած է թէ՝ ‘Քեզ շատ ազգերու հայր ըրի’,) Աստուծոյ առջեւ, որուն ինք հաւատաց, ան որ մեռելները կ’ողջնցնէ եւ չեղած բաները եղածներու պէս կը կանչէ։ 
ROM.4.18	Որ չյուսացուած բանին՝ յուսով հաւատաց՝ թէ ինք շատ ազգերու հայր պիտի ըլլայ, (ինչպէս ըսուեցաւ ալ, թէ՝ ‘Քու սերունդդ այսպէս պիտի ըլլայ’.) 
ROM.4.19	եւ ինք հաւատքի մէջ չտկարացած՝ չնայեցաւ իր մարմնին, որ արդէն մեռածի պէս էր, (որովհետեւ ինք հարիւր տարեկանի չափ էր,) ո՜չ ալ Սառայի արգանդին մեռած ըլլալուն։ 
ROM.4.20	Անհաւատութիւնով չտարակուսեցաւ Աստուծոյ խոստումին վրայ, հապա հաւատքով զօրացած՝ Աստուծոյ փառք տուաւ 
ROM.4.21	եւ իր մտքին մէջ հաստատ պահեց թէ՝ ան որ խօսք տուաւ, կարող է ընելու ալ։ 
ROM.4.22	Ասոր համար իրեն արդարութիւն սեպուեցաւ։ 
ROM.4.23	Բայց ո՛չ միայն անոր համար գրուեցաւ, որ իրեն սեպուեցաւ. 
ROM.4.24	հապա մեզի համար ալ՝ որոնց պիտի սեպուի, որ կը հաւատանք Անոր որ մեռելներէն յարուցանեց մեր Տէր Յիսուսը, 
ROM.4.25	որ մեր յանցանքներուն համար մատնուեցաւ եւ մեզ արդարացնելու համար յարութիւն առաւ։
ROM.5.1	Արդ՝ մենք հաւատքով արդարացած ըլլալով՝ խաղաղութիւն ունինք Աստուծոյ հետ մեր Տէրոջը Յիսուս Քրիստոսին ձեռքով 
ROM.5.2	որով ընդունեցինք հաւատքով, այս շնորհքին մօտենալը, որուն մէջ կեցեր ենք եւ Աստուծոյ փառքին յոյսովը կը պարծինք։ 
ROM.5.3	Ո՛չ միայն այսքան՝ հապա նաեւ նեղութիւններու մէջ կը պարծինք. վասն զի գիտենք թէ նեղութիւնը համբերութիւն կը գործէ 
ROM.5.4	եւ համբերութիւնը՝ փորձառութիւն ու փորձառութիւնը՝ յոյս. 
ROM.5.5	եւ յոյսը ամօթով չի ձգեր. վասն զի Աստուծոյ սէրը մեր սրտերուն մէջ տարածուած է Սուրբ Հոգիին միջոցով, որ մեզի տրուեցաւ։ 
ROM.5.6	Վասն զի երբ մենք դեռ տկար էինք, յարմար ժամանակին Քրիստոս ամբարիշտներուն համար մեռաւ։ 
ROM.5.7	Վասն զի արդարի մը համար հազիւ կրնայ մէկը մեռնիլ. (Բայց բարի մարդու մը համար՝ կարելի է որ մէկը համարձակի մեռնիլ.) 
ROM.5.8	սակայն Աստուած իր սէրը որ մեր վրայ ունէր՝ յայտնեց, երբ դեռ մեղաւոր էինք։ 
ROM.5.9	Քրիստոս մեզի համար մեռաւ. ուրեմն հիմա որ իր արիւնով արդարացանք, ո՜րչափ աւելի իրմով պիտի ազատինք բարկութենէն։ 
ROM.5.10	Վասն զի եթէ մեր թշնամի եղած ատենը Աստուծոյ հետ հաշտուեցանք իր Որդիին մահովը, ո՜րչափ աւելի մեր հաշտուած ատենը պիտի ապրինք անոր կեանքովը։ 
ROM.5.11	Եւ ոչ միայն այս, հապա Աստուծմով կը պարծենանք ալ մեր Տէրոջը Յիսուս Քրիստոսին ձեռքով որով հիմա հաշտութիւն ընդունեցինք։
ROM.5.12	Վասն զի ինչպէս մարդէ մը մեղքը աշխարհ մտաւ եւ այն մեղքէն՝ մահը, այնպէս բոլոր մարդոց վրայ տարածուեցաւ մահը, քանզի ամէնքն ալ մեղանչեցին։ 
ROM.5.13	(Վասն զի մինչեւ օրէնքին ատենը աշխարհի մէջ մեղք կար, բայց մեղք չէր սեպուեր՝ քանի որ օրէնք չկար։ 
ROM.5.14	Սակայն մահը Ադամէն մինչեւ Մովսէս թագաւորեց, նաեւ Ադամին յանցանքին նման չմեղանչողներուն վրայ ալ, որ օրինակ էր անոր որ ետքը պիտի գար։ 
ROM.5.15	Բայց շնորհքը յանցանքին պէս չէ. վասն զի եթէ մարդու մը յանցանքովը շատեր մեռան, ալ որչա՜փ աւելի Աստուծոյ շնորհքը եւ այն պարգեւը որ Յիսուս Քրիստոսի՝ մէկ մարդուն՝ շնորհքովն է, շատերուն վրայ աւելցաւ։ 
ROM.5.16	Բայց ձրի պարգեւը այնպէս չէ, ինչպէս մէկին մեղքին արդիւնքը. վասն զի դատաստանը մէկ մեղքէն դատապարտութեան մէջ ձգեց, բայց շնորհքը շատ մեղքերէ արդարութեան տարաւ։ 
ROM.5.17	Վասն զի եթէ մէկ մարդու մեղքովը մահը թագաւորեց, ո՜րչափ աւելի անոնք որ շնորհքի ու արդարութեան պարգեւին առատութիւնը կ’առնեն, կեանքի մէջ պիտի թագաւորեն Յիսուս Քրիստոսին ձեռքով։) 
ROM.5.18	Ուրեմն ինչպէս մէկուն յանցանքովը բոլոր մարդոց դատապարտութեան վճիռ եղաւ, այնպէս՝ մէկուն արդարութիւնովը բոլոր մարդոց կեանքի արդարութեան շնորհք եղաւ. 
ROM.5.19	վասն զի ինչպէս մէկ մարդու անհնազանդութիւնովը շատեր մեղաւոր եղան, այնպէս մէկուն հնազանդութիւնովը շատեր արդար պիտի ըլլան։ 
ROM.5.20	Սակայն օրէնքը մէջտեղ ինկաւ որպէս զի յանցանքը շատնայ. բայց ուր աւելի եղաւ մեղքը, ա՛լ աւելի եղաւ շնորհքը. 
ROM.5.21	որպէս զի ինչպէս մեղքը թագաւորեց մահով, այնպէս շնորհքը թագաւորէ արդարութիւնով՝ մինչեւ յաւիտենական կեանքը մեր Տէրոջը Յիսուս Քրիստոսին ձեռքով։
ROM.6.1	Ալ հիմա ի՞նչ պիտի ըսենք. մեղքի մէջ մնա՞նք արդեօք, որպէս զի շնորհքը շատնայ։ 
ROM.6.2	Քա՛ւ լիցի. մենք որ մեղքին մեռանք, ի՞նչպէս անոր մէջ կենանք։ 
ROM.6.3	Չէ՞ք գիտեր թէ մենք որ Յիսուս Քրիստոսով մկրտուեցանք, անոր մահուանը մկրտուեցանք։ 
ROM.6.4	Անոր հետ թաղուեցանք մկրտութիւնով մահուան համար. որպէս զի ինչպէս Քրիստոս Հօրը փառքովը յարութիւն առաւ մեռելներէն, այնպէս ալ մենք կեանքի նորոգութեան մէջ պտըտինք։ 
ROM.6.5	Վասն զի եթէ մենք տնկակից եղանք անոր մահուանը նմանութիւնովը, նաեւ անոր յարութեանը նմանութիւնով ալ կցորդ պիտի ըլլանք։ 
ROM.6.6	Այս գիտնանք թէ մեր հին մարդը անոր հետ խաչուեցաւ, որ մեղաւոր մարմինը փճանայ, որպէս զի ասկէ յետոյ մեղքի չծառայենք։ 
ROM.6.7	Վասն զի ան որ մեղքի մեռած է, մեղքէ արդարացած է։ 
ROM.6.8	Արդ՝ եթէ մենք Քրիստոսին հետ մեռանք, կը հաւատանք թէ անոր հետ պիտի ապրինք ալ։ 
ROM.6.9	Քանզի գիտենք թէ Քրիստոս մեռելներէն յարութիւն առած ըլլալով՝ նորէն չի՛ մեռնիր, ա՛լ մահը անոր վրայ իշխանութիւն չունի։ 
ROM.6.10	Վասն զի քանի որ մեռաւ՝ մեղքի մեռաւ մէկ անգամ եւ որ կենդանի է՝ Աստուծոյ կենդանի է։ 
ROM.6.11	Այսպէս դուք ձեր անձերը մեղքի մեռած սեպեցէք, բայց Աստուծոյ կենդանի՝ մեր Տէրոջը Քրիստոս Յիսուսին ձեռքով։ 
ROM.6.12	Ուստի ա՛լ մեղքը թող չթագաւորէ ձեր մահկանացու մարմնին վրայ, որ անոր ցանկութիւններուն հնազանդիք։ 
ROM.6.13	Եւ ձեր անդամները մեղքի մի՛ ընծայէք, անիրաւութեան գործիք ըլլալու, հապա ձեր անձերը Աստուծոյ ընծայեցէք որպէս թէ մեռելներէն ողջնցած եւ ձեր անդամները արդարութեան գործիքներ՝ Աստուծոյ։ 
ROM.6.14	Քանզի մեղքը ձեր վրայ պիտի չիշխէ. վասն զի օրէնքի տակ չէք, հապա շնորհքի տակ։
ROM.6.15	Ուրեմն ի՞նչ. մե՞ղք գործենք քանի որ օրէնքի տակ չենք, հապա շնորհքի տակ։ Քա՛ւ լիցի։ 
ROM.6.16	Չէ՞ք գիտեր թէ որու որ անձերնիդ իբր ծառայ ընծայէք հնազանդելու, ծառայ կ’ըլլաք անոր՝ որուն որ կը հնազանդիք, թէ՛ մեղքի՝ որ մահուան կը տանի եւ թէ՛ հնազանդութեան որ՝ արդարութեան։ 
ROM.6.17	Բայց գոհութիւն Աստուծոյ, որ թէեւ դուք մեղքի ծառայ էիք, սակայն սրտանց հնազանդեցաք այն վարդապետութեան գաղափարին, որ ձեզի յանձնուեցաւ։ 
ROM.6.18	Ուստի դուք մեղքէ ազատուելով՝ արդարութեան ծառայ եղաք. 
ROM.6.19	(մարդու սովորութեան պէս կ’ըսեմ՝ ձեր մարմնին տկարութեանը համար.) քանզի ինչպէս ատեն մը ձեր անդամները անօրէնութեան ընծայեցիք՝ պղծութեան եւ անօրէնութեան ծառաներ ըլլալու, ա՛յնպէս հիմա ձեր անդամները սրբութեան ընծայեցէք՝ արդարութեան ծառաներ ըլլալու։ 
ROM.6.20	Վասն զի երբ դուք մեղքի ծառաներ էիք, արդարութենէ ազատ էիք։ 
ROM.6.21	Ուրեմն այն ժամանակ ի՞նչ պտուղ ունէիք այն բաներէն՝ որոնցմով հիմա կ’ամչնաք. վասն զի անոնց վերջը մահ է։ 
ROM.6.22	Բայց հիմա մեղքէ ազատուած եւ Աստուծոյ ծառաներ եղած՝ ձեր պտուղը ունիք սրբութիւնով ու վերջը յաւիտենական կեանք։ 
ROM.6.23	Քանզի մեղքին վարձքը մահ է, բայց Աստուծոյ ձրի պարգեւը յաւիտենական կեանք՝ մեր Տէրոջը Յիսուս Քրիստոսին ձեռքով։
ROM.7.1	Միթէ չէ՞ք գիտեր, եղբայրնե՛ր, (քանզի ես օրէնքը գիտցողներուն կը խօսիմ,) որ օրէնքը մարդուս վրայ կ’իշխէ՝ որչափ ժամանակ որ ողջ է։ 
ROM.7.2	Վասն զի այր ունեցող կինը իր ողջ էրկանը կապուած է օրէնքով. բայց եթէ այրը մեռնի, արձակուած է էրկանը օրէնքէն։ 
ROM.7.3	Ուրեմն քանի որ այրը ողջ է, շուն պիտի կոչուի՝ եթէ ուրիշ էրկան մը կին ըլլայ. բայց եթէ այրը մեռնի, այն օրէնքէն ազատ կ’ըլլայ, այնպէս որ շնացող չըլլար՝ եթէ ուրիշ էրկան մը կին ըլլայ։ 
ROM.7.4	Ուստի դո՛ւք ալ, իմ եղբայրներս Քրիստոսին մարմնովը օրէնքին մեռաք. որպէս զի ուրիշի մը ըլլաք, անոր՝ որ մեռելներէն յարութիւն առեր է որպէս զի Աստուծոյ պտուղ բերէք։ 
ROM.7.5	Քանզի երբ մենք մարմնով էինք՝ մեղքերու կրքերը, որոնք օրէնքով կ’ըլլային, մեր անդամներուն մէջ կը ներգործէին, որպէս զի մենք մահուան պտուղ բերենք։ 
ROM.7.6	Բայց հիմա այն օրէնքէն արձակուեցանք. վասն զի մեռանք անոր՝ որով բռնուած էինք որպէս զի մենք ծառայենք հոգիին նորոգութիւնովը եւ ո՛չ թէ գրին հնութիւնովը։
ROM.7.7	Ուրեմն ի՞նչ ըսենք. օրէնքը մե՞ղք է։ Քա՛ւ լիցի. բայց ես մեղքը պիտի չճանչնայի, եթէ օրէնքով չըլլար. ինչպէս ցանկութիւնն ալ պիտի չգիտնայի, եթէ օրէնքը ըսած չըլլար՝ ‘Մի՛ ցանկար’։ 
ROM.7.8	Բայց մեղքը՝ պատուիրանքը առիթ սեպելով՝ իմ մէջս ցանկութիւններ գոյացուց։ Վասն զի առանց օրէնքի՝ մեղքը մեռած է։ 
ROM.7.9	Ես ալ առանց օրէնքի ատեն մը կենդանի էի. բայց երբ պատուիրանքը վրաս հասաւ, մեղքը ողջնցաւ 
ROM.7.10	եւ ես մեռայ ու այն պատուիրանքը որ կեանքի համար էր, նոյնը ինծի մահուան համար եղաւ։ 
ROM.7.11	Վասն զի մեղքը պատուիրանքը առիթ սեպելով՝ զիս խաբեց ու անով մեռցուց։ 
ROM.7.12	Ուստի օրէնքը սուրբ է ու պատուիրանքը՝ սուրբ եւ արդար ու բարի։
ROM.7.13	Ուրեմն բարին ինծի մա՞հ եղաւ։ Քա՛ւ լիցի, հապա մեղքը իմ մէջս մահ գործեց այս բանին միջոցով, որ բարի է, որպէս զի մեղքին իսկական բնոյթը յայտնուի, պատուիրանքով մեղքին շիտակ մեղք ըլլալը հաստատուի։ 
ROM.7.14	Վասն զի գիտենք թէ օրէնքը հոգեւոր է, բայց ես մարմնաւոր եմ՝ մեղքի տակ ծախուած։ 
ROM.7.15	Քանզի ինչ որ կ’ընեմ՝ չեմ ճանչնար։ Չէ թէ ինչ որ կ’ուզեմ զայն կ’ընեմ, հապա ինչ որ կ’ատեմ՝ զայն կ’ընեմ։ 
ROM.7.16	Բայց եթէ չուզածս կ’ընեմ, հաւանութիւն կու տամ օրէնքին՝ թէ բարի է։ 
ROM.7.17	Իսկ արդ՝ ո՛չ թէ ես կ’ընեմ զանիկա, հապա մեղքը՝ որ իմ ներսիդիս կը բնակի։ 
ROM.7.18	Քանզի գիտեմ որ իմ ներսիդիս, այսինքն իմ մարմնիս մէջ, բարի բան մը չի բնակիր. վասն զի կամեցողութիւն կայ քովս, բայց բարին ի գործ դնելը չեմ կրնար։ 
ROM.7.19	Քանզի ո՛չ թէ բարին որ կ’ուզեմ, զայն կ’ընեմ, հապա չարը՝ որ չեմ ուզեր, զայն կ’ընեմ։ 
ROM.7.20	Իսկ եթէ չուզած բանս կ’ընեմ, ալ ո՛չ թէ ես կ’ընեմ զանիկա, հապա մեղքը՝ որ իմ ներսիդիս բնակած է։ 
ROM.7.21	Ուստի ես կը գտնեմ օրէնք մը, որ երբ բարին ընելը կամենամ, չարը իմ քովս կ’ըլլայ։ 
ROM.7.22	Վասն զի ներսի մարդուն նայելով՝ Աստուծոյ օրէնքին կը հաւնիմ. 
ROM.7.23	բայց ուրիշ օրէնք մը կը տեսնեմ իմ անդամներուս մէջ, որ իմ մտքիս օրէնքին դէմ կը պատերազմի եւ զիս գերի կ’ընէ մեղքի օրէնքին, որ իմ անդամներուս մէջ է։ 
ROM.7.24	Ի՜նչ խղճալի մարդ եմ ես. ո՞վ պիտի ազատէ զիս այս մահկանացու մարմնէն։ 
ROM.7.25	Գոհութիւն Աստուծոյ մեր Տէրոջը Յիսուս Քրիստոսին ձեռքով։ Ուրեմն ես ինքս մտքով Աստուծոյ օրէնքին կը ծառայեմ ու մարմնով՝ մեղքի օրէնքին։
ROM.8.1	Իսկ արդ դատապարտութիւն չկայ Քրիստոս Յիսուսով եղողներուն, որոնք մարմնաւոր կերպով չեն վարուիր։ 
ROM.8.2	Քանզի Քրիստոս Յիսուսով կեանքի հոգիին օրէնքը զիս ազատեց մեղքի եւ մահուան օրէնքէն։ 
ROM.8.3	Վասն զի այն որ օրէնքին համար անկարելի էր, որովհետեւ տկար էր մարմնով, Աստուած իր Որդին ղրկելով մեղանչական մարմնի նմանութեամբ ու մեղքի համար եւ դատապարտեց մեղքը այն մարմնին մէջ. 
ROM.8.4	որպէս զի օրէնքին արդարութիւնը կատարուի մեր մէջ, քանի որ մարմնաւորապէս չենք քալեր, հապա՝ հոգեւորապէս։ 
ROM.8.5	Քանզի մարմնաւոր եղողները մարմնին բաները կը մտածեն ու հոգեւոր եղողները՝ հոգիին բաները։ 
ROM.8.6	Վասն զի մարմնաւոր խորհուրդը մահ է, իսկ հոգեւոր խորհուրդը՝ կեանք ու խաղաղութիւն։ 
ROM.8.7	Քանզի մարմնաւոր խորհուրդը Աստուծոյ դէմ թշնամութիւն է. վասն զի Աստուծոյ օրնէքին չի հնազանդիր, մանաւանդ չի կրնար ալ։ 
ROM.8.8	Վասն զի մարմնով եղողները չեն կրնար Աստուծոյ հաճոյ ըլլալ։ 
ROM.8.9	Բայց դուք մարմնով չէք, հապա՝ հոգիով, եթէ Աստուծոյ Հոգին ձեր մէջ բնակած է. իսկ եթէ մէկը Քրիստոսին Հոգին չունի անիկա անորը չէ։ 
ROM.8.10	Եւ եթէ Քրիստոս ձեր մէջ է, ա՛լ մարմինը մեռած է մեղքի համար ու հոգին կենդանի է արդարութեան համար։ 
ROM.8.11	Իսկ եթէ Յիսուսը մեռելներէն յարուցանողին Հոգին ձեր մէջ բնակած է, ուրեմն անիկա որ Քրիստոսը մեռելներէն յարուցանեց, պիտի կենդանացնէ ձեր մահկանացու մարմիններն ալ իր Հոգիովը որ ձեր մէջ կը բնակի։
ROM.8.12	Ապա ուրեմն, եղբայրնե՛ր, պարտական ենք, ո՛չ թէ մարմնին՝ մարմնաւորապէս ապրելու համար. 
ROM.8.13	վասն զի եթէ մարմնաւորապէս ապրելու ըլլաք, պիտի մեռնիք. բայց եթէ Հոգիով մարմնին գործերը սպաննէք, պիտի ապրիք։ 
ROM.8.14	Վասն զի անոնք որ Աստուծոյ Հոգիովը կ’առաջնորդուին, անոնք Աստուծոյ որդիներն են։ 
ROM.8.15	Քանզի դուք ծառայութեան հոգին չառիք կրկին վախնալու, հապա որդեգրութեան հոգին առիք, որ անով կը կանչենք Աբբա Հայր։ 
ROM.8.16	Նոյն ինքն Հոգին վկայութիւն կու տայ մեր հոգիին հետ, թէ մենք Աստուծոյ որդիներն ենք. 
ROM.8.17	եւ եթէ որդիներ, ուրեմն՝ ժառանգորդներ, Աստուծոյ ժառանգորդները ու Քրիստոսին ժառանգակիցներ, որպէս զի եթէ իր չարչարանքներուն կցորդ ըլլանք, իր փառքին ալ հաղորդ ըլլանք։
ROM.8.18	Վասն զի ես այսպէս կը նկատեմ թէ այս ժամանակին չարչարանքները բան մը չեն գալու փառքին քով՝ որ մեզի պիտի յայտնուի։ 
ROM.8.19	Զի ստեղծուածները մեծ ակնկալութեամբ Աստուծոյ որդիներուն յայտնուելուն կը սպասեն։ 
ROM.8.20	Վասն զի ունայնութեան հնազանդեցան ստեղծուածները, (ոչ թէ իրենց կամքովը՝ հապա անոր համար որ Աստուած հնազանդեցուց,) 
ROM.8.21	այն յոյսով, որ ստեղծուածները իրենք ալ ապականութեան ծառայութենէն ազատուելով, Աստուծոյ որդիներուն փառաւոր ազատութեանը պիտի հասնին։ 
ROM.8.22	Քանզի գիտենք թէ բոլոր ստեղծուածները մինչեւ հիմա մէկտեղ կը հառաչեն ու ծնանելու ցաւ կը քաշեն։ 
ROM.8.23	Եւ ոչ միայն անոնք, հապա մենք ալ որ Հոգիին առաջին պտուղը ունինք, մենք մեզմէ մեր անձերուն մէջ կը հառաչենք՝ որդեգրութեան, այսինքն մեր մարմնին ազատութեանը սպասելով։ 
ROM.8.24	Վասն զի յոյսով փրկուեցանք. բայց յոյսը երբ տեսնուի, յոյս ըլլալէ կը դադրի, վասն զի ոեւէ մէկը տեսնուած բանին ինչո՞ւ պիտի յուսայ։ 
ROM.8.25	Իսկ եթէ չտեսնուած բաներուն կը յուսանք, համբերութիւնով պիտի սպասենք անոր։ 
ROM.8.26	Նոյնպէս Հոգին ալ օգնութեան կը հասնի մեր տկարութիւններուն. քանզի ինչո՞ւ եւ ի՞նչպէս աղօթելու ենք՝ չենք գիտեր. բայց ինքը՝ Հոգին՝ բարեխօս կ’ըլլայ մեզի համար անբարբառ հառաչանքներով։ 
ROM.8.27	Եւ սրտերը Քննողը գիտէ Հոգիին ի՛նչ խորհիլը, քանզի Աստուծոյ կամքին համեմատ բարեխօսութիւն կ’ընէ սուրբերուն համար։
ROM.8.28	Սակայն գիտենք թէ ամէն բաները բարիին գործակից կ’ըլլան անոնց որ Աստուած կը սիրեն, որոնք անոր նախասահմանութիւնովը կանչուած են։ 
ROM.8.29	Վասն զի զանոնք որ առաջ կը ճանչնար, առաջուընէ սահմանեց իր Որդիին պատկերին կերպարանակից ըլլալու. որպէս զի անիկա անդրանիկ ըլլայ բազմաթիւ եղբայրներու մէջ։ 
ROM.8.30	Անոնք որ նախապէս սահմանեց նաեւ կանչեց զանոնք եւ անոնք որ կանչեց, նաեւ արդարացուց զանոնք եւ անոնք որ արդարացուց, նաեւ փառաւորեց զանոնք։
ROM.8.31	Ուրեմն ի՞նչ ըսենք այս բաներուն համար. ‘Եթէ Աստուած մեր կողմն է, ո՞վ պիտի ըլլայ մեզի հակառակ’։ 
ROM.8.32	Ան որ իր Որդիին չխնայեց, հապա մեր ամենուն համար մատնեց զանիկա, ալ ի՞նչպէս անոր հետ բոլոր բաները մեզի չի պարգեւեր։ 
ROM.8.33	Ո՞վ է որ Աստուծոյ ընտրածներուն դէմ մեղադիր կ’ըլլայ։ Աստուած է որ կ’արդարացնէ։ 
ROM.8.34	Ուրեմն ո՞վ է որ կը դատապարտէ։ Քրիստոս է որ մեռաւ, մանաւանդ որ յարութիւն ալ առաւ ու Աստուծոյ աջ կողմն է, որ նաեւ մեզի համար բարեխօսութիւն կ’ընէ։ 
ROM.8.35	Ուրեմն ո՞վ պիտի զատէ մեզ Քրիստոսին սէրէն. տառապա՞նքը, կամ նեղութի՞ւնը, կամ հալածա՞նքը, կամ սո՞վը, կամ մերկութի՞ւնը, կամ վտա՞նգը, կամ սո՞ւրը. 
ROM.8.36	(ինչպէս գրուած է. ‘Ամէն օր քեզի համար կը սպաննուինք. մորթուելու ոչխարի պէս կը սեպուինք’.) 
ROM.8.37	հապա այս ամէն բաներուն մէջ ա՛լ աւելի յաղթող կ’ըլլանք անո՛վ, որ մեզ սիրեց։ 
ROM.8.38	Վասն զի ես հաստատ գիտեմ թէ ո՛չ մահը, ո՛չ կեանքը, ո՛չ հրեշտակները, ո՛չ իշխանութիւնները, ո՛չ զօրութիւնները, ո՛չ ներկայ բաները, ո՛չ գալու բաները, 
ROM.8.39	ո՛չ բարձրութիւնը, ո՛չ խորունկութիւնը եւ ո՛չ ուրիշ արարած կրնայ մեզ զատել Աստուծոյ սէրէն՝ որ Քրիստոս Յիսուս մեր Տէրոջմով է։
ROM.9.1	Ստոյգը կ’ըսեմ Քրիստոսով ու չեմ ստեր, (իմ խիղճս ալ ինծի կը վկայէ Սուրբ Հոգիով,) 
ROM.9.2	որ մեծ տրտմութիւն է ինծի ու իմ սրտիս ցաւը անպակաս է։ 
ROM.9.3	Քանզի ես ինքս կը փափաքէի նզովուիլ Քրիստոսէն, մարմնի կողմէ իմ եղբայրներուս ու ազգականներուս համար, 
ROM.9.4	որոնք Իսրայէլացի են. որոնցն է որդեգրութիւնը, փառքը, ուխտերը, օրէնսդրութիւնը, պաշտօնն ու խոստումները։ 
ROM.9.5	Իրենցն են նահապետները, Քրիստոս ալ իրենցմէ եկաւ մարմնի կողմանէ, որ ինքը օրհնեալ Աստուած է ամենուն վրայ յաւիտեանս։ Ամէն։ 
ROM.9.6	Բայց Աստուծոյ խօսքը երբեք գետին ինկած չէ. քանզի ոչ թէ ամէն անոնք որ Իսրայէլէն են՝ Իսրայէլացի են 
ROM.9.7	եւ ոչ թէ Աբրահամին սերունդ ըլլալնուն համար ամէնքը որդիներ են. այլ ‘Իսահակով քեզի սերունդ պիտի կոչուի’։ 
ROM.9.8	Այսինքն՝ ո՛չ թէ անոնք որ մարմնին որդիներ են՝ Աստուծոյ որդիներ ալ են, հապա խոստումի որդիները սերունդ կը սեպուին։ 
ROM.9.9	Վասն զի խոստումը այս էր, թէ՝ ‘Երբ դառնամ՝ Սառան որդի մը պիտի ունենայ’։ 
