GEN.1.1	Imapis manaraq kaptinmi Tayta Dios kamarqan jana pasatapis kay pasatapis.
ISA.66.19	Munayyuq kashqäta rikayänanpaqmi saycho señalta rurashaq.
ISA.66.19	<<Kawaykar quëdaqkunata juklä nacionkunamanmi kachashaq. Saymi chäyanqa Tarsisman, Libiaman y Ludman. Lud nacioncho taqkuna fiyupami yachayan flëchawan flëchayta. Saynöpis chäyanqa Tubalman y Javánman. Wakintanami kachashaq lamar kuchuncho kaykaq karu nacionkunamanpis. Say nacionkunacho taq runakuna imaypis manami wiyayashsu noqapita parlaqta ni rikayashsu munayyuq kashqäta. Say nacionkunachömi munayyuq kashqäta y salvakuq kashqäta wilakuyanqa.
ISA.66.20	<<Kachashqä runakunami noqapaq ofrendata apamuqno Israel mayinkunata maysaypita pushayämunqa. Saymi cawallunkunawan, carrëtankunawan, andankunawan, mulankunawan y camëllunkunawanpis shayämunqa. Sagrädu lömächo kaykaq Jerusalénmanmi chäsiyämunqa. Limpiu uyllukunawan saki mikuy ofrendata templüman apamuqnömi apayämunqa. Noqa 
ISA.66.21	<<Paykunapitami wakinta akrashaq cürakuna y 
ISA.66.22	Mastapis 
ISA.66.23	Cada lulu killa y cada jamay junaqmi lapan runakuna templüman shamur adorayämanqa. Noqa 
ISA.66.24	<<Templupita yarqurmi conträ sharkuq runakunapa ayan mashtaraykaqta rikayanqa. Say ayata mikuq kurukuna manami wanuyanqasu. Saynölami say ayakunata rupaq ninapis upinqasu.
JER.1.1	Kaychömi qelqaraykan Hilcíaspa surin Jeremías wilakushqan. Jeremíasqa cüra ayllumi karqan. Pay karqan Benjamín particho kaq Anatot markapitami.
JER.1.2	Amónpa surin Josías
JER.1.3	Saynölami Josíaspa surin Joacim
JER.1.5	<<Mamaykipa pachancho manaraqpis kamarmi qamta reqirqä. Manaraqpis yuriptikimi qamta akrarqä maysay nación runakunapaq profëta kanaykipaq>>.
JER.1.6	Sayno nimaptinmi nirqä: <<¡Ay, 
JER.1.7	Sayno niptïpis 
JER.1.8	Ima desgraciapitapis salvanäpaq qamwanmi kaykäshaq. Pitapis ama mansaysu>>.
JER.1.8	Saynömi 
JER.1.9	Nirkurmi shimïta yataykamar 
JER.1.10	Kanan junaqmi qamta churaykä maysay markakunacho y nacionkunacho ima päsananpaq kashqantapis wilakunaykipaq. Wilakushqaykinölami wakin nacionkuna ushakäyanqa y wakin nacionkuna mas munayyuq rikakuyanqa>>.
JER.1.11	Nirkurnami 
JER.1.11	Saymi nirqä: <<Almendru jachapa rämantami, Taytay>>.
JER.1.12	Niptïmi 
JER.1.13	Yapaymi 
JER.1.13	Saymi nirqä: <<Norti kaqlächo manka timpur püsaykaqtami rikaykä>>.
JER.1.14	Niptïmi 
JER.1.15	Noqa 
JER.1.16	<<Say markakunacho taq runakuna jusalikuyashqanpitami sayno castigashaq. Paykunaqa qonqaykamarmi juklä nación runakuna adorayashqan dioskunapaq inciensuwan qoshnisiyan. Saynöpis kikinkuna rurayashqan ïdulukunatami adorayan.
JER.1.17	<<Jeremías, say runakunaman aywaykur lapan nishqäta mana mansariypa wilapay. Paykunataqa ama mansaysu. Mansaptikiqa paykunapa nawpancho mas peormi mansakäsishayki.
JER.1.18	<<Qamta churaykä shumaq corralash markano, fiërru jorconno y bronciwan perqash murällano kay nacioncho kanaykipaqmi.
JER.1.19	Noqami qamwan kaykäshaq ima peligrupitapis sapänäpaq. Saymi paykuna contrayki sharkurpis vinciyäshunkipaqsu. Noqa 
JER.2.2	<<Jerusaléncho taq runakunaman aywar kayno nishqäta wilay:
JER.2.2	Jipash
JER.2.2	Say wisanmi sunyaq jirkapa y mikuy mana wayunan chakrapa purir qatirämarqayki.
JER.2.2	Sayraq casarash jipash runanta kuyaqnömi kuyamarqayki.
JER.2.3	Say wisanqa munashqänömi kawarqayki.
JER.2.3	Punta poquq mikuy noqapaq kashqannömi qampis noqapaq karqayki.
JER.2.3	Mayqan nacionpis nakasishuptikiqa say nacionta fiyupami castigaq kä.
JER.2.3	Noqa 
JER.2.4	Jacobpita miraq Israel runakuna, mayqan ayllu karpis 
JER.2.5	 kaynömi nin:
JER.2.5	<<¿Imatataq mana alita rurashkä unay aylluykikuna mana cäsukayämänanpaq?
JER.2.5	Mana väliq dioskunata adorarmi kikinkunapis mana väliq rikakuyarqan.
JER.2.6	Egiptupita jorqaykämuptïpis y sunyaq jirkapa pushaykämuptïpis paykunaqa manami munashqänösu kawayarqan.
JER.2.7	Paykunatami maypis täkuy munay nacionman pushamurqä imayka wayuqtapis mikur kushish kawayänanpaq.
JER.2.7	Sayno kaptinpis jusalikuyman churakarmi nacionnïta 
JER.2.7	Saynöpami nacionnï seqaypa melanaypaq rikakurqan.
JER.2.8	<<Cürakunapis noqa munashqänöqa manami rurayansu.
JER.2.8	Leyta yachasiqkunapis manami cäsukayämansu.
JER.2.8	Reykunapis conträmi rikakuyan.
JER.2.8	Profëtakunapis mana väliq dioskunalaman yärakur 
JER.2.9	Saymi kananqa qamkunatapis, surikikunatapis y wilkaykikunatapis castigashayki.
JER.2.9	Noqa 
JER.2.10	<<Qamkuna kayashqaykino ¿maylachöqa runakuna kayansuraq?
JER.2.10	Inti jeqananlächo kaq islakunaman aywayay saycho taqkunata shumaq rikayämunaykipaq.
JER.2.10	Cedarlämanpis pilatapis kachakuyay saycho taq runakuna imano kayashqantapis musyamunanpaq.
JER.2.11	Paykuna adorayashqan dioskuna mana rasunpaypa dios kaptinpis ¿mayqan nacionlachöqa diosninkunata trukasishsuraq juk dioskunata adorayänanpaq?
JER.2.11	Kuyashqä runakunami isanqa munayyuq Diosnin kaykaptïpis mana väliq dioskunatana adoraykäyan>>.
JER.2.12	<<Qamkuna sayno kayashqaykipitami ciëlupis mansarin.
JER.2.12	Mana alikunata rurashqaykita rikarmi suksukyan.
JER.2.13	Kuyashqä runakuna kayaptikipis jusaykikuna ishkaymi kaykan.
JER.2.13	Jukaq jusaykikuna kaykan noqata kachariykayämashqayki.
JER.2.13	Jukaqnami kaykan juk dioskunaman yärakuyashqayki.
JER.2.13	Saynöpami mana sakiq pukyuta kacharir shalacho pözuta ruraqno kaykäyanki.
JER.2.14	<<Israel runa kaykarqa manami ashmaysu kaykäyanki ni ashmay kayänaykipaqsu yuriyashkanki.
JER.2.14	Sayno kaykäyaptikiqa ¿imanirtaq juklä runakuna shamur imaykaykikunatapis apakur nakasiyäshunki?
JER.2.15	Qamkunamanqa leonnöraq qapararmi chikishuqnikikuna yaykayämush.
JER.2.15	Intëru nacionnikicho markaykikunatapis raqälatanami kachaykuyash.
JER.2.15	Markaykikunata rupasiyaptin manami pipis saycho tannasu.
JER.2.16	Menfis soldädukuna y Tafnes soldädukunapis Egiptupita shamurmi pasaypa vinciyäshushkanki.
JER.2.17	Qamkunata sayno päsayäshushkanki pusharaykaptïpis noqa 
JER.2.18	<<Kananqa ¿imatataq jorquyanki Egiptuman aywar Nilo mayupita yakuta upuyashqaykiwan?
JER.2.18	¿Imatataq jorquyanki Asiriaman aywar Éufrates mayu yakuta upuyashqaykiwan?
JER.2.19	Qamkunaqa mana cäsukamaypa jusalikuyashqaykipitami castïguta chaskiyankipaq.
JER.2.19	Say hörami tantiyayankipaq noqata qonqaykamar mana 
JER.2.19	Lapanta mandaq 
JER.2.20	<<Unaypita pasami qamkunaqa makïpita yarqukur munayashqaykita ruraykäyanki.
JER.2.20	Adoramaytapis manami munayankinasu.
JER.2.20	Sayno karmi maysay lömakunacho y copösu jachakunapa chakinkunachöpis jukwan jukwan kakuq warmino juk dioskunata adoraykäyanki.
JER.2.21	<<Qamkunataqa alinnin kaq üvata akraykur plantaqnömi plantashkä.
JER.2.21	Sayno ruraykaptïqa ¿imanöpataq mana ali üvano tikrayashkanki?
JER.2.22	Lijyawan mayjina maylakurpis y maysika jabonwan armakurpis jusaykikunata manami maylayankisu.
JER.2.22	Noqa 
JER.2.23	<<
JER.2.23	Sayno nir lutanta niyashqaykita tantiyayänaykipaq raqracho ïdulukunata adorayashqaykita yarpäyay.
JER.2.23	Ïdulukunata adorayänaykipaqqa imayka calintash camëllu cörrikachaqnömi kaykäyanki.
JER.2.24	Sunyaq jirkalacho täkuq calintash ashnu orqu ashnupa asyayninta mayar cörrikachaqnömi kaykäyanki.
JER.2.24	Say ashnuta ¿piraq sapanman?
JER.2.24	Calintaykaq ashnuta orqu ashnu tarishqannömi qamkunatapis juk dioskunata adoraykäyaqta pipis tariyäshunki.
JER.2.25	¡Imayyaqraq lanqikikunapis ushakash say dioskunapa qepanta cörriykäyanki!
JER.2.25	¡Imayyaqraq kunkaykikunapis ankakash say dioskunata qatiraykäyanki!
JER.2.25	Sayno tapuptïpis qamkuna niyämanki:
JER.2.25	<Alfin imanäshaqtaq.
JER.2.25	Noqakunaqa jäpa dioskunatami fiyupa kuyayä.
JER.2.25	Imano karpis paykunatachir sirviyäshaq>.
JER.2.26	<<Taripaykuptin suwa runa penqakushqannömi qamkunapis mana cäsukuq kayashqaykipita penqakuyankipaq.
JER.2.26	Saynölami penqakuyanqa mandaqniki reykunapis, autoridänikikunapis, cüraykikunapis y lula profëtaykikunapis.
JER.2.27	Qamkunaqa qerupita rurash ïdulukunatami <taytalä> niyanki.
JER.2.27	Saynölami rumipita rurash ïdulukunatapis <mamalä> niyanki.
JER.2.27	Noqataqa manami imapaqpis cuentayämankinasu.
JER.2.27	Ima nakaychöpis karmi isanqa <¡salvaykalämay, Taytay!> niyämanki.
JER.2.28	Desgracia päsayäshuptiki ¿imanirtaq rurashqayki diosnikikunata manakuyankisu?
JER.2.28	¿Imanirtaq saykuna yanapäyäshunkisu?
JER.2.28	Judá runakuna, markaykikuna aska kayashqannömi rurayashqayki diosnikikunapis aska kaykäyan.
JER.2.29	<<Noqa 
JER.2.29	Manami noqasu qamkunapa contrayki sharkushkä, sinöqa qamkunami conträ sharkuyashkanki.
JER.2.29	Sayno kaykaptinqa ¿imanirtaq conträ parlaykäyanki?
JER.2.30	Surikikunata castigaptïpis manami wanakuyansu
JER.2.30	Kachamushqä profëtakunatapis leonnöraq atacarmi espädawan wanusiyashkanki.
JER.2.31	<<¡Israel runakuna, shumaq tantiyakuyay noqa 
JER.2.31	Qamkunapaqqa ¿sunyaq jirkanöku kashkä?
JER.2.31	¿Yanawyaykaq sakaynöku kashkä?
JER.2.31	Lapanchöpis yanapaykaptïqa ¿imanirtaq witikuykäyanki?
JER.2.31	¿Imanirtaq niyämanki manana yärakayämänaykipaq kashqanta?
JER.2.32	Adornunkunata ¿jipash qonqaykunmansuraq?
JER.2.32	Majasakashqan höra jatikushqan mödananta ¿qonqaykunmansuraq?
JER.2.32	Qamkunami isanqa qonqaykayämashkanki.
JER.2.33	<<Waynäkuyänaykipaqqa cösami yarpachakuyanki.
JER.2.33	Mañösa warmikunapis qamkunapitami yachakuyash.
JER.2.34	Jusaynaq pobrikunata wanusiyaptikimi mödanaykikunapis yawarlana kaykan.
JER.2.34	Mana jusalikuykäyaptinmi say runakunata wanusiyashkanki.
JER.2.35	Sayno ruraykarpis kaynömi nikäyanki:
JER.2.35	<Noqakunaqa jusaynaqmi kaykäyä.
JER.2.35	Tayta Diospis noqakunawan manami rabyashsu kaykan>.
JER.2.35	Sayno niyaptikipis lapan jusaykikunapitami juzgayäshayki.
JER.2.36	<<¿Imanirtaq mana yarpachakuypa jäpa nacionkunaman lutala laqakäyanki?
JER.2.36	Say nacionkunamanqa walälami yärakuykäyanki.
JER.2.36	Asiria nación desairiyäshushqaykinölami Egipto nacionpis desairiyäshunkipaq.
JER.2.37	Egiptuman yärakuyashqaykipitami fiyupa pësakuyanki.
JER.2.37	Yärakuyashqayki nacionkunata kachariykush kaptïmi say nacionkunaman waläla yärakuyanki>>.
JER.3.2	<<Jirkakunata maski rikayay. Mayqanläpa rikayaptikipis say jirkakunacho juk dioskunatami adoraykäyanki.
JER.3.3	Sayno kayashqaykipitami tamya killa wisanpis ni jachakuna tuktunan wisanpis manana tamyamushnasu.
JER.3.3	<<Pïmaywanpis kakuq warmi penqayniynaq kashqannömi qamkunapis kaykäyanki. 
JER.3.4	Kananqa cäraykikunapis kanran niyämänaykipaq: <Qamqa papänïmi kanki. Wamra kayashqäpita pasami yanapämaqnï kashkanki. 
JER.3.5	Amana noqakunawan rabyakuynasu. Saypa trukanqa perdonaykayämayna>. Sayno nir manakayämashpaykipis jinalami qamkunaqa mana alikunata ruraykäyanki>>.
JER.3.6	Josías mandaq rey kaykashqan wisanmi
JER.3.7	<<Sayno ruraptinpis yarparqä jusalikush karpis noqaman kutimunanpaq kashqantami. Say kaqqa manami kutimushsu. Saytami rikash mana wiyakuq nanan Judápis.
JER.3.8	<<Noqawan kaykar jukwan jukwan imaypis kakushqanpitami Israelta qarqushkä.
JER.3.9	Saymi rumipita y qerupita rurash ïdulukunata mana penqakuypa adorash. Sayno rurashqanpitami Judá nacionpis seqaypa qanratakash kaykan. 
JER.3.10	Noqaman kutimurpis janan shonqulami adoraman. Noqa 
JER.3.12	Norti kaqläpa rikärir Israel nación runakunata niy:
JER.3.12	<<
JER.3.12	<¡Mana wiyakuq Israel runakuna, noqaman kutikayämuy!
JER.3.12	Kutikayämuptikiqa kushishqami chaskishayki.
JER.3.12	Kuyapäkuq karmi mayjina rabyash karpis perdonashayki.
JER.3.13	Isanqa wiyakamayta mana munar jusayuq kayashqaykita tantiyakuyay.
JER.3.13	Juk warmi adulteriucho kashqannömi qamkunaqa rämasapa jachakunapa chakincho juk dioskunata adoraykäyanki.
JER.3.13	Noqa 
JER.3.15	Saychömi rey kananpaq shonqüpaqno kawaqkunata churapäyäshayki. Paykunami tantiyakuq y yachaq kayashpan shumaq mandayäshunki>>.
JER.3.17	Say wisanmi Jerusalénta niyanqa 
JER.3.17	<<Jerusalénmanmi maysay nacionpitapis runakuna shayämunqa adorayämänanpaq. Mananami shonqun munashqanno jusalikur puriyanqanasu.
JER.3.18	<<Say wisanmi Israel runakunawan Judá runakuna norti kaqlä nacioncho taykäyashqanpita kutiyämunqa. Ishkan shuntakaykurmi unay ayllunkunata qoykushqä nacioncho täyanqa.
JER.3.19	<<Israel runakuna, qamkunataqa surïtanömi imaypis rikayta munarqä.
JER.3.19	Nacionniki maysay nacionpitapis mas ali kanantami munarqä.
JER.3.19	<¡Papä!> niyämänaykipaq kashqantami noqa yarparqä.
JER.3.19	Yarparqä imaypis mana kachariyämänaykipaq kashqantami.
JER.3.20	Sayno kuyaykaptïpis kachariykayämashkankimi.
JER.3.20	Runanta kacharir juk runawan aywakuq warminömi juk dioskunatana adorayashkanki.
JER.3.20	Noqa 
JER.3.21	<<¡Sunyaq jirkakunacho qaparäyämushqanmi wiyakaykämun!
JER.3.21	Saychömi Israel runakuna waqayashpan pilapis kuyapaykunanpaq manakuykäyan.
JER.3.21	Paykunaqa sayno kaykäyan 
JER.3.22	<<Mana wiyakuq surïkuna, ¡noqaman kutikayämuy!
JER.3.22	Kutikayämuptikiqa mana wiyakuq kayashqaykipita perdonayäshaykimi.
JER.3.22	<<Say wisanmi Israel runakuna niyämanqa:
JER.3.22	<Noqakunaqa qammanmi kutikayämü, Taytay.
JER.3.22	Noqakunapaqa qammi Tayta Diosnïkuna kanki.
JER.3.23	Walälami lömakunacho kaykaq 
JER.3.23	Walälami puntakunachöpis say dioskunapaq fiestata rurayashkä.
JER.3.24	Mana väliq ïdulukunata penqaypaq adorayashqäpitami imaykäkunapis ushakäyash.
JER.3.24	Saymi wamralaraq kaykäyaptï mamä taytä ashmakuyashqan uyshankuna, wäkankuna y warmi olqu surinkunapis ushakäkuyash.
JER.3.25	Unay ayllükunapis y kikïkunapis maqta kayashqäpita pasami jusalikur qamta rabyanäsiyashkä.
JER.3.25	Sayno kayashqäpitami pasaypa penqakush uysuraykäyä> >>.
JER.4.1	Sayno nir manakuyaptinmi 
JER.4.2	Sirviyämänaykipaq lapan shonquykiwan promitiyämaptikiqa maysay nacionkunapaqmi bendición kayankipaq. Saynöpami maysaychöpis runakuna alabayämanqa>>.
JER.4.3	Jerusalén runakunata y Judá runakunatami 
JER.4.3	<<Purun chakrata kichaqno shonquykikunata kichapäyämay.
JER.4.3	Mana kichapäyämarqa kasha chakralaman muruqnömi kaykäyanki.
JER.4.4	Sayno mana rurayaptikiqa fiyupami rabyakurkushaq.
JER.4.4	Rabyakurkuptïqa manami imanöpapis päsasiyta kamäpakuyankipaqsu>>.
JER.4.5	<<Jerusaléncho y Judácho taqkunata wilay:
JER.4.5	<¡Atacayäshunaykipaq shayämuptin 
JER.4.5	¡Corralash markakunaman jukla amparakuyänanpaq qayakuyay!
JER.4.6	Noqaqa nortiläpitami soldädukunata kachamushaq atacayäshunaykipaq.
JER.4.6	¡Runakuna 
JER.4.6	¡Jukla qeshpiyay!
JER.4.7	<< <Maysay nacionkunata ushakäsiqmi aska soldädukuna shamuykäyan.
JER.4.7	Malaqash león muntipita yarqamuqnömi yarqaykäyämun.
JER.4.7	Wanusiyäshuptikimi markaykikunapis raqälana rikakuyanqa.
JER.4.8	Sayno päsashunaykipaq kaykaptinqa lakikuyashpayki qachqa mödanakunata jatikuyay.
JER.4.8	Pasaypa nanäsikur waqayashpayki qaparäyay.
JER.4.8	Pasaypa rabyashqätaqa manami imanöpapis päsasiyankipaqsu> >>.
JER.4.9	<<Say junaq chämuptinqa reypis autoridäkunapis mansariylawanmi suksukyäyanqa.
JER.4.9	Saynölami cürakunapis y lula profëtakunapis fiyupa mansariyashpan jupaylashno rikakuyanqa>>.
JER.4.10	Tayta Dios sayno nimaptinmi nirqä: <<¡Ay 
JER.4.11	Tayta Diosmi nimarqan: <<Say wisanmi Jerusalén runakunata wilayanqa sunyaq saki jirkapita akaq wayrata wayraykäsimushqäta. Say wayraqa manami trïguta pürananpaqnösu
JER.4.12	sinöqa shukukuy wayrami kanqa. Say wayrataqa kikïmi wayräsimushaq. Saywanmi Jerusalén runakunata fiyupa castigashaq>>.
JER.4.13	Sayta rikarmi Jerusalén runakuna niyanqa:
JER.4.13	<<¡Chikimaqninsikunaqa yanawyaykaq pukutaynöraqmi shamuykäyan!
JER.4.13	¡Guërra carrëtankunapis shukukuy wayranöraqmi shamuykäyan!
JER.4.13	¡Cawallunkunapis anka aywashqanpitapis mas shiwyaraylami cörriykäyämun!
JER.4.13	¡Kananchi kananlaqa!
JER.4.13	¡Manami imanöpa qeshpiytapis kamäpakunsinasu!>>
JER.4.14	Jerusalén runakuna, salvakuyänaykipaq jusalikuyta wanakur shonquykikunata maylayay.
JER.4.14	¡Imayyaqraq jusalikuylapaq yarpachakuykäyanki!
JER.4.15	Dan markapita pasa y Efraín jalqakunapita pasami desgracia chämunanpaq kaqta wilakaykäyämun.
JER.4.16	Sayno kaptinqa Jerusaléncho taqkunata y cercan nacionkunacho taqkunatapis wilayay karu nacionpita chikiqninkuna shamuykäyashqanta.
JER.4.16	Say chikiqninkunaqa Judá nacionman yaykur atacayänanpaqmi büllata rurar shamuykäyan.
JER.4.17	Jerusalénman chaykurmi corralaypa sapaskiyanqa.
JER.4.17	Chakrata shumaq saparaq qenchanömi saparäyanqa.
JER.4.17	Akrashqä runakunata sayno päsanqa conträ rikakuyashqanpitami.
JER.4.17	Noqa 
JER.4.18	Judá runakuna, mana cäsukuypa lutanta rurayashqaykipitami saynöqa päsayäshunkipaq.
JER.4.18	Sayno päsayäshuptiki fiyupa lakikur shonquykikunapis nananqaraqmi.
JER.4.19	¡Ay shonqulaw shonqu!
JER.4.19	¡Lakikuptï shonqü sapakayparaqmi nanaykun!
JER.4.19	¡Manami upälakuytapis kamäpaküsu!
JER.4.19	Pelyapaq 
JER.4.19	Soldädukuna shamur büllata ruraykäyaqtami wiyashkä.
JER.4.20	Yaparir yaparir desgracia päsamaptinsimi intëru nacionninsi ushakaykan.
JER.4.20	Posädakunansi toldunsikunatapis wayinsikunatapis elaqpitami ushakäsiyash.
JER.4.21	Guërracho cornëta waqamuqta ¡imayyaqraq wiyaykäshaq!
JER.4.21	Atacamaqninsi soldädukuna bandëran aptash shamuykäyaqta ¡imayyaqraq rikaykäshaq!
JER.4.22	<<Akrashqä runakunaqa mana tantiyakuq karmi nishqäta tantiyayansu.
JER.4.22	Paykunaqa mana tantiyakuq yarpayniynaq upa aywash wamranömi kaykäyan.
JER.4.22	Alitaqa manami imaypis rurayansu.
JER.4.22	Mana alita rurayänanpaqmi isanqa juiciunkunapis kan>>.
JER.4.23	Pasaypa ushakashta y sunyaraykaqtami kay nacionta revelacioncho rikashkä.
JER.4.23	Jana pasachöpis manami ima asikyaypis kashsu.
JER.4.24	Jirkakunatapis suksukyaykaqtami rikashkä.
JER.4.24	Lömakunatapis sinigano suksuykaqtami rikayashkä.
JER.4.25	Rikachakur manami pï runatapis rikashkäsu.
JER.4.25	Pishqukunapis lapanmi aywakuyash.
JER.4.26	Saynölami rikashkä ali wayuq chakrakunachöpis polvulana tumaykaqta.
JER.4.26	Lapan markakunatapis sunyaraykaqlatami rikashkä.
JER.4.27	<<Intëru kay nacioncho runakunata castigarpis manami lapan naciontaqa ushakäsishaqsu.
JER.4.28	Ushakäsinäpaq nishqätaqa cumplishaqmi.
JER.4.28	Ushakäsiptïqa kay pasapis fiyupami lakikunqa.
JER.4.28	Jana pasapis sakaymi rikakunqa.
JER.4.29	<<Cawallunkuna loqash
JER.4.29	Flëchan aptash shamuykäyaqta rikar lapanmi markapita qeshpir aywakuyanqa.
JER.4.29	Shatakuna y muntikuna rurinmanmi pakakuyanqa.
JER.4.29	Qaqa chawpinkunamanmi qeshpir wisakurkuyanqa.
JER.4.29	Lapan markakuna sunyaq quëdaptinmi pipis saycho tanqanasu.
JER.4.30	<<Sayno kananpaq kaykaptinqa ¿imatataq ruraykanki, Jerusalén?
JER.4.30	¿Imapaqnataq puka mödanatapis jatikunki?
JER.4.30	¿Imapaqnataq qori alhäjatapis churakunki?
JER.4.30	¿Imapaqnataq nawikitapis pintakunki?
JER.4.30	Kuyaylapaq kashqaykipis walälami.
JER.4.30	Kuyashqayki runakunapis
JER.4.30	Paykunaqa wanunaykitami munaykäyan.
JER.4.31	<<Qechpa wawanta qeshyakushpan qaparaqno qaparaykaqtami wiyaykä.
JER.4.31	Makilan soqpash qapararmi nin:
JER.4.31	<¡Kaychi kaylaqa! ¡Kananlapaqnachir karqäpis!
JER.4.31	¡Wanusikuqkunami wanusiyämanqa!> >>
JER.5.1	Tayta Diosmi nin:
JER.5.1	<<Jerusalén cällikunapa puriyashpayki shumaq rikachakuyay.
JER.5.1	Intëru pläzakunachöpis shumaq ashiyay.
JER.5.1	Saycho mä ¿tariyankikush juklaylatapis ali ruraq runata y rasun kaqlata parlaqta?
JER.5.1	Juklaylatapis tariyaptikiqa Jerusaléncho taqkunata perdonashaqmi.
JER.5.2	Say runakunaqa jutïcho jurarpis janan shonqulami jurayan>>.
JER.5.3	Jerusalén runakunaqa corrigir astaptikipis manami wiyakuyäshunkisu.
JER.5.3	Castigaptikipis manami cäsukuyäshunkisu.
JER.5.3	Paykunapa shonqunkunapis ruminömi kaykan.
JER.5.3	Mana wanakuypami
JER.5.4	Saymi nirqä: <<Mana yachaq runakunalami lutantaqa rurayan.
JER.5.5	Rïcu runakunami isanqa 
JER.5.5	Sayno yarparmi aywarqä rïcu runakuna kaqman Tayta Dios munashqanno kawayashqanta o mana kawayashqantapis musyamunäpaq.
JER.5.5	Paykunawan parlarmi tantiyarqä rïcu runakunapis Tayta Dios munashqanno mana kawayashqanta.
JER.5.6	<<Sayno kayaptinmi muntipita yarqamuq leonno paykunata wanusiyanqa.
JER.5.6	Sunyaq jirkapita shamuq 
JER.5.6	Marka nawpankunachöpis wanusiyänanpaq tigrikunanömi shuyaraykäyanqa.
JER.5.6	Markapita yarquq kaqtaqa pitapis wanusiyanqami.
JER.5.6	Sayno päsanqa yaparir yaparir mana cäsukuypa jusalikuyashqanpitami>>.
JER.5.7	Tayta Diosmi nin:
JER.5.7	<<Israel runakuna, sayno kayashqaykipita manami perdonayäshaykisu.
JER.5.7	Qamkunaqa kacharimar mana rasunpaypa kaq dioskunapa jutinchömi juraykäyanki.
JER.5.7	Lapan nistäyashqaykitapis kamaripaykaptïmi juk warmi runanta kachariqno qamkunapis kachariyämashkanki.
JER.5.8	Saynöpis yëwata wera cawallu qatiraqnömi runa mayikipa warminta qatiraykäyanki.
JER.5.9	Say niraq runakunataqa mana kuyapaypami castigashaq.
JER.5.10	<<Jerusalén runakuna üva chakrä kash karpis kananqa manami chakränasu kaykäyan.
JER.5.10	Sayno kaykaptinqa contrankuna shayämur corral jananpa yaykuykur üva chakräta ushakäsiyäsun.
JER.5.10	Üva rämakunata walluyäsun.
JER.5.10	Isanqa lapanta ama ushayäsunsu.
JER.5.11	Israel runakuna y Judá runakuna yapay yapay promitiykäyämarpis manami cumpliyansu.
JER.5.11	Noqa 
JER.5.12	<<Jerusalén runakunaqa manakaqman churamarmi nikäyan:
JER.5.12	<Tayta Dios manami kansu.
JER.5.12	Ima desgraciapis manami päsamäshunsu.
JER.5.12	Manami kanqasu guërrapis ni muchuypis.
JER.5.13	Tayta Diospa profëtankuna wilakuyashqanpis wayrano päsaqlami kaykan.
JER.5.13	Paykunataqa manami pipis kachamushsu.
JER.5.13	Castïgu shamunanpaq wilakuyashqanpis kikinkunapaq kasun> >>.
JER.5.14	Saymi lapanta mandaq 
JER.5.14	<<Sayno niyashqanpitami jutïcho wilakushqayki ninano kanqa.
JER.5.14	Say runakunanami yantano kayanqa.
JER.5.14	Nina rupaptin yanta ushakashqannömi paykunapis ushakäyanqa.
JER.5.15	Israel runakuna, qamkunata atacayäshunaykipaqmi karu nación runakunata pushamushaq.
JER.5.15	Say runakunaqa unaypita pasa fiyupa kalpayuqmi kaykäyan.
JER.5.15	Paykunapa parlakuyninta mana tantiyarmi imata niyashqantapis tantiyayankipaqsu.
JER.5.16	Paykunaqa lapanpis geniulantaqmi kaykäyan.
JER.5.16	Pitapis flëcharqa wanurasiyanmi.
JER.5.17	Lapan mikuynikikunatapis ushakurkuyanqami.
JER.5.17	Surikikunatapis warmita y olqutapis wanusiyanqami.
JER.5.17	Uyshaykikunata, wäkaykikunata, üvaykikunata y hïgusnikikunatapis ushakurkuyanqami.
JER.5.17	Yärakuyashqayki ali sigurash markakunatapis ushakäsiyanqami>>.
JER.5.19	Desgracia päsaptinmi runakuna tapuyäshunki imanir Diosnin kaykar sayno rurashqäta. Sayno tapuyäshuptiki kayno ninki: <Qamkunaqa Tayta Diosta qonqaykurmi juklä nacionkunapa diosninkunata nacionnikicho adorayashkanki. Saypitami qamkunapis juklä nación runakunata jäpa nacioncho sirviyankipaq> >>.
JER.5.20	Tayta Diosmi nin:
JER.5.20	<<Jacobpita miraq Israel runakuna y Judá runakuna, wilakushqäta wiyayämay.
JER.5.21	Nawiyuq kaykarpis mana rikaq,
JER.5.21	rinriyuq kaykarpis mana wiyaq,
JER.5.21	mana tantiyakuq upa runakuna, wiyayämay.
JER.5.22	Noqa 
JER.5.22	Lamar yaku kuchunpita masta mana püsananpaqmi aqushata churapashkä.
JER.5.22	Saymi wayrawan mayjina pulchaqyarpis püsansu.
JER.5.22	Lamarpis cäsukaykämaptinqa ¿imanirtaq qamkunaqa cäsukayämankisu?
JER.5.22	Castigakuq kashqäta musyaykarqa ¿imanirtaq 
JER.5.23	<<Qamkunaqa ishkay cära y mana wiyakuq karmi kachariykayämashkanki.
JER.5.24	Shonqulaykikunachöpis manami yarpachakuyankisu 
JER.5.24	Manami tantiyayankisu mikuyniki ali qeshpinanpaq punta kaq tamyata y qepa kaq tamyatapis noqaraq tamyasimushqäta.
JER.5.24	Saynöpis manami tantiyayankisu mikuynikikunata shuntayänaykipaqpis noqaraq usyäsimushqäta.
