MAT.1.1	Yesu Kerisi yi degwa lo sënë: Yesu saga sën Davit yi mewis, geDavit saga sën Abraham yi mewis.
ACT.18.16	Log tii sir to deyah dobnë.
ACT.18.17	Nebë saga, lob tum alam Yuda deggërin yah beyö dejom hir dub-supinsën-yi ala ti arë nebë Sostenes ahon, bedeveek yi loḳ begganġ-ġaġek-yi mala. Rëḳ Galio su nër ġaġek ti raḳ sir rë.
ACT.18.18	Paulus nedo Korint hus ading teka ving rë, loḳ jom Kerisi-yi-alam nemaj geraḳ ya yaġ in na distrik Suria. Lob Priskila luho regga Akwila deya ving yi. Lööho detöḳ ya Senkria, lob mëm Paulus keping yu viis in buk yah verup loḳ buk sën aye ggërin yi neggëp Anutu mala wirek lo bë su rëḳ keping yu rë lo. 
ACT.18.19	Log ya deverup Epesus lob vuu luho medenedo nyëġ sënë, geyö ti luḳ ya dub-supinsën-yi ayo menër ġaġek vu alam Yuda. 
ACT.18.20	Lob alam saga denër vu yi bë medo buk la geving sir rë, rëḳ su sepa loḳ ayej rë. 
ACT.18.21	Gaḳ jom nemaj gesemu ġaġek vu sir bë, “Nabë Anutu su nanërin sa rë, og sëḳ nom berup vu ham buk ngwë gökin.” Log raḳ ya yaġ ti ggëp Epesus meya. 
ACT.18.22	Yaġ ya meya nedo Sisarea, lob Paulus raḳ ya Yerusalem bejom Kerisi-yi-alam nemaj, log mëm luḳ meyah Antiok.
ACT.18.23	Paulus ya nedo buk la ggovek, log kedi raḳ vu Antiok meyah beya meyoh vu distrik Galata los Prugia hir nyëġ mahen mahen pin meya nevo ġadu loḳ Kerisi-yi-alam pin ayoj.
ACT.18.24	Lob Yuda ti vu Aleksandria yam nedo Epesus, arë nebë Apolos. Sën yi mehö-vengwënġsën-yi, geyö raḳ Anutu-yi-ḳapiya ni nivesa rot. 
ACT.18.25	Detahu yi loḳ Mehöböp yi aggata yö wirek vorot, gaḳ Yesu og su raḳ ni rë. Rëḳ ayo niwëëk in bë nanër bengö ranġah, lob nër niröp rot vu sir. Gaḳ mëm Jon og mëm lë yi buk sën neripek alam raḳ bël lo raḳ mala, 
ACT.18.26	om mëm mehö saga nër los ayo niwëëk ata loḳ alam Yuda hir dub-supinsën-yi. Loḳ mëm Priskila luho Akwila denġo yi lob mëm deḳo yi ya vu luho beluho denër Kerisi yi aggata tato niröp rot vu yi.
ACT.18.27	Lob nahub gApolos kwa vo bë na Akaya, lob Kerisi-yi-alam vu Epesus deyoġek in aye bë gevonġ nabë sënë, lom dekevu ḳapiya vu Yesu yi hur vu Akaya bë degeḳo yi jaḳ. Apolos töḳ ya Akaya lob Anutu vonġ semusemu vu yi beloḳ vu alam sën ayoj neya timu vu Yesu lo niwëëk rot. 
ACT.18.28	In niwëëk rot benër yah bedahun alam Yuda hir ġaġek raḳ alam pin malaj, getato vu sir bë Anutu-yi-ḳapiya nër meneggëp ranġah nebë Yesu yiḳ yi Mehö sën Anutu ggooin raḳ in bë geḳo hil nah lo.
ACT.19.1	Apolos nahën nedo Korint, gePaulus yoh ya distrik Asia vuheng atov metöḳ ya Epesus, lob töḳ raḳ Kerisi-yi-alam la ggëp sagu. 
ACT.19.2	Lob loḳ tepëḳ in sir bë, “Sën ham ayomin ya timu vu Yesu lo, lob maḳ Anon Vabuung loḳ yam ggërin ham ayomin ving-a?” Loḳ denër yah vu bë, “Ma! Mehöti su nër Anon Vabuung ti bengö mehe hanġo rë.” 
ACT.19.3	Lob Paulus loḳ tepëḳ yah ggökin bë, “Log deripek ham raḳ bël nebë tena?” Lom denër yah vu bë, “Deripek he nebë sën Jon neripek alam lo.”
ACT.19.4	Lom Paulus nër yah bë, “Wirek Jon nër vu alam bë degërin ayoj bedejipek bël, log nër vu sir ving bë nahub rëḳ ayoj na timu vu mehö sën rëḳ tamuin yi menam lo. Mehö sagi arë nebë Yesu.” 
ACT.19.5	Denġo Paulus yi ġaġek saga lob denër meripek sir raḳ Mehöböp Yesu arë. 
ACT.19.6	Lob Paulus bë nema raḳ sir, lob pevis bAnon Vabuung loḳ yam ggërin ayoj medenër alam nyëġ ngwë ayej aggagga, bedenenër ġaġek nebë alam-denenër-ġaġek-ranġahsën. 
ACT.19.7	Sir yoh vu nemadluho bemaḳ videk luu.
ACT.19.8	Log Paulus loḳ ya alam Yuda hir dub-supinsën-yi betateḳin Anutu-yi-nyëġ degwa ranġah vu sir bejij sir yoh vu kwev löö. 
ACT.19.9	Rëḳ alam la ayoj niwëëk rot gesu denevonġ ving rë. Gedenenër ġaġek nipaya raḳ Mehöböp yi aggata raḳ alam malaj. Lob tum Paulus kehe yi in sir geya, lob ḳo alam sën denesepa loḳ yi ġaġek lo raḳ menenër ġaġek vu sir yoh vu buk pin ggëp Turanus yi dub-tateḳinsën-ġaġek-yi. 
ACT.19.10	Bevonġ nebë sënë yoh vu ta luu, lob alam Yuda los Grik pin sën denedo Asia lo denġo Mehöböp yi ġaġek.
ACT.19.11	Anutu vonġ nġaa böp böp loḳ Paulus nema, 
ACT.19.12	lob tum alam deneḳo agesip los tob la sën Paulus navi neraḳ lo beya denetunġ raḳ alam nijraḳsën, lob hir niraḳsën nemaya. Gememö to deneya in sir la ving.
ACT.19.13	Log alam Yuda sën denevenġev raḳ tupaaḳ medeneḳo loḳ nyëġ pin in bë degetii memö na in alam gedegeḳo monë jaḳ lo la denër Mehöböp Yesu arë gedeneseggi in bë degetii memö na in alam. Bedenenër bë, “Ham gwevonġ noh vu sayeġ in sa nanër vu honġ raḳ Yesu arë sën Paulus nër ġaġek raḳ yi lo!”
ACT.19.14	Lob alam Yuda hir alam-deneḳo-seriveng hir ggev ti arë nebë Siva, lob nalu lo nemadvahi-bevidek-luu denevonġ huk nebë sënë. 
ACT.19.15	Rëḳ memö nër yah vu sir bë, “Yesu saga seraḳ ni. Geseraḳ Paulus ni ving. Gaḳ mu ham re lo?” 
ACT.19.16	Lob mehö sën memö negwanġ ya yi lo, pesönġ ggök sir gesis sir pin bekweeḳ hej tob bedeḳo nipaya rot, bedepiv ḳöḳ medeveya meto deyah dobnë los ahëj töḳsën. 
ACT.19.17	Ggovek rëḳ alam Yuda los Grik pin sën denedo Epesus deraḳ nġaa sënë ni, lob sir pin deggöneng böpata gedeḳo Mehöböp Yesu arë raḳ. 
ACT.19.18	Log alam sën ayoj neya timu vu Yesu lo vahi deyam ving medenër sën denetunġ bu raḳ nġaa pin lo ranġah gedevuu ya. 
ACT.19.19	Galam nġahi sën denevonġ parahek los naböö lu nġaa lo desupin hir ḳapiya parahek los naböö yi gedevesi raḳ ya nengwah raḳ alam pin malaj. Lob detevin ḳapiya sënë yi monë sën denebaġo raḳ lo, lob yoh vu monë ġahis 50,000. 
ACT.19.20	Lob Mehöböp yi huk niwëëk raḳ nebë sënë genetato yi niwëëk bë yi böpata bekesuu.
ACT.19.21	Paulus lë nġaa pin saga ggovek, log kwa vo bë na distrik Masedonia los Akaya loḳ mëm nah mena Yerusalem. Nër bë, “Sena sagu govek rë, loḳ sena ġalë Rom geving.” 
ACT.19.22	Lob vonġ yi mehö luu sën deneloḳ vu yi lo demuġin medeya distrik Masedonia, Timoti lu Erastus. GePaulus yö ti nahën nedo ggëp distrik Asia.
ACT.19.23	Lob loḳ buk saga, alam demehoo sir in Yesu yi aggata gebë dengis sir raḳ degwa nebë sënë: 
ACT.19.24	Mehöti arë nebë Demetrius nedo belosho yi hur nġahiseḳë denesemu nġaa raḳ seriva. Denesemu anutu-avëh-kuungsën Artemis yi dub ḳenu mahen mahen raḳ seriva in alam debaġo. 
ACT.19.25	Lob Demetrius sënë supin yi hur pin ving alam sën yiḳ denevonġ huk nebë agi genër vu sir bë, “Alam-e! Ham nġo raḳ ni bë hil nehaḳo monë nivesa raḳ hil huk seriva sënë. 
ACT.19.26	Lob ham raḳ ni ving nebë mehö sën Paulus lo loḳ alam nġahiseḳë rot ahëj, beggërin ayoj raḳ yi ġaġek sën nenër nebë anutu pin sën hil nesemu raḳ nemad lo, saga og su anutu anon rë. Lob su vonġ nebë sënë vu hil Epesus mu rë, gaḳ vonġ yoh vu distrik Asia pin ving. 
ACT.19.27	Lob Paulus yi ġaġek sagi su rëḳ gevonġ balam degeruu demij vu hil huk-monë-yi sënë mu rë. Gaḳ rëḳ dahun anutu-avëh böp Artemis yi dub vabuung sënë na geving. Gwëbeng alam distrik Asia los alam vu dob pin deneḳo arë raḳ, rëḳ mu nabë Paulus medo nanër ġaġek nabë saga, og rëḳ hil anutu-avëh böpata los niwëëk sënë rëḳ natu nġaa meris barë nama na.”
ACT.19.28	Denġo ġaġek sënë lob ahëj sengën böpata rot gedetahi rot bë, “Hil Artemis vu Epesus yi böpata rot!” 
ACT.19.29	Detahi böpata rot nebë saga galam pin vu nyëġ saga dereseeh rur böpata mekedi deya. Dekedi loḳ ti medeseröġ medeya begganġ-supinsën-yi, lob dejom Gayus luho Aristarkus ahon mededadii luho ya ving sir. Luho vu distrik Masedonia rëḳ luho deyam ving Paulus. 
ACT.19.30	Paulus vonġin bë begi na sir vuheng benanër ġaġek vu sir, rëḳ Yesu yi hur deggërin yi. 
ACT.19.31	Log alam distrik Asia hir ggev böp la, og losho Paulus yö deneraḳ nij, om devonġ ġaġek ya vu yi ving bedenër niwëëk vu yi bë su doḳ na begganġ-supinsën-yi.
ACT.19.32	Lob alam nġahiseḳë saga deneketul loḳ rot, in sir vahi denetahi ġaġek agga ti gevahi denetahi agga ngwë, lob alam vahi su deraḳ ġaġek sën desup sir in lo degwa ni rë. 
ACT.19.33	Lob alam Yuda derot Aleksander ya nare malaj galam vahi denër bë mëm yö neraḳ ġaġek degwa ni. Lom Aleksander varah nema raḳ gebë nanër ġaġek tato vu sir. 
ACT.19.34	Rëḳ ma gederaḳ ni bë yi Yuda ti, lob sir pin ayej loḳ ti gedenetahi rot bë, “Hil Artemis vu Epesus yi böpata rot!” Detahi nebë saga yoh vu nyëġ mala luu.
ACT.19.35	Medo denevonġ medenevonġ, loḳ mëm mehö sën tu nyëġ böp Epesus hir ggev benekevu hir ġaġek lu nġaa lo vonġ bededuj ma, log nër vu sir bë, “Ham alam Epesus! Mehö re rëḳ duġin nyëġ böp Epesus nabë neġin avëh böp Artemis yi dub los ḳenu ġelönġ sën luḳ yam vu yaġek lo? 
ACT.19.36	Mehöti su yoh vu bë keyëh ġaġek sagi rë. Om ham ayemin nama, geham su pevis megwevonġ nġaa ti. 
ACT.19.37	Ham nġo ḳo mehö luu sënë yam, rëḳ mu luho su deggodeḳ dub yi nġaa ti rë. Geluho su denër pelësën raḳ hil anutu-avëh rë, gema! 
ACT.19.38	Om nabë Demetrius losho yi hur hir ġaġek ti neggëp vu mehöti, og buk-ġaġek-yi neggëp. Gekiap böp nedo. Om yö rëḳ genġo hir ġaġek. 
ACT.19.39	Genabë ham ġaġek la nahën neggëp, og ham semu doḳ supinsën yi buk niröp. 
ACT.19.40	Rëḳ mu alam Rom rëḳ denanër hil nabë hil hevonġ beġö verup gwëbeng gedegwa ma! Genabë dedoḳ tepëḳ in hil in supinsën nipaya sënë degwa, og ġaġek ti su neggëp in bë hil rëḳ nanër doḳ nah vu sir rë!” 
ACT.19.41	Mehö sën nekevu ġaġek lu nġaa lo nër nebë sënë, log kevoh supinsën ya bedeketëḳin sir.
ACT.20.1	Ġaġek sënë ahë yes raḳ ggovek, log Paulus supin Yesu yi hur lo deyam vu yi, menër ġaġek vahi vu sir in bë bo niwëëk doḳ ayoj. Log jom nemaj geya raḳ beya distrik Masedonia. 
ACT.20.2	Ya meyoh vu nyëġ pin menër ġaġek nġahiseḳë in ġadu Kerisi-yi-alam beya verup dob Grik, 
ACT.20.3	lom nedo sagu yoh vu kwev löö ggovek, log bë jaḳ yaġ mena Suria. Rëḳ nġo bë alam Yuda dejoo ġaġek bë dengis yi menadiiḳ, lom sepa vaha meyoh distrik Masedonia beyah. 
ACT.20.4	Yah log Purus nalu Sopater vu Beroya, gAristarkus lu MonSekudus vu Tesalonika, geGayus vu Derbe, geTimoti, geTukikus luho Tropimus vu distrik Asia, bedeneya ving yi. 
ACT.20.5	Alam sënë demuġin meya deneġin alu Paulus vu Troas. 
ACT.20.6	Log alu halë Buk-ggöksën-yi ggovek log alu hevuu Pilipi galu araḳ yaġ maya. Alu aya buk nemadvahi loḳ mëm atöḳ ya vu sir ggëp Troas behe nado soda ti.
ACT.20.7	Lob Buk-sewahsën-yi sehuksën, lob he supin he in bë aġa nos los Pasa. Lob Paulus nër ġaġek vu alam, in monbuk og bë na jaḳ. Lob nër ġaġek hus ading rot vu sir bebuk vuheng raḳ. 
ACT.20.8	Lob detaggi loḳ ram nġahiseḳë benare loḳ begganġ ayo vavunë sën he nasupin he loḳ lo. 
ACT.20.9	Lob maluh maġëm ti arë nebë Etikus nedo raḳ veluung avi ayööng yi, gePaulus nenër ġaġek hus ading rot vu sir. Lob Etikus mala neggëp rot, lob ggëp yiing lom vës vu begganġ ayo ti sën tëb netu löö vu vavunë lo, beyam dob. Lob deluḳ meya devër yi raḳ rëḳ diiḳ. 
ACT.20.10	Loḳ Paulus luḳ meya tabuu mehö maġëm saga genër bë, “Ham su newamin jaḳ, in anon nahën nedo loḳ yi.”
ACT.20.11	Lob Paulus raḳ yah vavunë belosho alam saga debu brët medegga. Ggovek loḳ nër ġaġek hus adingseḳë vu sir rot benyëġ heng, log ya raḳ. 
ACT.20.12	Gedeḳo maluh maġëm sënë medeya. Rëḳ su diiḳ rë genedo vesa, lob kwaj vesa raḳ yah.
ACT.20.13	Paulus nër muġin bë noh dob mena geto Asos, lob mëm he ġaḳo yi jaḳ nom yaġ vu sagu. Lob he raḳ yaġ bamuġin baya neheġin yi ggëp Asos. 
ACT.20.14	Loḳ Paulus yök to metöḳ vu he, lob he haḳo yi raḳ yom yaġ mehe los aya Mitulene. 
ACT.20.15	He kesuu Mitulene gaya, lob he hëp benyëġ heng, gehe ya verup dus vu Kios. Log he ya bebuk loḳ yah geheng, lob mëm he ya matöḳ ya Samos. Loḳ he hëp yah beheng to, log mëm he ya matöḳ ya Miletus. 
ACT.20.16	Paulus kwa vo vorot bë kesuu Epesus gena in nilël bë su medo distrik Asia panġsën. Gaḳ bë pevis in kwa vo bë gelë Buk-supinsën-yi sën denenër bë Pentikos lo, gëp Yerusalem.
ACT.20.17	He töḳ ya Miletus, log Paulus vonġ ġaġek ya Epesus in Kerisi-yi-alam hir ggev lo bë denam vu yi. 
ACT.20.18	Deverup vu yi lob nër vu sir bë, “Ham nġo raḳ nġaa pin sën sa nehevonġ wirek loḳ sën sa nahën neverup mewis ggëp distrik Asia lo ni. 
ACT.20.19	Ham raḳ ni bë alam Yuda dejoo ġaġek vunsën beron nġahiseḳë in bë dengis sa, lob saga vo maggin vu sa panġsën. Rëḳ sa su haḳo sa raḳ rë, gaḳ sa malaġ ruḳ keseh in Mehöböp yi huk gesa medo nehevonġ. 
ACT.20.20	Sa su vun ġaġek nivesa ti rë, gaḳ senër ranġah behevonġ nġaa pin in bë doḳ vu ham. Gesenër ranġah vu ham loḳ ham supinsën, geloḳ ham begganġ ayo ving. Besagaḳ ham raḳ ni. 
ACT.20.21	Senër ġaġek niwëëk raḳ buk vu alam Yuda, gevu alam Grik in degërin ayoj nah vu Anutu, gayoj na timu vu hil Mehöböp Yesu. 
ACT.20.22	Om ham gwenġo rë! Anon Vabuung negejiiin sa bë sena Yerusalem. Lob maḳ va rëḳ natöḳ vu sa vu sagu? Sa duġin. 
ACT.20.23	Rëḳ Anon Vabuung tateḳin vu sa yoh vu nyëġ pin sën seya lo meseraḳ ni bë sëḳ natöḳ vu ḳarabus genġaa maggin nġahiseḳë rëḳ deġinengin sa. 
ACT.20.24	Rëḳ sa su kwaġ nevo naviġ sënë bë nġaa anon rë. Sa su niġ wëëk ata bë najom ahon rë, gaḳ sa bë sepa doḳ aggata sën sa nesepa loḳ lo, benama na rë. Sa bë semu huk sën sa haḳo vu Mehöböp Yesu lo na. Huk sën sa nanër Bengö Nivesa jaḳ Mehöböp yi semusemu lo. 
ACT.20.25	Om ham gwenġo rë! Wirek seyök vu ham besa haḳo loḳ menanër ġaġek raḳ Anutu-yi-nyëġ. Rëḳ gwëbeng seraḳ ni bë ham su rëḳ gwelë sa malaġ gökin nah rë. 
ACT.20.26	Nebë saga, om gwëbeng sa bë nanër vu ham nabë: Nabë ham ti nadiiḳ bemala nama, og su degwa vu sa rë, 
ACT.20.27	in sa su höneng rë, gaḳ sa tateḳin Anutu kwa pin los dahis vu ham. 
ACT.20.28	Om ham gweġin ham nivesa, gegweġin Kerisi-yi-alam vahi geving, in Anon Vabuung ggooin ham raḳ tu alaj. Ham gweġin ham nivesa beham gweġin Mehöböp yi alam sën yö baġo sir raḳ niḳöḳ lo geving. 
ACT.20.29	In seraḳ ni bë sëḳ ġevuu ham gesena, log rëḳ alam ġaġek kuungsën la nabë anöö bemën nij paya rëḳ desarömin sir geving ham, lob degevonġ paya vu Kerisi-yi-alam. 
ACT.20.30	Geham ggev la rëḳ dekedi medenanër ġaġek kuungsën la in dedadii Kerisi-yi-alam nah detamuin sir. 
ACT.20.31	Om ham gweġin ham noh vu buk. Ham kwamin bo nabë sa tato aggata niröp vu ham buk los ranġah yoh vu ta löö. Gesa nasu in ham pin ti ti.
ACT.20.32	Lob gwëbeng sa hetunġ ham loḳ ya Anutu nema, geloḳ yi ġaġek semusemu ayo, lob saga yoh vu bë bo niwëëk vu ham gemëm ham rëḳ gweḳo nġaa nivesa vesa pin sën Anutu rëḳ gevonġ vu alam pin sën yö ggooin sir raḳ tu yi alam lo. 
ACT.20.33	Sa su malaġ anon in mehöti yi seriva ma goor ma tob lu nġaa ti rë. 
ACT.20.34	Gaḳ ham nġo raḳ ni bë sa nemaġ sënë yö jom huk beloḳ vu sa in nġaa sën sa naraḳ vu in lo. Geneloḳ vu alam sën denesepa sa lo ving. 
ACT.20.35	Sa nehevonġ huk nebë sënë in tato vu ham nabë hil ġevonġ huk niwëëk in hil adoḳ vu alam seḳëj masën. Gehil kwad bo ġaġek sën Mehöböp Yesu yö nër lo nebë, ‘Mehöti sën nabë bo nġaa vu mehö ngwë, gesu kwa bo nabë rëḳ geḳo nyëvewen doḳ nah rë lo, og kwa vesa rot kesuu kwa-vesasën sën kwa vesa in nġaa sën mehö ngwë denevo vu yi lo.’”
ACT.20.36	Paulus nër ġaġek saga ggovek, log yun lus gejom raḳ ving alam ggev pin. 
ACT.20.37	Lob sir pin desu rot gedekebi Paulus ahon gedemul yi in bë rëḳ gevuu sir gena. 
ACT.20.38	Ayoj maggin rot in Paulus nër bë su rëḳ degelë yi gök nahin rë. Log mëm deḳo yi meya detunġ raḳ ya yaġ.
ACT.21.1	He hevuu sir gehe raḳ ya yaġ maya, baya heto sesor niröp maya Kos. Geheng to lob he ya rot batöḳ ya Rodos. Lob he kesuu Rodos gehe ya verup Patara. 
ACT.21.2	Lob he töḳ raḳ yaġ ti vu saga geneya los Ponisia. Lob he raḳ ya baya. 
ACT.21.3	He ya heto halë Kupros neggëp ya los he nemamin ḳëj, lob he kesuu gaya rot baya neto nyëġ böp Suria maloḳ ya Ture. In yaġ bë getunġ ḳupeḳ duḳ gëp nyëġ sagu.
ACT.21.4	Lob he ya matöḳ raḳ Kerisi-yi-alam la vu sagu, lob he nado soda ti ving sir. Loḳ Anon Vabuung vër kwaj lob denër vu Paulus bë su na Yerusalem. 
ACT.21.5	Rëḳ ma gehe buk ggovek ya, lob he hevuu nyëġ sagu gaya, lob Kerisi-yi-alam pin ving hir avëh los hur mahen deli he vu begganġ ya loo nenga. Lob he yun lupin ggëp loo nenga genajom raḳ. 
ACT.21.6	Log mëm he jom nemamin, log he raḳ ya yaġ baya gedeyah bej.
ACT.21.7	He raḳ yaġ bekesuu Ture gaya rot batöḳ ya Petolemais. Lob he jom Kerisi-yi-alam lo nemaj gehe nado buk ti ving sir. 
ACT.21.8	Lob monbuk lob he vu Petolemais batöḳ ya Sisarea, behe loḳ ya sinarë Pilip yi begganġ benado ving yi. Alam nemadvahi-bevidek-luu sën deloḳ vu sinarë nyëdahis in nos vu Yerusalem wirek lo ti yi. 
ACT.21.9	Lob nalu avëh avö lubeluu sën maluh su dehov sir rë lo, lob sir avëh-denenër-ġaġek-ranġahsën.
ACT.21.10	He nado Sisarea buk la ving rot, lob mehö-nenër-ġaġek-ranġahsën ti arë nebë Agabus vu distrik Yudea meluḳ meyam Sisarea. 
ACT.21.11	Yam in bë gelë he, lom ḳo Paulus yi ḳabi beduu yö vaha los nema raḳ, log nër bë, “Anon Vabuung nër bë, ‘Alam Yuda vu Yerusalem rëḳ denaduu ḳabi sënë ala nabë sënë, log rëḳ debo yi doḳ na alam-yu-ngwë nemaj.’” 
ACT.21.12	He hanġo nebë sënë, lob he los alam pin sën he nado loḳ begganġ ti saga lo anër niwëëk vu Paulus bë su jaḳ mena Yerusalem. 
ACT.21.13	Loḳ Paulus nër ġaġek yom vu he bë, “Nebë va sën ham nesu benevonġ mesayoġ maggin neraḳ-ë? Seyoh vu bë sena ḳarabus. Gaḳ nabë sa nadiiḳ in Mehöböp arë geving gëp Yerusalem, og yiḳ yoh vu ving!” 
ACT.21.14	Lom he su ayoh vu bë rëḳ aġërin kwa rë, om sën he ayemin ma, gehe nër bë, “Om maam anon jaḳ noh vu Anutu kwa!”
ACT.21.15	Ggovek log he semu nġaa nġaa loḳ, garaḳ maya Yerusalem. 
ACT.21.16	Lob Kerisi-yi-alam la vu Sisarea desepa he bedeli he ya vu mehö sën he bë ana medo geving yi lo. Yi Kupros ti barë nebë Menason, sën yö vonġ ving wirek nyëmuġinsën lo. 
ACT.21.17	He töḳ ya Yerusalem, lob Kerisi-yi-alam deḳo he raḳ los kwaj vesa. 
ACT.21.18	Gemonbuk lob Paulus ya ving he, behe ya halë Yakobus. Lob alam ggev pin denedo ving yi. 
ACT.21.19	Paulus jom nemaj ggovek, log turin huk pin sën Anutu ġadu yi bevonġ vu alam-yu-ngwë lo los dahis vu sir.
ACT.21.20	Denġo lob deḳo Anutu arë raḳ, loḳ tum denër vu yi bë, “Ari! Ġeraḳ ni bë alam Yuda raḳ neggëp mehömehö detu Kerisi-yi-alam ggovek ya, lom denesepa loḳ horek sën Moses ḳo agi niwëëk ata. 
ACT.21.21	Rëḳ denenġo bë ġenenër vu alam Yuda sën denedo ving alam-yu-ngwë lo bë degevuu Moses yi horek na, geġenenër bë su degerah naluj navij, gesu desepa doḳ nġaa wirek hen gökin. 
ACT.21.22	Om hil rëḳ ġevonġ nabë va? Yönon rot, rëḳ degenġo ġaġek nabë ġeyam ggovek ya. 
ACT.21.23	Om ġepevis begwevonġ nġaa noh vu sën he bë nanër vu honġ agi. He alam lubeluu denër ġaġek ti venuh neggëp Anutu mala. 
ACT.21.24	Om gweḳo alam saga, beġesepa doḳ horek pin sën gevonġ beham nimin veseek jaḳ gëp Anutu mala lo, gegwetunġ monë natu seriveng in sir gedekeping yuj viis na. Gwevonġ nabë sënë, og alam pin rëḳ dejaḳ ni nabë ġaġek sën denenër raḳ honġ lo, og anon ma. Gemëm yö rëḳ dejaḳ ni nabë ġenesepa loḳ Moses yi horek ving. 
ACT.21.25	Gaḳ alam-yu-ngwë sën detu Kerisi-yi-alam lo, og hil ḳevu ḳapiya ya vu sir ggovek ya banër ġaġek sën hil ajoo wirek lo vu sir bë: Degeġin sir nivesa, gesu dega reggu sën alam denesis in bë degetunġ seriveng vu anutu-kuungsën lo, gesu dega ḳöḳ, gesu dega reggu sën alam deneseyu kwaj medenediiḳ lo, gesu degevonġ baggëb.”
ACT.21.26	Nebë saga, lob Paulus ḳo alam saga monbuk belosho desepa loḳ horek pin sën gevonġ benij veseek jaḳ gëp Anutu mala lo. Log loḳ ya dub-vabuung-böp ving benër buk sën buk-niveseeksën-yi govek na lo tato vu alam-deneḳo-seriveng lo. Buk sën degetunġ seriveng balam-deneḳo-seriveng debesi jaḳ jepö vu sir lo.
ACT.21.27	Buk-niveseeksën-yi nemadvahi-bevidek-luu saga dus raḳ bë nama na, loḳ alam Yuda la vu distrik Asia delë Paulus genedo loḳ dub-vabuung-böp ayo, lob deloḳ alam pin ahëj bahëj sengën raḳ. Lob dekedi dejom Paulus ahon 
ACT.21.28	gedetahi bë, “Ham alam Israel, ham doḳ vu he! In mehö sagi nenër vu alam yoh vu nyëġ pin bë dedahun hil hed alam los hil horek gedub-vabuung-böp sagi geving. Beḳo alam Grik la loḳ yam dub-vabuung-böp sënë ving bevonġ paya vu nyëġ vabuung sënë!” 
ACT.21.29	Denër nebë sënë in delë Tropimas vu nyëġ böp Epesus genedo Yerusalem ving Paulus, lob dekuung bë Paulus ḳo yi loḳ ya dub ayo ving.
ACT.21.30	Nebë saga, lob alam Yerusalem pin ahëj sengën raḳ, lob deseröġ beya dejom Paulus ahon, gededadii to meyah in dub-vabuung-böp. Gedepevis bedevehii dub yi repinġ pin.
ACT.21.31	Devonġin bë dengis Paulus menadiiḳ, rëḳ bengö ya verup vu Rom hir alam-beġö-yi losho alaj bë beġö verup beyoh vu Yerusalem pin. 
ACT.21.32	Lob pevis beḳo alam-beġö-yi la, geyi kapten, bedeseröġ medeluḳ medeya vu sir. Yuda delë alam-beġö-yi losho alaj, lob devuu Paulus gesu desis rë. 
ACT.21.33	Lob alam-beġö-yi alaj ya dus bejom Paulus ahon genër vu yi alam-beġö-yi bededuu ahon raḳ sëng luu.
ACT.21.33	Log loḳ tepëḳ in sir bë, “Mehö re sënë? Vonġ va paya?” 
ACT.21.34	Rëḳ alam yu böpata, om detahi ġaġek ya niḳelap bededun böp rot. Lob alam-beġö-yi alaj su yoh vu bë genġo ġaġek degwa nivesa rë, lom nër vu alam-beġö-yi bë degeḳo Paulus doḳ na hir ḳatum ayo. 
ACT.21.35	Lob Paulus ya verup dus vu ḳatum sënë yi lël lob alam nij wëëk rot bë dengis yi menadiiḳ, lob alam-beġö-yi su deyoh vu bë degërin yi nivesa rë, lom devaḳu yi ya vavunë. 
ACT.21.36	Galam pin denesepa sir bedetahi bë, “Ġengis menadiiḳ!”
ACT.21.37	Alam-beġö-yi bë degeḳo Paulus doḳ na hir ḳatum ayo, rëḳ Paulus loḳ tepëḳ vu alaj bë, “Yoh vu bë sa nanër ġaġek ti vu honġ rë?” Loḳ alam-beġö-yi alaj lëk beloḳ tepëḳ yah bë, “Ġeraḳ Grik ayej ni? 
ACT.21.38	Sa hekuung bë honġ Ejep ti sën ġesis beġö vu gavman vu buk agu geġeḳo alam nij paya los beġö hodeḳ 4,000 meġeya nyëġ-yumeris lo!” 
ACT.21.39	Rëḳ Paulus nër yah vu bë, “O saḳ Yuda, gataġ ḳo sa ggëp Tarsus vu distrik Kilisia. Sa nyëġ los bengö. Om ġengoġek gesa nanër ġaġek dus ti vu alam sënë rë.” 
ACT.21.40	Lob alam-beġö-yi alaj yoġekin. Lob Paulus raḳ ya nare lël gevarah nema raḳ. Lob alam pin ayej ma, gemëm nër ġaġek ya vu sir loḳ Hibru ayej.
ACT.22.1	Nër bë, “Arig lo amaġ lo, ham gwenġo rë! Sa bë tateḳin sa ġaġek degwa ranġah vu ham.” 
ACT.22.2	Denġo bë Paulus nër vu sir loḳ Hibru ayej, lob ayej ma rot gesu deggee rë. Log mëm Paulus nër bë, 
ACT.22.3	“Sa Yuda ti. Sataġ ḳo sa ggëp Tarsus vu distrik Kilisia, rëḳ serig ggëp nyëġ böp Yerusalem sënë geGamaliel ḳo sa luḳ yi dub betahu sa niröp loḳ hil ḳenud lo hir horek pin. Gesa niġ wëëk mesayoġ ya vu Anutu timu nebë sën gwëbeng ham nimin wëëk menetamuin yi agi. 
