GEN.1.1	Nang 
PSA.59.16	Sapagka't ikaw ay naging aking matayog na moog,
PSA.59.16	At kanlungan sa kaarawan ng aking kabagabagan.
PSA.59.17	Sa iyo, Oh 
PSA.59.17	Sapagka't ang Dios ay aking matayog na moog, ang Dios ng aking kaawaan.
PSA.60.1	Oh Dios, 
PSA.60.1	Ikaw ay nagalit; Oh papanauliin mo kami.
PSA.60.2	Iyong niyanig ang lupain; iyong pinabuka:
PSA.60.4	Upang maiwagayway dahil sa katotohanan. 
PSA.60.5	Magligtas ka ng iyong kanan, at sagutin mo kami.
PSA.60.7	Galaad ay 
PSA.60.7	Ephraim naman ay sanggalang ng aking ulo;
PSA.60.7	Juda ay 
PSA.60.8	Filistia, 
PSA.60.9	Sinong magdadala sa akin sa matibay na bayan?
PSA.60.9	Sinong papatnubay sa akin hanggang sa Edom?
PSA.60.10	At hindi ka lumalabas, Oh Dios, na kasama ng aming mga hukbo.
PSA.60.11	Tulungan mo kami laban sa kaaway;
PSA.60.11	Sapagka't 
PSA.60.12	Sa pamamagitan ng Dios ay 
PSA.60.12	Sapagka't siya ang 
PSA.61.1	Dinggin mo ang aking daing, Oh Dios;
PSA.61.1	Pakinggan mo ang aking dalangin.
PSA.61.2	Mula sa wakas ng lupa ay tatawag ako sa iyo, pagka nanglupaypay ang aking puso:
PSA.61.2	Patnubayan mo ako sa 
PSA.61.3	Sapagka't ikaw ay naging aking kanlungan,
PSA.61.4	Ako'y manganganlong sa lilim ng iyong mga pakpak. 
PSA.61.5	Sapagka't dininig mo, Oh Dios, ang aking mga panata: Ibinigay mo ang mana sa nangatatakot sa iyong pangalan.
PSA.61.6	Ang kaniyang mga taon ay magiging parang malaong panahon.
PSA.61.7	Siya'y tatahan sa harap ng Dios magpakailan man: Oh maghanda ka ng kagandahang-loob 
PSA.61.8	Sa gayo'y aawit ako ng pagpuri sa iyong pangalan magpakailan man.
PSA.62.1	Sa 
PSA.62.1	Sa kaniya 
PSA.62.2	Siya lamang ang aking kanlungan at aking kaligtasan:
PSA.62.3	Hanggang kailan maghahaka kayo ng masama laban sa isang tao.
PSA.62.3	Upang patayin 
PSA.62.4	Sila'y nagsisisangguni lamang upang ibagsak siya sa kaniyang karilagan;
PSA.62.4	Sila'y natutuwa sa mga kasinungalingan:
PSA.62.4	Sila'y nagsisibasbas ng kanilang bibig, 
PSA.62.5	Kaluluwa ko, maghintay kang tahimik sa Dios lamang;
PSA.62.5	Sapagka't ang aking pagasa ay mula sa kaniya.
PSA.62.6	Siya lamang ang aking 
PSA.62.7	Ang 
PSA.62.8	Magsitiwala kayo sa kaniya buong panahon, kayong mga bayan;
PSA.62.8	Dios ay kanlungan sa atin. 
PSA.62.9	Sa mga timbangan ay sasampa sila;
PSA.62.9	Silang magkakasama ay lalong magaan kay sa walang kabuluhan.
PSA.62.10	Huwag kang tumiwala sa kapighatian,
PSA.62.10	At huwag maging walang kabuluhan sa pagnanakaw:
PSA.62.11	Ang Dios ay nagsalitang 
PSA.62.11	Makalawang aking narinig ito;
PSA.62.12	Sa iyo naman, Oh Panginoon, ukol ang 
PSA.62.12	Sapagka't 
PSA.63.1	Oh Dios, ikaw ay Dios ko; hahanapin kitang 
PSA.63.1	Kinauuhawan ka 
PSA.63.1	Sa isang tuyo at uhaw na lupa na walang tubig.
PSA.63.2	Sa gayo'y tumingin ako sa iyo sa santuario.
PSA.63.2	Upang tanawin ang 
PSA.63.3	Pupurihin ka ng aking mga labi.
PSA.63.4	Sa gayo'y pupurihin 
PSA.63.5	Ang kaluluwa ko'y matutuwa na gaya sa utak at taba;
PSA.63.5	At ang bibig ko'y pupuri sa iyo ng masayang mga labi;
PSA.63.6	Pagka 
PSA.63.7	Sapagka't naging katulong kita,
PSA.63.7	At 
PSA.63.8	Ang kaluluwa ko'y nanununod na mainam sa iyo:
PSA.63.8	Inaalalayan ako ng iyong kanan.
PSA.63.9	Nguni't ang nagsisihanap ng kaluluwa ko, upang ipahamak,
PSA.63.9	Magsisilusong sa mga lalong 
PSA.63.10	Sila'y mangahuhulog sa kapangyarihan ng tabak:
PSA.63.10	Sila'y magiging pagkain sa mga zorra.
PSA.63.11	Nguni't 
PSA.63.11	Bawa't sumusumpa sa pamamagitan niya ay 
PSA.63.11	Sapagka't 
PSA.64.1	Dinggin mo ang tinig ko. Oh Dios, sa aking hibik:
PSA.64.1	Ingatan mo ang buhay ko sa pagkatakot sa kaaway.
PSA.64.2	Ikubli mo ako sa lihim na payo ng mga manggagawa ng kasamaan;
PSA.64.2	Sa panggugulo ng mga manggagawa ng kasamaan:
PSA.64.3	At pinahilagpos ang kanilang mga 
PSA.64.4	Upang kanilang maihilagpos sa sakdal sa mga lihim na dako:
PSA.64.4	Biglang inihihilagpos nila sa kaniya at hindi natatakot.
PSA.64.5	Sila'y nagpapakatapang sa masamang akala;
PSA.64.5	Sila'y nagsasangusapan ng paglalagay ng lihim na silo;
PSA.64.5	Sinasabi nila, 
PSA.64.6	Sila'y nagsisipagsiyasat ng mga kasamaan;
PSA.64.6	Aming naganap, 
PSA.64.6	At ang pagiisip sa loob ng bawa't isa, at ang puso ay malalim.
PSA.64.7	Sila'y masusugatang bigla ng isang palaso.
PSA.64.8	Sa gayo'y sila'y 
PSA.64.8	Ang lahat na makakita sa kanila ay 
PSA.64.9	At lahat ng mga tao ay 
PSA.64.9	At kanilang ipahahayag ang salita ng Dios,
PSA.64.9	At may karunungang kanilang bubuhayin ang kanilang gawa.
PSA.64.10	Ang matuwid ay 
PSA.64.10	At lahat ng mga matuwid sa puso ay magsisiluwalhati.
PSA.65.1	Ang kapurihan ay naghihintay sa iyo, Oh Dios, sa Sion:
PSA.65.1	At sa iyo'y maisasagawa ang panata.
PSA.65.2	Oh ikaw na dumidinig ng dalangin,
PSA.65.3	Mga kasamaan ay nangananaig laban sa akin:
PSA.65.3	Tungkol sa aming pagsalangsang, ay 
PSA.65.4	Ng iyong banal na templo.
PSA.65.5	Sasagutin mo kami sa katuwiran sa pamamagitan ng mga kakilakilabot na bagay,
PSA.65.5	Oh Dios ng aming kaligtasan;
PSA.65.5	Ikaw na katiwalaan ng 
PSA.65.5	At nila na malayo sa dagat:
PSA.65.6	Na naglalagay na matibay ng mga bundok sa pamamagitan ng kaniyang kalakasan;
PSA.65.6	Palibhasa't nabibigkisan sa palibot ng kapangyarihan:
PSA.65.7	Ng hugong ng kanilang mga alon,
PSA.65.8	Sila naman na nagsisitahan sa mga pinakadulong bahagi ay nangatatakot sa iyong mga tanda:
PSA.65.8	Ikaw ang nagbibigay galak sa pagbubukang liwayway at pagtatakip-silim.
PSA.65.9	Iyong pinayayamang mainam;
PSA.65.9	Iyong pinagtataanan sila ng trigo, pagka't inihanda mo ang lupa.
PSA.65.10	Iyong dinidilig ang kaniyang bungkal ng sagana;
PSA.65.10	Iyong pinapantay ang kaniyang mga bungkal;
PSA.65.10	Iyong mga pinalalambot ng ambon;
PSA.65.10	Iyong pinagpapala ang pagsibol niyaon.
PSA.65.11	Iyong dinudulutan ang taon ng iyong kabutihan;
PSA.65.11	At ang iyong mga landas ay pumapatak ng katabaan.
PSA.65.12	Nagsisipatak sa mga 
PSA.65.12	At ang mga burol ay nabibigkisan ng kagalakan.
PSA.65.13	Ang mga
PSA.65.13	Ang mga libis naman ay nangatatakpan ng trigo;
PSA.65.13	Sila'y magsisihiyaw sa kagalakan, sila naman ay nagsisiawit.
PSA.66.1	Magkaingay kayong may kagalakan 
PSA.66.2	Awitin ninyo ang kaluwalhatian ng kaniyang pangalan:
PSA.66.2	Paluwalhatiin ninyo ang pagpuri sa kaniya.
PSA.66.3	Inyong sabihin sa Dios, 
PSA.66.3	Sa kadakilaan ng iyong kapangyarihan ay magsisuko ang iyong mga kaaway sa iyo.
PSA.66.4	Buong lupa ay sasamba sa iyo,
PSA.66.4	At aawit sa iyo;
PSA.66.4	Sila'y magsisiawit sa iyong pangalan. 
PSA.66.6	Sila'y nagsidaan ng paa sa ilog:
PSA.66.6	Doo'y nangagalak kami sa kaniya.
PSA.66.7	Siya'y nagpupuno ng kaniyang kapangyarihan magpakailan man:
PSA.66.7	Papansinin 
PSA.66.7	Huwag mangagpakabunyi 
PSA.66.8	Oh purihin ninyo ang ating Dios, ninyong mga bayan,
PSA.66.8	At iparinig ninyo ang tinig ng kaniyang kapurihan:
PSA.66.9	Na umaalalay sa ating kaluluwa sa buhay,
PSA.66.9	At hindi tumitiis na makilos ang ating mga paa.
PSA.66.10	Sapagka't 
PSA.66.11	Iyong isinuot kami sa silo;
PSA.66.11	Ikaw ay naglagay ng mainam na pasan sa aming mga balakang.
PSA.66.12	Iyong pinasakay 
PSA.66.12	Nguni't dinala mo kami sa saganang dako.
PSA.66.13	Aking babayaran sa iyo ang mga panata ko,
PSA.66.14	Na sinambit ng aking mga labi,
PSA.66.14	At sinalita ng aking bibig, 
PSA.66.15	Ako'y maghahandog sa iyo ng mga matabang handog na susunugin,
PSA.66.15	Na may haing mga tupa;
PSA.66.15	Ako'y maghahandog ng mga toro na kasama ng mga kambing. 
PSA.66.16	At ipahahayag ko kung ano ang kaniyang ginawa sa aking kaluluwa.
PSA.66.17	Ako'y dumaing sa kaniya ng aking bibig,
PSA.66.17	At siya'y ibinunyi ng aking dila.
PSA.66.18	Hindi ako didinggin ng Panginoon:
PSA.66.19	Nguni't katotohanang dininig ako ng Dios;
PSA.66.19	Kaniyang pinakinggan ang tinig ng aking dalangin.
PSA.66.20	Purihin ang Dios,
PSA.66.20	Na hindi iniwaksi ang aking dalangin,
PSA.66.20	Ni ang kaniyang kagandahang-loob sa akin.
PSA.67.1	Dios maawa ka sa amin, at pagpalain mo kami,
PSA.67.2	Ang iyong pangligtas na kagalingan 
PSA.67.3	Purihin ka ng lahat ng mga bayan.
PSA.67.4	Oh mangatuwa at magsiawit sa kasayahan ang mga bansa:
PSA.67.4	Sapagka't iyong hahatulan ang mga bayan ng karampatan,
PSA.67.4	At iyong pamamahalaan ang mga bansa sa lupa. 
PSA.67.5	Purihin ka ng mga bayan, Oh Dios;
PSA.67.5	Purihin ka ng lahat ng mga bayan.
PSA.67.6	Isinibol 
PSA.67.6	Ang Dios ang sarili naming Dios ay pagpapalain kami.
PSA.67.7	Pagpapalain kami ng Dios:
PSA.67.7	At lahat ng mga wakas ng lupa ay 
PSA.68.1	Bumangon nawa ang 
PSA.68.1	Sila namang nangagtatanim sa kaniya ay magsitakas sa harap niya.
PSA.68.2	Gayon mamatay ang masama sa harapan ng Dios.
PSA.68.3	Nguni't mangatuwa 
PSA.68.3	Oo, mangagalak sila ng kasayahan.
PSA.68.4	Kayo'y magsiawit sa Dios, kayo'y magsiawit ng kapurihan sa kaniyang pangalan:
PSA.68.5	Ang Dios sa kaniyang banal na tahanan.
PSA.68.6	Pinapagmamaganak 
PSA.68.6	Nguni't 
PSA.68.7	Oh Dios, 
PSA.68.7	Nang ikaw ay lumakad sa ilang; 
PSA.68.8	Ang mga langit naman ay tumulo sa harapan ng Dios:
PSA.68.8	Ang 
PSA.68.9	Ikaw, Oh Dios, naglagpak ng saganang ulan,
PSA.68.9	Iyong pinatibay ang iyong mana, noong ito'y mahina.
PSA.68.10	Ang iyong kapisanan ay tumahan doon:
PSA.68.10	Ikaw, Oh Dios, ipinaghanda mo ng iyong kabutihan ang dukha.
PSA.68.11	Nagbibigay ng salita ang Panginoon:
PSA.68.11	Ang mga babaing nangaghahayag ng mga balita ay malaking hukbo.
PSA.68.12	Mga hari ng mga hukbo ay 
PSA.68.13	At ng kaniyang balahibo ng gintong madilaw?
PSA.68.14	Nang ang Makapangyarihan sa lahat ay magkalat ng mga hari roon,
PSA.68.15	Bundok ng Dios ay ang bundok ng Basan;
PSA.68.15	Mataas na bundok ang bundok ng Basan.
PSA.68.16	Bakit kayo'y nagsisiirap, kayong matataas na mga bundok,
PSA.68.16	Oo, tatahan doon ang Panginoon magpakailan man.
PSA.68.17	Ang Panginoon ay nasa gitna nila, 
PSA.68.18	Tumanggap ka ng mga 
PSA.68.19	Purihin ang Panginoon na nagpapasan araw-araw ng aming pasan,
PSA.68.19	Sa makatuwid baga'y ang Dios na siyang aming kaligtasan. 
PSA.68.20	Ang Dios sa amin ay Dios ng mga kaligtasan;
PSA.68.20	At 
PSA.68.21	Ang bunbunang mabuhok ng nagpapatuloy sa kaniyang sala.
PSA.68.22	Sinabi ng Panginoon, 
PSA.68.22	Ibabalik ko uli 
PSA.68.24	Kanilang nakita ang iyong mga lakad, Oh Dios,
PSA.68.24	Sa makatuwid baga'y ang lakad ng aking Dios, ng aking Hari, sa loob ng santuario.
PSA.68.26	Purihin ninyo ang Dios sa mga kapisanan,
PSA.68.26	Sa makatuwid baga'y ang Panginoon, 
PSA.68.27	Doo'y 
PSA.68.27	Ang mga pangulo ng Juda at ang kanilang pulong,
PSA.68.27	Ang mga pangulo ng Zabulon, ang mga pangulo ng Nephtali.
PSA.68.28	Ang Dios mo'y 
PSA.68.28	Patibayin mo, Oh Dios, ang ginawa mo sa amin.
PSA.68.29	Dahil sa iyong templo sa Jerusalem
PSA.68.30	Sawayin mo ang mga mailap na hayop sa mga puno ng tambo,
PSA.68.30	Ang karamihan ng mga toro na kasama ng mga guya ng mga bayan,
PSA.68.30	Na niyayapakan sa ilalim ng paa ang mga putol ng pilak;
PSA.68.30	Iyong pinangalat ang mga bayan na nangagagalak sa pagdidigma.
PSA.68.31	Mga pangulo ay 
PSA.68.31	Magmamadali ang 
PSA.68.32	Magsiawit kayo sa Dios, kayong mga kaharian sa lupa;
PSA.68.32	Oh magsiawit kayo ng mga pagpuri sa Panginoon.
PSA.68.33	Sa kaniya na 
PSA.68.33	Narito, binibigkas niya ang kaniyang tinig, na makapangyarihang tinig,
PSA.68.34	Inyong isa Dios ang kalakasan:
PSA.68.34	Ang kaniyang karilagan ay nasa Israel,
PSA.68.34	At ang kaniyang kalakasan ay nasa mga langit.
PSA.68.35	Oh Dios, 
PSA.68.35	Ang Dios ng Israel, ay nagbibigay ng kalakasan at kapangyarihan sa 
PSA.68.35	Purihin ang Panginoon.
PSA.69.1	Iligtas mo ako, Oh Dios; Sapagka't 
PSA.69.2	Ako'y lumulubog sa malalim na burak na walang tayuan:
PSA.69.2	Ako'y lumulubog sa malalim na tubig, na tinatabunan ako ng agos.
PSA.69.3	Ako'y hapo sa aking daing; ang lalamunan ko'y tuyo:
PSA.69.3	Ang mga mata ko'y nangangalumata habang hinihintay ko ang aking Dios.
PSA.69.4	Silang ibig maghiwalay sa akin, na mga kaaway kong may kamalian, ay mga makapangyarihan:
PSA.69.5	Oh Dios, kilala mo ang kamangmangan ko;
PSA.69.5	At ang mga kasalanan ko'y hindi lihim sa iyo.
PSA.69.6	Huwag mangapahiya dahil sa akin ang nangaghihintay sa iyo,
PSA.69.6	Oh Panginoong Dios ng mga hukbo:
PSA.69.6	Huwag mangalagay sa kasiraang puri dahil sa akin ang nagsisihanap sa iyo, Oh Dios ng Israel.
PSA.69.7	Sapagka't 
PSA.69.7	Kahihiyan ay tumakip sa aking mukha.
PSA.69.8	At taga ibang lupa sa mga anak ng aking ina.
PSA.69.10	Pag umiiyak ako 
PSA.69.10	Yao'y pagkaduwahagi sa akin.
PSA.69.11	Nang magsuot ako ng kayong magaspang,
PSA.69.11	Ay naging kawikaan ako sa kanila.
PSA.69.12	Pinag-uusapan ako nilang nangauupo sa pintuang-bayan;
PSA.69.12	At 
PSA.69.13	Nguni't tungkol sa akin, ang dalangin ko'y sa iyo, Oh Panginoon, 
PSA.69.13	Oh Dios, sa karamihan ng iyong kagandahang-loob,
PSA.69.14	Maligtas ako sa kanila na nangagtatanim sa akin, at sa malalim na tubig.
PSA.69.15	Huwag akong tangayin ng baha,
PSA.69.15	Ni lamunin man ako ng kalaliman:
PSA.69.15	At huwag takpan ng 
PSA.69.16	Sagutin mo ako, Oh Panginoon; sapagka't ang iyong kagandahang-loob ay mabuti:
PSA.69.17	At huwag mong ikubli ang iyong mukha sa iyong lingkod;
PSA.69.17	Sapagka't ako'y nasa kahirapan; sagutin mo akong madali.
PSA.69.18	Lumapit ka sa aking kaluluwa, at tubusin mo:
PSA.69.18	Iligtas mo ako dahil sa aking mga kaaway.
PSA.69.19	Talastas mo ang 
PSA.69.19	Ang aking mga kaaway, ay pawang nangasa harap mo.
PSA.69.20	Kaduwahagihan ay sumira ng aking puso; at 
PSA.69.20	At ako'y naghintay na may maawa sa akin, nguni't wala;
PSA.69.20	At mga mangaaliw, nguni't wala akong masumpungan.
PSA.69.21	Binigyan naman nila ako ng pagkaing mapait;
PSA.69.22	At 
PSA.69.23	At papanginigin mong palagi ang kanilang mga balakang.
PSA.69.24	At datnan sila ng kabangisan ng iyong galit.
PSA.69.25	Walang tumahan sa kanilang mga tolda.
PSA.69.26	Sapagka't kanilang hinabol siya na iyong sinaktan,
PSA.69.26	At 
PSA.69.27	At huwag silang masok sa iyong katuwiran.
PSA.69.29	Nguni't ako'y dukha at mapanglaw:
PSA.69.29	Sa pamamagitan ng pagliligtas mo, Oh Dios, ay iahon mo nawa ako.
PSA.69.30	Aking pupurihin ng awit ang pangalan ng Dios,
PSA.69.30	At dadakilain ko siya ng pasalamat.
PSA.69.31	At kalulugdan ng Panginoon na higit kay sa isang baka,
PSA.69.31	O sa toro na may mga sungay at mga paa.
PSA.69.33	Sapagka't dinidinig ng Panginoon ang mapagkailangan,
PSA.69.33	At hindi hinahamak ang kaniyang mga bilanggo.
PSA.69.34	Ng mga dagat, 
PSA.69.35	At sila'y magsisitahan doon, at tatangkilikin 
PSA.69.36	Mamanahin naman ng binhi ng kaniyang mga lingkod;
PSA.69.36	At silang nagsisiibig ng kaniyang pangalan ay magsisitahan doon.
PSA.70.1	Magmadali ka na tulungan mo ako, Oh Panginoon.
PSA.70.2	Mangapahiya at mangalito sila,
PSA.70.2	Na nagsisiusig ng aking kaluluwa:
PSA.70.2	Mangapatalikod sila at mangadala sa kasiraang puri.
PSA.70.2	Silang nangaliligaya sa aking kapahamakan.
PSA.70.3	Silang nangagsasabi, Aha, Aha.
PSA.70.4	Mangagalak at mangatuwa sa iyo ang lahat na nagsisihanap sa iyo;
PSA.70.4	At magsabing lagi yaong umiibig ng iyong kaligtasan:
PSA.70.4	Dakilain ang Dios.
PSA.70.5	Nguni't ako'y dukha at mapagkailangan;
PSA.70.5	Ikaw ay aking katulong at aking tagapagligtas;
PSA.70.5	Oh Panginoon, huwag kang magluwat.
PSA.71.1	Sa iyo 
PSA.71.1	Huwag akong mapahiya kailan man.
PSA.71.3	Sapagka't ikaw ay aking 
PSA.71.4	Sagipin mo ako, 
PSA.71.4	Sa kamay ng liko at mabagsik na tao.
PSA.71.5	Sapagka't ikaw ay 
PSA.71.6	Ikaw ang kumuha sa akin sa tiyan ng aking ina:
PSA.71.6	Ang pagpuri ko'y magiging laging sa iyo.
PSA.71.7	Nguni't ikaw ang matibay kong kanlungan.
PSA.71.8	Ang bibig ko'y 
PSA.71.8	At ng iyong karangalan buong araw.
PSA.71.9	Huwag mo akong pabayaan pagka ang aking kalakasan ay nanglulupaypay.
PSA.71.10	Sapagka't ang mga kaaway ko'y nangagsasalita tungkol sa akin:
PSA.71.10	At silang nagsisibakay ng aking kaluluwa ay nangagsasanggunian,
PSA.71.11	Na nangagsasabi, Pinabayaan siya ng Dios:
PSA.71.11	Iyong habulin at hulihin siya; sapagka't walang magligtas.
PSA.71.12	Oh Dios ko, 
PSA.71.13	Mangatakpan ng pagkaduwahagi at kasiraang puri sila, na nagsisihanap ng aking kapahamakan.
PSA.71.14	Nguni't ako'y maghihintay na palagi,
PSA.71.14	At pupuri pa ako sa iyo ng higit at higit.
PSA.71.16	Ako'y yayao na may mga makapangyarihang gawa ng Panginoong Dios:
PSA.71.16	Aking babanggitin ang iyong katuwiran, sa makatuwid baga'y ang iyo lamang.
PSA.71.17	Oh Dios, iyong tinuruan ako mula sa aking kabataan;
PSA.71.17	At hanggang ngayon ay aking inihahayag ang iyong kagilagilalas na mga gawa.
PSA.71.18	Oo, pag ako'y tumanda at may uban, Oh Dios, huwag mo akong pabayaan;
PSA.71.18	Hanggang sa aking maipahayag ang 
PSA.71.18	Ang iyong kapangyarihan sa bawa't isa na darating.
PSA.71.19	Ikaw na 
PSA.71.20	At ibabangon mo uli kami mula sa mga kalaliman ng lupa.
PSA.71.21	Palaguin mo ang aking kadakilaan,
PSA.71.21	At bumalik ka uli, at aliwin mo ako.
PSA.71.22	Pupurihin din kita ng salterio,
PSA.71.22	Ang iyong katotohanan, Oh Dios ko;
PSA.71.22	Sa iyo'y aawit ako ng mga kapurihan sa pamamagitan ng alpa,
PSA.71.23	Ang mga labi ko'y mangagagalak na mainam pagka ako'y umaawit ng mga pagpuri sa iyo;
PSA.71.23	At ang 
PSA.72.1	Ibigay mo sa hari ang iyong mga kahatulan, Oh Dios,
PSA.72.1	At ang 
PSA.72.2	At ang iyong dukha, ng kahatulan.
PSA.72.3	At ang mga gulod, sa katuwiran.
PSA.72.4	Kaniyang hahatulan ang dukha sa bayan,
PSA.72.4	Kaniyang ililigtas ang mga anak ng mapagkailangan,
PSA.72.4	At pagwawaraywarayin ang mangaapi.
PSA.72.5	Sila'y mangatatakot sa iyo habang nananatili 
PSA.72.5	At habang 
PSA.72.6	Gaya ng ambon na dumidilig sa lupa.
PSA.72.7	Sa kaniyang mga kaarawan ay 
PSA.72.7	At saganang kapayapaan, hanggang sa mawala ang buwan.
PSA.72.8	At mula sa Ilog hanggang sa mga wakas ng lupa.
PSA.72.9	Silang nagsisitahan sa ilang ay magsisiyukod 
PSA.72.9	At hihimuran ng 
PSA.72.10	Ang mga hari sa 
PSA.72.11	Oo, lahat ng mga hari ay magsisiyukod sa harap niya:
PSA.72.11	Lahat ng mga bansa ay mangaglilingkod sa kaniya.
PSA.72.12	Sapagka't kaniyang ililigtas ang mapagkailangan pagka dumadaing;
PSA.72.12	At ang dukha na walang katulong.
PSA.72.13	Siya'y maaawa sa dukha at mapagkailangan,
PSA.72.13	At ang mga kaluluwa ng mga mapagkailangan ay kaniyang ililigtas.
PSA.72.14	Tutubusin niya ang kanilang kaluluwa sa kapighatian at karahasan;
PSA.72.15	At siya'y mabubuhay at sa kaniya'y ibibigay ang ginto ng Sheba:
PSA.72.15	At dadalanginang lagi siya ng mga tao:
PSA.72.15	Pupurihin nila siya buong araw.
PSA.72.16	Magkakaroon ng saganang trigo sa lupa sa taluktok ng mga bundok;
PSA.72.16	Ang bunga niyao'y uugang gaya ng Libano:
PSA.72.16	At silang sa bayan ay giginhawa na 
PSA.72.17	Ang kaniyang pangalan ay 
PSA.72.17	Ang kaniyang pangalan ay magluluwat na gaya ng araw:
PSA.72.18	Na siya lamang gumagawa ng mga kababalaghang bagay:
PSA.72.19	At purihin ang kaniyang maluwalhating pangalan magpakailan man;
PSA.72.20	Ang mga dalangin ni David na anak ni Isai ay nangatapos.
PSA.73.1	Tunay na ang Dios ay mabuti sa Israel.
PSA.73.1	Sa mga malilinis sa puso.
PSA.73.2	Nguni't tungkol sa akin, ang mga paa ko'y halos nahiwalay:
PSA.73.2	Ang mga hakbang ko'y kamunti nang nangadulas.
PSA.73.3	Nang aking makita ang kaginhawahan ng masama.
PSA.73.4	Sapagka't walang mga tali sa kanilang kamatayan:
PSA.73.4	Kundi ang kanilang kalakasan ay 
PSA.73.5	Sila'y wala sa kabagabagan na gaya ng 
PSA.73.5	Na hindi man sila nangasasalot na gaya ng 
PSA.73.6	Kaya't kapalalua'y gaya ng kuwintas sa kanilang leeg:
PSA.73.6	Tinatakpan sila ng karahasan na gaya ng bihisan.
PSA.73.7	Ang kanilang mga mata ay lumuluwa sa katabaan:
PSA.73.7	Sila'y mayroong higit kay sa mananasa ng puso.
PSA.73.8	Sila'y manganunuya, at sa kasamaan ay nanunungayaw ng pagpighati:
PSA.73.9	Kanilang inilagay ang kanilang bibig sa mga langit,
PSA.73.9	At ang kanilang dila ay lumalakad sa lupa.
PSA.73.10	Kaya't ibinabalik dito ang kaniyang bayan:
PSA.73.10	At tubig ng punong 
PSA.73.11	At kanilang sinasabi, 
PSA.73.11	At may kaalaman ba sa Kataastaasan?
PSA.73.12	Narito, ang mga ito ang masama;
PSA.73.14	Sapagka't buong araw ay nasalot ako,
PSA.73.14	At naparusahan tuwing umaga.
PSA.73.15	Kung aking sinabi, Ako'y magsasalita ng ganito;
PSA.73.15	Narito, ako'y gagawang may karayaan sa lahi ng iyong mga anak.
PSA.73.16	Nang aking isipin kung paanong aking malalaman ito,
PSA.73.16	Ay napakahirap sa ganang akin;
PSA.73.17	Hanggang 
PSA.73.17	At aking nagunita 
PSA.73.18	Tunay na iyong inilagay 
PSA.73.18	Iyong inilugmok sila sa kapahamakan.
PSA.73.19	Kung paanong naging kapahamakan sila sa isang sandali!
PSA.73.19	Sila'y nilipol na lubos ng mga kakilabutan.
PSA.73.20	Sa gayon, Oh Panginoon, 
PSA.73.21	Sapagka't ang puso ko'y namanglaw,
PSA.73.21	At sa aking kalooban ay nasaktan ako:
PSA.73.22	Ako'y naging 
PSA.73.23	Gayon ma'y laging sumasaiyo ako:
PSA.73.23	Iyong inalalayan ang aking kanan.
PSA.73.24	At 
PSA.73.25	At walang ninanasa ako sa lupa liban sa iyo.
PSA.73.27	Sapagka't narito, silang malayo sa iyo ay mangalilipol:
PSA.73.27	Iyong ibinuwal silang lahat, 
PSA.73.28	Nguni't mabuti sa akin 
PSA.73.28	Ginawa kong aking kanlungan ang Panginoong Dios,
PSA.74.1	Oh Dios, bakit mo itinakuwil 
PSA.74.1	Bakit ang iyong galit ay 
PSA.74.2	Alalahanin mo ang iyong kapisanan 
PSA.74.2	Na iyong tinubos upang maging lipi ng 
PSA.74.2	At ang bundok ng Sion na iyong tinahanan.
PSA.74.3	Itaas mo ang iyong mga paa 
PSA.74.3	Ang lahat na kasamaang ginawa ng kaaway sa santuario.
PSA.74.5	Sila'y tila mga tao na nangagtaas
PSA.74.5	Ng mga palakol sa mga kakahuyan.
PSA.74.6	At ngayo'y lahat 
PSA.74.6	Kanilang pinagputolputol ng palakol at ng mga pamukpok.
PSA.74.7	Kanilang dinumhan ang tahanang dako ng iyong pangalan hanggang sa lupa.
PSA.74.8	Ating gibaing paminsan:
PSA.74.8	Kanilang sinunog ang lahat na sinagoga ng Dios sa lupain.
PSA.74.9	Hindi namin nakikita ang aming mga tanda:
PSA.74.9	At wala mang sinoman sa amin na nakakaalam kung hanggang kailan.
PSA.74.10	Hanggang kailan, Oh Dios, mangduduwahagi ang kaaway?
PSA.74.10	Lalapastanganin ba ng kaaway ang iyong pangalan magpakailan man?
PSA.74.12	Gayon ma'y ang 
PSA.74.12	Na nagliligtas sa gitna ng lupa.
PSA.74.14	Iyong pinagputolputol ang mga ulo ng 
PSA.74.14	Ibinigay mo siya na pagkain sa bayan na tumatahan sa ilang.
PSA.74.16	Ang araw ay iyo, ang gabi ay iyo rin:
PSA.74.16	Iyong inihanda ang liwanag at ang araw.
PSA.74.17	Iyong 
PSA.74.17	Iyong ginawa ang taginit at taginaw.
PSA.74.18	At nilapastangan ng mangmang na bayan ang iyong pangalan.
PSA.74.19	Oh huwag mong ibigay ang kaluluwa 
PSA.74.19	Huwag mong kalimutan ang buhay ng iyong dukha magpakailan man.
PSA.74.20	Sapagka't ang mga madilim na dako ng lupa ay puno ng mga tahanan ng karahasan.
PSA.74.21	Pupurihin ng dukha at mapagkailangan ang iyong pangalan.
PSA.74.22	Bumangon ka, Oh Dios, ipaglaban mo ang iyong sariling usap:
PSA.74.22	Alalahanin mo kung paanong dinuduwahagi ka ng mangmang buong araw.
PSA.74.23	Huwag mong kalimutan ang tinig ng iyong mga kaaway:
PSA.74.23	Ang ingay niyaong nagsisibangon laban sa iyo ay patuloy na lumalala.
