MAT.1.1	Oto rodowód Jezusa Chrystusa, pochodzącego z rodu króla Dawida, potomka Abrahama: 
JHN.14.28	Pamiętacie, że powiedziałem wam: Odchodzę, ale przyjdę do was znowu. Gdybyście Mnie szczerze kochali, cieszylibyście się, że wracam do Ojca, który jest większy ode Mnie. 
JHN.14.29	Tak więc uprzedziłem was o tym, co nastąpi, abyście uwierzyli Mi, gdy to się stanie. 
JHN.14.30	Musimy jednak kończyć tę rozmowę, bo zbliża się władca tego świata. Nie ma on jednak nade Mną żadnej władzy. 
JHN.14.31	Chcę, aby cały świat zobaczył, że kocham Ojca i robię wszystko, co Mi polecił. Teraz jednak wstańmy i chodźmy stąd!
JHN.15.1	Potem Jezus powiedział:
JHN.15.1	—Ja jestem prawdziwym krzewem winorośli, a mój Ojciec—ogrodnikiem. 
JHN.15.2	Odcina każdą gałązkę, która nie owocuje, a tę, która już owocuje, oczyszcza, aby owocowała jeszcze lepiej. 
JHN.15.3	Wy już jesteście oczyszczeni dzięki temu, co wam powiedziałem. 
JHN.15.4	Trwajcie we Mnie, a Ja będę trwał w was. Tak jak gałązka nie może owocować sama z siebie, jeśli nie trwa w krzewie, tak i wy—jeśli nie trwacie we Mnie. 
JHN.15.5	Ja jestem krzewem winorośli, a wy—jego gałązkami. Kto trwa we Mnie, a Ja w nim, ten obficie owocuje. Beze Mnie jednak nic nie możecie zrobić. 
JHN.15.6	Jeżeli ktoś nie trwa we Mnie, zostanie odrzucony—tak jak gałązka, która usycha. Zbiera się takie, wrzuca do ognia i spala. 
JHN.15.7	Jeśli jednak będziecie we Mnie trwać, a moje słowa—w was, proście o cokolwiek chcecie, a tak się stanie. 
JHN.15.8	Mój Ojciec dozna chwały przez to, że obficie zaowocujecie i staniecie się moimi uczniami. 
JHN.15.9	Ukochałem was tak, jak Mnie ukochał Ojciec. Trwajcie więc w mojej miłości. 
JHN.15.10	A będziecie w niej trwać, gdy okażecie posłuszeństwo moim nakazom—tak jak Ja jestem posłuszny nakazom mojego Ojca i trwam w Jego miłości. 
JHN.15.11	Mówię o tym po to, abyście mieli w sobie moją radość i abyście byli nią napełnieni. 
JHN.15.12	Daję wam moje przykazanie, abyście kochali się nawzajem, tak jak Ja was ukochałem. 
JHN.15.13	Nikt nie kocha bardziej niż ten, kto oddaje swoje życie za przyjaciół. 
JHN.15.14	Wy jesteście moimi przyjaciółmi, jeśli robicie to, co wam nakazuję. 
JHN.15.15	Już nie nazywam was sługami, bo sługa nie wie, co zamierza jego pan. Nazwałem was przyjaciółmi, bo powiedziałem wam wszystko, co usłyszałem od Ojca. 
JHN.15.16	To nie wy Mnie wybraliście, ale Ja was. Przeznaczyłem was do tego, abyście szli i przynosili owoc—trwały owoc!—i aby Ojciec dał wam to, o co Go poprosicie w moim imieniu. 
JHN.15.17	Nakazuję wam więc, abyście kochali jedni drugich!
JHN.15.18	Jeśli świat was nienawidzi, to pamiętajcie, że Mnie najpierw znienawidził. 
JHN.15.19	Gdybyście należeli do świata, kochałby was. Ponieważ jednak nie należycie do niego—bo Ja was wybrałem dla siebie—nienawidzi was. 
JHN.15.20	Przypomnijcie sobie, co wam niedawno powiedziałem: Sługa nie jest ważniejszy od swojego pana. Skoro Mnie prześladowali, i was będą prześladować. A jeśli słuchali moich słów, i waszych posłuchają. 
JHN.15.21	Ze względu na Mnie będą was prześladować, bo nie znają Tego, który Mnie posłał. 
JHN.15.22	Gdybym nie przyszedł i nie mówił do nich, nie mieliby grzechu. Lecz teraz już nie mogą się usprawiedliwić. 
JHN.15.23	Kto Mnie nienawidzi, nienawidzi także mojego Ojca. 
JHN.15.24	Nie mieliby grzechu, gdybym nie uczynił na ich oczach cudów, których nikt nigdy nie dokonał. Oni jednak widzieli je, a mimo to znienawidzili i Mnie, i Ojca. 
JHN.15.25	W ten sposób sprawdziły się słowa zapisane w Piśmie: „Znienawidzili Mnie bez powodu”. 
JHN.15.26	Lecz Pocieszyciel—Duch prawdy, którego poślę wam od mojego Ojca, opowie wam o Mnie, 
JHN.15.27	a wy opowiecie o Mnie innym, bo jesteście ze Mną od samego początku.
JHN.16.1	Powiedziałem wam o tym, abyście się nie załamali. 
JHN.16.2	Wyrzucą was bowiem z synagogi. Co więcej, nadchodzi czas, gdy ludzie chcący was zabić będą przekonani, że ich działanie podoba się Bogu. 
JHN.16.3	Będą tak postępować, bo nigdy nie poznali ani Ojca, ani Mnie. 
JHN.16.4	Mówię o tym teraz, zanim ten czas nastanie, abyście pamiętali, że was ostrzegałem. Nie mówiłem o tym wcześniej, bo byłem z wami. 
JHN.16.5	Teraz jednak odchodzę do Tego, który Mnie posłał. Nie pytacie już: „Dokąd odchodzisz?”. 
JHN.16.6	Powiedziałem wam bowiem o tym i smutek wypełnił wasze serca. 
JHN.16.7	Zapewniam was jednak, że moje odejście jest dla was korzystne. Jeśli bowiem nie odejdę, Pocieszyciel do was nie przyjdzie. Ale gdy odejdę, przyślę Go do was. 
JHN.16.8	Wtedy On przekona świat o grzechu, o prawości i o sądzie. 
JHN.16.9	O grzechu—bo ludzie Mi nie wierzą. 
JHN.16.10	O prawości—bo odchodzę do Ojca i już Mnie nie ujrzycie. 
JHN.16.11	O sądzie—bo władca tego świata już został skazany.
JHN.16.12	Tak wiele chciałbym wam jeszcze powiedzieć, lecz teraz nie jesteście w stanie tego zrozumieć. 
JHN.16.13	Gdy jednak przyjdzie Duch prawdy, wprowadzi was w całą prawdę. Nie będzie mówił sam od siebie, lecz przekaże wam to, co usłyszał. Powie wam także o tym, co przyniesie przyszłość. 
JHN.16.14	On otoczy Mnie chwałą, bo przekaże wam to, co do Mnie należy. 
JHN.16.15	Wszystko, co ma Ojciec, jest moje. Dlatego powiedziałem, że Duch weźmie ode Mnie i wam to przekaże. 
JHN.16.16	Już niebawem odejdę. Ale wkrótce zobaczycie Mnie znowu!
JHN.16.17	—O co Mu chodzi?—zastanawiali się uczniowie. —„Już niebawem odejdę. Ale wkrótce zobaczycie Mnie znowu” albo „Odchodzę do Ojca”? 
JHN.16.18	Co ma na myśli, mówiąc: „Już niebawem”? Nie rozumiemy tego.
JHN.16.19	Jezus wiedział, że chcieli Go o to zapytać. Powiedział więc:
JHN.16.19	—Zastanawiacie się, co miałem na myśli, mówiąc: „Już niebawem odejdę. Ale wkrótce zobaczycie Mnie znowu”? 
JHN.16.20	Zapewniam was: Wkrótce będziecie płakać i smucić się, a świat będzie się cieszyć. Wasz smutek zostanie jednak przemieniony w radość. 
JHN.16.21	Gdy kobieta rodzi, doznaje smutku, bo nadszedł czas rozwiązania. Ale gdy już urodzi, z radości zapomina o bólu, bo jej dziecko przyszło na świat. 
JHN.16.22	Teraz przytłacza was smutek, ale gdy zobaczę was znowu, wasze serca napełnią się radością—radością, której już nikt nie zdoła wam odebrać. 
JHN.16.23	Wtedy nie będziecie Mnie już o nic pytać. Zapewniam was: Jeśli wtedy poprosicie o coś Ojca w moim imieniu, da wam to. 
JHN.16.24	Dotychczas nie prosiliście Go o nic w moim imieniu. Teraz proście, a otrzymacie, i wasza radość nie będzie miała granic!
JHN.16.25	O wielu rzeczach mówiłem wam za pomocą przypowieści. Nadchodzi jednak czas, gdy o sprawach dotyczących Ojca będę wam mówił wprost—bez porównań. 
JHN.16.26	Wtedy będziecie prosić w moim imieniu, a Ja nie będę musiał o to prosić Ojca. 
JHN.16.27	On sam was kocha, ponieważ wy Mnie ukochaliście i uwierzyliście, że przyszedłem od Niego. 
JHN.16.28	Tak, przyszedłem na świat od Ojca i opuszczam świat, aby do Niego powrócić.
JHN.16.29	—Teraz wszystko mówisz nam wprost, bez porównań—odrzekli uczniowie. 
JHN.16.30	—Nareszcie rozumiemy, że wszystko wiesz i nie potrzebujesz, aby ktokolwiek zadawał Ci pytania. Wierzymy, że przyszedłeś od Boga.
JHN.16.31	—Mówicie, że wierzycie?—rzekł Jezus. 
JHN.16.32	—Oto nadchodzi czas, a właściwie już nadszedł, gdy pouciekacie do swoich domów i zostawicie Mnie samego. Nie będę jednak sam, ponieważ jest ze Mną Ojciec. 
JHN.16.33	Powiedziałem wam o tym wszystkim, abyście dzięki Mnie doświadczali pokoju. Na świecie czeka was cierpienie. Ale bądźcie odważni—Ja zwyciężyłem ten świat.
JHN.17.1	Gdy Jezus skończył rozmowę z nimi, spojrzał w niebo i rzekł:
JHN.17.1	—Ojcze, nadszedł już czas. Otocz swojego Syna chwałą, aby i On otoczył chwałą Ciebie. 
JHN.17.2	Udzieliłeś Mi władzy nad każdym człowiekiem po to, abym dał życie wieczne wszystkim, których Mi powierzyłeś. 
JHN.17.3	A życie wieczne polega na poznaniu Ciebie—jedynego, prawdziwego Boga, i Jezusa Chrystusa, którego posłałeś. 
JHN.17.4	Otoczyłem Cię chwałą na ziemi, bo wykonałem zadanie, które Mi zleciłeś. 
JHN.17.5	Teraz więc, Ojcze, otocz Mnie tą chwałą, którą miałem u Ciebie, zanim powstał świat.
JHN.17.6	Objawiłem Cię ludziom, których Mi dałeś ze świata. Należeli do Ciebie i powierzyłeś Mi ich, a oni zachowali Twoje słowo. 
JHN.17.7	Już wiedzą, że wszystko, co mam, pochodzi od Ciebie. 
JHN.17.8	Przekazałem im Twoje polecenia, a oni je przyjęli i rozpoznali, że to Ty Mnie posłałeś. 
JHN.17.9	Właśnie za nich się modlę. Nie za świat, lecz za tych, których Mi powierzyłeś, bo należą do Ciebie. 
JHN.17.10	Wszystko, co należy do Mnie, jest Twoje, a Twoje—jest moje. Oni zaś oddają Mi chwałę. 
JHN.17.11	Ja opuszczam ten świat i idę do Ciebie, ale oni zostają. Dlatego, Ojcze święty, ochraniaj ich mocą Twojego imienia, które Mi dałeś. I spraw, aby żyli w takiej jedności, jak My. 
JHN.17.12	Dopóki z nimi byłem, sam ochraniałem ich mocą Twojego imienia, którą Mi dałeś. Strzegłem ich i nie zginął nikt z nich, z wyjątkiem syna zatracenia—jak przepowiedziało Pismo. 
JHN.17.13	Teraz zaś idę do Ciebie i mówię im o tym, aby napełniała ich moja radość. 
JHN.17.14	Przekazałem im Twoje słowo, a świat ich znienawidzi, ponieważ—tak jak Ja—nie należą do niego. 
JHN.17.15	Nie proszę, abyś ich stąd zabrał, lecz abyś chronił ich przed złem. 
JHN.17.16	Tak jak i Ja, nie należą oni do świata. 
JHN.17.17	Spraw, aby byli oddani prawdzie, którą jest Twoje słowo. 
JHN.17.18	Tak jak Ty posłałeś Mnie na świat, tak teraz Ja posyłam ich do innych ludzi. 
JHN.17.19	Za nich też poświęcam siebie, aby byli oddani prawdzie.
JHN.17.20	Modlę się nie tylko za nich, ale także za tych, którzy dzięki ich słowom uwierzą Mi. 
JHN.17.21	Ojcze, niech wszyscy oni żyją w jedności, jak Ty we Mnie, a Ja w Tobie. Niech będą w jedności z nami, aby świat uwierzył, że to Ty Mnie posłałeś! 
JHN.17.22	Obdarzyłem ich też chwałą, którą Mi dałeś, aby żyli w jedności, tak jak My: 
JHN.17.23	Ja w nich, a Ty we Mnie—aby żyli w doskonałej jedności, wtedy bowiem świat zrozumie, że Mnie posłałeś i że ukochałeś ich tak jak Mnie. 
JHN.17.24	Ojcze, chcę, aby ci, których Mi powierzyłeś, byli ze Mną tam, gdzie Ja będę, i aby mogli widzieć chwałę, którą Mi dałeś. Ukochałeś Mnie bowiem, zanim powstał świat. 
JHN.17.25	Sprawiedliwy Ojcze! Świat Cię nie poznał, ale Ja Cię znam. I oni również wiedzą, że to Ty Mnie posłałeś. 
JHN.17.26	Objawiłem im bowiem Ciebie i nadal będę objawiać, aby doświadczyli tej wspaniałej miłości, jaką Mnie obdarzasz, i abym mógł w nich trwać.
JHN.18.1	Potem Jezus udał się z uczniami do ogrodu, znajdującego się za potokiem Cedron. 
JHN.18.2	Judasz, zdrajca, znał to miejsce, bo Jezus często odwiedzał je z uczniami. 
JHN.18.3	Przyszedł więc tam wraz z rzymskim oddziałem oraz strażą, wysłaną przez najwyższych kapłanów i faryzeuszy. Uzbrojeni, nieśli pochodnie i latarnie. 
JHN.18.4	Jezus wiedząc, co Go czeka, wyszedł im na spotkanie 
JHN.18.5	i zapytał:
JHN.18.5	—Kogo szukacie?
JHN.18.5	—Jezusa z Nazaretu—powiedzieli.
JHN.18.5	—JA JESTEM—odrzekł Jezus.
JHN.18.5	W tłumie stał również Judasz—zdrajca. 
JHN.18.6	A gdy Jezus powiedział: „JA JESTEM”, wszyscy cofnęli się i padli na ziemię.
JHN.18.7	—Kogo szukacie?—powtórzył Jezus.
JHN.18.7	—Jezusa z Nazaretu—odpowiedzieli.
JHN.18.8	—Mówię wam, że to Ja—powiedział Jezus. —Skoro szukacie Mnie, pozwólcie reszcie odejść.
JHN.18.9	Powiedział to, aby wypełniła się zapowiedź proroka: „Nie utraciłem ani jednego z tych, których Mi dałeś”. 
JHN.18.10	Wtedy Szymon Piotr wyjął miecz, zamachnął się i odciął prawe ucho słudze najwyższego kapłana, Malchusowi.
JHN.18.11	—Schowaj miecz—rzekł do niego Jezus. —Czyż nie mam pić z kielicha, który podaje Mi Ojciec?
JHN.18.12	Wtedy żołnierze, ich dowódca oraz strażnicy wysłani przez kapłanów złapali Jezusa, związali Go 
JHN.18.13	i zaprowadzili najpierw do Annasza, który był teściem Kajfasza, sprawującego tego roku urząd najwyższego kapłana. 
JHN.18.14	To właśnie Kajfasz powiedział wcześniej żydowskim przywódcom, że lepiej będzie, aby jeden człowiek umarł za cały naród.
JHN.18.15	Za Jezusem podążał Szymon Piotr i jeszcze jeden uczeń, który był znajomym najwyższego kapłana. Dzięki temu wszedł razem z Jezusem na dziedziniec rezydencji najwyższego kapłana. 
JHN.18.16	Tymczasem Piotr został za bramą. Drugi uczeń porozmawiał jednak z kobietą pełniącą służbę przy drzwiach i po chwili wprowadził na dziedziniec również Piotra.
JHN.18.17	—Ty chyba jesteś jednym z uczniów tego człowieka?—zapytała Piotra służąca.
JHN.18.17	—Ależ skąd!—zaprzeczył.
JHN.18.18	Było zimno, więc słudzy oraz strażnicy rozpalili ognisko i grzali się przy nim. Wśród nich stał również Piotr.
JHN.18.19	W tym czasie najwyższy kapłan wypytywał Jezusa o Jego naukę i zwolenników.
JHN.18.20	—Nauczałem publicznie—odpowiedział Jezus. —Przemawiałem w synagodze i w świątyni, wśród wielu ludzi. Niczego nie mówiłem po kryjomu. 
JHN.18.21	Dlaczego Mnie więc o to pytasz? Zapytaj tych, którzy Mnie słuchali. Oni wiedzą, co mówiłem.
JHN.18.22	—Jak się odzywasz do najwyższego kapłana?!—zawołał stojący w pobliżu sługa i uderzył Jezusa w twarz.
JHN.18.23	—Jeśli powiedziałem coś złego, udowodnij to—odrzekł Jezus. —A jeśli nie, to dlaczego Mnie uderzyłeś?
JHN.18.24	Wtedy Annasz odesłał związanego Jezusa do najwyższego kapłana, Kajfasza.
JHN.18.25	Tymczasem Piotr nadal grzał się przy ognisku.
JHN.18.25	—Nie jesteś przypadkiem jednym z uczniów Jezusa?—zapytano go.
JHN.18.25	—Oczywiście, że nie—wyparł się Piotr.
JHN.18.26	Ale jeden ze służących najwyższego kapłana, krewny tego, któremu Piotr odciął ucho, stwierdził:
JHN.18.26	—Chyba widziałem ciebie razem z nim w ogrodzie?!
JHN.18.27	Piotr znowu zaprzeczył. I wtedy właśnie zapiał kogut.
JHN.18.28	Było już rano. Od Kajfasza zaprowadzono Jezusa do rezydencji gubernatora. Oskarżyciele jednak nie weszli do środka, aby nie narazić się na rytualną nieczystość. Chcieli bowiem uczestniczyć w kolacji paschalnej. 
JHN.18.29	Piłat, rzymski gubernator, wyszedł więc do nich i zapytał:
JHN.18.29	—Jakie zarzuty stawiacie temu człowiekowi?
JHN.18.30	—Gdyby nie był przestępcą, nie przyprowadzalibyśmy go do ciebie—odpowiedzieli.
JHN.18.31	—Zabierzcie go sobie i sądźcie według własnego prawa—odrzekł Piłat.
JHN.18.31	—Przecież wiesz, że bez twojej zgody nie wolno nam nikogo skazać na śmierć—tłumaczyli.
JHN.18.32	W ten sposób spełniła się zapowiedź Jezusa, dotycząca sposobu, w jaki zostanie zabity.
JHN.18.33	Piłat wrócił więc do rezydencji i polecił, aby przyprowadzono Jezusa.
JHN.18.33	—Jesteś Królem Żydów?—zapytał.
JHN.18.34	—Sam tak uważasz czy tylko powtarzasz, co ci powiedziano?—odpowiedział pytaniem Jezus.
JHN.18.35	—Czy ja jestem Żydem?—odparł Piłat. —To twój naród i jego przywódcy przyprowadzili cię do mnie. Co zrobiłeś?
JHN.18.36	—Moje królestwo nie pochodzi z tego świata—rzekł Jezus. —Gdyby tak było, moi słudzy walczyliby, żebym nie wpadł w ręce przywódców. Teraz moje królestwo nie jest jednak z tego świata.
JHN.18.37	—Więc jednak jesteś królem?
JHN.18.37	—Sam to potwierdzasz. Po to się narodziłem i po to przyszedłem na świat, aby opowiedzieć ludziom o prawdzie. A każdy, kto kocha prawdę, słucha Mnie.
JHN.18.38	—Co to jest prawda?—zapytał Piłat.
JHN.18.38	Następnie wyszedł do zebranych i powiedział:
JHN.18.38	—Nie znajduję w nim żadnej winy! 
JHN.18.39	Jest zwyczaj, że na święto Paschy uwalniam wam jednego z waszych więźniów. Jeśli więc chcecie, tym razem uwolnię Króla Żydów.
JHN.18.40	—Nie! Nie tego! Wypuść raczej Barabasza!—zaczęli krzyczeć.
JHN.18.40	A Barabasz był buntownikiem.
JHN.19.1	Piłat kazał więc wyprowadzić Jezusa i ubiczować. 
JHN.19.2	Żołnierze włożyli na Jego głowę koronę uplecioną z długich, ostrych cierni i ubrali Go w purpurowy płaszcz. 
JHN.19.3	Podchodzili do Niego, bili po twarzy i wykrzykiwali:
JHN.19.3	—Niech żyje Król Żydów!
JHN.19.4	Potem Piłat raz jeszcze wyszedł do tłumu mówiąc:
JHN.19.4	—Wyprowadzam go tu, żebyście zobaczyli, że nie znajduję w nim żadnej winy.
JHN.19.5	Wtedy Jezus wyszedł na zewnątrz—w purpurowym płaszczu i koronie cierniowej na głowie.
JHN.19.5	—Oto człowiek!—rzekł Piłat.
JHN.19.6	—Ukrzyżuj! Ukrzyżuj go!—zaczęli krzyczeć kapłani i ich strażnicy na widok Jezusa.
JHN.19.6	—Sami go ukrzyżujcie! Ja nie znajduję w nim żadnej winy!—odpowiedział Piłat.
JHN.19.7	—My też mamy Prawo. I według naszego Prawa powinien zginąć, bo nazywał siebie Synem Bożym!—wołali.
JHN.19.8	Te słowa jeszcze bardziej przestraszyły Piłata. 
JHN.19.9	Ponownie wszedł do rezydencji i zapytał Jezusa:
JHN.19.9	—Skąd pochodzisz?
JHN.19.9	Ale Jezus nic mu nie odpowiedział.
JHN.19.10	—Nie chcesz ze mną rozmawiać?—dziwił się. —Czy nie wiesz, że mam prawo cię uwolnić albo ukrzyżować?
JHN.19.11	—Nie miałbyś nade Mną władzy, gdyby nie dano ci jej z góry—odrzekł Jezus. —Dlatego większy grzech popełnił ten, który oddał Mnie w twoje ręce.
JHN.19.12	Od tego momentu Piłat starał się uwolnić Jezusa, ale żydowscy przywódcy ostro się temu sprzeciwiali:
JHN.19.12	—Jeśli go uwolnisz, nie będziesz przyjacielem cezara. Kto obwołuje się królem, występuje przecież przeciwko cezarowi.
JHN.19.13	Usłyszawszy to, Piłat znowu wyprowadził Jezusa na zewnątrz, sam zaś usiadł na fotelu sędziowskim, w miejscu zwanym Kamienny Bruk (po hebrajsku: „Gabbata”). 
JHN.19.14	Było około południa, następnego dnia rozpoczynała się Pascha. Wtedy rzekł do zebranych:
JHN.19.14	—Oto wasz król!
JHN.19.15	—Precz z nim! Przecz! Ukrzyżuj go!—krzyczeli.
JHN.19.15	—Mam ukrzyżować waszego króla?!—pytał Piłat.
JHN.19.15	—Nie mamy żadnego króla oprócz cezara!—zawołali najwyżsi kapłani.
JHN.19.16	Wówczas Piłat wydał im Jezusa, aby Go ukrzyżowali. I zabrali Go.
JHN.19.17	Jezus niósł swój krzyż na miejsce zwane Czaszką (po hebrajsku: „Golgota”). 
JHN.19.18	Gdy dotarł na miejsce, ukrzyżowano Go razem z dwoma innymi skazańcami: Jezusa w środku, a tych dwóch po Jego prawej i lewej stronie. 
JHN.19.19	Piłat zaś przygotował i kazał umieścić na krzyżu tabliczkę z napisem: „
JHN.19.20	Wielu Żydów mogło więc przeczytać ten opis Jego winy (sporządzony po hebrajsku, łacinie i grecku), bowiem miejsce, gdzie ukrzyżowano Jezusa, znajdowało się w pobliżu miasta. 
JHN.19.21	Kapłani jednak domagali się od Piłata:
JHN.19.21	—Nie pisz: „Król Żydów”, ale: „Twierdził, że jest Królem Żydów”.
JHN.19.22	—Napisałem i koniec!—odrzekł Piłat.
JHN.19.23	Po ukrzyżowaniu Jezusa, żołnierze zabrali Jego ubrania i podzielili je na cztery części—dla każdego po jednej. Wzięli też tunikę, która była utkana w całości—bez szwów.
JHN.19.24	—Nie rozdzierajmy jej—mówili między sobą—ale rzućmy o nią losy. Zobaczymy, kto ją wygra.
JHN.19.24	W ten sposób spełniło się proroctwo:
JHN.19.24	„Rozdzielają między siebie moje ubrania
JHN.19.24	i rzucają losy o moją tunikę”.
JHN.19.24	Tak właśnie uczynili żołnierze.
JHN.19.25	A obok krzyża Jezusa stały: Jego matka, Jego ciotka—Maria (żona Kleofasa) i Maria z Magdali. 
JHN.19.26	Gdy Jezus zobaczył matkę stojącą obok ucznia, który był Jego najbliższym przyjacielem, rzekł do niej:
JHN.19.26	—To jest twój syn!
JHN.19.27	A do ucznia:
JHN.19.27	—To jest twoja matka!
JHN.19.27	I od tego momentu uczeń wziął ją do swojego domu.
JHN.19.28	Wiedząc, że Jego dzieło dobiegło już końca, Jezus—wypełniając zapowiedź Pisma—rzekł:
JHN.19.28	—Jestem spragniony.
JHN.19.29	A stał tam dzban z kwaśnym winem. Nasączono nim więc gąbkę i na kiju podano Mu do ust. 
JHN.19.30	Gdy Jezus skosztował, rzekł:
JHN.19.30	—Wykonało się.
JHN.19.30	Po tych słowach opuścił głowę i skonał.
JHN.19.31	Ponieważ był to dzień poprzedzający szabat i wielkie święto, żydowscy przywódcy nie chcieli zostawić martwych ciał na krzyżach do następnego dnia. Poprosili więc Piłata, aby połamano skazańcom nogi, przyspieszając ich śmierć, i usunięto ciała. 
JHN.19.32	Przyszli więc żołnierze i połamali nogi—najpierw jednemu skazańcowi ukrzyżowanemu z Jezusem, potem drugiemu. 
JHN.19.33	Gdy podeszli do Jezusa, zobaczyli, że już umarł. Nie łamali Mu więc nóg. 
JHN.19.34	Jeden z żołnierzy przebił jednak włócznią Jego bok, z którego wypłynęła krew i woda. 
JHN.19.35	Wiemy, że tak było, ponieważ potwierdził to naoczny świadek, a jego opis jest zgodny z prawdą. On wie, że przekazuje prawdę, abyście i wy uwierzyli. 
JHN.19.36	Stało się tak, aby spełniły się słowa Pisma: „Kości Jego nie zostaną połamane”. 
JHN.19.37	A także: „Będą patrzeć na Tego, którego przebili”.
JHN.19.38	Po tym wszystkim niejaki Józef z Arymatei poprosił Piłata o zgodę na zabranie ciała Jezusa. Józef był Jego uczniem, jednak ukrywał się przed przywódcami, ponieważ się ich bał. 
JHN.19.39	Przybył tam również Nikodem—ten, który kiedyś odwiedził Jezusa nocą i przyniósł z sobą około trzydziestu kilogramów mieszaniny mirry i aloesu. 
JHN.19.40	Zabrali więc ciało Jezusa i—zgodnie z żydowskim zwyczajem pogrzebowym—obwiązali je lnianymi płótnami oraz obsypali balsamem. 
JHN.19.41	Niedaleko miejsca ukrzyżowania, w ogrodzie, znajdował się nowy, nieużywany dotąd grobowiec. 
JHN.19.42	Złożyli w nim więc ciało Jezusa, bo spieszyli się, aby zdążyć przed nastaniem szabatu.
JHN.20.1	W niedzielę, wczesnym rankiem, gdy jeszcze było ciemno, przyszła do grobu Maria z Magdali. Zobaczyła, że głaz zamykający wejście jest odsunięty. 
JHN.20.2	Pobiegła więc do Szymona Piotra i do ucznia, który był najbliższym przyjacielem Jezusa, ze słowami:
JHN.20.2	—Ktoś zabrał z grobu Pana i nie wiem, gdzie Go położono!
JHN.20.3	Piotr wraz z tym uczniem szybko wybrali się do grobu. 
JHN.20.4	Biegli razem, ale tamten wyprzedził Piotra i pierwszy dobiegł na miejsce. 
JHN.20.5	Zajrzał i zobaczył leżące płótna, ale nie wszedł do środka. 
JHN.20.6	Po chwili nadbiegł Szymon Piotr. Wszedł do grobowca i zaczął oglądać płótna 
JHN.20.7	oraz chustę okrywającą głowę Jezusa, która leżała zwinięta nie z płótnami, ale osobno. 
JHN.20.8	Potem również uczeń, który pierwszy dobiegł na miejsce, wszedł do środka. Zobaczył pusty grób i uwierzył. 
JHN.20.9	Do tej pory nie rozumieli bowiem słów Pisma, mówiących, że Jezus ma zmartwychwstać. 
JHN.20.10	Po tym wszystkim uczniowie wrócili do domu.
JHN.20.11	Maria z Magdali stała natomiast przed wejściem do grobu i płakała. Po chwili, gdy zajrzała do środka, 
JHN.20.12	zobaczyła dwóch aniołów w białych szatach. Jeden siedział w miejscu, w którym leżała głowa Jezusa, drugi—w miejscu, w którym były Jego stopy.
JHN.20.13	—Dlaczego płaczesz?—zapytali ją aniołowie.
JHN.20.13	—Ktoś zabrał mojego Pana i nie wiem, gdzie Go położył—odpowiedziała.
JHN.20.14	Następnie odwróciła się i zobaczyła stojącego Jezusa, ale Go nie poznała.
JHN.20.15	—Dlaczego płaczesz? Kogo szukasz?—zapytał Jezus.
JHN.20.15	—Panie, jeśli to ty Go wyniosłeś, powiedz, gdzie Go położyłeś, a ja Go stamtąd wezmę—powiedziała Maria, myśląc, że to ogrodnik.
JHN.20.16	—Mario!—rzekł Jezus.
JHN.20.16	—Rabbuni! (to znaczy: „Nauczycielu!”)—powiedziała Maria.
JHN.20.17	—Nie zatrzymuj Mnie—rzekł Jezus. —Jeszcze nie wstąpiłem do Ojca. Idź natomiast do moich braci i powiedz im: Idę do mojego Ojca i do waszego Ojca, do mojego Boga i do waszego Boga.
JHN.20.18	Wtedy Maria udała się do uczniów i oznajmiła:
JHN.20.18	—Widziałam Pana!—i powtórzyła im, co jej powiedział.
JHN.20.19	Jeszcze tego samego dnia, wieczorem, uczniowie zebrali się w jednym miejscu. Bali się przywódców, więc spotkali się za zamkniętymi drzwiami. Nagle do pomieszczenia, w którym byli, wszedł Jezus—stanął pośrodku nich i powiedział:
JHN.20.19	—Pokój wam!
JHN.20.20	I pokazał im przebite ręce oraz bok. Na widok żywego Pana ogarnęła ich radość. 
JHN.20.21	On zaś powtórzył:
JHN.20.21	—Pokój wam! Jak Ojciec posłał Mnie, tak i Ja posyłam was.
JHN.20.22	Po tych słowach tchnął na nich i rzekł:
JHN.20.22	—Weźcie Ducha Świętego! 
JHN.20.23	Ci, których uwolnicie od grzechów, będą od nich wolni, ci zaś, których nie uwolnicie, pozostaną w grzechach.
JHN.20.24	Nie było wtedy wśród nich jednego ucznia—Tomasza, zwanego Bliźniakiem. 
JHN.20.25	Pozostali powiedzieli mu więc:
JHN.20.25	—Słuchaj! Widzieliśmy Pana!
JHN.20.25	—Co takiego?!—zawołał Tomasz. —Jeżeli nie zobaczę na Jego rękach śladów po gwoździach i nie włożę w nie palca, nie uwierzę! Jeśli nie włożę ręki w Jego przebity bok—nie uwierzę!
JHN.20.26	Minęło osiem dni i uczniowie znowu zebrali się w jednym miejscu. Tym razem Tomasz był z nimi. Podobnie jak poprzednio, Jezus wszedł pomimo zamkniętych drzwi, stanął pośrodku i powiedział:
JHN.20.26	—Pokój wam!
JHN.20.27	Następnie rzekł do Tomasza:
JHN.20.27	—Włóż palec w moje ręce. Włóż rękę w mój bok. I nie bądź już niedowiarkiem, ale uwierz!
JHN.20.28	—Jesteś moim Panem i Bogiem!—zawołał Tomasz.
