MAT.1.1	Chitabu cha welesi wa Yesu Chilisito, mzukulu wa Daudi, mzukulu wa Bulahimu.
ACT.12.17	Petii kawapungila mkono wanyamale, kawalongela Mndewa viyamulavile muna ichifungo. Maabaho kawalongela wagale mbuli iyo kwa Yakobo na waja wahuwila wamwenga, maabaho kasegela kahita hanhu hamwenga.
ACT.12.18	Viifikile imitondo, wakalizi wengilwa na mkangagile kwa chiya chimulawilile Petili. 
ACT.12.19	Helode kalagiliza wamzahile, mbali hawamuwonile bule. Ivo kawauza waja iwakalizi na kalagiliza wakomigwe.
ACT.12.19	Maabaho Helode kasegela Yudeya kahita Kaisaliya, kakala uko lusita ludodo.
ACT.12.20	Helodi kawehila ng'hani wanhu wa Tilo na Sidoni, ivo wahita hamwe kumulola. Teng'hu watenda umbwiya na Balasito, yakalile msang'hani yokwaminika muna ikaye ya mfalume muladi yawataze. Maabaho wahita kwa Helode na wampula kuwe na tindiwalo, kwaviya zisi zawo zihuwila isi ya mfalume kupata ndiya.
ACT.12.21	Muna isiku yoisaguligwe Helode kayawala viwalo vake va chifalume na kakala muna ichigoda chake cha ufalume, kawalongela wanhu. 
ACT.12.22	Wanhu walandula madizi, “Dino siyo dizi da munhu, mbali da imwe wa milungu!” 
ACT.12.23	Bahobaho msenga wa kuulanga wa Mndewa kamgwisa hasi Helode kwaviya hamtunhize Mulungu. Kadigwa na sango na kadanganika.
ACT.12.24	Mbuli ya Mulungu igendelela na kwenela.
ACT.12.25	Balinaba na Sauli viwakomeleze usang'hano wawo, wabwela kulawa Yelusalemu, wamsola Yohana yoyatangigwe Maliki.
ACT.13.1	Mgati mwa bumbila da wahuwila wa Chilisito da Antiyokiya kukala na walotezi wa Mulungu na wafundiza, nawo wakala Balinaba, na Saimoni yoyatangigwe Mtitu, na Lukiyo yolawila Chilene, na Sauli, na Manaeni yoyaleligwe na Helode. 
ACT.13.2	Viwakalile wotosa kwa Mndewa na kufunga kuja, Muhe Yelile kawalongela, “Nibagulileni Balinaba na Sauli kwa ichimu cha sang'hano iniwatangile.”
ACT.13.3	Viwakomeleze kufunga na kutosa, wawekila makono na kawaleka wahita.
ACT.13.4	Balinaba na Sauli wagaligwa na Muhe Yelile, wahulumukila Seleukiya, na kulawa uko wengila muna ingalawa mbaka Chipulo. 
ACT.13.5	Viwafikile Salami, wapeta Mbuli ya Mulungu muna zikaye za kutosela za Wayahudi. Yohana Maliki kakala mtazi wawo.
ACT.13.6	Wahita visiwa vose va Pafo, uko wamfika Muyahudi imwe muhawi, mulotezi wa uvwizi yotangigwa Bali Yesu. 
ACT.13.7	Munhu iyo kakala mbwiya wa Seligiyo Paulo, mkulu wa ichisiwa, munhu yeli na luti. Seligiyo Paulo kawatanga Balinaba na Sauli wahite kumwake kwaviya kalonda yahulike Mbuli ya Mulungu. 
ACT.13.8	Mbali iyo imuhawi Bali Yesu, zina jake dimwenga Elima, kalonda yamtende imkulu ija wa ichisiwa yaleke kuhuwila na kaisosokanya nawo. 
ACT.13.9	Mbali Sauli, zina jake dimwenga Paulo, kuno kamema Muhe Yelile, kambunhulila yameso Elima, 
ACT.13.10	kalonga, “Weye mwana wa Mwihi! Weye ni mwihi wa chila chinhu chinogile. Kumema uvwizi na ubozi wose, na siku zose huleka bule kuuzeha ukweli wa Mndewa! 
ACT.13.11	Sambi mkono wa Mndewa wizakwamha, na weye kwizakuwa chipofu na hwizawona bung'hulo da zuwa kwa lusita ludodo.”
ACT.13.11	Bahobaho kungugu na ziza vimwizila, na kahita uko na uko kolonda munhu wa kumwamha mkono yamulangulize. 
ACT.13.12	Mkulu wa ichisiwa viyawonile yaja yalawilile, kahuwila kwaviya kazanywa kwa mafundizo ya mbuli za Mndewa.
ACT.13.13	Paulo na wayage wang'ola ingalawa kulawa Pafo mbaka Pelige, bululu da Pamfiliya. Uko Yohana Maliki kawaleka, kabwela Yelusalemu. 
ACT.13.14	Wagendelela na umwanza kulawa Pelige kuhita Antiyokiya yili uko Pisidiya. Muna Isiku ya Mhumulo wengila mwiikaye ya kutosela na wakala hasi. 
ACT.13.15	Chitabu cha Malagilizo ya Mulungu yoyamwing'hile Musa na ichitabu cha walotezi wa Mulungu havisomigwa, wakulu wa kaye ya kutosela ya Mulungu watuma usenga, “Wandugu, one muhawa na mbuli ya kuwalongela wanhu wano, walongeleni.” 
ACT.13.16	Paulo kenuka kenula mkono wake na kandusa kulonga,
ACT.13.16	“Mweye Waisilaeli wayangu na mweye wanhu womumtosela Mulungu! Nitegelezeni!” 
ACT.13.17	Mulungu wa wanhu wano wa Isilaeli kawasagula wasaho zetu, kuwatemela mate wanhu wawo baho hawakalile wageni muna isi ya Misili, na kwa udaho wake mkulu kawalava muna isi iyo 
ACT.13.18	na kwa miyaka malongo mane kawafunyila umoyo kudibwilingu. 
ACT.13.19	Kayabananga makabila saba muna isi ya Kanani na kaweng'ha wanhu wake isi ija iwe yawo. 
ACT.13.20	Yano yose yakala kwa miyaka magana mane na malongo matano.
ACT.13.20	“Hamwande, Mulungu kaweng'ha walotezi wa Mulungu mbaka muna zisiku za mulotezi wa Mulungu Samweli. 
ACT.13.21	Maabaho wanhu viwapulile wawe na mfalume, Mulungu kaweng'ha Sauli, mwana wa Kishi wa kabila da Benjamini yawe mfalume wawo kwa chipindi cha miyaka malongo mane. 
ACT.13.22	Mulungu viyamulavile Sauli, kamtenda Daudi yawe mfalume wawo. Mulungu kalonga mbuli ya Daudi, ‘Nimuwona Daudi, mwana wa Yese, munhu yaunogele umoyo wangu. Yeye kezatenda chila chinhu chonimulonda yachitende.’ 
ACT.13.23	Kulawa muna welesi wa Daudi, Mulungu kawagalila wanhu wa Isilaeli Mulopozi Yesu, fana viyalongile. 
ACT.13.24	Yang'hali Yesu hanakwandusa sang'hano yake, Yohana kawapetela wanhu wose wa Isilaeli waleke uhasanyi wawo na wabatizigwe. 
ACT.13.25	Nayo Yohana viyakalile kokomeleza usang'hano wake, kawalongela wanhu, ‘Mweye mwogesa niye nayelihi? Si niye bule imumgoza. Mbali imwe kokwiza kuchisogo changu, iyo niye sifaya bule hata kwiinama na kufungula nzabi za vilatu vake.’
ACT.13.26	“Waisilaeli wayangu, welesi wa Bulahimu, na mweye wanhu wose muli siyo Wayahudi womumtosela Mulungu, mbuli ino ya ulopozi igaligwa kumwetu. 
ACT.13.27	Wanhu wa Yelusalemu na walangulizi wawo hawavimanyile kuwa Yesu kakala yelihi, na hawavimanyile mbuli za walotezi zowosoma chila Isiku ya Mhumulo. Ivo wamtagusa Yesu fana walotezi viwalongile. 
ACT.13.28	Ingawa hawapatile chimu cha kumtagusa ifa, wamulamba Pilato yamkome. 
ACT.13.29	Viwakomeleze kutenda chiya chandikigwe muna Yamaandiko Yelile kwa ichimu chake, wamuhulumusa kulawa muna umsalaba na wamwika muna dileme. 
ACT.13.30	Mbali Mulungu kamzilibula, 
ACT.13.31	na kwa siku nyingi kakala kowoneka na waja woyengile nawo kulawa Galilaya kuhita Yelusalemu. Wawo sambi ni wakalangama wake kwa wanhu wa Isilaeli. 
ACT.13.32	Na cheye chowapetela Mbuli Inogile, mbuli ija Mulungu iyailagane na wasaho zetu. 
ACT.13.33	Mulungu kaifikizila kumwetu cheye, iwana wawo chilagano icho kwa kumzilibula Yesu, fana viyandikikwe muna Izabuli yekaidi,
ACT.13.33	‘Weye iyo mwanangu,
ACT.13.33	Diyelo niwa Tati yako.’
ACT.13.34	Mulungu kamzilibula na hamulekile lukuli lwake luwole muna dileme, Mulungu kalonga,
ACT.13.34	‘Nizakwing'ha balaka zelile na za kweli zoniilagane na Daudi.’ 
ACT.13.35	Na hanhu hamwenga muna ichitabu cha Zabuli kalonga
ACT.13.35	‘Whizamuleka mtumigwa wako Yelile yawole muna dileme.’
ACT.13.36	Kwaviya Daudi viyakomeleze kumsang'hanila Mulungu muna ugima wake, kadanganika na kawandigwa hamwe na wasaho zake, lukuli lwake luwola. 
ACT.13.37	Mbali Mulungu kamzilibula Yesu, na lukuli lwake haluwolile bule.
ACT.13.38	“Ivo ndugu zangu nolonda muvimanye kuwa kufosela Yesu, mbuli ya kulekeleligwa uhasanyi yopetigwa kumwenu, 
ACT.13.39	na chila munhu yomuhuwila Yesu kotendigwa yabagule vinhu vose vovimtenda yaleke kuwoneka kanoga haulongozi ha Mulungu kufosela Malagilizo ya Mulungu yoyamwing'hile Musa. 
ACT.13.40	Lelo muiteganye sekemwize kupatigwa na yaja yalongigwe na walotezi wa Mulungu.
ACT.13.41	“ ‘Tegelezeni mweye muli wazeha,
ACT.13.41	sang'haneni mwage.
ACT.13.41	Kwaviya chinitenda sambi,
ACT.13.41	muna lusita lwenu ni chinhu chili hachihuwila,
ACT.13.41	hata fana munhu yahawalongela.’ ”
ACT.13.42	Paulo na Balinaba viwakalile wolawa muna ikaye ya kumpulila Mulungu, wanhu wawalamba weze kulonga kaidi mbuli zino muna Isiku ya Mhumulo imwenga 
ACT.13.43	Mting'hano uwo viumalile, Wayahudi wengi na wanhu weli siyo Wayahudi wowakalile wosondelkela nzila ya kumsondelela Mulungu ya Chiyahudi wawasondelela Paulo na Balinaba. Watumigwa wawo walonga nawo, wawaguma moyo wagendelele kukala muna unovu wa Mulungu.
ACT.13.44	Isiku ya Mhumulo iwinzile, wanhu wose muna dibululu diya weza kutegeleza mbuli ya Mndewa. 
ACT.13.45	Mbali Wayahudi viwawonile mting'hano, wawona migongo, wailema mbuli ilongigwe na Paulo na wamuliga, 
ACT.13.46	Mbali Paulo na Balinaba wawedika bila kuwawonela chinyala, “Chilondeka chimulongeleni mweye teng'hu Mbuli ya Mulungu. Mbali kwaviya moilema na kuwona kuwa hamufaya bule kwa ugima wa siku zose. Lelo chomulekani mweye na kuwagalila wanhu weli siyo Wayahudi. 
ACT.13.47	Kwaviya Mndewa kachilagiliza vino,
ACT.13.47	Nikutenda uwe bung'hulo da wanhu weli siyo Wayahudi,
ACT.13.47	muladi wanhu wa isi yose wadahe kukomboligwa.”
ACT.13.48	Wanhu siyo Wayahudi viwahulike mbuli iyo wadeng'helela wautogola usenga wa Mndewa, waja wakalile wasaguligwe kupata ugima wa siku zose, wawa na uhuwilo.
ACT.13.49	Mbuli ya Mndewa yenela chila hanhu mwiisi ija. 
ACT.13.50	Mbali Wayahudi wawatenda walume wakalile wolanguliza bululu na walangulizi wa wanaake siyo Wayahudi wowakalile womdumba Mulungu wawakong'hela Paulo na Balinaba na wawawinga kunze ya bululu ijo. 
ACT.13.51	Watumigwa wakung'huna timbwisi dikalile muna imigulu yawo fana lamulo. Maabaho wahita Ikoniya. 
ACT.13.52	Mbali wahuwila weli Antiyokiya wakala wamema deng'ho na Muhe Yelile.
ACT.14.1	Uko Ikoniya mbuli zikala fana vizikalile kuja Antiokiya, Paulo na Balinaba wahita muna zikaye za kutosela za Wayahudi walonga kwa ugangamalo mbaka Wayahudi wengi na wanhu weli siyo Wayahudi wahuwila. 
ACT.14.2	Mbali Wayahudi weli hawahuwila wawasongeza wanhu weli siyo Wayahudi wawaleme wanhu wohuwila. 
ACT.14.3	Paulo na Balinaba wakala lusita mwingi, walonga kwa ugangamalo mbuli ya Mndewa, iyo kalagusa kuwa usenga wa unovu wa Mulungu ukala kweli kwa kuweng'ha ludabwa lwa kutenda mauzauza na mawewedeko. 
ACT.14.4	Wanhu wa isi ija waibagula, wamwenga wakala ubanzi wa Wayahudi na wamwenga ubanzi wa watumigwa.
ACT.14.5	Maabaho wanhu wamwenga weli siyo Wayahudi na Wayahudi, hamwe na walangulizi wawo, wailungila kuwatendela vihile watumigwa na kuwatowa na mabwe. 
ACT.14.6	Watumigwa viwaimanyile mbuli iyo wakimbilila Lisitila na Delibe, isi ya Lukaniya na muna zisi zili habehi. 
ACT.14.7	Uko wagendelela kupeta Mbuli Inogile.
ACT.14.8	Uko Lisitila kukala na munhu imwe yakalile mbetembete kwandusila kwelekigwa kwake na hadahile kugenda. 
ACT.14.9	Kamtegeleza Paulo viyakalile yolonga, Paulo kamuwona kana uhuwilo wa kuhonyigwa, ivo kambunhulila yameso 
ACT.14.10	na kamulandulila dizi, “Ima kwa magulu yako!” Bahaja munhu ija kazumha na kandusa kugenda. 
ACT.14.11	Lung'husesa lwa wanhu viwawonile chiyatendile Paulo, wandusa kulandula madizi yawo kwa ulonzi wa Chilukoniya, “Milungu iza kumwetu muna ivihanga fana va wanhu!” 
ACT.14.12	Balinaba katangigwa Zeu, na Paulo kwaviya yeye iyo yakalile mulangulizi wa kulonga katangigwa Helime, 
ACT.14.13	mkulu wa nhambiko wa imwe wa milungu yatangigwe Zeu, kaye yake ya kutosela ikala kunze mwa dibululu, kagala ng'ombe na maluwa kuna ulwivi lwa bululu kwaviya yeye na mting'hano walonda walave nhosa kwa watumigwa.
ACT.14.14	Mbali watumigwa Paulo na Balinaba viwahulike ivo, wavidega viwalo vawo na wakimbila muna ulung'husesa lwa wanhu na waguta nyangi, 
ACT.14.15	“Habali motenda ivo? Cheye iviya cha wanhu fana mweye. Chongalilani Mbuli Inogile muladi muleke mbuli zili si chinhu na mumuhindukile Mulungu yeli na ugima, yalumbile ulanga na isi na bahali na vinhu vose vili muno. 
ACT.14.16	Umwaka Mulungu kawalekela wanhu wose watende viwolonda. 
ACT.14.17	Kalagusa kuwa kabahano kwa yanogile yoyatendile viyatendile, kaweng'ha mvula kulawa kuulanga na mavuno kwa lusita lwake, kaweng'ha ndiya nyingi na kuwadeng'heleza mizoyo yenu.” 
ACT.14.18	Ingawa watumigwa walonga ivo, ikala vidala kuwalemesa wanhu waleke kuwatambikila wawo.
ACT.14.19	Wayahudi wamwenga kulawa Antiyokiya na Ikoniya wawatenda wanhu wamtende vihile Paulo, wamtowa na mabwe na wambulula mbaka kunze ya dibululu, wagesa kadanganika. 
ACT.14.20	Mbali wanahina viwamzunguluke, kenuka na kabwela kaidi muna dibulu. Siku isondelele yeye na Balinaba wahita Delibe.
ACT.14.21	Paulo na Balinaba wapeta Mbuli Inogile uko Delibe na wapata wanahina wengi. Maabaho wabwela Lisitila na Ikoniya na Antiyokiya. 
ACT.14.22	Wawagangamiza wanahina mizoyo yawo wa mabululu yayo na wawalamba wakale muna uhuwilo. Wawafundiza, “Cholondeka chifosele muna yamanhesa mengi muladi kwingila muna Ufalume wa Mulungu.” 
ACT.14.23	Paulo na Balinaba viwakomeleze kuwasagulila walala muna chila bumbila da wahuwila wa Chilisito na kutambika hamwe na kufunga waweka muna yamakono ya Mndewa wowamuhuwile. 
ACT.14.24	Maabaho Paulo na Balinaba wahita kufosela muna iisi ya Pisidiya, wafika Pamfiliya. 
ACT.14.25	Kuja Pelige wapeta Mbuli Inogile na maabaho wahita Ataliya.
ACT.14.26	Kulawa Ataliya, wengila muna ingalawa, wabwela Antiyokiya. Hanhu howapuliligwe unovu wa Mulungu kwa sang'hano ija yowaikomeleze sambi. 
ACT.14.27	Viwafikile Antiyokiya, waiting'hana hamwe na wanhu wa bumbila wa wahuwila wa Chilisito, wawalongela vinhu vose viyatendile Mulungu hamwe nawo, na viyawavugulile ulwivi lwa uhuwilo wanhu weli siyo Wayahudi. 
ACT.14.28	Na wakala uko kwa lusita mwingi hamwe na wanahina.
ACT.15.1	Wanhu wamwenga weza Antiyokiya kulawa Yudeya na wandusa kuwafundiza wahuwila, “One hamwingile ulungwana fana Malagilizo ya Mulungu yoyamwing'hile Musa viyolonga, hamudaha bule kulopoligwa.” 
ACT.15.2	Mbuli ino iwatenda Paulo na Balinaba waihasanye nawo. Ivo Paulo na Balinaba wasaguligwa hamwe na wahuwila wamwenga wa Antiyokiya wahite Yelusalemu kuwalola watumigwa na walala kwa ichimu cha mbuli iyo.
ACT.15.3	Wagaligwa na wahuwila, na viwakalile wohita kufosela Foinike na Samaliya, wawalongela mbuli za kukomboligwa kwa wanhu weli siyo Wayahudi. Mbuli ino iwadeng'heleza ng'hani wahuwila wose. 
ACT.15.4	Viwafikile Yelusalemu wahokiligwa na wanhu wohuwila na watumigwa na walala, nawo wawalongela yose Mulungu yoyatendile kufosela wawo. 
ACT.15.5	Mbali wanhu wamwenga wahuwile kulawa muna dibumbila da Mafalisayo wema na walonga, “Wanhu weli siyo Wayahudi wolondeka wamhe Malagilizo ya Mulungu yoyamwing'hile Musa.”
ACT.15.6	Watumigwa na walala waiting'hana hamwe muladi walonganye mbuza iyo. 
ACT.15.7	Viwakomeleze kulonganya, Petili kema na kalonga, “Ndugu zangu, movimanya kuwa umwaka Mulungu kanisagula kumwenu niwapetele Mbuli Inogile wanhu weli siyo Wayahudi, muladi wahulike na wahuwile. 
ACT.15.8	Mulungu yomanya magesa ya chila munhu kalagusa kuwa kawatogola wanhu weli siyo Wayahudi kwa kuweng'ha Muhe Yelile fana viya viyachitendele cheye. 
ACT.15.9	Hatendile ubagulo wowose hagati yetu cheye na wawo, kawalekelela uhasanyi wawo kwaviya wamuhuwila. 
ACT.15.10	Lelo habali sambi momgeza Mulungu kwa kuwatwika mbahasha zizamile wanhu waja womuhuwila Yesu, mbahasha ziya cheye wala wasaho zetu hachidaha kwinula? 
ACT.15.11	Bule! Chohuwila na kukomboligwa kwa unovu wa Mndewa Yesu, fana viya viweli wawo.”
ACT.15.12	Bumbila jose dikala hupi dowategeleza Balinaba na Paulo viwosimulila mauzauza na mawewedeko yoyatendile Mulungu kwa wanhu weli siyo Wayahudi kufosela wawo. 
ACT.15.13	Viwakomeleze kulonga, Yakobo kandusa kulonga, “Ndugu zangu nitegelezeni! 
ACT.15.14	Saimoni kachilongela viya Mulungu viyawatendele wanhu weli siyo Wayahudi baho mwanduso, kawasagula wamwenga wawo wawe wanhu wake. 
ACT.15.15	Mbuli zino zilinga fana mbuli za walotezi wa Mulungu, fana Maandiko Yelile viyolonga.
ACT.15.16	“Mndewa kalonga,
ACT.15.16	‘Zihamala mbuli zino nizabwela
ACT.15.16	na nizazenga kaidi ufalume wa Daudi.
ACT.15.16	Nizazenga kaidi mahame yake
ACT.15.16	na nizaugangamiza kaidi.
ACT.15.17	Na ivo wanhu wose wasigale wamzahile Mndewa,
ACT.15.17	wanhu wose weli siyo Wayahudi woniwatangile wawe wangu.
ACT.15.18	Ivo viyalongile Mndewa, yatendile mbuli ino imanyike kulawa umwaka.’ ”
ACT.15.19	Yakobo kagendelela kulonga, “Lelo niye nolamula vino, chileke kuwagaza wanhu weli siyo Wayahudi wowamuhindukile Mulungu. 
ACT.15.20	Mbali chiwagalile baluwa kuwalongela sekewaje ndiya zambule mwiko kwa kutambikila nyang'hiti za milungu, wayepule na uashelati na sekewaje ng'onyo jojose dibobotoligwe na sekewang'we damu. 
ACT.15.21	Kwaviya kulawa umwaka Malagilizo ya Mulungu yoyamwing'hile Musa yakala yosomigwa muna zikaye za kutosela chila Isiku ya Mhumulo, na mbuli zake zipetigwa chila bululu.”
ACT.15.22	Maabaho watumigwa na walala hamwe na wahuwila wose, walamula kusagula wanhu mgati mmwawo wa kuwagala Antiyokiya hamwe na Paulo na Balinaba. Wawasagula Yuda yatangigwe Balisaba na Sila. Wawo wakala walangulizi mgati mwa wahuwila. 
ACT.15.23	Watuma usenga uno,
ACT.15.23	“Ndugu zetu wose muli siyo Wayahudi womukala Antiyokiya na Siliya na Chilikiya, cheye watumigwa na walala ndugu zenu, chomulamsani. 
ACT.15.24	Kwaviya chihulika kuwa wanhu wengi walawile kumwetu wawagaza kwa kuyagiza mizoyo yenu kwa mbuli zawo, mbali hachiwatumile bule. 
ACT.15.25	Ivo chose chiitogolela kuwasagula wanhu wamwenga na kuwatuma kumwenu hamwe na mambwiya zetu Balinaba na Paulo. 
ACT.15.26	Wawo waulava ugima wawo kwa ichimu cha zina da Mndewa wetu Yesu Chilisito. 
ACT.15.27	Lelo chiwatuma Yuda na Sila kumwenu. Wawo wezalonga wenyewo chiya chochiwandikile. 
ACT.15.28	Chiwona vinoga kwa Muhe Yelile na kwa cheye chileke kumtwikani mbahasha zizamile kufosa yano yomulondeka kuyamanya. 
ACT.15.29	Lelo muyepule na vinhu vitambikiligwe nyang'hiti. Sekemuje damu, sekemuje nyama zifidigwe na sekemutende uashelati. Muhayepula na yayo motenda yanogile.”
ACT.15.30	Ivo waileka na wahita Antiyokiya, uko wawatanga wahuwila wose na waweng'ha usenga uwo. 
ACT.15.31	Wanhu viwasomile usenga uwo, wadeng'helela ng'hani kwaviya usenga uja uwaguma moyo. 
ACT.15.32	Maabaho Yuda na Sila kwaviya wawo wenyewo wakala walotezi wa Mulungu, walonga mengi kuwaguma moyo na kuweng'ha nguvu wahuwila. 
ACT.15.33	Viwakomeleze kukala uko, wanhu wowahuwile wa Antiokiya wawalaga, wawalondela tindiwalo, maabaho wabwela Yelusalemu kwa waja wakalile wawatumile. 
ACT.15.34	Mbali Sila kawona vinoga kukala uko. 
ACT.15.35	Paulo na Balinaba wasigala uko Antiyokiya, wawo na wanhu wamwenga wengi wafundiza na wapeta Mbuli Inogile ya Mndewa.
ACT.15.36	Vizifosile siku nyingi, Paulo kamulongela Balinaba, “Haya chibwele kuchisogo chikawalaule wanhu wohuwila muna yamabululu yose yochipetile Mbuli Inogile ya Mndewa na kulola viwogendelela.” 
ACT.15.37	Balinaba kalonda kumsola Yohana yotangigwa Maliki wahite nayo, 
ACT.15.38	mbali Paulo hagesile kuwa vinoga kumsola Yohana, kwaviya halondile kukala nawo mbaka uhelelo wa sang'hano yawo, mbali Yohana kabwela na kawaleka Pamfiliya. 
ACT.15.39	Maabaho waihasanya ng'hani mbaka waigola. Balinaba kamsola Maliki wahita Chipulo. 
ACT.15.40	Mbali Paulo kamsagula Sila na wahuwila wa hanhu baho viwakomeleze kumwika muna unovu wa Mndewa, kasegela. 
ACT.15.41	Kafosela Siliya na Chilikiya, kuwaguma moyo wahuwila.
ACT.16.1	Paulo kafika Delibe na Lisitila, uko kukala na munhu imwe yomuhuwila Yesu. Munhu iyo katangigwa Timoseyo. Mami yake kakala Muyahudi yoyamuhuwile Mndewa, mbali tati yake kakala siyo Muyahudi. 
ACT.16.2	Wahuwila wose wa Lisitila na Ikoniya wamulongela yanogile Timoseyo. 
ACT.16.3	Paulo kalonda yamsole Timoseyo yahite nayo, ivo kamwingiza ulungwana kwaviya Wayahudi wakalile isi ija wavimanya kuwa tati yake Timoseyo kakala Mgiliki. 
ACT.16.4	Na viwakalile wang'hali wofosa muna yamabululu, waweng'ha wanhu waja malagilizo yoyalavigwe na watumigwa na walala wa Yelusalemu, wawalongela wayamhe. 
ACT.16.5	Ivo wahuwila wongezeka kuwa na nguvu muna uhuwilo na wanhu wongezeka chila siku.
ACT.16.6	Wafosa muna isi ya Filigiya na Galatiya kwaviya Muhe Yelile kawalemesa sekewapete usenga muna zisi za Asiya. 
ACT.16.7	Viwafikile hana imhaka na Misiya, walonda wahite Bisiniya, mbali Muhe wa Yesu kawalemesa. 
ACT.16.8	Wafosela Misiya, wahulumukila Tulowa, 
ACT.16.9	Chilo chiya Paulo kawona malaguso ya munhu wa Makedoniya kema, kamulamba, kalonga, “Izo Mekodoniya uchitaze!” 
ACT.16.10	Paulo viyakomeleze kuwona malaguso, baho chiisasala kuhita Makedoniya, kwaviya chiwona kuwa Mulungu kachitanga chikawapetele Mbuli Inogile wanhu wa uko.
ACT.16.11	Kulawa Tulowa chikwela ngalawa mbaka Sametilake, siku diwinzile chifika Neapoli. 
ACT.16.12	Kulawa uko chihita isi ya Filipi, bululu kulu dili muna isi ya Makedoniya, hanhu heli na mtawala wa Chilumi. Chikala muna dibululu dino kwa siku nyingi. 
ACT.16.13	Muna Isiku ya Mhumulo chilawa kunze ya dibululu na chihita kuna ulwanda, hanhu haja chigesa hana hanhu ha Wayahudi kuiting'hana hamwe kutosa. Chikala hasi na chilonga na wanaake wowaiting'hane haja. 
ACT.16.14	Mgati mwa iwaja wowachihulike kukala na mwanamke imwe yomdumba Mulungu. Zina jake Lidiya, mwanamke iyo kolawa muna dibululu da Siyatila. Iyo kakala kochuuza viwalo vidung'hu va hela nyingi. Mndewa kafungula moyo wake na kahokela yaja yoyalongile Paulo. 
ACT.16.15	Yeye na wanhu wa kaye yake viwakomeleze kubatizigwa kachilamba chihite ukaye yake, kalonga, “One muniwona niye nomuhuwila Mndewa, izoni mukale ukaye yangu.” Na kachilamba ng'hani chihite.
ACT.16.16	Siku dimwe vichikalile chohita hanhu ha nhambiko, mndele imwe yakalile na chinyamkela wa kulagula kaiting'hana na cheye. Kakala kawapatila wenevale wake hela nyingi kwa ulaguzi wake. 
ACT.16.17	Kamuinza Paulo na cheye kuno koguta nyangi, “Wanhu wano ni wasang'hani wa Mulungu mkulu yeli uchanyha! Womulongelani viya vondamukomboligwe!” 
ACT.16.18	Katenda ivo kwa siku nyingi mbali Paulo havilondile, kamuhindukila na kamulongela iyo, “Kwa zina da Yesu Chilisito, nokulongela mulawe munhu ino!” Bahobaho chinyamkela kamulawa munhu ija.
ACT.16.19	Wenevale wa mndele ija viwawonile lolelo da kupata sente dimala, wawagwila Paulo na Sila na wawabulula mbaka waugulila vinhu haulongozi ha iwakulu. 
ACT.16.20	Wawagala haulongozi ha wakulu wa Chilumi na walonga, “Wanhu wano ni Wayahudi na wotenda ndwagi muna dibululu jetu. 
ACT.16.21	Wofundiza vihendo vawo viya havilondeka na malagilizo yetu, cheye ni wakaya wa Loma na hachidaha bule kutogola vihendo vino.”
ACT.16.22	Lung'husesa lwa wanhu wailumba na kuwalema Paulo na Sila.
ACT.16.22	Maabaho wakulu wawahambula iviwalo Paulo na Sila, na walagiliza walanhigwe mibalati. 
ACT.16.23	Viwakomeleze kuwalanha wawaguma muna ichifungo, mkalizi wa chifungo kalagiliza wakalizigwe ng'hani. 
ACT.16.24	Nayo viyapatile malagilizo yayo, kawaguma muna ichifungo cha mgati, kawafunga migulu yawo na chibawo.
ACT.16.25	Ichilo chikulu Paulo na Sila wakala wotosa na kwimba nyila za kumtogoza Mulungu kuno wafungigwe wamwenga wakala wotegeleza. 
ACT.16.26	Bahobaho kulawila nyukwa nyukwa kulu da isi, mbaka mhanda za ichifungo zitingisigwa na zinyivi zivuguka na minyololo yawo ihagaya. 
ACT.16.27	Mkalizi wa ichifungo viyalamke na kuwona zinyivi za ichifungo zivuguligwa, kagesa kuwa wafungwa wose wakala wakimbila. Ivo kasomola zele jake kalonda kuikoma mwenyewo. 
ACT.16.28	Mbali Paulo kalonga kwa dizi kulu, “Sekeuikome mwenyewo! Wose chabahano!”
ACT.16.29	Mkalizi wa ichifungo kapula yagaliligwe chitasa, kakimbilila kuna ichiheleto, katumbala mavindi haulongozi ha Paulo na Sila kuno kogudemeka.
ACT.16.30	Maabaho kawalava kunze kawauza, “Wenevale, nolondeka nitende choni muladi nilopoligwe!” 
ACT.16.31	Wamwidika, “Muhuwile Mndewa Yesu, na kwizakomboka weye hamwe na kaye yako.” 
ACT.16.32	Maabaho wampetela mbuli ya Mndewa, yeye hamwe na wanhu wamwenga wose muna ikaye yake. 
ACT.16.33	Ichilo chiya imkalizi wa chifungo kawasola Paulo na Sila na kawasunha vilonda vawo, na bahobaho yeye na wanhu wa kaye yake wabatizigwa. 
ACT.16.34	Maabaho kawasola Paulo na Sila kawagala kuna ikaye yake na kaweng'ha ndiya waje. Yeye na wanhu wa kaye yake wadeng'helela kwaviya lelo womuhuwila Mulungu.
ACT.16.35	Imitondo yake wakulu wa Loma wawatuma wakulu wa wawakalizi kwa wakalizi wa chifungo na kawalongela, “Walekeni wanhu waja wahite.” 
ACT.16.36	Ija imkalizi wa chifungo kamulongela Paulo, “Wakulu wa Loma walagiliza weye na Sila mulekeliligwe. Lelo modaha kusegela, hiteni kwa tindiwalo.” 
