MAT.1.1	Ngel evi naul ne metka se Iesu Kristo metka se Devet, ko metka se Epram.
ACT.9.6	Ko kupmera, ko kupan ngaim Damaskas, ko iok jinibb san ni ko puwrai tevim sev nga kupa-loli.”
ACT.9.7	Ko nir nga marok-ivel tevi Sol artur murrong, sete arwerai nale san. Nir kele arunge drrelan ngok, ko sete arlesi jinibb san. 
ACT.9.8	Ko Sol otur mera eleng raji meten, ko meten omot. Ko selen nir arevei ko arpitevi van renge ngaim nga Damaskas e. 
ACT.9.9	Ko Sol meten orrorr erpok ejpari nabong itul, sete orongwos p̃ileslesi nanu san. Ko daron ngok kele, sete eaan ko sete eminmin.
ACT.9.10	Ko renge ngaim ngok Damaskas, jinibb san nga mok-osuri Iesu, nisen Ananaeas. Ni elesi bori san nga Numal muwra tevi “Ananaeas!” Ko Ananaeas orrum, owra “Inu le ngel, Numal.” 
ACT.9.11	Ko Atua owrai tevi “Kupmera ko kupvijuri sel nga mivel otvi liven ne ngaim ngel nga nisen Sel nga mimetet, ko kupan re naim se Jutas. Ko kupsusi m̃eri ngaim ne Tasas san, nisen Sol. M̃ernen oklik ko oklot. 
ACT.9.12	Ko ni kele elesi bori san, ko elesi nga nik Ananaeas kuan kujpari meten, ko meten erres luwi kele.” 
ACT.9.13	Ko Ananaeas owrai lweni, “Wurru, Numal, nir elep pa marok-sup̃e suri morok, nga ni oklokloksi jinibb se Atua nir nga marlik Jerusalem. 
ACT.9.14	Ko renge iel Damaskas kele elai derteren sen ngok ji batbatu jinibb ne sulsulen nir nga pivini purrul totkoni jinibb si nga muosuri nik.” 
ACT.9.15	Ko Numal owrai tevi owra “Kupiel, suri inu nulngi ni nga p̃imajing se inu, ko puloli nisek pian mare ji jinibb ne vare nir ko numal nir ko ji m̃eri Isrel kele. 
ACT.9.16	Ko daron nga puloli majingen suk, inu bowrai visviseni sel nga m̃isij sev nga pia-sekai iok.”
ACT.9.17	Ko Ananaeas ornge nale ngok nir, ko otur imare ko ean ji Sol renge naim se Jutas. Ean loloim ko elngi nevren re batu Sol, ko owrai tevi, “Niaken Sol, Numal nga mivi Iesu, nga miplari jim renge sel le, okoni inu nga bevini bololi kupkulu luwi kele, ko nga Nem̃in On kele puwun saut renge nolom.” 
ACT.9.18	Ko vesan rres nanu san erpe berte nai orvitan renge mete Sol, ko meten orkulu luwi vajin. Otur mera, ko sete epriv Ananaeas epaptaese. 
ACT.9.19	Ko eaan luwi ko jin eterter luwi vajin, ko elik nabong sopon kele tevi kalesia nir Damaskas.
ACT.9.20	Ko sete epriv nga Sol etajer kele van renge naim gortien nir se m̃eri Isrel, ko etipatun nga p̃iwerwer suri Iesu nga ni evi natu Atua. 
ACT.9.21	Ko nir jijle nga marunge ni artaole ko arwera “E, m̃er nga moktorrtorrlai kalesia nir Jerusalem ngok, ko evini tweni nga purrul totkonir ko p̃itkair van ji batu jinibb ne sulsulen nir!” 
ACT.9.22	Ko Sol derteren ne nale sen emaur elep, ko eviseni nir e erres nga Iesu evi Mesaea. Ko m̃eri Isrel nir nga ie arwera parij otvi nale sen, ko arunge nale se Sol eterter p̃elak ko norrorrmien ser omrrol, ko arbbut kobbong.
ACT.9.23	Ko nabong elep arasi, ko m̃eri Isrel sopor nga marlik iok arlolarsi Sol elep, ko armurri suri nga parevji pini. 
ACT.9.24	Ko nutrin ko nutpong kele, nir artirive Sol renge metali ne nawot nga milep nga m̃irrale ngaim ser, nga parevji pini. Ko jinibb san ean owrowra tweni womue norrorrmien ser tevi Sol. 
ACT.9.25	Ko natpong san jinibb se Sol nir arpitevi ko arsongni renge narr nga milep san, ko arjuröni rrurrngi renge lat nga m̃itp̃ir e san renge nawot van ngatan e. Erpok ko Sol eivare ko owlu.
ACT.9.26	Ko Sol evel lingi Damaskas ko olwi van Jerusalem e. Ko owra pukorti tevi jinibb se Iesu nir; ko nir sete arosuri nga ni evi kalesia, ko arwij ngasue. 
ACT.9.27	Ko Banapas ewilwil sen, ko eptei van liven ji aposol nir. Ni owra visviseni tevir erpese nga Sol m̃ilesi Numal renge sel, ko nga Numal kele m̃irij tevi. Ni owrai kele tevir erpese nga Sol sete mimtutu nga pusp̃e suri nise Iesu iak Damaskas. 
ACT.9.28	Ko Sol elik tevir ko arongwose vajin, ko arkorti tevi vajin. Ko evel lat p̃etp̃eti Jerusalem, ko sete emtutu nga poksup̃e suri nise Numal. 
ACT.9.29	Sol ewerwere nale kele sopor tevi m̃eri Isrel nir nga marlik ngasue vanu ser nga marongwose nale se m̃eri Gris nir, ko vitunen marini marlik Jerusalem. Ko nir sete armerreni nale se Sol ko arlatlat tevi suri. Ko sete epriv nir arlolar ko arwera parevji pini. 
ACT.9.30	Ko daron nga kalesia marunge nale nga m̃eri ie marwera parevji pini Sol, ko artekai van ko arlingi elik talev Sisaria. Ko vitunen arkoni tweni van sisen e Tasas.
ACT.9.31	Ko renge daron nen, kalesia nir nga marlik sarrsarr renge vanu ne Jutia, Galili ko Sameria arlik renge demat. Ko Nem̃in On elai derteren tevir, ko nir arlik eterter nga marosuri Numal. Ko nir elep temijpal malum arini nga marosuri Numal vajin.
ACT.9.32	Ko Pita otutur errale lat sopon, ko daron san evan ji jinibb se Atua nir ne ngaim ngok Lita. 
ACT.9.33	Re ngaim ngok, eskai jinibb san nga niben mimij mijpari sia owil ko pa osuw nga sete orongwose pivel, ko okmatur kobbong re maling sen. M̃ernen nisen Aeneas. 
ACT.9.34	Mian ko Pita owrai tevi owra “Aeneas, lelingen wolok ko pa Iesu Kristo puloli kuprres luwi. Kuptur mera kuplulngi maling som!” Ko vesan rres Aeneas otur imare. 
ACT.9.35	Ko nir jijle nga marlik re ngaim ne Lita ko re kele vanu ne Saron, daron nga marlesi, ko arieni norrorrmien ser ko arvijuri Numal se kerr.
ACT.9.36	Ko nesevin san elik re ngaim ngok Jopa, nisen Tapita (nais ngok owra puwra die, nanu rrum san. Re nale se m̃eri Gris nir, arveruse Dokas). Vinnen osuri Atua ko tetajer okloli majingen nga marres nir ko okwilwil se kele nir nga joror marjikie. 
ACT.9.37	Re daron ngok mesien san ololi, mian ko emij. Ko arrawe lilane niben, ko arlingi renge loloim san kele mare renge naim sen tera nga partevni.
ACT.9.38	Ko Jopa oto mori bbong Lita ko sopon; ko daron nga jinibb se Iesu nga Jopa marunge nale nga Pita m̃ilik Lita, ko arkoni nuru eru oran jin tevi nale ngel nga muwra “Wurru kupsaro ta pingavilvil sopon, kupini kuplesi kem iel.” 
ACT.9.39	Mian ko Pita otur imare ko eptevi nuru aran. Daron nga marjipari ie, ko arpitevi van re loloim ne naim nen mare. Iok, nesevin nga diwen ser marmij lingir arser rrale, ko arok-ting ko arok-sareni sunsun ko nijor nga Dokas m̃imajinge daron nga mimaur malum e. 
ACT.9.40	Mian ko Pita okoni twenir, ko ejiol vitan ko olot. Olot jile ko erieni non mawos vin nga mimij nga ko everuse, owra “Tapita, kupmera!” Tapita eleng raji meten, ko daron nga m̃ilesi Pita, ko emra elik. 
ACT.9.41	Ko Pita otori nevren, esa raji nga putur. Mian ko everuse jinibb se Iesu nir tevi nesevin nga diwen ser marmij lingir, ko elngi lweni vin nga mimaur luwi nga tevir. 
ACT.9.42	Nosp̃en ne nanu ngok owlu p̃etp̃eti re ngaim ngok Jopa, ko jinibb elep kele arini arosuri Numal. 
ACT.9.43	Ko mian ko Pita elik eprepriv kele sopon Jopa tevi m̃er san nga mokmajinge nanu nir renge nevlu buluk, nga nisen Saemon.
ACT.10.1	Ko renge ngaim ngok Sisaria, m̃eri Rom san elik nga nisen Konilias, nga mimetmete jinibb nuval nir ongut (100) se m̃eri Rom nir, nga marivi ne gortien nga marveruse gortien ne Itali. 
ACT.10.2	Ni evi jinibb san nga mukorti pa tevi m̃eri Isrel nir mok-surövi Atua, tevi jinibb nir ne naim sen kele; ko oklai kele merrenien elep tevi m̃eri Isrel nga joror ewelili. Ko tetajer oklot van ji Atua.
ACT.10.3	Ko nabong san, otomori pivi mete nial itul nga rivriv, omomsawose daron ne verusen, ko elesi nanu san erpe bori. Renge bori nen elesi oto limjer nga anglo se Atua san evini loloim sen ko everuse, owra “Konilias”. 
ACT.10.4	Konilias emet teretre anglo ko emtutu lenglengen, ko owra “Wurru, Numal, kupej sev ko san?” Ko anglo erij weli owra “Atua eir temijpal renge loten som ko majingen ne merrenien som, ko etriv nga piwilwil som.
ACT.10.5	“Ko kupkoni jinibb sopor paran Jopa ko parveruse jinibb san nga pivini mun iel. M̃ernen nisen arveruse Saemon Pita. 
ACT.10.6	Elik tevi jinibb san nga mokmajinge nanu nir renge nevlu buluk, nga nisen kele Saemon. Naim sen oto ngatan mori jeli dis.” 
ACT.10.7	Mian ko anglo evel lingi. Ko Konilias everuse jinibb ne majingen sen eru vini, ko jinibb nuval nga mokmajing sen ko nga moklot kele, nga nir p̃itul parini jin. 
ACT.10.8	Ewer visvisenir suri sev nga m̃irrmali, ko okoni tweni nir itul ngok van Jopa e.
ACT.10.9	Ko renge nabong m̃inij nen, arvijuri sel vini re ngaim ngok Jopa. Ko re daron mawos nen, Pita esa van mare renge drru naim nat milival nga pulot. 
ACT.10.10	Mian ko numer eaji elep, ko emrreni lengleng purroi nanu san. Ko daron nga marok-loli nanen ser e, ko ni elesi bori san nga Atua miviseni tevi. 
ACT.10.11	Elesi melrin etp̃ir, ko boriti nga milep san, artori renge bongsin nga ivij, ko arjuröni renge melrin vini iel ngatan e. 
ACT.10.12	Renge boriti nen, netun vanu jijle nir ko numön jijle nir arto ren. 
ACT.10.13	Ko drrelan san errmali ko owrai tevi owra “Pita, kuptur imare, kuprevji nanu ngok nir ko kupurroir.” 
ACT.10.14	Ko Pita erij weli owra “Numal, sete mea-loli mirpok, suri setewor nurroi lesi nanu san nga murrokitkit, ko sete musorsan mirpok nga borroi.” 
ACT.10.15	Mian ko drrelan nen eplari kele jin owra “Sev nga inu Atua mowrai pa tevim nga owokwok, nik sete kurongwose kupwera orrokitkit kele.” 
ACT.10.16	Drrelan nen owra lweni nale nen vatul musuw, ko boriti nen emtaw lingi ko olwi van re melrin e.
ACT.10.17	Pita nolon orrum malum suri bori ngok, owra purongwose sev nga Atua miviseni tevi ngok. Ko jinibb itul nga arsusi rongornge pa naim se Saemon lut nga mutur e, arongwose, ko re daron nen mawos nga Pita murrorrmi bori sen, artur rremali renge metali. 
ACT.10.18	Ko arsusi arwera “Moi, Saemon Pita elik niko iok rreknga ejki?” 
ACT.10.19	Mian ko Nem̃in On owrai tevi Pita owra “Jinibb itul arini pa nile, arpej nik. 
ACT.10.20	Kupsaro pingavilvil, kupjubbul van ngatan e. Sete kuprrorrmi nanu san, suri inu ko nukonir.” 
ACT.10.21	Pita ojubbul, ean ngatan e, ko owrai tevir owra “Inu nen le nga kamok-peje inu. Suri sev kampej inu?” 
ACT.10.22	Ko nir arwerai lweni arwera “Numal Konilias ko okoni kem. Evi jinibb nga m̃irres nga moksurövi Atua. M̃eri Isrel kele armerreni ni. Anglo se Atua nga muon ko san owra Konilias pukoni kem vinuk jim nga puloli purnge sev nga kupwerai.” 
ACT.10.23	Ko Pita etkair arlik tevi ko armatur tevi.
ACT.10.23	Ko rorpong nen, Pita tevi m̃eri Sisaria nen itul arlinglingi ngaim ne Jopa, arivel kele, ko nir sopor nga marosuri Iesu renge vanu ngok arpitevir kele. 
ACT.10.24	Renge nabong m̃inij nen arjipari Sisaria; ko Konilias etriv terair ko pa. Erijrij kele metka sen ko selen nga marres nir nga parkorti partiriv Pita. 
ACT.10.25	Daron nga Pita m̃irrmali vajin, ko Konilias otur imera ko evini ejiol vitan jin. 
ACT.10.26	Ko Pita owrai tevi owra “O, sete kuploli pirpok tevik, kupmera, inu nuvi kele bbong jinibb le!” Ko Pita ervei nevre Konilias otur rramos. 
ACT.10.27	Ko Pita okjiljilwer tevi Konilias, ko orivel korti oran loloim e. Ko Pita elesi erpe jinibb elep aran pa loloim e. 
ACT.10.28	Ko owrai tevir owra “Kamrongwose erres nga m̃eri Isrel renge gortien ser sete arongwose parkorti rreknga parpelari ji jinibb ne vare nir. Ko Atua eviseni tevik nga sete nurongwose b̃elesi jinibb sopor erpe arrokitkit rreknga arsij. 
ACT.10.29	Niko ololi daron nga kamverus nga bevinuk, ko sete nuloli kele nale san, ko nutur imera ko pa ko nuvini. Ko nuwra bosusi tevi kami, kamverus inu suri sev ko?”
ACT.10.30	Ko Konilias erij weli owra “Nabong itul le pa easi, erpe pivi mete nial itul natmirivriv san, ko nomok-lot iel renge naim suk. Ko vesan rres jinibb san sunsun sen arinrin nawon evini otur renge nok. Ko owrai tevi inu owra 
ACT.10.31	“Konilias, Atua ornge pa verusen som ko okrrorrmi elep suri merrenien som nga komok-lai tevi jinibb nir nga joror mijkie. 
ACT.10.32	Kupkoni jinibb sopor paran Jopa, parlesi jinibb san nisen Saemon Pita. Elik renge naim se jinibb san nga nisen kele Saemon, nga mivi jinibb nga mokmajinge nanu nir renge nevlu buluk. Naim sen oto mori jeli dis ngalu.” 
ACT.10.33	Ko nusaro ngavilvil ko nukoni jinibb suk arinuk jim, ko erres wor nga kumrunge sev nga marwerai ko kuvini. Kem jijle namlik korti vajin renge no Numal Atua ko nabrunge vajin sev nga kupwerai.”
ACT.10.34	Ko Pita esa jingon owra “Lelingenok inu nua-lesi wose vajin nga weretunen Atua ololi osorsan kobbong tevi jinibb jijle. 
ACT.10.35	Atua eir temijpal tevi si nga musrövi ni ko muloli sev nga musorsan m̃irres, poro evel renge vanu ngabe tama san. 
ACT.10.36	Nale ngok kele kobbong Atua elai tevi jinibb sen nir m̃eri Isrel, daron nga mukoni Iesu Kristo Numal se jinibb jijle nir nga p̃ilai demat tevi nir. 
ACT.10.37	Ko rrek kamrongwose sev nga miplari ji Iesu Kristo lat jijle re vanu ne Jutia. Nanu ngok jijle artipatun Galili, daron nga Jon muwra jinibb jijle nir parpaptaes. 
ACT.10.38	Atua elai Nem̃in On ko derteren tevi Iesu doNasret, ko Iesu daron nga mokivel rrale mokloli majingen nga marres nir, ko ololi nir nga marlik renge derteren se Demij nir arres luwi kele. 
ACT.10.39	Kem jijle namlesi sev nga Iesu muloli Isrel ko re ngaim nga Jerusalem kele. Ko jinibb nga marlelep se nir arwuse re nai pelaot nga pimij. 
ACT.10.40	Ko nabong itul easi, ko Atua ololi emaur luwi kele re mijen. Ko eviseni ni tevi kem nga m̃ilngi kem nga nabsupsup̃e ni tevi jinibb nir. 
ACT.10.41	Atua sete eviseni ni tevi jinibb jijle nir, ko tevi kem kis kobbong daron nga mimaur luwi renge mijen, ko kem namaan korti ko namminmin korti tevi ni. 
ACT.10.42	Ko Atua owrai nga nabwerai tweni ko wor nosp̃en nga m̃irres tevi jinibb nir. Ko kem nabwerai tweni ko wor nga Atua elngi pa ni nga pia-wera suri lat nga puto suri tevi jinibb jijle nir, ngok nir nga marmaur malum lelingenok, ko nir nga marmij pa musuw. 
ACT.10.43	Ko propet jijle arok-rrorrmi ni kobbong, ko arwera suri nga nise Iesu kobbong, derteren nen otoe; ko jinibb nga marosuri ni, Atua pia-telasi tweni nololien ser.”
ACT.10.44	Daron nga Pita mokrij malum e, ko Nem̃in On ojubbul vitan ko esilvi nir nga marok-murronge nale sen. 
ACT.10.45	Ko m̃eri Isrel nga marosuri Iesu nga marlinglingi Jopa tevi Pita artaol ko aririr lengleng renge sev nga miplari, suri Atua elai Nem̃in On tevi jinibb ne vare nir erpe merrenien nga milep san tevi nir. 
ACT.10.46	Artaol temijpal suri arok-runge nir ngok arok-rij renge nale lele, nga marok-surövi nise Atua. Mian ko Pita owra 
ACT.10.47	“Nir ngok arlai Nem̃in On pa erpe kerr rramlai pa musuw. Ko siko orongwose p̃iwer orer nga sete parpaptaese nir?” 
ACT.10.48	Ko Pita owrai tevir nga parpaptaese nir renge nise Iesu Kristo. Mian ko nir arngoni nga poro Pita orongwose p̃ilik mun beblen kele tevir.
ACT.11.1	Ko aposol tevi tuwa kerr ko joji kerr nir re lat jijle re vanu nga Jutia arunge nosp̃en nga jinibb ne vare kele arlai pa nale se Atua kele osuw. 
ACT.11.2	Ko daron nga Pita mian Jerusalem e, ko m̃eri Isrel sopor artortori, arwera jinibb ne vare nir nga marivi kalesia paran ko wor re bae. 
ACT.11.3	Arwera “E, suri sev komok-pitevi nir nga setewor maran re bae ko komok-aan kele tevir?”
ACT.11.4	Mian ko Pita owrai tweni vajin tevir nanu mawos nen nga m̃irrmali, 
ACT.11.5	owra “Daron nga nomok-lot renge ngaim ngok Jopa, mian ko numatur, ko nulesi bori san. Nulesi nanu san nga mirpe boriti nga milep san, artori renge bongsin nga ivij ko arjuröni renge melrin vini iel ngatan e, ko evini mori inu. 
ACT.11.6	Numteni lilane nolo boriti ngok, ko nulesi netun vanu jijle nir ko numön jijle nir. 
ACT.11.7	Mian ko sete epriv nurnge drrelan san owrai tevik owra “Pita, kuptur imera, kuprevji ko kuprroi.” 
ACT.11.8	Ko inu nuwra “Ejki Numal, ejki rres. Nanu ngok sopor sete arsorsan ko sete arwokwok nga borroi, ko setewor nurroir nabong san.” 
ACT.11.9	Ko sete epriv, nurnge drrelan nen eplari kele vini owra “Nanu nga inu Atua mowrai pa musuw nga owokwok, nik sete kurongwose kupwera orrokitkit kele.” 
ACT.11.10	Drrelan ngok errmali erpok vatul osuw, ko boriti nen tevi nanu jijle arevei lweni kele van re melrin e. 
ACT.11.11	Ko renge daron mawos nen, jinibb itul arini re naim nga nulik ren. M̃eri Sisaria san okonir nga parini partekaik nga bolwi tevi nir. 
ACT.11.12	Ko Nem̃in On owrai tevik sete bongasi nir ko bemarong ma bolwi tevir. Ko tuwa kerr nga ouwon ngok kele arpitevi inu. Ko daron nga nampelari Sisaria, ko kem jijle naman loloim re naim se m̃erak Konilias. 
ACT.11.13	Mian ko ni owrai tevi kem nga ni elesi anglo san evan otur renge loloim sen, ko anglo owrai tevi owra “Kuplai nale van re ngaim ngok Jopa nga parveruse jinibb san nga nisen Saemon ko nisen kele Pita. 
ACT.11.14	Ni pia-wera nale tevi nik nga p̃ila mauren tevi nik ko tevi nir nga renge naim som kele”. 
ACT.11.15	Ko mian ko daron nga m̃etipatun vajin nga m̃erij tevir, ko Nem̃in On evini esilvir osorsan erpe nga mivini re kerr bonevis. 
ACT.11.16	Mian ko nurrorrmi jipari nale nga Numal muwrai tuwi nga muwra, ‘Jon ololi baptaes tevi nuwi; ko sete mia-periv, Atua pia-paptaese kami renge Nem̃in On.’ 
ACT.11.17	Ko oto limjer nga Atua elai merrenien ngok kobbong tevi jinibb ne vare nir, erpe nga m̃ilai tevi kerr daron nga rramosuri Iesu Kristo e. Ko erpese, inu nurongwose bololi lesi nga bewer ore Atua, rrek?”
ACT.11.18	Daron nga Pita m̃irij jile musuw, ko nir arlingi kurtweni norrorrmien karkar ser, ko nolor emra e ko arsurövi Atua arwera “Rrek Atua elai kele tevi jinibb ne vare nir norrorrmien ne parieni lululwenir ko parmaur vajin.”
ACT.11.19	Daron nga Steven mimij, ko jinibb nir aroji kele nir nga marosuri, ko nir arwolu sarrsarr. Sopor aran arjipari Ponisia ko Saepras ko Antiok ko arok-werai tweni nosp̃en nga m̃irres, sete tevi m̃eri m̃inij, ko tevi m̃eri Isrel kobbong. 
ACT.11.20	Ko nir sopor kele nga marivi m̃eri Saepras ko Saerin aran Antiok ko arwera tweni nosp̃en nga m̃irres se Iesu Kristo, Numal se kerr, tevi jinibb ne vare kele nir. 
ACT.11.21	Derteren se Numal eptevir, ko jinibb elep arieni nolor arosuri Atua vajin. 
ACT.11.22	Ko nosp̃en ne nanu ngok owlu kele evan ejpari kalesia nga Jerusalem, mian ko nir arkoni Banapas van Antiok e. 
ACT.11.23	Daron nga ni mian jir ko m̃ilesi erpese nga Atua m̃irij m̃irres suri jinibb ne ie nir, ko ni eir temijpal, ko owrai tevir nga partur p̃iterter renge nosurien ser ko weretunen renge Numal tevi nolor totoklai. 
ACT.11.24	Banapas evi jinibb nga m̃irres, nga muwun saute Nem̃in On ko nosurien, ko ervei jinibb elep arini ji Numal se kerr.
ACT.11.25	Mian ko Banapas ean kele Tasas e nga pipej Sol. 
ACT.11.26	Ko daron nga m̃iskai, ko etkai oran Antiok e. Ko renge sia totoklai san, nuru orok-jiljilwer tevi kalesia ne ie ko orvisviseni nir elep kele renge gortien ngok. Ko renge ngaim ngok ko Antiok, arlingi womue nais ngok ‘Kristin’ re kalesia nir.
ACT.11.27	Ko renge daron ngok, propet sopor kele arivel lingi Jerusalem aran Antiok. 
ACT.11.28	Nir nen san nisen Akapas, otur imera renge derteren se Nem̃in On ko ewer rrurrngi tevir nga daron ne numer nga m̃iterter san sete ngasu p̃irrmali renge ngatan ngel totoklai. Ko numer nen errmali erpe nga muwrai renge daron nga Klotias mutori batu numal ne Rom.
ACT.11.29	Mian ko jinibb se Iesu nir armurri poro erres jinibb sisamis p̃ilai wor merrenien pilep van nga piwilwil se seler nir nga marlik Jutia. 
ACT.11.30	Mian ko arloli erpok, ko arlai nevöt sopon. Ko arlai tevi Banapas ko Sol nga poran porlai tevi jinibb nga marlelep se kalesia nir nga Jerusalem.
ACT.12.1	Ko renge daron ngok kele, Numal Erot Akripa etipatun nga puloli p̃iterter kele tevi kalesia sopor. 
ACT.12.2	Okoni jinibb sen nir nga paran parrul totkoni Jemes tasi Jon ko partai otvi batun. 
ACT.12.3	Ko suri nanu ngok ololi m̃eri Isrel nir arir, ko etajer kele ololi nale tevi jinibb sen nir nga parrul totkoni Pita. Nanu ngok errmali mawos re daron ne nanen ne niv nga is mijki ren. 
ACT.12.4	Elngi Pita re naim ne nekaien, ko elngi gortien ivij ne jinibb ne nuval sen nir nga parlik metmete. Norrorrmien sen evi nga poro daron ne nanen gortien p̃iasi, ko ni pia-wera suri lat nga puto suri tevi ni re no delung nir. 
ACT.12.5	Mirpok ko Pita m̃ilik re naim ne nekaien. Ko kalesia nir arlot eterter van ji Atua suri ni.
ACT.12.6	Re natpong nen, ko vitunen nga Erot pia-wera suri lat nga puto suri tevi Pita renge no delung nir, Pita ematur liven re jinibb ne nuval nga mormetmete ni re naim ne nekaien tevi kele dil delrrurr eru nga markai nevren e, ko jinibb ne nuval eru kele ortur metmete metali. Ko Pita ematurrwel. 
ACT.12.7	Ko vesan rres anglo se Atua san otur pelari ie, ko moron omor vaseni jijle naim ne nekaien ngok. Ko esesaro ejpari neli Pita ko owni, ko owra “Kupsaro pingavilvil, kupmera.” Ko vesan rres, dil delrrurr ngok nuru orjiki re nevre Pita ko orvitan. 
ACT.12.8	Ko anglo owrai kele tevi owra “Kuptatuwe netatuw som ko kuprae but som, ko kupini rroporivel.” Pita ololi sev nga anglo muwrai, mian ko anglo owrai kele owra “Erres, ko kupuri kot som ko kupvivitu surik.” 
ACT.12.9	Ko Pita evivitu suri. Etla van vare e renge naim ne nekaien. Ko orrorrmi nga nanu ngok nir arirpe bbong ematur lesi bori ko. 
ACT.12.10	Mian ko orini orasi gortien eru ne jinibb ne nuval, ko orini vajin renge metali delrrurr nga muto ore jer ngaim nga jinibb pian vare e vajin. Ko metali nen esan etp̃ir, ko oran vare e. Orok-vijuri sel vini, ko vesan rres anglo emtaw lingi Pita, evel.
ACT.12.11	Ko Pita elesi wose vajin sev nga m̃irrmali, ko owra “O, nulesi wose ko vajin nga Numal suk okoni anglo sen vini nga p̃itkai tweni inu re derteren se Erot ko re nanu jijle nga jinibb nga marlelep se m̃eri Isrel nir marrorrmi nga parloli tevik.”
ACT.12.12	Ko ean re naim se Merri, nga mivi tasu se Jon nga nisen tuwen nen marveruse Mak. Ko nir elep nga marok-vijuri Numal arser korti ie nga parlot. 
ACT.12.13	Pita evini otuti metali vare. Ko nesenwarreng nga mokmetmete naim, nga nisen Rota, evini owra p̃itasi. 
ACT.12.14	Ko ni etaole drrela Pita, ko orongwose evesane, ko eir temijpal suri. Ko setemun etasi metali, ko owlu luwi kele van ji nir sopon e nga marlot. Ko owrai tevir owra “E, lartul, Pita le ngel moktur vare renge metali!” 
ACT.12.15	Ko nir arwerai lweni tevi arwera “Ai, kulengleng!” Ko ni otur eterter owra “Ejki, nuwretun ko wor!”. Mian ko nir arwera “Ejki ma, rrekma nem̃in ko.”
ACT.12.16	Ko Pita nga eplak malum, otuti metali, mianan ko artasi ko vajin. Ko daron nga marlesi ko artaol lenglengen. 
ACT.12.17	Ko Pita obbölbböleni nevren tevir nga parmurrong, ko owra visviseni tevir erpese nga Numal se kerr m̃ilai tweni ni re naim ne nekaien. Ko okonir vajin owra “Kapwerai kele tevi Jemes ko kerr sopor kele sev nga m̃irrmali”. Mian ko evel lingi ie van elik talev re lat m̃inij kele san.
ACT.12.18	Mevinen vajin, ko jinibb ne nuval nir ara-taole arlesi Pita mijki; ko arrorrmi sarrsarre, arok-sususir e vajin arwera “E, Pita nga ean ngabe e?” 
ACT.12.19	Ko Erot okoni kele jinibb ne nuval sen nir nga paran parpej tevi, ko sete arlesi rragrrage te. Ko osusi kele norrorrmien elep tevi nir nga marmetmete, mijki mun, mian ko ololi arevji pinir. Mian ko sete epriv ko Erot evel lingi Jutia nga pian p̃ilik sopon Sisaria.
ACT.12.20	Mian ko Erot ololarsi m̃eri Taea ko Saeton nir. Suri iok, nir ne ngaim nga eru ngok arkorti lat sansan nga paran parlesi. Ko womunen, arevei womue jinibb san nga mokmetmete majingen ne naim se Erot nga piptevir van, nisen Blastas. Ko nir arini ji Erot ko arngoni nga poro ni orongwose puloli demat, suri nir ne vanu ngok arok-wuli bbong nanen ser ko ji jinibb ne vanu se Numal Erot. 
ACT.12.21	Mian ko Erot elngi nabong san nga pia-lesi nir ren. Ko re daron nen vajin, Erot ojokjok erres temijpal re nijor se numal ko ean esakel re nai seksakel se numal, ko elai vajin nale tevir. 
ACT.12.22	Ko nir arkikail van mare arwera “O, sete jinibb ko m̃irij ngok, ko atua ko wor san.” 
ACT.12.23	Ko vesan rres, anglo se Atua san ololi Erot eil jubbul ngatan. Suri emrreni jinibb partori ko parsurövi ni pirpe kele atua san. Mian ko doto nir arpelari ko arurroi jinen, ko emij.
ACT.12.24	Ko nale se Atua easasi elep kele, ko jinibb elep arini arosuri kele. 
ACT.12.25	Ko Banapas ko Sol oran orvinvini ore jijle majingen nga marlingi nuru tweni. Mian ko orivel lingi Jerusalem vajin orluwi. Orpitevi lweni Jon Mak tevi nuru.
ACT.13.1	Ko kalesia sopor ne Antiok arivi propet ko jinibb nevisvisenien. Banapas, ko Simeon nga marveruse nibmotmot, ko Lusias kele nga mivi m̃eri Saerin, ko Manaen nga bonevis marmetmet kortoni ni ko Erot Antipas renge naim sansan, ko Sol kele. 
ACT.13.2	Ko daron san arlingi kurtweni nanen ko arsurövi Atua. Mian ko Nem̃in On erij tevir owra “Kapsusture Banapas ko Sol nga porloli majingen nga inu motobbtobbue nuru tweni.” 
ACT.13.3	Mian ko nir artajer nga arlingi kurtweni nanen, ko arlot. Ko sete epriv nir jijle arlingi nevrer renge nuru, ko arkoni tweni nuru nga poran porloli majingen.
ACT.13.4	Ko niko Nem̃in On okoni nuru, ko orjubbul van ngatan e Selusia. Ko orsa re drrav san, ko drrav owlu tweni paran re sale san nisen Salamis nga muto re norour nga Saepras. 
ACT.13.5	Ko daron nga nuru morjipari vajin Salamis, ko orok-werai tweni nale se Atua re naim loten se m̃eri Isrel. Ko Jon Mak eptevi nuru nga m̃imajing se nuru. 
ACT.13.6	Ko nir nga itul ngok arivel otvi norour ngok van devjen e Papos. Ko renge ie, arlesi jinibb ne botut san, nisen Bajisas. Ni evi m̃eri Isrel san, ko evi propet ne gerisen san. Ko nisen kele san re nale Gris arwera Elimas. 
