MAT.1.1	Allaya listaan cha lampeɏpuwan Jesu Kristu un galak Ari David ya galak bo Abraham. 
ROM.15.9	Ked ikankantami chayawmi kan sika.”
ROM.15.10	Ya kalala bo,
ROM.15.10	“Chikayuʼn Gentil, makaganggalas kayu kan cha chilutukan Apudyus un tagula.”
ROM.15.11	Ya kalala bo kasin,
ROM.15.11	“Chikayu losan un Gentil, chaychayawonyu si Apudyus. Ya chikayuʼn
ROM.15.11	losan un tagu chaychayawonyu siya.”
ROM.15.12	Ya awed bo inggilin Isaiah un kalala,
ROM.15.12	“Gumatong chi osaʼn galak Jesse, un umali mangituray kan cha Gentil.
ROM.15.12	Ked siya lamlamaoncha.”
ROM.15.13	Iluwaluk kan Apudyus un lampeɏpuwan chi lamlama taku, ta pagalasola chikayu ya palin-awaola somsomokyu gapu si pammatiyu ta pakoskoscheɏola lamlamayu kan siya gapu si kilabyelin chi Ispiritun Apudyus.
ROM.15.14	Susulud, tuttuwaʼn maplokak mipanggop kan chikayu, ti ammuk un bibiɏu cha pin-ayu koon ya laawatanyuʼn ustu cha tudtuchun Apudyus ya makwaʼn man-asitudtuchu kayu. 
ROM.15.15	Ngim intalu ti lateɏochak un mangisuɏat mipanggop kan cha uchum un itudtuchuk kan chikayu ta ikasinku ipasomsomok, gapu si kachegun Apudyus un illidchola kan sakon 
ROM.15.16	un bubùulon Jesu Kristu un tumuɏung kan cha Gentil. Mansimbiyak un isun chi pachi un mangibyegbyega si Bibiɏuʼn Chameg un lampeɏpu kan Apudyus, taplu mambyalin cha Gentil chatun un makaay-ayu kan Apudyus ya pilapeɏkas chi Ispiritula.
ROM.15.17	Ked gapu si litimpuyugek kan Jesu Kristu, makwaʼn ichayawku lansimbiyak kan Apudyus. 
ROM.15.18	Ngim lappun uchum un ibyegak lu achi abus chi killingwan Kristu si languseɏala kan sakon. Ti ha lamatiyan cha Gentil kan Apudyus, ked ha langitudtuchuwak ya ha killingkingwak. 
ROM.15.19	Ked gapu si kilabyelin chi Ispiritun Apudyus un laluɏung kan sakon un langwa si lakaskaschaaw ya cha mampataeg kan cha tagu. Ked lalipud ud Jerusalem ya inggalaʼd Illyricum, illiggak chi kabyeeɏak un langibyegbyega si bibiɏuʼn chameg mipanggop kan Kristu. 
ROM.15.20	Panggopku un umoy ibyegbyega bibiɏuʼn chameg kan cha ili un achipun lipadngeɏ mipanggop kan Kristu, taplu achipulak mampaud si lap-at chi lisaachen cha uchum un tagu. 
ROM.15.21	Ti ha liigili un ugud Apudyus, kalala,
ROM.15.21	“Mailan cha achipun labyegbyegaan mipanggop kan siya,
ROM.15.21	ya maawatan cha achipun lakadngey.”
ROM.15.22	Ked susulud, liya cha gapula un langam pigaʼn lataktaktakak un umali kan chikayu utlat. 
ROM.15.23	Ngim si sala, lagamputku kawachik kan cha allaʼn ili. Ya gapu ta achuʼn tawon cha lummaus un piok un umali manggeggakay kan chikayu utlat, 
ROM.15.24	ked sala ayak ud Spain, simsimmokku un manchegas utlat Rome ta makabibiɏulak yan akit kan chikayu ta mat-opak, ked cha losan un idchonyu kan sakon matuɏungalak un umoy ud Spain. 
ROM.15.25	Ngim si sala, inyak ud Jerusalem idchon cha allayaʼn tuɏung un maatod kan cha tagun Apudyus udchi. 
ROM.15.26	Ti laayat cha allaʼn mamati ud Macedonia ya Achaia un mangatod si tuɏung kan cha kakapus un tagun Apudyus ud Jerusalem. 
ROM.15.27	Uwachaʼn somsomok un tumuɏung. Ngim ha katuttuwaala kalobbongancha un maluɏung kan cha kakapus ud Jerusalem, taplu milak-am cha Gentil si laispirituan un binchisyun cha Judio. Lobbong bo cha Gentil un mansimbiʼn tumuɏung si kasapuɏan cha mamatiʼn Judio. 
ROM.15.28	Ked lu magamputku ipuɏang kan chicha allayaʼn pilak un luumung un chilagupku ud Macedonia ya Achaia, manchegasak utlat si ayak ud Spain. 
ROM.15.29	Ammuk un lu umaliyak utlat, gumalas taku mipagapu si binchisyun Kristu.
ROM.15.30	Ked susulud, awed chi chawatok kan chikayu, gapu kan Apu takuʼn Jesu Kristu ya gapu si ayat un idchon chi Ispiritun Apudyus, losan taku otyan iluwalu sakon kan Apudyus. 
ROM.15.31	Iluwaluyu ta seɏaklibyelak kan Apudyus kan cha achipun mamati ud Judea. Ya iluwaluyu bo ta awaton cha tagun Apudyus ud Jerusalem cha allayaʼn tuɏung un lampeɏpu kan cha Gentil. 
ROM.15.32	Ya iluwaluyu ta ipalubus Apudyus ti patungechak magalasan un umali utlat, ta maillongan chi somsomokku. 
ROM.15.33	Sapay otyan ta iinggew kan chitaku losan si Apudyus un mangatod si lumin-awaan. Amen.
ROM.16.1	Awed chi osaʼn sulud takuʼn byebyai un piok un ipatagammu kan chikayu. Siya si Phoebe un osaʼn mansimbi kan cha mamatiʼd Cenchrea. 
ROM.16.2	Mangiliyonyu siya mipagapu si pammatiyu kan Apu Jesus ti kamatchi ustuʼn koon cha tagun Apudyus. Ya tuɏunganyu siya kan cha losan un kasapuɏala, ti achu cha taguʼn tiluɏungala ya sakon bo osa.
ROM.16.3	Pakumustaonyu cha Priscilla kan Aquila un man-asawa, chicha cha biɏunku un mansimbi kan Jesu Kristu. 
ROM.16.4	Ked inchuyacha biyegcha gapu kan sakon. Ked chakampun un abusak un manyaman kan chicha, ngim losan cha mamatiʼn Gentil. 
ROM.16.5	Ya pakumustaonyu bo cha mamati un pin-a manchetchetong ud uwacha.
ROM.16.5	Pakumustaonyu chi potpotgok un biɏunkun Epaenetus. Siya kaulaan un lamati kan Kristu si probinsiya ud Asia. 
ROM.16.6	Pakumustaonyu bo si Mary un langipapatiʼn langkawachi para kan chikayu. 
ROM.16.7	Ya pakumustaonyu bo cha Andronicus kan Junia un kailiyak un Judio ya biɏunkuʼn labyaɏud si sin-eɏgew. Potpotgon cha apostoles chicha, ya ummun-ulacha lamati lu sakon.
ROM.16.8	Pakumustaonyu bo biɏunku un si Amplias un ay-ayatok gapu kan Apu Jesus. 
ROM.16.9	Ya ulay bo si Urbanus un osaʼn biɏunmi un mansimbi kan Kristu, ya si Stachys un osaʼn potpotgok. 
ROM.16.10	Ya pakumustaonyu bo si Apelles un lapaloklokan chi kilatuttuwala kan Kristu. Ya siya bo kan cha kabyeɏoy Aristobulus, 
ROM.16.11	ya si Herodion un osaʼn kailiyak un Judio, ya cha mamati un kabyeɏoy Narcissus.
ROM.16.12	Pakumustaonyu bo cha Tryphena kan Tryphosa un mansimbi kan Apu Jesus, ya si Persis un potpotgok un biɏun un mangipapatiʼn mansimbi kan Apu. 
ROM.16.13	Pakumustaonyu bo si Rufus, un mantegochen un mansimbi kan Apu, ya si ilala un isun bod chi ilak. 
ROM.16.14	Ya pakumustaonyu cha Asyncritus, Phlegon, Hermes, Patrobas, Hermas ya cha losan un susulud taku un awed kan chicha. 
ROM.16.15	Ya siya bo kan cha Philologus kan Julia, Nereus ya suludlaʼn byebyai, ya si Olympas, ya cha losan un tagun Apudyus un awed kan chicha. 
ROM.16.16	Man-asipakumusta kayu un man-asilamalu un mangipaila si ayatyu. Pakumustaon chikayu losan un mamati kan Kristu.
ROM.16.17	Susulud, chawatok un an-allachenyu cha taguʼn manyam-an si timpuyugyu ya manggulu si pammatiyu. Ti suplingoncha katuttuwaan un litudtuchu kan chikayu ked sabyali itudtuchucha. Masapuɏʼn achayuwanyu chicha. 
ROM.16.18	Ti cha kamatchiʼn tagu, chakampun un mansimbicha kan Apu Jesu Kristu, ngim abus cha pipion chi long-egcha singsingtoncha. Gapu si bibiɏu ya makaay-ayu un man-uugudcha, maallilawcha cha lalaka un maawis chi somsomokcha. 
ROM.16.19	Matetteɏokak gapu kan chikayu ti lanchilameg chi langipapattiyanyu si pammatiyu. Ked piok bo un lumailaing kayu un mangammu lu simma bibiɏu, ngim lappun otyan ammuyu mipanggop si lawwing. 
ROM.16.20	Achipun mabyeyeg, ked si Apudyus un mampeɏpuwan chi lin-awa ked abyakola si Satalas, un isun chi gussan taku siya. Sapay otyan ta kacheguwan Apu Jesu Kristu chikayu.
ROM.16.21	Pakumustaon chikayu kan Timothy un lakakawachi kan sakon. Siya bo kan cha Lucius, Jason ya Sosipater un kailiyak un Judio.
ROM.16.22	Sakon si Tertius, langigili si allayaʼn suɏat. Pakumustaok bo chikayuʼn mamati kan Apu Jesu Kristu.
ROM.16.23	Pakumustaon chikayu bo kan Gaius un lammangili kan sakon ya siya simbyeɏoy si pin-an cha mamati manchetchetngan utla. Pakumustaon chikayu bo kan Erastus un mamangchon si pilak chi allaʼn ili, ya ulay si sulud takuʼn Quartus.
ROM.16.24	Sapay otyan ta kacheguwan chikayu losan kan Apu Jesu Kristu. Amen.
ROM.16.25	Ked machaychayaw si Apudyus! Ti alla pallakabyelinla un mampakoscheɏ si pammatiyu un tumimbuɏuy si Bibiɏun Chameg un ibyegbyegak mipanggop kan Jesu Kristu. Hachiʼn chameg un litataɏu lalipud si awi, ked sala mipakaammuwala. 
ROM.16.26	Ngim si sala, lipatigammu allaʼn katuttuwaan kan cha kaili-ili ti lagamput cha propeta inggili si awi. Ked si Apudyus un mallalayun, ked imbilinla un mipakaammu alla si losan un nasyun ta mamati cha tagu ya tuttuwaoncha siya. 
ROM.16.27	Machaychayaw otyan si ing-inggala chi os-ossaan un kalaingan un Apudyus gapu kan Jesu Kristu! Amen.
1CO.1.1	Susulud, sakon si Paul un chilutukan Apudyus ta man-apostoles Jesu Kristu. Ya biɏunku si Sostenes un osaʼn sulud takuʼn mamati. 
1CO.1.2	Maluɏat kami kan chikayu un pin-a manchetchetong un malaychayaw kan Apudyus utlat Corinth. Pililiyan Apudyus chikayu un tagula mipagapu si pammatiyu kan Jesu Kristu, ya losan un tagu si kaili-ili un manchaychayaw kan Jesu Kristu un Apu taku losan.
1CO.1.3	Sapay otyan ta kacheguwan chikayu kan Ama takuʼn Apudyus ya Apu Jesu Kristu, ya palin-awaoncha somsomokyu.
1CO.1.4	Manyamayamalak kan Apudyus gapu si kachegula kan chikayu mipagapu si lamatiyanyu kan Jesu Kristu. 
1CO.1.5	Ti si litimpuyugenyu kan siya, achu lapotog un imbinchisyunla kan chikayu pati man-ugud ya kilalaingyu. 
1CO.1.6	Ot kummoscheɏ pammatiyu kan Kristu un intudtuchumi kan chikayu. 
1CO.1.7	Ked ilaminyu ilawat cha losan un binchisyun Kristu ked lappun mangkuɏanganyu si laispirituan un kabyeeɏan si manguuwayanyu si mangulilan Apu Jesu Kristu. 
1CO.1.8	Ked si Apudyus, pakoskoscheɏola pammatiyu inggala si alungus chi eɏgew taplu lappun mapabyasuɏanyu si mangulilan Apu Jesu Kristu. 
1CO.1.9	Mantegochen si Apudyus un lanchutuk kan chikayu un makatimpuyug kan Alaklaʼn Jesu Kristu un Apu taku.
1CO.1.10	Susulud, mipagapu si kalobbongan chi ngachen Jesu Kristu un Apu taku, chawatok kan chikayu ta mantitimpuyug kayu losan, taplu achi kayu mansilasila, taplu man-os-ossaan otyan cha somsomokyu ya panggopyu. 
1CO.1.11	Hachi ibilinku kan chikayu, susulud, ti imbyegan cha uchum un tagun Chloe un man-asiillisit kayu. 
1CO.1.12	Ti ha chingngeɏk, mansabsabyali takcheɏanyu, un kalan kalu cha uchum, si Paul suɏutoncha, ked cha uchum, Apollos kalu bo suɏutoncha, ked cha uchum bo, Peter kalu, ya cha uchum, si Kristu.
1CO.1.13	Ha lasilasila kamman si Kristu kan chikayu? Ha Paul kamman chi lilansa si krus gapu kan chikayu? Willu labunyagen kayu kamman gapu si ngachen Paul un chakampun un si Kristu? 
1CO.1.14	Manyamalak ti lappun bilunyagek kan chikayu, malaksig kan cha Crispus kan Gaius, 
1CO.1.15	ked lappun singkalan kan chikayu un bilunyagek chikayu si ngachenku. 
1CO.1.16	O, bilunyagek oyya cha Stephanas un simbyeɏyan, ngim lappun uchum si masmasmokku un bilunyagek. 
1CO.1.17	Ti chakampun un imbuulak kan Jesu Kristu un mambunyeg, ngim imbuulak kan siya un mangibyegbyega si bibiɏuʼn chameg mipanggop kan siya. Ked chakampun un useɏok chi kilalaing chi tagu un mangibyegbyega, ta siyad maawisan cha tagu latoyan Kristu si krus un siya mapakawalan cha byasuɏ taku.
1CO.1.18	Ha bibiɏuʼn chameg mipanggop si latoyan Jesu Kristu si krus, lappun simbila kan cha taguʼn mibyellu. Ngim kan chitakuʼn matagu gapu si lamatiyan taku, siya main-an chi pallakabyelin Apudyus un malagu kan chitaku. 
1CO.1.19	Ked hachi bo kalan chi liigiliʼn ugud Apudyus si awi un kalala,
1CO.1.19	“Yam-alok chi kilalaing cha mangkalaing si allaʼn pita,
1CO.1.19	ya ipailak un lappun simbin chi kilalaingcha.”
1CO.1.20	Ked lappun ituɏung chi kilalaing cha mangkalaing ya lan-acheɏ, ya ulay bo cha kasasallubyak si allaʼn pita. Ti impakpakaammun Apudyus un achipunla potgon cha kilalaing utla pita ti lappun simbila kan siya. 
1CO.1.21	Ti ha kilalaing Apudyus, achipunla palubusan cha tagu un mangwacha si mataguwancha gapu si kilalaingcha. Ti ha piola, matagu cha mamati si ugudla un ibyegbyegami, un lappun simbila si somsomok cha achipun mamati. 
1CO.1.22	Lappun bo simbila si somsomok cha Judio ti pioncha un awed mipailaʼn lakaskaschaaw si maluttuwaancha. Ya ulay bo cha Gentil, siya bò singsingtoncha kilalaing chi tagu. 
1CO.1.23	Ngim siyad ibyegbyegami latoyan Kristu si krus. Ked cha Judio, sasangngaonchaʼn chongɏon, ked cha Gentil, lappun simbila kan chicha. 
1CO.1.24	Ngim kan cha losan un chilutukan Apudyus un mantagula, Judio man willu Gentil, maawatancha losan un si Kristu un ibyegbyegami, siya mangitullongan si pallakabyelin Apudyus ya kilalaingla. 
1CO.1.25	Ti ha planun Apudyus ked mataguwan taku, ked lalallaing lu ha kilalaing cha tagu ulay kalan cha uchum un lappun simbila. Ked ha langkapsutan Apudyus un ha latoyan Jesu Kristu, un kalanchaʼn lappun simbila, siya bo langabyak Apudyus kan cha losan un lalaing.
1CO.1.26	Susulud, achipun taku otyan maliwatan chi kilasasaed taku si lanchutukan Apudyus kan chitaku, ti manmalu kan chitaku lalaing, langatu saedla willu alak chi byaklang. 
1CO.1.27	Ti pililiyan Apudyus cha kalaʼn cha taguʼn lappun simbila. Ti ha panggopla, ibibiinla cha taguʼn masmas-om si kilabyelincha ya kilalaingcha lu umaliʼn eɏgew. 
1CO.1.28	Ya pililiyala bo cha taguʼn labyabya ya maam-amsiw utla lubung, ta mangipain-ala un lappun simbin cha losan un potpotgon cha tagu. 
1CO.1.29	Taplu lappun tagu si mamaspasweɏ si sangwalan Apudyus. 
1CO.1.30	Ti si Apudyus chi langwa si lipatiyan taku kan Jesus Kristu, ked lambyalilola si Kristu siya leɏpuwan chi kilalaing taku. Mipagapu kan siya, maibilang taku un lalintog ya pummeɏkas taku ya ibilang Apudyus chitaku un lappun byasuɏla kan siya. 
1CO.1.31	Tuttuwa hachiʼn liigili un ugud Apudyus un kalala, “Losan un mamaspasweɏ, siya otyan ipasweɏla chi killingwan Apu Jesus.”
1CO.2.1	Susuludku, si ummaliyak utlat langibyegbyeg-an si ugud Apudyus, ammak impakaawat kan chikayu ked lappun iluseɏk si lachaɏom un ugud ya kilalaing un isun chi kilalaing cha uchum. 
1CO.2.2	Ti simsimmokku un iwalin cha losan un awed kan sakon, ta siyad itudtuchuk abus chi mipanggop kan Jesu Kristu, sinchumadlu latoyala si krus. 
1CO.2.3	Ked si illinggewak kan chikayu, gapu ta lakapsutak, lamaypayogpogak si ogyatku. 
1CO.2.4	Ked lappun iluseɏk si lachaɏom un ugud si lantudtuchuwak ya langibyegbyeg-ak si ugud un isun chi kilalaing cha tagu si allaʼn pita, ti ha Ispiritun Apudyus chi langichaɏan kan sakon gapu si pallakabyelinla. 
1CO.2.5	Ked ha pammatiyu, mipagapu si kilabyelin Apudyus, chakampun un mipagapu si kilalaing cha tagu.
1CO.2.6	Ngim achipunku kalan un lappun lachaɏom si mitudtuchu kan cha mamati, ti lu tudtuchuwanmi cha lootong chi pammaticha, lachaɏom chi mantutudtuchumi. Ngim chakampun un kilalaing cha tagu si allaʼn pita willu kilalaing cha langangatuʼn papangat, un mangkiged. 
1CO.2.7	Ti ha kilalaing Apudyus un ibyegbyegami, ked simsimmokla si chaampun chi lubung makwaan ta siya michayawan taku si umaliʼn eɏgew. Ngim achipunla impakaammu si tagu inggala si sala. 
1CO.2.8	Ngim cha losan un langangatuʼn turay si allaʼn pita, lappun pulus lakaawat si hachiʼn kilalaing Apudyus. Ti lu laawatancha, achipuncha impailansa kangatuwan un Apu taku. 
1CO.2.9	Ngim hachi latungpaɏan chi liigili un ugud Apudyus un kalala,
1CO.2.9	“Hachi achipun cha tagu intuntullong ya achipuncha chingchingngeɏ,
1CO.2.9	ya achipuncha laslasmok ked siya insasaggalan Apudyus un
1CO.2.9	para kan cha mangay-ayat kan siya.”
1CO.2.10	Ked cha achipun lipakaammu si awi, impatigammun Apudyus kan chitaku mipagapu si Ispiritula, ti ammula losan, ulay cha lachaɏom un mipanggop kan Apudyus. 
1CO.2.11	Ti lappun tagu si mangagammu si somsomok chi osaʼn tagu, ti abus siya sin-ammu ti siya sinsomsomok. Ked isula bo kan Apudyus un lappun mangagammu si somsomokla lalaksig si Ispiritula. 
1CO.2.12	Ked chitakuʼn mamati, chakampun un ispiritun chi lubung chi ilawat taku, ngim Ispiritu un lampeɏpu kan Apudyus, ta maawatan taku cha losan un illidchon Apudyus kan chitaku. 
1CO.2.13	Ked cha losan un itudtuchumi, chakampun un lampeɏpu si kilalaingmi, ngim lampeɏpu si Ispiritun Apudyus. Ked ipakaawatmi cha laispirituan un katuttuwaan kan cha tagula un inggewan chi Ispiritula.
1CO.2.14	Ngim ha taguʼn lappun chi Ispiritun Apudyus kan siya, achipunla maawat cha kabyeeɏan un mampeɏpu si Ispiritun Apudyus ti lappun simbila kan siya. Ti ha makaawat, abus cha taguʼn awechen chi Ispiritun Apudyus ti siya mangipakaawat. 
1CO.2.15	Ked ha taguʼn awechen chi Ispiritula, siya makailasin si kilabiɏu ya kilalawwing cha losan. Ngim ha taguʼn lappun chi Ispiritun Apudyus kan siya, ked achipunla maawatan chi somsomok chi mamati.
1CO.2.16	Ti liigili si ugud Apudyus un kalala,
1CO.2.16	“Silu sin-ammu si somsomok Apudyus?
1CO.2.16	Silu makatudtuchu kan siya?”
1CO.2.16	Ngim kan chitaku, alla somsomok Jesu Kristu ti awed chi Ispiritula kan chitaku.
1CO.3.1	Ngim susulud, achipun makwa un mantudtuchuwak kan chikayu un isun chi mantutudtuchuk kan cha lootong chi pammatila un ichaychaɏan chi Ispiritun Apudyus. Mantudtuchuwak kan chikayu un isun chi lailubungan un tagu ya isun cha alak un malluglugi un mamati kan Jesu Kristu. 
1CO.3.2	Ked hachi gapun chi achipunku langitudtuchuwan si lachaɏom kan chikayu, ti ha illinggewak utlat isuyu alak un sissiyan sumusususu, un achipun makagòeɏ si mangkot-ong un makan. Ked sissiya kayu si sala un isun cha alak un achipun makaawat si uchum. 
1CO.3.3	Ti sissiyan lailubungan kayu. Ti man-asiapos kayu ya man-asisubog kayu, ked gapu si kamatchiʼn kilasasaedyu siya mampaloklok un isuyu cha achipun mamati. 
1CO.3.4	Isun cha uchum un sakon kalu suɏutoncha, ked cha uchum si Apolos kalu bo suɏutoncha. Hachi mangilasilan un siyad tuɏachonyu cha ugalin cha achipun mamati.
1CO.3.5	Ti silu si Apollos? Kan silu si Paul un pin-ayu mansusubogen? Bubùulon chikami kan Apudyus un mansimsimbi kan siya si mamatiyanyu, ked kacha osa kan chikami koola ipakwan Apudyus kan siya. 
1CO.3.6	Ha miyaligela, sakon chi langimuɏa si bukeɏ, si Apollos chi lansibug, ngim si Apudyus chi lamachakeɏ. 
1CO.3.7	Ked ha langimuɏa ya pin-a malibog, chakampun un lapotpotogcha lu si Apudyus un mamachakeɏ. 
1CO.3.8	Lappun lansabyaliyan chi langimuɏa ya lalibsibug, ti man-isucha kan Apudyus, ked si umaliʼn eɏgew, gunggulaan Apudyus chi kacha osa sigun si killingwala. 
1CO.3.9	Ti chikami kan Apollos, mankadkadwa kami un mansimsimbi kan Apudyus. Ked chikayu isun cha pappayaw Apudyus un ipakawachila ya isuyu byeɏoy Apudyus un impapaudla kan chikami.
1CO.3.10	Gapu si kachegun Apudyus un illidchola kan sakon, isun chi lalaingak un lamaud si byeɏoy un laleman chi langisaachek, ked cha uchum un tagu, chicha isun chi mangituɏuy mampaud si hachiʼn illugik. Ngim kacha osa masapuɏʼn ammala leman chi in-ilolaʼn mampaud. 
1CO.3.11	Ti achipun makwa un sukatan chi ulay siluʼn tagu chi misaachen, siya abus si Jesu Kristu. 
1CO.3.12	Ked cha mangituɏuy mampaud, mansabsabyali in-iloncha. Ti cha uchum useɏoncha byalituk, gambyang ya cha mangkangila un byetu si mampauchencha si byeɏoy taplu bibiɏu ya mangkoscheɏ. Ngim cha uchum, useɏoncha kayu, guɏun ya chagammi. 
1CO.3.13	Ti ha mangulilan Kristu siya eɏgew un manguisala kan cha losan, hachi mangitullongan si kilaustuʼn chi killingwan chi kacha osa, ti ha mangipain-ala, isun chi soggola cha losan ta siya mangitullong si mallalayun ya mangkiged. 
1CO.3.14	Ked lu achipun masgob chi lapaud un ustu lisaachela, gunggulaan Apudyus chi lampaud. 
1CO.3.15	Ngim ha taguʼn masgob chi killingwala, achipun Apudyus gunggulaan siya. Matagu bò amin, ngim isun chi lailisi si apuy.
1CO.3.16	Ha achipunyu ammu un chikayu templon Apudyus ti bilumɏoy chi Ispiritula kan chikayu? 
1CO.3.17	Ked cha taguʼn manyam-an si templon Apudyus, yam-alon bod Apudyus siya. Ti laapudyusan chi templon Apudyus ked chikayuʼn mismu templola.
1CO.3.18	Ked, ilanyu ta achiyu tuntulliyan chi long-egyu. Lu awed kan chikayu mangibilang si long-egla un lalaing un mibyaseɏ si kilalaing cha achipun mamati, masapuɏ otyan un ipabyabyala somsomokla ta koola tuttuwaʼn kilalaing un mampeɏpu kan Apudyus, ulay lu amsiwon cha tagu. 
1CO.3.19	Ti lappun simbila kan Apudyus chi kilalaing chi lailubungan. Ti ha liigili si ugud Apudyus, kalala, “Ha useɏon Apudyus si mangɏogela kan cha taguʼn lalaing ked ha mismuʼn kilasikapcha.”
1CO.3.20	Ked ha osaʼn liigili, kalala bo, “Ammun Apudyus un ha somsomok cha mangkalaing un tagu ked lappun simbila.”
1CO.3.21	Ked lappun otyan mangipasinchayaw si tagu si kabyeeɏalaʼn koon. Ti illidchon Apudyus losan un mangkuwayu.
1CO.3.22	Ked ha katuttuwaan, ilaminla illidchon chikami un mansimbi kan chikayu, ti illidchola si Paul, Apollos, Peter, ha allaʼn lubung, biyeg kan otoy, si sala ya si umaliʼn eɏgew, losan ked mangkuwayu. 
1CO.3.23	Ti chikayu para kan Kristu, ked si Kristu para kan Apudyus.
1CO.4.1	Ibilangyu otyan chikamiʼn apostoles un bubùulon Jesu Kristu, ked impiyeɏn Apudyus kan chikami biyang un mangipatigammu si tuttuwaʼn chaampun mipatigammu inggala si sala. 
1CO.4.2	Ked masapuɏ un pasig mantegochen chi bubùulon si apula. 
1CO.4.3	Ked gapu ta bubùulolak kan Jesu Kristu, achipunku chongɏon cha manguisanyu kan sakon willu manguisan cha tagu si korti kan sakon. Ya achipunku kuison chi long-egku. 
1CO.4.4	Mampeɏkas chi somsomokku, ngim achipunla pion un ibyegaʼn lappun pulus byasuɏk. Ti Apudyus abus chi maligammu, ked mangamung siya un manguis kan sakon. 
1CO.4.5	Ked achi kayu manguis kan cha uchum inggala chumtong chi ustuʼn timpu. Ti siyad uuwayon taku mangulilan Apu takuʼn Jesu Kristu ta siya mangitokweɏ kan cha litataɏu un somsomok ya siya bo mangipakaammu si gegeɏaon chi somsomok.
1CO.4.6	Susulud, iluseɏk si Apollos ya long-egku si mansampaɏanyu, taplu man-acheɏ kayu kan chikami ta achiyu suplingon chi liigili un kalala, “Achiyu chog-an chi liigili.” Ked achiyu ipaspasweɏ chi osa si mangipabyabyaanyu si osa. 
1CO.4.7	Simma langibyegan langatngatu kayu lu cha uchum? Chakampun kamman un si Apudyus chi langatod si losan un awed kan chikayu? Ked puggey un mamaspasweɏ kayu un isun chi achipunyu kabyeeɏan cha awed kan chikayu?
1CO.4.8	Chikayuʼn iCorinth, wechewed cha kasapuɏanyu! Bummaklang kayu! Lambyalin kayu ari ked achipunyu chikami masapuɏ! Bibiɏu otyan lu tuttuwaʼn ari kayu taplu makaturay kami bo kan chikayu! 
1CO.4.9	Ti ha somsomokku, isun chi lambyalilon Apudyus chikami un apostoles kabyabyaan kan cha losan. Isumi lakodchongan un mapatoy, ti buyaon cha losan un tagu ya ulay cha angheles. 
1CO.4.10	Ked chikami, gapu kan Kristu, kalanchaʼn tuntu kami. Ngim chikayu, kalanyuʼn lalaing kayu si lamatiyanyu! Lakapsut kami, ngim chikayu mangkoscheɏ kayu losan! Am-amsiwon cha tagu chikami, ngim las-oman chikayu! 
1CO.4.11	Ulay si sala, mangkukuɏang kami si masapuɏmi un makan ya mailum. Ya lapispissay cha silupmi, ya pampaligatan chikami, ya lappun ustu si inggewanmi. 
1CO.4.12	Ked mauungeɏ kami bo un lumabbu si kasapuɏanmi. Ked lu maeɏwagen kami, iluwaluwanmi chicha. Ked ulay lu mapampaligatan kami, alu-alusanmi. 
1CO.4.13	Lu man-uguchencha chikami si lawwing, songbyatanmi si bibiɏu. Isumi luut un mibyellu, un lappun kasimbiyala si somsomok cha tagu.
1CO.4.14	Chakampun un siyad maluɏatak kan chikayu ta mabiilan kayu, ngim byegbyegaak chikayu un isun cha aalakku un tagtagopok. 
1CO.4.15	Ti ulay lu kalibu-libu cha mangayyuwan si biyegyu kan Jesus Kristu, sakon abus chi pallakaamayu. Ti si lamatiyanyu kan Kristu, lambyalilak un amayu mipagapu si langibyegbyeg-ak si bibiɏuʼn chameg kan chikayu. 
1CO.4.16	Ked chawatok kan chikayu ta tuɏachonyu sakon. 
1CO.4.17	Ked hachi langibuulak kan Timothy utlat, un imbilangkuʼn tagtagopok un alakku ya mantegod un alak kan Apu taku. Ked ipasomsomokla kan chikayu mangkokopyak un maluɏut kan Jesus Kristu, siya itudtuchuk kan cha losan un mamati si kaili-ili un ummoyak.
1CO.4.18	Awed cha uchum un leɏastug kan chikayu un kalancha pun lu achipulak umali manggeggakay kan chikayu. 
1CO.4.19	Ngim lu ipalubus Apudyus, achipun mabyeyeg ked umaliyak utlat. Ked hachi mangagammuwak kan cha halat un mamaspasweɏ, lu awed tuwa kabyeeɏancha willu ha tupokcha gey chi abus un man-uguugud. 
1CO.4.20	Ti ha Mampangatan Apudyus, chakampun si mipanggop si ug-uggud taku ngim pallakabyelin Apudyus si biyeg taku. 
1CO.4.21	Ked himma un-ulloyonyu? Lu umaliyak, om-omeɏak chikayu si bumaɏuwanyu, willu ipailak chi ayatku ya sayakawku? Awed kan chikayu un mampili!
1CO.5.1	Awed chi chingngeɏk un makmakwa utlat un keɏwingan, ti ulay cha achipun mamati, lappun kokòoncha si kamatlat. Ti chingngeɏk un awed kalu osa kan chikayu un pillosla pidwaʼn asawan amala. 
1CO.5.2	Ked sissiya un ilaslastugyu kilabiɏuyu? Ked bumain kayu otyan ked peɏyawonyu siya si gimungyu. 
1CO.5.3+1CO.5.4	Ulay lu lappulak utlat, isun chi awechak kan chikayu ti sosomkok chikayu. Ked gapu ta isun chi awechak kan chikayu, ya mipagapu bo si kalobbongak un illidchon Apu takuʼn Jesus, lagamputku chilusa chi halat un langwa si katchi. Ked lu magimung kayu, un isun chi lakagimungak kan chikayu si ispiritu, mipagapu si pallakabyelin Apu takuʼn Jesus Kristu un awed kan chitaku un mamati: 
