MAT.1.1	Leabhar gheinealuigh Iósa Críosd, mhic Dhaibhi, mhic Abraham.
ACT.13.46	Achd ar ndéunamh dánachda do Phól, agus do Bharnabas, a dubhradar, Is ribhse ar tús dob éigean bríathar Dé do labhairt: gidheadh ó churtháoi ar gcúl í, agus go mbeirthí do bhreith nach fíu sibh an bheatha mharthanach 
ACT.13.47	Oír is mar sin do aithin an Tighearna dhínn, 
ACT.13.48	Agus ar gclós na neitheannsa do na Cineadhachaibh, do ghabh gáireachus íad, agus do ghlóraigheadar bríathar an Tighearna: agus do chreideadar an mhéid do bhí ar na nórdughadh chum na beatha marthanaighe. 
ACT.13.49	Agus do leathnaigh bríathar an Tighearna air feadh na tíre uile. 
ACT.13.50	Achd do bhrosduígheadar na Iúdaighe mná ríaghalta agus mácanta, agus náisle na caithreach, agus do thógadar gérleanmhuin ar Phól agus ar Bharnabas, agus do chuireadar amach as a dtéorannaibh íad. 
ACT.13.51	Achd ar gcrathadh dhóibhsion luaithrigh a gcos na naghaidh, tangadar go Hicónium. 
ACT.13.52	Agus do líonadh na deisciobal do gháirdeachas, agus don Spiorad Náomh.
ACT.14.1	Agus tárla a Nicónium, go ndeachadar aráon a náoinfheachd go sionagóig na Níudaigheadh, agus gur labhradar, ar ghléus gur chreideadar buidhean mhór do na Iúdaighibh agus fos do na Gréugachaibh. 
ACT.14.2	Achd na Iúdaighthe díchreidmheacha, do bhrosdaigheadar agus do líonadar daingidheachd, inntinn na Gcineadhach a naghaidh na ndearbhraithreach. 
ACT.14.3	Uime sin dfanadar aimsear fhada ag labhairt go dána sa Tighearna, noch do rinne fíadhnuise do bhréithir a ghrás féin, agus tug fá deara comharthadha agus miorbhuileadha do dhéumamh tré na lamhaibhsión. 
ACT.14.4	Agus tárla connspóid eidir luchd na caithreach: ionnus go raibh dream aca ris na Iúdaighibh, agus dream eile ris na habsdalaibh. 
ACT.14.5	Agus ar dtosughadh bruighne do na Cineadhachaibh, agus do na Híudaighthibh maille ré na núachdaránaibh, chum 
ACT.14.6	Ar na thuigsin 
ACT.14.7	Agus do bhádar ag seanmórughadh an tsoisgéil ann sin.
ACT.14.8	Fá a nám sin do bhí duine áirighe a Listra na shuidhe, ag nach raibh a chosa ar a chúmas, do bhí na mhairtíneach ó bhroinn a mháthar, 
ACT.14.9	Do chualáidh sé so Pól ag labhairt: agus ar mbeith do 
ACT.14.10	A dubhairt sé do ghúth mór, Seas súas go díreach ar do chosaibh. Agus do léím seision súas, agus do shiúbhail sé.
ACT.14.11	Agus ar bhfaicsin a neithe do rinne Pól don phóbal, do árdaigheadar a ngúth, ag rádh a dteangaidh na Licaónia, Tangadar dée a núas chugainn a gcosamhlachd dáoine. 
ACT.14.12	Agus do ghoireadar Iupiter, do Bharnabas; agus Mercúrius, do Phól, do bhrígh gur bhfearr labhartha é. 
ACT.14.13	Agus ar mbeith do shagurt Iupiter, as comhair a gcaithreach súd, ar dtabhairt tharbh agus atán ris chim na ngeatadh, bá mian leis íodhbairt do dhéunamh má ráon ris an bpóbal. 
ACT.14.14	 ar na chlos 
ACT.14.15	Agus ag rádh, A dháoine, créud fá a ndéantáoi na neithese? Oir is dáoine sinnse féin, cosmhail a bhfulangthaibh ribhse, ag soisgéulughadh dhíbh fileadh ó na neithibh diomháoineachsa chum Dé bhí, noch rínne neamh, agus talamh, agus a nfáirge, agus na huile neithe atá ionnta: 
ACT.14.16	Noch do fhulaing sna haimsiribh do chuáidh thorainn, do na huile chineadhachaibh siubhal ann a slighthibh féin. 
ACT.14.17	Bíodh nar fhág sé é féin gan fhíadhnuise, ag déunamh maitheasa, ag tabhairt feathanna dhuinn ó neamh, agus seusúir thórthaigh, ag líonadh ar gcroidheadh do bhíadh agus do gháirdeachus. 
ACT.14.18	Agus ar rádh na néitheannsa dhóibh, is ré béigean do chongbhadar an pobal, ó íodhbairt do dhéunamh dhóibh.
ACT.14.19	Gidheadh tangadar Iúdaighe chuca ó Antíochia agus ó Icóníum, noch do chomhairligh an pobal, agus ar ngabháil do chlochaibh ar Phól, do tharruing amach as an gcathruigh 
ACT.14.20	Achd, ar mbeith do na deisciobluibh na seasamh na thimcheall, do éirigh sé súas na sheasamh, agus do chuáidh sé a steach don chathraigh: agus ar na mhárach do imthigh sé as sin má ráon ré Barnabas go Derbe.
ACT.14.21	Agus ar seanmórughadh an tsoisgéil don chathraigh sin doíbh, agus ar dtarruing mhóráin do dheiscioblaibh chuca, dfilleadar go Listra, agus 
ACT.14.22	Ag neartughadh anmann na deisciobal, agá dteagusg fá amhuin sa gcreideamh, agus gur tré iomad buaidheartha as éigean dúinn dul a steach go ríoghachd Dé. 
ACT.14.23	Agus ar nórdughadh sinnsear ann gach eagluis, agus ar ndéunamh úrnaighe dhóibh maille ré trosgadh, do chuireadar ar choimhéud an Tighearna, ionar chreideadar íad.
ACT.14.24	Agus ar ndul dhóibh thríd Phisídia, tangadar go Pamphília. 
ACT.14.25	Agus ar labhairt na bhréithre dhoibh a Bperge, do chúadar síos go Hatália: 
ACT.14.26	Agus do shéoladar as sin go Hantíochía, a náit as ar cuireadh ar coimhéud ghrás Dé íad chum na hoibre do choimhlíonadar. 
ACT.14.27	Agus ar dteachd, agus ar gcruinniúghadh na heagluise a gceann a chéile dhóibh, do fhoillsigheadar méud na neitheann do rinne Día thríothadh, agus gur osgail sé doras an chreidimh do na Cineadhachaibh. 
ACT.14.28	Agus do chomhnuigheadar aimsir fhada ann sin a bhfochair na ndeisciobail.
ACT.15.1	Agus ar dteachd do dhruing áirighe a núas ó thír Iudaighe do theaguisgeadar na bráithre, 
ACT.15.2	Uime sin tair éis Pól agus Barnabas conspóid agus diosbóireachd nar bheag do dhéanamh na naghaidh, dorduigheadar Pól agus Barnabas, agus cuid eile dhíobhsab, do dhul súas go Híarusalem chum na nabsdal agus na sinnsear a dtimcheall na ceasda so. 
ACT.15.3	Agus ar na séoladh do neagluis, do ghabhadar tré Pheníce agus Shamária, ag innisin fhillte na Gcineadhach: agus do chuireadar lúthgháir mhór ar ná bráithribh uile.
ACT.15.4	Agus ar dteachd go Hiarusalém dhóibh, do ghabhadar a neagluis, agus na habsduil agus na sinnsir chuca íad, agus dinniseadarsan méud na nitheann do rinne Día thríothadh. 
ACT.15.5	Gidheadh déirghe dream áirighe deiriceachd na Bphairsíneach do chreid, ag rádh, Go ccaithfidh a ttimcheallghearradh, agus a chur dfíachuibh 
ACT.15.6	Ar a nadhbharsin tangadar na habsduil agus na seinnsir ar áonball dféuchuinn a dtimcheall a neithse. 
ACT.15.7	Agus ar ndéunamh móráin diosbóireachda dhóibh, déirigh Peadar súas, agus a dubhairt sé ríu, A fheara 
ACT.15.8	Agus do rinne Día, dar ab aithne na croidhthe, fínné dhóibhsion, ag tabhuirt an Spiorad Náoimh dhóibh, chomhmaithlinne; 
ACT.15.9	Agus ní dhearna sé éidirdhéalughadh ar bith eadruinne agus íad, ag glanadh a gcróidheadh lé creideamh. 
ACT.15.10	Uime sin a nois créud fá bhfuiltí ag cur chathúighthe ar Dhía, ag cur chuinge ar mhuinéuluinbh na ndeisciobal, nar fhéudadar ar naithreacha ná sinn féin iomchar? 
ACT.15.11	Achd creidmíd go sláinéochthar sinn comhmaith léosan, tré ghrasuibh an Thighearna Iósa Chríosd.
ACT.15.12	Ann sin do thochdadar an chuideachda uile, agus tugadar éisdeachd do Bharnabas agus do Phól, ag innisin créad é méud na gcomharthadh agus na míorbhuileadh do rinne Día thríothadh féin eidir na Cineadhachuibh.
ACT.15.13	Agus ar sgur dha dtagra dhóibh, do fhreaguir Séumus, ag rádh, A fheara 
ACT.15.14	Dinnis Siomón 
ACT.15.15	Agus tigid bríathra na bhfaidheadh leis an nisi; do réir mar atá sgríobhtha, 
ACT.15.16	Fillfidh mé na dhiáigh so, agus tóigéubhuidh mé súas a rís tábernacuil Dháibhi, atá ar dtuitim; agus cóiréochaidh mé an ní do thuit de, agus cuirfidh mé súas é a rís: 
ACT.15.17	Do chum go níarrfaidís an chuid eile do na dáoinibh an Tighearna, agus na huile Chineadhacha, ar a ngoirthear mainm, a deir an Tighearna noch do ní na neithesi uile. 
ACT.15.18	Atá fios a oinreacha féin uile ó thosach an tsáogháil ag Día. 
ACT.15.19	Uime sin measuimsi, nach cóir míshuáimhneas do chur air a ndreim do na Cineadhachuibh, dfill chum Dé: 
ACT.15.20	Achd as insgríobhtha chuca, iad féin do sheachna ar thruáillighthibh na niodhal, agus ar stríopthachus, agus ó ní tachduighthe, agus ó fhuil. 
ACT.15.21	Oír atáid ag Maóisi ó na seanaimsireachuibh a nall dáoine do nía sheanmórughadh a ngach áon chathruigh, ann sna sinagóguibh ann a léughthar gacha sábbóid é.
ACT.15.22	Ann sin do chonncas do na habsdalaibh agus do na sinnsearaibh, maille ris a neagluis uile, dáoine toghtha dhíobh féin do chur go Hantíochia lé Pól agus lé Barnabas; 
ACT.15.23	Ag sgríobhadh 
ACT.15.24	Dó bhrígh go gcúalamar, go ndeachadar dáoine áirighe úáinne noch do bhuaidhir sibhse lé briathruibh, agus do chláochluidh bhur ninntinne, dá rádh 
ACT.15.25	Do chonncas dúinn, air tteachd déuntoil a gceann a chéile, dáoine tóghtha do chur chugaibhsi má ráon ré ar 
ACT.15.26	Daóine thug a nanmanna féin ar son anma ar Dtighearna Iósa Críosd. 
ACT.15.27	Ar a nadhbharsin do chuireamar chuguibh Iúdas agus Sílas, noch ínnéosas na neithesi as béul mar an gcéudna. 
ACT.15.28	Oír do chonncas don Spiorad Náomh, agus dúinne, gan ni as mó dúalach do chur oruibh ná na neithe ríachdanachaso; 
ACT.15.29	Go seachna sibh féin ar neithibh do níthear ofráil diodhaluibh, agus ar fhuil, agus ar ní tachduighe, agus ar striopthachus: má chongbhuithí sibh féin úatha so, is maith do dhéuntáoi. Slán libh.
ACT.15.30	Agus ar na léigeansan air siubhal, tangadar go Hantíochia: agus ar gcruinniughadh don phobal a gceann a chéile, túgadar an leitir úatha: 
ACT.15.31	Agus an tan do léigheadarsan an leitir, do ghabh gáirdeachus íad tres an ccomhfurtachd. 
ACT.15.32	Mar an gcéadna ar mbeith do Iúdas agus do Shílas, na bhfaidhibh, do theaguisgeadar agus do neartuigheadar, na bráithre lé mórán briathar. 
ACT.15.33	Agus tair éis íad fhuireach ann sin ar feadh tamuill, do leigeadar na bráithre íad a siothcháin úatha chum na nabsdal. 
ACT.15.34	Achd do chonncas do Shilás comhnuighe ann sin. 
ACT.15.35	Achd do fhan Pól agus Barnabas fós a Naintíochia, ag teagusg agus ag soisgéulughadh bhreithre an Tighearna, máráon fós ré mórán eile.
ACT.15.36	Achd a ndiáigh láetheadh áirighe a dubhairt Pól ré Barnabas, Filleam dféuchain ar mbráithreach atá ann gach áon chathruigh ann a ndearnamar bríathar an Tighearna do sheanmóir, cionnus atáid síad. 
ACT.15.37	Agus do shanntuigh Barnabas Eóin dá ngoirthear Marcus, do bhreith léo. 
ACT.15.38	Achd níor bháill lé Pól an té, dó chúaidh úatha as Pamphília, agus nach deachaidh ríu chum na hoibre, do bhreith na gcuideachda. 
ACT.15.39	Uime sin do éirigh easáonta eatorra, a gcrúth gur sgaradar ré chéile: achd rug Barnabas Marcus leis, agus do chúaidh sé a luing go Cíprus; 
ACT.15.40	Achd dó thógh Pól Silas dó féin, agus do imthigh sé roimhe, ar na chur ar comairce ghrás Dé do na bráithribh.
ACT.15.41	Agus do shiobhail sé ar feadh Shíria agus Chilícia, ag coimhneartughadh na néagluiseadh.
ACT.16.1	Ann sinn táinic sé go Derbe agus go Listra: agus, féuch, do bhí deisciobal áirighe ann sin, dar bhainm Timotéus, mac mhná áirighe, dheaghchreidmhighe don chineadh, Iúduidhe; agus 
ACT.16.2	Ar a dtugadar na bráithre do bhí a Listra agus a Níconium teisd mhaith. 
ACT.16.3	Do ghabh fonn Pól an fearso do bhreith leis na chuideachda; agus ar na bhreith leis dó do thincheallghearr sé é ar son na Níudaidheadh do bhí ann sna háitibh sin: óir do bhí a fhios acá uile gur Ghréugach a athair. 
ACT.16.4	Agus mar do shiobhladar ar na caithreachaibh, tugadar dhóibh ré a gcoimhéud nahórdaighthe, do órduigheadar na habsduil agus na sinnsir do bhí a Niarusalém. 
ACT.16.5	Uime sin do bhádar na heagluiseadha ar na ndaingnuighadh ann sa chreideamh, agus do bhí a nuimhir ag méudughadh gach éun lá.
ACT.16.6	Agus ar ngabháil tré Phrígia agus tré chrích na Galátia dhóibh, do thoirmisg an Spiorad Náomh íad an bhríathar do labhairt sá Násia, 
ACT.16.7	Agus ar dteachd go Mísia dhóibh, do chúireadar rómpa dul go Bitínia: achd níor fhulaing Spiorad Iósa dhóibh. 
ACT.16.8	Ar a nadhbharsin ar ngabháil tré Mhísia dhóibh do chúadar síos go Tróas. 
ACT.16.9	Agus do chonncas do Phóla dtaidhbhsi sa noidhche; Duine áiríghe ó Mhacedónia na sheasamh, dá ghuidhe, agus ag rádh, Tárr go Macedónia, agus tabhuir cabhuir dhúinne. 
ACT.16.10	Agus mar do chonnuircsé an taidhbhsi, do shantuigheamar ar an mball dull go Macedónia, óir do thuigeamar gur bhé an Tighearna do ghoir sinn chum an tsoisgéil do sheanmóir dhóibh.
ACT.16.11	Uime sin ag seóladh dhúinn ó Thróas, tangamar go díreach go Samotrácia, agus 
ACT.16.12	Agus ann sinn go Philippi, príomhchathuir na coda sin don Mhacedónia, 
ACT.16.13	Agus do chúamar a mach as an gcathruigh lá na sábboide chois a tsrothá, mar a ngnáthuighthí urnaighe do dhéunamh; agus ar suidhe dhúinn ann sin, do labhramar re mnaibh do bhí ar cruinniughadh ann.
ACT.16.14	Agus bean áirighe dár bhainm Lídia, reacadóir purpuir, a gcathruigh na Dtiatirach, noch do onóruigheadh Día, déisd sí 
ACT.16.15	Agus ar ngabháil bhaisdidh, dhi féin agus do luchd a tighe, do ghuidh sí 
ACT.16.16	Agus tárla, ag dul dhúinn do dhéunamh urnaighe, go dtárla cailín áirighe oruinn agá raibh spiorad faisdine, fuair fábhaltus mór dá tighearnuibh féin lé fáisdine do dhéunamh: 
ACT.16.17	Do lean sí so Pól agus sinne, agus do éigh sí, ag rádh, Is seirbhísigh don Día ro árd na dáoinesi, moch shoisgéulas dáoibh slighe na sláinte. 
ACT.16.18	Agus do rinne sí so mórán do laéthibh. Achd do ghoill sin, ar Phól, agus dfill sé air ais agus a dubhairt sé ris a spiorud, Aithnighim dhíot a nainm Iósa Críosd teachd amach aisde. Agus ar a núair sin do imthigh an spiorad aisde.
ACT.16.19	Agus an tan do chunncadar a tighearnuidhesi gur imthigh muinighin a bfábhaltuis féin, do chuireadar lámh a Bpól agus a Sílas, agus rugadar léó don mhargadh 
ACT.16.20	Agus ar na dtairgsin do na húachdaránuibh, a dubhradar, Búaidhrid na dáoinesi ar gcathuirne, óir is dón chineadh Iúdaidhe íad, 
ACT.16.21	Agus múinid síad órduighe, nach dleisdeanach dhúinne do ghabháil, na do leanmhuin, dó bhrígh gur Romhánuigh sinn. 
ACT.16.22	Agus do éiridh an pobal a náoinfheachd na naghuidh: agus ar réubadh a néuduigheadh do na hoifigibh, do áithneadar gabháil do shlatuibh 
ACT.16.23	Agus ar ngabháil orrtha go romhór dhóibh, do chuireadar a bpríosún 
ACT.16.24	Agus ar bhfagháil na háithne sin dósan, do theilg sé íad ann sá phríosún dob fhaide a steach, agus do dhaingnígh sé a gcosa a gceap.
ACT.16.25	Agus a dtimcheall mheadhóin oidhche ar ndeunamh urnaighe do Phól agus do Shílas, do chanadar salm dadhmholadh Dé: agus do chúaladar na príosúnuigh íad. 
ACT.16.26	Agus go hobann do éirigh crith mór talmhun ann, a gcrúth go raibh fúindiment an phríosuin ar bogadh: agus ar an mball do bhádar na doirrsi uile osguilti, agus a ngeimhleacha uile sgáoilte. 
ACT.16.27	Agus ar músgladh do choimhéuduidhe an phríosuin, agus ar bhfaicsin doirrseadh an phríosúin osguilte dhó, ar dtarruing a chloidhimh amach, do smúain sé é féin do mharbhadh, 
ACT.16.28	Achd do éigh Pol do ghúth mhór, ag rádh, Na déuna olc ar bith dhuit féin: óir atámaóidne uile ann so. 
ACT.16.29	Agus ar ngairm ar sholus dósan, do sháith sé a steach, agus ar mbeith dhó ar coimhchrich, do thuit sé síos a bhfiadhnuise Phóil and Shílais, 
ACT.16.30	Agus ar na mbreith leis amach dhó, a dubhairt sé, A mhaighisdríghe, créd chaithfeas misi dheunamh do chum go slainéochtháoi mé? 
ACT.16.31	Agus a dubhradarsan, Creid ann sa Tighearna Iósa Críosd, agus sláineochthar thú féin, agus do thigh. 
ACT.16.32	Agus do rinneadar bríathar an Tighearna do sheanmóir dhó féin, agus dá ráibh ann a thigh uile. 
ACT.16.33	Agus a nuáir sin féin do noidhche go ghlac se íad, agus do nigh sé a ccréachda; agus ar an mball do ghlac sé féin, agus a thigh uile baisdeadh. 
ACT.16.34	Agus ar na mbreith leis dó dhá thigh féin, do chuir sé bhiadh na bhfíadhnuisi, agus do rinne sé gairdeachus, é féin agus a thigh uile ag creideamh a Ndía.
ACT.16.35	Achd ar néirighe don lá, do chuireadar na húachdaráin máoir úatha, da rádh, Léig na daóine sin amach. 
ACT.16.36	Agus dinnis coimhéuduidhe an phriosúin na briathraso do Phól, Chuireadar na húachdaráin fios úatha bhur léigean amach: uime sin siobhluidh romhuibh a nois, agus ímthighidh a síothchain. 
ACT.16.37	Achd do fhreaguir Pól doibhsean, Tar éis gabháil oruinn go puibllidhe agus sinn neímhchiontach, agus ar Rómhanachuibh, do theilgeadar a bpríosún sinn; agus an né budh áil léo a nois ar gcur amach ós íseal? ní headh go firinneach; achd teigid féin agus beirid amach sinn. 
ACT.16.38	Agus dinniseadar na maóir na bríathraso do na húachdaránuibh: agus do ghabh eagla íadsan, an tan do chúaladar gur Rómhanuigh íad. 
ACT.16.39	Agus ar dteachd dóibh do chuireadar impidhe orrtha, agus ar na dtabhuirt amach, do guidheadar 
ACT.16.40	Agus ar nimtheachd as an bpriosún dóibhsion, do chúadar a steach go Lídia: agus ar bhfaicsin na mbríathar, tugadar comhfhurtachd dóibh, agus do imthigheadar rompa.
ACT.17.1	Agus ar nimtheachd tré Amphípolis agus tré Apollonia dhóibh, tangadar go Tessalónica, mar a raibh sinagóg ag na Iúduidhibh: 
ACT.17.2	Agus mar bá ghnáth ré Pól, do chúaidh sé a steach chuca, agus do rinne sé diosbóireachd ríu as na sgriobtúiribh ar feadh thrí lá sábboide, 
ACT.17.3	Ag miniughadh agus a dearbhughadh, gur bhéigin do Chríosd fulang, agus éirighe a rís ó mharbhuibh; agus gur ab é so Críosd, an Tiosa do nímsi sheanmóir dháoibh. 
ACT.17.4	Agus do chreideadar cuid áirighe dhíobh, agus do leanadar do Phól agus do Shílas; agus mar an gcéadna mórán do Ghréugachaibh cráibhtheach, agus do mhnáibh uáisle níar bheag.
ACT.17.5	Achd do ghabh iomthnúdh, na Iúdaidhe nár chreid, agus ag cruinniughadh dhrochdháoine airighe agus chorra-marguidh, do rinneadar cuideachda mhór, agus do bhuáidhreadar an chathuir, agus tangadar a dtimcheall tighe lásoin, ag iarruidh íadsan do thabhairt amach chum an phobuil. 
ACT.17.6	Agus an tan nach bhfúaradar íadsan, do thairngeadar Iáson agus cuid áirighe dona braithribh chum úachdarán na caithreach, ag éighmhe, Iad so do chuir an sáoghal bun os cionn thangadar an so mar an cceadna; 
ACT.17.7	Noch dhá dtug Iáson áoidheachd: agus atáid siad uile ag cur a naghuidh órduighthe Shéasair, ag rádh go bhfuil rí eile ann, 
ACT.17.8	Agus do bhuaidhreadar an pobal agus úachdaráin na caithreach, ar gclós na neitheadhso dhóibh. 
ACT.17.9	Agus ar ngabhail urrnaidhe ó Iáson, agus ón chuid eile, do léigeadar úatha íad.
ACT.17.10	Agus ar an mball do chuireadar na bráithre sa noidhche uathadh Pól agus Sílas go Beréa: agus ar dteachd dóibh 
ACT.17.11	Agus dob uáisle na 
ACT.17.12	Uime sin do chreideadar mórán díobh; agus mar an gcéudna mórán ban úasal do na Gréugachuibh, agus fear leis, níar bheag. 
ACT.17.13	Agus an tan fuáir na Iúdáidhe do bhí a Dtessalonica, fios go ndearna Pól bríathar Dé sheanmóir ag Beréa leis, do chúádar ann sin mar an gcéudna, do chur buaidheartha ar an bpobal. 
ACT.17.14	Achd do chuireadar na bríathre Pól úatha ar an mball amhail as go rachadh sé ar fairrge: achd dfan Sílas agus Timotéus ann sin na gcomhnuidhe.
ACT.17.15	Agus an chuideachda do chuáidh lé Pól do thréoraigheadar é go 
ACT.17.16	Achd ar mbeith do Phól ag fuireach ríusan a 
ACT.17.17	Ar a nadhbharsin do rinne sé diosbóireachd ann sa tsíonagóig ris na Iúduighibh, agus ris na dáoinibh riaghalta, agus ré gach áon dá dteagmhadh dhó ar an margadh gach éun lá. 
ACT.17.18	Agus do rinneadar feallsamhnuighe áirighe do na Hepicúrachuibh, agus do na Stoicibh, connspóid ris. Agus a dubhradar cuid dhíobh, Cred as áill leis an bhfear mbriosg-ghlórachso do rádh? agus 
ACT.17.19	Agus ar mbreith air, rugadar go Hareopágus é, ag rádh, An bhféudmáoid a fhios dfagháil créd é an teaguisg núadh so, labhrus tusa? 
ACT.17.20	Oír atá tu ag cur neitheadh núadh airighe ann ar gclúasuibhne: ar a nadhbharsin as mían linn a fhios dfagháil créd as cíall dóibh. 
ACT.17.21	(Oír ní raibh aire ar ní ar bith eile ag luchd na Haithne agus ag coimhthighe tháinig dáitreabhadh na measg, achd ar nuáidhéachd éigin dínnsin, no deisdeachd.)
ACT.17.22	Agus ar seasadh do Phól a meadhón Areopágus, a dubhairt sé,
ACT.17.22	A luchd chathair na Haithne, do chim go bhfuiltí go huilidhe ródhithcheallach a níodhaladhradh. 
ACT.17.23	Oír tan an do shiobhail mé ó áit go háit, agus do chunnairc mé bhur neithe náomhtha, fuáir mé altóir áirighe ann a raibh sgriobhtha DON DIA ANAITHNIDH. Ar a nadhbharsin as é an Día sin onórtháoi as gan a fhios aguibh cía hé, atáimsi do cheanmóir dhibh. 
ACT.17.24	Oír ní dheannann an Día do rinne an domhan agus gach uile ni dhá bhfuil ann, ar mbeith dhó na Thighearna ar neamh agus talamh, comhnuidhe a dteampluibh láimh-dhéanta; 
ACT.17.25	Agus fós ní tugthar onóir dhó lé lamhuibh dáoine, amr do bhíadh ríachdanus éinneithe air, óir is é féin do bheir beatha, agus anál, agus gach uile ní do na huile neithibh; 
ACT.17.26	Agus do rinne sé a nuile cheinél dáoine déunfhuil amháin do chum go naitéochaidis ar dhruím na talmhan uile, agus do chinn sé aimseardha reumhórduighe, agus teóranna a náitreabhaidhsan; 
ACT.17.27	Do chum go niarrfaidís an Tighearna, da madh eídir léo a fhaghail, ré a ghlacadh, gé nach fada ó éunduine aguinn é: 
ACT.17.28	Oír is annsan mhairmíd, agus chorruighemíd, agus atámáoid; do réir mar a dubhradar cuid dá bhur bhfileadhaibhsi, Oír is dá chinéulsan fós sinn. 
ACT.17.29	Ar a nadhbharsin ar mbeith dhúinn do chinéul Dé, ní coir dhúinn a bhreathnughadh gur cosmhuil an Díaghachd ré hór, ná ré hairgead, ná rá cloich, ar na grabháil lé healuidhin nó lé hinntleachd dháonda. 
ACT.17.30	Uime sin ar léigean aimseara a nainbhfisi thairis do Dhía; do bheir sé a mois fúagra do nuile dhuine ann gach áonáit aithreachus do dhéunamh: 
ACT.17.31	Ar an adhbhar gur órduigh sé lá, an a mbéura sé breath chomhthrom ar a tsáoghal tres an bhfear úd do órduigh sé; 
ACT.17.32	Achd an tan do chúáladarsan dó eiséirighe na marbh, do rinneadar cuid díobh fonámhad: achd a dubhradar cuid eile, Eisdfeam riot a rís dhá tháobh so. 
ACT.17.33	Agus as mar sin do imthigh Pól amach as a lár. 
ACT.17.34	Achd cuid aca ag céangal ris, do chreideadar: eidir a raibh Dionísius Areopagíta, agus bean dár bhainm Damaris, agus dream eile maille ríu.
ACT.18.1	Tar éisi so ar bhfagbháil chathair na Haithne do Phól, táinic sé go Córintus; 
ACT.18.2	Agus fuáir sé Iúdaidhe áirighe ann sin dar bhainm Acuilas, noch rugadh a Bpontus, táinic go déigheanach ó Neadáille, é féin agus a bhean Priscilla; (ar a nadhbhur gur aithin Claudius do na Iúduidhibh uile imtheachd as a Róimh:) 
ACT.18.3	Agus do bhrígh go raibh sé dáoincheird ríu, dfan sé na bhfochair, agus do bhí sé ag obair: óir a seadh bá ceird dhóibh pailliúin do dhéanamh. 
ACT.18.4	Agus do níodh sé diosbóireachd sa tsinagóig gach éun lá sábbóide, ionnus gur tharruing sé na Iúduidhe agus na Gréuguidh.
ACT.18.5	Agus mar tháinic Silas agus Timotéus ó Mhacedónia, do las Pól an a spioruid, ag déunamh finné do na Iuduidhibh gur 
ACT.18.6	Agus an tráth do chuireadarsan na aghuidh, agus do labhradar blasphéime, ar gcrothadh 
ACT.18.7	Agus ar a nimtheachd dó as sin, do chuáidh sé go tigh 
ACT.18.8	Agus do chreid Crispus, úachdarán ná sinagóige, maille ré luchd a thighe uile, ann sa Tighearna; agus mórán do na Corintianachuibh ag éisdeachd rís do chreideadar, agus do baisdeadh íad. 
ACT.18.9	Agus a dubhairt an Thighearna sa noidhche a dtaidhbhsi ré Pol, Na bíodh eagla ort, achd labhuir, agus na bí ad thochd: 
ACT.18.10	Oír atáimsi maille ríot, agus ní thiocfa duine ar bith ort do dhéunamh uile dhuit: óir atá pobal mór agamsa an sa chathraigh so. 
ACT.18.11	Agus dfan seisean blíadhuin agus sé mhí, ag teagusg bhréithre Dé na measg.
ACT.18.12	Agus an trath do bhí Gallio na úachdarán a Nachaía do éirgheadar na Iuduidhe déuntoil a naghuidh Phóil, agus rugadar go cathaóir ar bhreitheamhnuis é. 
ACT.18.13	Ag rádh, Táirrgidh an 
ACT.18.14	Agus an tan do shantuigh Pól
ACT.18.15	Gidheadh más a dtimcheall bhríathar agus anmann, agus bhur ndlighe atá bhur gceisd, féuchuidh féin 
ACT.18.16	Agus do chuir sé ón chathaóir bhreitheamhnuis íad. 
ACT.18.17	Ann sin ar mbreith do na Gréugachuibh uile ar Shostenes, úachdarán na sinagóige, do ghabhadar 
ACT.18.18	Achd 
ACT.18.19	Agus táinic sé go Héphesus, agus dfág sé ann sin íad; gidheadh do chuáidh sé féin a steach don tsinagóig, agus do thaguir sé ris na Iúduidhibh. 
ACT.18.20	Agus an tan díarradar 
ACT.18.21	Achd dfag beannachd aca, ag rádh, Is éigin dámhsa go deimhin an tsollomuin so chugainn do dhéunamh a Niarusalém: achd más toil lé Día é, fillfidh mé chuguibhsi a rís. Agus do shéol sé ó Ephesus. 
ACT.18.22	Agus ar ndul dó síos go Seasaréa do chuáidh sé súas, agus ar mbeannughadh do neagluis dó, do chuáidh sé síos go Hantíochia.
ACT.18.23	Agus ar fanmhuin dó ar feadh tamuill do imthigh sé roimhe, agus do shiobhuil sé a nórdughadh ar feadh chríche na Galátia agus Phrígia, ag neartughadh na ndeísciobal uile.
ACT.18.24	Agus táinig Iúdaighe áirighe go Hephesus, dár bhainm Apollos, rugadh a Nalecsándria, fear deaghlabhartha, do bhi cúmhachdach ann sna sgríobtúiribh. 
ACT.18.25	Do bhí an fear so ar na theagusg a slighe an Tighearna; agus ar mbeith dhó ar fiuchadh sa spioruid, do labhuir agus do theaguisg sé go dithcheallach neithe a dtimcheall an Tighearna, agus gan déolus aige achd baisdeadh Eoin amháin. 
ACT.18.26	Agus do thionnsgain sé labhuirt go dána ann sa tsinagóig: agus an tráth do chúaluidh Acuila agus Priscilla é, rugadar léo chuca 
ACT.18.27	Agus an tan do báil leis dul go Hacháia, do sgriobhadar na bráithre, chúm na ndeisciobal dá mbrosdughadh air eision do ghabháil chuca: agus, ar dteachd dhó 
