GEN.1.1	NEL principio Iddio creò il cielo e la terra
2CH.34.8	E l'anno diciottesimo del suo regno, dopo aver nettato il paese e la Casa, mandò Safan, figliuolo di Asalia; e Maaseia, capitano della città; e Ioa, figliuolo di Ioachaz, segretario, per far ristorar la Casa del Signore Iddio suo. 
2CH.34.9	Essi adunque vennero ad Hilchia, sommo sacerdote, e furono 
2CH.34.10	Ed 
2CH.34.11	E li davano a' fabbri, ed a' muratori; 
2CH.34.12	Or quegli uomini si adoperavano fedelmente in quell'opera; e sopra essi 
2CH.34.13	 ancora 
2CH.34.14	Ora, mentre traevano fuori i danari, ch'erano stati portati nella Casa del Signore, il sacerdote Hilchia trovò il libro della Legge del Signore, 
2CH.34.15	Ed Hilchia parlò al segretario Safan, e gli disse: Io ho trovato il libro della Legge nella Casa del Signore. Ed Hilchia diede il libro a Safan. 
2CH.34.16	E Safan portò quel libro al re. E, dopo che gli ebbe fatta la sua relazione, dicendo: I tuoi servitori fanno tutto quello ch'è loro stato commesso; 
2CH.34.17	ed hanno messi insieme i danari che si sono trovati nella Casa del Signore, e li hanno dati in mano a' commessari, ed a quelli che fanno l'opera; 
2CH.34.18	il segretario Safan rapportò ancora, e disse al re, che il sacerdote Hilchia gli avea dato un libro. E Safan vi lesse dentro in presenza del re.
2CH.34.19	E come il re ebbe udite le parole della Legge, stracciò i suoi vestimenti. 
2CH.34.20	Poi comandò ad Hilchia, e ad Ahicam, figliuolo di Safan, e ad Abdon, figliuolo di Mica, ed al segretario Safan, e ad Asaia, servitor del re, dicendo: 
2CH.34.21	Andate, domandate il Signore per me, e per lo rimanente d'Israele e di Giuda, intorno alle parole di questo libro ch'è stato ritrovato; perciocchè grande 
2CH.34.22	Hilchia adunque, e gli uomini del re, andarono dalla profetessa Hulda, moglie di Sallum, figliuolo di Tochat, figliuolo di Hasra, guardiano delle vesti, la quale abitava in Gerusalemme, nel secondo 
2CH.34.23	Ed ella disse loro: Così ha detto il Signore Iddio d'Israele: Dite all'uomo che vi ha mandati a me: 
2CH.34.24	Così ha detto il Signore: Ecco, io fo venir del male sopra questo luogo, e sopra i suoi abitatori; tutte le maledizioni che sono scritte nel libro, ch'è stato letto in presenza del re di Giuda. 
2CH.34.25	Perciocchè essi mi hanno abbandonato, ed hanno fatti profumi ad altri dii, per dispettarmi con tutte le opere delle lor mani; laonde l'ira mia si è versata sopra questo luogo, e non si spegnerà. 
2CH.34.26	Ma dite così al re di Giuda, che vi ha mandati per domandare il Signore: Così ha detto il Signore Iddio d'Israele: Quant'è alle parole che tu hai udite; 
2CH.34.27	perciocchè il tuo cuore si è ammollito, e tu ti sei umiliato per timor di Dio, quando tu hai inteso ciò ch'egli ha pronunziato contro a questo luogo, e contro a' suoi abitatori; e ti sei umiliato nel mio cospetto, ed hai stracciati i tuoi vestimenti, ed hai pianto davanti a me; io altresì ti ho esaudito, dice il Signore. 
2CH.34.28	Ecco, io ti raccoglierò coi tuoi padri, e sarai raccolto nelle tue sepolture in pace; e gli occhi tuoi non vedranno tutto il male che io fo venire sopra questo luogo, e sopra i suoi abitatori. Ed essi rapportarono la cosa al re.
2CH.34.29	Allora il re mandò a raunar tutti gli Anziani di Giuda e di Gerusalemme. 
2CH.34.30	Poi salì nella Casa del Signore, con tutti gli uomini di Giuda, e con gli abitanti di Gerusalemme, insieme co' sacerdoti, e i Leviti, e con tutto il popolo, dal maggiore al minore. Ed egli lesse, in lor presenza, tutte le parole del libro del Patto, il quale era stato trovato nella Casa del Signore. 
2CH.34.31	E il re stette in piè nel luogo suo ordinario
2CH.34.32	E fece promettere il medesimo a tutti quelli che furono ritrovati in Gerusalemme, ed in Beniamino; e gli abitanti di Gerusalemme fecero secondo il Patto di Dio, dell'Iddio dei padri loro.
2CH.34.33	E Giosia tolse via tutte le abbominazioni da tutte le contrade de' figliuoli d'Israele, e sottopose tutti quelli che si ritrovarono in Israele a servire al Signore Iddio loro. Tutto il tempo della vita di Giosia, essi non si rivolsero indietro dal Signore Iddio de' lor padri
2CH.35.1	OR Giosia fece la Pasqua al Signore in Gerusalemme
2CH.35.2	Ed egli costituì i sacerdoti ne' loro ufficii; e li confortò al servigio della Casa del Signore. 
2CH.35.3	E disse a' Leviti, che ammaestravano tutto Israele
2CH.35.4	E disponetevi per le case vostre paterne, secondo i vostri spartimenti
2CH.35.5	E state nel 
2CH.35.6	e scannate la Pasqua; e dopo esservi santificati, apparecchiatela a' vostri fratelli; acciocchè 
2CH.35.7	E Giosia presentò al comun popolo
2CH.35.8	I suoi principali ufficiali fecero anch'essi liberalmente presenti al popolo, a' sacerdoti, ed a' Leviti. Ed Hilchia, e Zaccaria, e Iehiel, conduttori della Casa di Dio, donarono a' sacerdoti, per la Pasqua, duemila seicento 
2CH.35.9	E Conania, e Semaia, e Natanael, suoi fratelli, ed Hasabia, e Ieiel, e Iozabad, capi de' Leviti, presentarono a' Leviti, per la Pasqua, cinquemila 
2CH.35.10	Così, essendo il servigio apprestato, i sacerdoti stettero 
2CH.35.11	Poi la Pasqua fu scannata; e i sacerdoti 
2CH.35.12	E, dandoli al comun popolo, diviso per case paterne, levavano l'olocausto, per offerir
2CH.35.13	E poi cossero la Pasqua al fuoco, secondo ch'è ordinatò
2CH.35.14	E poi essi apparecchiarono per sè e per li sacerdoti; perciocchè i sacerdoti, figliuoli d'Aaronne, 
2CH.35.15	I cantori ancora, figliuoli di Asaf, 
2CH.35.16	Così tutto il servigio del Signore fu in quel dì ordinato, per far la Pasqua, e per offerir gli olocausti sopra l'Altare del Signore, secondo il comandamento del re Giosia. 
2CH.35.17	Ed i figliuoli d'Israele, che si ritrovarono, celebrarono in quel tempo la Pasqua, e la festa degli Azzimi, per sette giorni. 
2CH.35.18	E giammai non era stata celebrata in Israele Pasqua simile a questa, dal tempo del profeta Samuele; e niuno dei re d'Israele celebrò 
2CH.35.19	Questa Pasqua fu celebrata l'anno diciottesimo del regno di Giosia.
2CH.35.20	DOPO tutte queste cose, quando Giosia ebbe ristabilito l'ordine della Casa del 
2CH.35.21	Ma 
2CH.35.22	Ma Giosia non si volle storre 
2CH.35.23	E gli arcieri tirarono al re Giosia. E il re disse a' suoi servitori: Toglietemi 
2CH.35.24	E i suoi servitori lo tolsero d'in sul carro, e lo misero sopra il suo secondo carro, e lo menarono in Gerusalemme; ed egli morì, e fu seppellito nelle sepolture de' suoi padri. E tutto Giuda e Gerusalemme fecero cordoglio di Giosia
2CH.35.25	Geremia fece anch'egli de' lamenti sopra Giosia. E tutti i cantatori e le cantatrici hanno mentovato Giosia ne' lor lamenti, fino ad oggi; e li hanno dati 
2CH.35.26	Ora, quant'è al rimanente de' fatti di Giosia, e le sue opere pie, secondo quello ch'è scritto nella Legge del Signore, 
2CH.35.27	e i suoi fatti primi ed ultimi; ecco, queste 
2CH.36.1	ALLORA il popolo del paese prese Gioachaz, figliuolo di Giosia; e lo costituì re in Gerusalemme, in luogo di suo padre.
2CH.36.2	Gioachaz 
2CH.36.3	E il re di Egitto lo depose in Gerusalemme; ed impose al paese una ammenda di cento talenti d'argento, e d'un talento d'oro. 
2CH.36.4	E il re di Egitto costituì re sopra Giuda e Gerusalemme, Eliachim, fratello di Gioachaz, e gli mutò il nome 
2CH.36.5	Gioiachim 
2CH.36.6	E Nebucadnesar, re di Babilonia, salì contro a lui, e lo legò con due catene di rame, per menarlo in Babilonia. 
2CH.36.7	Nebucadnesar ne portò ancora degli arredi della Casa del Signore, in Babilonia, e li pose nel suo tempio in Babilonia
2CH.36.8	Ora, quant'è al rimanente de' fatti di Gioiachim, e le sue abbominazioni ch'egli commise, e ciò che fu trovato in lui; ecco, queste 
2CH.36.9	Gioiachin 
2CH.36.10	Laonde, in capo dell'anno, il re Nebucadnesar mandò a farlo menare in Babilonia, insieme co' più cari arredi della Casa del Signore
2CH.36.11	SEDECHIA 
2CH.36.12	e fece ciò che dispiace al Signore Iddio suo, 
2CH.36.13	Ed anch'egli si ribellò dal re Nebucadnesar, che l'avea fatto giurare per 
2CH.36.14	Tutti i capi de' sacerdoti, e il popolo, commisero anch'essi molti e molti misfatti, secondo tutte le abbominazioni delle genti; e contaminarono la Casa del Signore, la quale egli aveva santificata in Gerusalemme. 
2CH.36.15	E il Signore Iddio de' lor padri mandava ogni mattina ad 
2CH.36.16	ma essi si beffavano de' messi di Dio, e sprezzavano le parole di esso, e schernivano i suoi profeti
2CH.36.17	Ed egli fece salir contro a loro il re de' Caldei, il quale uccise i lor giovani con la spada, nella casa del lor santuario, e non risparmiò nè giovane, nè vergine, nè vecchio, nè decrepito; egli li diede tutti in mano di quello
2CH.36.18	ed insieme tutti gli arredi della Casa di Dio, piccoli e grandi; e i tesori della Casa del Signore, e i tesori del re, e de' suoi principi. Egli fece portar tutto ciò in Babilonia. 
2CH.36.19	E 
2CH.36.20	E 
2CH.36.21	(acciocchè la parola del Signore, 
2CH.36.22	ORA, nell'anno primo di Ciro, re di Persia (acciocchè si adempiesse la parola del Signore, 
2CH.36.23	Così ha detto Ciro, re di Persia
EZR.1.1	NELL'anno primo di Ciro
EZR.1.2	Così ha detto Ciro, re di Persia: Il Signore Iddio del cielo mi ha dati tutti i regni della terra; egli ancora mi ha imposto di edificargli una Casa in Gerusalemme, che 
EZR.1.3	Chi di voi 
EZR.1.4	E se vi è alcuno, in qualunque luogo egli dimori, che sia rimasto indietro, sovvengangli le genti del suo luogo, d'oro, e d'argento, e di facoltà, e di bestie da vettura, con qualche volontaria offerta per la Casa di Dio, che 
EZR.1.5	Allora i capi delle 
EZR.1.6	E tutti i lor vicini d'ogn'intorno sovvennero loro di vasellamenti d'argento, d'oro, di facoltà, e di bestie da vettura, e di cose preziose; oltre a tutto quello che fu volontariamente offerto.
EZR.1.7	Il re Ciro trasse eziandio fuori gli arredi della Casa del Signore
EZR.1.8	Ciro, re di Persia, li trasse fuori per le mani di Mitredat, tesoriere, e li consegnò a conto a Sesbassar, principe di Giuda. 
EZR.1.9	E questo 
EZR.1.10	trenta coppe d'oro, e quattrocento dieci coppe d'argento seconde, e mille altri vasellamenti. 
EZR.1.11	Tutti questi vasellamenti, 
EZR.2.1	OR questi 
EZR.2.2	I quali vennero con Zorobabel, Iesua, Neemia, Seraia, Reelaia, Mardocheo, Bilsan, Mispar, Bigvai, Rehum, 
EZR.2.2	Il numero degli uomini del popolo d'Israele 
EZR.2.3	I figliuoli di Paros 
EZR.2.4	i figliuoli di Sefatia trecensettantadue; 
EZR.2.5	i figliuoli di Ara settecensettantacinque; 
EZR.2.6	i figliuoli di Pahat-Moab, 
EZR.2.7	i figliuoli di Elam mille dugentocinquantaquattro; 
EZR.2.8	i figliuoli di Zattu novecenquarantacinque; 
EZR.2.9	i figliuoli di Zaccai settecensessanta; 
EZR.2.10	i figliuoli di Bani seicenquarantadue; 
EZR.2.11	i figliuoli di Bebai seicenventitrè; 
EZR.2.12	i figliuoli di Azgad mille dugenventidue; 
EZR.2.13	i figliuoli di Adonicam seicensessantasei; 
EZR.2.14	i figliuoli di Bigvai duemila cinquantasei; 
EZR.2.15	i figliuoli di Adin quattrocencinquantaquattro; 
EZR.2.16	i figliuoli di Ater, per Ezechia, novantotto; 
EZR.2.17	i figliuoli di Besai trecenventitrè; 
EZR.2.18	i figliuoli di Iora centododici; 
EZR.2.19	i figliuoli di Hasum dugenventitrè; 
EZR.2.20	i figliuoli di Ghibbar novantacinque; 
EZR.2.21	i figliuoli di Bet-lehem cenventitrè; 
EZR.2.22	gli uomini di Netofa cinquantasei; 
EZR.2.23	gli uomini di Anatot cenventotto; 
EZR.2.24	gli uomini di Azmavet quarantadue; 
EZR.2.25	gli uomini di Chiriat-arim, di Chefira, e di Beerot, settecenquarantatrè; 
EZR.2.26	gli uomini di Rama e di Gheba, seicenventuno; 
EZR.2.27	gli uomini di Micmas cenventidue; 
EZR.2.28	gli uomini di Betel e di Ai dugenventitrè; 
EZR.2.29	i figliuoli di Nebo cinquantadue; 
EZR.2.30	i figliuoli di Magbis cencinquantasei; 
EZR.2.31	i figliuoli d'un altro Elam mille dugencinquantaquattro; 
EZR.2.32	i figliuoli di Harim trecenventi; 
EZR.2.33	i figliuoli di Lod, di Hadid, e d'Ono, settecenventicinque; 
EZR.2.34	i figliuoli di Gerico trecenquarantacinque; 
EZR.2.35	i figliuoli di Senaa tremila seicentrenta.
EZR.2.36	De' sacerdoti: i figliuoli di Iedaia, della famiglia di Iesua, novecensettantatrè; 
EZR.2.37	i figliuoli d'Immer mille cinquantadue; 
EZR.2.38	i figliuoli di Pashur mille dugenquarantasette; 
EZR.2.39	i figliuoli di Harim mille diciassette.
EZR.2.40	De' Leviti: i figliuoli di Iesua, e di Cadmiel, d'infra i figliuoli di Hodavia, settantaquattro.
EZR.2.41	De' cantori: i figliuoli di Asaf, cenventotto.
EZR.2.42	De' figliuoli de' portinai: i figliuoli di Sallum, i figliuoli di Ater, i figliuoli di Talmon, i figliuoli di Accub, i figliuoli di Hatita, i figliuoli di Sobai; in tutto centrentanove.
EZR.2.43	De' Netinei: i figliuoli di Siha, i figliuoli di Hasufa, i figliuoli di Tabbaot, 
EZR.2.44	i figliuoli di Cheros, i figliuoli di Siaha, i figliuoli di Padon. 
EZR.2.45	I figliuoli di Lebana, i figliuoli di Hagaba, i figliuoli di Accub, 
EZR.2.46	i figliuoli di Hagab, i figliuoli di Samlai, i figliuoli di Hanan, 
EZR.2.47	i figliuoli di Ghiddel, i figliuoli di Gahar, i figliuoli di Reaia, 
EZR.2.48	i figliuoli di Resin, i figliuoli di Necoda, i figliuoli di Gazam, 
EZR.2.49	i figliuoli di Uzza, i figliuoli di Pasea, i figliuoli di Besai, 
EZR.2.50	i figliuoli di Asna, i figliuoli di Meunim, i figliuoli di Nefusim, 
EZR.2.51	i figliuoli di Bacbuc, i figliuoli di Hacusa, i figliuoli di Harhur, 
EZR.2.52	i figliuoli di Baslut, i figliuoli di Mehida, i figliuoli di Harsa, i figliuoli di Barcos, 
EZR.2.53	i figliuoli di Sisera, i figliuoli di Tema, 
EZR.2.54	i figliuoli di Nesia, i figliuoli di Hatifa.
EZR.2.55	De' figliuoli de' servi di Salomone: i figliuoli di Sotai, i figliuoli di Soferet, i figliuoli di Peruda, i figliuoli di Iaala, 
EZR.2.56	i figliuoli di Darcon, i figliuoli di Ghiddel, 
EZR.2.57	i figliuoli di Sefatia, i figliuoli di Hattil, i figliuoli di Pocheret-hassebaim, i figliuoli di Ami.
EZR.2.58	Tutti i Netinei
EZR.2.59	Or costoro vennero di Telmela, 
EZR.2.60	 i figliuoli di Delaia, i figliuoli di Tobia, i figliuoli di Necoda, 
EZR.2.61	E de' figliuoli de' sacerdoti, i figliuoli di Abaia, i figliuoli di Cos, i figliuoli di Barzillai, il quale prese per moglie una delle figliuole di Barzillai Galaadita
EZR.2.62	Costoro cercarono i lor nomi fra i rassegnati nelle genealogie; ma non furono trovati; laonde furono appartati dal sacerdozio, come persone non consacrate
EZR.2.63	Ed Hattirsata
EZR.2.64	Questa raunanza, tutta insieme, 
EZR.2.65	oltre a' lor servi e serve, 
EZR.2.66	I lor cavalli 
EZR.2.67	i lor cammelli quattrocentrentacinque, gli asini seimila settecenventi.
EZR.2.68	Ed 
EZR.2.69	 diedero nel tesoro della fabbrica, secondo il lor potere, sessantunmila dramme d'oro, e cinquemila mine d'argento, e cento robe da sacerdoti
EZR.2.70	E i sacerdoti e i Leviti, e que' del popolo, e i cantori, e i portinai, e i Netinei, abitarono nelle lor città; tutto Israele eziandio 
EZR.3.1	ORA, quando fu giunto il settimo mese, i figliuoli d'Israele 
EZR.3.2	Allora, Iesua
EZR.3.3	E rizzarono l'Altare sopra la sua pianta; perchè aveano spavento de' popoli de' paesi 
EZR.3.4	Celebrarono eziandio la festa de' tabernacoli
EZR.3.5	E dopo questo 
EZR.3.6	Dal primo giorno del settimo mese cominciarono ad offerire olocausti al Signore. Or il Tempio del Signore non era 
EZR.3.7	Ed essi diedero danari agli scarpellini, ed a' legnaiuoli; diedero eziandio vittuaglia, e bevanda, ed olio, a' Sidonii, e a' Tirii
EZR.3.8	E nell'anno secondo, da che furono giunti alla Casa di Dio in Gerusalemme, nel secondo mese, Zorobabel, figliuolo di Sealtiel, e Iesua, figliuolo di Iosadac, e il rimanente de' lor fratelli, sacerdoti, e Leviti, e tutti quelli ch'erano venuti dalla cattività in Gerusalemme, cominciarono 
EZR.3.9	Iesua eziandio, ed i suoi figliuoli e fratelli, 
EZR.3.10	Ora, come gli edificatori fondavano il Tempio del Signore, si fecero star 
EZR.3.11	E cantavano a vicenda, lodando, e celebrando il Signore
EZR.3.12	Ma molti de' sacerdoti, e dei Leviti, e de' capi delle 
EZR.3.13	E il popolo non poteva discernere la voce delle grida di allegrezza dalla voce del pianto nel popolo; perciocchè il popolo gittava gran grida, e la voce ne fu udita fin da lungi.
EZR.4.1	OR i nemici di Giuda e di Beniamino
EZR.4.2	si accostarono a Zorobabel, ed a' capi delle 
EZR.4.3	Ma Zorobabel, e Iesua, e gli altri capi delle 
EZR.4.4	Ed il popolo del paese rendeva rimesse le mani del popolo di Giuda, e lo spaventava di fabbricare
EZR.4.5	Oltre a ciò davano pensione a certi consiglieri contro a' Giudei, per rompere il lor consiglio; 
EZR.4.6	E sotto il regno di Assuero, al principio di esso, scrissero un'accusa contro agli abitanti di Giuda e di Gerusalemme.
EZR.4.7	E poi al tempo di Artaserse, Bislam, Mitredat, Tabeel, e gli altri suoi colleghi, scrissero ad Artaserse, re di Persia; e la scrittura e la lingua della lettera 
EZR.4.8	Rehum, presidente del consiglio, e Simsai, segretario, scrissero una lettera al re Artaserse contro a Gerusalemme, di questo tenore.
EZR.4.9	Allora Rehum, presidente del consiglio, e Simsai, segretario, e gli altri lor colleghi, i Dinei, e gli Afarsatchei, i Tarpelei, gli Afarsei, gli Archevei, i Babiloni, i Susanchei, i Dehavei, gli Elamiti, 
EZR.4.10	e gli altri popoli, che il grande e glorioso Osnappar avea tramutati di stanza, e fatti abitar nella città di Samaria, e gli altri di di là dal fiume, ecc. 
EZR.4.11	(Questo è il tenor della lettera che gli mandarono.)
EZR.4.11	Al re Artaserse: i tuoi servitori, gli uomini di qua dal fiume, ecc.
EZR.4.12	Il re sappia che i Giudei, che son venuti d'appresso a te a noi, son giunti in Gerusalemme; 
EZR.4.13	Ora sappia il re, che se questa città è riedificata, e se le sue mura son rifatte, essi non pagheranno più tributo, nè taglia, nè gabella
EZR.4.14	Ora, conciossiachè noi siamo salariati dal palazzo, e non sia cosa conveniente a noi il vedere che il re sia schernito, perciò abbiamo mandato a fare assapere 
EZR.4.15	Acciocchè cerchi nel libro delle memorie de' suoi predecessori; e tu vi troverai, e conoscerai che questa città 
EZR.4.16	Noi facciamo assapere al re, che, se questa città è riedificata, e le sue mura son rifatte, la parte 
EZR.4.17	Il re mandò questa risposta:
EZR.4.17	A Rehum, presidente del consiglio, ed a Simsai, segretario, ed agli altri lor colleghi, abitanti in Samaria; ed a 
EZR.4.18	La lettera, che voi ci avete mandata, è stata spiegata, 
EZR.4.19	E per mio comandamento, si è cercato, e trovato che cotesta città già ab antico si solleva contro ai re; che vi si fanno ribellioni e congiure; 
EZR.4.20	e che già vi furono re potenti in Gerusalemme, i quali signoreggiarono in tutto 
EZR.4.21	Ora 
EZR.4.22	e guardatevi di far fallo in questo; perchè si lascerebbe crescere il male in detrimento dei re?
EZR.4.23	Allora, tosto che il tenor delle lettere del re Artaserse fu letto in presenza di Rehum, e di Simsai, segretario, e de' lor colleghi, essi andarono prestamente in Gerusalemme a' Giudei, e li fecero cessare a mano armata. 
EZR.4.24	In quel tempo fu tralasciata l'opera della Casa di Dio, che 
EZR.5.1	ALLORA il profeta Aggeo, e Zaccaria, figliuolo d'Iddo, profeti, 
EZR.5.2	E Zorobabel, figliuolo di Sealtiel, e Iesua, figliuolo di Iosadac, si levarono, e ricominciarono ad edificar la Casa di Dio
EZR.5.3	In quel tempo venne a loro Tattenai, governatore di qua dal fiume, e Setarboznai, ed i lor colleghi, e dissero loro così: Chi vi ha ordinato di edificar questa Casa, e di rifar queste mura? 
EZR.5.4	Allora noi rispondemmo loro sopra ciò, 
EZR.5.5	Ora, 
EZR.5.6	Tenor delle lettere, le quali Tattenai, governatore di qua dal fiume, e Setarboznai, ed i suoi colleghi Afarsechei, che 
EZR.5.7	 gli mandarono il fatto. E così era scritto in esse:
EZR.5.7	Al re Dario ogni salute.
EZR.5.8	Il re sappia che noi siamo andati nella provincia della Giudea, alla Casa del grande Iddio, la quale si edifica di pietre pulite; e 
EZR.5.9	, abbiamo domandato a quegli Anziani, e abbiam loro detto così: Chi vi ha ordinato di edificar questa Casa, e di rifar queste mura? 
EZR.5.10	Abbiamo loro eziandio domandati i nomi di coloro, per farteli assapere: acciocchè 
EZR.5.11	Ed essi ci hanno data questa risposta, dicendo: Noi siamo servitori dell'Iddio del cielo e della terra; e riedifichiamo la Casa, la quale era già molti anni innanzi stata edificata; la quale un gran re d'Israele avea già edificata e compiuta
EZR.5.12	Ma dopo che i nostri padri ebbero provocato ad ira l'Iddio del cielo
EZR.5.13	Ma l'anno primo di Ciro, re di Babilonia, egli ordinò che questa Casa di Dio fosse riedificata
EZR.5.14	Ed anche il re Ciro trasse fuor del tempio di Babilonia i vasellamenti d'oro e d'argento della Casa di Dio, i quali Nebucadnesar avea tratti fuor del Tempio, ch'
EZR.5.15	E 
EZR.5.16	Allora questo Sesbassar venne, 
EZR.5.17	Ora dunque, se piace al re, ricerchisi costì nella casa de' tesori del re, 
EZR.6.1	Allora il re Dario ordinò che si ricercasse nell'archivio, nel luogo dove si riponevano i tesori in Babilonia. 
EZR.6.2	E fu trovato in Ecbatana, nel palazzo reale, ch'
EZR.6.3	L'anno primo del re Ciro, il re Ciro ordinò, intorno alla Casa di Dio in Gerusalemme, ch'essa fosse riedificata, per essere un luogo dove si sacrificassero sacrificii; e che i suoi fondamenti 
EZR.6.4	e che vi fossero tre ordini di pietre pulite, e un ordine di travatura nuova
EZR.6.5	Ed anche che gli arredi d'oro e d'argento della Casa di Dio, i quali Nebucadnesar avea tratti fuor del Tempio di Gerusalemme, e portati in Babilonia, fossero restituiti, e portati nel luogo loro, nel Tempio di Gerusalemme, e fossero posti nella Casa di Dio
EZR.6.6	Ora 
EZR.6.7	e lasciate 
EZR.6.8	Ed intorno a ciò che voi avete a fare inverso cotesti Anziani de' Giudei, per riedificar cotesta Casa di Dio, io ordino, che delle entrate del re, 
EZR.6.9	e che sia loro dato giorno per giorno, senza alcun fallo, ciò che sarà necessario: buoi, e montoni, ed agnelli, per 
EZR.6.10	Acciocchè offeriscano sacrificii di soave adore all'Iddio del cielo; e preghino per la vita del re, e de' suoi figliuoli
EZR.6.11	Ed anche da me è fatto un decreto, che, se alcuno fa altrimente, una trave sia spiccata della sua casa, e sia rizzata, e ch'egli vi sia fatto morir sopra; e che della sua casa sia fatta una latrina
EZR.6.12	E Dio, che ha stanziato quivi il suo Nome
EZR.6.13	Allora Tattenai, governatore di qua dal fiume, 
EZR.6.14	E gli Anziani de' Giudei edificarono, ed avanzarono 
EZR.6.15	E questa Casa fu finita al terzo giorno del mese di Adar, l'anno sesto del regno del re Dario.
EZR.6.16	E I figliuoli d'Israele, i sacerdoti, i Leviti, e gli altri d'infra quelli ch'erano stati in cattività, celebrarono la dedicazione di questa Casa di Dio con allegrezza. 
EZR.6.17	E, per la dedicazione di questa Casa di Dio, offersero cento giovenchi, dugento montoni, e quattrocento agnelli; e 
EZR.6.18	E costituirono i sacerdoti nelle lor mute, e i Leviti ne' loro spartimenti
EZR.6.19	Poi quelli ch'erano stati in cattività fecero la Pasqua al quartodecimo 
EZR.6.20	perciocchè i sacerdoti ed i Leviti si erano purificati di pari consentimento, 
EZR.6.21	Così i figliuoli d'Israele, ch'erano ritornati dalla cattività, e tutti quelli che si erano ridotti a loro, separandosi dalla contaminazione delle genti del paese, per cercare il Signore Iddio d'Israele, mangiarono 
EZR.6.22	E celebrarono la festa degli Azzimi per sette giorni con allegrezza
EZR.7.1	ORA, dopo queste cose, sotto il regno di Artaserse
EZR.7.2	figliuolo di Sallum, figliuolo di Sadoc, figliuolo di Ahitub, 
EZR.7.3	figliuolo di Amaria, figliuolo di Azaria, figliuolo di Meraiot, 
EZR.7.4	figliuolo di Zerahia, figliuolo di Uzzi, 
EZR.7.5	figliuolo di Bucchi, figliuolo di Abisua, figliuolo di Finees, figliuolo di Eleazaro, figliuolo d'Aaronne, sommo sacerdote; 
EZR.7.6	esso Esdra ritornò in Babilonia (or egli 
EZR.7.7	E 
EZR.7.8	Ed egli arrivò in Gerusalemme al quinto mese dell'anno settimo del re. 
EZR.7.9	Perciocchè al primo 
EZR.7.10	Conciossiachè Esdra avesse disposto il cuor suo, per ricercar la Legge del Signore, e per eseguirla, e per insegnare gli statuti, e le leggi in Israele
EZR.7.11	Or questo 
EZR.7.12	Artaserse, re dei re, ad Esdra sacerdote, scriba della Legge dell'Iddio del cielo: compiuta salute, ecc.
EZR.7.13	Da me è stato fatto un decreto, che tutti quelli d'infra il popolo d'Israele, e de' sacerdoti loro, e de' Leviti, che nel mio regno si disporranno volontariamente ad andare in Gerusalemme, vadano teco. 
EZR.7.14	Perciocchè tu sei mandato dal re, e da' suoi sette consiglieri, per informarti in Giudea ed in Gerusalemme, intorno alla Legge dell'Iddio tuo, che tu hai in mano; 
EZR.7.15	e per portar l'argento e l'oro che il re e i suoi consiglieri hanno volontariamente offerto all'Iddio d'Israele, la cui abitazione 
EZR.7.16	e tutto l'argento e l'oro che tu troverai in tutta la provincia di Babilonia, insieme con le offerte volontarie del popolo, e de' sacerdoti, le quali faranno per la Casa dell'Iddio loro, che 
EZR.7.17	Acciocchè con que' danari tu comperi prontamente giovenchi, montoni 
EZR.7.18	E del rimanente dell'oro e dell'argento fatene ciò che parrà a te ed a' tuoi fratelli, secondo la volontà del vostro Dio. 
EZR.7.19	E quant'è agli arredi che ti son dati per lo servigio della Casa dell'Iddio tuo, rimettili nel cospetto dell'Iddio di Gerusalemme. 
EZR.7.20	E le altre cose necessarie per la Casa dell'Iddio tuo, le quali ti accaderà fornire, tu le fornirai della camera del re.
EZR.7.21	Ed io Artaserse, il re, ordino a tutti voi tesorieri che 
EZR.7.22	fino a cento talenti d'argento, e fino a cento cori di grano, fino a cento bati di vino, e fino a cento bati d'olio; e del sale senza alcuna prescritta 
EZR.7.23	Tutto ciò che è del comandamento dell'Iddio del cielo, intorno alla sua Casa, sia prontamente fatto; perchè vi sarebbe egli indegnazione contro al regno, al re, ed a' suoi figliuoli? 
EZR.7.24	Vi facciamo, oltre a ciò assapere che niuno abbia podestà d'imporre tributo, taglia, o gabella, ad alcun sacerdote, o Levita, o cantore, o portinaio, o Netineo, od 
EZR.7.25	E tu, Esdra, secondo la sapienza dell'Iddio tuo, che tu hai in mano, costituisci rettori, e giudici
EZR.7.26	E se v'è alcuno che non metta in opera la Legge dell'Iddio tuo, e la legge del re, siane incontanente fatta giustizia, o per morte, o per bando, o per ammenda in danari, o per prigione.
EZR.7.27	Benedetto 
EZR.7.28	ed ha fatto che io ho trovata benignità appo il re, ed appo i suoi consiglieri, ed appo tutti i suoi potenti principi
EZR.8.1	OR questi 
EZR.8.2	De' figliuoli di Finees, Ghersom; de' figliuoli d'Itamar, Daniele; de' figliuoli di Davide, Hattus: 
EZR.8.3	de' figliuoli di Secania, 
EZR.8.4	de' figliuoli di Pahat-Moab, Elioenai, figliuolo di Zerahia, e con lui dugento maschi; 
EZR.8.5	de' figliuoli di Secania, il figliuolo di Iahaziel, e con lui trecento maschi; 
EZR.8.6	e de' figliuoli di Adin, Ebed, figliuolo di Gionatan, e con lui cinquanta maschi; 
EZR.8.7	e de' figliuoli di Elam, Isaia, figliuolo di Atalia, e con lui settanta maschi; 
