GEN.1.1	Yan laputu ey lintun Apu Dios hu kabunyan niya puyek. 
GEN.50.14	Negibbuh ni ingkulung di Joseph hi ameda et mambangngad idad Egypt e hi-gadan emin idan agitu niyadda etan iEgypt ni nekilaw ni hi-gada.
GEN.50.15	Yadda etan agin Joseph ey newada hu elem dan hi-gatu eman ni neteyyan ameda. Kanday “Yan nunya e endi law hi ametayu, ey ibbaleh tu na-mu law hu impahding tayun hi-gatu.” 
GEN.50.16	Et itu-dak da hakey ni mengippeamtan Joseph e kanday “Yan nunman ni mategu ni hi ametayu ey 
GEN.50.17	inhel tun hi-gami e e-helen min hi-gam ma-lat liwwanen mu etan lawah ni impahding min hi-gam. Et humman hu, pesinsahi dakemi anhan e bega-en etan ni Dios ni dinaydayaw lan ametayu.” Dingngel Joseph humman ni inhel idan agitu ey kamannengngih.
GEN.50.18	Entanni ey immalidda etan agitu et manyuung idan hi-gatu et kanday “Nandaddan kamin mambalin ni himbut mu.” 
GEN.50.19	Nem kan Joseph ey “Entan takut yun hi-gak tep bekennak ni Dios ni menuwes niya mengastigun tuu. 
GEN.50.20	Ma-nu tep lawah hu ninemnem yun pehding hi-gak, nem impambalin Apu Dios ni kayyaggud 
GEN.50.21	Et humman hu, entan tattakut yu. Hi-gak hu ngenamung ni mengippaptek ni hi-gayu, anin idan u-ungnga yu.” Et luminggep law hu nemnem dan nangngelan dan nunman tep kabbabbal hu impanghel Joseph ni hi-gada.
GEN.50.22	Hi Joseph et yaddan emin ni helag ametu ey nannaneng idad Egypt. Netey hi Joseph eman ni hanggatut et hampulu toon tu. 
GEN.50.23	Ey kayyaggud tep inang-ang tudda u-ungngan Epraim niyadda meikkadwan inap-apu tu, anin ni u-ungngan Makir e u-ungngan Manasseh.
GEN.50.24	Yan eman ni eleg ni matey hi Joseph ey kan tuddan agituy “Anggagannu law ey metteyyak, nem ngenamung hi Apu Dios ni mengibbangngad ni hi-gayu etan di bebley ni inhel tun pebeltan tuddan helag Abraham, hi Isaac et hi ametayu hi Jacob. 
GEN.50.25	Ey yallin pambangngadan yud Kanaan ey entan tu liwwan et ienamut yu tu-ngal ku.” Et isapatah da e u-unnuden da humman ni inhel tu. 
GEN.50.26	Netey hi Joseph di Egypt eman ni hanggatut et hampulu hu toon tu et balsamuhen da et ilungun dadman.
EXO.1.1	Huyyadda ngadan idan u-ungngan Jacob 
EXO.1.2	hi Reuben, hi Simeon, hi Levi, hi Judah, 
EXO.1.3	hi Issakar, hi Sebulun, hi Benjamin, 
EXO.1.4	hi Dan, hi Naptali, hi Gad et hi Asher. 
EXO.1.5	Nepitun emin hu bilang ida eyan helag Jacob. Nekibilang hi Joseph e wada ngu dedan di Egypt.
EXO.1.6	Entanni ey netey idan emin huyyan han-aaggi, anin hi Joseph. 
EXO.1.7	Nem dakel hu helag dan neihullul ni hi-gada. Nahlag ida humman ni u-ungnga da et lektattuy dakel idan peteg et maihinap idad emin ni bebley di Egypt.
EXO.1.8	Nelabah hu dakel ni toon ey wada neihullul ni patul di Egypt ni eleg tu amta hu meippanggep lan Joseph niyadda etan kayyaggud ni impahpahding tun panyaggudan nunman ni bebley. 
EXO.1.9	Kantuddan tuu tuy “Dimmakkel idan peteg eya helag Israel, et eleg tayu amta ey wadalli lawah ni pehding dan hi-gatsu. 
EXO.1.10	Mahapul ni mannemnem itsun pehding tayu ma-lat eleg ma-duman hu bilang da. Tep nungay wada gubat ey mei-dum idan buhul tayu, et hedin neapput itsu ey hi-yanen da eya bebley tayu.”
EXO.1.11	Et ya impahding idan iEgypt ey impambalin daddan himbut etan helag Israel et panhelheltap dadda. Pinutuk da makabbunget ni mengippengngulu, et pangunu dan hi-gada hu nekalligat ni ngunu. Impekapya dan hi-gada etan dewwan bebley, ya Pithom niya Rameses e humman pambodegahan ni patul. 
EXO.1.12	Nem hedin kapan-imma-maddan iEgypt ni mengippehelheltap ni hi-gada, ey ida anhan law kamangkedakkel et ida kamangkeihhinnap. Mukun nema-man newada takut idan iEgypt ni hi-gada. 
EXO.1.13+EXO.1.14	Et humman hu endi law hemek da et daka pan-imma-man mengippelilligat ni hi-gadad emin ni daka pengunnu, henin ngunud payew niya mengapyan meikkapyan baley.
EXO.1.15	Entanni ey minandal etan ni patul etan dewwan Hebrew 
EXO.1.16	“Hedin laki hu i-ungngan biin Hebrew man patey yu, nem hedin bii entan tu patey.” 
EXO.1.17	Nem eleg da u-unnuden humman ni inhel etan ni patul, tep ida kaumtakut nan Apu Dios, et eleg da pateyen ida lalakkin neiungnga. 
EXO.1.18	Et humman hu impaeyag etan ni patul ida et kantuy “Kele eleg yuwak u-unnuden? Kele eleg yu pateyen ida lalakkin in-ungngaddan edum yun Hebrew?” 
EXO.1.19	Kanday “Apu, endi pehding mi tep hin-appil idan peteg hu edum min biin Hebrew nem yadda iEgypt tep anggagannu hu daka pan-ungngai e eleg kami umdateng ni neukat hu u-ungnga da.”
EXO.1.20+EXO.1.21	Et humman hu dimmakkel idan peteg hu helag Israel niya immetteng law hu kabaelan da. Gapuh ni kapengu-unnudiddan nunyan bii nan hi Apu Dios, ey binendisyonan tudda et mengahwadda dama et mawedadda u-ungnga da.
EXO.1.22	Entanni law ey in-olden etan ni patul idan tutu-u tu e kantuy “Yu pan-ibbeng ida hu pakeiungngan lalakkin Hebrew di Wangwang e Nile di diman Egypt, nem entan tudda ilegat hu biin pakeiungnga.”
EXO.2.1	Yan nunyan tsimpuh ey wada etan han-ahwan helag Levi. 
EXO.2.2	Nambutsug etan bii et man-ungnga ey laki. Inang-ang etan ni inetu e kakkayyaggud ni gelang et itattallu tun tellun bulan. 
EXO.2.3	Nem entanni ey eleg tu law han-itlu et lumaggan basket ni heni labba et pampudlitan tun pukut ma-lat eleg humgep danum. Inha-ad tudman etan gelang et tu itlud mekatlubbung di gilig ni Wangwang e Nile. 
EXO.2.4	Ya etan biin agi etan ni gelang ey wadad man e kamantattallu etan di a-allaw tu e tuka ang-ang-anga hu meippahding ni hi-gatu.
EXO.2.5	Entanni ey immali etan biin u-ungngan patul ni an man-e-meh etan di wangwang. Kaman-e-meh ey ida nandaddallan etan bega-en tud gilig nunman ni wangwang. Inang-ang etan ni u-ungngan patul etan basket ni kamangkalkalyap etan di mekatlubbung et itu-dak tu hakey ni bega-en tu et tu al-en. 
EXO.2.6	Sinukwaban etan ni u-ungngan patul ey wada gelang ni lakin kamannengngih ey himmek tu. Kantuy “Huyya mannuman katteg hu hakey ni u-ungngaddan Hebrew.”
EXO.2.7	Et henupen etan ni biin agin nunman ni gelang, et kantu etan ni u-ungngan patul ey “Kaw pinhed mu et nak umeyag ni biin Hebrew, ma-lat hi-gatu mengipaptek eyan gelang?” 
EXO.2.8	Ey kantuy “Uh, elaw ka tep.” Et lumaw etan bii et hi inetu kumedek hu tu inaygan. 
EXO.2.9	Kan etan ni u-ungngan patul etan ni inan gelang ey “Awit mu eya gelang ma-lat ipaptek mu et tangdanan daka.” Et awiten tu etan gelang et ipaptek tu. 
EXO.2.10	Et yan neettengan nunman ni gelang, ey inlaw inetu etan ni u-ungngan patul et ibilang tun u-ungnga tu. Ingngadnan tun hi Moses e ya keibbellinan tu ey ‘Iddakal’ tep indakal tud danum.
EXO.2.11	Nehiken law hi Moses et hakey ni aggew, ey limmaw ni an menang-ang idan edum tun Hebrew ey inang-ang tu hu kapengippelilligasiddan iEgypt ni hi-gadad daka pengunnungunnu. Entanni ey inang-ang tu hakey ni iEgypt e tuka pambe-iga etan hakey ni edum tun Hebrew. 
EXO.2.12	Kamanwingiwingi hi Moses ey endi hu kamenang-ang-ang ni hi-gatu et pateyen tu humman ni iEgypt et iku-ku tud palnah.
EXO.2.13	Newa-wa mewan ey inang-ang tudda dewwan Hebrew e ida kamambekkal. Et kantu etan ni nambahul ey “Kele muka pangkewwaya eya edum mun Hebrew?” 
EXO.2.14	Himmumang humman ni tuu ey kantuy “Hipa hu nemutuk ni hi-gam ni mambalin ni ap-apu mi niya huwet mi? Kaw petteyen muwak dama henin impahding mu etan ni iEgypt ni kaalman?” 
EXO.2.15+EXO.2.16	Entanni ey tu-wangun dingngel etan ni patul humman ni neipahding et tu-et pepettey hi Moses. Nem bimmesik di Midian et an makibebley diman.
EXO.2.15+EXO.2.16	Hi Jetro hu padid Midian ni nunman ey wada pitun bibi-in u-ungnga tu. Hakey ni aggew e kamanyuyyuddung hi Moses di kad-an ni hibuy, ey immalidda humman ni bibi-in u-ungngan Jetro ni an man-ehhul ni peinnum daddan kalneroh niya gelding ameda. 
EXO.2.17	Nem dinegyun idan edum ni kamampattul humman idan bibi-in u-ungngan Jetro. Inang-ang idan Moses et baddangan tudda et painuman tu hu animal da.
EXO.2.18	Yan inenamutan da ey kan ameday “Kele anggagannuy immanemut kayu kuman nunya?” 
EXO.2.19	Kanday “Tep wada etan iEgypt ni bimmaddang ni hi-gami et painuman tudda animal tayu.” 
EXO.2.20	Kan ameday “Et attu humman ni tuu ey? Kele yu hini-yan diman? Yulli ayagi et makikan.”
EXO.2.21	Nekilaw hi Moses et lektattuy pininhed tun mekihha-ad di baley Jetro. Entanni ey impeahwan Jetro etan hakey ni u-ungnga tu e hi Sippora nan Moses. 
EXO.2.22	Nan-ungnga hi Sippora ey laki et ngadanan Moses ni Gersom tep kantud nemnem tuy “Hi-gak ey hansinu-wannak di deya.”
EXO.2.23	Nelabah hu pigan toon ey netey etan patul di Egypt, nem nanengtun nemahhig metlaing hu kapanhelheltapiddan helag Israel, et humman hu, ida kamampehemmehemmek nan Apu Dios. 
EXO.2.24	Dingngel Apu Dios hu daka pampehemmehemmeki, ey ninemnem tu hu nekitbalan tud Abraham, hi Isaac et hi Jacob, 
EXO.2.25	tep inamta tu dedan humman ni kapengippelilligasiddan iEgypt idan helag Israel et hemeken tudda.
EXO.3.1	Hi Moses ey tuka ipappaptek ida animal ni nengapun hi-gatu e hi Jetro e padid Midian. Hakey ni aggew ey an impattul ida Moses hu kalneroh niya gelding etan di ba-hil ni eleg mebebleyi, et dumteng di Sinai e duntug ni kad-an Apu Dios. 
EXO.3.2	Entanni ey nampeang-ang hu anghel 
EXO.3.3	Natnga hi Moses e kantud nemnem tuy “Kele nemalad humman ni keyew e eleg megbu? Imay pangngu et nak henupen et paka-ang-angen ku.”
EXO.3.4	Inang-ang 
EXO.3.5	Kan Apu Dios ey “Ehneng kadtan. Entan keihnup mudya. Ey ekal mu patut mu tep wada-ak eyad lugal ni inehnengan mu. 
EXO.3.6	Hi-gak hu Dios idan aammed mu e hi Abraham, hi Isaac et hi Jacob.” 
EXO.3.7	Immehel mewan 
EXO.3.8	et humman hu, immali-ak ma-lat ihwang kuddad kapengippelilligasiddan iEgypt ni hi-gada. Pe-kal kuddadman ni bebley et pellaw kudda etan di mahkang ni kayyaggud ni puyek ni mateba hu kameitnem e humman hu nambebleyan idan Kanaanite, yadda Hittite, yadda Amorite, yadda Perisite, yadda Hibite niyadda Jebusite ni nunya. 
EXO.3.9	Makulug ni dingngel ku hu palak idan helag Israel niya inang-ang ku hu nemahhig ni kapengippelilligasiddan iEgypt ni hi-gada. 
EXO.3.10	Et humman hu, yan nunya ey ittu-dak daka et ka makihummangan etan ni patul di Egypt ma-lat ipengulum ida tuuk ni peni-yanan yun nunman ni bebley.” 
EXO.3.11	Nem kan Moses ey “Apu, kaw hipa-ak kuman an mekihhummangan etan ni patul ma-lat iebulut tun ippanguluk ida etan edum kun helag Israel et hi-yanen mi Egypt?” 
EXO.3.12	Ey kan Apu Dios ni hi-gatuy “Entan pandanag mu tep baddangan daka. Ya keang-angan tun hi-gak hu nengitu-dak ni hi-gam ey heninnuy: Yallin pengippengnguluan muddan tutu-uk ni peni-yanan yun Egypt, ey idaydayaw da-ak ni hi-gayu eyad duntug.”
EXO.3.13	Nem kan Moses ey “Nem inna-nu hedin umlawwak diman et kangkuddan edum kun helag Israel, ey intu-dak tuwak ni Dios idan aammed tayu et kanday ‘Hipa humman ni Dios ni muka pan-e-hela? Hipa ngadan tu?’ ey hipa ihhumang kun hi-gada?” 
EXO.3.14	Kan Apu Dios ey “
EXO.3.15	Ehel mun hi-gada e hi-gak etan 
EXO.3.16	Elaw ka et amungen muddan emin hu aap-apun helag Israel et ehelen mun hi-gada e hi-gak hu 
EXO.3.17	Ninemnem kun pe-kal idad Egypt ma-lat mepappeg hu daka panliligasi et palaw kudda etan di puyek ni mateba hu kameitnem e nambebleyan idan Kanaanite, yadda Hittite, yadda Amorite, yadda Perisite, yadda Hibite niyadda Jebusite.
EXO.3.18	Elaw ka et nanna-ud ni kullugen idan aap-apun helag Israel hu e-helen mu. Elaw kayuddan emin ni aap-apun helag Israel et kayu makihummangan etan ni patul di Egypt. Et kanyun hi-gatuy ‘Ya etan 
EXO.3.19	Nem inamtak e eleg tu i-abulut hedin eleg pillita. 
EXO.3.20	Et humman hu dakel ali hu pehding kun kaketngain kebahbahan ni Egypt et lektat tu ey i-abulut tun umlaw kayu.
EXO.3.21	Ey ang-angen ku et kayyaggud ali hu pannemnem idan iEgypt ni hi-gayu ma-lat yallin peni-yanan yun bebley da ey iddawtan dakeyullin mahapul yun ittabin yu. 
EXO.3.22	Et emin idalli bibi-in helag Israel ey mangkekdew idalliddan sinakdul dan bibi-in iEgypt ni kan bega-en ni hi-gadan balwasi niya linggeman ni usal ni nekapyad silber niya balituk et pampehuklub da niya pampebalwasi daddan u-ungnga da. Pehding dalli huyya et al-en da la hu kinedangyan ni Egypt e heni da imbesik di gubat.”
EXO.4.1	Hinumang Moses hi 
EXO.4.2	Ey kan 
EXO.4.3	Kan 
EXO.4.4	Nem kan 
EXO.4.5	Immehel mewan hi 
EXO.4.6	Ihweng mu ngamay mud balwasim.” Et ihweng Moses hu ngamay tu et guyuden tu ey bimmelah e neleprosih.
EXO.4.7	Kantu mewan ey “Ipidwam ni ihhehweng.” Et ihweng tu mewan et guyuden tu ey na-kal humman ni leprosih di ngamay tu.
EXO.4.8	Immehel mewan hi 
EXO.4.9	Ey hedin ippahding mudda huyyan dewwan miracle, nem kapyatun eleg ida mengullug, ala kan danum di Wangwang e Nile et iduyag mud puyek. Et humman ni danum ey mambalin ni kuheyaw.”
EXO.4.10	Nem kan Moses ey “
EXO.4.11	Ey kan 
EXO.4.12	Et humman hu, elaw ka kuma et mu ipahding hu inhel ku. Baddangan dakan umhapit niya ituttudduk hu e-helen mu.”
EXO.4.13	Nem kan Moses ey “Apu, eggak pinhed ni umlaw. Ya edum hu itu-dak mu.” 
EXO.4.14	Ey bimmunget hi 
EXO.4.15	Ehel mun hi-gatu hu pinhed mun e-helen ma-lat hi-gatu hu menghel. Hi-gak hu mengituttuddun hi-gayun e-helen yu niya pehding yu. 
EXO.4.16	Hi-gatu menghel ni pinhed mun e-helen idan tuu. Ey hi-gam hu heni Dios ni menghel ni e-helen tu. 
EXO.4.17	Ey itebin mu eya hulkud mu ma-lat huttan ussalen mun mengippahding ni dakel ni miracle.”
EXO.4.18	Immanemut hi Moses di baley da et kantu etan ni nengapun hi-gatu e hi Jetro ey “Iebulut mu anhan et lumaw wak ali nid Egypt et nak ida ang-angen aaggik diman et nak pepuhdanan hedin nanengtun mategudda.” Ey simbal nan Jetro. 
EXO.4.19	Eleg ni hi-yanen nan Moses hu Midian ey immehel mewan hi 
EXO.4.20	Et itakkay Moses di kebayyu etan ahwa tu niyadda u-ungnga tu et lumaw idad Egypt e impeki-la tu etan hulkud ni inhel Apu Dios ni ittabin tu.
EXO.4.21	Kan 
EXO.4.22	Et humman hu mahapul ni e-helen mun hi-gatu huyya: Kan 
EXO.4.23	Ey kangkuy iebulut mudda ma-lat lumaw idan menaydayaw ni hi-gak e Dios da, nem manghay ka, et humman hu, petteyen ku hu pengulwan ni u-ungngam ni laki.’”
EXO.4.24	Yan kapenglawwid Moses di Egypt et mangkampuddad dalan ey nampeang-ang hi 
EXO.4.25+EXO.4.26	Nem hi Sippora e ahwan Moses ey immalan ewah et kugiten tu etan u-ungnga dan laki, et idehidah tud helin Moses et kantuy “Ayyakaw huyyan elaw yu e mahapul ni mekuggit kayu!” Et gapuh ni nunman ni impahding Sippora ey eleg law pateyen 
EXO.4.27	Hi 
EXO.4.28	Et ehelen nan Moses nan Aaron ni emin hu inhel 
EXO.4.29	Et mambangngad idad Egypt et amungen dadda etan aap-apuddan helag Israel. 
EXO.4.30	Et ehelen nan Aaron emin ni hi-gada hu inhel 
EXO.4.31	Ey kinulug dan makulug ni intu-dak idan 
EXO.5.1	Entanni ey limmaw di Moses nan Aaron di kad-an etan ni patul et kandan hi-gatuy “Ya etan 
EXO.5.2	Nem kan etan ni patul ey “Hipa ngu anhan humman ni kanyun 
EXO.5.3	Hinumang di Aaron nan Moses e kanday “Nampeang-ang ni hi-gami etan Dios min Hebrew et kantuy umlaw kamid eleg mebebleyi e mandellan kamin tellun aggew ma-lat mi i-appitan diman humman ni 
EXO.5.4	Ey kan etan ni patul ni hi-gaday “Hipa kayun menaktak idan tuun nakka pangngunnu! Lakkayuy kuma et yu ehelen idan edum yu ma-lat ida mampangngunu! 
EXO.5.5	Yan nunya law ni-ngangun dimmakkel kayun Hebrew nem hi-gamin iEgypt ey pinhed yun issiked ni mangngunnu?”
EXO.5.6	Et yan nunman ni aggew ey in-olden etan ni patul ida etan ni kamengipappangnguluddan himbut ni Hebrew 
EXO.5.7	e kantuy “Entan tu law idwasidda kamampangngunnun dagemin meikkamdug di pulan mekapyan brick. Ngenamung idan an menemmak. 
EXO.5.8	Nem mahapul ni mannenneng hu sigud ni bilang ni daka kapyaa. Eleg mabalin ni an mekullangan, anin hakey. Mahigadda dedan, et humman hu, daka ibbagabagan hi-gak e pellaw kudda kunu et da iappitan etan Dios da. 
EXO.5.9	Edumi yu ngunnuen da ma-lat wadan kenayun hu ngunnuen da et endi inna-nu dan an mandeddengngel ni itek.”
EXO.5.10	Et ehelen idan nunman ni kamengipappangnguludda etan ni himbut e kanday “In-olden etan ni patul e eleg dakeyu law iddawsin dagemi 
EXO.5.11	et ngenamung kayun an menemmak, anin ni di attu. Nem mahapul ni mannenneng hu sigud ni bilang ni yuka kapyaa.” 
EXO.5.12	Et hinapen idan helag Israel hu Egypt ni hamak dan dagemi. 
EXO.5.13	Kaippilit idan kamengipappangngulu e mahapul ni kapyaen da etan bilang ni daka kapyaan nunman lan ida kameidwasin dagemin kapyaen da. 
EXO.5.14	Nem eleg da hangkapya hu henin nunman ni bilang et yadda etan helag Israel ni nepilin mengipappangngulu hu nengipenuyuan da et pambaigen dadda. Et kandan hi-gaday “Kele kulang law hu yuka kapyaan nunya e beken ni henin nunman?”
EXO.5.15	Entanni et lumaw ida humman ni helag Israel ni kamengipappangngulu et kanda etan ni patul ey “Apu patul, kele hanniman hu yuka pehpehding ni hi-gami? 
EXO.5.16	Insiked yun um-idwat ni dagemi ey kanyuy kapyaen mi hu henin kadinakkel ni mika kapyaan nunman? Ey dakemi kapanbaiga ey beken ni hi-gami kambahul.”
EXO.5.17	Nem kan etan ni patul ey “Makahhiga kayu kumaddan e eleg yu pinhed ni mangngunnu, et humman hu, yuka ibbagabagan hi-gak e i-abulut ku ma-lat lumaw kayun an man-appit ni 
EXO.5.18	Pambangngad kayu kumad yuka pangngunnui. Endi an meidwat ni hi-gayun dagemi. Mahapul ni kapyaen yu hu bilang ni brick ni yuka kapyaan nunman.”
EXO.5.19	Yan nunman hu nengamtaan idan nunman ni kamengipappangngulun helag Israel e endi mabalin ni da pehding nem u-unnuden da humman ni olden e mahapul ni kapyaen dan kewa-wa-wa hu sigud ni bilang ni brick ni daka kapyaa, anin ni endi meidwat ni hi-gadan dagemi.
EXO.5.20	Negibbuh ni nekihummangan idan etan ni patul et umhep ida, ey wadad Moses nan Aaron ni kamanehhegged ni hi-gada. 
EXO.5.21	Et kandan hi-gaday “Hi 
EXO.5.22	Et makihummangan mewan hi Moses nan 
EXO.5.23	Tam meippalpu kumedek eman ni nak nekihummanganan etan ni patul et peamtak etan inhel mun hi-gak ey nema-man tudda kapanhelheltap ni peteg. Ey endi kammun baddangan mudda ma-lat meihwang ida.”
EXO.6.1	Hinumang 
EXO.6.2	Hi-gak hu 
EXO.6.3	Nampeang-ang ngak lan Abraham, hi Isaac, et hi Jacob et ya amta da ey hi-gak hu Apu Dios e Kabaelan tun emin. Nem eggak peamtan hi-gada e ya ngadan kun impeamtak nunya e hi-gak hu 
EXO.6.4	Nekitballak ni hi-gada niyaddalli helag da e iddawat kun hi-gada hu Kanaan e nekibebleyan da lan nunman. 
EXO.6.5	Ey yan nunya ey peamnuk humman ni inhel kun hi-gada, tep dingngel ku kapampehemmehemmekiddan tuuk ni impanhimbut idan iEgypt. 
EXO.6.6+EXO.6.7	Et humman hu, ehel muddan edum mun helag Israel e hi-gak hu 
EXO.6.8	Ippangulu dakeyu etan di bebley ni insapatah kun iddawat kun Abraham, hi Isaac et hi Jacob et hi-gayu memeltan ni nunman ni puyek ma-lat pambebleyan yu. Et nemnemen yu e hi-gak hu 
EXO.6.9	Et lumaw hi Moses et tu ehlen idan edum tun helag Israel hu inhel 
EXO.6.10	Entanni ey kan 
EXO.6.11	“Lakkay di kad-an etan ni patul et mu ehlen e mahapul ni pellaw tudda tuuk ni helag Israel et hi-yanen da eya bebley.”
EXO.6.12	Nem kan Moses ey “Nem ang-ang mu kedi, anin idan edum kun helag Israel et eleg da-ak kulluga, nekamma-ma ngun etan ni patul e eleg tuwak kulluga tep beken nak ni nelaing ni umhapit.”
EXO.6.13	Et mandalen 
EXO.6.14	Huyyadda tenten ni edum ni helag Israel e hi Jacob: yadda u-ungngan Reuben e pengulwan ey hi Hanok, hi Pallu, hi Hesron et hi Karmi. Huyyadda kamengipappangnguluddan pewen ni pamilyah Reuben. 
EXO.6.15	Yadda u-ungngan Simeon e neihned ey hi Jemuel, hi Jamin, hi Ohad, hi Jakin, hi Sohar et hi Saul e ya inetu ey iKanaan. Huyyadda kamengipappangnguluddan pewen ni pamilyah Simeon. 
EXO.6.16	Yadda u-ungngan Levi ey hi Gerson, hi Kohat et hi Merari. Hi Levi ey hanggatut et telumpulut pitu hu toon tu et han matey. 
EXO.6.17	Yadda u-ungngan Gerson ey hi Libni et hi Simei. Nahlag ida dama et dumakkel ida. 
EXO.6.18	Yadda u-ungngan Kohat ey hi Amram, hi Ishar, hi Hebron et hi Ussiel. Hi Kohat ey hanggatut et telumpulu et tellu toon tu et han matey. 
EXO.6.19	Yadda u-ungngan Merari ey di Mahli nan Mushi. Emin ida eya nengadan ey u-ungngan Levi niyadda helag dadda.
EXO.6.20	Hi Amram ey inahwa tu hi Jokebed e agin ametu et man-ungngadda et di Moses nan Aaron. Hanggatut et telumpulut pitu toon Amram et han metey. 
EXO.6.21	Yadda u-ungngan Ishar ey hi Korah, hi Nepheg, et hi Sikri. 
EXO.6.22	Yadda u-ungngan Ussiel ey hi Mishael, hi Elsaphan et hi Sitri.
EXO.6.23	Hi Aaron ey inahwatu hi Elisheba e agin Nashon e u-ungngan Amminadab. Yadda u-ungnga da ey hi Nadab, hi Abihu, hi Eleasar et hi Ithamar.
EXO.6.24	Yadda u-ungngan Korah ey hi Assir, hi Elkanah, et hi Abiasap. Huyyadda helag Korah.
EXO.6.25	Hi Eleasar e u-ungngan Aaron, ey inahwa tu hu u-ungngan Putiel et mahlag ida et hi Pinehas. Emin ida huyyan nengadan ey hi-gada kamengipappangngulun helag Levi niyadda pamilyah da.
EXO.6.26	Di Moses nan Aaron e netenten ni helag Levi hu minandal 
EXO.6.27	Hi-gada hu nekihummangan etan ni patul di Egypt et iebulut tu helag Israel ni meni-yan ni Egypt.
EXO.6.28+EXO.6.29	Yan nekihummanganan 
EXO.6.30	Nem kan Moses ey “Inamtam e beken nak ngu katteg ni mahepit. Hipa hu inna-nu etan ni patul ni mengullug ni hi-gak?”
EXO.7.1	Ey kan 
EXO.7.2	Ehel mun Aaron emin hu e-helen kun hi-gam et ehlen tu etan ni patul, ma-lat iebulut dakeyun helag Israel ni meni-yan ni Egypt. 
EXO.7.3+EXO.7.4+EXO.7.5	Nem pambalin ku etan patul ni manghay et kahingen tu e-helen yun hi-gatu, anin ni dakel hu anggetakkut ni pehding kud Egypt. Nemahhig ali hu pengastiguk idan iEgypt et han dakeyu ipengulun hi-gak ni meni-yan ni nunman ni bebley. Yan nunman ali hu pengamtaan da e hi-gak hu 
EXO.7.6	Et u-unnuden di Moses nan hi Aaron ni emin hu inhel 
EXO.7.7	Yan nunman ni da nekihummanganan etan ni patul ey newalu et tellu toon nan hi Aaron ey newalu hu toon nan hi Moses.
EXO.7.8	Kan 
EXO.7.9	“Hedin ibbaga etan ni patul e mahapul ni peang-ang yu hu miracle ni pengullugan tu e intu-dak dakeyun hi-gak, ey ehel mun Aaron et bekahen tu etan hulkud di hinangga etan ni patul niyadda opisyal tu. Et humman ni hulkud ey mambalin ni uleg.”
EXO.7.10	Et lumaw di Moses nan Aaron di kad-an etan ni patul e inu-unnud da hu inhel 
EXO.7.11+EXO.7.12	Nem ineyagan dama etan ni patul hu nangkelaing niyadda etan kamenippahding ni magic ni iEgypt et bekahen da hulkud da ey nambalin ida daman uleg. Nem kinan ni uleg nan Aaron ida. 
EXO.7.13	Nem manghay damengu etan patul e eleg tu kullugad Moses nan Aaron e humman dedan hu inhel nan 
EXO.7.14	Entanni ey kan 
EXO.7.15	Et humman hu, elaw kallin an menammu etan ni patul ni lawwan tun kakkabbuhhan di Wangwang e Nile et hegeden mu etan di gilig tu. Ey itebin mu etan hulkud ni impambalin mu lan uleg. 
EXO.7.16	Et kammun hi-gatuy ‘Intu-dak tuwak ni 
EXO.7.17	Et humman hu, amtaen mu law ni nunya, e hi-gatu hu 
EXO.7.18	Mangkettey iddalli hu deleg et manhahamuy hu danum et eleg mabalin ni yu innumen.’
EXO.7.19	Ey ehel mu daman Aaron et tu idengdeng hulkud tuddad wangwang, yaddad kulukul niyaddad lebeng di ditan Egypt et mambalin ni emin hu danum diman ni kuheyaw, anin idan inehul da.”
EXO.7.20	Impahding di Moses nan Aaron di hinangga etan ni patul niyadda opisyal tu hu inhel 
EXO.7.21	Ey nangketey ida hu deleg et mahemuy etan danum et eleg mabalin ni innumen idan iEgypt. Et humman hu neipahding e nambalin ni kuheyaw emin hu danum di Egypt. 
EXO.7.22	Nem yadda dama magician di Egypt ey impambalin da danum ni kuheyaw. Et humman hu, nanengtun manghay etan patul, eleg tu u-unnuden hu inhel di Moses nan Aaron e humman dedan hu inhel 
EXO.7.23	Nealay nanligguh etan patul et manglaw di baley tu e eleg tun hekey hanguden etan impahding da. 
EXO.7.24	Et wada hakkey idan iEgypt ey nengu-kuddad gilig ni Wangwang e Nile ni pan-ehhulan da tep nambalin emin hu danum ni kuheyaw.
EXO.7.25	Nelabah hu pitun aggew neipalpu eman ni impambalin 
EXO.8.1	Entanni ey immehel mewan hi 
EXO.8.2	Tep hedin kahing ka ey peelli tu hantapug ni tukak et um-apnal ida eyad bebley yu. 
EXO.8.3	Mekapkapnullin tukak hu Wangwang e Nile et humman hu um-aliddalli edum eyad baley mu, yad baley idan opisyal mu, niyad baley idan tutu-um. Umhehgep idad kuwaltuh mu, ey umlaw idad uggippan mu, yaddad yuka pene-engi, anin idad bangeyu. 
EXO.8.4	Ey anin alin attu kad-an yuddan opisyal mu et ya tuum ey um-alidda hu tukak ni hi-gayu.’
EXO.8.5	Ey ehel mun Aaron et idengdeng tu hulkud tuddad emin di wangwang, yad kulukul niyaddad lebeng di Egypt ma-lat maukat hu dakel ni tukak et umapnal idan emin di puyek di Egypt.”
EXO.8.6	Et idengdeng nan Aaron etan hulkud etan idad wada danum ey neukat idalli dakel ni tukak et mapnu hu bebley di Egypt. 
EXO.8.7	Nem impahding ida damaddan magician hu hanniman e impaukat da dama hu dakel ni tukak.
