MAT.1.1	Abrahamachea puta Davidachea puta, Krista Jezuche he vonxa-vollichi xivddi. 
ROM.3.30	Kiteak Dev Ekloch: To sunôt kel’leank, tanchea bhavartak lagun, Apnnak manovloeim korta; ani Toch sunôt korunk na tankam-i, tanchea bhavarta udexim, Apnnak manovlelim korta. 
ROM.3.31	Mhonntôch kitem? Bhavart bhitôr kaddun ami Somurticho ôrth bhair martanv? Na ki na! Ufrattim, ami Somurticho khoro ôrth dakhoun ditanv.
ROM.4.1	Rogta-masa pormannem amchea purvoza, Abrahamak kitem mell’lem ami mhonnchem? 
ROM.4.2	Zôr apleam kornniam udexim Abraham’ Devak manovlolo zal’lo, tôr tannem boddai dakhoum-iet, punn Deva mukhar nhoi. 
ROM.4.3	Tôr Povitr Pustok kitem sangta? “Abrahaman Devacher bhavart dovorlo ani, hea tachea bhavartak lagun, taka Devan Apnnak manovlolo kelo.” 
ROM.4.4	Apnnem kel’leam kamancho konn muxaro ghetat tôr, ho tancho muxaro funkeachem dennem mhonn konnuch lekhinant, punn to tankam devo mhonn lêkhtat. 
ROM.4.5	Ufrattim, konnui, apnnem kel’lim kamank lagun nhoi mhonn, ani patkeank porian Dev Apnnak manovlelim korta mhonn hea Devacher bhavart dovortat, toslea tanchea bhavartak lagun, Dev tankam Apnnak manovlelim korta. 
ROM.4.6	Mhonn’toch, Dev Apnnak manovlolim korta tem, tancheam korneam-vaurak lagon nhoi mhonn, Devacher bhavart dortat tim bhagi mhonn, David oso uloita:
ROM.4.7	“Guneanvachem bhogsonnem zôr
ROM.4.7	mell’lem,
ROM.4.7	patkachem khot zôr dhuun kaddlem,
ROM.4.7	monis kitlo bhagi!
ROM.4.8	Zancher Dev tancho guneanv tapina,
ROM.4.8	tim mon’xam kitlim mhonn bhagi!”
ROM.4.9	Hem bhagiem konnank lagta? Sunôt kel’leankuch, vô sunôt korunk na tankam-i? Tôr ‘Abrahamak tachea bhavartak lagun Devan Apnnak manovlolo kelo’, oxem ami mhonntanv. 
ROM.4.10	Hem kedna ghòddlem? Tannem sunôt kelea uprant, ki korchê adim? Kelea uprant nhoi, punn ti korchê adim; 
ROM.4.11	Sunot korche adim, apnnak aslolo tea bhavartak lagun, Devan apnnak manovlolo korpacho ek xik’ko koso sunotichi khunna tannem ghetli. Sunot korche adim bhavart dhortat ani Dev Apnnak manovlelim korta tancho to purvoz zaunche khatir Devan oxem kelem. 
ROM.4.12	Ani sunôt kel’leancho bapui, nhoi fokot sunôt kel’lim asat tancho, punn bogor sunot korche adim amchea puvoza, Abrahamak aslo tea bhavartan choltat tancho-i bapui to.
ROM.4.13	Abrahaman Somurt pall’leli mhonn nhoi, punn tannem Devacher tthevlelea bhavartak lagun taka Devan funkea Apnnak manovlolo kelo dekhun, sonvsar tanchem daiz zatelem mhonn Devan Abrahamak ani tachê sonstik bhasavnni keli. 
ROM.4.14	Kiteak daiz Somurt palltat tanchench zait zalear, bhavart zalo polko ani bhasavnni zali ôrth-nasleli. 
ROM.4.15	Khorench Somurt fokot Devachea krôdhak zago korta; punn Somurt zôr na, thõi Somurt moddunk konnuch xokona. 
ROM.4.16	Mhonntôch Devachi bhasavnni bhavartak lagun mellta; oxi ti ek funkeachem dennem tem ani Abrahamachê sogllê sonstichi ti jerul zata - mhonngê fokot Devachi Somurt pavlea tanchich nhoi, punn Abrahama porim bhavart dhôrtat tanchi-i ti zata, kiteak Abraham amam-somestancho bapui. 
ROM.4.17	Tôr Povitr Pustokar oxem boroilolem asa: “Khub raxttrancho Hanvem tuka bapui kela.” Khorench, zo Dev mel’leank jivit dita ani nant teô vostu aso-xeô korta, Tea Deva mukhar Abrahaman bhavart dhorlo.
ROM.4.18	“Tuji sonsôt itli vhôdd zateli”, oxem taka Devan dil’lea utra pormannem, bhorvanxeachem ek kirnn porian asum nozo aslem tedna, “khub raxttrancho bapui” apunn zatolo mhonn tannem bhorvanso dhorun, bhavart dhorlo. 
ROM.4.19	Taka ogllim-unnim xembhôr vorsam zal’lim; tôr apli kudd mel’lea mon’xachê kuddi sarki zalea ani tosoch Saracho kusvo jiv-naslolo zala mhonn polleun-ui, tacho bhavart donvddoll’lo na; 
ROM.4.20	Devachê bhasavnnê mukhar dubhavun to pattim-fuddem sorlo na; punn bhavartantli tannem ghottai ghetli ani Devak vakhann’nni dili. 
ROM.4.21	Tôr Apnnem bhasailam titlem-i xarti pavounk Devak podvi asa mhonn taka purnn khatri asli; 
ROM.4.22	Heach pasot, hea tachea bhavartak lagun, Abrahamak Devan Apnnak manovlolo kelo.
ROM.4.23	Punn “bhavartak lagun taka Devan Apnnak manovlolo kelo”, oxem jem Povitr Pustokar boroilolem asa, tem tachêch pasot nhoi, 
ROM.4.24	punn amchê-i pasot. Amchea Somia Jezuk mel’leantlo punorjivont kela Tacher ami bhavart dovortanv ani haka lagun amkam-i Dev Apnnak manovlelim kortolo; 
ROM.4.25	kiteak khorem mhollear amcheam opradank lagun Devan Taka mornnachê adhin kelo ani amkam Apnnak manovlelim korchê pasot Taka punorjivont kelo.
ROM.5.1	Bhavarta vorvim Devan amkam Apnnak manovlelim keleant dekhun, amchea Somia Jezu Krista udexim Deva thaim ami xantin jietanv; 
ROM.5.2	tôr ami atam onnbhovtanv ti Devachi doiallai Tannench amkam bhavarta vorvim bhogunk pavoileant; ani Takach lagun Devachi mhoima amkam mellteli mhonn bhorvanso dhorun ami murgott’tanv. 
ROM.5.3+ROM.5.4	Titlench nhoi; dhumalleam thaun sosnnikai upzota, sosnnikaiê vorvim amchi topasnni zaun Devak ami manonk pavtanv; ani topasnnen Devak manovleanv mhonntôch, amcheam kallzamnim bhorvanso upzota mhonn zanna zaun. ami dimalleamnim murgott’tanv 
ROM.5.5	Amkam dil’lea Povitr Atmea udexim, Devan amcheam kallzamnim Aplo môg ôtla dekhun, bhorvanso amkam fottoina, 
ROM.5.6	Zorui amchean samkench kainch korunk zainaslem torui Kristan, Aplo nemlolo vêll pavtôch, khotteam pasot Aplo jiv dilo. 
ROM.5.7	Eka promannik mon’xa pasot legun jiv diunk konnak-ui kotthin; tori eka borea mon’xa pasot konn-êk eka vellar morunk fuddem sortolo. 
ROM.5.8	Punn ami patki zaunui, Krist amchê pasot melo te vixim Dev amkam Aplea mogacho puravo dita. 
ROM.5.9	Tachea bolidanik mornnak udexim Devak ami atam manovlelim zaleanv mhonntôch, Taka lagun, Aplea krodhantlim Dev amkam odikuch nivartolo. 
ROM.5.10	Ami dusman asleanv tedna tor, Aplea Putachea mornna udexim Devan amkam Aplea mogachê vengent portun ghetlim tor; amkam Aplea mogachê vengent portun ghetlea uprant, teach Aplea Putachea jivita udexim To amkam purnn taronn ditolo. 
ROM.5.11	Itlaenuch nhoi, punn Tachê vorvim amkam atam Aplea mogachê vengent portun ghetleant mhonn amchea Somia Jezu Krista udexim Deva sovem ami sontostanv ani murgott’tanv!
ROM.5.12	Hea pasot, eka mon’xa udexim patok hea sonvsarant bhitôr sorlem ani patka udexim moronn; ani oxem, soglleamnim patok kelem dekkhun soglleam mon’xank moronn pavlem. 
ROM.5.13	Devan Somurt diunchê adim patok sonvsarant aslem. Somurt nasli mhonntôch, Somurt môddlea mhonn konnachoch guneanv korunk zainaslo. 
ROM.5.14	Tori astanam, dil’lo kaido mon’xamnim Adanva porim moddunk nastanam-i, Adanva thaun Moizesa porian mornnan somestancher raj choloilem. Adanv mhollear ieuncho aslo tea Mon’xacho purv-rupkar.
ROM.5.15	Adanvachem patok ani Devachi funkea dakhoiloli doiallai, hanchê modem sôr korunkuch zaina. Eka mon’xachea guneanvan soglleam mon’xank moronn pavlem zalearui, eka mon’xa Jezu Krista vorvim somest mon’xank tea von odik subham’ponnan funkea favo kel’lem, Devachê doiallaiechem tem dennem zalem! 
ROM.5.16	eka mon’xachea guneanvan monxank kitem mell’lem tem, Devachea dennean monxank kitem mell’lem taka sôr korunkuch zainam! Kiteak mhonn’lear, eklea mon’xachea patka uprant zhôddti zali ani khastichem formonn poddlem, punn khub-khub guneanvam uprant, mon’xank Devak manovlelim korta tem funkea Devan dil’lem dennem ailem! 
ROM.5.17	Eka mon’xa vorvim, tachea opradak lagun, somestancher mornnan raj choloilem zalearui, Ekleach Jezu Krista udexim Aple subham’ doiallien Devan Apnnak manovlelim korta tim somest monxam tea von odik chodd jivitchem raj choloitelim. 
ROM.5.18	Mhonntôch, zoxem eka mon’xachea guneanvan somest mon’xancher khastichem formonn poddlem, tech porim, eka mon’xache Devak monovto purnn kornne udexim Dev Apnnak monovlelim korta tem funkea dennem somest mon’xank mell’lem. 
ROM.5.19	Eklo monis Devachê adneak khalto ravlo na dekhun sogllim mon’xam patki zalim; toxench eklo monis Devachê khuxek khalto ravun, sogllim mon’xam Devak manovlelim zatelim.
ROM.5.20	Somurt bhitôr sorli ki guneanv choddon-vaddon gelo; punn zõi patok choddlem-vaddlem, thõi Devachi doiallai tachê-von odik choddli-vaddli; 
ROM.5.21	hê porim, zoxem patkan mornna vorvim raj choloilem, toxench atam Devachi doiallai, amchea Somia Jezu Krista udexim, amkam Sasnnik Jivitak pavoita ani amkam Devak manovlelim korun raj choloita.
ROM.6.1	Mhonntôch, ami kitem mhonnchem? Devachi doiallai odik subham’ zaunchê khatir, ami patkantuch ravchem? 
ROM.6.2	Na ki na! Patkak meleanv tim ami koxim mhonn ami ozun patkantuch jietoleanv? 
ROM.6.3	Jezu Kristachea ekovottant batism ghetla titlim-im ami sogllim Tachea mornant batism ghetla mhonn nokllot tumi? 
ROM.6.4	Tea passot, batisma udexim, Tachea vangdda Tacheach mornnant amkam nikhipileant tem, zoso Bapan Aplê mhoimêbhorit podven Kristak mel’leantlo punorjivont kelo, toxench ami-i jivitache nove chalin ami cholchê khatir.
ROM.6.5	To mela toso morun, ami Tache bori ek zaleanv zalear, To jivont zala toso ami-i jivont zaun, Tache bori ek zatelenv. 
ROM.6.6	Hea amchea patki soimbacho bhosm korchê khatir ani patkachea gulam’ponnantli amkam suttka mellchê pasot, amchea adlem-pornnem soimb khursar marlam mhonn ami zannonv. 
ROM.6.7	Kiteak meleant tim mon’xam patkachê podventlim suttleant. 
ROM.6.8	Punn Krista borabôr ami meleanv zalear, Tachê borabôr ami jietelenv mhon amkam bhavart asa. 
ROM.6.9	Kiteak Kristak Devan mel’leantlo punorjivont kelo mhonntôch, Taka ani-anink moronn na; mornnak Tacher ani-anink koslich podvi na mhonn ami zannonv. 
ROM.6.10	Ani oso To melo dekhun, patkak ani-anink Tacher podvi na, ani To atam jieta tem jivit sogllench Devachea ekcharant jieta. 
ROM.6.11	Tôr tumchê-i vixim oxench somzat ki tumi-i patkachê podvek mel’lim zaleant, ani Krista Jezu udexim Devachea ekcharant tumchem-i jieop.
ROM.6.12	Hea pasot tumi tumcheam kuddicheam vondovnneank pallo diunk poddona zauncheak, tumchê mornnadik kuddicher patkan ani-anink raj cholounchem nhoi. 
ROM.6.13	nhoi mhonn tumchê kuddiche sande patkachea khotteponnachim hatiaram zaunk dinakat, portench zalear, mornnantlim jivim zal’lim koxim Devak tumchench somorponn korat ani tumche sande Devan Apnnak manovlelim kel’lea bhesachim hatiaram koxim Devak somorponn korat. 
ROM.6.14	ani tedna khoreponnim patok anink tumcher apli podvi cholounchem na, kiteak tumi Somurtichê adhin nhoi, punn Devachê doiallaiechê adhin asat.
ROM.6.15	Mhonntôch kitem? Ami Somurtichê adhin nhoi, punn Devachê doiallaiechê adhin asanv dekhun, ami atam patok korchem? Na ki na! 
ROM.6.16	Jea konn-ekleacheô adnea pallunk tumi tumkanch gulam’ koxim ditat tedna, tea-ekleachim, zaum mornnak vhorto patkachim, zaum Apnnak monovlelim kel’lea bhesak vhorto adnea-pallnnêchim gulam tumi zatat mhonn nokllot tumi? 
ROM.6.17	Ekdam patkachim gulam’ zaunui, tumkam dil’lê bhavartachê xikovnnek kallzant thaun tumi khaltim zaleant mhonn Devak un-unit argam; 
ROM.6.18	Patkachea gulam’po-nnantlim sutton, tumi Devak man’ta toslea jivitachê chakrek lagleant. 
ROM.6.19	Tumchea soimbachê osoktaiek lagun, mon’xancheam chalteam utramnim uloitam: khotteponnache ani odik fuddem vhorto khotteponnache gulam koxe tumchê kuddiche sandhe vompun dil’le, mhonn’toch povitrponnak lagun Devan Apnnak manovlelim kel’lea bhesache gulam koxe tumche sande vompun diat.
ROM.6.20	Tumi patkache gulam’ asleat tedna, Dev Apnnak manovlelim korta tea bhesa vixim tumi aplê sot’techim asleat. 
ROM.6.21	Tumkam atam loz dista team kortubancho tumi tedna koslo fôll kaddlo? Moronn xevôtt tancho. 
ROM.6.22	Atam patkantlim mekllim zaun ani Devachê sevek laglea uprant, tumcho fôll povitrtai ani hicho xevôtt Sasnnik Jivit. 
ROM.6.23	Patok dita to muxaro moronn; Dev dita tem funkeachem dennem amchea Somia Jezu Kristachea ekvottant Sasnnik Jivit.
ROM.7.1	(Somurtichi ollokh asa tankam hanv uloitam dekhun), monis jivo asot porian, Somurtik tacher odhikar asa mhonn nokllot tumi, bhavam-bhoinnimnô? 
ROM.7.2	Oxem ek kazari bail aplo ghôv jivo asot porian, ti bail tea aplea ghôvak somurti pomonnem bandon urta. Punn to ghôv morot zalear, ti ghôv-bailechea kaidea meklli zata. 
ROM.7.3	Mhonntôch aplo ghôv jivo astana dusrea dadlea lagim ti vochot zalear, tika lôk pordvarinn mhonntolo; punn ticho ghôv melo zalear, ti ghôv-bailechea kaidea meklli zata, ani dusrea dadlea lagim ti kazar zait zalear ti pordvarinn zaina. 
ROM.7.4	Toxench, mhojeam bhavam-bhoinninmô, tumi dusreakodde, mhonngê Devak foll uttpon korchê pasot, mel’leantlo punorjivont zala Tachim tumi zauncheak Kristachê kuddi udexim tumi-i Somurti sorim mel’lim zaleant. 
ROM.7.5	Ami amchea mon’xasoimba pormannem jietaleanv tedna, amchem jivit mornnachê sevek upkartalem zaunk, Somurtin zagoiloleô patki vondovnneô amcheam kuddicheam sandheamnim vavurtaleô. 
ROM.7.6	Punn boroiloleam nemanchê adlê manddavolli pormannem nhoi, punn Povitr Atmeachê novê manddavolli pormannem ami chakri korchê pasot, Amkam bandun dovortali tê Somurtik morun, tê Somurtintlim ami atam suttleanv.
ROM.7.7	Tôr kitem mhonnchem atam? Somurtuch patok, oxem mhonnchem? Na ki na! Ji mhaka patkachi ollokh mell’lea, ti Somurti udexinch mell’lea, kiteak “axa dhorum noiê”, oxem zôr Somurtin mhonnunk naslem, tôr axa kitem tem mhaka gomchem naslem. 
ROM.7.8	Somurti bhair patkak jivuch na dekhun, adneachi sondi dhorun, patkan sogllê torecheô axa mhojê bhitôr upzoileô.
ROM.7.9	Adim, Somurt nasli tedna, hanv jivo aslom; adnea aili tedna, patkak jiv ailo, 
ROM.7.10	ani hanv melom. Jiv diunchê khatir dil’lê adneanuch mhaka zalear mornnak pavoilo. 
ROM.7.11	He adneachi ek sondi dhorun, patkan mhaka fosoilo ani adnea udexim mhozo jiv kaddlo.
ROM.7.12	Mhonntôch Somurt povitr mhonn dubhav na, ani adnea-i povitr, neaii ani bori. 
ROM.7.13	Tôr kitem borem tench mhaka mornnachem karonn zalem? Na ki na! Patok tem patok mhonn zanna zaunchê khatir borê vostucho—mhonngê adneacho— upêg korun, patkan mhaka moronn haddlem; ani hê porim, adnea udexim patkan sogllea mapa-bhaili apli bhoikôr patki podvi choloili.
ROM.7.14	Somurt atmik mhonn ami zannonv, punn hanv zalear patkachea gulam’ponnant vikun soddlolo masa-rogtacho monis. 
ROM.7.15	Hanv kortam tem mhaka somzonam; tôr jem borem mhaka zai, tem hanv korinam; punn jem vaitt mhaka bilkul naka, tench hanv kortam; 
ROM.7.16	mhaka naka tench hanv kortam zalear, Somurt bori mhonn hanv man’tam-xem zalem. 
ROM.7.17	Punn khorem mhonnlear, kitem kortam tem, hanv nhoi toxem zalem, punn mhojê bhitôr rigun ravlam tem patok. 
ROM.7.18	Jem kitem borem tem mhojê bhitôr, mhonngê mhojea mon’xasoimbant, tthikann korun ravona mhonn hanv zannom; kiteak boreachi axa dhorunk mhojea hatant asa khorem, punn tem korunk hanv xokona; 
ROM.7.19	mhonntôch jem borem korunk hanv axetam, tem hanv korina; punn jem vaitt mhaka naka, tench hanv kortam. 
ROM.7.20	Mhaka naka tem hanv kortam zalear, mhojea kallzant rigun ravlam tem patok ki tem korta; hanv ani-anink nhoi to.
ROM.7.21	Hea pasot, ho nêm’ mhojea jivitant cholta mhonn hanv dekhtam: borem korunk sôdtam tedna, vaitt tench hanv vinchun kaddtam. 
ROM.7.22	Devachê Somurti pasot mhojem mon anondan bhoron ieta; 
ROM.7.23	punn mhojea mon’xasoimbant êk veglloch nêm’ hanv polletam: mhojea gineanan hanv mandun ghetam tê Somurticher to zhuz korta ani mhojea mon’xasoimbant asa tea patkachea nemacho mhaka koidi korta.
ROM.7.24	Kitlo nirbhagi monis hanv! Mhaka mornnachê vatten oddun vhorta tea mon’xasoimbantlo konn mhaka nivarunk xoktolo? 
ROM.7.25	Amchea Somia Jezu Krista udexim Ekloch Dev! Taka vakhann’nni!
ROM.7.25	Mhonntôch hi mhoji gôt: ginean aslolo monis koso Devachê Somurticho chakôr zaunk hanv kobul; punn hanv patki mon’xasoimbacho dekhun, patkachea nemacho hanv gulam’.
ROM.8.1	Mhonntôch, Jezu Kristachea ekvottant asat tankam atam koslench khastichem formonn na. 
ROM.8.2	Kiteak Jezu Kristachea jivit dito Atmeachê Somurtin patkachê ani mornnachê Somurtintlim tumkam nivarlim. 
ROM.8.3	Mon’xasoimbachê osoktaiek lagun jem Somurti kodde ghodd-onaslem, tem Devan kelem: Tannem Apleach Putak dhaddlo. Ho Put, patkacho nas korchê khatir, patki mon’xasoimb gheun ailo ani patka khatir Apunnuch boli zalo. Oxem mon’xa-soimbachea patkacher Devachê khastichem formonn poddlem. 
ROM.8.4	Ami atam patki mon’xasoimb vondaita tê vatten nhoi, punn Povitr Atmo oddun vhorta tê vatten cholun jietanv, tem promannikponn Somurticho hetu, amche sovem pallon ieunchem kam Aplea Putak daddun, Devan kelem. 
ROM.8.5	Jim konn mon’xasoimbacheam vondov-nneam pormannem jietat, tancho iklo mon’xasoimbak avoddta tacheruch dovorlolo asa; punn jim konn Povitr Atmo oddun vhorta tê vatten cholunk axetat, tancho êkuch iklo: Atmeak avoddtat teô vostu. 
ROM.8.6	Mon’xasoimbacher iklo dovorlear, tuka mellta fokot moronn; punn Povitr Atmeacher to dovorlo zalear, tuka mellta jivit ani xanti. 
ROM.8.7	Monxasoimbacher iklo dovortat tim Devachim dusmanam zatat, kiteak amchem mon’xasoimb Devachê khuxek khaltem ravonam, nhoi mhonn tachean khaltem ravunk zaina. 
ROM.8.8	Mon’xasoim-bacheam vondovnniam pormannem choltat tanchean Devak manom nozo; 
ROM.8.9	punn tumchem jivit mon’xasoim-bacheam vondovnniam pormannem nhoi; Devacho Atmo tumchê sovem tthikann korun jieta mhonntôch, tumchem jivit Atmean choloilolem jivit. Khorench, jeam mon’xam sovem Kristacho Atmo na, tim Kristachim nhoi. 
ROM.8.10	Punn zôr Krist tumchê sovem asa, tumchi kudd patkak lagun melear-ui, Apnnak manovlelim Devan tukam korun, jivim dovrunk tumchê sovem Atmo asa. 
ROM.8.11	Zannem Jezuk mel’leantlo punorjivont kela, Tacho Atmo tumchê bhitor rigun asa zalear Zannem Jezu Kristak mel’leantlo punorjivont kela, Toch, tumchê sovem jietelea Aplea Atmea vorvim, tumcheô vinaxi kuddi novean jivont kortolo.
ROM.8.12	Mhonntôch bhavam-bhoinnimnô, amkam kaido asa khoro, punn mon’xasoimbacheam vondovnneam pormannem jieunchem mhonn amkam mon’xasoimba sorim kaido na. 
ROM.8.13	Kiteak mon’xasoimbacheam vondovnneam pormannem jiexeat zalear, tumi mortelet; punn Atmeachea bollan mon’xasoimbacheam vondovnn-eanchem boll môddxeat zalear, tumkam Jivit astelem.
ROM.8.14	Zankam Devacho Atmo choloita, tim sogllim Devachim bhurgim. 
ROM.8.15	Tumkam anink êk pavtt bhirantin bhôrta toslo gulam’ponnacho atmo tumi gheunk na; khorem mhonn’lear, tumkam Devachim apnnailelim bhurgim korta to Atmo ki tumi ghetla; Tachê udexim ‘Ab’ba!’ mhonngê ‘Bapa’, oso ami ulo martanv. 
ROM.8.16	Ani oxem ami Devachim bhurgim mhonn Povitr Atmo, amchea otmea borabôr, Apunnuch govai dita. 
ROM.8.17	Bhurgim mhonntôch ami daiji; hôi, daiji-bhurgim Devachim ani daiji-bhavbhoinn Kristachim: Tachê mhoimechim ami bhagidar zatelenv zalear, Tacheam koxttanchim-i ami bhagidar zaunk zai.
ROM.8.18	Hea kallache koxtt-dogd ani Dev amkam ugddapi kortolo ti mhoima, hanchê bhitôr koslich sôr zaina, oxem mhaka dista; 
ROM.8.19	kiteak Devacheam bhurgeanchê prokasnnek ak’khi rochnna otrekun otrekta. 
ROM.8.20	Aplo xevôtt xarti pavounk rochnnechean nozo zalem tem tichêch khuxen nhoi, punn Apli ievzônn pallun haddchea bhorvanxean Devanuch oso nirnnoi ghetlo. 
ROM.8.21	Ho to bhorvanso: Apleam bhurgeanchea mhoimêbhorit svadhinponnant rochnnek vantto diunchê pasot, khud Dev tika kusddeponnachea gulam’ponnantli soddoun svotontr kortolo. 
ROM.8.22	Akhi rochnna ballontiche vollvolle ozun porian bhôgta mhonn ami zannonv; 
ROM.8.23	ani fokot rochnna nhoi: bogor ami-i amchêch bhitôr pirgon asanv, kiteak Devan Aplo Atmo prothom’ foll mhonn amkam dila, ani tea pasot To amkam sopurnnaien Aplim bhurgim kortolo, mhonngê amcheam kuddink suttka ditolo tea disachi vatt ami polleun asanv. 
ROM.8.24	Kiteak mhollear, bhorvanxean amkam taronn mell’lam; ravtanv tem dixtti poddlelem zalear, tantum bhorvanso na; tôr dixtti poddta tacho konn anink bhorvanso dhôrta? 
ROM.8.25	Punn dixtti poddonam tacho ami bhorvanso dhôrtanv tedna, sosnnikaien ami tachi vatt polleun ravtanv.
ROM.8.26	Têch porim, ami osokt mhonnun, Povitr Atmo amchea adarak ieta. Favo tê bhaxen kitem magchem tem ami nokllonv dekhun, utramnim ucharunk zainant tosle haskar-suskar soddun, Atmo amchê khatir Apunnuch vinoti korta. 
ROM.8.27	Dev kallzam topasun ollkhota, ani Povitr Atmeachi axa konn ti To borem zanno, kiteak Devachêch khuxê pormannem povitr kel’leam pasot To vinovnni korta.
ROM.8.28	Jim konn Tacho môg kortat ani jeam konnank Tannem Aplê ievzonnê pormannem apoileant, tanchê borabôr soglleam vostumnim Dev tanchea boreak vavurta mhonn ami zannonv. 
ROM.8.29	Mon’xamnim Devachea Putacho rupkar gheunchê khatir ani oso To somest bhavam-bhoinnim modlo Malgoddo zaunchê khatir, Devan tankam adim-fuddench mogan ollkhun kaddleant ani nemleant. 
ROM.8.30	Jeam konnank adim-fuddem Tannem nemleant, tankam Tannem apovnnem-i kelam; jeam konnank Tannem apovnnem kelam, tankam Tannem Apnnak manovlelim-i keleant; jeam konnank Tannem Apnnak manovlelim keleant, tankam Tannem mhoimevont-ui keleant.
ROM.8.31	Hem sogllem dolleam mukhar dovrun, atam ami kitem mhonnchem? Dev zôr amchê vatten asa, amcher add konn asot? 
ROM.8.32	Aplea khaxa Putak legun Devan vattaunk na, punn amam-somestam pasot Taka dilo mhonntôch, Tachê borabôr koso To amkam sogott funkea diuncho na? 
ROM.8.33	Devan vinchun kaddleant tancho konn guneanv kortolo? Tim atam guneanva-mekllim mhonn khud Dev nirnnoi dita nhoi? Tôr khastichem formonn martolo konn? 
ROM.8.34	Khastichem formonn marpi to konn? Amchê khatir melo Jezu Krist nhoi? Itlench nhoi, To punorjivont-ui zala, ani atam To Devachea uzvea hatak bosla ani Deva mukhar amchê khatir vinoti-i korta. 
ROM.8.35	Mhonntôch Kristachea moga thaun konn amkam toddun kaddit? Upodre toddun kaddtele? Oddchonni vô dhumallo bi? bhuk ani vinglleponn? sonkoxtt vô torvar bi? 
ROM.8.36	Oxem tôr Povitr Pustokar boroil’lem asa:
ROM.8.36	“Tujêch pasot amkam dis-bhôr
ROM.8.36	vollvollaun martat,
ROM.8.36	marunk toiar kel’leam xelliam vori
ROM.8.36	amkam lêkhtat.”
ROM.8.37	Punn amcho môg kela Taka lagun heam sorv ghodditamnim ami bharim zoitivont. 
ROM.8.38+ROM.8.39	Khorench, Jezu Krista amchea Somia udexim Devacho môg ami onnbhovunk pavleanv tea moga koddsun zaum moronnachean vô jivitachean, devdutchean vô ontralla veleô xokti ani podveo asat tanchean, sonvsarant atam ghòddta ani fuddarak ghoddon iet titleaichean, prithvê voir vô prithvê pondak asa tea sogttachean amkam toddun kaddunk koxêch bhaxen zaunchem na mhonn mhaka dubhavuch na!
ROM.9.1	Kristachea ekvottant asun hanv sot uloitam, fôtt sangina; Povitr Atmea udexim mhojem ontoskornn-ui mhaka govai dita: 
ROM.9.2+ROM.9.3	jim masa-rogta pormannem mhojêch porjechim, team mhojeam bhavam-bhoinnim pasot, mhaka êk vhôdd khônt asa ani thar dina tosli dukh mhojea kallzant asa. Hea pasot tankam upkarot zalear, Devacho xirap mhojer poddun mhakach Krista thaun toddun kadd mhonn hanv magtalom. 
ROM.9.4	Tim Israelkar, tankam Devan Aplim bhurgm korun ghetleant, tankam Aple mhoiment vantto dila, tanche lagim korar keleat; Somurt tanchea hatant ghalea, Devachi bhozonn tankam xikoilea, ani tankam bhasavnneo keleat; 
ROM.9.5	porzapoti tanche, ani tanche thaun rogta-masa pormannem Krist utpon zala: To sogtta-sorvam poros vorto Dev, Taka sasnnachea sasnnak vakhann’ni! Amen!
ROM.9.6+ROM.9.7+ROM.9.8+ROM.9.9	Devan dil’lem utor nirfôll zal’lea porim nhoi tem. Zolman Israelachê kulliechim tim sogllinch khori Israel-porza nhoi. Toxench Abrahamachê sonstichim tim sogllinch tacheô put-dhuvô nhoi, punn “Heach somoiar Hanv portun ietolom ani tedna Sarak bhurgo zatolo.”, heam utramnim bhasavnni kel’li asa dekhun, “Izaka vorvim tujê sonstik tujem nanv melltolem.” Mhonngê masa-rogta pormannem zolmol’lim bhurgim Devachim bhurgim nhoi, punn bhasavnnê pormannem zolmol’lim bhurgim ki khori sonsôt mhonn lekhun ietelim. Kiteak bhasavnni heam utramnim kel’li asa: “Heach somoiar Hanv portun ietolom ani tedna Sarak bhurgo zatolo.” 
ROM.9.10	Itlench nhoi, eklea ghova, amhchea purvoza, Izaka udexim Rebek’kanui dogam zonvlleam putancho gorbh samballolo tedna oxench ghoddlem. 
ROM.9.11+ROM.9.12	Te zolmunchê adim ani tãnnim kitench borem vô vaitt korchê adim, kornneam udexim nhoi punn Dev Apunn korta tea apovnnea udexim, Aple venchnnukecho xevôtt pallon ieunche khatir, Devan tika mhonn’lem: “Vhoddlo bhav dhaktteachi chakri kortolo.” 
ROM.9.13	Hench dakhoun, Povitr Pustokar oxem boroil’lem asa: “Jakobacho Hanvem môg kelo, punn Ezaucho Hanvem dvês dhôrlo.”
ROM.9.14	Tôr kitem mhonnchem? Dev onit korta mhonn sangchem? Na tem na! 
ROM.9.15	Tôr Moisesak To oxench sangta: “Mhaka zai tankam Hanv doia dakhoitolom, ani Mhaka zai tanche Hanv churchure dhôrtolom.” 
ROM.9.16	Mhonntôch mon’xam kitlim axetat vô proitn korun kitlim khorxetat, hacher kãich dhòrlolem na, sogllem fokot doiallai dakhoito Devacher dhòrlelem asa. 
ROM.9.17	Tôr Povitr Pustok Faraok sangta: “Tujê sorim Mhoji podvi dakhounchê khatir ani Mhojem Nanv sogllea sonvsaracher porgott zaunchê pasot, Hanvem tuka mud’dom’ upzoila.” 
ROM.9.18	Mhonntôch Apnnak zai tanche To churchure dhôrta ani Apnnak zai tanchem kalliz To nibor korta.
