MAT.1.1	I oyo ay listahan ni kaapoapohan ni Hisu Kristo a ginumapo de Debid ta ginumapo eya de Abraham. 
ROM.1.21	Ta misan nun kinatinggesan de a te Makedepat a Matud ay an de eya pinodi pati an de pinasalamatan. Ta i inesip de la ay i pesan a an te manga kabuluhan ta i esip de ay napa ni madumos a an te katinggesan a unabis tungkul de Makedepat. 
ROM.1.22	Ta sinabi de a ide ay naketingges misan pan ay talage a an ide te katinggesan. 
ROM.1.23	Ta ide a agta a te kalebunan ay linewesan de i pagpodi de de Makapangyedihan a Makedepat a an te kalebunan, ni pagpodi de de makedepat ide a an matud a yinadi de a kapadepade ni anino de pati kapadepade ni manok ide, manga hayup a getotul pati gedeyag.
ROM.1.24	Kanya pan pinabiyaan ide ni Makedepat a nadeog ni pesan a mammalotin a geapo de sadile de a innawa ta nagyedian ide ni belang buot de a an nagkaddepat de belang sulusadile de a lawes. 
ROM.1.25	Ta talage a linewesan de i kamatoden a tungkul de Makedepat ni kabutelan ta nagpodi a nanupoy ide de attanan a yinadi nun Makedepat a am pan de Makedepat a nagyedi ni pesan ta eya la i depat a pagpodian, magpakapide pa man. Iwina i matud.
ROM.1.26	Kanya dehil de an de pagtalinga de Makedepat ay pinabiyaan na ide a geyedi ni pesan a buot de a kauluamamos. I mahunain ay linewesan de i nagkaddepat a ugeli de de lalaki ni pagpakialam de de kapadepade de a mahunain. 
ROM.1.27	I manga lalaki pala ay pinabiyaan de i nagkaddepat a ugeli de de mahunain. Ta ide ay napulupakialaman de kapadepade de a lalaki a nagyedian ide ni kauluamamos dehil de buot a masakut a malot ni lawes de. Kanya tinanggep de de sadile de i nagkaddepat a padusa dehil de inon a mammalotin.
ROM.1.28	Ta dehil de an de buot a ponulusonan i Makedepat ay pinabiyaan na ide a te esip a mammalotin a madiplot a te ugeli ni an nagkaddepat. 
ROM.1.29	Kanya nagkaduman ide ni attanan a mammalotin ta ide ay miglolong, migkulukasulit, migkasinna, migkagengsa de mangáyun de, migbuno, migpakitalo, migdeya pati migtanom ni gengsa. Talage ide ay migsurut de mangáyun de, 
ROM.1.30	migpintas pati migkagengsa de Makedepat. An ide te gelang ta migmayabeng ide de esip de pati surut. Ide ay mig-uluesip de malot a an migtalinga de kamoddenan de. 
ROM.1.31	An ide depat a naponulusonan ta an ide te pagbuot kalbi o katinggesan tungkul de kamatoden. 
ROM.1.32	Ta misan katinggesan de pan i sinabi ni Makedepat a depat a nakkiblag diya a an te kalog i pesan a migyedi ni mammalotin a maginon ay getuloy pan la ide de pagyedi de a malot pati namas pa a malot ay pepodi de i kakmukan a geyedi ni maginon.
ROM.2.1+ROM.2.2	Nano ay katinggesan tam ngani a nagkaddepat a gekaduman ni paghatol ni Makedepat i pesan a geyedi ni mammalotin a maginon ta nappaayun de mammalotin de i paghatol na. Kanya ikaw a gehatol de kakmukan a migyedi ni maginon a mammalotin ay ang ka te nadedehilan ta peyedi mo pala i magi peyedi ni pehatolan mo kanya de paghatol mo de kakmukan ay pehatolan mo pala i sadile mo. 
ROM.2.3	Talage ikaw pan, ayun, ay wet mo eesipa a nakeélag ka de padusa nun Makedepat ta ikaw pala ay geyedi ni kapadepade de peyedi a malot ni pehatolan mo. 
ROM.2.4	Pati wet mo eesipa a ang ka podusahan ni Makedepat dehil de hanga a masakut a pagtiyage pati kabeetan a esip na dikaw. Ta depat a uluesipin mo a te kabeetan a esip eya dikaw tangani magkaduman ka pa ni panahon a makapagsosol. 
ROM.2.5	Misan ay dehil de maksa a innawa mo a ang ka gesosol ay ikaw di pala i getipun ni gepakatakut a padusa de sadile mo de nádetong a adow ta pepakita na ngani de inon a adow i matud a paghatol na dide a geyedi ni mammalotin. 
ROM.2.6	Ta bebilosan ni Makedepat i pesan a agta a nappaayun de pagyedi de. 
ROM.2.7	Bebiyen na ni edup a an te kalog i agta a matiyage a geyedi ni kapiyonan a ide pan a gelawag ni kapangyedihan ni Kristo, bilos a geapo de Makedepat pati pagkaedup a liwet. 
ROM.2.8	Misan ay podusahan na ni mabiyet i pesan a gekapoy de kabuotan na a ide a an getalinga de kamatoden a getalinga pan de mammalotin. 
ROM.2.9	Talage a gekaduman ni kahedepan pati pagkatakut i pesan a geyedi ni mammalotin, a i Hudyo ide a tagibu dingan i an Hudyo ide. 
ROM.2.10	Misan pan ay i geyedi ni kapiyonan ni Makedepat a i Hudyo a tagibu dingan i an Hudyo ide, ay gekaduman ide ni kapangyedihan ni Kristo, bilos a geapo de Makedepat pati kasampatan a innawa. 
ROM.2.11	Ta talage a i Makedepat ay an te pepeta a agta a unabis.
ROM.2.12	Kanya i an Hudyo ide a an te pagdodul ide ni Moises ay te padusa be nagkasala pati pan i Hudyo ide a te pagdodul ide ni Moises ay te padusa pala a nappaayun de pagdodul ide be nagkasala. 
ROM.2.13	Ta an i gepatalingoy la ide ni pagdodul ide i nappa ni malenis de pekita ni Makedepat ta i geabut ide de pagdodul ide i pakeeyenan na ni paghatol dide. 
ROM.2.14	Kanya be i an Hudyo ide a an te pagdodul ide ni Moises ay migtalinga ni kosa a innawa, de kapiyonan ni pagdodul ide dingan te duman ngani de pagkaagta de i belak a matud a nappaayun de pagdodul ide misan an de katinggesan i pagdodul ide ni Moises. 
ROM.2.15	Ta i ugeli de a piyon ay gepaabuya de gekita ide a agta ni pagdodul ide a naunid de innawa de. Pati pan i pagkaagta de a malenis ay gepaabuya de sadile de a i pagdodul ide a naunid de innawa de ay nappaayun de kamatoden pati pan pesosol ni uluesip de i sulusadile de o be magkábuyo ay pepatibong ni uluesip i innawa de a an ide te kasalanan. 
ROM.2.16	Maginon pala ay te adow a paghatol i Makedepat ta nappaayun de piyon a bereta a pesabi ko ay pepahatolan na de Hisu Kristo i nattagu de agta a pesan a madisalad de innawa de.
ROM.2.17	Nano, ikamo a mangáyun ko a Hudyo, ay nagkasalig kamo di dehil de pengalanan kamo a Hudyo a pineta nun Makedepat ta geasa kamo de pag-abut yu de pagdodul ide pati gemayabeng kamo di a naeisin kamo pati Makedepat. 
ROM.2.18	Pesabi yu pala a katinggesan yu i kabuotan ni Makedepat pati pesan a kapiyonan dehil de tinodu dikamo ni pagdodul ide ni Moises. 
ROM.2.19	Peesip yu pan a ikamo i nakapetodu de manga agta a an te katinggesan, a ikamo pala i magi salong a gepatallang de esip ni agta a nadedumos. 
ROM.2.20	Paayin kamo a magtutodu kamo dide a an te manga esip pati dide a magi mangának ta pesabi yu pala a nagkaduman kamo ngani ni pesan a katinggesan pati kamatoden a i kasulatan nun Makedepat. 
ROM.2.21	Be maginon ay bekot ta petoduan yu i kakmukan a an yu pan petoduan i sadile yu pati gesablow kamo ni migpannakow, misan ay gepannakow kamo pan. 
ROM.2.22	Pesabi yu de kakmukan a wet nekialam de bebi ni kakmukan misan gepakialam kamo pan. Nagkagengsa kamo de an matud a makedepat ide misan ay gesilong kamo pan a gepannakow de pigmitengan ni kaagtaan a gepodi de an matud a makedepat ide. 
ROM.2.23	Ikamo ay gemayabeng a katinggesan yu i pagdodul ide nun Makedepat misan ay dehil de ang kamo geabut de pagdodul na ide ay pesabian ni kakmukan i Makedepat ni malot dehil dikamo. 
ROM.2.24	Ta te duman de kasulatan a magioyo, “I ngalan ni Makedepat ay pesabian ni malot ni manga an Hudyo dehil dikamo a Hudyo.”
ROM.2.25	I pagpapelat de lawes yu a tande a ikamo ay Hudyo ay te kabuluhan la be getalinga kamo de pagdodul ide ni Makedepat misan be eyen ay ikamo ay magi an Hudyo ide a an te peasahan de Makedepat. 
ROM.2.26	Ta be getalinga i an Hudyo de kapiyonan ni pagdodul ide a naunid de innawa de ay talage a te peasahan ide de Makedepat a magi Hudyo a matud. 
ROM.2.27	Kanya gehatol i an Hudyo dikamo a Hudyo ta ang kamo getalinga de pagdodul ide nun Makedepat a ikamo a te ugeli a pagpapelat de lawes yu, a te pagdodul a nassolat misan i an Hudyo ide a an te ugeli a pagpapelat ay getalinga de kapiyonan ni pagdodul ide a naunid de innawa de. 
ROM.2.28	Ta i agta a geabut la de ugeli a Hudyo, a gepapelat de lawes na ay an eya i matud a Hudyo de pekita ni Makedepat. 
ROM.2.29	Ta i matud a Hudyo de pekita na ay eya a te bowon a esip pati edup a geapo de Ispiritu, a an eya a te pag-asa de pag-abut na de ugeli a Hudyo. Talage a te kabuluhan i bowon a edup de pekita ni Makedepat misan pan ay an de pekita ni agta ide.
ROM.3.1	Nano ay kati petanto ok yu a ti deno i piyon pa a kapuoyen tam a Hudyo de kapuoyen ni an Hudyo ide pati ti ano i kabuluhan ni pagpapelat de lawes ni Hudyo ide. 
ROM.3.2	Ay talage a nagkaduman i Hudyo ide ni makmuk a kapiyonan ta i tagibu ay binoy ni Makedepat dikitam a Hudyo i pinangako na ide a i surut na. 
ROM.3.3	Nano ay matud ngani a an nagpanulusun de pinangáko ni Makedepat i kamakmokan a Hudyo misan ay an naeyenan i pinangako ni Makedepat dehil dide a an naponulusonan. 
ROM.3.4	Talage a mutud a butelan i pesan a agta dio de putok i misan i Makedepat ay eyen. Ta te duman de kasulatan i sinabi ni Hari a Debid a magioyo,
ROM.3.4	“Ay pepamatoden ko di a i paghatol yu dikami a kaagtaan ay nappaayun de mammalotin mi kanya, Makedepat, ay nanalo kamo de misan ino a gebintang dikamo ni malot.”
ROM.3.5	Nano ay gesurut ok de manga gepilosopo ta pesabi de a, “Talage a dehil de pagyedi tam ni mammalotin ay pepamatoden dingani ninon a mammalotin tam a i Makedepat la i geyedi ni kapiyonan. Kanya an depat be i Makedepat i gepadusa dikitam a pepamatoden de padean ni mammalotin tam a i Makedepat la i geyedi ni kapiyonan.” 
ROM.3.6	Angan non matud a pagsabi ta be an nappatud a gehatol i Makedepat dikitam a Hudyo ay am pala nappatud a gehatol eya de pesan a agta dio de putok i. 
ROM.3.7	Misan ay kati te duman pa a gesabi a, “Dehil de ako ay an naponulusonan ay pinakita ko di a malinow a i Makedepat la i naponulusonan kanya an nagkaddepat a podusahan ok na a makikkakasalanan.” 
ROM.3.8	Malot pan non a sinabi a magi pagbintang pala deko ni tipide a agta a getodu ok kon ni magioyo, “Yumadi kitam ni mammalotin tangani násapit i kapiyonan.” Inon i pagbintang de deko. Talage a nagkaddepat a podusahan ide.
ROM.3.9	Kanya tungkul de mammalotin ni agta ay kapadepade la i kapuoyen ni Hudyo pati an Hudyo. Ta pinamatoden ko di a nadeog i kaagtaan a pesan ni mammalotin, Hudyo man o an Hudyo. 
ROM.3.10	Ta te duman de kasulatan a magioyo a,
ROM.3.10	“An te misan isin a agta a te sukul a kapiyonan a ugeli de pekita ni Makedepat. 
ROM.3.11	Ta an te naketingges de Makedepat pati an te agta a gelawag ni kabuotan na. 
ROM.3.12	I pesan ngani ay tinumalikokod diya a napa ni an te kabuluhan ta an te misan isin a agta a geyedi ni nagkaddepat de pekita ni Makedepat. 
ROM.3.13	Talage a i pagsurut de ay madiplot a kauluamamos a magi mabungtut a táporan a nakayesan. Ta i dila de ay pegemit de de pagdeya pati pan i surut de a maapdisin ay magi kamandeg ni bebek. 
ROM.3.14	Pati pan i nguso de ay ugnay a getóben gepo de ide ay te natanom a gengsa. 
ROM.3.15	Ta ide ay nappahande a ugnay a gebuno ni kapadepade de a agta. 
ROM.3.16	Kanya pan misan deno ide ay te duman a gulo pati kahedepan 
ROM.3.17	ta an de buot a náabut de ugeli a te kabeetan a esip a geapo de Makedepat. 
ROM.3.18	Namas pa de inon ay an ide te gelang de Makedepat.”
ROM.3.19	Nano ay katinggesan tam a te kapangyedihan de pesan a agta i pagdodul ide tangani peabuyenan de a ide ay makikkakasalanan a an te nadedehilan ta i pesan dio de putok i ay násagkad a gepamatud tungkul de mammalotin de de Makedepat. 
ROM.3.20	Kanya talage a dehil de pagdodul ide ay peabuyenan la ni agta i mammalotin de ta angani pakeeyenan ni Makedepat i misan ino a agta ni paghatol dide dehil de pag-asa de de pag-abut de pagdodul ide.
ROM.3.21	Misan ay nano pan ay pinaabuya di ni Makedepat a ti papalano a nappa ni malenis a an te kasalanan de pekita na i agta ide ta gepamatud pala i kasulatan ni Moises pati magsasabi ide a den a an nappa ni malenis a an te kasalanan de pekita ni Makedepat i misan ino dehil de pag-abut de de pagdodul ide. 
ROM.3.22	Talage ay pinaabuya di ni Makedepat a nappa ni malenis a an te kasalanan i belang te buot ide, Hudyo man o eyen, dehil de pagpanulusun de de Hisu Kristo. 
ROM.3.23	Ta matud ngani a i pesan ay nagkasala, a an nagkaddepat a nakalani de Makedepat. 
ROM.3.24	Misan ay dehil de paaged na a kosa a tabeng ay pinakaeyenan na ikitam ni paghatol de padean ni Hisu Kristo a nagtobus dikitam. 
ROM.3.25	Ta i Kristo i dinodul ni Makedepat a nagpakalibun de padipa ta i sagu na la i pantobus tangani nappatud a pakeeyenan ni Makedepat ikitam ni mammalotin dehil de pagpanulusun tam de Kristo. Ta misan matiyage i Makedepat hanggen nun tagibu, a binolan na pa i pagpadusa na de mammalotin ni agta ide ay de pagkalibun pan ni Kristo ay pinaabuya na di a an na buot inon a mammalotin. 
ROM.3.26	Kanya de pagkalibun ni Kristo ay pepamatoden ni Makedepat, de nano a panahon, a hinatolan na di i mammalotin ni kaagtaan pati nappatud di a pakeeyenan na i misan ino a gepanulusun de Hisus ni paghatol na dide.
ROM.3.27	Talage a ang kitam nakapemayabeng a naligtas kitam dehil de pag-abut tam de pagdodul ide ta naligtas kitam la dehil de pagpanulusun tam de Kristo. 
ROM.3.28	Kanya i oyo i kamatoden a pakeeyenan la i agta ni paghatol diya dehil de pagpanulusun na de Hisus a angan dehil de pag-abut na de pagdodul ide. 
ROM.3.29+ROM.3.30	Ta katinggesan tam a i Makedepat ay isin la kanya Makedepat eya ni pesan, a an la ni Hudyo ide ta padepade kitam, Hudyo man o an Hudyo, a pakeeyenan ni paghatol dikitam dehil de pagpanulusun tam. 
ROM.3.31	Wet yu eesipa a peeyenan mi ni kabuluhan i pagdodul ide dehil de pagtodu mi a tungkul de pagpanulusun de Kristo ta talage pan a namas kitam pa a gepakaabut de pagdodul ide dehil de pagpanulusun tam de Kristo.
ROM.4.1	Nano ay piyon pa be eesip tam a manga Hudyo a tungkul de kaapoapohan tam a Abraham a ti papalano a pinakaeyenan eya ni paghatol diya ni Makedepat. 
ROM.4.2	Ta halimbewa la be pinakaeyenan tebe eya ni paghatol diya ni Makedepat dehil de sadile na a pagyedi ay nappatud a nakapemayabeng eya misan ay katinggesan tam a an te nakapemayabeng a misan ino de pekita ni Makedepat. 
ROM.4.3	Pati pepamatoden pala ni kasulatan a, “Nagpanulusun i Abraham de Makedepat kanya napa ni malenis eya a an te kasalanan de pekita na.” 
ROM.4.4	Dio i isin pa a halimbewa a be getarabeho i agta ay i pakinabeng na ay i suwildu na a depat ta an paaged. 
ROM.4.5	Ta be te duman a agta a an te pag-asa de sadile na a pagyedi ta gepanulusun la de Makedepat a gepaeyen ni paghatol na diya a makikkakasalanan ay dingan nappa ni malenis eya de pekita ni Makedepat dehil de pagpanulusun na. 
ROM.4.6	Nun nowon pala ay sinabi ni Hari a Debid a gekaduman ni kasalegen i misan ino a malenis di a an te kasalanan de pekita ni Makedepat dehil de pagpanulusun na, a an dehil de pagyedi na a sadili. 
ROM.4.7	Sinabi pa ni Debid a,
ROM.4.7	“Pekalbian i manga agta a pinakaeyenan di ni Makedepat ni mammalotin de ta an di i mammalotin de de pekita na. 
ROM.4.8	Ta i pekalbian ide ay pinakaeyenan ni paghatol ni Makedepat dide.”
ROM.4.9	Nano ay kati peesip yu a gekaduman la i Hudyo ninon a kalbi ni Makedepat a an i an Hudyo ide. An non matud ta katinggesan tam di a i Abraham ay napa ni malenis a an te kasalanan de pekita ni Makedepat dehil la de pagpanulusun na diya. 
ROM.4.10	Pati katinggesan tam pan a napa ni malenis i Abraham de pekita ni Makedepat dingan ngona nagpapelat eya de lawes na. 
ROM.4.11	Ta nun nagpapelat eya ay inon i tande a napa ni malenis di eya a an te kasalanan de pekita ni Makedepat dehil de pagpanulusun na la ta nagpanulusun ngona eya dingan eya nagpapelat. Kanya pan eya ay magi ama ni pesan a gepanulusun de Makedepat, a ide a napa ni malenis de pekita na misan am pa ide nagpapelat. 
ROM.4.12	Eya pala ay magi ama ni nagpapelat ide a Hudyo misan an dehil de ide ay nagpapelat ta dehil la de magkapadepade i pagpanulusun de pati kaapoapohan tam a Abraham dingan pa eya nagpapelat.
ROM.4.13	Nano ay nun nowon ay pinangako ni Makedepat de Abraham pati de mangápo na a ide i gemana a te kapangyedihan dio de putok i. Misan ay an binoy dide Abraham inon a pangáko ni Makedepat dehil de pag-abut de de pagdodul ide ta dehil la de pagpanulusun de de Makedepat ta dingan napa ni malenis ide de pekita na. 
ROM.4.14	Ta be i geabut ide de pagdodul ide ay nappa ni gemana ni kalbi ni Makedepat ay dingan an te kabuluhan i pagpanulusun ni agta pati pangáko ni Makedepat. 
ROM.4.15	Ta talage a dehil de pagdodul ide, i kaagtaan ay pehatolan a podusahan ni Makedepat ta be an te duman a pagdodul ide ay dingan an nappatud a sesede tam inon ide.
ROM.4.16	Kanya pan tinanggep ni Abraham i pangáko ni Makedepat dehil de pagpanulusun na tangani gepangyedi ngani inon a pangáko ni Makedepat gepo de kosa a tabeng na. Ta gepangyedi inon a pangáko de pesan a matud a mangápo ni Abraham, Hudyo man o an Hudyo, a te pagpanulusun a magi eya ta i Abraham i ama tam a pesan. 
ROM.4.17	Ta magioyo i pesabi ni kasulatan a, “I Abraham ay yinadi ni Makedepat a ama ni pesan a gepanulusun de kamakmokan a bensa.” Kanya de pekita ni Makedepat a pepanulusonan ni Abraham ay eya ngani ay ama ni pesan a gepanulusun ta talage i Makedepat i gepakaedup de nalibunin pati magyeyédi ninon a am pa yinadi. 
ROM.4.18+ROM.4.19	Nano ay sinabi ni Makedepat de Abraham a bebiyen na ide a magkálaki ni anak a isin, a gekaanak ni makmuk a nappa ni hanga a bensa. An napa ni mahena i pagpanulusun ni Abraham nun naesip na a tungkul de lawes na a matande di a masakut a isin a dian a taon pati nun naesip na a tungkul de bebi na a Sara a tinumakig di i panahon a panganak na. Ta misan an di te pag-asa de sadile na ay te pag-asa pa, a te pagpanulusun de Makedepat kanya de maginon ay eya ay napa ni ama ni pesan a gepanulusun. Ta sinabi diya ni Makedepat a “Nappa ni makmuk i mangápo mo, Abraham.” 
ROM.4.20	Talage a an te aduwa a esip i Abraham de pangáko ni Makedepat kanya nun nagpodi i Abraham de Makedepat ay nagkaduman eya ni pagpanulusun a getibong pa. 
ROM.4.21	Pati kinatinggesan na a talage a i misan ano a pangáko ni Makedepat ay te kaya eya a yeyedi na 
ROM.4.22	kanya napa ni malenis eya a an te kasalanan de pekita ni Makedepat. 
ROM.4.23	Misan i sinabi ni Makedepat, a i Abraham ay napa ni malenis a an te kasalanan de pekita na, ay an la para de Abraham. 
ROM.4.24	Ta pati para dikitam pala ta pepamatoden ninon a sinabi ni Makedepat a ikitam ay nappa ni malenis pala a an te kasalanan de pekita na dehil de pagpanulusun tam de Makedepat a nagpakeedup a liwet de Panginoon tam a Hisus de nalibunin. 
ROM.4.25	Ta binoy ni Makedepat i Hisus a nagpakalibun dehil de mammalotin tam, a pinakaedup na pala a liwet tangani ikitam ay pakaeyenan na ni paghatol na dikitam.
ROM.5.1	Kanya nano ay hanggen nun ikitam ay pinakaeyenan ni paghatol de padean ni pagpanulusun tam ay gepakikaisin kitam di de Makedepat de padean ni Panginoon tam a Hisu Kristo. 
ROM.5.2	Ta dehil diya a pepanulusonan tam ay gekaduman kitam ngani ni kosa a tabeng ni Makedepat ta te kasalegen kitam di dehil de pag-asa tam, a pepakita dikitam ni Makedepat i gepakaingap na. 
ROM.5.3	Pati te kasalegen kitam pala de kahedepan a gedetong dikitam ta katinggesan tam pan a dehil de kahedepan ay gekaduman kitam ni pagtiyage. 
ROM.5.4	Pati dehil de pagtiyage ay gekaduman kitam ni piyon a innawa a kasalegen ni Makedepat pati pan dehil de inon a piyon a innawa ay gekaduman kitam ni pag-asa a matibong. 
ROM.5.5	Talage a i pag-asa a matibong ay an naeyenan ni kabuluhan ta i pagbuot ni Makedepat ay pepatibong na i innawa tam de padean ni Ispiritu na a binoy na dikitam.
ROM.5.6	Nano ay nun ikitam ay nakiblag pa de Makedepat a an te pag-asa a unabis ay nagpakalibun i Hisus para de pesan a makikkakasalanan a kapagebuk na nunde panahon a pineta ni Makedepat. 
ROM.5.7	Talage a katinggesan tam a mahedep ngani a hahandug ni misan ino a agta i edup na para de agta a piyon misan ay sigudu ay nappatud a te geyedi ni maginon. 
ROM.5.8	Misan ay pagelawagin yu pan ti magi ano a kahanga i pagbuot ni Makedepat dikitam ta dinodul na i Kristo a gepakalibun para dikitam a kapagebuk na. 
ROM.5.9	Ta dehil de sagu ni Kristo a pantobus ay pinakaeyenan kitam di ni Makedepat ni paghatol na kanya katinggesan tam di a namas pa a leligtas kitam ni Kristo de pagpadusa ni Makedepat a nádetong. 
ROM.5.10	Ta be nun ikitam ay kapagebuk pa ni Makedepat ay napa ni ayun na ikitam dehil de pagkalibun ni Anak na ay namas pa a matud nano a ikitam a ayun na di ay nalligtas dehil de edup na a an te kalog. 
ROM.5.11	An la maginon ta nagkasalig kitam pala a gepodi de Makedepat de padean ni Panginoon tam a Hisu Kristo ta dehil diya ay napa ni ayun kitam ni Makedepat.
ROM.5.12	Esipin yu ta nun nagkasala i isin a agta a i Aden ay nappa ni migyedi ni mammalotin i pesan a agta a te kakoloy a pagkalibun. Kanya kinumálat de pesan a agta i pagkalibun ta nagyedi pan i pesan ni mammalotin. 
ROM.5.13	Talage a dingan ngona dinumatong i pagdodul ide ni Moises ay nagyedi di i kaagtaan ni mammalotin misan ay dehil de am pa te pagdodul ide ay an ide te kasalanan a i pagsede ni pagododul ide. 
ROM.5.14	Misan pan ay gepo de Aden hanggen de Moises ay nagkaduman ni kalibunan i pesan a agta, a ide a an nagkasala a magi Aden a kinumapoy de surut nun Makedepat.
ROM.5.14	Nano ay i Aden ay anino ni Kristo a nádetong ta dehil de aduwa a oyo ay te gepangyedi de pesan a agta. 
ROM.5.15	Misan ay an padepade i mammalotin ni Aden pati paaged ni Makedepat. Ta be dehil de mammalotin ni isin a agta ay nagkaduman i pesan a agta ni kalibunan a paghatol ni Makedepat ay hanga pa a namas i paaged ni Makedepat ta dehil de kosa a tabeng ni isin a agta a i Hisu Kristo ay gekaduman i kamakmokan ni kaligtasan a geapo de Makedepat. 
ROM.5.16	Pati pan i nangyedi dehil de mammalotin ni isin a agta ay bukud de nangyedi dehil de kosa a tabeng ni Makedepat. Ta nun yinadi ni isin a agta i isin a mammalotin ay dingan i pesan a agta ay hinatolan a paagow de kalebunan misan nun yinadi ni pesan a agta i makmuk a mammalotin ay i kamakmokan a agta ay pinakaeyenan ni paghatol dide dehil de kosa a tabeng ni Makedepat. 
ROM.5.17	Matud ngani a dehil de mammalotin ni isin a agta a i Aden ay nagkaduman i pesan a agta ni kalibunan misan namas pa a talage ay dehil de isin pala a agta a i Hisu Kristo ay petanggep ni belang te buot i kosa a tabeng ni Makedepat pati paaged a nappa ni malenis pala ide de pekita na tangani nanalo ide de mammalotin dio, gepo nano hanggen magpakapide pa man.
ROM.5.18	Kanya ti papalano a hinatolan i pesan a agta dehil de mammalotin ni isin a agta ay maginon pala pinakaeyenan i pesan a gepanulusun ni paghatol dide a te edup a an te kalog dehil de piyon a pagyedi ni isin a agta a i Hisu Kristo. 
ROM.5.19	Ta ti papalano a napa ni makikkakasalanan i pesan a agta dehil de an pagtalinga ni isin a agta de Makedepat ay maginon pala dehil pan de pagtalinga ni isin pa a agta de Makedepat ay i pesan a gepanulusun ay napa ni malenis a an te kasalanan de pekita ni Makedepat.
ROM.5.20	Nano ay katinggesan yu a nun dinumatong i pagdodul ide ay nagkaduman i agta ni makmuk pa a mammalotin misan nun napa ni makmuk pa i mammalotin ay namas pa a minumakmuk i kosa a tabeng ni Makedepat. 
ROM.5.21	Kanya ti papalano a te kapangyedihan i mammalotin de agta ide ta nagkaduman ide ni pagkalibun ay maginon pala te kapangyedihan nano i kosa a tabeng ni Makedepat de kamakmokan ta malenis kitam di de pekita ni Makedepat a te edup a an te kalog dehil de Hisu Kristo a Panginoon tam.
ROM.6.1	Nano ay wet yu peesipa a depat a notuloy kitam a geyedi ni mammalotin tangani pepakita a tuloy ni Makedepat i kosa a tabeng na a namas pa. 
ROM.6.2	Ta an depat a ikitam a nakábut di de kapangyedihan ninon a mammalotin ay needup pa a natalo de inon. 
ROM.6.3	Talage a katinggesan yu pan a ikitam ay lininod a tande a gepakikaisin de Hisu Kristo kanya lininod kitam a gepakikaisin de pagkalibun na. 
ROM.6.4	Ta nun lininod kitam ay de pekita ni Makedepat ay natapor kitam a ayun ni Kristo a gepakikaisin de pagkalibun na tangani ti papalano a pinakaedup a liwet i Kristo dehil de an te kapadepade a kapangyedihan ni Ama ay maginon kitam pala ay nagkeedup di ni bowon a edup a geapo de Makedepat.
ROM.6.5	Ta be gepakikaisin kitam di de pagkalibun ni Kristo ay talage a matud a gepakikaisin kitam pala de pagkaedup na a liwet. 
ROM.6.6	Katinggesan tam pan a i den tam a pagkaagta ay napáku di a ayun ni Kristo de padipa tangani maeyen i kapangyedihan ni malot a buot ni lawes tam, a ang kitam di alepin ni mammalotin. 
ROM.6.7	Nano ay i nalibun a ayun ni Kristo ay nakábut di de kapangyedihan ni mammalotin. 
ROM.6.8	Pati pan dehil de ikitam ay nalibun a ayun ni Kristo ay geasa kitam a needup kitam a liwet a ayun ni Kristo. 
ROM.6.9	Ta katinggesan tam ngani a i Kristo a pinakaedup a liwet ay an di nelibun a liwet ta talage a an di te kapangyedihan diya i kalebunan. 
ROM.6.10	Ta tungkul de pagkalibun na ay nagpakalibun eya a pakosa la tangani matalo na i kapangyedihan ni pesan a mammalotin misan ay tungkul de edup na ay nagkeedup eya para de Makedepat. 
ROM.6.11	Kanya ikamo pan ay magpanulusun a ikamo ay napakiblag di de mammalotin yu de pekita ni Makedepat a nagkeedup kamo pala para de Makedepat dehil de pagpakikaisin yu de Kristo.
ROM.6.12	Kanya nano ay wet yu pabiyaan i mammalotin a te kapangyedihan de lawes yu a te kalebunan tangani wet kamo pan getalinga de mammalotin a buot na ide. 
ROM.6.13	Pati wet yu pabiyaan i misan ano a panggemit ni lawes yu a geyedi ni mammalotin ta boyin yu pan de Makedepat i sadile yu pati belang panggemit ni lawes yu a geyedi ni kapiyonan na ta misan ikamo ay agta a magi nalibun a nakiblag de Makedepat nun sakadow ay nano pan ay ikamo ay needup a gepakikaisin di diya. 
ROM.6.14	Kanya an di depat a nagkadeog kamo ni kapangyedihan ni mammalotin ta nalligtas kamo di dehil la de kosa a tabeng ni Makedepat a an dehil de pag-asa yu de pag-abut yu de pagdodul ide.
ROM.6.15	Misan wet yu peesipa a depat a notuloy kitam a geyedi ni mammalotin tangani pepaabuya tam a ikitam ay nalligtas la dehil de kosa a tabeng ni Makedepat a an dehil de pag-abut tam de pagdodul ide. 
ROM.6.16	Ta katinggesan yu ngani a be boboy yu i sadile yu a magi alepin de misan ino ay dingan talage a alepin na ikamo a getalinga diya. Kanya be alepin kamo ni mammalotin ay aadde na ikamo de kalebunan yu misan be alepin kamo ni Makedepat a migtalinga diya ay nappa ni malenis kamo a an te kasalanan de pekita na. 
ROM.6.17	Kanya ako ay gepasalamat de Makedepat ta misan ikamo ay den a alepin ni mammalotin ay tambing kamo a tinumalinga a piyon de pagtodu a binoy ni Makedepat dikamo. 
ROM.6.18	Ta nakábut kamo di de kapangyedihan ni mammalotin yu a den a tinalingaan ta ikamo ay napa ni alepin ni ugeli a piyon a nappaayun de kabuotan ni Makedepat. 
