MAT.1.1	Ŋuur-aŋ siŋ ku tamba ta Iisa Masi, roŋ ka Dawuud kaak roŋ ka Ibraayim. 
ROM.16.15	Ooyon̰co ɗo kun̰ Piloloog iŋ Juliy, Neere iŋ booy ho ɗo Olimpaas iŋ ɗo gee ku Buŋdi okin̰co kuuk n̰uma iŋ ŋuura.
ROM.16.16	Ooyoŋ benanniko iŋ gine ka cuuɗ ar siŋta kuuk tacco rakki. Eglizna ku Iisa Masi okin̰co ooyko dakina.
ROM.16.17	Gem kol siŋtay, nu taaƴaako a kuu goye goɗom min gee kuuk poocaag ɓilde kaak ku gastu. Ka seener, iŋ poocin̰co-ak, ŋu eeraag gee kuuk aamine ho ŋu jagaag min botol taat samaane. Gee ŋuur-ak, cimoŋ kaƴko minninco. 
ROM.16.18	Gee ar ŋuur-aŋ, ŋuur ginno riy ɗo Rabbinte Iisa Masi. Ŋu as tee aditco di. Iŋ kaawinco kuuk gala ho pulus-pulus-ak, ŋu caaciyaag gee kuuk ibanno maanna. 
ROM.16.19	Karaamin taat ku karmiyiig Rabbin-at, gee okin̰co ibingita. Ansii ko, adir gintu portiko ɗo bi kaŋko. Kar gay, nu raka kuu gine ilim taat kuu ibine taat samaane ho kuu etire serek min taat samaanno a kuu kuuniye *cawar. 
ROM.16.20	Ɗak ko sooɗ di, Buŋ ka aapiyer yaa rigin̰in̰ *Seetanne ho kuuji jaawe kaaci.
ROM.16.20	Barkin ta Rabbinte Iisa Masi yaa goye iŋ kuŋ okiŋko !
ROM.16.21	Timote kaak ni giniy riy sawa, ooyko. Lisiyuus, Jaason ho iŋ Sosipateer kuuk jaamar oki ooyko.
ROM.16.22	Ho nun Tertiyuus, gay siirindi ka Pool ɗo maktumne-anta, nu ooyko iŋ siŋ ku Rabbinte.
ROM.16.23	Gayuus kaak nu goyiy ɗo geriy-aŋ sa, ooyko. Ɗo geriy ko, Egliz okin̰ji n̰umiyo. Erast kaak ɗummiyaag malle ka geeger ho iŋ siŋte Kartuus oki, ooyko dakina. 
ROM.16.24	[Barkin ta Rabbinte Iisa Masi yaa goye iŋ kuŋ okiŋko ! *Aamin.]
ROM.16.25	Ozilinteŋ Buŋ ! Uudin ta Kabarre ta Gala taat nu gaariy-anta, ŋa gin gudurre taat nec yaako ɗeŋriŋko ɗo imaanko. Kabarre-at, ta kaaw taat ɗo bi ka Iisa Masi ho ta baynaag maan kaak Buŋ rakiy gine, kaak cigil elgin iŋ elgina. 
ROM.16.26	Kar diŋ gay, Buŋ baynig ko waraŋ iŋ kaawin kuuk nabiinna siirtu a gee okin̰co yaa ibinin̰ ar Buŋ kaak goy doo rakiyo. Paa ko, ŋuur kuuk ibinga-ak gin botol taat ŋuu aamine ɗo Buŋdi ho ŋuu karmiyin̰ji. 
ROM.16.27	*Darjin ɗo Buŋ kaak keeji di gin ilim ! Darjin loci iŋ Iisa Masi, elgin iŋ elgina ! *Aamin.
1CO.1.1	Nun Pool kat siiraat maktumne-anta. Iŋ niyin ta meen̰ji Buŋ, ŋa kolintu a naa kuuniye *paliine ka Iisa Masi. Iŋ siŋte Sosteen, 
1CO.1.2	ni ooyaako kuŋ gee ku *Egliz ka Buŋdi ka Korent. Kuŋ n̰um iŋ Iisa Masi ho ɗo bi ŋaar-ak ko, kuu kuuniye *cawar ɗo uŋji. Ŋa koliŋko a kuu kuuniye geen̰ji. Ampaa di oki, ŋa koliig gee okin̰co kuuk ala iŋ siŋ ku *Rabbinte Iisa Masi ɗo ay wero. Ŋaar ko Rabbin kan̰co ho kante oki. 
1CO.1.3	Tatte Buŋ iŋ Rabbin Iisa Masi yaako barkiyiŋko ho yaako iye aapiye.
1CO.1.4	Nu ozilaag Buŋ doo ɗo bi kaŋko ɗo barkin taat ŋa beriiko min ku n̰umtu iŋ Iisa Masi. 
1CO.1.5	Ɗo bi ka n̰umiŋko-ak ko, Buŋ barkiyiŋko ɗo ay maanna, ŋa barkiyig kaawin okin̰co kuuk ku kaawiyo ho iŋ ibiniŋko oki. 
1CO.1.6	Ŋaar-ak gaara kadar wiktin taat ŋu kaawiiko ɗo bi ka Iisa Masi, ku obit kaaw-at samaane ɗo gelbinko. 
1CO.1.7	Paa ko, min bere okin̰ji kaak Buŋ beriy ɗo geemir, yoo rakki sa armaakonno loko, kuŋ kuuk ƴoka asin̰ji ka Rabbinte Iisa Masi. 
1CO.1.8	Ŋaar ko yaako ɗeŋriŋko kuu goye bombo yoo ɗo gaase ka duniiner. Paa kat, ɗo ƴiriy taat Rabbin Iisa Masi yaa yeepe-ak, ŋu gasaakonno oorin tak-tak. 
1CO.1.9	Buŋ kaak koliŋko a kuu n̰ume iŋ roŋji Rabbinte Iisa Masi, ŋa necaat tak taat ŋa kaawiyo.
1CO.1.10	Gem kol siŋtay, nu kaawaako iŋ siŋ ku Rabbinte Iisa Masi a kaawko yaa gine rakki di nam eere sa goyaaɗo ɗatikko. Nu raka a gelbinko ho pikirriko yaa kuuniye rakki. 
1CO.1.11	Ka seener, gem kol siŋtay, nu kaawiiko ampa-ak asaan gee daarin̰ min ger ka boote Kilowe kaawdu kadar kaawko ɓagɗo. 
1CO.1.12	Nu kaawiit kaaw-an, asaan minninko, gee daarin̰ ɗiya aman : « Nin-aŋ gee ku Pool », daarin̰ a « Nin-aŋ gee ku Apoloos », daarin̰ a « Nin-aŋ gee ku Piyer » ho daarin̰ a « Nin-aŋ gee ku Iisa Masi ». 
1CO.1.13	Iisa Masi, ŋaar rakki di. Ku pakira a gii gedire eerin̰ gee kuuk n̰um iŋ ŋaara walla ? Ŋa nun Pool kat kaak ŋu ɗooɗtu ka etor ɗo bi kaŋko walla ? Ŋu *batiziyiŋko iŋ siŋ ku meendu Pool walla ? Ha’a, paaɗo ! 
1CO.1.14	Nu dela barkin ɗo Buŋdi ɗo bi kaak nu bal batiziye yoo waan minninko, illa Krispuus iŋ Gayuus di. 
1CO.1.15	Ŋaar-ak, waan gediraaɗo kaawe a ŋu batiziyig iŋ siŋ kunto. 
1CO.1.16	Way, nu batiziyig oki Stepaan iŋ geen̰ji kuuk goy ɗo geriy. Kar gay, nu harayɗo kadar nu batiziy waan ka pey. 
1CO.1.17	Asaan Iisa Masi balnu n̰aamindu a naa batiziye gee. Kar gay, ŋa n̰aamintu a naa gaarin Kabarre ta Gala ɗo geemir. Ya nu gaara Kabarre ta Gala, nu kaawa iŋ kaawin kuuk melen̰ di, nu kaawɗo iŋ kaawin kuuk gee yaa kaawe a nun kat gin ilim. Yampa, muutuy ta Iisa Masi taat ka etor yaa gine ar maan ka maala.
1CO.1.18	Ɗo gee kuuk tara ziŋkico, kaaw taat ɗo bi ka muutuy ta Iisa Masi ka etor, taar ginno baati. Kar ɗo ginte kuuk Buŋ jilaate gay, kaaw-at, taar gudurre ta Buŋdi.
1CO.1.19	Asaan ŋu siir ɗo Kitamner aman :
1CO.1.19	« Nun, naa rawtin ilim ta gee kuuk iban kaawna
1CO.1.19	ho naa poocin̰ ibine ka gee kuuk iban gamna. »
1CO.1.20	Ampa-ak, gee ku duniiner kuuk iban kaawin-ak, moo kat ŋuura ? Moo ŋuur kuuk iban *gaanuun ka *Yuudinnar-aku ? Moo kat gay meelol-aku ? Buŋ kat gaar kadar ilim ta duniiner-an, taar ar maan ka maala. 
1CO.1.21	Ay maanna, Buŋ ginaag iŋ ilim ta meen̰ji. Kar gee ku duniiner gay, iŋ ilimco, ŋu bal ibinin̰ Buŋ iŋ ilimji. Ɗo bi ŋaar-ak ko, Buŋ ictu niyine iŋ ilim ta meen̰ji a ŋaa jilin̰ gee kuuk aamin ɗo kaaw taat gee ku duniiner talaat ar maan ka maala. 
1CO.1.22	Yuudinna raka tale gamin kuuk ajbay ho Grekna gay bariya ilim ta duniiner. 
1CO.1.23	Kar nin gay, ni gaara kaawo taat a *Masi kaak Buŋ doɓtu, ŋu ɗooɗig ka etor. Kaaw-an, Yuudinna a ŋu dorintiɗo ho Grekna gay talaat ar kaaw ta bal baati. 
1CO.1.24	Kar ɗo ŋuur kuuk Buŋ doɓtu a ŋuu kuuniye geen̰ji gay, ya ŋu *Yuudinna wal Yuudinnaɗo oki, Iisa Masi-ak ko gudurre ho ilim ta Buŋdi. 
1CO.1.25	Asaan ya gee pakira a Buŋ gin maan ka bal baay oki, maannay-ak pakgit ilim ta geemir serek. Ya gee tala kadar maan kaak Buŋ giniy-ak ginno gudurre, iŋ gudurrey taat ginno-at oki, ta pakgit ta geemir serek.
1CO.1.26	Gem kol siŋtay, kuŋ kuuk Buŋ koliŋko, pakiroŋ. Dakin minninko gin ilim ɗo uŋco ka geemir walla ? Dakin minninko gin gudurre walla ? Dakin minninko baaco tiya meennaw walla ? Ha’a, ginno ! 
1CO.1.27	Kar gay, Buŋ doɓig ŋuur kuuk ginno ilim ɗo uŋco ka geemir a paa kat, ŋuur kuuk gin ilim-ak yaa gaage maala. Buŋ doɓig ŋuur kuuk ginno gudurre ɗo uŋco ka geemir a paa kat, ŋuur kuuk gin gudurre-ak, sokan̰ yaa deen̰co. 
1CO.1.28	Buŋ doɓig ŋuur kuuk gee talaag ar maan ka maala, ŋuur kuuk gee ƴilaagu ho ŋuur kuuk masaakanna a paa kat, ŋaa cillin̰ goye ka geemir kaak ŋu talaag ar ŋa taɓ. 
1CO.1.29	Buŋ gintu pa-ak, asaan yoo waan sa gediraaɗo ɗapile ɗo uŋji. 
1CO.1.30	Kar Buŋ gay n̰uminte iŋ Iisa Masi ho iŋ ŋaar di, Buŋ gaariite ilimji. Iŋ Iisa Masi ko, Buŋ gininte a gii kuuniye sellen̰ ɗo uŋji, gii kuuniye geen̰ji kun̰ji ho ŋa jilaate min ɗo zunuubinnite. 
1CO.1.31	Ar taat ŋu siirtu ɗo Kitamner aman : « Ŋaar kaak ɗapilaw-ak, illa ŋaa ɗapile iŋ maan kaak Rabbin gintu. »
1CO.2.1	Gem kol siŋtay, wiktin taat nu asiiko a naako gaarin̰ maan kaak cigile kaak Buŋ bayniite-aka, nu bal gaarin̰ iŋ kaawin kuuk diya meya ho nu balko kaawe ar tatkaw kaak iban gamin dakina. 
1CO.2.2	Kar gay, wiktin taat nu goyiy iŋ kuŋko, illa nu ic niyine a naako kaawe ɗo bi ka Iisa Masi di iŋ muutuy taat ka etor. 
1CO.2.3	Ɗo wiktin taar-at, nu bal gine gudurre taat naa gine riy samaane ho kolaw un̰jidu nam nu aziraw. 
1CO.2.4	Iŋ kaaw taat nu kaawiiko, nu balko gaarin kaaw-at iŋ kaawin ku ilimdi a taa obin̰ kaƴko. Kar gay, ta Ruwwin ta Buŋdi kat gaarko gudurriti. 
1CO.2.5	Ansi-ak, ta ilim ta geemirro kat n̰aamiŋko ku aamintu ɗo Iisa Masi. Kar gay, ku aamintu-ak, asaan ku talit gudurre ta Buŋdi.
1CO.2.6	Kar gay, nin oki, ya ni ɓilda gee kuuk darse ɗo imaan, ni ɓildaag ɗo bi ka ilimdi. Kar ilim-at gay, taar ta duniinerro ho ta asɗo min agindaw ku duniiner. Agindaw-ak, ŋuur asa ide. 
1CO.2.7	Kar gay, ilim ta Buŋdi taat ni kaawiy-an, taar ilim taat cigil awalle ho gee bal ibininti. Min Buŋ bal kilgiyin misa duniin di, ŋa siyit ko ilim-ata a ŋaate un̰jinte ɗo *darjiney. 
1CO.2.8	Min agindaw ku duniiner-aŋ yoo rakki oki bal ibinin ilim-ata. Yampa, ya ŋu ibinta, *Rabbin gay darjiner, ŋu ɗooɗaagɗo ka etor. 
1CO.2.9	Kar gay, ar taat ŋu siirtu ɗo Kitamner aman :
1CO.2.9	« Maan kaak ƴiriy rakki gem bal talin̰ iŋ odoy,
1CO.2.9	ŋa bal dorin̰ iŋ ɗeŋgey
1CO.2.9	ho ŋa bal pakirin̰ ɗo kaay,
1CO.2.9	Buŋ siyig ɗo ŋuur kuuk elgiga. »
1CO.2.10	Sando, maan kaak cigile-aŋ, Buŋ baynintiŋ iŋ Ruwwiney. Asaan Ruwwin ta Buŋdi, taar ibingig ay maanna, nam ka Buŋdi kaak cigile oki. 
1CO.2.11	Ginno waan kaak ibingit pikirre ta gemor, illa ruwwin ta meen̰ji. Ansi-ak, ginno waan kaak ibingit pikirre ta Buŋdi, illa Ruwwin ta meen̰ji Buŋ. 
1CO.2.12	Ginteŋ gay bal gase ruwwin taat asa min ɗo duniiner-anta. Kar gay, gi gas Ruwwin taat asa min ɗo Buŋdi. Paa kat, gii ibinin̰ maan kaak Buŋ beriite iŋ barkiney. 
1CO.2.13	Gamin-aŋ, ni kaawgigɗo ɗo geemir iŋ ɓilde kaak asa min ilim ta geemir. Kar gay, ni kaawa iŋ ɓilde kaak asa min Ruwwin ta Buŋdi. Ansii kat, ni gaariy baat ta seen ta Ruwwin ta Buŋdi ɗo gee kuuk gasit Ruwwin-ata.
1CO.2.14	Gem keeji di gediraaɗo gasin seen taat asa min Ruwwin ta Buŋdi. Loci-ak, ŋa talaat seen-at ar maan ka bal baay ho ŋa gediraaɗo ibininti. Gem yaa ibininti-ak, illa iŋ Ruwwin ta Buŋdi ja. 
1CO.2.15	Gem kaak gin Ruwwin ta Buŋdi nec ibine baaco ta gamin kuuk samaane iŋ kuuk samaanno. Kar gay, ginno gem kaak nec gaase baay tan̰ji. 
1CO.2.16	Ka seener gay, ŋu siir ɗo Kitamner aman :
1CO.2.16	« Waa ibingit pikirre ta Buŋdi ?
1CO.2.16	Ho waa kaak nec taaƴin̰ji ? »
1CO.2.16	Kar ginte gay gin pikirre ta Iisa Masi.
1CO.3.1	Gem kol siŋtay, wiktin taat nu ɓaawiiko, nu bal gedire naako kaawe ar ku gee kuuk jaawa iŋ Ruwwin ta Buŋdi. Kar gay, nu kaawaako ar ku gee ku duniiner di. Ɗo imaanko taat ɗo Iisa Masi, ku ar koogin ku n̰aaɗa. 
1CO.3.2	Ansii ko, nu ɓildiŋko iŋ kaawin kuuk melen̰ di ar see ka buwi. Nu balko ɓildiŋko iŋ kaawin kuuk raɗa ar tee ka ander, asaan ku gediraaɗo ibinin̰co. Yoo diŋ oki ku gediraaɗo misa, 
1CO.3.3	asaan ku goy misa ar gee ku duniiner. Ka seener, ku hasuudinay ho ku kaasuma benanniko. Ampa-ak gaara kadar ku ar gee ku duniiner ho goyiŋko sa ar ka geemir di wal maman ? 
1CO.3.4	Ya gem rakki kaawa aman : « Nun gem ka Pool » ho ka pey aman : « Nun gem ka Apoloos », ŋaar-ak gaarro kadar goyiŋko ar ka geemir di walla ?
1CO.3.5	Ya ku bariya baaco, Apoloos kat waa, ho Pool gay waa ? Seertini, ni gay riyor ku Buŋdi di. Buŋ n̰aaminti a kuu aamine ɗo Iisa Masi. Ni gina riy taat Buŋ berinti di. 
1CO.3.6	Nun Pool, nu gaarkon kaaw ta Buŋdi ar gem kaak taat eto. Apoloos gay, gaayaako iŋ ɓilde ar gem kaak leeji amay ɗo et kaak nu taattu-aka. Kar ŋa Buŋ kat maaɗga. 
1CO.3.7	Ampa-ak, ŋaar kaak taate ho ŋaar kaak lee amay, seerco, ŋuur geen di. Illa Buŋ keeji di tatiko, asaan ŋaar di maaɗig et-aka. 
1CO.3.8	Ŋaar kaak taate iŋ ka lee amay, ŋuur sawa di. Ay gem di, Buŋ yaaji bere haginey uudin ta riyoy. 
1CO.3.9	Asaan seertini, ni gay riyor ku Buŋdi ho kuŋ gay ar morgo kaak ŋa gawniyo.
1CO.3.9	Pey, ku ar ger kaak Buŋ piniyo. 
1CO.3.10	Nun gay ar gem kaak gin ilim ho kaak iban pine geray. Iŋ barkin taat Buŋ beriidu, nu teesiit baay ta gerdi ɗo werko ho waan ka pey astu pinin̰ ger-aka. Kar gay, yaman ay gem di yaa pakire maman ŋaa pine ɗo baay ta ger-aka. 
1CO.3.11	Asaan baay ta gerdi, ŋaar Iisa Masi ho waan gediraaɗo diye ta pey. 
1CO.3.12	Ŋuur kuuk pina ɗo baa ta ger-aka, daarin̰ yaa pine iŋ daabne, wal iŋ poddine, wal iŋ dambay kuuk kaalne ho daarin̰ gay yaa pine iŋ atay, wal iŋ balgiga, wal iŋ idam. 
1CO.3.13	Ƴiriy taat Buŋ yaa ɗukume seriine, ay gemo, riyoy yaa bayne waraŋ. Ƴiriy taar-at yaa ase iŋ ako ho ak-at yaa gaare riy ta ay gemo, ya ta samaane wal ta samaanno. 
1CO.3.14	Ya waan pin ɗo ger-aka ho wer kaak ŋa pintu-ak kat ak taggigɗo, Buŋ yaaji berin haginey. 
1CO.3.15	Kar ya ak-at teeyig gay, riyoy-at uc maala. Gem-ak, Buŋ yaa jilin̰ji. Kar gay, ŋaa gine ar gem kaak ɗob kiyiw min ɗo aki iŋ pisin̰ji ku orok.
1CO.3.16	Ku iban tam kadar kuŋ ko *ger ka Buŋdi ho Ruwwin ta Buŋdi goy ɗo gelbinko wal maman ? 
1CO.3.17	Ya waan kaak nigaag ger ka Buŋdi, Buŋ yaa idin̰ji oki. Asaan ger ka Buŋdi, ŋaar *cawar ho kuŋ ko ger ka Buŋdi-aka.
1CO.3.18	Dakoŋ caaciyenno ziŋkiko : minninko-aŋ, ya waan kaak pakira kadar ŋa gin ilim ɗo uŋco ka gee ku duniiner, illa ŋaa poocin ilim taar-ata. Paa kat, ŋaa gase ilim taat taɓ. 
1CO.3.19	Asaan ilim ta gee ku duniiner, ɗo uŋji ka Buŋdi, taar bal baati. Ka seener, Kitamne kaaw aman : « Gee kuuk gin ilim, iŋ neendaw ta maaniico di, Buŋ yaa obin̰ ar ŋu obiy kumin ku yeero iŋ dada. »
1CO.3.20	Kitamne kaaw pey aman : « *Rabbin Buŋ ibingit pikirrico ta gee kuuk gin ilim ho ŋa iban kadar taar bal baati. »
1CO.3.21	Ampa-ak, dakoŋ pisiriyenno iŋ siŋ ku gemor, asaan okin̰co-aŋ, ŋuur kuŋko : 
1CO.3.22	nun Pool, Apoloos ho iŋ Piyer, okintini, ni kuŋko. Duniine, goye, muutu, gamin kuuk goy diŋka ho kuuk yaa ase neginda, okin̰co kuŋkon di. 
1CO.3.23	Kar kuŋ gay, kuŋ gee ku Iisa Masi ho Iisa Masi gay, ŋaar ka Buŋdi.
1CO.4.1	Nu raka a kuuni tale, nun Pool iŋ Apoloos, ar gay riyor ku Iisa Masi, ar ŋuur kuuk Buŋ berco riyo a ŋuu imilin̰ maan kaak ŋa cigiltu awalle ɗo geemir. 
1CO.4.2	Ya ŋu ber riy ɗo gemor, illa ŋaa gaare kadar ŋa nec ŋu amniyin̰ji. 
1CO.4.3	Ɗo tanto gay, ya kuŋ kat ɗukumaadu seriine wal gay ɗukume seriiner oki, taar-at ginaaduɗo maanna. Nun meendu oki ɗukumaaɗo seriine ɗo kaar, 
1CO.4.4	asaan adir osgitɗo maan kaak nu nigtu. Kar gay, iŋ taar-an oki, gaarro kadar nu goy goye kaak iŋ botiliy ɗo uŋji ka Buŋdi. Ka ɗukumaadu seriin-ak, ŋaar *Rabbin Buŋ. 
1CO.4.5	Ɗo bi ŋaar-ak ko, ya Rabbin Iisa Masi bal yeepe misa, dakoŋ ɗukumenno seriine. Kar wiktin taat ŋa yeepe, gamin kuuk cigil ɗo gondikor, ŋaa imilin̰co waraŋ, iŋ pikirre taat cigil ɗo gelbin ka geemir oki. Ampaa ko, ay gem di yaa gase oziliikay min ɗo Buŋdi.
1CO.4.6	Gem kol siŋtay, ɗo paydin ta maaniiko kat nu kaawtu ɗo bi kanto iŋ ka Apoloos a niiko gaare kuŋ oki yaa gine pa. Nu raka a kuu ibine baati ta maliy taat gee ibingit-anta. Maliy-at aman : « Waan yaa amilenno kara min botol taat Kitamne gaartu. » Nu kaawiy ampa-ak, asaan nu rakaaɗo kuu pisiriye aman : « Nun aaɗa gem kaak tatik aale, kiŋ gay aaɗa ka maala. » 
1CO.4.7	Maa di ki pakiriy a ki pakgig een̰jiŋ ? Gamin okin̰co kuuk ki gintu-aŋ, waa berjiŋgu ? Ŋa Buŋ ɗoo di ? Di ya pa-ak, maa di ki pisiriyiy ar ŋu baljiŋ berin̰ bere ?
1CO.4.8	Taloŋ kate ! Ku pakira a ku ginig ko gamin okin̰co. Ɗo botol ta Buŋdi, ku pakira a ku ɗeet ko gay gamnar. Ku pakira a ku teet ko meennaw. Hey kuŋko-aŋku ! Ya ka seener, ku teet meennaw, nin paliinna oki yaa teen iŋ kuŋko. 
1CO.4.9	Nu kaawiy ampa-ak, asaan nin kuuk paliinna-aŋ, nu pakira a Buŋ leenti aar ta geemir tak-tak. Ni ar gee kuuk ŋu obig a ŋuu deen̰co ɗo uŋco ka geemir. Ampa-ak, gee ku duniiner okin̰co yaa talin taaɓinni nam *ɗubal ku Buŋdi oki yaa tale. 
1CO.4.10	Ni oliyay ɗo saan ta Iisa Masi, kar kuŋ gay pakira a iŋ Iisa Masi, ku gin ilim dakina ! Ni ginno gudurre, kar kuŋ gay pakira a ku gin gudurre dakina ! Gee dakina poocaani, kar kuŋ gay pakira a ŋu jaalaag siŋko ! 
1CO.4.11	Nin gay, yoo diŋka mey diyaani, ibin sa obinti ho ni bal gine kesuune oki. Gee koocaani ho ŋu atkaani min ay wero. 
1CO.4.12	Ni gina riy iŋ soriyni a nii gase tee ka biŋkini. Gee waraani ho nin gay barkiyaagu. Ŋu taaɓiyaani ho nin gay subira di. 
1CO.4.13	Ŋu diyaani kaawin ooma ho nin gay telkaaco iŋ taat ool di. Yoo diŋka, gee ƴilaani pakgig gamin okin̰co kuuk Buŋ kilgiytu. Ŋu talaani ar maan kaak ŋu orig ka suusi.
1CO.4.14	Nu balko siirin̰ kaawin-aŋ a sokan̰ yaako deeŋko. Kar gay, gem kol kooginay kuuk nu elgiyo, nu siirig a naako taaƴiŋko. 
1CO.4.15	Asaan ya ku gin gee dakina kuuk ɓildaako ɗo bi ka Iisa Masi oki, takko ŋaar rakki di. Wiktin taat nu iyiiko Kabarre ta Gala, nu gintu takko ɗo goyiŋko kaak ɗo Iisa Masi. 
1CO.4.16	Ɗo bi ŋaar-ak ko, nu taaƴaako a kuu ice botilil. 
1CO.4.17	Paa ko, nu n̰aamikoŋ Timote. Ŋaar ar roŋdu ɗo imaan. Nu elgiga ho ŋa gina riy ta Rabbine iŋ botilti. Nu ɓildiig gee kuuk ɗo *Egliznar okin̰co a maman ŋuu goye ɗo botol ta Iisa Masi. Nu n̰aamiig Timote a ŋaako gaare pey maman nu garkiyig gee a ŋuu goye ɗo botol-ata.
1CO.4.18	Gee daarin̰ minninko pakira a nu asaakonno pey. Ampaa ko, ŋu ɗapiltu aale. 
1CO.4.19	Kar gay, ya Buŋ kat pildu botol, koɗok di naako ɓaawe. Ya nu ot ɗo werko, nu raka tale riy ta gee ku ɗapilaw-aku. Nu raka ibine ya ka seener, ŋu gin gudurre ta Buŋdi wala ŋu kaawa maalan di. 
1CO.4.20	Asaan ɗo *Meennaw ta Buŋdi, kaawin kuuk maalan di-ak, ŋuur ginno werco, illa riy taat iŋ gudurre ta Buŋdi. 
1CO.4.21	Kar kuŋ gay, ku raka maa ? Ku raka naako ɓaa iŋ ele ho iŋ dalullaw, wal naako ice doŋkilo ?
1CO.5.1	Ay wero, nu dora gee kaawa a ku gin maan kaak patiy kaa. Gem rakki minninko weƴa iŋ daaciy ta tacco. Way, maan ŋaar-aŋ, gee kuuk ibanno Buŋ din sa gingigɗo. 
1CO.5.2	Iŋ taar-an oki, ku ɗapiliy di-ak maman ? Iŋ maan kaak kuuniyaw-aŋ, zer kuu gonde dakina ho kuu atkin̰ gem-ak min ɗo ɗatikko. 
1CO.5.3+1CO.5.4	Nun gay, ya nu serek minninko oki, ar nu goy ɗo ɗatikko ho kelmol sa iŋ kuŋkon di. Ŋaar-ak, nu ɗukumji ko seriin iŋ siŋ ku *Rabbin Iisa Masi ɗo gem kaak ginig maanna-aŋka. Kuŋko oki, ɗo wiktin taat ku n̰ume ho kelmol goy iŋ kuŋko, ɗukumon̰jit seriin-an iŋ gudurre ta Rabbinte Iisa : 
1CO.5.5	beroŋ gem-ak ɗo *Seetanner a ziy kaak goy kaak ɗo zunuubinnar-ak yaa nige. Paa kat, ɗo ƴiriy taat Rabbinte Iisa Masi yaa yeepe, ŋaa gedire gase jile ka ruwwiney.
1CO.5.6	Ɗapiliŋko-ak, ŋaar ginno baay tak-tak. Ku ibanno ga ? Ya waan gina mappa, ŋa liya gel sooɗ di, kar okin̰ji, ŋa uciy gusus. 
1CO.5.7	Gel-at, taar ar zunuubinna kuuk goy ɗo ɗatikko. Ŋaar-ak, rasoŋ zunuubinna-ak serek a kuu kuuniye pey *cawar ɗo uŋji ka Buŋdi. Ka seener, ku kuuniytu ko cawar-ak, asaan Iisa Masi mat ɗo bi kante ar roŋ tamgi kaak ŋu bertu *satkin awalle ɗo iidin ta *Paakdi. 
1CO.5.8	Ɗo bi ŋaar-ak, goyinte ar gee kuuk awalle iidiytu iidin ta Paak iŋ gelbin ka cawar ho iŋ seene. Yampa, dakinte goyenno ar ŋuur kuuk iidiyiit iidin-at iŋ zunuubinna ho iŋ jookumuwco-ata.
1CO.5.9	Ɗo maktumner taat nu siiriikon ɗak ko, nu taaƴiŋko a kuu goye serek min gee kuuk goyin̰co jookumo. 
1CO.5.10	Nu kaawiy ampa-ak, nu kaawɗo ɗo ŋuur kuuk jookumo ho bal aamine misa ɗo Iisa Masi. Nu kaawɗo a kuu goye serek tak-tak min gee-aku, ŋuur kuuk atka tamaanaw ta duniiner, kuuk kokinay, kuuk abdiya margina. Ya ampa-ak, illa kuu rasin duniine ! 
1CO.5.11	Nu kaawa ɗo bi ka ŋuur kuuk kaawa a ŋu siŋtiko ɗo Iisa Masi, kar goyin̰co gay jookumo. Ŋu atka tamaanaw ta duniiner, ŋu abdiya buŋnay, ŋu wara gee, ŋu sakriyaw ho ŋu kokinay. Goyoŋ serek min gee-aku ho dakoŋ teenno bat iŋ ŋuura. 
1CO.5.12+1CO.5.13	Ŋuur kuuk bal aamine misa ɗo Iisa Masi gay, ŋa nunno kat yaaco ɗukume seriine, illa Buŋ meen̰ji. Kar ɗo ŋuur kuuk aamin ko ɗo Iisa Masi gay, ku gin botol taat kuuco ɗukume seriine. Asaan ŋu siir ɗo Kitamner aman : « Atkoŋ gem kaak jookumo min ɗo ɗatikko. »
1CO.6.1	Kar ya minninko rakki gin kaaw iŋ siŋji, maa di ŋa gediriy iyin̰ ɗo uŋco ka gee ku duniiner a ŋuuco talin kaawco ? Samaan-ak zer ŋaa iyin̰ ɗo uŋco ka gee ku Buŋdi kat kuuk yaaco talinti. 
1CO.6.2	Ku ibanno kadar ŋu gee ku Buŋdi kat kuuk asaaco ɗukume seriin ɗo gee kuuk ɗo duniiner okin̰co walla ? Kar zer ya kuŋ kat kuuk yaaco ɗukume seriin-ak, maa di ya ku gin kaaw kapak di, ku gedirgiyɗo talinti. 
1CO.6.3	Ku ibanno ga ? Ŋa ginte ko kuuk yaaco ɗukume seriin ɗo *ɗubal ku Buŋdi. Kar zer ya ta ampa-ak, maa di gi gedirgiyɗo talin̰ kaawin kuuk ɗo duniiner-anta ? 
1CO.6.4	Kar gay, ya ku gin kaawin ar ŋuur-aŋku, maa di ku iyiig ɗo ŋuur kuuk gee ku *Eglizdi talaagu ar maan ka maala ? 
1CO.6.5	Sokan̰ daggikonno walla ? Minninko-aŋ kat ginno tak-tak gem kaak gin ilim ho nec talin̰ kaawin ku siŋta kuuk aamin ɗo Iisa Masi walla ? 
1CO.6.6	Kar kuŋko, minninko rakki iyiy giji ɗo uŋco ka gay ɗukume seriiner kuuk ibanno Buŋ-ak gay maa ?
