LUK.1.2	Nanakasike pipiya matasiyai si kinana, ba warana si yoneyonei wai rutainina sita kirumisi. 
LUK.8.27	Iesu ku tore ibi sukira maranai, nao meyaga sebare kesana kanuma goyogoyosi kamonai si mamana wai, i verabeyei. Niko sebare mamanina ere nimanimana i mamana, ba kega yoveyai i mamana, saba karawaga nadegubisi kamosiyai i mamana. 
LUK.8.28	Maranai Iesu i kinani wai i rasa, ba i peku ku kaena, ba i para i wona, “Iesu! God kaidamona sakina natuna, awaika ke wiwaini kuriku kuna wosei? Abi babaim kega saroba kuna beriku.” 
LUK.8.29	Iesu kanuma goyona i kaotunei ita kasibau taveyei kairavina nikasike i wona. Mara pesarina kanuma goyona i riu ku kamona. Ba bagunai wata kaekaena ba yaroyarona chain yai pipiya si kau patupatuma, saba chain i yarayaraga, ba kanuma goyona ibi naorabei ku kupura momna mena. 
LUK.8.30	Iesu i toirubai i wona, “Kom kam waba kotoi?” Ba kona i kaobeyei i wona, “Yauku kau waba wai koroto, basuna kanuma goyogoyosi pesarisi si riu ku kamoku. 
LUK.8.31	Ba kanuma goyogoyosi Iesu si baba tupetupeni, kata kega iti poraisi ku sanaga kega ere pusirina mena. 
LUK.8.32	Saba namai koya baranai poro yaboyabo si kamkam, kanuma goyogoyosi Iesu si babai kata iti poraisi sita riu poro ku kamosi, ba damania i damaninei. 
LUK.8.33	Ba sebarena si kasibau taveyei maranai, si nae poro ku kamosi si riu. Ba poro ereonowasi koya tepanai si vera si gakira ku sanaga, si peku ba enagai si toma bunuwa. 
LUK.8.34	Ba poro kasi abapotapota nikona si kinani wai, si vera si nae ku meyaga, ba kupura ereonowana awaika si kinani wai, si mamatarei.
LUK.8.35	Pipiya si kasibau awaika itupuwa wai kinanina kairavina. Ba maranai si botu Iesu kurina wai, nao sebare kanuma goyogoyosi si kasibautaveyei wai, ere garana ba gayamina i gaire Iesu kaenai i makira i mamana si panani wai, si nagara. 
LUK.8.36	Iyabosi si kinani wai, pipiya si wonisi kata mekabage sebarena i yawasa. 
LUK.8.37	Ba nao kupura pipiyisi ereonowasi si nagara saki wai, Iesu si babai kata ita kasibau taveyisi. Damanina Iesu i sugae ku waka ba i kasibau taveyana. 
LUK.8.38	Ba nao sebare kanuma goyogoyosi si kasibau taveyei wai, Iesu i babai kata yabata sita nae. Saba Iesu i pora taveyei i wona, 
LUK.8.39	“Ke veramaga am ku yove, ba awaika God kairavim i wosei wai ki sisiyei. Damanina sebarena i nae meyaga kamonai i yewo, ba awaika Iesu kairavina i wosei wai i sisiyei.”
LUK.8.40	Maranai Iesu i veramaga mena ku sepina wai, pipiya si vera beyei, basuna ereonowasi wai, kona si potapotai. 
LUK.8.41	Kona maranai, duvu yovena badana kesana, kana waba Jairus i verakasibau, ba Iesu kaenai i peku, ba i baba sakiyei kata yabata sita nae ana ku yove. 
LUK.8.42	Basuna natuna wasike kesanaikei, kana bodu twelve i raborabobo. Iesu ketai i yewo i nenae ba koroto i rakata saki si subibiri, ba si una takutakuri. 
LUK.8.43	Ba kamosi yai wai, wasike kesana yabata, bodu twelve rubana ana tara i vera, saba kega kesana kotoi rubana iti yawasi. 
LUK.8.44	Koroto kamosi yai Iesu murinai wata i botu, ba kana gara kawa gepogepona i borubai, ba yagiyagina wata ana tara vera i boterei. 
LUK.8.45	Iesu i toiruba i wona, “Kotoi i borubaiku?” Saba pipiya ereonowasi si buruburuwei. Peter i wona, “Bada, pipiya si koroto saki ba te unauna takutakurim.” 
LUK.8.46	Saba Iesu i wona, “Maranai maragata gwabikuwai i kasibau wai, a kuiri kata pipiya kesana i borubaiku.” 
LUK.8.47	Ba nao wasike i kinani kata kona i rudeba, ba kega rubana ita koba wai, ere kirokirorona i botu, ba Iesu kaenai i peku. Ba nai pipiya ereonowasi matasiyai Iesu i wonei kata awaika kairavina i borubai, ba mekabage i yawasa. 
LUK.8.48	Iesu i wonei i wona, “Natuku, am bai geruana i yawasim, nuwanubai ke nae.” 
LUK.8.49	Iesu karauwata i bisisiya, ba pipiya kesana duvu yovena badana ana yoveyai i wasaga i botu. Ba i wona, “Jairus natum wai i rabobo, ba giugiu biyina kega kuni sinikaini.” 
LUK.8.50	Iesu i nonori wai Jairus i wonei i wona, “Kega ke nagara, ki geruwana mom ba natum ina yawasa.” 
LUK.8.51	I verakasibau Jairus ana ku yove maranai, pipiya ereonowasi i gesisi matarai si mana. Saba Peter, John ba James, ba pipiyaikei tamana ba sinana wata yabata si riu ku yove kamona. 
LUK.8.52	Kona maranai pipiya ereonowasi pipiyaikei kairavina sibi nuwapoya, ba si tutou. Iesu i wona, “Tou ko botere, pipiyaikei kega i rabobo, kona wai i kenouwapa mom.” 
LUK.8.53	Saba kosi si bomanibei, basuna si kuiri kata kona i rabobo. 
LUK.8.54	Saba Iesu wasikeikei yarona i yauni ba i wona, “Natuku ke bomsiri.” 
LUK.8.55	Kanumina i veramaga mena, ba mara kesana i msiri. Ba damanina Iesu i wonisi kata kam sita berei ita kam. 
LUK.8.56	Tamana ba sinana si wareyei, ba Iesu ikao tunetuneyisi kata, awaika i tupuwa wai kega kesana kotoi sita wonei.
LUK.9.1	Iesu ana Nonorayauna asi twelve i yorisi si kesanisi wai maranai, bibadana ba maragata i berisi. Kata kanuma goyo goyosi ereonowasi sita rukwabina, ba gubaga bubausiyai siti yawasisi. 
LUK.9.2	Damanina i poraisi si kasibau, God ana basileiya sita rumamarei, ba gubagubagisi siti yawasisi. 
LUK.9.3	I wonisi i wona, “Kega kesana awaika wagawaga kairavina kona kabari. Kega ruwakuna kona kautu kona yauni, kona kam ba money, kona kwama kana bi rauwa kona yauni. 
LUK.9.4	Meo yoveyai sini payapayayim wai, kona yovenai kona mamana yepo, nao meyaga kona kasibau taveyei. 
LUK.9.5	Ba maranai pipiya kega sina verabeyimi ba sini kaikaivimi wai, nao meyaga ko kasibau taveyei. Ba kaemi popokauna ko kasi tatabi, ini beyisi kata God asi saroba ina berisi.” 
LUK.9.6	Damanina si tauya si nae meyaga nununai wara gairena si rumamarei, ba kupura ereonowanai pipiya gubagubagisi si yawasisi.
LUK.9.8	Pipiya mutusi si wona wona kata Elizah i rerematara. Ba yebo mutusi si wona wona kata, peroveta wadubona kesana rabobowai i bomsiri mena. 
LUK.9.9	Herod i wona, “John kamyona a wona wai si kasiyaragi. Saba niko sebare wai kona kotoi wai warana a noonori?” Ba i wosewose rubai kata Iesu ita kinani.
LUK.9.10	Iesu ana Nonorayauna si veramaga wai, awaika si wosei wai ereonowana si wonei. Damanina i urabaisi ba kosi wata si kasibau si nae ku meyaga kesana, ku Bethsida. 
LUK.9.11	Ba pipiya korotosi si nonori wai si kibi. Damanina i kaikaivisi ba God ana basileiya warana kurisi i sisiyei. Ba iyabosi asi waina kasi gubaga iti yawasa wai i yawasisi.
LUK.9.12	Rabisi pompom yai ana Nonorayauna asi twelve si botu kurina ba si wona, “Niko kupura wai kupura kabana, pipiya ki poraisi sina nae ku meyagai, kata kam sina panani ba sina kam ba sina dauwa.” 
LUK.9.13	Saba kona i kaobeyisi i wona, “Komi kam ko berisi sina kam.” Kosi si wona, “Yakai karikiyai wai iyana ruwamo ba bread asi five wata, ba niko wai, koroto i rakata saki, kega rubarubana kasi kam kana gimoni?”
LUK.9.14	Nao koroto kamonai wai sebasebare ereonowasi asi five thousand. Iesu i wona, “Pipiya ko tomgeyarisi kata pipiya asi fifty duwu nununai sina makira.” 
LUK.9.15	Ana nonora yauna si wosei i kakaba wai pipiya ereonowasi si makira. 
LUK.9.16	Damanina bread asi five ba iyana asi ruwamo i yauna, i gagawa ku sapama i kaikaiwa, ba i kiya yaragana, ba ana nonora yauna i berisi kata pipiya siti kodisi. 
LUK.9.17	Pipiya ereonowasi si kam wai si kam siyabagi, ba ana nonora yauna puwata si utubitaura wai tegara asi twelve si bonuvisi.
LUK.9.18	Mara kesana, Iesu i kesina i raupari ba ana Nonorayauna si botu kurina wai i toirubaisi i wona, “Pipiya ko nonorisi te wona wona kata yauku kotoi?” 
LUK.9.19	Si kaobeyei si wona, “Pipiya mutusi si wona, kom wai John Babataito biyina ba mutusi si wona Elijah, ba yebo mutusi si wona kata Peroveta katamanina kesana raoboraobona i bomsiri mena.” 
LUK.9.20	“Ba komi mekabae ko wona wona, ko nosinosi yauku kotoi?” Peter i kaobeyei i wona, “Kom wai Keriso God i poraim ku botu.”
LUK.9.21	Iesu sisiya padapadana i berisi kata nikona kega kesana kotoi kurina siti mamatarei. 
LUK.9.22	Iesu ereonowasi kurisi i wona, “Sebare Natuna wose pesarina ina paiwarisi, kaikaiwabosi, ba Priest kaikaposi, ba giugiu biyisi sini sinikikiyei, ba sina kasibunui. Saba mara bai tonuina murinai ina bomsiri ba ina yawasa mena.” 
LUK.9.23	Damanina ereonowasi kurisi i wona, “Kotoi wata ana waina ini saununuriku wai, i kesina ini sini kikiyena meyei. Ba mara patepatena ana korosi ina kabari ba, ini saununuriku. 
LUK.9.24	Karavina kotoi wata am yawasa kairaviku ina kao taveyei wai, kega ini siwani, ba kotoi wata ana yawasa ina gegenuwei wai, ini siwani. 
LUK.9.25	Maranai dobu tupana ini karimi yai ba saba pipiyim kuni siwanim wai, awaika gairena kuna yoyoi? 
LUK.9.26	Kotoi wata yauku ba wonaku ini sinimayei wai, maranai Sebare Natuna ana kadarai ba Tama ba aneya kaobaisiesi asi kadarai ina botu wai yebo, ini sinimayei. 
LUK.9.27	Abi suwonimi komi mutumi nina kom simsiri wai, God ana basileiya kona kaikinani ba muriyai kona robobo.”
LUK.9.28	Mara kesana, Iesu nikosi i sisiyana ba tapaoro kesana murinai, Peter, John ba James i urabaisi si gae koya ku tepana sita rupari. 
LUK.9.29	Ba i raupari maranai naona, kana kinana i birai ba kana gara ibo poepoe ba i rauyasegana nanakasike bage ita bo kadari. 
LUK.9.30	Sebasebare asi ruwamo Moses ba Elijah, 
LUK.9.31	ere kadarisi si rerematara ba Iesu yabata sibi sisiya. Kata Iesu mekabage God ana waina kairavina, Jerusalem yai ita rabobo, wai kona sibi sisiyei. 
LUK.9.32	Peter turaturana koi wai si dudauwa, ba maranai si kenomataka wai, Iesu ere kadarina si kitai sebasebare ruwamo yabata si imsimsiri. 
LUK.9.33	Ba nakoi sebasebare Iesu sibi sumarei wai maranai, Peter i wona, “Bada, i gaire saki yakai nina, gweda tonu kana bowaisi, kesana kom kairavim, ba kesana Moses kairavina, ba kesana Elijah kairavina.” Kega i kuiri kata awaika ibi sisiyei.
LUK.9.34	Peter karauwata ibi sisiya, ba guba i botu i sowoisi, ba guba ku kamona s riuriu wai Nonorayauna si nagara. 
LUK.9.35	Ba guba kamonai gamo si nonori i wona, “Nikona yauku natuku au binebinena, gamona ko nonori.” 
LUK.9.36	Gamo i sisiya i kakaba wai si kinana kata Iesu i kesina wata. Kona maranai nonora yauna awaika si kinani wai i kesisi nuwanuwasi yai sita tawani, ba kega kesana kotoi si wonei.
LUK.9.37	Mara i tom wai, ana Nonorayauna asi tonu yabata koyai si gakira, ba koroto kaikapona Iesu si verabeyei. 
LUK.9.38	Ba koroto kamonai sebare kesana i parara i wona, “Bi beyebeyena biyim! abi babaim natuku kuta kitai, basuna kona wai natuku sebare kesanaikei. 
LUK.9.39	Ba kanuma goyona e yuyauni wai mara kesana erasarasa paraparaga, e paoropaoro ba e pekupeku, ba kawa puropurona te kasikasibau. Kega e boterei ba e kasikasi bi goyoni. 
LUK.9.40	Am nonora yauna ai babaisi kata siti kasibauni, saba kosi si wose kabai.”
LUK.9.41	Iesu i kaobeya i wona, “Komi pipiyimi bai geruwana kabakabaimi. Mara i veoroma meo rubana yabata tana mana ba ani beyebeyimi.” Ba sebarena i wonei i wona, “Natum ke botuwei.” 
LUK.9.42	Sebareikei i yewo i botubotu wai, kanuma goyona i yauni ba i garukirei ku tano, ba i paoro, Saba Iesu kanuma goyona i rasa bokabari ba sebareikei i yawasi, ba tamana i bere meyei. 
LUK.9.43	Pipiya ereonowasi God ana maragata kaikapona si kitai wai, si wareyei. Iesu awaika i wosei wai pipiya karakuwata naki si wareyei si nenae, ba ana Nonorayauna kurisi i wona. 
LUK.9.44	“Awaika ana wonimi wai ko nonora kabitamni. Pipiya kesana ina bomsiri ini wawana wai, yauku Sebare Natuna pipiya ku yarosi ina teriku.
LUK.9.47	Iesu asi nota i kuiri wai, pipiyaikei iyauni ba parinai imsiriyei. 
LUK.9.48	Ba kurisi i wona, “Kotoi wata kau wabai niko pipiyaikei ini enoenowei wai, yauku ebi enoenoviku. Ba kotoi wata yauku ini enoenoviku wai kega yauku saba kotoi i poraiku wai kona ebi enoenowei. Kairavina kotoi wata ereonowami kamomi yai ebi muri kobokobowa wai, kona pipiya kaikapo sakina.” 
LUK.9.49	John i wona, “Bada sebare kesana ka kitai kam wabai kanuma goyosi i raukwabina, ba ka wonei kata ita boterei basuna kona kega kota ata pipiya.” 
LUK.9.50	Iesu i wona, “Kega koi gesei kairavina kotoi wata kega ini abiyimi wai kona wai kwainami.”
LUK.9.51	Iesu ana gaena ku sapama marana i neratui kairavina nuwanuwana i tetei wai i tauya ku Jerusalem. 
LUK.9.52	Ba kawari yonayona i poraisi si nao si nae, Samaria meyaga kesana ku kamona, namai kairavina sita bobunaga ba muri yai ita botu. 
LUK.9.53	Saba namai pipiya kega si verebeyei ba si enoenowei, basuna si kiuri kata kona i nenae ku Jerusalem. 
LUK.9.54	Iesu ana Nonorayauna James ba John, niko wose si kinani wai si wona, “Bada am waina keyama kai karakarasina sapamai kana yore kirei ina karasisi kona?” 
LUK.9.55	Iesu saba i taibira ba i yegaisi. 
LUK.9.56	Ba ana Nonorayauna yabata si nae ku meyaga kesana.
LUK.9.57	Iesu ana Nonorayauna yabata ketai si yewo si nenai, ba sebare kesana i bomsiri Iesu i wonei i wona, “Memei wata kuna yewo kuna nae wai ana kibim.” 
LUK.9.58	Iesu i kaobeyei i wona, “Dipa kukousi ere kasi nipona, ba kaidamona manusi ere kasi nigu, saba Sebare Natuna wai ana aba dudauwa gawarina kega.” 
LUK.9.59	Sebare bauna yebo kurina i wona, “Ki sununuriku.” Saba sebarena i kaobeyei i wona, “Bada ke boteriku a nanae tamaku a na kai dogui.” 
LUK.9.60	Iesu kurina i wona, “Raboraobosi ke boterisi i kesisi sina dogui meyisi, ba saba kom ke nae God ana basileiya kuna rumamarei.” 
LUK.9.61	Ba sebare kesana yebo i wona, “Bada yauku au waina ana kibim, ba saba kainaona ke boteriku ana nae au rakaraka ana kai bi kiuruwisi.” 
LUK.9.62	Iesu i kaobeya i wona, “Kotoi wata idagui e roberobe, ba erau sinimura wai, kona kega rubana God ana basileiya kamonai ina saibira.”
LUK.10.2	I wonisi i wona, “Boyauna wai i rakata saki ba saba saibirabiyisi wai kega pesarisi ko rupari boyauna badana kurina kata saibisaibirisi mutusi yebo ini poraisi ana ku bao mena sina boyauna. 
LUK.10.3	Ko nae ba ko nosi kata abi poraimi wai sheep wotusi rutinisi kukou garagara kamosi yai kona yewo. 
LUK.10.4	Kega money bobitaura, kona kautu, kona kami kae sumasuma kona kabara, ba ketai pipiya kega kona toriyisi. 
LUK.10.5	Maranai meo ku yove kona riuriu wai, kainaona ko wona, nuwanuba niko yove yai ina mana. 
LUK.10.6	Memei bage yove kamonai nuwanuba sebarena ina mamana wai ami bi kaikaiwa ina yauni. Ba kega wai ami nuwanuba ina veramaga mena kurimi. 
LUK.10.7	Nao yove yai koma kikita, ba kega yove bausi kurisi koi garubonabona. Ba awaika wata sina puyoimi wai ko kam ba ko toma, kairavina bagibagi biyisi wai asi maisa sina yauni. 
LUK.10.8	Maranai ku meyaga kona riu ba awaika wata sina puyoimi wai ko kam. 
LUK.10.9	Nao meyaga pipiya gubagubagisi koi yawasisi ba ko wonisi kata God ana basileiya i botu gwabisi yai. 
LUK.10.10	Saba maranai kona riu ku meyaga, ba pipiya kega sini enoenovim wai, ko kasibau ku keta ba ko wona, 
LUK.10.11	“Ami meyaga popokauna kae kamoki yai ka kasikasi tatabisi. Kata komi wai God i kesina ina kasi bi goyonimi. Ba saba nikona wata kati nuwarupairimi, kata God ana basileiya i botu gwabimi yai. 
LUK.10.12	A wonewonim kata bi buibiuya maranai God Sodom ini nuwanuwani, ba nao meyaga kega ini nuwanuwani.”
LUK.10.13	Kiwayape Chorazin! ba yebo kiwayape kom Bethsaida! Komi kurimi wai ina goyo saki. Komi kamomi yai wose kaikaposi a wose wai, Tyre ba Sidon kamosi yai ata wosisi wai, pipiya matapanaki rowarowa garasi sita kote ba isarai siti guya, ba sita makira sita mamana. Siti mamatara kata kosi asi piraga goyowai si nuwa birabira. 
LUK.10.14	Bi buibiuya maranai wai God Tyre ba Sidon ini nuwanuwanisi ba komi wai kega. 
LUK.10.15	Ba kom Capernaum, ke nosinosi kata kom i kesim kuna bokabara meyim ba kuna gae ku sapama? Kega, kom wai kuna gakira ku keyama kai karakarasina. 
LUK.10.16	Kotoi wata ini taina baenegimi wai, yauku ebi taina baenegiku. Ba kotoi wata ini sinikikiyim wai yauku ebi sinikikiyiku. Ba kotoi wata ini sinikikiyiku wai, kotoi i poraiku wai, kona ebi sinikikiyei.
LUK.10.17	Nakoi sebasebare asi Seventy-two ere nuwagairesi si veramaga ba si wona, “Bada, kom wabami yai kanuma goyogoyosi ka kaotunetuneyisi wai sibo sisirikai.” 
LUK.10.18	Iesu i kaobeyisi i wona, “Satan a kinani sapamai i peku, nanakasike bage ita bokadari.” 
LUK.10.19	Maragata a berimi kata mota ba rido koni utu gudeyana, ba abiya ana maragata ereonowana kona bobainubai. Ba kega kesana awaika goyonai kurimi ina wosei. 
LUK.10.20	Ba kega kanuma goyogoyosi sibo sisirimi kairavina koi nuwagaire, saba koi nuwagaire basuna kami waba wai sapamai God i kiruma.
LUK.10.21	Kona maranai, Iesu Kanuma Kaoaobaisiyenai i nuwagaire saki wai i wona, “Abi kaikaivim Tama kom sapama ba dobu badana! Abi kaikaivim kairavina nikosi sawara wai pipiya kuikuirisi ba nuwanuwasuyisi kurisi mena kui buneyisi. Ba pipiya neganegasi kui beyisi, nikona mekabage am waina ita tupuwa wai i tupuwa. 
LUK.10.22	Tamaku sawara ereonowasi i beriku, ba kega kesana meo pipiya i kuiri kata natuna wai kotoi, saba tamana i kesina wata. Ba kega kesa meo pipiya i kuiri kata tamana wai kotoi, saba natuna i kesina wata ba iyabosi natuna i binebineisi wai ini beyisi.” 
LUK.10.23	Damanina Iesu i kamtabiri ba ana nonora yauna wata kurisi i wona, “Koi nuwagaire saki kata nikosi sawara ko kinana. 
LUK.10.24	A wonimi, Peroveta ba Taupauma pesarisi si waini kata awaika ko kinani wai sita kinani, saba kega si kinani. Ba awaika ko nonori wai, sita nonori saba kega si nonori.”
LUK.10.26	Iesu i kaobeyei i wona, “Moses ana kiruma kamonai awaika i kiruma ba, mekabage ke baibaiyawi?” 
LUK.10.27	Kona i kaobeyei i wona, “Bada am God nuwanuwam tupanai, ba pipiyim tupanai, ba am maragata tupanai, ba am nota tupanai ki nuwayauyauni. Ba maturam ki nuwayauyauni nanakasike bage kom ikesim kebi nuwayauyaunim.” 
LUK.10.28	Iesu i kaobeyei i wona, “Ku wona kabitam, nikona ke wosei, ba kuna yawasa.” 
LUK.10.29	Saba kona ana waina pipiya siti wareyei kairavina Iesu i toirubai i wona, “Ba maturaku wai kotoi?” 
LUK.10.30	Iesu i kaobeyei i wona, “Mara kesana, Jerusalem sebare i yewo i gaigakira ku Jericho ba, pisipisikarisi i kasipananisi. Kana gara si tom sabusabui, ba si raviravi yepo, matapa kasibunuina wata namai ba si vera si sumarei. 
LUK.10.31	Ba priest kesana yebo ketana kesaninai i gaigakira, ba maranai sebarena i kitai wai, i garubona ku sepina ba totorina i nae. 
LUK.10.32	Ba nanakasike yebo, Levi pipiyina kesana i botu ku gawarina, ba sebarena i kitai wai, i garubona ku sepina, ba totorina i nae. 
LUK.10.33	Saba Sameria biyina kesana, kona ketanai ibo wagawaga, ba maranai i kitai wai, i kamyosukuei. 
LUK.10.34	I nae kurina ba kana mauwa monamona ba wine i sewai ba i sumai. Damanina ba ana donkey ku tepana i tere geyei ba i yauni i nae wagawaga biyisi asi ku yove ba namai i pota kabitamni. 
LUK.10.35	Ba mara i tom wai, yove kana aba potapota money i berei ba i wona, “Niko sebare ke pota kabitamni, ba awaika wata kairavina kuna wosei wai ana veramaga wai ani maisanim.” 
LUK.10.36	Iesu i wona, “Nikosi pipiya asi tonu kamosi yai, mekona ke nosinosi kata nao sebare pisipisikarisi si ravi wai maturana?” 
LUK.10.37	Kairuwana kuira biyina kaobeyei i wona, “I kamyosukuwei wai, kona.” Iesu i wonei i wona, “Ke nae ba wosena kesanina ke wosei.”
LUK.10.38	Iesu ana Nonorayauna yabata si yewo si nenae ba si botu ku meyaga kesana. Namai wasike kana waba Martha Iesu i yorei ana ku yove i riu. 
LUK.10.39	Martha teina wai Mary. Ba Mary i nae Bada kaenai i makira ba ana giu i nonora kabikabitamni. 
LUK.10.40	Martha ana saibira i rakata ba ibi nuwapoya, wai i nae Iesu kurina ba i wona, Bada kega i gaire kata, teukikei i sumariku ba saibira tupana i kesiku wata a wosewosei, ke wonei kata, ini baisiku. 
LUK.10.41	Bada i kaobeyei i wona, “Martha, Martha, kom wai sawara pesarisi kebi nuwapoyana ba ebi magoyowanim. 
LUK.10.42	Saba sawara kesanaikei wata kuta waini, Mary wai sawara gairena i binei, wai karinai kega rubana sina yauna taveyei.”
LUK.11.1	Mara kesana, Iesu gawara kesanai i raupari. Ba maranai i rupari i kakaba wai, ana Nonorayauna kesana i wona, “Bada, John ana Nonorayauna pari i beyisi wai nanakasike ki beyikai kana rupari.” 
LUK.11.2	Iesu kurisi i wona, “Maranai kona raupari wai, ko wona, Tama, kam waba kata kaobaisiyei, am basileiya ita botu 
LUK.11.3	Mara patepatena kama kam ke bereberikai. 
LUK.11.4	Ba ama piraga goyosi ke nota taveyisi. Nanakasike yebo yakai pipiya kurikai goyona te wosewosei wai kana nota taveyisi. Ba kega ku baisakari ki naovikai.” 
LUK.11.5	Damanina Iesu ana nonora yauna kurisi i wona, “Memei bage komi kesana nubakutuwai ita nae kwainana kurina ba ita wona, kwaina bread asi tonu kuta beriku, 
LUK.11.6	kwainaku kesana ebo wagawaga ba karaku wata mom i vera kasibau au ku yove, ba yauku gwabikuwai kega kesana kam e mamana ba ana berei ina kam.” 
LUK.11.7	Saba kona yove komonai i kaobeya i wona, “Kega kuni sini kainiku, matamketa matapa a sagiri ba natunatuku yabata ka dudauwa. Kega rubana ana bomsiri ba awaika kesana ana berim. 
LUK.11.8	A wonewonimi, kega kwainana kairavina i bomsiri ba kam i berei. Saba, i tepa tora, ba i baba tupetupeni kairavina, i bomsiri ba awaika i waiwaini wai ereonowana i berei. 
LUK.11.9	Kesanina a wonewonimi, koni baba ba ina berimi. Ko nuvena ba kona panana, ko rukesakesara, ba kurimi matam keta ina botaveyei. 
LUK.11.10	Kairavina pipiya ereonowasi tebi baba wai, te yuyauna. Ba te nuvenuvena wai te panapanana ba terau kesakesara wai, matamketa kurisi e botaveyei. 
LUK.11.11	Kom kotoi wata tama, maranai natum ita botu kurim iyana kairavina iti baba wai, mota kuta berei kona? 
LUK.11.12	Kona pupau kairavina iti kawakinana wai rido kuta berei kona? 
LUK.11.13	Ko goyo meo kana pata saba, ko kuiri kata sawara gaigairesi natunatumi ko bereberisi nanakasike yebo, iyabosi wata tama sapamai kurina sini baba wai kanuma kaobaisiena ina berisi.”
LUK.11.14	Mara kesana, Iesu kanuma goyona sebare kawa potapotana gwabinai ibi kasibauni. Ba maranai kanuma goyona i kasibau taveyana wai, sebare kawa gumegumena i sisiya ba pipiya pesarisi si wareyei. 
LUK.11.15	Saba pipiya mutusi si wona, “Kanuma goyogoyosi asi kaiwabo Beelzebub, Iesu maragata i berei wai kanuma goyogoyosi ebi kasibaunisi.” 
LUK.11.16	Mutusi asi waina Iesu sita raurubai wai si babai kata wose kaimasavina ita wose sita kinani wai, siti geruwei kata kona, God maragata i berei. 
LUK.11.17	Saba Iesu asi nota i kuiri wai kurisi i wona, “Meo Basileiya wata i kesina ina geyara meyei wai kega ini maragata. Ba meo rakaraka wata i kesina ina geyara meyei wai ina peku.” 
LUK.11.18	“Abisiri yai Satan i kesina ina geyara meyei wai ana basileiya mekabage ini imsikikita?” Nikasike abi sisiya, basuna komi ko wona kata yauku Beelzebub maragata i beriku wai, kanuma goyogoyosi abi kasibaunisi. 
LUK.11.19	Memena bage yauku Beelzebub maragata i beriku kanuma goyogoyosi abi kasibaunisi wai, kata, ko woniku kotoi ana maragatai wai ami Nonorayauna kanuma goyosi tebi kasibaunisi? I kesimi ami Nonorayauna sini mamatara kata komi ko kwaruma. 
LUK.11.20	Saba kega, yauku kona God nimanai ba ana maragatai abi kasibaunisi. Nikona ebi beyebeyena kata God ana Basileiya matapa i botu kurimi. 
LUK.11.21	Maranai, sebare maragasina ere kapiyina ana yove ini taraparanei wai ana sawara ereonowasi sina ma kabitam. 
LUK.11.22	Ba saba sebare kesana maragata, sakina ina kokona ina bo binubai ba ana kapiya i notanota tepanei wai ina yauna taveyei. Ba ana sawara ina yauna ini koda. 
LUK.11.23	Kotoi wata kega kairaviku wai ebi abiyiku ba kotoi wata kega ebi baisiku e gedogedowa wai, kona ebi buburana.
LUK.11.24	Maranai kanuma goyona pipiya e kasikasibau taveyei wai e nenae kupuramom kamonai biyakam gawarina e nuvenuveni. Saba maranai kega ina panani wai ina wona, ana veramaga nao ku yove ai sumarei wai nakai. 
LUK.11.25	Ba ina veramaga wai, yovena gairena ba bunabunagina ina panani. 
LUK.11.26	Damamanina ina kasibau ina nae kanuma goyosi asi seven, bisu goyosi, kega bage kona rutinina, ina urabaisi sina riu, ba namai sina mana. Kona murinai wai, nao pipiya ana yawasa ina goyo saki kega bage kainaonai.” 
LUK.11.27	Iesu nikosi ibi sisiyana wai wasike koroto kamosi yai i parara i wona, “Sinam bi bi gairenina i tuwim ba i susuim.” 
LUK.11.28	Iesu i kaobeya i wona, “Damanina, ba saba iyaboi God wonana te noonori, ba te bosisiriyei wai, kosi bi bi gairenisi.”
LUK.11.30	Peroveta Jonah Nineveh biyisi kurisi i matakira wai, yebo nanakasike Sebare Natuna niko kimta kurisi ini matakira. 
LUK.11.31	Ba bi buibuiya maranai Sheba Taupaumina wasike ina bomsiri niko kimta pipiyisi ina kao bi goyonisi. Basuna ana kupura rabaraba, ba i nae Taupauma Solomon ana giu gaigairesi i nonora. Ba a wonewonim kata pipiya kesana nina, kona wai Solomon i getawani, ba saba komi kega ami waina koni taina baenegei. 
LUK.11.32	Nineveh biyisi yebo, bi buibiuya maranai sina bomsiri sina kao bi goyonimi, basuna Jonah kurisi i rumara wai si nuwabirabira. Ba karaku pipiya kesana Jonah i getawani wai nina, saba, komi kega ami waina koni nuwabirabira.”
LUK.11.34	Matami wai tupuvimi kana kibe. Maranai matami gairesi wai tupuvimi ereonowana yaseganina. Saba matami sina goyo wai tupuvimi ereonowana ini baidibari. 
LUK.11.35	Ko wose kabitamni kata yasegana kamomi yai kega ini baidibari. 
LUK.11.36	Kona kairavina tupuvimi ereonowana yasegana kamonai ina mana kega mutuna baidibara kamonai ina mana, saba tupuvimi ereonowana. Nanakasike bage kibe e yaseyasegana kurimi.”
LUK.11.37	Iesu i sisiya i kakaba wai, Pharisee kesana i babai kata yabata sita kam. Damanina ba i riu ku yove ba nimasunai i tupa kema ba ita kam. 
LUK.11.38	Pharisee i sikwana saki kata Iesu kega dudura i kibi, yarona ita kai bosuvei ba muri yai ita kam. 
LUK.11.39	Ba Bada kurina i wona, “Komi Pharisee biyimi vedu ba kaboma kupusi wata kobo suwana. Saba, kamomi yai wai nota meyana, ba wose goyosi si bonuwa. 
